id,nodename,nodeclass,propertytext
"event/R39","全国旅行社团队游全部暂停","新型冠状病毒事件","发生日期: “01/25/2020， 21：40：00”；简介: “根据中国旅行社协会官方发布的消息：即日起，全国旅行社及在线旅游企业暂停经营团队旅游及“机票＋酒店”产品。已出行的旅游团队，可按合同约定继续完成行程。行程中，密切关注游客身体状况，做好健康防护。同时要妥善处理旅游合同纠纷。”；url: “https：//weibo.com/2656274875/Ira0ec40o?type=comment#_rnd1580962510493”；消息来源: “央视新闻”；之前发生: “科学家发现30种可能对新型肺炎有治疗作用的药物”；"
"event/R40","科学家发现30种可能对新型肺炎有治疗作用的药物","新型冠状病毒事件","发生日期: “01/25/2020， 21：40：00”；简介: “中国科学院上海药物研究所和上海科技大学免疫化学研究所抗2019-nCoV病毒感染联合应急攻关团队发现了30种可能对2019-nCoV有治疗作用的药物、活性天然产物和中药。候选药物包括蛋白酶抑制剂茚地那韦、沙奎那韦、洛匹那韦、卡非佐米、利托那韦等12种抗HIV药物，2种抗呼吸道合胞病毒药物，1种抗人巨噬病毒药物，1种抗精神分裂症药物，1种免疫抑制剂以及2种其他类药物。”；url: “https：//m.weibo.cn/status/4464714450554337?”；消息来源: “人民日报”；之前发生: “军队部署展开应对突发公共卫生事件联防联控工作”；"
"event/R41","军队部署展开应对突发公共卫生事件联防联控工作","新型冠状病毒事件","发生日期: “01/24/2020， 18：18：00”；简介: “为认真贯彻落实习主席重要指示精神和中央军委部署要求，军委后勤保障部牵头展开军队应对突发公共卫生事件联防联控工作，组织军队专业医疗力量投入新型冠状病毒感染肺炎疫情的防控。前期，军队已组织驻武汉地区部队医院派出40名医护人员，在武汉肺科医院重症监护室展开救治工作。”；url: “https：//wap.peopleapp.com/article/5073380/4967919”；消息来源: “人民日报”；之前发生: “国务院征集新冠肺炎疫情防控工作问题线索”；"
"event/R42","国务院征集新冠肺炎疫情防控工作问题线索","新型冠状病毒事件","发生日期: “01/24/2020， 13：23：00”；简介: “国务院办公厅从即日起在国务院“互联网+督查”平台面向社会征集有关地方和部门在疫情防控工作中责任落实不到位、防控不力、推诿扯皮、敷衍塞责等问题线索，以及改进和加强防控工作的意见建议。 对涉及缓报、瞒报、漏报疫情，落实防控措施不力，导致疫情扩散等严重后果的重要问题线索，国务院办公厅督查室将直接派员进行督查。经查证属实的，将依法依规严肃处理。”；url: “https：//mp.weixin.qq.com/s/vQ-m0wW2cVZGYfJtAAMeiQ”；消息来源: “中国政府网”；之前发生: “世卫组织：新型肺炎不构成国际突发卫生事件”；"
"event/R43","世卫组织：新型肺炎不构成国际突发卫生事件","新型冠状病毒事件","发生日期: “01/24/2020， 06：52：00”；简介: “23晚，世卫组织召开新闻发布会：目前宣布“国际关注的公共卫生紧急事件”为时尚早，当前新型冠状病毒感染肺炎疫情对中国是一个紧急事件，但还不能认定为是国际紧急事件，因为当前疫情较为复杂，目前感染数量仍然达不到宣布紧急事件的标准，世卫组织将密切关注新冠肺炎。”；url: “https：//m.weibo.cn/status/4464150224652866?sudaref=login.sina.com.cn”；消息来源: “人民日报”；之前发生: “文化和旅游部、国家文物局：出现疑似病人就地停止旅游活动”；"
"event/R44","文化和旅游部、国家文物局：出现疑似病人就地停止旅游活动","新型冠状病毒事件","发生日期: “01/24/2020， 00：52：00”；简介: “文化和旅游市场一线从业人员要掌握相关城市疾控中心及医院的名称、地址和联系电话；要密切关注游客身体状况，发现疑似病症后及时就近联系医院，按指导送医；按要求对疑似病人及时采取临时隔离措施，就地停止旅游活动。实行旅游团队跟踪监测，完善旅游团队人员和行程资料信息，对旅游团队人员进行排查，及时将当地卫生健康部门确诊的或疑似团队游客病例报告。”；url: “https：//mp.weixin.qq.com/s/cICSHZNVynQj7m63RSAv1Q”；消息来源: “中国政府网”；之前发生: “财政部拨10亿补助湖北防控疫情”；"
"event/R45","财政部拨10亿补助湖北防控疫情","新型冠状病毒事件","发生日期: “01/23/2020， 23：50：00”；简介: “1月23日，按照国务院部署，财政部紧急下拨湖北省新型冠状病毒感染的肺炎疫情防控补助资金10亿元，支持湖北省开展疫情防控相关工作。（人民日报记者李忱阳）”；url: “https：//m.weibo.cn/status/4464041822671982?”；消息来源: “人民日报”；之前发生: “证据确凿！新冠肺炎病毒来自野生动物”；"
"event/R46","证据确凿！新冠肺炎病毒来自野生动物","新型冠状病毒事件","发生日期: “01/23/2020， 23：43：00”；简介: “国家卫健委专家高福表示，病毒不光在感染的人体内看到了，在华南海鲜市场非法销售野生动物的这些摊位也分离到了病毒，这应该说是证据确凿。”；url: “https：//m.weibo.cn/status/4464039793147643?”；消息来源: “人民日报”；之前发生: “民航机票免收退票费”；"
"event/R47","民航机票免收退票费","新型冠状病毒事件","发生日期: “01/23/2020， 22：01：00”；简介: “为全力做好新型冠状病毒肺炎疫情联防联控工作，民航局要求，自2020年1月24日0时起，此前已购买民航机票的旅客自愿退票的，各航空公司及其客票销售代理机构应免费办理退票，不得收取任何费用。”；url: “https：//weibo.com/2656274875/IqRnAwyjG?from=page_1002062656274875_profile&wvr=6&mod=weibotime&type=comment#_rnd1580973962341”；消息来源: “央视新闻”；之前发生: “教育部要求高校做好开学前疫情防控预案”；"
"event/R48","教育部要求高校做好开学前疫情防控预案","新型冠状病毒事件","发生日期: “01/23/2020， 20：58：00”；简介: “1月23日，教育部再发通知，要求教育系统做好新型冠状病毒感染的肺炎疫情防控应急预案工作。要求密切关注疫情发展情况，提前对春季开学有关情况做出科学研判，必要时对学校教学安排及相关工作做出调整。有关高校必须做好开学前疫情防控工作预案。”；url: “https：//weibo.com/2803301701/IqQYfowAq?from=page_1002062803301701_profile&wvr=6&mod=weibotime&type=comment#_rnd1580974033752”；消息来源: “人民日报”；之前发生: “人社部：医护人员感染新型肺炎应认定工伤”；"
"event/R49","人社部：医护人员感染新型肺炎应认定工伤","新型冠状病毒事件","发生日期: “01/23/2020， 20：10：00”；简介: “人社部、财政部、卫健委今天印发有关人员因履职感染新型肺炎保障通知，明确在新型冠状病毒肺炎预防和救治工作中，医护及相关工作人员因履行工作职责，感染新型冠状病毒肺炎或因感染新型冠状病毒肺炎死亡的，应认定为工伤，依法享受工伤保险待遇。”；url: “https：//weibo.com/2803301701/IqQE5tZla?from=page_1002062803301701_profile&wvr=6&mod=weibotime&type=comment#_rnd1580974076325”；消息来源: “人民日报”；之前发生: “武汉公交地铁轮渡长途客运23日起停运”；"
"event/R50","武汉公交地铁轮渡长途客运23日起停运","新型冠状病毒事件","发生日期: “01/23/2020， 02：16：00”；简介: “武汉市新型冠状病毒感染的肺炎疫情防控指挥部发布通告：自2020年1月23日10时起，武汉全市城市公交、地铁、轮渡、长途客运暂停运营；无特殊原因，市民不要离开武汉，机场、火车站离汉通道暂时关闭。”；url: “https：//www.weibo.com/2803301701/IqJCvwRuB?from=page_1002062803301701_profile&wvr=6&mod=weibotime&type=comment#_rnd1580974159935”；消息来源: “人民日报”；之前发生: “工信部紧急协调口罩生产确保市场供应”；"
"event/R51","工信部紧急协调口罩生产确保市场供应","新型冠状病毒事件","发生日期: “01/22/2020， 20：23：00”；简介: “针对近日新型冠状病毒感染的肺炎疫情加重，导致相关类型口罩需求量暴增的情况，工信部正按照重大传染病联防联控工作机制要求，紧急协调各省、市、自治区工信部门组织本地口罩生产企业克服春节期间用工困难，尽快抓紧生产，有效保障市场供应。”；url: “https：//www.weibo.com/2656274875/IqHv2736b?refer_flag=1001030103_&type=comment#_rnd1580974266755”；消息来源: “央视新闻”；之前发生: “三部门发紧急通知：加强野生动物市场监管 积极做好疫情防控”；"
"event/R52","三部门发紧急通知：加强野生动物市场监管积极做好疫情防控","新型冠状病毒事件","发生日期: “01/22/2020， 20：19：00”；简介: “1月21日，国家市场监管总局、农业农村部、国家林业和草原局下发《关于加强野生动物市场监管 积极做好疫情防控工作的紧急通知》，要求各地林草、农业农村和市场监管部门依照《中华人民共和国野生动物保护法》规定和职责分工，突出饲养、繁育、运输、出售、购买等环节，加强检验检疫力度。”；url: “http：//m.news.cctv.com/2020/01/22/ARTI5g3qj3fWm34yoBvb5Sgy200122.shtml”；消息来源: “央视新闻客户端”；之前发生: “钟南山肯定新型冠状病毒肺炎人传人”；"
"event/R53","钟南山肯定新型冠状病毒肺炎人传人","新型冠状病毒事件","发生日期: “01/20/2020， 21：56：00”；简介: “钟南山：根据目前的资料，新型冠状病毒肺炎是肯定的人传人，在广东有 2 个病例，没去过武汉，但家人去了武汉后染上了新型冠状病毒肺炎，现在可以说，肯定的，有人传人现象。”；url: “https：//m.weibo.cn/status/4462928671836931?”；消息来源: “央视新闻”；之前发生: “境内累计报告新型冠状病毒感染的肺炎病例 224 例”；"
"event/R54","境内累计报告新型冠状病毒感染的肺炎病例224例","新型冠状病毒事件","发生日期: “01/20/2020， 00：00：00”；简介: “截至 1 月 20 日 18 时，境内累计报告新型冠状病毒感染肺炎确诊 217 例（武汉市 198 例，北京市 5 例，广东省 14 例）；疑似病例 7 例（四川省 2 例，云南省 1 例，上海市 2 例，广西壮族自治区 1 例，山东省 1 例）。”；url: “http：//www.nhc.gov.cn/wjw/xwdt/202001/6be45fe493804bb6b96a3ed6c92ddb0f.shtml”；消息来源: “国家卫健委”；之前发生: “关于做好因新冠肺炎疫情影响造成监护缺失的儿童救助保护工作的通知”；"
"event/R55","关于做好因新冠肺炎疫情影响造成监护缺失的儿童救助保护工作的通知","国家政策事件","政策标题: “关于做好因新冠肺炎疫情影响造成监护缺失的儿童救助保护工作的通知”；政策发布日期: “2020年02月11日”；政策成文日期: “2020年02月11日”；政策发文机构: “民政部办公厅”；政策发文字号: “民电〔2020〕 19 号”；政策对象: “各省、自治区、直辖市民政厅（局），各计划单列市民政局，新疆生产建设兵团民政局”；政策依据: “为深入学习贯彻习近平总书记关于新型冠状病毒肺炎疫情防控工作的重要指示精神，全面贯彻落实党中央、国务院关于分类指导做好疫情防控工作决策部署，按照全国民政系统疫情防控工作电视电话会议要求，”；政策落款: “民政部办公厅;2020年2月 11日”；政策有关事项: “一是及时发现报告。要指导各地儿童督导员、儿童主任在乡镇（街道）、村（居）民委员会统一部署下，及时发现因新冠肺炎疫情影响造成监护缺失的儿童（包括父母或其他监护人确认感染、疑似感染或需隔离观察，父母或其他监护人因防疫抗疫工作需要以及其他因疫情影响不能完全履行抚养和监护责任的儿童），并第一时间向所在村（居）民委员会、乡镇（街道）报告相关信息，及时协调解决问题或报告反映困难。
二是分类做好临时照料。要根据因疫情影响造成监护缺失的儿童自身和家庭状况，区分不同情形，分类做好临时照料服务。对与患者有密切接触史、身体状况不明的儿童，在由指定地点进行隔离医学观察或诊断期间，要跟进了解相关情况。对确认其非感染或已过观察期而监护责任未落实或一时难以落实的儿童，当地民政部门要协调乡镇（街道）、村（居）民委员会落实临时照料、提供关爱服务，或由民政部门承担临时监护责任。
三是加强救助保障。加强对因疫情影响造成监护缺失的儿童救助保障工作，指导各地及时将其纳入救助保障范围，对于符合条件的，及时落实临时救助等社会救助政策和困境儿童保障政策，确保生活兜底到位。疫情防控期间符合事实无人抚养儿童、孤儿或其他困境儿童申请条件的，要优化简化审核审批程序，探索通过远程方式提供相关证明，也可采取个人承诺方式先行保障，其他手续可待疫情结束后补办，并做到当月审批、当月发放。
四是开通救助保护热线。各地要依托地市级未成年人救助保护机构等方式开通因疫情影响造成监护缺失的儿童救助保护热线并向社会公布，及时响应有关线索，做好临时照料咨询、转介服务、个案跟踪、资源链接等工作。地市级未成年人救助保护机构要加强与县级未成年人救助保护机构的联动，延伸服务触角，提升服务水平，切实做好救助保护工作。地方各级民政部门要依靠当地联防联控机制，充分发挥农村留守儿童关爱保护和困境儿童保障工作领导协调机制作用，加强部门间的沟通协作，保证信息通畅，确保紧急问题在第一时间得到处理，帮助因疫情影响造成监护缺失的儿童及其家庭顺利渡过难关。”；研究进展: “各省、自治区、直辖市民政厅（局），各计划单列市民政局，新疆生产建设兵团民政局：
为深入学习贯彻习近平总书记关于新型冠状病毒肺炎疫情防控工作的重要指示精神，全面贯彻落实党中央、国务院关于分类指导做好疫情防控工作决策部署，按照全国民政系统疫情防控工作电视电话会议要求，现就加强因新冠肺炎疫情影响造成监护缺失的儿童救助保护工作通知如下：
一是及时发现报告。要指导各地儿童督导员、儿童主任在乡镇（街道）、村（居）民委员会统一部署下，及时发现因新冠肺炎疫情影响造成监护缺失的儿童（包括父母或其他监护人确认感染、疑似感染或需隔离观察，父母或其他监护人因防疫抗疫工作需要以及其他因疫情影响不能完全履行抚养和监护责任的儿童），并第一时间向所在村（居）民委员会、乡镇（街道）报告相关信息，及时协调解决问题或报告反映困难。
二是分类做好临时照料。要根据因疫情影响造成监护缺失的儿童自身和家庭状况，区分不同情形，分类做好临时照料服务。对与患者有密切接触史、身体状况不明的儿童，在由指定地点进行隔离医学观察或诊断期间，要跟进了解相关情况。对确认其非感染或已过观察期而监护责任未落实或一时难以落实的儿童，当地民政部门要协调乡镇（街道）、村（居）民委员会落实临时照料、提供关爱服务，或由民政部门承担临时监护责任。
三是加强救助保障。加强对因疫情影响造成监护缺失的儿童救助保障工作，指导各地及时将其纳入救助保障范围，对于符合条件的，及时落实临时救助等社会救助政策和困境儿童保障政策，确保生活兜底到位。疫情防控期间符合事实无人抚养儿童、孤儿或其他困境儿童申请条件的，要优化简化审核审批程序，探索通过远程方式提供相关证明，也可采取个人承诺方式先行保障，其他手续可待疫情结束后补办，并做到当月审批、当月发放。
四是开通救助保护热线。各地要依托地市级未成年人救助保护机构等方式开通因疫情影响造成监护缺失的儿童救助保护热线并向社会公布，及时响应有关线索，做好临时照料咨询、转介服务、个案跟踪、资源链接等工作。地市级未成年人救助保护机构要加强与县级未成年人救助保护机构的联动，延伸服务触角，提升服务水平，切实做好救助保护工作。地方各级民政部门要依靠当地联防联控机制，充分发挥农村留守儿童关爱保护和困境儿童保障工作领导协调机制作用，加强部门间的沟通协作，保证信息通畅，确保紧急问题在第一时间得到处理，帮助因疫情影响造成监护缺失的儿童及其家庭顺利渡过难关。
民政部办公厅
2020年2月 11日”；"
"event/R56","关于做好疫情防控建设项目用地保障工作的通知","国家政策事件","政策标题: “关于做好疫情防控建设项目用地保障工作的通知”；政策发布日期: “2020年02月11日”；政策成文日期: “2020年02月11日”；政策发文机构: “自然资源部办公厅”；政策发文字号: “自然资办函〔2020〕215 号”；政策对象: “各省、自治区、直辖市自然资源主管部门、新疆生产建设兵团自然资源主管部门，中央军委后勤保障部军事设施建设局，国家林业和草原局，中国地质调查局及部其他直属单位，各派出机构，部机关各司局”；政策依据: “为认真贯彻党中央、国务院关于新型冠状病毒感染肺炎疫情防控工作部署，坚决打赢疫情防控阻击战，”；政策落款: “自然资源部办公厅;2020年 2月 11 日”；政策有关事项: “一、支持疫情防控建设项目先行使用土地。对于疫情防控急需使用的土地，可根据需要先行使用;对选址有特殊要求，确需占用永久基本农田和生态保护红线的，视作重大项目允许占用。使用期满不需转为永久性建设用地的，使用结束后恢复原状，交还原土地使用者，不再补办用地手续。需要转为永久性建设用地的，待疫情结束后及时完善用地手续。同时，要做好被占地单位和群众的补偿安置。
二、坚持节约集约用地。科学合理安排用地，坚持节约集约用地。严禁与防控疫情无关的项目搭便车违规用地。
三、保障疫情防控建设项目用地计划指标。对疫情防控建设项目，新增建设用地计划指标应保尽保，计划指标挂账使用。地方计划指标不足的，疫情结束后由省级自然资源主管部门汇总形成项目用地批准清单，由国家统一核销计划指标。
四、创新工作方式。各级自然资源主管部门在正常用地审批中，要根据防控疫情需要，通过开展网上联等，创新工作方式。可采取影像比对等方式，暂时取消永久基本农田占用和补划实地踏勘论证等户外要求。要围绕落实好 六稳 工作部署，抓紧做好交通、能源、水利等重大项目用地组卷报批工作，持续做好用地保障。”；研究进展: “各省、自治区、直辖市自然资源主管部门、新疆生产建设兵团自然资源主管部门，中央军委后勤保障部军事设施建设局，国家林业和草原局，中国地质调查局及部其他直属单位，各派出机构，部机关各司局：
为认真贯彻党中央、国务院关于新型冠状病毒感染肺炎疫情防控工作部署，坚决打赢疫情防控阻击战，现就做好疫情防控应急建设项目用地保障工作通知如下：
一、支持疫情防控建设项目先行使用土地。对于疫情防控急需使用的土地，可根据需要先行使用;对选址有特殊要求，确需占用永久基本农田和生态保护红线的，视作重大项目允许占用。使用期满不需转为永久性建设用地的，使用结束后恢复原状，交还原土地使用者，不再补办用地手续。需要转为永久性建设用地的，待疫情结束后及时完善用地手续。同时，要做好被占地单位和群众的补偿安置。
二、坚持节约集约用地。科学合理安排用地，坚持节约集约用地。严禁与防控疫情无关的项目搭便车违规用地。
三、保障疫情防控建设项目用地计划指标。对疫情防控建设项目，新增建设用地计划指标应保尽保，计划指标挂账使用。地方计划指标不足的，疫情结束后由省级自然资源主管部门汇总形成项目用地批准清单，由国家统一核销计划指标。
四、创新工作方式。各级自然资源主管部门在正常用地审批中，要根据防控疫情需要，通过开展网上联等，创新工作方式。可采取影像比对等方式，暂时取消永久基本农田占用和补划实地踏勘论证等户外要求。要围绕落实好 六稳 工作部署，抓紧做好交通、能源、水利等重大项目用地组卷报批工作，持续做好用地保障。
自然资源部办公厅
2020年 2月 11 日”；并发症: “关于做好因新冠肺炎疫情影响造成监护缺失的儿童救助保护工作的通知”；"
"event/R57","关于做好重点城市生活物资保供工作的通知","国家政策事件","政策标题: “关于做好重点城市生活物资保供工作的通知”；政策发布日期: “2020年02月11日”；政策成文日期: “2020年02月11日”；政策发文机构: “商务部办公厅”；政策依据: “为贯彻落实党中央、国务院关于做好新型冠状病毒感染肺炎疫情防控工作的有关决策部署，在做好疫情防控工作的同时，科学有效保障人口密集、返城人员集中、疫情防控和保供压力大的重点城市生活物资供给”；政策落款: “商务部办公厅;2020 年 02 月 11 日”；研究进展: “为贯彻落实党中央、国务院关于做好新型冠状病毒感染肺炎疫情防控工作的有关决策部署，在做好疫情防控工作的同时，科学有效保障人口密集、返城人员集中、疫情防控和保供压力大的重点城市生活物资供给，2 月 10 日，商务部印发《关于做好重点城市生活物资保障工作的通知》（以下简称《通知》）。《通知》要求，各地商务主管部门在当地党委、政府统一领导和部署下，坚持属地原则与联保联供并重、市场原则与政府保障并重、疫情防控与保障供应并重、抓重点与顾全面并重，通过摸清底数情况、强化预警监测、加强物资储备、强化调运配送、做好应急保障、维护市场秩序、动员各方力量等措施，围绕大米、面粉、食用油、肉类、鸡蛋、奶类、蔬菜、方便食品等重要生活物资，完成好重点城市保供任务。
商务部办公厅关于做好重点城市生活物资保供工作的通知.pdf”；并发症: “关于做好疫情防控建设项目用地保障工作的通知”；"
"event/R58","关于支持新型冠状病毒感染的肺炎疫情防控有关税收征收管理事项的公告","国家政策事件","政策标题: “关于支持新型冠状病毒感染的肺炎疫情防控有关税收征收管理事项的公告”；政策发布日期: “2020年02月11日”；政策成文日期: “2020年02月10日”；政策发文机构: “税务总局”；政策发文字号: “国家税务总局公告 2020 年第4 号”；政策依据: “为支持新型冠状病毒感染的肺炎疫情防控工作，贯彻落实相关税收政策”；政策落款: “国家税务总局;2020年2月 10 日”；政策有关事项: “一、疫情防控重点保障物资生产企业按照《财政部 税务总局关于支持新型冠状病毒感染的肺炎疫情防控有关税收政策的公告》（2020 年第 8 号，以下简称 8 号公告 ）第二条规定，适用增值税增量留抵退税政策的，应当在增值税纳税申报期内，完成本期增值税纳税申报后，向主管税务机关申请退还增量留抵税额。
二、纳税人按照8号公告和《财政部 税务总局关于支持新型冠状病毒感染的肺炎疫情防控有关捐赠税收政策的公告》（2020 年第 9 号，以下简称 9 号公告 ）有关规定享受免征增值税、消费税优惠的，可自主进行免税申报，无需办理有关免税备案手续，但应将相关证明材料留存备查。适用免税政策的纳税人在办理增值税纳税申报时，应当填写增值税纳税申报表及《增值税减免税申报明细表》相应栏次;在办理消费税纳税申报时，应当填写消费税纳税申报表及《本期减（免）税额明细表》相应栏次。
三、纳税人按照 8 号公告和 9 号公告有关规定适用免征增值税政策的，不得开具增值税专用发票;已开具增值税专用发票的，应当开具对应红字发票或者作废原发票，再按规定适用免征增值税政策并开具普通发票。纳税人在疫情防控期间已经开具增值税专用发票，按照本公告规定应当开具对应红字发票而未及时开具的，可以先适用免征增值税政策，对应红字发票应当于相关免征增值税政策执行到期后 1 个月内完成开具。
四、在本公告发布前，纳税人已将适用免税政策的销售额、销售数量，按照征税销售额、销售数量进行增值税、消费税纳税申报的，可以选择更正当期申报或者在下期申报时调整。已征应予免征的增值税、消费税税款，可以予以退还或者分别抵减纳税人以后应缴纳的增值税、消费税税款。
五、疫情防控期间，纳税人通过电子税务局或者标准版国际贸易 单一窗口 出口退税平台等（以下简称 网上 ）提交电子数据后，即可申请办理出口退（免）税备案、备案变更和相关证明。税务机关受理上述退（免）税事项申请后，经核对电子数据无误的，即可办理备案、备案变更或者开具相关证明，并通过网上反馈方式及时将办理结果告知纳税人。纳税人需开具纸质证明的，税务机关可采取邮寄方式送达。确需到办税服务厅现场结清退（免）税款或者补缴税款的备案和证明事项，可通过预约办税等方式，分时分批前往税务机关办理。
六、疫情防控期间，纳税人的所有出口货物劳务、跨境应税行为，均可通过网上提交电子数据的方式申报出口退（免）税。税务机关受理申报后，经审核不存在涉嫌骗取出口退税等疑点的，即可办理出口退（免）税，并通过网上反馈方式及时将办理结果告知纳税人。
七、因疫情影响，纳税人未能在规定期限内申请开具相关证明或者申报出口退 （免）税的，待收齐退（免）税凭证及相关电子信息后，即可向主管税务机关申请开具相关证明，或者申报办理退（免）税。因疫情影响，纳税人无法在规定期限内收汇或办理不能收汇手续的，待收汇或办理不能收汇手续后，即可向主管税务机关申报办理退（免）税。
八、疫情防控结束后，纳税人应按照现行规定，向主管税务机关补报出口退（免）税应报送的纸质申报表、表单及相关资料。税务机关对补报的各项资料进行复核。
九、疫情防控重点保障物资生产企业按照 8 号公告第一条规定，适用一次性企业所得税税前扣除政策的，在优惠政策管理等方面参照《国家税务总局关于设备器具扣除有关企业所得税政策执行问题的公告》（2018 年第 46 号）的规定执行。企业在纳税申报时将相关情况填入企业所得税纳税申报表 固定资产一次性扣除 行次。
十、受疫情影响较大的困难行业企业按照 8 号公告第四条规定，适用延长亏损结转年限政策的，应当在 2020 年度企业所得税汇算清缴时，通过电子税务局提交《适用延长亏损结转年限政策声明》（见附件）。
十一、纳税人适用 8 号公告有关规定享受免征增值税优惠的收入，相应免征城市维护建设税、教育费附加、地方教育附加。
十二、9 号公告第一条所称 公益性社会组织 ，是指依法取得公益性捐赠税前扣除资格的社会组织。企业享受9 号公告规定的全额税前扣除政策的，采取 自行判别、申报享受、相关资料留存备查 的方式，并将捐赠全额扣除情况填入企业所得税纳税申报表相应行次。个人享受 9 号公告规定的全额税前扣除政策的，按照《财政部 税务总局关于公益慈善事业捐赠个人所得税政策的公告》（2019 年第 99 号）有关规定执行;其中，适用 9 号公告第二条规定的，在办理个人所得税税前扣除、填写《个人所得税公益慈善事业捐赠扣除明细表》时，应当在备注栏注明 直接捐赠 。企业和个人取得承担疫情防治任务的医院开具的捐赠接收函，作为税前扣除依据自行留存备查。
十三、本公告自发布之日施行。”；研究进展: “为支持新型冠状病毒感染的肺炎疫情防控工作，贯彻落实相关税收政策，现就税收征收管理有关事项公告如下：
一、疫情防控重点保障物资生产企业按照《财政部 税务总局关于支持新型冠状病毒感染的肺炎疫情防控有关税收政策的公告》（2020 年第 8 号，以下简称 8 号公告 ）第二条规定，适用增值税增量留抵退税政策的，应当在增值税纳税申报期内，完成本期增值税纳税申报后，向主管税务机关申请退还增量留抵税额。
二、纳税人按照8号公告和《财政部 税务总局关于支持新型冠状病毒感染的肺炎疫情防控有关捐赠税收政策的公告》（2020 年第 9 号，以下简称 9 号公告 ）有关规定享受免征增值税、消费税优惠的，可自主进行免税申报，无需办理有关免税备案手续，但应将相关证明材料留存备查。适用免税政策的纳税人在办理增值税纳税申报时，应当填写增值税纳税申报表及《增值税减免税申报明细表》相应栏次;在办理消费税纳税申报时，应当填写消费税纳税申报表及《本期减（免）税额明细表》相应栏次。
三、纳税人按照 8 号公告和 9 号公告有关规定适用免征增值税政策的，不得开具增值税专用发票;已开具增值税专用发票的，应当开具对应红字发票或者作废原发票，再按规定适用免征增值税政策并开具普通发票。纳税人在疫情防控期间已经开具增值税专用发票，按照本公告规定应当开具对应红字发票而未及时开具的，可以先适用免征增值税政策，对应红字发票应当于相关免征增值税政策执行到期后 1 个月内完成开具。
四、在本公告发布前，纳税人已将适用免税政策的销售额、销售数量，按照征税销售额、销售数量进行增值税、消费税纳税申报的，可以选择更正当期申报或者在下期申报时调整。已征应予免征的增值税、消费税税款，可以予以退还或者分别抵减纳税人以后应缴纳的增值税、消费税税款。
五、疫情防控期间，纳税人通过电子税务局或者标准版国际贸易 单一窗口 出口退税平台等（以下简称 网上 ）提交电子数据后，即可申请办理出口退（免）税备案、备案变更和相关证明。税务机关受理上述退（免）税事项申请后，经核对电子数据无误的，即可办理备案、备案变更或者开具相关证明，并通过网上反馈方式及时将办理结果告知纳税人。纳税人需开具纸质证明的，税务机关可采取邮寄方式送达。确需到办税服务厅现场结清退（免）税款或者补缴税款的备案和证明事项，可通过预约办税等方式，分时分批前往税务机关办理。
六、疫情防控期间，纳税人的所有出口货物劳务、跨境应税行为，均可通过网上提交电子数据的方式申报出口退（免）税。税务机关受理申报后，经审核不存在涉嫌骗取出口退税等疑点的，即可办理出口退（免）税，并通过网上反馈方式及时将办理结果告知纳税人。
七、因疫情影响，纳税人未能在规定期限内申请开具相关证明或者申报出口退 （免）税的，待收齐退（免）税凭证及相关电子信息后，即可向主管税务机关申请开具相关证明，或者申报办理退（免）税。因疫情影响，纳税人无法在规定期限内收汇或办理不能收汇手续的，待收汇或办理不能收汇手续后，即可向主管税务机关申报办理退（免）税。
八、疫情防控结束后，纳税人应按照现行规定，向主管税务机关补报出口退（免）税应报送的纸质申报表、表单及相关资料。税务机关对补报的各项资料进行复核。
九、疫情防控重点保障物资生产企业按照 8 号公告第一条规定，适用一次性企业所得税税前扣除政策的，在优惠政策管理等方面参照《国家税务总局关于设备器具扣除有关企业所得税政策执行问题的公告》（2018 年第 46 号）的规定执行。企业在纳税申报时将相关情况填入企业所得税纳税申报表 固定资产一次性扣除 行次。
十、受疫情影响较大的困难行业企业按照 8 号公告第四条规定，适用延长亏损结转年限政策的，应当在 2020 年度企业所得税汇算清缴时，通过电子税务局提交《适用延长亏损结转年限政策声明》（见附件）。
十一、纳税人适用 8 号公告有关规定享受免征增值税优惠的收入，相应免征城市维护建设税、教育费附加、地方教育附加。
十二、9 号公告第一条所称 公益性社会组织 ，是指依法取得公益性捐赠税前扣除资格的社会组织。企业享受9 号公告规定的全额税前扣除政策的，采取 自行判别、申报享受、相关资料留存备查 的方式，并将捐赠全额扣除情况填入企业所得税纳税申报表相应行次。个人享受 9 号公告规定的全额税前扣除政策的，按照《财政部 税务总局关于公益慈善事业捐赠个人所得税政策的公告》（2019 年第 99 号）有关规定执行;其中，适用 9 号公告第二条规定的，在办理个人所得税税前扣除、填写《个人所得税公益慈善事业捐赠扣除明细表》时，应当在备注栏注明 直接捐赠 。企业和个人取得承担疫情防治任务的医院开具的捐赠接收函，作为税前扣除依据自行留存备查。
十三、本公告自发布之日施行。
特此公告。
附件：适用延长亏损结转年限政策声明
国家税务总局
2020年2月 10 日”；并发症: “关于做好重点城市生活物资保供工作的通知”；"
