nodename,nodeclass,describe,properties
"张继先","人物","张继先，女，中共党员，主任医师、教授，中华医学会呼吸病学分会湖北省、武汉市委员，湖北省职业病尘肺病鉴定专家。现任湖北省中西医结合医院呼吸内科主任，内科党支部书记。擅长诊治气道疾病，间质性肺部疾病及呼吸危重症，能熟练应用纤支镜进行呼吸系统疾病的诊断与治疗。2019年12月27日，张继先最早发现新型冠状病毒疫情苗头，并和院方一起坚持上报。2020年2月4日，湖北省人力资源和社会保障厅、省卫生健康委员会决定给予张继先同志记大功奖励。","中文名：张继先；性别：女；职位：主任；科室：呼吸与重症医学科；地区：湖北省；任职机构：湖北省中西医结合医院；国籍：中国；职业：医生；"
"呼吸系统疾病","疾病","呼吸系统疾病是一种常见病、多发病，主要病变在气管、支气管、肺部及胸腔，病变轻者多咳嗽、胸痛、呼吸受影响，重者呼吸困难、缺氧，甚至呼吸衰竭而致死。在城市的死亡率占第3位，而在农村则占首位。更应重视的是由于大气污染、吸烟、人口老龄化及其他因素，使国内外的慢性阻塞性肺病（简称慢阻肺，包括慢性支气管炎、肺气肿、肺心病）、支气管哮喘、肺癌、肺部弥散性间质纤维化，以及肺部感染等疾病的发病率、死亡率有增无减。","中文名：呼吸系统疾病；临床表现：轻者多咳嗽、胸痛、呼吸受影响，重者呼吸困难、缺氧，甚至呼吸衰竭而致死；发病部位：气管 支气管 肺部及胸腔；"
"中医学","医学学科","中医学是研究人体生理病理，疾病诊断与防治以及摄生康复的一门医学科学，至今已有数千年的历史。中医学是“以中医药理论与实践经验为主体，研究人类生命活动中医学中健康与疾病转化规律及其预防、诊断、治疗、康复和保健的综合性科学”。 中医学属于在阴阳五行理论指导下、从动态整体角度研究人体生理病理药理及其与自然环境关系、寻求防治疾病最有效方法的学问。任何一种理论，如果不具备整体观念的特色，它就不会是完全意义上的中医学，具备了整体观念若是还不具备动态的性质，那么，这种理论也就还没有完全把握到中医学的真谛。“整体观念”和“辨证论治”是中医理论的基本特色，但现有的中医学，除了《中医生理病理系统论》，几乎还没有人能达到这样的能全方位的突出“整体观念”和“辨证论治”特色的，既能揭示脏腑的阴阳气化规律、沟通与天地阴阳气化规律联系，又能揭示疾病的证侯规律的理论体系。 比如说中医学有从整体观念角度形成的“正气与邪气是构成疾病的基本矛盾”的概念，按理说这应该是中医确定病名的理论依据。然而，由于其几乎丧失了阴阳五行理论对其的指导作用与价值，必然就分不清“病因”与“证因”的区别与联系，意识到“病”和“证”是构成疾病的基本要素，而是把“病因”与“证因”混为一谈，甚至最后连病症这些分别处于不同逻辑范畴的概念也混淆。然而，阴阳五行属于中国古代哲学范畴，将哲学和医学混为一谈，这使得部分人不能信服，也成为了质疑其科学性者的把柄。","中文名称：中医学；外文名：Traditional Chinese Medicine；别称：汉族医学 汉医 国医；起源：汉族；应用学科：医学；适用领域范围：医疗卫生保健；"
"临床合理用药杂志","杂志","《临床合理用药》杂志是经国家新闻出版总署批准的综合性医药卫生类学术期刊，由河北省科技协会主管、主办。是中国核心期刊（遴选）数据库收录期刊、中国学术期刊综合评价数据库来源期刊、万方数据库数字化期刊群来源期刊、中文科技期刊数据库收录期刊、中文生物医学期刊群入网期刊。",""
"连花清瘟胶囊","中药材","连花清瘟胶囊，清瘟解毒，宣肺泄热。用于治疗流行性感冒属热毒袭肺证，症见：发热或高热，恶寒，肌肉酸痛，鼻塞流涕，咳嗽，头痛，咽干咽痛，舌偏红，苔黄或黄腻等。国家医保甲类品种（2019版）；国家基本药物目录；中药保护品种。","中文名：连花清瘟胶囊；外文名：Lianhuaqingwen Jiaonang；性状：为胶囊剂，内容物为棕黄色至黄褐色颗粒；味微苦，气微香；药品类别：OTC甲类、基本药物、医保工伤用药；适应症：清瘟解毒，宣肺泄热；规 格：每粒装0.35g；剂 型：胶囊剂；药品类型：中药；"
"甲型流感病毒","病毒","甲型流感病毒为常见流感病毒，甲型流感病毒最容易发生变异，甲型流感病毒的亚型则被人们称为“禽流感”，禽流感（Bird Flu）是由禽流感病毒引起的一种急性传染病，病毒基因变异后能够感染人类，感染后的症状主要表现为高热、咳嗽、流涕、肌痛等，多数伴有严重的肺炎，严重者心、肾等多种脏器衰竭导致死亡，病死率很高。此病可通过消化道、呼吸道、皮肤损伤和眼结膜等多种途径传播，人员和车辆往来是传播本病的重要因素。甲型流感对人类致病性高，曾多次引起世界性大流行。甲型流感病毒中至今发现能直接感染人的禽流感病毒亚型有：甲型H1N1、H5N1、H7N1、H7N2、H7N3、H7N7、H7N9、H9N2和H10N8。其中H1、H5、H7亚型为高致病性，H1N1、H5N1、H7N9尤为值得关注。截至2010年3月31日，全国31个省份累计报告甲型H1N1流感确诊病例12.7余万例，其中境内感染12.6万例，境外输入1228例；死亡病例800例。","中文名：甲型流感病毒；外文名：Influenza A virus；传染病：是；传播途径：消化道呼吸道、皮肤损伤和眼结膜；临床表现：突然发热、头晕头痛等；并发症：肺炎；疫苗预防：是；预防措施：注意保持个人卫生；属 性：加强体育锻炼；亚 型：流行期应尽量避免到公共场所；种 类：常见流感病；"
"中国预防医学杂志","杂志","《中国预防医学杂志》为国家卫生部主管，中华预防医学会主办的综合性预防医学学术期刊","名称：中国预防医学杂志；英文名：Chinese Journal of Preventive Medicine；语种：中文；主办单位：中华预防医学会；创刊时间：2000年；出版周期：双月；邮发代号：2-764；主管单位：国家卫生部；"
"中国职业医学","杂志","《中国职业医学》系由中华人民共和国卫生部主管、中华预防医学会和华南区域劳动卫生职业病防治中心联合主办的中华预防医学会系列杂志。","名称：中国职业医学；英文名：China Occupational Medicine；类别：出版，医学期刊；语种：中文；主办单位：中华预防医学会和华南区域劳动卫生职业病防治中心；出版周期：双月刊；国内刊号：CN：44-1484/R；国际刊号：ISSN：1000-6486；邮发代号：46-103；定价：6.00元/期；36.00元/年；国别：中国；主管单位：中华人民共和国卫生部；编辑单位：《中国职业医学》编辑部；"
"中国当代医药","杂志","《中国当代医药》杂志是经国家新闻出版总署批准，卫生部主管，中国保健协会、当代创新（北京）医药科学研究院主办的国家级医药卫生专业期刊，国内刊号CN11-5786/R，国际刊号ISSN1674—4721；本刊现为旬刊，每册定价20元人民币，国内外公开发行，国内邮发代号2-515，国外发行代号M5169。该刊已被中国核心期刊（遴选）数据库、解放军医学图书馆数据库全文收录期刊，所刊登的文章被万方数据、中国知网、中国学术期刊网络出版总库、中国期刊全文数据库、中文科技期刊数据库全文收录。","名称：中国当代医药；英文名：China Modern Medicine；类别：国家级；语种：中文；主办单位：中国保健协会；总部地址：北京市；创刊时间：2008年；出版周期：旬刊；主要栏目：专家论坛、论著、短篇论著、研究进展、实验研究（基础研究）、临床研究、药理与毒理、生物医药、药品鉴定、药物与临床、新药评价、麻醉与镇痛、医学检验、病理分析、影像与介入等；国内刊号：11-5786/R；国际刊号：1674-4721；邮发代号：国内2-515；国外M5169；定价：20元；国别：中国；主管单位：中华人民共和国卫生部；编辑单位：中国当代医药杂志社；"
"临床肺科杂志","杂志","《临床肺科杂志》（Journal of Clinical Pulmonary Medicine）是由安徽省教育厅主管，安徽医科大学、解放军第105医院主办的学术性期刊。《临床肺科杂志》创刊于1996年。据2018年5月《临床肺科杂志》官网显示，《临床肺科杂志》编委会拥有常务编委15人、编委63人。据2018年5月21日中国知网显示，《临床肺科杂志》共出版文献15930篇，总被下载967550次、总被引71301次、（2017版）复合影响因子为0.790、（2017版）综合影响因子为0.659。 据2018年5月21日万方数据知识服务平台显示，《临床肺科杂志》载文量为14890，被引量为63087，下载量为358138，2015年影响因子为1.42。","名称：临床肺科杂志；英文名：Journal of Clinical Pulmonary Medicine；类别：出版，医学期刊；语种：中文，英文；主办单位：安徽医科大学，解放军105医院；主编：《临床肺科杂志》编辑部；出版周期：月刊；国内刊号：CN：34-1230/R；国际刊号：ISSN：1009-6663；邮发代号：26-174；定价：12.00元/期，144.00元/年；主管单位：安徽省教育厅；编辑单位：《临床肺科杂志》编辑部；杂志社地址：安徽省合肥市；其他：开本大16开；"
"预防医学","书籍","《预防医学》是2006年北京大学医学出版社出版的图书，作者是袁玉华。",""
"临床合理用药杂志","杂志","《临床合理用药》杂志是经国家新闻出版总署批准的综合性医药卫生类学术期刊，由河北省科技协会主管、主办。是中国核心期刊（遴选）数据库收录期刊、中国学术期刊综合评价数据库来源期刊、万方数据库数字化期刊群来源期刊、中文科技期刊数据库收录期刊、中文生物医学期刊群入网期刊。",""
"王一惠","人物","王一惠是一名就职于商业 德州市审计局的副局长、高级审计师。","中文名：王一惠；出生地：夏津县；民族：汉族；国籍：中国；职业：商业 德州市审计局，副局长、高级审计师；毕业院校：山东财经学院；籍贯：山东省；"
"吕隽","人物","吕隽，1928年7月生，江苏省泰兴市人。中共党员。主任医师。原任华东医院党委书记（副厅职），享受国务院颁发的政府特殊津贴。长期从事高干医疗保健老年病学研究和高干医院的建设、管理及领导工作。1990年被评为上海市卫生系统优秀党务工作者，1992年荣获国务院颁发的“专家特殊贡献证书”。1993年8月，被任命为上海宏恩实业总公司总经理。","中文名：吕隽；出生日期：1928年7月；性别：男；职位：主任医生；地区：江苏省泰兴市；"
"刘旭","人物","毕业于河北医科大学，主要从事风湿免疫，腰椎间盘突出等相关骨科病的治疗及临床研究，尤其是对各种颈肩腰腿痛的个体化治疗有精通的见解，擅长颈椎病、腰椎间盘突出症，强直性脊柱炎、等骨科疾病。作为中国骨科界的权威人物，他一直致力于腰突方面的研究，熟练掌握骨科病的诊断治疗，刘主任在国内较早采用德国pt-c纤维环修复疗法治疗腰椎间盘突出，现仍在临床一线负责临床、科研教学工作，熟练掌握本学科前沿知识和新技术、新进展，促使腰突方面稳步发展，始终保持在国内先进水平。","中文名：刘旭"
"孙震","人物","孙震（1892.2.5－1985.9.9），国民革命军陆军上将（1939年），谱名孙定懋，后改名孙楙，再改名孙震，字德操，别号梦僧。孙震中华民国军事家、教育家，原籍浙江绍兴杨家垅（今齐贤镇），出生于四川华阳（今四川省成都市双流区华阳街道）。他是孙元良的叔父，秦汉叔祖父。","姓名：孙震；性别：男；所处时代：20世纪；别称：梦僧；字号：字德操；职业：中华民国高级将领；民族族群：汉族；出生地：四川华阳；出生日期：1892年2月5日；去世日期：1985年9月9日；主要成就：建立成都市树德中学、获得抗战胜利勋章；毕业院校：陆军大学将官班甲级第一期；军 衔：陆军上将；参加战役：滕县保卫战；勋 章：抗战胜利勋章；"
"鲁翔","人物","鲁翔，男，主任医师，教授，医学硕士，管理学博士。现任南京医科大学副校长兼任南京医科大学第二附属医院院长、中华医院协会江苏分会理事兼质量控制委员会副主任委员、中华医学会老年分会全国委员、中华预防医学会妇幼分会全国委员、中华医学会江苏分会老年医学委员会委员、秘书。","临床职称：主任医师，医学硕士；教学职称：教授；"
"南京医科大学","大学","南京医科大学（Nanjing Medical University），简称南医大，位于南京市，由教育部、国家卫生和计划生育委员会、江苏省共建，是江苏省属重点建设大学、教育部“卓越医生教育培养计划”试点高校、国家建设高水平大学公派研究生项目实施高校、国家“特色重点学科项目”建设高校、中国政府奖学金来华留学生接收院校、江苏省高层次人才培养计划“333工程”培训基地。南京医科大学创建于1934年，时名江苏省立医政学院。1957年，由镇江迁至南京，更名为南京医学院。1962年，被列为全国首批六年制医药院校。1981年，被批准为全国首批博士、硕士学位授予单位。1993年，更名为南京医科大学。2015年9月，获准成为首批教育部、国家卫生计生委与省政府共建医学院校。截至2019年3月，学校建有江宁校区、五台校区以及康达学院连云港校区；设有19个学院（包含康达学院）；拥有25所附属医院和50多所教学医院；校本部有在职教职工1700多人，其中学校编制专任教师884人；拥有中文（外文）纸质图书、电子图书、全文电子期刊共一千多万册； 一级学科博士点8个、二级学科博士点54个、3个交叉学科博士点；一级学科硕士点12个、二级学科硕士点67个；博士后科研流动站7个；7个学科进入ESI全球排名前1%，其中，临床医学学科进入ESI全球排名前1‰。在全国第四轮学科评估中，学校公共卫生与预防医学在全国54所参评高校中获评A+等级。2018年，学校获得295项国家自然科学基金项目资助，项目数位居独立设置医科大学第1位。","中文名：南京医科大学；外文名：Nanjing Medical University；别称：南医大；创办时间：1934年；学校类别：公立大学；学校类型：医药；学校属性：省属重点大学、研究型大学、省部共建高校、卓越医生教育培养计划；所属地区：中国南京；现任校长：沈洪兵；知名校友：李岚清、郑国锠、王学浩、王存玉、顾东风、蒋作君等；主管部门：江苏省；硕士点：85个；博士点：61个；博士后流动站：7个；校训：博学至精，明德至善；专职院士：中国工程院院士1人、美国国家医学院院士1人；主要院系：基础医学院、公共卫生学院、口腔医学院、药学院、护理学院等；国家重点学科：4个；学校地址：江苏省南京市汉中路140号；学校代码：10312；主要奖项：国家自然科学奖等国家级成果奖4项（“十二五”以来）、江苏省毕业生就业工作先进集体、江苏省科技工作先进高校；发展目标：国际知名特色鲜明高水平医科大学；招生电话：025-86863443 86862670；电子邮箱：zj@njmu.edu.cn；国重实验室：生殖医学国家重点实验室；"
"南京医科大学附属逸夫医院","医院","南京医科大学附属逸夫医院由南京医科大学与江宁区人民政府合作共建，是经教育部批准、香港邵逸夫基金会捐资冠名的省属公立事业单位，以三级甲等医院为标准建设的集医疗、教学、科研、服务管理于一体的综合性教学医院。","中文名称：南京医科大学附属逸夫医院；医院别名：南京医科大学第三附属医院；医院性质：国营；所在地区：南京市江宁区龙眠大道109号；院长姓名：鲁翔；建院年份：医院于2016年6月正式开业；医院类型：综合医院；医院等级：三级甲等；科室数量：40多；病床数量：1200；是否医保：是；联系地址：南京市江宁区龙眠大道109号；特色专科：肾脏泌尿中心、神经脑病中心、临床病理与检验中心、健康管理中心；所设科室：内科 外科 妇产科 儿科 诊疗中心 医技及其他；总部地点：呼吸病诊治中心以及健康管理中心、脊柱与关节中心、临床病理与检验中心；员工数：650多；办院方向：“以病人为中心、以质量为核心；建设方针：我们最年轻，我们最认真”，提倡微笑服务和诚信服务；特色诊室：呼吸病诊治中心以及健康管理中心、脊柱与关节中心、临床病理与检验中心；重点科室：心脑血管与老年病诊治中心、肾脏病诊治中心、；医院院训：“博学至精，明德至善”的校训及“传承创新，知行合一”的院训精神；"
"副校长","职务","在大部分的学校中，都有一个或多个的副校长来帮助校长处理事务，拥有比校长低一级的权力。副校长通常都有特定的职务，例如有专负责学术或专负责校务的副校长。","中文名：副校长；工作内容：负责学术或专负责校务；地点：学校；权利：比校长低一级的权力；"
"吴红辉","人物","讲师介绍： 擅长领域： 服务客户：","中文名：吴红辉"
"武汉","城市","武汉，简称“汉”，别称“江城”，是湖北省省会，中部六省唯一的副省级市和特大城市，中国中部地区的中心城市，长江经济带核心城市，全国重要的工业基地、科教基地和综合交通枢纽，中央军委联勤保障部队驻地。全市下辖13个市辖区，总面积8494.41平方公里，2018年常住人口1108.1万人，地区生产总值1.48万亿元。武汉地处江汉平原东部、长江中游。世界第三大河长江及其最大支流汉江横贯市境中央，将武汉中心城区一分为三，形成武汉三镇隔江鼎立的格局，市内江河纵横、湖港交织，水域面积占全市总面积四分之一，构成滨江滨湖的水域生态环境。武汉是国家历史文化名城、楚文化的重要发祥地，境内盘龙城遗址有3500年历史。春秋战国以来，武汉一直是中国南方的军事和商业重镇，明清时期成为“楚中第一繁盛处”、“天下四聚”之一。清末洋务运动促进了武汉工商业兴起，使其成为近代中国重要的经济中心，被誉为“东方芝加哥”。武汉是中国民主革命的发祥地，武昌起义作为辛亥革命的开端，具有重要历史意义。","中文名：武汉；外文名：Wuhan；别称：江城、大武汉、九省通衢、东方芝加哥；所属地区：中国华中地区 湖北省；面积：8494.41平方公里；人口：1091.4万（2017年）；GDP：123111元（2017年）；地理位置：江汉平原东部，长江、汉江交汇处；著名景点：东湖、黄鹤楼、木兰天池、汉口租界、归元寺、欢乐谷、汉口江滩等；市花、市树：市树：水杉；市花：梅花；机场：武汉天河国际机场、顺丰国际机场；电话区码：027；政府驻地：江岸区沿江大道188号；火车站：武昌站、汉口站、武汉站、光谷站、新汉阳站等；行政类别：地级市；地方方言：西南官话-武天片-武汉话；著名学校：武汉大学、华中科技大学等；车牌代码：鄂A；地区生产总值：13410.34亿元（2017年）；现任领导：市委书记：马国强；市长：周先旺；城镇人均收入：123111元（2017年）；城市类别：地级市；城市精神：敢为人先，追求卓越；气候条件：亚热带季风气候；市长：周先旺；邮政编码：430000；下辖区域：13个市辖区；"
"吴雷","人物","吴雷，男，1990年1月6日生，2010年《快乐男声》50强选手。","中文名：吴雷；英文名：Allen Wu；别名：爱伦·吴；性别：男；出生日期：1990年1月6日；国籍：中国；出生地：哈尔滨；经纪公司：索尼唱片公司（2010年加盟）；星座：水瓶座；生肖：马；家庭成员：父母；"
"黄英姿","人物","黄英姿，医学博士，现为东南大学附属中大医院重症医学科主任医师、硕士生导师。","中文名：黄英姿"
"蒋银珠","人物","蒋银珠，眼科副主任医师，任职于北京航天总医院。","中文名：蒋银珠；职位：副主任医师；科室：眼科；地区：北京；行业：医生；"
"魏瑜","人物","简介 魏瑜，女，汉族，43岁，四川三台人，在职大专，无党派，曾任三台县审计局副局长。 2011年10月10日，提名为三台县人大常委会副主任人选。","中文名：魏瑜"
"高娟","人物","高娟，中国知名英语教育与快速记忆教育专家，记忆术与思维导图研究先行者。高娟老师大学毕业后一直孜孜不倦地从事于教学工作，担任小学、初中、高中各年级的英语课程及班主任老师，期间深受学生喜欢，家长的好评。现任南京拓普教育快速记忆、思维导图专业授课讲师，并担任多个课题组的研发工作。","中文名：高娟；性别：女；职业：教育专家；"
"徐婷婷","人物","徐婷婷，东道主福州队射击运动员。","中文名：徐婷婷"
"王任重","人物","王任重，男，1917年出生，河北省衡水市景县人。1932年加入中国共产主义青年团，1933年加入中国共产党。1949年5月，任中共湖北省委常委、省人民政府副主席。1954年后，任中共湖北省委第一书记兼武汉军区第一政治委员，政协湖北省委员会主席。1958年5月，增补为中共第八届中央候补委员。“文化大革命”中，受到林彪、江青反革命集团迫害，被关押。1978年恢复工作，任中共陕西省委第一书记，同年底，任国务院副总理。1980年任中共中央宣传部长，中共中央书记处书记。1988年3月至1992年任政协全国委员会副主席。1992年3月16日病逝。中共第十一、十二、十三届中央委员。","中文名：王任重；性别：男；出生日期：1917年；国籍：中国；籍贯：河北省；出生地：直隶（今河北）景县王瞳；毕业院校：景县乡村师范学校；主要成就：国务院副总理、中央宣传部部长、中央书记处书记；政党：中国共产党；入党时间：1933年；职位：曾任国务院副总理；去世日期：1992年3月16日；信仰：马列、毛泽东思想、共产主义；"
"齐栩","人物","擅长右心导管检查，肺动脉造影，急性肺血管药物扩张试验，对肺血管球囊成形及支架植入，肺栓塞介入治疗具有丰富经验医生简介齐栩，男，副主任医师，主攻方向哮喘、COPD、肺动脉高压；从事临床工作20年，对呼吸疑难病、重症疾病有较好的诊治；对各种类型肺动脉高压，肺栓塞，肺血管炎，慢性阻塞性肺疾病（COPD）及肺间质疾病引起的肺心病等肺血管疾病，尤其在急性肺栓塞、急性右心衰竭和肺动脉高压危象等方面拥有丰富的临床经验。 擅长右心导管检查，肺动脉造影，急性肺血管药物扩张试验，对肺血管球囊成形及支架植入，肺栓塞介入治疗具有丰富经验；曾获中华医学科技奖三等奖，江苏省科学技术进步三等奖，主持江苏省卫生厅课题一项，参与完成国家自然科学基金、省科技厅等项目多项，参编专著3部，发表论文10余篇。","中文名：齐栩；性别：男；职位：江苏省人民医院呼吸内科副主任医师；科室：呼吸内科；行业：医生；"
"刘云","人物","刘芸，原名刘云，1982年12月26日出生于湖南长沙 ，中国内地女演员，毕业于中央戏剧学院。 2001年，主演个人首部电视剧《三重门》并正式进入演艺圈 。2004年4月，参演电视剧《大汉天子2》 。2007年8月，登上《时代周刊》八月刊的封面 ，2008年5月，出演古装武侠剧《鹿鼎记》，在剧中饰演沐王府小郡主沐剑屏 。2010年3月，主演年代爱情剧《新一剪梅》 。2012年7月，主演青春爱情网络剧《女人帮·妞儿》 。2015年6月，主演爱情青春片《再见我们的十年》 。2016年12月，参演都市情感剧《老公们的私房钱》 。2017年4月，参演古装历史剧《思美人》。2019年，出演大型古装剧《帝凰业》饰演苏锦儿。","中文名：刘云；别名：刘芸；性别：女；出生日期：1982年12月26日；国籍：中国；出生地：湖南长沙；民族：汉族；毕业院校：中央戏剧学院；身高：165cm；体重：49kg；职业：演员；代表作品：大汉天子2、鹿鼎记、新一剪梅、女人帮·妞儿；星座：魔羯座；血型：B型；家庭成员：儿子郑熙岳；"
"吴超","人物","吴超同志，男，1952年3月出生，汉族，湖北荆门人，1975年12月加入中国共产党，1968年12月参加工作，中央党校马克思主义哲学专业毕业，中央党校研究生学历，高级经济师职称。政协武汉市第十一届委员会主席。曾任荆门县电机厂技术员、车间主任、厂长、党支部副书记。","中文名：吴超；民族：汉族；国籍：中国；职业：政治 政协武汉市第十一届委员会主席；毕业院校：武汉工学院，湖北省委党校，中央党校；政党：1975年12月加入中国共产党；籍贯：湖北荆门；"
"江苏省人民医院","医院","江苏省人民医院，亦名南京医科大学第一附属医院、江苏省红十字医院。其前身是1936年成立的江苏省立医政学院附设诊疗所。医院目前是江苏省规模最大的综合性三级甲等医院，担负着全省医疗、教学和科研三项中心任务。医院占地面积160亩，现有建筑面积18.5万平方米；固定资产总额14.31亿元，其中房屋建筑7.72亿元、医疗设备6.59亿元；目前实际开放床位2200张，职工3000余人。年门急诊量217万人次，年住院人次4.2万人次，年手术2.5万台次。","中文名称：江苏省人民医院；外文名：Jiangsu Province Hospital；医院别名：南京医科大学第一附属医院；医院性质：国营；所在地区：江苏南京；院长姓名：唐金海；建院年份：1936年；医院类型：综合医院；医院等级：三级甲等；病床数量：1850张；年门诊量：217万人次；是否医保：是；特色专科：心血管内科、内分泌科、呼吸内科、消化内；员工数：2003人；经济类型：国有；主管部门：江苏省卫生厅；开放时间：急诊全天，其他门诊以医院实际时间为准；"
"南京鼓楼医院","医院","南京大学医学院附属鼓楼医院，又名南京市鼓楼医院，位于鼓楼广场南侧，毗邻南京大学，是一所医疗、教学、科研为一体大型综合性三级甲等医院。医院创建于1892年，最早为美国教会的加拿大籍医学博士马林（William E. Macklin）创办的西医院“马林医院”，1914年改为金陵大学鼓楼医院，是南京地区最早的一所西医院。1987年，鼓楼医院成为南京大学医学院附属医院。2005年鼓楼医院南扩工程正式奠基，建成后鼓医将拥有2400张床位，总建筑面积将达到30万平方米。新建的鼓医门急诊大楼楼顶将设直升机停机坪，伤病人员可通过直升机直达急诊抢救。","中文名称：南京鼓楼医院；医院等级：三级甲等；经营范围：医疗机构；员工数：2700余名；公司性质：公立医院；成立时间：1892年；"
"徐州贾汪区人民医院","医院","徐州贾汪区人民医院，位于城区中心，是贾汪区集医疗、教学、科研预防、保健为一体的二级综合性医院。","中文名称：徐州贾汪区人民医院；"
"重症急性呼吸综合征","疾病","重症急性呼吸综合征（SARS）为一种由SARS冠状病毒（SARS-CoV）引起的急性呼吸道传染病，世界卫生组织（WHO）将其命名为重症急性呼吸综合征。此病在2004年之后再无发病报道。主要传播方式为近距离飞沫传播或接触患者呼吸道分泌物。现有资料表明，患者是最主要传染源，极少数患者在刚出现症状时即具有传染性。临床上以发热、乏力、头痛、肌肉关节酸痛等全身症状和干咳、胸闷、呼吸困难等呼吸道症状为主要表现，部分病例可有腹泻等消化道症状。重症病例表现明显的呼吸困难，并可迅速发展成为急性呼吸窘迫综合征。重症急性呼吸综合征相关冠状病毒（SARS-CoV）及近日武汉新型肺炎相关的新型冠状病毒（2019-nCoV）同属于冠状病毒科，可引起肺炎、甚至重症肺炎，且可在人际间传播。","中文名：重症急性呼吸综合征；外文名：severe acute respiratory syndrome；别名：严重急性呼吸综合征、SARS、非典、；季节分布：四季；传染病：是；传播途径：近距离飞沫传播或接触患者呼吸道分泌物传播；临床表现：发热、头痛、肌肉酸痛、呼吸衰竭；就诊科室：传染科；常见病因：SARS冠状病毒感染；英文别名：severe acute respiratory syndrome，SARS；"
"张为华","人物","张为华，男，湖南常德人，1962年5月生。现为国防科技大学航天与材料工程学院空间技术研究所所长，教授、博士生导师。","中文名：张为华"
"重庆市急救医疗中心","医院","重庆市急救医疗中心始建于1939年，其前身为 中正医院 ，1984年5月更名为重庆市第四人民医院。""重庆医科大学附属第一医院",,"重庆医科大学附属第一医院是三级甲等医院 ，大型综合性教学医院。2018年12月，重庆医科大学附属第一医院被国家卫生健康委员会公布为首批肿瘤多学科诊疗试点医院。","中文名称：重庆医科大学附属第一医院；医院性质：国营；所在地区：重庆；建院年份：1957年；医院类型：综合医院；医院等级：三级甲等；是否医保：是；"
"李世龙","人物","李世龙，河北赤城人。1979年加入中国共产党。历任河北省沽源县小学教师、特级教师。长期从事复式教学，积极开展勤工俭学，实现了儿童免费上学。2004年在《神探狄仁杰》中扮演刘查礼，2006年在《神探狄仁杰2》中扮演鲁成，2010年在《神断狄仁杰》中扮演南山武攸德，因此出名。同时，他是一名慈善家，为灾区捐献过100万。","中文名：李世龙；性别：男；国籍：中华人民共和国；出生地：河北赤城；宗教信仰：共产主义；职业：特级教师，演员 慈善家；主要成就：复式教学 实现了儿童免费上学；代表作品：给灾区捐献过100万元钱；"
"李硕","人物","李硕（Lucas），1989年8月28日出生于陕西省西安市，中国内地流行乐男歌手、影视演员，毕业于西安外国语大学。2011年，出演个人首部电视剧《请你原谅我》，从而正式进入演艺圈。2012年，获得山东卫视歌唱选秀节目《天籁之声》全国总决赛第六名。2015年，推出个人单曲《别耍小聪明》。2016年，在爱情电影《恋爱禁区》中饰演男主角林诚 ；同年，推出首张个人EP专辑《二十七》。2017年，为电影《雏盗》演唱主题曲《人海旅行》；同年，参加浙江卫视歌唱选秀节目《中国新歌声第二季》的比赛。","中文名：李硕；英文名：Lucas；别名：大嘴猴、硕硕；性别：男；出生日期：1989年8月28日；国籍：中国；籍贯：汉族；出生地：陕西省西安市；毕业院校：西安外国语大学；身高：184cm；体重：75kg；职业：歌手、演员；主要成就：2009年《绝对唱响》西安赛区冠军；代表作品：2009年金钟流行音乐大赛陕西省十强；获得荣誉：2010年《快乐男声》新浪微博赛区全国五强；星座：只是这样、好好先生、恋爱禁区、人海旅行、27、说、请你原谅我；血型：012年《天籁之声》全国总决赛第六名；粉丝名：处女座；应援色：O型；"
"徐英辉","人物","徐英辉，男，主任医师，教授。在脑肿瘤、脑血管病及颅脑损伤的诊断、显微外科治疗方面积累了较为丰富的临床经验。目前研究方向主要为脑肿瘤、神经再生。1967年12月生于辽阳。1985年考入大连医科大学英文医学专业，1990年毕业，同年被免试保送为神经外科研究生。自1993年研究生毕业后工作于大连医科大学第一附属医院神经外科。1998年破格晋升为神经外科副主任医师，2003年晋升为神经外科主任医师。2001年考入上海第交通大学医学院攻读博士研究生，师从我国著名神经外科专家罗其中教授。现任中国医院协会经济专业委员会委员、辽宁省医院协会副秘书长、辽宁省医学会理事，辽宁省神经外科学会副主任委员、大连市伦理委员会副主任委员，大连市神经外科学会副主任委员。《中华医学杂志》英文版特邀审稿专家，《中国医师进修杂志》编委，国家自然科学基金评审专家。获得多项奖励。目前承担国家自然基金的课题多项。发表学术论文20余篇。","医院等级：三级甲等；"
"吴玲玲","人物","吴玲玲，中西色彩科学设计科学研究院•国际时尚色彩教育中心高级讲师。","中文名：吴玲玲；民族：汉族；国籍：中国；职业：医生 主任医师；毕业院校：浙江大学；"
"甘肃省第二人民医院","医院","甘肃省第二人民医院位于兰州市城关区和政西街1号，始建于1958年，现为综合性国家三级甲等医院、西北民族大学附属医院、全民所有制事业单位。是甘肃省、兰州市城镇职工基本医疗保险定点医疗机构，全国价格检测定点单位。甘肃省第二人民医院前身为兰州铁路中心医院，建院已50多年。","中文名称：甘肃省第二人民医院；所在地区：甘肃；建院年份：1958年；医院类型：综合医院；医院等级：三级甲等；联系地址：兰州市城关区和政西街1号；医保：居民医保；主管部门：兰州市卫生局；"
