质子弹,【#美主持人要求中国为新冠病毒道歉#自说自话荒谬至极搭档当场打断
-LITTLEXX,昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
残疾老狼,昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
喵喵喵是毛毛,昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
王十一二,昨天晚上，在德国医院读博的同学和我打电话吐槽。她给我吐槽了一大堆槽，例如：1、欧洲有个反蒙面法，很多地方买医用口罩需要开证明。2、亚裔+戴着口罩上街，如果碰上种族主义者，可能会被殴打。3、欧美人就不爱戴口罩，和医院医生护士住一栋楼搞得她躲都没地方躲。4、国境边界没关，她平时买菜都去荷兰买，鬼知道每天都跑进来哪里的人，希腊那边还在扛中东非法移民。5、德国一边让民众不要恐慌，但是医生护士私下里都在囤口罩，毕竟德国口罩也不够用。6、拜外媒传统艺能所赐，欧美（及日韩）民众普遍认为，中国隐瞒了大量死亡数字——但是相对的，他们又认为这个病不厉害，所以不怎么需要戴口罩。我问我同学，它们是如何做到，一边相信中国国内死了非常多人，一边又认为这个病不够厉害的？同学说，如果这问题有解，我就不用在家躺尸了。我们吐槽这么多不是为了比烂，也不是为了自豪，只是说明我们俩都很累。我们俩都知晓，这个星球上的沙比是根本不能被过滤掉的事实，但是又打心眼里想去一个沙比浓度稍微低一点的地方安静地躺尸，仅此而已。
小饕客的新文化史,#同步王局推#那8个从意大利回国的浙江人，闯大祸了。
凡娅的边缘,【世卫组织总干事很着急：新冠病毒不是流感，致死率达3.4％!】新型冠状病毒导致的疾病比季节性流感更为严重。在全球范围内，新型冠状病毒的致死率约3.4％，而季节性流感造成的死亡率低于1％。
Phortress,有人说，美d看病太贵，是世界上最垃圾的医疗体系。这话不全面。正是因为美d这种市场化的医疗体系，做医学科技研发有大量溢价，医药公司可以赚的盆满钵满，才造就了美国遥遥领先世界的医疗科技水平。从造福全人类的角度来说，他们这是世界上最优秀的医疗体系。有许多绝症的治疗方法，都是美国发明的。据统计：美国的癌症五年生存率是66%，中国是30.9%。而药是癌症患者“续命”的根本。2015年统计数据显示，美国在研新药数量约占全球的48.7%，全球一半的新药几乎都在美国；排在第二和第三的英国、日本，占比仅有8.0%、7.0%；中国仅为4.1%，和美国相差达44.6个百分点。碾压式的优势，让美国新药、新疗法在数量和前沿上领跑全球。美国是拥有靶向和免疫药物最多的国家，截至2018年，美国已经上市了96个靶向和免疫药物，中国仅有33个。在临床试验方面，截至2019年3月，全球共有近30万项临床试验登记注册，其中约40%在美国进行。2016年我有个在上海工作的朋友老婆得了皮肤癌，中国的医生都说只能再活一个月，他们都崩溃了。随后打听到美国可以治疗皮肤癌，立马卖房冲到美国去治疗，很快就治好了。现在经常看到他们一家四口晒朋友圈。如果没有美国的医疗高科技，那就是悲剧。对富人来说，这种医疗体系，最优。他们要极力维持。对美国穷人来说，就比较难受了。而我们走的是另一条路，无限责任制政府，照顾底层百姓，医生水平高，但收入只有美国医生的几十分之一，医疗科技也差很多。
混沌与概率1997,:实时播报：【美国副总统彭斯：取消新冠病毒检测限制任何美国人都可检测】我可以说我们中国政府的强力防疫鲜明对比，与网友谩骂，在为倒逼美国开放检测，为美国人民争取检测权立了大功吗？
pxh71,:『方舟子：也说说新冠病毒的传染力和致死率』方舟子：也说说新冠病毒的传染力和致死率
黑夜之睛滚雪球,:金毛可是拿它一直当做流感处理啊！【世卫组织总干事很着急：新冠病毒不是流感，致死率达3.4％!】新型冠状病毒导致的疾病比季节性流感更为严重。在全球范围内，新型冠状病毒的致死率约3.4％，而季节性流感造成的死亡率低于1％。
趋势之王168,有人说，美d看病太贵，是世界上最垃圾的医疗体系。这话不全面。正是因为美d这种市场化的医疗体系，做医学科技研发有大量溢价，医药公司可以赚的盆满钵满，才造就了美国遥遥领先世界的医疗科技水平。从造福全人类的角度来说，他们这是世界上最优秀的医疗体系。有许多绝症的治疗方法，都是美国发明的。据统计：美国的癌症五年生存率是66%，中国是30.9%。而药是癌症患者“续命”的根本。2015年统计数据显示，美国在研新药数量约占全球的48.7%，全球一半的新药几乎都在美国；排在第二和第三的英国、日本，占比仅有8.0%、7.0%；中国仅为4.1%，和美国相差达44.6个百分点。碾压式的优势，让美国新药、新疗法在数量和前沿上领跑全球。美国是拥有靶向和免疫药物最多的国家，截至2018年，美国已经上市了96个靶向和免疫药物，中国仅有33个。在临床试验方面，截至2019年3月，全球共有近30万项临床试验登记注册，其中约40%在美国进行。2016年我有个在上海工作的朋友老婆得了皮肤癌，中国的医生都说只能再活一个月，他们都崩溃了。随后打听到美国可以治疗皮肤癌，立马卖房冲到美国去治疗，很快就治好了。现在经常看到他们一家四口晒朋友圈。如果没有美国的医疗高科技，那就是悲剧。对富人来说，这种医疗体系，最优。他们要极力维持。对美国穷人来说，就比较难受了。而我们走的是另一条路，无限责任制政府，照顾底层百姓，医生水平高，但收入只有美国医生的几十分之一，医疗科技也差很多。
xsk838,:2月28日，中国疾控中心对截止2月11日中国44672个新冠病毒感染确诊病例的统计结果是，死亡率2.3%。所以世界卫生组织一直说，新冠病毒感染的致死率大约2%。这也是被普遍接受的数据。方舟子：也说说新冠病毒的传染力和致死率上海
华尔街见闻APP,:【世卫组织总干事很着急：新冠病毒不是流感，致死率达3.4％!】新型冠状病毒导致的疾病比季节性流感更为严重。在全球范围内，新型冠状病毒的致死率约3.4％，而季节性流感造成的死亡率低于1％。
ailishen_52316,【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？
星洲伴我行,:首先，根据目前的数据，新冠肺炎的传播效率不如流感，但新冠肺炎导致的疾病比季节性流感更为严重。在全球范围内，新冠肺炎的致死率约3.4%，而季节性流感造成的死亡率低于1%。——世界卫生组织总干事谭德塞【点看全文：http://t.cn/A67Oj7do】#星洲日报##sinchew##世界卫生组织##coronavirus##新冠肺炎#
纸上速评,:#张文宏预测新冠病毒最终发展#新冠病毒究竟是会像非典一样销声匿迹，还是像流感一样长期存在，目前是没法预料的，但种种特征标明，它长期与人类缠斗的可能性很高。虽然在中国，新增病例持续下跌，迟早会跌入个位数区间，确实有较大几率重获抗击非典的胜利。然而，病毒是否消失要看全世界，不只是中国。中国方案是付出了极大代价，以雄厚的举国资源，以及强大的控制力所支撑的。目前有若干国家正在爆发，但不是所有国家都能复制这个方案。如果在某些国家失控或者弃疗，都将为其转变为长期病毒提供机遇。第二，新冠传染性远强于非典，爆发前没有很明显的预警期，很突然，这一特征在各个国家都得到了证实。第三，感染基数已经远高于非典，至少十倍起跳。感染基数意味着适应和突变的几率也同步提升，一些潜伏期较长的毒株将获得不断繁衍的机会。第四，需要警示的是病毒毒性变弱来换得长期共存的所谓“流感化”，不一定。新冠病毒2~4%的致死率很尴尬，一方面远高于百分之零点几的流感致死率，一方面又显著低于SARS、MERS，这意味着很多地区会不够重视，取决于发展的程度和生命的贵贱，譬如在战乱和饥饿肆虐的非洲，可能根本不当个事。但在和平小康的国家是无法忍受的，如果像流感那么大的感染基数，死亡人数将非常可观。然而百分之95以上的生存率，已经足够病毒在不搞死宿主的前提下顺利传播了，其实并不需要牺牲什么毒性来交换。目前看来，在中国之后爆发的伊朗、意大利、韩国等地，毒性没有出现降低，病死率甚至在提高，根据世卫组织最新报告，要高于之前2%的估计。这上下几个百分点对人类很重要，但对病毒没什么区别。在中国湖北以外病死率很低，是有前提的，因为患病者主要是湖北流出的人群，而流动人口并不是全年龄的样本，而是集中在身强力壮的中青年群体，并不是所谓二代毒性减弱的标志。全年龄段真实的病死率，要看将来综合的结果。如果最后，在一些国家得到控制，而在一些国家长期化，一些地区将不得不长期设防来保卫抗疫成果，而另一些地方尽情肆虐，毒株不停地出现变异，蕴含着无穷无尽的风险。全国一盘棋，武汉不消停，全国都不能摘口罩。然后就会发现，世界也是一盘棋，国际航班不可能永远停下去，将来如果各国此起彼伏地发生疫情，我们也不敢摘口罩。我们现在的极端措施，可防一切传染病，人都在家里，出去全戴口罩，一回家就洗手，连流感都找不到途径。但是只要一解禁，流感开始流通的时候，新冠也会以同样的战斗力等着我们，一不小心又是个爆发……最坏的情况就是，我们往常的生活方式可能再也回不去了。（注：本文为博主参与话题讨论，非张文宏医生发言）
不及格的吃货T_T,世界卫生组织：新冠病毒全球死亡率在3.4%，不是流感，也不是SARS，而是一种全新的独特病毒。所以，外国不能再将这东西当流感看了。新冠病毒不是流感，致死率目前比流感高很多。
赟溪,:自己被确认为密切接触者后要有大局意识，意识到病毒的高传染性及低致死率，及时调整好心态，约束好自己的行为。首先保证此后一段时间都不接触家人亲朋，不接触任何其他人，自觉进行医学隔离，期间还要及时汇报自己发烧咳嗽情况。其次，各级政府及疾控部门对于密切接触者有排查的手段，要主动积极配合，自己去过哪些地方，接触过什么人要如实汇报，假如要集中隔离也要积极配合，生命无小事，对自己负责也是对他人负责。最后，在自己心态调整好的前提下，安抚家人的心态，告诉家人自己很好，政府各种措施都很到位，让亲朋好友放心，告诫大家不要恐慌，相信科学，此战我们必胜。http://t.cn/A6P8A84E
林之校男朋友,#中国科普月#抗疫科普大使@杨紫邀你一起助力#科学抗疫#！MERS（中东呼吸综合症冠状病毒）是近年来受关注的传染病毒之一，点击下方图片来新浪新闻客户端，助力#杨紫[超话]#一起传播正确防治病毒的科学知识，#科学抗疫#，你我都是主人公。@科普中国@新浪新闻第二届中国科普月杨紫专场
家庭报官微,:【世卫组织：#全球新型冠状病毒的致死率约3.4％#】3月4日，世界卫生组织总干事谭德塞在日内瓦举行的记者会上表示，新型冠状病毒和流行性感冒都会引起呼吸道疾病，并通过患病者鼻子和嘴巴的小滴液体以相同的方式传播。但两者之间存在一些重要区别：首先，根据目前的数据，新型冠状病毒的传播效率不如流感。其次，新型冠状病毒导致的疾病比季节性流感更为严重。在全球范围内，新型冠状病毒的致死率约3.4％，而季节性流感造成的死亡率低于1％。第三，目前有针对季节性流感的疫苗和治疗剂，但2019冠状病毒目前尚无疫苗和特别治疗方法。不过，目前正在进行治疗剂的临床试验，并且正在开发20多种疫苗。第四，控制季节性流感是不可能的，但是控制2019冠状病毒是可能的。不必对季节性流感进行接触者追踪，但各国应该对2019冠状病毒进行接触者追踪，因为它可以防止感染并挽救生命。via联合国新闻@生命时报
鄂尔多斯新闻网,:【世卫组织：#全球新型冠状病毒的致死率约3.4％#】3月4日，世界卫生组织总干事谭德塞在日内瓦举行的记者会上表示，新型冠状病毒和流行性感冒都会引起呼吸道疾病，并通过患病者鼻子和嘴巴的小滴液体以相同的方式传播。但两者之间存在一些重要区别：首先，根据目前的数据，新型冠状病毒的传播效率不如流感。其次，新型冠状病毒导致的疾病比季节性流感更为严重。在全球范围内，新型冠状病毒的致死率约3.4％，而季节性流感造成的死亡率低于1％。第三，目前有针对季节性流感的疫苗和治疗剂，但2019冠状病毒目前尚无疫苗和特别治疗方法。不过，目前正在进行治疗剂的临床试验，并且正在开发20多种疫苗。第四，控制季节性流感是不可能的，但是控制2019冠状病毒是可能的。不必对季节性流感进行接触者追踪，但各国应该对2019冠状病毒进行接触者追踪，因为它可以防止感染并挽救生命。via联合国新闻
BTV新闻,:【世卫组织总干事谭德塞:#新冠病毒全球致死率约3.4％#】世界卫生组织总干事谭德塞在日内瓦举行的记者会上表示，根据目前的数据，新型冠状病毒的传播效率不如流感，新型冠状病毒导致的疾病比季节性流感更为严重。在全球范围内，新型冠状病毒的致死率约3.4％，而季节性流感造成的死亡率低于1％。（来源：北京日报）
崇工,:美国新冠致死率超过7%今天看了美国的数据，太恐怖了，比伊朗还要高，如果是因为不检测，那么从死亡数据上猜测，按照中国最高的3.7%死亡率来计算（实际上应该更低，大约1.7），有243个人感染，目前监测出来122个，那么还有120多人不知道是谁，按照病程14天来算，还有日本的新冠肺炎早期传染性更强来猜测，同时发病严重肯定会被发现，在按照R0是3我们只取前7天，用最简单的算法猜测，那么第一天就是300多人被传播，第二天就是1000多有感染风险，第三天就是4000多有感染风险，第四天就是1.4W，第五天就是4W，第六天就是10多万了，第七天，问上帝。这个和韩国那个何其相似。还好韩国都集中在他们的那个神教里边，还比较好管理，关键美国人意见不统一，不带口罩，不带口罩，不戴口罩又在抢货，唉~好担心在美国的朋友！小心点吧。唉~不检测太恐怖了！
爱吃瓜的Jimmy,:韩国是40%，好家伙，英国直接翻一倍啊。英国人口6600万，80%就是5280万人感染，致死率2%，也要有105.6万人死亡
强大微生物古月,法国一医科专家称：中国处理新冠毒的手法冲击了西方传统#法国[超话]##法兰西的故事#西方有自己一套的SOP处理流行病和瘟疫（如流感、法国的三段制），但是，这次新冠毒先在中国爆发，中国完全没有“抄西方的作业”、全部重新（手忙脚乱地）搞过，导致了事实上的治疗和防范流程，跟西方以前的做法大相径庭，并从道德上冲击了西方的应对理念。西方疫情后发，受中国影响最大的是意大利，“抄中国的作业”、采取了罕见的“封村”措施。法国在排查问题上也受到中国的影响，在现在的第二阶段做了一些排查，但是，到了下一个阶段，会不会停止排查？-西方的传统流程上没有“排查”，这也是为什么美国、日本、新加坡等国并没有主动去测试的原因。美国会被迫去像中国一样去排查吗（道德上的压力）？流感每年导致几十万人死亡，没有任何一个国家在应对时做排查，西方的做法是事后有个统计，并为明年制造疫苗。中国连统计都没有。新冠毒后，世界会对流感会采取新的应对方式吗？
老贝奶奶,:每每想到数据就很心痛。虽然说这个病致死率不高，可是对于去世的人来说就是100%…去了的终究是回不来了
牛油果烤面包,:统计说致死率3.4%，我一寻思不对啊，我们州死亡率明明是34%
界面新闻,:【WHO谭德赛：新冠病毒致死率远高于流感但可控，防护装备急缺】谭德赛说:“由于手套、医用口罩、呼吸器、护目镜、面罩、工作服等用品供应有限，医生、护士和其他一线医护人员的医疗设备严重不足。”世卫组织官员呼吁行业和政府将（防护装备）生产增加40%，以满足不断增长的全球需求。自COVID-19爆发以来，这类设备的价格飞涨。根据该组织的数据，外科口罩价格增长了六倍，N95口罩增长了两倍，防护服增长了一倍。http://t.cn/A67OGIbm
谁主沉浮03V,【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？
kimichan14,韩国3日全天新增确诊病例516例，截止韩国时间4日0时韩国累计确诊病例达5328例，累计死亡32人。#韩国新增新冠肺炎516例#，#韩国累计新冠肺炎5328例#ps.打歌节目还照常进行
家常燒魚,:我開始有點生氣Eccc漫展的主辦方了，本州都宣布緊急狀態了還不停辦。又不是說"年輕人染病致死率小沒關係"這種蠢話，如果參加者變成傳染源誰負責？ECCC嗎？他們能復個屁責，反正就是不肯延遲辦展和退票，錢必須照賺
水草-圈,发布了头条文章：《疫情之下准备“优雅躺倒”的美国政府与社会》对一个可以有数百万甚至上千万感染、数万人死亡、确诊案例回家隔离的疫病的佛系态度。疫情之下准备“优雅躺倒”的美国政府与社会
海峡星球,:#世卫组织称中国防控经验要与世界分享#新冠肺炎致死率3.4%高于流感1%
强大微生物古月,法国一医科专家称：中国处理新冠毒的手法冲击了西方传统#法国[超话]##法兰西的故事#西方有自己一套的SOP处理流行病和瘟疫（如流感、法国的三段制），但是，这次新冠毒先在中国爆发，中国完全没有“抄西方的作业”、全部重新（手忙脚乱地）搞过，导致了事实上的治疗和防范流程，跟西方以前的做法大相径庭，并从道德上冲击了西方的应对理念。西方疫情后发，受中国影响最大的是意大利，“抄中国的作业”、采取了罕见的“封村”措施。法国在排查问题上也受到中国的影响，在现在的第二阶段做了一些排查，但是，到了下一个阶段，会不会停止排查？-西方的传统流程上没有“排查”，这也是为什么美国、日本、新加坡等国并没有主动去测试的原因。美国会被迫去像中国一样去排查吗（道德上的压力）？流感每年导致几十万人死亡，没有任何一个国家在应对时做排查，西方的做法是事后有个统计，并为明年制造疫苗。中国连统计都没有。新冠毒后，世界会对流感会采取新的应对方式吗？
佳5681,【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？
觊屿,【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？
剪刀手爱头得,:【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？http://t.cn/A670nWsf
青宇飞鱼ELIZA,【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？
晨风思以自娱,:早上和老婆聊天，说到美国不再检测和公布感染人数了。我说这样也是一种思路，结果如何，要等疫情过后才知道。然后老婆说，不是说美国人也在抢物资吗？我说：这也只是新闻刻意报道吧。大多数美国人应该都很淡定，想想发生枪击时，有些美国人都会探出头去看究竟或参与反击，何况一个致死率并非很高的病毒
大美东方,【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？
地瓜熊老六,【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？
豢龙有道,法国一医科专家称：中国处理新冠毒的手法冲击了西方传统#法国[超话]##法兰西的故事#西方有自己一套的SOP处理流行病和瘟疫（如流感、法国的三段制），但是，这次新冠毒先在中国爆发，中国完全没有“抄西方的作业”、全部重新（手忙脚乱地）搞过，导致了事实上的治疗和防范流程，跟西方以前的做法大相径庭，并从道德上冲击了西方的应对理念。西方疫情后发，受中国影响最大的是意大利，“抄中国的作业”、采取了罕见的“封村”措施。法国在排查问题上也受到中国的影响，在现在的第二阶段做了一些排查，但是，到了下一个阶段，会不会停止排查？-西方的传统流程上没有“排查”，这也是为什么美国、日本、新加坡等国并没有主动去测试的原因。美国会被迫去像中国一样去排查吗（道德上的压力）？流感每年导致几十万人死亡，没有任何一个国家在应对时做排查，西方的做法是事后有个统计，并为明年制造疫苗。中国连统计都没有。新冠毒后，世界会对流感会采取新的应对方式吗？
地瓜熊老六,:【#美国新冠肺炎感染总数达117人#新增3例死亡病例】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例。短短几天，9人死亡，美国的致死率有点太高了，说好的降半旗呢？
强大微生物古月,美国人似乎对新型肺炎很看得开，或许是他们经历了多次的大型流行感冒，让他们对新型肺炎的危害有点忽视，这或许会导致美国的新型肺炎疫情出现恶化？
柏铭007,法国一医科专家称：中国处理新冠毒的手法冲击了西方传统#法国[超话]##法兰西的故事#西方有自己一套的SOP处理流行病和瘟疫（如流感、法国的三段制），但是，这次新冠毒先在中国爆发，中国完全没有“抄西方的作业”、全部重新（手忙脚乱地）搞过，导致了事实上的治疗和防范流程，跟西方以前的做法大相径庭，并从道德上冲击了西方的应对理念。西方疫情后发，受中国影响最大的是意大利，“抄中国的作业”、采取了罕见的“封村”措施。法国在排查问题上也受到中国的影响，在现在的第二阶段做了一些排查，但是，到了下一个阶段，会不会停止排查？-西方的传统流程上没有“排查”，这也是为什么美国、日本、新加坡等国并没有主动去测试的原因。美国会被迫去像中国一样去排查吗（道德上的压力）？流感每年导致几十万人死亡，没有任何一个国家在应对时做排查，西方的做法是事后有个统计，并为明年制造疫苗。中国连统计都没有。新冠毒后，世界会对流感会采取新的应对方式吗？
ForTheKids,【英国卫生大臣：#英国暂不取消大型活动#】北京时间3日消息，英国卫生大臣马特-汉考克周二表示，英国目前不打算因为对新冠病毒疫情的担忧而取消集体聚会或大型体育赛事，但需要立法，以防将来需要采取行动。　　汉考克表示：“目前，我们不建议取消大规模活动，也不要关闭学校，除非有确诊病例，并且学校自己建议关闭。”（新浪财经）
绿瓦茶庭,:世界警察原来才是世界最差的病夫，致死率近9%，排全球第一。[惊恐][惊恐]
柏铭007,美国人似乎对新型肺炎很看得开，或许是他们经历了多次的大型流行感冒，让他们对新型肺炎的危害有点忽视，这或许会导致美国的新型肺炎疫情出现恶化？
抹茶噜噜噜味儿,:#中国境外确诊病例超过1万#我们tutor今天上课和我们说我们每个人都可能得这个病而且致死率才百分之一意思就是既然都要得那怕什么呢反正我们身体那么好
期货刘洋,【世卫组织：#中国境外新冠肺炎病例破万#】#新冠肺炎最新动态#当地时间3日，世卫组织发布最新一期新冠肺炎情况每日报告。截至欧洲中部时间3日上午10时（北京时间17时），中国境外共72个国家确诊新冠肺炎10566例，死亡共计166例。与前一日相比，中国境外新增新冠肺炎1792例，新增8个国家（安道尔、约旦、拉脱维亚、摩洛哥、葡萄牙、沙特阿拉伯、塞内加尔、突尼斯）出现病例。（央视）
全村新的希望,【#美国新增3例新冠肺炎死亡病例#，#美国新冠肺炎感染总数达117人#】据《今日美国报》报道，截至美东时间3日下午5时，美国已报告9例新冠肺炎死亡病例，确诊感染总数达到117例，另有231人正处于密切观察中。目前所有死亡病例均来自华盛顿州，其中5人是西雅图郊区一家养老院的居民。3日新增的3名死亡病例中，事实上有1人是在上周死亡的。（人民日报记者张梦旭）
hs_hncs,:#意大利累计确诊2502例#死亡79例，79/2502=3.16%，意大利疫情的致死率算高的了
Be_Quiet_Ally,:加拿大移民大国的“优势”这个时候体现的淋漓尽致：意大利裔说戴口罩限制人身自由，伊朗裔啥得病与否看真主的安排，还要举行大规模庆祝活动，本土白人说有病才戴口罩，没病戴口罩会引起恐慌，华裔搬空所有超市俨然一副末日来临的景象……据说SARS时期加拿大致死率就全球领先，这次大家一起继续作
毛豆刷屏控,【特朗普：新冠病毒不可怕】凤凰驻华盛顿记者@王冰汝：特朗普称致死率高因为患者本有其他并发症，并跟流感做对比，但美国专家称感染者或已超过千例。#美国超级星期二##特朗普要求几个月内开发出新冠疫苗##特朗普称疫情被媒体夸大#@新闻主播李科夫@凤凰秀官博凤凰全球连线的微博视频
萧清卿,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
凤凰秀官博,:【特朗普：新冠病毒其实并不可怕】凤凰卫视驻华盛顿记者@王冰汝：特朗普称致死率高因为患者本有其他并发症，并跟流感做对比，但美国疾控中心专家称感染者或已超过千例。#美国超级星期二##特朗普要求几个月内开发出新冠疫苗#@凤凰网视频凤凰全球连线的微博视频
谁家小狐兔,:致死率极高的艾滋病在我国的分布情况！怎么防控？怎么给孩子们讲这个道理？是不是该告诉他们搞对象之前先体检？
穷西蒙,如果美国国内失控，我们要转变思路了，过去一个月对我们是供的考虑，未来几个月是需的考验，我们自己内部的供需不能乱，不能一窝蜂去搞口罩，这个必须要特许经营，必须管制出口，我们自己的正常的生产关系不能乱，不能看到那几个钱儿一窝蜂都去搞口罩了，肺炎终究过去，完了一地鸡毛吗？？我们自己内部还是要稳住，以我为中心，让整个世界的节奏按照我国的安排来，我们让谁憋气就让谁憋气，我们让谁出气就出气，新型全球治理关系先从理顺呼吸节奏开始，同呼吸，方能共命运
梓坭梓坭梓坭,现在远没到总结哪种抗疫思路更好的时候，但的确可以看出不同体制的国家在疫情面前的套路和局限。最终要综合看国民生命和健康损失、社会经济损失和个人自由损失之间的平衡，看谁能能把综合损失降到最低。
Sunny天行健Money,#美国疫情#还记得被五个港口拒绝停靠，在太平洋上漂流了14天的威士特丹号美国邮轮吗？后来被柬埔寨收留了，但是一名乘客在马来西亚测出新冠阳性，全体乘客都吓傻了。我当时联系了一位美国乘客采访，但是因为一系列幺蛾子，拖了好几周，她终于安顿下来了！她原本期待回家后可以回归正常生活，结果她家的保姆在她到家前，因为怕被传染，跑了！学校质疑其他孩子能不能正常接触她家孩子，社区的居民在网上发出不友好的评论。这趟邮轮坐得实在太不容易了…http://t.cn/A67CPtzm
小猪猪_21594,:#德国疫情#我看欧洲国家都不想防疫了
