走马观花998,#外国人永久居留管理条例#杨宜勇你是想引进黑人传播爱兹病？
无线石家庄官微,:【重拳出击！石家庄严厉查处利用网络违法销售防疫商品等行为】为全力保障石市疫情防控工作有序开展，确保防疫相关商品合法销售使用，维护网络市场交易秩序和社会稳定，依据《中华人民共和国电子商务法》《中华人民共和国价格法》《市场监管总局关于新型冠状病毒感染肺炎疫情防控期间查处哄抬价格违法行为的指导意见》等有关法律、文件规定，石家庄市市场监督管理局将依法严厉查处利用网络违法销售防疫商品等行为，特通告如下。一、通过网络渠道（包含微信、微博等社交平台），有下列行为之一的，市场监管机关依法予以严厉查处。1、捏造、散布防疫商品、民生物品涨价信息。2、销售防疫商品、民生物品过程中，哄抬商品价格等行为。3、未依法办理市场主体登记或取得许可（办理备案），擅自销售医用口罩、医用防护服等医疗器械等行为。（医用口罩、医用防护服、电子体温计等属于二类医疗器械，从事网络销售同时需要《营业执照》和《第二类医疗经营备案凭证》）。4、销售假冒伪劣疫情防护商品、民生用品等行为。5、发布与疫情防控相关的违法广告和虚假宣传等行为。以上行为，涉嫌犯罪的将依法移送公安机关处理！二、加大对通过网络违法销售防疫用品等行为举报受理力度，鼓励广大市民按照《市场监督管理投诉举报处理暂行办法》实名举报有关违法线索。受理单位：石家庄市市场监督管理局举报电话：0311-12315举报平台：1、http://t.cn/S6P4KI2、手机APP：全国12315互联网平台3、微信公众号搜索：123154、微信小程序搜索：12315
巴伦全球投资,:【#耐克欧洲总部因员工确诊闭店#美国总部上周末已关店清洁】3月3日，澎湃新闻援引路透社消息称，因一员工确认感染新冠肺炎，耐克荷兰总部紧急关闭至本周三。耐克已确认该消息。自2月27日，荷兰已报告18例新冠肺炎确诊病例。除欧洲总部，美国耐克全球总部也在上周末暂关店门深度清洁。http://t.cn/A67NzWMa
JenniferLopezFans,:#JenniferLopez[超话]#由J.Lo制作和参与的节目『ThanksAMillion』将于4月6日在段视频平台“Quibi”上正式上线，该节目是由邀请的每位明星赠与某个在生命中感染或曾受到过帮助的人10万美金，然后将这笔钱传递下去，每一次传递的金额为上一次得到金额的一半，KristenBell、KevinHart和YaraShahidi都将加入。
北京文化艺术活动中心,:#百城行动战疫情#【献给可爱的基层群文工作者
航运交易公报微博,:#宏观#【疫情影响几何？有机构预计一季度全球GDP将减0.8%】　　新冠肺炎疫情在全球进一步扩散。目前韩国确诊人数已近3000人，日本确诊近1000人；意大利病例快速攀升，欧洲多国相继报告首例确诊病例；疫情已经蔓延至中东地区10余国，其中伊朗副总统确诊感染。　　知名咨询机构IHSMarkit预计，如果中国目前的防控措施持续到2月底，并从3月份开始逐步取消，那么由此对全球经济产生的影响将集中在2020年上半年，全球一季度实际GDP将减少0.8%，二季度将减少0.5%。在这种情况下，疫情及其相关措施将使2020年全年全球实际GDP减少0.4%。　　IMF等各大国际机构纷纷下调全球经济预期　　本次肺炎疫情暴发于中国，对中国经济的影响已经有所显现。疫情蔓延至全球，可能使得其他国家遭受中国类似的经历；另一方面，中国在全球经济中举足轻重的地位，可能通过影响全球产业链、资金链而影响到世界各国。　　各大国际机构纷纷下调全球经济预期。1月20日，国际货币基金组织（IMF）更新的《世界经济展望》报告预计，2020年全球经济增长预期为3.3%。2月22日，IMF总裁KristalinaGeorgieva在G20财政会议期间表示，在假设中国经济能在二季度回到正常水平的情境下，今年的全球经济增长将较1月的预期下调0.1个百分点至3.2%。不过值得注意的是，IMF作出此判断之时中国境外新增病例基本不超过300，而2月28日后境外新增病例开始突破千例，随着全球疫情升级，IMF或将重新评估经济增速。　　穆迪首席经济学家马克？赞迪表示，若新型冠状病毒肺炎发展成大流行病，可能导致美国和全球经济在2020年上半年陷入衰退，而其发展成大流行病的概率已从此前的20%升至40%左右。　　美国银行的经济学家上周四警示客户，全球经济今年将增长2.8%，是2009年以来最低水平。　　机构：与2003年SARS疫情相比，本次疫情影响更严重　　2月6日，知名咨询机构IHSMarkit发布报告称，与2003年SARS疫情相比，本次新冠肺炎疫情对全球经济的负面影响将更大。在SARS期间，中国是世界第六大经济体，仅占世界GDP的4.2%；而现在中国是世界第二大经济体，占世界GDP的16.3%。因此，中国经济放缓的影响不是涟漪，而是波及全球的浪潮（notripplesbutwaves）。　　知名咨询机构IHSMarkit预计，如果中国目前的防控措施持续到2月底，并从3月份开始逐步取消，那么由此对全球经济产生的影响将集中在2020年上半年，全球一季度实际GDP将减少0.8%，二季度将减少0.5%。在这种情况下，疫情及其相关措施将使2020年全年全球实际GDP减少0.4%。　　不过，IHSMarkit进一步预计，在2021年，随着被压抑需求的释放渗透到整个经济中，限制措施的解除将使全球实际GDP增加0.4%。（新京报）
正品美瞳推荐种草测评,:【第二件10元】医用免洗消毒除菌液陋洞~~速抢~陋洞~~速抢~~~【复工必备】小孩孕妇全家都可用！99.99%杀菌！免洗抗菌液，消字号卫生许可，特殊时期刚需品，线上线下都被抢疯了，防止感染，消毒杀菌！拍两件4斤25.9卷后只需【15.9】大洋
山东法制报,:#新型冠状病毒感染肺炎#【#3月份纳税申报将延后一周#】国家税务总局总审计师兼货物和劳务税司司长王道树3月3日在#国务院联防联控机制#新闻发布会上说，为进一步支持企业复工复产，国家税务总局决定，依法将3月份纳税申报期限向后延长一周，即从3月16日延至3月23日。届时，对于仍处于疫情防控一级响应的地区，可由省税务局依法依规具体明确再适当延期的范围及时限。
冰糖葫芦要冰,:我家可怜呢🐠被感染病毒了(身上全是黑点点)
辟谷子微博,:C罗或感染新冠肺炎！尤文图斯隔离U23全队！对手4人确诊！曾与C罗合练！欧洲足坛炸了！
福布斯中文网,:【日本多个景区宣布暂停营业】根据日本厚生劳动省的最新消息，截至当地时间3月2日23时，日本共确诊新冠肺炎病例980例，重症病例为57例。这些确诊病例中，有706人来自“钻石公主号”邮轮，260人为日本国内感染者和游客，另外从武汉乘坐包机回国的人士累计确诊14例。日本目前累计有12例死亡病例，这其中有6例为日本国内感染者，另外6例来自“钻石公主”号邮轮。受疫情影响最直接，打击最大的是旅游业。近日，日本的多个旅游景区纷纷宣布暂停营业。东京晴空塔在妻2官网发布公告称，将于3月1日至3月15日期间临时休业；预计将于3月16日重新开放，但也会根据情况作出相应调整。日本最著名的两大乐园，东京迪士尼乐园和大阪环球影城均在其官网宣布，将停止运营，临时闭园至3月15日。此前，上海和香港的迪士尼乐园已暂停营业，这是全球第三家因为新冠疫情而关闭的迪士尼乐园。http://t.cn/A67NwnuW
新华视点,:#新型冠状病毒感染肺炎#【外交部：46个国家和6个国际组织捐助的疫情防控物资已运抵中国】外交部发言人赵立坚3日说，截至3月2日，共有62个国家和7个国际组织承诺向中方捐助疫情防控物资，其中46个国家和6个国际组织的相关物资已运抵中国，12个国家和2个国际组织已向中方提供或宣布提供食品、现金等其他形式的物资支持。中方对此深表感谢，铭记在心。中方秉持人类命运共同体理念，将在继续做好国内防控工作的同时，加强抗击疫情的国际和地区合作。（记者朱超、马卓言）
啾啊啾啊羊,【速报】截至下午4时，比昨天新增974例，累计确诊5186例
趣闻小站,#世卫组织工作人员在伊朗感染新冠病毒#看完这个视频，头条君想说！只要是信任中国医护人员的人来求救，我们都会尽己所能的进行救治！中国就是这么拥有大爱的民族！
刘宝瑞厨,很多人嘲笑欧美各国让感染者居家隔离。可人家的居家隔离和我们不是一码事。一家子挤在一套小房子里，那必然感染一个全家爆发；而在科学防护的前提下，一个人独居一套公寓，并不会感染同楼层的其他人，一家子住独栋别墅，感染者拥有独立房间+独立洗浴，也不会感染他人。——————被一群人涌过来嘲讽所以加一段解释——————我是措辞不慎，造成了一种“欧美人都好有钱”的错觉，戳到了强国自信神经，对此我深感抱歉。1我国大陆以及香港独特的土地公有制，是房价畸高的原因。收入到达了全国前5%，却还一家人挤在100平，这并不是正常现象。我们大城市的人均居住面积是相当低的。2我国推崇集体生活，不注重个人隐私，以至于群居成为绝对主流。假设你的预算够租一个宽敞明亮卧室，可是你不喜欢合租，宁可换一个面积更小装修更差的独立一居——你会发现，根本不存在这种选择。我们的独居人群也是相当小的。
黎教头,:#腾讯新闻#韩国31名军人感染新冠肺炎，超8000名军人被隔离！http://t.cn/A67NwQWM来自@腾讯新闻
长江日报,:#武汉实现床等人#【武汉：重症患者床位大幅增加，病亡率正逐渐下降】3月3日，湖北省召开的新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，湖北全力救治重症患者，降低患者病亡率，落实4集中的原则，最大限度减少病亡数量。目前湖北省各地市危重症床位配置基本能够满足重症病人的救治需求。武汉市经过加快建设，重症患者床位大幅增加，已由“人等床”转为“床等人”。截至3月2日，武汉市同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，共收治危重症、重症患者3728名，武汉市新冠肺炎患者病亡率正在逐渐下降。http://t.cn/A67NwTWu（长江日报）
重庆九龙坡法院,:#新型冠状病毒感染肺炎##疫情心理疏导#面对新冠肺炎疫情，孕产妇应该如何进行心理调适？新华视点的微博视频（新华视点）
俣亦凡旁边那个亻,武汉中心医院眼科梅仲明主任因新冠肺炎感染去世
中国贸易报,:#新型冠状病毒感染肺炎##罗马教皇新冠病毒检测呈阴性#【教皇方济各因身体抱恙接受新冠肺炎检测，结果呈阴性】英国《卫报》援引意大利《信使报》3月2日的报道称，因“身体不适”，罗马教皇方济各接受了新型冠状病毒检测，检测结果呈阴性。目前，梵蒂冈新闻发言人布鲁尼并未对此置评。（环球网）http://t.cn/A67aPDXl
石家庄平安医院--血液科,:再生障碍性贫血患者出现出血，止血有哪些方法？　　再生障碍性贫血患者总会面临各种各样的症状危害：严重贫血、出血、感染、发热等，尤其是再障患者血小板减少的情况，不仅恢复慢，多数患者还要长期面临不同程度的出血倾向，常见如皮肤黏膜紫癜、流鼻血、齿龈出血，甚至内脏出血。　　出血处理　　1、对于出血量较多，危及生命时，宜急则治其标，当以西医的抢救方法为主，及时输注止血药及浓缩血小板，加强局部止血措施的应用，发挥止血效果。　　2、对血小板严峻减少的患者，其出血风险是非常高的，可适当输注血小板，以预防严重出血或止血的目的，同时全身应用止血药如止血敏、维生素K1，口服安络血、云南白药等止血。　　3、观察再障患者有无明显出血现象，比如黏膜出血、齿龈出血、眼底出血等，给予及时有效的对症治疗处理。　　4、对于口腔出血者，首先用软纸轻轻蘸去血迹，然后用净水漱口，找准出口点止血。牙龈止血可用止血环酸打针液加两倍量生理盐水漱口，每天3-4次。或用止血环酸与云南白药调和，牙龈外敷。另外，用明胶海绵局部贴敷，可起到较好的止血效果，多用于出血不止者。　　5、预防齿龈及消化道出血时，禁止用硬毛牙刷刷牙，牙签剔牙，进食宜慢，避免食用油炸食物或啃质硬的食物引起口腔黏膜及牙龈受损。　　6、胃肠道或颅内等内出血时，发生胃肠道大出血或存在颅内出血的危险时，应预备好各种抢救药物及用物，协助抢救。　　7、皮肤黏膜的广泛出血，患者应留意保持皮肤、黏膜的完整性以防止感染，高热大汗者及时更衣，避免受凉感冒。　　然而，西医输血、止血药、促血细胞生成素，造血刺激因子等方法，可以很快止血，甚至提升血象到安全范围，但治疗花费颇多，而再障病程漫长，患者很难长期坚持下来，且过多的输血，激素类药物，以及免疫抑制剂等，副作用颇多，难以承受。　　因此，建议再障患者发生出血时，急则治标，应用止血药物等方法及时止血，待病情稳定后，尽早结合中医中药辩证治疗，逐步改善骨髓造血功能，使血象得到明显提升。　　对于比较严重出血不止的现象，尤其是女性患者，多伴有月经量大，时间延长现象时，一定要及时咨询专科医生建议，切忌拖延。地黄止血胶囊成分:水牛角、地黄、牡丹皮、紫草、蒲公英、金银花、太子参、山茱萸(制)、枸杞子、三七、茜草。功能主治:凉血解毒，益气养阴。用于热毒入血、血热妄行、日久不愈、耗气伤阴引起的鼻衄、齿衄、肌衄、月经量多、气短乏力等；原发性、继发性血小板减少性紫癜、再生障碍性贫血、白血病、骨髓增生异常综合征、血友病等出血性疾病见上述症候者。
宿州学院青年志愿者总队,:#梅仲明医生因新冠肺炎去世##李文亮同科室同事因新冠肺炎去世#3月3日，网上爆出武汉市中心医院眼科医生梅仲明因新冠肺炎感染去世
无锡发布,:【无锡人社“硬核八条”全力支持企业复工复产！】为贯彻落实中央、省市关于统筹推进新型冠状病毒感染肺炎疫情防控和经济社会发展工作的决策部署，切实履行人社部门工作职责，在做好疫情防控的情况下，全力支持和推动我市企业复工复产，日前，无锡人社发出《关于做好复工复产期间我市人力资源社会保障工作的通知》。通知涉及企业和员工关心的就业、社保、培训、劳动关系四大方面，八条“硬核”举措将为企业复工复产、为劳动者稳定就业加油助力。快来逐条看看，一定有正是你需要的——http://t.cn/A67NwOnX
龙潭街道,:#德惠龙潭#《"不忘初心牢记使命”增强战“疫”信心服务保障居民生活》疫情防控期间，板南社区的工作人员付出了极大的辛苦，为了解决社区居民购物不便的难题，刚刚结束了一天忙碌工作的社工们又积极投入到了帮助社区居民采买的工作中，为了降低新型冠状病毒感染肺炎的风险，板厂南里社区工作者，在做好一线疫情防控工作的同时，主动为居家观察居民提供代购蔬菜的贴心服务。并为其亲自送到家门口，给进行居家观察的居民带去方便和温暖。
亚汇网-金融服务专家,:【全球新冠肺炎病例已超9万】世界卫生组织（WHO）总干事谭德塞称，公共卫生官员正在“未知的领域”开展工作，与这种新型冠状病毒的蔓延作斗争。截至周一（3月2日）晚间，这种病毒已经感染了73个国家和地区的9万多人。http://t.cn/A67NwNCn
花勺勺,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
馮布朗遺民,#日本网友用中文表达感谢#推上都在骂我们这波捐口罩，属于强奸犯给受害者送避孕套。环球网能从那么多负面评价中选出几个正面评价也是不容易。日本外务省这钱花的真值，直接打入我方宣传系统。
我在西安上学,:【西安交大研究团队成功开发“抗击流行性发热疾病的自动监测与预警系统”】应对疫情，最重要的手段之一是监测体温。额温枪测温存在时间长、近距离接触、以及由此带来的基层人员工作压力和交叉感染等风险。@西安交通大学航天航空学院荣海军、杨朝旭团队根据自身科研优势和已有的研究基础，开发出“抗击流行性发热疾病的自动监测与预警系统”助力疫情防控。该系统可以解决社群的身份识别与体温检测，在戴口罩测试场景下性能良好，具有快速体温筛查和非接触考勤管理功能。#西安爆料#http://t.cn/RDUnNFD
生煎耗米,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
股市狼头哥,:#李文亮同事因感染新冠肺炎去世#李文亮医生的调查结果还没出，李文亮同事又因新冠肺炎去世了！默哀～
手写信给你,【#新疆一基层干部倒在战疫一线#】昨天，新疆伊犁哈萨克自治州特克斯县自然资源局干部巴格努尔·哈那里汗，因突发心源性猝死，倒在了战疫一线。自疫情发生，他一接到通知就迅速投入到防控工作中，一个月来，负责社区体温测量、垃圾清理、送菜送药等工作。送别！（总台央视记者崔宁阿尔曼）
佛系杠精,#日本网友用中文表达感谢#推上都在骂我们这波捐口罩，属于强奸犯给受害者送避孕套。环球网能从那么多负面评价中选出几个正面评价也是不容易。日本外务省这钱花的真值，直接打入我方宣传系统。
重庆九龙坡法院,:#新型冠状病毒感染肺炎#【世卫组织关注韩国意大利伊朗日本四国疫情】新华社日内瓦3月2日电（记者刘曲）世界卫生组织总干事谭德塞2日说，目前韩国、意大利、伊朗和日本的新冠肺炎疫情已成为该组织非常关注的问题。中国境外报告的确诊病例中，约八成来自这4个国家。　　谭德塞当天在例行记者会上说，新冠病毒在中国境外扩散的情况值得关注，目前在中国以外共有61个国家向世卫组织报告了8739例新冠肺炎病例，其中81%来自韩国、意大利、伊朗和日本。　　韩国现已报告的病例数超过4200例，几乎占中国以外病例数的一半。不过谭德塞表示，有迹象显示韩国的监测等措施正在发挥作用，韩国疫情仍然可以被控制。　　谭德塞说，尽管上述国家病例数较多，但“遏制新冠病毒扩散是可行的”，他呼吁各国采取积极措施防控疫情。　　谭德塞还表示，人们在讨论疫情是否构成全球性大流行，对此他想重申，如果证据表明确实如此，世卫组织将毫不犹豫地宣布疫情构成大流行，但现在的事实仍是疫情主要集中在少数国家。他说，一些曾报告有病例的国家已经连续两周没有报告新病例。（新华视点）
娱乐圈内,:#韩国累计确诊新冠肺炎5186例#韩国总人口才5000多万，现在已经万分之一感染了，这个数字还是相当高的，还是希望韩国能够有切实的防控手段，赶紧行动起来。
河北廊坊中院,:#冀法战疫#三河法院来自战“疫”一线的69份入党申请书面对这场突如其来的新型冠状病毒感染肺炎疫情，三河法院全体党员干部积极投身一线防控，同时还带动一大批表现优秀的非党员青年干警，为疫情防控注入了强大的正能量。在这些坚守前线、保障后方的“抗疫战士”和“巾帼卫士”中，有该院的全体在职党员，他们全部报名、积极参战，真正做到“把党旗插在最高处、把堡垒建在最前沿、让党员冲在第一线”。同时，还有很多非党员干警，他们在担负着一线人员车辆检测、防疫知识宣传、后方支援保障等繁重任务的同时，还受到共产党员先锋力量的激发，纷纷向党组织递交入党申请书，以实际行动向党组织靠拢。截止到3月2日，该院共收到来自防控一线的69名优秀青年干警撰写的入党申请书。这69份入党申请书，是动员令，是宣战书，也是军令状，凝聚了三河法院全警抗“疫”的磅礴力量，更加坚定了打赢疫情防控阻击战的信心和决心。在抗击疫情这个危难的时刻，三河法院全体干警闻令而动、昼夜坚守，充分发挥基层党组织的战斗堡垒作用和党员先锋模范作用，成立临时党支部，设立党员先锋岗，组建党员突击队和巾帼志愿服务队，在防控一线拉起了最强“防护网”，展现出了法院人应有的司法本色和优良作风。
虞城发布,:#小虞说事#稍岗镇：针对当前新冠肺炎疫情严峻新情况，为切实做好稍岗镇新型冠状病毒感染肺炎疫情防、控、治工作，维护群众生命安全和身体健康，有效防止新型冠状病毒感染的肺炎疫情扩散和蔓延，实行十条“进一步”措施严格管控新冠肺炎疫情防控工作。一是进一步加强排查登记，二是进一步完善防控体系，三是进一步加强疫情处置，四是进一步加强社会公共管理，五是进一步加强企业复工复产，六是进一步加强宣传和舆情引导，七是进一步促进春季农耕，八是进一步加强自身防护，九是进一步加强环境卫生整治，十是进一步加强督查问责。（黄晓龙）#上海已追踪71名浙江输入病例密切接触者#
河北廊坊中院,:#冀法战疫#三河法院来自战“疫”一线的69份入党申请书面对这场突如其来的新型冠状病毒感染肺炎疫情，三河法院全体党员干部积极投身一线防控，同时还带动一大批表现优秀的非党员青年干警，为疫情防控注入了强大的正能量。在这些坚守前线、保障后方的“抗疫战士”和“巾帼卫士”中，有该院的全体在职党员，他们全部报名、积极参战，真正做到“把党旗插在最高处、把堡垒建在最前沿、让党员冲在第一线”。同时，还有很多非党员干警，他们在担负着一线人员车辆检测、防疫知识宣传、后方支援保障等繁重任务的同时，还受到共产党员先锋力量的激发，纷纷向党组织递交入党申请书，以实际行动向党组织靠拢。截止到3月2日，该院共收到来自防控一线的69名优秀青年干警撰写的入党申请书。这69份入党申请书，是动员令，是宣战书，也是军令状，凝聚了三河法院全警抗“疫”的磅礴力量，更加坚定了打赢疫情防控阻击战的信心和决心。在抗击疫情这个危难的时刻，三河法院全体干警闻令而动、昼夜坚守，充分发挥基层党组织的战斗堡垒作用和党员先锋模范作用，成立临时党支部，设立党员先锋岗，组建党员突击队和巾帼志愿服务队，在防控一线拉起了最强“防护网”，展现出了法院人应有的司法本色和优良作风。
篼小篼1017,#F1[超话]#【法拉利确认将前往墨尔本和巴林FOM提供包机】据报道，为避免疫情冲击澳大利亚和越南大奖赛，FOM计划使用包机将法拉利、AT（小红牛）这两支意大利车队以及轮胎供应商倍耐力的工作人员运往目的地。法拉利发言人对意大利安莎通讯社确认，尽管疫情未知，但车队赴澳大利亚和巴林的计划已经确定。澳大利亚大奖赛的赛事运营主管安德鲁-维斯特考特宣布，“当前阶段不会再有进一步的旅行限制，也不会有针对F1和车队成员的特殊限制。我们欢迎他们来到墨尔本，”他说。巴林萨基尔赛道“也有信心组织一场安全成功的大奖赛，F1的工作人员不会在机场遭遇额外检查和措施，”赛道的发言人强调。正在巴林萨基尔赛道进行的F2试车就遭遇了疫情影响，意大利车队的工作人员无法前往试车场，而是留在了国内。现在唯一的困难是越南，因为意大利人是该国旅行限制的对象之一。http://t.cn/A67CFcxe（LR）
星島日報歐洲版,:两市长确诊法国疫情续扩大法国两名市长各自于社群网络宣布确诊新冠肺炎，他们来自传出群聚感染地区的上萨瓦尔省与瓦兹省。其中一人曾参加巴黎国际农业博览会，相关单位正全力追查两人的接触史。上萨瓦尔省（Haute-Savoie）拉巴勒姆德西兰吉市（LaBalme-de-Sillingy）的市长戴维耶（FrancoisDaviet）确诊后已随即住进医院。他在社群媒体发布的影音中戴着口罩宣布消息，也提醒民众，“要谨慎，避免亲脸颊和握手，尽量不要外出”，并感谢关心支持他的民众。然而戴维耶在确诊前，2月25日曾出席参加巴黎国际农业博览会，并与隆河－阿尔卑斯山区区议会主席孟代尔（ChristianMonteil）会面，孟代尔得知消息后已取消行程，并前往医院检测。相关单位正积极追查戴维耶接触史，包括在农业博览会与他会面的议员和所有随行人员。另一位确诊市长为目前群聚感染最严重的瓦兹省（Oise）克雷皮昂瓦罗市（Crepy-en-Valois）市长福尔蒂（BrunoFortier），在社群媒体宣布自己确诊，并列出过去14天与他有接触的人。他表示：“我完全没有‘生病’，也没有发烧等症状……我只是这个万恶病毒的带原者。”因此，福尔蒂表示，将不会住院，但会在家中戴口罩自我隔离。福尔蒂也承认，他认为接下来几天还会有更多的病例出现，最后他说，“我们进入了一段艰困的时期，让我们保持冷静，遵守只是并团结一心”。法国第三名新冠病毒感染者死亡，而法国一日内确诊感染又激增61例，累计达191例。路透社援引法国卫生部总干事萨洛蒙的话表示，第三位死者是一名89岁的女性，她是在瓦兹省贡比涅医院死亡。萨洛蒙没有说明这位老年妇女是否死于新冠肺炎，只是表示，她被确诊感染新冠病毒。法国电视台报道，鉴于新冠疫情严重，法国总统马克龙取消所有与疫情无关的访问行程安排，但爱丽舍宫的会议没有取消。巴黎罗浮宫美术馆2日连续第二天闭馆。法国总工会(CGT)表示，罗浮宫里的员工因为担心肺炎疫情，开始拒绝上班。工会成员贾拉尼(ChristianGalani)受访时表示，内部员工开会投票，决定基于个人生命或健康可能受到威胁，所以拒绝工作。工会坚持，在这种情况之下，法国劳动法赋予员工拒绝工作的权利。拒绝工作。工会坚持，在这种情况之下，法国劳动法赋予员工拒绝工作的权利。
重庆九龙坡法院,:#新型冠状病毒感染肺炎#【“念念”不忘火神山】过去的一个多月，不知道你有没有想过这个问题：在我的生命中，我最想握住什么？26岁的阿念，从方舱申请转院到火神山，只想握住外婆的手。阿念的外婆是新冠肺炎重症患者，因为担心连累家人，再加上患病的不适感，老人拒绝进食、抗拒治疗、情况危急。外婆的消息辗转传到住在方舱的阿念那里，她决定，申请去火神山照顾外婆。#阿念的故事#只是武汉这些天发生的无数个故事里的一个。但阿念不仅告诉我们，她想握住什么，还告诉我们怎样才能握住——用爱和勇气！http://t.cn/A67CyLWP（新华视点）
重庆大足法院,:#新型冠状病毒感染肺炎#【新华社评论员：群众需求在哪里，共产党人的身影就应出现在哪里】把人民群众生命安全和身体健康放在第一位，是疫情防控的根本要求，也是共产党人政治本色的集中体现。群众的需求在哪里，群众的呼声在哪里，共产党人的身影就应该出现在哪里。从救治患者的病房，到城乡社区，再到百姓的“米袋子”“菜篮子”，无不是为群众排忧解难的考场。只有心系人民的安危冷暖，及时解决群众所急所忧所思所盼，才能取信于民。http://t.cn/A67Nh1Ky（新华视点）
小窝里的百惠,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
Gracy2pp,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
济南肾病医院,:多措并举，确保防疫就诊两不误！近日，随着门诊量的上升，我院严格执行“分散等待、有序排队、请勿聚集”原则，引导患者主动保持“1米”距离，确保“一患一诊室”，“一患一病房”，降低感染风险。在此也温馨提示广大患者：来院就诊前请通过微信、电话等方式提前预约。
行不更名李德胜,#日本网友用中文表达感谢#推上都在骂我们这波捐口罩，属于强奸犯给受害者送避孕套。环球网能从那么多负面评价中选出几个正面评价也是不容易。日本外务省这钱花的真值，直接打入我方宣传系统。
帝吧爆破组,#帝吧[超话]#美国:有一个好消息一个坏消息，你们要听哪个？民众:先说坏消息吧州长:老人会感染新冠病毒民众:那好消息呢？州长:小孩不会民众:哦！耶！
天亮也睡不着了,#日本网友用中文表达感谢#推上都在骂我们这波捐口罩，属于强奸犯给受害者送避孕套。环球网能从那么多负面评价中选出几个正面评价也是不容易。日本外务省这钱花的真值，直接打入我方宣传系统。
浣熊熊熊,#我在北美看疫情##美国疫情#【纽约州长宣布“好消息”：老人会感染新冠病毒小孩不会】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。纽约市长安德鲁。科莫表示，有危险的20%是那些免疫力低下，身体虚弱或老年患者。好消息是，小孩子看上去不会被感染。http://t.cn/A67CW4XX
MOREMORE小俗,:因此次疫情死亡的人至少包括以下群体：1、感染致死的人。2、因医疗资源向疫情倾斜，患其他疾病而未得到及时救治而死亡的人。3、倒在抗疫一线的人。4、因经济衰落，影响生计，生活困苦，亲人离散等而自杀的人。
淡蓝水域,【#医护零感染患者零死亡#！南京是如何做到的？】截至3月1日，南京93例新冠肺炎患者中，63例已治愈出院，阶段性实现"医护人员零感染、患者零死亡"。在南京市公共卫生医疗中心，患者一人一方案，医护"人盯人"阻击病毒。南京"火神山"2.0版本启用，已接收部分轻症患者。大家表示会坚守到最后一天。http://t.cn/A67Xl7ng
论评商,【转送别！#李文亮同事因新冠肺炎去世#
兰州官宣,:#兰州爆料##兰州万众一心全民战疫#【爱心企业向兰大一院捐赠150箱苹果汁】新型冠状病毒感染肺炎疫情肆虐，无数医务人员冲上了抗击战役的最前线。2月14日，天水长城果汁集团前往兰州大学第一医院看望慰问疫情防控一线医护工作人员，将150箱#陇上花牛100%苹果汁#送到他们手中，向坚守一线的奉献精神表达了崇高的敬意。
起来搞钱,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
