南瓜5号,:节后第一次出差，还好德清近自驾能去
__L雅,:马上就要拆牙套了。想当初门牙有缝+牙齿大小不一每天照镜子都被丑哭，不仅如此还有拍照尽可能不露牙，说话也是，超级没有自信，活得自闭的日子终于结束啦。还好找到@广州牙齿正畸君推荐去了广州广州塔拜博口腔、协大口腔、南方医科大学口腔，现在脸部线条更柔和，笑容不尴尬！真的活出了漂亮的自我，真香！#广州牙齿矫正##广州门牙有缝会自己恢复吗#
__L雅,:马上就要拆牙套了。想当初门牙有缝+牙齿大小不一每天照镜子都被丑哭，不仅如此还有拍照尽可能不露牙，说话也是，超级没有自信，活得自闭的日子终于结束啦。还好找到@广州牙齿正畸君推荐去了广州广州塔拜博口腔、协大口腔、南方医科大学口腔，现在脸部线条更柔和，笑容不尴尬！真的活出了漂亮的自我，真香！#广州牙齿矫正##广州门牙有缝会自己恢复吗#
·SunnyCcbblonely,:皮皮小时候的爪子也是肉肉的，指甲还是黑的。现在皮皮的爪子骨瘦如柴，指甲也都变透明了，泪痕还很严重，身上的皮肤也越来越不好了……一个月前还掉了一个指甲，满地是血，我跟我爸赶紧给皮皮处理。我的指甲断了还可以打麻药，皮皮只能硬忍着还不能说话，编辑到这里的时候我真的是心里好难受阿，哭了……12年了，2008年的夏天我跟我爸一起去红缨路把皮皮接回了家，皮皮以前在前主人家连沙发都不让上，可怜的小东西。还好来到了我家，皮皮太乖了，我希望它能活到20岁……
断毫残墨么么哒,:马上就要拆牙套了。想当初前牙唇倾严重，安氏三类错牙合畸形。不仅如此还有面型看起来不协调，不对称。真是让我活得自闭。还好找到@深圳牙齿矫正攻略君推荐去了深圳解放路360美牙、澳美口腔、新世纪口腔。现在牙齿不再拥挤不齐，有了灿烂笑容，牙齿和眼神都自带女王气质！真的活出了漂亮的自我，真香！#深圳牙齿矫正##深圳畸形牙可以拨掉吗#
Y0Y0Y0Y0YOYO,:昨天按耐不住找了Tony老师，回家看到后抱怨Tony老师有失水准，遂决定在家染发没有看到前觉得很好，看到后后悔不已染头发前，抓抓就好，比用梳子还好等照了镜子，“你这染的什么呀”拿起梳子自己动手，遍梳边说“这染的什么呀”
减肥失败中华区形象大使j,:#楼上请停止你的噪音[超话]#超话里的小伙伴们都太惨了我和我老公在我们家这里楼上是一对不明关系（可能是婚外情）的男女30多岁因为他们经常白天在这里聚集有的时候晚上就走了就两个人也不工作每天白天夜里在家里大叫大笑到处敲砸地脚后跟走路半夜还发出那种恶心的声音贼他妈呕听见两次之后我上去和他们讲了让他们小声点幸运的是从那时候到现在好多了基本没啥太大的噪音他们之前晚上都是一两点睡现在晚上基本不回来住偶尔住一次也是十点多就躺下了没啥声音然后我妈那边是楼下刚结婚的小两口女的非常野男的是当过兵还好一点我妈神经衰弱晚上睡不好和我说那两人晚上就不睡觉白天才睡半夜三四点看电视那女的嘻嘻哈哈笑声震楼很恶心然后我让我妈下去和他们讲我妈刚开始说都是邻居搞那么僵不好后来忍无可忍就去找他们了男的态度很好结果那女的说我妈家里有人跳绳问是不是有小孩？我妈说我女儿比你都大两岁早嫁了然后她哑口无言从那以后晚上也没什么声音了还是要告诉大家有问题要主动出击一直忍着会把自己憋出毛病我之前都快神经了烦得要命感觉年轻人还好沟通一点如果是带孩子的那种那比较麻烦了
张黎心,:#疝气手术之后交流#作为一个刚刚做完腹股沟疝手术的人，术后6天了，来谈谈自己的体会。首先说一下自己也不知道怎么有的疝气去年突然间腹股沟部疼还鼓起来了。手术做的是无张力的，微创（肚子上开3个小孔）全麻，刚手术完不让睡觉（当时特困因为还有麻醉）在床上躺了一天之后下床，当时刀口疼腹股沟位置也疼不过还好，然后在医院4天出院的。可能在医院活动比较少没感觉到别的大恙，在家活动就多了点，然后昨天晚上起床弯腰就感觉到刀口下方疼（如针扎）摸了下感觉里面还有个硬疙瘩。然后现在起床弯腰和躺床上的弯腰的时候就会有这种感觉。在网上搜索了好久没有找到交流的地方特开此贴让大家聊聊疝气手术之后的状况#疝气手术之后交流##心术语录#
如梦之梦1327,:真的好甜啊，金赛纶好好看哦0VO!soul上的姐妹推荐我看的恋爱播放列表第四季，等到了我们金赛纶妹妹超级好看!!!女主对男主一见钟情，满校园的寻找男主，女主是应援组的C位，人气也很高，为了能够偶遇男主参加了很多联谊，终于有一次碰上了男主。(当时可高冷了男主)女主喜欢男主的表现已经非常明显了，可是呢男主就是看不出，自己喜欢女主也不表现(全程只知道盯妻，简直就是盯妻狂魔)但还好男主后来终于慌了，怕失去女主终于告白了(一恋爱就变奶，还是贼温柔的那种)
lily冰冰儿,:等我当了婆婆，我一定要凡事为我儿媳考虑！今天正好看到一本书婆婆说人家不吃我的不喝我的，别人养那么大那么好来我家喊我妈，我凭什么不对她好！我妈常说我舅妈对外公外婆不亲，我就想说舅妈没错，什么都是相互的，你巴心巴肝地对我，凡事为我而不是为自己的孩子，等你老了我才会对你一样巴心巴肝，不然只想说一句，凭什么？我最需要的时候你在哪里？你给了啥？找你自己的孩子去吧！我以后绝对做个比妈还好的婆婆，让我儿媳喊她不要来都自己想来养老院看望我
阿瑞第一播报,:爆:姚永纯现在还未签约818未来有可能
是田北七呀,:接@七心齐火①什么时候开始追星：13年
石头在水边玩,:第四十二天把家里存的蔬菜清了一遍，叶子菜还剩一点，今天要吃掉，不然就坏了，有一盒小黄瓜，舍不得吃，放冰箱里，没有想到放坏了不能吃了，好可惜，有两颗包菜，除了面上叶子黄了，其它还好，再放放，明天开始吃，还有一捆大葱和大蒜，还能再放放，土豆和洋葱是保底的，不到最后不动，冰箱里还有几个蕃茄和青椒，也先不动，加上五十个鸡蛋，六颗苹果，能吃到12号左右，那时老公应该回家了，到时候再买新鲜的。现在物价虽然不便宜，但各种渠道畅通，生活还是过得去，把米兰树修了修技，感觉剪狠了，有些豁了口了
跳跳李书童,:我想去整牙齿了！成都郫都区哪家矫正比较专业呢？@成都正畸指南，我是咬合关系不好，牙齿不齐导致下颌发育不足。平常倒还好，今天碰到前男友说我牙齿还这么丑还有右边一颗坏的大实牙拔了，后面的往前移了，怪不得找不到男朋友可气死我啦！！#牙齿矫正成都哪个医院好##成都哪里做牙齿矫正好##成都牙科医院前十位#
eclipse-devil,:太可怕了还好只是梦
李胖胖的铝盆友,:我觉得人活着真的是在不断的挑战自己的底线，上高中大学的时候，觉得自己体重上了100斤，那简直是胖的不行了，天天嚷嚷着减肥。工作这几年，越来越胖，尤其是怀孕时接受过150多斤的体重之后，现在觉得自己120斤的体重还好，竟然一点减肥的动力都没有了
巧克力派小蛋糕,:
二木小姐eu,:我跟我弟分享我的香水我说有一瓶是男生的让他闻闻好不好闻我就喷他手腕上了过了一会我让他闻觉得怎样他说还不错然后我就接着分享我的其他款讲着讲着讲到黑鸦片的平替“这瓶你开始觉得n浓不能接受但后来你就闻越闻越好闻贼上瘾”我就给我弟闻我说是不是很浓“还好吧我鼻塞”“？？
伤感的驴子,:#韩国累计确诊5328例新冠肺炎#你们的韩国欧巴还好嘛洛阳
桜吹雪201902,:一早上醒来，果果🍎就点名要吃蛋糕🧁，尝试用其他代替，他都不同意。硬着头皮做到要打发蛋白了，才想起来家里白砂糖已经没有了，只好无糖打发。我担心味道太难吃，放了大量葡萄干调味，还好他很满足。PS：买不到土鸡蛋，做出来的成品就泛白。也买不到新鲜的鸡蛋，所以蛋白打发也不是很好，成品也有腥味。
可爱禁行中,:空腹抽血，自以为休息够以后爬到三楼(我妈去停电动车)，呼吸不过来了。。然后就倒在地上半没意识地口呼吸直到我妈把我捡起来，出了好多冷汗55。现在清醒过来喉咙和头都巨疼，抽血的手也麻了，身体其他部位也都闷痛闷痛的，还好没死掉
肖七禾页,:#王源[超话]##王源南都娱乐封面#🔥@TFBOYS-王源@南都娱乐周刊一觉睡过头还好微店里有
云上的青青青,:大清也还好砌了墙省的微博人均太平洋警察丢人丢到太平洋去
2020自救指南-,:看网课的时候听意难平听哭还好老师没让我回答问题不然还以为我听他讲赋比兴听哭了
BLUER-ONER,:失策了，应该鸡蛋放饼下面..8过还好熟了好恰
赐我一个好网名,看到第13集一帆上场我好紧张啊啊啊
小兔纸说,以前是东华紫府少阳君，现在是冬瓜紫薯少根筋
颓废超度,#MOK_Magazine#吴亦凡@Mr_凡先生forTmagazineMarch2020#吴亦凡[超话]#登上Tmagazine三月女装时尚特辑封面，这也是他第三次登上该刊封面，一大早，很需要一杯喝的[哈欠]☕
_夕晖下,乡村女童放学，徒步15里路往家赶，半道却迷了路。路遇好心的夫妻帮忙，辗转护送她回了家……中国乡村最真实的故事，真诚、平凡、质朴，又热忱。关于两个普通家庭的情与义，戳中泪点……永年城中事的微博视频
帽子要找到路,:#王源[超话]#平时网课直播下课后都会跟学生聊一下人生，今天一下课立马冲到店里抢杂志[并不简单]付钱的时候卡了我还紧张了一下，还好最后抢到了。开心👏
夜空中最不闪耀的派大星,:被炸饼馋哭的同事就不想还好想起来也是特想吃炸串啊麻辣烫啊奶茶啊聊城·茌平县
远道不可思密达,:解除隔离。第一个电话老板的。他不是关心你还好着吗，有没有困难。而是要赶紧出去给他跑项目。我他妈两个月没剃头了，你不怕我吓死那帮官老爷，影响你公司的形象吗？神经病啊！深圳·茂业城
她和他的十二年,:虽然没有带回来喜欢的活页本但是还好带了喜欢的笔嘻嘻嘻
许南薏,1⃣️:未满1⃣️8⃣️禁止观看本视频！脏脏脏！2⃣️:分上下2集！上集稍微收敛！下集恶心！3⃣️:所有画面拍摄都经过允许！不要多嘴！#胡宾果Bingo[超话]#胡宾果Bingo的微博视频
和小熊抢一颗软糖,真羡慕你脸上的皮肤保养的真厚
木语青桐,:还好德国游轮那俩是阴性，不过也是怕怕的。之前订的加勒比游轮马上要出发了，游轮公司还没给回复，也不知道那3W多块能不能要回来了
今纶,:其实我对放水搞基建，尤其是搞关于5G、医疗方面的基建表示没意见。但是对放水给房地产，呵呵，表示反对，还好，目前没有看到决策层用资金去冲房地产市场，只有地方政府的松调控。简单一句话：只要不放水房地产市场，其他都可以试试，不行就打住，房地产是试都不能试。
肖拢包肥虾,:委屈被说成卖惨，澄清被说成洗白。忍住忍住我还好
老肖Xyc,:刚才中奖了，第一次被高空坠物击中我脑袋！还好是个衣服撑子。。。我还戴个帽子，这要是个别的，后怕[撇嘴]太仓市
今天又想喝奶绿了,真的有套话的舞动你去参与舞动你去转发我不理马上露出爪牙你们一个都不许去不看不听花钱
三車之眼,:该死的肺炎春假计划全泡汤了不过还好没买票
贩履织席卖锦去,休·杰克曼发文纪念《金刚狼3》上映三周年，同时也是金刚狼死亡三周年，还发布了他珍藏的金刚狼写真，以后再也看不到狼叔了，真的哭瞎！！
打人不分日夜,:雅诗兰黛314好显白啊，显色度是真的高，本来还担心和我的mac撞色，还好这个比较偏红调嘿嘿，333准备送朋友了
萌萌哒热斯基,#教师资格证面试成绩#来咯！3种教资面试成绩查询指南！💯💯💯2019年下半年#教师资格证面试#成绩公布时间为2020年3月3日急切想要知道面试结果的考生可于3月2日起尝试试着登录系统查询成绩。查到分一定要来报喜奥！☺️☺️☺️祝所有同学顺利通过~评论你的“地区+认定”小编给大家发认定准备材料哦～
微博视频社区,:今日微博视频社区#视频美食精选#自制煎饼果子来一套！
浅芒蓝羽,【#朋友请听好#·单人海报】希望在纷扰的世界里，给您内心的宁静，找到一份慰藉。@TFBOYS-易烊千玺的广播小站首次正式直播，即将开始！每周三中午12:00，芒果TV#朋友请听好#全网独播。每周四晚22:00，湖南卫视暖心播出。#易烊千玺朋友请听好#
5·HT,:还好1月底就买了口罩
praying24,:#开学#所在的市一直没有病例，还不是被一刀切的不开学
宋宋小八,肖战海外社交账号已无法正常登陆，任何更改均非本人及工作人员操作，后续动作均与肖战本人无关。请勿侵权！请勿造谣！
--Lointain--,:今天是想学哲学的一天
柴波饲养员,:万万没想到ae都有作业了我电脑还没拿到。还好有男朋友够顶
是一只什么呀,:上网课被点名了啊啊啊啊紧脏！都这么大人了依旧逃不开自我介绍环节
