Bluuue_Nel,截了下魔法世界到目前为止全十部电影片头➕片尾图片！你最爱哪一部？
陌越1222,890年前，宋高宗感叹“西溪且留下”，于是便有了这条“留下”古街。午后，桥边且听雨，亭前但看花。#花草世界[超话]##杭州赏花录##那些春暖花开#糖糖的田园栖居的微博视频
雷蒙德先生888,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
查律师,:恒春之因2问为什么临沧能“恒春”？课题组副组长、中国村社发展促进会副秘书长杨秋生博士介绍，这与临沧特殊地理位置有很大关系。临沧在地图上极为好找，只要找到东经100°和北回归线的唯一交叉点。临沧还恰好地处世界上具有唯一性的“太阳转身”（指北回归线）+“两洋分水”（指太平洋与印度洋两大水系地理分水线）的十字路口。由于太阳在这儿转身、两洋在这分水，加之临沧坐落在横断山系怒山山脉纵谷区的高原与亚高原斜坡地带，高出海平面450米到3504米，平均海拔，也就是“恒春指数”设置的“基准海拔”高度在1276米，兼具山地气候、低纬气候、季风气候的特点，立体气候明显，因此，虽然临沧靠近地理学意义的热带，但它的地势梯级高度的作用抵消了纬度较低的影响，是形成四季“温暖”、“舒适”、“凉爽”小气候的主要原因。此外，就是临沧在这个重要的十字路口，两大洋大气环流在此交汇错落，夏季有来自印度洋的西南季风，带来大量的蒸汽和云雨，减弱了太阳辐射，降水的蒸发也带走了不少热量，所以地面恒温不高不低，夏季清凉舒适。到了冬季，在略干而湿的西南暖流影响下，周边高原大山对北方袭来的冷空气重重阻隔，于是冬天多晴少雨、阳光充沛、气候温和。这就是临沧冬无严寒、夏无酷热、四季如春的主要地理成因。
抖偏分,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
广西百色市,:#百色新闻##武汉加油##抗击新型肺炎第一线#【全国疫情最新动态看这里
老鱼·观察,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
恋上离别滋味,:❤❤【‎地‎‎图‎舌吃伏湿膏健脾胃】⚠‎孩子的‎舌‎‎头上老是有‎一‎块一块的，家长不‎要掉以轻‎心，这是‎地‎图舌。引起‎地图‎‎舌‎的原因：👉🏿1、‎抗生素使用过‎多👉🏿2、积食‎导‎致‎‎脾‎胃虚弱👉🏿3、孩子‎平时‎吃生冷‎寒凉，‎油腻
你还在你这里,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
Nocturne_Tu,:前年在铁人赛里做info的志愿者引导日本运动员的时候他们还专门在签到用世界地图上很自豪地写了東京2020谁能想到现在真的要来了却是这么个情况
朔州朔城区法院,#最新疫情地图#【2020年3月3日山西省新型冠状病毒肺炎疫情情况】2020年3月2日0时至24时，山西省无新增新型冠状病毒肺炎确诊病例，累计报告确诊病例133例。新增治愈出院3例，累计治愈出院119例。现有在院隔离治疗确诊病例14例，其中危重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察9人，尚在医学观察的密切接触者119人。（来源：山西省卫健委）#晋法战疫##太原身边事##共同战疫##万众一心打赢疫情防控阻击战##百城行动战疫情#
鱼子酱是坑神XD-26,【车专关chou10000通宝】叮~递上一份【巴蜀风云地图打卡攻略】！附带小地图噢~|ू･ω･`)分别为【白龙口】、【苍山洱海】、【黑龙沼】、【融天岭】和【无量山】还有多少小伙伴不知道巴蜀风云地图即将重置！拔草姬虽迟但到！在体服被打死次数第12345次后我终于肝完了这份攻略！（美中不足的是到处的小怪都很多截图的时候要注意！←一个装备都红了的人的经验之谈圈@剑网3官方微博@剑网3客户服务@剑网3吧官博打扰辣打扰辣！#剑网3截图##春日游戏季#
catherinekaa,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
等风来的企鹅,:我冒着被病毒感染的风险天天跑实验室跑地图，你这个智障就给我来这个？？？？
闻风之语,#窗外风景打卡#六点半的北京，分享给你们绿洲
超甜现儿,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
金紫山,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
0806KXY,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
超甜现儿,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
守护江西蓝,:#蔚蓝地图#实景。2020年03月03日22点，南昌市，多云，8°C，湿度83%，风力2级，风向东北风，空气质量良。
潘可芯,脸大有什么关系，脸美就行了，大点儿美得清楚。
超甜现儿,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
浪子杀手1,#晚安#希望自己有足够的运气与足够的勇气，去见命运里不同的风期待在未来的日子里，能够被这些涌动的气流，雕刻成不一样的山川与河流晚安~一个人的生活语录的微博视频（一个人的生活语录）
wwwdp001龙文章,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
超甜现儿,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
超甜现儿,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
诺小妹mama,:这几天听到最好的消息
F_ancy_J,:#葵LiveHouse[超话]#@葵LiveHouse2019.03.19一个人第一次看现场演出作为一个兰州人竟是用导航来到这里地图带领着我走了一条小巷道偏僻，狭窄虽然走了很多弯路却也无意间遇到了这课正在盛放的粉红那天有点热仅是初春却也大汗淋漓了一场在拥挤的演出场地我们之间没有距离那天是周二上了半天课也想象了半天的演出一下课就立刻赶来还是几乎排到了队尾模糊又真实没想到还能有脱离束缚来看音乐现场的一天快乐又悲伤令人兴奋的演出很短暂这是我第一次看现场演出也是第一次看陈鸿宇的现场并不是那么民谣有点摇滚又有点迷幻期待下一次的到来在最近。
乘着叶片往前飞UU,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
为什么香芋,截了下魔法世界到目前为止全十部电影片头➕片尾图片！你最爱哪一部？
守护江西蓝,:#蔚蓝地图#实景。2020年03月03日22点，南昌市，多云，8°C，湿度83%，风力2级，风向东北风，空气质量良。
木槿椛溪,:#IPE全国区县疫情地图#
梅思特是我,:被铭记的春天|全民绘制野生动物消费回顾性地图_菜市场http://t.cn/A67pGV1b
C_Allen,:#我想出去玩#🇲🇦卡萨布兰卡最佳拍摄机位【附地图】去摩洛哥之前，早就听闻了浪漫的间谍之都卡萨布兰卡。随着摩洛哥对中国公民免签，卡萨布兰卡绝对应该是人生必打卡清单之一。哈桑二世清真寺作为全球第三大，而且是唯一三分之一面积建在海上的清真寺，自然成了卡萨布兰卡旅游必打卡之地。📸关于拍照，由于规模宏大，又临海，所以出片率极高，几个随手拍即大片的地方：1⃣围绕主楼的一圈环形连廊，不过一般人都比较多，建议疯狂抓拍；2⃣图一旁边水潭，有很多个，所以基本上不会抢的，放心凹造型；3⃣往海边走一点，可以看到整个清真寺骑在海上；4⃣入口门廊，可以通过拱门看到整个清真寺5⃣图一的环形门廊内，很多坐在台阶上休息的穆斯林；后面的图都是围绕这几个点进行的抓拍，清真寺内非穆斯林不让进，里面的建筑尺度，结构，和建筑空间装饰都是非常华丽的。大家可以多拍，各个角落都有绚丽的效果。@新浪旅游@绿洲旅行@微博旅游@绿洲探索http://t.cn/A67pGVDM
桃菀菀,:#春日游戏季##剑网3截图党##剑网3畅玩小攻略#带着云图游大唐小七这次主要分享地图，带大家看看春天的大唐前排@剑网3官方微博@电五小辣椒鸡涌兮@剑网三技术教程君@剑网3拔草姬@剑网3风物志辛苦了。所有图均为云图直出，无后期！
我是小萌萌啊1,:#蔚蓝地图#实景。2020年03月03日22点，邢台市，晴，1°C，湿度45%，风力2级，风向西北风，空气质量良。
是你托伯小哥,以前好像是80/90后会骂60/70后封建保守，现在居然是80/90后骂00/10后封建保守？Millennials两头烧。
思雅考完雅思来改名,:我今天看了疫情地图，我家这里只剩下一个患者还在治疗。大家都来猜测一下，各自地方还要多久恢复正常的生活状态？
地图小飞侠,:#RandMcNally世界地图集1993版#44）加尔各答附近和孟加拉国西南部
记号茶,:居家隔离生活也无法阻挡本路痴的脚步，我每天至少要在跑跑卡丁车的地图里迷路三次。
本溪老刘,:什么情况？南极出现了一个“新岛屿”，科学家：地图上没有标记什么情况？南极出现了一个“新岛屿”，科学家：地图上没有标记
阿近近,:玩仁王时的我跑地图时：老子无敌打BOSS时：召唤稀人
地图小飞侠,:#RandMcNally世界地图集1993版#43）喜马拉雅和恒河平原
HALOMiBABY,:#巴西发现神秘病毒#看了视频感到无比后怕，现在的情况不都是我们不尊重大自然而导致的后果吗？看看吧！人类“进化”史
临渊玖歌,:卑微作者在线返图qwq地图：我自己的碧海潮生懒得修穿模了～改天再说吧～～
缘聚时尚牛莉,:详情http://t.cn/A67NCJr3#高德地图#
美索不达米亚的仰望者,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
宝贝酱紫吖,:#第五人格[超话]#排位你们最喜欢哪张地图？最不喜欢哪张?
罂粟有毒花开烂漫,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#@薛之谦
顺其自然一切随Yuan,:28秒带你看31个省区市“确诊零新增”蓝色分布图的动态变化，加油小蓝块！湖北，我们等你变蓝！#疫情地图#顺其自然一切随Yuan的微博视频
pink一江,:#我要过雅思#今日感受：老师讲了三道题都非常仔细，举例举得很好，学到了不少！对于听力问题还是要多听多想，逻辑转化的更快一些，才能有效提高！不过这波地图题的技巧真的是很及时很实用啦！感谢感谢～今日作业：@新东方雅思在线
绝地求生数据小助手,:#PUBG好汉杯#【赛事预告】第三日比赛时间：03月04日18:30比赛地图：新艾伦格×2+米拉玛×2+萨诺×1观赛地址：斗鱼直播：http://t.cn/A67ooTD0参赛队伍：4AM、Ark、BA、D7G、Dae、DLG、MQ、NewHappy、OMG、SMG、SSS、Tianba、TITAN、VG、Weibo、Wolves。#pubg[超话]##绝地求生[超话]#
要健浩v,:#疫情动态#法国，德国，西班牙怎么没有出地图呢？信息还没有掌握到么？@新浪新闻信阳
-方恨少-,:以链接形式分享的AppleMaps位置，在中国IP下的非Apple设备居然直接跳转高德地图🤔然后共享的位置就丢了。
酋长有点坏,:#李艺彤美人暮白首#lyt#李艺彤谢谢你爱我#我的女孩，你成长起来，值得最赤诚的瞩目，不负最灼热的期待。桂冠和斗篷已装载，未知的新地图已铺开，我们再来做你的剑与灯火——无往不胜，照亮未来！@李艺彤
陌晏塵,:『实时更新|新冠肺炎疫情地图』实时更新|新冠肺炎疫情地图
兵马俑后面那个,最近受邀参与了百度地图#声援疫线你我同行#公益配音活动，录制了一版防疫提示导航语音，现在已经正式上线了。有兴趣的话，可以试试。水平有限，多多包涵。重要的是出门的时候，不要忘了防护。大家加油！
比日鱼520,:#蔚蓝地图#实景。2020年03月03日22点，三明市，阴，14°C，风力2级，风向东风，空气质量优。
穆酒酒酒酒酒酒,:#剑网三捏图[超话]#[爱你]#剑网三捏图#“灯火芜城夜。”大概是两鸽杀手（？）置景:城寨@穆落棋绝美地图太好看辽我吹爆大大！！！艾特打扰啦
cathysmap_9999,:如果有一天中居能上新地圖的7.2，我希望看他參加人狼遊戲😂
秦楚孤狼,#兵林往事#【视频带你了解清末西藏军民抗英战争全程战线变化】@史图馆史图馆的微博视频
火研爆料员,:#最新疫情地图##韩国疫情#【#韩国大邱一确诊者混入长队买口罩#，接受采访称：早上刚确诊】3月2日上午，大邱市某邮局开售政府配置的口罩，每人限购5个，众多市民提前3小时排队，队伍长达数十米。韩媒记者到现场采访，一男子称"我早上被确诊了，但口罩总要买的，你说是吧"，随后记者将男子劝回并向警方报案，经确认该男子是确诊者。http://t.cn/A67pUcFM
一见你就好心情Y,:盼望春天早一点来，签到打卡又升级，要高德地图定位，希望不用下载软件，我的手机已经负载了
啾啾咪兒-,:点击进入【高德巡星声力榜】参与打榜http://t.cn/AiDKTjdn#高德地图#
司初灵覆,:(；还能用铅笔标上洋流方向哪里不会标哪里~！愿你的世界永远是晴天。送你一个小太阳；高中每次地理考试都带一瓶特仑苏；因为它的背面有完整的世界地图还有一条黄金奶源纬度带就是北纬四十度线，转来造福大家……转走它益阳·乡村厨房
吃藕大王,:貂蝉的二技能，李元芳的二技能，这一类带位移的技能，有时候闪现也会，一按下去人就飞出了地图。不知道这是游戏bug还是手机问题。
DaiDai_921,中午起来发现有些亲戚在自发的帮咱盘狂评五星，谢谢大家的五星护体神符，放心，天塌下来有我这个网盘一哥顶着，为表感谢亲戚们的一腔热血，关+转，3月12号当天薅出10名幸运亲戚送上1年超级会员
唐姆奥迪93,:日企应对学校停课：允许带娃上班开放会议室写作业，查看详情>>#百度地图#http://t.cn/A67py15z
锦州发布,:《锦州市委书记王德佳暗访检查村卫生室停诊情况》#锦州战“疫”快报##锦州发布##抗击疫情辽宁在行动##最新疫情地图#@记者微博@锦州老金@辽视第一时间@辽沈晚报@锦州同城@锦州公安@锦州播报@锦州气象@记者微博@渤海大学微博协会@锦州同城@爱特雷锋@爱锦州官方微博@渤海大学微吧@锦州太和公安@锦州交警支队http://t.cn/A67pyqhS
KKKKKristina,中午起来发现有些亲戚在自发的帮咱盘狂评五星，谢谢大家的五星护体神符，放心，天塌下来有我这个网盘一哥顶着，为表感谢亲戚们的一腔热血，关+转，3月12号当天薅出10名幸运亲戚送上1年超级会员
锦州发布,:《【锦州白衣战士在武汉】“虽然我只是个女孩子，但更知自己是护士”》#锦州战“疫”快报##锦州发布##抗击疫情辽宁在行动##最新疫情地图#@记者微博@锦州老金@辽视第一时间@辽沈晚报@锦州同城@锦州公安@锦州播报@锦州气象@记者微博@渤海大学微博协会@锦州同城@爱特雷锋@爱锦州官方微博@渤海大学微吧@锦州太和公安@锦州交警支队http://t.cn/A67pL3aM
口袋不困,:好下饭的玫瑰腐乳焖肉，一级棒，一大碗白米饭秒见底，足不出户在家把存货变着法吃
代曼曼曼,:#2020中国大学生好创意，为中国加油!武汉加油!#@全国大广赛组委会作品名称：齐心抗疫设计说明：作品以湖北地图轮廓图形为视觉元素，将地图嵌入“心”字其中，并代替“心右上方两点”；表达了万众一心、共同抗疫的主题。作者姓名：代曼指导老师：郑波学校：贵州理工学院
鸳鸯怨央-叶砸,:“有一种鸟是关不住的，因为它的每片羽翼都闪耀着自由的光辉。”给@您好您的酒玖到货了太太的囚鸟激情摸鱼！地图超好康！！！脸型来自@不是秃头是花哥
WithNewGun,截了下魔法世界到目前为止全十部电影片头➕片尾图片！你最爱哪一部？
坐揽清雪踏月飞,:嗐，写文才写了一点，发现构思的世界观地图太复杂，自己都记不清，于是默默打开CAD做起了地图
绳浩思悲壮,:很好看
别乱凶o,:和平精英雪地图我只跳城堡因为我是公主那是我的家你如果不带我跳城堡你就是拐卖公主那你就是犯法
长世当歌,:进入新地图！查了一下还有七个任务就版本通关挺入5.1了！奥利给
波澜不惊的波,:#蔚蓝地图#实景。2020年03月03日22点，北京市，晴，1°C，湿度26%，风力3级，风向东北风，空气质量优。
