貓咪Chul的希天才,:从来没有这么喜欢过一个人，可能是老了吧……
软糖曲奇饼干,:这段日子我很不开心，你都不知道在深夜有多难过，你不知道没关系，但是我不可能及时的回你消息啊，你不可以说我不礼貌，真的很让人崩溃的，拜托下次别说了
ScappthireO_o,:#SEVENTEEN[超话]#啊啊啊啊啊啊啊啊妈的，今天什么神仙日子，我正在b站重刷他们的舞台，我妹突然给我说了消息。啊啊啊啊啊啊啊啊我现在激动的手都是抖得。
Smile_妖妖,:#f(x)[超话]#微信被封都没哭过的我！看到Luna哭还是忍不住！虽然已经克制的不在搜寻着你们的消息微博慢慢的换成了别人但是还是心头肉啊在我青春那段最懵懂的时候遇见你们！你们给了我坚定的信心让我一步一步的走下去家中一半的都是你们的周边
真闲不是真的贤,:#NBA##NBA吐槽大会#根据TheAthletic记者ShamsCharania报道，多位消息人士透露，湖人已经完成迪昂-韦特斯的试训，后者的表现给湖人留下深刻印象。根据报道，韦特斯的下一步计划是与湖人总经理罗勃-佩林卡和主教练弗兰克-沃格尔会面。韦特斯此前被热火交易至灰熊，随后被裁。本赛季常规赛至今，韦特斯因禁赛共上场3次，场均上场14.0分钟，得到9.0分3.7篮板1.0助攻。
Summer的小时光,:有一个在家线上办公比去单位上班还忙的工作，是一种什么样的体验？昨天晚上一晚上都在做梦，梦见工作没提前安排好，第二天有多么慌乱，今天一大早起床后匆忙吧啦了两口早饭，就投入工作，线上会议从早上9:00一直开到中午1:30，然后赶紧吧啦几口午饭，接着忙于准备校区的会议，回复各种消息，下午4:00-6:00开完校区的会议，继续回复各种消息，一直到现在手机里还在消息不断
河北青年报保定播报,:【3月20日前后！保定6000多辆出租车全部恢复运营，还有重大消息】#保定身边事##万众一心抗击疫情#为保障城市正常运行，满足企业复工复产出行需求，保定市5家巡游出租汽车企业即将全部投入正常运转。目前已有600余辆巡游出租汽车恢复运营，预计20日前后，全市6264辆（其中主城区3174辆）巡游出租汽车将全部恢复运营，以满足群众出行，尤其是学生返校和民工返城需求。同时，预计在5月1日前，保定行政区域所有出租汽车可实现网约化。@保定同城http://t.cn/A67pwLKk
自卑不自悲,:#肖战#！！???刚刚那条凤凰网的消息去哪了？咋没那个消息以后，这热搜咋窜这么快?这波操作，咋让人这么迷糊，虽然那个凤凰网，我个人认为说的不太对，避重就轻的，但是这也不能这样搞啊！你们是不是在欺负我们?我们只是想要保障写手的权利，但是你们为啥一直在伤害我们?是我们要的多嘛?我们也没啊？我们就想保障我们的权利，但是你们一二三再而三的欺负我们，我们做错了什么？作者又错了什么？平台做错了什么？为什么要欺负我们啊？
人民网,:【#微信群聊疫情瞒报系主观臆造#】近日，一则从微信群聊中传出的关于湖北孝感某地疫情瞒报的消息引起广泛关注。对此，孝感市云梦县疫情防控指挥部迅速组织专班进行调查核实。经查，这段对话系群内人员主观臆造，反映情况不实。　　据云梦县疫情防控指挥部调查，“众乐乐”微信群是一个同学群，有38名成员。针对群聊中说的“从现在开始，确诊人员每天数字都会是零，官方上面公告不能再出现病例，否则追责”，被调查人员表示：“这段话没有任何依据，属开玩笑，没有核实，也没有看到官方公告。”针对群聊中说的另外几个问题，被调查人员均表示是开玩笑，没有真实依据。　　云梦县疫情防控指挥部表示，将继续全面深入调查，严肃查处涉事人员；坚决落实疫情防控要求，实事求是上报疫情，瞒报疫情等行为要追究刑事责任。@新华视点
阿丬匕大人,:今天订了回温的机票妈妈楞楞地问我说还有几天几个晚上两个？三个？订完票的一天我都突然会掉眼泪吃不下饭不想离开爸妈身边我可能是一个平平无奇的粘人小天才罢了吃晚饭时我说妈妈老是会在10点多或者下午3点多在我得空回她消息后问我下班了吗我真的好生气啊我说是妈妈没把我的话放心上记不住我的上下班时间妈妈说喏这样我们俩就有了闲隙其实说完我就后悔了我每次回她一句还没下班又会怎么样妈妈好像很伤心的样子焦虑不安
太阴初明,:因为疫情特殊情况，本来会推迟到十五号发放上上个月的工资，不过考虑到小伙伴们生计问题，老板自掏腰包提前发了工资，还免除了小伙伴们的请假扣款，这是什么神仙老板呀~既然发了工资，那我就准备愉快的去买纠结了很久的太华皮肤了，会不会射手不重要，重要的是真的很好看呀，就是有点后悔刚出来打折的时候没有买。说起皮肤，小姐妹给我看剑三即将出的新皮肤，我说四个体型中就成男的还不错呀，然后她们问我怎么肥四，都觉得成男的不好看，可能我的审美真的有问题？现在回家吃了饭就约小姐妹们打农药到很晚了，常常第二天才发现同事给我发了消息，嗨呀，我不是故意不看不回消息的。不知道为啥，我的农药，不是上单兄贵程咬金，就是打野壮汉亚瑟，想玩漂亮的小姐姐角色，算了，分会更低，反正凭实力坑队友嘛。说起游戏，我发现公司小姐姐们在画我玩的另一个换装游戏的皮肤，偷瞄一眼，画的吼吼看哦。说起画画，朋友今天还在说，我说学画画，学了977天了还在准备阶段，我真的完全没有自控力啊，太难了，但我想学是真心的。线上我真的好能BB啊，线下木讷寡言，莫得救了。
新闻夜航,:【好消息！哈尔滨市传染病院第13批5名确诊新冠肺炎患者治愈出院】今天哈尔滨市传染病院继续传来喜讯：第13批5名确诊新冠肺炎患者治愈出院。看到越来越多的患者康复出院，医务工作者的内心充满了成就感和喜悦感。这批5名确诊新冠肺炎患者，年龄分别为8岁、56岁、63岁、65岁、73岁，皆为新冠肺炎普通型病例。在医院的精心救治和护理下，体温恢复正常三天以上、呼吸道症状明显好转、肺部影像学显示炎症明显吸收、连续三次呼吸道病原的核酸检测阴性。经省专家组评估，达到治愈出院标准，于今日出院。其中陈XX，男，73岁，既往高血压病史多年，半年前脑梗，左侧肢体瘫痪，有确诊病例接触史，2月1日出现发热，体温38.2℃，2月8日由120转送至市传染病院，以“新型冠状病毒肺炎疑似病例”收入院。2月9日核酸检测阳性，确诊为“新型冠状病毒肺炎”。国家在抗疫，医护人员在抗疫，各个战线都在抗疫，但最关键的抗疫者，还是我们自己。请广大市民切不可麻痹大意，不扎堆人群，待病毒消散之际，再看遍大好河山！#钟南山李兰娟等10个院士团队齐聚湖北##美国又有4人死于新冠肺炎#http://t.cn/R2WxClD
阿丬匕大人,:今天订了回温的机票妈妈楞楞地问我说还有几天几个晚上两个？三个？订完票的一天我都突然会掉眼泪吃不下饭不想离开爸妈身边我可能是一个平平无奇的粘人小天才罢了吃晚饭时我说妈妈老是会在10点多或者下午3点多在我得空回她消息后问我下班了吗我真的好生气啊我说是妈妈没把我的话放心上记不住我的上下班时间妈妈说喏这样我们俩就有了闲隙其实说完我就后悔了我每次回她一句还没下班又会怎么样妈妈好像很伤心的样子焦虑不安
太阴初明,:因为疫情特殊情况，本来会推迟到十五号发放上上个月的工资，不过考虑到小伙伴们生计问题，老板自掏腰包提前发了工资，还免除了小伙伴们的请假扣款，这是什么神仙老板呀~既然发了工资，那我就准备愉快的去买纠结了很久的太华皮肤了，会不会射手不重要，重要的是真的很好看呀，就是有点后悔刚出来打折的时候没有买。说起皮肤，小姐妹给我看剑三即将出的新皮肤，我说四个体型中就成男的还不错呀，然后她们问我怎么肥四，都觉得成男的不好看，可能我的审美真的有问题？现在回家吃了饭就约小姐妹们打农药到很晚了，常常第二天才发现同事给我发了消息，嗨呀，我不是故意不看不回消息的。不知道为啥，我的农药，不是上单兄贵程咬金，就是打野壮汉亚瑟，想玩漂亮的小姐姐角色，算了，分会更低，反正凭实力坑队友嘛。说起游戏，我发现公司小姐姐们在画我玩的另一个换装游戏的皮肤，偷瞄一眼，画的吼吼看哦。说起画画，朋友今天还在说，我说学画画，学了977天了还在准备阶段，我真的完全没有自控力啊，太难了，但我想学是真心的。线上我真的好能BB啊，线下木讷寡言，莫得救了。
新闻夜航,:【好消息！哈尔滨市传染病院第13批5名确诊新冠肺炎患者治愈出院】今天哈尔滨市传染病院继续传来喜讯：第13批5名确诊新冠肺炎患者治愈出院。看到越来越多的患者康复出院，医务工作者的内心充满了成就感和喜悦感。这批5名确诊新冠肺炎患者，年龄分别为8岁、56岁、63岁、65岁、73岁，皆为新冠肺炎普通型病例。在医院的精心救治和护理下，体温恢复正常三天以上、呼吸道症状明显好转、肺部影像学显示炎症明显吸收、连续三次呼吸道病原的核酸检测阴性。经省专家组评估，达到治愈出院标准，于今日出院。其中陈XX，男，73岁，既往高血压病史多年，半年前脑梗，左侧肢体瘫痪，有确诊病例接触史，2月1日出现发热，体温38.2℃，2月8日由120转送至市传染病院，以“新型冠状病毒肺炎疑似病例”收入院。2月9日核酸检测阳性，确诊为“新型冠状病毒肺炎”。国家在抗疫，医护人员在抗疫，各个战线都在抗疫，但最关键的抗疫者，还是我们自己。请广大市民切不可麻痹大意，不扎堆人群，待病毒消散之际，再看遍大好河山！#钟南山李兰娟等10个院士团队齐聚湖北##美国又有4人死于新冠肺炎#http://t.cn/R2WxClD
时尚于莺晗,:2019.1.30岁末捞金节目重点《下》主题：股市到底在玩什么？1.封关前的鸡肋行情，大盘杀跌风暴之后将迎来最佳抄底良机！密切关注临界点位支撑！2.玩股票，不要被股票玩！技术面消息面皆为要点，拒绝盲目操作，选择对的老师很关键！3.简单是最高级的复杂，后续行情如何演变，投资者应如何应对？锁定节前最后机会L张师侃股的微博视频收起全文dL张师侃股的?
湖南工业大学土木青志联,:#南京市鼓楼区发生3.0级地震#江苏省地震局发布消息，南京鼓楼区发生3.0级地震
陕西城事,:【#东京奥运允许被推迟至年底举行#】《每日邮报》消息，日本奥运大臣桥本圣子接受采访时表示：按照奥运会举办城市合同，国际奥委会可以作出取消奥运会决定的原因只有‘本届奥运会如果不能在2020年举办’。即只要在2020年的话，可以延期举办。但#日本正尽全力让奥运会如期举行#。“如果新冠病毒蔓延无法得到控制，原本在7月底开幕的东京奥运会可能会延迟今年年底才开始。”http://t.cn/A67NIh3P
西贝汪汪,:#JO1[超话]##豆原一成[超话]##jo1##豆原一成出道倒计时##鶴房汐恩[超话]##川西拓実[超话]#上完课来p图了！要说还是我男朋友手气太好了！！一下就开出了豆🐶西🍓鹤👽！夸夸手气王@EasyMoneySniper___明天JO1就正式出道了！是大明星啦！之前还是每天都在等新物料更新，现在每天相关消息多的根本看不过来了！因此也认识了很多JAM，能一起追星太好啦！希望JO1在未来可以带给大家更多的惊喜！要大火🔥！
少年阿热,:听我朋友说女生有想过当一回男生。其实女孩子的心思真的很敏感。聊天置顶，朋友圈晒照，情侣头像这些事情，也许听起来又傻又可笑。但其实我们心里都特羡慕这样的情侣，也期待能有一个这样的男孩儿出现，主动为我们做这些。想起闺蜜之前谈过一个男朋友，有一次两个人出去旅行，男生用手机给闺蜜拍了很多张照片。旅行返程的时候，男生把所有的照片都传到了闺蜜手机里。然后说：“你保存好，我手机里的我就全删了，不然很占内存。”那场旅行之后闺蜜就提出了分手，只是很小很小的一件事，但其实在这之前，有很多很多这样的小事情发生。那个男生的手机相册里，没有一张闺蜜的照片，明明闺蜜关注他的微博已经很久了，但是每天都在刷微博的他还是没有回粉闺蜜。微信也是一样，男孩子很爱发朋友圈，但从没提起过闺蜜，一起出去旅行，也只会把自己的单人照Po出来。闺蜜跟我说：“也许都是一些很小的事情吧，但是真的挺让人难过的。我不在他的朋友圈里，不在他的微博里，不在他的手机相册里，也真的不在他的世界里。”闺蜜分手之前，其实我问过她：“你和他在一起的时候，有没有提起过你心里的这些感受？也许他真的就是钢铁直男，不是不爱你，只是不解风情呢？”闺蜜告诉我说：“这个年纪，内心的小感受，都只能自己消化。有些话说出来显得矫情，但不说委曲。至于他爱不爱我，小细节都告诉我了。”很奇怪呢，二十岁的时候我们爱一个人，好像特小家子气。会从短信、微博留言、QQ空间访客这样的小事情里，寻找到被爱的蛛丝马迹，然后从这样的事情里获得满足。到了二十七八岁，再去期待这样子小家子气的事情，就会显得特别不成熟。大家都变得好忙，秀恩爱这种事也只能先放放。所以在恋爱的时候，明明心里想要他多陪自己一会儿，开口却变成了：“工作重要，你先忙。”明明想要在节日的时候有一些仪式感，开口却变成了：“仪式感不重要，每天开开心心就好。”明明也需要被秒回消息，得不到回复的时候会睡不好觉，开口却变成了：“没关系啦，我也没什么重要的事情要找你。”明明想让他发朋友圈秀恩爱，想要他也把微信聊天置顶，却闭口不提假装根本不在意。这样子小心翼翼爱一个人，真的好累也好委屈。但其实真的爱你的人，根本不会让你这么累这么委屈。一个人真的在乎你，不会在他的世界里对你遮遮掩掩毫不在意，而是会想要你走进他全部的生活，熟悉他的朋友，了解他的工作，和他有共同的朋友，有共同的话题。他会让你出现在他生活圈子里最醒目的位置上，不论是汽车里的副驾，影院旁边的座位，还是微信聊天的置顶。因为生活就是一个一个的小细节，很少能出现什么惊天动地的大事情。那些“上九天揽月，下五洋捉鳖”的故事，我们也只是听起来觉得很感动，但从来没想过真的能有谁来揽月捉鳖。真正在乎你的人都表现在最普通的生活里，在茶米油盐的琐碎里，在一些最小最小的细枝末节里，我们寻找发现爱，然后得到满足。所以啊，如果真的有一个人，把你设置成了微信聊天置顶，带你见他的朋友，见他的亲人。那他一定是爱你的，你也一定要好好珍惜。#当女生拥有直男思维后#
分手挽回前任婚姻复合情感指导师,:#分手怎么复合##怎么挽回前任前男友##失恋分手挽回前任挽回男友#有人说：“男孩子都是聪明人。他当然知道不及时回你的消息，你会不开心；他当然知道朋友圈空间没有你，你会介意；他当然知道和别的女生暧昧，你会多想；他当然知道带你去做你喜欢的事，你会开心。其实他们根本没有你想的那么笨。他什么都知道，但他偏偏没有那么做，只不过是因为他没有那么爱你。，关注我教你怎么去挽回：.
王雪1997男生,:#一起交友吧wang1997#伊朗累计确诊2336新冠肺炎病例哈梅内伊下令军队协助抗疫海外网人民日报海外版官方企鹅号2020-03-03关注伊朗民众戴口罩预防新冠病毒（图源：路透社）海外网3月3日电据PressTV最新消息，伊朗卫生部当地时间3月3日在德黑兰举行了一次新闻发布会，报告说，过去一天，伊朗新增835例新冠肺炎确诊病例，截至当地时间3日中午，伊朗累计确诊新冠肺炎病例2336例，其中435例康复，77例死亡。另据AlArabiya新闻网报道，伊朗最高领袖哈梅内伊3日发表讲话，下令武装部队协助卫生部抗击疫情，制止新冠病毒的传播。报道称，哈梅内伊还呼吁伊朗人遵循卫生部门给出的建议，避免被新冠病毒感染。（海外网爱扎大）http://t.cn/ELT0hke
宠爱坚果爸爸吖,:#肖战#xz#肖战olay全新品牌大使#风雪背后，那是春天的消息以后的路还很长，我们一起走下去吧@X玖少年团肖战DAYTOYOLAY的微博视频[/cp]
爱笑的Vicky糖,#济南德云社[超话]#济南德云社位置定了济南·浩鼎工场璐璐的榴莲和雪碧的微博视频
无二之旅快退款,:今天无二之旅顾问下午开始不回复消息、酒店申请退款至今毫无回复。态度强硬的不行要么接受10%服务费要么就起诉他们牛逼的不行、@无二之旅@蔡韵Iris你们靠融资起家别弄到最后无法融资一家没有信誉没有脸皮的公司谁选择谁倒霉投资的钱打水漂恶心🤢
懶惰患者_,对不起各位暴发户，我也是暴发户，看我微博就知道了。因为目前我母亲发现恶性肿瘤，乳腺癌脑转，但是因为疫情无法住院，所以占用毛毛一点资源，请求帮助，肯请各位体谅，也请大家帮忙，玩不想没有妈妈！！！求求大家了。【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，大恩大德没齿难忘！
少年阿金-,:真给我逗笑了，一个老师让听录播然后在一个卡的要死的垃圾软件上整一堆事，靠QQ群发消息，发完就群里禁言。另一个东百老师嘴快的像机关枪一样停不下来啥也听不出来，听了一天课晚上还得看录播补笔记，牛的
町芒评测,:#韩国累计确诊新冠肺炎5186例#韩国累计确诊新冠肺炎5186例，死亡31人据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入同传染病战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。
微播南部,:【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。http://t.cn/A67C3gKi
爱笑的Vicky糖,#济南德云社[超话]#济南德云社位置定了济南·浩鼎工场璐璐的榴莲和雪碧的微博视频
懶惰患者_,对不起各位暴发户，我也是暴发户，看我微博就知道了。因为目前我母亲发现恶性肿瘤，乳腺癌脑转，但是因为疫情无法住院，所以占用毛毛一点资源，请求帮助，肯请各位体谅，也请大家帮忙，玩不想没有妈妈！！！求求大家了。【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，大恩大德没齿难忘！
无二之旅快退款,:今天无二之旅顾问下午开始不回复消息、酒店申请退款至今毫无回复。态度强硬的不行要么接受10%服务费要么就起诉他们牛逼的不行、@无二之旅@蔡韵Iris你们靠融资起家别弄到最后无法融资一家没有信誉没有脸皮的公司谁选择谁倒霉投资的钱打水漂恶心🤢
少年阿金-,:真给我逗笑了，一个老师让听录播然后在一个卡的要死的垃圾软件上整一堆事，靠QQ群发消息，发完就群里禁言。另一个东百老师嘴快的像机关枪一样停不下来啥也听不出来，听了一天课晚上还得看录播补笔记，牛的
町芒评测,:#韩国累计确诊新冠肺炎5186例#韩国累计确诊新冠肺炎5186例，死亡31人据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入同传染病战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。
微播南部,:【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。http://t.cn/A67C3gKi
Xxxswan,:好消息麦当劳又配送了坏消息下单告诉我所在区域不配送
廉小同同同同,:#孙杨妈妈#真心觉得孙杨他妈和孙杨就是两个傻子话不多说直接看图看重点您这是不仅把孙杨拉下水更是把中国泳联一起拉下水啊没有那个洗白的水平就别乱洗话说孙杨如果血液有问题你砸了大家理解销毁证据但如果你坚信血液没问题你tm砸了干嘛呢？猪脑子么可怜的是一群网友无脑的跟风倒禁赛消息从宣布开始就立刻坚定的上升到国家层次怎么被欺负怕了？一遇到事就是国家问题民族问题？
齐鲁晚报,:【
体育台,:【#孙杨世锦赛400自金牌或罚判给霍顿#】#国际泳联考虑将孙杨金牌罚给霍顿#澳大利亚《悉尼先驱晨报》消息，国际泳联马特·邓恩在接受采访时表示，若孙杨上诉失败，将考虑剥夺他拒检之后所得奖牌的可能性。“剥夺孙杨金牌？我认为这件事情是开放的，我们支持CAS的处罚决定，也会执行WADA的规则，让游泳池中保持干净、公平！”“拒检”事件发生后，孙杨在光州世锦赛夺得400米自由泳金牌。如果金牌被剥夺，那当时的亚军霍顿将夺冠。（当时比赛颁奖典礼上，霍顿拒绝与孙杨同台领奖）via@新浪体育
诚毅热门资讯,:#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。http://t.cn/A67C3gKi
火油的小尾音,:今天得知了很多让我充满负能量的消息，不管怎么样还是要积极面对，调整好心态，坚持自己所选择的。祝离开的朋友一切顺利，也希望自己能够不忘初心，继续努力！[加油]
七什一,:微博消息里一千多条没打开我都知道全是p话
观世音菩萨基金会-,:向工作在疫情第一线的无私奉献着致敬！题目来源：观世音菩萨基金会www.tgfj.vip（“特别消息”栏目）
顺顺留学,:【最新消息】
予华_,嗯？水的新单？5月？？这啥
曉辰,:#同心抗疫#【好消息！】本港今日沒有新增的新型冠狀病毒感染個案，亦沒有懷疑或初步陽性個案！。。。
银河为负,:我的下篇百合文有消息了
北方北某,:我跟班主任兼年级教学管理老师交流起来张弛有度，不卑不亢，说话稳重又简洁，也不失学生的活泼，发消息前再三斟酌，善用微信表情😊我=😊不过班主任人很好👍
Morning湾湾,:好消息好消息
哎一股清流,:#崔胜澈重启活动#【theqoo】seventeen队长#S.COUPS崔胜澈[超话]#通过Vlive直播告诉大家重新开始活动的消息。“其实今天我开视频的理由是因为我健康了许多，所以打算重新开始活动但是比起突然出现在电视里，感觉先通过直播告诉大家会好一些，所以就开了直播。谢谢大家的关心，现在已经好了很多，所以不用再担心我啦”。欢迎大帅哥回来！👏http://t.cn/A67N2Zqi
帅帅19771977,:#闭关瑜伽[超话]#英特尔、联想携手华大基因，加速新型冠状病毒基因组分析福布斯中国得到消息，英特尔、联想以及华大基因今日（3月3日）宣布，三家公司正在助力加快COVID-19新型冠状病毒的基因组特性分析上携手合作。来自英特尔及联想的先进大数据分析技术和计算资源与生命科学专家将通力合作，将有助于提升其基因测序工具的分析能力，更高效地研究新型冠状病毒的基因组特性。华大基因首席信息官晋向前介绍，目前他们已经对数百份临床样本进行了测序，以分析和区分感染的并发症。生物信息学领域的技术，例如基因组比对、基因组组装、基因组注释和病毒核酸片段的系统分析。“这是一个高密度的计算过程，因此足够的高性能计算对于提高分析效率至关重要。能够使用最新的高性能计算和基因组分析技术是提高分析效率的重要因素。”晋向前说。据华大基因方面介绍，在基因测序工作中，每毫升体液通常会包含数百万个不同的病毒体，而每个病毒体的基因组则包含大约30，000个DNA碱基或字母。华大基因正在对许多感染患者和疑似感染患者的微生物进行基因测序，因此这些研究工作将会生成TB级乃至PB级的海量数据。要想高效地快速处理这些重要数据，就需要采用更为先进的HPC基础架构、计算技术以及优化的基因组分析方法。http://t.cn/A67Cn8AK
中国水运报,:【川渝将携手推进交通一体化建设共同建设长江上游航运中心】3月2日，从重庆市交通局传出消息，川渝两地交通部门已形成《关于进一步深化川渝交通运输合作有关事宜会议纪要》(下称《纪要》)，根据《纪要》，在强化综合交通一体化规划建设方面，双方将共同编制区域交通规划、加快省际高速公路、毗邻地区干线公路建设，协同推动水运通道建设。统筹加强运输组织管理，共同建设长江上游航运中心。在通道建设方面，双方将逐步完善成渝两地间综合运输网络，探索推进铁公、铁空等旅客联程联运，大力发展多式联运。在运输组织方面，双方将联合推进“互联网+交通运输”，共同推进城乡客运一体化发展，积极推行公交和地铁“一卡通”。在铁路建设方面，双方将全力推进成渝中线高铁前期工作，加快渝昆高铁建设和既有成渝客专提速工作，力争渝西高铁、渝万高铁、成达万高铁早日开工建设，构建成渝地区双城经济圈大运量客运通道。http://t.cn/A67NZ62P
闪电新闻,:#青岛身边事##山东新型冠状病毒肺炎最新消息#【3月3日0—12时，青岛市无新增新型冠状病毒肺炎确诊病例】2020年3月3日0—12时，青岛市无新增新型冠状病毒肺炎确诊病例。截至3月3日12时，青岛市累计确诊60例新型冠状病毒肺炎病例（男性27人、女性33人），其中治愈出院58例，死亡1例，现有确诊病例1例（重症），在定点医院接受隔离治疗。累计已排除疑似病例304例，目前疑似病例为0。累计已解除医学观察719人，仍纳入医学观察的密切接触者3人，未发现异常。按病例确诊医院所在区市分布情况：市南区7例（已治愈出院6例，死亡1例）、市北区13例（已治愈出院12例）、李沧区6例(均已治愈出院)、崂山区4例(均已治愈出院)、城阳区2例(均已治愈出院)、黄岛区13例（均已治愈出院）、即墨区8例(均已治愈出院)、胶州市1例（已治愈出院）、平度市3例（均已治愈出院）、莱西市3例（均已治愈出院）。
半岛都市报,:【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。http://t.cn/A67C3gKi
小眼皮双眼睛的伦小姐,:#教师资格证面试成绩#三月的好消息
自有自在_,【广州黑人集聚区问题已经存在很多年了】【分享作家西原秋的博文：#外国人永久居留管理条例#这不是非洲是广州。诸多网友忧心仲仲，他们甚至创建了#杨宜勇汉奸卖国贼#话题，连@胡锡进主编都出来说了两句。我认为，引入高端人才是趋势，但务必严把关，而且要正视聚集于华南的存量非法滞留者。http://t.cn/A67x4zOphttp://t.cn/RyhYNv0
帝释煞,一件好事，天猫把以前的女王节，改成“38节”了。看来是去年打拳很有效果了。#姐妹拳击馆[超话]#
或许是呇彧吧,:我真的，今年到现在就没有好消息，我原本不相信水逆，现在真的
漫漫墨染醉,:#肖战#xz#肖战olay全新品牌大使#风雪背后，那是春天的消息以后的路还很长，我们一起走下去吧@X玖少年团肖战DAYTOYOLAY的微博视频
帝释煞,一件好事，天猫把以前的女王节，改成“38节”了。看来是去年打拳很有效果了。#姐妹拳击馆[超话]#
或许是呇彧吧,:我真的，今年到现在就没有好消息，我原本不相信水逆，现在真的
漫漫墨染醉,:#肖战#xz#肖战olay全新品牌大使#风雪背后，那是春天的消息以后的路还很长，我们一起走下去吧@X玖少年团肖战DAYTOYOLAY的微博视频
氵皮黑占,:看看微博每天搜一搜南京开学江苏开学，大概好像说五月开学，一直等着三月初有消息然后等着三月中有消息，不过怎么都没有消息，已经真放弃了。还是挨着吧。只是花呗让人心痛而已。
帅帅19771977,:#闭关瑜伽[超话]#特斯拉推出“无接触试驾”服务3月2日消息，特斯拉通过官方微博表示，针对北京新能源指标客户的产品体验需求，特斯拉推出了“无接触试驾”服务，并已在北京和上海先行上线。特斯拉表示，“即日起至3月15日，可通过官方热线400-919-0707以及当地门店电话进行预约，预约成功后即可前往体验店享受‘无接触试驾’服务。”LMC汽车咨询公司分析，1月特斯拉在中国注册新车为3，563辆，比去年一月853辆的销量大幅度增长，但仅是2019年12月的一半。根据数据，特斯拉中国销量浮动不定，季度末月的销量数据明显优于季度初月，比如2019年第四季度10月销量为763辆，而12月销量为6，613辆。http://t.cn/A67Cdluw
