凤凰网山东,:#山东累计治愈出院511例#【3日0-12时，山东新增治愈出院14例，累计治愈出院511例】2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
中新视频,:#战疫日志#【湖北外连续两日无死亡病例火神山医院访IT系统女“护法”】#关注新冠肺炎#31省份新增确诊125例，其中湖北外新增11例，湖北外连续两日无死亡病例。严密高效的信息管理系统是指导医院有序开展救治工作的“神经中枢”，火神山医院信息管理技术人员们为打赢这场抗“疫”IT战，正日以继夜地工作，一起跟随记者去看看他们的生活。http://t.cn/A67CFm7u
胖思icon,:#上海已追踪71名浙江输入病例密切接触者#还是不能掉以轻心啊，现在还是没有那么安全，大家还是好好防护，别乱走吧
版权家,【#有波动更要严防输入#！转发提醒】3月2日，#湖北以外新增确诊病例11例#。其中浙江新增7例，均为境外输入性病例；辽宁新增3例均为丹东市病例；上海新增1例。严防输入病例，不要放松警惕！
杨天松微博,:#世界疫情#据美国有线电视新闻网（CNN）消息，截至目前，在中国（含港澳台地区）境外的70多个国家和地区中，新型冠状病毒感染的肺炎确诊病例已超过1万例，其中包括至少170例死亡病例。（环球网）
斑雀,:不要地域歧视每个省份都是中国不可割舍浙江新增病例都是个人原因不是省份原因
顾知郁,:#浙江新增7例均为意大利输入病例#欢迎你们回家，骂的人，如果是你们这样的情况，也会回来的，微博对于浙江的风评向来如此，别往心里去。
上海宝山发布,:【哪些情况要观察隔离？哪些必须集中隔离？】重点地区来沪返沪人员，必须严格实行为期14天的隔离观察，一律不得外出。出现发热症状的，按规定立即就诊排查。密切接触者，即与“疑似病例、确诊病例、轻症病例、检测呈阳性的无症状感染者”有密切接触情形的人员，必须实施集中隔离观察。同时，对来沪返沪的特殊行业从业人员，如从事教育、托育、医务、家政、护理职业的，以及劳动密集型企业等的从业人员，实施更为严格的管理措施——单位有隔离条件的，实施单位隔离健康观察；本人有居所的，实施居家隔离健康观察；本人无居住条件的，实施地区集中隔离健康观察（单位或个人承担一定费用）。#上海战疫##上海加油#新民晚报http://t.cn/A67C9cvO#有重点国家旅居史入沪一律隔离14天#
职场王小妹,:#上海已追踪71名浙江输入病例密切接触者#
我是rose上海,:【韩日疫情或使中国制造业面临二次“感染”风险】据路透，冠病疫情导致中国2月制造业活动创有记录以来新低，而随着疫情在韩国和日本的蔓延，这可能意味着中国工厂会遭受第二波冲击。中国新增确诊病例已大幅下降，当局已放宽一些旅行限制，并使一些企业得以复工。但从韩日的进口在中国制造业经济中发挥关键作用，特别是电子产品的生产和组装。
威士忌斯基,【张文宏：发病率低的城市复工是可以的，但也要采取措施】针对近期网络上关于复工的讨论，张文宏医生认为其中一些过度解读造成一些复工群体和城市的恐慌。大家的忧虑在于大量复工人群涌入城市是否会造成疾病的蔓延，因而有人提出索性就不要复工了。但事实上在没有疾病爆发的区域，当地人群都做了比较充分的隔离，和其他发病率低的城市其实差异并不大。如果这种交流都不能有，那城市的停滞是很难经受得起的，大家没地方买菜、不能去医院……这时候的人口死亡率反而可能会高于新冠肺炎死亡率。张文宏医生认为，发病率低的城市复工是可以的，但也要采取措施，不要有大规模的集会。在疫情没有得到完全控制的时候，还是要戴口罩上班，勤洗手，不扎堆，电梯要经常消毒，办公空间要经常通风，只有做到这些防护条件，复工原则上才不至于会增加很大的风险。http://t.cn/A67C8laK
凤天乘云教育西安校区,:【浙江新增7例意大利输入病例曾乘坐航班到达浦东机场】据青田发布消息，3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。　　患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。　　2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。　　2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。　　2月28日，6人包车进入青田，当即落实隔离观察措施。　　3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。　　患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。　　2月28日，患者乘坐LH0273航班从意大利到德国。　　2月29日，从德国乘坐CA0936航班到达上海浦东机场。　　2月29日，患者包车进入青田，当即落实隔离观察措施。　　3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。#抗击新型肺炎第一线#
泰国头条新闻,:【泰国新增疑似病例267例！泰国每日官方疫情报告（3月2日）】#全球疫情##泰国疫情##全球抗疫第一线##新冠肺炎疫情泰国消息更新#1、泰国国内形势泰国“新冠病毒”疑似感染者情况：泰国头条新闻社讯截至3月2日18:00时，发现新增疑似病例267例（据上一次统计开始计算），目前，已发现疑似病例共计3519例。其中有95例经机场筛查发现(素万那普国际机场61例，廊曼国际机场25例，普吉国际机场8例，清迈国际机场1例)，2例经码头筛查发现，另有3394例因身体不适入院就医检出（其中私立医院检出1756例，公立医院检出1638例），另有28例由包括酒店、Erawan购物中心、大学、导游等上报并检测发现。已发现的3519例疑似病例中，入院集中看护1420例（私立医院810例，公立医院610例），在门诊部及居家观察55例，康复2044例。已确诊新型冠状病毒感染病例43例，其中31例已治愈，正在接受治疗11例，重症1例，死亡1例。新冠肺炎筛查监测情况：自2020年1月3日至3月1日，对航空旅客进行筛查，已累计筛查航班19760趟，已有2884717名人员接受检测，累计发现疑似感染病例95例。自1月1日至3月1日，对乘船旅客进行筛查，已筛查来自疫病风险地区的船只531艘，共有102098人员接受检测，发现疑似感染病例2例。自2月1日至3月1日以来，已在陆路出入境关卡筛查人员共计708565名。自1月30日至3月2日，已筛查前往ChaengWatthana路移民局续签的人员共计72027人。2、泰国应对措施-行政法院委员会宣布了预防新冠肺炎传播的措施，即行政法院官员、公务员及员工避免去新冠肺炎爆发的高风险国家或地区，包括韩国、中国、中国台湾、中国香港、中国澳门、日本、马来西亚、越南、新加坡、意大利和伊朗在内的11个国家或地区。3、风险沟通及措施•2019新型冠状病毒传染病可用呼吸系统传染病原理预防，即:洗手、佩戴医用口罩、不与呼吸疾病患者交往。•避免前往中国或其他有疫情传播的国家，在旅途中请尽量避免去拥挤场所或污染处，不与咳嗽、打喷嚏患者亲密接触，若无法避免，请戴好口罩。•从中国(包括香港、澳门和台湾地区)以及疫病持续爆发的韩国、日本、新加坡、意大利和伊朗等国家返回14天内，应进行自我观察并每天测量体温。取消不必要的外出活动，不与他人共用物品，与他人交谈时保持1米以上的距离。出现发烧及咳嗽、咽喉痛、流涕等症状时，应佩戴口罩，若出现呼吸困难症状，应立即就医并告知旅行史。•避免在不使用手套的情况下接触活禽或靠近动物交易市场。•勤用肥皂或医用酒精洗手，若非必要，请勿用手接触眼睛、鼻子、嘴。•避免同他人共用私人用品(如:毛巾、水杯、浴巾)，因为呼吸道传染病会通过接触感染者的分泌物进入人体。•食用熟食、热食。下载2019新型冠状病毒肺炎相关资料：http://t.cn/A6PaXybE公共卫生部疾控厅病毒性肺炎紧急情况组翻译：谭雪萍刘国秀审核：保梅“新冠肺炎”中泰文翻译志愿者群http://t.cn/A67CFWWr
炙热Mike_,:张文宏：不尽快复工，人口死亡率将可能高于新冠肺炎死亡率。近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率#上海已追踪71名浙江输入病例密切接触者##特朗普要求几个月内开发出新冠疫苗#http://t.cn/A67C8laK
武汉身边事,:#关注湖北新冠肺炎疫情#【国家卫健委：#疫情防控积极向好态势正在拓展#】国家卫健委新闻发言人、宣传司副司长米锋3日在新闻发布会说，3月2日0—24时，除湖北以外，其他省份新增确诊病例11例，新增疑似病例65例，无新增死亡病例，重症病例减少25例。湖北以外省份，近5日每日新增确诊病例数基本维持在10例左右，每日新增疑似病例数连续4日维持在100例以下，#近6日每日出院病例3000例左右#。全国疫情防控形势积极向好的态势正在拓展。（中国新闻网）
没有感情的666,#安徽公安抗击疫情#【企业复工复产忙防疫也要防上当】为切实保障疫情期间复工企业职工群众的财产安全不受侵犯，严防不法分子利用疫情题材实施电信诈骗。3月3日，淮南市公安局淮舜分局顾北派出所民警辅警深入辖区顾北煤矿开展反电信诈骗宣传，进一步提升了广大职工识别电信诈骗的能力，增强了职工群众的安全感和满意度。
北明先生易学,:#浙江8输入病例在意大利同一餐厅工作#必须严查必须严查必须严查必须严查必须严查必须严查必须严查
北明先生易学,:#浙江8输入病例在意大利同一餐厅工作#必须严查必须严查必须严查必须严查必须严查必须严查必须严查
慈溪电视台关注栏目,:#疫情通报#【国家卫健委:昨日新增确诊病例125例，其中湖北114例】当日新增治愈出院病例2742例，新增死亡病例31例(湖北31例)，新增疑似病例129例http://t.cn/A67CFp1y宁波市无新增确诊病例，新增出院病例2例截至2日24时，全市累计报告确诊病例157例，累计出院病例151例http://t.cn/A679AwjY浙江新增确诊病例7例均为青田报告的输入病例，新增出院病例36例截至2日24时，浙江省累计报告确诊病例1213例(其中境外输入病例8例)，现有重症病例8例(其中危重4例)，累计死亡1例，累计出院1086例http://t.cn/A67KetLw截至2日24时，全国现有确诊病例30004例(其中重症病例6806例)，累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例http://t.cn/A67CFp12累计收到港澳台地区通报确诊病例151例:香港100例(出院36例，死亡2例)，澳门10例(出院8例)，台湾地区41例(出院12例，死亡1例)
我爱柳州,:【钟南山担心的事发生了！宁夏、北京、广东、浙江都陆续通报了境外输入病例。】此前，钟南山院士曾表示，新冠肺炎疫情在国外迅速蔓延，中国存在从输出病例变为输入病例的可能性。据浙江省卫健委数据，3月2日，该省新增新冠肺炎确诊病例7例，均为丽水市青田县报告的意大利输入病例。算上2日通报的首例输入病例，目前，丽水市确诊的25例病例中，境外输入病例达到8例。据青田发布通报，该7例病例与浙江首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。截至目前，宁夏、北京、广东、浙江都陆续通报了境外输入病例。3月1日，国务院联防联控机制新闻发布会上，海关总署卫生检疫司司长林伟表示，海关对所有出入境人员实施百分之百的查验健康申报，全面开展体温监测筛查，严密实施医学巡查。疫情防控阻击战尚未结束，居家是最好的防护。为了您和他人健康，请务必继续保持警惕，加强自我防范，慎重决定出行计划。（来源：人民日报）
太行日报,:#新型冠状病毒感染肺炎##晋城身边事#【#晋城#市最后一例新冠肺炎确诊病例出院了】采访来喽！太行日报的微博视频
·之后微笑·,:#上海已追踪71名浙江输入病例密切接触者#🙏🙏🙏保护好自己
中华网河南,:【独家直播！#浙江新增7例新冠肺炎均为输入病例#记者医院探访】2日，浙江新增境外（意大利）输入性确诊病例7例。该7例病例与当地首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作。目前，7人都在青田县人民医院隔离治疗。他们情况如何？看直播↓关注！http://t.cn/A67C5Ypz.
谁是傻别,:#上海已追踪71名浙江输入病例密切接触者#一定要回家知道为啥吗家里的💩都是热乎的
河南日报,:【河南省治愈率为96.1%共采集31位新冠肺炎康复者恢复期血浆用于患者救治】3月3日，河南省新冠肺炎疫情防控专题第二十二场新闻发布会在郑州召开。会上，省疫情防控指挥部办公室综合组副组长、省卫健委党组成员、副主任张若石介绍，目前我省治愈率为96.1%，在院治疗患者中有轻症病例20例，重症病例5例，危重症病例2例，现阶段做好重症、危重症患者的救治工作仍是重中之重。河南省进一步加强对重型、危重型新冠肺炎患者的密切监测和整体护理，充分发挥医疗与护理的协同作用。郑大一附院和省人民医院正在全力救治重症和危重症患者，先后投入百余台设备，有三批次累计千余名医护人员参与救治，涉及呼吸、传染、重症监护等多学科；共采集31位新冠肺炎康复者恢复期血浆11200ml，用于21名患者的救治；中医药参与重症、危重症患者救治工作100%。http://t.cn/A67CFKS2
黄小姐要重新做人,【上海已追踪到浙江7例境外输入型病例在沪71名密切接触者！进一步明确涉外疫情防控和入境人员健康管理措施】#最新#今天下午举行的市新冠肺炎疫情防控工作领导小组新闻发布会透露：近期，多个国家和地区出现新冠肺炎确诊病例，数量持续攀升。鉴于当前境外疫情防控形势，结合上海实际，市防控工作领导小组及相关部门综合研判，进一步明确了涉外疫情防控和入境人员健康管理措施。所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。我们再次强调，上海对所有入境人员的管理坚持一视同仁，严格入口管理、严格落地管理、严格场所管理。也再次感谢社会各界及中外人士的积极支持和真诚理解。市卫健委通报：今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。#上海战疫##上海加油#
青春麻城,麻城疫情速报！（3月3日）截止3月2日24时，我市当日新增确诊病例0例，累计病例243例。现在院治疗6例，当日新增治愈出院6例，累计治愈出院229例。新增病亡0例，累计病亡8例。
太原数字城管,:#太原身边事#太原市新型冠状病毒肺炎疫情防控工作领导小组办公室通告（第60号）2020年3月2日0时至24时，太原市无新增确诊病例，无新增疑似病例。截至3月2日24时，太原市累计报告新型冠状病毒肺炎确诊病例20例（按患者首诊医院所在地分布在万柏林区8例、迎泽区6例、杏花岭区4例、小店区1例、清徐县1例；按患者住址分布在尖草坪区6例、杏花岭区4例、迎泽区3例、晋源区3例、小店区2例、清徐县1例、晋中市1例），全部治愈出院。累计报告疑似病例232例，其中累计排除219例，累计转确诊13例，现无疑似病例。截至3月2日24时，累计追踪管理从重点地区返（抵）并人员9560人，其中9169人已满14天观察期，未出现异常症状，解除隔离医学观察；累计诊断确诊病例3例；累计报告疑似病例8例，均已排除；其余388人正在实施隔离医学观察，其中小店区81人、迎泽区127人、杏花岭区82人、尖草坪区3人、万柏林区80人、晋源区13人、古交市2人、清徐县0人、阳曲县0人、娄烦县0人，目前未发现异常。据山西省卫健委公布：截至3月2日24时，山西省11个市累计报告新型冠状病毒肺炎确诊病例133例。其中：晋中市37例，太原市20例，运城市19例，大同市12例，晋城市10例，长治市8例，朔州市8例，忻州市7例，吕梁市6例，阳泉市4例，临汾市2例。累计治愈出院119例。现有在院隔离治疗14例，其中危重症1例。现有疑似病例0例。目前累计追踪到密切接触者4162人，当日解除医学观察9人，尚在医学观察的密切接触者119人。太原市新冠肺炎疫情防控工作领导小组办公室2020年3月3日
薇唯伟喂skr,【#安徽黄山发现两个哺乳类新物种#】科研人员近日在安徽黄山风景区发现的麝鼩(qú)属物种，经研究确认，为两种哺乳类新物种，分别命名为“安徽麝鼩”和“黄山小麝鼩”。研究人员介绍，麝鼩为劳亚食虫目鼩黶pace科麝鼩属动物，分布于亚洲、欧洲和非洲，大多数物种集中分布于热带和亚热带地区，栖息于森林、平原、丘陵和山地，主要以土壤昆虫为食，也吃一些植物的花、果实和种子。麝鼩形似老鼠，体型包含大、中、小3种类型。(刘浩吴贻军方立华)http://t.cn/A679grEG
云上深夜快递,:【国家卫健委：全国疫情防控形势积极向好的态势正在拓展】国家卫健委新闻发言人米锋今天在国务院联防联控机制新闻发布会上表示，截至3月2日24时，除湖北以外，其他省份新增确诊病例11例，新增疑似病例65例，无新增死亡病例，重症病例减少25例。湖北以外省份，近5日每日新增确诊病例数基本维持在10例左右，每日新增疑似病例数连续4日维持在100例以下，近6日每日出院病例在3000例左右。全国疫情防控形势积极向好的态势正在拓展。下一步，要突出以基层为重点，结合区域疫情风险分级，进一步强化工作责任，统筹做好疫情防控和日常诊疗等工作。（中国之声）
薇唯伟喂skr,【#安徽黄山发现两个哺乳类新物种#】科研人员近日在安徽黄山风景区发现的麝鼩(qú)属物种，经研究确认，为两种哺乳类新物种，分别命名为“安徽麝鼩”和“黄山小麝鼩”。研究人员介绍，麝鼩为劳亚食虫目鼩黶pace科麝鼩属动物，分布于亚洲、欧洲和非洲，大多数物种集中分布于热带和亚热带地区，栖息于森林、平原、丘陵和山地，主要以土壤昆虫为食，也吃一些植物的花、果实和种子。麝鼩形似老鼠，体型包含大、中、小3种类型。(刘浩吴贻军方立华)http://t.cn/A679grEG
云上深夜快递,:【国家卫健委：全国疫情防控形势积极向好的态势正在拓展】国家卫健委新闻发言人米锋今天在国务院联防联控机制新闻发布会上表示，截至3月2日24时，除湖北以外，其他省份新增确诊病例11例，新增疑似病例65例，无新增死亡病例，重症病例减少25例。湖北以外省份，近5日每日新增确诊病例数基本维持在10例左右，每日新增疑似病例数连续4日维持在100例以下，近6日每日出院病例在3000例左右。全国疫情防控形势积极向好的态势正在拓展。下一步，要突出以基层为重点，结合区域疫情风险分级，进一步强化工作责任，统筹做好疫情防控和日常诊疗等工作。（中国之声）
微博法国,:#全球疫情##法国疫情#确诊191人法国12个大区现疫情目前确诊病例最多的大区为上法兰西大区（HautdeFrance），主要疫情地是瓦兹省（Oise），有64例确诊，感染源为两名“1号病人”，一人于2月26日不治身亡，一人仍在亚眠大学医疗中心（CHU）接受隔离治疗，而该地区至今没有找到“0号病人”。瓦兹省贡比涅市（Compiègne）市长在宣布瓦兹省新增2例新冠病毒患者死亡后，于下午将该数字修正为1人：89岁女性患者尸检结果为阳性。另一位被送至亚眠市大学医疗中心的患者，由于新冠病毒检测结果为阴性，所以新冠病毒新增死亡患者改为1例。另外，瓦兹省的Crépy-en-Valois的一个高中发生群聚感染并确诊数例。Crépy-en-Valois，Vaumoise，LaCroixSaint-Ouen，Creil，Montataire，Nogent-sur-Oise，Villers-Saint-Paul，LamorlayeetLagny-le-Sec九个市镇已宣布学校停课。Crépy-en-Valois市长BrunoFrotier亦被确诊，是第二名确诊的法国政治人物。而瓦兹省省长LouisLeFranc在与其接触后，也被检测为阳性，虽然目前并未出现症状。他目前在家中自我隔离，继续保持和团队远程办公，并等待再次检测的结果。同样有接触的Senlis副省政府首长Jean-CharlesGéray、大区卫生署署长étienneChampion两人被隔离且均无症状。目前确诊病例最多的大区为上法兰西大区（HautdeFrance），主要疫情地是瓦兹省（Oise），有64例确诊，感染源为两名“1号病人”，一人于2月26日不治身亡，一人仍在亚眠大学医疗中心（CHU）接受隔离治疗，而该地区至今没有找到“0号病人”。瓦兹省贡比涅市（Compiègne）市长在宣布瓦兹省新增2例新冠病毒患者死亡后，于下午将该数字修正为1人：89岁女性患者尸检结果为阳性。另一位被送至亚眠市大学医疗中心的患者，由于新冠病毒检测结果为阴性，所以新冠病毒新增死亡患者改为1例。另外，瓦兹省的Crépy-en-Valois的一个高中发生群聚感染并确诊数例。Crépy-en-Valois，Vaumoise，LaCroixSaint-Ouen，Creil，Montataire，Nogent-sur-Oise，Villers-Saint-Paul，LamorlayeetLagny-le-Sec九个市镇已宣布学校停课。Crépy-en-Valois市长BrunoFrotier亦被确诊，是第二名确诊的法国政治人物。而瓦兹省省长LouisLeFranc在与其接触后，也被检测为阳性，虽然目前并未出现症状。他目前在家中自我隔离，继续保持和团队远程办公，并等待再次检测的结果。同样有接触的Senlis副省政府首长Jean-CharlesGéray、大区卫生署署长étienneChampion两人被隔离且均无症状。贡比涅市市长今天还宣布，接诊确诊病人的贡比涅医院被隔离的130位医务人员中，已有50位的检测结果为阴性，他们可以继续医疗工作。另有19人的集体感染发生在奥弗涅-罗讷-阿尔卑斯大区（Auvergne-Rhone-Alpes）上萨瓦省（Haute-Savoie）的小镇LaBalme-de-Sillingy，市长Fran？oisDaviet也“中招”，感染源是一名从意大利北部返回的当地居民。另外，布列塔尼大区（Bretagne）的莫尔比昂省（Morbihan）成为新的疫情集中爆发地，今日确诊9例，为当地首次出现新冠肺炎确诊病例。当地已下令3月14日前停止一切聚众活动，电影院、剧院等公共场所已关闭。巴黎郊区的Montreuil（93省）今天亦确诊两例新冠肺炎患者，是一对父女。父亲是巴黎一所医院的医护人员，首先遭遇感染；女儿12岁，其就读的Paul-Eluard初中已被隔离。法兰西岛确诊的新冠肺炎患者已达34人。http://t.cn/A67Ck2Jt
青岛西海岸新闻网,:#新型冠状病毒感染肺炎#【2020年3月3日0时至12时青岛市新型冠状病毒肺炎疫情情况】2020年3月3日0—12时，我市无新增新型冠状病毒肺炎确诊病例。截至3月3日12时，我市累计确诊60例新型冠状病毒肺炎病例（男性27人、女性33人），其中治愈出院58例，死亡1例，现有确诊病例1例（重症），在定点医院接受隔离治疗。累计已排除疑似病例304例，目前疑似病例为0。累计已解除医学观察719人，仍纳入医学观察的密切接触者3人，未发现异常。按病例确诊医院所在区市分布情况：市南区7例（已治愈出院6例，死亡1例）、市北区13例（已治愈出院12例）、李沧区6例(均已治愈出院)、崂山区4例(均已治愈出院)、城阳区2例(均已治愈出院)、黄岛区13例（均已治愈出院）、即墨区8例(均已治愈出院)、胶州市1例（已治愈出院）、平度市3例（均已治愈出院）、莱西市3例（均已治愈出院）。青岛市卫生健康委员会2020年3月3日
青春湄潭,:【StandStrongWuhan，21国青年唱响这首歌！
潮白河畔君子兰,:【约旦、沙特等中东国家出现新冠肺炎确诊病例】截至3月3日，全球除中国（包括港澳台地区）外，已有超过70个国家累计确诊10000余病例，超过170人死亡。意大利和伊朗已成为境外两个疫情辐射中心，多国疫情都源于意大利和伊朗的输出病例，中国也出现从这两国输入的病例。韩国是中国以外发现病例最多的国家。中东地区新出现确诊病例的国家约旦和沙特各有一例。
微博济南,:#权威发布##众志成城抗击疫情#【3日0时-12时，济南市无新增新型冠状病毒肺炎确诊病例及疑似病例】2020年3月3日0时-12时，济南市无新增新型冠状病毒肺炎确诊病例及疑似病例。新增治愈出院4例。截至2020年3月3日12时，济南市累计报告新型冠状病毒肺炎确诊病例47例，治愈出院36例，现有病例均在定点医疗机构隔离治疗。无疑似病例。按病例确诊医院所在区县分布：市中区28例、天桥区4例、历下区5例、历城区4例、槐荫区1例、长清区4例、章丘区1例。（来源：济南市卫健委）
西湖拉面,:#浙江新增7例均为意大利输入病例#烧的自来水怎么有一股84消毒液的味道？？？杭州的消杀工作这么彻底的吗？？？
郭伟阳,:昆明最后一例，国家努力不容易啊，做出了这么大的牺牲，下一步就是严防死守了。希望不管是国家还是各省市都能严防输入性病例的发生，现在国外形式不容乐观，中国加油昆明·滇池风景区
水韵泛歌,:当地时间2月28日，国际顶级学术期刊《柳叶刀-传染病》（LancetInfectiousDiseases）在线发表一篇通讯，披露南京一起涉及11人的家族聚集新冠肺炎感染病例，揭示了无症状感染者可能是新冠病毒的潜在传染源。该通讯由中国南京大学医学院附属鼓楼医院和中国南京东南大学附属中大医院研究人员撰写，通讯作者为中国南京大学医学院附属鼓楼医院感染科副院长、感染科主任吴超。文中通过图示详细展示了这...http://t.cn/A67CFf67
想喂你吃糖a_,#浙江新增7例均为意大利输入病例#输入病例无可避免，全世界已经都是疫区，入境一定要做定点隔离，保护中国来之不易的战疫成果#伊朗将中国诊疗方案译成波斯语#看到有国家真的重视起来，也很感动。其他地方如果一直这么吊儿郎当，不知道会不会死很多人…然后他们再后悔也来不及了呀。疫情大范围蔓延的话，还怎么控制啊
小脑袋v,【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
吴泽拓,:#辽宁新增3例确诊均为丹东病例#我不愿让你一个人，一个人在人海浮沉。我不愿你独自走过，风雨的时分。我不愿让你一个人，承受着世界的残忍，我不愿眼泪陪你到永恒。你走后爱情的遗迹像是空城，遗落你杯子手套和笑声。最后你只带走你脆落和单纯，和我最放不下的人！鹤岗
天津政法,:【“人工肺”小组#阻挡死神的战士#】在广东支援湖北荆州医疗队中，有一支“人工肺”小组，小组中9位成员全部来自广东中山市人民医院。而在对新冠肺炎患者尤其是危重症患者的救治中，“人工肺”被认为是阻挡死神的最后一道防线。#众志成城战疫情##10地连续10天以上无新增病例##武大联合团队最快10分钟捕获新冠病毒#http://t.cn/A67CuFbU
尊MITUO者,:#上海已追踪71名浙江输入病例密切接触者#我们也要保全自己
专抓套牌,:《浙江3日通报新增7例确诊病例，均为意大利输入》浙江3日通报新增7例确诊病例，均为意大利输入http://t.cn/A679MzqF
南方都市报,:#浙江8输入病例在意大利同一餐厅工作#看来去餐厅吃饭还是有风险的。现在各地餐厅逐步复工，你会在疫情未结束时去餐厅吃饭吗？现在各地餐厅逐步复工，你会在疫情未结束时去餐厅吃饭吗？
重庆九龙坡法院,:【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。http://t.cn/A67KYPSC（环球时报）
上城统计,:【杭州连续12日无新增确诊病例！专家提醒：应急响应等级虽调整，但防控意识不能放松】#关注#2020年3月2日0-24时，全市无新增新型冠状病毒肺炎确诊病例。无新增重症病例，治愈出院5例。
迷上古典,:#上海已追踪71名浙江输入病例密切接触者#时代的每粒尘埃都是摆在面前的大山我们无从躲避却可以攀上山峦武汉
重庆九龙坡法院,:【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。http://t.cn/A67KYPSC（环球时报）
上城统计,:【杭州连续12日无新增确诊病例！专家提醒：应急响应等级虽调整，但防控意识不能放松】#关注#2020年3月2日0-24时，全市无新增新型冠状病毒肺炎确诊病例。无新增重症病例，治愈出院5例。
迷上古典,:#上海已追踪71名浙江输入病例密切接触者#时代的每粒尘埃都是摆在面前的大山我们无从躲避却可以攀上山峦武汉
