驻马店广视网,:最新！驻马店0新增！钟南山团队：建议严格防控措施实施至4月底2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0:00-24:00，我市无新增确诊病例。截至2020年3月3日24:00，累计治愈出院139例。累计报告确诊病例139例。目前累计追踪到密切接触者4336人，已解除医学观察4326人，尚在医学观察10人。2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。3月2日，据广州呼吸健康研究院消息，钟南山院士团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19（新冠肺炎）暴发趋势预测”的研究文章。该研究把1月23日前后的人口迁徙数据以及最新的COVID-19流行病学数据整合到经典传染病学预测模型（SEIR）中并得出流行曲线。预测显示：疫情4月底趋于平缓预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的模型预测表明，截至4月底中国内地有9万例至12万例的疫情规模。同时该研究团队也提醒，模型预测与现实存在一定差距，若政府继续严格实行管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。文章称，SEIR优化模型及成功建立的人工智能模型能有效预测新冠病毒的流行趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。严格的防控措施如“早期筛查”最好实施至2020年4月底。
姚琛私联不停不改名,:#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
侠家军-鹏子,:“中国为世界公共卫生安全作出重要贡献”http://t.cn/A670p7zK
涪陵微博,:『陈敏尔：抓紧补短板堵漏洞强弱项加快健全公共卫生应急管理体系』http://t.cn/A670R09H
书丛哥,:瞒报从3号文件、上海公共卫生中心的报告看是国家卫计委以上的部门？到底是哪？我们期待着…击鼓传锅：到底是谁遮蔽了疫情真相？
巴厘岛的主场,:“中国为世界公共卫生安全作出重要贡献”http://t.cn/A670p7zK
瑞海星语,:“中国为世界公共卫生安全作出重要贡献”http://t.cn/A670p7zK
931郑州经济广播,:【#美国四百名学者联名公开致信彭斯#：疫情史无前例，影响程度取决于领导者
雪球,:【美联储降息市场预计本月或会进一步降息】#美联储降息50基点#北京时间3日晚间，美联储意外宣布下调基准利率50个基点。华尔街资管公司AllianceBernstein的资深美国分析师威诺格拉德认为，美联储的降息举措本身无法彻底解决全球突发公共卫生事件，不过此举在一定程度上避免金融市场继续作出负面反应，他预计美联储可能会在美东时间3月17日至18日举行的议息会议上进一步降息。（上海证券报）
modern秀才,:【挪威增加到33例新冠肺炎病例】挪威当地时间3月3日晚，挪威广播电视公司报道（nrk）报道，挪威首都奥斯陆的乌勒沃医院的280名员工已被隔离，其中130名在眼科工作。在挪威的33例新冠肺炎感染者中，有6名是该医院的雇员。挪威公共卫生研究所负责人说，患者都是较轻的症状，不需要在医院治疗，目前都是在家隔离，此外也隔离了和确诊患者的密切接触者。
重庆日报,:#重庆日报今日看点#1、陈敏尔主持召开市委全面深化改革委员会第九次会议强调抓紧补短板堵漏洞强弱项加快健全公共卫生应急管理体系系；2、唐良智在市疫情防控工作领导小组指挥部调度例会上强调科学管理分类管理精准管理有序恢复正常生产生活秩序；3、重庆“一号文件”发布；4、加大力度助企业渡难关重庆推出增强版“支持企业四十条”；5、重庆支援湖北医疗队轮休方案获肯定；6、一批招商项目踏“云”而来万州、南岸、重庆经开区、长寿采取“不见面”签约收获颇丰；更多详情http://t.cn/A670av7J
外汇轻仓趋势大赢家,:金价上涨逾3%，此前美联储紧急降息50个基点；①金价周二飙升逾3%，因此前美联储宣布紧急降息，以帮助缓冲卫生事件造成的经济影响，且市场预期其他主要央行也将放松政策；②盘中稍早，美联储宣布紧急降息，以保护美国这一全球最大经济体免受公共卫生事件的冲击；金价应声飙升3.3%；③美联储表示，将降息0.5个百分点，将指标利率目标区间降至1.00%-1.25%；美联储主席鲍威尔暗示，卫生事件将在一段时间内冲击美国经济；⑤较低的利率降低了持有无收益黄金的机会成本，也令美债收益率和美元承压；黄金以美元计价；衡量美元兑一篮子货币的美元指数跌至近两个月最低；因市场广泛抛售，金价上周五暴跌4.7%，但此后有所回升；
walepi矛也,:16名专家学者联名建议将1月23日设立为“国家公共卫生日”。一年只有365天，不够形式主义折腾。3.15够伟大吧，晚上活动收了摊，3.16假冒伪劣便难有问津者了。搞个节日就能心想事成解决问题，搞三个节日一切ok了：黄金节、美元节、人民币节。
Gaaalskaaap,:挪威公共卫生研究所的大佬医师说挪威的新冠病情有望发展为下一个意大利或韩国。（配图那个亚洲人是国家电视台的主持人，NRK自己插进来的广告，和文中的“韩国人”无关）
今日孱陵,:#今日孱陵##中方连发四问回应美限制中国媒体#各乡、镇防控指挥部，县指挥部各成员单位：为有效控制重大动物疫病的发生和流行，坚持疫情防控与畜牧业生产“两手抓、两不误”，确保全县畜牧业持续健康稳步发展，维护社会公共卫生安全，经县指挥部同意，现就做好2020年春季重大动物疫病防控（以下简称春防）工作有关事项通知如下：一、明确工作任务。2020年春防工作的主要任务是实施口蹄疫、猪瘟、高致病性猪蓝耳病、高致病性禽流感、鸡新城疫、小反刍兽疫6种重大动物疫病的强制免疫注射和畜禽栏舍消毒，同时做好其他疫病的计划免疫和综合防制。强制免疫注射和栏舍消毒灭源从2月底开始，4月底结束，5月份检查验收。各乡镇要精心组织，周密部署，确保6种重大动物疫病应免畜禽免疫密度和栏舍消毒率均达100%，免疫抗体合格率达到80%以上。公防办发〔2020〕31号—关于认真做好春季重大动物疫病防控工作的通知http://t.cn/A670IUPw
老师傅的爸爸,:《疫情大考让西方看到中国力量》这次新冠肺炎疫情，是新中国成立以来在我国发生的传播速度最快、感染范围最广、防控难度最大的一次重大突发公共卫生事件。疫情大考让西方看到中国力量
傻军盲,:国际社会：中国抗疫行动为全球公共卫生事业作出重要贡献http://t.cn/A67pHlH3
Countrycat,:美国卫生与公共服务部(HHS)副部长埃里克·哈根（EricHagen）2月29日在参加美国保守联盟（CPAC）主办的年度大会上指出，美国公共卫生系统有很好的保护，已开始研发新冠病毒疫苗。在川普总统很早要求之下，已准备好应对疫情。他也指出，美国拥有世界上最好的公共卫生系统，以公共卫生为目标，可以帮助中国人。http://t.cn/A670qwYH
湖南省农科院,:提高应对突发重大公共卫生事件的能力和水平|界面新闻（来自@界面新闻）要构建系统完备、科学规范、运行有效的疫情防控法律体系，全面加强和完善公共卫生领域相关法律法规建设，强化公共卫生法治保障。提高应对突发重大公共卫生事件的能力和水平
老周9797,:【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍。早五天管控，少三分之二】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。论文指出：如果早五天防控，最终感染人数将减少三分之二。http://t.cn/RyhCNAH
漠宏庵,:据美国《国会山报》刚刚消息，在佛罗里达州报告首例新冠肺炎病例后，该州州长宣布进入公共卫生紧急状态。http://t.cn/A67oqTr2无论哪个国家，在面对自然灾害时的应变能力，首先取决于领导层对疫情的认识度，接下来就是国民素质。像这种传染性极强的“新冠肺炎病毒”，如果不上下齐心，人人都来积极参与，就很难真正控制住疫情！
两广纵队,:《军事科技》20200303战“疫”进行时，本期节目主要内容：新冠肺炎疫情是新中国成立以来在我国发生的传播速度最快、感染范围最广、防控难度最大的一次重大突发公共卫生事件，对我们来说，这是一次危机，也是一次大考。经过艰苦努力，目前疫情防控形势积极向好的态势正在拓展，当前疫情形势依然严峻复杂，防控正处在最吃劲的关键阶段，那么我们怎样才能打赢这场没有硝烟的战争呢？（《军事科技》20200303战“疫”进行时）http://t.cn/A670LfWO
FaKe_mUsic,:英国Glastonbury音乐节回应了关于新型冠状病毒疫情造成的影响，官方发言人表示G节已经和英国公共卫生部门、英国国民健康保险制度等相关部门合作，在密切关注疫情发展的同时将继续按计划筹备活动！#音乐节##Glastonbury#
Array_65977,:瘟疫是场文明病，束缚着，也启发着，给人以智慧。公共卫生防疫也是一项需要调度不同资源、进行综合考量的事业。为了保证执行力度，它需要一定程度的临时性集中措施，来克服公共卫生事件爆发时，地方政府、企业和民众手足无措、各自为政的混乱局面。政府部门却不是相关医疗设备生产方面的专家，也不是物资供应与分配方面的专家，因而对相关工作其实是不熟悉的。有没有办法既能保障疾控系统的“集中制”，进而确保其执行力，又能保障疾控系统的“专业性”，避免其官僚化呢？强化执行权是肯定和必要的，但仅仅强化行政权力是不够的。中国疾控中心下一步的改革方案，是不是也要强化其行政权力，变得更为“集中化”呢？作为对比，美国虽然是一个权力分立、高度制衡的国家，但其疾控中心系统却有明确的行政权。根据1944年颁布的《公共卫服务法》（thePublicHealthServiceAct），美国历任总统签署了各种行政命令，把对相关疾病采取隔离和控制手段都授权给了卫生部门，卫生部门再将其授权给疾控中心。根据《联邦法规法典》（CodeofFederalRegulations）第42卷第70部分，疾控中心主任本身就有签发检疫令、隔离令或有条件放行令的权力。美国疾控中心的行政命令，各州卫生部门和其它政府机构也需给予配合。这就是专业独立性跟集中制结合的一个例子。
新柳叶刀,:据美国华盛顿州公共卫生部门透露，该州2日新增4起新冠肺炎死亡病例，截至3月2日下午，全美已有6人死于新冠肺炎，全部来自华盛顿，而美国内新冠肺炎总数则达到96例。从数据上看，美国疫情相比于如今最受关注的日韩等国家来说，似乎要轻的多，但很多人怀疑，实际情况真是这样吗？随着新冠肺炎在美国愈发严重，确诊人数逐渐增加，对于病毒测试套件的需求也在不断攀升。然而，在这个关键时刻，一名奋战在抗疫前线的纽约医生却在...http://t.cn/A67pBOII
李小霄2020,:2020-03-0403:09:35美国总统特朗普表示，美联储利率仍然过高；正在密切关注意大利、日本和韩国的公共卫生事件；对今天的市场不感到担忧；对美联储只是跟随而非引领感到失望。在23:00美联储降息50基点后，美股短暂上涨后又重新下跌，特朗普又再次开始指责美联储！
雷希颖,:#伊朗民众涌入寺庙舔圣墙#这个操作的初心是好的，希望把病毒留给自己，可病毒并不是总量固定的……伊朗的情况有多严重呢？1、伊朗国内新冠肺炎死亡率全球最高，一度达到7%！同一种病毒，伊朗人的死亡率比其他国家人高出十倍。伊朗死亡率高的原因，此前外界分析一方面是伊朗本身公共卫生条件差，医疗体系薄弱。另一方面，由于伊朗属于伊斯兰国家，人们比较保守内敛，得病不一定愿意看病，可能存在统计偏差。2、伊朗副总统感染肺炎后，#伊朗23名议员确诊新冠肺炎#！国家政府被病毒侵入，意味着未来可能没有一个健全，健康的政府来指挥疫情防控工作！面对美国极其盟友国的施压，伊朗政坛无力招架！3、伊朗医疗体系可能被压垮。伊朗总人口仅8000多万。国内不能相互驰援，医疗口罩等物资增产速度缓慢，医院等医疗机构承接能力有限，感染风险大……都是问题。水深火热中的伊朗人民，着实可怜。他们需要一只援手！这支援手来自中国！1、中国病毒所专家奔赴伊朗！在伊朗疫情爆发以后，中国派了一个5人团队奔赴伊朗。中国救援团队在中国已经积累了经验，可以直接传授经验，将病毒特性，防护要点充分告知，还能帮助伊朗救治患者！中国的援助不是口号，是亲临现场。雪中送炭，着实温暖！2、伊朗将中国诊疗方案翻译成波斯文发布给国民。从中我们看出伊朗对中国的信赖。他们肯定中国抗疫成果，愿效法之。中方也毫不吝啬。人类是命运共同体，伊朗人民的遭遇，中国人感同身受！（插句嘴，美国也说要援助的，伊朗说：不指望）3、中国包机接滞留人员回国！这是3月2日，中国外及部公布的消息，一则暖心的新闻。就知道祖国不会不管他们的！本次包机主要是一些学生和商人。但并不是撤侨。经受疫情的考验，中国人被磨砺地更坚毅，又带着这股坚毅奔向更灾难的现场。这就是打不倒的中国人！#全民携手抗疫情#http://t.cn/A67Nr0d8
李小霄2020,:2020-03-0400:01:45美联储主席鲍威尔：降息行动是为了帮助美国经济在危机中保持强劲；在上次会议之时，增长前景仍然良好；就业增速稳健，薪资保持增长；公共卫生事件扰乱了许多国家的经济；公共卫生事件和应对措施将在一定时间内拖累经济活动；美国联邦公开市场委员会（FOMC）判断，风险实质性改变了前景。美联储主席鲍威尔：我们将做好我们的工作以保持经济强劲；我们将适当使用工具和行动以支撑经济；经济影响仍然不确定；我不认为有任何人知道影响将持续多久；目前还不清楚当前状况会持续多久，但预计会恢复到稳健增长；正与其他央行积极讨论；G7声明显示出了高级别的协调；我们对目前政策感到满意，认为是合适的；预计G7其他国家将采取措施；金融市场有序运作；财政当局可能提供支持；降息可以提升家庭和企业信心；目前还没有考虑其他措施；我们认为一次降息不足以解决供应链问题；降息可以避免金融环境收紧；绝不会在决定中考虑政治问题；重要的是人们要不带政治因素地理解我们的决定；从旅游、酒店住宿行业听到了担忧的声音。
QuantHedgeFund,:#量化对冲基金#【报道】荷兰国家公共卫生和环境研究院表示，荷兰新增新冠肺炎感染病例6例。目前荷兰确诊总人数为24例。几乎所有确诊患者都有意大利北部旅行史或者于之前的确诊病例接触史。荷兰卫生部门现在正在密切调查密切接触者。（央视新闻）
草原书怀,:#转发[超话]#【钟南山团队：建议严格防控措施实施至4月底】3月2日，据广州呼吸健康研究院消息，钟南山院士团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19（新冠肺炎）暴发趋势预测”的研究文章。该研究把1月23日前后的人口迁徙数据以及最新的COVID-19流行病学数据整合到经典传染病学预测模型（SEIR）中并得出流行曲线。预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的模型预测表明，截至4月底中国内地有9万例至12万例的疫情规模。同时该研究团队也提醒，模型预测与现实存在一定差距，若政府继续严格实行管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。（央视新闻）http://t.cn/A679aZU1
金陵郭健,华生用SARS后国家巨资建设的网络直报系统在这次几乎没有发挥作用等，把瞒报责任全推给武汉，我认为从时间线来看，完全站不住脚。
杰妮溺深,:#筑牢防疫第一线#为爱前行，我一直在路上。我在“筑牢防疫第一线--基层公共卫生应急防线”项目捐款成功！@中国人口福利基金会筑牢防疫第一线--基层公共卫生应急防线
爱王菲真是太好了,:哥们说接不上我的话，蒙，搞不清我是美分还是粉红。因为每次评论的事儿和角度不一样，从移民治安生活来讲，我觉得美国没什么吸引力，从科技教育来讲，还得五十年差距。我们这次抗疫有相对优势没啥骄傲的，面对突发公共卫生事件，这种体制本身就更擅长应对。地球上三样硬通货，武力，金钱，科技；其他都不作数。美股也不会崩，横盘震荡美国经济韧性十足
曹股实盘,:【美联储降息市场预计本月或会进一步降息】北京时间3日晚间，美联储意外宣布下调基准利率50个基点。华尔街资管公司AllianceBernstein的资深美国分析师威诺格拉德认为，美联储的降息举措本身无法彻底解决全球突发公共卫生事件，不过此举在一定程度上避免金融市场继续作出负面反应，他预计美联储可能会在美东时间3月17日至18日举行的议息会议上进一步降息。（上海证券报）#美联储降息50基点#http://t.cn/RyhTl6E
九九归一期财经f小柒,:【美联储紧急宣布降息，基准利率下调50个基点，以应对公共卫生事件给经济带来的风险】美联储联邦公开市场委员会称，美国经济基本面依然强劲，将密切监察经济发展及其对经济前景的影响，并会运用相关工具，采取适当行动支持经济。【鲍威尔：一次降息不足以解决供应链问题】鲍威尔表示，降息是为了帮助美国经济在危机中保持强劲。货币政策是提振经济的重要工具，但一次降息不足以解决供应链问题。【API报告：美国上周原油库存增加169万桶至4.47亿桶】汽油库存减少390万桶，精炼油库存减少170万桶。美国上周原油进口增加11.1万桶/日。【美国总统特朗普：美联储必须进一步宽松政策，这是美联储领先一步的最后时机，美联储必须放宽政策和降息；美联储利率仍然过高，对美联储只是跟随而非引领感到失望】【美联储梅斯特：对采取负利率利大于弊表示怀疑，卫生事件将至少拖累美国2020年上半年的GDP增速】【欧佩克与非欧佩克产油国部长级监督委员会会议直播将于北京时间周三19:00开始】欧佩克代表：欧佩克+联合技术委员会建议减产60~100万桶/日。【欧洲央行管委维勒鲁瓦：欧洲央行的货币政策已经“非常宽松”，如有必要，央行将准备好采取适当及有目的性的措施，有财政空间的政府应当利用它】【历史首次！美国10年期国债收益率跌破1%】周二，基准10年期美国国债收益率下跌至创纪录低点0.984%，30年期美国国债的收益率也创下了历史新低的1.601%。随着疫情引发人们对经济持续放缓甚至衰退的担忧，投资者纷纷逃离股票，并冲入债券以求安全。
怦然心動辽,:#筑牢防疫第一线#小善意，大温暖。我在“筑牢防疫第一线--基层公共卫生应急防线”项目捐款成功！和@Y聪慧-一起用善举温暖更多心灵！@中国人口福利基金会筑牢防疫第一线--基层公共卫生应急防线
等海风,:#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘公主号了！也要注意个人公共卫生安全！及时吸取教训，希望不要像钻石公主号一样再次重演。
是你幂的皮卡,#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘公主号了！也要注意个人公共卫生安全！及时吸取教训，希望不要像钻石公主号一样再次重演#中国境外累计确诊新冠肺炎8774例#这速度也太快了吧，注意防护！
是你幂的皮卡,#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘公主号了！也要注意个人公共卫生安全！及时吸取教训，希望不要像钻石公主号一样再次重演#中国境外累计确诊新冠肺炎8774例#这速度也太快了吧，注意防护！
MagicPersona,:#肖战#“饭圈”这个名词从什么时候开始的？不知道。我只知道我在看lpl的时候会有人说别把饭圈那套带到电竞团里。在我的理解里，饭圈里对偶像是不能直呼姓名，全用字母代替的？从年前，新冠疫情慢慢凸显的时候，热搜里大家都关注着这个重大公共卫生事件，大家热烈讨论着一件件令人感动或是愤怒或是恐惧的事件，然而肖战的热搜在我印象里几乎天天都有，一面说着不占用公共资源，一面不停不停的上热搜。哪怕我上爱奇艺看两集庆余年，都有弹幕问肖战怎么不是主角。227大团结，作为一个路人也是事后吃瓜，几天下来看了些文章，了解一下来龙去脉，我只有一个念头:厉害啊，史无前例的把毫不相干的圈子甚至路人团结在了一起。作为路人，从没有过现在这般渴望，渴望一个人糊到底，糊穿地心！
柯德莉蓝,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
学医的WEnJinG,一线疾控医生的心声：请不要再骂我们了！疾控人的心声
毛磊的买房观,:#成都地铁日客运量疫情首破百万#昨日（3月2日），成都地铁总客运量达131.61万乘次。这是四川全省启动突发公共卫生事件一级应急响应以来，成都地铁首次单日客运量破百万。相对于复工初期不足四十万乘次日均总客流量，成都地铁客运量有了很大回升。主要原因是很多企业开始有序复工了。
love舍得369,美国🇺🇸华盛顿州卫生部官员确认，该州3月2日又确认4例新冠病毒🦠死亡病例，美国因新冠病毒🦠感染而死亡人数增加到6人。目前，美国总病例数已达102例，其中54例美国本土病例，分布在11个州……
环球市场播报,:#美联储降息救市#【美联储紧急降息50基点，美元下挫近60点跌破97关口】美联储突然下调基准利率50基点，理由是公共卫生事件构成不断变化的风险；消息公布后，美元指数大幅下挫近60点，创1月8日以来新低至96.92；现货黄金拉升逾20美元，刷新本周高点至1628.80美元/盎司；美股三大指数大幅反弹后快速回落。http://t.cn/A67pJfQM
汉唐飞扬V,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
沧海999meihao,:我分享了【公共卫生专家刘远立：疫情原有可能避免需做好打持久战准备_凤凰网资讯_凤凰网】，快来看吧！|公共卫生专家刘远立：疫情原有可能避免需做好打持久战准备
ch-冬瓜超人,:#筑牢防疫第一线#涓滴之水成海洋，颗颗爱心变希望。我在“筑牢防疫第一线--基层公共卫生应急防线”项目捐款成功！@中国人口福利基金会筑牢防疫第一线--基层公共卫生应急防线
可乐也不可笑,:#筑牢防疫第一线#希望在大大的世界里，付出一点点温暖。我在“筑牢防疫第一线--基层公共卫生应急防线”项目捐款成功！@中国人口福利基金会筑牢防疫第一线--基层公共卫生应急防线
cinekino,:对于什么身材注射第一支疫苗，看那照片下的口号只能冷笑。官方说，取得了阶段性成果。嗯。加油。不过开发针对RNA病毒疫苗，是否是解决冠状病毒这个家族最根本方式？也许准备长期和这类病毒生活在这个星球才是更好的心态。注意公共卫生预警和信息透明，把资源用在真正现代医学的科学进步上。
微博财经7X24小时,:美国疾控中心官员：截至本周末，美国所有州的公共卫生实验室都将能够进行新冠冠病毒检测。微博财经7X24小时频道
全球最好看的电影,:【确诊两例！#佛罗里达州宣布进入公共卫生紧急状态#】当地时间3月1日晚，美国佛罗里达州宣布进入公共卫生紧急状态。当天，佛罗里达州确诊2例新冠肺炎，两名患者正在隔离接受治疗。州长罗恩·德桑蒂斯表示，他指定州卫生部为牵头机构，以协调各地区机构和地方政府之间的应急响应活动。美国已确诊新冠肺炎88例，死亡2例。http://t.cn/A67oO571
中国新闻周刊,:【#美国四百名学者联名公开致信彭斯#：疫情史无前例，影响程度取决于领导者
光头帮主,:【重磅：刚刚，美联储宣布降低联邦基金利率50个基点至1%-1.25%】#美股#当地时间3月3日早晨10点，美联储宣布降低联邦基金利率50个基点至1%-1.25%，以应对新冠肺炎疫情给经济活动带来的风险。#郑重看股##佛罗里达州宣布进入公共卫生紧急状态#
新浪四川,:【#成都地铁日客运量疫期首次破百万#】据@成都地铁运营，3月2日，成都地铁总客运量达131.61万乘次。这是四川全省启动突发公共卫生事件一级应急响应以来，成都地铁首次单日客运量破百万。相对于复工初期不足四十万乘次日均总客流量，成都地铁客运量有了很大回升。#抗击疫情四川在行动#http://t.cn/RghOMBP
嘉兴咖啡爸爸,:#嘉兴身边事#【注意！疫苗恢复接种，一律通过预约！】目前，全市82家卫生院、站已经全面恢复疫苗接种服务。经开区嘉北街道卫生服务中心公共卫生科科长许培英说，现在就是分时段，错时预约的，那么现在就是说2个月，8个月和8个月以上的小孩，短信先通知，短信内容是提前说明的，大家一定要预约，不预约是不能打的。嗨嘉兴
oaryis--_d,英國作最壞打算，如疫情爆發，需要時能在海德公園裏面建立太平間http://t.cn/A67cKhUO
霄一个人de紫殇,:《军事科技》战“疫”进行时，本期主要内容：新冠肺炎疫情是新中国成立以来在我国发生的传播速度最快、感染范围最广、防控难度最大的一次重大突发公共卫生事件，对我们来说，这是一次危机，也是一次大考。经过艰苦努力，目前疫情防控形势积极向好的态势正在拓展，当前疫情形势依然严峻复杂，防控正处在最吃劲的关键阶段，那么我们怎样才能打赢这场没有硝烟的战争呢？http://t.cn/A67p913o
切熙德,:#美联储紧急降息50基点以保护有史以来持续最久的经济增长免受公共卫生事件冲击#预期今年美联储将有合计大约1个百分点幅度的降息
程征,:上海市公共卫生临床中心原创抗疫歌曲《生命重于泰山》http://t.cn/A67poFw0
