王先生走花路吧,:#钟南山李兰娟等10个院士团队齐聚湖北#向他们致敬
AngelAA爱湉花,肖战事件之所以会在互联网上产生如此大的影响力，恐怕和同人小说本身关系并不大，而来自于广泛的互联网参与者对这种负面“饭圈文化”可能导致的对公共文化领域、对社会的危险感到后怕和恐惧，从而团结起来，希望“杀鸡儆猴”，遏制风气。肖战本人不幸成为了这个靶子。肖战事件：水土不服的“饭圈思维”
MarykayLianglingmei,:一个人努力是加法，一个团队努力就是乘法！人生的奔跑，不在于瞬间的爆发，取决于途中的坚持！
芒果布丁丹,:我的账号被封了？去了我们梓淇部落能发文啊，肖战团队迷之尴尬。糊了注定~汾阳市
SiriusSe7en,安康市中心医院为抗疫一线补助公示伤一线职工心💔💔💔，这些红线内的偶尔背着手东转西骂一圈儿，发热门诊专家们值班一两次，其余全是一线大夫，这些人却拿全勤，总数拿的比服务确诊患者的工作人员都高！一线人员上到累趴不给轮休还要被各种克扣上班天数，真是讽刺啊！请问这些官老爷们不说拿这些钱良心何安？脸上也不害臊？@国家卫计委@陕西省卫计委@安康市卫计委@知安康@安康综合广播@安康电视台
四品园丁小T,如何重新定义世界公民本来懒得议论，纯粹是为了和孩子分享观点而写😁如何重新定义世界公民从对孙杨的裁决说开去
一天一致性,【#钟南山等10位院士团队先后支援湖北#】湖北省卫健委副主任涂远超在今天的疫情防控发布会上表示：钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省，有330多支医疗队、超4万名医务工作者从全国各地前来支援湖北，他们在救治中发挥了重要作用。（总台央视记者王伟超）http://t.cn/A67Nnjsk
佛尔德格斯__,:#肖战#“抱歉在特殊时期占用公共资源”呵肖战团队可要点脸8⃣️
神鬼痴花,唉，真诚的说一句，粉丝挨打立正，正主出来说话，别无他法。
7-Zero-,:#肖战#
5101516VKF,:伟大的七人组-找出是谁是我们的评论员心中欧冠女排4thRound最佳阵容卢森堡，2020年2月29日📃📃尽管即将到来的四分之一决赛有所推迟，但欧洲冠军联赛正在逐步建立高潮。在淘汰赛令我们所有人振奋之前，我们想花点时间回顾一下小组赛阶段的杰出球员。因此，我们要求评论员和团队选择他们心中欧冠女排4thRound最佳阵容。那些以惊人的个人表现脱颖而出或在六场比赛中有始终如一表现水准的球员。冠军联赛是一个非常重要的比赛，所以仅仅挑选7名球员是很困难的，所以让我们开始吧！👉西蒙·戈尔丁(评论员)主攻:加比🇧🇷(瓦基弗银行🇹🇷)&考特尼🇺🇸(诺瓦拉🇮🇹)接应:艾格努🇮🇹(科内利亚诺🇮🇹)二传:卡里尼🇺🇸(莫斯科迪纳摩🇷🇺)副攻:奇里切拉🇮🇹(诺瓦拉🇮🇹)&泽赫拉🇹🇷(瓦基弗银行🇹🇷)自由人:阿克兹🇹🇷(伊萨奇巴希🇹🇷)👉詹姆斯·菲尔德(评论员)主攻:帕鲁贝茨🇷🇺(乌拉洛奇卡🇷🇺)&娜塔莉亚🇧🇷(伊萨奇巴希🇹🇷)接应:哈克🇸🇪(瓦基弗银行🇹🇷)二传:沃罗兹🇵🇱(科内利亚诺🇮🇹)副攻:托多罗娃🇧🇬(戛纳🇫🇷)&居维利🇹🇷(伊萨奇巴希🇹🇷)自由人:奥格🇹🇷(瓦基弗银行🇹🇷)👉戴夫·罗杰斯(评论员)主攻:娜塔莉亚🇧🇷(伊萨奇巴希🇹🇷)&布里西奥(斯坎迪奇🇮🇹)接应:博斯科维奇🇷🇸(伊萨奇巴希🇹🇷)二传:沃罗兹🇵🇱(科内利亚诺🇮🇹)副攻:艾达🇹🇷(费内巴切🇹🇷)&费蒂索娃🇷🇺(莫斯科迪纳摩🇷🇺)自由人:阿克兹🇹🇷(伊萨奇巴希🇹🇷)👉马特·罗杰斯(CEV沟通协调员)主攻:罗宾逊🇺🇸(费内巴切🇹🇷)&娜塔莉亚🇧🇷(伊萨奇巴希🇹🇷)接应:博斯科维奇🇷🇸(伊萨奇巴希🇹🇷)二传:沃罗兹🇵🇱(科内利亚诺🇮🇹)副攻:克洛斯特🇫🇷(戛纳🇫🇷)&维利科维奇🇷🇸(诺瓦拉🇮🇹)自由人:托多罗娃🇧🇬(普洛夫迪夫🇧🇬)PS🔴🔴采访内容中好多评论员都期望沃罗兹🇵🇱和博斯科维奇🇷🇸组队，能实现吗？👉👉你心中的最佳Team
西安石油大学,:#西石大校园资讯##2020年新增本科专业#【权威发布|西安石油大学2020年博士研究生招生简章及专业目录】西安石油大学是西北地区惟一一所以石油石化为特色的多科性普通高等学校，是陕西省人民政府和国家三大石油公司共建院校、陕西省高水平大学建设院校、中国政府奖学金来华留学生自主招生院校。学校学科特色鲜明，针对国家能源战略和区域经济社会发展需要，大力开展科学研究，科技实力不断提升。建有26个国家级、省部级重点实验室（工程技术研究中心），1个省级重点科技创新团队，3个陕西高校青年创新团队，形成了油气勘探理论技术与工程应用等7大特色优势科研领域。学校拥有1个博士后流动站，1个博士学位授权一级学科，15个硕士学位授权一级学科，13个硕士专业学位授权类别。了解详情请戳链接:http://t.cn/A67pyW9r
黄石发布,:【十院士齐聚湖北！】在今天下午的湖北疫情防控工作发布会上，湖北省卫生健康委员会副主任涂远超介绍，在中央组的协调下，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈巍、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
我儿不红天理难容,:#肖战#
各界新闻网官微,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，在中央组的协调下，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈巍、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
乐于助人的纶子,:自我负责，富养自己，爱自己，安住内在，活在当下。不剧情不加戏不幻想。我们掌控不了他人思想言行，面对他人的攻击不入戏，不沾染他人观念。不改变别人，不讨好别人，不向外抓取，不求看见，不攻击自己。走出受害者心态，避免边付出边抱怨，面对孩子的种种行为不焦虑，不控制，不改造。过好当下很重要，做滋养自己的事情。比如好好护肤保养，皮肤好了为颜值加分
郑州交通广播,:#抗击疫情我们始终在一起#【外交部：#中方在能力范围内向外方提供支持#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（央视新闻）
Anna_九思,:#肖战#请还创作者一片净土，那些无辜被骂的太太们，无辜被牵连的平台，以及守着自己小小家园的读者们，这些问题请正面回应。你们有背景，有后台，有公关团队，还有你们那一大群粉丝。你们不高兴了就可以群起而攻之，而我们呢，我们要的只是一个正面的回应，对这些受害者群体有个合理的解释。#创作者失声#
woshikatai_,:xin丽艺人电影草cp拉踩小idol也是很好笑忍不住问有啥毛病的而且发现男的女的都这样啊每次都要出一点这种我要问这家艺人团队什么毛病演员演技拉踩小idol很高贵了啊厉害死了啊😓这么厉害之前的戏都没红😓真的比本质又不如其他厉害的这什么咯指望大爆逼宫按头结果不合适就是不合适啊有意思吗
每日经济新闻,:【世界最远距离！中国科学家创造#509公里光纤量子通信新纪录#】继首次实验验证了远距离双场量子密钥分发可行性，在300公里真实环境的光纤中实现了双场量子密钥分发实验后，济南量子技术研究院王向斌教授、刘洋研究员与中国科技大学潘建伟院士团队再次合作，实现了509公里真实环境光纤的双场量子密钥分发。相关成果已于近日在线发表在国际权威期刊《物理评论快报》上，王向斌教授和张强教授为论文共同通讯作者。该成果成功创造了量子密钥分发最远传输距离新的世界纪录。（科技日报）
却骷非辜,:#肖战#团队开始漂白自己扣粉丝帽子了这样的团队爱豆还有什么可粉的绝了但凡从粉丝害别人没了工作起肖战说过一句这样的行为他不支持都不会到今天这个地步，到今天被载入历史的地步，确实，肖战还是原来的肖战从来没变过，粉丝居然还在外网上宣扬是因为国家歧视同性恋和分级制度缺陷，不仅害你家正主还害在外华侨知道吗，别的明星或许是糊过，但你家明星是载入史册的糊
帅气的soso,:今天下午我qq被盗号了，然后骗子以我的名义发一堆消息给我同学，说是微信没绑卡，卡转钱给我同学卡上，让他们再发钱给这个微信收款码，还说表姐住院要钱急用。死骗子！！！死骗子！！！结果真有同学上当了，给人家转了2千块啊！谁能告诉我怎么办啊！我也蛮内疚的，如果我QQ没被盗的话她也不会被骗！她也是念在同学情分来帮助我
Galaxy贰拾壹,:#九九八十一#到底谁是失声者？谁是受害者？热搜被压全是🦐xyh控评还说团队没下场蒸煮不知道🐴的瞎了吗有黑子故意带节奏波及无辜是事实但别拿来洗白蒸煮了侮辱女性是p图？不好意思👨🏻🦳看的原评论转发你p给我看看你找不到？这就对了问你gg公关去啊道歉连凹3都不提是给🦐看的🐴
吕吕吕吕吕小莹,:#薇娅直播间##薇娅直播间##薇娅直播间#嘤嘤嘤，我来了！薇娅没薇娅每次直播必看，应该是从去年偶然知道有个叫薇娅的主播，然后在淘宝搜索了之后，一发不可收拾！！！愿薇娅的女人们，薇娅的团队都幸福安康！！！愿祖国早日康复，中国加油！薇娅加油！！！！另外，啥时候能上个空气消毒机，想要买！！！！http://t.cn/R2Wx9o6
抽风兔仔,:要是，为了洗白，肖战公关团队现在就研制出了新冠疫苗，我立刻黑转粉
踏火-万俟烈风,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
体育台,:【征程：花游“雪雁”期待突破】2019年国际泳联世锦赛，中国组合黄雪辰/孙文雁，在花游双人自由自选决赛，二人以一曲《十面埋伏》为背景乐，通过默契的配合，优雅美丽的动作为中国队摘得一枚银牌！在这枚奖牌背后，是二人细致刻苦的训练，也是教练团队辛勤的努力。黄雪辰的性格外向开朗，孙文雁则比较内敛，但二人的配合却非常默契，训练之余更几乎成为姐妹。作为产后复出的老将，黄雪辰直言刚回归时训练非常不容易，要不是因为雁子，自己几乎都坚持不下来。而教练坦言，二人回归的半年来，克服了很多自身的困难，虽然是老将，但训练量很大非常辛苦，二人咬牙坚持才有了世锦赛的银牌，相信在东京奥运会上，她们会不忘初心，继续向更高的荣誉冲击。http://t.cn/A67COrDZ
抽风兔仔,:要是，为了洗白，肖战公关团队现在就研制出了新冠疫苗，我立刻黑转粉
踏火-万俟烈风,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
体育台,:【征程：花游“雪雁”期待突破】2019年国际泳联世锦赛，中国组合黄雪辰/孙文雁，在花游双人自由自选决赛，二人以一曲《十面埋伏》为背景乐，通过默契的配合，优雅美丽的动作为中国队摘得一枚银牌！在这枚奖牌背后，是二人细致刻苦的训练，也是教练团队辛勤的努力。黄雪辰的性格外向开朗，孙文雁则比较内敛，但二人的配合却非常默契，训练之余更几乎成为姐妹。作为产后复出的老将，黄雪辰直言刚回归时训练非常不容易，要不是因为雁子，自己几乎都坚持不下来。而教练坦言，二人回归的半年来，克服了很多自身的困难，虽然是老将，但训练量很大非常辛苦，二人咬牙坚持才有了世锦赛的银牌，相信在东京奥运会上，她们会不忘初心，继续向更高的荣誉冲击。http://t.cn/A67COrDZ
安医向卉芬,:经过集思广益，轮轮筛选修改，最终将我们团队的slogan定为："尊重每一个生命，呵护每一次心跳！""谢谢大家！我们将秉承我们的承诺，为更好帮助服务大家！
-冰奶立方糖-,呜呜呜呜呜是SVT说口号说得最好的队长啊。
球指导,:#球指导#今天的#曼联每日一球#是一次团队配合错进错出，吉格斯的后脚跟秒传制造经典群星云集，这样的进球你看够了吗
爱城城管呗,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
丘苗苗_463,:别搞复杂了……4、设计好薪酬机制、重视团队文化建设；不要过分追求所谓体系化。3、5……
狮妖银银,:#227历史时刻[超话]#突然想康康今天一天xz团队能找多少热搜压这事儿，顺便康康有没有真正好的艺人出境，以后没事做的时候可以粉粉她们~
沈却lili,:#酥妃#团队牛牛牛，我就发了几分钟微博热搜就降了十几位呢
盛行西风west,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
价值投资日志,:山东青岛一对母女没戴口罩也乘了车，手下留情的公交司机却获8万点赞。晚上7点20分，307路公交车上，迎来一对年轻的母女均未佩戴口罩。妈妈称，她急着出门没戴口罩，并反复强调她身体很健康，没有疾病，希望司机师傅能够通融一下。考虑到当时天色已晚，母女俩因为赶车也已经累得气喘吁吁，如果再让这对母女再去买口罩再乘车，也有些不妥也于心不忍。司机左右为难，想到他才从单位领了第二天需要佩带的口罩，再加上随身备用的一个，刚好够两名母女使用。司机果断把口罩拿出来，递给了母女两，并嘱咐她们戴好口罩乘车。该司机张楠当晚回到分公司，他还将日常生活中，需要注意的防疫事项编成顺口溜:“乘坐公共交通工具，必须佩戴口罩并实名登记，疫情期间希望乘客文明乘车，做好自我防护。”不得不说，他真是位人民好司机，为他的暖心行为点赞。#钟南山团队建议严格防控实施至4月底##全球抗疫第一线##三月的新目标#
盛行西风west,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
价值投资日志,:山东青岛一对母女没戴口罩也乘了车，手下留情的公交司机却获8万点赞。晚上7点20分，307路公交车上，迎来一对年轻的母女均未佩戴口罩。妈妈称，她急着出门没戴口罩，并反复强调她身体很健康，没有疾病，希望司机师傅能够通融一下。考虑到当时天色已晚，母女俩因为赶车也已经累得气喘吁吁，如果再让这对母女再去买口罩再乘车，也有些不妥也于心不忍。司机左右为难，想到他才从单位领了第二天需要佩带的口罩，再加上随身备用的一个，刚好够两名母女使用。司机果断把口罩拿出来，递给了母女两，并嘱咐她们戴好口罩乘车。该司机张楠当晚回到分公司，他还将日常生活中，需要注意的防疫事项编成顺口溜:“乘坐公共交通工具，必须佩戴口罩并实名登记，疫情期间希望乘客文明乘车，做好自我防护。”不得不说，他真是位人民好司机，为他的暖心行为点赞。#钟南山团队建议严格防控实施至4月底##全球抗疫第一线##三月的新目标#
松雾岛林芋圆的追星日记,呜呜呜呜呜是SVT说口号说得最好的队长啊。
谁家咖喱然呐,“写这样的同人影响哥哥的前途。”真的吗?什么东西会影响艺人的前途？我是游戏行业市场营销的从业者，是接触艺人合作最多的部门之一，今天从厂商品牌方的角度，给大家科普一下甲方是怎么选择代言人的好不好，也说说什么衡量标准会影响厂商判断是否选择艺人。品牌方，选择艺人的标准有很多，最重要的三条：1、艺人火吗？他现在火不火，有多少粉丝，有什么话题。他的粉丝多不多，购买力怎么样，粉丝群体是不是我产品的潜在用户？对品牌代言的合作态度怎么样，愿不愿意帮我的产品做宣传，会不会和我的品牌玩在一起，会不会来买我的产品。对，最重要的是购买力。2、艺人贵吗，这个主要影响厂商的预算，比如我总共有两百万的费用，那么我会请报价100万的艺人，其他的钱用来宣传。再比如，我有一亿，那我就可以请罗志祥，再请一个吴青峰，再请一堆红人跟我合作，没错我说的是【剑与远征】哈哈哈哈PS：肖战的一年期游戏代言费用是一千万，这个数字随便问一个公关公司都能得出来，并非我张口就来。3、艺人的人设标签。厂商一般会邀请符合自己品牌最想表达理念，风格。比如说牛奶请陈道明代言，是因为陈道明大佬的气质会让普通的用户联想到高品质好东西，品牌请张钧甯代言，是因为这位艺人坚持运动的生活态度。小七有很多游戏代言，因为小七身上有一种一种“二次元”少女的标签。那么，风格化明显，正向的艺人，就更容易得到商业的青睐。OK，那么那篇【下坠】本身带来了什么影响？我可以很明确告诉大家，这一篇文在厂商眼里，只是一个数字，一个代表肖战人气的数字。如果你结合了厂商信息产出代言，粉丝产粮，那么很好，厂商更高兴了。但是，事情发展到了今天，带来了什么影响呢？以我最熟悉的【新笑傲江湖】手游来举例子。【新笑傲江湖】是完美的19年度拳头产品，未来也会长线运营。肖战代言给产品带来了红利，完美的股价在19年下半年飙升。那么现在呢？产品在苹果商店被打一星，据说工作室多次找到品牌的同事，闹到这一步，现在手游被抵制，taptap等厂商看重的平台评分一路底星，二次元KOL纷纷抵制，路人用户呢？商店评分呢？口碑呢？那些还没执行的商业推广计划呢？肖战签的代言不是一波流，接下来的合作怎么办？完美是一个熟练使用代言人这种营销手段的游戏商场，公司成立15年了，王俊凯，郑爽都是该厂商的合作对象，大家随便搜，都能搜到他们的海报。那么肖战，就是第一次出现这种口碑滑坡对产品带来大面积负面影响的艺人。那么其他的企业呢？站在风口浪尖的OLAY，牛奶品牌呢？所以，粉丝们看懂了吗？一篇文，不会影响你哥的前途。胡搅蛮缠的粉丝，动不动就扫射厂商的粉丝，【让企业损失口碑，商业价值，商品销量，大众对产品的印象】才会影响你哥的前途。有什么品牌方，敢用有一群这种粉丝的明星？我今天看到一句话。“全世界要按照我的心意来生存”这就是这个粉丝群体最开始的错误。是的，没有错。这个世界的法则从来就不是【我不喜欢就举报你，让公权力来搞你】有空多读书，有空多看看世界，了解了解，互联网，文学，音乐，金融，书籍，世界很大，你我都很小。
妖精大人nim,:#酥妃#没人觉得有人在趁机搞xz嘛但凡有点脑子的人都不会在这个时候再有动作他的团队又不是傻搞个话题再降调就会觉得是xz团队搞的就更怨恨他了娱乐圈真是勾心斗角的殿堂
粉笔袁东,:孙杨老师缺乏一个好的团队，建议可以参照姚明的姚之队的配置，把公关、法律、经纪人、投资等团队配好。做大领导的，用什么人干什么事很重要。
陈了个思,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
叶落天晚方可修,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
吃吃闲人,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
秀绣琇璓,:@肖战工作室@X玖少年团肖战DAYTOY团队在等啥，战战还不发声，还有啥路人缘可败了吗，言辞恳切，把你的问题把你的担忧顾虑犹豫以及害怕都堂堂正正说出来，明确给大家一个答复，好好管理和清理你的粉丝好吗？毒唯脑残真的害人，害你不说，害了多少人，身为理智粉，请你好好想想该怎么说！但支持你没有变！
Kadljhsnjhsjkkoahbjkpppppp,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
迷糊猫熊,#赵子琪重生海报#太惨了了吧，作为女主海报竟然没有自己
L-夏柒柒柒,:#酥妃#看看这个热搜降的，有资本有团队洗就是了不起哦👏👏👏👏，还是那句话现在大家不发声，以后自己圈子被炸就没人替你发声了！！！
一枚海棠酥,#227大团结#本来，只是吃瓜，但是这种营销，实在是受不了啊。
再见-饭团团,:很久没因为排班而炸毛了。80人团队，次次不必要的“全勤”，总只有我一个。
一大杯花生牛奶,:#酥妃#肖战团队压热搜真是一流
努力的小小在职场,:新人接到新任务怎么办不知道，走一步看一步。大概率，这个任务要办砸。接到任务后第一步，先问问老板：1.任务目标是什么2.有没有标准工作流程（SOP）可以借鉴3.团队内部有没有类似的项目经验可以分享然后再依葫芦画瓢。跟着SOP做，不落下任何一个流程；看看别人的经验总结，重点注意需要改进的地方；最后达成任务目标，记得主动向老板汇报。#职场[超话]##职场##职场有话说#
好吃的魚包蛋,#肺炎患者求助[超话]#求助人信息（若有相关化验单，请上传图片）【姓名】周元香【年龄】62【所在城市】武汉【所在小区、社区】后湖社区【患病时间】2020年2月12日【联系方式】15072370409【其他紧急联系人】【病情描述】求转：急求o型治愈血浆救母！！我母亲因急性胰腺炎于2019年8月进入武汉市中心医院后湖院区，经过长达6个月的治疗即将病愈之期，这场没有硝烟的疫情却悄悄的来临了。因肠漏无法进食和下床活动还要继续打针，只能继续住院无法回家。1月下旬中心医院后湖院区因担心我母亲感染新冠病毒救将她送至二医院南京路院区。2月上旬我母亲被检测出核酸阳性，期间经过细心治疗各项指标趋于正常，核酸检测结果也变为阴性。正当我们全家人都沉浸在喜悦之中时，母亲突然高烧昏迷送进icu抢救。连日的抢救后，医生告诉我们做好最坏的心理准备，并告知需要治愈者血浆。我实在是没有办法了，希望大家帮忙转发，急求O型新冠治愈者血浆！希望大家帮我转发！！感激不尽！http://t.cn/R2WxQOQ
静静是我阿-lfjj,目前最大分歧点在于路人觉得明星是总裁，公司是他开的
再见-饭团团,:很久没因为排班而炸毛了。80人团队，次次不必要的“全勤”，总只有我一个。
一大杯花生牛奶,:#酥妃#肖战团队压热搜真是一流
努力的小小在职场,:新人接到新任务怎么办不知道，走一步看一步。大概率，这个任务要办砸。接到任务后第一步，先问问老板：1.任务目标是什么2.有没有标准工作流程（SOP）可以借鉴3.团队内部有没有类似的项目经验可以分享然后再依葫芦画瓢。跟着SOP做，不落下任何一个流程；看看别人的经验总结，重点注意需要改进的地方；最后达成任务目标，记得主动向老板汇报。#职场[超话]##职场##职场有话说#
好吃的魚包蛋,#肺炎患者求助[超话]#求助人信息（若有相关化验单，请上传图片）【姓名】周元香【年龄】62【所在城市】武汉【所在小区、社区】后湖社区【患病时间】2020年2月12日【联系方式】15072370409【其他紧急联系人】【病情描述】求转：急求o型治愈血浆救母！！我母亲因急性胰腺炎于2019年8月进入武汉市中心医院后湖院区，经过长达6个月的治疗即将病愈之期，这场没有硝烟的疫情却悄悄的来临了。因肠漏无法进食和下床活动还要继续打针，只能继续住院无法回家。1月下旬中心医院后湖院区因担心我母亲感染新冠病毒救将她送至二医院南京路院区。2月上旬我母亲被检测出核酸阳性，期间经过细心治疗各项指标趋于正常，核酸检测结果也变为阴性。正当我们全家人都沉浸在喜悦之中时，母亲突然高烧昏迷送进icu抢救。连日的抢救后，医生告诉我们做好最坏的心理准备，并告知需要治愈者血浆。我实在是没有办法了，希望大家帮忙转发，急求O型新冠治愈者血浆！希望大家帮我转发！！感激不尽！http://t.cn/R2WxQOQ
静静是我阿-lfjj,目前最大分歧点在于路人觉得明星是总裁，公司是他开的
大海脊柱-北京朝阳,#触目惊心：又有80多家中国医院涉嫌论文造假！#真不愿意看到这样的爆料，医学界的学术不端近年来几乎到了“塌方式”程度，仅仅靠国外的一个ElisabethBik团队每次就能揪出一大把假论文，这还不算国内的杂志，问题触目惊心！长此以往，我们的整个学术生态将朝着积重难返的程度不断恶化。实际上，我们当今的学术治理水平远远跟不上日新月异的科技发展步伐，以至于连院士、大咖们也深陷学术不端中。扭转这种局面应当“严下先严上”，对科技界著名专家的学术不端理应从严查处，这样才能确保科学的权威性不被亵渎，也才能让更多“干净”的专家敢于发声打假，否则就会形成“其身不正，虽令不从”你好我好大家好的恶劣学术圈。这几年院士、大咖们的学术不端已非个别现象，偶尔揭露出来之后往往是“调查”高高举起，处理轻轻放下，最后在人们的健忘中不了了之，去年披露的几位院士、校长们至今没有“调查”下文，如何向整个科技界交待？逮到一个演员翟天临大动干戈，实在是一种严重错位。http://t.cn/A67Sbv2Y@进击的装甲老虎@血液科周医生@风湿科聂医生@丽萨医生@大火医生@编辑态@本猴孙很爱国@血液内科郝大夫@yyylyxl@陈小羽笙@种花家的蓝领兔@我有一树花落@卤煮疫苗@风雨杏林@大海脊柱-北京朝阳@宛桐声话@科学现代人@疫苗与科学@肝病梁医#医学科普##抗疫行动#@宋中清主任律师@小仙女的医美日常
麥麥麥麥航,:我在看：【研究称华南海鲜市场不是病毒发源地中科院团队：论文已提交预发布】#跟新浪看热点#研究称华南海鲜市场不是病毒发源地中科院团队：论文已提交预发布
汐尔瓦娜斯,这期视频10分钟。其实孙杨这事很简单，看完你就能get到（我的个人看法），做出判断。（片尾有彩蛋）吟游诗人基德的微博视频
伊酱是二宫萌主的小师妹,目前最大分歧点在于路人觉得明星是总裁，公司是他开的
慢热的蘑菇君,:#马化腾[超话]##马化腾[超话]##微信永久封号#封号之前一点提示或者警告都没有，如果说有提示或者封停几天真的还可以接受，但是一下被封永久不能解封，简直是要了我的命啊，让我只能重新注册微信，真的让人难以接受啊[淚][淚][淚]@腾讯微信团队@腾讯客服@腾讯公司
螃蟹_要暴富啊,:看见首页上各种警告贴分析肖战公关团队的下一步动作会是什么，我就寻思跟我有关系吗
只爱金秦禹的杨困困,:别骂了肖战的公关团队是江达琳
何嚣喧,发布了头条文章：《做梦都没想到，我竟然“成了”肖战的公关？》做梦都没想到，我竟然“成了”肖战的公关？
紫藤的葬礼,:#酥妃#团队压热搜，团队你TM接着压，你压的越快凉的越快
新的一天要天天开心,“写这样的同人影响哥哥的前途。”真的吗?什么东西会影响艺人的前途？我是游戏行业市场营销的从业者，是接触艺人合作最多的部门之一，今天从厂商品牌方的角度，给大家科普一下甲方是怎么选择代言人的好不好，也说说什么衡量标准会影响厂商判断是否选择艺人。品牌方，选择艺人的标准有很多，最重要的三条：1、艺人火吗？他现在火不火，有多少粉丝，有什么话题。他的粉丝多不多，购买力怎么样，粉丝群体是不是我产品的潜在用户？对品牌代言的合作态度怎么样，愿不愿意帮我的产品做宣传，会不会和我的品牌玩在一起，会不会来买我的产品。对，最重要的是购买力。2、艺人贵吗，这个主要影响厂商的预算，比如我总共有两百万的费用，那么我会请报价100万的艺人，其他的钱用来宣传。再比如，我有一亿，那我就可以请罗志祥，再请一个吴青峰，再请一堆红人跟我合作，没错我说的是【剑与远征】哈哈哈哈PS：肖战的一年期游戏代言费用是一千万，这个数字随便问一个公关公司都能得出来，并非我张口就来。3、艺人的人设标签。厂商一般会邀请符合自己品牌最想表达理念，风格。比如说牛奶请陈道明代言，是因为陈道明大佬的气质会让普通的用户联想到高品质好东西，品牌请张钧甯代言，是因为这位艺人坚持运动的生活态度。小七有很多游戏代言，因为小七身上有一种一种“二次元”少女的标签。那么，风格化明显，正向的艺人，就更容易得到商业的青睐。OK，那么那篇【下坠】本身带来了什么影响？我可以很明确告诉大家，这一篇文在厂商眼里，只是一个数字，一个代表肖战人气的数字。如果你结合了厂商信息产出代言，粉丝产粮，那么很好，厂商更高兴了。但是，事情发展到了今天，带来了什么影响呢？以我最熟悉的【新笑傲江湖】手游来举例子。【新笑傲江湖】是完美的19年度拳头产品，未来也会长线运营。肖战代言给产品带来了红利，完美的股价在19年下半年飙升。那么现在呢？产品在苹果商店被打一星，据说工作室多次找到品牌的同事，闹到这一步，现在手游被抵制，taptap等厂商看重的平台评分一路底星，二次元KOL纷纷抵制，路人用户呢？商店评分呢？口碑呢？那些还没执行的商业推广计划呢？肖战签的代言不是一波流，接下来的合作怎么办？完美是一个熟练使用代言人这种营销手段的游戏商场，公司成立15年了，王俊凯，郑爽都是该厂商的合作对象，大家随便搜，都能搜到他们的海报。那么肖战，就是第一次出现这种口碑滑坡对产品带来大面积负面影响的艺人。那么其他的企业呢？站在风口浪尖的OLAY，牛奶品牌呢？所以，粉丝们看懂了吗？一篇文，不会影响你哥的前途。胡搅蛮缠的粉丝，动不动就扫射厂商的粉丝，【让企业损失口碑，商业价值，商品销量，大众对产品的印象】才会影响你哥的前途。有什么品牌方，敢用有一群这种粉丝的明星？我今天看到一句话。“全世界要按照我的心意来生存”这就是这个粉丝群体最开始的错误。是的，没有错。这个世界的法则从来就不是【我不喜欢就举报你，让公权力来搞你】有空多读书，有空多看看世界，了解了解，互联网，文学，音乐，金融，书籍，世界很大，你我都很小。
_美人师兄,:#277大团结#@肖战真的，希望肖战的团队和粉丝放过我们吧，我们做错了什么？我们的太太做错了什么！为什么要这样？一定退到只剩孤岛吗？
