大葱丶蘸酱,:感谢来自五湖四海的帮助，已收到满满的爱
珠海政府网,:【珠海市新型冠状病毒肺炎疫情防控指挥部办公室关于印发推动餐饮业有序复工复业指引（试行）的通知（珠防疫指办〔2020〕64号）】各区新型冠状病毒肺炎疫情防控指挥部，市新型冠状病毒肺炎疫情防控指挥部各成员单位：　　《珠海市关于推动餐饮业有序复工复业的指引（试行）》已经市新型冠状病毒肺炎疫情防控指挥部同意，现印发给你们，请遵照执行。珠海市新型冠状病毒肺炎疫情防控指挥部办公室　　2020年3月1日　　　　珠海市关于推动餐饮业有序复工复业的指引（试行）　　为贯彻落实《企事业单位复工复产疫情防控措施指南》（国发明电〔2020〕4号文）、《广东省应对新型冠状病毒肺炎疫情分区分级防控工作指引（试行）》（粤防疫指办明电〔2020〕33号文）、《广东省餐饮服务业新冠肺炎防控工作指引》（粤卫疾控函〔2020〕16号文）以及《关于做好企业安全有序复工复产工作的通知》（珠防疫指办〔2020〕28号文）等文件要求，积极稳妥推动餐饮业有序复工复业，特制定本指引。　　一、分区分级防控　　各区（功能区）应对照市新型冠状病毒肺炎疫情防控指挥部对各区（功能区）分级防控的评估结果，及时调整本区域内餐饮单位（含企业、个体户等，下同）复工复业工作措施。其中：　　（一）高风险地区。　　1.暂停聚餐活动，要求各类餐饮单位暂停堂食服务。　　2.鼓励餐饮企业在做好疫情防控的前提下，创新服务模式，提高服务水平。增加外卖供应点，增强外卖供应能力，创新便民服务方式，推广确保食品安全的“不接触”配送方式。大力推行订餐自取、团餐直送、第三方平台配送等多种经营模式，满足复工复产期间不断增加的餐饮消费需求。　　（二）中风险地区。　　各类餐饮单位限制堂食服务。限制措施如下：　　1.用餐人员进入餐饮经营单位前必须测量体温，体温超过37.3℃或出现有发热、干咳、打喷嚏等症状的，一律不允许进入餐饮场所，一旦发现应立即登记造册并及时向属地医疗机构报告，并提醒其及时到就近医疗机构发热门诊就诊。　　2.在疫情防控解除前，餐饮服务企业禁止接待大规模聚餐活动。　　3.有条件的餐饮单位，用餐区出入口分开设置。　　4.大堂餐桌实际使用数量不超过平时的50%，不同餐桌之间距离不小于1米。　　5.每桌每批次顾客用餐后立即对桌椅进行消毒，再安排下一批次，间隔不低于10分钟。　　6.长条桌同排顾客隔位相坐，对面错位相坐；圆桌顾客隔位相坐，面对面距离不少于1米。　　7.不得拼桌。　　8.每桌登记至少一名就餐客人的姓名和联系方式。　　9.包房（包厢）方面，面积较小的，只开一桌，且不得拼桌，人数不超过10人。两桌以上的包房（包厢），实际使用数量不超过平时的50%，不同餐桌之间距离不小于1米。　　（三）低风险地区。　　正常提供餐饮服务，要求餐饮单位落实好各项疫情防控措施。　　二、复工复业条件　　各区（功能区）要落实属地管理，各类餐饮单位具备以下条件的，应有序推动复工复业。　　（一）防控机制到位。要求各餐饮单位落实疫情防控主体责任，成立疫情防控工作小组，有专门机构和人员负责制定疫情防控期间企业经营防护方案和实际执行措施。要求餐饮企业以门店为单位，由店长（店主）全面负责，建立和完善工作制度，把防控责任落实到部门和个人。　　（二）员工排查到位。要求各餐饮单位做好员工排查登记，掌握复工复业每名员工健康状况、提前排查员工来源地和近14天内活动情况，劝导仍在湖北、温州的员工暂不返回。对经湖北、温州来珠的员工要隔离14天，观察无恙后方可上岗。　　（三）设施物资到位。要求各餐饮单位在复工复业前准备充足的防护物资，包括防护必需的普通级别防护口罩、医用酒精/消毒水、体温探测仪等疫情防控物资，保障工作人员日常防护需求。　　（四）场所管理到位。要求停业后首次恢复堂食的餐饮单位对营业场所、设备设施、餐用具等进行一次彻底的清洗消毒。日常运营期间，必须严格执行《广东省餐饮服务业新冠肺炎防控工作指引》、《珠海市复工企业新型冠状病毒肺炎防控工作技术指引》（珠卫防疫指办〔2020〕24号文）、《居家和公共场所卫生间预防新型冠状病毒感染的肺炎疫情卫生清洁消毒指引》（粤卫规划函〔2020〕7号文）有关要求，每天对就餐场地、保洁设施、人员通道、电梯间等场所设施进行消毒保洁。每2小时要对洗手间内所有便器洁具、各类扶手和把手、触摸式冲水按钮、洗手台和水龙头等重点部位进行消毒一次，做好相关消毒记录并每日公示消毒情况。洗手间内要备齐洗手液、手纸等便民服务用品，要确保洗手设备正常运行，同时保持良好通风，必要时可加装排气设备，强制排气。保持食品加工场所和就餐场所的空气流通，定期对空气过滤装置进行清洁消毒。每桌客人就餐完毕离开后需对桌椅进行清洗消毒，给予每桌客人提供双筷位勺或公筷公勺餐具，防止交叉污染。　　（五）宣传教育到位。要求各餐饮单位做好疫情防控知识宣传和培训，要在经营场所显著位置设置新型冠状病毒肺炎的宣传专栏，告知进店顾客需配合和注意的有关事项，如张贴禁止接待大规模聚餐活动的指示牌等。　　（六）安全生产管理到位。要求各餐饮单位要切实落实安全生产主体责任，加强安全生产管理，确保安全责任、安全培训、安全投入、安全管理和应急救援到位。员工人数10人（含本数）以上的餐饮单位，复工复业前落实召开一次专题会议、制定一套复工复业方案、组织一次全面检查、召开一次安全教育、召开一次班前会议“五个一”管理措施；员工人数10人以下的餐饮单位，复工复业前落实好上述安全生产责任要求。不具备安全生产条件的，不得复工复业。　　（七）信息报送到位。要求各餐饮单位积极配合属地政府对复工复业的检查、抽查工作，如实报告复工安排、人员排查、员工健康状况、疫情防控措施落实情况等相关信息。一旦发现与疫情有关的异常情况，必须第一时间向所在社区（村）报告。　　三、实施属地管理　　各区（功能区）要切实落实属地管理责任，按照市新型冠状病毒肺炎疫情防控指挥部关于分区分级防控要求以及本指引，有序推动本辖区餐饮单位复工复业。要加强对餐饮单位复工复业的工作指导，对复工复业中遇到的困难和问题，积极采取措施，推动协调解决，为稳步有序复工复业创造良好条件。对于复工复业后开展经营的餐饮单位，要督促其落实好新型冠状病毒肺炎疫情防控各项工作要求，做好后续防控工作，保障持续稳定安全经营。　　本指引适用于新型冠状病毒肺炎疫情期间，失效期另行规定。
最爱珠澳,:#珠海身边事#【#挂号攻略#珠海妇幼挂号方式有变，人民医院也有调整！街坊们快看！
香山网,:注意！珠海市妇幼保健院挂号方式有变！珠海市妇幼保健院全面恢复正常诊疗服务，但非急诊需要预约挂号！市妇幼保健院全面恢复正常诊疗，该院从3月1日开始全面恢复正常诊疗服务，并实行非急诊全面预约挂号。据悉，除急诊、发热门诊外，珠海市妇幼保健院所有门诊都实行网络、电话预约挂号。门急诊就诊及住院期间，每人原则上只允许有一人陪护。该院提醒，所有非急诊新入院患者必须接受新冠病毒核酸检测、血常规检查，必要时做胸部CT检查，排除新冠肺炎后安排入院。此外，该院还增加产科门诊抽血点，暂定于5号楼3楼名医门诊旁的活动室。此外，住院病人的超声检查地点有变，请就诊患者留意医院通知。据悉，该院将对发热门诊就诊的所有患者全部开展新冠病毒核酸检测，必要时胸部CT检查。其他门诊发现有流行病学史的患者也必须全部进行新冠病毒核酸检测。严格执行“一人一诊一室”。对于门诊慢性病患者，将会视患者病情和现有规定将其处方用量延长，并通过电话随访等多种方式加强远程指导。同时，急诊病人需要入院的优先安排入院，医务人员会做好一切必要的防护措施，严防医院内交叉感染。来源：珠海特区报#珠海##珠海身边事#
掌上珠海,:【注意！珠海市妇幼保健院挂号方式有变！】从3月1日开始，珠海市妇幼保健院全面恢复正常诊疗服务，并实行非急诊全面预约挂号。除急诊、发热门诊外，所有门诊都实行网络、电话预约挂号。门急诊就诊及住院期间，每人原则上只允许有一人陪护。所有非急诊新入院患者必须接受新冠病毒核酸检测、血常规检查，必要时做胸部CT检查，排除新冠肺炎后安排入院。此外，该院还增加产科门诊抽血点，暂定于5号楼3楼名医门诊旁的活动室。此外，住院病人的超声检查地点有变，请就诊患者留意医院通知。via.珠海特区报#珠海身边事##珠海生活#
新快报,:【#20岁小伙因害怕疫情拒绝治疗导致耳聋#】3月3日是全国爱耳日，但20岁的小陈却因为担心新冠肺炎，患有突发性耳聋却拒绝住院治疗，导致左耳听力损失严重，难以恢复。据悉，小陈年前因左耳听力下降到珠海市中西医结合医院就诊，医生检查后发现是突发性耳聋，告诉他需住院治疗，没想到小陈并没有来办住院手续。一周后再次来看门诊，他的听力已经下降得更厉害，医生再次要求他住院，但他因为担心新冠肺炎疫情影响安全，再次拒绝。遗憾的是，等他第三次看门诊时，左耳已经达到极重度。“一周内干预的效果就会好很多，”医生遗憾地说，近期接诊了不少这类因为疫情没有及时就医的患者，因为错过最佳治疗时机，而造成听力永久损害，或是留下耳鸣等后遗症。（新快报记者李红云）
巨蟹小考拉,:《作为四大经济特区之一的珠海市，为何是中国航展的举办地？》有问题，上知乎。http://t.cn/A67NABpy
科技日报,:【20岁小伙#因害怕疫情拒绝治疗致耳聋#】事发广东珠海，20岁小伙小陈过年前就因为左耳听力下降到珠海市中西医结合医院耳鼻喉科就诊，医生检查后发现是突发性耳聋，告诉他需要住院治疗，没想到他并没有来办住院手续。一周后再次来看门诊，他的听力已经下降得更厉害了，医生再次要求他住院，但他因为担心新冠肺炎疫情影响安全，再次拒绝了，医生苦口婆心的劝导都没效。遗憾的是，等他近期再次来看门诊时，左耳已经达到极重度了。“一周内干预的效果就会好很多。”该院耳鼻喉科主任陈刚遗憾地说。陈刚透露，近期接诊了不少因为疫情而错过最佳治疗时机的患者，十分可惜。他提醒，该院耳鼻喉科急诊是一直保留的，急症一定要及时就医，以免错过最佳干预时机。（@广州日报）
珠海市妇联,:#乡村振兴巾帼行动#【冲破疫情阴霾，创享e家喜获大奖！
珠海天气,:【珠海天气预报】受冷空气影响，预计未来三天我市气温将小幅下降，并伴有阵雨，天气转凉。展望周末阳光增多，气温逐步回升。温馨提示：近期海面风力较大，请注意海上交通安全；天气变化快，请注意适时增减衣物，谨防感冒。珠海市气象台3月3日下午发布http://t.cn/RXobCWG
金湾检察,#广东抗击新型肺炎#【连续14天！珠海无新增病例】据市卫健局消息，3月3日8：48，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月2日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院81例，现有在院病例16例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。
珠海交警,:#疫情在前交警不退#【珠海何时开学？中考会不会推迟？最新消息来了！
横琴检察,#广东抗击新型肺炎#【连续14天！珠海无新增病例】据市卫健局消息，3月3日8：48，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月2日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院81例，现有在院病例16例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。
珠海市妇联,:#抗击疫情巾帼在行动#【珠海全市餐饮店可以开放堂食了吗？最新指引刚刚发布！
香山网,:珠海餐饮店可以堂食了吗？指引刚刚发布！速看！珠海发布了珠海市关于推动餐饮业有序复工复业的指引（试行）！珠海为积极稳妥推动餐饮业有序复工复业，特制定本指引。高风险地区暂停聚餐活动，要求各类餐饮单位暂停堂食服务。鼓励餐饮企业在做好疫情防控的前提下，创新服务模式，提高服务水平，增加外卖供应点。中风险地区各类餐饮单位限制堂食服务。低风险地区，正常提供餐饮服务，要求餐饮单位落实好各项疫情防控措施。本指引适用于新型冠状病毒肺炎疫情期间，失效期另行规定。来源：珠海发布#珠海##珠海身边事#
香洲饭米粒,:【为我们的共同坚持骄傲，珠海迎来14天零新增！不松劲，再坚持！】据市卫健局消息，3月3日8:48，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。为我们的共同坚持骄傲，珠海迎来14天零新增！不松劲，再坚持！
珠海校园事,:珠海初三学生，今年中考报名时间将延后！受新冠肺炎疫情影响，今年珠海中考报名及考试是否延期？3月2日，珠海市教育局局长林日团表示，珠海2020年中考报名时间同比往年将延后。#珠海爆料##校园#珠海
珠海香洲,:【为我们的共同坚持骄傲，珠海迎来14天零新增！不松劲，再坚持！】据市卫健局消息，3月3日8:48，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。为我们的共同坚持骄傲，珠海迎来14天零新增！不松劲，再坚持！
大湾区文化,:#大湾区身边事#【近日，中大五院全面恢复开诊！但是要这样做…】从中山大学附属第五医院获悉，根据珠海市目前的疫情现状及广东省卫健委关于恢复日常诊疗服务的精神，为逐步满足广大患者医疗需求，3月2日起，中大五院将有序恢复门诊服务。@最IN珠海@最美珠海@珠海指南http://t.cn/RTFVschhttp://t.cn/A67CwHrF
珠海海洋预报台,:【海岛预报】明日珠海市主要海岛海洋环境预报
掌上珠海,:【刚刚发布！珠海全市餐饮店最新堂食指引！】珠海市新型冠状病毒肺炎疫情防控指挥部办公室3月1日印发了《珠海市关于推动餐饮业有序复工复业的指引（试行）》，详见下文。via.珠海市新型冠状病毒肺炎疫情防控指挥部办公室#珠海身边事##珠海生活##新型冠状病毒#
珠海特区报,:【珠海市关于推动餐饮业有序复工复业的指引（试行）】为贯彻落实《企事业单位复工复产疫情防控措施指南》（国发明电〔2020〕4号文）、《广东省应对新型冠状病毒肺炎疫情分区分级防控工作指引（试行）》（粤防疫指办明电〔2020〕33号文）、《广东省餐饮服务业新冠肺炎防控工作指引》（粤卫疾控函〔2020〕16号文）以及《关于做好企业安全有序复工复产工作的通知》（珠防疫指办〔2020〕28号文）等文件要求，积极稳妥推动餐饮业有序复工复业，特制定本指引。一、分区分级防控各区（功能区）应对照市新型冠状病毒肺炎疫情防控指挥部对各区（功能区）分级防控的评估结果，及时调整本区域内餐饮单位（含企业、个体户等，下同）复工复业工作措施。其中：（一）高风险地区。1.暂停聚餐活动，要求各类餐饮单位暂停堂食服务。2.鼓励餐饮企业在做好疫情防控的前提下，创新服务模式，提高服务水平。增加外卖供应点，增强外卖供应能力，创新便民服务方式，推广确保食品安全的“不接触”配送方式。大力推行订餐自取、团餐直送、第三方平台配送等多种经营模式，满足复工复产期间不断增加的餐饮消费需求。（二）中风险地区。各类餐饮单位限制堂食服务。限制措施如下：1.用餐人员进入餐饮经营单位前必须测量体温，体温超过37.3℃或出现有发热、干咳、打喷嚏等症状的，一律不允许进入餐饮场所，一旦发现应立即登记造册并及时向属地医疗机构报告，并提醒其及时到就近医疗机构发热门诊就诊。2.在疫情防控解除前，餐饮服务企业禁止接待大规模聚餐活动。3.有条件的餐饮单位，用餐区出入口分开设置。4.大堂餐桌实际使用数量不超过平时的50%，不同餐桌之间距离不小于1米。5.每桌每批次顾客用餐后立即对桌椅进行消毒，再安排下一批次，间隔不低于10分钟。6.长条桌同排顾客隔位相坐，对面错位相坐；圆桌顾客隔位相坐，面对面距离不少于1米。7.不得拼桌。8.每桌登记至少一名就餐客人的姓名和联系方式。9.包房（包厢）方面，面积较小的，只开一桌，且不得拼桌，人数不超过10人。两桌以上的包房（包厢），实际使用数量不超过平时的50%，不同餐桌之间距离不小于1米。（三）低风险地区。正常提供餐饮服务，要求餐饮单位落实好各项疫情防控措施。二、复工复业条件各区（功能区）要落实属地管理，各类餐饮单位具备以下条件的，应有序推动复工复业。（一）防控机制到位。要求各餐饮单位落实疫情防控主体责任，成立疫情防控工作小组，有专门机构和人员负责制定疫情防控期间企业经营防护方案和实际执行措施。要求餐饮企业以门店为单位，由店长（店主）全面负责，建立和完善工作制度，把防控责任落实到部门和个人。（二）员工排查到位。要求各餐饮单位做好员工排查登记，掌握复工复业每名员工健康状况、提前排查员工来源地和近14天内活动情况，劝导仍在湖北、温州的员工暂不返回。对经湖北、温州来珠的员工要隔离14天，观察无恙后方可上岗。（三）设施物资到位。要求各餐饮单位在复工复业前准备充足的防护物资，包括防护必需的普通级别防护口罩、医用酒精/消毒水、体温探测仪等疫情防控物资，保障工作人员日常防护需求。（四）场所管理到位。要求停业后首次恢复堂食的餐饮单位对营业场所、设备设施、餐用具等进行一次彻底的清洗消毒。日常运营期间，必须严格执行《广东省餐饮服务业新冠肺炎防控工作指引》、《珠海市复工企业新型冠状病毒肺炎防控工作技术指引》（珠卫防疫指办〔2020〕24号文）、《居家和公共场所卫生间预防新型冠状病毒感染的肺炎疫情卫生清洁消毒指引》（粤卫规划函〔2020〕7号文）有关要求，每天对就餐场地、保洁设施、人员通道、电梯间等场所设施进行消毒保洁。每2小时要对洗手间内所有便器洁具、各类扶手和把手、触摸式冲水按钮、洗手台和水龙头等重点部位进行消毒一次，做好相关消毒记录并每日公示消毒情况。洗手间内要备齐洗手液、手纸等便民服务用品，要确保洗手设备正常运行，同时保持良好通风，必要时可加装排气设备，强制排气。保持食品加工场所和就餐场所的空气流通，定期对空气过滤装置进行清洁消毒。每桌客人就餐完毕离开后需对桌椅进行清洗消毒，给予每桌客人提供双筷位勺或公筷公勺餐具，防止交叉污染。（五）宣传教育到位。要求各餐饮单位做好疫情防控知识宣传和培训，要在经营场所显著位置设置新型冠状病毒肺炎的宣传专栏，告知进店顾客需配合和注意的有关事项，如张贴禁止接待大规模聚餐活动的指示牌等。（六）安全生产管理到位。要求各餐饮单位要切实落实安全生产主体责任，加强安全生产管理，确保安全责任、安全培训、安全投入、安全管理和应急救援到位。员工人数10人（含本数）以上的餐饮单位，复工复业前落实召开一次专题会议、制定一套复工复业方案、组织一次全面检查、召开一次安全教育、召开一次班前会议“五个一”管理措施；员工人数10人以下的餐饮单位，复工复业前落实好上述安全生产责任要求。不具备安全生产条件的，不得复工复业。（七）信息报送到位。要求各餐饮单位积极配合属地政府对复工复业的检查、抽查工作，如实报告复工安排、人员排查、员工健康状况、疫情防控措施落实情况等相关信息。一旦发现与疫情有关的异常情况，必须第一时间向所在社区（村）报告。三、实施属地管理各区（功能区）要切实落实属地管理责任，按照市新型冠状病毒肺炎疫情防控指挥部关于分区分级防控要求以及本指引，有序推动本辖区餐饮单位复工复业。要加强对餐饮单位复工复业的工作指导，对复工复业中遇到的困难和问题，积极采取措施，推动协调解决，为稳步有序复工复业创造良好条件。对于复工复业后开展经营的餐饮单位，要督促其落实好新型冠状病毒肺炎疫情防控各项工作要求，做好后续防控工作，保障持续稳定安全经营。本指引适用于新型冠状病毒肺炎疫情期间，失效期另行规定。详见链接：http://t.cn/A679CmfG
斗门天气,:预计，未来6小时我区天气阴天到多云，气温20～24℃，东到东南风2～3级，相对湿度60%～80%。珠海市斗门区气象台03月03日11时00分发布http://t.cn/EbghzHg
消散于建安十五年,:感谢珠海市政府！
珠海政府网,:【《关于征求《珠海市内外经贸发展专项资金（加工贸易创新发展事项）管理实施细则》的公平竞争审查意见的公告】详戳→http://t.cn/A679oXnJ#珠海身边事#@珠海商务
珠海政府网,:【《珠海市预拌混凝土和预拌砂浆管理规定》《珠海市建筑节能办法》《珠海市新型墙体材料应用管理办法》等3部市政府规章的部分条款予以修改】详戳→http://t.cn/A679SDn2#珠海身边事#
珠海生态环境,:【珠海市生态环境局金湾分局助力企业复工复产】为全面贯彻落实市委、市政府关于疫情防控和企业复工复产的决策部署，珠海市生态环境局金湾分局在全力抓好疫情防控工作的同时，重点加强对企业的环境监管与指导服务，深入了解企业遇到的问题和发展需求，以实际行动助力企业复工复产。金湾分局领导班子带队前往辖区复工企业，进行现场检查和座谈，积极发挥领导“头雁效应”和党员“模范先锋”作用，带头助力辖区企业复工复产。http://t.cn/A679xlx9
珠海政府网,:【可反复使用的纳米银抗菌口罩、纳米银消毒抗菌系列产品、负压救护车、防疫巡检机器人、智能采血管理和防护系统、为雷神山医院无偿提供的医护设备……这些珠海科技企业真厉害！】详戳↓#珠海身边事##百城行动战疫情#（via.珠海市科技创新局）
珠海政府网,:【珠海市民政局“四全”确保“一老一小”服务机构疫情防控到位】截至2月25日，完成全市23处“一老一小”服务机构所有工作人员、服务对象核酸检测工作，共计检测排查2472人，其中工作人员812人，服务对象1660人。详戳下图#珠海身边事##百城行动战疫情#@珠海民政
珠海政府网,【珠海推进暂退旅行社旅游服务质量保证金】近日，市文化广电旅游体育局对206家旅行社展开暂退旅游服务质量保证金工作。在疫情防控期间通过“网上办”“快递办”等“不见面”的方式办理，采取电话、微信、邮件等多渠道联系，加快为企业纾解困难。截至2月16日上午共收到105家旅行社暂退质保金申请，审核完成91家旅行社批复文件。@珠海市文化广电旅游体育局#广东抗击新型肺炎##百城行动战疫情#
珠海电台音乐广播FM915,【珠海天气预报】预计今天我市以多云为主；4-6日受冷空气影响，气温小幅下降，并伴有几阵雨，天气转清凉。展望周末阳光增多，气温逐步回升。温馨提示：近期海面风力较大，请注意海上交通安全。珠海市气象台3月3日早晨发布http://t.cn/RXobCWG
金湾发布,:#全国多地无新增确诊病例#【连续14天！珠海无新增病例】据市卫健局消息，3月3日8：48，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月2日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院81例，现有在院病例16例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。
澳亚卫视,:#澳门身边事##澳门万象#【管控措施严格局部暴发微乎其微】日前，香港特区政府渔农自然护理署发布消息称，一条居于新冠肺炎确诊者家中的狗对有关病毒测试呈弱阳性反应，对此，珠海市人民医院医务科副主任褚靖表示，目前没有足够证据证明宠物会增加新冠肺炎感染的风险。　　香港方面日前发布消息称，一条居于新冠肺炎确诊者家中的狗对有关病毒测试呈弱阳性反应，对此，珠海市人民医院医务科副主任褚靖表示，在国家公布的传播途径上并没有提到与宠物相关的传播途径，单从个例来判断宠物具有传播性过于武断。　　目前，广东省疫情情况趋于稳定，但复工人员的返回将是一个较大的威胁，对于是否会因人流密集，出现局部暴发的可能，褚靖表示，在国家严格的管控措施和市民的高度重视下，局部暴发的可能性微乎其微。　　近段时间以来，韩国与日本的疫情形势越发严峻，对于我国的防控应该采取如何的措施，褚靖表示，韩国的冠状病毒感染密度较大，我国应该采取与湖北省防控策略同级的防控措施，日本冠状病毒感染密度相对较小，应该采取与其他省份相同等级的防控措施。http://t.cn/A679LqGx
深圳特区报,:【3月2日广东无新增确诊病例，新增出院47例】据广东省卫健委官方网站消息，截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。http://t.cn/A67KkvFa
南方都市报,:【广东无新增】截至3月2日24时，广东全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（广东卫健委）http://t.cn/A67KFpD6
羊城晚报,:【3日#广东无新增确诊病例#，新增出院47例】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
珠海市技术性贸易壁垒预警平台,:【珠海天气预报】预计今天我市以多云为主；4-6日受冷空气影响，气温小幅下降，并伴有几阵雨，天气转清凉。展望周末阳光增多，气温逐步回升。温馨提示：近期海面风力较大，请注意海上交通安全。珠海市气象台3月3日早晨发布
斗门天气,:预计，未来6小时我区天气阴天间多云，气温19～23℃，东到东南风2～3级，相对湿度60%～80%。珠海市斗门区气象台03月03日08时22分发布http://t.cn/EbghzHg
珠海天气,:【珠海天气预报】预计今天我市以多云为主；4-6日受冷空气影响，气温小幅下降，并伴有几阵雨，天气转清凉。展望周末阳光增多，气温逐步回升。温馨提示：近期海面风力较大，请注意海上交通安全。珠海市气象台3月3日早晨发布http://t.cn/RXobCWG
明珠慈善,:感谢中共珠海市室内装饰行业协会支部委员会支持社区防疫工作珠海
香洲饭米粒,:【珠海权威回应：压缩暑期保障总课时？应届毕业生就业难？】为及时有效回应社会关切，珠海市于3月2日上午举办珠海市第十一场疫情防控工作网络发布会（教育专场），介绍我市教育领域疫情防控工作相关情况。珠海权威回应：压缩暑期保障总课时？应届毕业生就业难？
梅州新闻联播,:【五华：爱心企业家捐赠价值72万元医疗防护物资】今天上午，珠海市隆凯医疗设备有限公司、广州汇友生物科技有限公司联合向五华县捐赠价值40万元的84消毒液等医疗防护物资；五华谷城投资有限公司向该县捐赠价值32万元的防护物资，支持家乡抗击疫情。#梅州身边事##新型冠状病毒#
珠海西部资讯,:#斗门新闻#2020年03月02日，本节目由珠海市斗门区融媒体中心制作。珠海西部资讯的微博视频
珠海政府网,:【珠海市人力资源和社会保障部门新冠肺炎疫情防控期间援企稳岗政策问答】详戳下图#珠海身边事##百城行动战疫情#@珠海人社
珠海政府网,:【珠海出台住房公积金阶段性政策支持企业复工复产可缓缴、补缴、停缴、延期、降比例、放宽限】详戳下图#珠海身边事##百城行动战疫情#（via.珠海市住房公积金管理中心）
珠海市妇联,:#抗击疫情巾帼在行动#【爱心中转站！3万物资从妇联流向四面八方！
珠海政府网,:【关于新型冠状病毒肺炎疫情期间做好门诊统筹定点机构医疗保险服务的通知】详戳下图#珠海身边事##百城行动战疫情#（via.珠海市社会保险基金管理中心）
珠海政府网,:【珠海市第十一场疫情防控工作网络发布会（3月2日）】网友提问：请问香洲空中课堂是否能通过电视直播收看？香洲区教育局局长朱秀湖：因为电视直播需要经过广电总局的审批，故香洲空中课堂不能通过广电、电信、移动和联通等电视网络直播，学生通过电视网络只能收看我区提供的“一师一优课，一课一名师”获得部优课的部分视频课例。学生家长可以用投屏技术解决学生利用大屏幕电视收看香洲空中课堂直播课程的问题。
