lanfanqiema,“网课请用Vapp上吧”
蚬子酱的OOR,:#人民文娱发文呼吁理性追星#@微博管理员@微博小秘书所以人民文娱被举报成功是什么意思？？？哪句话伤害了谁？？微博公约是啥？？？解释一下。哪句话攻击了谁？传播了什么有害东西？发个声明？？
七月临川,#人民文娱发文呼吁理性追星#？你号没了
真岛百合子,:#人民文娱发文呼吁理性追星#卧槽人民文娱居然真没了，点进去就违反社区公约那几个字了
中国传媒社,:#香港[超话]#【《联合国国际货物销售合同公约》建议适用于香港的公众谘询展开】律政司今日（三月二日）发表关于《联合国国际货物销售合同公约》（《销售公约》）建议适用于香港特别行政区的谘询文件（建议），邀请社会各界人士在二○二○年九月三十日或之前就有关建议提交意见。　　《销售公约》是一项订明统一规则的条约，规管该公约范围内的国际货物销售合同的成立、履行及违约时的补救办法。该公约旨在为国际货物销售提供一个现代、统一、公正的制度，并藉此使商业交易具有确定性及降低交易成本。具体而言，该公约适用于营业地在不同国家的当事人之间所订立的货物销售合同，但相关的当事人有选择完全或部分不适用该公约的权利。《销售公约》现有93个缔约国，包括不少「一带一路」的沿线国家，而这些缔约国各有不同的法律传统，经济发展水平不一，共占全球经济总值逾三分之二。　　为搜集及广泛了解各界持份者就有关事项的意见，律政司今日就该建议展开公众谘询。谘询文件及相关资料已上载律政司的网页www.doj.gov.hk/chi/public/CISG.html。　　律政司欢迎公众就谘询文件中提及的事项提出意见。请将意见（信函标记为《销售公约》）在二○二○年九月三十日或之前以下述方式提交予国际法律科（条约法律组）：邮寄至香港中环下亚厘毕道18号律政中心中座7楼国际法律科（条约法律组）；传真至39184791；或电邮至ild@doj.gov.hk。
VIP88896961,:粉丝奖励制度，比如偶像公约，你让工作室出不行吗？每月发点偶像福利都够甜头了，打来打去那些都踢出，学学王老爹，我不管你们这些屁事，割肉就割肉割肉也不能进垃圾股里跟小三流抢饭碗
Candice想吃糖,#中华男性魅力时间#“中国女孩只能由我们中国男孩保护”[已更新被辱骂的网友发表的原文，p10拉到最下面]麻烦有的人收起你的受害者有罪论，谢谢。
美丽公约,:美丽公约为爱发声--战胜疫情创意短视频公益展播活动进行中。视频来自成都市青白江区华严小学王娅熹9岁因为有你，中国更美！#抗击新型肺炎我们在行动#@微公益美丽公约的微博视频
记清游,@AllenXie官方微博以为这几天lfmm不搭理你了，就又开始作妖了？不道歉还要继续删评拉黑？谢谢让我认识了这么不高级的品牌官博，一定会好好替你宣传
X小小小战赞赞赞DAY,:#美丽公约守护第三极#予人为乐，与己而乐。我在“美丽公约守护第三极”项目捐款成功！让我与@9u酱一道成为传递爱与快乐的使者。@中国少年儿童文化艺术基金会美丽公约守护第三极
仕君95,:#微博辟谣#此微博用户利用微博热点事件随意带他人姓名辱骂、造谣，并利用明星大名对其造成严重的人身攻击，影响了社区网络环境以及本人微博使用观感，违反了《微博社区公约》第十九条第（二）款、第二十六条、四十二条相关规定，请贵方严肃处理，谢谢！.
抱怀垂怜z,:#微博辟谣#此微博用户利用微博热点事件随意带他人姓名辱骂、造谣，并利用明星大名对其造成严重的人身攻击，影响了社区网络环境以及本人微博使用观感，违反了《微博社区公约》第十九条第（二）款、第二十六条、四十二条相关规定，请贵方严肃处理，谢谢！.
开小号自嗨干你屁事,笑死
余年有肖,:#美丽公约守护第三极#与爱同路，让爱回家。我在“美丽公约守护第三极”项目捐款成功！愿我和@9u酱一起放大爱的力量！@中国少年儿童文化艺术基金会美丽公约守护第三极
抱怀垂怜z,:#微博辟谣#此微博用户利用微博热点事件随意带他人姓名辱骂、造谣，并利用明星大名对其造成严重的人身攻击，影响了社区网络环境以及本人微博使用观感，违反了《微博社区公约》第十九条第（二）款、第二十六条、四十二条相关规定，请贵方严肃处理，谢谢！.
Midnight_Walker,:违反微博公约无法发出
阿毛冲冲鸭,:mmp到底哪违反公约
如若梦依然,:我妹把语文网课外放，是个女老师“......”（根据微博公约无法发送）我：你说你🐎呢？
宇宙快乐经销商,:我也有违反公约这一天
浪飞jj天,:微博社区公约是个什么好东西呀好喜欢呀我上一条微博真的是太不好了居然违反公约了对不起呀
loveblinky_,:文字又违规了？？？下一步我将精读《微博社区公约》
RMonicc,#超话小秘书[超话]#@微博小秘书@微博客服@超话小秘书@微博管理员@超话社区您好，我要举报黑超话【给奶爸买奶粉超话】👉#给奶爸买奶粉[超话]#（不要点开）该超话由黑粉恶意组织申请开通，申请人及汇集粉丝皆为黑粉，旨在借由该超话发布对艺人不利的内容，此行为严重危害艺人的名誉权和公众形象，危害未成年网友身心健康。根据《话题管理规定》严重影响了微博社区环境和网络环境，违反了《微博社区公约》的多项规定。现请贵方尽快采取措施，关闭此类超话，保护微博的良好环境，谢谢！
麻辣火锅1106,:#美丽公约守护第三极#予人为乐，与己而乐。我在“美丽公约守护第三极”项目捐款成功！让我与@9u酱一道成为传递爱与快乐的使者。@中国少年儿童文化艺术基金会美丽公约守护第三极
硅谷王川,:美国的第一次经济大萧条，发生于1819年。起因是开始政府银行贷款卖土地给老百姓，当时因为棉花价格高，很多人大量举债去买地和其它材料。但是1815年拿破仑战争结束，维也纳公约签订后，欧洲农业迅速恢复，棉花价格大跌。1818年，棉花价格是一磅31美分，1819年跌了一半，1831年跌到一磅8美分。地价暴跌，很多人赖账，费城的房地产价格下跌75%。很多人成为债务奴隶。
他們說好吃,:当你想说的说不出的时候是最压抑的时候从12年到现在越来越压抑，希望这一个十年过去会有好转，好怀恋02年以后的十年，那时候我觉得我活的比现在相对有自尊和人性，那十年我觉得我自己活的像个人，希望以后所有的人们越来越好，我爱中国#微博社区公约##武汉加油#无锡
-18棟,:我都不知道现在的敏感点到底在哪里，我上一篇微博被提示了违反啥啥啥公约不能发送，改了十遍也是不能发送，我他妈讲自己的恋爱心得都他妈踩线，干脆直接说，开口有罪得了，真是越活越回去，外公以前和我说他小时候的事，看样子还得再来一次，文字芋嘛
咋滴就爱碎碎念,:#微博辟谣#此微博用户利用微博热点事件随意带他人姓名辱骂、造谣，并利用明星大名对其造成严重的人身攻击，影响了社区网络环境以及本人微博使用观感，违反了《微博社区公约》第十九条第（二）款、第二十六条、四十二条相关规定，请贵方严肃处理，谢谢！.
_每年必改一个昵称,:违反微博社会公约！？这是啥子鬼？上周六的微博发不出去？
丿焉翰管家,:和平吵架公约】①澄清双方想法；“你怎么了”你却逞强说……远比翻旧账明智、③触及双方硬伤可能就是触及底线……聪明女人不轻易对感情进行危险考验。不打断对方：你认为适用吗……搞清对方想要的是化解争吵第一步。泰州·温德姆酒店
抱怀垂怜z,:#微博辟谣#此微博用户利用微博热点事件随意带他人姓名辱骂、造谣，并利用明星大名对其造成严重的人身攻击，影响了社区网络环境以及本人微博使用观感，违反了《微博社区公约》第十九条第（二）款、第二十六条、四十二条相关规定，请贵方严肃处理，谢谢！.
Cheryle0506,@baekhyunee7边伯贤24小时直播证明你就在家里
喂喂苇苇,:請問我哪個詞觸犯了微博公約呢@微博小秘书
余璜辰心安居士,:#武汉加油#(20021)抱歉，因此内容中存在违反相关法律法规或《微博社区公约》的信息，无法进行当前的操作。
四时怦然,:#微博辟谣【人身攻击】此微博用户发表大量侮辱性言论，人身攻击演员本人，恶意丑化演员，用词低俗恶劣、淫秽不堪，严重侵害了艺人的名誉权，影响未成年人身心健康，已经违反了《微博社区公约》第十九条第二款、第二十六条、第四十二条相关规定，请务必严肃处理，谢谢！#.
零八零五夏末心动,:#微博辟#微博辟谣#【人身攻击】此微博用户发表大量侮辱性言论，人身攻击演员本人，恶意丑化演员，用词低俗恶劣、淫秽不堪，严重侵害了艺人的名誉权，影响未成年人身心健康，已经违反了《微博社区公约》第十九条第二款、第二十六条、第四十二条相关规定，请务必严肃处理，谢谢！#.
限定抹茶红豆,#超话小秘书[超话]#@微博小秘书@微博客服@超话小秘书@微博管理员@超话社区您好，我要举报黑超话【给奶爸买奶粉超话】👉#给奶爸买奶粉[超话]#（不要点开）该超话由黑粉恶意组织申请开通，申请人及汇集粉丝皆为黑粉，旨在借由该超话发布对艺人不利的内容，此行为严重危害艺人的名誉权和公众形象，危害未成年网友身心健康。根据《话题管理规定》严重影响了微博社区环境和网络环境，违反了《微博社区公约》的多项规定。现请贵方尽快采取措施，关闭此类超话，保护微博的良好环境，谢谢！
不知名某某酱,#JO1[超话]#✨#JO10304出道快乐#200301|官方油管更新【中字】特别采访映像出道单曲『PROTOSTAR』2020.03.04发售档源：大坨翻译：森特碗糕校对：砂糖时轴：春樱泠瑞压制：春樱🎐【出道单曲情报】：http://t.cn/A6vy5Msv🕊【长期招新】：http://t.cn/AiDJOoSW🍁【微博粉丝群】：http://t.cn/A6hRaGEOhttp://t.cn/A67al4XM
凯西公举,:#粉红记忆[超话]##电影##冰峰暴[电影]##冰峰暴#因《喜马拉雅公约》引发的暴动，一场阴谋，尽管翼小队心存疑虑，因陷入财务困难，接受了珠峰引路的任务，严酷的雪山之巅杭州凯西公举的微博视频
华中师范大学计算机学院,:#小猿晚安##小猿晚安#周公约小猿去看蝴蝶喽！晚安，小可爱们
KINON__,#超话小秘书[超话]#@微博小秘书@微博客服@超话小秘书@微博管理员@超话社区您好，我要举报黑超话【给奶爸买奶粉超话】👉#给奶爸买奶粉[超话]#（不要点开）该超话由黑粉恶意组织申请开通，申请人及汇集粉丝皆为黑粉，旨在借由该超话发布对艺人不利的内容，此行为严重危害艺人的名誉权和公众形象，危害未成年网友身心健康。根据《话题管理规定》严重影响了微博社区环境和网络环境，违反了《微博社区公约》的多项规定。现请贵方尽快采取措施，关闭此类超话，保护微博的良好环境，谢谢！
chppher,#超话小秘书[超话]#@微博小秘书@微博客服@超话小秘书@微博管理员@超话社区您好，我要举报黑超话【给奶爸买奶粉超话】👉#给奶爸买奶粉[超话]#（不要点开）该超话由黑粉恶意组织申请开通，申请人及汇集粉丝皆为黑粉，旨在借由该超话发布对艺人不利的内容，此行为严重危害艺人的名誉权和公众形象，危害未成年网友身心健康。根据《话题管理规定》严重影响了微博社区环境和网络环境，违反了《微博社区公约》的多项规定。现请贵方尽快采取措施，关闭此类超话，保护微博的良好环境，谢谢！
幻夜星痕,:建议联合国制订《全面禁止生物基因武器研制发展世界公约》，《全面禁止烈性病毒细菌非法研究试验世界公约》，并且成立相关监督委员会，严格实行各种监察措施，对一些国家的P4实验室进行管控，以防一些图谋不轨的国家，在和平时期不动声色、无比阴险的对其它国家投毒下黑手，用来打击破坏对方国家经济与社会安定，以达到其不可告人的邪恶用心。
水原娴娴子,:35你的一位公约呢
柠檬还有柠檬汽水,:人性本恶会轻蔑那些"弱者"不然为什么需要类似于"残疾人公约"出现来保护
許倩emily,:刚刚告白帝君的话，被提醒违反公约，不能发送，无语，睡觉睡觉，还有四天
·-两颗西柚-·,:📕（八）「只要有想见的人就不是孤身一人」#但愿余生都是你[音乐]#（这一周不知道怎么回事微博说我内容违反安全公约？？我也很迷惑怎么改都不行我还是把它放评论里好了）昌邑市
黄经345度惊蛰,:#超话小秘书[超话]#您好！我要举报超话http://t.cn/EbgosYp，该超话发布涉黄低俗内容。此类行为已经严重侵犯了艺人田柾国的名誉权，危害未成年网友身心健康。根据《话题管理规定》严重影响了微博社区环境和网络环境，违反了《微博社区公约》的多项规定。现请贵方尽快采取措施，关闭此类超话，保护微博的良好环境。
西安老方A,:#方老视点[超话]##微博辟谣#（转）网传“伊朗官员不戴口罩探望患新冠肺炎副总统”的照片引发关注。经@伊朗驻华大使馆辟谣指正照片实际拍摄于2014年，当时副总统因车祸受伤住院。现根据《微博社区公约》对发布此类不实信息的@伊万卡粉丝团@思考的老男人@深度News最早传播的三个账号进行禁言90天的处罚，@北京人民新闻@德州云中心@青训观察员等12个账号进行禁言15天的处罚。
丽云新敏,:你于2020-03-0115:51:53发表的评论内容"无聊至极，就喜欢他永远叫XX"因被@XXXXX呢进行评论删除并拉黑，你的账号@丽云新敏现已被停止评论3天。你可以通过在线答题来自助解禁，答题地址：http://t.cn/EZcPLdY功能恢复后请在社区公约范围内发布评论内容，与博主们友善互动。
-Megustas-tu,:我就想问这几个字哪里违反你的微博公约？？？
匪我思且_Sophie,【少女时代安可舞台十四合一精华版】嘿嘿嘿~各位i安可舞台们在吗！“所以现在大家默认安可舞台不表演了是吗？”“因为腿，我当年都默认安可舞台等于打歌舞台走位都不能丢的那种！”少女时代出道至今拿了百余个一位，得奖时有过泣不成声、有过嗨翻天，但无一例外的是每次都把安可舞台表演成打歌舞台！早期很多舞台都因为电视台急着进广告而只有几秒，我在夹缝中整理出较完整的十四首歌的安可舞台。整天盯着舞台开麦不开麦、垫音不垫音莫得意思，不妨直奔安可舞台——阿拉腿能不能唱、会不会舞大家都心照啦～“喂！不带这样欺负人的吼！”http://t.cn/A67qRzVi
-Megustas-tu,:我干了什么？？？为什么说违规了？？？这些字是咋了？？？你微博有毒吧！我违反你什么公约？？？
Sereinpetrichor,:#标准泰妍语[超话]#“我要给大家做的公约是：我会长长久久地唱歌下去的，不会走远的，在大家身边，努力唱歌，努力做音乐”——金泰妍
一只可爱的鱼了,:现代人类应该在接受网络礼仪教育拥有一定逻辑思考能力之后通过网络文明公约考试之后才被允许上网
槇島X,:那顺手推荐一下《抱歉，因此内容中存在违反相关法律法规或《微博社区公约》的信息，无法进行当前的操作。》
哦呼-哦呼-照桥心美,:编者按：本篇错误的中国汉字奶形势所逼，翔见微博管理社区公约
_Block,:欸，你绝不能指望靠道德来约束任何群体或个人，从来都是。谈道德，共识，公约，是实在没办法了的绝症病人煎几副中药吃吃
因故滑倒__,:网上学的词，规训。这是大型规训蛆的实验。ps:抱歉此内容包含违反公约的信息无法操作
心脏起搏器快要失灵,:抱歉，因此内容中存在违反相关法律法规或《微博社区公约》的信息，无法进行当前的操作。我还是要说粉圈思维，操你大爷肖战粉丝做个人吧
现在是凌晨三点钟_,:兼听则明谨言慎行#这才应该是上网公约
和菜头,:定向爆破他人停车场和粮仓是恐怖主义行动。恐怖主义行动不受国际公约保护。既然谋求现实伤害，那么就应该感受一下什么是现实，什么是伤害。
刘呀刘棒棒,:#COP25绿色WE来[超话]#COP25中国的态度COP25开幕前夕，生态环境部副部长赵英民在国新办举行的新闻发布会上表示，联合国气候变化框架公约第25次缔约方大会是一次承上启下的重要会议，坚持绿色低碳发展，已经成为潮流和趋势。这次大会主要有四个任务需要重点解决：一是努力完成《巴黎协定》实施细则遗留问题的谈判；二是推动资金问题取得积极进展；三是做好2020年前行动和力度的盘点；四是坚持发出支持多边主义的强烈政治信号。赵英明表示，中国作为最大的发展中国家，始终坚持支持多边主义，立足国情，百分之百落实自己的承诺。我们愿同各方努力，推动大会取得成功，为《巴黎协定》全面有效实施奠定坚实的基础
桃桃帅气又可爱,#小小的追球##保护生物多样性#《联合国生物多样性公约》缔约方大会第十五次会议将于2020年在昆明举行，为了响应此次会议，追球团成员@热血黄子韬@王彦霖来到西双版纳原始雨林中收集珍贵的兰科种子样本，放入中国西南野生生物种质资源库。生物多样性的保护，比我们想象的要严峻得多，甚至有很多物种在我们还没来得及认识它们的时候，就已经灭绝了，但愿通过"追球团"和每一个你的努力，我们能留住更多即将消逝的美好
想要变勇敢的小刘,【少女时代安可舞台十四合一精华版】嘿嘿嘿~各位i安可舞台们在吗！“所以现在大家默认安可舞台不表演了是吗？”“因为腿，我当年都默认安可舞台等于打歌舞台走位都不能丢的那种！”少女时代出道至今拿了百余个一位，得奖时有过泣不成声、有过嗨翻天，但无一例外的是每次都把安可舞台表演成打歌舞台！早期很多舞台都因为电视台急着进广告而只有几秒，我在夹缝中整理出较完整的十四首歌的安可舞台。整天盯着舞台开麦不开麦、垫音不垫音莫得意思，不妨直奔安可舞台——阿拉腿能不能唱、会不会舞大家都心照啦～“喂！不带这样欺负人的吼！”http://t.cn/A67qRzVi
美丽公约,:美丽公约为爱发声--战胜疫情创意短视频公益展播活动进行中。视频来自重庆市荣昌区后西小学李科浚8岁向一线交警的爸爸致敬因为有你，中国更美！#抗击新型肺炎我们在行动#@微公益http://t.cn/A67xqHOh美丽公约的微博视频
美丽公约,:美丽公约为爱发声--战胜疫情创意短视频公益展播活动进行中。视频来自重庆市荣昌区后西小学彭宇星9岁向家族中奋战在一线的医务人员长辈们致敬因为有你，中国更美！#抗击新型肺炎我们在行动#@微公益美丽公约的微博视频
美丽公约,:美丽公约为爱发声--战胜疫情创意短视频公益展播活动进行中。视频来自四川省成都列五中学邓皓13岁自制《幸福馒头》送给一线逆行者因为有你，中国更美！#抗击新型肺炎我们在行动#@微公益美丽公约的微博视频
桃桃帅气又可爱,#小小的追球##保护生物多样性#《联合国生物多样性公约》缔约方大会第十五次会议将于2020年在昆明举行，为了响应此次会议，追球团成员@热血黄子韬@王彦霖来到西双版纳原始雨林中收集珍贵的兰科种子样本，放入中国西南野生生物种质资源库。生物多样性的保护，比我们想象的要严峻得多，甚至有很多物种在我们还没来得及认识它们的时候，就已经灭绝了，但愿通过"追球团"和每一个你的努力，我们能留住更多即将消逝的美好
西河老猫,#保护野生动植物[超话]#兰花虽美，但它属于大自然的馈赠，不可任意践踏。而且很多兰花都属于保护植物，随便采挖就有可能涉嫌违法。该兰花是否涉保？求专业人士来科普。同时希望主播们学好才艺表演，靠这种破坏生态环境吸粉不可取，甚至会付出法律代价。@新浪云南@云岭森警@云南郝大叔@云南网警巡查执法@红河森警@植物人史军@物种日历@著名网黄猫日@o阿蒙o@开水族馆的生物男@黄老邪卍@华美极乐鸟@反盗猎重案组@冈瓦纳http://t.cn/A6hnTiXq
嫩黄君,:#超话小秘书[超话]#您好！我要举报超话【#Taeun夫妇[超话]#】，该超话此前发布大量涉黄低俗内容。且该超话发布大量造谣艺人李泰民超占用资源，此类行为不仅严重侵犯了艺人的名誉权而且危害未成年网友身心健康。根据《话题管理规定》严重影响了微博社区环境和网络环境，违反了《微博社区公约》的多项规定。现请@超话小秘书尽快采取措施，关闭此类超话，维护艺人声誉和保护微博的良好环境。@超话小秘书@超话小秘书@超话小秘书
法医X博士,:#闲扯瞎聊X#“生物武器”是以生物作为武器，“化学武器”是以化学试剂作为武器。某些从生物中提取的毒素，既属于生物武器，又属于化学武器。比如，蓖麻毒蛋白和石房蛤毒素，前者是从蓖麻籽中萃取的毒性蛋白质，后者是从石房蛤体内分离出的神经毒素。这是唯二两种同时被《禁止生物武器公约》和《禁止化学武器公约》限制的物质。
贾绍-绍哥,:昨天又和朋友聊了一下二围马的事情，他说为什么别人带，我不可以带。首先，我们玩微.博必须先去学学一下《微.博社.区.公.约》，公约就是边界，什么能写什么不能写，他写得很清楚，玩每一个平台，就是按他规则来玩。那问题是有的人不按规则来，也没事呀，比如二围马。所以说，这也是平台最开放最包容的地方，有的人跑过界了，他会睁一只眼闭一只眼，特别是头都帐.户，他更宽容，谁叫人的流.量大呢。那如果是小.V那就不好说了，大.V人家不计效，但是小.V跑过界，那明显是跟老大叫板，老.大不高兴时，他不揪你揪谁。所以我们还是悠着点，看脸色行事。遵守玩法，坚持输出，坚持互动，努力成大V，冲鸭。#微博交流#@怀梦草lily@廖哥珠宝
烟雨宿,:最蛋疼的事情莫过于翻了半小时微博想看看四年前的微博发了什么结果发现除了转发小李子获得奥斯卡啥也没有
御史在途,:【云南一男子因#非法运输146只鹦鹉被判刑十年#，法院认定野生动物价值太荒唐】2月28日，云南法院宣判了一批涉及野生动物领域的重大案件，被告人司某因非法运输146只鹦鹉被判刑十年。法院审理查明：该批鹦鹉均系亚历山大鹦鹉，属国家二级重点保护动物，列入《濒危野生动植物种国际贸易公约》附录，价值146万元。我考虑的是，亚历山大鹦鹉既然是国家二级重点保护动物，显然就是禁止买卖的“无价之宝”，那云南的警方和法院是怎么得出“价值146万元”的结论的？是你们家里曾经以1万元一只的价格买过，还是准备依法将其单价定为1万元，指导大家去买以免价格上吃亏？
ascgyjn,#保护野生动植物[超话]#兰花虽美，但它属于大自然的馈赠，不可任意践踏。而且很多兰花都属于保护植物，随便采挖就有可能涉嫌违法。该兰花是否涉保？求专业人士来科普。同时希望主播们学好才艺表演，靠这种破坏生态环境吸粉不可取，甚至会付出法律代价。@新浪云南@云岭森警@云南郝大叔@云南网警巡查执法@红河森警@植物人史军@物种日历@著名网黄猫日@o阿蒙o@开水族馆的生物男@黄老邪卍@华美极乐鸟@反盗猎重案组@冈瓦纳http://t.cn/A6hnTiXq
豆豉香菇酱,【马钟成：阻扰《生物武器公约》实施，美国意在发动基因战争】http://t.cn/Ei73VrP近期，美国研究基因武器及谋划基因战争方面的新闻频频爆出。美某生物研究中心前任高管爆料了一个大机密，称美已经研制了很多生物武器，这些武器不亚于当年日本使用细菌战的生物武器，具有非常大的杀伤力。《生物武器公约》在美国的一贯抵制和破坏下，一直缺乏相关组织和机制以确保条约实施。美国对《生物武器公约》的推进采取了十分消极甚至抵制的措施，其目的正是为了占据基因武器研发的制高点。生物战争的恐怖时代已经来临。中国人民要当心了。中国的领导人和那些反美的关键人物，更要当心了。由于美国强大的种族主义传统，基因武器掌握在这个国家手中，是整个世界的灾难。http://t.cn/Ei73Wh4
寻找猪小美,#AO3##ArchiveofOurOwn#可能很多人不知道，AO3是一家非盈利组织。它的起源是一场自救行动。说一说AO3的历史，争议，以及我为什么不提倡把AO3只当作停车场。5600+长文预警，请耐心阅读。了解历史，才能体会到这个平台多么可贵。
舍曲林泡腾片,:不想再过这种一觉醒来发现点赞十条微博八条蒸发，看到贴切的话都要小心翼翼地保存下来的日子了。是不是今天他们封锁我们的话语，明天他们就能闯进我们的家门，拿机器探头伸进你的大脑，看里面有没有东西违反社会公约。2020年2月29号，我的小行星消失了，这是一个彻底没有私域的年代，没有私域，就不可能有自尊。
ANCointreau,:和谐上网文明冲浪遵守规则执行公约我是正能量传播者
毫无逻辑的夏尔,:设一个情景：在战争中，一个战地医院中的伤兵们拿起武器向遭遇的敌军开火。那虽然公约要求“敌对国军队”应作区分予以不实际参加战事之人员以人道待遇，但敌军首要保障的是与之交战单位丧失战斗力。请问在敌军确认与之交战单位丧失战斗力后可不可能发现有不实际参加战事之人员伤亡呢？
白桃桃乌龙,:回顾2月微博：该账号因被投诉违反《微博社区公约》的相关规定，现已无法查看。查看帮助微博社区公约的主要处理范畴
早睡修行家,:原本还想装装逼写写长文，现在的我完全不行
联合国防治荒漠化公约,:公约日前与全球环保技术联合会在瑞士伯尔尼大学续签了无限期合作协议。
一棵雪松它香香的,:我只是想说一说我被几个奇葩男恶心的事，也顺便说一说大学里因为性别原因被差别对待的事情说我违反了微博社区公约？你的微博社区公约是女生被男生欺负了不能说？女生被性别歧视了不能发泄？我一个人名都没透露吧？只是心情不好发泄一下都不可以？导员听了我的事都觉得某人有精神疾病，我被她祸害了这么久都不能发出来让心里舒服一下？
呐你算哪块小饼干,:微博疯了吗我无论发什么都说我内容违反微博公约嗯？？？？
脸圆圆1022,:我也不知道今晚的微博哪个地方违反了（微博社区公约）发了几遍都发不出去。只能截图发了。
wangxinhua2701173963,:美国第一个宣布退出《禁止生物武器公约》。
草木芥姜,:那个时候，我不仅有港台的基友，还有马来的。msn虽然让人嫌弃，但是能看到的东西今天的内网再也看不见了。那个时候，有许许多多的神最右，有比营销号有趣的博主，有更加激烈的争吵和互喷，唯独没有今日粉圈视作公约的许多规条。也许今天做粉丝的这些人已经忘了，或者从来不知道，这个地方以前是没有规矩的。
吴大辉-THU,:27日36名土军士兵的丧生完全在埃尔多安意料之外，这让其后退的空间骤然减小，只能强硬反击并逼迫俄叙首先妥协。怎奈俄叙尚无妥协迹象，北约尚无援手迹象。于是埃尔多安泼皮化伎俩再次显现：在难民问题上向欧洲开闸放、再提叙利亚化武问题（禁止化学武器公约组织已证明叙已不存在化武）、对俄威胁关闭黑海海峡、叫嚣“已经有过16次俄土战争，再来一次也无妨”。按照埃尔多安今天的最新说法，土军已消灭2100多名叙军士兵，摧毁300辆包括坦克装甲车在内的军事车辆和7个化学武器仓库……如果战果属实，这远超一般性冲突的范畴，分明是一场大规模的地区战争，细思极假。俄土在叙利亚直接冲突的可能性在上升，但俄罗斯暂时妥协的可能性也在上升。#国际军事#
联合国防治荒漠化公约,:土地是神圣的。公约与相关联合国机构及非政府组织携手合作，一起推进联合国可持续发展目标的落实。
杂食大人,:突然发现，北大西洋公约组织，华沙条约组织…二战的历史知识好模糊了，高中的知识都还给老师了
金陵上空的鹰,#飞扬军事[超话]#俄罗斯海军黑海舰队主力通过土耳其海峡[笑而不语]
玩马蜂的猫,#保护野生动植物[超话]#兰花虽美，但它属于大自然的馈赠，不可任意践踏。而且很多兰花都属于保护植物，随便采挖就有可能涉嫌违法。该兰花是否涉保？求专业人士来科普。同时希望主播们学好才艺表演，靠这种破坏生态环境吸粉不可取，甚至会付出法律代价。@新浪云南@云岭森警@云南郝大叔@云南网警巡查执法@红河森警@植物人史军@物种日历@著名网黄猫日@o阿蒙o@开水族馆的生物男@黄老邪卍@华美极乐鸟@反盗猎重案组@冈瓦纳http://t.cn/A6hnTiXq
大漠老杨,:可以莫须有的网络黑客攻击罪名起诉中国现役军人、却对用精确制导武器轰炸我国驻外使馆造成人员伤亡和馆舍损坏不承担任何法律责任，这就是霸道的美国！要它遵守国际公约近乎痴人说梦、美国实力不允许呀！重庆
凉山生态环境,:近日结束的#波恩公约#缔约方大会(CMSCOP13)是《保护迁徙野生动物物种公约》历史上规模最大的一届，共有来自缔约方、联合国机构、非政府组织等2550人参加。今年大会的主办国印度，专门为大会创作了极具地域风情的主题曲👇让我们伴随着热情动感的节奏一起踏歌起舞，#为生命呐喊#
济宁环境,:近日结束的#波恩公约#缔约方大会(CMSCOP13)是《保护迁徙野生动物物种公约》历史上规模最大的一届，共有来自缔约方、联合国机构、非政府组织等2550人参加。今年大会的主办国印度，专门为大会创作了极具地域风情的主题曲👇让我们伴随着热情动感的节奏一起踏歌起舞，#为生命呐喊#
马伊祁,#媒体聚焦#Mark一下，2020年2月29日《人民日报》。头版。大标题：日子过得像蜜一样甜；小标题：1.好日子又上新台阶；2.一天更比一天好；3.好传统就是不忘本。
啄嘿嘰,在我这一边ky一边发狗头不会给你保命，只会让你死得更惨，自己爬，ok？
那你叫我倩倩好了,:打卡56——《秘密动物园》打卡57——《小丑》打卡58——《窃听风暴》
胸腺碱基光谱图,在我这一边ky一边发狗头不会给你保命，只会让你死得更惨，自己爬，ok？
镜泽,在我这一边ky一边发狗头不会给你保命，只会让你死得更惨，自己爬，ok？
上海张程,因本微博时常遭人举报，平均一年要被新浪封禁一次，一个月至三个月不等，故注册一个备用微博，“上海张程微博被封”，周知。
白水法院,:#案件播报#【云南一男子因#非法运输146只鹦鹉被判刑十年#】2月28日，云南法院宣判了一批涉及野生动物领域的重大案件，被告人司某因非法运输146只鹦鹉被判刑十年。　　2月28日，昆明市中级人民法院对一起涉野生动物资源保护案件进行宣判。法院审理查明：2018年4月4日，被告人司某驾车到德宏傣族景颇族自治州陇川县章凤口岸附近，接收了一批亚历山大鹦鹉，后运至腾冲驼峰机场货运部，并使用他人身份证办理了托运手续，将鹦鹉由腾冲经昆明发往成都。2018年4月8日，该批鹦鹉在昆明长水国际机场被公安民警查获，经现场清点共146只。经鉴定，均系亚历山大鹦鹉，属国家二级重点保护动物，列入《濒危野生动植物种国际贸易公约》附录，价值146万元。一审法院据此认定被告人司某犯非法运输珍贵、濒危野生动物罪，判处有期徒刑十年，并处罚金三万元。宣判后被告人司某提起上诉，昆明中院二审裁定驳回上诉、维持原判。
李_磊,发布了头条文章：《避难随记》避难随记
CutiejA,:去年曾在圈写过关于yin行公约与国家gong权力的差异，在很多人的认知里后者即最高，也认为我在胡说。其实不然，在此不细说。只需要记得人类社会无论如何，都需要资金运转，都是要恰饭的就可以了。其他的不需要深究下去。在这段时间里也有很多人在问我看法，唔…若不是这行的，没操心的必要，各国央行这些股东也不是吃闲饭的。好好活着才有以后。
