杨杨不是轴二呆,:瓜吃晚了。读过书的都知道，打小报告的人最恶心。
鲁中晨报,:#共同战“疫”·疫情快报#【详情公布！3日下午，淄博疫情情况通报！】2020年3月3日0时至12时，淄博市无新增新型冠状病毒肺炎确诊病例，新增治愈出院病例2例（淄川区），无死亡病例报告。新增治愈出院病例情况：病例3：女性，87岁，淄博市淄川区人，居住淄川区昆仑镇电瓷厂宿舍。1月28日，经市级专家评估确认为确诊病例，后按省统一要求转至省集中定点收治医院救治，3月3日正式出院。我市已按要求对该病例开展后续隔离和防护工作。病例4：女性，51岁，淄博市淄川区人，居住淄川区昆仑镇电瓷厂宿舍。1月28日，经市级专家评估确认为确诊病例，后按省统一要求转至省集中定点收治医院救治，3月3日正式出院。我市已按要求对该病例开展后续隔离和防护工作。截至3月2日24时，淄博市累计报告新型冠状病毒肺炎确诊病例30例，其中治愈出院23例，死亡1例，重症1例，危重1例。累计追踪到密切接触者663人，已解除医学观察527人，136人正在接受隔离医学观察，均未发现异常。http://t.cn/A67NArKO
二毛鹅的青青草原,:#TXT组合[超话]#档人和防弹新歌ON的适配性检验报告二毛鹅的青青草原的微博视频
瘦到95斤不然输钱了,:吕总拿着我的报告疯狂画红线。。。疯狂标颜色……………
啾啾噢喂,【浙江公布8例输入病例：#浙江8输入病例在意大利同一餐厅工作#
淄博发布,:#淄博战疫#【2020年３月3日0时至12时淄博市新型冠状病毒肺炎疫情情况通报】2020年3月3日0时至12时，淄博市无新增新型冠状病毒肺炎确诊病例，新增治愈出院病例2例（淄川区），无死亡病例报告。新增治愈出院病例情况：　　病例3：女性，87岁，淄博市淄川区人，居住淄川区昆仑镇电瓷厂宿舍。1月28日，经市级专家评估确认为确诊病例，后按省统一要求转至省集中定点收治医院救治，3月3日正式出院。我市已按要求对该病例开展后续隔离和防护工作。　　病例4：女性，51岁，淄博市淄川区人，居住淄川区昆仑镇电瓷厂宿舍。1月28日，经市级专家评估确认为确诊病例，后按省统一要求转至省集中定点收治医院救治，3月3日正式出院。我市已按要求对该病例开展后续隔离和防护工作。
羊城派,:【广东连续16天新增确诊病例为个位数，但仍需外防输入、内防扩散】目前，广东省已连续16天报告确诊病例为个位数，其中有4天无新增病例，但还是容不得丝毫松懈。专家认为，当前，广东省仍需外防输入、内防扩散。一是近期报告的输入性病例绝大多数是1月份的“库存”，说明前期复工复产人员的流入对广东省输入疫情影响还没有显现，本地病例发生风险仍未降低。http://t.cn/A67NAH0v
肖肖真棒,:晚上看小说看到四点，今天七点半爬起来送我爸出门复工，熬到八点看了一会儿网课，又接着睡到一点多，二点爬起来继续上课，上完之后又疯狂做作业，写分析报告，搞到现在才弄完去洗了个脸，东西也没吃，我弟那个狗玩意出门买泡面都不给我带一包回来，吐了，我还答应我妈今天帮她搞卫生，行吧，我加油！今天应该是我整个假期最忙碌的一天了
饿了就吃人,:是什么让我一个报告写了两天还没写完
松鼠松鼠快跑,:报告上说怀疑是囊肿，一周后随访。不管结果如何都会好起来的。吉安
毕业论文代笔修改降重查重,:文章写作，专业代笔各类文笔服务，职称论文，本科，硕博，毕业论文，包括论文修改，格式设定，开题报告提纲降低重复率等!包修改包通过，有意者详谈！
这个昵称不容易暴露身份,:刚准备看文献写开题报告，好家伙！气死我了😤
·晚云烘月·,:打小报告可是比视奸更⬇️➖哈
千Er_,:为了视频报告化了个妆
吃个蛋挞吗_,:新的一天从昨晚文思泉涌后忘记保存的调查报告开始
粉媛儿,:我的开题报告合格了
Meeeeooowwwberttt,猫咪看见猎物发出的叫声，最后一个好萌！大爱猫咪控的微博视频
绿盟科技,:绿盟威胁情报中心报告：疫情期间境外黑客发起对我国网络攻击案例。一起来看👇
拓海君,买了63斤淘宝助农产品，这里是体验报告买了63斤淘宝助农产品，这里是体验报告
月亮倏然满了,:别人开周会：不同角度不同职位的观点及想法的交流和碰撞，促成项目最大化延伸。我们公司开周会：总监的狗腿子的划水报告会加小螺丝钉挨挤兑大会。《小雪成长观察日记》
仓土土,:疫情无聊报告
宁海检察,:【韩国近5千意大利破2千#中国以外64国出现疫情#】目前，新冠肺炎疫情在多国持续蔓延。截至韩国当地时间3日0时，韩国感染者总数升至4812人。意大利当地时间2日18时，意大利累计确诊2036例。据世卫组织最新报告，截至欧洲中部时间3月2日上午10时，中国境外共64个国家确诊新冠肺炎8774例，死亡共计128例。@央视新闻
我不是殭屍號我是真人,我觉得我们作为拨号上网的这波腐女是有个共同认识的，就是怎么掐cp都ok，哪怕万字长文互相辩论都非常支持，但是，举报就是狗！希望新世代腐女能够继承这个优良传统
向前吧lyat,:去医院打个检验报告出动了自己有史以来最强防护——n95，75酒精加持。本以为很少人去医院可以随便停车，去到才发现停车位还是一位难求……中山
梁嘉鑫今天瘦了嘛,:被zxf支配的恐惧：无穷无尽的课题报告➕每天找n个人帮我查重➕怎么降也降不下来的重=身心俱疲每一天
襄城新闻,:【回应网友关注】襄阳市近几天新增确诊病例持续见零，新增疑似病例数据也见零，是不是可以安排复工复产了？当前，襄阳市的疫情防控工作虽然取得了阶段性成果，但依然存在以下几点风险：一、确诊病例0增长和疑似病例0报告，不等于0感染和0风险。新冠肺炎具有较强的传染性，存在一些被感染但未发病的隐性感染者，经过一定时间，这些人一部分会发病，被隔离治疗，一部分通过自身免疫力自愈，消除传染性，所以必须再经过一段时间，才能消灭传染源。二、目前襄阳市还存在一定数量的确诊病例和疑似病例正在住院治疗，还有大量的密切接触者正在进行隔离医学观察，表明病毒还是广泛存在，具有潜在被感染风险。三、2月29日发布的《湖北省县（市、区）新冠肺炎疫情风险等级评估报告》显示，襄阳市还有5个县（市、区）处于高风险等级。因此，再次提醒广大市民，为了防止新冠肺炎死灰复燃，大家必须坚决克服麻痹思想、厌战情绪和侥幸心理，咬紧牙关，坚决挺住，共同打赢新冠肺炎防控歼灭战。下一步，襄阳市疫情防控指挥部将根据疫情防控的形势，逐步安排复工、复产。
巧克力一般的阳光少年,:今天开题报告改好了吗，没有齐齐哈尔·新城尚品
紫苏财经,:我发表了头条文章:《三只松鼠首份业绩报告：百亿营收净利反跌都怪政府补助给少了》三只松鼠首份业绩报告：百亿营收净利反跌都怪政府补助给少了
买家张俊,:【100万人涌入淘宝开店，淘宝直播成2020年最大增长机会】淘宝2月“机会”报告显示，淘宝直播新增商家数环比飙升719%。其中直播商家获得的订单总量，平均每周都以20%的速度增长，成交金额比去年翻倍。淘宝直播的零门槛入驻，也让林清轩这样的品牌通过淘宝直播完成了逆袭，业绩反超去年同期。http://t.cn/A67NPxY2http://t.cn/R2Wx8oD
千龙网中国首都网,:#北京战疫#【#返京外籍人士进小区需登记#】在下午的北京市新型冠状病毒肺炎疫情防控工作新闻发布上，北京市委组织部副部长张强介绍了外籍人士居住密集的社区（村）加强疫情防控有关工作情况。返京外籍人士进入小区时，需进行登记，填写基本信息、报告健康状况、了解防控政策。居家观察的外籍人士每天通过微信、电话或短信等方式报告体温检测情况。如有发热和呼吸道症状，要及时前往发热门诊进行诊疗排查。如出现确诊、疑似或密切接触者，将按既有医学程序处置。外籍人士在小区内有聚集性行为的，社区（村）工作人员要予以提醒和劝导，告知疫情传播风险。来源：北京日报客户端『返京外籍人士进小区需登记，报告健康状况』http://t.cn/A67NwEna
互联网的那点事,:买了63斤淘宝助农产品，这里是体验报告买了63斤淘宝助农产品，这里是体验报告
看见我给你的小星星没,:反正從今天開始，我們大院傍晚六點半就封了，我只要是上班就得趕緊回家，如果是加班晚點了，我還得去寫申請打報告……所以，這幾周我都不能自由出去逛了
繁昌县人民政府发布,:3月3日安徽省报告新冠肺炎疫情情况3月3日安徽省报告新冠肺炎疫情情况
航运交易公报微博,:#干散货#【2020年2月份巴西大豆出口激增】　　据普氏能源资讯报道，巴西外贸部的一份报告显示，全球最大的大豆生产国和供应国——巴西在2月的前三周出口大豆355万吨大豆，环比增长了367％。　　市场消息人士称，尽管中美第一阶段贸易协议于1月15日签署，但中国的大豆压榨企业仍更喜欢价格更具竞争优势的巴西大豆而不是美国产大豆。　　根据普氏能源资讯（S＆PGlobalPlatts）的数据，4月装船的巴西大豆报价为每吨345.77美元，桑托斯港FOB价，美国大豆报价为每吨350.90美元，新奥尔良港FOB价。　　消息人士称，尽管普遍存在全球性问题，如经济放缓和新冠病毒疫情爆发，巴西的大豆贸易商仍看涨。　　巴西国家农业机构CompanhiaNacionaldeAbastecimento上周表示，由于收成良好且货币贬值，巴西2月份可能出口900万吨的大豆，同比增长80％。　　有利于南美大豆农户的另一个因素是出口的时机。2月至5月被认为是巴西大豆收获和销售的旺季，而美国新大豆作物的播种始于3月。　　另据浙江粮油交易网报道，由于巴西各地的有利天气，其2月份大豆收割步伐加快。农业咨询机构AgRural周一表示，截至2月20日，巴西农户已收获31%的2019/20年度大豆，一周前为21%，上年同期为45%，五年平均进度为30%。2月初AgRural将巴西全国的大豆产量预测数据上调至1.256亿吨，创下历史新高。　　面临的挑战　　外贸数据显示，2月到目前为止，大豆平均出口量为236，900吨/天，而去年同期为263，400吨/天。　　市场消息人士称，在中美两国签署了第一阶段协议后，每日大豆出口量同比下降可能是由于中国吸收了更多美国产大豆。根据美国农业部的数据，购买大豆是该交易中至关重要的一环，因为大豆占美国每年对华出口的50％以上，而猪肉、牛肉和家禽分别仅占5％、4％和2％。　　美国（世界第二大大豆生产国和出口国）与中国之间的部分贸易协议在未来几个月对巴西大豆种植者而言可能不是一个好兆头，巴西大豆农户将近80％的大豆出口到中国，尤其是在中国政府正与新型冠状病毒疫情作斗争的时候。　　消息人士称，中国的供应链受到新冠病毒爆发的严重打击，这可能严重限制农产品在其全国范围内的运输。　　Conab预测，在中美第一阶段贸易协议和新冠病毒爆发后，巴西大豆出口将在未来几个月面临巨大挑战。　　市场消息人士称，由于新冠病毒疫情，巴西2020年的大豆总出口可能下调。　　美国农业部在最新的前景报告中说，在取消正在进行的隔离和旅行管制之前，工人的流动将受到限制。　　豆粕出口　　报告称，巴西在2月的前三周出口豆粕51.69万吨，环比增长16％。　　尽管中国国内对豆粕的需求强劲，但巴西仍设法向欧盟出口了更多豆粕。欧洲（最大的肉类生产国和出口国之一）对豆粕的需求急剧增加，原因是亚洲国家对肉类产品的需求增加，特别是中国（世界最大的猪肉消费国）因非洲猪瘟疫情爆发而淘汰了数百万头猪，这是一种对猪群致命的疾病。　　自2018年8月开始的非洲猪瘟疫情导致国内猪肉短缺，中国开始进口更多猪肉。　　豆粕在全球肉类行业中被广泛用作高蛋白动物和禽类饲料。　　欧盟委员会于周一发布的数据显示，欧盟-世界上最大的猪肉出口国-在2019年7月1日销售年度开始至2020年2月23日之间豆粕进口量约为1157万吨，比去年同期增加2%，上周是增加4%。（普氏能源资讯）
屁话很多的阿金,:报告！我后天解封！！！！！
重庆九龙坡法院,:#新型冠状病毒感染肺炎#【世卫组织关注韩国意大利伊朗日本四国疫情】新华社日内瓦3月2日电（记者刘曲）世界卫生组织总干事谭德塞2日说，目前韩国、意大利、伊朗和日本的新冠肺炎疫情已成为该组织非常关注的问题。中国境外报告的确诊病例中，约八成来自这4个国家。　　谭德塞当天在例行记者会上说，新冠病毒在中国境外扩散的情况值得关注，目前在中国以外共有61个国家向世卫组织报告了8739例新冠肺炎病例，其中81%来自韩国、意大利、伊朗和日本。　　韩国现已报告的病例数超过4200例，几乎占中国以外病例数的一半。不过谭德塞表示，有迹象显示韩国的监测等措施正在发挥作用，韩国疫情仍然可以被控制。　　谭德塞说，尽管上述国家病例数较多，但“遏制新冠病毒扩散是可行的”，他呼吁各国采取积极措施防控疫情。　　谭德塞还表示，人们在讨论疫情是否构成全球性大流行，对此他想重申，如果证据表明确实如此，世卫组织将毫不犹豫地宣布疫情构成大流行，但现在的事实仍是疫情主要集中在少数国家。他说，一些曾报告有病例的国家已经连续两周没有报告新病例。（新华视点）
长方形的猫,:正在写开题报告呢老师突然告诉我论文题目改了
杭州特价房,:【仲量联行：2020全球商业地产投资额将下跌0-5%至7800亿美元】据仲量联行3月2日发布的报告显示，今年全球商业地产投资额预计将轻微下跌0%-5%，跌至约7800亿美元，主要原因是宏观经济环境存在挑战和新冠肺炎疫情带来不可预期的影响。不过，仲量联行判断，亚太地区商业地产市场长远投资气氛仍然正面，持续低息环境和央行推出的救市措施将抵销部分宏观不明朗因素，为投资者的跨境策略注入更大信心，亚太地区商业地产市场今年将继续受到投资者追捧。
峻卿浅尝,國立故宮博物院。收藏。看畫．讀畫—歷代名蹟選萃。聖帝明王善端錄。四。清朝。陳士倌。
amizelaine,:来吧如果仍說自己沒有病、就自己解決問題吧七咀八舌的健康狀況、五臟六腑气机分析、💪🏻💪🏻可以比医院、報告、什么B超更快更准！😎PS機器都是機器的！看不清、😱摸不到、😁有一些重症是机器不能檢測的！不信中医、天然療法、植物的、需要更花時間、金錢、排隊時間了！
马鞍山发布,:【我市首座跨江公铁两用大桥计划8月开建】日前，随着《马鞍山长江公铁大桥航道通航条件影响评价报告》获得交通运输部批复，标志着巢马城际铁路唯一控制性工程——马鞍山长江公铁大桥桥位、桥跨布置、桥型已经稳定，向着年内正式开工建设又迈出了“关键一步”。马鞍山长江公铁大桥跨江段总长9.663公里。其中，左汊主通航孔采用三塔两大跨钢桁梁斜据了解，作为我市加快推进长三角更高质量一体化发展、全面深度融入合肥都市圈和南京都市圈的“一号工程”，巢马城际铁路先行工程已于去年10月28日正式开工。#马鞍山战疫#
错别长安,:天哪这个开题报告真的要我的命啊
夜小澈__,#轉推##刀剣乱舞##山姥切国广##山姥切长义##南泉一文字##自汉化#【被被和南泉喵with本本】①【作者：ちんちらりん、p站id：37078313、推特：@9ys6CPOMAubzOY6】※翻译、修嵌都是翻译小天使自己完成的！一口气的超多图！要分2条发！辛苦小天使了！（※小天使说不想公开ID）
夜小澈__,#轉推##刀剣乱舞##山姥切国广##山姥切长义##南泉一文字##自汉化#【被被和南泉喵with本本】①【作者：ちんちらりん、p站id：37078313、推特：@9ys6CPOMAubzOY6】※翻译、修嵌都是翻译小天使自己完成的！一口气的超多图！要分2条发！辛苦小天使了！（※小天使说不想公开ID）
大河报,【#大河调查#|身份揭秘！号称“苯酚治愈新冠肺炎”的李跃华：是神医，还是骗子？】在武汉疫情防控进入决胜期的紧要时刻，李跃华和他的“苯酚穴位注射疗法”因自称治愈了不少新冠肺炎病人而突然暴火，但随之而来的是湖北省卫健委的非法行医查处。#李跃华是神医还是骗子#？湖北省卫健委综合监督局于2月26日发布的调查报告文件，将李跃华及他的这个门诊部信息进行了诸多披露。详情→http://t.cn/A67CJswI
比特币的那点事,:【最新报告：3年被盗98亿美元数字资产，安全之路任重道远】http://t.cn/A67NwvMh全球审计四巨头之一，毕马威会计事务所（KPMG）表示，加密货币市场需要改善其保护数字资产的方式，以使这个2，450亿美元的行业保持持续增长。
modern秀才,:据日本共同社：日本报告横滨出现新的新冠肺炎确诊病例。
釜山老驼,:#林煐岷粉丝生活报告书#现在是紧张期待兴奋心动
爱上萝莉的猫,:#作业[超话]#有姐妹可以代写3000字读书报告吗，不用写的好，可以通过查重就OK
请问木栀子小姐今天吃了什么,这只叫“Chico”的狗走丢后，向德克萨斯警方“报告”了自己的失踪...-via：facebook.com/SupportOurPermianBasinPoliceOfficers
成都科技,:#科技资讯#【一个光子首次被“劈裂”成三个有望开辟三光子量子光学新领域】据物理学家组织网近日报道，加拿大滑铁卢大学量子计算研究所（IQC）的科学家报告称，他们首次将一个光子直接“劈裂”成三个光子，。IQC首席研究员克里斯·威尔逊说：“据了解，双光子版本成为量子研究的主要工具已有30多年历史，但双光子系统产生的纠缠类型有限，最新研究使我们超越了已有的将一个光子分为两个相互纠缠光子的能力。三光子系统将克服双光子系统的限制，有望开辟三光子量子光学新领域，鼓励进一步的理论研究和实验应用，催生使用超导单元的光量子计算机。”
雄安发布,:【钟南山担心的事发生了！】据浙江省卫健委数据，3月2日，该省新增新冠肺炎确诊病例7例，均为丽水市青田县报告的意大利输入病例。算上2日通报的首例输入病例，目前，丽水市确诊的25例病例中，境外输入病例达到8例。此前，钟南山院士曾表示，新冠肺炎疫情在国外迅速蔓延，中国存在从输出病例变为输入病例的可能性。截至目前，宁夏、北京、广东、浙江都陆续通报了境外输入病例。（人民日报）
三亚旅游,:【海南省密切关注2月27日后从疫情较重国家入境抵琼人员】海南省#关注海南新型肺炎疫情#今已连续12日确诊病例报告为零。但近期受复工复产、国外疫情快速发展，以及对新冠肺炎防控意识有所淡化等影响，不排除从省外、国外输入疫情并导致疫情反复的可能。因此，在疫情还未终止前，仍应提高警惕，严谨防控。（来源南海网）
药明康德,:近期新冠病毒引起的肺炎，让不少人关注到极少数重症患者可能有肺纤维化的后遗症风险。《自然》旗下的NatureCommunications近日在线发表的一项研究，为肺纤维化患者提供了一种潜在的无创治疗手段。来自北卡罗莱纳州立大学的研究团队报告，利用雾化吸入的方式输送肺干细胞分泌物，可帮助小鼠和大鼠修复肺纤维化所致的肺损伤。http://t.cn/A67N7OzK
全球时事新闻热点,:#世卫组织伊朗雇员确诊感染#【#世卫组织派专机支援伊朗#专家组将为当局提供技术支持】据经济日报报道，世界卫生组织3月2日宣布，已派出专家小组飞抵伊朗首都德黑兰，支援伊朗新冠肺炎疫情应对工作。这架载有专家组成员的飞机还装载了一批医疗用品和防护设备，可满足1.5万名医护人员的防护需求。此前，世卫组织官方曾在推特上证实，该组织一名在伊朗工作的雇员被确诊感染新冠肺炎。据澎湃新闻报道，由于疫情扩散迅速，伊朗当地已经很难购买到口罩等防护物资，政府已加大力度打击国内的医疗用品黑市交易活动。截止当地时间3月2日15时，伊朗报告了1501例新冠肺炎病例，包括66例死亡。#城内城外#http://t.cn/A67N7IyQhttp://t.cn/A67N7IyH
唐山检察,:【#北京检察机关批捕5名销售不合格医用口罩的犯罪嫌疑人#】2日，北京市昌平区检察院以涉嫌生产、销售不符合标准的医用器材罪对犯罪嫌疑人郭某某、吴某等5人批准逮捕。1月23日至31日，郭某某、吴某等5人在明知进购的一次性医用口罩无检测报告、厂方资质等证明文件的情况下，依然以营利为目的，将从河北省邯郸市某医疗器材批发市场内摊位购得的一次性医用口罩2.6万余个，以层层加价转卖方式销售。http://t.cn/A67ooyTk
暨南数码,:【2019全球电信设备市场报告发布：华为继续当第一】场研究公司Dell'OroGroup刚刚发布了2019年全球电信设备市场报告。这份报告涵盖包括宽带接入、微波与光传输、移动核心网和无线接入网（RAN）、SP路由器和CE交换机在内的整个电信设备市场。整个电信设备市场在2019年增长了2%，实现了连续第二年收入增长。Dell'OroGroup称，2019年全球电信设备市场收入份额排名前五的供应商分别为：华为（28%）、诺基亚（16%）、爱立信（14%）、中兴通讯（10%）和思科（7%），作为对比，这五家供应商2018年市场收入份额分别为28%、17%、14%、8%和8%。这份报告的其他重点内容包括：在2014年至2017年收入连续三年下滑之后，整个电信设备市场在2019年连续第二年实现增长，这印证了Dell'OroGroup过去一段时间以来一直传达的一个信息，即有理由对电信市场感到乐观。在技术领域，光传输和RAN市场的中位数增长抵消了微波传输和宽带接入设备市场需求疲弱的影响。2019年最大的两个设备市场分别是移动RAN和光传输市场，合计约占整个电信设备市场55%的份额。在5GRAN去年全年增长持续强劲增长的推动下，RAN市场在2019年表现出人意料，表现好于预期。全球光传输市场连续第五年保持增长，创下近十年来的最高增长率。WDM的强劲增长有助于推动这一加速。#中国女孩#
福布斯中文网,:【维珍邮轮因新冠肺炎疫情取消ScarletLady在纽约的首秀】维珍邮轮推迟了“ScarletLady”号轮船的预展，这艘船原定于本周晚些时候在纽约首秀。维珍邮轮公司的一位发言人出人意料地宣布:“根据当前的情况，我们想要在确保每个人都觉得是正确的时候再与他们一起庆祝。我们知道人们现在可能想要关注其他事情，所以我们决定重新安排我们即将在纽约举行的预展和活动。我们很快就会回纽约，让你们去看ScarletLady的。”虽然声明没有特别提到新冠肺炎，但它确实引起了人们对目前在多个国家传播的疾病的日益关注。这一消息宣布时，纽约市报告了首例新冠肺炎感染病例。一名39岁的妇女从最近一次伊朗之行返回，此后一直被隔离在家中。http://t.cn/A67N7xWd
我是rose上海,:【报告：近7年全国房贷余额增速曲线呈“倒U型”】易居房地产研究院发布《2019年全国房地产贷款报告》。报告基于央行数据对房贷规模进行了分析。2019年，全国房地产人民币贷款余额为44万亿元，同比增长14.8%。观察历史数据，近7年全国房贷余额增速曲线呈现了很尖锐的“倒U型”走势，其中2016年第4季度成为重要的分水岭。
六安吃喝玩乐攻略,:#六安实时#【捷报！六安市69例确诊患者全部治愈出院】今日上午，六安市又有六名患者出院。至此，我，为全省第二个确诊患者治愈出院“清零”城市。1月20日，六安出现首例新冠肺炎确诊患者，1月30日，六安首例确诊患者治愈出院。截止3月3日，六安共报告确诊病例69例，治愈出院69例，确诊患者全部治愈出院。#抗击新型肺炎六安在行动
南京防震减灾,:据省市地震台网测定2020年3月3日12时25分，在江苏省南京市鼓楼区（北纬32.1°，东经118.8°）发生3.0级地震，震源深度10千米。地震发生后，南京市应急管理局主要领导要求迅速了解震情信息，积极做好应对。市地震局迅速启动震情速报系统，对全市的人员伤亡及财产损失情况统计汇总。地震发生后，鼓楼、栖霞、玄武区普遍有震感，目前，没有收到人员伤亡及财产损失的报告。市地震局现场工作队及时赶赴震中区域现场，经实地考察未发现人员伤亡及财产损坏情况，现场市民生活、社会生产工作正常有序。经与省地震局专家现场会商结果表明，目前南京发生破坏性地震的可能性较小。震后我局第一时间在网站、微博、微信发布官方消息，会同省市多家媒体做好宣传和舆论引导工作。
南通12345官博,:【疫情期间首批农产品专项抽检结果出炉】前不久，市市场监管局开展了疫情防控期间第一批食用农产品安全专项50批次抽检。2日，该局公布了市产品质量检验所出具的检测报告。经检验，此次抽检中49批次农产品合格，1批次农产品不合格，抽检合格率为98％。其中，南通农副产品物流有限公司一经营部所经销的1批次韭菜农药残留不合格，韭菜中毒死蜱含量达到0.7mg/kg。（转发南通日报）
电子工程专辑,:【深度行业分析报告：TWS耳机才是真正的智能语音入口】http://t.cn/A67C8yHO作为与智能手机搭配的新潮品类，TWS耳机将遵循类似智能手机的市场发展历程，虽然在启动和爆发阶段看似有很多机会，但最终还是几家手机厂商的竞争。除了硬核技术外，智能语音助手在未来竞争中也将扮演重要角色，这将是手机厂商与互联网巨头之间的新入口之争。
亲爱的你大事不妙,:我不知道大家怎么看，但我是不支持用开发票和打税务举报电话这种行为来向品牌施压抵制（你们懂我说是谁）。昨天晚上一个在税务部门工作的姐妹跟我聊了一会，她说这几天她12366的同事都忙爆了（这也侧面印证那件事影响的范围真的很大）上面有明确规定只要打进来的举报就必须受理，然后受理之后需要走一系列复杂的流程最后再写出受书面报告。税务真正会查到品牌公司的往往是产品出场已经缴纳的增值税，这一块基本上都不存在出问题的可能，“开发票”这块顶多就是给店铺一个罚款并不会真正影响到品牌。我觉得说原本疫情期间工作就比较困难，因为这几天举报量剧增再加重这些人的负担，那是真的很辛苦的。当然，索要发票是消费者的合理权益，确实遇到索要发票店家不给而投诉我觉得是正常维权，但是如果把这件事挪作他用我觉得就不太合适了。
随州日报,:【平时为民，战时为兵！随州八千民兵疫线真拼！】“我是民兵，平时为民、战时为兵，我志愿加入党员防控突击队。疫情一日不退，我们一日不撤，坚决完成党组织交办的任务。”连日来，在鲜红党旗的映衬下，“湖北民兵”的标识熠熠闪亮，铿锵的誓言响彻随州防疫战场的各个角落。　　聚是一团火，散是满天星。　　正月初一，8000余封《致广大专武干部和基干民兵的公开信》雪花般地飞向各个村组、社区和民兵干部手中。公开信的到来如同嘹亮的号角吹遍随州每一寸土地。235个临时党小组、18个临时党支部如雨后春笋般组建起来，专武干部、民兵、党员志愿者纷纷主动请求奔赴防疫战场。　　曾都区北郊办事处武装部长黄加国因公出差，被困深圳，收到军分区的公开信和预建党组织工作安排后，他热血沸腾却又心急如焚。关键时刻，军分区建立的“新型指挥系统云视讯”APP为他和其他专武干部解决了燃眉之急。通过远程接收上级指令，同步部署辖区工作，仅仅用了2个小时，21个临时党小组马上建立起来，一大批党员、民兵和退役军人在他的号召下迅即投入到疫情防控中。　　一个支部一面旗，一名党员一道梁。鲜红的党旗插向哪里，共产党员的先锋模范作用就彰显在哪里。　　“我是党员，让我上”“我是民兵，我站排头”“我是退伍军人，让我当先锋”……面对疫情，没有集合，没有点名，也没有战前动员，党员、民兵、退伍军人以及在家休假的现役军人纷纷率先跑步出列，义无反顾站在了排头，他们在各级党组织的召唤引领下，迅速分布到各个基层防控点位，全力守护居民生命健康安全。　　2月1日，曾都区西城办事处武装部长黄虎担任起辖区一隔离点临时党支部书记，几名党员在他的带领下，抗风雪、吃泡面、睡地铺，24小时连轴转，克服常人难以想象的困难，时刻面临着被感染的危险。他们心中只有一个信念，一定要把党组织交办的任务完成好。近200名隔离对象由衷地感慨：“这些戴红袖标的民兵来了，咱老百姓就有一种安稳感，心里也就踏实了。”　　2月5日，城南新区前进社区民兵党员卢汶在御山墅小区路口值守时，接到报告称有业主发热至38.7度，必须马上采取措施。卢汶一边迅速上报，一边进行详细登记，在120无法及时出车的情况下，面对可能存在的高风险，他毫不退缩，背起病人就往楼下走，骑着三轮车将病人送至曾都区东城卫生院检查，全程搞好协调对接。在病人被认定为确诊病例后，卢汶按规定必须要进行隔离观察，他只得带着遗憾离开了抗“疫”一线。　　“我是党员，我有义务坚守一线！”曾都区北郊办事处九间屋村民兵党员王进毅然请战。白天在路口值守，组织全村巡逻，摸排离汉返乡人员，为村民配送物资；晚上在村委会轮流值班，应对各种突发情况。　　随着确诊人数的逐渐攀升，王进感到仅仅靠他一个人的力量已经不够了，于是发动家庭成员一起上阵。最初，他动员哥哥挨家挨户宣传防控知识，发放防疫药品，劝导群众；嫂子排查返乡人员、配合入户登记、测量体温；妻子为村委会采购、发放物资，义务为夜班工作人员制作糕点，免费发放。后来，他又动员年近六旬的父母双亲也共同加入到战“疫”队伍中来，并当场安排任务：父亲发挥在村里德高望重的优势，担负村口卡点疏导劝阻任务；母亲则重点搞好后勤保障，晚上管带两家的三个孙子，白天负责为村里的志愿者做早餐。　　打虎亲兄弟，上阵父子兵。面对村民“儿子给老子交待任务”这样的调侃，两位老人付之一笑，“国家有难，大家都有责任，只要儿子说得对，我们都要支持”。　　截至目前，随州军分区及所属人武部先后组织民兵2万余人次昼夜奋战在疫情防控一线。在鲜红党旗的召唤下，他们用实际行动践行着初心，展示出新时代随州民兵的英姿风采。（随州日报全媒记者张琴通讯员刘翔涯）#深入实施“红色引擎工程”##遏制疫情蔓延随州在行动##万众一心抗击疫情#
鬼束阳子,:我今天废话很多，大概中午的事情让我很亢奋再来说一个刚刚发现的一个好玩的传播路径（其实也不好玩）图1-2：考拉购物官方今天发了个报告，快科技发了以后，正面传播策略，文案+海报，核心是【分期付款】，11点发的至今评论是1图3-5：知名营销号段子楼差不多隔了个把小时发了采用的文章截图的方式也不提考拉，核心传播点是【condom】，配图采用的是文章截图，划红线，不点开看不清的那种，这就很有偷窥欲的意思了，这个微博发出去4分钟评论已经过百了结论是什么1、偷窥欲永远是最好的传播秘籍2、一些内容传播投放营销号的效果已经远大于一些正向媒体3、营销号的弊端是弱化了品牌，所以媒体也是不可取代的
涡阳论坛微博,:2020年3月2日0-24时，亳州市报告新增新冠肺炎确诊病例0例，新增疑似病例0例，新增治愈出院4例。截至3月2日24时，亳州市累计报告新冠肺炎确诊病例108例，其中：利辛县43例、涡阳县29例、谯城区15例、蒙城县12例、市高新区5例、外市4例（蚌埠市3例、阜阳市1例）。累计治愈出院107例。累计排查到密切接触者1615人，已经全部解除医学观察。涡阳县3月2日痊愈出院病例李某某，女，63岁，涡阳县人，患者因丈夫耿XX在蚌埠被诊断为新型冠状病毒感染的肺炎疑似病例，1月30日夜至涡阳县人民医院发热门诊进行筛查，肺部CT显示“两肺炎性病变”，遂转入隔离病房进行诊治。后转诊至市定点收治医院治疗。
