盘龙MoreLife,:#盘龙君和你一起战疫##疫情最新情况#【连续13天无新增！截至3月4日24时，云南累计治愈出院169例，现有确诊病例3例】3月4日12时至24时，无新增确诊病例。截至3月4日24时，已连续13天新增病例为0，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例5例。密切接触者当日解除医学观察39人，正在观察60人。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南发布）@昆明盘龙发布
春城晚报,:#新型冠状病毒·感染肺炎##云南发布#【最新通报！云南确诊者降至个位数！昭通红河清零！中风险县仅剩2个！】3月1日0时至12时，无新增确诊病例。新增治愈出院病例6例（昭通市5例、红河州1例）。截至3月1日12时，全省累计确诊病例174例，治愈出院163例，死亡2例，现有确诊病例9例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院48例），昭通市25例（治愈出院25例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院12例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院8例），红河州9例（治愈出院9例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区中，低风险县市区127个，中风险县市区2个（五华区、蒙自市）。http://t.cn/A67xxapD
云南日报,:#加强疫情防控云南在行动#【大理州交出全治愈“零死亡”“零感染”答卷】没有一个冬天不可逾越，没有一个春天不会来临。大理州从2月1日第一例新冠肺炎确诊患者治愈出院至2月29日最后一例新冠肺炎确诊患者治愈出院，历时一月，确诊病例13例全部治愈出院，成功清零，全州人民共同抗击疫情取得的重大阶段性成效，大理州用实际行动交出100%全治愈、救治病例“零死亡”、医护人员“零感染”的厚实答卷。http://t.cn/A67x5iiz
小茉莉找小贝壳,:大理州清零了，祈愿我的家乡一直平安无恙。3月已至，高老师早已忙碌起来了，网课老师、校书郎、家庭厨师一肩挑，还有每天的原创更新，一些约稿。咱也要调整状态了，一个多月心境每天都是像过山车一样起伏，濒临PTSD。复工许久，每天工作也是忧心疫情。三月第一周关键词，调整。让有意义的事情拯救饱经煎熬疲惫颓靡的内心。[加油]
潘洗尘,:今天大理州最后一个新冠病毒感染者治愈出院。要有光（二百二十三）
大理电视台,:最新一批大理州疫情防控物资重点保供企业（单位）名录公布啦！
大理电视台,:【搭建联防联控平台大数据助力大理疫情防控】在疫情防控过程中，大理州依托阿里巴巴钉钉团队，及时搭建联防联控平台，用大数据激活疫情防控“一盘棋”，让数据说话、让基层减负、让指挥精准。大理州为此次新冠肺炎疫情防控搭建了疫情联防联控大数据平台。从这个平台上可以清楚的看到每天疫情防控的实时数据，有了这个平台帮助，大理州的疫情防控工作实现了“一盘棋”，有力推动大理州各项疫情防控措施的高效落地。据介绍，这个联防联控平台支持多部门数据实时导入，自动对各级各部门上报的疫情信息、防控信息、人员排查、疫情线索、综合物资保障等工作数据进行汇总、反馈、分析，为我州疫情防控工作各项决策提供直观的数据支持。大理州卫健委医疗卫生体制改革和信息化科副科长潘敏说：“平台实时同步我们现在确诊的病例和疑似病例，还有每天筛查的人数，并且有从武汉回来的或者与武汉相关的这些人员的数据。”智慧防控系统2月3日启动搭建，2月12日正式组建完成投入使用。通过系统组建，快速搭建起了“州—县（市、区）—乡镇、街道—村、社区”五级防控网络的线上防控作战指挥部，实现了手机、电脑多端信息采集，为全州疫情数据实事通报提供了软件技术支持。阿里巴巴钉钉团队技术专家梁晓龙说：“比实现工作更高效和便捷，统一地进行数字化的呈现，疫情指令可以直接下沉到村一级的乡镇干部。”该联防联控平台的使用，实现了各级政府部门高效沟通和扁平化管理，减少见面接触，提高智慧效能，推进各类政策、指令及时传达到末端，有力地推动疫情防控各项措施快速地落地、落实、落细。http://t.cn/A67IvLhm
大理电视台,:【第五场新闻发布会召开，大理州新冠肺炎救治首战告捷，治愈率100%实现患者清零、零死亡、零感染！】今天（2月29日）下午，大理州应对新型冠状病毒感染肺炎疫情防控工作第五场新闻发布会，在大理国际会议中心召开。第五场新闻发布会召开，大理州新冠肺炎救治首战告捷，治愈率100%实现患者清零、零死亡、零感染！
科普永平,:来自【mp.weixin.qq.com】的分享http://t.cn/A67fGm7Z科普中国@大理州科学素质行动@大理科普@永平科素@美丽云南微科普
科普永平,:直面病毒，他们是“幕后英雄”@手机浏览器http://t.cn/A67fG0Ih科普中国@大理州科学素质行动@大理科普@永平科素@美丽云南微科普
科普永平,:来自【mp.weixin.qq.com】的分享http://t.cn/A67fbFkK美丽云南微科普@科普中国@大理科普@大理州科学素质行动@永平科素
科普永平,:增强抗病力，少不了这些营养素@手机浏览器http://t.cn/A67fbEwv美丽云南微科普@科普中国@大理科普@大理州科学素质行动@永平科素
葫芦丝之乡-梁河,:清零！大理最后一例新冠肺炎患者出院！今天上午，大理最后一例新冠肺炎患者出院！患者屠某长期居住在武汉，女，64岁。1月28日，自觉身体不适到大理市第一人民医院检查，考虑新型冠状病毒肺炎疑似病例。1月29日，收住大理州人民医院隔离病区治疗。通过治疗，2月29日治愈出院。截止目前，大理州13例新冠肺炎肺炎患者已全部治愈出院，无新增病例！http://t.cn/A67fhOUq
观远,:发表了博文《红嘴鸥飞起来》因为这场全球性的瘟疫，困在家中已经一个多月，今天传来了好消息，大理州先后有13例新冠肺炎确诊患者，今天最后一例已经治病愈出院，全州实现清零。心情好起来了，海鸥也飞起来了&#8红嘴鸥飞起来
南涧发布,:清零！大理最后一例新冠肺炎患者出院！今天上午，大理最后一例新冠肺炎患者出院！患者屠某长期居住在武汉，女，64岁。1月28日，自觉身体不适到大理市第一人民医院检查，考虑新型冠状病毒肺炎疑似病例。1月29日，收住大理州人民医院隔离病区治疗。通过治疗，2月29日治愈出院。截止目前，大理州13例新冠肺炎肺炎患者已全部治愈出院，无新增病例！
健康大理,:¡¾喜讯！大理州最后一例新冠肺炎患者在州医院治愈出院！¡¿2月29日，大理州最后1例新冠肺炎确诊患者在州医院治愈出院，至此，州医院10例确诊患者已全部治愈出院。随着最后一例患者治愈出院，全州13例确诊病例完成治愈“清零”目标，无新增病例！上午10点...喜讯！大理州最后一例新冠肺炎患者在州医院治愈出院！
健康大理,:¡¾大理州新冠肺炎救治首战告捷治愈率100%实现患者清零、零死亡、零感染¡¿2月29日，记者从大理州召开的第五场新闻发布会上获悉，住在大理州医院的第10名新冠肺炎患者治愈出院。至此，全州13名新冠肺炎患者（含2名重症）全部治愈出院，治愈率100%，无死...大理州新冠肺炎救治首战告捷治愈率100%实现患者清零、零死亡、零感染
厦门网,:#全民携手抗疫情#【云南紧急调配80万毫升血液驰援湖北】这批血液包括80万毫升悬浮红细胞和50个治疗单位的血小板，是云南省在两天时间内，从11个州市血液中心、血站筹集而来，其中云南昆明血液中心、大理州中心血站均调配了20万毫升悬浮红细胞。这也是云南首批调配支援湖北的血液。http://t.cn/A67VRP3a
哲法社实,:【哲法】@团在上师大@上师大社会实践中心社会实践回顾――寒假调研🔍通过访谈检察官我们了解到，在检察院人财物归省统管以后，检察官的工资并没有得到保障，当初大家都争先恐后的想要入额，入额后确发现压力重大、责任重大，工作压力与权限不匹配，许多检察官都苦不堪言。然而在大理州这些经济落后的少数民族地区即便工作压力巨大，法官检察官也不敢轻易辞职，辞职就会造成失业的状况，生活都难以得到保障，检察官队伍进出都比较困难。💪改革的目的是为了减少地方的影响，增强办案的独立性，并且提高工作效率，捕诉合一就是一个较好的例子，可以更好的查清犯罪事实，增加结案率。✨
玉溪网,#加强疫情防控云南在行动#【清零！大理州最后一例新冠肺炎患者出院】2月29日上午，大理州最后一例新冠肺炎患者从大理州人民医院治愈出院。患者屠某某，女，63岁，湖北武汉人，1月28日到大理市第一人民医院发热门诊就诊后转隔离治疗，1月29日转至大理州人民医院进行隔离治疗，属于大理州唯一一例新冠肺炎重型病例。经过近一个月的治疗，患者4次新冠肺炎病毒核酸检测均为阴性，达到解除医学隔离标准，可以出院。出院后，患者将到留置点进行继续观察，医护人员也将每天对病人身体状况进行随访。截至目前，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。（大理州委宣传部）
昆明资讯台,:#疫情最新情况#【无新增！截至2月29日12时，云南治愈出院157例，现有确诊病例15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。各州市累计确诊病例：昆明市53例（治愈出院48例），昭通市25例（治愈出院20例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院12例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院8例），红河州9例（治愈出院8例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区中，低风险县市区125个，中风险县市区4个（五华区、嵩明县、蒙自市、泸西县）。
美丽云南微科普,:【大理州开展疫情防控科普工作】自2月1日以来，大理州科协14名干部职工转发科普微信405条；科普大篷车进社区开展宣传活动4次；积极与州卫健委合作，编印防控手册；宣传全州抗疫一线的科技工作者先进事迹典型20余篇。永平县科协在科普大篷车上加装音响设备，深入乡村开展抗疫防控科普知识宣传，共播放相关“抗疫防控”科普音频900多分钟，覆盖17个村民小组，“永平科普”微信公众号2月8日-14日，发布正规平台权威“抗疫防控”科普信息共46条，阅读量139196条次，“科普永平”新浪微博分享转发科普信息46条。弥渡县科协驻东风村扶贫工作队队长李克飞1月26日大年初二，告别爱人和出生仅40天的小女儿到全县人口数最多的村委会——东风村报到，担起第一书记、工作队长的工作职责，立即与村两委一起研究科学防控疫情工作，组织开展应急科普知识宣传，通过悬挂宣传标语、张贴公告、科普宣传图画、广播等做好宣传。#每日科普资讯#
云南政法,:【大理也清零啦】据@大理政法消息，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。大理州累计确诊13例患者全部治愈出院。#最新疫情地图#
问政大理,:中共大理州委大理州人民政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部通告第13号关于公布大理州疫情防控物资重点保供企业（单位）名录（第四批）的通告
红河同城,:【尽锐出战，云南省十批医疗队支援湖北省疫情防控】抽调了来自省卫生健康委和16个省级医疗卫生单位，以及昆明市、曲靖市、红河州、楚雄州、大理州、文山州、玉溪市、普洱市、临沧市、丽江市10个州市共121所医疗卫生机构（含57所三甲医院）的各专业、各领域最优秀人才共10批铁军奔赴湖北。截至2月24日，云南省共向湖北派出由重症医学、呼吸、感染性疾病、医院感染控制、心理卫生、心内、护理、中医、疾控等人员组成的10批工作队1156人。（云南省委省政府应对新冠肺炎疫情工作领导小组指挥部办公室主任，云南省卫生健康委员会主任杨洋）
春城晚报,:#新型冠状病毒·感染肺炎#【云南大理州：治愈率100%实现患者清零、零死亡、零感染】2月29日，记者从大理州召开的第五场新闻发布会上获悉，住在大理州医院的第10名新冠肺炎患者治愈出院。至此，全州13名新冠肺炎患者（含2名重症）全部治愈出院，治愈率100%，无死亡病例，全州新冠肺炎住院患者“清零”。4所定点医院进入隔离病区工作的医护人员没有发生感染，取得了医护“零感染”，住院患者“清零”，“零死亡”的卓越成绩，全州新冠肺炎救治首战告捷。一个多月来，大理州和全国、全省一道，在党中央的领导和指挥下，时刻牢记“生命重于泰山、疫情就是命令、防控就是责任”的嘱托，全力聚焦“双降、双增、两确保”目标，认真落实“控增量、减存量、防变量”的要求，精准施策，科学防控，先后发布13个通告，全州疫情防控工作在党委领导、政府主导，部门联动、齐抓共管，全社会共同参与、各方面共同努力下，实现了疑似病例、确诊病例、密切接触者“三清零”！这是一个鼓舞人心、提振士气的好消息，更是在州委州政府的坚强领导下，全州人民共同抗击疫情取得的重大阶段性成效。http://t.cn/A67VPqOJhttp://t.cn/RI9RdU5
FM99香格里拉之声,:#无偿献血•大爱无疆——你就是传奇#【【爱心战疫】湖北加油！大理捐献的20万毫升爱心血液已出发！】2月28日上午，3辆满载着全州364万各族人民和广大无偿献血者爱心和嘱托的20万毫升爱心血液，从大理州中心血站出发驰援湖北，协助湖北做好疫情期间血液供应保障工作，彰显了白州人民大爱无疆的精神。@春城晚报http://t.cn/A67cRqjQ
李子的围脖,#加强疫情防控云南在行动#【清零！大理州最后一例新冠肺炎患者出院】2月29日上午，大理州最后一例新冠肺炎患者从大理州人民医院治愈出院。患者屠某某，女，63岁，湖北武汉人，1月28日到大理市第一人民医院发热门诊就诊后转隔离治疗，1月29日转至大理州人民医院进行隔离治疗，属于大理州唯一一例新冠肺炎重型病例。经过近一个月的治疗，患者4次新冠肺炎病毒核酸检测均为阴性，达到解除医学隔离标准，可以出院。出院后，患者将到留置点进行继续观察，医护人员也将每天对病人身体状况进行随访。截至目前，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。（大理州委宣传部）
加油大理,:【刚刚！大理州最后一名新冠肺炎患者治愈出院！】今天上午，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。疫情发生以来，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。据了解，患者屠某长期居住在武汉，女，64岁。1月28日，自觉身体不适到大理市第一人民医院检查，考虑新型冠状病毒肺炎疑似病例。1月29日，收住大理州人民医院隔离病区治疗。通过治疗，2月29日治愈出院。来源:大理电视台
微迪庆,:【无新增！截至2月29日12时，云南治愈出院157例，现有确诊病例15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。@云南日报
春城晚报,:#无偿献血•大爱无疆——你就是传奇#【【爱心战疫】湖北加油！大理捐献的20万毫升爱心血液已出发！】2月28日上午，3辆满载着全州364万各族人民和广大无偿献血者爱心和嘱托的20万毫升爱心血液，从大理州中心血站出发驰援湖北，协助湖北做好疫情期间血液供应保障工作，彰显了白州人民大爱无疆的精神。http://t.cn/A67cRqjQ
大理微博在线,:#大理爆料#【大理州最后一例新冠肺炎患者在州医院治愈出院】2月29日，大理州最后1例新冠肺炎确诊患者在州医院治愈出院，至此，州医院10例确诊患者已全部治愈出院。随着最后一例患者治愈出院，全州13例确诊病例完成治愈“清零”目标，无新增病例！据感染科苏慧勇主任介绍，最后一名出院患者为武汉籍女性，64岁。自1月28日发热伴乏力到大理市第一人民医院检查，1月29日收住我院进行隔离治疗后确诊，入院时病情较重，确诊为新冠肺炎重症病例。入院后患者相继出现贫血、低蛋白血症、免疫功能低下等症状，并诊断出合并有Ⅱ型糖尿病、高血压、脑萎缩，大大增加了治疗难度。经省级专家组、院内专家组的多次会诊，根据患者情况不断调整治疗方案，进行抗感染、抗病毒治疗药物的优化，联合中医治疗，开通绿色通道诊疗，进行心理疏导等，为患者提供系统全面的治疗。苏主任表示，患者入院时连自己翻身都成问题，到现在的治愈出院、活动自如，除了医生的治疗，更离不开护理团队的努力和付出。他们除了常规的护理治疗外，还协助患者翻身拍背、指导做呼吸操，进行功能康复锻炼，饮食调理，辅助洗漱、上卫生间、喂药、喂饭等等，生活护理、心理护理都做得很到位，作为科主任，为所有医护人员的艰辛付出点赞。经过31天的精心治疗和护理，患者病情好转，呼吸道症状减轻，双肺CT提示病灶吸收良好，4次新型冠状病毒核酸检测阴性，治疗有效，达到解除医学隔离标准，报请相关部门后，治愈出院。出院后将被定点安置进行为期2周的隔离观察，期间医院也会派专人进行跟踪随访。http://t.cn/RO23cnK
听红河,:#疫情最新情况#【无新增！截至2月29日12时，云南治愈出院157例，现有确诊病例15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。各州市累计确诊病例：昆明市53例（治愈出院48例）昭通市25例（治愈出院20例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院12例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院8例）红河州9例（治愈出院8例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区中，低风险县市区125个，中风险县市区4个（五华区、嵩明县、蒙自市、泸西县）。（云南省卫生健康委员会）
云南日报,:#加强疫情防控云南在行动#【疫情快报丨无新增！截至2月29日12时云南现有确诊病例15例】2月29日0时至12时，云南无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。http://t.cn/A67cOtrU
云南信息报,:#疫情情况#【无新增！截至2月29日12时，云南治愈出院157例，现有确诊病例15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。各州市累计确诊病例：昆明市53例（治愈出院48例），昭通市25例（治愈出院20例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院12例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院8例），红河州9例（治愈出院8例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区中，低风险县市区125个，中风险县市区4个（五华区、嵩明县、蒙自市、泸西县）。（云南省卫健委）
大姚政法,:#今天不发朋友圈又得等四年##最新疫情地图#2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。
昆明五华发布,:#疫情最新情况#【无新增！截至2月29日12时，云南治愈出院157例，现有确诊病例15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。各州市累计确诊病例：昆明市53例（治愈出院48例），昭通市25例（治愈出院20例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院12例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院8例），红河州9例（治愈出院8例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区中，低风险县市区125个，中风险县市区4个（五华区、嵩明县、蒙自市、泸西县）。（云南省卫生健康委员会）
云南广播电视台,:#关注云南新型肺炎疫情防控#【无新增！截至2月29日12时，云南治愈出院157例，现有确诊病例15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。各州市累计确诊病例：昆明市53例（治愈出院48例），昭通市25例（治愈出院20例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院12例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院8例），红河州9例（治愈出院8例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区中，低风险县市区125个，中风险县市区4个（五华区、嵩明县、蒙自市、泸西县）。（云南省卫生健康委员会）
云南网,:#抗击疫情云南在行动#【大理，清零！】2月29日上午，大理州最后一例新冠肺炎患者从大理州人民医院治愈出院。患者屠某某，女，63岁，湖北武汉人，1月28日到大理市第一人民医院发热门诊就诊后转隔离治疗，1月29日转至大理州人民医院进行隔离治疗，属于大理州唯一一例新冠肺炎重型病例。经过近一个月的治疗，患者4次新冠肺炎病毒核酸检测均为阴性，达到解除医学隔离标准，可以出院。出院后，患者将到留置点进行继续观察，医护人员也将每天对病人身体状况进行随访。截至目前，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。（云南发布）
都市条形码,:#战“疫”最前线#【中风险县市区减至4个！2月29日0时至12时，云南无新增确诊病例，现有确诊15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。各州市累计确诊病例：昆明市53例（治愈出院48例）昭通市25例（治愈出院20例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院12例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院8例）红河州9例（治愈出院8例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）。全省129个县市区中，低风险县市区125个，中风险县市区4个（五华区、嵩明县、蒙自市、泸西县）。截至2月28日24时，云南省已连续8天新增病例为02月28日12时至24时，无新增确诊病例（已连续8天新增病例为0）。截至2月28日24时，全省累计确诊病例174例，治愈出院156例，死亡2例，现有确诊病例16例，无重症、危重症病例。现有疑似病例11例。密切接触者当日解除医学观察96人，正在观察154人。各州市累计确诊病例：昆明市53例（治愈出院48例），昭通市25例（治愈出院20例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院12例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院12例），保山市9例（治愈出院8例），红河州9例（治愈出院8例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区中，低风险县市区123个，中风险县市区6个（五华区、官渡区、嵩明县、大关县、蒙自市、泸西县）。详情请戳微刊：http://t.cn/A67cXAJN
都市时报,:#云南疫情最新通报#【无新增！截至2月29日12时，云南治愈出院157例，现有确诊病例15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。http://t.cn/A67cJfJ2
春城晚报,:#新型冠状病毒·感染肺炎##云南发布#【无新增！截至29日12时，云南现有疑似病例8例，中风险县市区降至4个】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。http://t.cn/A67cJzKm
都市条形码,:#战“疫”最前线#【无新增！截至2月29日12时，云南治愈出院157例，现有确诊病例15例】2月29日0时至12时，无新增确诊病例，新增治愈出院病例1例（大理州）。截至2月29日12时，全省累计确诊病例174例，治愈出院157例，死亡2例，现有确诊病例15例，无重症、危重症病例。现有疑似病例8例。各州市累计确诊病例：昆明市53例（治愈出院48例）昭通市25例（治愈出院20例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院12例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院8例）红河州9例（治愈出院8例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）。全省129个县市区中，低风险县市区125个，中风险县市区4个（五华区、嵩明县、蒙自市、泸西县）。来源：云南省卫生健康委员会
凯小吹,【最强驰援！80万毫升血液！云南首批“热血”紧急驰援湖北
云南广播电视台,:#关注云南新型肺炎疫情防控#【清零！大理最后一例新冠肺炎患者出院！】今天上午，大理最后一例新冠肺炎患者出院！患者屠某长期居住在武汉，女，64岁。1月28日，自觉身体不适到大理市第一人民医院检查，考虑新型冠状病毒肺炎疑似病例。1月29日，收住大理州人民医院隔离病区治疗。通过治疗，2月29日治愈出院。截止目前，大理州13例新冠肺炎肺炎患者已全部治愈出院，无新增病例！（来源/大理台董博文蔡亮报道）
云南发布,:#加强疫情防控云南在行动#【清零！大理州最后一例新冠肺炎患者出院】2月29日上午，大理州最后一例新冠肺炎患者从大理州人民医院治愈出院。患者屠某某，女，63岁，湖北武汉人，1月28日到大理市第一人民医院发热门诊就诊后转隔离治疗，1月29日转至大理州人民医院进行隔离治疗，属于大理州唯一一例新冠肺炎重型病例。经过近一个月的治疗，患者4次新冠肺炎病毒核酸检测均为阴性，达到解除医学隔离标准，可以出院。出院后，患者将到留置点进行继续观察，医护人员也将每天对病人身体状况进行随访。截至目前，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。（大理州委宣传部）
云南日报,:#加强疫情防控云南在行动#【清零！#大理州最后一例新冠肺炎患者出院#】今天上午，大理最后一例新冠肺炎患者出院！患者屠某长期居住在武汉，女，64岁。1月28日，自觉身体不适到大理市第一人民医院检查，考虑新型冠状病毒肺炎疑似病例。1月29日，收住大理州人民医院隔离病区治疗。通过治疗，2月29日治愈出院。截止目前，大理州13例新冠肺炎肺炎患者已全部治愈出院，无新增病例。http://t.cn/A67cMQ5x
云南共青团,:【清零！大理州最后一例新冠肺炎患者在州医院治愈出院！】2月29日，大理州最后1例新冠肺炎确诊患者在州医院治愈出院，至此，州医院10例确诊患者已全部治愈出院。随着最后一例患者治愈出院，全州13例确诊病例完成治愈“清零”目标，无新增病例！据介绍，最后一名出院患者为武汉籍女性，64岁。自1月28日发热伴乏力到大理市第一人民医院检查，1月29日收住我院进行隔离治疗后确诊，入院时病情较重，确诊为新冠肺炎重症病例。入院后患者相继出现贫血、低蛋白血症、免疫功能低下等症状，并诊断出合并有Ⅱ型糖尿病、高血压、脑萎缩，大大增加了治疗难度。经省级专家组、院内专家组的多次会诊，根据患者情况不断调整治疗方案，进行抗感染、抗病毒治疗药物的优化，联合中医治疗，开通绿色通道诊疗，进行心理疏导等，为患者提供系统全面的治疗。#四年一度的2月29来了#
丽江日报,:【清零！#大理州最后一例新冠肺炎患者出院#】#加强疫情防控云南在行动#2月29日上午，大理州最后一例新冠肺炎患者从大理州人民医院治愈出院。患者屠某某，女，63岁，湖北武汉人，1月28日到大理市第一人民医院发热门诊就诊后转隔离治疗，1月29日转至大理州人民医院进行隔离治疗，属于大理州唯一一例新冠肺炎重型病例。经过近一个月的治疗，患者4次新冠肺炎病毒核酸检测均为阴性，达到解除医学隔离标准，可以出院。出院后，患者将到留置点进行继续观察，医护人员也将每天对病人身体状况进行随访。截至目前，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。（大理州委宣传部）
王者之香二86,:病毒无情，苍洱有爱！捐献热血，共抗疫情！【热血出征！楚雄3万，保山3万，大理20万亳升爱心血液驰援湖北】热血出征！楚雄3万、保山3万..大理20万毫升爱心血液驰援湖北！……2月28日早上，随着3辆献血车缓缓驰离大理州中心血站，大理州支援湖北20万毫升爱心血液出发……大理市
