勃林格殷格翰中国,:尼达尼布再获肯定！
前进正月风,【#美国又有4人死于新冠肺炎##巴西对病毒基因测序发现不同#】美洲新冠肺炎病例数量继续增加，美国华盛顿州卫生官员2日宣布该州又有4人死于新冠肺炎。巴西研究人员对病毒基因测序的结果显示，巴西两个确诊病例体内的病毒有所不同。美国华盛顿州金县卫生官员杰弗里·杜钦2日在新闻发布会上说，华盛顿州又有4人死于新冠肺炎，但这4个死亡病例此前未纳入美国疾病控制和预防中心的统计。美疾控中心2日发布的数据显示，截至1日美国共有91例确诊或推定阳性病例，有2个死亡病例。推定阳性病例指的是已在某些实验室检测结果为阳性，但未经过美疾控中心确认性检测的病例。加拿大安大略省卫生部2日宣布又确诊3例新冠肺炎病例。加拿大全国累计确诊病例数增至27例。巴西卫生部2日最新公布的数据显示，目前巴西有2例确诊病例。巴西阿道弗·卢茨研究所和圣保罗大学医学院的研究人员对这两个病例体内的病毒进行了基因测序，结果发现首个病例体内的病毒与在德国发现的病毒更加相似，而第二个病例体内的病毒则与在英国发现的病毒更加相似。二者与在中国发现的病毒也有所不同。据介绍，这两名患者都是今年2月在意大利感染后回到巴西的。圣保罗大学医学院研究人员埃斯特尔·萨比诺表示，病毒出现的变异是疫情在相关地区传播留下的印记，可被研究人员用于追踪病毒传播路径。@新华视点
babehwang,:不想恋爱的毛病又犯了我想安安静静和纸片人在一起我是不是有点啥心理疾病了...
前进正月风,【#美国又有4人死于新冠肺炎##巴西对病毒基因测序发现不同#】美洲新冠肺炎病例数量继续增加，美国华盛顿州卫生官员2日宣布该州又有4人死于新冠肺炎。巴西研究人员对病毒基因测序的结果显示，巴西两个确诊病例体内的病毒有所不同。美国华盛顿州金县卫生官员杰弗里·杜钦2日在新闻发布会上说，华盛顿州又有4人死于新冠肺炎，但这4个死亡病例此前未纳入美国疾病控制和预防中心的统计。美疾控中心2日发布的数据显示，截至1日美国共有91例确诊或推定阳性病例，有2个死亡病例。推定阳性病例指的是已在某些实验室检测结果为阳性，但未经过美疾控中心确认性检测的病例。加拿大安大略省卫生部2日宣布又确诊3例新冠肺炎病例。加拿大全国累计确诊病例数增至27例。巴西卫生部2日最新公布的数据显示，目前巴西有2例确诊病例。巴西阿道弗·卢茨研究所和圣保罗大学医学院的研究人员对这两个病例体内的病毒进行了基因测序，结果发现首个病例体内的病毒与在德国发现的病毒更加相似，而第二个病例体内的病毒则与在英国发现的病毒更加相似。二者与在中国发现的病毒也有所不同。据介绍，这两名患者都是今年2月在意大利感染后回到巴西的。圣保罗大学医学院研究人员埃斯特尔·萨比诺表示，病毒出现的变异是疫情在相关地区传播留下的印记，可被研究人员用于追踪病毒传播路径。@新华视点
babehwang,:不想恋爱的毛病又犯了我想安安静静和纸片人在一起我是不是有点啥心理疾病了...
Gormlaithhh,【#伊朗23名国会议员确诊#新冠肺炎1名高级官员死亡】3月3日，伊朗23名国会议员确诊感染新冠病毒，这些议员的名字尚未被公开，而据伊朗官方媒体消息，病毒已致一名高级司法官员死亡。3日当天伊朗又激增835例确诊，累计确诊2336例、死亡77例。世面的秒拍视频
周周周的妈咪,#妈咪汇求交流#@查理熊Charleybear：公司要给员工买意外险。想问下广大网友有推荐的保险么？
汤圆香甜,:【橙子】橙子中富含维生素C，比一般的水果多30%以上。维生素C是肌肤保养必不可缺的成分，每天吃1-2个橙子，就能满足身体对维生素C的日需量。多吃橙子，还能帮你远离伤风感冒和流感，橙子被誉为增强人体免疫系统和抵御疾病的佳品，并不亚于感冒药。
小径青石,:都说天堂没有疾病，没有痛苦，如果是这样，天堂就是个好地方，能去天堂就是个幸福的事。有人把人亡故叫做去天堂，既然如此，又何必难过？人有一个共同的弱点，拿虚假安慰自己，次数多了，明知是假的，自己都选择性的相信那是真的了。天堂是不存在的，来生也是不存在的，今生今世，即使蹉跎，不寄来生。
再也永不言弃,:【一杯绿茶七大功效】①延缓衰老，茶多酚具有很强的生理活性和抗氧化性，可以有效抗衰老；②抑制心脑血管疾病的发生，茶多酚可以促进脂肪代谢，防三高，预防心脑血管疾病；③消炎止泻，茶多酚有非常明显的杀灭，抑制病毒的作用；⑤美容养颜，用茶叶水洗脸，可以控油和收缩毛孔；⑥保护牙齿。
哥屁颠屁颠过,:我免费围观了@意大利华裔医生在北京和睦家医院的回答，问题价值49.00元，快来一起免费围观~<br/>微博问答:医生你好妈妈57岁上周一起床后眩晕最厉害的时候引起呕吐后几天有轻微好转但头向右侧转会眩晕去医院大夫怀疑是耳石症但要先做核磁检查排除脑里有其他疾病后再做耳
沪上啄木鸟,非武汉城市，其他疾病的收治能力，也下降了非常多，更别提武汉了。次生伤害造成的死亡人数，会超过新冠肺炎的死亡人数。这种说不出的痛苦，时刻发生在我们周边。
小傻子94945,#易烊千玺[超话]##和千玺说早安#要怎样一语破的表达一种幸福，只能借自然之景阐释心绪：想你时，仿佛阳光缓缓撒落海平面；露珠顺滑跌在下一片嫩叶；黄鹂以鸣叫问候伙伴。你瞬间的举止都镌刻心底，不经意地嘴角上扬，默念有你真好。早安，宝贝[太阳]@TFBOYS-易烊千玺#末日长河[音乐]##牺牲的一半[音乐]##Gone-TFBOYS-易烊千玺[音乐]#
LoSeRrecall,:这个世界总有进进出出的人，一生戎马也终归于尘土，一路走好，愿天堂不会有疾病🕯️🕯️......一生遗憾没能给您磕个头，谢谢您
毛馨悦的微博,@面相与命运苏州·枫景苑A区
化州橘红-中华咳宝,:咳嗽是一种症状而不是疾病。感冒、肺炎、支气管异物等都可引起咳嗽，所以孩子咳嗽时要分析原因，根据实际情况作相应处理；家长别擅自随意买药给孩子服用。我经常解释，只要不是严重影响到生活和睡眠，都不必太在意。几乎每一次都会看到家长疑惑的表情，感觉任重而道远啊！
何姓约,:【有不适及时就诊，定期作体检】很多人胃不舒服就随便买些胃药吃了，还有些人觉得胃病是小病，毫不在乎，这些都不可取。日本建议40岁以上的健康人每年做一次胃镜或钡餐检查；如果已经有消化道疾病，要听从医生建议做相应的检查。千万不要自己给自己下药或置之不理。宿迁·百星花园
Latte需要好天氣,:五尺天涯🎬虽然结尾部分情节有点狗血，但瑕不掩瑜。原来世界上还有这样一种疾病，还有这么一类人，为了生存而努力生活。我们要和别的人隔开六英尺，而Will你是五英尺。偷来的那一英尺我还是无法触碰到你。很好哭😭男主颜值很🉑️
私黛-D女郎-一阵风,:#大姨妈[超话]#私黛说大姨妈推迟有两种原因：一种是怀孕，另一种是内分泌引起。如果没有怀孕，连续两个周期都推迟，多因内分泌功能紊乱、压力、精神因素引起，常见于多囊卵巢综合征等疾病，放置节育器也可以引起月经推迟。
Alexis-1997,:只愿世上再无疾病善良的人可以得到温暖不再为生活奔波所迫一生平安喜乐
真我心理BeMyself,:因过分依赖而引起的心理失调，心理学家称为＂消极性依赖人格失调＂，在所有心理失调现象中，这是最常见的一种症状。患有这种疾病的人，只是苦死如何获得他人的爱，甚至没有精力去爱别人，如同饥肠辘辘者只想着向别人讨要食物，却不能拿出食物帮助别人。他们寂寞和孤独，永远无法体验到满足感。尤为可怕的是，他们甚至不知自己患上了＂消极性依赖人格失调＂。他们不能够突破自我界限，其人生价值依赖于同别人的情感关系。他们不在乎依赖的对象是谁，只要有人可以依赖，就心满意足。只要通过与别人的关系，让他们获得某种身份或角色，他们就会感觉舒适，至于那是什么身份，对他们并不重要。他们的情感关系，貌似热烈，实则脆弱，因为他们构建情感的目的，只是为填补内心的空虚，甚至达到来者不拒的地步。在他们的白日梦里，没有＂努力＂、＂进步＂的字眼，只想不费力地得到爱和照顾。仅仅把得到别人地爱当成是最高目标，你就不可能获得成功。想让别人真正地爱你，恐怕只有让自己成为值得爱的人。满脑子想的只是消极接收别人地爱。就不可能成为值得爱的人。摘自《少有人走的路》
Alexis-1997,:只愿世上再无疾病善良的人可以得到温暖不再为生活奔波所迫一生平安喜乐
真我心理BeMyself,:因过分依赖而引起的心理失调，心理学家称为＂消极性依赖人格失调＂，在所有心理失调现象中，这是最常见的一种症状。患有这种疾病的人，只是苦死如何获得他人的爱，甚至没有精力去爱别人，如同饥肠辘辘者只想着向别人讨要食物，却不能拿出食物帮助别人。他们寂寞和孤独，永远无法体验到满足感。尤为可怕的是，他们甚至不知自己患上了＂消极性依赖人格失调＂。他们不能够突破自我界限，其人生价值依赖于同别人的情感关系。他们不在乎依赖的对象是谁，只要有人可以依赖，就心满意足。只要通过与别人的关系，让他们获得某种身份或角色，他们就会感觉舒适，至于那是什么身份，对他们并不重要。他们的情感关系，貌似热烈，实则脆弱，因为他们构建情感的目的，只是为填补内心的空虚，甚至达到来者不拒的地步。在他们的白日梦里，没有＂努力＂、＂进步＂的字眼，只想不费力地得到爱和照顾。仅仅把得到别人地爱当成是最高目标，你就不可能获得成功。想让别人真正地爱你，恐怕只有让自己成为值得爱的人。满脑子想的只是消极接收别人地爱。就不可能成为值得爱的人。摘自《少有人走的路》
跃梦天使-,:研究历史是医治心灵疾病的良药。——（古罗马）李维（摘抄笔记）#读书#
经济学人Johnson,:《非洲出现神秘疾病，染病高烧出血，英媒：无药可治比鼠疫更可怕》据英国《每日星报》3月2日报道称，在埃塞俄比亚，一种神秘而可怕的致命疾病夺去了村民的生命，这可能就是可怕的“X疾病”。http://t.cn/A67pV7ro
Irrrene_3,:我觉得我这个人心理大概是有疾病的越得不到越喜欢并且在这个追逐的过程中逐渐沉迷这个求而不得的感觉虐我自己但是很爽
狼狈牟鸿福,:眼睛半睁不闭！会有打喷嚏的现象……感冒是贵宾犬最常见的一种疾病！或者在寒冷的冬天贵宾犬着凉是常见的事情、同时体温身高发烧……如果长时间得不到有效的治疗可能会引发更严重的后果，感冒后的贵宾犬精神都会变得萎靡不振、在贵宾犬洗澡后着凉。喜欢流眼泪鼻涕……莱芜
竹鳩伸之輔,:@伸之輔
秋时雨Kepler,:这都不结婚?这都不结婚?这都不结婚?????民政局都给你俩撬来快点结婚好吗
伊嘉美美颜美体工作室,:#洛阳动保免费领养猫狗[超话]#狸花串儿小公猫找领养٩(♡㉨♡)۶特别可爱又粘人的公猫，因为一些事故现在需要一个负责的主人，很活泼，应该没什么疾病，目测五个月左右，对领养人没什么要求，定时绝育，定时打针，接受回访就可以了，洛阳市区最好，周边县城可以考虑自己找车运过去，有意愿的随时联系我，感谢#洛阳领养[超话]#
关于知识分子的札记,:如今这个年代，人类岁数越来越长，但慢性疾病也越来越多。和“主治医”一道，“管家式药房”的重要性也愈发凸显。灵活运用“药物记录”综合性地管理复数药物，并且站在患者的角度提供耐心的解释，这种服务的需求越来越高。针对非细菌性感染的滥用抗生素现象，应当正确宣传滥用抗生素与耐药性之间的关系。
无知读书人,:精神疾病就是这么给污名化的……这些人太恶心人了
宽之看相,:左手断掌（男儿断掌千金两），配合断掌线上端有平行线的，事业运强，财运佳。手掌正面看婚姻线只有一条，配合感情线属于纯情纹的，婚姻能够从一而终，而且婚姻生活幸福美满。生命线末端多条分叉的，晚年健康状况差，易发疾病。
迪迦奥特猫,:【全球超3亿人患抑郁症，一个测试让你了解】<br>你的抑郁症不一定是真的抑郁症，真正的要符合很多条件，还有可能是其他的疾病。<br>有些人会出现一段时间的心情低落、悲观消极就开始怀疑自己患上了抑郁症，但是实际上真的是这样吗?<br>这个抑郁症测试帮你了解自己→http://t.cn/A6vo97G3
七台河发布,:#坚决打赢疫情防控阻击战#81岁重患，出院！3日，省新冠肺炎重症救治中心再次传来好消息，一名81岁重症患者治愈出院。据了解，2月14日，该患者从鸡西转入省新冠肺炎重症救治中心ICU，临床表现为发热和呼吸困难，并伴有冠心病、糖尿病等基础性疾病，经专家会诊，针对患者的情况，为其制定了个体化的治疗方案。2月20日，该患者病情好转，转出ICU，进入过渡病房继续治疗。2月23日、2月25日，医护人员连续对其进行两次核酸检测，均为阴性。经专家组评估，符合出院标准，于3月3日出院返回鸡西，进行隔离14天的医学观察。“医护人员像儿女一样无微不至地照顾我，她们是世界上最好的医生。”出院时，这位患者十分激动。他说，现在最迫切的心愿就是回家给老伴儿做顿饭。黑龙江日报
天牛公子,小白终于真正站起来了。小白来自哈尔滨，瘫痪2年多，古木开花上海·欧风花都宠物神经内科针灸一金日山的微博视频
山白君,:【全球超3亿人患抑郁症，一个测试让你了解】<br>你的抑郁症不一定是真的抑郁症，真正的要符合很多条件，还有可能是其他的疾病。<br>有些人会出现一段时间的心情低落、悲观消极就开始怀疑自己患上了抑郁症，但是实际上真的是这样吗?<br>这个抑郁症测试帮你了解自己→http://t.cn/A6vo97G3
FM963,:【#西安一医院复工住院要筛查3次#1天预约近2000人】3月2日，随着疫情变化及复工复产，慢性病及普通疾病就诊需求变大。在此情况下，西安交大第一附属医院部分关闭的门诊重新开放。当天，该院门诊预约量达到近2000人。该院的肝胆外科还对住院的患者采用了“三关筛查法”进行筛查管理。#聚焦新冠肺炎疫情#http://t.cn/A67pUgCI
小金龙的妞,:🍐梨膏的功效👇1⃣.针对儿童反复咳嗽、有痰、积食、便秘，一切上火症状，可调理内热体质！2⃣.有效调养慢性咽炎、喉咙干痒不适、支气管炎，及各类呼吸系统疾病。3⃣.有效缓解成人咳嗽不止，长期吸烟，肺部烟毒积聚，应酬喝酒，用嗓过度。4⃣.哺乳期妈妈也可以喝，针对产后便秘、上火、咳嗽…都🉑饮用[旺柴][KeepFighting][GoForIt]http://t.cn/Rp73P2Y
宁夏日报,:【宁夏首个标准化核医学防护病房投入使用可利用放射性药物诊断治疗恶性肿瘤】近日，宁夏首个核医学门诊及标准化核医学防护病房在自治区人民医院正式投入使用。这意味着核医学正式在宁夏运用。该技术可以帮助人们一目了然了解全身整体状况，可达到早期发现病灶和诊断疾病的目的。　　核医学是采用核技术来诊断、治疗和研究疾病的一门新兴学科。据自治区人民医院核医学科主任郝宏毅介绍，在患者静脉注射核素标记的放射性药物后，通过核医学仪器探测放射性药物在人体的分布，完成甲状腺吸碘率测定、甲状腺静态显像、甲状旁腺显像及心肌灌注显像、全身骨显像，然后进行影像处理及分析，就可以对甲状腺功能亢进症、甲癌、甲状旁腺瘤、心肌供血及恶性肿瘤骨转移等疾病进行诊断。除了对疾病进行诊断外，核医学也可以对临床一些疾病进行治疗，例如分化型甲状腺癌、甲亢、转移性骨肿瘤、类风湿性关节炎等。例如，如果让病人服用碘-131，碘-131核素就会像一个精准的导弹定向进入甲状腺组织里，将残存的病灶消灭。　　“由于病人服用或注射的核素具有一定的放射性，因此核防护病房也与普通的住院病房有所区别。在核医学防护病房，每间病房的窗户前都竖立着一块用来阻挡辐射的铅板。接受治疗的患者服用放射性的药物后，自身会成为一个放射源，易对医务人员及周边人群造成辐射。”该院核医学科主任医师尹彩君表示，核医学防护病房是一个相对封闭隔离的地方，核医学防护病房的墙壁、地板和房顶都采用特殊的铅板和硫酸钡进行防护，避免辐射到外部。　　“以治疗分化型甲状腺癌为例，病人在服完131碘后不能离开病房，而是要隔离3天至5天，等到体内的放射性元素衰变到安全的范围，进行检测安全后方可离院。”尹彩君介绍说，患者接受核医学治疗有严格的流程：如果患者周一住院，周二用药，周三、周四观察，周五出院，随后必须对整个病房进行清理，达到放射安全要求。在治疗过程中，患者和医生需通过可视对讲设备沟通；医护人员需穿上防护铅衣才可进入病房查看病情。根据病情需要，核素治疗患者住院期间需禁碘饮食，医院餐饮中心负责提供无碘饮食并通过特殊窗口给患者送餐。　　据了解，目前自治区人民医院核医学科现配置单人病房4间，双人病房4间，可同时满足12人住院核素治疗，服务更多患者。核医学科门诊将联合甲状腺外科及内分泌科、肿瘤科、骨科开展MDT门诊，全方位为患者提供综合性、个体化的诊疗方案。（宁夏日报记者　尚陵彬）
广州新闻电台FM962,:【韩日新冠肺炎确诊病例持续增加#澳大利亚现首个感染源不明病例#】综合新华社驻外记者报道：新冠肺炎疫情在亚太地区一些国家继续蔓延，韩国和日本的疫情受到世界卫生组织重点关注，印度和巴基斯坦病例数增加，澳大利亚出现首个感染源尚未明确的病例。　　韩国疾病管理本部3日发布的数据显示，当地时间2日0时至3日0时，韩国新增新冠肺炎确诊病例600例，累计确诊病例增至4812例。新增病例主要集中在大邱市和庆尚北道，两地已累计确诊4285例。大邱市的确诊病例主要涉及当地某教会，庆尚北道的确诊病例主要与一个医院出现聚集性疫情有关。　　韩国教育部2日宣布，受疫情影响，全国中小学和幼儿园开学时间推迟至3月23日，教育部计划在开学前通过线上教学方式授课。　　世卫组织总干事谭德塞2日说，目前韩国报告的病例数几乎占中国以外病例数的一半，不过有迹象显示韩国的监测等措施正在发挥作用，疫情仍然可控。　　日本广播协会电视台统计数据显示，截至当地时间2日23时，包括“钻石公主”号邮轮上的706例病例在内，日本新冠肺炎确诊病例已增至980例。日本首相安倍晋三2日在国会表示，要针对宣布紧急状态等事项推动相关立法。　　日本47个都道府县中，已有25个报告出现确诊病例，其中北海道最多，达77例。　　印度媒体3日报道，印度卫生部门消息显示2日新增3例确诊病例。其中，印度首都新德里和特伦甘纳邦各1例，两名患者曾分别到意大利和迪拜旅行。还有1例出现在拉贾斯坦邦，是一名在当地旅游的意大利人。至此，印度累计确诊病例6例，此前在喀拉拉邦确诊的3名患者已全部治愈出院。　　巴基斯坦负责国家卫生服务的总理特别助理扎法尔·米尔扎3日在社交媒体平台发布消息说，巴基斯坦已出现第5例新冠肺炎确诊病例，该患者目前病情稳定。　　澳大利亚卫生部门2日说，澳大利亚累计确诊病例数升至33例，其中新南威尔士州一名53岁患者的感染源尚未明确。该州首席卫生官克丽·钱特表示，这意味着很可能还有未被发现的感染者，需要保持警惕。
青白江应急,:#火焰蓝守护平安#【扣人心弦两小时消防成功营救轻生男子】3月2日，怀化靖州一患有精神疾病的男子欲跳楼轻生。该男子挥舞菜刀与@怀化消防消防员僵持了两个小时，后因天气寒冷、体力不支昏厥，命悬一线。消防员见状迅速夺过菜刀，并利用切割机破拆防盗窗，将其拽拉至安全地带，前后仅用了一分钟。为蓝朋友点赞👍http://t.cn/A67NqSRi
老板联播,:【#美国又有4人死于新冠肺炎#：来自同一护理中心，华盛顿州已累计6人死亡
堪布澤仁扎西,:中文在下方：ཨོ་གླིང་དུ་སྤྱིར་ད་བར་ཏོག་དབྱིབས་ནད་དུག་ཅན་སུམ་ཅུ་སོ་བཞི་ལས་མེད་ལ།ཡོང་ཁུངས་ཀྱང་རྒྱ་ནག་ལས་མེད་པ་ལྟ་བུ་ཡིན་མོད།དེ་རིང་སེང་ག་པོར་དང་འཇར་པན།ལྷོ་ཁོ་རེ་ཡ།དབྱི་རན་བཅས་ནས་འཛུལ་མཁན་ནད་པ་བཞི་ཐོན་པས་ད་ནི་ཚོང་ཁང་དག་གི་གྲོ་ཕྱེ་དང་གཙང་ཤོག་སོ་སྨན་སོགས་ཀྱང་རག་ཁག་པར་གྱུར་འདུག།འཛམ་གླིང་སྤྱིའི་ངོས་ནས་ཀྱང་ཚབས་ཇེ་ཆེ་རེད་འདུགནད་འདིས་འབྱུང་འགྱུར་འཛམ་གླིང་གི་མི་བྱེ་བ་ལྷག་ཤི་སྲིད་པའི་ཚོད་དཔག་བྱེད་མཁན་ཡང་འདུག་པས་བོད་པ་དག་གིས་ཀྱང་ད་དུང་ལྷོད་གཡེངས་མི་འོས་པར་མཐོང་ངོ་།།༼༢༠༢༠/༣/༣༽རྫ་ཚེ་རིང་བཀྲ་ཤིས།澳洲开始慌了，这就是今天的悉尼超市的面粉、牙膏、卫生纸等生活用品的情况。愿早日平息疾病！愿一切平安！http://t.cn/RBNdCid
呼呼职业铲屎官丶,:今日份的分享|聊聊猫粮的那些事🥰给我的肥猫猫🐱换了新的减肥期猫粮辣～家里两只肥猫天天只知道吃，完全不运动，😯最多在家里瞎玩玩，肥的肚子都要掉到地上了。之前宠物医生和我说，猫猫再这么胖下去很有可能得三高，而且对关节什么的都不好，身为主人的我真的是头疼炸了。最近get到一款“吃着减肥”的猫粮，真是让我满心欢喜阿，哈哈哈哈哈🥰其实我们的猫咪都在室内，平时很缺乏运动，就会变的很胖胖。肥胖很容易导致一些疾病！⚠️我这次换猫粮就特别注意这点啦，挑选了适合我家猫吃的比瑞吉优选成年期猫粮！这个猫粮一打开，呼呼和奶盖就瞬间爱上了，都过来吃。我闻着都很香，哈哈哈哈😂里面有很明显的可以看得到的冻干草本粒，冻干鸡肉包裹草本，简直就是浓缩的精华啊。好吃又健康，我家猫最爱吃肉冻干啦，所以他们都很满意这次我选的猫粮。爱吃肉的猫猫当然喜欢啦！对啦，里面还🈶️荷叶➕L-肉碱，这是减肥保持体重的秘密搭配，合理配比有助🐱维持好的体型，嘻嘻～不过我家两只🐱都超级乖的，都不挑食呢，希望他们健健康康就好～
东京奥运快报,:【英媒：已签署电视转播协议，#东京奥运会或考虑空场进行#
朱凯恋summer,:番茄，原产南美洲，中国南北方广泛栽培。为茄科番茄属植物番茄的新鲜果实。番茄具有生津止渴、开胃消食、消炎抑菌、预防癌症、预防心血管疾病、延缓衰老的功效，对于暑热消渴、消化不良、食欲不振、免疫力低下、高血脂、高血压、皮肤粗糙等有辅助治疗的功效。1.生津止渴番茄富含汁水、味道酸甜，能够促进唾液分泌，有生津止渴的功效，适合在夏季酷暑时食用，生吃清凉解渴，做菜吃又酸甜生津。2.开胃消食番茄性平，味道酸甜，食用番茄能够促进胃液分泌、促进食物消化，令人胃口大开，因此番茄还具有开胃消食的功效，适合消化不良、食欲不振者食用。3.消炎抑菌西红柿在动物实验中有明显的消炎作用，并且西红柿中含有西红柿碱，能够抑制某些对于人或者植物有致病力的真菌。但是对于细菌的抑制作用却很差，西红柿碱的抑菌原理可能是在真菌的细胞膜内形成某种甾醇复合物。4.预防癌症番茄中含有番茄红素，番茄红素对单线态氧的猝灭和自由基的清除、阻断亚硝胺形成、抑制细胞增殖、诱导细胞分化、增加免疫力、减少DNA损伤及对细胞间隙连接通讯的影响等多方面皆有作用。番茄可以抑制LDL胆固醇的氧化和煎烤肉、鱼的褐色反应中产生的杂环胺类的形成，从而有效的抑制致癌物及肿瘤的产生。5.预防心血管疾病番茄中含有的番茄红素还是预防冠心病、动脉粥样硬化和某些慢性病的重要因子。血清番茄红素的水平与主动脉钙化呈负相关。经常摄食番茄的人群与对照相比，明显降低了血清脂质的过氧化和LDL的氧化，从而减少了动脉硬化和冠心病的发病率。6.延缓衰老番茄中含有很多的维生素C，可以有效的帮助我们美白肌肤，减缓皮肤衰老，抑制各种斑点的形成。而且番茄中含有的番茄红素不仅仅是减缓衰老，还有利于延长寿命。
金澄USANA,:为什么要养生❓因为不养生，财富不保。普通老百姓因病返贫的几率特别高，辛苦奋斗几十年，一场大病回到解放前。健康是自己不受罪，健康是儿女不受累，健康是少花医药费，健康是多得养老费。疾病不等人，养生保健一定要及早准备。把健康当作一项投资行为来做，把观念、时间和少许的金钱投进去，你收获的将是高质量的生活和牢固的财产保障。
樱花妈妈Angela,:#关爱女性#雌激素是女性必不可少的一种激素，它对女性的一生都起着非常重要的作用。导致雌激素偏低的原因很多，有可能是你经常熬夜，有可能是你心情不好，也有可能是卵巢功能下降等等原因，如果有一些全身性的疾病，比如糖尿病、卵巢囊肿、内分泌失调等，也会导致女性的雌性激素低的症状。那么今天就和你聊一聊，女性雌激素低怎么办？我是樱花妈妈Angela，日本试管婴儿达人，有任何问题，欢迎咨询。http://t.cn/A67Ntl9G
环球人物杂志,:【英媒：已签署电视转播协议，#东京奥运会或考虑空场进行#
每日医学资讯,:JEM：科学家发现同时表达αβ和γδTCR的T细胞都柏林圣三一学院的科学家们在免疫系统中发现了一种罕见的新细胞，它具有"双重人格"。这些细胞在感染免疫中起着关键的保护作用，但如果不加以调节，它们也会介导自身免疫性疾病中的组织损伤。这些发现将有助于我们设计更有效的疫苗来预防MRSA等感染，也可能有助于我们开发治疗自身免疫性疾病的新疗法，如多发性硬化症或类风湿关节炎。这项研究由爱尔兰科学基金会(ScienceFoundationIreland)资助，实验免疫学教授KingstonMills、三一生物医学研究所(TrinityBiomedicalSciencesInstitute)生物化学与免疫学学院(SchoolofchemistryandImmunology)的博士后研究员SarahEdwards博士和CarolineSutton博士领导。他们的发现近日发表在《JournalofExperimentalMedicine》上。图片来源：cn.bing.com免疫系统的功能是控制感染，利用各种免疫细胞，如T细胞，来应对和控制入侵的微生物。但是，如果这些免疫细胞不被高度调控，就会攻击和损伤机体组织，导致自身免疫性疾病的发生。被称为T细胞受体(TCRs)的分子使T细胞能够以高度特异性识别感染性因子的组成部分。TCRs使T细胞能够对感染因子作出反应并最终消除感染因子。KingstonMills教授说："直到现在科学家认为有两个不同的T细胞亚群--两群分别表达"αβ"或"γδ"TCRs的细胞。αβs是体内最常见的T细胞。它们在记住以前的感染或免疫接种中起着关键作用，从而帮助我们防止再次感染和介导疫苗诱导的保护性免疫。γδs在粘膜表面更常见，如肺或肠道，并在原体入侵通过这些粘膜时即时提供第一道防御病。""我们已经发现了一种新的细胞类型，同时表达αβ和γδTCRs。这种罕见的嵌合或杂化αβ-γδT细胞同时具有αβ和γδT细胞的性质。重要的是，它们通常高度活跃，随时准备作为第一反应者来控制细菌感染。然而，考虑到这种高水平的激活，它们实际上是'双重人格细胞'，因为在某些情况下，它们也会加速自身免疫反应。"利用金黄色葡萄球菌感染的模型，Mills教授和他的团队发现，这些细胞在感染过程中被迅速动员起来，在迅速清除体内的微生物方面发挥着关键作用。因此，这些杂化的感应αβ-γδT细胞可能代表着设计针对金黄色葡萄球菌和其他传染病的更有效疫苗的新方法，增强我们控制它们的反应的能力可能给我们带来额外的治疗选择。Mills教授说："在一个自身免疫性疾病的模型中，我们发现这种杂化T细胞也可以触发炎症级联反应，从而介导自体免疫中的组织损伤。因此，在易感人群中抑制这些高度激活的免疫细胞的方法可能为治疗自身免疫性疾病如牛皮癣和多发性硬化症开辟新的途径。"参考资料：KingstonMillsetal.ApopulationofproinflammatoryTcellscoexpressesαβandγδTcellreceptorsinmiceandhumans.JournalofExperimentalMedicine(2020)217(5)：e20190834.DOI：doi.org/10.1084/jem.20190834来源：生物谷
张蝌蚪丶,昨天发了一个脱毛仪的广告，然后想起了一个在民间流传极广的说法：经常剃毛/刮毛/剪毛的话，会让胡子或者体毛越长越粗，越长越硬，越长越黑，越长越快.....是这样吗？反正小时候我妈就是这么跟我说的。先说结论：不是。大胆地修剪你的体毛吧！它们不会报复性生长的，无论你怎么修剪，胡子或者体毛的生长速度都不会变快，也不会变得更粗更硬更黑。“体毛越剪越长”的说法在世界各地都有流传，在1928年的时候，有4位猛男献身科学，刮了脸上一半的胡子，然后观察新长出来的胡子到底有没有变得黑长粗硬——结论是没有。1970年，有这方面的论文发表了：http://t.cn/A67CLGeU这次是抓了五位壮士，刮腿毛，结论依然一样：新长出来的腿毛没有变得黑长粗硬。不过真正好玩的是，为啥民间会流传着这样的说法呢？一个主流的答案是：错觉。在刚刮掉毛之后，新生长出来的毛发长度短，截面粗，显得又黑又硬，但其实一段时间之后，随着长度变长，卷曲度增加，毛发的尖端变细，看起来就跟以前没两样了。那么，为什么有些青少年在刮完胡子之后，发现胡子的生长速度确实变快了呢？这其实也是一种错觉：因为青少年即使不刮胡子，胡子的生长速度也会逐渐加快，因为他们正处于发育阶段啊......这时候胡子的生长速度同样跟剃毛无关。所以，想脱毛的话就放心脱吧，毛不会报复你的，放心~
Vicky_qy,:新的传染病，扩散的不仅是疾病，更多的会扩散本土主义。
胡小拽,中国不需要为病毒起源与否向世界道歉
Kris大姐姐,【#伊朗民众涌入寺庙舔圣墙#：希望接收病毒以保护别人
全球猎奇君,:印度人视牛为神灵，喝牛尿在印度民间很普遍，很多人相信喝牛尿可以治疗疾病。印度卫生和家庭福利部部长曾表示，印度正在研究使用牛尿治疗癌症。伊万卡粉丝团的微博视频
