宋旗,:#4128万多名党员捐款47.3亿元#众志成城，共克时艰日照
三邮动力,:#为家守护共克时艰#，我为#万和“安全家”行动#点赞！三门峡邮政情系万家、信达天下！我承诺，与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！参与话题转发评论3月31日@微博抽奖平台抽1位赠送【故宫手账】
公务员考试之路,:援鄂医疗队送行讲话全文稿系列之2：青海省长刘宁750字为“没有军衔的白衣战士”送行http://t.cn/A6hlU2Vz。你们无论在青海这头还是在湖北那头，都在大家的心头。面对疫情，青海人民和湖北人民心手相连、共克时艰，当前我省首批援助湖北医疗队已在武汉市新洲区全面开展医疗救治工作。在湖北那头，你们将用自己的艰辛和平凡的工作为患者带来平安和幸福。在家乡这头，600多万各族群众和省委省政府是你们坚定的支持者，我们盼望用高原第一缕春风吹绿的树叶等你们凯旋，让你们的光荣之花绽放异彩，也希望你们在辛勤付出的同时，多留一份关心给自己，做好防护工作，平安归来。▲各省区市遴选小白入门免费课视频回放（刘源老师和团队博雅老师2019年公开授课视频）http://t.cn/A6hfOp0e。▲2019+2020两年中央遴选真题解析免费课视频300分钟（刘源老师2019年11月解析2019真题12月解析2020真题）http://t.cn/A6hfOpOv。▲面试免费课视频免费回放（刘源团队2020年1月整理奉献）http://t.cn/A6haz99U。
南京晨报,:#关注江苏新型肺炎疫情#【南京市认证机构助力小微企业复工复产】疫情防控期间，为助力中小微企业复工复产、共克时艰，南京市市场监管局认证监督管理处主动靠前服务，引导全市51家认证机构适应疫情防控形势下认证市场的特点，主动作为，积极服务，以认证传递信任，以实际行动支持抗击疫情，彰显社会担当，履行社会责任。http://t.cn/A67l4kZY通讯员程燕妮南京晨报/爱南京记者金磊
南京晨报,:#关注江苏新型肺炎疫情#【南京市认证机构助力小微企业复工复产】疫情防控期间，为助力中小微企业复工复产、共克时艰，南京市市场监管局认证监督管理处主动靠前服务，引导全市51家认证机构适应疫情防控形势下认证市场的特点，主动作为，积极服务，以认证传递信任，以实际行动支持抗击疫情，彰显社会担当，履行社会责任。http://t.cn/A67l4kZY通讯员程燕妮南京晨报/爱南京记者金磊
沐菡的理想国,:菡时光五周年店庆🎉丨来吧，我今天憋了一天的成果，实在想不到什么新花样，就实实在在打折吧。
福建江夏海峡财经学院纪-检-部,:#八闽青心共战疫#生命重于泰山，疫情等于命令，防控就是责任;主动出击，甘当疫情防控守门员;共克时艰架起疫情防控连心桥。@福建省学联@福建江夏学院团委@福建江夏学院学生会@福建江夏学院海峡财经学院
新会新闻,:当前正处于防控新冠肺炎疫情的关键时期，越是特殊时期，越要关心关注低保、特困人员、孤寡老人、留守儿童、残疾家庭等困难群体。疫情防控工作中，新会区高度重视关爱困难群体工作，各级党组织充分发挥战斗堡垒作用，组织动员党员干部积极助力困难群体保障工作，用心用情用力帮助困难群体共克时艰。http://t.cn/A67lU6aq
膜法世家,:#抗击疫情，膜法世家在行动#疫情当前，用爱传递温暖，膜法世家致敬奋勇战“疫”的白衣战士们！您们守护我们的健康，我们来给您们及时的“手”护。抗击疫情，共克时艰，膜法世家心系湖北医护战士，所有捐赠物质已全部抵达一线，为医护战士们送去“手”护！我们一起期待春暖花开时！
淮阳发布,:共克时艰！浙江温州等地发起驰援海外同胞行动共克时艰！浙江温州等地发起驰援海外同胞行动
路虎中国,:三月开工季，购买路虎车型，多重礼遇享不停。疫情期间，为表达对医务人员的敬意，路虎部分车型新增医务人员专属售后礼包。众志成城，共克时艰，你我同行！
泗县发布,:#教体动态#【齐心协力克时艰爱心捐赠抗疫情】自新型冠状病毒肺炎疫情爆发以来，为打赢这场没有硝烟的战“疫”，全国上下齐心协力，共克时艰。而在这场战“疫”中，也有不少爱心人士始终牵挂着学校师生们的生命健康和安全。3月2日，泗县新华书店经理马豹代表新华书店向屏山中心学校捐赠了防控物资：酒精、84消毒液及口罩。屏山中心学校后勤部主任董礼代表学校接受物资捐赠，并对新华书店表示由衷的感谢。此次新华书店的爱心捐赠，不仅是助力屏山中心学校打赢疫情防控阻击战的物资支持，更是对全校教职工的巨大精神鼓舞。学校新冠肺炎防控小组也将根据学校疫情防控的总体安排，统一调配和使用这些物资，确保发挥最大效益，坚决维护广大师生的生命安全和身体健康，全力以赴防控疫情。（特邀主持：梁雅慧）
阿克苏新闻网,:警惕！这些借疫情实施诈骗的套路要当心！新型冠状病毒肺炎疫情发生以来，全国人民上下一心齐抗“疫”，众志成城，共克时艰。但与此同时，也有一少部分心怀不轨之人趁机利用疫情实施诈骗，大发“国难财”。口罩、体温枪、护目镜等防疫物资俨然成了骗子诈骗的“活招牌”。疫情期间，我们更要提高警惕，谨防上当受骗！http://t.cn/A67Wl9wK
清华大学第一附属医院,:众志成城抗击疫情丨内分泌科齐心协力共克时艰#健康北京战疫有我#突如其来的疫情，让我们猝不及防，但是，面对疫情，我们从容不迫。疫情期间，北京华信医院（清华大学第一附属医院）内分泌科齐心协力、共克时艰。坚守一线随时待命科室核心组带领全科医护人员24小时待命，抢救危重病患。全科人员除了日常诊疗，每天安排了备班，一线、二线、三线班，保证医疗安全，始终坚守在一线。新年刚刚过去，一位83岁高龄男性患者，经过新冠肺炎排查后收住我科，收住院时血糖高达26mmol/L，患有各种基础病，伴各种不适。入院后患者高热、心悸、憋气，心电监护提示心率高达160次／分，指氧饱和度只有60%，血压仅有70/50mmHg，值班医生郎慧芳第一时间向副主任李红梅汇报了患者病情。李红梅顾不上凌晨的寒冷紧急赶到医院，结合患者病史、症状、体征及辅助检查，考虑患者感染中毒性休克、急性心梗、心功能不全、支气管扩张伴感染诊断明确，李红梅和郎慧芳及护士们立即实施抢救。经过半宿的努力，患者生命体征终于平稳，看到患者转危为安，此刻感觉我们所有付出都是值得的。孕妇安全无小事，尤其是疫情期间。春节后，科室还收治了一位孕14周，高钙危象的患者。迅速完善相关检查后，考虑为原发性甲状旁腺功能亢进症，甲状旁腺肿物不除外，需要手术治疗，但该患者需孕20周才能手术治疗，这段时间患者的管理重任就落在了内分泌科医生肩上。每周至少3次电话随访患者院外情况，指导患者下一步治疗，让患者在特殊时期感到别样的温暖与安心。http://t.cn/A67lLDcP@北京12320在聆听@首都健康
福建工程学院,:#滴·福工卡##抗击新型肺炎我们在行动#抗击疫情，靠的是每个岗位，每一个人共同的努力。不同岗位上的这群校友们在各自的领域上发挥着不可磨灭的作用
淄川公安,:#疫情当前警察不退##抗击疫情公安在行动#【离退休老党员初心不改踊跃捐款共克时艰】新冠肺炎疫情发生以来，严峻的形势牵动着淄川公安分局离退休老党员的心。为弘扬“一方有难、八方支援”优良传统，3月4日，离退休干部党总支的老党员们自发组织开展“助力抗疫、爱心捐款”活动。“退休不褪色，离岗不离党”，他们克服各种困难，纷纷伸出援助之手慷慨解囊、踊跃捐款，为抗击疫情助力加油、奉献爱心。此次活动共有103名老党员参与，合计捐款15000元。在这疫情笼罩的寒天里，老干部心系疫情的爱心举动激励着全局广大民警以更加昂扬的斗志、更加扎实的工作投入到抗疫斗争中。
医药卫生报,:凯普生物为信阳市医疗机构捐赠防护物资携手共克时艰本报讯（记者王明杰通讯员王永涛梁雨）大“疫”见真情，天寒暖人心。岁末年初的疫情突然来袭，新型冠状病毒感染的肺炎严重威胁着人民群众的生命安全。疫情当前，凯普生物积极开展送温暖、献爱心活动，为信阳市医疗机构捐赠防护物资，携手共克时艰。抗击疫情，凯普在行动。信阳市毗邻武汉市，与湖北省近在咫尺，是此次疫情防控的重灾区，为进一步帮助缓解一线物资紧缺现状，切实能够帮助到奋战在一线的医务工作者，凯普生物经过多方筹措，为信阳市医疗机构捐赠一批新型冠状病毒核酸检测试剂盒及N95防护口罩等防护物资，为疫情防控工作贡献了凯普力量，以实际行动为抗击新冠病毒感染的肺炎疫情提供了支持。凯普生物驰援信阳的物资采取定向捐赠的方式，以确保所有捐赠物资能够在第一时间、快速准确地送到疫情前线，真正帮助缓解“燃眉之急”。当前，捐赠物资已经送达河南省人民医院、信阳市中心医院、罗山县妇幼保健院、罗山县人民医院、信阳市肿瘤医院、信阳市中医院、信阳市平桥区妇幼保健院等医疗机构。凯普生物以企业的力量为疫情防控的一线工作者筑起了一道保护生命健康的安全屏障。据介绍，凯普生物是核酸分子诊断领域产品提供商及全国第三方医学检验服务商。面对疫情，凯普生物紧急组织科研力量投入检测试剂盒研制工作，推出了两款新型冠状病毒2019-nCoV核酸检测试剂盒(荧光PCR法和Sanger测序法)，帮助新冠病毒疑似患者的快速识别和鉴定；全国近20家凯普医学检验所也积极投入备战，配合政府有关部门陆续开展新冠病毒检测工作，并积极承接来自全国各地的企事业单位复工检测，助力疫情防控。凯普生物有关人员表示，疫病无情，大爱无疆。在抗击疫情这场没有硝烟的战场中，每个人都是参与者，只要全国人民同心协力，众志成城，坚定信心，团结一致，共克时艰，必将打赢这场疫情防控阻击战！
溧水交警,:【以爱之名，共克时艰
海南省人民政府网站,:【荆州市委市政府致信感谢海南支援抗疫刘赐贵沈晓明作出批示】近日，荆州市委、市政府发来感谢信，向海南省委、省政府及全省人民表示诚挚感谢和崇高敬意，表达琼荆携手共进、共克时艰、战胜疫情的坚定决心和信心。省委书记刘赐贵，省委副书记、省长沈晓明作出批示，衷心感谢荆州市委、市政府和荆州人民对前方海南医疗队员的悉心照顾，强调要坚决完成好党中央交给海南的光荣任务，竭尽所能支援荆州抗击疫情，坚决打赢疫情防控的人民战争、总体战、阻击战。http://t.cn/A67l2ZMy
景德镇学院,:#联防联控景院在行动#“共克时艰，静待花开”——生环学院师生抗疫保学“共克时艰，静待花开”——生环学院师生抗疫保学
SpecialQ_Cube,:#摄影[超话]#从本质上说，影像永远是裁剪自天衣无缝的现实的小块样布。它们是利用宽广或狭窄的视角从近处或远处摄取的片断。摄影师通过取景框的运用而纳入或拍出被摄对象。从某种意义上说，所有的影像都名副其实的‘游离于语境’。它们游离于空间的语境，也游离于时间的流程。它们代表着时间陷于停滞的那一刹那。为了理解和欣赏影像而发挥想象力，把它们放回原始语境中，看一看摄影师为拍摄做了什么，细究一番什么被纳入了画面，如何纳入的，想像一下什么被排除了画面以及为什么被舍弃PhotoBy:MihalyAlagi#看起来健康未感染的一天##我们战在一起，共克时艰##坚持梦想有多难#
新浪广告,:【同心战“疫”，共克时艰！中国羽毛球队为武汉加油[加油][加油][加油]】新型冠状病毒肺炎疫情牵动着全国人民的心，此时正在国外积极备战的中国羽毛球队也录制了视频声援武汉，向奋战在一线的“逆行者”们致敬！凝心聚力，砥砺前行，共抗疫情，你我同行！武汉加油，中国必胜！#体育力量为武汉加油#http://t.cn/A67W5EMn
唐亚林001,:【第六次出门】倒垃圾、拿快递、买日用品，成为居家隔离35天来的第六次出门的原因。上海今天天气有点倒春寒的味道。马路上车辆多了不少。问了一下出租车师傅，他们的份子钱从2月份开始，每月少交1800元（2人轮开，每人15天，每天减120元），上海行动挺快的。共克时艰，是需要行动的。陈一新在武汉指导防疫工作时，提出党员、两委员一代表理应走在各小区防控疫情的前面，我认为很对。做键盘侠口炮党，远不如实实在在地在小区做志愿者，能出点力，就是做贡献。这是以后防控突发公共危机时应重点加强的事务和方向。不能有荣誉有职位，大家抢着上抢着要，冲在危机处置前面时，就不见了身影。搞党员社区“报到制”，这是最管用的做法。
乡村干部报,:【最美逆行者|抗疫夫妻档携手在一线】2020年春节期间，新冠肺炎疫情来势汹汹，为了阻断病毒的传播，举国上下众志成城，共克时艰。在这场没有硝烟的战斗中，基层工作者用担当与责任谱写了一曲曲感人至深的赞歌。江苏省泰州市刁铺街道的基层工作者王秀宏和吴玉芹夫妻俩，从大年初一开始，便放弃休息，奋不顾身加入疫情阻击战中。在街道，他们是同事；在战“疫”前线，他们是战友；在家里，他们是夫妻。别人是“夫妻双双把家还”，他们是“夫妻双双以站为家”；他们身带党徽，“逆向而行”，践行着社区工作者的使命初心。今天，让我们走进他们的故事。http://t.cn/A67lPQd2
中山六院,:#全国确诊新型肺炎病例##最新疫情地图##武汉加油##疫情##广州##中山六院##广东#【医疗队日记：共克时艰，静待春来】战士般勇敢坚韧，筑起战疫的防线，病房里的温情、互相间的打气，在他们质朴的文字里，每一篇看似“平常”的日记，都有一段令人难忘的故事
嘉兴人论坛,:#嘉兴身边事#【这场大考，浙江全力以赴！】共克时艰，有你有我。大考当前，全力以赴！点击http://t.cn/A67lPNXz查看战绩#嘉兴百姓话题#@嘉兴慧眼看楼
城市链接city-link,:【酒泉文旅在行动】守望相助　共克时艰　为抗击新冠肺炎疫情捐款http://t.cn/A67lPCwQ
今日孱陵,:#今日孱陵##中国科研团队发现新冠病毒已突变#无疫村是这样“炼”成的公安县斑竹垱镇莲花垱村地处该县西南边缘，共有居民842户3155人。村党支部团结带领干部群众同心协力、共克时艰，守住脚下阵地，全村没有发生一例确诊病例和疑似病例。阻击疫情的“桥头堡”每天早晨交接班，斑竹垱镇莲花垱村党支部副书记黄平就带领党员志愿者，全副武装地值守在村头卡口，这里被大家称为阻击疫情的“桥头堡”，是全村封闭管控后的唯一通行卡口。村头卡口严格按照相关规定控制人员输入和外流。六组村民黄大爷的母亲去世，要外出奔丧，恰逢防控关键节点，志愿者耐心细致劝返黄大爷。最美“志愿红”莲花垱村毗邻松滋市沙道观镇，其中返乡人员847人，周边村组疫情多发，面对严峻的防控形势，村党支部发动群众共同参与，在村两委的带动下，招募了48名志愿者，成立综合协调组、宣传巡查组，保洁消费组、物资配送组等五个组。为便于识别，红丝带、红袖章、红领巾，是村里为志愿者准备的特殊标志，志愿者队伍包括滞留在家的共产党员、公职人员、个体老板、在外务工人员。文海龙在广州从事物流业，面对疫情，他开着自己刚买的新车第一时间申请加入村志愿者队伍。熟悉电子商务的张虎，主动承担起全村居民生活物资代购，他每天收集各村民小组的订单，采购后逐一分发派送，特别是村里的五保老人、困难群众，张虎会定期免费为他们配送些生活物资。传递爱的暖流为共抗疫情，一场自发的捐赠活动在村民中悄然启动，村民踊跃捐赠，爱的暖流在全村接力传递。有300多位村民参与捐款。村里把这些捐款都用于购买防护物资，取之于民用之于民。http://t.cn/A67lvfPK
启东市公安局,:#战“疫”警讯#为全力支持疫情防控工作，携手打赢这场疫情防控阻击战。近日，我局各单位党支部组织开展疫情防控爱心自发捐款活动，党员们积极响应，不仅为抗击疫情坚守岗位、奋战一线，更为疫情防治献出爱心、共克时艰，展现出基层一线党员民警、职工爱党、爱国、爱民的时代风貌，为抗击新冠肺炎疫情尽自己的绵薄之力，助力疫情防控阻击战。
肖赞和王一宝的坚果儿,:群里的姐妹都比我年龄大，眼界和心理素质都比我大和好，团结，共克时艰
山西文旅网,:【一起回顾这个没有硝烟的战场
青争锦鲤,这个春天，我们等了很久。等一朵花开，等微风徐来，等雨过天晴。这漫长的等待，让我们重新审视自己，更加用心地去经营生活。#为家守护共克时艰#@初棉女装官微携手@万和电气，致敬每一位#特别的妳#。Ps：初棉旗舰店http://t.cn/A67aMJVB，前2小时3件实付75折。转发此条微博，3月8日抽1位送精美礼物。
小新不是小欣,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！三棵树，用抗菌涂料，让你放心健康宅在家。我承诺，与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫台历】！
山东外事,:【德国汉斯·赛德尔基金会向我省致慰问信】近日，德国汉斯·赛德尔基金会主席、欧洲议会议员马库斯·费尔伯致信我办，就新冠肺炎疫情向我省表示慰问。他说，赛德尔基金会高度关注中国各界抗击疫情情况，愿与中国人民共克时艰。费尔伯主席还表示，目前的困难局面不会影响赛德尔基金会与山东多年的友好合作，赛德尔基金会将继续支持山东发展。http://t.cn/A67WF3BM
景县交警大队宣教,:【景县大队为支持新冠肺炎疫情防控捐款】3月3日，为积极应对新冠肺炎疫情防控，众志成城、共克时艰，携手打赢疫情防控阻击战，景县交警大队向全体党员发出倡议，号召充分发挥先锋模范作用，坚持“自觉自愿、量力而行、奉献爱心”原则为疫情防控捐款。自疫情防控阻击战打响以来，大队全体民、辅警始终奋战在抗疫一线，党员民警更是冲锋在前，坚决筑牢抗击疫情的第一道防线，全力守护群众的生命与健康安全。疫情的发生，一直牵动着大队所有党员民警辅警的心。爱心捐款活动中，大队党员积极响应，将点滴爱心汇聚成抗疫暖流。党员们纷纷表示，抗击疫情，党员就应该冲在前头、干在前头、奉献在前头；国家有难、匹夫有责，一方有难、八方支援，每个人都尽一份绵薄之力，为社会做出自己的贡献，战“疫”将会很快取得胜利。@公安部交通管理局@河北交警微发布@衡水交警宣传http://t.cn/R2WxaEw
小铃铛娱乐,:竟然是@东风本田发起的，做为员工必须要支持下，众志成城，共克时艰！#武汉分之一#
李白是我老大,#为家守护共克时艰#小鱼～为#万和“安全家”行动#点赞！@金龙鱼用健康美食守护全家健康！小鱼～承诺，与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！关注@金龙鱼转发本微博，3月31日抽1位幸运鹅送【故宫手表】一个！
昆明石林发布,:#万众一心众志成城防控疫情##加强疫情防控石林在行动##石林简讯#【打赢疫情防控战文明单位当先锋】石林工管会“五个到位”助力石林工业园区打好“防疫”攻坚战自新型冠状病毒感染肺炎疫情发生以来，石林工业园区党工委、管委会全体干部员工全力以赴、众志成城，及早部署、迅速行动，以“五个到位”坚决打好工业园区“防疫”攻坚战。一是组织领导到位，明确责任强部署。2月3日春节假期结束到岗第一天，园区党工委、管委会召开党政联席会，成立了疫情防控工作领导小组，并制定下发园区疫情防控工作方案，对园区疫情防控工作作了具体的安排部署。主要领导亲自坐阵，靠前指挥，并要求各部门立足实际，因企施策，按照职责分工以最严举措，最大努力做好疫情防控工作，全力保障园区全体员工健康和生命安全。二是模范带头到位，率先垂范作表率。园区党工委号召党员干部充分发挥先锋模范作用，认真坚守岗位，勇于担当作为，深入疫情防控第一线，靠前指挥发声，及时摸清家底，掌握园区疫情防控第一手资料，做到上有所呼，下有所应，及时采取行动。园区23名党员主动请战，成为疫情防控的“中坚力量”，积极投入“防疫”战斗，按照网格化片区和区域管理，摸清居住人员情况、返乡人员情况、企业复工时间、疫情防控情况等，为坚决打赢疫情防控阻击战提供坚强组织保证。三是宣传引导到位，群防群控浓氛围。园区通过宣传单、宣传标语、展板、微信工作群、QQ工作群、电子屏等多种方式向64家企业、3000余员工科学宣传疫情防控知识。制作宣传展板77块，悬挂宣传标语17条，发放纸质宣传单1000余份，每天滚动播出LED电子屏6条5400次疫情防控宣传语，充分发动园区广大人民群众积极参与，正确引导大家做好思想稳控和行动防控，形成群防群控的良好局面。四是排查监管到位，疫情防控无死角。按照网格化分片包保疫情防控工作，进一步明确责任区域，织密织牢工业园区“疫情防控网”。将双汇网格区域、公租房、园区企业、在建项目等责任到部门，责任到人，党员干部带头深入53家生产企业、11个在建项目及工地开展“地毯式”排查，对排查出来的203名外来人员要求在厂区或公租房小区隔离留观至少15天，并实行“日报告”、“零报告”制度，确保疫情防控无死角。五是服务企业到位，心系民生共担当。园区党工委、管委会在抗击疫情的同时，心系民生，及时协调帮助企业共克时艰，共抗疫情。帮助昆明双汇食品有限公司协调解决原材料及产品运输问题，确保民生食品及时供应和保障；帮助温氏畜牧有限公司协调新建屠宰线事宜及运输问题，为企业降低损失。帮助中种公司协调包材运输通行事宜，帮助云电投协调防护物资送达等。与此同时，园区企业勇担社会责任，积极向石林县疫情防控指挥部捐赠价值90万元的活鸡3万只，捐赠口罩2400个，捐赠火腿肠40件，为全县疫情防控工作提供了有力的物资保障，齐心协力抗击疫情，展现了新时代“两新”企业的社会担当。（石林县文明办李雪俊）
泰顺新闻网,:【心连疫线泰顺县诗词楹联学会为你写诗】突如其来的疫情牵动着每个人的心。泰顺县诗词楹联学会的会员们也通过诗词创作讴歌抗击疫情的先进人物和事迹，它们将笔下的文字化作祝福，为战胜疫情鼓劲加油、汇聚力量。周蓓蕾是一名幼师，同时也是泰顺县诗词楹联学会的秘书长，为助力疫情防控，她向学员们发起倡议，鼓励大家拿起笔记录下抗疫中的温情。倡议发出后，短短几天时间，诗词楹联学会就收集到近百首感情丰沛的作品。泰顺县广大诗友积极行动，写楹联、作诗词，全景式反映当下疫情阻击战的雄壮场景，抒写众志成城、共克时艰的家国情怀，激发决战必胜的斗志和信心。
自贡网,:#自贡新闻#【无畏逆行自贡援湖北医疗队35天治愈160名患者】众志成城，共克时艰。攥指成拳，合力致远。疫情之下，自贡的99名白衣战士肩负着责任和使命，义无反顾地奔赴武汉防疫最前线。他们不计报酬，不惧生死，在离“炮火”最近的地方，留下“最美逆行者”的身影。截至目前，自贡援湖北医疗队交出答卷：35天，治愈160名患者。http://t.cn/A67WOzFM
武昌政务微博,:#征集#【“大成武昌·艺心战疫”——武昌区居家文化作品网络征集评选活动开始啦】
西安鹅毛扇,:#陕西防控新型肺炎#【一线时报：“疫”往无前永葆初心众志成城风雨同心】一份份捐款，倾注着同舟共济的无价情谊；一笔笔款项，凝聚着共克时艰的红色力量。连日来，响应党中央的号召，新城区组织全区各基层党组织通过“线上+线下”模式，采取现场错峰捐、委托他人捐、微信扫码捐、上门服务捐等多种形式，有序做好捐款活动组织工作。@西安同城@西安新城http://t.cn/A67WpV8g
向右请左转,:#微博卡片背景#众志成城，共克时艰，共同战疫！我正在使用“中国加油”头像挂件，你也快带上一起为中国加油吧！卡片背景：中国加油
萍乡湘东发布,:#共克时艰#2020年3月3日萍乡市新型冠状病毒肺炎疫情情况根据江西省卫生健康委3月4日通报，2020年3月3日0-24时，萍乡市无新增新型冠状病毒肺炎确诊病例，新增治愈出院病例2例。截至3月3日24时，萍乡市现有确诊病例6例，累计报告确诊病例33例，治愈出院27例，无重症、死亡病例。现无确诊病例县（区）有武功山风景名胜区、上栗县、安源区。全市所有县区均已连续14天以上无新增确诊病例。
一杯子的甜甜晞米粒,#抗疫行动#zsx#粉丝公益快车#【粉丝公益快车物资应援公告】信仰点亮的光注定会在暗夜里发芽云开雾散怒放的神州，盛开的华夏复苏的生命，就是这个春天里最美的花愿我如星君如月，夜夜流光相皎洁。🌍@粉丝公益快车联合向重庆三峡医药高等专科学校附属医院重庆万州川东骨科医院万州佳明康复医院重庆万州昌明医院黄冈市中心医院捐赠200份护目镜幸得识卿桃花面，从此阡陌多暖春。感谢@能量中国官方宣传共克时艰，爱心必达2020这场战“疫”，携手一定赢！@曾舜晞Joseph与#曾舜晞#益起来！文案@超級農農魔都仙女团
张家港文体广旅,:发布了头条文章：《战“疫”动态|党员捐款传递力量志愿服务共克时艰》战“疫”动态|党员捐款传递力量志愿服务共克时艰
紫罗兰家的向日葵,#为家守护共克时艰#与千万家庭心连心，我为#万和“安全家”行动#点赞！我是焕新生活守护者！@中国联通北京客服5G+光纤，家里家外，自在千兆！我承诺，与@万和电气一起，用科技助力抗疫，以爱之名，守护温暖家！关注并带话题转发评论，3月31日抽1位幸运鹅送【榨汁杯】@微博抽奖平台
中国禁毒在线,:#微博卡片背景#众志成城，共克时艰，共同战疫！我正在使用“中国加油”头像挂件，你也快带上一起为中国加油吧！卡片背景：中国加油
哐哐哐哐啊,:共克时艰
峨眉姗的草莓,:#防疫有我•共克时艰#【这个反超，来自武汉！】截至3日24时，武汉累计治愈出院24890例，现有确诊病例22368例，#武汉累计出院数首超现有确诊数#。武汉加油！@安徽师范大学团委芜湖
非著名爬墙艺术家,#为家守护共克时艰#与千万家庭心连心，我为#万和“安全家”行动#点赞！我是焕新生活守护者！@中国联通北京客服5G+光纤，家里家外，自在千兆！我承诺，与@万和电气一起，用科技助力抗疫，以爱之名，守护温暖家！关注并带话题转发评论，3月31日抽1位幸运鹅送【榨汁杯】@微博抽奖平台
上海美莱医生团队,:#上海美莱#众志成城共克时艰【美莱】在行动💪💪💪上海美莱医生团队的微博视频
嘻哟,:中国科协｜“众志成城共克时艰”作品征集（视频、漫画、照片、诗词、日记等）http://t.cn/A67zzthI赛事来源：我爱竞赛网成都·林溪美城
蜜桃小汀汀汀,李易峰、吴京谢楠夫妇从海外购买了防护服捐赠，在物资紧张的情况下从海外采购也是真的有心了👍🏻
徐州财政,:抗击疫情，人人有责；戮力同心，共克时艰！市财政局将秉承最坚决态度、组织最强工作力量、采取最有力举措、执行最严格要求，全力以赴支持打赢疫情防控阻击战。
亳州职业技术学院团委,:#团团微分享#春风送暖，共克时艰向亳职防“疫”志愿者们致敬愿亳职学子在佑护生命的道路上勇往直前亳州职业技术学院团委的微博视频
CQDK全媒体,:【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#（人民日报）
Leonal没有al,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
音乐番,:#百听不厌的音乐现场#张韶涵王晰绝美合唱《黎明前的黑暗》向下扎根，向上开花音乐番的微博视频
南阳政法,:【南阳市档案馆面向社会征集全市防控新冠肺炎疫情活动档案公告】南阳市档案馆是集中和永久保管南阳市地方历史档案资料的综合档案馆。为真实记录、全方位展现全市社会各界防控疫情的历史过程，确保疫情防控工作的珍贵记忆得以永存，本馆自即日起面向社会各界征集防控新冠肺炎疫情相关档案资料。一、征集内容1.反映南阳市社会各界广泛参与抗击疫情的感人事迹，包括文字材料、照片、音视频等。特别是反映一线医务工作者、社区工作者、科研工作者、公安、交通等抗击疫情一线的工作资料、心得体会、抗击疫情日记、请战书、书信、实物等。2.反映南阳市全力以赴支援湖北武汉等地抗击疫情的情况，包括做出贡献的个人、团队的事迹材料、照片、音视频等。3.反映南阳广大人民群众、单位企业及社会机构等共克时艰、奉献互助、联防联控、共塑社会公德、倡导文明新风的文字材料、照片、音视频等。包括参与支援一线、无偿献血等志愿服务的凭证、记录；社会组织、个人捐赠物资的凭证、记录等。4.以防疫抗疫为主题创作的诗歌、散文等文学作品，音乐、美术、书法、篆刻、摄影等艺术作品。5.各新闻媒体、自媒体、社交媒体以及影视爱好者在直播、采访过程中形成的纪实性资料和宣传报道材料，特别是能够完整呈现某一专门主题，如体现医务工作者工作情况、治愈者情况、居家隔离情况等的文字、组图、网页或截屏、音视频资料等。6.其他能够反映抗击疫情工作，具有历史价值或特殊意义的文字、图片、音视频、实物等档案资料。二、征集方法1.自愿捐赠，对捐赠者颁发捐赠证书。2.凡经审核征集入馆的档案资料均归国家所有，本馆对已征集入馆的档案资料进行整理、保管，并按规定向社会提供利用。捐赠档案资料者，对其捐赠的档案资料享有优先利用权，并可对档案资料中不宜向社会开放的部分提出限制利用意见，双方签署协议，本馆将负责维护其合法权益。对于涉及知识产权的档案资料，本馆按国家有关法规予以保护。三、联系方式1.联系部门及地址：南阳市档案馆征集编研科，地址：南阳市范蠡路市民服务中心南区4号楼2.联系电话：0377-633985783.邮箱：nydazj@163.com2020年3月3日
随时可更改的昵称,:#微博卡片背景#众志成城，共克时艰，共同战疫！我正在使用“中国加油”头像挂件，你也快带上一起为中国加油吧！卡片背景：中国加油
蒲江社治,:共克时艰，我们在行动——窑埂村防疫记共克时艰，我们在行动——窑埂村防疫记
楊光民,:复工了，也充分认识到疫情之后有单位在支撑着你，能上班多么的不容易，好多企业已经遇到很大的困难仍然在咬牙坚持着，这个时期真的需要克服困难坚持上班，做好防护、认真工作，只有这样才能共渡难关、共克时艰，也希望单位越来越好，单位好了，员工才会好，希望国家、社会越来越好，这个时候更能体会到大局意识多么的重要，对得起自己对得起单位同时也对得起家庭，这是做人的本份。——与大家共勉！这是我这两天所思所想的，确实有些感慨。
