北京华军中医医院中医血液科,:谢别录主任用手机与患者进行远程会诊指导诊疗.mp4生活咨讯的优酷视频@优酷
湖北发布,:【两部门联合印发意见明确：新冠肺炎疫情期间网上复诊医保可报销】国家医保局、国家卫生健康委日前联合印发《关于推进新冠肺炎疫情防控期间开展互联网+医保服务的指导意见》，明确常见病、慢性病患者在符合条件的互联网医疗机构复诊，诊疗费和药费可依规进行医保报销。http://t.cn/A67N6eIx
阜南县人民政府发布,:【阜南县人民医院关于全面恢复正常诊疗服务的通告】根据省卫生健康委转发国家卫生健康委《关于进一步落实科学防治精准施策分区分级要求做好疫情期间医疗服务管理工作的通知》文件精神，结合当前分区分级精准防控要求，医院决定在抓好疫情防控的前提下，全面恢复各项诊疗服务，满足群众就医需求。现就相关工作通告如下：1.自2020年3月2日起，全面恢复医院门急诊、住院、手术、检查检验等各项诊疗服务；2.鼓励非急诊患者预约就诊、分时段就诊（各种预约方式附后）；3.请来院就诊的患者及家属主动配合医院疫情防控的各项举措。原则每名患者限一名家属陪同，进入院区均要正确佩戴口罩，主动接受体温检测。就诊时请按照导引有序就诊，严格执行“一医一患一诊室”，遵守医院陪护制度和探视制度；4.各科室在诊疗活动中要做好医务人员及病人的个人防护，加强院感防控，及时疏导病人及其家属，避免人员聚集，防止交叉感染；5.发热病人继续前往发热门诊就诊。温馨提示：为了您和他人健康，有以下情况的，请主动告知医务人员：1.发病前14天内有武汉市及周边地区或其他有病例报告社区的旅行或居住史；2.发病前14天内与新型冠状病毒感染者（核酸检测阳性者）有接触史；3.发病前14天内曾有接触过来自武汉市及周边地区或有病例报告社区的发热或有呼吸道症状的病人；4.有聚集性发病。阜南县人民医院门诊预约方式1.线上预约挂号、缴费及线上问诊请微信关注“阜南县人民医院微信服务号”或“阜南县人民医院支付宝生活号”2.微信关注“阜阳健康在线”公众号3.阜南县人民医院官网预约挂号http://t.cn/A67N66uY4.皖事通APP预约预约方式见下图5.安徽便民服务平台预约（安徽医疗便民APP、微信公众号、支付宝服务窗、易信公众号）6.医院预约电话：0558-67214727.现场自助式缴费机挂号
鸭绿江之声,:丹东新增3例确诊病例，行程轨迹公布广大市民朋友：3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，我市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。一、确诊病例情况及行程轨迹确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上街红军苑楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上街红军苑楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。2.2月20日13时去江边散步，15时左右到家，回家后无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上街红军苑楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上街红军苑楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。广大市民朋友，我市疫情防控工作形势依然严峻，配合做好疫情防控工作，关乎您和家人及全社会的健康，也是按照《中华人民共和国传染病防治法》要求每一位公民应承担的责任和义务。为防止疫情扩散，准确查找与史某、宋某某、宋某某一家三口有密切接触人员，请在上述过程中与此三人有过密切接触的市民，立即与所在县（市）区疾病预防控制部门联系，并随时观察自己和家人的健康状况，若出现发热、乏力、咳嗽等呼吸道症状，请第一时间戴好口罩到市卫生健康委指定的医疗机构发热门诊就诊。就医途中，请勿乘坐公共交通工具。二、在疫情防控期间，请广大市民严格遵守疫情防控各项措施，做好个人防护，不要参加聚会、婚礼等人群密集场所的活动，确保自身安全。三、近期周边国家新冠肺炎疫情日益严重，为保障人民群众生命和健康安全，提醒广大市民若发现从武汉或其他疫区及境外入丹返丹人员，请立即向属地公安派出所和所属社区报告。联系电话：东港市：7122860凤城市：8668120宽甸县：5125889振兴区：2027889振安区：2530142元宝区：2818584丹东市新冠肺炎疫情防控指挥部办公室2020年3月3日
瑶海清韵,#新冠肺炎诊疗方案第六版#【#新型冠状病毒肺炎诊疗方案第六版#转存！】今日，国家卫生健康委发布《新型冠状病毒肺炎诊疗方案（试行第六版）》。其中增加“在相对封闭的环境中长时间暴露于高浓度气溶胶情况下中存在经气溶胶传播的可能。”删除“目前没有确认有效的抗新型冠状病毒治疗方法。”在试用药物中，增加“磷酸氯喹（成人500mg，每日２次）和阿比多尔（成人200mg，每日３次）”两个药物。增加“康复者血浆治疗”。（央视新闻）
海上名医官方微博,:直播｜山东省肿瘤医院刘杰、郑州大学第一附属医院李明君：共话ALK阳性非小细胞肺癌病程管理与生存期延长之道
爱国知青,:将中国诊疗方案译成波斯语！伊朗：像任何困难都打不倒中华民族一样，也不会有任何困难打不倒伊朗
Sophia_815,:#中方在能力范围内向外方提供支持#美意之类的，提供诊疗方案和防控经验就好，这也是无价的
浙江的记者,:#5g来了##浙江身边事#【云对话丨浙江国家紧急医学救援队费敏：5G技术参与诊疗把经验分享给援鄂医疗队成员】2月4号，一支由31位经验丰富的医护人员组成的浙江国家紧急医学救援队，驰援武汉，辗转4座方舱医院。救援队在方舱医院建立“放射科”，引进超声机器人，为医院的管理规范和诊疗规范作出重要贡献。近一个月来，他们不断摸索经验、获得成果。今天的云对话，我们连线正在前线的浙江国家紧急医学救援队副队长费敏。【云对话丨浙江国家紧急医学救援队费敏：5...-来自浙江卫视中国蓝-微博视频-最新最快短视频-搞笑短视频-美女短视频-直播-一直播-美女直播-明星直播http://t.cn/A67NMIzD
湖北之声,:【“5G超声云”助力新冠肺炎危重症患者云端诊疗】3月2日下午，武汉市第六医院（江汉大学附属医院）通过“5G超声云”技术，又成功完成了一例危重症新冠肺炎患者腹腔积液超声引导下穿刺手术。与传统诊疗过程不同的是，指导穿刺的超声影像科医生不需要在病区现场，而是通过手机云端平台完成超声诊断及引导定位。据了解，当天，“5G超声云”技术首次介入运行，通过云端已为4位危重症新冠肺炎患者进行了胸腔、腹腔、肺部、心脏等脏器的检查诊疗，通过实时5G同步传输，实现线下即时操作，云端超声介入，远程专家会诊三者结合，为病人及时诊断赢得时间。武汉市第六医院超声科主任刘爱华介绍，该技术适合目前武汉新冠肺炎重症病人的检查诊疗，具有强大、无延时信号输送的特点，同步切屏让超声科医生直面现场，无缝对接，同时还可及时连线云端专家库，实现疑难病案在线会诊。医护人员随时可对病人进行检查，超声医生仅通过手机云端指导检查诊断，既可以有效地降低超声医生的感染风险外，又可以为一线战“疫”节省防护物资。（湖北之声记者罗冰，通讯员刘望）#湖北加油武汉挺住#
浙江的记者,:#5g来了##浙江身边事#【云对话丨浙江国家紧急医学救援队费敏：5G技术参与诊疗把经验分享给援鄂医疗队成员】2月4号，一支由31位经验丰富的医护人员组成的浙江国家紧急医学救援队，驰援武汉，辗转4座方舱医院。救援队在方舱医院建立“放射科”，引进超声机器人，为医院的管理规范和诊疗规范作出重要贡献。近一个月来，他们不断摸索经验、获得成果。今天的云对话，我们连线正在前线的浙江国家紧急医学救援队副队长费敏。【云对话丨浙江国家紧急医学救援队费敏：5...-来自浙江卫视中国蓝-微博视频-最新最快短视频-搞笑短视频-美女短视频-直播-一直播-美女直播-明星直播http://t.cn/A67NMIzD
湖北之声,:【“5G超声云”助力新冠肺炎危重症患者云端诊疗】3月2日下午，武汉市第六医院（江汉大学附属医院）通过“5G超声云”技术，又成功完成了一例危重症新冠肺炎患者腹腔积液超声引导下穿刺手术。与传统诊疗过程不同的是，指导穿刺的超声影像科医生不需要在病区现场，而是通过手机云端平台完成超声诊断及引导定位。据了解，当天，“5G超声云”技术首次介入运行，通过云端已为4位危重症新冠肺炎患者进行了胸腔、腹腔、肺部、心脏等脏器的检查诊疗，通过实时5G同步传输，实现线下即时操作，云端超声介入，远程专家会诊三者结合，为病人及时诊断赢得时间。武汉市第六医院超声科主任刘爱华介绍，该技术适合目前武汉新冠肺炎重症病人的检查诊疗，具有强大、无延时信号输送的特点，同步切屏让超声科医生直面现场，无缝对接，同时还可及时连线云端专家库，实现疑难病案在线会诊。医护人员随时可对病人进行检查，超声医生仅通过手机云端指导检查诊断，既可以有效地降低超声医生的感染风险外，又可以为一线战“疫”节省防护物资。（湖北之声记者罗冰，通讯员刘望）#湖北加油武汉挺住#
厦门广电,:【厦门市妇幼保健院关于恢复正常诊疗、推行全面预约就医的温馨告知】根据我市新冠肺炎疫情防控情况，为了最大程度防止发生院内交叉感染，确保疫情期间医疗服务平稳有序开展，厦门市妇幼保健院门诊告知就医相关事项。详情→厦门市妇幼保健院关于恢复正常诊疗、推行全面预约就医的温馨告知
萧山发布,:【@萧山人，您的牙医已上线】由于口腔科诊疗方式的特殊性，这一个多月萧山各大医院口腔科门诊相继发布了停诊或延迟开诊的通知，不能去医院看牙让很多人忧心忡忡。今天，小布要带给大家一个好消息：我区区级医疗机构口腔科门诊已全部开诊！
浙江卫视中国蓝,:【云对话丨浙江国家紧急医学救援队费敏：5G技术参与诊疗把经验分享给援鄂医疗队成员】2月4号，一支由31位经验丰富的医护人员组成的浙江国家紧急医学救援队，驰援武汉，辗转4座方舱医院。救援队在方舱医院建立“放射科”，引进超声机器人，为医院的管理规范和诊疗规范作出重要贡献。近一个月来，他们不断摸索经验、获得成果。今天的云对话，我们连线正在前线的浙江国家紧急医学救援队副队长费敏。#防控疫情浙江在行动#http://t.cn/A67NIJji
贵港日报,:#中国境外累计确诊新冠肺炎8774例##意大利累计确诊2036例新冠肺炎##韩国累计确诊4812例新冠肺炎##伊朗将中国诊疗方案译成波斯语#疫情期间去商场超市如何做好防护?去商场、超市购物，做好个人防护非常有必要。主要关注以下四个方面：第一，购物的时间尽量避开商场、超市的客流高峰期，比如选择非周末时间或者是早晨刚营业的时候，这样减少与其他人接触的机会。第二，乘坐电梯时，如果是到楼层比较低的地方购物，推荐走楼梯。如果到楼层比较高的地方购物，建议优先使用扶梯。如果必须乘坐厢式电梯，电梯人多的时候可以等候下一趟电梯。乘坐电梯时要佩戴口罩，而且与其他人员保持一定的安全距离。第三，要全程正确佩戴口罩。第四，做好手卫生。（来源：国家卫生健康委员会官网）http://t.cn/A67CuJvv
文明咸阳,【“战“疫”·人物”陕西中医药大学附属医院副院长雷根平：中医诊疗让新冠肺炎疫情诊治有了新方向】2月29日晚，陕西中医药大学附属医院副院长雷根平在接受国际在线陕西频道连线专访时表示：“江夏方舱医院和其它方舱医院不一样的地方在于，它是首个以中医医院运转模式来进行临床治疗和管理的方舱医院。我们江夏方舱医院发挥了中医‘因时因地因人’的治疗理念，在一体化治疗基础上，加入个体化治疗，在抗击新冠肺炎疫情上发挥了重要作用。”
媗妅,【#伊朗民众涌入寺庙舔圣墙#：希望接收病毒以保护别人】在伊朗，部分民众在网上分享舔舐和亲吻圣墙的画面和视频，以表明他们并不害怕该国日益严重的冠状病毒疫情。舔舐墙壁的民众称，希望墙壁上的病毒进入自己体内，这样就可以保证之后舔墙的人是安全的，画面中甚至有孩子舔舐墙壁。据外媒报道，截至3月2日中午，伊朗共确诊新冠肺炎病例1501例，其中291例康复，66例死亡。http://t.cn/A679gxXv
长安号官微,:#西安抗疫最前线#【#伊朗将中国诊疗方案译成波斯语#全国推广#外长扎里夫前顾问确诊感染新冠肺炎#】据海外网报道，伊朗驻华大使馆发布微博表示伊朗将采取系列措施加强疫情防控，包括将中国诊疗方案翻译为波斯语向公众发布，组织30万个小组开展全国入户排查等。伊朗外长扎里夫的前顾问侯赛因确诊感染新冠肺炎病毒，目前正在接受治疗。http://t.cn/A6793wEb
武汉经济广播,:#武汉战役吹响集结号#【“5G超声云”助力新冠肺炎危重症患者云端诊疗“抽到腹水啦！抽到腹水啦！】“5G超声云”助力新冠肺炎危重症患者云端诊疗“抽到腹水
久微光,:trap.音乐诊疗室的视频《小提琴、钢琴样样精通，刘宪华表演神曲《Trap》，帅惨了》小提琴、钢琴样样精通，刘宪华表演神曲《Trap》，帅惨了（@网易云音乐）
青蕉视频,:【湖北医院燃烧艾灸驱病毒增强患者免疫力】#青蕉拍客#国家《新型冠状病毒感染的肺炎诊疗方案（试行第五版）》向广大群众推荐中医药预防新冠肺炎的方案，其中蕲艾在保健预防、增强免疫能力等方面显示了良好的效果。3月3日，湖北麻城市人民医院通过燃烧蕲艾艾绒、电子艾灸、百笑灸等方法，驱除病毒。康复科医生刘磊说，艾灸对一些特定的穴位进行保健，可增强免疫力。http://t.cn/A67NtFcK
辽宁日报,:【不得因安检影响急危重症患者的救治】省卫生健康委联合省公安厅下发《关于落实新型冠状病毒肺炎疫情防控期间保障医务人员安全维护良好医疗秩序工作的通知》要求各级卫生健康行政部门结合疫情防控工作需要，做好人防、物防和技防系统建设，维护疫情防控期间诊疗秩序。三级医疗机构要全面开展安检工作，配备安检设备，对于急诊等区域要建立安检绿色通道，不得因安检影响急危重症患者的救治。依法严厉打击疫情防控期间涉医违法犯罪行为，做到对涉医违法犯罪行为“零容忍”。
北京尤迈医学诊所,:安宫牛黄丸可预防新冠肺炎？谣言！
杭州美奥牙齿矫正张彼得医生,:#放心齿科就选美奥口腔#
FM955大医生来了,:【郑州颐和医院全面开诊，正常诊治患者！】随着郑州市疫情防控形势好转、企业逐渐复工复产，按照国家卫健委“一手抓疫情防控，一手抓医疗服务”要求，即日起，郑州颐和医院门急诊正常接诊（眼科、口腔科、耳鼻咽喉科、整形科除外），各病区全面接诊收治患者，科主任、专家带头坐诊。提供诊疗服务！@河南新闻广播http://t.cn/A67NtZyK
香山网,:注意！珠海市妇幼保健院挂号方式有变！珠海市妇幼保健院全面恢复正常诊疗服务，但非急诊需要预约挂号！市妇幼保健院全面恢复正常诊疗，该院从3月1日开始全面恢复正常诊疗服务，并实行非急诊全面预约挂号。据悉，除急诊、发热门诊外，珠海市妇幼保健院所有门诊都实行网络、电话预约挂号。门急诊就诊及住院期间，每人原则上只允许有一人陪护。该院提醒，所有非急诊新入院患者必须接受新冠病毒核酸检测、血常规检查，必要时做胸部CT检查，排除新冠肺炎后安排入院。此外，该院还增加产科门诊抽血点，暂定于5号楼3楼名医门诊旁的活动室。此外，住院病人的超声检查地点有变，请就诊患者留意医院通知。据悉，该院将对发热门诊就诊的所有患者全部开展新冠病毒核酸检测，必要时胸部CT检查。其他门诊发现有流行病学史的患者也必须全部进行新冠病毒核酸检测。严格执行“一人一诊一室”。对于门诊慢性病患者，将会视患者病情和现有规定将其处方用量延长，并通过电话随访等多种方式加强远程指导。同时，急诊病人需要入院的优先安排入院，医务人员会做好一切必要的防护措施，严防医院内交叉感染。来源：珠海特区报#珠海##珠海身边事#
成都大丰_城北副中心_商居名都,:【成都二医院普通门诊全面开放可提前14天预约】根据疫情变化，针对企业复工复产和流动人员增加，普通疾病、慢性疾病及特殊疾病的患者就诊需求越来越强。自2月26日起，成都市第二人民医院逐步有序恢复正常诊疗工作，截至目前，已经全面开放普通门诊。成都二医院普通门诊全面开放可提前14天预约
花树梢,【疫情期间，#常见病患者网上复诊医保可报销#】国家医保局、国家卫生健康委日前联合印发指导意见，明确常见病、慢性病患者在互联网医疗机构复诊可依规进行医保报销。《意见》明确，对符合要求的互联网医疗机构为参保人提供的常见病、慢性病线上复诊服务，各地可依规纳入医保基金支付范围。互联网医疗机构为参保人在线开具电子处方，线下采取多种方式灵活配药，参保人可享受医保支付待遇。医保部门加强与互联网医疗机构等的协作，诊疗费和药费医保负担部分在线直接结算，参保人如同在实体医院刷卡购药一样，仅需负担自付部分。为防止出现虚构医疗服务等违规行为，《意见》还要求落实线上实名制就医和处方审核等措施，确保医保基金安全。（总台央视记者张萍）
伊春发布,:【伊春市妇幼保健院关于疫情期间相关管理规定的通告】疫情期间为避免人员聚集，防止交叉感染，本着优先收治急危重症，优化资源配置，满足患者必须的诊疗需求的原则，按照黑龙江省和伊春市卫健委相关文件要求，结合我院实际情况做如下规定：1、来我院就诊的患者和家属请佩戴口罩从患者通道入口进入医院。2、就诊患者必须首先出示“龙江健康码”，并接受体温检测和信息登记，排除新冠肺炎后进入科室就诊。3、实行实名制就诊，请您提供真实病史和有效联系方式。4、请您充分利用健康龙江服务平台、微信公众号等预约就医方式，选择在互联网上进行线上咨询、问诊。5、为避免人员聚集，对需要到医院就诊人员，请保持1.5米距离。门诊实行“一医一患一诊室”。6、门诊患者进行有创操作前必须做肺部CT及血常规检查。需要住院的患者必须在门诊做肺CT（除孕妇和儿童外）和血常规，排除新冠肺炎疑似症状后，才能办理住院。7、有下列情况的孕妇及儿童在肺CT检查结果正常后方可办理入院。（1）有呼吸道症状患者；（2）体温≥37.3°的患者；（3）有流行病学接触史、旅游史的患者；为了您和他人的健康，请您积极配合!医患携手，早日打赢疫情防控阻击战。祝广大患者身体健康!
是宁崽鸭,:#新诊疗方案有哪些变化#这是我们的马克思作业和新诊断方案有关，求那为大姥给我解答
花树梢,【疫情期间，#常见病患者网上复诊医保可报销#】国家医保局、国家卫生健康委日前联合印发指导意见，明确常见病、慢性病患者在互联网医疗机构复诊可依规进行医保报销。《意见》明确，对符合要求的互联网医疗机构为参保人提供的常见病、慢性病线上复诊服务，各地可依规纳入医保基金支付范围。互联网医疗机构为参保人在线开具电子处方，线下采取多种方式灵活配药，参保人可享受医保支付待遇。医保部门加强与互联网医疗机构等的协作，诊疗费和药费医保负担部分在线直接结算，参保人如同在实体医院刷卡购药一样，仅需负担自付部分。为防止出现虚构医疗服务等违规行为，《意见》还要求落实线上实名制就医和处方审核等措施，确保医保基金安全。（总台央视记者张萍）
伊春发布,:【伊春市妇幼保健院关于疫情期间相关管理规定的通告】疫情期间为避免人员聚集，防止交叉感染，本着优先收治急危重症，优化资源配置，满足患者必须的诊疗需求的原则，按照黑龙江省和伊春市卫健委相关文件要求，结合我院实际情况做如下规定：1、来我院就诊的患者和家属请佩戴口罩从患者通道入口进入医院。2、就诊患者必须首先出示“龙江健康码”，并接受体温检测和信息登记，排除新冠肺炎后进入科室就诊。3、实行实名制就诊，请您提供真实病史和有效联系方式。4、请您充分利用健康龙江服务平台、微信公众号等预约就医方式，选择在互联网上进行线上咨询、问诊。5、为避免人员聚集，对需要到医院就诊人员，请保持1.5米距离。门诊实行“一医一患一诊室”。6、门诊患者进行有创操作前必须做肺部CT及血常规检查。需要住院的患者必须在门诊做肺CT（除孕妇和儿童外）和血常规，排除新冠肺炎疑似症状后，才能办理住院。7、有下列情况的孕妇及儿童在肺CT检查结果正常后方可办理入院。（1）有呼吸道症状患者；（2）体温≥37.3°的患者；（3）有流行病学接触史、旅游史的患者；为了您和他人的健康，请您积极配合!医患携手，早日打赢疫情防控阻击战。祝广大患者身体健康!
是宁崽鸭,:#新诊疗方案有哪些变化#这是我们的马克思作业和新诊断方案有关，求那为大姥给我解答
九十七岁岁,:分享一波b站上的收藏关于治愈与激励：记得多微笑关于猫猫：国际吸猫协会关于沙雕人物最喜b站上的川建国同志找贺银成的：山山妮妮与若若纯手绘解剖课：杉-诺必备常规检查直接搜第一个。直接搜诊疗基本技术。
丽江日报,:【丽江市医院全力保障复工复产诊疗秩序】#丽江全力抗击疫情#2月18日，云南丽江最后两例新冠肺炎确诊患者治愈出院，在全面做好消杀工作的基础上，收治过确诊患者的祥和分院也随之恢复了正常诊疗秩序。丽江市人民医院高度重视人民群众的健康保障工作，投入比平时更多的医疗资源，采取更加规范的诊疗流程和更为严格的院感防疫措施，全力保障复工复产以来的正常诊疗秩序。（丽江日报通讯员李鑫珍）
法国美帕,:#抗击新型肺炎企业公益在行动#无畏的你，也需要温柔的守护。法国美帕第二批面向一线医护人员的维生素B5修复喷雾捐赠行动温情上线。➡️如果您是受肌肤问题困扰的医护人员，填写需求收集表（链接见评论），我们将提供专业皮肤科医生的诊疗建议，并尽快将喷雾送到您的手中，做你们的#医护后盾#。➡️您也可以转发这条微博至各个平台，让更多有需求的白衣天使得到帮助。@微公益#她们守卫我们，我们爱护她们#
宜人泰兴,:【成都二医院普通门诊全面开放可提前14天预约】根据疫情变化，针对企业复工复产和流动人员增加，普通疾病、慢性疾病及特殊疾病的患者就诊需求越来越强。自2月26日起，成都市第二人民医院逐步有序恢复正常诊疗工作，截至目前，已经全面开放普通门诊。成都二医院普通门诊全面开放可提前14天预约
黔南检察,:【新冠肺炎患者的肺和SARS患者的区别有哪些？】看专家怎么说？#伊朗将中国诊疗方案译成波斯语##韩国累计确诊4812例新冠肺炎#浙江团省委的微博视频
双流司法,【外交部：#中方在能力范围内向外方提供支持#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（总台央视记者朱若梦靳丹妮）
新安晚报,:【首个质疑核酸检测可靠性医生：呼吁CT主要筛查手段人命关天要站出来】武汉大学中南医院影像科大夫张笑春一度站在风口浪尖。临床大夫中，大概是她最早公开提出：“别再迷信核酸检测，强烈推荐CT影像作为诊断新冠肺炎的主要依据。”　　尽管在她提出这个观点的两天后，《新型冠状病毒感染的肺炎的诊疗方案(试行第五版)》(以下简称“诊疗方案第五版”)进行了调整，要求在湖北省内增加“临床诊断病例”分类——即具有肺炎影像学特征的疑似病例，但也就是在那两天中，这个原本专业的话题在网络上吵翻了天。很多人评价说，她敢讲真话。她说，人命关天，我们医者为什么不站出来。（中青报）http://t.cn/A67NLbv0
医药卫生报,:河南省新冠肺炎疫情防控专题第二十二场新闻发布会召开河南新冠肺炎治愈率为96.1%本报讯（记者杨冬冬刘旸）3月3日下午，记者从省政府新闻办召开的河南省新冠肺炎疫情防控专题第二十二场新闻发布会上获悉，目前全省新冠肺炎治愈率为96.1%，中医诊疗指导重症、危重症患者率100%。河南省卫生健康委员会副主任张若石介绍了全省疫情防控最新进展情况。省委宣传部副部长方启雄主持发布会。张若石说，疫情防控涉及多领域、多层次、多方面，在这场横向到边、纵向到底的疫情防控体系里，每个人都是“共建、共治、共享”的一分子。目前，河南省已有7个省辖市新冠肺炎患者清零，全省新冠肺炎治愈率为96.1%。在院治疗患者中有轻症病例20例，重症病例5例，危重病例2例。全省全力救治重症和危重症患者，进一步加强整体护理，充分发挥医疗与护理的协同作用。郑州大学第一附属医院、河南省人民医院先后投入百余台设备，有三批次累计千余名医护人员参与救治，涉及呼吸科、传染科、重症监护等多学科；共采集31位新冠肺炎康复者恢复期血浆11200毫升，用于21名患者的救治。中医诊疗指导重症、危重症患者率100%。张若石说，现阶段医疗救治成绩的取得，离不开全省广大白衣战士的牺牲和奉献。全省86万卫生健康工作者担当白衣天使使命，取消节假日，全员上阵守岗，义无反顾、冲锋陷阵，舍小家、为大家，与时间赛跑，与病魔斗争，始终奋战在抗疫一线，用生命守护生命。每个人做好自我防护，落实好联防联控措施，就是对新时代最可爱的人最好的回报。不能因为某个环节出现问题，引发连锁反应而“一失万无”。3月2日，省新冠肺炎疫情防控工作监督举报电话共受理群众来电176件，其中投诉举报类85件、疫情咨询类88件，其他类3件。截至目前，累计受理群众来电4589件，均已及时回复或转交有关省辖市疫情防控领导机构核查处理。
大连悦美格医疗美容,:💓🈵️格传递爱心助力🤗恢复诊疗3🈷️福利多多🧾凭捐款凭证大额抵值✅🥳安全面诊安心变美🔆🧏🏻♀️快速还原肌肤满血状态#最新疫情地图#
大连悦美格医疗美容,:💓🈵️格传递爱心助力🤗恢复诊疗3🈷️福利多多🧾凭捐款凭证大额抵值✅🥳安全面诊安心变美🔆🧏🏻♀️快速还原肌肤满血状态#最新疫情地图#
沙雕爸爸,:伊朗民众涌入寺庙舔圣墙？这些人怎么回事啊？上午刚刚夸完伊朗翻译中国的诊疗方案…下午就整这一出…圣墙也不防病毒啊…疯了吗？#迷惑行为大赏#
Yanyiyun_SH,:手速惊人分享音乐诊疗室的视频《这才是真正的大神，键盘侠！节奏稳，速度快，全程高能》http://t.cn/A67N2O6H（@网易云音乐）
佛山本地,:#新型冠状病毒肺炎#【90岁！广东最大年龄患者出院，医生详解治疗过程】今天上午，90岁的李光（化名）从广州市第八人民医院出院。他是目前广东年龄最大新冠肺炎出院患者，此前病情一度危重。李光经历了怎样的诊疗过程？记者在市八医院了解到，李光入院后，市八医院按照《新型冠状病毒感染的肺炎诊疗方案》，对患者给予抗感染、提高免疫力，吸氧、雾化、祛痰，以及“肺炎一号方”中药治疗，定期组织专家会诊，及时对患者病情进行讨论和研判，根据病情变化及时调整治疗方案。via@佛山日报更多请戳→http://t.cn/A67CjsZk
