珠宝匠,:浮力通知
宁海检察,:【上海：#有重点国家旅居史入沪一律隔离14天#】上海明确涉外疫情防控和入境人员健康管理措施：所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，即一律隔离14天。对所有入境人员的管理坚持一视同仁，严格入口、落地、场所管理。@央视新闻
平顶山市教体局,:【疫情期间如何做到人宅心不“宅”？来听心理学家4点建议】疫情期间，长期宅在家里，非常着急焦虑，天天唉声叹气，该怎么缓解呢？随小编一起来听@华中师范大学心理学院副教授温芳芳的详解，疫情期间师生常见心理问题如何调整↓↓↓
妙蛙种子跟胡萝卜,:为我短暂的爬过bjyx短暂的粉过xz而懊悔不已真的挺没意思的…做错事立正挨打躺平任嘲不会嘛？现在天天不管啥都能看到xz乱七八糟乌烟瘴气挺讨厌的挺没意思的现在视线里都不想看见xz这人更别谈与之相关的了疫情期间找点舒服的快乐的事情做做不好吗
十年圆缺,2.5发出一句“你好”2.28说不出一句“再见”
杭锦发布,:【复工复产，不负春！】#万众一心抗击疫情#不负好春光防“疫”不松劲儿，发展紧跟上抓时间抢农时秧苗插起来车轮滚起来塔吊摆起来轰隆隆的设备转起来可爱的人儿陆续上岗了　　详情请戳：复工复产，不负春！
哈尔滨日报,:【我省疫情期间医疗废物全部无害化处置，55个防疫项目豁免环评审批】#防控疫情我们共同努力##哈尔滨身边事#明哲记者李木双日前，省生态环境厅发布消息，新冠肺炎疫情发生后，全省生态环境系统聚焦医废处置、水质安全、应急监测、防疫项目审批等重点领域和关键环节，为打赢疫情防控阻击战提供支撑保障。目前，全省医疗废物全部无害化处置，生态环境质量未受疫情影响，55个豁免环评审批的防疫项目已有44个投产。在医疗废物处置监管方面，省生态环境厅成立疫情医疗废物管理工作专班，确保医疗废物“应收尽收、应处尽处”，组织各地对涉及医疗废物收集、运输、贮存、处置的单位及新冠肺炎收治医疗机构进行重点排查，综合筛选出14个以生活垃圾焚烧和火力发电为主要处置方式的企业，作为医疗废物备选应急处置企业。目前，全省19个医疗废物集中处置设施全部正常运行，1月24日至3月2日，全省累计处置医疗废物2038.13吨，其中疫情医疗废物360.27吨，医疗废物处置率100%。在医疗污水处理监管方面，开展全省定点医疗机构及相关城镇污水处理厂情况调查和监督执法，要求没有固定处理设施的医院建设临时污水处理设施或收集消毒后运送到污水处理厂集中处理，并对149个县级以上水源地进行现场监督检查。截至3月1日，全省生态环境系统共检查城镇生活污水处理厂2191家(次)、饮用水水源地1195处(次)。全省130家定点医院、102个城镇污水处理厂、198个隔离点、4家重症救治中心产生的污水均采取了消毒处理。省生态环境厅全力做好生态环境应急监测保障，科学设置监测断面，增加疫情期间对余氯的现场监测。2月1日至3月1日，全省13个市(地)城市空气质量优良率92.0％，哈尔滨为80.0％，比去年同期分别提高17.8个和38.6个百分点。23个地表水断面I-Ⅲ类水质比例为100％，18个饮用水水源地水质类别为Ⅲ类，同比均无异常。总体看，全省地表水、饮用水水源地和城市环境空气质量稳定，生态环境质量未受疫情影响。省生态环境厅进一步深化“放管服”改革，减轻企业负担，实施包容审慎监管，主动靠前帮扶，实行“不见面”政务服务。截至3月1日，全省生态环境系统通过采取豁免审批、承诺备案等方式，服务保障55个防疫项目，其中44个已投产；全省300个“百大项目”中，已有牡丹江至佳木斯客专、多宝山铜矿、富裕通用机场等101个项目通过环评审批，占比超过三分之一。下一步，省生态环境厅将在坚决打赢疫情防控阻击战的同时，结合各市(地)疫情防控形势，有序推进污染防治攻坚战和中央环保督察反馈间题整改，坚决如期完成全面建成小康社会的“环保答卷”。
旺仔小甜饼呀,【#北大毕业卖米粉月亏2000万#，感谢网友提前收货】北大毕业的米粉店老板张天一，过去一个月经历了60家门店停业，500员工等着发工资，亏损2000万的压力。2月中旬他决定转向网店，吃货们几天就买断了货。电商平台的秒到账功能也让他快速回笼资金，挺过难关。他还感谢提前确认收货的网友，帮忙加速回血。http://t.cn/A67CkNKT
家庭报官微,:#抗击新型肺炎我们在行动#【新冠病毒疫情期间，不同人群健康防护指导·漫画版——伤残人士篇】多换气，保整洁；手卫生，随时做；复健时，戴口罩；需就医，提前约；车出行，多开窗；就医时，缩时间；回到家，勤消毒。#涨姿势#@卫生计生文化推广平台@健康中国@人民日报@央视新闻@新浪娱乐@腾讯娱乐@阿里娱乐@网易娱乐频道@凤凰网娱乐@世界卫生组织@中国广告协会@北京电视台@每日文娱播报@芒果TV@爱奇艺娱乐@优酷娱乐@搜狐娱乐@新华网@新京报@澎湃新闻@阿里巴巴公益@新浪新闻客户端@中国新闻网@头条新闻@环球网@中国青年报@封面新闻@新华视点@光明日报@武汉晚报@武汉发布@武汉中心医院@健康武汉官微
四川观察在现场,:【山东首例隐瞒湖北接触史确诊被判10个月】3月1日，山东首例疫情防控期间妨害传染病防治罪一案宣判，田某某被判处有期徒刑10个月。1月初，田某某出现发热、干咳等症状，后被确诊新冠肺炎。因其故意隐瞒湖北接触史，给37人造成被感染传播的危险，警方认定田某某涉嫌妨害传染病防治罪。http://t.cn/A67NAwq1
传说中的阿萍呀,:疫情开始到现在终于喝上了我心心念念的奶茶打开吸管的那一瞬间呦吼吼
航运交易公报微博,:#企业##邮轮#【新冠肺炎疫情影响下，首家日本邮轮公司提交破产申请】　　航运界网获悉，日本每日新闻网报道，日本神户夜光邮轮公司（LuminousCruisingCo.）3月2日宣布，受新冠肺炎疫情影响邮轮旅游市场，自1月份以来的一系列订单被迫取消，目前公司已提交破产申请。　　神户地区法院受理该公司的破产保护申请，同时从3月2日起暂停旗下“夜光神户2号”邮轮的运营。“夜光神户2号”是日本最大的餐厅邮轮之一。　　据了解，夜光邮轮的债务总额约为12.4亿日元（约合7991.5万元人民币）。日本《产经新闻》报道称，近两年邮轮公司受到地震、台风等影响曾频繁停航，加之燃油价格上涨，新冠疫情成为那最后一根稻草。　　截至当地时间3月2日23时，日本累计确诊新冠肺炎980例。其中包括“钻石公主”号邮轮上感染的乘客和乘务人员706人，死亡6人。日本本土因新冠肺炎死亡的共计12人。
松本niny小薄荷,:疫情把南方人逼成啥样了上班一聊全在家里做面食
秦岭股道,:技术看盘：指数又来到3050点关前，19年5月到现在，有力度的挑战5次，一次成功，也就是年前那一次，没站稳，原因可能和疫情有关系，不管是为何，总是被打下来了，我们期待第6次挑战，大家有没有信心？
天艺啊,:史上第三个比较随意的VOLG#疫情在家吃什么美食#又是让人罪恶的”每一天”吃饱了才有力气减肥不是咩💜天艺啊的微博视频
阳东区无邪,【警惕邪教借疫情造谣这些谣言千万别信！】当前，正处于疫情防控关键期，邪教组织却不甘寂寞，趁机“谣动”疫情，一手炮制虚假消息进行破坏捣乱。视频中邪教的惯用伎俩要警惕了！↓↓↓提醒大家要擦亮双眼，不信谣不传谣，如发现有散布谣言鼓动民众言论的个人和组织，及时向公安机关报案。http://t.cn/A67CDqY4
-awa-,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
BenAkashi,:🇺🇸朋友终于意识到疫情的严重性了……不过看起来和我们一样开始重视度不够，这样肯定会像🇯🇵和🇰🇷那样麻烦的，好好抄一下🇨🇳的作业嘛
字节匠人,:央行上海总部：持续加大对重点名单企业的优惠利率信贷投放：3月2日上午，人民银行上海总部召开视频会议。会议要求，上海地区各相关银行要继续巩固并扩大前期3000亿元疫情防控专项再贷款政策的成果，持续加大对重点名单企业的优惠利率信贷投放。要与企业同舟共济，积极推动运用5000亿元支农、支小再贷款再贴现专用额度，切实执行优惠利率政策、严格落实贷款资金投向管理，按照市场化、法治化原则，加大对重点行业和领域的普惠性优惠利率信贷支持，助力企业复工复产。（证券时报）#互联网快讯##互联网资讯##互联网[超话]#
资阳网警巡查执法,:#抗击疫情公安在行动##奋进2号#【防疫期间，网吧、麻将悄悄开，还装监控“反侦察”...老板和网管全被拘】在疫情防控期间，雁江一网吧竟不顾当地“1号禁令”悄悄营业，并在网吧内摆放机麻供他人打麻将。网吧之所以如此“明目张胆”，是因为老板安装的监控能看到店外上门的检查人员，躲过多次检查。万万没想到的是，恰恰也是自家监控“出卖”了他们。2月28日，@资阳市公安局雁江分局对该网吧老板雷某及网管甘某作出处罚决定，雷某被处以行政拘留8日，并收缴违法所得980元；甘某被处以行政拘留6日。
小花TOTO,:我真是一个平平无奇的做饭小天才
华广网--中国华艺广播公司,:【财政部：#各级财政疫情防控资金超千亿#】国务院联防联控机制召开新闻发布会，财政部社会保障司司长符金陵介绍，截至3月2日，#各级财政安排防疫资金1087.5亿元#。现在看来，医疗费用的保障比较充足，人民群众不会因为医疗费用延误救治。人民日报的微博视频
桃花雪枫,:不要用情怀来包装资本市场；资本市场没有最美逆行者，都是冲着赚钱来的，最美逆行者是抗击疫情的广大医务人员；资本市场只有买和卖，资本市场只有赚钱和亏钱；这里只有多空厮杀
三俗诗人__,:业务不走我不好意思走我不走业务也不好意思走中午吃饭知道大家因为疫情都吃的方便面我也不好意思吃肯德基按理说我的收入是我的事儿但还是无法心安理得的在大家面前拉开差距
陇南公安,:#疫情当前警察不退#【成县：下沉社区护平安】#抗击疫情公安在行动#成县公安局各临时党支部继续下沉社区开展疫情防疫防控工作，对近期返乡人员进行细致摸排，督促各社区严格落实人员登记、上报措施；检查各宾馆对入住人员信息上报是否及时准确；对街面未戴口罩人员进行柔性劝导，切实筑牢疫情防控网。@甘肃公安@陇南政法@陇南交警@陇南法制@礼县公安@两当公安@成县公安@康县公安@武都公安@平安文县@中国警察网@中国警方在线@陇南日报@陇南发布@活力陇南@陇南身边事@陇南徽县公安
Park__CY,:#jk日常[超话]#疫情期间入的三条空气裙▪暮光▪四季奶青▪浪漫不死蹲▪诸神黄昏▪烟灰▪温柔一刀▪▪▪
最好的海上仙,喜欢的苏有朋的宝贝们，碰碰今天来给大家送福利啦评论处留下你因为什么被@蘇有朋圈粉？关注@碰星转发微博并艾特2位好友，3.512:00抽取热转（热门里的转发数量）第一的粉丝送出签名照1张。ps：超话大于6级。另外+微-信-公主号“碰星”，后台回复“苏有朋”，也将抽取1位幸运鹅获得签名照。@苏有朋数据组
农业科技报V,:#陕西防控新冠肺炎##战疫情促生产，百名专家在行动#【大棚蔬菜要高产，早春管理是关键】早春乍暖还寒，气温忽冷忽热，此时正处于冬春茬蔬菜开始采收、早春茬蔬菜定植的关键时期，如果管理不当，容易导致冬春茬蔬菜早衰、早春茬蔬菜长势减弱、营养不足、叶片发黄、病虫害加重等问题，从而影响蔬菜的产量和品质。那么，菜农该如何管理？对此，2月21日，记者采访了西北农林科技大学园艺学院副研究员、国家大宗蔬菜西安综合试验站成员张明科，他向种植户提出以下管理建议：http://t.cn/A67NA21D
天津政法,:#众志成城战疫情#【守护城市守护爱！武汉女婿主动按下“快进键”】当武汉市被按下“暂停键”时，志愿者们主动按下了“快进键”，他们坚守在各医院、小区、高速路口等疫情防控关键点上，为更多的人提供帮助。下面，我们走进一对志愿者夫妻，疫情爆发后，他们驾车从重庆赶回了武汉。#10地连续10天以上无新增病例##武大联合团队最快10分钟捕获新冠病毒#http://t.cn/A67Ce2z5
乐居网昆明,:#本地新闻#1月昆明实际利用外资同比增长10.41%！  记者日前从市商务局获悉，截至2月27日，全市128家重点外资企业已复工111家，复工复产率已达86.3%，高于全国70%的平均水平，职工返岗率达69.6%。1月实际利用外资增速高于全国平均水平。  在做好疫情防控工作的前提下，市商务局全面做好外商投资企业复工复产保障服务，稳定外资企业信心，积极有效地利用外资，充分保障外资企业建设、生产和经营得到有序开展。数据显示，1月全市实际利用外资2377.90万美元，同比增长10.41%，高于全国同比增长4%的平均水平。  为应对新冠肺炎疫情，市商务局积极通过电话、微信、外企QQ群、邮件、视频会议保持联系及时沟通掌握外资企业动态情况，对单一问题一企一群、共性问题多企一群及时解决外资企业困难问题，采取“点对点”“面对面”“屏对屏”重点关注合同外资1亿美元以上的重点项目32个，推送相关疫情防控政策措施和通知要求，研究出台加快外商投资企业复工复产做好稳外资工作措施，协调解决项目建设、生产和经营等问题，保障项目有序按计划实施。  在助力外贸企业复工复产方面，市商务局发挥行业优势，统筹做好疫情防控和稳外贸发展各项工作。截至目前，占昆明市九成外贸进出口贡献的60户重点外贸企业已复工54户，复工率90%，实有职工58210人，已复工52244人，工人复工率89.75%。昆明市2019年第一批云南省外贸发展综合贡献百强企业共21家，已全面复工;第二批云南省外贸发展综合贡献百强企业共28家，均已全部复工。  面对全市防疫物资紧缺的状况，市商务局联合市工业和信息化局向全市外贸外资企业发出关于扩大防疫物资进口的倡议书。其中，云南通吉物流有限公司积极组织力量免费运输、寄递防疫物资和生活物资240余吨，组织东南亚海外华人华侨捐赠物资70余吨。截至目前，市商务局联系市工信局，从境外采购一次性口罩39.1万只、N95口罩12万只。http://t.cn/A67NALbO
北京卫视,:【在疫情期间，专家居然建议食用泡菜？】泡菜中含有乳酸菌，能够增强抵抗力，抗菌杀菌。Ps.每日泡菜量不超过25克。每周吃2次即可。#北京卫视疫情防控特别行动##全民抗疫特别节目#北京卫视的秒拍视频
乌海头条,:#乌海防控疫情第一线##非常时期非常乌海##在家能为战胜疫情做点啥##宅出新时尚#走心纪录！镜头下的呼和浩特24小时▶走心纪录！镜头下的呼和浩特24小时乌海
南昌进贤发布,:【#中央要求各地关心关爱一线社区工作者#】中央应对疫情工作领导小组会议指出，当前除湖北外我国疫情总体处于较低水平，出现向好态势，但要进一步控制疫情散发，防止偶发聚集性疫情，社区防控是重要关口和基础。各地要通过给予适当工作补助、落实待遇、改善防护条件、安排轮休等，关心关爱防控一线社区工作者。力戒形式主义，#制止多头重复向基层派任务要表格#。http://t.cn/A67Seymo
青秀发布,:#战胜疫情南宁在行动#【最新要求！广西各地各学校要开始着手谋划开学工作】3月2日下午，全区应对新冠肺炎疫情做好春季开学工作电视电话会议召开。会议提出：自治区有关部门要指导各市各学校按照“疫情没有得到基本控制前不开学，学校基本防控条件不具备不开学，师生和校园公共卫生安全得不到切实保障不开学”的总体要求，深入研判疫情防控形势，科学评估确定2020年春季学期开学时间。via：南宁发布http://t.cn/A67CUMk1
最好的海上仙,喜欢的苏有朋的宝贝们，碰碰今天来给大家送福利啦评论处留下你因为什么被@蘇有朋圈粉？关注@碰星转发微博并艾特2位好友，3.512:00抽取热转（热门里的转发数量）第一的粉丝送出签名照1张。ps：超话大于6级。另外+微-信-公主号“碰星”，后台回复“苏有朋”，也将抽取1位幸运鹅获得签名照。@苏有朋数据组
Park__CY,:#jk日常[超话]#疫情期间入的三条空气裙▪暮光▪四季奶青▪浪漫不死蹲▪诸神黄昏▪烟灰▪温柔一刀▪▪▪
北京晚报北晚新视觉网,:#北京战疫#【#在京外国人健康管理一视同仁#】今天下午，北京市新型冠状病毒肺炎疫情防控工作举行第三十九场新闻发布会。针对在京外国人有何健康管理措施，市政府副秘书长陈蓓介绍，对在京的外国人一视同仁，统一按照北京的防疫要求，落实做好健康管理的一系列工作。统一按照防疫要求，北京对在京外国人健康管理一视同仁
木土成伟,:一场疫情出现了多少红卫兵
鱼丸_WW,:卧槽我好想吃火锅螺蛳粉酸辣粉麻辣烫等疫情过去我能不能连吃一周我还想喝coco的时候青稞牛奶什么的
看金牛,【四川省应对新冠肺炎疫情分区分级差异化防控工作指南（第二版）】省政府办公厅日前印发《四川省应对新冠肺炎疫情分区分级差异化防控工作指南（第二版）》，根据当前疫情防控形势发展趋势变化，进一步实施分区分级差异化防控策略↓↓四川省应对新冠肺炎疫情分区分级差异化防控工作指南（第二版）
传说中的阿萍呀,:疫情开始到现在终于喝上了我心心念念的奶茶打开吸管的那一瞬间呦吼吼
河源共青团,:#青年战疫#【为保障社区居民生活，他们#把防护服穿成了记事本#】“1901张师傅的酒精”“1501刘姐的电池、奶粉”......湖北荆州市沙市区胜利街派出所所长代睿的白色防护服上写满了歪歪扭扭、大小不一的字，全是群众所需购买的物资。由于荆州某小区接连有业主被确诊，小区采取封闭式管理，作为所长的代睿第一时间成立“疫区冲锋队”，负责接管该小区疫情较为严重的楼栋，保障97户201人的日常生活。@新华视点http://t.cn/A679V9mI
资阳网警巡查执法,:#抗击疫情公安在行动##奋进2号#【防疫期间，网吧、麻将悄悄开，还装监控“反侦察”...老板和网管全被拘】在疫情防控期间，雁江一网吧竟不顾当地“1号禁令”悄悄营业，并在网吧内摆放机麻供他人打麻将。网吧之所以如此“明目张胆”，是因为老板安装的监控能看到店外上门的检查人员，躲过多次检查。万万没想到的是，恰恰也是自家监控“出卖”了他们。2月28日，@资阳市公安局雁江分局对该网吧老板雷某及网管甘某作出处罚决定，雷某被处以行政拘留8日，并收缴违法所得980元；甘某被处以行政拘留6日。
小花TOTO,:我真是一个平平无奇的做饭小天才
华广网--中国华艺广播公司,:【财政部：#各级财政疫情防控资金超千亿#】国务院联防联控机制召开新闻发布会，财政部社会保障司司长符金陵介绍，截至3月2日，#各级财政安排防疫资金1087.5亿元#。现在看来，医疗费用的保障比较充足，人民群众不会因为医疗费用延误救治。人民日报的微博视频
北京晚报北晚新视觉网,:#北京战疫#【#在京外国人健康管理一视同仁#】今天下午，北京市新型冠状病毒肺炎疫情防控工作举行第三十九场新闻发布会。针对在京外国人有何健康管理措施，市政府副秘书长陈蓓介绍，对在京的外国人一视同仁，统一按照北京的防疫要求，落实做好健康管理的一系列工作。统一按照防疫要求，北京对在京外国人健康管理一视同仁
木土成伟,:一场疫情出现了多少红卫兵
鱼丸_WW,:卧槽我好想吃火锅螺蛳粉酸辣粉麻辣烫等疫情过去我能不能连吃一周我还想喝coco的时候青稞牛奶什么的
资阳网警巡查执法,:#抗击疫情公安在行动##奋进2号#【防疫期间，网吧、麻将悄悄开，还装监控“反侦察”...老板和网管全被拘】在疫情防控期间，雁江一网吧竟不顾当地“1号禁令”悄悄营业，并在网吧内摆放机麻供他人打麻将。网吧之所以如此“明目张胆”，是因为老板安装的监控能看到店外上门的检查人员，躲过多次检查。万万没想到的是，恰恰也是自家监控“出卖”了他们。2月28日，@资阳市公安局雁江分局对该网吧老板雷某及网管甘某作出处罚决定，雷某被处以行政拘留8日，并收缴违法所得980元；甘某被处以行政拘留6日。
小花TOTO,:我真是一个平平无奇的做饭小天才
看金牛,【四川省应对新冠肺炎疫情分区分级差异化防控工作指南（第二版）】省政府办公厅日前印发《四川省应对新冠肺炎疫情分区分级差异化防控工作指南（第二版）》，根据当前疫情防控形势发展趋势变化，进一步实施分区分级差异化防控策略↓↓四川省应对新冠肺炎疫情分区分级差异化防控工作指南（第二版）
传说中的阿萍呀,:疫情开始到现在终于喝上了我心心念念的奶茶打开吸管的那一瞬间呦吼吼
河源共青团,:#青年战疫#【为保障社区居民生活，他们#把防护服穿成了记事本#】“1901张师傅的酒精”“1501刘姐的电池、奶粉”......湖北荆州市沙市区胜利街派出所所长代睿的白色防护服上写满了歪歪扭扭、大小不一的字，全是群众所需购买的物资。由于荆州某小区接连有业主被确诊，小区采取封闭式管理，作为所长的代睿第一时间成立“疫区冲锋队”，负责接管该小区疫情较为严重的楼栋，保障97户201人的日常生活。@新华视点http://t.cn/A679V9mI
航运交易公报微博,:#企业##邮轮#【新冠肺炎疫情影响下，首家日本邮轮公司提交破产申请】　　航运界网获悉，日本每日新闻网报道，日本神户夜光邮轮公司（LuminousCruisingCo.）3月2日宣布，受新冠肺炎疫情影响邮轮旅游市场，自1月份以来的一系列订单被迫取消，目前公司已提交破产申请。　　神户地区法院受理该公司的破产保护申请，同时从3月2日起暂停旗下“夜光神户2号”邮轮的运营。“夜光神户2号”是日本最大的餐厅邮轮之一。　　据了解，夜光邮轮的债务总额约为12.4亿日元（约合7991.5万元人民币）。日本《产经新闻》报道称，近两年邮轮公司受到地震、台风等影响曾频繁停航，加之燃油价格上涨，新冠疫情成为那最后一根稻草。　　截至当地时间3月2日23时，日本累计确诊新冠肺炎980例。其中包括“钻石公主”号邮轮上感染的乘客和乘务人员706人，死亡6人。日本本土因新冠肺炎死亡的共计12人。
价值投资日志,:山东青岛一对母女没戴口罩也乘了车，手下留情的公交司机却获8万点赞。晚上7点20分，307路公交车上，迎来一对年轻的母女均未佩戴口罩。妈妈称，她急着出门没戴口罩，并反复强调她身体很健康，没有疾病，希望司机师傅能够通融一下。考虑到当时天色已晚，母女俩因为赶车也已经累得气喘吁吁，如果再让这对母女再去买口罩再乘车，也有些不妥也于心不忍。司机左右为难，想到他才从单位领了第二天需要佩带的口罩，再加上随身备用的一个，刚好够两名母女使用。司机果断把口罩拿出来，递给了母女两，并嘱咐她们戴好口罩乘车。该司机张楠当晚回到分公司，他还将日常生活中，需要注意的防疫事项编成顺口溜:“乘坐公共交通工具，必须佩戴口罩并实名登记，疫情期间希望乘客文明乘车，做好自我防护。”不得不说，他真是位人民好司机，为他的暖心行为点赞。#钟南山团队建议严格防控实施至4月底##全球抗疫第一线##三月的新目标#
杭锦发布,:【开学第一课：从“教室”到“云端”】#万众一心抗击疫情#内蒙古教育厅1月31日印发了《关于做好全区疫情防控延迟期间中小学网络在线教育教学工作指导意见》，要求各地各校采取“教育+互联网”形式，搭建并完善在线教育教学平台。全区中小学校3月2日起开展线上教学，学生不返校。3月2日，内蒙古中小学学生走进“空中课堂”，和阔别了一个假期的老师同学”隔空相见”。在这个特殊时期，开学第一课从“教室”搬到“云端”。详情请戳：http://t.cn/A6791gM0
太原新闻网官方微博,:【财政部：#各级财政疫情防控资金超千亿#】财政部社会保障司司长符金陵表示，确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排防疫资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67CdNvL
石家庄头条排行榜,:#石家庄身边事#【河北50套箱房出口日本用于疫情隔离，曾用于火神山雷神山建设】3月2日，河北馆陶一公司生产的的箱式房屋已于近日出口日本，主要用于医院新冠疫情隔离。在湖北省火神山雷神山医院建设中，曾广泛使用该公司生产的箱式房屋。这次发往日本的订单总共50套，现已发走10套。http://t.cn/A679WDe2
WanG_s王,:#2020中国大学生好创意，为中国加油!武汉加油!#@全国大广赛组委会作品：《光明不会被吞噬》作者：王晓景苏思媛高雨诺学校：西安建筑科技大学指导老师：汤雅莉类别：平面类设计说明：这幅插画采用黄鹤楼的元素代表武汉，运用夸张的手法描绘了病毒在肆意撕咬并企图吞噬黄鹤楼，一名医生在病毒笼罩的黑暗下奋力为人们带来光明与希望，为人们铸造屏障。寓意在这个非常时期是医生们的无私奉献与付出为我们抵制病毒，给我们的生活带来保障，“初心不因来路招摇而改变，使命不因风雨坎坷而淡忘”，抗击疫情，我们一直在行动！
Yvette薏凡特,:#38女神节##活出你的极致#38女神节福利来袭，为女神闺蜜挑选一套运动装备吧！你心里闺蜜的样子是什么？是可以任何时候想说什么就说什么？是恨不得能把生活中所有小事事无巨细的讲给对方听？是永远不怕吵散，也不必担心对方离开。闺蜜既是你生活里的蜜罐，又是你难过时候翻倒情绪的垃圾桶。疫情当前，你有多久没跟闺蜜见面啦？想念一起热汗后，又敞开肚子涮火锅的罪恶感？想念闺蜜一通电话，就撇下男友赴约的仗义？38女神节，感恩闺蜜一路同行，小薏再次给薏米们机会表达爱为闺蜜挑选一套健身服并，说说闺蜜在运动中的那些趣事儿，@你们的好闺蜜小编将抽取一位薏米送出一套健身服等疫情结束，闺蜜相约健身房见！活动时间：2020年3月5日-2020年3月10日快快呼叫你的闺蜜！
青秀发布,:#战胜疫情南宁在行动#【最新要求！广西各地各学校要开始着手谋划开学工作】3月2日下午，全区应对新冠肺炎疫情做好春季开学工作电视电话会议召开。会议提出：自治区有关部门要指导各市各学校按照“疫情没有得到基本控制前不开学，学校基本防控条件不具备不开学，师生和校园公共卫生安全得不到切实保障不开学”的总体要求，深入研判疫情防控形势，科学评估确定2020年春季学期开学时间。via：南宁发布http://t.cn/A67CUMk1
南昌进贤发布,:【#中央要求各地关心关爱一线社区工作者#】中央应对疫情工作领导小组会议指出，当前除湖北外我国疫情总体处于较低水平，出现向好态势，但要进一步控制疫情散发，防止偶发聚集性疫情，社区防控是重要关口和基础。各地要通过给予适当工作补助、落实待遇、改善防护条件、安排轮休等，关心关爱防控一线社区工作者。力戒形式主义，#制止多头重复向基层派任务要表格#。http://t.cn/A67Seymo
乐居网昆明,:#本地新闻#1月昆明实际利用外资同比增长10.41%！  记者日前从市商务局获悉，截至2月27日，全市128家重点外资企业已复工111家，复工复产率已达86.3%，高于全国70%的平均水平，职工返岗率达69.6%。1月实际利用外资增速高于全国平均水平。  在做好疫情防控工作的前提下，市商务局全面做好外商投资企业复工复产保障服务，稳定外资企业信心，积极有效地利用外资，充分保障外资企业建设、生产和经营得到有序开展。数据显示，1月全市实际利用外资2377.90万美元，同比增长10.41%，高于全国同比增长4%的平均水平。  为应对新冠肺炎疫情，市商务局积极通过电话、微信、外企QQ群、邮件、视频会议保持联系及时沟通掌握外资企业动态情况，对单一问题一企一群、共性问题多企一群及时解决外资企业困难问题，采取“点对点”“面对面”“屏对屏”重点关注合同外资1亿美元以上的重点项目32个，推送相关疫情防控政策措施和通知要求，研究出台加快外商投资企业复工复产做好稳外资工作措施，协调解决项目建设、生产和经营等问题，保障项目有序按计划实施。  在助力外贸企业复工复产方面，市商务局发挥行业优势，统筹做好疫情防控和稳外贸发展各项工作。截至目前，占昆明市九成外贸进出口贡献的60户重点外贸企业已复工54户，复工率90%，实有职工58210人，已复工52244人，工人复工率89.75%。昆明市2019年第一批云南省外贸发展综合贡献百强企业共21家，已全面复工;第二批云南省外贸发展综合贡献百强企业共28家，均已全部复工。  面对全市防疫物资紧缺的状况，市商务局联合市工业和信息化局向全市外贸外资企业发出关于扩大防疫物资进口的倡议书。其中，云南通吉物流有限公司积极组织力量免费运输、寄递防疫物资和生活物资240余吨，组织东南亚海外华人华侨捐赠物资70余吨。截至目前，市商务局联系市工信局，从境外采购一次性口罩39.1万只、N95口罩12万只。http://t.cn/A67NALbO
千龙网中国首都网,:#疫情谣言一网打尽#【NO.256：C罗送医尤文图斯全队隔离】近期新冠肺炎疫情在意大利蔓延，该国体育界也受到波及。葡萄牙球星C罗效力的意甲豪门尤文图斯被传出“全队隔离”和“C罗送医”的消息。尤文图斯俱乐部官方辟谣：目前，尤文没有球员感染病毒！尤文图斯前功勋战将、现俱乐部副主席内德维德3月2日凌晨连夜发微博回应称：队内没有人被感染！
山东省淄博高新区法院,:【疫情封闭管理刚解除，#男子聚餐后酒驾掉河里#】2月27日，河南平顶山。凌晨两点，一男子驾车冲进河里被困车中。119指挥中心接到报警后，迅速出动，4时30分将其救上岸。被救起男子一身酒气，身体并无大碍。他称晚上和朋友聚餐饮酒后驾车，车辆失控落入水中。平顶山于24日解除封闭管理，消防提醒勿酒后驾车。http://t.cn/A67CqtKi
