旎朔月华,:#中国女孩#换了个标题，终于能上热搜了，坚决反对这个外国人永久居住条例
种花家幸福并感激的小兔兔,:原来某些号称是二流报纸海外版的也是靠标题党吸引流量，也是吸人血馒头的，还是取关吧！
祭司君_,【#3月起明令禁止网络暴力人肉搜索#等违法活动】3月1日起，《网络信息内容生态治理规定》开始实行。规定明确，网络信息内容服务使用者和生产者、平台，不得开展网络暴力、人肉搜索、深度伪造、流量造假、操纵账号等违法活动。网络信息内容生产者应防范和抵制制作、复制、发布含有使用夸张标题、内容与标题严重不符和炒作绯闻、丑闻、劣迹等不良信息等。http://t.cn/A67fUIiX
哈侠,:#明天小米就要倒闭了#明天互联网科技圈将有大事儿要发生！小米要"倒闭"了！虽然改了标题，但是有截图，哈哈，沸腾起来吧！
周跃,:@潘九堂@卢伟冰发现一个非常有趣的事儿，同样的一篇文章，腾讯科技在的原来标题是：“华为余承东未来3~5年小米将消失”，现在的标题改成了：“华为余承东华为对手是西方公司”，该怎么形容？
大漠随行,:【全国总工会：企业应按正常标准向在家上班职工发工资】原标题：全国总工会：企业应按正常标准向在家上班的职工发放工资...全国总工会：企业应按正常标准向在家上班职工发工资@新浪财经
陈文茜贴吧,:文茜昨晚在脸书写下罹癌后勇敢生活的文字，今天各媒体转载报道，有些标题比较惊悚。不少网友询问文茜近况，文章今晨已经转发在微博，可阅读了解。
这月亮主要由你组成,有人表示没法转发，转成图试试
星期八今天迟到了吗,:#人间bb机菠萝头[超话]#这条微博的标题为@重度拖延症扭咕噜韵的真实身份到底是什么星期八今天迟到了吗的微博视频
Seven0952y,:今天朋友发了个标题有“227事件”的b站视频我以为是啥重大事件比如911512这种以时间命名的然后点进去我就……
林家栋--,:我记得我父亲给我买了一本很厚的书。故事的结尾是#恋母情结#一个小故事。这意味着它告诉我们真相。它和儿童的#小仙女bbw#故事书一样，但它只是一个#恋熟#纯粹的文本版本，故事和真理对成年人#长得胖却很漂亮的女生#有一定的含义。它的标题是小#恋肥癖#故事真理。爸爸喜欢#绅士超话#书中的真相。我也喜欢一遍又一遍地读。http://t.cn/A6hjgXGc
Llinw,#外国人永久居留管理条例#简单来说，《永居条例》基本上就是中国绿卡管理办法，这个条例的漏洞之多已经不是漏成筛子，而是漏成渔网了。在我看来除了网上提出的民族自尊心之外这部法还有一些隐藏问题，主要有四大问题：第一：永居权利是一次性赋予的全国性权利，虽然批准权在中央，但是接受申请和资料核实实际由县级地方机关操办，这里有着巨大的操作空间，我国幅员辽阔，东西部差距很大，永居条件很难一概而论，但是某个县级单位报上来的永居一经批准，全国永久有效！而且《永居条例》一旦颁布，将是全国性的上位法，地方政府的政策只能做细化规定，而不能违背上位法，而永居条例不知道出于何种目的，很多方面已经定的很细很死，和大量地方政策相冲突，也让地方政府失去了调整和弥补的空间。如果一部法律本身经得起推敲也就罢了，问题是这部上位法根本经不起推敲，多处与其他法律条文自相矛盾（如关于隐性的“双重国籍”问题），且居然多处出现“可以”这样模棱两可的表述（在法律上“可以”执行的意思就是“可以不”执行），严谨性甚至还不如某些地方立法。第二：永居权利的赋予过于宽松，有很多漏洞，比如原居留条例中规定无犯罪记录的外籍人士才允许获得绿卡，一旦在中国触犯刑法可以剥夺居留权，而此次《永居条例》不知为何居然只字未提，简直是2004年取消海外入境人员HIV强制检查之后的又一大重大退步。另外对于永居亲属的永居申请方面，把永居外国人和中国公民等同处理，这是一个根本性的错误。例如在美国，并不是每个绿卡人士的亲属都能申请绿卡的，年满21岁公民的直接监护人才能申请绿卡。在配偶申请绿卡方面，美国公民和美国绿卡人士也有相当的区别。这些都是公开的政策，而《永居条例》的制定者，则完全混淆了中国公民和永居外国人的区别，到底是水平问题还是屁股问题？第三：《永居条例》给予永居外国人等同于中国公民几乎所有社会民生权利的同时，还在很多领域给予了额外的权利和方便，即所谓的超国民待遇。而在义务方面，却有意无意的对纳税以及缴交社保，公积金的义务放松要求。众所周知，成为美国绿卡人士将同时成为美国税务居民，也就是说美国绿卡人士将被美国政府全球征税！而中国永居条例竟然只字未提全球征税，也即外籍人士在海外的资产不用交税，给双重国籍人士的偷税漏税大开方便之门。更为甚者，永居外国人的境外收入不但不需要交税，还可将境内收入合法汇往国外，使外汇管制形同虚设。更多的权利，更少的义务，中国公民在永居外国人的超国民待遇面前将世世代代沦为二等公民。第四：《永居条例》给“假外国人”大开方便之门，由于较多的权利和较少的义务，变相鼓励中国公民特别是部分权贵和富人海外生育获取外国籍，再获取永居外国人身份从而得到超国民待遇，也方便随时跑路，更可随时转移财产。由于这些人本来就在中国生活，《永居条例》那些门槛就根本不是门槛，比如和中国配偶共同生活五年，这比配偶拿上海户口还快了！而且如上文所说《永居条例》还破天荒的规定永居人士的配偶也可同样获得永居资格，方便夫妻双双跑路，简直滑天下之大稽。《永居条例》事实上变相废弃了我国立国以来秉持的“否认双重国籍”原则，为权贵和资本外逃大开方便之门。强烈要求在不能堵住“假外国人”漏洞的情况下，不能发布现行的《永居条例》！http://t.cn/Evk4evd
江边的小妖,#抵制肖战#吃到一口陈年老瓜。nb哦。科普下，颜宁。清华大学医学院教授，美国普林斯顿大学教授。
少年站在繁华街角处,:#耿耿于怀的童年礼物#看到这个标题一下就想到了兔子灯。四个轮子拉着走的那种。闹了很久还是没有得到。或许父母都已经不记得了。快要30岁的我今年是不是可以自己买一个？或者自己动手做一个？
儿子女婿心头肉,:ㅠㅠ因为除了哭真的说不出任何话啊看到标题::)跳出来就知道是宝宝了ㅠㅠㅠㅠㅠㅠㅠ微博视频
浦东发布,:【干货收藏！一次性解决Word排版问题
大和守不安定_,【#少女失踪6年为父子生3孩#法院要求明确其走失前精神状况】2012年5月，河南驻马店14岁女孩小沫与哥哥发生争吵后夺门而出，此后再无音信。2018年1月，小沫的母亲贴传单时意外发现了小沫，但此时的她已为一对父子生下3个孩子，并精神分裂。三个孩子中，老大系他与当地一名60岁男子郑某敏所生，另有一对双胞胎系小沫与郑某敏的儿子郑某牛所生。8月27日，法院针对该案召开庭前会议，要求公诉方补充资料，明确小沫走失前的精神状况是否正常。小沫的家属认为，这在一定程度上能够说明小沫除了遭到强奸，是否还遭受其他侵害，也将成为该案民事索赔的主要证据。（澎湃新闻、现代快报）http://t.cn/Ai83vjzZhttp://t.cn/E4ew8nw
达达今天喝可乐还是奶茶,:
阿晨-断网拉闸型摸鱼,:我发现除了沉睡的奴隶我最喜欢的标题还真就是“与迪奥共度的青春”。。。。
头痛睡觉,原来巴甫洛夫的条件反射实验，不光拿狗做过，还拿他亲弟弟做过……他弟弟尼古拉倒不傻，说让我分泌唾液，普通的肉可不成，得用鱼子酱。这哥俩的互动都能写进相声里去了，太狗了。
Wings-vic,#SEVENTEEN[超话]#💎#SEVENTEEN出道五周年#🌟#S.COUPS崔胜澈[超话]#[SVT_Harbour]200303vlive直播贴“其实今天开直播的理由呢”“因为我变得健康了很多”“会重新开始活动了”“比起我突然蹦出来做节目”“还是由我自己亲自说比较好”（皮下：啊啊啊啊啊啊啊啊啊啊啊啊啊啊）“谢谢大家的担心我真的好了很多”“专辑有一直在准备”“头发真的原先超级长的真的剪了很多”“耳洞？根据专辑来看可能打也可能不打”“喜欢的吃的？炸猪排”“真的休息了很久”“原本要一起站在舞台上做舞台的来着”“但我没做到对不起”五周年联合应援计划👉http://t.cn/A6htUqRq切瓜教程👉http://t.cn/AiY1VkdA[请勿二改二传转发请标注SEVENTEEN_Harbour站]
两只公鼠20090911,【周末•6】一觉醒来，星期一的太阳可真美好
echo朝彻,:论文标题可怎么起啊哭了
Vision宣,:标题就叫希望吧
小鹿钗比,:ptsd了看到这个标题
道可道非常道不能盗,:我发表了头条文章:《标题》标题
___玖奈良川,#电视剧庆余年#庆余年TVB版片头，来听听看怎么样？花卷不是好吃的花卷的微博视频
一无是处的六子酱,发现了个有意思的事。同样的链接，手机端点进去是：余承东：华为对手是西方公司电脑端点进去是：余承东：三到五年小米将消失。
咕果,:#明天小米就要倒闭了#大家可还记得2015年3月4日腾讯科技一则新闻，标题为：“华为余承东：5年内小米将消失”，其实余承东本意并不是这样，而且他在世界移动通信大会上表示，智能手机行业将重新洗牌，未来三到五年只会剩下三大手机厂商。而且余承东还认为华为将是这三大手机厂商之一，对于整个行业来说，这将是痛苦的，而行业的领军者可能会被迅速遗忘。
李易峰最爱的蛋和牛奶,:我提出了问题"#李易峰徐天同款细节#既然标题说是峰哥和徐天的同款细节，那我想知道峰哥你和徐天有哪些细节是很像的?"#李易峰徐天同款细节#既然标题说是峰哥和徐天的同款细节，那我想知道峰哥你和徐天有哪些细节是很像的?@李易峰
Fayne是小火山,:被vue吞掉的标题：猪兔子与狗兔子Fayne是小火山的微博视频
EmWatson-Elsa,#影视宅急送##小罗伯特唐尼#始于钢铁侠，终于钢铁侠，十年弹指之间结束愿爱你不止三千遍BGM：UpAllNight歌手：Hinder没有特长的阎冬的微博视频
Beauty_柠栀,:#安徽黄山发现两个哺乳类新物种#惊呆了！！！
大道寺镜人,:拍了一个视频。大道寺镜人的微博视频
幸福创造靠劳动,:2001年，美国第一个宣布退出《禁止生物武器公约》。而且，当年美国还非常得意地宣布完成了人类基因组的草图绘制，这标志着基因组战争将由传说变为现实。2003年，当时美国的《军事医学》杂志曾发表过一篇文章，标题是《基因组计划与基因治疗通向下一代生物武器的途径》，这篇论文表明，美国已经走上了研究下一代生物武器的道路。『金一南：为什么有人觉得病毒可能是从美国流出来的？』http://t.cn/A67CssYi
_潮声,:Tonoretreat，youneverknowhowstrong.~~~不到没有退路之时；其中一个神秘标志“2”引人遐想……很有可能在告诉大家《合金装备……【谣言止于官方：复仇2》并不存在】事情起源于上周的台北电玩展，复仇》标题一样
头文字是T,#游研社出品#AO3是个用于储存同人文学的网站，最近几天你恐怕已经被这三个字母刷了屏。尽管大部分人对这些文化并不了解，但随着AO3对大多数人不再可见，局外者的我们已成事中人。为此，我们也有必要去了解这个网站，并思考整个事件，对我们而言意味着什么。那么，AO3到底是什么？
Vetrax嚣张卫视,:腾讯科技的原文全文，目前已经被改了标题。各位自己看吧。余承东：华为对手是西方公司
阳宝丶,:来个背影杀，😎阳宝丶的微博视频
这么做对么,实在理解不了，为什么会这样想。。。
愛吃土的柔,:看標題就知道是你[淚]
江幽默与李性感,:#安徽黄山发现两个哺乳类新物种#没点开正文，只看标题的我，吓得魂飞魄散~[捂脸]
WendyYXZhang感恩,#库里被下放至发展联盟#【真的不是标题党】勇士今天将正在恢复伤病的库里下放至发展联盟，经过三个小时的训练，勇士又将库里招了回来。对此，勇士主帅科尔在推特上说道：“我们在认真考虑给这孩子一份10天的合同。”咱MVP也是要面子的好伐
半次元站娘,#电视剧庆余年#庆余年TVB版片头，来听听看怎么样？花卷不是好吃的花卷的微博视频
诗音非音,【女子遭男友掌掴后跳楼致骨折检方：不符合立案条件】云南女子因纠纷遭到男友的两名男性朋友打骂后，从曲靖一处宾馆4楼跳下，造成全身21处骨折。家属称坠楼后一直在医院治疗，至今生活无法自理，已经花费50多万元。27日，家属收到检方不予立案监督的答复函，检方审查后认为，事件中的4名当事人在事发过程中，主观上均无犯罪的故意和过失，客观上4人的行为和林寒跳楼致伤的结果没有刑法上的因果关系，没有犯罪事实，不符合立案条件，因此依法不予立案监督。http://t.cn/A674YUN7
宠物博主009,#肖战[超话]##正能量偶像肖战#xz#肖战#肖战有多温柔呢？？？有一次因为航班延误无意早到了登机口，小兔眼四处张望轻轻地说了一句话“打扰人家了”。他身上善良又美好的小细节真的很戳人✨✨✨@X玖少年团肖战DAYTOYcr.追星PD的微博视频
董小华99,【3月起禁止网络暴力人肉搜索等违法活动】3月1日起，《网络信息内容生态治理规定》实行，明确网络信息内容服务使用者和生产者、平台，不得开展网络暴力、人肉搜索、深度伪造、流量造假、操纵账号等违法活动。网络信息内容生产者应防范和抵制制作、复制、发布含有使用夸张标题、内容与标题严重不符和炒作绯闻、丑闻、劣迹等不良信息等！http://t.cn/A67fUIiX
Roddy-团灭之海补完自闭中,#电视剧庆余年#庆余年TVB版片头，来听听看怎么样？花卷不是好吃的花卷的微博视频
咦你怡你,:终于有一个好消息大学之后就没有准备过考试依然是裸考第一个试讲紧张得要命考官还让我在黑板上画服装效果图画得像坨屎试讲的时候很多bug忘记写标题忘记擦黑板回答问题的时候乱讲一通anyway还是过了我开心🥳
聿桃,:#崔雪莉[超话]#有年费会员的桃子看过来🍑🍑🍑🍑🍑🍑打开发帖键🍑右下角➕号🍑点击投票🍑标题自选🍑文案内容‼️‼️1.点击第一个词条进行投票并分享2.删除“投票”“ID”字样，点击发送3.取消投票4.重复以上三个步骤5.分享时可选择同时评论🍑选项设置为崔雪莉相关话题并在话题后加上cxlxl缩写🍑发布‼️‼️分享完不要删掉否则就是无效净化‼️‼️
温柔飓风95095,:写啥标题呀“因为你，我愿意成为一个更好的人，不想成为你的包袱，因此发奋努力，只是为了想要证明我足以与你相配。”绿洲
喵君未知_躺在汪酱怀里,【女子遭男友掌掴后跳楼致骨折检方：不符合立案条件】云南女子因纠纷遭到男友的两名男性朋友打骂后，从曲靖一处宾馆4楼跳下，造成全身21处骨折。家属称坠楼后一直在医院治疗，至今生活无法自理，已经花费50多万元。27日，家属收到检方不予立案监督的答复函，检方审查后认为，事件中的4名当事人在事发过程中，主观上均无犯罪的故意和过失，客观上4人的行为和林寒跳楼致伤的结果没有刑法上的因果关系，没有犯罪事实，不符合立案条件，因此依法不予立案监督。http://t.cn/A674YUN7
邵井子0513,实在理解不了，为什么会这样想。。。
佛楼优,:现在看一些金融公司介绍管理团队的PPT，配上个人照，感觉就像在看公安局的抓捕公告一样。到时候标题一改就可以直接用了。
眉豆鲫鱼汤,#王嘉尔[超话]#[心]#王嘉尔代言欧莱雅男士#这个姐妹说出了我们的心声
你的苏苏苏苏突然出现,#电视剧庆余年#庆余年TVB版片头，来听听看怎么样？花卷不是好吃的花卷的微博视频
柚屿儿i,#德云社秦霄贤[超话]#看的气都提不上来了，害怕，他太有感染力了。熊先生呀的微博视频
墨者善狩本人,#美国疫情#美国华盛顿州新冠死亡达到六例！全部来自同一所养老院
四级词汇第一个abandon,【女子遭男友掌掴后跳楼致骨折检方：不符合立案条件】云南女子因纠纷遭到男友的两名男性朋友打骂后，从曲靖一处宾馆4楼跳下，造成全身21处骨折。家属称坠楼后一直在医院治疗，至今生活无法自理，已经花费50多万元。27日，家属收到检方不予立案监督的答复函，检方审查后认为，事件中的4名当事人在事发过程中，主观上均无犯罪的故意和过失，客观上4人的行为和林寒跳楼致伤的结果没有刑法上的因果关系，没有犯罪事实，不符合立案条件，因此依法不予立案监督。http://t.cn/A674YUN7
Adrian-Jiang,【韩国艺人#李敏镐和粉丝捐款3亿元#防止疫情扩散
一斤馒头_,:我发现所有标题写零失败xxxxxx的东西我都会失败玉米烙雪媚娘芒果千层芒果班戟珍珠芋圆还有今天的炸牛奶…厨房killer本k了
青海省科学技术馆,:标题：如何让“鹌鹑蛋”变成“鸽子蛋”科学原理：蛋壳的主要成分是碳酸钙，当碳酸钙遇到醋酸就会产生“复分解反应”，这时蛋壳上的色素沉淀、就能轻而易举的去掉。因此大家不要轻信一些网络上的广告！青海省科学技术馆的微博视频
仙草酱唯,🧸请接收来着@李易峰的视频通话
拍下深圳_,:大多媒体和营销段子手都在卖力讨好读者：标题党、夸张修辞、刻奇媚俗、碰瓷营销。狗咬人不是新闻，人咬狗才能博眼球。在这个职业操守沦丧、三观底线尽失的拼流量时代，终有一天你会发现：快感冲击后只剩虚无。你看起来无所不知，实际上一无所知。记住：快消式的碎片化信息永远永远永远不能代替严肃阅读与深阅读。
台州公安,:【#3月起明令禁止网络暴力人肉搜索#等违法活动
冯安啼,【
心语平常心,:中国最火的表情这标题有点大我认为最火的表情也是最帅的表情往下看#我们战斗吧##萧敬腾##王嘉尔##白敬亭#表情包送上！他们为一[路过这儿]块饼干挤眉弄眼
梦游3278121481,【#3月起明令禁止网络暴力人肉搜索#等违法活动】3月1日起，《网络信息内容生态治理规定》开始实行。规定明确，网络信息内容服务使用者和生产者、平台，不得开展网络暴力、人肉搜索、深度伪造、流量造假、操纵账号等违法活动。网络信息内容生产者应防范和抵制制作、复制、发布含有使用夸张标题、内容与标题严重不符和炒作绯闻、丑闻、劣迹等不良信息等。http://t.cn/A67fUIiX
v20051020,:标题曲PV现已释出、这是他们迎来出道25周年的一张温情单曲……吉田美和宽厚柔美的歌声一定能触动你的心灵：作为日本电视台报道节目『NEWSZERO』第六代主题歌……
邵阳中院,:【#3月起明令禁止网络暴力人肉搜索#等违法活动】3月1日起，《网络信息内容生态治理规定》开始实行。规定明确，网络信息内容服务使用者和生产者、平台，不得开展网络暴力、人肉搜索、深度伪造、流量造假、操纵账号等违法活动。网络信息内容生产者应防范和抵制制作、复制、发布含有使用夸张标题、内容与标题严重不符和炒作绯闻、丑闻、劣迹等不良信息等。@人民日报L央视网快看的微博视频http://t.cn/A67fUIiX
小徐的大四生活,【女子发朋友圈称被疑似人贩子强拉上车警方：拉人者误认成自己妻子女子发布不实信息
哒哒的扣子君,速报：ao3已经有人发布了DTrump/ZXIAO文学。（已确认）说真的我代表我自己向这位作者磕头，非常的行为艺术。
扎扎里,:放着网课视频刷B站，看见一个视频，标题是:杨洋，脸在晋江，心在起点。哈哈哈哈哈哈哈哈哈总结精辟，有水平！！！笑着流下了辛酸的泪不过硬汉我也喜欢啦嘿嘿嘿
心是很沉重的,【女子发朋友圈称被疑似人贩子强拉上车警方：拉人者误认成自己妻子女子发布不实信息
周功满,:今日份👉公务员面试解题破题训练
雁归塞北,:才发现，二流报纸当年也很骚气嘛，副标题是亮点
时间之刀,:我发表了头条文章:《没有标题，随心而发》没有标题，随心而发福州·闽侯县
勇气数码君,:余承东:5年内小米将消失？我查变全网都没有找到大嘴说的这句话。当年大嘴只说过会剩下三大手机厂商，除了华为是其中之一外，并没有讲明其它两家是谁，也没有明确的表示五年内小米会消失。所以当时发这篇文章的肯定是个标题党，能让🐒澎湃至今也是不容易
MGM1924,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
kariossi,:早上看到一个小标题，“理解而不谅解”，顿时又一阵悲哀。理性地厘清所有事实，很可能最终会将矛盾指向一个无法/难以抗争的概念。而无力感是剥夺人们生命力的凶手。所以理解而不谅解，人们为自身代表的利益、自己所坚信的正义而斗争。这个正义来源于社会人所接受的叙事，正义感又源于同理心。把最近的读物结合自己一贯的三观，得出的结论依然是无力而无用的——不仅是对别人无用，更是对自己无用，因为我至今也未能找到渴望追求的事物。缺失的同理心，没有快乐，也没有悲伤，只有flat。
干嘛鹅鹅鹅_,【3月起禁止网络暴力人肉搜索等违法活动】3月1日起，《网络信息内容生态治理规定》实行，明确网络信息内容服务使用者和生产者、平台，不得开展网络暴力、人肉搜索、深度伪造、流量造假、操纵账号等违法活动。网络信息内容生产者应防范和抵制制作、复制、发布含有使用夸张标题、内容与标题严重不符和炒作绯闻、丑闻、劣迹等不良信息等！http://t.cn/A67fUIiX
纯牛奶长得像你,女孩子的一生，要爱的东西太多。爱的多选题，你们的答案是否有自己？做个了不起的女生，从爱自己开始。泡面加个蛋是一种爱自己，睡前泡个脚也是一种爱自己，爱自己的方式那么多，你是哪一个？带话题#爱自己就是了不起#，以“——也是一种爱自己”转发评论造句，抽取10个520元帮还花呗红包～#天猫3.8节#
椒江叶Sir,:工人日报采访方方，这是派去的那三百记者里的吗？妥妥的官方特稿，没有问那一地手机，她自己说信息真实性需要自己判断，自己觉得自己写的东西真实性基本都有保证。工人日报客户端记者张翀，贺少成，编辑赵琛，他们自我感觉应该是挺好的，给这位他们称之为敢于直言备受社会关注的作家配了个给力的标题。
Taraxa社区,【#3月起明令禁止网络暴力人肉搜索#等违法活动】3月1日起，《网络信息内容生态治理规定》开始实行。规定明确，网络信息内容服务使用者和生产者、平台，不得开展网络暴力、人肉搜索、深度伪造、流量造假、操纵账号等违法活动。网络信息内容生产者应防范和抵制制作、复制、发布含有使用夸张标题、内容与标题严重不符和炒作绯闻、丑闻、劣迹等不良信息等。http://t.cn/A67fUIiX
水冰悦ice,#电视剧庆余年#庆余年TVB版片头，来听听看怎么样？花卷不是好吃的花卷的微博视频
zjbook,:发表了博文《河北骑行路线》河北草原天路：中国版66号公路骑行路线2018-04-1211:56来源:邯郸领越铁人三项俱乐部原标题：河北草原天路：中国版66号公路骑行路线河北有条中国式的66号公路——草河北骑行路线
普通沙雕,:#浙江新增7例均为意大利输入病例#从意大利回国的很多是华侨，华侨啊！微博上看见个标题就开始骂“白皮猪”？还有几个人说什么双标跪舔欧美人？华侨捐物资就可以，想回国更安全就不行？
归把钓鱼钩,【女子发朋友圈称被疑似人贩子强拉上车警方：拉人者误认成自己妻子女子发布不实信息
星羽_13177,勇于踏出刷素材的第一步，丁老师也太有趣了！！！访谈类节目里说话速度跟张潮老师有得一拼了！！！嗯！找素材真的一点都不乏味，好开心的
来往不过,:#武汉外地滞留者可申领3000元政府救助#希望别搞这些花里胡哨的标题，引导大众身在武汉滞留的我，到现在也没有人给我打过电话问情况，前面一直报道说所谓的排查，我个人是没看到的，虽然我也不需要你们打电话，但至少说明，不是所有事都是你们口中说的那样后面又说社区安排送菜什么的，更不可能，我人在这里，我不说谁知道我的存在，另外我认识的一些留在武汉的包括武汉本地的人很多都是户主自行组织团购菜，菜价翻了几番还不新鲜，我也不指望找社区帮我团购，现在又来说补贴三千，实际情况更不用说了，这种时候自己能把自己安顿好就不错了，没有享受过任何待遇，却往我们身上贴了这么多优待的标，不指望但也别搞这些花里胡哨的东西，看了隔应
童爸推荐,:1、特仑苏纯牛奶250ml*12礼盒装（新老包装随机发货），标题下令199-30卷，秒杀价57.9下4件叠加2件8哲到手155.66，哲38.82/箱：http://t.cn/A679VG8Q2、超能花漾护色凝珠15g*12+10g*24（36颗），标题下令85哲卷，加车3件修改为5哲活动后只需72.2共108粒：http://t.cn/A679VG8Y
黄豆推荐,:标题下5折家纺劵防身http://t.cn/A679ckpe
晋江新闻网,:#晋江人一起战“疫”#【“你觉得无聊的家，是爸爸想宅却不能宅的地方”——晋江经济报小记者致敬坚守抗疫一线的父母】又是宅在家的一天。完成作业，看着电视里不断滚动的疫情信息报道，晋江第二实验小学六年级学生陈怿宁突发奇想，拿出纸笔写起了疫情日记。文章标题是《抗疫》，而主人公便是自己的爸爸。　　陈怿宁的爸爸是晋江市公安局的一名民警，也是这个春节假期，奋战在新型冠状病毒肺炎疫情防控工作一线的“战士”。　　“这一场战‘疫’很艰难。爸爸坚守在抗疫一线，披星戴月，无怨无悔。作为他的女儿，我心疼，也骄傲。中国，加油！晋江，加油！”洋洋洒洒数百字，陈怿宁表达了对爸爸的想念，也传递了对所有坚守在一线的抗疫战士的致敬。http://t.cn/A679c3jq
好心白菜分享,:⭐JD标题下5折家纺券防身http://t.cn/A679cn2Q
新社汇and微会动袁帅,:发布了头条文章：《疫情下小微企业该如何利用互联网自救之Edm邮件营销从未过时》#邮件营销##袁帅论道##万众一心抗击疫情##微会动平台##新社汇平台#做邮件营销最主要的要考虑到用户体验，如果用户收到大量的广告标题的邮件会删除或者这种邮件还没等客户看到已经被邮件服务商给屏蔽掉了。这样的话，发再多的邮件也是一点用都没有。http://t.cn/A679cQTE
眉眉眉眉眉眉眉毛,:时不时去cp原创分区里翻榜单和完结列表的人有个很疑惑的问题，为什么原创区还有rps同人文？明明有同人分区啊！！就在那里啊！！！看不见还是投稿的时候不能选！？！审核也不纠错的？真的见过好多次，还是标题直接写cp名那种，哇我真的费解
玉林网警巡查执法,:#净网2020#【我们在网上如何表现，网络世界就会如何呈现！拒绝乌烟瘴气，还网络气正风清！
海明威协奏曲,:#蒙古国又向中国捐赠20000只口罩#热搜标题没有显示完，我以为捐献了20000只羊😂😂
不问来路-只问归处,【3月起禁止网络暴力人肉搜索等违法活动】3月1日起，《网络信息内容生态治理规定》实行，明确网络信息内容服务使用者和生产者、平台，不得开展网络暴力、人肉搜索、深度伪造、流量造假、操纵账号等违法活动。网络信息内容生产者应防范和抵制制作、复制、发布含有使用夸张标题、内容与标题严重不符和炒作绯闻、丑闻、劣迹等不良信息等！http://t.cn/A67fUIiX
小狐仙的窝,:标题下5折家纺圈防身http://t.cn/A679tku4
Tiantouo,【女子遭男友掌掴后跳楼致骨折检方：不符合立案条件】云南女子因纠纷遭到男友的两名男性朋友打骂后，从曲靖一处宾馆4楼跳下，造成全身21处骨折。家属称坠楼后一直在医院治疗，至今生活无法自理，已经花费50多万元。27日，家属收到检方不予立案监督的答复函，检方审查后认为，事件中的4名当事人在事发过程中，主观上均无犯罪的故意和过失，客观上4人的行为和林寒跳楼致伤的结果没有刑法上的因果关系，没有犯罪事实，不符合立案条件，因此依法不予立案监督。http://t.cn/A674YUN7
