卓明信援通讯社,:#最新疫情地图##疫情地图#湖北省新型冠状病毒肺炎县级现有确诊病例数据分布图，数据截至3月2日24时。3月2日，湖北全省现有病例28216例，较前一日下降2327例，降速7.62%。#应急管理[超话]#
松江报,:【#湖北将有序关停方舱医院#逐步恢复正常医疗秩序】3日，湖北省卫生健康委员会副主任涂远超在发布会上表示，湖北将有序推进医疗秩序分区分级管理，分类分步实施，比如高风险区武汉市要继续将疫情防控作为当前头等大事，同时也要合理用好用足现有的医疗资源，尽最大努力满足患者正常的医疗需求，并重点保障急危重症、血液透析、肿瘤、孕产妇、儿童等患者急需的医疗需求，同时指定了首批重点医院来全面转为提供综合性的医疗服务，后续也将根据疫情防控实际逐步缩减新冠肺炎收治的定点医院，有序关停方舱医院，分批分布逐步恢复正常医疗秩序。http://t.cn/A67NIDA0
汉江检察,:发布了头条文章：《潜江战“疫”故事丨青春为何，青春何为》@湖北省人民检察院@仙桃检察@正义潜江@天门检察潜江战“疫”故事丨青春为何，青春何为
湖北发布,:【“新型冠状病毒感染的肺炎疫情防控工作”新闻发布会第三十八场】3月3日，湖北省新冠病毒肺炎疫情防控工作指挥部召开第38场新闻发布会，介绍全省新冠肺炎疫情医疗救治工作情况。http://t.cn/A67pGmT2
湖北省政府门户网站,:#湖北保卫战#【“新型冠状病毒感染的肺炎疫情防控工作”新闻发布会第三十八场】3月3日，湖北省新冠病毒肺炎疫情防控工作指挥部召开第38场新闻发布会，介绍全省新冠肺炎疫情医疗救治工作情况。http://t.cn/A67pGmT2
美丽和谐家园,:【湖北省副省长：#武汉已实现床等人#但全省患者增量风险仍未根本控制】3月3日，湖北省人民政府副省长杨云彦表示，武汉已实现床等人，但全省疫情形势依然严峻复杂。当前面临的主要问题：消化存量任务艰巨；全省患者增量风险没得到根本的控制；疫情防控仍具有不确定性；疫情防控积极变化的基础比较薄弱等。#聚焦新冠肺炎疫情#@我们直播http://t.cn/A67NBRRb
大众网,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NLCQ5
海报新闻,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NLCQ5
心诚唯美,:【钟南山等10位院士团队先后支援湖北】湖北省卫健委副主任涂远超在今天的疫情防控发布会上表示：钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省，有330多支医疗队、超4万名医务工作者从全国各地前来支援湖北，他们在救治中发挥了重要作用。http://t.cn/A67Nnjsk
潜山中学朱小闯,【湖北省卫健委：#钟南山李兰娟等10个院士团队齐聚湖北#】3月3日，湖北省卫健委副主任涂远超表示，在中央赴湖北指导组协调下，钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈巍、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省参加抗击疫情相关工作。有330多支医疗队、超4万名医务工作者支援湖北，他们在救治中发挥了重要作用。#聚焦新冠肺炎疫情#http://t.cn/A67pPa5s
西安日报,:【#我要记住你的样子#
西安晚报,:【#我要记住你的样子#
微博辟谣,#仙桃加油##疫情辟谣#【辟谣！网传”湖北省仙桃市陈场镇居民因吃猪肉感染H7N9死亡”系谣言（2020年3月3日）】3月2日晚，有网民私信@平安仙桃求证，网传”湖北省仙桃市陈场镇居民因吃猪肉感染H7N9死亡”是否属实。在此，警方慎重回复：“谣言！”仙桃网安民警介绍，这是一则“变异”的谣言，将“大盘鸡”变成了“猪肉”后在网上传播。此外，警方于2017年、2019年，依法查处了造谣者、传谣者并对外通报。http://t.cn/A67N5LiK
平安丰都,:【#武汉将有序关停方舱医院#】今天在湖北疫情防控发布会上，湖北省卫健委副主任涂远超表示：高风险区如武汉市，要继续把疫情防控作为当前头等大事，同时尽最大努力满足患者正常的医疗需求。后续根据疫情防控实际，#武汉将逐步缩减新冠肺炎定点医院#，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NTOFk
东南早报,:【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】#神农架发生野猪非洲猪瘟疫情#农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。（澎湃新闻）
凵凵凵凵凵匸卍,:#正能量偶像肖战#肖战#肖战三十三旁白#【坚信爱会赢！文艺界致敬战斗在抗击疫情一线的所有人
经视直播官方微博,:【300万！武汉一公司涉嫌哄抬价格被“顶格”罚款】3月3日，湖北省武汉市市场监督管理局发出行政处罚听证告知书，拟对武汉土家二妹餐饮服务有限公司哄抬价格违法行为“顶格”罚款300万元。经查，2020年2月4日至2020年2月29日，该公司在电商平台上销售蔬菜，订单量共计6630份。其中，西红柿、四季豆、胡萝卜价格是武汉白沙洲农副产品大市场有限公司提供的同期上述蔬菜价格的数倍。这种销售方式客观上造成了消费者的恐慌情绪，推动了新冠肺炎疫情防控期间蔬菜价格过快上涨，情节极其严重，性质极其恶劣，影响极坏，且经市场监管部门约谈和告诫仍拒不改正，遂依法作出上述决定。#万众一心打赢疫情防控阻击战##武汉[地点]#（湖北经视记者：冯莹）
萧缮,【联合调查组公布#黄某英离汉进京事件调查结果#】今天，联合调查组公布#黄某英事件发生经过#↓认为：①“黄某英事件”是一起因失职渎职导致的严重事件，性质恶劣，影响极坏，给首都疫情防控工作带来极大隐患；②该事件虽发生在武汉女子监狱，但根源在湖北省司法厅和湖北省监狱局；③应严肃追究湖北省司法厅、省监狱局，武汉女子监狱、武汉市东西湖区公安分局相关人员责任。（总台央视记者吴闯徐平）http://t.cn/A67aYVZV
活力河西青年,:#活力视角#【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。@平安河西@津彩青春http://t.cn/A67NvF2i
内蒙古团委,:#共同战疫#【#我要记住你的样子#
凵凵凵凵凵匸卍,:#正能量偶像肖战#肖战#肖战三十三旁白#【坚信爱会赢！文艺界致敬战斗在抗击疫情一线的所有人
ldfchnbh,:湖北省竹山县战“疫”纪实http://t.cn/A67pAdTJ
asdzxcv666素颜,#轶夫当观[超话]##正能量偶像肖战#肖战#肖战三十三旁白#【坚信爱会赢！文艺界致敬战斗在抗击疫情一线的所有人[心]】万众一心，共同抗疫！中国文联、中国视协、中国影协、中国音协和中共湖北省委宣传部、湖北省文联共同组织创作和制作了《坚信爱会赢》主题MV。为武汉加油！为湖北加油！为中国加油！#众志成城抗疫情#http://t.cn/A6PWu4anhttp://t.cn/RJwKRD0
科学不加V,发布了头条文章：《民间中医高手向中央请愿出征武汉，自带草药献药方显神功注定载入史册》民间中医高手向中央请愿出征武汉，自带草药献药方显神功注定载入史册
1水晶盒1,:湖北省新冠肺炎疫情防控工作第三十八场新闻发布会http://t.cn/A67pbwsP
大气铁文,:【7x24小时】【湖北减灾办：湖北3月极端天气增多严防疫情回头】湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形势分析报告》，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。#气象教育##众志成城共克时艰#
windbig,:湖北省监狱管理局领导班子调整http://t.cn/A679iq5k
青岛早报,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。（人民日报）
合肥晚报,:【#钟南山等10位院士团队先后支援湖北#】湖北省卫健委副主任涂远超在今天的疫情防控发布会上表示：钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省，有330多支医疗队、超4万名医务工作者从全国各地前来支援湖北，他们在救治中发挥了重要作用。#钟南山李兰娟等10个院士团队齐聚湖北##最新疫情报道#http://t.cn/A67Nnjsk
闽荣医疗,【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】#神农架发生野猪非洲猪瘟疫情#农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。（澎湃新闻）
河北音乐广播,:#1024微新闻##武汉有12万人日均步数过万#【封城40天，有12万人日均步数过万】1月23日，武汉因新冠肺炎疫情第一次关上大门。在湖北被“隔离”的40天里，6.3万名公安民警、5.6万名辅警，逆行于荆楚大地，不分警种和岗位，坚守在抗疫一线。（视频来源：湖北省公安厅）http://t.cn/A67p2lSEhttp://t.cn/A67p2l0A
simi2012,【湖北：疫情增量风险仍未根本控制，继续采取最严格防控措施】“（疫情）防控工作的总体态势还没有变，湖北的疫情形势依然严峻复杂，我们还要继续采取最严格的防控措施。”3月3日的新闻发布会上，湖北省副省长杨云彦介绍了当前湖北面临的主要问题。湖北：疫情增量风险仍未根本控制，继续采取最严格防控措施
e公司,:#股票#【【直播预告】#e公司微访谈#三特索道：积极应对疫情影响探索文旅+金融、文旅+科技融合发展】三特索道（002159）是湖北省境内唯一家旅游类A股上市公司，主要...http://t.cn/A6797wGr
虎背熊腰的暖暖,:过年回家，隔壁村买的一束花。开了好久。由于2019新冠状病毒疫情的影响，湖北省大爆发，进而2020年春节前一天封城。举国上下陷入恐慌一时间，口罩，酒精，消毒液，防护服，紧缺告急，人心惶惶！漳州
武汉同城,:#万众一心抗击新冠肺炎#【涉嫌哄抬价格武汉一公司被“顶格”罚款300万元】3月3日，湖北省武汉市市场监督管理局发出行政处罚听证告知书，拟对武汉土家二妹餐饮服务有限公司哄抬价格违法行为，依据《中华人民共和国价格法》《价格违法行为行政处罚规定》等法律法规规定，“顶格”罚款300万元。经查，2020年2月4日至2020年2月29日，该公司在电商平台上销售蔬菜，订单量共计6630份。其中，网售西红柿价格22元/公斤、四季豆价格36元/公斤、胡萝卜价格25元/公斤。武汉白沙洲农副产品大市场有限公司提供的同期上述蔬菜价格分别为：西红柿7.5元/公斤，四季豆16元/公斤，胡萝卜4元/公斤。另查明，该公司还在其网上店铺信息栏中标明：茄子7元/个，鲜玉米10元/个，白萝卜6-8元/个。《告知书》称，这种销售方式客观上造成了消费者的恐慌情绪，推动了新冠肺炎疫情防控期间蔬菜价格过快上涨，情节极其严重，性质极其恶劣，影响极坏，且经市场监管部门约谈和告诫仍拒不改正，遂依法作出上述决定。
腹黑简简简,:#省考##考研#【考研英语】【考研政治】【考研数学】英语四六级法考司法考试注会初级会计中级会计国考【公务员考试】【云南省考】【贵州省考】【四川省考】【宁夏省考】【甘肃省考】【浙江省考】【广东省考】【江苏省考】【福建省考】【江西省考】【黑龙江省考】【辽宁省考】【天津市考】【河北省考】【河南省考】【湖北省考】【湖南省考】【西藏省考】【新疆省考】【青海省考】【广西省考】【江苏事业单位山东公基事业单位福建事业单位http://t.cn/A67p4yz8
影像陕西,:武汉女子监狱长郝爱民被免“刑满释放新冠肺炎确诊人员离汉抵京”问题，经湖北省纪委监委研究并报省委批准，决定对9人立案审查调查，其中，省监狱管理局党委书记、局长郝爱民被免职。绿洲
江苏新闻,:【#我要记住你的样子#
京南榆垡,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
锡林郭勒反邪教,【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】#神农架发生野猪非洲猪瘟疫情#农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。（澎湃新闻）
丫儿-字十六MINDY,:#晚安短信湖北计划#湖北省汉川市脉旺镇刘口村的旺仔
董郎行,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。@人民日报
武汉小广播,:#武汉身边事#【#武汉樱花将提前绽放#，超长待机守候江城】据湖北省气象服务中心预报，2020年武汉大学樱花（中樱品种）较常年将提前5天左右开放，初花期在3月8日前后；3月中下旬将迎来盛花期，花期约23天。今年武汉的樱花季少了熙熙攘攘的游人，显得安静许多，但这座勇敢顽强的城市如同樱花一样，积聚着蓬勃的生命力，等待着绽放的那刻。待到春暖花开时，我们再相约樱花树下！
1水晶盒1,:湖北省新冠肺炎疫情防控工作第三十八场新闻发布会http://t.cn/A67pbwsP
大气铁文,:【7x24小时】【湖北减灾办：湖北3月极端天气增多严防疫情回头】湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形势分析报告》，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。#气象教育##众志成城共克时艰#
广州新闻电台FM962,:【#武汉将有序关停方舱医院#】今天在湖北疫情防控发布会上，湖北省卫健委副主任涂远超表示：高风险区如武汉市，要继续把疫情防控作为当前头等大事，同时尽最大努力满足患者正常的医疗需求。后续根据疫情防控实际，#武汉将逐步缩减新冠肺炎定点医院#，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NTOFk
雨中蘰埗,:湖北省内小规模纳税人3个月内免征增值税，湖北省外由现有征收率3%减到1%http://t.cn/A67Nc8am
windbig,:湖北省监狱管理局领导班子调整http://t.cn/A679iq5k
杭州播报员,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
青岛早报,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。（人民日报）
黄石发布,:【十院士齐聚湖北！】在今天下午的湖北疫情防控工作发布会上，湖北省卫生健康委员会副主任涂远超介绍，在中央组的协调下，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈巍、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
刘帅168,:湖北省内小规模纳税人3个月内免征增值税，湖北省外由现有征收率3%减到1%湖北省内小规模纳税人3个月内免征增值税，湖北省外由现有征收率3%减到1%
北京刘帅军律师,:《湖北一男子发热后聚众打牌多名家人和牌友被感染_手机网易网》3月2日，湖北省黄石市政府通报一起涉嫌妨害传染病防治罪案件。2月21日至23日，太子镇老屋村4人先后被确诊为新冠肺炎，其中，村民潘某松和王某疫情期间频繁出入村子。湖北一男子发热后聚众打牌多名家人和牌友被感染
三哥_35473,:湖北省省长王晓东：确保救治红区力保抗疫一线http://t.cn/A67NQS0k
兰州乐活圈,:【#钟南山等10位院士团队先后支援湖北#】湖北省卫健委副主任涂远超在今天的疫情防控发布会上表示：钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省，有330多支医疗队、超4万名医务工作者从全国各地前来支援湖北，他们在救治中发挥了重要作用。#钟南山李兰娟等10个院士团队齐聚湖北##最新疫情报道#http://t.cn/A67Nnjsk
蓁艽May,:真的被关的好难受，只想知道湖北省内武汉外的城市啥时候可以解封呢
黑龙江共青团,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
红星新闻,:【#我要记住你的样子#
小凡也会有苦恼,:#恩施[超话]#武汉省还是湖北省，武汉的你们管，武汉以外的湖北人那么久无新增却依然陪着武汉一起封，你们管过其他湖北人能不能过的走吗
沈阳沈北公安,:【#钟南山李兰娟等10个院士团队齐聚湖北#】湖北省卫健委副主任涂远超在今天的疫情防控发布会上表示：钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省，有330多支医疗队、超4万名医务工作者从全国各地前来支援湖北，他们在救治中发挥了重要作用。@央视新闻http://t.cn/A67Nnjsk
辽视第一时间,:【湖北一男子#隐瞒发热聚众打牌牌友被感染#】3月2日，湖北省黄石市政府通报一起涉嫌妨害传染病防治罪案件。2月21日至23日，老屋村4人先后被确诊为新冠肺炎，其中，村民潘某松和王某疫情期间频繁出入村子。而潘某松在出现发热、咳嗽症状后，恶意隐瞒，聚集村民打牌，导致多名家人和牌友被感染。http://t.cn/A67NOMuw
直播南京官方版,:【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】#神农架发生野猪非洲猪瘟疫情#农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。（澎湃新闻）
陕西韩城旅游,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。（人民日报）
河北日报,:【#我要记住你的样子#
河北音乐广播,:#1024微天下#【#我要记住你的样子#
多彩贵州网,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。
三哥_35473,:湖北省内小规模纳税人3个月内免征增值税，湖北省外由现有征收率3%减到1%湖北省内小规模纳税人3个月内免征增值税，湖北省外由现有征收率3%减到1%
江苏新闻,:【#我要记住你的样子#
刘丽_46688,:转//#看点快报#《76岁湖北省信鸽协会副会长李国均因感染新冠病毒逝世》http://t.cn/A67pUjmf
余江发布,:【#钟南山等10位院士团队先后支援湖北#】湖北省卫健委副主任涂远超在今天的疫情防控发布会上表示：钟南山、李兰娟、王辰、黄璐琦、袁国勇、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士及其团队先后到湖北省，有330多支医疗队、超4万名医务工作者从全国各地前来支援湖北，他们在救治中发挥了重要作用。#钟南山李兰娟等10个院士团队齐聚湖北##最新疫情报道#http://t.cn/A67Nnjskhttp://t.cn/R3SnCK1
