敲可耐的阿花qwq,:草尼玛写个研究论文急死我了
心向往之2015,:《终于有美国媒体开始报道中国的经验了》大家都知道，前不久世界卫生组织派出了一个专家团来到咱们中国，希望近距离研究中国对于此次新冠病毒疫情的应对措施。http://t.cn/A670JNPq
欧皇陈本伟,:#肖战#是不是还是得研究出疫苗才能解脱？
燕阵沧州,:【从韩意日伊朗等入境北京需隔离14天】3月3日，在北京市新冠疫情防控工作新闻发布会上，北京市政府副秘书长陈蓓表示，近期新冠肺炎疫情在海外呈现扩散态势，部分国家疫情发展很快，形势还是很严峻。这几天，首都严格进京管理联防联控协调机制紧锣密鼓地研究应对方案，应对境外疫情风险输入的工作全面有序铺开。其中，严格落实隔离观察措施。此前，我们对于过去14天内未在中华人民共和国境内停留，经北京口岸入境的人员，免除居家观察14天的要求。现在，根据境外疫情变化我们要对前期政策作出调整，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天；对外交人员，体温检测合格的，按照有关外交人员管理办法执行。（@人民日报）
李世红--狙击手,:#半导体##国产替代#科技部、发展改革委、教育部、中科院与自然科学基金委印发《加强“从0到1”基础研究工作方案》，《方案》提出，国家科技计划突出支持关键核心技术中的重大科学问题。面向国家重大需求，对关键核心技术中的重大科学问题给予长期支持。重点支持人工智能、网络协同制造、3D打印和激光制造、重点基础材料、先进电子材料、结构与功能材料、制造技术与关键部件、云计算和大数据、高性能计算、宽带通信和新型网络、地球观测与导航、光电子器件及集成、生物育种、高端医疗器械、集成电路和微波器件、重大科学仪器设备等重大领域，推动关键核心技术突破。业内人士表示，光掩膜及光刻胶是光刻环节中的关键材料，2018年对应全球市场分别为17.3、40.4亿美元。二者市场主要为日本及欧美企业垄断，国产化率水平低。以光刻胶行业为例，对应主流制程的KrF型光刻胶国产化率仅5%，ArF型光刻胶基本依赖进口。行业内已有多家公司开展相关研发和产业化项目，预计两种材料将在未来加快国产替代进程。公司方面，晶瑞股份（300655）i线光刻胶已向中芯国际、福顺微电子等客户供货。南大光电（300346）在自主创新和产业化的193nm光刻胶项目，已获得国家02专项“193nm光刻胶及配套材料关键技术研究项目”和“ArF光刻胶开发和产业化项目”的正式立项。
劲草嘉年华,#做自然的朋友#中国：东北·森林中的北松鼠每年秋天，东北森林中的北松鼠开始了一年中最忙碌的时节。@绿洲摄影@劲草嘉年华绿洲
任世光助人,:已证实重症新冠肺炎存在细胞因子风暴，相关临床和基础研究提示也存在儿茶酚胺风暴和自由基风暴，建议重症特别是有ARDS和MODS倾向的，要适时、适量增加能有效对抗这三个风暴的山莨菪碱、酚妥拉明和大剂量维生素C等。感染ARDS和MODS中的三个风暴及对策
马戏团买买买,在家呆了好几天也没有化妆，结果皮肤反而更差了，手指一摸都能感到鼻子周围粗粗剌剌的小颗粒，脸颊也毛毛糙糙的，可能是因为几天都懒得洗脸护肤，现在又油又干。我都嫌弃我自己了，为了拯救自己，我用毛孔抚子的网红大米面膜连续打卡了七天，假装有被大家监督，现在终于觉得可以接受自己的皮肤了，滑嫩嫩水润润。给姐妹们看看我的一周记录！真的坚持✊了一周！太难得了特殊时期希望大家都不忘记护肤
超短交易的西门,:【国家发改委课题研究会称央行数字货币可能会加速推出】据媒体报道，国家发改委数字经济新型基础设施课题研究第九次会议上，10余位专家学者研判：疫情是数字经济的催化剂，快速、全面、精确的数据采集和分析是高效决策的前提。疫后时期，国家可能会加大投资与采购力度。央行数字货币可能会加快推出，成为流向全程可控的特殊“专项资金”。央行数字货币，或成为“新版四万亿”定向刺激的选项加速推出。数字货币或将凭借区块链技术，以其可追溯性等特点，重构金融体系，巨大商业机遇孕育待发。随着相关技术的进步及监管层面的推动，数字货币时代有望加速到来，四方精创（300468）、海联金汇（002537）、飞天诚信（300386）、恒生电子（600570）、奥马电器（002668）等在区块链领域有相关布局的公司有望受益。
刘悦笛生活美学,:转一位年轻朋友：夜读书，李泽厚与刘悦笛对谈。[强]想起两年前，中国社科院哲学研究所刘悦笛研究员，不辞繁忙，欣然应我之邀赴我所工作的国际学校为即将留学美国的学生普及生活美学、进行美育启蒙。
宝鸡检察,:【#中国海军未来15年#将是什么样？美智库：6艘航母、140艘远洋战舰】近日，美国海军研究所对中国海军的发展做出了大胆预测。该研究所称，随着中国海军不断向黄水海军转向深蓝海军。今后15年中国海军可以下水或服役140艘远洋战舰，取代2005-2010年间下水的部分战舰。小央视频的秒拍视频
用户5301814941,:#中央新闻[超话]#尊敬的抚顺市中级人民法院朱海涛院长抚顺市中法是人民法院，还是抚顺市研究院？在宇城案件中抚顺.新宾.清原个别法院行政不作为，乱作为，法院贴的封条就是一张废纸在2013年9月30日，抚顺.新宾.清原县法院对宇城房地产的财产进行了查封，其中对B座59#楼盘也进行了查封，有的还多次的被查封，而现在B座59#号楼盘除售出42户外，其余全部被强行占住了！！！有的房子三四个人争，而这种局面法院不闻不问，法在哪里？我们没看见。我们看到的是一片混乱的局面，根本没有人管，难道法院贴的封条就是一张废纸吗？从2013年我们债权人就找法院，要求法院依法把被强占的房子清理出去，清原县法院赵院长说：没有抚顺市中法的指示，我们不能办，现在抚顺市中法正在研究在研究…。赵院长研究走了以后，李院长来了，他接着研究，研究…。从2013年研究到现在，抚顺市中法还在研究。抚顺市中法是人民法院，还是抚顺市研究院？？？尊敬的抚顺市中法朱海涛院长，您还要研究多久，才能解决宇城案宇城债权人李淑艳石亮刘润华马艳春王云香董慧玲周月文朱燕张兰孙亚珍马树荣袁波顾伟赵丽娟门铁郭云华邹素兰董梅李玉琪谢健李桂莲董瑞盖素敏贾广玉张胜红陈辉陈庆龙赵丽娟王红英秦丽华洪波耿国娟孙亚超谢桂梅溪艳丽李德祥王小庆，朱延平郭贵福，李实王桂玲魏贵庆周遵亮张英伟刘丽娟，白正国郝春梅.抚顺神源投小额贷款公司.金星源小额贷款有限责任公司.抚顺神州源源担保公司.吴春芳.王永义.王春.王红杰.徐延杰.李海军.安维平.李淑华.李秀兰.邵娜.朱树祥.郭明.杨连玉.赵家兴.叶长春.田华.石亮.翟学明.程宇.杨庆新.赵红芳.苏彩霞.李维新.冯利杰.韩东伟.楚涛.霍双全.刘艳.鲁军.王大勇.王瑞强.韩恩龙.辽宁国凯担保有限公司(张莉莉).范宏军.来树祥.电话：17717409259.13504233377.13500652258http://t.cn/8FGiP0z
石井千鹤,:#小吕每日梦播打卡#梦见我爸在社交软件上po了一张自己的旅行照，我的一个研究生同学立马在下面开杠，说我爸做的不对，爸爸打电话给我，语气十分自责，我拼命安慰他，并且讲了一堆这个同学的黑历史（现实中这些黑历史是确确实实存在的），挂掉电话之后，我怒火中烧，开始和那个男同学疯狂对骂。
韩钰19,:中国人喜欢炒菜，炒菜烹炒出来的特有焦香味具有无穷的魅力，让我们难以忘怀。本期节目的发明人对智能烹饪技术的研究充满兴趣。他希望通过自己的所学，研究出一台可以自动炒菜的机器，解放每天都要在厨房为一家人做饭的妻子。这台炒菜机可进行翻炒，能充分均匀对食材进行搅拌加热；同时又可以自动进行食材投放，真正做到自动做菜；同时采用电磁加热方式，可以进行高温爆炒。敬请收看CCTV17《我爱发明》2020年2月11日17:30:05播出的《年味发明-炒锅》18811045796
日化科纳健谈,:去年；这款没有轮胎的车确是未来的车的模型！但是。这款车却并不能飞：【未来人类驾驶的汽车】法国的设计师设计了一款名为“Flyingcars”的轿车、丰田公司也进行了关于这款车的研究。名字虽为Flyingcars、这种轿车没有轮胎：虽然不能飞[大雄微笑]
HBO黄波智造,:纽约安缦年预计底开业，并开始进军房地产【HBO黄波智造建筑装饰设计研究所3300期】最近随着纽约安缦酒店，即将于2020年年底开业，一旦开业，则可能是全北美最贵城市酒店。纽约安缦酒店由著名建筑师Jean-MichelGathy担纲设计，纽约安缦秉承安缦一贯的理念，坚持营造私密空间和隐逸氛围。83间舒适的客房和套房面积都在70平米以上，是全城客房面积最大的酒店之一。酒店的每间客房都将拥有纽约酒店中不多见的壁炉。独特的旋转门设计让客人们能够同时感受浴室现代化的设备和和房间内氛围。此外，大厦高层则是22套安缦私人物业及一套跨越五层、俯瞰中央公园的顶层豪华公寓。顶层公寓已经以接近2亿美金的售价卖出。酒店年底才开业，但公寓已经开始热卖。
考研狗考研,:我们今天已经整理了1000所院校的500个专业课都有的初复试原题卷，包含全部的复试原题，上这个课程是保证你必须考上研究生的！包含的各大专业课考研机构的都有，非常昂贵！（回复院校名哈，不要回复专业课名）、法硕专业课密训和冲刺资源、心理学专业课冲刺资源押题卷、中医综合密训和押题押题卷、各大院校药学综合复试原题、冲刺班！还有各大院校内部课件、心理学密训、计算机密训押题卷、重庆师范大学各专业课复试原题、管理学各大院校复试原题、历史学复试原题、各大院校中医综合复试原题、西医综合各大院校复试原题、、中医综合密训押题卷、物理化学密训资源、材料科学密训、教育学等冲刺和押题班课程押题卷！资源很丰富，获取资源后取关是loser！.我们今天整理的专业课资源价值10万元，如果你现在还没有完整的专业课你的考研一定会失败！包含708个专业课院校的冲刺班和押题班资源！如果你现在还没有专业课资源，你凭什么战胜他们？你一定会考研失败！谢谢您的关注！你可以通过这种方式获取专业课资源！一定要看！重要！专业课：由于需求较少专业课资源整理起来性价比不高！我们目前只整理5-10人在后台反馈的资源！你可以协同你周围考同专业的同学一起在公众号反馈诸如：你好我需要xxx大学的教育学资源！我们登记超过5人后就会整理该专业课的全程资源（报录比+初复试真题+视频课等）！链接:http://t.cn/AidllKSe密码:63x3！想要各种专业课密训和历年初复试真题请加QQ：1078063800（先关注微信公众号：考研人免费资料库）#何凯文[超话]##考研[超话]##徐涛[超话]##法硕[超话]#http://t.cn/A67pfWnB
哈尔滨发布,:#防控疫情复工复产#【王文涛：以有力措施和有效对策强稳岗扩就业】3日下午，省委副书记、省长王文涛主持召开省政府视频专题会议，分析我省当前稳就业形势，研究部署下一步工作。
量z的世界我不懂,:德國權威機構羅伯特·科赫研究所3日公布的最新數據顯示，德國已有196人確診感染新冠肺炎，較前一天增長39人
牧童骑牛2016,:【JMP证券上调特斯拉目标价至1060美元】投资研究公司JMP证券将特斯拉评级上调至跑赢大市，目标价1060美元。JMPSecurities的分析师在研报中表示，在与新冠肺炎疫情相关的持续市场动荡中，投资者将能够以便宜的价格买到特斯拉股票。JMPSecurities给出的1060美元的目标股价，也是华尔街分析师给予特斯拉的最高目标股价之一。
网易财经,:【新增466例！意大利累计确诊病例2502例死亡79例】意大利官方资料显示，意大利新型冠状病毒肺炎确诊病例由2036例上升到2502例，其中死亡病例上升至79人。据报道，意大利现已对多个出现疫情的城镇采取封闭措施。意大利国家卫生研究所传染病部门负责人乔瓦尼·雷扎说，预计未来几天确诊病例数还会以较高速度增长。#意大利疫情#
马戏团买买买,这次去日本买的这个大米面膜可太好用了！买了两袋用完了一袋了北京换季巨干有天上班发现嘴角脸颊附近暴皮了然后前天晚上敷了十分钟昨天敷了十分钟然后白天护肤和暴皮前继续一样然后刚刚摸了一下脸好像很滑
狮子楠_YY,:#星光公益领航员杨洋#小善意，大温暖。我在“山村幼儿园计划-阳光专项基金”项目捐款成功！和@杨洋一起用善举温暖更多心灵！@中国发展研究基金会山村幼儿园计划-阳光专项基金
九霄环佩_______,:🐤的人生经验：研究什么Hermes，不如研究Hermeneutics
勤奋sammel,#PaleRider#德国的CDC不叫CDC，叫RobertKochInstitute。RobertKoch就是罗伯特·科赫，细菌学鼻祖之一，拿过诺贝尔医学奖。他一生中发现了炭疽杆菌、结核杆菌和霍乱弧菌，还确定了判定病原体的科赫法则（受当时的认知所限）：1、病人身上可以找到大量的病原体，而在健康人中找不到这些病原体；2、病原体可被分离并在培养基中进行培养；3、培养完的病原体可以放到健康活体身上，能再产生同样的症状；4、从上述活体上能再分离出病原体。
淮南检察,:【意大利新冠肺炎确诊病例升至2502例死亡79例】人民日报海外网3月4日电，意大利官方资料显示，意大利新型冠状病毒肺炎确诊病例由2036例上升到2502例，其中死亡病例上升至79人。据报道，意大利现已对多个出现疫情的城镇采取封闭措施。意大利国家卫生研究所传染病部门负责人乔瓦尼·雷扎说，预计未来几天确诊病例数还会以较高速度增长。意大利的疫情在2月下旬爆发，主要集中在北部的伦巴第和威尼托区。受疫情影响，美国、法国、西班牙、希腊、俄罗斯等国提高了对前往意大利的旅行警告，土耳其决定停飞往返意大利航线。对于意大利的疫情发展，外交部发言人赵立坚2日表示，中方愿根据意方需要，在疫情防控、医疗救治等方面提供力所能及的帮助，愿同意大利方面加强专业领域沟通，交流疫情防控经验和技术。http://t.cn/RuiC9vv
只看不说555,:我在看：【研究称华南海鲜市场不是病毒发源地中科院团队：论文已提交预发布】#跟新浪看热点#研究称华南海鲜市场不是病毒发源地中科院团队：论文已提交预发布
来点石锤,:#日本疫情#安倍晋三昨日宣布：将研究修订法律，以“做好最坏的打算”，在合适时机宣布日本进入紧急状态。昨日日本确诊病例即将破千。#大话石锤[超话]##祖国反黑站[超话]#来点石锤的微博视频
慈悲隨緣13066666,:问：我没学佛之前研究过面相和手相，观察到耳垂大的人的确有福气。今天看新闻，一个罪大恶极的人被判处死刑，仔细看他面相，发现这个人耳垂很大，但是有横纹，而且已经凹下去了。请问，如果耳垂很大，但是耳垂上已经有横纹产生（身体没病），是不是说明他做了很大的恶事，下面已经定罪了？答：这是完全正确的。耳垂大的人是有福气的，不管做什么，哪怕是做不好的事情，他也是有权有钱，只是他把这个福气用在了负能量上、用到魔上面了，最后他把自己的福报用完了，一根横纹就出来了。而且耳垂有横纹的人十个中有九个是心脏病。耳垂小的人福气小，一个女人耳垂很小就是薄命。很多人念经念到后来耳垂会变大变厚的。来信疑惑（三百六十六）2020-02-29
何抒凝执业中药师助理中医师,【自称“治愈”15例新冠患者？#6人经李跃华苯酚疗法后被确诊#】近日，因涉嫌非法行医，#自称治愈副厅长新冠肺炎医生被查#。李跃华最早网络宣称治疗了上百例患者，之后改称治愈了15例，包括9例确诊，6例疑似。记者从其中12人处获悉，在接受李跃华治疗前，他们均未确诊为新冠肺炎患者。接受李跃华的穴位注射苯酚后，在武汉全市大排查中，至少6人核酸检测呈阳性而住院，另外至少有4人仍在隔离观察中。http://t.cn/A67C6GHQhttp://t.cn/A67CMxFG
啊呀呦1234567890,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
乱世繁华99倾尽天下,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
T先生爱下雨天,:想想还是儒家好，儒家的主要“目标”是获得“权力”。王阳明后的心学算分出来了（犹如基督教的分支，但儒学绝对不是宗教），更偏向于整个人先要光明，致良知——这背后的逻辑是：人已经是积极光明的人了，做事又有何不可？（然）仔细想想，task还是不少的，其实我是厌恶没有意义的task而已，本身不反对task（看来还是对于意义的本身很执着啊）。#以自己为研究对象的心理纪录#
相机入魔,:旨在提高人们对性别与健康领域不平等现象认识的独立研究机构GlobalHealth50/50将举办一场名为《这就是性别》的摄影展。将展出来自30个国家和地区的超过200位摄影师的作品。viaFSTP
居居快跑-,#外国人永久居留管理条例##十部委严控公立医院数量##中国将全面开放油气勘查开采市场#这三个tag连在一起看真是让人窒息
Joyo_1991,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
godloveyou,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
zp很cool,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
向日葵吃饱了就有无数个烦恼,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
赎-赎初-初,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
天南之海北,:体育总局研究员给在家里的孩子们开出锻炼“菜单”http://t.cn/A670IKcQ
向阳的黑眼圈,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
恰炫频道,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
东辉1972,:【环球时报评论】大家都知道，前不久世界卫生组织派出了一个专家团来到咱们中国，希望近距离研究中国对于此次新冠终于有美国媒体开始报道中国的经验了http://t.cn/A670Ixec
百炼绕指,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）http://t.cn/A67CVFi0
江西公务员考试网官微,:1、全国总工会：企业应按正常标准向在家上班职工付工资；2、人社部：确保民营企业专业技术人才公平公正参与职称评审；3、财政部：小规模纳税人增值税征收率由3%降为1%湖北省免征3个月；4、工信部：鼓励电信企业推出特惠流量包，减轻贫困生网费压力；5、教育部等三部委：扩大人工智能研究生招生规模；6、日本奥运大臣：IOC允许将东京奥运推迟到年底举行；7、周一拼多多股价涨4.84%，市值反超百度8、淘宝直播二月新增商家100万，开播商家环比增幅719%；9、山东：允许农村集体经营性建设用地入市；10、浙江宁波实施双职工子女看护补贴一次性补助500元；11、广州：买新能源车补贴1万元，买“国六”新车补贴3千元；12、温州：本科生可7折买房3折租房！首批1700多套房源3月中旬推出；
别窥探我_1870,:研究研究是啥人http://t.cn/A67X9xFv
公交司机云悉,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。青蜂侠Bee的秒拍视频
Yoyoo26,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
Cannie在路上,:忽然在研究生院平台看到了初恋写的文章。。。
云霄论剑6166545227,【致敬中国速度！致敬一线医学专家！#新冠疫苗研制取得重大阶段性成果#疫苗研制方面取得了重要阶段性成果
思理思虑方,:谁要是再阻止我说脏话！英国一项研究显示……骂脏话绝对有益身心……那司机下车一看它躺在地上一动不动……在玩游戏时：我跟谁急、就给它的主人200元了事了
烟雨中的紫丁香,战战，叔叔阿姨都是克制理性的中年人，一路以来从来没有和任何人争辩过，我们年纪大了，好多都40奔50了，从来不会什么刷数据也不懂反黑，看不懂那些耐人寻味的字母，甚至不知道究竟发生了什么，为什么大家都在争吵，但是你在叔叔阿姨眼里是特别乖的孩子，我们对你的喜欢一点都不曾因为旁人的原因减少一分。战战，你不要怕，我们在用自己的方式守护你。你知道吗？叔叔阿姨有稳定的工作，家里的东西买什么都是我们说了算，我们觉得旁人再大的敌意也不会和赚钱过不去，我们会一直在。她们说中年人动情最恐怖，像老房子着火没救了，可是叔叔阿姨不怕，烧就烧吧，咱家底厚不怕！战战，你是一个大人了，叔叔阿姨知道你一定有自己的想法和决定。你本质善良，无论什么决定只要你初心不改，我们会力挺到底！好好吃饭，天不塌，我们这些老家伙就会一直在！加油！
爱吃的懒猫在路上,【长沙邮局海关从旧鞋中查出11只“大块头”蚂蚁】近日，长沙海关所属长沙邮局海关从一个英国入境邮包中查获11只活体蚂蚁。这些截获的“不速之客”体长约1.5厘米，通体黑色有光泽，腹部有成排金色细绒毛。鉴定结果表明，该批蚂蚁均为原产欧洲的野蛮收获蚁雌蚁，为湖南口岸首次截获，我国尚无分布记录。长沙邮局海关介绍，现场海关关员根据X光机可疑影像拦截了该包裹，发现邮件申报为“鞋子和衬衫”，内装一双用旧报纸层层包裹的旧旅游鞋和一件散发浓重香水味的旧衬衫。不合常理的包装及试图干扰海关监管工作犬查验的浓重香水味，引起现场关员的高度怀疑，经仔细人工探查，在鞋头部位发现玻璃试管11支，每支试管内装有1只“大块头”的蚂蚁。长沙邮局海关已依法截留了该邮包，并对活体蚂蚁做灭活销毁处理。
攻城狮丶Louis,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
Annanacls,【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）青蜂侠Bee的秒拍视频
扶摇直上hyhy,改名新概念赎罪教材全解每日任务是躺平任嘲
我爱kimi,:发表了博文《中国地名史话》本以为这本书会讲述一些著名地方的地名渊源的历史故事，但其实主要讲的是各朝代行政区划的变革情况以及地名研究的历史，相当于是针对地名学这门学科史写的，读起来就没那么有趣味了，快速中国地名史话
LuvDiusR,:-昨天是出去兜风的一天～·找到了个新的湖边！是我们的新秘密乐园然狗说很早之前经过这里看到了想着有空带我来还给我发过定位但是我都不记得了·又在南湖里绕了半天找到之前看到的铁轨爬上去拍照当作我俩的小秘密基地·去农庄看萨摩·晚上然狗研究音箱自己鼓捣了半天弄了个sexuallife的歌单把对我们有意义的歌都加进去
角东乃爱,:有时候我在想，如果没有“微博”，是否会有流量经济、粉圈经济、思想粉圈化出现？如果干掉微博这种互联网产品类型？当然，那样可能太粗暴了。高级的文明体高级之处体现在精细管理、是一种高级的克制，放纵终究会招来混乱和毁灭。粉圈化如何制可能需要智库之流再做研究，这是一个比较新的题材，要搞明白政府如何制作新的治理方式应对由技术带来的人类精神互动方式(中文互联网空间)的指数性变化，使其不损害经济活动、稳定生活和长远的利益。
风向标,:第二条，平时比追求，战时比底线。做生意的过程中，难免有矛盾，有时候会不愉快，个别时候甚至会跟人打官司。遇到这些问题的时候，一定要记住一句话，叫「平时比追求，战时比底线」。什么意思呢？在正常情况下，大家竞争，实际上是比追求，比价值观，比愿景、使命，比商业模式，这些都是大家互相较劲的地方。有句话叫「比学赶帮超」，你在这些方面能做多好，你有什么样的追求，可能会决定你最终能走多远。但是，万一出现矛盾，你的「追求」体现在哪呢？体现在面对这些复杂矛盾的时候，你究竟用什么方式来处理。这个时候，你应该特别注意对方的底线。如果对方的底线比较低，你要小心。因为底线越低手段越多，让人猝不及防，甚至让人完全不知道因为什么死。通常有了矛盾，大家去仲裁，诉讼，打官司。这时候大家的底线是一样的，都是在法律上。可是突然对方的底线不在法律上了，比如说他来投毒，甚至绑架你，这种情况下他就把底线拉低了。所以，当有矛盾的时候，一定要注意研究对方的底线，考虑对方可能用什么方法来解决这个矛盾。如果对方的底线不断放低，那你就要有所提防，甚至要有所反击来制止他继续拉低底线。这样的话，才能够解决好矛盾，同时又使你的追求能够继续下去。因此这是一个「保命」的方法，叫「平时比追求，战时比底线」。
文文的三叉神经衰弱,:刚看微博说肖战挽回口碑最好的办法是-研究出新冠疫苗哈哈哈哈。没忍住，笑死我了。
澳門城市快報史丹利,:【兩岸】鍾南山研究指管控遲5天實施　疫情規模或多3倍新冠肺炎持續在全球擴散，國家衞健委高級別專家組組長、中國工程院院士鍾南山及其團隊，近日在學術期刊《JournalofThoracicDisease》發表研究文章，指內地當局的管控措施如推遲5天實施，疫情規模或擴大至3倍；又預測至下月底，內地疫情規模或增至9萬至12萬宗。據了解，該篇研究文章題為「基於SEIR優化模型和AI對公共衞生干預下的中國COVID-19（新冠肺炎）暴發趨勢預測」，研究把今年1月23日前後的人口遷徙數據及最新COVID-19流行病學數據，整合到經典傳染病學預測模型（SEIR）中並得出流行曲線。預測顯示，內地疫情在2月下旬已達到高峰，至4月底將趨於平緩；如管控措施推遲5天實施，內地疫情規模預估將擴大至3倍；如減低武漢管控力度，湖北可能在3月中旬出現第二次疫情高峰，並延續至4月下旬。預測又表明，內地截至4月底，將有9萬例至12萬例的疫情規模，惟現存確診病例（不計算已治癒病例）高峰不高於7萬宗，湖北不高於5.2萬宗，廣東和浙江不高於1200宗。研究團隊提醒，模型預測與現實存在一定差距，如政府繼續嚴格實行管控政策，提高診斷水平，推出使用藥物，疫情規模將得到極大控制，嚴格的防控措施例如「早期篩查」最好實施至4月底。按目前情況，湖北省政府仍將繼續保持嚴格管控，出現二次高峰的可能性也相對較少。
