liam53770,居家好物#迷惑行为大赏##搞笑视频#搞笑幽默官的微博视频
长征后卫薛伯陵,:【#小学老师画58幅疫情速写#记录感人瞬间：记住这些保护我们的人】据看看新闻Knews：疫情之下，江苏淮安的王红燕老师居家闭关，每天她都会看到各种各样的新闻，其中的一些都会让她觉得很感动，她用画笔记录下这些感动。在她的画笔下，有武汉金银潭医院的张定宇，有火神山工地的争分夺秒的工人。。http://t.cn/A67NmXxd
Miya5228,:【tao宝自助找券→】http://t.cn/RpzPHZq【券后仅￥24.9，领20元券↓↓↓】
小李小飞刀888,5分钟居家臀腿训练，无需器械，在家就能完成，一共10个动作，每个动作30秒，中间无休息，强度非常大健身课的秒拍视频
碌碌长安Fairy,:风和浪一起去闯心里话我陪你讲你是我一生中最珍贵的宝藏温婉居家不卑不亢火箭少女101段奥娟《陪我长大》(《快把我哥带走》电影主题曲)陪我长大@QQ音乐
莞93619,【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…详情观看视频👇via@人民日报http://t.cn/A67CFqPQ
徐子妍Yeon,:生活碎片3️⃣#生活日常#居家版生活碎片
女装时尚搭配日记,:[最右]【2个装】情侣简约洗漱牙刷杯【￥8.8】这里领卷再下单：【5元券】微博专享限时领券【网红网红同款】情侣居家旅行必备哦，情梳万缕便携式漱口杯！握感舒适，容易清洗，不易产生污垢，而且还是优质PP材质，牢固耐用~【赠运费险】
有皮无骨,:居家不见人眉毛已经野的不着边了
眉山疾病防控,:#火神山医院的大眼睛医生#【视频版】@疾控科普中国疾控中心提示：疾控中心跟您聊聊居家消毒那些事儿疾控科普的微博视频
河马号,#伊朗疫情#急剧升温一日增加了500多病例截止3月2日总共有1501例确诊但大部分伊朗人还是要正常去上班但这伊朗美女三母女很幸运不仅不用去上班还在家里用镜头记录了丰富多彩的居家抗疫生活#全球疫情##伊朗#波斯秘语的微博视频
persistence通达,:#居家网课修行记，今日打卡第n天#居家打卡第一天，今天是英语阅读呢
洒妹Rro_,:今天是忙碌居家工作的一天，明天也会是…拍摄视频，整理，准备课程…连续运动的第xx天，开心～
不要期待有如果,:#居家网课修行记，今日打卡第4天#课外读物也是不可少滴@许昌学院学生会
宋笑笑呀,:放了这么长一个假虽然居家办公但感觉自己已经不会写报告写方案写总结了当然主要是不想写
沐少爷_若飞,在“家”的一天@智族GQ
前行的悠悠然,:通行中人，已开启居家模式，彻底享受生活。而默默的们，正在一路狂奔。不同的世界，千差万别。
北京电台,:【#返京外籍人士进小区需登记#，报告健康状况】在下午的北京市新型冠状病毒肺炎疫情防控工作新闻发布上，北京市委组织部副部长张强介绍了外籍人士居住密集的社区（村）加强疫情防控有关工作情况。返京外籍人士进入小区时，需进行登记，填写基本信息、报告健康状况、了解防控政策。居家观察的外籍人士每天通过微信、电话或短信等方式报告体温检测情况。如有发热和呼吸道症状，要及时前往发热门诊进行诊疗排查。如出现确诊、疑似或密切接触者，将按既有医学程序处置。外籍人士在小区内有聚集性行为的，社区（村）工作人员要予以提醒和劝导，告知疫情传播风险。（北京日报）#抗击新型肺炎北京在行动#http://t.cn/A67Nv0hp
张盛然009,:#文明西安#@文明西安致最美逆行者们：2020春节，一场突如其来的疫情，武汉成了重灾区、牵动着国人的心，那里缺少医生、护士，缺少医疗物资！全国人民听从国家安排，居家隔离，停工、停学！在这种病毒肆虐的情况下，有一群逆行者，他们迎难而上不惧危险！一方有难八方支援，担起抗疫救灾的重担！在这里，我要感谢你们，谢谢叔叔阿姨，你们辛苦了，你们是我的榜样！五二班，张梓桐http://t.cn/RDUnNFD
每日白菜优选,:【女王节预售】怒降10大洋！【旗舰店】Calbee卡乐比8口味即食水果麦片700g*2袋79包U（20定金+79尾款-20券），富含膳食纤维（50g≈4根香蕉膳食量），办公室或居家早餐都很方便
易南,:发热患者太原医院流浪记（第一天）：我哥从大年初一开始高烧，反反复复持续了一个多月，一直居家隔离，期间曾喝中药退烧。今天去@山西医科大学第一医院发热门诊，抽了四管血，做了一堆检查，却没一个医生告诉应该挂哪个科
消除残障歧视,:因病致残人士个案管理服务案例来源：邂逅社工http://t.cn/A67N8Atr服务对象基本情况服务对象刘强（化名）是XX街道XX社区的居民，和父母一起居住，生病前从事销售行业，工作优秀、成绩突出。父母均为退休工人，父亲患有严重的阿尔兹海默症无法自理，母亲身体羸弱，家庭主要来源为父母的退休金。服务对象工作时心梗与脑梗同时发作，生命垂危，经过抢救稳定住了病情，但是手脚不便，一侧肢体部分感觉缺失，手指无法蜷缩，日常生活受到了障碍。社工接触时正在居家康复，服务对象的母亲为其投过保险，但因各种原因，保险公司迟迟没有理赔，面临高昂的医药费和康复费，自己又长期卧病在床无法工作，服务对象常常出现焦虑和烦躁的情绪，时常与家人发生冲突，面对这种情况，服务对象的母亲找到了恒爱家园社工，希望得到社工的帮助与支持。二需求及工作目标u需求：（1）经济问题：服务对象面临高昂的治疗康复费用，家庭经济基础薄弱。（2）保险业务问题：服务对象无法解决，希望社工链接社会资源帮助解决。（3）情绪问题：情绪表达及情绪疏导的需求。（4）社会交往的需求：有分享自己兴趣爱好和与他人交流沟通的需求。u工作目标：（1）运用增能理论，帮助服务对象重拾生活的信心和面对困难的勇气。（2）与服务对象分享一些情绪管理的方法，帮助服务对象减少负面情绪。（3）链接社会资源，处理保险业务问题、进行康复指导并协助申请低保、残疾等社会保障，缓解家庭经济压力。三服务过程u接案及问题预估在服务对象母亲寻求社工帮助之后，社工上门与潜在服务对象进行了接洽，通过对话的形式，社工了解了服务对象的基本情况与求助意愿。一开始服务对象对于社工服务有一些抵触的情绪，认为社工帮不了自己，但是在母亲的劝说下，服务对象态度有了改变，愿意接受一段时间的社工服务看看效果。了解情况之后，社工也向督导老师反映了个案的情况，督导老师与社工根据服务对象的需要、机构的能力、社工的能力三个维度，作出了接案并开展个案管理服务的决定，与服务对象签订了《个案工作须知与协议书》，正式确定了专业工作关系。u整合社会资源，提供专业服务（1）服务对象个人方面：1.社工从服务对象集邮的兴趣爱好入手，运用自我披露的技巧，不时的与服务对象分享自己在集邮的一些故事，打开服务对象的心扉，拉近社工与服务对象之间的距离，增强了信任感，运用增能理论，帮助服务对象认识到自己集邮时细心、认真的优点，改变服务对象认为自己现在一无是处的观点，增强自信心。2.社工分享了一些实用的情绪管理的方法，比如注意力转移法，在服务对象情绪烦躁时可以将注意力转移到其他事情上，从而使自己冷静下来。理性情绪疗法，帮助服务对象认识到自己的非理性信念，比如“卧病在床就无法为父母分担压力”、“自己已经无法康复起来了”。社工通过分享一些积极正能量的人物事迹帮助服务对象改变了这些非理性的信念，较少了服务对象的负面情绪。3.社工联系了服务对象儿时的玩伴与同学，定期来探访服务对象，陪服务对象聊聊天，使服务对象充分感受到被人关注的温暖，满足服务对象社会交往方面的需要。（2）保险理赔方面：社工联系到了保险理赔方面的专业人士，在服务对象允许并知情的情况下，向保险专业人士阐述了服务对象面临的保险理赔问题，服务对象母亲当时正准备撤销理赔，社工协助分析了撤销理赔和坚持理赔的利弊，最终服务对象母亲还是坚定了理赔的决心，在多方的努力下，最终为服务对象家庭争取到了10000元的保险赔偿金。（3）社会保障申请方面：社工跟服务对象讲解了社会对残疾人、弱势群体的支持性政策，摸清了社区申请低保、残疾人补助的要求与流程，对接社区居委会工作人员协助服务对象申请低保、残疾人补助。u结案与评估（1）社工与服务对象共同回顾个案服务内容和服务对象产生的改变，服务对象在回顾中说：“现在自己的情绪稳定多了，跟家人吵架的次数越来越少了，发现了自己的优势，理赔问题也解决了，使我感受到了来自社会、邻里的温暖。”（2）社工邀请服务对象填写了《个案结案评估表》，对于社工这一阶段的服务进行了评价。（3）与服务对象互留联系方式，告知服务对象以后有问题和需求的话，还可以找社工，另外社工也会进行服务的跟进工作，希望得到服务对象的积极配合。四服务成效（1）通过整个个案管理服务，帮助服务对象掌握了情绪管理的技巧，在服务结束后，服务对象也可以自己进行情绪管理，家庭矛盾争吵的次数由1周2-3次，减少到1周1次，改善了母子关系，促进了家庭关系的和谐。（2）帮助服务对象挖掘了自身的优点和优势，改变了非理性的信念，帮助服务对象重拾了生活的信心，增强了面对未来的勇气。（3）帮助服务对象与童年好友和同学建立联系，改善了服务对象的社会支持网络，满足了服务对象社会交往方面的需求。（4）帮助服务对象家庭争取到了10000元的保险理赔金，解决了存在于每位家庭成员心里的保险症结。（5）动员社区工作人员协助服务对象申请低保、残疾等社会保障和补贴，一定程度上缓解了家庭经济基础薄弱的情况。五总结与反思在案例中服务对象面临个人、家庭、社会方方面面的问题，对于社工专业技能的运用和链接社会资源的能力提出了很高的要求，社工结合多年的实务经验选择采取了个案管理的工作方法，不仅从服务对象个人方面开展工作，还链接了社会专业人士为服务对象提供有效的服务。当求助者问题明确了、需求清晰了、社工专业能力发挥了、社会资源到位了，服务的效果也就呈现了。这也充分体现了个案管理服务协调和资源整合的工作特点。作为一名社会工作者，我愿意实实在在为服务对象做一点事情，改善他们的困境。社工不是万能的，不能为服务对象解决所有的困难，但是社工可以在求助者心灵埋下一粒尝试改变自己现状的种子，慢慢的等待它生根发芽，社工是可以以生命影响生命的！-END-作者：张义德单位：石家庄恒爱家园社工服务中心
瞰北京,:【#韩国累计确诊新冠肺炎5186例##韩国全国进入了同传染病的战争阶段#】据海外网援引韩媒报道，韩国疾病管理本部通报称，当地时间3日0时至3日下午4时，韩国新增374例新冠肺炎确诊病例，累计确诊达5186例。韩国总统文在寅当日在国务会议中强调，全国“已进入一场抗击传染病的战争”，各级政府应认识到问题的严重性，所有政府机构要启动24小时应急机制应对新冠病毒疫情。据环球网报道，在大邱等地，目前大部分患者因无法入院处于居家隔离中，已发生多起在家死亡病例。http://t.cn/A67NfUks
都江堰司法,:#运动就是坚持#【干货转存！#防疫期间如何居家健身#？】宅在家里，你是不是好久没运动了？春天就要到了，就算待在家里也要合理地运动起来！儿童青少年、成年人、老年人、高血压糖尿病等病人该如何居家运动？疫情期间是否可通过大强度锻炼提高抵抗力？…#宅家运动指南#↓↓转需！（via：人民日报）
柳州反邪,:【反邪|柳州：鱼峰区水南村签订隔离承诺宣传反邪知识】（陈劼）#柳州反邪动态##柳州反邪##柳州身边事##活力柳州反邪同在##柳州新闻##我为反邪教代言#根据目前的疫情形式，来自或者到过河池都安县的入柳返柳人员，需要加强监管并重点隔离。2月28日上午，水南村党支部书记、副书记、驻村工作队员及六组队长，共同来到水南六组都安县返回的租户家，与家承租户签订《水南村居家隔离观察承诺书》，对其本人及家属进行登记、检测，并告知在家隔离14天的重要性。在家出现发热、咳嗽、气促等急性呼吸道症状，立即电话联系医院，主动配合治疗。居家隔离期间，做好个人及共同生活人员的防护。同时告知租户，注意防范邪教，邪教具有极大的欺骗性和违法行为，利用、制造、散布迷信邪说等手段，蛊惑、蒙骗他人，当下我们应该提高反邪教意识，相信国家、相信政府、相信社会，从我做起，崇尚科学，抵御邪教。对疫情有关信息不擅自传播，不瞒报、不谎报、不迟报。@广西反邪教@桂风网@柳州日报微博@柳州政法@法制日报
小白娱乐,:直接拍四件，第2、3、4件不要钱
上海嘉定,:【#远程居家办公怎么保护眼睛#：记住#预防近视202020口诀#】北京同仁医院眼科主任、主任医师魏文斌表示①合理安排工作时间，连续工作0.5-1小时休息10分钟，眺望远方、眨眼或者闭眼；②正确使用电子设备，调整好房间灯光，晚上看电脑看电视要开灯；③保持正确坐姿，摆好电脑位置，人的胸部和屏幕中心在同一高度；④注意用眼卫生，勤洗手，不揉眼睛，预防近视202020口诀：使用电子产品20分钟，20英尺远眺不少于20秒…更多↓（人民日报）http://t.cn/A67CFqPQ
钟宣1988,:【#从韩意日伊朗等入境北京需隔离14天#】3月3日，在北京市新冠疫情防控工作新闻发布会上，北京市政府副秘书长陈蓓表示，近期新冠肺炎疫情在海外呈现扩散态势，部分国家疫情发展很快，形势还是很严峻。一些海外留学生、务工人员回国意愿比较强烈。近几天，仅在伊朗的中国留学生从北京口岸回国的就有20余人。北京作为全国最重要的入境口岸之一，防范疫情输入风险的压力很大。这几天，首都严格进京管理联防联控协调机制紧锣密鼓地研究应对方案，加强力量统筹，开展工作调度，应对境外疫情风险输入的工作全面有序铺开。我们主要做了这几个方面的工作：第一，建立了口岸联防联控机制，组织民航局、海关、公安、卫健、外事、边检、机场等部门联勤联动，统筹做好信息通报、身份登记、健康监测、应急处理等工作。第二，加强信息获知，通过驻外使领馆，提前了解伊朗等疫情严重国家留学生、务工人员的回国意愿，以便有针对性地提前做好工作预案。第三，依据《中华人民共和国国境检疫法》等法律法规，全面加强入境检验检疫工作。严格落实入境人员《健康申报卡》填报，实现全员、全项、电子化、可共享。第四，严格落实隔离观察措施。此前，我们对于过去14天内未在中华人民共和国境内停留，经北京口岸入境的人员，免除居家观察14天的要求。现在，根据境外疫情变化我们要对前期政策作出调整，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天；对外交人员，体温检测合格的，按照有关外交人员管理办法执行。第五，对到达北京的航班加强始发地健康安全提示，提醒乘机人员、乘务人员，全程佩戴口罩，加大途中体温检测频次。如果在途中出现体温异常情况的，开启相对独立的空间，保证相对隔离。（人民日报）
郧西县人民检察院,:【干货转存！#防疫期间如何居家健身#？】宅在家里，你是不是好久没运动了？春天就要到了，就算待在家里也要合理地运动起来！儿童青少年、成年人、老年人、高血压糖尿病等病人该如何居家运动？疫情期间是否可通过大强度锻炼提高抵抗力？……#宅家运动指南#↓↓转需！@最高人民检察院@检察日报@正义网
张祺悦,:【上海：#有重点国家旅居史入沪一律隔离14天#】上海市防控工作领导小组及相关部门，明确涉外疫情防控和入境人员健康管理措施：所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，即一律隔离14天。对所有入境人员的管理坚持一视同仁，严格入口管理、严格落地管理、严格场所管理。（总台央视记者盛瑾瑜）
中国侨网,:【从韩、意、日、伊朗等回国人员均需隔离观察14天】3月3日，在北京市新冠疫情防控工作新闻发布会上，北京市政府副秘书长陈蓓表示，近期新冠肺炎疫情在海外呈现扩散态势，部分国家疫情发展很快，形势还是很严峻。一些海外留学生、务工人员回国意愿比较强烈。近几天，仅在伊朗的中国留学生从北京口岸回国的就有20余人。北京作为全国最重要的入境口岸之一，防范疫情输入风险的压力很大。这几天，首都严格进京管理联防联控协调机制紧锣密鼓地研究应对方案，加强力量统筹，开展工作调度，应对境外疫情风险输入的工作全面有序铺开。主要做了这几个方面的工作：第一，建立了口岸联防联控机制，组织民航局、海关、公安、卫健、外事、边检、机场等部门联勤联动，统筹做好信息通报、身份登记、健康监测、应急处理等工作。第二，加强信息获知，通过驻外使领馆，提前了解伊朗等疫情严重国家留学生、务工人员的回国意愿，以便有针对性地提前做好工作预案。第三，依据《中华人民共和国国境检疫法》等法律法规，全面加强入境检验检疫工作。严格落实入境人员《健康申报卡》填报，实现全员、全项、电子化、可共享。第四，严格落实隔离观察措施。此前，对于过去14天内未在中华人民共和国境内停留，经北京口岸入境的人员，免除居家观察14天的要求。现在，根据境外疫情变化要对前期政策作出调整，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天；对外交人员，体温检测合格的，按照有关外交人员管理办法执行。第五，对到达北京的航班加强始发地健康安全提示，提醒乘机人员、乘务人员，全程佩戴口罩，加大途中体温检测频次。如果在途中出现体温异常情况的，开启相对独立的空间，保证相对隔离。（人民日报）
老家晋中,:【疫情期市民拼“黑车”复工，路费翻3倍：一车装4人还没防护】3月2日，山西孝义，李女士拼“黑车”去太原上班。她说，汽车站、火车站还没开始运营，自己无奈拼车。以前拼车只需五六十元，但当天她花了150元。车上无隔离措施，全靠大家自觉戴口罩。目前，李女士已进行居家隔离。http://t.cn/A67NPnEo#山西爆料#
六安发布,:#抗击新型肺炎六安在行动#【“清零”！我市最后6例新冠肺炎患者治愈出院】3月3日，随着最后6名新冠肺炎治愈患者走出市人民医院隔离病区，疫情发生以来，全市累计确诊的69例病例至此已全部治愈出院，成为全省第二个确诊患者治愈出院“清零”城市。自首例确诊病例入院以来，我市始终坚持集中患者、集中专家、集中资源、集中救治的“四集中”原则，充分发挥中医药大市和“西山药库”资源，切实做到一人一方案、一人一团队、一天一会诊和感染、呼吸、重症、中医多学科联合治疗，取得了“零病亡”的优秀成果。为防止治愈患者出院后发生交叉感染，我市又率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务，目前已被省疫情防控应急指挥部办公室在全省各市推广。#安徽打响清零战#
上海闵行,:【哪些情况要观察隔离？哪些必须集中隔离？】重点地区来沪返沪人员，必须严格实行为期14天的隔离观察，一律不得外出。出现发热症状的，按规定立即就诊排查。密切接触者，即与“疑似病例、确诊病例、轻症病例、检测呈阳性的无症状感染者”有密切接触情形的人员，必须实施集中隔离观察。同时，对来沪返沪的特殊行业从业人员，如从事教育、托育、医务、家政、护理职业的，以及劳动密集型企业等的从业人员，实施更为严格的管理措施——单位有隔离条件的，实施单位隔离健康观察；本人有居所的，实施居家隔离健康观察；本人无居住条件的，实施地区集中隔离健康观察（单位或个人承担一定费用）。#上海战疫##上海加油#via新民晚报http://t.cn/A67CKjhGhttp://t.cn/A67C9cvO
江门日报,:【战疫情稳经济我们都要赢！】面对突然来袭的新冠肺炎疫情，江门市委、市政府认真贯彻落实党中央决策部署和省委工作安排，迅速响应、全面动员，带领全市干部群众投入到疫情防控的人民战争、总体战、阻击战中，迸发出了众志成城的江门“硬核”力量。疫情就是命令。来自全市各条战线上的党员领导干部，迅速投入到100多个交通测温点和各村各社区的测温点，构筑起了抗击疫情的钢铁长城，全力外防输入、内防扩散，确保“早发现、早报告、早隔离、早治疗”；各大医院的医护人员纷纷请战，遵循“集中患者、集中专家、集中资源、集中救治”的原则全力救治，并派出48名白衣战士远赴湖北支援，坚决遏制疫情蔓延势头；普通市民群众或安心居家、或自发支援，不传谣、不恐慌，给予了疫情防控最大的支持。疫情防控成效凸显，复工复产及时解禁。在有力有序的严密防控下，我市的所有新冠肺炎确诊病例均为输入性病例及其家庭聚集性病例，至今未见社区传播，疫情稳定、风险可控。我市迅速抓住这一有利“战机”，全力帮助企业有序复工复产，30条复工复产扶持政策含金量十足，到外省帮企业招工“抢人”不留余力，重大项目集中动工热火朝天，全市经济社会发展步入正轨，再现蓬勃向上、争先进位的侨乡活力。虽然新冠肺炎疫情打断了我们前进的步伐，但也让我们更清楚地看到干部群众志成城的强大凝聚力，看到企业工厂蓬勃强悍的生产力，看到五邑侨乡厚积薄发的发展力。让我们继续凝聚好这份江门的“硬核”力量，把疫情防控和复工复产的“两难”变成“两全”，充分利用“双区驱动”“双核联动”的叠加效应，奋力打造珠江西岸新增长极和沿海经济带上的江海门户，坚决夺取全面建成小康社会伟大胜利，为广东实现“四个走在全国前列”、当好“两个重要窗口”作出江门贡献。详情→http://t.cn/A67CEJnZ
天津time,:#天津防控新型冠状病毒肺炎#【“她去隔离点帮忙，我在社区里坚守！”西青一对战“疫”夫妻的同心守望】博文苑社区位于西青区大寺镇，疫情防控期间，社区工作者们已连续坚守一个多月，守护着辖区内2322户6500居民平安健康。社区内目前有居家观察人员180人，社工们买药、送菜……用贴心服务换来居民们的安心。http://t.cn/A67CN8VB
德利百年永流传,:今天8:30至10:00的时段，中环和南北高架道路车辆都堵成了狗，基本是在5-15码以下开开停停……当初设计的立交桥、匝道，在超流量的车流之下，缺陷凸显。这么多年了，也未见进行必要的改建，很多人很多时间耗在了路上……中午见有报道：重点地区来沪返沪人员，必须严格实行为期14天的隔离观察，一律不得外出。出现发热症状的，按规定立即就诊排查。密切接触者，即与“疑似病例、确诊病例、轻症病例、检测呈阳性的无症状感染者”有密切接触情形的人员，必须实施集中隔离观察。同时，对来沪返沪的特殊行业从业人员，如从事教育、托育、医务、家政、护理职业的，以及劳动密集型企业等的从业人员，实施更为严格的管理措施——单位有隔离条件的，实施单位隔离健康观察；本人有居所的，实施居家隔离健康观察；本人无居住条件的，实施地区集中隔离健康观察（单位或个人承担一定费用）。那么，我们能否公布一下，目前居家隔离的共有多少人？居家隔离人员中有无密切接触者？如何发现他们中是否有发热的症状？如何才能确保被居家隔离人员一律不得外出的？
劳动报社,:【崇明公务员强行带湖北母亲进村？警方：谣言】网上流传“崇明一公务员强行带湖北母亲进村”的图文信息，并附视频。经公安机关核实，李某（男，46岁，企业员工）驾车将母亲吴某（女，68岁，新冠肺炎治愈患者，2月29日出院）送至崇明堡镇亲戚家中居家隔离，遭村民阻拦，双方发生口角，遂报警→http://t.cn/A67CELi8#上海战疫#
解放日报,:#上海行动#【上海疫情防控发布|凡进入上海前14天内有过重点国家或地区旅居史人员一律隔离14天】今天下午，上海市新冠肺炎疫情防控新闻发布会举行。上海市政府新闻办主任、市政府新闻发言人徐威首先通报了一则信息：近期，多个国家和地区出现新冠肺炎感染病例，数量持续攀升。鉴于当前境外疫情防控形势，结合上海实际，市防控工作领导小组及相关部门综合研判，进一步明确了涉外疫情防控和入境人员健康管理措施。所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。“我们再次强调，上海对所有入境人员的管理坚持一视同仁，严格入口管理、严格落地管理、严格场所管理。也再次感谢社会各界及中外人士的积极支持和真诚理解。”http://t.cn/A67CSXTx
宜黄之窗,:#联防联控江西在行动##居家隔离不隔爱，美食传温情#❗️自制香甜酥脆的冰糖葫芦，比买的还好吃😋糖葫芦口感的好坏取决于熬糖火候的把控，糖熬到最佳状态做出来的冰糖葫芦香甜酥脆、唇齿留香，咬上一口嘎嘣脆，又酸又甜满满的儿时味道冰糖葫芦应该每个人都吃过，但大部分的人没有吃过自己做的冰糖葫芦吧，今天分享大家小窍门，只要掌握了熬糖浆的小窍门，你也可以自己在家做糖葫芦了❗️周末了给孩子们做一些吧❗️今天我串了除了传统的山楂冰糖葫芦外，还有草莓🍓，圣女果，猕猴桃🥝，哈哈，都太好吃了😋🌟准备食材～白糖400g水200g(水和糖的比例1:2)㊙️小贴士～1⃣️首先洗干净的食材串串好后，一定要晾干水分。2⃣️糖和水一起加入锅中大火煮开至糖融化，再调中小火，保持文火，注意全程中千万不能搅拌，观看就可以，先熬制出大泡，然后转小泡，慢慢变焦糖色，用筷子蘸一下放冷水冷确，发出清脆声证明熬好了。3⃣️糖浆熬好后，将串好的糖葫芦均匀裹上糖浆，糖浆粘稠会根据倾斜方向流动，这时需要将裹上糖浆的糖葫芦不断旋转，至糖浆均匀裹上即可，喜欢吃芝麻的也可以在冰糖葫芦上，把冰糖葫芦用力摔盘子上不要动，待糖凝固就可以吃了。via：可多美食记http://t.cn/A67Cfztc
FionaLove_Lyn,:#每日一善[超话]#一国之患，莫大于趋利;一国之福，莫大于扬善。忍耐二字，让人真受用;积善二字，让人真享福。居家之善，无非勤俭持家，孝养父母，严教子女。尽心为善，定可由小成大，由卑而高，由近至远。行一件善事，心中泰然;行一件恶事，寝食难安。善不在大小，能行即可;善不求日增，能恒即可。
青年观察员,:【#北京新高考举行首次适应性测试#：考生居家“云考”适应，熟悉试题结构和流程】3日上午9点，北京新高考的首次适应性测试举行。受疫情影响，5万余#北京高考考生首次在家云开考#。考试科目和考试安排较往年都有很大变化，为使考生熟悉试题结构和考试流程，举行本次适应性测试。由于疫情原因，本次测试采取考生居家分散考试的方式，本次测试成绩不具备参考意义。@梨北京http://t.cn/A67aNOVo（来源：梨视频）
玉溪供电,:【心系独居老人，电力小姐姐们又开始行动了】“大娘，我们又来看你了”。近日，南方电网云南玉溪华宁供电局宁州供电所的4名女职工，带上供电所员工节省下来的口罩、洗手液等防疫用品再次到辖区看望独居老人胡大娘，与老人坐下来拉家常，讲解如何佩戴口罩，并为老人检查居家用电安全隐患、更换新插座。（郭艳萍高松）@云南电网公司@玉溪同城@玉溪那点事
一晴方觉夏深w,:嘿嘿嘿虽然我的莲花血鸭经常演我该暴击的时候打出的伤害还没有欧洲驴打滚高残血的时候还总爱嘲讽不闪避打架的时候还会经常发出魔性笑声但是！我还是爱我们莲华将军滴！毕竟将军美强惨又傲又娇🙈为爱开四花买新衣服叠膳具！换了常服的血鸭也太居家了叭
剪刀手爱头得,:#上海新增确诊1例新冠肺炎##健康中国光明行#据新民晚报报道：过去一个月，每天上午7时30分到11时，爬楼100层，累计为1262户2200位居家隔离者清运生活垃圾，就是孙鹤鸣和同事们的日常。孙鹤鸣，黄浦区半淞园路街道绿化与市容管理所党支部书记、所长，做了25年市容环卫，如此高强度垃圾收运，“老环卫”却是头一遭。http://t.cn/A67CtFQW
秋雨侨燕-印尼燕窝,:山东妹子爱吃面食，在印尼很难买到馒头，面条就是居家常备，不知不觉囤了这么面，猫咪你帮我看好家
Jerry骏驰,:#健身#居家健身小视频拍摄神器，可固定在一个位置，高度可调节，蓝牙遥控器控制，淘宝上几十块钱一个。长沙
椰奶小方球,:居家快乐时光
胶州交警,【干货转存！#防疫期间如何居家健身#？】#实用小百科#宅在家里，你是不是好久没运动了？春天就要到了，就算待在家里也要合理地运动起来！儿童青少年、成年人、老年人、高血压糖尿病等病人该如何居家运动？疫情期间是否可通过大强度锻炼提高抵抗力？…#宅家运动指南#↓↓转需！
淮阴司法在线,:【成年人和老年人#宅在家里该如何锻炼#？】疫情给很多人的锻炼带来了不便，然而疫情当前，更需要保持强健的体魄，因此居家健身成为了一些人的首选。宅在家中，成年人和老年人该如何锻炼？国家体育总局体育科学研究所研究员徐建方给出了建议↓↓（via安徽高院）央视网快看的微博视频
咿咿呀呀呦,:已经数不清居家隔离多少天了化妆出门的心情真的是好极了
LaminateSnake_,各位网友：老爷子虽经全力救治仍于2月28日中午在光谷同济医院离世。
叽咯子六六,:3.2复工，早晨特意早到单位，避开高峰期，上午刚开了会，领导称之为收心会，各项工作即将有序开展，到了下午下班又收到通知说办公室人员密度过大了，所以今天下午又开始居家办公了
紫乃宫麻衣,【投稿】你仔细康康——苍穹的法芙娜
淮南市教育体育局,:【居民在家跑马拉松淮南推出全民健身居家系列运动】
我好像困了-,#易烊千玺朋友请听好#[太陽]易烊千玺版朋友请听好http://t.cn/A6799RqC
娜娜日常创作,:【#肖战自行居家隔离#工作室呼吁粉丝理性追星】3月1日晚，@肖战工作室发表声明，就粉丝之间争论引发的热议致歉。肖战工作室呼吁粉丝理智追星，“在疫情期间做好自我防护同时，以更积极的方式，一起努力与支持为社会带来正能量的事情。”另外，工作室提到，@X玖少年团肖战DAYTOY目前积极配合国家与社区的防疫规定，一直自行居家隔离。#正能量#
环京津新闻网,:【#北京新高考首次适应性测试今开考#】今天，受疫情影响，#5万余名北京考生居家考试#。根据安排，今年北京市实行新高考，科目调整为“3+3”模式，即3门统考科目+3门自选科目。统考科目为语文、数学、英语，选考科目可从物理、化学、生物、历史、地理、思想品德中任选3科。文理不分科。今明两天进行统考科目测试，后两天为选考科目，与新高考考试安排完全一致。4月上旬，北京还将举行统一的模拟志愿填报。（总台央视记者高晨源）
