Any-mua,xql小動作好多哦🥰
似海茫,:今天律所开了复工会所有人畅所欲言我说我用2月一整月的时间去找回读书的能力3月不再微博打卡但读书的能力要继续
青岛车管,:大家好！时间已晚，祝亲们疫情期间安康！再见！
啵的后宫佳丽,#王源南都娱乐封面##王源[超话]#快问快答挑战时间到[话筒]@TFBOYS-王源把2020年的三个关键词作为祝福全送给朋友们了
空心人_Has,:时间；不要浪费在没有价值的事情上，不要倾注在不懂珍惜的人身上：感情！常州·三晶工业园
惟愿众里相寻凭字相认,:打游戏面膜贴完了没时间去洗，台灯的光烤了两三个小时，回过神去洗脸时，已经两颊红的像个苹果，火辣辣的。🙊🙊
曾经沧海525Q,:一生二，二生三，三生万物，阴中有阳，阳中亦有阴，阴阳调和，此乃万物之本相，当你看透了这个世界的真相，还能依然热爱这个世界，热爱生活，你就能更好的活下去！不计较对错，不论输赢，在时间和时空的轮回中寻找自我。西安
彗星-Comet,:30分钟的突击燃脂已经很呛了也是感觉自己身体重了好多抓住生理期后的黄金时间减下来[加油]没想到16楼的高度不到10分钟就爬到了明天爬多一两趟吧
Lo娘嘀咕嘀咕,:【投稿】小饼干们好♡今天清理老手机的相册，发现了一张应该是17.18年左右存的画稿，现在看依旧很好看。不知道这么久了有没有店家收了做裙子。如果有姐妹知道是哪家店有收的话求告知下店家(我印象里是没见过这条裙子的
山西吕梁交警,:#同心抗疫为爱护航#【汾阳警民携手抗疫情】疫情防控还在持续进行，企业复工复产工作也在有序开展。在这场战“疫”中，汾阳市公安局交警大队民警既是疫情防控的“守护人”，又是复工复产的“护航人”，他们不畏艰险、日夜兼程的用心守护彰显了公安干警的初心使命，也赢得了广大市民的真诚赞美。日前，该大队迎来了一位特殊的客人，他是汾阳市富元足道公司负责人曾凡良。其此行向交警大队赠送了800个口罩、300副手套、3箱消毒液等防疫物品。曾凡良被公安民警忠诚奉献、舍小家为大家的无私奉献精神所感动，他希望尽己所能，为一线执勤民警提供帮助，为疫情防控贡献自己的一份力量。该队闫亚平大队长代表全队干警向曾凡良致以最真诚的感谢，并表示会第一时间把物资发放到执勤民警手中，发挥其应有的作用。警为民，民爱警，警民鱼水一家人。在这特殊时期，汾阳爱心人士的善举，为这场疫情防控阻击战注入了一股暖流，温暖着一线执勤民警的心。非常时期，警民同心克难、携手作战、众志成城战疫情，决心打赢防控阻击战。@山西交警http://t.cn/AigLH3lA
梦纱Misa,:Sisley希思黎的全能乳液是什么宝贝呀，这次的限量版包装直接美到我尖叫！瓶身和包装被植物环绕，深处花花世界般奇妙的感觉🌸要知道全能乳液可是Sisley家最畅销的经典之一，从1980年出品到现在～是贵妇级的乳液代表，经常会发现明星化妆桌上有它的身影！！而且是吴磊弟弟代言的，妈妈粉好开心啊啊啊
白日梦十级学者_,:群体可以在一段时间里从最残忍的残暴转变为最极端的慷慨和英雄主义。群体可以轻而易举的扮演一个刽子手的角色，也很容易扮演一个烈士的角色。群体为了保证每一种信仰的胜利，不惜血流成河。他或许是一个有教养的人，但是他在群体里却变成了一个野蛮人。我们的理性告诉我们，在这些形象之间不存在任何关系。但是群体却会完全忽视这一事实，将由曲解的想象力所引发的幻觉同真实事件混淆在一起。群体很少能够将主观和客观区分开来。它会把从脑海中被唤起的景象也当作现实，尽管这些景象同被观察到的事实之间往往只有微不足道的关系。
东方晓师爷,:【关键时刻挺身而出，大批运20蜂拥而至火速驰援，军方举动令人振奋】据媒体报道，为了支援武汉对付疫情，中国军方的举动令人振奋，空军在关键时刻挺身而出，直接派出大批运20蜂拥而至火速驰援中部，短时间内运来了大批医疗物资和人员，使得无数国人振奋不已。#中国我要对你说##花开时节又逢君·祈福亲友##祖国我为您承诺##东方晓师爷#http://t.cn/A67C32Il
张伯喃语,:域内物语两个世纪以来，人体体温逐渐低于37°C，或由于人体内炎症减少。这段时间测体温，不少人发现自己很少会高于36.7℃。人体标准体温应该是多少？1851年，有德国医生在莱比锡市收集了2.5万人的腋下体温数据。医生取中间值，确定了人体温度大约为37℃的标准数值。2017年，一项英国的研究同样发现平均体温在36.6℃左右。除去体温计差异，研究人员认为，平均体温的下降可能是能量消耗减少了。这种能量消耗减少可能是由于人体内炎症的减少。
LuckyGYyy,:#肖战#别的不说，亲人去世给人的打击很大，不要再说用亲人去世洗白了行吗，这很不尊重人，有错的是他的一群不明事理的fs，dwf，这些dwfs就不能安安静静的吗，烦死了，xz今天所承受的全是你们造成的，不知道粉丝行为偶像买单吗，你们这种畸形的爱真的很让人恶心，另外那些以前的污言秽语，不是我替他洗白，我高中的时候有段时间就满口脏话，我跟别人学的我觉得这个很酷，但是没多久我就改了，人总有犯错的时候，但是今天这个局面，确实和xz脱不了干系，没必要把他年少时候的事情拿出来一直说，等他缓冲好，他应该做的就是道歉，为他那些fs疯狂的行为道歉，也为他自己之前的纵容道歉，并向此次波及到的众人道歉，好好地一个小伙，专注的发展事业，正面刚dwf没什么的，我不追韩圈，但我也知道韩圈里dwf的态度就是刚，因为你还有很多理智粉，她们理智不闹事同时心里也有你，才是你最大的后盾。
体育最世界,:#C罗母亲中风被紧急送医#北京时间3月3日，据《镜报》等媒体报道，C罗母亲因中风被紧急送往医院。据悉，在当地时间周二早上5：00，C罗母亲住进了当地医院。根据知情人透露称，C罗母亲意识清醒，情况比较稳定。在未来几个小时之内，C罗母亲将会接受新的检查，以确定她的健康状况。希望多洛雷斯能够平安
898莲花,:短文分享:通过放生.念经文组合、转法布施功德，腰椎间盘突出基本康复。前段时间我侄子家孩子查出了腰椎盘突出，还说有根骨头有点弯了，去了好多地方包括上海的大医院都无济于事，那天我去他家的时候，那孩子坐都不能坐，站也站不直，脸都小了一圈，待在家里半个月左右了。我就建议他们，唯一的办法就是为孩子放生，还好，他们也听我的，也都知道我信佛吃素。就在上个月11月15那天，我的侄子和大嫂为这孩子放生，我—起去的。第二天我打电话问情况，大嫂说暂时看不出，而侄子说像是好点的，那天只放了几条理鱼，我知道功德肯定不够的，为了让他们相信，于是我在佛台前默默许愿为这孩子念5张经文组合，并且把网上半个月的法布施的功德给他。我又打电话给大嫂要想好的快。下次鱼要多买些放生。最好连放几天，我大嫂连连答应。昨天我打电话问，她说孩子好了，去考试了。今天初八他们也跟我_起去放生。现在我侄媳妇也相信了，感恩菩萨妈妈的慈悲加持，让这孩子在短时间内基本康复。太感恩了。只是让他们念经很难，也许机缘末到吧！他们全家只知道我信佛。再说我大嫂，去年査出也有=根骨头弯了，也是看了好多地方也包括上海大医院都没办法医好，还说什么人大又胖把骨头压弯了，这话真好笑。我大嫂不识字，我叫他每天至少念南无大慈大悲救苦救难观世音菩萨或者南无阿弥陀佛圣号至少半个小时，现在也好了。以上分享如有不如理如法的地方，请菩萨妈妈原谅！http://t.cn/AigLduum
-Liuola,:#抑郁##会笑的抑郁症患者#我昨天和心理咨询师聊了一下，目前我已经进入了算是前期的一个稳定期，但还会有情绪波动。只要能在这个时间里顺利过渡到稳定期，下一步就会进入恢复期。也基本就是可以恢复啦这个样子。如果你也和我一样，属于这样一个稳定前期。那我觉得你还是就是避开所有情绪爆发的点，尽量不去接触那些让你心痛的人和事。加油吧，其实到了我现在就会好很多很多。很舒服。转折点是有一件事情，看到前男友和一个女生一起，以前的话就会很歇斯底里，那次确实有点感觉自己情绪失控，但好在就是不会像之前一样。其实对于感情，我想多说几句。如果你现在处于抑郁状态，你也是很痛苦和他在一起。不如就是彻底的断开一段时间。为什么呢？其实这不是要你终结感情，只是就是说你目前的状态，已经不适合在面对这份感情了，只会更糟糕。我一直觉得互相惦记的人走不了多远，如果说是，对方开始了新的感情怎么样，那我觉得更应该获得重生啊。我觉得很重要的一步是：不要再忽略自己的价值，也不要过高的期待什么。加油，希望我们顺利好起来！
Solitude_EBUA6011,:#吴亦凡[超话]#今日份打卡嗐，昨天到今天刷了太多微博使用时间居然是两个小时！嗐，专注阿凡！！！我看了一下那个魔-饭-生大概中午吃饭可以弄一晚上那个东西一直在闪退搞得我没办法用🍅to__do了不过中午吃饭弄就没得问题啦~好歹今天也算学了一会儿[三三蹦跳]不过没完成计划好啦，今晚早点睡@Mr_凡先生阿凡也好好休息哦（还是设置成强制的那种比较好，不然我老是想上来玩儿！）
Moaenuna,:逼黑真的飘了1️⃣在小档出来之前，公司全靠防弹奶。防弹哥哥们陆续要入伍了，不说一定会走下坡路，但是粉丝群体必然会流失一部分，不大可能比现在七个人都在的时候还挣得更多。
用户5361800704,:『营养冷知识』身心健康是一体，记得时刻关注自己的细胞需要什么，因为我们自己才是和自己在一起最长时间的人。全面的营养不仅跟身体健康有关，综合一些调查研究显示，营养还和心理和性格的状态有关系哟～👇🏻✨缺乏维A容易不自觉地挑刺、产生嫉妒心理✨缺乏维B易怒易燥✨缺乏维C也会容易缺乏耐心✨缺乏维E则容易没有信心爱自己的你get到了吗？#河北张家口葆婴吕计霞##健康科普汇#http://t.cn/R2WxabV
Solitude_EBUA6011,:#吴亦凡[超话]#今日份打卡嗐，昨天到今天刷了太多微博使用时间居然是两个小时！嗐，专注阿凡！！！我看了一下那个魔-饭-生大概中午吃饭可以弄一晚上那个东西一直在闪退搞得我没办法用🍅to__do了不过中午吃饭弄就没得问题啦~好歹今天也算学了一会儿[三三蹦跳]不过没完成计划好啦，今晚早点睡@Mr_凡先生阿凡也好好休息哦（还是设置成强制的那种比较好，不然我老是想上来玩儿！）
Moaenuna,:逼黑真的飘了1️⃣在小档出来之前，公司全靠防弹奶。防弹哥哥们陆续要入伍了，不说一定会走下坡路，但是粉丝群体必然会流失一部分，不大可能比现在七个人都在的时候还挣得更多。
用户5361800704,:『营养冷知识』身心健康是一体，记得时刻关注自己的细胞需要什么，因为我们自己才是和自己在一起最长时间的人。全面的营养不仅跟身体健康有关，综合一些调查研究显示，营养还和心理和性格的状态有关系哟～👇🏻✨缺乏维A容易不自觉地挑刺、产生嫉妒心理✨缺乏维B易怒易燥✨缺乏维C也会容易缺乏耐心✨缺乏维E则容易没有信心爱自己的你get到了吗？#河北张家口葆婴吕计霞##健康科普汇#http://t.cn/R2WxabV
嘿你好哇呀,:看孙杨妈妈那段着实为翻译捏了把汗（别扯了划重点请回答是还是不是没时间啦……害）孙杨的翻译被骂得太惨了吧中途临时换上wada官员人家很努力在翻了还是被骂好惨虽然在这种场合都没请相关行业高水准译员是有点迷但要成为真正的好的翻译也太太太太太太难了吧。我觉得孙杨还是最好什么都不要说了吧，等最终结果出来清者自清，真正支持他的人会挺他到最后，想抹黑他的人键盘手中握，一刻也不会停。
太想见zz啦,:我们都说一切都能过去，结局终会变好可是，然后呢在激烈的谩骂打压偃旗息鼓之后在时间悄无声息地冲淡一切之后在我们都重新不再担心可以将一切当做饭娱闲谈之后有人解恨了，我们过去了可是有人无辜地背负过深重的恶意，这种无助糟糕的人生体验，我不想让他经受我不怕恶意将你打入平凡我只愿你平安喜乐
观计观察观天下,:武汉中医诊所李跃华终于由神医变成神棍。但留给人们更多的谈资。李跃华的诊所是工商局批准的，当时没有审核其行医资格？一家诊所开业这么长时间，卫健局是聋子的耳朵？平时市场管理是不是失职？一场疫情抖出多少官场笑料。一个确诊病例黄某英从武汉到北京畅通无阻，一个李跃华不顾个人安危主动参与抗击疫情，结论是非法行医，一个李文亮因告诉同学有类似SANS病情发生被训诫。http://t.cn/RDnEUnO
安小希La,:用回这个老一点的词吧，活久见。从粉圈事件变成社会事件，所谓的小众文化真正完全走上台面，走到那么多人的面前，并持续这么长的一段时间。这么一件事真的变成了公权必须直面的一个积蓄已久的矛盾。那么多社会新闻性质的博主谈论公权力的使用和创作的界限。如果肖战从大众视野中消失都没有改变这个环境的话，这场声势浩大的声讨我觉得没什么意义了。
麻辣海鲜火锅底料,:迷你世界后续我真是太爱造房子了，我上辈子肯定是城堡🏰还可以赏月亮，虽然我的房子很丑，但是有阳台，后面改进了。我的第二层房子是玻璃房，这样坐椅子上也可以赏月了，我发现水里面也可以造房子，还可以坐火箭去月球，小妹妹的游戏真是令人着迷。不过太耗时间了，我的网课不允许我天天造房子
小易的女友,:有一件很幸福的事情当我觉得自己实在不够好在犹豫是否要改变自己来对待别人的态度而徘徊不定时有一些人会说你不要变你现在就是最好的你变了就不是你了我喜欢这样的你这个时候真是好像有很多很多的力量在支持你他们在保护你让你在和他们在一起的这些时间是能最快乐的这些人的存在真是我最大的心灵支柱是我的福气也是狗屎运我因为他们的存在而永远感激
EdmundHanyu,:待在家里的这段时间发生了很多的事情也有了很多的想法希望以后的我可以永远保持快乐永远认真思考虽然一定会碰到不顺心的事情，但是一定不要像以前那样难过伤心我应该要乐观积极地面对所有事情没有必要成为谁成为最好的自己就好了成长不是成为别人而是完善自己留有自己的个性坚持自己的性格💪
一双零,:虽情出自愿事过无悔但当初就不该来你不打麻将我不点同意就一点屁事没有不用每天听长腿叔叔也不用每天像心被打穿一样也不用患得患失也不用连你给我看的截图都要查日期和时间点看看在同一时刻你有没有我虽然没有失望也告诉自己算了不等了它来了它走了它在天堂它在地狱它如月之恒如日之升突然听懂了所有的苦情歌
京津冀的事儿,:【#日本累计确诊新冠肺炎患者995例#】截至日本当地时间http://t.cn/A67pZtog，因新冠肺炎死亡累计12人。据日本广播协会电视台报道，3月3日，兵库县、北海道、神奈川县、大分县、东京都等地新确诊15人，在日本国内的日本人和中国游客等累计确诊275例；“钻石公主”号邮轮累计确诊706例；从武汉乘坐包机返回者累计确诊14例。（人民日报记者刘军国）
SSCC小老虎,:#上海老洋房##安家老洋房故事原型#大家转起来不要被骗！扒皮揭秘一个算命骗子@灏泽先生自称是几个亿上海老洋房业主由于事业关系虎哥我见过的富豪很多，这算命师编造故事漏洞百出！洋房探秘记，宋庆龄的邻居是谁？看到了安家洋房原型淮海中路1823号别墅，这个采访可以证明灏泽先生是个编故事的了吧，视频重点：房子是业主购于十年前不是祖宅，业主购房前已有十几户住在里面，花了几年时间安置了大部分住户，最后一户占了10几平的协商给3000万。@灏泽先生打脸吗因为安家老洋房的故事原型兴奋的看了灏泽先生的公众号让我有种被骗的感觉
厦门网,:#全民携手抗疫情#【全国总工会：企业职工在家上班照常发工资】全国总工会办公厅日前下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资。高度关注特殊时期女职工权益问题，结合实际安排孕期、哺乳期女职工居家远程办公、灵活安排休假及工作时间。http://t.cn/A67pw1W4
老王洽球,:沙尔克04VS拜仁慕尼黑德国杯比赛时间：2020-03-04星期二03:45基本面　　沙尔克04本赛季排名的德甲联赛第6位处于欧战赛区，领先身后的沃尔夫斯堡仅1分差距，球队急需积分保住欧战赛区席位，此役或会有所分心，沙尔克04冬歇期归来主场2-0战胜门兴之后遭遇滑铁卢式下滑，球队各项赛事遭遇连续7轮不胜，并且近2场比赛遭遇2连败，被对手打入8个进球，进攻上毫无建树，球队表现下滑明显其中重要原因是沙尔克04队内伤兵满营，球队的后卫线和中场基本伤停，此役虽然主场作战但是不宜高估。　　拜仁慕尼黑本赛季排名德甲联赛第1位，由于上一轮莱比锡红牛未能取胜球队领先第二多达3分，联赛夺冠压力较比之前明显缓和许多，拜仁慕尼黑近期攻守兼备，球队在欧冠16强客场3-0战胜切尔西，随后客场背靠背作战对阵霍芬海姆客场6-0战胜对手，拜仁慕尼黑在这两场比赛中打入9个进球，并且一球未失，可谓攻守兼备，而本次比赛过后将在主场对阵无欲无求的奥格斯堡，球队无需留力，拜仁慕尼黑的客场同主场相差无几，此役值得期待。分析亚洲指数开出客让1.5/2低奖金，对拜仁慕尼黑本场比赛取得大胜相当看好，双方历史交锋上沙尔克04面对拜仁慕尼黑8连败，其中7场负2球以上，此役拜仁慕尼黑心理层面占据绝对优势，结合基本面信息沙尔克04近期遭遇滑铁卢式下滑，并且队内伤兵满营，而拜仁慕尼黑近况强势，且无需为下一场比赛留力，对拜仁慕尼黑客场取得大胜进一步看好，指数走向符合基本面信息较为合理。#足彩[超话]##足球[超话]##老王洽球##德国杯[超话]#
咪咕音乐,:#云上LIVESHOW#@SNH48-刘增艳歌单推荐《Likeadiamond》#团聚时#一首属于SNH487SENSES的柔板R&B曲风歌曲。
京津冀的事儿,:【#日本累计确诊新冠肺炎患者995例#】截至日本当地时间http://t.cn/A67pZtog，因新冠肺炎死亡累计12人。据日本广播协会电视台报道，3月3日，兵库县、北海道、神奈川县、大分县、东京都等地新确诊15人，在日本国内的日本人和中国游客等累计确诊275例；“钻石公主”号邮轮累计确诊706例；从武汉乘坐包机返回者累计确诊14例。（人民日报记者刘军国）
爱吃秋葵的王小勇,:运动时间又被占用了明天体重又要增加了，我哭了
Leoanom,#118史诗级双标
负负就正,说一个之前沸沸扬扬的事：肖战的猫叫坚果儿，陈情令演唱会时所有参与的艺人都入住同一个酒店，酒店为每个人准备了各自的布置（不是个人行为）。肖战的房间是果儿抱枕，肖战很开心，晒了这个礼物。在演唱会结束所有艺人离开酒店的第二天，酒店布置的工作人员才在自己微博上说，肖战晒的抱枕是她准备的，谢谢肖战能喜欢。肖战唯粉浏览完这个女孩主页后发现这是博君一肖cp粉，立刻给酒店打举报电话，说酒店工作人员利用职务之便送礼物打扰到客人，并且泄漏了客人隐私，要求酒店严惩员工，并在网上辱骂和挂这位女生的照片。（据说是业内封杀了这位工作人员，以后找工作就很困难了）最后酒店出来道歉，并开除了这位员工。然后肖战删除了抱枕这条，发了一张全黑的图。肖战什么都知道，装作不知道。一个群体的气氛养成不是一两天的事情。
小战战怀里的猫,看图，收到请回复。
g佐佑,#减肥健身##瘦身健身视频#这套动作能够在短时间内燃烧成吨脂肪，据说15天甩4-8斤！！无需器械，在家就能练，别想偷懒哦！减肥瘦身作战的微博视频
专职球迷,:内马尔的私人飞机遭遇迫降，内少当时不在机上#内马尔#据巴西电台TupiFM的消息，内马尔的私人直升飞机在当地时间2月29日遭遇迫降，起因是飞机的发动机出了故障。好在最终无人伤亡。据巴西电台消息，内马尔当时并不在飞机上。飞机从里约热内卢出发，飞往曼加拉蒂巴途中时，由于发动机故障，飞机产生强烈的震动，不得不紧急迫降。
asparaguslettuce-,当你叫出每一声尼哥，小日本，棒子，印度阿三的时候就不要怪人叫你支那和中国猴子。你根本不懂什么叫尊重，你只想当爹，还喜欢给这个爹冠以自由开放天赋人权的名字。你真不配。
CV沈建旭,:宅家时间的些许安慰
韧运动,:结果会随着时间而发生，而不是一夜之间发生。努力工作，保持一致并保持耐心。韧运动的微博视频
南极磷虾,看图，收到请回复。
土人不不,【#伊朗派30万个医疗小组排查疫情#，#伊朗将中国诊疗方案译成波斯语#向公众公布】为尽快遏制新冠肺炎疫情蔓延，伊朗日前采取了一系列措施。据当地媒体报道，伊朗卫生部长纳马基称，从3月2日起伊朗在全国各地派出30万个医疗小组上门逐户排查疫情。另据伊朗驻华使馆消息，相关的措施还包括：将中国诊疗方案翻译成波斯语向公众发布、全国所有学校停学、取消包括婚礼和葬礼在内的一切集会、在公共场所实施体温监测等。@人民日报
小黑和土豆,#118史诗级双标
是啊啊怪啦,:#庆余年粤语版片头曲#卧槽卧槽卧槽卧槽！没想到还挺带感的！没出戏！！！有TVB那味儿了！！！有人知道播出时间吗！！！我要追啊啊啊啊啊啊啊啊啊啊啊！！！
啦匀匀,:#教师资格证[超话]#想知道笔试延迟到什么时候呀。具体时间还没有出来吗？
人间小甜仔,:#肖战[超话]#这个时候啥都不要理，超话好多黑子进来了在带节奏的都不要回复，静静打榜做数据就好！熬过这段时间就好
巩洁巩b,:日子在不同的空间流逝，想念在不同的时间来临。
Oliviaaaoooiii,1⃣️:20天！猪肉大改造！2⃣️:不管你是什么身材！自己开心最重要！3⃣️:禁止所有姐妹节食减肥！非常不健康！#胡宾果Bingo[超话]#胡宾果Bingo的微博视频
春深归晚,:“游了些日子，更是知道了这潭的水深不见底，知道了潭里的水是说不出的清凉，也知道了潭里的鱼的模样做派都不一样。有时在水里泡长了时间不出来，不知什么时候暮色就满了山坡满了田垌，快圆了的月亮升在了山脊上，一片温存静寂中突然听到身边水声哗啦，还以为是同伴，懒懒说上好一会话，才知道是鱼在作怪，啧啧称奇，又笑了。却也有骇人的时候，上岸时，发现一手臂粗的圆鼓鼓的滑溜溜的似鱼非鱼的东西，也随着自己一起往石面上爬，月光朗朗下，一下子看得清清楚楚，不禁大惊失色，连呼怪物，撒腿便跑了个没影。”
拓跋丞祚字锡祐,:33岁罗萨里奥中央前锋马尔科-鲁文久旱逢甘霖，75分钟上演帽子戏法☞这是马尔科-鲁文三度回归母队的首次进球，他已经征战了6场比赛☞马尔科-鲁文上演帽子戏法的时间为75分钟，他过去身披罗萨里奥中央战袍的30场比赛仅有2球入账☞马尔科-鲁文上一次上演帽子戏法还要追溯到2016年3月9日对乌拉圭河床的比赛。☞算上本次帽子戏法，马尔科-鲁文为罗萨里奥中央共计攻入79球。距离队史进球纪录保持者WaldinoAguirre还差19球。马尔科-鲁文（MarcoRuben），1986.10.26，出自罗萨里奥中央青训，今年1月重归母队，这是其第三次审批罗萨里奥中央战袍。2009-12年，马尔科-鲁文曾为比利亚雷亚尔征战，并帮助球队在2010-11赛季杀入欧洲联盟杯半决赛。下图为阿根廷超级联赛22轮，罗萨里奥中央3-1萨兰迪兵工厂#拉丁足球##阿根廷足球##阿根廷超级联赛##罗萨里奥中央##比利亚雷亚尔#
道外发布,:【眼镜起雾怎么办？耳朵痛如何缓解？长时间戴口罩9大困扰全解决】眼镜起雾怎么办？耳朵痛如何缓解？长时间戴口罩9大困扰全解决
啵啵果汁_猪一萨,:#阳光信用#二月上线时间少了居然涨了30+分
投资界微博,:【受疫情影响，首家日本邮轮公司宣告破产】#日本首家因疫情破产邮轮公司#当地时间3月2日，日本神户夜光邮轮公司宣告破产，成为日本首个因新冠疫情破产的邮轮公司。受新冠疫情影响，该公司1月以来的大量订单已被取消。“钻石公主”号邮轮上所有人员均已下船，但民众仍对邮轮上疫情的暴发心有余悸。http://t.cn/A67CwR8m
喝喜酒告别瓶庸,:《继5G通信之后，中国又一尖端科技走在世界前沿，领先美国指日可待》针对目前中国在人工智能领域的发展进度，俄罗斯专家表示，目前中国在人工智能领域发展的速度逐渐加快，领先美国也只是时间问题。http://t.cn/A67CcZ04
自有名字,:是不是季节到了，还是什么某种神奇的时空召唤。我们会在差不多的时间段里回忆过去，靠着回忆活一些时间。然后笑一笑，都过去了。我们就在梦中短暂相聚一下就好了～#治愈系#
香Carrie,:#TFBOYS[超话]#时间过得很快，从2014年的快本认识你们，到2015年真正的喜欢上你们，看到你们一点一滴的进步，我同时也在成长，虽然比你们三小，但是从初中就开始喜欢你们到现在，我自己都不可思议，初中的时候特痴迷，上课时拿着你们的照片出来看，那时候班主任正从窗口经过，盯着我，把我吓得哈哈哈，现在还是一如既往的喜欢着你们
小粉红退散,:希望能过好自己的生活，和身边的人好好相处，不能让二次元影响自己的三次元啊。我得卸载所有浪费我时间的软件。能不能把时间精力投入到赚钱这件事上
香橙跨过勺,:若不得不分离、如果你爱上了一个人请你一定要温柔地对待他：不管相爱的时间有多长或多短：你才会知道：长大了以后；也要好好地说声再见……
莫悠POD,:我的蒸鸡蛋看起来还不错诶，前两天在九太微博评论看到的方子，边加水边搅拌，水蛋比例大概1比1.5，搅拌后把浮沫去掉，盖上保鲜膜戳几个洞，然后开水蒸。注意把握时间，10分钟左右应该差不多，看量吧。我就是没把握好时间，边缘有点蒸老了，有洞洞。刚才刷牙发现家里牙膏快用完了，还有香皂，刚好38节可以囤一波。以前用佳洁士和舒肤佳，一直都还挺喜欢的，我在学校用也会帮家里囤货。但是现在吧，就想试试其他品牌，像高露洁呀，云南白药呀，应该都不错。还有力士香皂和沐浴露，特别是有个小苍兰的沐浴露，我很钟爱它的味道，清爽不腻的花香，而且相对其他沐浴露来说不假滑，精油香皂也种草过，一直没机会尝试，现在就是机会啦。http://t.cn/A67CczB7
笑掉大牙鸭,:最近发生的有趣的感悟太多了，关于我的你的他的，熟悉的陌生的。很多表面看似熟络的情感都抵不过日积月累尘土的厚压和浅利益的连带，稍加一碰就避而远之。其实真正有心的关系从不会因为这些而疏远你，恰巧相反而是在有任何拉进关系的时机里拼命靠拢。时间都是对等的，也许忙到忘记维系但不等同于彻底划清界限，但如果对方和你大相径庭那么现在就可以停止维系了，因为不对等的关系从来不是真的感情，物以类聚人以群分大概就是这个道理，你对我好我感觉得到，你对我不好我也感觉得到。未来无期，快乐才有期啊！
合肥反邪教,:【韩国确诊病例超4000#80国对韩采取入境管制#】3月2日，因新冠肺炎疫情，韩联社报道称有80个国家和地区对韩国采取入境管制措施。其中36个国家和地区全面或限期禁止韩国公民入境，44个国家加大了对从韩国入境人员的检疫力度。截至当地时间3月2日，韩国已确诊4212例。#聚焦新冠肺炎疫情#@新京报我们视频http://t.cn/A67aJG3s
天上掉下的林带鱼,拥有娃娃脸是一种怎么样的感觉？#自信满满奥利给#
孜然风XXL,:我信任你，你不信任我，那我还和你说什么。
Spidey的超凡好朋友,#118史诗级双标
爱高密,:#潍坊爆料#【小米8购机使用二十天，屏幕失灵主板损坏】年底的时候，从手机店购买了小米8探索版，实际使用时间不超过20天（客服说已经激活俩月），结果屏幕突然失灵，只好寄修，修好后三四天，又坏掉，受疫情影响才发出去检测后发现主板坏掉，资料不保，客服只是轻描淡写的说了一句告知义务，新手机？20天左右？非人为损坏，换屏幕拆主板，最后资料还不保，小米手机太坑！#小米手机屏幕失灵#@雷军@小米手机
叶喧凉吹_,#偶像失声#肖战好友王竟力在3号凌晨发文称肖战外公去世，质问网友良心痛不痛，而后删除又在粉丝群呼吁粉丝，把这个消息告诉肖战粉丝还强调不要说是他说的，网友发现在2号晚上就有肖战粉丝相互强调要闭麦，3号非常重要，因为肖战会站出来，所以是真的网传的流水线一条龙？那么肖战到底知不知道，你们怎么看？
叶喧凉吹_,#偶像失声#肖战好友王竟力在3号凌晨发文称肖战外公去世，质问网友良心痛不痛，而后删除又在粉丝群呼吁粉丝，把这个消息告诉肖战粉丝还强调不要说是他说的，网友发现在2号晚上就有肖战粉丝相互强调要闭麦，3号非常重要，因为肖战会站出来，所以是真的网传的流水线一条龙？那么肖战到底知不知道，你们怎么看？
我是哈哈精粉红泡泡,:昨天因为发了个模特招聘就引发了各种争执其实带模特跟带员工一样一定会有考核和绩效只要是人都需要管理一家大店想要长期合作的模特除了业务能力强性格合得来相处默契还有许多大家不知道需要的磨合的地方时间久了也许会成为红人也许他们会有自己的店铺也许会疲软也许也会自大也许会狮子大开口也许会有情绪这些都是你们粉丝感受不到的但无论如何模特选的好与不好都是张大奕的责任都是因为我我的选择所以无论怎么样的结果我都接受其实现在模特都没有能够单挑大梁的否则我也不会还在拍或者继续找这话模特粉丝可能不爱听但这是事实我这里不是开偶像俱乐部我这里是开店卖衣服柔柔只是相对比较好其实我也并没有觉得她都好只是在她昨天被攻击那么厉害的情况下说了鼓励的话柔柔的比较好跟yooni没有关系yooni的数据或者照片不好跟柔柔也没有关系每个人的优秀不优秀俩者都没有互相的关联想较量就拿业务说话独善其身没有其他我是店主我也是他们的老板我比谁都更了解实际情况所以各位粉丝我知道你们爱你们的模特也知道你们会不喜欢有些风格我都能理解但是请理智以后多找模特也是希望大家互相进步优胜劣汰吾欢喜的衣橱不属于任何一个模特的它起源于我是粉丝的衣橱我只需要对自己负责对粉丝的衣服负责至于掐来掐去你们喜欢谁这是你们的选择
Loop147,本人不出来安排各种渠道嚷yxh发是吧，到时候就又可以推锅说都是yxh蹭我们🈹️🈹️热度
首尾双音ZPN9,:有脾气：虽处于所谓最黑暗的人生阶段……正值花季年龄：一部好剧，只用时间证明。
得儿哒哒咻砰,#118史诗级双标
