中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
新浪广东,:【3月3日广东确诊0新增！新增出院48例，累计出院1129例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。#广东抗击新型肺炎#【专题报道】http://t.cn/A6P5cggj【重大举措】@人民日报第七版诊疗方案官方解读来了！http://t.cn/A67OetKC【治愈出院】@湛江日报湛江又有1例确诊病例治愈出院http://t.cn/A67Wao2q@惠州发布惠州市62例新冠肺炎确诊病例全部治愈出院http://t.cn/A67OSJA3@江门日报又有5名患者出院，我市累计治愈出院病例18例http://t.cn/A67OSJA1@东莞日报东莞又有8名患者痊愈出院，累计82人出院，治愈率已达83%http://t.cn/A67OKTTk@佛山发布再有3人出院，佛山累计出院69例！http://t.cn/A67WB6LQ【公益援助】@东莞日报虎门一企业定向捐102.6万元给东莞援鄂医护每人发1.8万元http://t.cn/A67OKAKe【各地动态】@荆州发布90后广东援荆护士凌晨下班，收到一份意外惊喜！http://t.cn/A67WXVml@南方都市报广州海珠湖重新开园，每日限流1000人http://t.cn/A67OSJAg@韶关发布致敬！韶关最美逆行者http://t.cn/A67OSJAB新冠肺炎30个最新判断http://t.cn/A67OSJAr@汕尾发布广东上岗志愿者超10万人http://t.cn/A67OSJAd@梅州日报田家炳基金会向梅州市捐赠1000套防护服http://t.cn/A67WXVmW@湛江日报湛江中心人民医院为到湖北抗疫一线的医护人员解忧http://t.cn/A67WXVmY@东莞时报东莞香市动物园面向全国医务人员免费开放！http://t.cn/A67OptEQ
中山日报,:【广东确诊0新增！新增出院48例，累计出院1129例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。（健康广东）
汕尾天气,:【解除汕尾市城区、红海湾森林火险黄色预警】目前我市已出现降雨，湿度增大，汕尾市气象台2020年3月4日8时21分解除汕尾市城区、红海湾森林火险黄色预警信号。http://t.cn/R2TuaaC
汕尾天气,:【早间天气】预计今天白天到夜间，我市阴天有小到中雨，城区14到22度，海丰、陆丰13到23度，陆河12到23度，东北到东风3到4级，阵风5级，相对湿度75%到98%。汕尾市气象台3月4日早发布
汕尾市爱心之旅志愿者协会,:#汕尾公益[超话]#汕尾市爱心之旅志愿者协会防控疫情阻击战[心]截止2月29日，参与志愿者163人次，服务时长约1083小时。汕尾市爱心之旅志愿者协会的微博视频
中超100分,:#汕尾[超话]#汕尾市派出41辆公交车接回高铁站800名四川籍来汕务工人员。
平安汕尾,:【林琼：铿锵玫瑰不负韶华警营岁月尽绽荣光】林琼，现任汕尾市公安局强制隔离戒毒所秘书股负责人。一头乌黑秀发，一双锐利眼神，英姿飒爽，一身正气。从警8年时间里，林琼经历了多次“换岗”，先后干过刑警、缉毒警，监所管教、秘书股负责人等工作，多次被抽调至各类刑事专案组参与案件侦破工作，是众人口中的“万能砖”。林琼曾协助破获各类案件数十宗，抓获各类逃犯数百名，涉黑恶逃犯数十人。http://t.cn/A67Cs8dg
汕尾发布,:#汕尾新闻##当好复工复产“店小二”#【汕尾市支持疫情防控和复工复产主要税费政策措施办理指引】http://t.cn/A67CFdrf
汕尾天气,:【汕尾海上强风警报】受冷空气影响，预计今晚到明天，汕尾附近海域风力加大，将出现东北到东风6级，阵风可达7级。防御指引：请上述海域航行、作业的船舶和人员留意我台最新预报警报，注意航行安全。汕尾市气象台2020年03月03日15时发布：http://t.cn/EbghzHg
汕尾海洋预报台,:【汕尾市近岸海域】24小时海洋预报
汕尾海洋预报台,:【汕尾市重点渔港】24小时海洋预报
汕尾天气,:【晚间天气】预计今晚到明天：阴天转小雨，汕尾城区18到22度，海丰、陆丰17到23度，陆河16到23度，东北到东风3到4级，阵风5级，相对湿度60%到95%。空气质量：优。汕尾市气象台3月3日发布
汕尾同城,:#汕尾爆料##城市生活家##汕尾身边事#【莲花大道甘洲坑路口发生事故，两伤者躺地亟待救援！】网友爆料，2020年3月1日下午16时许，在汕尾市海丰县莲花大道甘洲坑路口发生一起交通事故，一辆小车与另一辆小车相撞，致两辆小车受损非常严重，现场一片狼藉。从网友提供的事故现场视频中我们可以看到，白色小车车头严重受损，黑色小车的损毁更为严重，整辆车都严重变形。事故发生后，现场很快站满了围观的群众，有热心群众第一时间报警求助。据悉，事故造成两名男子伤势不轻，两人躺在地上亟待救援。有热心群众帮助其包扎伤口。具体情况将在留言区进一步说明。在此提醒广大市民朋友，请遵守交通规则，注意安全驾驶，拒绝酒驾、醉驾、疲劳驾驶、超速等危险驾驶行为。莲花大道部分路段尚未竣工，在村口位置尤须注意减速慢行通过，避免意外事故发生。
南海卫生健康,:#抗击新冠疫情南海在行动##早安南海#【
汕尾天气,:【汕尾冷空气提醒（降雨降温）】预计，受冷空气补充影响，4到6日我市平均气温下降4-5℃，并伴有一次小到中雨降水过程，沿海和海面风力将加大至7-8级。具体预报：4日，阴天转小雨，18-24℃；5日，阴天有中雨，局部雨势较大，13-18℃；6日，小雨转多云，12-20℃；展望7到9日，气温回升。体感湿冷，请注意添衣保暖；雨天路滑，海面风大，注意水陆交通安全。汕尾市气象台3月3日10时25分。
茂名市广播电视台FM1061,:#1061应急广播#截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
广州日报,:【#每日疫情走势#|广东无新增确诊病例新增出院47例】3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（广州日报全媒体记者何雪华罗知锋）http://t.cn/A679w8xv
梅州日报,:#梅州新闻#【持续稳住！梅州无新增，广东全省无新增！】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（via.广东省卫健委官网）
总有梦想不了情,:文化大革命研究：全盘否定文化大革命是设置在假想基础上的，十年浩劫，国民经济搞到崩溃边缘是夸大错误。1，南海水产研究所69年宣告围网试验成功（本应全国科学大会奖）；2，，68/69年我带领十七名科技人员去汕尾市接受再教育同时搞群众围网研究；3，卫星上天、核潜艇成功；4，工农业总值年均增长7.9%。
羊城晚报,:【3日#广东无新增确诊病例#，新增出院47例】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
新浪广东,:【3月2日广东确诊0新增！新增出院47例，累计出院1081例！】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。#广东抗击新型肺炎#【专题报道】http://t.cn/A6P5cggj【疫情速报】@健康广州广州4号通告：居家隔离人员违规将转为集中隔离，这些场所仍暂缓开放http://t.cn/A67932aq@韶关发布致敬！韶关最美逆行者http://t.cn/A67NPiA5@新闻晨报9名医护为插满管患者翻身http://t.cn/A67Nh70V@南方都市报广东援助湖北一线医护火线入党http://t.cn/A67Nh70c【治愈出院】广州90岁新冠肺炎患者治愈出院http://t.cn/A679l4bu@揭阳分布我市最后二例新冠肺炎确诊病例今日治愈出院http://t.cn/A67NhI6k@汕头发布汕头市累计报告确诊病例25例，已治愈出院22例http://t.cn/A679xwhw【各地动态】@深圳卫健委深圳逐步恢复疫苗接种快来扫码预约http://t.cn/A679SeIv@汕头发布连续24天零新增！汕头累计确诊25例，已出院22例http://t.cn/A679xwhw@潮州发布潮州市小学生迎来“云开课”http://t.cn/A679Sefe@惠州发布惠州中医还将在方舱引进这些疗法http://t.cn/A679SeIP@深圳卫健委深圳版“方舱医院”防护教程http://t.cn/A67NPiAI@看看新闻KNEWS快递员和客户大打出手摘下口罩吐口水http://t.cn/A67C3M2k
汕尾天气,:【早间天气】预计今天白天到夜间，我市多云，城区16到24度，海丰、陆丰15到25度，陆河13到25度，东北到东风2到3级，阵风5级，相对湿度55%到95%。汕尾市气象台3月3日早发布
陈粤海,:央视《新闻联播》聚焦汕尾“店小二”式服务助力企业科学有序复工复产！汕尾市复工复产走在全国前列，在于利用大数据创新方式，“粤省事”之“车辆通行登记”和“粤康码”都是在汕尾首次使用，并推广全省。如果不复工复产中国经济怎么办？就连防疫所需的物品都无法生产，所以有序复工复产是当务之急！http://t.cn/A67otkG5
甘多名都注晒册顶你个肺啊,:【校长来信】汕尾市城区香洲街道新楼小学：冬天失去的，春天补回来http://t.cn/A67S3ZnV
眉山发布,:#眉山新闻#【坐上“专列”上岗去——我市“抗疫情促就业”春风行动首趟专列出发】3日2日11点12分，载有800名农民工的D4755和谐号列车缓缓驶离眉山东站，直达广州南站。在广州南站转乘后，达到广东省汕尾市。最终由位于汕尾市的信利集团派专车直接“点对点”将800名农民工送达“厂门”，实现“出门进车门，下车进厂门”。这是我市实施“抗疫情•促就业’”春风行动开行的首趟农民工赴广东省就业专列。http://t.cn/A67SabWO
汕尾发布,这次的这股冷空气带来的降温幅度不是很明显，但是4号夜间会有新一轮的冷空气下来，届时，会擦出爱的火花
海丰微闻,:#汕尾爆料##城市生活家##汕尾身边事#【莲花大道甘洲坑路口发生事故，两伤者躺地亟待救援！】网友爆料，2020年3月1日下午16时许，在汕尾市海丰县莲花大道甘洲坑路口发生一起交通事故，一辆小车与另一辆小车相撞，致两辆小车受损非常严重，现场一片狼藉。从网友提供的事故现场视频中我们可以看到，白色小车车头严重受损，黑色小车的损毁更为严重，整辆车都严重变形。事故发生后，现场很快站满了围观的群众，有热心群众第一时间报警求助。据悉，事故造成两名男子伤势不轻，两人躺在地上亟待救援。有热心群众帮助其包扎伤口。具体情况将在留言区进一步说明。在此提醒广大市民朋友，请遵守交通规则，注意安全驾驶，拒绝酒驾、醉驾、疲劳驾驶、超速等危险驾驶行为。莲花大道部分路段尚未竣工，在村口位置尤须注意减速慢行通过，避免意外事故发生。
汕尾天气,:【汕尾海上强风警报】受冷空气影响，预计今晚到明天，汕尾附近海域将出现东北到东风6级，阵风7级。防御指引：请上述海域航行、作业的船舶和人员留意我台最新预报警报，注意航行安全。汕尾市气象台2020年03月02日15时发布：http://t.cn/EbghzHg
从宇宙黑洞飞出火凤凰,:【四川仁寿包专列免费送八百农民工至广东】3月2日上午11点，四川省眉山东站，800名眉山籍农民工手拿行李箱，持身份证和健康证明进站，在指定车厢前报道、核验、登记，凭座位号上车、入座。这800人，都来自四川省眉山市仁寿县，他们此行，将踏上仁寿前往广东省汕尾市的免费专列。杨婷是四川省眉山市仁寿县曹家镇勤劳社区的一名脱贫户，3月2日，她与好朋友喻艳娇一起，告别家乡，去往广东。让杨婷等人感到温暖的是，不光是乡镇到眉山，连800人乘坐前往广东的10节车厢都被仁寿县包下了，大家都免费乘坐。仁寿县农民工服务中心还特意准备了口罩、疫情防控手册、车厢座次车贴、正餐、路上零食、免洗手消毒液等物资，并安排20余名护送人员沿途随行，其中包括医生、护士，每节车厢安排车长和副车长各一名，配备对讲机、小喇叭等，方便随时联系。红星新闻记者从仁寿县农民工服务中心了解到，杨婷等人乘坐的正是四川省仁寿县在疫情防控期间组织的“春风行动”就业专列。这800名农民工在汕尾信利厂区培训3至6个月后，再返回眉山信利公司上班。http://t.cn/A67a6OnJ
汕尾海洋预报台,:【汕尾市近岸海域】24小时海洋预报
汕尾海洋预报台,:【汕尾市重点渔港】24小时海洋预报
红星视频,:【四川仁寿包专列免费送八百农民工至广东】3月2日上午11点，四川省眉山东站，800名眉山籍农民工手拿行李箱，持身份证和健康证明进站，在指定车厢前报道、核验、登记，凭座位号上车、入座。这800人，都来自四川省眉山市仁寿县，他们此行，将踏上仁寿前往广东省汕尾市的免费专列。杨婷是四川省眉山市仁寿县曹家镇勤劳社区的一名脱贫户，3月2日，她与好朋友喻艳娇一起，告别家乡，去往广东。让杨婷等人感到温暖的是，不光是乡镇到眉山，连800人乘坐前往广东的10节车厢都被仁寿县包下了，大家都免费乘坐。仁寿县农民工服务中心还特意准备了口罩、疫情防控手册、车厢座次车贴、正餐、路上零食、免洗手消毒液等物资，并安排20余名护送人员沿途随行，其中包括医生、护士，每节车厢安排车长和副车长各一名，配备对讲机、小喇叭等，方便随时联系。红星新闻记者从仁寿县农民工服务中心了解到，杨婷等人乘坐的正是四川省仁寿县在疫情防控期间组织的“春风行动”就业专列。这800名农民工在汕尾信利厂区培训3至6个月后，再返回眉山信利公司上班。@成都商报http://t.cn/A67a6OnJ
蔡氏宗祠文化,:发表了博文《蔡紫芬籍贯：广东省汕尾市海丰县梅陇镇》蔡紫芬籍贯：广东省汕尾市海丰县梅陇镇
蔡氏宗祠文化,:发表了博文《蔡少芬籍贯：广东省汕尾市海丰县》蔡少芬籍贯：广东省汕尾市海丰县
汕尾发布,【一周天气】预计我市未来一周，初期仍然平稳；中期受冷空气影响，降温并伴有小雨；后期回暖多雾。具体预报：3-4日，多云，15-25℃；5-6日，阴天有小雨，12-20℃；展望7-9日，多云，回暖多雾。海面风力：3-6日沿海和海面有东北风6-7级，阵风8级。汕尾市气象台3月2日发布
汕尾天气,:【一周天气】预计我市未来一周，初期仍然平稳；中期受冷空气影响，降温并伴有小雨；后期回暖多雾。具体预报：3-4日，多云，15-25℃；5-6日，阴天有小雨，12-20℃；展望7-9日，多云，回暖多雾。海面风力：3-6日沿海和海面有东北风6-7级，阵风8级。汕尾市气象台3月2日发布
汕尾天气,:【午间天气】预计今天下午到夜间，我市多云，汕尾城区16到23度，海丰、陆丰15到24度，陆河14到24度，偏东风3到4级，阵风5级，相对湿度50%到95%。汕尾市气象台3月2日中午发
陆丰发布,:#陆丰要闻#汕尾市部署森林防灭火工作汕尾市部署森林防灭火工作
南方都市报,:【3月1日广东新增确诊1例：为深圳1例境外输入病例】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。http://t.cn/A67XXpgE
广东共青团,:【广东新增确诊1例，为境外输入病例，新增出院25例】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。（广州日报）
深圳特区报,:【3月1日广东新增新冠肺炎确诊病例1例新增出院25例】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。http://t.cn/A67XqTXP
新快报,:#同舟共济战疫情#【3月1日广东新增确诊病例1例为深圳市1例境外输入病例】截至3月1日24时，广东省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。（广东卫健委）
新浪广东,:【新增确诊1例！新增出院25例，累计出院1034例！】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。#广东抗击新型肺炎#【专题报道】http://t.cn/A6P5cggj【治愈出院】湛江再有2名确诊患者治愈出院http://t.cn/A67XeeHg@肇庆西江网肇庆年龄最大的新冠肺炎患者出院！出院累计15人！http://t.cn/A67aAucQ【疫情速报】@健康广东广东新增确诊1例！新增出院25例，累计出院1034例http://t.cn/A67XlwkZ@健康广州广州新增确诊病例0例新增治愈出院4例http://t.cn/A67XlwDF@深圳卫健委深圳昨日新增1例境外输入病例累计确诊418例http://t.cn/A67Xlwkw@珠海卫生健康珠海市无新增新型冠状病毒肺炎确诊病例http://t.cn/A67Xlwkz@南方都市报深圳现首例境外输入病例，密切接触者93人，楼栋两百余人被隔离http://t.cn/A67XlwDs【各地动态】@汕头发布汕头市以最快速度帮助防疫物资生产企业复工扩产http://t.cn/A67XB8tA@惠州发布惠州文化艺术中心多场演出延期举办http://t.cn/A67XB8t4@东莞日报截至3月1日，东莞无一例医护人员感染http://t.cn/A67X86MD东莞百万中小学生唱响国歌！http://t.cn/A67XQnnA@潮州发布33名江苏籍务工人员乘包车抵潮http://t.cn/A67XB8t2潮州：全封闭式管理确保监所安全http://t.cn/A67aW6cw广州“90后”准新娘收起嫁衣穿上“隔离战衣”http://t.cn/A67aWJGd@深圳商报广中医深圳医院发挥中医药特色“抗击疫情”http://t.cn/A67aloLh
汕尾市民网,:【汕尾市档案馆向社会公开征集抗击疫情档案资料】为真实全面记录和保存汕尾市人民在市委、市政府的坚强领导下奋力抗击疫情的历程，以及全市广大医护人员、各级干部、各界群众团结一心抗击新冠肺炎疫情的努力，进一步挖掘这一过程中涌现出的感人故事和典型事迹，确保新冠疫情防控工作的珍贵史料得以永存，汕尾市档案馆即日起面向社会各界征集抗击新冠肺炎疫情档案资料。...http://t.cn/A67JD6CG
爱甜爱笑,:#快递公司全面复工#家人2.25号帮忙寄一个件，从深圳到汕尾，由于顺丰那天太忙了就用了百世快递，他们天真的认为省内再慢应该也慢不了几天吧，结果这个件转来转去28号终于到了汕尾市，但就是一直不送，打了n个电话，推来推去给我不同的联系人，从28号开始给我的答复就是：明天给你送。刚刚忍无可忍去投诉，结果人家给我的回复是：我们百世是这么慢的，你们以后就不要用了吧！这么厉害你们还开门干嘛？你们都不想人家用就不要开了啊！早点倒闭吧！@百世快递
雪狼居士,:汕尾市马宫长沙古炮台（镇海城）历史简介一一据建乡始有记载：宋景炎三年，（公元1278）宋水师驻泊“丽江浦”（今长沙湾）。筑建“倚壁虎”炮台。（镇海城前身）。经过自然环境的变迁。到明嘉请初年……（详见图一）
汕尾天气,:【汕尾海区天气】预计今晚到明天，汕尾附近海面：多云转阵雨，19到22度，东北到东风5到6级，阵风7级，能见度8到22公里。汕尾市气象台3月1日傍晚发布
汕尾海洋预报台,:【汕尾市重点渔港】24小时海洋预报
汕尾天气,:【汕尾海上强风警报】预计今晚下半夜起到明天，受冷空气南下影响，汕尾附近海域风力加大，将出现东北到东风6级，阵风可达7到8级。防御指引：请上述海域航行、作业的船舶和人员留意我台最新预报警报，注意航行安全。汕尾市气象台2020年03月01日15时发布。
汕尾同城,:#汕尾爆料##城市生活家##汕尾身边事#【捷报！汕尾清0！汕尾市最后一例在院确诊病例治愈出院！】2月28日下午，汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，治愈出院率达100%，全市在院确诊病例清零！经专家组会诊，出院患者连续两次新型冠状病毒核酸检测阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》中解除隔离和出院标准，予以出院。该患者为汕尾市新冠肺炎确诊病例2，男，系湖北省随州市人，于1月28日入院，30日确诊。截至2月27日24时，汕尾市已连续25天无新增确诊病例。
海丰微闻,:#汕尾爆料##城市生活家##汕尾身边事#【捷报！汕尾清0！汕尾市最后一例在院确诊病例治愈出院！】2月28日下午，汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，治愈出院率达100%，全市在院确诊病例清零！经专家组会诊，出院患者连续两次新型冠状病毒核酸检测阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》中解除隔离和出院标准，予以出院。该患者为汕尾市新冠肺炎确诊病例2，男，系湖北省随州市人，于1月28日入院，30日确诊。截至2月27日24时，汕尾市已连续25天无新增确诊病例。
汕尾同城,#汕尾爆料##城市生活家##汕尾身边事#【清零！汕尾市最后一名新冠肺炎患者出院...】今天下午15：00我市最后一名新冠肺炎患者治愈出院至此，我市累计报告的新冠肺炎确诊病例已全部治愈出院汕尾市新冠肺炎确诊患者实现清零　　据了解，本次出院患者*先生是湖北省随州人，76岁，2020年1月20日到陆河县新田镇探亲，1月30日确诊为新冠肺炎病例，经过医疗团队的全力救治，患者两次新型冠状病毒核酸检测呈阴性，符合国家《新型冠状病毒感染的肺炎诊疗方案（试行第五版）》及《广东省新冠病毒感染的肺炎医疗救治专家共识（第三版）》中解除隔离和出院标准，治愈出院。　　截至今天，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院。这一天距离我市确诊首例新冠肺炎病例只有34天的时间。　　首例确诊患者张女士（陆丰东海人）于2月6日治愈出院，第二例确诊患者卢女士（湖北随州人）于2月17日治愈出院，第四、五例确诊患者李女士（湖北孝感人）、林先生（陆丰东海人）于2月24日治愈出院，第三例确诊李先生（湖北随州人）于2月28日治愈出院。汕尾市新冠肺炎确诊患者实现清零一起来回顾汕尾的抗疫之路！
