一粒橙色丸子,【王源17岁就演爸爸】虽然知道很久了，但我还是表示震惊
卸载微博ing,:我真诚建议热搜上那位这时候就别出来丢人现眼了，粉丝也闭麦吧，你舞天舞地伤害了别人，那人家总要有个发泄口吧，躺平挨骂真诚道歉不好吗，有些粉丝言论真是看的我恶心，我想借妈宝男一词为他创造个新名词“粉宝男”，粉丝为他打江山，粉丝为他冲销量，粉丝为他撕番位，粉丝保护他粉丝一直在，他只是个单纯善良啥也不知道但会骂人侮辱人躲在粉丝背后的娃娃，可笑的是，粉丝平均年龄未成年，而他快30了。
我才是太阳女神vvv,:博主，你知道金牛区、青羊区哪里有做好的医院吗？想找个技术和价格都比较好的，@近视眼科室我以后打算考军校，但是考军校要求近视手术半年以上，高考完做手术肯定不行了。我打算高二下学期或高三上学期放假的时候做手术，那时候17岁。想问一下，这个年龄可以做手术吗，有没有什么危害？可以顺便帮我预约一下专家吗？#近视眼手术眼睛会瞎吗##北京上海深圳成都昆明沈阳近视手术#
通信云计算,:京东2019年营收5170亿元北京时间3月2日消息，京东股价盘前涨约7%；2019年第四季度营收、净利润均优于市场预期，且预计今年第一季度营收至少涨10%。京东2019年第四季度营收1707亿元，市场预期1667.2亿元，去年同期1348.3亿元。京东2019年第四季度调整后EPS0.54元，市场预期0.44元。京东2019年第四季度净利润36.33亿元，市场预期亏损3.13亿元，去年同期亏损48.05亿元。京东2019全年净利润121.84亿元，市场预期盈利79.6亿元，2018年亏损24.9亿元。京东2019全年营收5170.3亿元，市场预期5726.7亿元，2018全年4620.2亿元。京东去年年度活跃用户账户数量从3.05亿增长至3.62亿，增长了18.6%。京东2020年第一季度营收预期反映了公司目前的初步预测，面临疫情的不确定性，预期可能有所变化。此外，京东集团CFO黄宣德今日正式宣布将于9月16日退休，前普华永道审计合伙人、现任京东集团高级副总裁、京东零售首席财务官许冉将接任CFO职务，向京东集团董事局主席兼首席执行官刘强东汇报。京东集团表示，黄宣德已经年满55周岁到达了退休年龄，他去年就向集团提出了一年后退休的计划，虽然公司十分不舍，但还是选择尊重他本人的意愿。
芥末堆看教育,:【瑞思英语推出“在线小班课”，加速数字化战略布局】今日，瑞思英语正式推出“瑞思在线小班课”，采取原老师、原班级、原时间的一对多教学模式，共覆盖3个年龄段孩子。据介绍，“在线小班课”共覆盖3个年龄段的孩子，“主题E互动”帮助3-4岁孩子在玩乐中收获成长；“听说E达人”侧重于锻炼5-9岁孩子的思维能力、听说能力；“悦读E点通”致力于提升10-12岁孩子的深度理解、语言应用能力。http://t.cn/A67Newzy
愿心系念阿弥陀佛,:日期：一九八三年农历六月廿二日　开示地点：承天禅寺　年龄：广钦老和尚九十二岁问：师父教我们不执着，但如不执着，事情如何能办好？师父：办事情不执着并不是随随便便做，而是要尽心做，但做过就没事了。如果心一直挂碍，放不下就是执着，不执着才能办好，如执着反而办不好，执着就没有智慧，办事情也要有定力。★苦行并不是简单的，修苦行是在修心，每一样事细心做，会做得合适。而不是每一样都做，结果每一样都没做好，不做还好，给你一做反而更乱。★做事情是用来调心，心才不会乱想。我们出家人做事与在家人不同，即所用的心不同、思想不同——在家人做事是为赚钱，出家人做事是与道合，否则看起来和在家人一样，都是为三餐做事情。http://t.cn/RxBBmh3
医药卫生报,:长剑出鞘“疫”路消杀本报记者丁宏伟通讯员张翼翔黄芳赖长剑，汝南县疾控中心副主任。疫情发生后，作为一名疾控战线上的“老战士”，58岁的赖长剑出任疾控中心疫情防控工作领导小组副组长，专家组成员，消毒组组长。他积极带领消毒组队员投入到抗疫“战场”，执行最危险的“消”“杀”任务，牢牢筑起抗疫第一道防线。消毒杀菌是杀灭病原体，切断传播途径的重要手段。“消”“杀”就是直面病毒，到病人家中、病房内、密切接触者房间里、医院发热门诊、公共场所中开展工作。作为一名“消杀”老将，赖长剑十分清楚消杀工作的危险性，为保障消杀队员的安全，他按照特定场所消毒技术规范和不同阶段疫情防控要求，对消毒人员多次进行技术培训，严格要求队员按程序消杀。疫情以来，他每天坚持带领队员对城区车站、道路检查站卡点、疫情防控服务站、运送密切接触者和运送检测样品车辆等开展环境消毒工作。指导定点医院预检分诊和发热门诊、一线临床科室及隔离宾馆环境消杀。每次消杀，他都要去现场指导，查看消毒效果。他也常常穿着防护服，背着几十公斤重的消杀药液进行消杀和指导队员规范消杀。有时一轮消杀下来，需要5、6个小时，刺激的消毒剂会令人咽喉干痛，眼睛都睁不开。同事们担心他年龄大身体吃不消，劝他不用亲自操作消杀，他总是一笑了之，鼓励大家共同坚持完成任务。2月2日—5日，他带领队员深入到梁祝镇吴营村新冠肺炎确诊病例与疑似病例家中，与其家人和22名密切接触者面对面询问和宣教居家消毒方法和注意事项，签订医学告知书22份。从1月20日开始正式消杀以来，他和队员们未休息过一天。止2月24日他带队消毒370余次；紧急情况下的随时消毒20余次。对医学隔离观察点的消杀工作是否做到位，是考验防控能力的一个重要指标。针对新东方宾馆、新世纪宾馆两个医学隔离观察点化粪池流动的污水粪便的消毒问题，他通过现场查看分析，创新消毒方法，采取用储水罐加消毒液，储水罐的底部安装水龙头的方法，消毒液缓慢注入流动的污水中，确保了一天24小时对污水持续消毒的效果，得到了市、疫情防控督导组的肯定和好评，并加以推广。同时，他承担着全县消毒工作的技术指导。每天咨询电话不分昼夜、不计其数，他都一一耐心解答，悉心指导。他依托网络开展对全县卫生系统和其他系统的消毒人员进行了消毒药品的成分、含量、用途、配比方法等项目的网上培训；并在多个微信群和朋友圈发布各种消毒液配比计算公式，及时有效解决了消毒人员的技术难题。他还根据自己的消杀经验，亲自撰写印制《平煤神马次氯酸钠消毒剂使用说明》3000份，发到各乡镇、办事处与县直各单位，对全县消杀工作起到了很好的指导作用。疫情防控以来，赖长剑日夜奋战在抗疫消杀一线，身先士卒、不畏艰险、科学操作，带领消毒组圆满完成了疫情防控阶段性工作任务，用自己的实际行动诠释了一名共产党员的本色和使命担当。
风的依赖ys,:本以为到了现在这个年龄就不会再犯错了，可是还是埋下了两个坑。希望这一年可以沉淀沉淀自己，不要再这样浮躁下去了。你已经不是孩子了，该为了自己的家和未来奋斗了。有人说2020也许是旧十年来最差的一年，却是未来十年最好的一年。开始踏入社会了，愿自己可以不忘出初心，可以继续跟我爱的和爱我的人处好关系，好好弥补自己做错的地方。愿家庭和睦，花好月圆；愿友情长存，不醉不归。
汀然Shirley,:憋了大半年了我还以为自己忘了自己当初的心请广播剧逮甜的听剧要逮甜的看我以为是我年纪大了吃不下凄凄惨惨的东西了这几天一直在崩溃边缘总是这样焦虑过头就会头疼初中那阵子就一直严重失眠经常头疼都是追星后才好很多读书本来就比别人晚了一岁（公立学校有年龄限制离九月差了一个月就拒收）所有老师都跟我说你是重本的料我信了卡瓶颈期我也相信自己天赋不够努力来凑是会有结果的考试结果下来的时候心理建设了很久也哭了很久终于想好复读了结果又碰上肺炎成绩起色也不大每天过着醉生梦死的生活学不进去也玩不出去我拼不了爹也没有关系可用想学些兴趣爱好没有钱也没有精力导致自己跟个废物一样别人都在纠结高考完怎么完我却时常担心我的学费从哪儿来要不要打工凑别人都说我心理素质好好考差了也不哭也不闹还天天安慰别人别伤心我也以为我挺好的结果听个虐点的广播剧彻底听崩溃了梦想实现不了没有第二条出路如果再一次没有结果我又该怎么办我当时跟自己说复读吧赌一次赌输了安心走技校赢了我会有个好的未来但是谁想输啊除了这条路我能走哪条啊听着主角因为梦想没能成真家里情况一团糟失声痛苦那个时候我自己也憋不住在心里骂了一句"这Cao蛋的世界"
宣城市委政府发布,:#众志成城安徽抗击肺炎##宣城抗击肺炎#【好消息！安徽打响清零战，治愈率超95%】截至3月3日，安徽省累计报告确诊病例990例，累计治愈出院病例941例，治愈出院率达95.1%。治愈出院病例中，年龄最大的93岁，年龄最小的9个月。安徽16个市中，铜陵、六安两市实现住院患者清零，其他市也在全力清零。
出马仙查事算命姻缘事业学业财运,:🌺和合法事+圈定姻缘线法事+回心转意法事🌺反馈🌺你以为我走远了，你以为我丢下了你🌺而我，与你有关的一切事情我都在乎着关心着。我爱你的心，已经回来了[爱心]🌺男孩比女孩年龄小了几岁，两个人感情磨合的不够好经常有矛盾，男孩提出了分手便回了老家，一个多月了两个人一直没有见面没有联系🌺女孩在我这做完法事后，不到半个月，男孩竟然主动联系了女孩🌺女孩在网上被骗了一些钱，男孩竟然知道了，当时就发来消息，不断安慰女孩想开点，并毫不犹豫的给女孩转了一笔钱让她零花用缓冲一下🌺男孩说话的语气态度，像极了一个月前两人没分手时的状态🌺🌺🌺🌺两情若是长久时，即使没有朝朝暮暮过，也是暮暮朝朝过🌺
足不出岛,:同志今年68岁了，是个老光棍，官找官民找民，光棍找光棍，光棍去正常人家串门会被嫌弃，只能去村里的其他光棍家，同志跟另一个光棍说，真是愁是了，无论如何一定得说个媳子。每次逢二逢七是村里的大集，同志都打扮得油光可鉴，疲于奔命穿梭在集市上，一上午去了六趟，从南头走到北头，生怕错过了任何艳遇。就好比杨司机他前男人，今年41了，每天都说，今年无论如何都要解决单身问题，41岁的照片P得跟个28似的，提出的条件比那21的还苛刻，每天去把豆瓣每个帖子都翻一遍顶一遍，生怕错过任何艳遇，真是烈士暮年壮心不已。同志说，白发戴花君莫笑，追求真爱不分年龄。http://t.cn/RJwaqKD
门_doors,:陳太丘和朋友相約同行，約定的時間在正午，過了正午朋友還沒有到，陳太丘不再等候他而離開了，陳太丘離開後朋友才到。元方當時螞蟻花唄換現金年齡七歲，在門外玩耍。陳太丘的朋友京東白條問元方：“妳的父親在嗎？”元方回答道：“我父親等了您很久您卻還沒有到，已經離開了。”友人便生氣地說道：“真不是君子啊！和別人相約同行
平平无奇的梨,:原来我老觉得姐弟恋不可靠我寻思我男朋友比我小一天都不行后来找了个小我半岁的🐴心理年龄比我大才是重要的哈忽然翻好友圈看到一个姐妹说爱情的保鲜剂是一直以来对他保有崇拜感这话好对他在我眼中一直都超级棒！！就是有时候心大忘记照顾我的情绪他一点点在学着照顾我懂我他就是我最后的男朋友呀
浙江之声,:【清零温州瑞安74名确诊患者全部治愈出院】今天下午3点多，在瑞安市人民医院瑞祥院区感染楼楼下，医护人员欢送最后2名新冠肺炎患者治愈出院。至此，瑞安累计报告确诊的74例新冠肺炎患者，已全部治愈出院。据了解，疫情发生以来，瑞安市人民医院作为新冠肺炎患者定点收治医院，抽调感染、呼吸、重症等方面专家组成医疗专家组，借力上海华山医院张文宏教授等在外瑞籍医疗专家资源，投入由520名医护人员组成的“新冠战疫队伍”，于1月21日起收治瑞安第1例确诊患者。至今，瑞安市人民医院累计收治确诊病例71例（不含温州收治3例），其中69例经瑞安市人民医院治愈出院，2例重症患者转至温州定点收治医院治愈出院。在这些患者中年龄最小的5岁，最大的72岁。#关注新冠肺炎##武汉加油，浙里挺你#（浙江之声记者林璐茗，通讯员：杨微微）
肖肖肖肖肖小夏,:路人粉发言个人觉得xzf是做错了，但是那些反过来攻击xz的人又跟当初的xzf有什么不一样呢？有一说一，xz这一次确实没有做到一个正能量的形象，虽然我也不知道他应该怎么做可以把影响降到最低，但是现在这样沉默显然是不太行的。偶像失声行为我觉得他有一定责任，但是现在是集体失声，主要是这个圈子有问题。第二，个人觉得拿当年素人时期热血青年时期自己跟朋友的胡诌作为黑点来攻击他有点不太好吧，因为同样是二十刚刚出头的年龄，身边的男孩子关系好的这么开玩笑很多…不过确实是粉丝做错了，先撩者贱。但是那种为了黑而黑的照片，也是真的有点过了。最近朋友圈的戾气太大了，希望大家都能理智点，平常心吧…
武汉月老君,:#武汉[超话]##相亲#女嘉宾推荐1996年，身高162，摩羯座，教育培训行业，本科学历，武汉本地人，父母身体健康，父亲建筑行业工作，母亲联通上班。平时喜欢听音乐街舞追剧偶尔会去健身，爱吃甜食，喜欢看电影。性格比较开朗活泼，比较大方的那种女生。会为别人去考虑的那种，比较懂事儿也比较独立。善良是肯定的，比较信任别人。但是有时候不喜欢做的事儿，也比较坚持自己的看法。希望找一个：身高172以上，年龄23-30岁，有份稳定的工作，父母开明健康，有房车最好，性格有趣一些，不太喜欢太闷的。
囧事搜罗,:一人说一部暴露年龄的动画片！
怕猫爱凯喵,#王俊凯[超话]#@TFBOYS-王俊凯难得有时间能好好的睡个觉，get到的新技能就是看看窗外。“90后被保护的，现在90后出来保护大家。”作为90后的尾巴很骄傲，希望医护人员都能平安归来，困境下，大家齐心协力过渡到新的开始！与小凯一起期待春暖花开！腾讯视频的微博视频
如若爱h会深爱h,:想问问如果做了Tprk全激光准分子能不能改善我的近视和散光，之前去过华夏眼科、爱尔眼科，感觉一般还想再看看。@近视眼科室我是一名高度近视眼患者，现在已经500多度了。明年就要上大学了，我已经戴了十多年的眼镜了，真的很痛苦，所以想在上大学之前做一个近视眼手术，来让我彻底抹掉眼角的泪痕，重新走向美好的人生。想问一下近视眼手术需要花多少钱？高新区、天府新区这两个区都可以，交通方便就行。#多大年龄做近视手术最好##北京上海深圳成都昆明沈阳近视眼手术#
说一个逗你开心的笑话,:干啥都不顺，做啥都是错，想啥都是傻，年龄越大，越难受，开心的事越来越少！！！！！！！！！！！！！！#林俊杰[超话]#深圳
弟打个飞,:#赵子琪重生海报##赵今麦#赵今麦粉丝很有素质了，即使被内涵被抹黑也依旧支持女主的正常维权可一些别有用心的人却说赵今麦粉丝用年龄羞辱女主，你是说下面这个吗？这位同学的主页并没有任何和赵今麦相关的东西呀，凭这个就污蔑赵今麦粉丝？扣锅水平一流哦
蓝家不禁你,1974年的乐高说明书
开挂的人生逢转必中,:年龄越来越大不知道为什么总有一种这辈子都找不到和我互相喜欢的人了而且这种感觉太强烈我相信爱情但不相信它会发生在我身上
安安宠爱宠物医院-李医生,:多大年龄，有视频吗？方便综合考量你好医生我家狗狗突然就会大喘气跟人类的哮喘一样的持续个10秒左右怎么回事啊?
Vicky-393,#德云社#孟鹤堂大爆料：郭麒麟开跑车撩妹，年龄小，经历可不少了，哈哈嗨小米的日常的微博视频
芸荣花薇,:时隔十几年重温童年经典动漫犬夜叉，熟悉的感觉又回来了，不同阶段年龄观看的感觉太不一样了哈哈😄
慕斯小糖糖糖糖糖糖糖糖糖,【🈲️上升正主！！！！🈲️】【图上所有cp都sjd！！！sjd！！！】【都是rps！！rps！！！
_蓝红,:小时候我们亲戚很久会聚一聚同年龄的在老家，我们在搭窝烤番薯，有人丢我们石头不给我们烤番薯，我就拿木棍去追他们，他们就跑了，还叫来一群骑摩托的来围我们，。。。
你打错了,“当你年龄越来越大甚至变老时，你会发现你真正想掌控的，从来都不是惊喜。你做足一切而永远不想见到的，是无常。”by@王潇_潇洒姐时隔一年有余再读这本书，尤其是在如今的特殊背景下，真的太有感触。希望能够做足一切，积极掌控自己的人生，来迎接惊喜，应对或避免无常吧。
天祥宋瑞,周末进超市前排队，前面的大哥比较健谈，就聊了聊。说到歧视武汉人。我：不歧视啊，人家武汉人在为全国全世界做牺牲，干嘛歧视人家？大哥：那是嘴上说，实际行动呢？咱们队伍里如果有人说自己武汉来的，1.5m距离立马得变15m。我：能在这排队说明人家经过了检验和隔离的。大哥：那H女士怎么进来的？我：。。。。
酱油被抢了肿么办,:陳太丘和朋友相約同行，約定的時間在正午，過了正午朋友還沒有到，陳太丘不再等候他而離開了，陳太丘離開後朋友才到。元方當時螞蟻花唄換現金年齡七歲，在門外玩耍。陳太丘的朋友京東白條問元方：“妳的父親在嗎？”元方回答道：“我父親等了您很久您卻還沒有到，已經離開了。”友人便生氣地說道：“真不是君子啊！和別人相約同行
吹个泡泡啾啾,没有人能忍受“因为你不喜欢我，我就要消失”，#酥妃#清空了微博。#九九八十一#
每天都要咕噜一下,很早先便明白一个道理，我们尊敬的应该是一个人的品格，学识，是他们能够克制自己的一部分欲望而不去影响他人的自由。从来不应该是身份，辈份，年龄，也不应该是他给予我的利益。
淚痣桑,现在想想，当年在黑白闲情那是何等的健康掐架，还长幼有序的。不可思议，实在是自由民主之风气。（我说的是早期闲情哈，第一批饭都毕业以后我也不知道发生了什么。不做讨论。）
虾糕十级长情品鉴学员,:现在普通人9095后女性，30岁不嫁人都未必慌，更何况是女艺人。女性重视事业也好，精神世界富足也好，什么年龄都是自己的选择，人家余前辈这个年龄也很随心啊。见识短浅的庸人大妈，也就只会把自己的sb想法强加于别人身上了。
王嵩嵩耶,#王俊凯[超话]#@TFBOYS-王俊凯难得有时间能好好的睡个觉，get到的新技能就是看看窗外。“90后被保护的，现在90后出来保护大家。”作为90后的尾巴很骄傲，希望医护人员都能平安归来，困境下，大家齐心协力过渡到新的开始！与小凯一起期待春暖花开！腾讯视频的微博视频
kk爱cake,:还记得是毕业答辩的前一晚早上九点答辩凌晨一点多地震还住在七楼生生被摇醒了打开门一看所有人都在往楼下冲赶紧拉上室友穿好衣服就往下跑大妈不给开门大家就都在大厅坐了好久没有余震才上楼睡觉的今天地震的一瞬间心里还是好慌年龄越大越怕死啊
壳糖至上,:小朋友是去做什么测试了吗哈哈哈哈哈哈csy发出疑问“这个结果越高越好吗？”精神年龄41岁比实际年龄大16岁人生阅历丰富
老绿儿,:本人女，我爸一直想再要个男孩，我是女生，然后我妈年龄大了就生不了，我爸就胡乱打主意，最后居然找了个人代孕，心疼我妈，想问一下我该怎么办
快乐男人ff,:【姆巴佩入选法国东京奥运会男足初选名单】日前，法国足协公布了2020年东京奥运会男足初选名单，巴黎圣日耳曼天才球星姆巴佩成功入选。法足协主席勒格拉埃表示，年轻的姆巴佩之所以入选，毫无疑问是因为他在这个年龄段超乎寻常的天赋，更因为他自己也想参加奥运，去争夺金牌。法国男足曾在1984年洛杉矶奥运会男足决赛中，以2比0战胜巴西，获得了队史唯一一枚奥运金牌，但是自1996年亚特兰大奥运会以后，法国男足就再也没有入围过奥运足球正赛。如今，法国足球青年人才济济，他们将再次向金牌发起冲击。（央视体育）#欧洲联赛系列#
一起去月球区,#博君一肖[超话]#《年少有为的男孩》——博君一肖原创曲“心跳鼎沸无需公开，聚光灯下秘密相爱”[心]词/曲/唱/混/封面：@挽萤_编曲：@水墨流苏R视频：@限定果橙网易云：http://t.cn/Ai8o9AOMB站：http://t.cn/Ai8aQKhD视频封面原图拍摄：@獨白·0805x1005·他们是年少有为的男孩，并肩从盛夏到白雪皑皑登过最盛大的舞台，躲过最拥挤的人海他们是年少有为的男孩，来日方长续集无限精彩忙里偷闲值得期待，每个清晨吻和表白第一次包揽词曲的歌送给第一次爱的两个男孩，小作文我真情实感写了太多次，现在只想说：“男孩们年少有为时相爱，旁人不用猜，且看未来”http://t.cn/Ai8oBGHr
辣炒猪肉哥,:200303insstory[高是好事吗......?]心理年龄41岁（比实际高16岁）人生经历丰富是成熟的崽
大写的逃跑派,:我已经过了爱穿Adidas和Nike的年龄了
