儒小艺,:瓜又来啦
济南-天使的翅膀,:#爱心寻人团[超话]##爱心寻人团##微博寻人[超话]##等着我寻人团##等着我##宝贝回家##宝贝回家[超话]##等着我寻人#【求助】约1990年出生几天后疑从河南省南阳市被抱至新乡市的娜娜寻亲452772先天口腔腭裂。据邻居说，当年一妇女负气从河南省南阳市离家出走到新乡市，被养父收留，后这妇女家人找到她并将她带回家。为了报答养父，这妇女将寻亲人从外地抱去送给养父抚养；寻亲人到养家时脐带还未脱落；养父已去世多年。http://t.cn/A67T1PcC(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
被麻酱征服的油碟,新花絮来了！！！王八们！出动！！九酿葡萄的微博视频
李娇青创客,:3️⃣月5日“陪伴早餐”微博打卡第18天内容如下👇🏻👇🏻👇🏻如果理想不付诸行动，终究只是飘渺的雾。别怕输不起，一切来得及，太阳尚远，但必有太阳。没有艰辛，便无收获，人生路上，只有自己才能给你最好的未来。我是XX，我在参加@叶倩叶老师@河南电台叶子的#口才变现训练营#第一期，我今天第18次打卡.http://t.cn/A67TrJi3
十五而志学,小王：多营业一秒都要给我加钱
沙颍气象,:【漯河市气象局】【河南省卫健委发布新型冠状病毒肺炎提示】搭乘飞机、高铁等交通工具时应重点关注：第一，提前进入候车室最长不宜超过3小时。第二，要做好个人防护，尽量减少直接接触公共设施和设备，减少与陌生人交流，加强手卫生。第三，咳嗽打喷嚏时用纸巾遮住口鼻，或采用肘臂遮挡等。
绿韵横沥,#你有多美##温暖医瞬间#【河南院感医生：你们保护患者我来保护你们】在抗疫一线，有这么一群人。他们站在污染区和清洁区的边界，把医务人员武装得严严实实，送进病房，还要负责把他们从污染区安全地接回来。他们就是院感医生，被医务人员亲切地称作“安全守护神”。详情⬇️河南院感医生：你们保护患者我来保护你们
9号直播间,:发布了头条文章：《523名河南老乡乘坐免费专列今天前往深圳就业》523名河南老乡乘坐免费专列今天前往深圳就业
宝菂琦苑-张文彬,【春耕生产权威指南】
星探郑州,:【“暖男”医生在方舱医院悉心照顾女患者群评：他在家一定是个好老公！
住建--德阳,:#严厉打击疫情违法行为#【德阳旌阳警方抓获一名以卖口罩实施诈骗的外省逃犯】从德阳市公安局旌阳区分局了解到，该局刑警大队经过周密布控，成功抓获了一名外省逃犯黄某。目前，黄某已被移交给河南警方。据介绍，今年2月以来，河南省平顶山市公安机关接到多名群众报案，称在网上向一名男子购买口罩，但是通过网上转账后，却没有收到口罩，再想联系时该男子却悄声匿迹。平顶山市公安机关接受报案后，初步判定这是一起以网上出售口罩进行诈骗的刑事案件;经过侦查，发现四川绵竹市男子黄某有重大作案嫌疑，2月20日，警方将黄某列为网上逃犯进行抓捕。近日，旌阳区公安分局民警在开展防控疫情入户核查时，发现泰山路派出所辖区某小区一名叫黄某的男子与逃犯信息非常相似，刑警大队随即展开了调查。通过与河南警方联系，反复查证后，确认该男子就是平顶山市公安机关上网追逃的诈骗犯罪嫌疑人。http://t.cn/A67Tuj7i
饼_瓦龙手里的小钱钱,:李爷竟然是俺们河南的！！惊！
黎官虎,我分享了@紫荆ZFY的头条文章河北省卢龙县金钱社会法制奇葩
百姓调解,:【阻击疫情河南面孔】河南省分区分级科学有效恢复城乡道路运输服务百姓调解的微博视频
浪漫良牙,【#浙江输入病例曾途经巴黎广州杭州#】4日，浙江省湖州市公布2例新增意大利输入病例情况。2例病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班），2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清县，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。http://t.cn/A67T2t04
河南理工大学,:【#疫情过后，我在理工等你#】每一天，都在想"理"每时每刻，都想奔向"理"视频来源:粉丝投稿河南理工大学的微博视频
文明江北,#好人365#【把她放了，我去换她】2018年10月，一歹徒持刀劫持人质，一名特警临危不惧，用自己替换人质，趁机制服歹徒，成功解救了人质。特警名叫王培，男，1982年6月生，中共党员，现任河南省漯河市公安局特殊警务支队第二特殊警务大队大队长。入警15年，他参加处置各类群体性事件750余次，抓获各类违法犯罪嫌疑人100多人，参加抢险救灾110余次。2018年12月，他入选“中国好人榜”。http://t.cn/Et6I84l
·夜未央,#中医抗疫第一线#【出实招促进中医药传承创新，深圳5年内将至少培养300名中医骨干】从深圳市卫健委获悉，日前《深圳市促进中医药传承创新发展实施方案（2020—2025年）》正式印发，根据该方案，未来深圳所有社康中心都将开展中医药服务，深圳基本医疗保险一档参保人在社康机构就诊，中药及针灸等中医类治疗项目“打七折”。同时，为推动中医药人才培养和学科建设，深圳将在5年内至少培养300名中医骨干，补助经费每年300万元，对重点专科补助资金从原来的1500万提升至3000万元每年，并大力引进中医高层次“三名工程”团队，每个团队给予800-1500万元经费支持。@耕夫中医@中医杨桢@芋头微波@琦文学中医
河南中医药大学微校园,:#河南中医药大学[超话]#
可达闷鸭,那这不就绝配吗？
河南好网民,:#出彩河南人#【民警连续工作40天累晕在防疫一线，被强制休息】2月28日，河南南阳，民警海国森在高速路口执勤时晕倒，被送往医院。其同事称，因为疫情防控，海警官连续执勤40多天，因饮食、作息不规律，加上血压高所以晕倒。海警官病情稳定后，还曾申请继续工作，但被要求休息。http://t.cn/A67jIyl0
河南月老君,:#河南交友[超话]##河南交友[超话]#1786号男嘉宾出生年月:19930701户籍地：新乡市原阳县工作地：郑州市金水区学历：高中职业：销售月薪1w车房情况：车房都有（无贷款）婚姻状态：离异身高：172体重：70㎏星座：狮子座爱好：跑步，喜欢有仪式感的家庭生活！自我评价：心智成熟，有事业心择偶要求：人品好三观正，重要的是喜欢，喜欢，喜欢！
西部网,:【#26省区市新增病例为0#】4日0-24时，天津、河北、山西、辽宁、吉林、上海、江苏、安徽、福建、江西、山东、河南、湖南、广东、广西、海南、重庆、贵州、云南、西藏、青海、宁夏、新疆（含兵团）新增确诊病例为0。4日8时-5日8时，陕西新增确诊病例为0；3日20时-4日20时，甘肃新增确诊病例为0；4日7时-5日7时，内蒙古新增确诊病例为0。
金华晚报,:【泪目！“七年了，妈妈从来没有放弃”现实版《失孤》在金华上演！】“女儿啊，我以为这辈子再也见不到你了!”近日，在金华市公安局婺城分局城东派出所值班办公大厅内，在浙江务工的河南人邹女士抱着失踪多年的女儿王秋（化名）失声痛哭，泣不成声，让在场人员无不热泪盈眶。经过金华公安部门不懈努力，邹女士和失散七年的女儿重聚，这一幕，比电影《失孤》更催泪。http://t.cn/A67TXL9B
大河财立方,:【扫码报名，政府“买票”！赴浙务工专列排期表来了】3月4日，大河报·大河客户端记者从河南省人力资源和社会保障厅获悉，为帮助河南外出务工人员高效、便捷返岗浙江，服务浙江企业复工复产，河南省人力资源和社会保障厅制定了《河南务工人员专列返浙江工作方案》下发我省各省辖市、济源示范区管委会、省直管县(市)人力资源和社会保障局，并同步抄送浙江省人社厅，两省协同工作，开设专列进行专项服务，对符合条件的务工人员，按照通知将实现免费乘坐专列返岗浙江。http://t.cn/A67T69TI
浦东发布,:【又能撸铁啦！#上海健身房陆续营业#教练：戴口罩跑步需特别留意】据新闻晨报：#你会戴着口罩跑步吗#“再不来跑跑步，衣服就要穿不下了。”近日，上海“一兆韦德健身”门店陆续营业，目前恢复营业的门店占总数的10%，客流量也差不多达到了平日里的十分之一。记者在河南中路店看到，所有健身人士均佩戴口罩，健身器械每使用过一次，保洁阿姨就会用酒精擦拭一遍，跑步机只开放一半，健身人员需要隔台开启使用。巡场教练：戴着口罩跑步需特别留意，确保大家的心肺功能是否能够承受平时的运动量。http://t.cn/A67Tc9JJ
镇宁宣传,:#青年战疫#【战“疫”中的青春担当】“我是一名医学生，我的父母也都是医生，我更是一名共产党员，在战‘疫’的关键时期，我觉得应该挺身而出、冲锋在前。”南昌大学玛丽女王学院164班的张赋鑫家在河南南阳，毗邻湖北省，属疫情较重地区，她的父母一直在战“疫”一线。当了解到南阳市中医院招募党员志愿者时，她毫不犹豫地报了名，每天到医院为进出医院人员测量体温、询问登记、发放口罩、安全消毒。如今，全国疫情防控形势积极向好，成千上万的大学生以高度的责任心和使命感，展现出战“疫”中的青春担当。在志愿服务第一线，到处可见大学生的身影。在北京，已有6000多名大学生报名参加无偿献血活动。刚满18周岁的北京科技大学大一学生明旭东，在大雪天坐了将近40分钟的车才赶到献血点。献完血的那一刻，他感到特别自豪：“有为爱逆行的医护工作者，也有为爱逆行的无偿献血人。”http://t.cn/A67lRgh5
河南新闻广播,:【截至3月4日24时河南省新型冠状病毒肺炎疫情最新情况】2020年3月4日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例5例。截至3月4日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有危重病例1例，无重症病例，累计死亡病例22例，累计出院病例1239例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39234人，3月4日已解除观察212人，共有639人正在接受医学观察。
青豆青2015,:截至3月3日24时河南省新型冠状病毒肺炎疫情最新情况http://t.cn/A670165a
美味播放室,:#天天美食#河南有名豆皮吃法，每次来都有疑问，老板糖不要钱吗？怕得糖尿病美味播放室的微博视频
锋游全世界,河南的一位农民小伙，表演完主持人傻眼了……#迷惑行为大赏##逗趣段子#沙雕专员的微博视频
用户6062699196,:河南省周口市项城市付集镇崔小庄崔娟欠钱不还不知廉耻，并在外面跟畜生日出来两个野种，项城市
兵卫红小,#外国人永久居留管理条例##杨宜勇罗天昊#以前的视频好像是河南的洋垃圾。打我们中国女人，对我们中国女人吐口水引起民愤要把车子给砸了！只有五十六朵花的微博视频
小斗斗,:知道这是在干嘛吗？坐标河南#搞笑视频##一句冷幽默#小斗斗的微博视频
黑怕不怕黑2001,#河南防控新型肺炎疫情#【清零！河南省传染病医院(郑州六院)最后两名确诊患者出院】今天上午，郑州市第六人民医院(河南省传染病医院)收治的最后2例新冠肺炎确诊患者治愈出院，实现在院患者的“清零”目标。据介绍，自收治河南省首例新冠肺炎确诊患者以来，郑州市六院共治愈出院新冠肺炎确诊患者69人，其中最大年龄84岁，最小年龄4岁。该院党委书记马淑焕介绍，为应对此次疫情，医院共成立2个发热门诊、11个隔离病区，全院1700余名职工取消休假，全员在岗，统筹协作，为取得疫情防控阶段性胜利做出了最大努力。（大河报）#抗击疫情我们在一起#
语絮年,还记得那个经典问答吗？-90年代网络还没有普及，你们八零后说小时候看日剧美剧，都是怎么看的啊？-看电视啊。
顶天立地LeeSongTao,:#星光公益我愿意#涓滴之水成海洋，颗颗爱心变希望。我在“9岁哥哥为妹妹配型，妹妹，一定要好起来！”项目捐款成功！@河南省慈善总会9岁哥哥为妹妹配型，妹妹，一定要好起来！
旅游收录菌,:河南老君山风景区，感觉自己好像穿越了，绝美仙境啊
小马甲的妹妹missyou,#北京故事#一位农民小伙，别人是来闯关的，他是来进货的……
囧闻搜一搜,:在河南郑州，一17岁白血病女孩急需用钱，13岁的弟弟却玩王者荣耀花掉近2万块，一天就挥霍光了亲姐姐的救命钱。在被问到“你知不知道这钱是干什么的？”时，男孩哭着回答知道。至于为什么花掉这笔钱，他回答因为之前看到同学在游戏里有很多皮肤，所以自己也忍不住想买。另一位姐姐哭着说：前期化疗已经花了八九万，亲戚能借的都借过了，就剩下这点钱，本来够住院一个星期，现在也被孩子花光了。男孩对姐姐道歉时，患病的姐姐忍住眼泪，说了句“没事没事”，还替弟弟擦了擦眼泪。
菲卡时光,:#蓝色生命线#为爱前行，我一直在路上。我在“1岁血癌娃命悬一线”项目捐款成功！@河南省慈善总会1岁血癌娃命悬一线
Plus旅行情感,:河南老君山风景区，感觉自己好像穿越了，绝美仙境啊
可可橙的秋崽,在反省了N刷无感刷的都是假的今天比对编舞版本把两个版本直播和专享版本都翻出来才注意这段直播里切到其他人专享版本补上的镜头之前一直被我忽略掉0.5倍速想直接跪下喊爹镜头捕捉到的每个细节和瞬间都是百分之两百的表现力嗑王老师专用的微博视频#王一博无感##王一博谢允#
做生活的高手h,河南项城实拍：父母智力低下生了七个孩子，刚满月的孩子都没衣服穿二次创作的微博视频
睿睿妈咪2,:截至3月2日24时河南省新型冠状病毒肺炎疫情最新情况http://t.cn/A67KDZhj
睿睿妈咪2,:河南省广大党员踊跃捐款支持疫情防控工作http://t.cn/A67X6vJ3
让笑声飞,:【救护车拉客每人收1000元医院被罚10万司机被拘留】2月13日，河南上蔡县交通运输局执法所在G345国道查获一辆豫QYN410救护车，该车司机利用特种车的便利条件高价招揽乘客，从郑州拉乘客到驻马店，每人收取1000元费用，属于非法营运。目前，车辆所属医院被处以罚款10万元的行政处罚，救护车司机被处以行政拘留处罚。
HaihanLee,:截至3月3日24时河南省新型冠状病毒肺炎疫情最新情况http://t.cn/A670165a
HaihanLee,:河南省委书记在周口市调研时强调抓住时机推进水利工程建设不误农时抓好春季麦田管理http://t.cn/A670mABH
游荡的离魂blog,#你的爱心被骗了吗#【她为女儿治病24小时筹35万，却被质疑“诈捐”？】#济源[地点]#2岁的王子曦患有急性淋巴细胞白血病、脓毒症，其母李燕通过“轻松筹”筹集爱心捐款35万元。随后，其母被爆出在济源有房、有车，年入12万元。详情→大河调查丨35万多元爱心筹款大反转，“轻松筹”平台审核如此轻松？
大丹wu,:河南郸城瓜赵村：疫情中模范户的和谐生活http://t.cn/A67a7iFV
可怜男孩0,【出租房没网没设备，#8岁男孩用老年机询问作业#：开学再给老师批改】河南焦作，2年级的马子阳跟奶奶在每月80元的出租房内住了5年。学校网课开始后，由于出租房没有网络、电脑和智能手机，他每天用奶奶老年手机跟老师联系，询问作业。他说自己成绩一二名，作业开学再给老师批改。http://t.cn/A67jc8Tz（一手video）
计件民工大叔叔,中国女生找黑人男友，就被蛆说男友有艾滋。这个现象本身我觉得蛮有趣的。就是蛆脑子里已经有一个污名化的艾滋病人形象，然后再用这个污名化的病人形象去污名化黑人，通过这个被污名化的黑人形象去侮辱这个女生。逻辑链条可以说是环环相扣颇为精彩。但是呢，蛆们给自己留下了一个意想不到的后门，就是当人们认识到艾滋病人或者说HIV感染者都是平常人，没有什么特别的，也不可怕的时候，蛆们的逻辑链条就自己崩溃了。蛆还有一个特别好玩的逻辑链。就是假定黑人的下体都很大，女生是为了贪慕巨大的下体才去找黑人男友。而因为假定女生是为了追求性才找黑人男友，所以蛆们又可以用自己的逻辑对女生进行荡妇羞辱。但是殊不知，蛆们又是如何知道黑人下体都大的呢？莫非是自己试过？而且是说“都大”，试过的次数恐怕还不少。又或者是，因为蛆自己的下体确实非常之小，以至于黑人不管什么尺寸，肯定都比蛆大。我觉得后一种假说可能性更高，毕竟以蛆之腌臜，黑人恐怕也是嫌脏的。虽说每次见蛆都忍不住捏鼻子，我还是良心劝一句蛆。男人的尺寸真的不重要的。真的要大尺寸的话，为什么不去买玩具呢？不仅各种尺寸齐全，而且劲道自己掌握想用就用不想用随时可以扔，何苦在上面连一个活人？人家女生选择黑人而不选择你，实在是因为你作为一个人，确实不行。
流星影刃,:最新！河南11地确诊病例清零！http://t.cn/A67lqA8A
晨光午茶摘聞繪友分享閱讀觀,:处理结果来了！工信部通报河南、山东“携号转网”服务违规问题处理情况→央视财经http://t.cn/A67jFsxT
流星影刃,:在一起｜河南郑州：努力实现集中返岗“出家门上车门，下车门进厂门”http://t.cn/A6709B1s
谢文流氓,:【河南省】·【开封市】·【山陕甘会馆】·【印象随拍】二#河南省##开封市##开封·山陕甘会馆[地点]##山陕甘会馆##印象#齐齐哈尔·光荣三区
江油公安,:#逆行者支持逆行者#【武汉消防和河南医护隔墙拉歌还送小零食致谢】湖北武汉，河南第二批援鄂医疗队所住酒店与消防救援站仅一墙之隔。2日晚，消防员拉起写有“逆行者支持逆行者”的横幅，为医护人员送去小零食致谢，双方戴着口罩隔着一道墙拉歌互动。一手video的秒拍视频
NOAH-AM,在河南的洋垃圾，打我们中国女人，对我们中国女人吐口水引起民愤要把车子给砸了！#英国再现集装箱藏人案##美国对塔利班展开空袭#http://t.cn/A67jAQUf
小圆啵啵茶,#SEVENTEEN[超话]#💎#SEVENTEEN出道五周年#🐯#权顺荣[超话]#[SVT_Harbour]200304Hoshi官咖更新标题：题目：中中中内容：题目：中中中今天他也依然在努力工作..我在..围观中..每次看到都感到神奇中五周年联合应援计划👉http://t.cn/A6htUqRq切瓜教程👉http://t.cn/AiY1VkdA[请勿二改二传转发请标注SEVENTEEN_Harbour站]
沙雕专员,:河南的一位农民小伙，表演完主持人傻眼了……#迷惑行为大赏##逗趣段子#沙雕专员的微博视频
当时我就笑愣了,:图片中的这位姑娘名字叫做沙鸥，出生于河南的一县城，她和丈夫相遇就特别有缘分，到如今，她还非常感谢当年丈夫的救命之恩，让她是重获新生。当时22岁的沙鸥和朋友们来到四川旅游，但却没想到迎来了一场史无前例的大地震，那个时候沙鸥正在和朋友们在午饭，突如其来的地震，让沙鸥手足无措，而此时沙鸥的朋友都已经往楼下逃跑，沙鸥不知道怎么办，就躲在了饭桌子的底下。据沙鸥说所，当时她脑袋一片空白，害怕的不敢动，等到再次苏醒的时候，已经在杂乱的大街上了，身边还站着一位大叔。了解过后才发现，原来这位大叔就是自己的救命恩人，沙鸥也回忆道当时有一双大手将她从楼上抱了下来，之后就没印象了。幸运的是两个人都没有受伤，而因为这次经历，沙鸥是添加了救命恩人的联系方式想尽办法感谢他，但没想到这一添加，两人是彻底好上了。短短两年不到的时间了，沙鸥和丈夫巴帅举行了婚礼，在两家人的见证下开始了幸福的婚姻长跑。如今11年过去了，沙鸥非常感激丈夫当年的见义勇为，并且还经常上电视节目叙述他们发生的故事，为了感谢丈夫，沙鸥还有一次在舞台上献唱《最重要的决定》，意味着彼此当时作出的决定，都是最重要且最幸福！确实让人非常感动，如今，沙鸥和巴帅育有一男一女，过着普通又充实的生活
民子82475,唯果粒这抓娃娃的水平，和龙哥比，如何？
o雪w花o,#外国人永久居留管理条例##杨宜勇罗天昊#以前的视频好像是河南的洋垃圾。打我们中国女人，对我们中国女人吐口水引起民愤要把车子给砸了！只有五十六朵花的微博视频
您亲亲,【河南洛阳一汤馆营业，#顾客停车位上考试式就餐#】2月29日，河南洛阳。一家羊肉汤馆恢复营业，顾客在门口的车位上就餐，1个车位2个座，间隔1.5米。顾客称，已一个多月没喝羊肉汤了，这种防护下喝到汤的感觉很好。澎湃新闻的微博视频
拾贰与烊-,2010/0919/100919河南省第十一届运动会开幕式
Pain-Akatsuki,:河南四大害:水旱蝗汤
精酒,【中国蝗灾防治工作组：#沙漠蝗虫迁徙到中国的可能性很小#】今天，中国蝗灾防治工作组即将结束对巴基斯坦为期10天的科考调研。工作组认为，巴基斯坦的沙漠蝗灾较为严重，但飞到我国的可能性很小。巴基斯坦的蝗灾发生在热带和亚热带的沙漠地区，我国没有适合的自然环境。从历史记录看，中国也没有沙漠蝗成灾记录。（总台记者刘畅崔如）http://t.cn/A67lWx6a
zhwharry,:河南说唱之神/国产荨麻疹《伤心男孩拯救世界》伤心男孩拯救世界（@网易云音乐）
涂鸦白纸Boy,:#挠脚心#河南焦作有没有tk的本人er
流泪不雪,#外国人永久居留管理条例##杨宜勇罗天昊#以前的视频好像是河南的洋垃圾。打我们中国女人，对我们中国女人吐口水引起民愤要把车子给砸了！只有五十六朵花的微博视频
洛洛QUEENDX,:#星光公益我愿意#小善意，大温暖。我在“9岁哥哥为妹妹配型，妹妹，一定要好起来！”项目捐款成功！和@酷盖本盖耶一起用善举温暖更多心灵！@河南省慈善总会9岁哥哥为妹妹配型，妹妹，一定要好起来！
梅西出色的简直太荒谬了,:#河南防控新型肺炎疫情#自从开始零增长就没怎么看过数据，今天一看，发现从确诊前三名到现在现存确诊排倒数，感觉这次河南防控工作做的确实好，开始全网夸硬核我还有点紧张，现在看来是真硬核一点都不虚的。希望全国早日清零！
8元4G,:《疫情下的“野生动物禁食令”：鳄鱼鸵鸟梅花鹿这些养殖动物，还能吃吗？》【版权声明】本作品著作权归凤凰星独家所有，授权深圳市腾讯计算机系统有限公司独家享有信息网络传播权，任何第三方未经授权，不得转载。记者丨李晓磊编辑丨覃旭看着池子里的几百条鳄鱼，河南老板刘兴华仍心……http://t.cn/A67jg0MT
四平八稳的陀螺,:老课本——我是拾遗君各省形状的比喻，也让人绝倒。“南同江苏分界，西南与河南比邻，北沿渤海，东为半岛：山东省是也。山东地势中部多山，最著名的是泰山；北部有黄河入海口，物产不多，只有煤矿最著名。”“陕西省，古称关中，在山西河南的西面，地势都是山川，农产很多，煤矿要算是中国最丰富的地方了。”这样的地理，是不是充满了趣味和想象力？http://t.cn/A67jgziC
涂鸦白纸Boy,:#挠帅哥脚心tkman[超话]#河南焦作er一枚
企鹅看飞机,发布了头条文章：《源远流长：古希腊奥运会上的原始兴奋剂》#历史##历史云讲堂##兴奋剂#源远流长：古希腊奥运会上的原始兴奋剂
秦爾,:这个李斌经常说他可以逍遥法外。@锕-妹，@白小白小怪兽，但是这个李斌都是在私营小企业当合同工。也就说明，李斌不能利用李斌的亲友的职权让李斌不穷一点，但是李斌可以偷用，借用李斌长辈的职权，陷害别人。河南恒祥实业，已解雇，李斌。
一点点滴滴酷酷的,:#全国21省区市下调应急响应级别#河南还是挺严的
童模驾到,:#萌娃频道精选[超话]#昵称：旺仔性别：男身高：82体重：12kg鞋码：13.5地址：河南生日：2018.07首席童模：HN20053905
一个冰岛的极光,:#有什么建议给高三党#河南的考生们，今年高考很难，你不努力，明年会更难，因为明年就不分文理了。3＋2＋1模式要来了。所以一定要努力啊
Feivority,:河南应该是除湖北外确诊人数第二多的，第一是广东。但是现在河南目前只剩16人未被治愈了，低于好多确诊人数没河南多的省了。真好。希望其他省也能快速好起来。
长安伊沙,陈文磊（自号鹰子，1986年出生，常冒充90后）不是说，因为我回击曹某的言辞不文明，他路见不平才拔刀相助吗？那好，我再来揭揭他的画皮，让大家看看他的骗子本色。我先选他相对“文明”的部分。更脏那些的待续。
曹天宇_,农民工春节前上班期间死亡国企隐瞒事实家属悲痛欲绝2020年1月15号我的爸爸，陈某，河南省禹州市人，在中国电建生态环境集团“茅洲河项目2号低泥处理厂”（位于东莞市长安镇新民三村步步高大道与新丰路交叉口）上班期间死亡，脸部，眼眶，鼻梁处，嘴唇处均有伤。因我爸爸在工厂无亲人好友，只能听厂方一家之言。1月15号晚上11点31分在家接到我爸爸厂方的第一个电话，告诉我我爸爸在医院抢救。于是我和家人马上订机票从禹州赶到郑州机场，与1月16号中午感到东莞。订票途中我们打了无数个电话给我爸爸的厂方问情况一直都说我爸爸在医院抢救，直到我们赶到东莞见到我爸爸的厂方还说在医院抢救。于是我们分两路一路去医院一路和爸爸的领导在一起。我们到医院去问根本就没有这个人，然后我爸爸的领导才告诉我们我爸爸去世了，而且根本没有送医院，直接从厂区拉去殡仪馆了。然后各种拖延直到第二天17号才在殡仪馆见到我爸爸的遗体。我爸爸去世前身边没有一个亲人，连一句遗言也没有，自从爸爸来这里上班我和家人已经快一年没有见到他了。我们也不了解情况，只能从外围给他的同事打电话询问情况。陆陆续续我们联系到几个爸爸的同事和厂方领导。他们好多人每次给我们说的事情经过都不太一样，在掩饰一些我们不知道的事情。厂方总是避重就轻推卸责任。作为国企单位，五十多天来，一直隐瞒死亡真相，对我们家属态度强硬，极不承担责任，还多次威胁我们，如果上访就停掉我们的住宿费和伙食费，令远在异乡的我们悲痛欲绝。由于疫情情况，我们忍着巨大的悲痛，不上访，不去厂方闹，但厂方已经停掉了伙食费和住宿费，拒不赔偿，逼迫我们，难道农民工的命就这么卑微，低贱嘛？在疫情这么严峻的情况下我们不能随便出入，也回不了老家，在这边人生地不熟的。万般无奈之下，我们只有公布于众，希望广大的网友和媒体朋友帮帮忙，让相关的领导看见，还给死者和我们家属一个公道。#热门话题#@东莞日报http://t.cn/RXG1rlH
欢天喜地八腿毛,:今日最好笑吃鸡队友
