新浪广西,:#广西抗击新冠肺炎#【清零！广西玉林市11名确诊病例全部治愈出院
大连大小事儿,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）#大小事[超话]#http://t.cn/RJyjtcN
六条小子,:曹县瑟瑟发抖！【#辽宁新增3例确诊均为丹东病例#，#2月12日后境外入丹东人员全部开展核酸检测#】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。为严防境外疫情输入，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告：①对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；②对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
中山发布,:#关注#【中山连续15天0新增！】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。每日疫情通报｜中山连续15天零新增，全省情况怎样？
最爱济南,:#济南抗疫在行动##硬核山东#【济南市传染病医院今天又有4例患者出院，全市已治愈36例！】济南市传染病医院今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，他们入院时有发热咳嗽等典型症状，对他们进行了抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是第27例确诊病例的女儿，24日被感染的，其妈妈已经出院。她说，“医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”另一名小患者王某某，5岁，其妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。#济南爆料#http://t.cn/R08LU4d
济南时报,:#山东疫情#【济南市传染病医院今天又有4例患者出院，全市已治愈36例！】济南市传染病医院今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，他们入院时有发热咳嗽等典型症状，对他们进行了抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是第27例确诊病例的女儿，24日被感染的，其妈妈已经出院。她说，“医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”另一名小患者王某某，5岁，其妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。
沈阳公共频道,:丹东新增3例，行程轨迹公布！3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，丹东市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。一、确诊病例情况及行程轨迹确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。广大市民朋友，我市疫情防控工作形势依然严峻，配合做好疫情防控工作，关乎您和家人及全社会的健康，也是按照《中华人民共和国传染病防治法》要求每一位公民应承担的责任和义务。为防止疫情扩散，准确查找与史某、宋某某有密切接触人员，请在上述过程中与此二人有过密切接触的市民，立即与所在县（市）区疾病预防控制部门联系，并随时观察自己和家人的健康状况，若出现发热、乏力、咳嗽等呼吸道症状，请第一时间戴好口罩到市卫生健康委指定的医疗机构发热门诊就诊。就医途中，请勿乘坐公共交通工具。二、在疫情防控期间，请广大市民严格遵守疫情防控各项措施，做好个人防护，不要参加聚会、婚礼等人群密集场所的活动，确保自身安全。三、近期周边国家新冠肺炎疫情日益严重，为保障人民群众生命和健康安全，提醒广大市民若发现从武汉或其他疫区及境外入丹返丹人员，请立即向属地公安派出所和所属社区报告。联系电话：东港市：7122860凤城市：8668120宽甸县：5125889振兴区：2027889振安区：2530142元宝区：2818584丹东市新冠肺炎疫情防控指挥部办公室2020年3月3日
新闻360,:【开创方舱医院的“江苏模式”：武汉体育中心方舱医院2日113人出院】3月2日，武汉体育中心方舱医院2院113人出院，这是截至目前武汉体育中心方舱医院2院最大规模的一次患者出院。据介绍，国家(江苏)紧急医学救援队不断摸索，根据轻症和普通型新冠肺炎患者的病情及切实的心理、生理条件，在建设方舱、照护患者的过程中开创了方舱医院的“江苏模式”。http://t.cn/A679EWdo
半岛晨报,:【丹东新增3例确诊病例，行程轨迹公布】3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，我市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。一、确诊病例情况及行程轨迹确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。20日13时江边散步，15时回家无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。广大市民朋友，我市疫情防控工作形势依然严峻，配合做好疫情防控工作，关乎您和家人及全社会的健康，也是按照《中华人民共和国传染病防治法》要求每一位公民应承担的责任和义务。为防止疫情扩散，准确查找与史某、宋某某有密切接触人员，请在上述过程中与此二人有过密切接触的市民，立即与所在县（市）区疾病预防控制部门联系，并随时观察自己和家人的健康状况，若出现发热、乏力、咳嗽等呼吸道症状，请第一时间戴好口罩到市卫生健康委指定的医疗机构发热门诊就诊。就医途中，请勿乘坐公共交通工具。二、在疫情防控期间，请广大市民严格遵守疫情防控各项措施，做好个人防护，不要参加聚会、婚礼等人群密集场所的活动，确保自身安全。三、近期周边国家新冠肺炎疫情日益严重，为保障人民群众生命和健康安全，提醒广大市民若发现从武汉或其他疫区及境外入丹返丹人员，请立即向属地公安派出所和所属社区报告。联系电话：东港市：7122860凤城市：8668120宽甸县：5125889振兴区：2027889振安区：2530142元宝区：2818584丹东市新冠肺炎疫情防控指挥部办公室2020年3月3日
辽宁日报,:【丹东公布3例确诊病例情况及行程轨迹】3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，丹东市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。确诊病例情况及行程轨迹
直播生活官方微博,:【丹东新增3例确诊病例行程轨迹公布】广大市民朋友：3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，我市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。一、确诊病例情况及行程轨迹确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。2.2月20日13时江边散步，15时回家无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。广大市民朋友，我市疫情防控工作形势依然严峻，配合做好疫情防控工作，关乎您和家人及全社会的健康，也是按照《中华人民共和国传染病防治法》要求每一位公民应承担的责任和义务。为防止疫情扩散，准确查找与史某、宋某某有密切接触人员，请在上述过程中与此二人有过密切接触的市民，立即与所在县（市）区疾病预防控制部门联系，并随时观察自己和家人的健康状况，若出现发热、乏力、咳嗽等呼吸道症状，请第一时间戴好口罩到市卫生健康委指定的医疗机构发热门诊就诊。就医途中，请勿乘坐公共交通工具。二、在疫情防控期间，请广大市民严格遵守疫情防控各项措施，做好个人防护，不要参加聚会、婚礼等人群密集场所的活动，确保自身安全。三、近期周边国家新冠肺炎疫情日益严重，为保障人民群众生命和健康安全，提醒广大市民若发现从武汉或其他疫区及境外入丹返丹人员，请立即向属地公安派出所和所属社区报告。联系电话：东港市：7122860凤城市：8668120宽甸县：5125889振兴区：2027889振安区：2530142元宝区：2818584丹东市新冠肺炎疫情防控指挥部办公室2020年3月3日
阜新共青团,:#新冠肺炎最新动态#【丹东新增3例确诊病例，行程轨迹公布】广大市民朋友：3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，我市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。一、确诊病例情况及行程轨迹确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。2.2月20日13时江边散步，15时回家无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。广大市民朋友，我市疫情防控工作形势依然严峻，配合做好疫情防控工作，关乎您和家人及全社会的健康，也是按照《中华人民共和国传染病防治法》要求每一位公民应承担的责任和义务。为防止疫情扩散，准确查找与史某、宋某某、宋某某一家三口有密切接触人员，请在上述过程中与此三人有过密切接触的市民，立即与所在县（市）区疾病预防控制部门联系，并随时观察自己和家人的健康状况，若出现发热、乏力、咳嗽等呼吸道症状，请第一时间戴好口罩到市卫生健康委指定的医疗机构发热门诊就诊。就医途中，请勿乘坐公共交通工具。二、在疫情防控期间，请广大市民严格遵守疫情防控各项措施，做好个人防护，不要参加聚会、婚礼等人群密集场所的活动，确保自身安全。三、近期周边国家新冠肺炎疫情日益严重，为保障人民群众生命和健康安全，提醒广大市民若发现从武汉或其他疫区及境外入丹返丹人员，请立即向属地公安派出所和所属社区报告。联系电话：东港市：7122860凤城市：8668120宽甸县：5125889振兴区：2027889振安区：2530142元宝区：2818584丹东市新冠肺炎疫情防控指挥部办公室2020年3月3日
昕飞扬1996,:#飞扬昕语[超话]#两条新闻结合着看，看样子丹东的新增的是境外输入病例的可能性极大。东北因为地理位置和民族的关系，与韩国往来一直比较密切。这次抗疫，压力大呀。【#辽宁新增3例确诊均为丹东病例#】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。【辽宁丹东：#对2月12日后境外入丹东人员核酸检测#】据@丹东发布，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告，要求对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
