呆梨各种吹,巴萨铁三角又来了！
KarryJiner,:#意大利确诊病例升至3089例#增长速度太快了……要重视起来啊
萧山日报,:【浙江新增2例确诊病例，系母女，2月29日抵达萧山机场】新增2例境外输入病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班）、2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。
BaByALL茗月,:#美疾控中心停止公布各州确诊数#美国在想什么？闭上了眼睛就看不见天黑？疫情数据应该公开透明吧#意大利确诊病例升至3089例#涨得有点快，死亡率有点高……还是得更重视
呔铃王,:🇮🇹阿尔法罗密欧专用数据来自🇮🇹OZRacing旗下品牌MSW82轮毂，意大利进口🍀款式，双色可选，18寸前后配数据现货在库，性价比超高，欢迎咨询
北京本地通,:#意大利决定关闭全国学校及大学#【意大利政府决定关闭全国学校及大学】#意大利关闭全国学校#路透社4日援引意大利安莎通讯社消息称，鉴于新型冠状病毒疫情的暴发，意大利政府决定关闭全国各地的学校和大学。（环球网）#意大利决定关闭全国学校及大学#
看到姜就烦,#美疾控中心停止公布各州确诊数#不公布搞得人心惶惶的还是公布吧#意大利确诊病例升至3089例#要做好防护措施啊
YA_NG_7,直播：莫里森召开新闻发布会，应该会发布新的禁令政策。
达州应急,:#全球抗疫第一线#【#意大利确诊病例升至3089例#】当地时间4日18时，意大利通报，迄今为止，意大利新冠肺炎累计病例已达3089例，累计死亡107例。（央视新闻）
乃伊拉一噶门组特,宁愿给美国大亨当情妇、倒贴法国残疾男的，也不愿意嫁给中国男孩…
河南交通广播,:【#意大利决定关闭全国学校及大学#？教育部长：仍在讨论】据意大利安莎通讯社4日最新消息，消息人士当天称，鉴于新冠肺炎疫情，政府已经决定从周四（5日）起至3月中旬关闭意大利所有的学校及大学。安莎通讯社提到，实际上，目前意大利受疫情影响最严重的的伦巴第、威尼托等地区的学校都处于关闭状态。而据最新消息，意大利教育部称，是否关闭学校仍在讨论中，将在稍晚时宣布正式决定。@红星视频http://t.cn/A67jIU9G
931郑州经济广播,:【疫情严重！#意大利决定关闭全国学校及大学#至3月中旬
杭州最热门,:【湖州新增境外输入病例2例：为母女关系，意大利都灵启程，2月29日到达杭州萧山机场】#浙江新型冠状病毒肺炎#据@都市快报：2020年3月4日0-24时，湖州市新增新型冠状病毒肺炎确诊病例2例（均为德清县报告的意大利输入病例）。新增2例境外输入病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班）、2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。#浙疫战我们能赢#
新快报,:【#浙江输入病例曾途经巴黎广州杭州#】4日，浙江省湖州市公布2例新增意大利输入病例情况。2例病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班），2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清县，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。（湖州发布）
环球时报,:【法媒“新冠比萨”恶搞广告惹恼意大利】据法新社4日报道，法国电视台“Canal+”一档讽刺类节目播出一则“恶搞广告”：一名厨师取比萨时，因剧烈咳嗽将一坨痰状黏稠液吐在比萨上，广告语则称：“为您呈现意大利新款比萨，它将在全球风靡。”镜头拉近拍摄比萨上的浓痰，并以意大利国旗绿白红三色配上“新冠比萨”字样。3日，意大利多名政要发声斥责。外交部长迪马约表态：“拿意大利的疫情紧急状态取乐，这是对我国完全丧失尊重的做法。”（《环球时报》三缺二视频组）@这视频http://t.cn/A67TXBEA
乃伊拉一噶门组特,宁愿给美国大亨当情妇、倒贴法国残疾男的，也不愿意嫁给中国男孩…
河南交通广播,:【#意大利决定关闭全国学校及大学#？教育部长：仍在讨论】据意大利安莎通讯社4日最新消息，消息人士当天称，鉴于新冠肺炎疫情，政府已经决定从周四（5日）起至3月中旬关闭意大利所有的学校及大学。安莎通讯社提到，实际上，目前意大利受疫情影响最严重的的伦巴第、威尼托等地区的学校都处于关闭状态。而据最新消息，意大利教育部称，是否关闭学校仍在讨论中，将在稍晚时宣布正式决定。@红星视频http://t.cn/A67jIU9G
931郑州经济广播,:【疫情严重！#意大利决定关闭全国学校及大学#至3月中旬
杭州最热门,:【湖州新增境外输入病例2例：为母女关系，意大利都灵启程，2月29日到达杭州萧山机场】#浙江新型冠状病毒肺炎#据@都市快报：2020年3月4日0-24时，湖州市新增新型冠状病毒肺炎确诊病例2例（均为德清县报告的意大利输入病例）。新增2例境外输入病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班）、2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。#浙疫战我们能赢#
新快报,:【#浙江输入病例曾途经巴黎广州杭州#】4日，浙江省湖州市公布2例新增意大利输入病例情况。2例病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班），2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清县，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。（湖州发布）
环球时报,:【法媒“新冠比萨”恶搞广告惹恼意大利】据法新社4日报道，法国电视台“Canal+”一档讽刺类节目播出一则“恶搞广告”：一名厨师取比萨时，因剧烈咳嗽将一坨痰状黏稠液吐在比萨上，广告语则称：“为您呈现意大利新款比萨，它将在全球风靡。”镜头拉近拍摄比萨上的浓痰，并以意大利国旗绿白红三色配上“新冠比萨”字样。3日，意大利多名政要发声斥责。外交部长迪马约表态：“拿意大利的疫情紧急状态取乐，这是对我国完全丧失尊重的做法。”（《环球时报》三缺二视频组）@这视频http://t.cn/A67TXBEA
黄乐平律师,:【新冠肺炎病例韩国超过5000，意大利、伊朗、日本均超过1000】韩国截止3月4日16时韩国新增新冠肺炎确诊病例293例，累计确诊病例已升至5，621例，死亡36例。意大利截止3月4日18时新增587例，累计确诊感染新冠病毒总人数为3，089例，死亡107例。伊朗3月4日新增586例新冠肺炎确诊病例，累计2，922例，死亡92例。日本3月4日累计确诊新冠肺炎病例1，035例，累计12人死亡。美国截止3月4日17时，累计确诊新冠肺炎感染病例153例，死亡病例11例。
为你双手奉上云雀料理,「超人气10种意大利面做法，一周吃意大利面也不重样」ps：额在异国他乡流浪时最常做的就是火锅底料炒意大利面，也这么干过的小伙伴欢迎和我探讨一下
-古曲儿-,【#意大利确诊病例升至3089例#死亡107例】据路透社消息，意大利官方表示，意大利新型冠状病毒肺炎确诊病例由2502例上升到3089例，死亡病例上升至107人。（海外网）
怒放飞鹰,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
jmx49_34984,:分享网易新闻《浙江新增2名病例系意大利回国母女途经巴黎广州》浙江湖州新增境外输入病例2例均为意大利输入病例来自@网易新闻客户端#网易新闻#
2020大变局,:据法新社报道，意大利政府4日说，当天意大利新冠肺炎累计死亡病例超过100例，新冠肺炎确诊病例超过3000例。目前，意大利是中国以外新冠肺炎死亡病例最多的国家。报道称，意大利官方公布的数字显示，在过去24小时中，意大利新增新冠肺炎死亡病例28例，累计死亡病例增至107例，累计确诊病例增至3089例。另据法新社报道，为抗击新冠肺炎疫情蔓延，意大利政府4日宣布决定，大中小学全部停课至3月15日。
大老客大大,【#意大利确诊病例升至3089例#死亡107例】据路透社消息，意大利官方表示，意大利新型冠状病毒肺炎确诊病例由2502例上升到3089例，死亡病例上升至107人。（海外网）
Neyer,:注意我现在是三农博主了！科普的事情跟我没关系了
环球君,:【#全球疫情地图#：韩国累计确诊5766例、意大利3144例、伊朗2922例、日本1036例】综合外媒报道和数据统计，截至北京时间3月5日10时，韩国新冠肺炎累计确诊病例达5766例，意大利累计确诊3144例，伊朗累计确诊2922例，日本累计确诊1036例。戳图↓↓↓（制图：叶旺）
明日天朝,:#新疆#开始有序开放社区，望坚决执行中央的指示精神。疫情国际上主要是伊朗和意大利，是不是国名都和“疫”同音。意大利是发达国家不会有太大问题。伊朗举国体制一旦执行，只要防疫物资到位，也不会有太大问题。其实我最关心的还是复工复产问题，在家待了一个多月，工作上出现了很多问题需要解决！
55周晓照,:备足物质，禁足防疫，戴二个大口罩，勤洗手，勤消毒，勤开窗，多喝水，多运动，加强营养，好好休息，宅家无恙据刚刚得到消息，欧洲人没有防疫抗疫意识，公共场所完全不戴口罩，人传人非常严重，意大利感染严重人群接踵而至跑往英国，结果昨天造成英国感染人数直线上升。由于英国医疗资源太缺乏，退休医生恐怕都要重返医院，但仍无济于事。据官方消息，面对突如其来的瘟疫，英国唯一的办法就是多造太平间，太恐怖了！http://t.cn/R2WxQOQ
风智曦,:意大利新增587例确诊病例累计确诊3089例http://t.cn/A67TCsr3
腊月蛇,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
郑州晚报,:【#浙江2境外输入病例曾途经巴黎广州杭州#】新增2例境外输入病例为母女关系（母亲45岁，女儿16岁），一直生活在意大利。两人于2月28日由意大利都灵起程（AF1503航班），途经巴黎戴高乐机场转机（CZ348航班）、2月29日约6点40分到达广州，再转机（CZ3803航班，座位号53C、53H）到达杭州萧山机场。2月29日下午由其家人自驾接回德清，即被居家隔离医学观察。2人于3月4日凌晨发病，3月4日新冠病毒核酸检测阳性。目前在湖州定点医疗机构隔离治疗。新京报
半月谈,:#全球战疫进行时#【#意大利决定关闭全国学校及大学#】3月4日，意大利媒体报道称，意大利决定暂时关闭全国各地的学校和大学。该措施将于3月5日生效，持续到3月中旬。近日，意大利暴发新冠肺炎疫情，目前已确诊2502例，其中死亡79例。病例席卷该国各大区，除一大区外都有了确诊病例。（新京报）http://t.cn/A67jq225
欧洲足球那些事儿,:#欧洲足球那些事儿#曼城和热刺今夜都遭遇足总杯鏖战，阿圭罗的制胜进球帮助曼城涉险过关，热刺则在门将沃尔姆送礼后点球落败。曼城客场围攻谢周三，但上半场没有一次射正，下半时依靠阿圭罗打破僵局，一球优势也被保持到了终场。维尔通亨早早为热刺取得领先，但沃尔姆的扑救失误使诺维奇扳平比分，点球大战中拉梅拉、帕罗特、热德松先后罚失，热刺无奈出局。随着疫情升级，意大利政府部门要求4月3日前所有体育比赛都要空场进行，意甲联赛终于有望正常推进。
求闲若渴蝈,:韩国确诊五千多个死亡三十个意大利确诊三千死亡一百我都不知道是说根据死亡率来说意大利感染人数远不止三千还是说他们基础病（三高加心脏问题)比例应该很高更应该重视了关于他们不戴口罩的问题也有他们买不到口罩的原因但是政府宣传没病不戴的方法实在是他们要是控制不住了！希望能给中国网民一个机会拿手指着他们额头大声喊出：Itoldyou！让你们不戴口罩！
扎西德勒·天珠收藏,:#鬼鬼祟祟的美国#
中国侨网,:【#美国洛杉矶宣布进入紧急状态#】当地时间3月4日，美国洛杉矶郡与洛杉矶市宣步进入紧急状态。据当地官员介绍，当地一共出现了7例确诊的新冠肺炎病例。除了第一例已痊愈出院的来自武汉的游客，其余6例都是新增病例。目前洛杉矶郡并没有出现社区传播病例，新增的病例均来自已知感染源，包括3位近期一起到北意大利旅游的旅客。洛杉矶市长埃里克·加希提（EricGarcetti）呼吁居民做好抗疫准备，他表示，此次声明代表公共卫生风险正在上升，本周可能还会出现新的病例。截至目前为止，加州已有超过50人确诊新冠肺炎病毒。@中国日报网
我讨厌食物和男人,:我搞不懂意大利某些人这种为了自由不戴口罩甚至瞧不起戴口罩还打人的行为我觉得怎么像没有脑子一样啊我皱着眉头看他们的迷惑发言简直无法理解有的人你自己不带就算了死了拉倒你还不让别人带还打人我搞不懂自由跟口罩有什么必然联系吗？戴了口罩影响到你的自由了？就你那张脸能干什么罩着就没有了自由你可把你的脸看得太重要了意思不让你乱跑你非要自由天天跑传染了然后去自由的天国搞了半天崇尚的是这样的自由我真的迷惑行为我感觉有这种思想的人可能是中了邪教跟病毒玩儿自由你以为它跟你开玩笑呢简直2020最让我迷惑的行为我及其迷惑
温州818,:#温州身边事##温州爆料#【2020年3月5日温州市新型冠状病毒肺炎疫情通报】2020年3月4日0-24时，温州市无新增新型冠状病毒肺炎确诊病例，无新增死亡病例，新增出院病例12例。其中：新增出院病例中，鹿城区5例、龙湾区1例、乐清市3例、平阳县2例、泰顺县1例。截至3月4日24时，温州市累计报告新型冠状病毒肺炎确诊病例504例，现有重症病例1例，累计死亡1例，累计出院478例。其中：确诊病例中，鹿城区68例、龙湾区18例、瓯海区36例、洞头区5例、乐清市170例、瑞安市74例、永嘉县52例、文成县11例、平阳县30例、泰顺县20例、苍南县9例、龙港市9例、瓯江口产业集聚区1例、浙南产业集聚区1例；现有重症病例中，乐清市1例；死亡病例中，永嘉县1例；出院病例中，鹿城区65例、龙湾区18例、瓯海区35例、洞头区4例、乐清市162例、瑞安市74例、永嘉县48例、文成县9例、平阳县27例、泰顺县17例、苍南县9例、龙港市8例、瓯江口产业集聚区1例、浙南产业集聚区1例。目前，全市共追踪到密切接触者14628人，当日解除医学观察2人，累计解除医学观察14334人，尚有25人正在接受医学观察。另有丽水市青田县病例（意大利输入）密切接触者24人，正在接受医学观察。
染泽宇,:#中国境外新冠肺炎确诊12668例##意大利确诊病例升至3089例#
芳晶莲水晶阁,:#意大利确诊病例升至3089例##请国家做好境外输入防控措施#从境外回来的人，不管华人、华侨还是外国友人，都必须集中隔离14天，再居家隔离14天，控制反扑。如果不能接受配合的人，禁止其踏入中国领土。我们不能让冲在前面的英雄白白牺牲，不能让这两个月的努力功亏一篑，不能让民众因为厚此薄彼而寒心。
HR帝李晶V,:#共同战疫##北京#3月3日0时至24时，北京市新增3例新冠肺炎确诊病例，其中2例为境外输入病例（1例为伊朗输入病例，1例为意大利输入病例），1例为北京本地病例，均已送至定点医疗机构进行救治。报告新增疑似病例11例、密切接触者61人。治愈出院患者6例，分别从市区两级定点医院出院。其中有3名男性，3名女性，年龄最小的18岁，最大的60岁。截至3月3日24时，累计确诊病例417例，治愈出院病例294例，死亡病例8例。现有疑似病例38例。累计确定密切接触者2796人，其中309人尚在隔离医学观察中。确诊病例中：东城区13例、西城区53例朝阳区71例、海淀区63例丰台区43例、石景山区14例门头沟区3例、房山区16例通州区19例、顺义区10例昌平区29例、大兴区39例怀柔区7例、密云区7例延庆区1例，平谷区尚未有病例外地来京人员25例，境外输入人员4例。
宣汉县检察,:#新冠肺炎全球疫情形势#【欧盟机构发现首例，15名意大利游客在印度确诊……世界疫情持续蔓延】截至3月4日17时，韩国累计确诊超5500例，日本累计确诊超1000例；15名意大利游客在印度确诊。3日，世界卫生组织总干事谭德塞表示，过去24小时境外新增新冠确诊病例是中国的15倍。@央视新闻http://t.cn/A67Y8Dg0（重庆检察）
诚信广东,:【全球首例！#香港确诊狗感染病毒#】新冠肺炎确诊者周巧儿的爱犬，早前经香港渔农自然护理署两次病毒测试，发现其口腔及鼻腔样本呈弱阳性反应。4日，渔护署表示，有关结果显示这只狗已经低程度感染病毒，成为世界首例。头条日报网4日称，渔护署曾征询港大、城市大学及世界动物卫生组织专家的意见，他们一致认同有关结果显示这只狗已低程度感染有关病毒，并很可能是由人类传染的。目前，这只狗正在港珠澳大桥口岸动物居留所接受检疫。#全球首例狗确诊感染病毒##意大利确诊病例升至3089例#
京津高校新鲜事儿,:【疫情严重！#意大利决定关闭全国学校及大学#至3月中旬
tin酱酱,:#意大利确诊病例升至3089例#这速度好快呀！希望早日恢复正常生活。疫情早日结束！不要再蔓延下去了，赶紧采取防护措施！🙏#美疾控中心停止公布各州确诊数#感觉有点掩耳盗铃
伤寒经方传承,:【#两架载意大利华侨航班抵达杭州#咳嗽女童首次检测呈阴性】#周刊君与你共同战疫#3月3日晚，两架班机从北京首都国际机场飞抵杭州萧山国际机场，机上共有32名从意大利回国的华侨。其中，CA1706航班上有一名小女孩咳嗽3天，工作人员在机场对其进行了采样，并送疾控中心检测，同时将小女孩与其父亲送至萧山区第一人民医院。据当晚的值班医生介绍，0点37分左右，父女俩到达医院做了初步筛查。@中新视频http://t.cn/A67jzbDR
网络李捕头,:【疫情严重！#意大利决定关闭全国学校及大学#至3月中旬
老子去死行了吧,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
分形橙SF,:3月3日，摩洛哥卫生部长哈立德·艾特·塔莱布（KhalidAitTaleb）向媒体提供了有关摩洛哥首例确诊COVID-19患者的详细信息。感染者是一名39岁的摩洛哥男子，曾前往意大利贝加莫市，并于2月27日乘飞机返回摩洛哥。该名男子在飞行中接触了104人，包括机组人员。抵达摩洛哥后，他还与家人保持密切联系。在摩洛哥与他接触的大多数人都在卡萨布兰卡和杰迪代两个城市，但其中部分人曾到过瓦尔扎扎特等其他地区。经卫生部确认，所有接触者尚未表现出受感染的症状，均处于隔离中。所有接触者每天必须检测两次体温，并由专门的医疗团队负责监察健康状况。http://t.cn/Rqzqza3
染泽宇,:#意大利决定关闭全国学校及大学#早就应该这样啦，虽然晚点了，但钉钉和腾讯课堂有需要吗
大笑三声dx,:#意大利确诊病例升至3089例#前期恐怕太乐观了。德州
我叫李尚书,:#意大利确诊病例升至3089例#我反正出门没见有人带口罩为了反抗还要游行
郁方雅Arabela,:2011年MotoGP意大利站性感赛车小姐集锦。回复亮了：回复亮了：『同学也幽默』回复亮了延安·晶海酒店
英国购物折扣,【Marvis全线75折】囤货啦！全线25%OFF的Code：MKMYSTERY25，满50镑全球免邮，支持支付宝+中文地址！
魅力柘城,:【#意大利确诊病例升至3089例#死亡107例】据路透社消息，意大利官方表示，意大利新型冠状病毒肺炎确诊病例由2502例上升到3089例，死亡病例上升至107人。（海外网）
丢了科学的界外,「超人气10种意大利面做法，一周吃意大利面也不重样」ps：额在异国他乡流浪时最常做的就是火锅底料炒意大利面，也这么干过的小伙伴欢迎和我探讨一下
酱油油油油,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
胡茬糙汉里卡多,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
Liberation-sky,:#意大利确诊病例升至3089例#
王可人er,:面对疫情意大利人：没事这都是神的旨意室友葡萄牙人：政府肯定会解决这事的同学英国人：我看到有人戴口罩就想打他我：
筱·柒月,#意大利确诊病例升至3089例#希望能控制得住🙏#新冠病毒攻击中枢神经系统#好可怕
听海看烟花,:英国今天新增34例，出现人传人。病人，医生和家属，都确诊。大学生，小学生都有确诊。NHS一个医护人员，从意大利北部滑雪回来，确诊感染。我们今年的滑雪小分队，这下百分百就此解散了。
魏小清W,:#意大利确诊病例升至3089例#收拾行李了🧳回家意大利
雨宝粮仓,#意大利确诊病例升至3089例#生命安全都不能保障了还要自由，命都没了哪来的自由
晨风chm,:一位香港记者从英国伦敦到意大利，飞机上空荡荡的！
COO1KOKO,:#意大利确诊病例升至3089例#只能庆幸自己回国的早
啵啵奶瓶_,:#意大利决定关闭全国学校及大学#你们终于意识到事情的严重性了？？
理想生活实验室,:#Live!#因疫情影响，意大利宣布今天开始到4月3日前，意大利所有的体育比赛将空场进行（比如意甲）。
daiiichigo,:#意大利确诊病例升至3089例#现实只会更糟，非常多的人不检测，也根本没人戴口罩，这样的速度就是板上钉钉的事。加急买的口罩快到了，问Monica一家要不要。没要，“tesoro，我们这里还非常安静。”....
胡茬糙汉里卡多,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
健康使者李宇森,:【#意大利确诊病例升至3089例#死亡107例。据路透社消息，意大利官方表示，意大利新型冠状病毒肺炎确诊病例由2502例上升到3089例，死亡病例上升至107人。（海外网）
苗哥喝不醉_LG,:#新疆解封#哈密不是在等武汉最后一个病人出院我看你是准备等美国伊朗意大利的最后一个病人出院再隔离十四天。等通知等通知。等你🐴呢等。我把你当家你不把我当人
髪氪U,到底是我法语不好？还是他就是这个意思？我：？？？？？？？？
喜欢Leslie的李小瑶,:#意大利关闭全国学校#不知道阻断交通没有，欧洲人的性格，不晓得会不会趁这个时候到处浪，欧盟签貌似到哪里都挺方便
榴莲忘饭·Seven,:#意大利确诊病例升至3089例#这病毒传播速度增长有点迅速
Michikooooooooo,:我今天再一次给15打电话...过程大概是：第一个医生说你没有生病，你只是太紧张了，然后就给我转接第二个医生；第二个医生说我们不能给你检测，我们只能给从重灾区回来的人检测（我表示意大利疫情爆发的第一天就罗马就有三例确诊，医生说罗马那么大不会那么巧就感染你的）；然后莫名其妙转接到第三个医生，听完我的描述后她给了如下建议：1.自我隔离，不要去学校，因为你已经有相关症状了；2.不能给你检测，只能给意大利回来重灾区的人检测，而且重复了很多遍不可能给你检测；3.你可以去看自己的家庭医生（我表示我的医生是一位老人，我如果真的病了去诊所肯定会传染给他，对方说但是你没有别的选择啊）；4.让我每天吃4粒doliprane，连续吃一个礼拜（我说说明书上说每天最多吃三粒，最多连续吃三天，不然对身体有伤害，对方说没事的你可以按我说的吃）；5.我还问到了学校行政手续的问题，对方甩给我一个电话号码让我打这个电话，说他自己不负责学校手续的问题。然后就以一句“boncourage”挂了电话。我要是下一秒就死转接三个电话同样的问题描述三遍我早就翘辫子了好吗？？？？？？这种没有力气和他们撕的感觉很无助啊...我现在只希望平平安安真的很讨厌法国了
fiori花,:#意大利决定关闭全国学校及大学#
real-懵懵,:#意大利确诊病例升至3089例#哎都是前期不重视的结果确诊病例越来越多了赶紧口罩戴起来吧
蓝天_无垠,:#意大利确诊病例升至3089例#迄今为止，意大利这个国家在戴不戴口罩的问题上仍然没有达成共识，然而疫情可是不等人，北部继续恶化，中部南部沦陷愈发严重，全国学校停课也是无奈之举。意大利·罗马
三万七千六,:#意大利确诊病例升至3089例#囤了辛拉面和很多很多续命小饼干零食还够我苟活的所以美国什么时候停课什么时候有人带口罩什么时候取消大型集会活动
团团爱哭,意大利疫情爆发的如此迅猛，想必也与有这样的议员有关吧？竟然要关闭博物馆、剧院、学校，完全影响到哥看戏了，这完全是暴力行为，只要禁止中国人进入就足够了
猫的私生女,:#意大利决定关闭全国学校及大学#请意大利的华人华侨待在家里或者回国保护好自己当然回来请配合防疫工作
剪刀手艾德琪,意大利已经成为欧洲疫情风暴眼
尹略略略略略,:如今的意大利跟当初的武汉不一样吗
上帝塔罗,:意大利这个情况到底该不该回国啊…
张祺悦,:【#意大利确诊病例升至3089例#死亡107例】据路透社消息，意大利官方表示，意大利新型冠状病毒肺炎确诊病例由2502例上升到3089例，死亡病例上升至107人。（海外网）
地狱少女想有钱,#意大利决定关闭全国学校及大学#虽然晚了些，但是钉钉需要吗？
光头帮主,:【#德国累计确诊344例新冠肺炎病例#这是要接棒意大利的节奏啊
油腻小内八,【全球#战“疫”#|#意大利决定关闭全国学校及大学#】3月4日，意大利媒体报道称，意大利决定暂时关闭全国各地的学校和大学。该措施将于3月5日生效，持续到3月中旬。目前#意大利累计确诊新冠肺炎2502例#，其中死亡79例。病例席卷该国各大区，除一大区外都有了确诊病例。@世面世面的秒拍视频
i80286,:#意大利确诊病例升至3089例#呆梨是个神奇的国家，这是二战已经证明的了，但我依然喜欢这个国家。
Puzzled-Engineer,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
Mediterranean_Elf,:#意大利决定关闭全国学校及大学#政府长脑子不代表人民长脑子.真的不如不放.一听不上课要不去夜店蹦迪喝酒去了要不出去旅游去了.
茂茂环球行,意大利的病毒有一部分不是来自亚洲，而是和美国的毒源五大家族相吻合，而且一旦出现，疯狂剧增到法国德国西班牙还有英国.....大家发现没有，欧洲开始沦陷，而关键在于意大利病毒太厉害！但是西方就是西方，英国人没有看懂这一点，他们愚昧固执地认为病毒来自黄种人；英国人野蛮殴打新加坡人，边袭击边叫嚷“我不想你把新冠病毒带来我的国家！”，这是种族排斥，这样的行为比病毒更加毒！#意大利决定关闭全国学校及大学##英国再现集装箱藏人案#http://t.cn/A67jnziv
30岁老阿姨老母亲,:妈的，匈牙利这片净土今晚上红了，有确诊病例了，2个伊朗学生，2月22日回来的，结果3月4日被检测出阳性，12天。前两天有意大利过来旅游去布拉格的时候确诊。我跟老公说，她们在布达佩斯停留2晚，肯定有接触一些人，到时候又一堆确诊者，焦虑从1月底就没停过，储粮都储了2波了，现在都该开启第3波了，不怕别的，就怕传染到儿子，都已经开始考虑要不要不去幼儿园了。
稻城亚丁小田哥,:漫步在意大利风情小镇#随手拍#
土豆炖炖炖炖马铃薯,还记得上周有一位意大利歌手FrancescoFacchinetti帮助中国老人怒扇意大利种族歧视的年轻人吗？当他将此消息发送到社交媒体后，有很多人质疑他炒作，为了证明这位意大利正义的歌手是否是作秀博眼球，意大利一节目安排了一次观察测试，快来看看这位歌手是如何表现的把！BridgeSchool意桥语言中心的微博视频
想吃炸鸡烤肉煎鱿鱼,:美国只公布每个州有没有新增病例，英国每周公布一次患者的所在地，意大利只公布重症患者的数量。这就是所谓的发达国家？你们脑子被门挤了还是本来就没有啊？公知鼓吹的transparency&democracy就是一坨💩啊不好多坨…我真的很想阿中哥哥了，毕业立马回国！！
Mr仗剑,说国外的事情，也踩到曹林的尾巴了
