天厨星-林功宇,:《伊朗新增586例新冠肺炎确诊病例累计2922例》伊朗新增586例新冠肺炎确诊病例累计2922例http://t.cn/A67l8YH4
长安号官微,:#西安抗疫最前线##战疫情西安在行动#【陕西连续13日无新增！累计218例治愈出院】@健康陕西通报：2020年3月3日8时至4日8时，陕西无新增新冠肺炎确诊病例，新增疑似病例0例。截至3月4日8时，陕西累计报告新冠肺炎确诊病例245例（218例治愈出院，1例死亡），其中输入性病例116例，密切接触者114例，无明确接触史病例15例。累计确诊病例中，西安市120例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市15例、延安市8例、榆林市3例、汉中市26例、安康市26例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例0例。全省新增密切接触者1人（外省协查），累计18937人，均集中医学观察。新增解除密切接触者79人，累计解除密切接触者18388人。
大雅堂书画院,:#21数读##湖北除武汉外治愈率为76.8%#【零新增！5城清零，1城未感染，50秒速览广东疫情是如何演变的】广东“战疫”进行时，不全胜不收兵！截至3月3日，广东再次实现全省新冠肺炎确诊病例零增长，其中清远、河源、潮州、汕尾、揭阳5个地级市先后实现病例清零，且无死亡病例>O零新增！5城清零，50秒看懂广东“战疫”进行时#世家口腔#http://t.cn/A67WRb4g
长安号官微,:#西安抗疫最前线#【#成都连续12天0新增#】3月3日，成都市无新增新冠肺炎确诊病例。新增出院病例1人。截至3月3日24时，我市累计报告确诊病例143例，累计出院93人，死亡3人，其余47人（其中危重2人）均在定点医院隔离治疗，41名密切接触者正在接受医学观察。
内蒙古团委,:#战疫日志#【31省份治愈近5万火神山医院有个“专家突击队”】#关注新冠肺炎#截至3月4日0时，31份新增确诊119例，湖北外新增4例，累计治愈出院病例近50000例；中国境外确诊病例数超过1万，全球疫情防控趋紧。国家财政安排的疫情防控资金已超千万；广州拟推新规，严禁以“药膳”名义食用野味。在火神山医院，有一支成员大多超过50岁的“专家突击队”，有医术、有经验、有担当，他们都做了啥、说了啥？一起来看看。http://t.cn/A67OkhBA@中新视频
老兵87400,为什么有些人收到政府发布的#新冠肺炎#确诊病例信息总会晚一些些？那是因为政府正在给民众用软件翻译，完了还要校对......英文华文马来文淡米尔文个来一遍也不容易啊~#新加坡疫情##全球抗疫第一线#新加坡眼的微博视频
不好意思意思,【日本女志愿者援助巴勒斯坦遭当地人撕扯头发被骂“病毒”】由于日本的新冠疫情持续加剧，身在海外的日本人也受到了歧视。据NHK报道，3月1日中午，巴勒斯坦主要城市拉马拉的一条路上，一个非政府组织正在进行援助活动。期间，该组织的2名日本女性成员遭到路过的当地人的辱骂、撕扯头发，称她们是“新冠病毒”。1日晚，警方以涉嫌施暴的罪名，将打人者逮捕。日本驻巴勒斯坦大使馆透露，关于日本人遭到类似骚扰的投诉案件已经有10多起。截至日本当地时间3月4日9时，#日本累计确诊病例破千#。风视频http://t.cn/A67O9vAM
hyj999,【#美国纽约州确认首例人传人新冠肺炎病例#】#关注新冠肺炎#当地时间3月3日，美国纽约州州长科莫表示，一名居住在威彻斯特县并在曼哈顿工作的男子，成为纽约州第二例确诊新冠病毒感染者，这也是首例“社区传播”病例。对该男子初步审查后未发现其在疫情暴发时，有任何去中国或其他国家的旅行记录。其伴侣的测试结果仍在等待中。via央视新闻客户端
开封市西小阁幼儿园,【#28省区市新增病例为0#】3日0-24时，天津、河北、山西、辽宁、吉林、黑龙江、上海、江苏、浙江、安徽、福建、江西、山东、河南、湖南、广东、广西、海南、重庆、四川、贵州、云南、西藏、青海、新疆（含兵团）新增确诊病例为0。3日8时-4日8时，陕西新增确诊病例为0；2日20时-3日20时，甘肃新增确诊病例为0；3日8时-4日7时，内蒙古新增确诊病例为0。#疫情防控开封在行动##共同战疫##抗疫行动#（人民日报）http://t.cn/R2WxHAA
新浪资讯台,:【约翰逊演讲：#英国抗疫作战计划公布#】随着英国确诊病例不断飙升，首相鲍里斯·约翰逊昨日公布应对新冠病毒的作战行动计划，并现场发表演说：疫情极有可能在英国大面积爆发！最后一再反复强调——勤洗手，还亲自传授抗疫小贴士：热水洗手的时候，要唱两遍生日快乐歌！英国普罗派乐卫视的微博视频
蘑菇味的燈6raciesXM,:你们欧盟办公室都有确诊病例了，法国高官中招了，意大利都这么严重了，欧冠欧联不延期不说，哪儿来的信心欧洲杯可以如期举行
文兮爸爸,:无症状确诊病例，不计算在确诊病例中。中华文字博大精深啊👏👏
在釜山的cosmos吐槽小窝,:#韩国新冠肺炎确诊病例升至5621例#我已经从前几天的恐慌，变成了现在的超级淡定了
好运锦鲤故我在,国外抗疫情除了不准带口罩，戴口罩要医生开处方，带口罩不能参加会议，检测天价，等笑话，你知道还有哪些笑话？
Shmily00510,:陕西今日无新增新冠肺炎确诊病例累计218例治愈出院http://t.cn/A6701mkK
央视网快看,:#众志成城战疫情#【奋战40多天后安徽六安确诊病例全部清零】3日上午，在安徽六安市人民医院东院区，最后一批6例新冠肺炎确诊患者治愈出院。自1月20号接收首例确诊病人以来，六安市人民医院东院区200多名医务工作者坚守一线，奋战40多天，69例新冠肺炎患者全部治愈出院，确诊病例全部清零，是安徽省第二个清零的地市。@六安发布@六安市人民政府发布@六安同城#中国境外确诊病例超过1万##中国科研团队发现新冠病毒已突变#http://t.cn/A67lWjHR
魏氏思语,:(抗击新型肺炎)综合消息：10省份连续10天以上无新增确诊病例湖北消化存量任务依然艰巨中新社北京3月3日电中国国家卫健委3日通报，2日全国新增确诊病例125例(湖北114例)，新增死亡病例31例(湖北31例)，新增疑似病例129例，新增治愈出院病例2742例。截至2日24时，全国现有确诊病例30004例，累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例。累计收...http://t.cn/A67lWNXp
凤凰卫视欧洲台,:【外媒：特朗普捐10万美元薪酬应对新冠疫情】外媒称，新冠肺炎在美国的确诊病例持续增加，甚至可能出现社区感染。美国白宫当地时间3日宣布，美国总统特朗普将捐出其上季度的10万美元（约合69.6万元人民币）薪酬应对疫情。据新加坡《联合早报》3月4日报道，白宫新闻秘书格里沙姆3日表示：“特朗普总统把其2019年第四季度的薪酬捐给美国卫生及公共服务部，以支持遏制及抗击新冠病毒疫情。”报道称，特朗普上任后一直拒绝领取薪酬，过去也曾向不同政府部门捐出薪酬，包括国土安全部等，以履行其竞选承诺。
景雅Mandy,:丹东公布新增3例确诊病例行程轨迹丹东公布新增3例确诊病例行程轨迹
知你趣,:#韩国新冠肺炎确诊病例升至5621例#病毒的肆虐实在太可怕了
蘑菇味的燈6raciesXM,:你们欧盟办公室都有确诊病例了，法国高官中招了，意大利都这么严重了，欧冠欧联不延期不说，哪儿来的信心欧洲杯可以如期举行
文兮爸爸,:无症状确诊病例，不计算在确诊病例中。中华文字博大精深啊👏👏
罗卜不胖,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
在釜山的cosmos吐槽小窝,:#韩国新冠肺炎确诊病例升至5621例#我已经从前几天的恐慌，变成了现在的超级淡定了
央视网快看,:#众志成城战疫情#【奋战40多天后安徽六安确诊病例全部清零】3日上午，在安徽六安市人民医院东院区，最后一批6例新冠肺炎确诊患者治愈出院。自1月20号接收首例确诊病人以来，六安市人民医院东院区200多名医务工作者坚守一线，奋战40多天，69例新冠肺炎患者全部治愈出院，确诊病例全部清零，是安徽省第二个清零的地市。@六安发布@六安市人民政府发布@六安同城#中国境外确诊病例超过1万##中国科研团队发现新冠病毒已突变#http://t.cn/A67lWjHR
魏氏思语,:(抗击新型肺炎)综合消息：10省份连续10天以上无新增确诊病例湖北消化存量任务依然艰巨中新社北京3月3日电中国国家卫健委3日通报，2日全国新增确诊病例125例(湖北114例)，新增死亡病例31例(湖北31例)，新增疑似病例129例，新增治愈出院病例2742例。截至2日24时，全国现有确诊病例30004例，累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例。累计收...http://t.cn/A67lWNXp
千龙网中国首都网,:【免费！#韩国将向弱势群体发1.3亿只口罩#】3月3日韩联社报道，韩国政府将向弱势群体免费发放1.3亿只口罩，力争把全国口罩的日产量增至1400万只。截至4日16时，韩国新冠肺炎累计确诊病例达5621例。（视频来源：AP及网络）澎湃新闻的微博视频
养生经济,:#英国禁止两家公司口罩广告#《确诊病例高达40，英国做出最坏打算：接受死50万人，再建个太平间》而与此同时，英国方面也做出了最坏的打算：疫情暴发或封城，能接受最坏形式是50万人死亡，海德公园也可改为太平间。http://t.cn/A67lWhBP
容县反邪,【#韩国新冠肺炎确诊病例升至5621例#】韩国中央防疫对策本部4日下午通报，4日0-16时，韩国新增新冠肺炎确诊病例293例，累计确诊病例已升至5621例。（总台记者李大杰）
铁岭广播电视台,:截至3月4日17时我市无新增新型冠状病毒肺炎确诊病例铁岭广播电视台的微博视频
容县反邪,【#波兰出现首例新冠肺炎确诊病例#】当地时间3月4日早上，波兰卫生部长乌卡什·舒莫夫斯基召开新闻发布会，宣布波兰本土确诊首例新冠肺炎感染病例。该患者自称是一名医生，近期从德国返回波兰，目前正在接受治疗，据称其身体状况尚好。卫生部长表示，所有与该患者有密切接触的人都已隔离，呼吁民众不要恐慌。（总台记者徐明）
湖北卫视,:【最新！武汉各区累计确诊病例数公布】#关注新冠肺炎##武汉新增114例新冠肺炎##武汉累计治愈出院数超过现有确诊数#2020年3月3日0-24时，武汉市全市新增确诊病例114例，全市新增出院病例1859例，新增死亡病例31例，新增疑似病例43例。截至3月3日24时，全市累计报告确诊病例49540例。其中（大疫情网按行政区统计）：江岸区4347例、江汉区7333例、硚口区7271例、汉阳区3601例、武昌区8301例、青山区2980例、洪山区5090例、东西湖区2602例、蔡甸区1990例、江夏区1688例、黄陂区1780例、新洲区1023例、武汉开发区(汉南)1534例。累计治愈出院24890人，累计死亡2282人。全市现有确诊病例22368人（危重972人，重症4751人），现有疑似病例234例。3月2日18时至3月3日18时，全市发热门诊接诊1827人次，较上日减少386人次，其中首诊1050人。3月3日当日，全市核酸检测28637人。
长安号官微,:#西安抗疫最前线##全球抗疫第一线#【#中国境外累计确诊超1.2万例#】目前，新冠肺炎疫情仍在多国持续蔓延。截至北京时间4日10：00，中国境外累计确诊病例已超1.2万例。中国境外新增新冠肺炎患者80%来自于韩国、伊朗和意大利三个国家，3个国家确诊病例已合计过万。一图了解新冠肺炎世界疫情形势↓关注！@央视新闻
文官___,:#新浪看点#多国疫情加重！印度暴增7倍确诊病例，日本首相会议上咳嗽不止多国疫情加重！印度暴增7倍确诊病例，日本首相会议上咳嗽不止
中国周刊,:【#印度15名意大利游客确诊感染#在新德里隔离治疗】3月4日，印度政府称15名意大利游客确诊感染新冠肺炎，这些确诊游客被隔离在新德里。此前1名意大利游客确诊感染，随后其同团游客和司机接受检测并被隔离。目前印度已有25例确诊病例。@世面世面的秒拍视频
Daisy_淼,【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。青蜂侠Bee的秒拍视频
田薇_TianWei,:#薇赴思访#【专往疫区跑的那个老外说话了——早发现、早隔离、早治疗，各国赶快的！】全球疫情蔓延，中国以外新冠确诊病例早已超过一万。关键时刻，那个爱说大实话的世卫专家，终于有时间说话了！WHO新冠病毒赴华国际专家组组长、著名流行病学专家布鲁斯•艾尔沃德(BruceAylward)博士，周三接受了CGTN独家专访。在如何抑制中国之外的疫情这个问题上，他明确提醒：其他国家不必“从零开始”。中国此前采取的措施：早发现、早隔离、早治疗，相关国家视自己情况，尽快用到实处。回想起在武汉等地考察疫情的情形，他感叹：此次病毒传播的特点，决定了“速度”就是抗疫的关键@世界卫生组织@健康中国@丁香医生@CGTNhttp://t.cn/A67lOaGL
Fiona_2020,再有消息传来，伊朗第一副总统被确诊冠状病毒感染，但没有得到官方正式，伊朗政府好像设置有五位副总统。此外伊朗今天报告新增586例病例，是新增最多的一天，死亡新增15例，这使得确诊病例达到2922例，死亡总数92例。
健康夏津,:2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。来源:山东省卫健委(XJCDC)
金凤区民政局,:#阻击疫情银川在行动##抗击疫情宁夏有我#疑似转确诊！3月3日，宁夏新增1例确诊病例！疑似转确诊！3月3日，宁夏新增1例确诊病例！
青墨如丝映月光,:海外疫情最严重的韩国希望可以拿出有效的措施来控制增长，新冠病毒对全人类来说是一个考验，我们一定可以挺过去的。#韩国新冠肺炎确诊病例升至5621例#
净壹1970,:世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍#微博头条##新型冠状病毒##快讯##晚安#漯河
中国骑友网,:3月3日，根据阿联酋卫生和预防部门消息，有6例新增新冠状病毒阳性确诊病例。其中两名意大利人，两名俄罗斯人，一名德国人和一名哥伦比亚人。而根据最新的报导那个哥伦比亚人就是阿联酋车队冲刺手——加维里亚。目前确认患者都已经送医院治疗。
机智的小怪物,:瑞典确诊病例已经33例，民众和政府依然没有很重视，并不认为会易传染，反观国内同胞们自觉在家禁足、隔离，出外都戴口罩、消毒，还是觉得祖国更安全，好想能快点回国啊瑞典·林雪平
海外新冠疫情,:#日本疫情##全球疫情#名古屋炸了！日本爱知县名古屋市新增6人确诊，都是50～80多岁的。爱知县累计确诊病例47例。日本今天累计新增确诊病例22人。今天的名额应该用完了
长安号官微,:#西安抗疫最前线#【发布会丨严防境外输入疫情严重地区人员来西安需隔离观察14天】#战疫情西安在行动#西安市确诊病例已连续13天0增长，说明经过前一阶段共同努力，当前疫情防控形势积极向好态势正在拓展。市指挥部监督检查组副组长，市卫生健康委党委委员、副主任薛林莉在发布会上介绍，随着国内外疫情防控形势的变化，境外一些国家地区疫情形势不容乐观，目前从境外来西安市人员日益增多，外防输入的压力增大，对于从境外疫情严重国家地区来西安人员，采取集中隔离医学观察14天的办法，同时，严格实施分区分级、差异化精准防控措施，压实属地管理责任，确保工作不放松，疫情不反弹，打赢疫情防控阻击战。
许你十七,:#新浪看点#韩国确诊病例已破5000，文在寅被批束手无策，入境广东需自费隔离韩国确诊病例已破5000，文在寅被批束手无策，入境广东需自费隔离
河池学院,:#河池学院[超话]##河院新闻#都安，一个原本让人心安的名字，一个平淡无奇的山区小县城，自从1月29日出现首例新冠肺炎确诊病例之后，不断攀升的病例数让都安成为广西乃至全国人民牵挂的焦点。疫情发生后，全县人民迅速投入抗“疫”工作中，全区各地纷纷驰援都安，都安俨然变成了河池的“武汉”。http://t.cn/A67l0WBp
环球时报,:【#马来西亚累计确诊新冠肺炎50例#】当地时间4日下午，马来西亚卫生部总监召开记者会说，马来西亚新增14例新冠肺炎确诊病例，创下单日最高确诊病例纪录。新增的第37名患者至第50名患者当中，绝大部分都和第26名确诊患者有接触。目前马来西亚累计确诊病例50例，其中治愈出院22例。（央视）
英之cai,#抗疫最前线#【详情披露！从市八医院离开的杨某，曾潜入隔离病房偷手机！检测结果为阴性！】#FM962#2020年3月3日，嘉禾街派出所发布《紧急协查通告》称：“杨某曾密切接触过新冠肺炎确诊患者，今早从市八医院离开不知去向”，引起市民群众关注，现就有关情况说明如下：3月2日21:15分，社会人员杨某（女，22岁，无业）非法潜入我院嘉禾院区1号住院楼3楼隔离病区，偷窃住院患者手机1部后离开医院。患者发现自己手机不见后立即告知值班医护人员，我院医护人员第一时间向丢失财物患者了解情况并报警。嘉禾街派出所联合相关部门迅速展开调查并查阅视频监控发现：杨某于3月2日20：41从医院北门进入医院后，于21：15乘坐电梯抵达1号楼3楼隔离病区，随后进入隔离病区8号房，21：16离开8号房，21：38离开医院沿德兴路往南直行，途经市疾控中心南门外往东朝空港大道方向行走，走出监控范围，全程有戴口罩；3日15：24监控发现杨某独自一人在华英路一间废弃工厂一楼附近走动（该工厂位于医院东侧、距离医院约400米），穿着防护服的公安人员于16：54在该工厂四楼将其控制并由救护车带回我院隔离；当天21：30，医院采集其鼻、咽、肛拭子3份送市疾控新冠核酸检测，结果均为阴性。根据公安机关调查反映，杨某系贵州铜仁印江土家族苗族自治县人，有多起盗窃前科，从其身上搜出4部手机，其中1部为从医院8号病房盗窃所得（该病房住有一名67岁男性患者）。杨某潜入隔离病区并盗走新冠肺炎确诊病例手机，故判定其为密切接触者。目前在我院隔离留观。经公安机关初步询问及市、区疾控中心进行流行病学调查，目前暂未发现其离开医院后有与他人近距离接触的情况。广州市第八人民医院2020年3月4日来源：广州市第八人民医院全媒体记者：张婧
金凤区民政局,:#阻击疫情银川在行动##抗击疫情宁夏有我#疑似转确诊！3月3日，宁夏新增1例确诊病例！疑似转确诊！3月3日，宁夏新增1例确诊病例！
青墨如丝映月光,:海外疫情最严重的韩国希望可以拿出有效的措施来控制增长，新冠病毒对全人类来说是一个考验，我们一定可以挺过去的。#韩国新冠肺炎确诊病例升至5621例#
净壹1970,:世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍#微博头条##新型冠状病毒##快讯##晚安#漯河
中国骑友网,:3月3日，根据阿联酋卫生和预防部门消息，有6例新增新冠状病毒阳性确诊病例。其中两名意大利人，两名俄罗斯人，一名德国人和一名哥伦比亚人。而根据最新的报导那个哥伦比亚人就是阿联酋车队冲刺手——加维里亚。目前确认患者都已经送医院治疗。
机智的小怪物,:瑞典确诊病例已经33例，民众和政府依然没有很重视，并不认为会易传染，反观国内同胞们自觉在家禁足、隔离，出外都戴口罩、消毒，还是觉得祖国更安全，好想能快点回国啊瑞典·林雪平
长安号官微,:#西安抗疫最前线#【发布会|市卫健委：截至4日8时全市新增确诊病例0例】#战疫情西安在行动#今天下午，西安市新型冠状病毒感染的肺炎疫情联防联控工作第十九场新闻发布会召开，持续向社会各界通报我市联防联控工作开展情况。市卫健委：截至3月4日8时，全市累计确诊新冠肺炎病例120例，新增确诊病例0例，累计治愈出院104例，死亡1例。仍在各定点医院进行隔离救治15例（市八院2例、唐都医院10例、交大一附院3例），其中危重型患者5人，重型患者3人，其余患者病情平稳。
李留申i,:从宁夏发现第一个新冠肺炎输入病例后，浙江、广东、北京等地都报告了境外输入的确诊病例。另外海关给出的数据说，到3月4日零时，海关共排查出核酸阳性病例75例，疑似病例779例，另有带症状者6728人，仅3日当天就有227名带症状者。这些数据还是很有冲击力的。
许你十七,:#新浪看点#韩国确诊病例已破5000，文在寅被批束手无策，入境广东需自费隔离韩国确诊病例已破5000，文在寅被批束手无策，入境广东需自费隔离
河池学院,:#河池学院[超话]##河院新闻#都安，一个原本让人心安的名字，一个平淡无奇的山区小县城，自从1月29日出现首例新冠肺炎确诊病例之后，不断攀升的病例数让都安成为广西乃至全国人民牵挂的焦点。疫情发生后，全县人民迅速投入抗“疫”工作中，全区各地纷纷驰援都安，都安俨然变成了河池的“武汉”。http://t.cn/A67l0WBp
环球时报,:【#马来西亚累计确诊新冠肺炎50例#】当地时间4日下午，马来西亚卫生部总监召开记者会说，马来西亚新增14例新冠肺炎确诊病例，创下单日最高确诊病例纪录。新增的第37名患者至第50名患者当中，绝大部分都和第26名确诊患者有接触。目前马来西亚累计确诊病例50例，其中治愈出院22例。（央视）
网信牡丹江,:【黑龙江省疫情防控应急响应级别由一级调整为二级】根据黑龙江省疫情防控工作总体情况，经专家评估论证，3月4日上午召开的黑龙江省委常委会会议研究决定，将黑龙江省新冠肺炎疫情防控应急响应等级由重大突发公共卫生事件一级应急响应调整为二级应急响应。3月4日是黑龙江省启动突发公共卫生事件一级响应的第40天，疫情防控工作取得了阶段性成效，已经连续10天无新增确诊病例。全省现有确诊病例由480例下降为95例。接受医学观察人数由16224人下降为308人。佳木斯、伊春、大兴安岭三个市（地）现有病例清零，9个市连续14天以上没有新增确诊病例。按照国家分区分级疫情防控要求，截至目前，全省125个县（市、区）中，按风险等级划分，9个县（市、区）为中风险，其余116个县（市、区）均为低风险等级，全省已经没有高风险等级地区。截至3月2日，累计复工复产规模以上企业2404户，占规上企业总数的73.6%，没有发生疫情报告。来源：人民网
英之cai,#抗疫最前线#【详情披露！从市八医院离开的杨某，曾潜入隔离病房偷手机！检测结果为阴性！】#FM962#2020年3月3日，嘉禾街派出所发布《紧急协查通告》称：“杨某曾密切接触过新冠肺炎确诊患者，今早从市八医院离开不知去向”，引起市民群众关注，现就有关情况说明如下：3月2日21:15分，社会人员杨某（女，22岁，无业）非法潜入我院嘉禾院区1号住院楼3楼隔离病区，偷窃住院患者手机1部后离开医院。患者发现自己手机不见后立即告知值班医护人员，我院医护人员第一时间向丢失财物患者了解情况并报警。嘉禾街派出所联合相关部门迅速展开调查并查阅视频监控发现：杨某于3月2日20：41从医院北门进入医院后，于21：15乘坐电梯抵达1号楼3楼隔离病区，随后进入隔离病区8号房，21：16离开8号房，21：38离开医院沿德兴路往南直行，途经市疾控中心南门外往东朝空港大道方向行走，走出监控范围，全程有戴口罩；3日15：24监控发现杨某独自一人在华英路一间废弃工厂一楼附近走动（该工厂位于医院东侧、距离医院约400米），穿着防护服的公安人员于16：54在该工厂四楼将其控制并由救护车带回我院隔离；当天21：30，医院采集其鼻、咽、肛拭子3份送市疾控新冠核酸检测，结果均为阴性。根据公安机关调查反映，杨某系贵州铜仁印江土家族苗族自治县人，有多起盗窃前科，从其身上搜出4部手机，其中1部为从医院8号病房盗窃所得（该病房住有一名67岁男性患者）。杨某潜入隔离病区并盗走新冠肺炎确诊病例手机，故判定其为密切接触者。目前在我院隔离留观。经公安机关初步询问及市、区疾控中心进行流行病学调查，目前暂未发现其离开医院后有与他人近距离接触的情况。广州市第八人民医院2020年3月4日来源：广州市第八人民医院全媒体记者：张婧
zheng_晶,:权威发布|3月3日福建累计确诊病例296例，治愈出院261例权威发布|3月3日福建累计确诊病例296例，治愈出院261例
经济之声,:【#首尔拟吊销新天地教会法人执照#】截至当地时间4日16时，#韩国新冠肺炎确诊病例升至5621例#。在全部确诊感染者中，超半数感染者的流行病学调查都指向了大邱“新天地”教会所举行的宗教活动。韩国政府要求教会提供全部人员名单以进行排查时，“新天地”教会被指通过各种手段隐瞒真实情况。3日，首尔市政府表示，“新天地”教会相关做法有害公共利益，称将按照程序推进其法人执照的吊销工作。（via央视网）#最新疫情报道#
双鱼马宁,意大利现已成为新冠头号传播国，意大利人口虽然不算多，现在官方感染人数也不及中国和韩国，但该国对外输出病例率极高（30多个国家是因为与意大利的接触史出现新冠病例），几乎把整个欧洲传遍了，包括那些犄角旮旯的超级小国，欧洲以外的很多国家的最新感染人群，也是因为与意大利的接触史。这是因为意大利国内感染基数大呢，还是意大利人尤其喜欢旅行？而且，与对待中国和伊朗态度不同，大部分国家至今都没有对意大利采取人员限制措施，这也是其中原因之一吧。
随州市政府门户网站,:#遏制疫情蔓延随州在行动#全民动员织密防控网“名门雅居小区西边卡点工作到位，群众对值守人员服务满意；宝林路代购点主动为三名孤寡老人送菜上门……”这是广水市应山街道办事处东关社区党委书记卢秋莲3月2日的疫情防控日志内容。社区是疫情防控的第一道防线，面对突如其来的新冠肺炎疫情，该社区全面发动、全民动员，织密防控网络，全力以赴打好这场阻击战。一个党员就是一面旗帜，一个支部就是一座堡垒。为打赢这场疫情防控的人民战争，东关社区深入实施“红色引擎工程”，组织带领社区党员干部、入党积极分子冲锋在前，日夜奋战在抗疫一线。从1月23日开始，社区全体干部及网格员全力以赴入户抓摸排，几天时间摸排外出返乡人员1115人，其中，自武汉返乡人员627人，对他们每天坚持两次体温监测。对辖区内实际居住人口健康状况开展大排查，共排查12134人，做到全覆盖，不漏户、不漏人，排查出发热病人32人，第一时间联系医院对他们进行排查留观诊治。随着防控措施不断升级，保障群众正常生活成为社区工作的另一个重点。社区大力开展“亮身份、亮职责、亮承诺、亮工作”活动，将辖区内五个网格细分为29个区块，建立38个微信群，每个群里定专人统计测体温、定专人下单、定专人搞配送服务，不断完善配送服务网络，提高服务质量，为群众尽全力搞好购药、购买生活用品等服务。对不会使用智能手机的留守老人、残疾人和儿童上门服务，对群众提出的各种要求尽力帮助，及时解决群众生活困难，让群众安心待在家里。目前，已为群众代买6万余元的药品、配送20余万元的各类生活物资、代办燃气等各类服务2000余人次，较好地解决了群众外出购物扎堆、隔离难问题。网格员杨光、余云霄、郝健月等人孩子都很小，为了不影响工作，也为了孩子及家人的安全，自正月初三以来，一直吃住在社区，一日三餐靠泡面充饥。他们抓防控、保供应，组织50余名无职党员和群众志愿者积极参入疫情防控，动员人民群众守望相助、群防群治、共度时艰。党员干部冲锋在前，广大群众积极参与。低保户胡忠霞抱着一颗感恩的心，撇下家中两个年幼的孩子，每天步行一个多小时到社区守卡口、搞志愿服务，一直坚持至今一个多月，不叫苦不喊累。她还积极向党组织靠拢，多次向社区党委申请入党。她说，“在我最困难的时候，是党和政府及社区党员干部帮助了我，我想像他们一样，帮助更多的人”。“以前不敢出门，但又必须去超市买物资，现在好了，每天网上下单，社区干部直接送到家门口定点收取，看着社区干部每天忙碌的身影，真的非常感谢他们，在这么危险的时刻解决我们的难题！”社区居民李真说道。截至3月3日，该社区累计确诊新冠肺炎患者5例，已治愈3例，已连续16天没有新增确诊病例。
守护夏都,:#豫见真善美[超话]#【武汉，不能后退的理由】距离武汉封城，已经过去了40天。这40天，有人离世，有人痊愈，有人还在忍受病痛。有人日夜奋战在一线，有人匆匆奔波在路上。有人彻夜失眠，有人在凌晨四点做了一个重要的决定……这座城市付出了沉重的代价，也熬过了最艰难的时期。无数人的每一个瞬间，构成了武汉的40天。因这无数人的无数瞬间，一切在慢慢变好。这是武汉，不能后退的理由。#抗击疫情公安在行动##中国境外确诊病例超过1万#http://t.cn/A670sK2q
浙江在线,:#严防严控新冠肺炎#【第七版新冠肺炎诊疗方案发布】3日，第七版新冠肺炎诊疗方案指出：①在粪便及尿中可分离到新冠病毒，#应注意粪尿造成气溶胶或接触传播#；②尸检及病理观察显示：#新冠肺炎患者内脏多器官出现病变#；③确诊病例标准新增血清新冠病毒特异性IgM抗体和IgG抗体检测；④部分儿童病例仅表现为精神弱、呼吸急促...详戳↓via人民日报
菏泽日报,:菏泽战“疫”近50天！回眸那些“并肩战疫”的日子。#战疫你最美#渐暖的阳光捂热了迎面拂来的春风。3月2日，随着最后一名患者的治愈出院，菏泽市确诊的18例新冠肺炎病例实现了清零，赢来了连续20日无新增确诊病例，无疑似患者和医务人员感染发生的佳音。比对全省和周边地市疫情发展状况，菏泽疫情始终处于较低位水平，持续呈现积极向好姿态。这主要得益于市委、市政府见事早、行动快、抓得紧、防得牢、措施硬；得益于广大医务人员敬佑生命、守护健康、甘于奉献、大爱无疆；得益于全市各级联防联控、群防群治，众志成城打好了一场人民战争、总体战、阻击战http://t.cn/A67l0GNT
环球资讯广播,:#全球疫情速报#【德国几乎全境沦陷，累计确诊240例新冠肺炎病例】根据德国联邦疾病防控机构罗伯特·科赫研究所公布的最新数据，截至当地时间3月4日上午10时，德国累计确诊240例新冠肺炎病例。16个联邦州中的15个都已出现确诊病例，其中，仅西部的北莱茵—威斯特法伦州（北威州）就累计确诊111例。与此同时。该研究所3日还将德国新冠肺炎疫情风险等级从“低到中度”上调为“中度”。（总台记者阮佳闻）
