永州同城,:#永州身边事#【大爱
永靖检察,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。@央视新闻
肝胆外科罗大夫,:3月1日，安徽有一家公司因为复工防疫不到位，出现一例无症状感染者，而被责令停产。我们先弄明白，什么是无症状感染者？新型冠状病毒的“无症状感染者”指的是:有的人身上携带病毒，但是自己不发病，因为没有明显症状，比如发热、乏力等，但是做病毒核酸检测呈阳性的人。那么，这样的人有传染性吗？有，而且因为没有症状表现，周围的人们更容易放松警惕，所以要加强防范。而如何加强防范呢？我有以下几个建议：1、单位做好复工防疫，响应国家号召，加强防疫宣传。组织人员，做好统计，分批上岗，及时上报发热的员工。2.单位及时消毒公共区域，注意通风，并向政府申请口罩，让员工的口罩及时发放。3.单位应当尽可能开展线上工作、会议、业务，减少多人聚集的现象。4.每个人应当增强卫生意识，勤洗手，戴口罩，减少对手机的触碰，减少在公共区域的触摸，比如电梯按键、公共卫生间。5.大家尽量线上交流，避免办公室、饭堂扎堆吃饭及工作。人与人之间交谈，也建议最少相隔一米。6.回到家记得把鞋子和外套放在通风的地方，如果口罩需要二次使用，也请晾好，并且用酒精对手机屏幕进行消毒。#我的健康十八式##楚天有爱抗疫无界##健康中国2030#
布庶,:#布庶密切关注南朝鲜、日本等国家疫情防控#3月3日：（1）据南朝鲜卫生部门消息，当地时间3月3日0时至16时，南朝鲜共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅讲，现在南朝鲜全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。（2）据伊朗卫生部最新消息，伊朗新增新冠肺炎病例835例，新增死亡病例11例。截至当地时间3日中午，伊朗累计确诊新冠肺炎病例2336例，其中435例康复，77例死亡。（3）当地时间3月2日18时，意大利民防部门负责人安杰洛·博雷利在例行疫情通报中讲，意大利共累计确诊2036例新型冠状病毒感染肺炎病例。其中，现存病例1835例，累计死亡病例52例，累计治愈149例。（4）其他国家报告确诊新冠肺炎患者人数，日本279人（不含钻石号邮轮706人），法国191人，德国188人，西班牙129人，新加坡110人，美国105人等。（5）全世界人民团结起来，在全世界驱逐新冠病毒。
跳跳糖滴巴比,#财经每日必读[超话]#周一强势股接力赚钱效应70%预设周二持平或者向上👆，早盘重点观察成交量能否有效放大，明日重点观察新能源汽车/特斯拉/光伏、大金融（券商+金融科技）、华为科技（5G+半导体芯片+物联网）板块持续性；观察第一小时成交量能否达到1400亿、道恩股份/克劳斯、宏润建设、斯莱克、汉钟精机等作为板块情绪标杆观察即可，科创板重点观察有华润微、安博通、交控科技、优刻得等回踩后企稳的操机会；预设科技股和新能源可以反复做，主板短期震荡会加大、但预设周二强势股会分化、皮皮计划做1进2涨停板（****注意选择集合竞价高开带量（高于五日均量15%以上）重点操作，另关注再升、尚荣、模塑、旭升、气模转2、泰晶、晶瑞等转债套利机会、风险偏好低的同学请忽略；另外手中的持仓可以做T操作。点赞今日大赚、转发帐户长红
中原发布,:超1万人据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。2日16时至3日16时，共报新增确诊851人。另据消息，3日下午韩国大邱再报两例死亡病例，韩国累计死亡达31人。今天，全球除中国外，新冠肺炎确诊病例超过10000人。
最新疫情地图更新,:快讯！日本今日新增19例新冠肺炎病例，累计999例
FM963,:#日本累计确诊999例新冠肺炎#【快讯！日本今日新增19例新冠肺炎病例，累计999例】据日本共同社刚刚消息，日本国内3日新确诊19人感染新型冠状病毒，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人。大分县确诊首个病例。共同社称，日本各地方政府通报的新增感染人数分别为：北海道2人，东京都1人，神奈川县1人，爱知县9人，京都府1人，大阪府2人，兵库县2人，大分县1人。（环球时报）
钦州检察,:【#日本今日新增19例#新冠肺炎病例，#日本感染者累计999例#】据日本共同社刚刚消息，日本国内3日新确诊19人感染新型冠状病毒，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人。大分县确诊首个病例。共同社称，日本各地方政府通报的新增感染人数分别为：北海道2人，东京都1人，神奈川县1人，爱知县9人，京都府1人，大阪府2人，兵库县2人，大分县1人。http://t.cn/A67pLPYX
环球网,:【#日本今日新增19例#新冠肺炎病例，#日本感染者累计999例#】据日本共同社刚刚消息，日本国内3日新确诊19人感染新型冠状病毒，包括游轮“钻石公主”号乘客和船员在内的感染者累计增至999人。大分县确诊首个病例。共同社称，日本各地方政府通报的新增感染人数分别为：北海道2人，东京都1人，神奈川县1人，爱知县9人，京都府1人，大阪府2人，兵库县2人，大分县1人。http://t.cn/A67pLPYX
lesliesay,#财经每日必读[超话]#周一强势股接力赚钱效应70%预设周二持平或者向上👆，早盘重点观察成交量能否有效放大，明日重点观察新能源汽车/特斯拉/光伏、大金融（券商+金融科技）、华为科技（5G+半导体芯片+物联网）板块持续性；观察第一小时成交量能否达到1400亿、道恩股份/克劳斯、宏润建设、斯莱克、汉钟精机等作为板块情绪标杆观察即可，科创板重点观察有华润微、安博通、交控科技、优刻得等回踩后企稳的操机会；预设科技股和新能源可以反复做，主板短期震荡会加大、但预设周二强势股会分化、皮皮计划做1进2涨停板（****注意选择集合竞价高开带量（高于五日均量15%以上）重点操作，另关注再升、尚荣、模塑、旭升、气模转2、泰晶、晶瑞等转债套利机会、风险偏好低的同学请忽略；另外手中的持仓可以做T操作。点赞今日大赚、转发帐户长红
德国印象t,:时隔一天，柏林感染#新型冠状病毒#的人数已经上升到5位。
茶颜悦色,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。http://t.cn/A67p7Yn7
浔阳晚报,:【韩国女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3
濠镜翁,:【分析：统计显示日本新冠肺炎病例3成为集体感染】3日从共同社的统计中获悉，围绕新型冠状病毒肺炎疫情的扩大，日本国内被称为“聚集性发病”的集体感染已确认发生9起，与此相关的感染者达到80人以上。在都道府县通报的260名感染者中约占3成，以健身房、屋形船（有屋顶形船篷的游船）和展会等为中心出现众多患者，之后传染给医疗人员和家人的情况突出。http://t.cn/A67pvBe6
云南大学,:#小云分享[超话]##抗击疫情高校在行动#【众志成城抗击疫情：云大学子在行动】杨连斌，云南大学职业与继续教育学院2018级旅游管理专业本科生。作为一名入党积极分子，在这场给防疫工作中积极响应德宏州梁河县芒东镇清平委会清平村的防疫工作号召，主动申请加入由该村党员组成的护村队当中担任志愿者，协助该村护村队员开展防疫工作。单玉涛，云南大学职业与继续教育学院2018级汉语言文学（文秘教育）专业本科生。该同学积极参加返乡大学生青春志愿服务队，投身乡镇疫情防控工作。配合党员、村组干部，通过发放疫情防控宣传资料、轮班值守各村卡口点、劝诫不戴口罩和聚众村民、上门提供宣传解说等多种方式，共同参与全村战“疫”，把防疫工作“严”伸到村组各条巷道和家家户户，筑牢疫情联防联控青春垒。文宇倩，云南大学生态学与环境学院2019级本科生，从2020年1月25日大理州出现首例新型冠状病毒感染者开始，就主动加入了云南省大理市银苍社区抗击疫情的队伍。作为一名志愿者，她的主要任务是同社区工作人员进行入户宣传，发放宣传资料，遇到高龄老人时进行一对一的讲解;对社区管辖的酒店与客栈进行定期的安全排查；对公共厕所、城中村、各街道进行消毒。截止2月20日文宇倩跟随其他工作人员共计发出宣传资料1800余份，参与入户调查500余户，喷洒消毒水1.8吨。
加拿大乐活网,:#韩国“口罩荒“，首尔每人限购五只#3月3日，韩国首尔的百货商店外，人们排长队购买口罩。据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。
德国印象t,:自封为巫师的挪威公主玛莎·露易丝的黑人男友Durek，因擅自给#新型冠状病毒#的感染者开配方而引发专业人士的批评！
濮阳早报,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。（总台记者唐鑫）
采桑泱泱,:韩国新冠肺炎确诊病例总数升至5186人死亡31人据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。2日16时至3日16时24小时共报新增确诊851人。另据消息，3日下午韩国大邱再报两例死亡病例，韩国累计死亡达31人。
天使救援,:【速看！预防新型冠状病毒，你该选用哪种口罩？】飞沫传播，依靠的是感染者说话、咳嗽、打喷嚏所排出的分泌物和飞沫。它们会在空气中迅速蒸发变小成为干燥的飞沫核，包裹着冠状病毒在空气中漂荡，接触其他人的黏膜完成传播。能让我们有效防护的是一个再日常不过的东西——口罩。那么，面对新型冠状病毒，我们应该选用什么样的口罩呢？#抗疫一线#http://t.cn/A67NQ0Y6
安徽广播电视台,:【女子带娃乘电梯未戴口罩，与新冠患者待1分钟就被感染
察网,:#观风察俗#【疫情恐已在美流行六周，CDC承认误放感染者】特朗普对首例美国新型冠状病毒死亡患者的表态是，希望美国民众们不必过于惊慌。在发布会上，特朗普以及美国卫生与公共服务部部长亚历克斯·阿扎表示，美国可能会出现更多的冠状病毒病例，但对普通美国人来说，风险很低。特朗普对此解释说:“健康的人面对新冠病毒应该能够完全恢复。”阿扎补充说:“对于绝大多数感染这种新型冠状病毒的人来说，他们会出现轻微到中度的病症。他们的治疗方法是待在家里，像对待重感冒或流感那样对待自己的症状。”与特朗普在发布会上气定神闲不同。事实上，全美范围内关于新冠病毒的情况并不乐观。http://t.cn/A67N8OQD
中国军视网,:【速看！预防新型冠状病毒，你该选用哪种口罩？】飞沫传播，依靠的是感染者说话、咳嗽、打喷嚏所排出的分泌物和飞沫。它们会在空气中迅速蒸发变小成为干燥的飞沫核，包裹着冠状病毒在空气中漂荡，接触其他人的黏膜完成传播。能让我们有效防护的是一个再日常不过的东西——口罩。那么，面对新型冠状病毒，我们应该选用什么样的口罩呢？#抗疫一线#今晚21:20，请锁定国防军事频道《#军事科技#》http://t.cn/A67NQ0Y6
青年报,:【女子带娃乘电梯未戴口罩，与新冠患者待1分钟就被感染
紫扬剑的微博,【韩国24小时新增600例，累计4812例】韩国中央防疫对策本部当天上午通报称，截至3月3日0点，韩国累计确诊新冠病毒感染4812例，死亡29人。与3月2日0点相比，韩国24小时新增确诊600例。在新增的600例确诊病例中，有519例来自大邱，61例来自庆尚北道。韩国24小时新增600例，累计4812例
胜利小歌,:#韩国累计确诊新冠肺炎5186例#韩国疫情急剧扩散，据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。
苏菲-听雪,【为何欧洲国家仍不建议民众戴口罩？】英国NHS表示，口罩在医院等场所非常重要，但是几乎没有证据显示，用口罩遮住口鼻可以降低健康人感染新冠病毒的概率。因此那些已经有症状的人才需要佩戴口罩。法国卫生部建议，如果你曾在过去两周到过疫区，可以佩戴口罩。【深度】为何欧洲国家仍不建议民众戴口罩？
Pisigomet,:新型冠状病毒从哪里来？为何如此难以防控？会在感染者之间交叉传播，变异成更厉害的病毒吗？本文从病毒演化、毒力变化的角度给出了回答。传播力胜过SARS，需要担心新冠病毒变异吗？
876交通之声,:#武汉加油##全球抗疫第一线#【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入同传染病战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。via央视新闻
游侠Xiaopeng,:当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，#韩国累计确诊新冠肺炎5186例#，死亡29人，韩国总统文在寅宣布进入抗疫“战争阶段”——韩国5000万人就有5000人确诊，这疫情发展速度不是一般的快。不知其中集会感染的比例有多少？现在那些新天地教徒应该会害怕了吧？
深度思考与分析,:韩国面临大问题，太大意了，领导要担责。【#韩国累计确诊新冠肺炎5186例#，文在寅宣布进入抗疫“战争阶段”】央视新闻微博3月3日消息，据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在韩国全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。
直播遂宁,:【韩国累计确诊新冠肺炎5186例死亡29人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在韩国全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。（央视新闻）
山东卫视,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。（总台记者唐鑫）
偏财佳运,:《女子乘电梯未戴口罩与患者接触1分钟就被感染_手机新浪网》韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒……>>当时这名41岁的妇女带...女子乘电梯未戴口罩与患者接触1分钟就被感染
地瓜熊老六,:【#韩国累计确诊新冠肺炎5186例#，文在寅宣布进入抗疫“战争阶段”】当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在韩国全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。韩国5000万人，已经感染5000多人了……#韩国全国进入了同传染病的战争阶段#
马鞍山反邪教,:【#韩国累计确诊新冠肺炎5186例#，文在寅宣布进入抗疫“战争阶段”
工院记忆录,:答案是ABCD都选！新型冠状病毒的传播途径有哪些？说好的只有飞沫传播呢？飞沫传播是最主要的传播途径，但不是唯一的传播途径。根据国家卫建委绘制的《新型冠状病毒传播途径与预防指南》，病毒的传播途径主要包括：直接/气溶胶传播：吸入感染者咳嗽、喷嚏说话时喷出的飞沫，或者飞沫形成的气溶胶接触传播：飞沫沉积在物品表面（如桌子或门把手），之后再触摸口、鼻或眼睛此外，接近携带病毒的动物，食用未煮熟的带病肉类，也可以传播病毒现在大家对于直接传播和气溶胶传播都有了足够的认识，但很多人对接触传播依然警惕不足。最近广州首次在门把手上检测到新型冠状病毒，提醒大家一定记得勤洗手、多消毒。皮肤接触会传播病毒吗？不会。卫健委第四版新型肺炎诊疗方案提到了病毒的「接触传播」。病毒学话题优秀回答者表示，这里的「接触」是指接触口、鼻、眼睛等处的黏膜。除非皮破了，否则单纯的皮肤接触不会感染。粪便或下水道会传播病毒吗？有可能。新型肺炎患者粪便中检测到了病毒阳性，说明存在粪口传播的风险。食品科学话题优秀回答者提醒大家，一定记得勤洗手，马桶盖关上再冲水，并定期对卫生间地漏进行补水和消毒。外卖和快递会传播病毒吗？可能性不高，但仍需要注意防护。最近深圳一名外卖骑手被确诊为新型肺炎。之前科科的回答里也建议大家，戴好口罩去取外卖和快递，并建议用75%酒精喷洒外包装消毒。对于外卖，还建议，尽量选择大品牌、现做食物、无接触外卖，用餐前认真洗手，还可以重复加热消毒。病毒可能通过母婴垂直传播吗？尚不清楚。近日，武汉儿童医院确诊两例新生儿新型肺炎病例。回答说，暂时不清楚这两例新生儿是通过什么方式感染，但是，之前也有确诊孕妇顺利产下了健康婴儿的先例。以及，从目前的情况来看，即使孕妈妈感染了病毒，孩子依然是可以要的。待在家谁也不接触，会感染病毒吗？可能性很低很低。内蒙古报道了一例病例，据说没有外出，仅仅是楼下住着名患者就被感染了，让人不禁想起了2003年香港淘大花园的集体感染事件。但实际上，淘大花园事件存在一定的巧合性，内蒙古这名患者也只是没有去外地，但在本市有频繁的活动，绝非闭门不出。根据的建议，在家的时候多通风，注意个人卫生，按照上文多消毒下水道，是不太可能感染病毒的。这么多传播方式，那怎么保护自己呢？一句话就还是：勤通风，多洗手，讲卫生，常消毒，戴口罩，不扎堆。http://t.cn/A67qcAL5http://t.cn/A67qcAL5
在遂宁,:【韩国累计确诊新冠肺炎5186例死亡29人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在韩国全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。（央视新闻）
湖南交通频道官方微博,:【女子带娃乘电梯未戴口罩，与新冠患者待1分钟就被感染
大连晚报,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入同传染病战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。（央视新闻）
红网消费频道,:【女子带娃乘电梯未戴口罩，与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3http://t.cn/EhGn2gw
红网消费频道,:【女子带娃乘电梯未戴口罩，与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3http://t.cn/EhGn2gw
鲁山狼--,:据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。按韩国人口5000万计算，感染比例达到万分之一，而中国感染比例是万分之零点五。感染比例已经比中国高出一倍了，而且还在迅速扩散之中。
陕西都市快报,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入同传染病战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。via.央视新闻
交通954,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。（央视）
中国商网-中国商报,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。（央视）
都市时报,:【#韩国累计确诊新冠肺炎5186例#，文在寅宣布进入抗疫“战争阶段”】央视新闻微博3月3日消息，据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在韩国全国进入了同传染病的战争阶段，所有政府机构要启动24小时应急机制共同应对疫情。http://t.cn/A67NzFvW
扬子晚报,:【#韩国累计确诊新冠肺炎5186例#死亡29人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。@央视新闻
中国新闻周刊,:【#韩国累计确诊新冠肺炎5186例#死亡29人】#周刊君与你共同战疫#据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人，死亡29人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。
央视新闻,:【#韩国累计确诊新冠肺炎5186例#死亡31人】据韩国卫生部门消息，当地时间3月3日0时至16时，韩国共报确诊新增新型冠状病毒感染者374人，感染者总数升至5186人。截至目前，累计死亡31人。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#，所有政府机构要启动24小时应急机制共同应对疫情。（总台记者唐鑫）
宁国发布,:【3月3日宁国市新型冠状病毒肺炎疫情防控情况通报】　　截至3月2日24时，我市共报告确诊病例2例（治愈1例），无新增疑似病例、感染者报告；发热门诊就诊累计2503人（新增26人），留观36人（无新增），35人已出院（无新增）。确诊病例（李某某）目前病情平稳。　　截至3月2日24时，累计摸排湖北来（返）宁1238人（无新增），解除居家隔离医学观察1222人（无新增），集中隔离医学观察16人。自3月1日启动境外来返宁人员信息摸排，目前居家隔离医学观察18人，集中隔离医学观察3人。　　温馨提醒：　　疫情尚未结束，警报尚未解除，零增长不等于零风险。广大市民要自觉遵守有关规定，做到思想不麻痹、防疫不懈怠、防控不放松，勤洗手，戴口罩，少出门，不聚集，如有发热、咳嗽等症状，请及时到医疗机构发热门诊就诊。　　宁国市新型冠状病毒肺炎疫情防控　　应急指挥部办公室　　2020年3月3日
hyj999,:韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒
宁国传媒网,:【3月3日宁国市新型冠状病毒肺炎疫情防控情况通报】　　截至3月2日24时，我市共报告确诊病例2例（治愈1例），无新增疑似病例、感染者报告；发热门诊就诊累计2503人（新增26人），留观36人（无新增），35人已出院（无新增）。确诊病例（李某某）目前病情平稳。　　截至3月2日24时，累计摸排湖北来（返）宁1238人（无新增），解除居家隔离医学观察1222人（无新增），集中隔离医学观察16人。自3月1日启动境外来返宁人员信息摸排，目前居家隔离医学观察18人，集中隔离医学观察3人。　　温馨提醒：　　疫情尚未结束，警报尚未解除，零增长不等于零风险。广大市民要自觉遵守有关规定，做到思想不麻痹、防疫不懈怠、防控不放松，勤洗手，戴口罩，少出门，不聚集，如有发热、咳嗽等症状，请及时到医疗机构发热门诊就诊。　　宁国市新型冠状病毒肺炎疫情防控　　应急指挥部办公室　　2020年3月3日
散文岁月,:韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性---论口罩的重要性。
沈阳沈北公安,:【健康科普堂|孩子除了戴好口罩，还应做好这些防护】新型冠状病毒主要通过感染者咳嗽或打喷嚏时所产生的飞沫传播，以及通过"污染物"发生人际接触传播，比如接触到被病毒污染的物体表面。因此，除了让孩子学会正确配戴口罩以外，一定要教会孩子保持手卫生。洗手是预防传染病简便有效的措施之一。　　在以下情况下要让孩子勤洗手：　　◆手上有明显污迹时；　　◆吃饭前，包括吃零食前；　　◆上厕所后；　　◆玩耍后回到家；　　◆接触公共设施或物品后(如扶手、门柄、电梯按钮等)；　　◆戴口罩前及摘口罩后；　　◆接触过泪液、鼻涕、痰液和唾液后；　　◆咳嗽打喷嚏用手遮挡后；　　◆摸完动物后，包括家里的宠物；　　要用流动水和肥皂或洗手液规范洗手，每次不少于20秒。　　　此外家长还要做好以下防护：　　1.尽量减少孩子出门，尤其是公共场所和密闭的空间。如需要外出，要为孩子做好个人防护，尽量不乘坐公共交通工具，和其他人保持一定的距离，至少在一米以上。　　2.用餐时要注意，不跟孩子共用餐具；给孩子喂食，不要用嘴吹食物，也不要用嘴尝试食物，再喂给孩子，更不要用嘴咀嚼完食物再喂给孩子。　　3.孩子的物品，玩具和餐具要定期消毒。包括手机和钥匙。　　4.保障孩子的营养和睡眠，为孩子安排丰富有趣的家庭游戏和锻炼，提高儿童的身体抵抗力。　　5.家长要做到给家里定期通风，保持室内空气流动，一般每天要通风2-3次，每次通风15分钟以上，通风时要把孩子移出通风的房间，可以逐间房间进行通风。　　6.家长外出回来要把外面穿的衣服换掉，洗手后再抱孩子。和孩子玩耍和抱孩子之前一定要认真洗手保持手卫生。不要对着孩子打喷嚏、呼气。如果咳嗽和打喷嚏时，用纸巾或手臂捂住口鼻。勤洗手。　　7.家长要帮助孩子应对压力，倾听孩子的担忧并给他们更多的关注和爱。告诉孩子发生了什么，解释当前的情况，并用孩子可以理解的方式清楚地告诉他们，如何做可以降低被感染的风险。此外，还需要告诉他们有可能发生的情况。使儿童能够对未来有所预期，从而减轻心理压力。尽量让孩子与父母或家人在一起，避免孩子与监护人分开。（来源：市卫生健康委员会）
英国小队长,:【英国小队长News：据BBC报道，英首相鲍里斯称英国疫情有扩散可能，确诊数继续增多的可能性非常大！
济阳检察,:【韩国女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染
Martin_FJ,:【病例数破0！#印尼首次出现确诊病例#，曾与确诊日籍游客接触】印度尼西亚总统佐科2日表示，该国确诊2例新型冠状病毒感染者，系该国首次有本地人确诊。据悉，确诊的两名印尼患者曾与一名2月确诊的日籍游客有过接触。#清溪流泉#时差视频的微博视频
中国新闻周刊,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染
四川法治报,:【女子带娃乘电梯未戴口罩，新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3
四川工人日报,:【合肥一企业出现无症状感染者：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例新型冠状病毒无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。来源：http://t.cn/A67XeCIl
四川工人日报,:【合肥一企业出现无症状感染者：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例新型冠状病毒无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。来源：http://t.cn/A67XeCIl
