V1v1an-GAO,:同款你get了吗
吉林卫视,:#疫情联防联控实时播报#【吉林省0新增，治愈2例
门门何时头发能变长,:离学校开车不到10几分钟的地方确诊一例，貌似是从华盛顿旅游回北卡然后叭，美国政府也没把人家接到医院救治，目前好像就让人家自己在家里隔离
大江晚报,:#芜湖防疫直击#【3月5日芜湖市报告新冠肺炎疫情情况】根据省发布的最新疫情通告，2020年3月4日0-24时，全市新增确诊病例0例，新增疑似病例0例。截至3月4日24时，全市累计报告确诊病例34例，出院33例，无死亡病例。累计确诊病例中，无为市14例、芜湖县2例、南陵县3例、镜湖区6例、鸠江区1例、弋江区3例、经开区2例、湖北籍船员3例。累计医学观察密切接触者435人，已解除医学观察333人，尚有102人正在接受医学观察温馨提示当前，随着全省分区分级精准防控策略的实施，市疫情防控应急综合指挥部提醒广大市民朋友，当前疫情防控正处在最吃劲的关键阶段，千万不能松懈麻痹，仍需落实好各项防控措施，做到非必需不外出，确需外出应全程佩戴口罩，尽量不去人员密集场所，不聚集、不聚餐，勤洗手、讲卫生，一旦出现发热、干咳、乏力等健康异常症状应及时就医，坚决打赢疫情防控人民战争、总体战、阻击战。
永宁气象,:3月5日永宁县天气预报：预计今天上午:晴间多云，西南风3级，气温-0.8到15.2度。今天下午:晴转多云，西南风3级，气温15.2到9.8度。今天前半夜:多云，西北风2级，气温9.8到-0.9度。今天后半夜:多云，西北风2级，气温0.3到-1.0度。【健康防护指引】1.人多处，不要去。2.讲卫生，勤洗手。3.打喷嚏，捂口鼻。4.戴口罩，防飞沫。科学预防，不信谣不传谣！健康宁夏，我们一起守护！@永宁微博
黔西南高速交警四中队,:黔西南州公安局交警支队高速大队义龙片区天气阴，路面湿，通行正常，长耳营至马岭河大桥段属于事故多发路段，请保持车距，谨慎驾驶；早晚有雾，减速慢行。交警提示：雨雪凝冻天气，减速慢行，保持车距，开启雾灯行驶；高速行驶，注意横风，黔西南高速交警祝广大司乘人员旅途愉快。事故报警电话12328。面对疫情要做到：须警惕、莫轻视，少出门、不集聚，勤洗手、常通风，拒野味、管住嘴，戴口罩、讲卫生，有症状、早就医，不恐慌、不传谣。@黔西南高速交警
_-流留刘O,:#许凯[超话]#xk#许凯大唐女儿行#许凯：我想说在你生日的这天里，别忘记给阿姨说一声辛苦了啊，（我想你应该明白我的意思吧）[可爱]。还有开工了，注意身体啊！勤洗手，戴口罩，每天补充维生素C，多喝热水，只愿你能够平安，快乐，健康就足够了！至于空降，营业不要求，只要你好好的，开心就行了。最后生日快乐许凯@许凯soso视频来源于网络http://t.cn/A67Y8PIZ
白城卫生健康,:#情况通报##抗击新型肺炎我们在行动#白城市卫生健康委员会关于新型冠状病毒肺炎疫情情况的通报（2020年3月5日公布）来源：白城市卫生健康委员会官网2020年3月4日0-24时，吉林省白城市无新增新型冠状病毒肺炎确诊病例和疑似病例。截至3月4日24时，吉林省白城市累计报告新型冠状病毒肺炎确诊病例1例，危重型，现在吉林大学中日联谊医院治疗。近期正值复工返程高峰，人员流动性加大，广大群众应注意避免到人群密集场所，做好个人防护，勤洗手，戴口罩，少出门，勿聚集，保护好自己和家人的健康。　　提醒广大群众，如您是从疫情发生省份返回人员，应主动到当地社区(村屯）做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。
国米新鲜事,:国际米兰主席张康阳在接受BBC采访时对意大利和世界各国目前面临的微妙局势发表了评论。目前这种情况也将对足球本身产生不可避免的影响。“公共安全必须放在第一位，作为一家在全球拥有数以万计粉丝的足球俱乐部，我们有责任和义务传递正确的信息，并以正确的方式实施所有适当的预防措施。”“关起门来继续比赛是正确的事情，是正确的决定，这样人们就不会处于危险之中，由于各种原因，空场比赛一直无法实施，没有人愿意这样做，但最后，为了让比赛继续正常进行以及进行正常的活动，我们必须把公共安全放在首位，现在这是唯一可行的选择。”“作为一家足球俱乐部的老板和一个参与这些活动的组织的管理者，我不能接受一个将民众的安全置于危险之中的提议，这跟什么类型的比赛没有关系，不管是24小时还是48小时，我们都知道情况不会在这么短的时间内得到解决，正确的做法是拒绝这个建议，我必须做道德上正确的事，尽管要说“不”很难，但我们做出了正确的选择，现在人们意识到这是正确的。”“你只能在一个赛季结束的时候去评价它的好坏，总会有困难的时刻，但也会有美好的时刻，有起有落，这很正常，也是球迷们感兴趣的原因，与过去相比，我们确实进步了很多，我们的教练和球员付出了很多努力，每个人都承认并赞赏这一点，我们的球迷，甚至我们的竞争对手都看到了一支更强大的球队和一个更强大的组织，它正在成长中，但是我不担心空场会影响球队的表现，我担心的是在球迷面前举行这类活动会危及公共安全。”“人们不要惊慌，这很重要，感觉到很多人都在做正确的事情，比如勤洗手，这肯定有帮助，只有这样，我们才能把正在发生的一切抛诸脑后。”
Wcrackpot,:下班路上被老板疯狂灌输勤洗手比戴口罩有用多了的英式思维（我们这的通风状况可比教室里好多了）（口罩三四个小时就没啥作用了）（艾滋病不也传染的嘛新冠也不是握个手就会传染的病毒）身边还有怕到想立马买机票回国的同学害其实实在害怕呆在宿舍不出门就vans了在机场遇到病毒的概率怕是比在学校还要大回国隔离回来再隔离不都是呆在家里瘫着嘛封校停课啥的怕是近期等不到了我还是先思考下接下来的两周三个ddl该怎么度过叭
新欧洲战法,:【新冠流行不可避免】因为这是一种新型病毒。具有极强的传染性。我们没有疫苗，因此要保护好那些抵抗力较差的人群。当被问起【公共交通传染】的风险问题时。杰罗姆·所罗门表示：“只要勤洗手，并且做好预防工作，法国人有权利拥有正常的生活。”#法国疫情##法国那些事儿##法国新闻##海外抗疫日记#http://t.cn/RxDz82m
Mateoro,#朴灿烈[超话]##朴灿烈虎牙直播##朴灿烈studioNNG#【NNGㄴㄴㄱ】200305油管更新HandwashSonng@real__pcyyyyy洗手歌hhhh怎么这么可爱！又可爱又苏😭朴灿烈吧CHANBAR的微博视频
居一龙的小尾音,:害怕一醒来洛杉矶爆发六例加州死亡一例大家还不重视感觉裸露在病毒面前要是此刻是在国内就好了我绝对能超额做到国家的不出门勤洗手指令
Star天外飞星,同样是大熊猫，怎么你就……
-小辣鸡Croco-,#分享迷惑#
山本宽窄,朋友圈里看到的图各国面对新冠肺炎三连笑死我了，好真实（幽默一下，别上纲上线的）#全球疫情##全球抗疫第一线##海外抗疫日记#法国
_小芳啊_,:鲍里斯·约翰逊给英国国民提建议，要勤洗手，洗手的时间要能唱完两遍生日快乐歌
图的一只傻猫,:这是我们坚持对方是智障的原因看后的结论是：手接触了公共场合的任何物体后都不要揉眼睛或鼻子，也不要挠头和脸，不然会导致病毒从眼、口、鼻入侵。（勤洗手很重要。）图的一只傻猫的微博视频
融湖2007,#全球疫情#洗手🈶多重要，看看沙特卫生部发的一个视频，一目了然，预防传染#工作##新冠病毒攻击中枢神经系统#寰亚SYHP的微博视频
七季丘,#综艺宅急送##别人家的网课老师们#回课...郑棋元的微博视频
思考的酋长,:英国式任性#英国留学#英国新冠病毒确诊病例数一天增加36例，飙升到了87例。但英国专家的建议还是“勤洗手，咳嗽时用纸巾，避免用手接触面部”，就是坚决不建议戴口罩！
iiYeex,:#英国将新冠肺炎列为法定传染病#刚刚我们学校开会还说大家不要戴口罩哦勤洗手唱两遍生日歌可以解决一切问题
pepperqiu,:#朴灿烈[超话]#飘飘老师温馨提示:勤洗手勤消毒(给你点赞
Yestelfa110684-,#强仁[超话]#200304友人ins更新强仁相关
L栩z925,:宁有事吗？现在是凌晨3点半，你给我发这个干什么！！！而且我这个卡已经停机了喂？一天几十条勤洗手短信就算了，大半夜的你在搞屁吃吗@中国联通@广西联通
黄政v,:不聚会，少出门，勤洗手，戴口罩！我正在使用“戴口罩”#微博头像挂件#，共同抗疫从戴好口罩开始，你也快带上吧！头像挂件：戴口罩
其实是三明治馅,:因为还不能确定肺炎能通过什么方式人传人，所以还是勤洗手就好了呢🙃
静候旭音,#强仁[超话]#200304友人ins更新强仁相关
小瘸子O__O,:经过又一次交流我终于明白他们是怎么想的了。因为新冠病毒如今致死率很低，尤其是对年轻人，又因为流感的致死率更高。而两者感染人的概率差不了太多。总结，流感大家也没做什么，所以新冠病毒也不需要特别做什么。总结，勤洗手就好了。
Encounter-pcy,#朴灿烈[超话]##朴灿烈虎牙直播##朴灿烈studioNNG#【NNGㄴㄴㄱ】200305油管更新HandwashSonng@real__pcyyyyy洗手歌hhhh怎么这么可爱！又可爱又苏😭朴灿烈吧CHANBAR的微博视频
Dulceta_61,#朴灿烈[超话]##朴灿烈虎牙直播##朴灿烈studioNNG#【NNGㄴㄴㄱ】200305油管更新HandwashSonng@real__pcyyyyy洗手歌hhhh怎么这么可爱！又可爱又苏😭朴灿烈吧CHANBAR的微博视频
混元谟琦珠,:#新冠病毒攻击中枢神经系统#新冠病毒攻击中枢神经系统！所以
lili我的私家花园,:我国：戴口罩戴口罩少出门少聚集！英国：不用带口罩勤洗手就行
Aki-兔子,:#19天##莫关山#莫仔教大家正确洗手方式勤洗手多通风
闪光蔓越莓,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
Golsion,#全球疫情#洗手🈶多重要，看看沙特卫生部发的一个视频，一目了然，预防传染#工作##新冠病毒攻击中枢神经系统#寰亚SYHP的微博视频
红子红子红子,#英国将新冠肺炎列为法定传染病#都重视起来吧戴口罩勤洗手注意安全
木缘风落,:#大富翁10[超话]#打开推就都是洗手，鲍里斯洗手。你只要勤洗手就不会感染。就是不让戴口罩！也买不到口罩！
corrine碎碎念,#英国将新冠肺炎列为法定传染病#都重视起来吧戴口罩勤洗手注意安全
杜宁nutty,:勤洗手
我是一只花盆,:#王一博为你守护#wyb#王一博舒肤佳品牌全线代言人#勤洗手，爱干净，盲盒在手心想事成！@UNIQ-王一博@舒肤佳Safeguard
牛油果味啵馅海洋派,#朴灿烈[超话]##朴灿烈虎牙直播##朴灿烈studioNNG#【NNGㄴㄴㄱ】200305油管更新HandwashSonng@real__pcyyyyy洗手歌hhhh怎么这么可爱！又可爱又苏😭朴灿烈吧CHANBAR的微博视频
·柚梨·,#朴灿烈[超话]##朴灿烈虎牙直播##朴灿烈studioNNG#【NNGㄴㄴㄱ】200305油管更新HandwashSonng@real__pcyyyyy洗手歌hhhh怎么这么可爱！又可爱又苏😭朴灿烈吧CHANBAR的微博视频
啵啵奶瓶_,#朴灿烈[超话]##朴灿烈虎牙直播##朴灿烈studioNNG#【NNGㄴㄴㄱ】200305油管更新HandwashSonng@real__pcyyyyy洗手歌hhhh怎么这么可爱！又可爱又苏😭朴灿烈吧CHANBAR的微博视频
罗罗诺亚罗罗亚,200305HandwashSonngps:손씻을때이노래와함께하세요!Bewiththissongwhenyouwashyourhands!*댓글에NNG여러분의많은에피소드를나누미해주세요!시청해주셔서감사합니다.*PostmanyepisodesofNNGsubscribersinthecomments!阿山成长日记的微博视频
Sugary_灿白甜蜜站,:#朴灿烈[超话]##CHANYEOL[超话]#【studio.nng】200305NNGㄴㄴㄱ灿烈工作室油管更新视频一则【http://t.cn/A67jge7H】标题【洗手歌】好可爱[羞嗒嗒]大家要勤洗手哦正文【洗手的时候听这首歌吧！请在评论区多多分享NNG订阅者们吧！感谢大家的支持和评论也请继续期待即将发生的事件和剪辑】翻译by🍒http://t.cn/A67jFacv
Lucy_intheSkywithDiamonds,:我有个朋友有免疫系统的疾病，时不时得输血，她今天跟我说她的家庭医生跟她说不要戴口罩，没有用，只要勤洗手就可以。我现在非常困惑，戴口罩到底有用吗？
puzzlehui,:#华晨宇[超话]##华晨宇代言六神#@六神官方微博买点洗手液！！！特殊时期勤洗手！！！！
加州伯克利CSSA,:昨天一名伯克利市居民被确诊患有新型冠状肺炎。虽然校方表示这例确诊病人与伯克利校园并没有接触和来往，但是毕竟学校是人员密集地区，我们还是建议大家做好合适的预防措施。不论周围的同学们对新冠重视程度如何，希望大家都戴好口罩。勤洗手，重消毒，不用太过于慌张，理性应对，合理安排接下来的生活节奏，准备相应的物资。
我是蹄朝西,:城市套路深，我要回农村。打榜套路少，效果非常好！快来#亚洲新歌榜#为@卡布叻_周深的新歌无问(歌手当打之年)打榜吧！#武汉加油共渡难关#请大家戴口罩，勤洗手，少去人群聚集处。祝福武汉人民，我们携手共进，共渡难关！
CantletUgo,:我坚信疫情期间备好粮囤好货少出门勤洗手出门时戴口罩只要你不上前惹祸祸就不会来找你特殊时期大家都得注意安全不要以为病毒离我们很远其实就在身边防护措施请每个人都做好大家在房间里闷一闷病毒也就都闷死了都平安
夏克同学你家长来下学校,@R1SE官博#我想和你#与太阳竞跑，和时间作对。#我关注我行动##R1SE[超话]#
路人暖芋,中等疫情城市避病需知有传入但确认人数两位数城市1、戴口罩出门。2、不去人群聚集地，如电影院。尽最大努力不坐地铁、公共汽车。3、菜市场表面人不多，其实卖菜的就是病毒搜集器。注意保持距离2米左右。4、只要听到有人打喷嚏，立即撤离。喷嚏的有效传播距离较远，病毒数量较多，防不胜防。5、尽量跟外人保持2米距离说话。6、家人每天早晚各量一次体温，非接触式体温计，必须。否则也是交叉感染。7、口罩即用即抛最好。多次性需要进门就消毒。无论哪种口罩，摘口罩的手必须在洗衣液中全部浸入，浸泡30秒以上。不要用另外一只手去搓。在浸泡前、严禁用摘口罩的手擦脸、挠痒痒。用另外一只手。8、非常时期，婉拒、谢绝串门、亲友来访。9、对孩子、老人，重点盯防！10、如有条件，回家摘口罩并消毒过摘口罩的手之后，立即用60度热水洗脸，用洗脸液或消毒肥皂洗。热水浸脸30秒以上。
餘栗,:#英国将新冠肺炎列为法定传染病#都重视起来吧戴口罩勤洗手注意安全
恋k日記,:#新冠病毒攻击中枢神经系统#有被吓到，这病毒咋这么厉害，疫情没结束大家还是要注意点，戴好口罩，勤洗手
FamiglistimoYIBO,:#英国将新冠肺炎列为法定传染病#一定要重视，严控！提醒：一定要做好防护措施，少出门，少聚集，勤洗手，多通风，戴口罩！加油！加油(ง•̀_•́)ง
斗地主48级,200305HandwashSonngps:손씻을때이노래와함께하세요!Bewiththissongwhenyouwashyourhands!*댓글에NNG여러분의많은에피소드를나누미해주세요!시청해주셔서감사합니다.*PostmanyepisodesofNNGsubscribersinthecomments!阿山成长日记的微博视频
钟爱暖哇-红色手套,久不见好想念，今晚#漫游记#和你云相见
钟爱暖哇-红色手套,久不见好想念，今晚#漫游记#和你云相见
河边麻友,:我真就纳了闷了明明是同一种病同样的传播途径怎么到英国就戴口罩没用了只有勤洗手才有用呢？？还不准任何有关戴口罩的广告出现什么毛病啊？？看不到人数的激增是吗？准备跳过预防治疗直接建太平间是吗？？这就是所谓高级成熟的医疗系统
德怀特霍华德图集,:前美国总统奥巴马发推表示：使用常识性预防措施保护自己和社区免受新冠病毒侵害：勤洗手，生病时在家听取卫生部人员意见，保留口罩给医护人员。让我们保持冷静，听取专家建议，并相信科学#我要记住你的样子#
郭田葰,:「抗疫行動之家居防疫小貼士」家裏有什麼是最骯髒的呢🤔？等Dr.Marcus郭醫生告訴大家！Dr.Marcus在日常生活中怎樣保護自己和家人避免中招的呢？Dr.Marcushealthtips🩺#防範新冠狀病毒##關心身邊人##家居清潔小貼士##洗手要正確##勤洗手##handhygiene##mask##DrMarcus##郭家醫療##healthtips##齊抗疫#http://t.cn/A67jr3Ky
神一般的暖心男,久不见好想念，今晚#漫游记#和你云相见
为爱博此一生eb,:#王一博舒肤佳品牌全线代言人#😘#王一博舒肤佳为你守护#和代言人@UNIQ-王一博一起做公益每天勤洗手，多洗澡，让自己变得更加美丽。晚安，香皂精@舒肤佳Safeguard
喜欢欣赏痴迷,久不见好想念，今晚#漫游记#和你云相见
喜欢欣赏痴迷,久不见好想念，今晚#漫游记#和你云相见
言言妈妈,#面对新型肺炎这样保护自己#出门戴口罩，回家勤洗手，少去人群密集处！答答星球和@科普中国一起发布了一套科学防疫题，科普关于预防病毒的误区和盲点。大家都要平平安安回家，健健康康归来！
为爱博此一生eb,:#王一博舒肤佳品牌全线代言人#😘#王一博舒肤佳为你守护#和代言人@UNIQ-王一博一起做公益每天勤洗手，多洗澡，让自己变得更加美丽。晚安，香皂精@舒肤佳Safeguard
seaseabada,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
糖小意的三岁半,#陪你上班平安复工#二月二，又到簪花迎富时。这一周，平安依然是主旋律。今天由我们的明星发起人@唐嫣提醒你，工作期间勤洗手，外套尽量分区挂。如担心外套可能被污染，首选高温物理消毒。严格防护，平安复工，定不负春光!🌸🌸🌸拍下#我的上班路#，打卡@时尚COSMO吧~
蕾拉要去尼泊尔,:德国人是真听话说勤洗手，洗手液几乎是抢光光了说戴口罩没用超市商店街道上一个戴口罩的都没有昨天的数据全得240例我们优秀的北威州就占了111我今年就毕业了啊好不容易熬到只剩下6个月了这是要闹哪样#德国疫情#
NBA精选TOP,:#我爱体育2020#已经躺了7天了、只通知了勤洗手，啥时候洗头也没通知，俺也不敢洗，怕违反了规定
赵子云龙913,:#意大利决定关闭全国学校及大学#1.口罩够不够，货源从哪里来2.检测剂够不够，中国领制3.大专院校放假宅起来，先保护孩子4.疑似病人排查完了没有5.戴口罩、勤洗手、勤通风、多喝水6.社区进出人员测体温登记7.健康码是否有，支付宝上申请注册8.减少控制大型活动9.保障生活物资供应10.中国是全世界紧缺物资供应国。抄送全世界遵照执行，病毒无国界，我们的经验就是你们的范本，日月同天。http://t.cn/R2WxQdu
地球人的审美,:#王一博舒肤佳品牌全线代言人#勤洗手～～～@舒肤佳Safeguard
G永不放弃,:不聚会，少出门，勤洗手，戴口罩！我正在使用“戴口罩”#微博头像挂件#，共同抗疫从戴好口罩开始，你也快带上吧！头像挂件：戴口罩
陳亮奕軻奕夢,:分享@-靳梦佳的@绿洲动态：#2020好起来#「勤洗手，不聚集，只来天台透口气！」绿洲
就想赖着你1314A,:分享@邓伦的@绿洲动态：#全民口罩行动#「#抗击新型肺炎我们在行动#」戴口罩、勤洗手、少聚集，勤消毒，不信谣不...绿洲
柠檬申先森,:#年轻人不要总熬夜#勤洗手、戴口罩、少扎堆！在评论里互道一句晚安吧
魏森I禾膳电商,河南收尾中，按照这个速度预计一周内结束。希望3月1日能出门看看已经到来的春天
新天地的小窝,:#战疫打卡行动##抗击新型肺炎我们在行动##武汉加油#我已打卡25天，面对疫情我承诺：耐心等，坚持住，戴口罩，勤洗手。以实际行动表达战疫态度！相信有你我的坚持，武汉不孤单，中国一定赢！
偏爱玫瑰与你,:#痞子福克斯[超话]#听老福的话！戴口罩勤洗手[good]勤通fen
妍仔_,:抽娃的手：🤲🏻要钱的手：🤲🏻花钱的手：🤲🏻要勤洗手：🤲🏻这个emoji哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
会飞的酒杯,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
jos爹,:#且听凤鸣[超话]##全民洗手舞#以前的广告推广#乐事品牌代言人杨超越#[爱你]杨超越ycy都要勤洗手，保健康喔！！#杨超越代言七度空间space7#
嗦哆哆哆,#亲肤无刺激，守护有孩家庭健康防线#健康防护千万条，居家洁净第一条！好爸爸除菌产品亲肤又安心，除菌率高达99.9%，全家衣物安心洗，点此速gethttp://t.cn/A67CKxnX此次好爸爸更是携手众多蓝V小卫士倡导：全面做好家居除菌亲肤工作，合力筑起家庭健康防线。关注+转发，并@一位好友关注，说说你的健康小妙招，3月11日抽一位小可爱及TA的好友送【好爸爸亲肤除菌大礼包】！
