闻且如是_,#HereatAWS#
西宁晚报官方微博,:【省纪委通报4起违反新冠肺炎防控处置工作纪律问题】本报讯（记者宁亚琴）新冠肺炎疫情发生以来，全省各级党组织和广大党员、干部牢记初心使命、忠诚履职尽责，舍小家、为大家，在疫情防控工作中冲锋在一线、奋斗在前沿，赢得了广大群众的满意和点赞，但也有个别党员、干部大局意识和全局观念不强，违反防疫工作纪律。日前，省纪委将4起问题通报如下。省市场监督管理局价格监督检查与反垄断局干部李传明、薛少华、班玛才让在疫情防控期间拒不配合小区防控工作的问题。2月10日，省市场监督管理局价格监督检查与反垄断局干部李传明、薛少华、班玛才让在疫情防控期间聚集饮酒，薛少华、班玛才让在酒后未佩戴口罩的情况下与小区工作人员发生争执，并在公安机关处置过程中态度恶劣，多次阻碍民警执法，造成不良影响。班玛才让、薛少华受到行政拘留处罚，李传明、薛少华受到党内严重警告、政务撤职处分并调离执法岗位；班玛才让受到政务撤职处分。西宁市湟中区李家山镇党委、政府落实疫情防控措施不力的问题。1月19日、25日，湟中区李家山镇及汉水沟村工作人员先后两次在对武汉返村人员疫情排查工作中，都未能及时发现最终被确诊为新冠肺炎患者苟某从武汉回村的情况，造成重大风险隐患。湟中区李家山镇党委、政府作为乡镇疫情防控的主体，排查工作不深不细，被通报批评。李家山镇党委书记杜军、镇长纳兴仓受到党内警告处分，副镇长马艳萍受到党内严重警告处分；汉水沟村党支部书记周文、村委会主任马永虎受到党内警告处分。海西蒙古族藏族自治州都兰县信访局借调干部才让加在疫情防控期间违规聚集饮酒、强闯小区疫情防控值守点问题。2月11日，都兰县信访局借调干部才让加在疫情防控期间，前往县政府办公室司机靳宝家中聚集饮酒，且在未佩戴口罩的情况下，酒后驾驶私家车回家途中强闯小区疫情防控值守点，谩骂值守点工作人员。才让加受到行政拘留、暂扣机动车驾驶证和罚款处罚，受到留党察看两年、政务撤职处分；靳宝受到政务警告处分。果洛藏族自治州玛沁县大武镇团结路北社区值班人员仁青才让、那赛卓玛、确杰在疫情防控工作中弄虚作假的问题。1月27日，玛沁县大武镇团结路北社区值班人员仁青才让、那赛卓玛、确杰三人对疫情防控工作认识不足，谎称开展了入户调查，并提供虚假工作台账。仁青才让、那赛卓玛受到党内警告处分，确杰被通报批评。以上4起问题中，有的党员、干部在防控工作期间落实防控措施不到位、不全面，有的聚众聚餐，还有的不配合卡点正常检查，这充分表明个别党员、干部纪律规矩意识淡薄，对疫情防控工作认识不清、措施落实不力。各级党组织既要不折不扣落实落细防控工作的各项要求部署，又要严格监督管理党员、干部，对苗头性倾向性问题早打招呼、早提醒，坚决防止形式主义、官僚主义。各级纪检监察机关要强化政治监督，在同级党委的统一领导、统一指挥、统一安排下，科学精准稳慎有效实施监督，精准执纪执法，为打赢疫情防控的人民战争、总体战、阻击战提供监督保障。http://t.cn/A6h3DmRs
民建星火论坛,:发布了头条文章：《今日话题｜专访交通部吴春耕、商务部刘艳萍》今日话题｜专访交通部吴春耕、商务部刘艳萍
阳江新闻NEWS,:#阳江：防控新型冠状病毒感染肺炎##抗击新型肺炎我们在行动#【90后护士瞒着家人出征只留下一个善意的谎言】阳江市首批驰援湖北的医疗队中，有这样一位逆行勇者，有“抗疫老兵”，为了不让家人担心牵挂，她起初瞒着父母毅然选择出征。她就是来自阳西总医院护士姚艳萍，一位自称护理老兵的90后。http://t.cn/A6hmndqPhttp://t.cn/A6hmnsQU
黄渤的情商制造机,:#锋刃#莫艳萍真生气了，她实在是不懂，黄渤到底看重自己的是什么，有没有真心爱她黄渤的情商制造机的微博视频
网格呈贡,:#新型冠状病毒##抗疫进行时#【白龙潭社区“1+3+X”模式推进疫情防控工作】生命重于泰山，疫情就是命令，防控就是责任。随着“新冠”肺炎疫情形势日益严峻，按照上级相关部门工作要求，白龙潭社区于1月27日召开疫情防控工作部署会议，成立以社区党总支书记赵彦祥同志为组长的“新冠”肺炎疫情防控工作领导小组，认真贯彻落实各级决策部署，推进疫情防控各项工作任务。科学有效编织疫情防控“安全网”2019年，白龙潭社区积极探索推进“楼栋党建服务”模式，将社区除老党员以外的80余名党员分配到白龙潭周转安置小区每个单元楼栋，成为“楼栋长”，并将党员的联系方式在每个单元楼入口处公示，便于社区居民有需求时能第一时间通过“楼栋长”反映到社区党总支、居委会，随后开展切实有效快捷的社区居民服务工作。当“新冠”肺炎疫情爆发后，白龙潭社区第一时间在“楼栋党建服务”的基础上，按照“1+3+X”模式细化疫情防控工作责任。针对共44栋623户居民的周转小区，白龙潭社区将其细化为三个网格，每个网格配备1名社区主要责任人和1名网格责任人，并将社区干部、社区民警及社区卫生院医生3类人员充实到网格中去，把“楼栋长”、党员先锋队队员、社区工作人员及志愿者作为“X”部分纳入疫情防控队伍。同时，在社区门口设立卡点，以网格为单位，统筹“3+X”人员，做好每天值班工作，逐一登记进出人员、劝返人员及车辆信息，进一步夯实疫情防控网格化管理基础，强化网格包保责任，扎实有效推进疫情防控工作。党员干部争当疫情防控“排头兵”结合白龙潭社区实际情况，周转小区第一网格包括A、C片区，由社区监委会主任赵贵洪及第一党支部书记王艳萍为网格长，第二网格B片区由社区居委会主任赵春庆及第二党支部书记周华林为网格长，第三网格D片区由社区党总支书记赵彦祥及第三党支部书记游朝斌为网格长，每个网格配备不少于6名工作人员（包括社区干部、社区民警、社区卫生院医生、“楼栋长”、党员先锋队队员、社区工作人员及志愿者），对社区居民户及租住户开展人员排查、疫情宣传、动态监测等工作。同时，由社区党员担任的单元“楼栋长”负责动态监管，要求居民做到居家为主、减少外出、避免人员聚集，每日上报所负责单元楼疫情防控工作开展情况。领导小组根据各方反馈，及时分析研判疫情防控工作内容，贯彻“早发现、早报告、早治疗、早隔离”疫情防控工作原则，确保对每个片区人员清、底数明，严堵疫情防控漏洞，排除疫情扩散风险。全力以赴做好疫情防控“主心骨”按照网格划分和责任分工，白龙潭社区党员干部、工作人员通过手机微信群、乡村大喇叭、悬挂过街横幅、张贴宣传标语和各类通告、发放宣传单、入户走访等多种形式，向广大居民群众宣传普及疫情防控知识，教育引导大家增强自我保护意识，说服群众不走亲访友、不聚众娱乐、出门戴口罩，坚持科学防护。按照“1+3+X”模式组建的疫情防控工作队伍，严格落实“坚定信心、同舟共济、科学防治、精准施策”的要求，不断查找差距、补齐短板。截至目前，白龙潭社区成立了党员应急小分队、志愿者服务队3支，8名村“两委”干部、13名党员、11名社区青年人才主动投身到疫情防控一线，开展宣传引导、站岗执勤、排查登记等相关工作。社区基层党组织和广大党员带头落实联防联控措施，努力当好群众的贴心人和主心骨，广泛动员群众、组织群众、凝聚群众，并紧紧依靠人民群众坚决打赢疫情防控阻击战。
中国营口论坛,:【营口：我把你养大，你陪我站岗】#抗击疫情营口在行动#二月份的辽南大地，乍暖还寒，盖州市双台镇复兴村防疫检查站上，54岁的马秀玲在寒风中冻得直跺脚，她是村里“巾帼助力服务队”最年长的队员。马秀玲的老伴刚做完肠息肉手术，需要有人照顾。得知村里防疫检查站人手不够，马秀玲跟老伴商量让他自己照顾身体，她跟儿子张成先后加入了村里的防疫队伍。消毒、排查、登记……母子俩携手抗“疫”，成为村里防疫检查站上的“母子哨”。#营口生活#退伍不褪色，防疫前线“父女兵”。双台镇东双台村64岁老党员金会庭是名复员军人，疫情发生时，儿子生病住进离家十多里外的医院。金会庭让妻子独自去探望儿子，自己和同是党员的女儿金环去了村里的防疫一线。我是村里人，应当尽份心“给你做好吃的、陪你看电视”复兴村乡村卫生室医生徐艳萍谈起对年幼儿子的承诺，眼眶里噙满泪水。徐艳萍夫妻俩都是村里防疫卡点执勤的志愿者，5岁的儿子没人带，夫妻俩就让年仅12岁的女儿当起了“保育员”……“我不仅是名村民，我还是名党员。”松树沟村80岁老党员邹德铭，自己行动不便，不能亲自到一线服务，就让外孙去检查站替他“站岗放哨”；黄旗堡村93岁高龄的老党员洪德林，自己掏出省吃俭用攒下的500元钱，让孙子代替他交到村党支部，捐款用于村里购买防疫物资。在乡村防疫“最后一公里”的战线上，有无数的普通人，汇聚点滴暖流，形成一股力量，筑起堵住疫情的一道城墙。
阳江新闻NEWS,:#阳江：防控新型冠状病毒感染肺炎#【阳江90后女护士瞒着家人出征只是怕你们牵挂】阳江市首批驰援湖北的医疗队中，有这样一位逆行勇者，为了不让家人担心牵挂，她起初瞒着父母毅然选择出征。她就是来自阳西总医院护士姚艳萍，一位自称护理老兵的90后。http://t.cn/A6hmyLKr
漂流流流流流流_瓶,:独居的第15天好久好久没有一个人生活过没有想象中那么想他那么依赖他做饭工作看书睡觉一切有条不紊积极一点都不堕落所以可能那不是爱吗最近身边结婚的朋友越来越多他们是怎么下定决心跟一个人生活一辈子的呢快乐是快乐痛苦却是加倍痛苦可能结婚是真的需要冲动的事情吧现在我却无比恐婚没有期待的生活虽然乐趣没那么多但是总比失望好靠自我满足的生活挺好的长大就是不断要跟自己自我妥协摸摸自己抱抱自己学会跟自己相处晚安今日份的王艳萍打烊了
专注继电保护,:谁说春天来了那是日历撒的谎只要还有一座城冰封雪飘我们就不忍心立春——邓艳萍苏州
黄龙检察,:【黄龙县检察院县公安局联合对看守所疫情防控工作进行监督检查】为认真贯彻落实中省市政法委关于新冠肺炎疫情防控工作电视电话会议精神，进一步加强对监管场所疫情防控工作的监督检查，确保在押人员安全，2月21日上午，黄龙县政府副县长、县公安局局长李泽斌，县检察院检察长潘振洲，县公安局政委鲁强一行对黄龙县看守所疫情防控工作进行联合监督检查。县公安局副政委申军，县检察院第三检察部主任段艳萍一同督导检查。http://t.cn/A6hR4ojt
华声在线,:#新型冠状病毒感染肺炎#【青海通报4起疫情防控中违规违纪违法典型问题】21日，青海省纪委监委通报4起疫情防控中违规违纪违法典型问题。　　青海省市场监督管理局价格监督检查与反垄断局干部李传明、薛少华、班玛才让在疫情防控期间拒不配合小区防控工作的问题。2月10日，李传明、薛少华、班玛才让在疫情防控期间聚集饮酒，薛少华、班玛才让在酒后未佩戴口罩的情况下与小区工作人员发生争执，并在公安机关处置过程中态度恶劣，多次阻碍民警执法，造成不良影响。班玛才让、薛少华受到行政拘留处罚，李传明、薛少华受到党内严重警告、政务撤职处分并调离执法岗位；班玛才让受到政务撤职处分。　　西宁市湟中区李家山镇党委、政府落实疫情防控措施不力的问题。1月19日、25日，湟中区李家山镇及汉水沟村工作人员先后两次在对武汉返村人员疫情排查工作中，都未能及时发现最终被确诊为新冠肺炎患者苟某从武汉回村的情况，造成重大风险隐患。湟中区李家山镇党委、政府作为乡镇疫情防控的主体，排查工作不深不细，被通报批评。李家山镇党委书记杜军、镇长纳兴仓受到党内警告处分，副镇长马艳萍受到党内严重警告处分；汉水沟村党支部书记周文、村委会主任马永虎受到党内警告处分。　　海西蒙古族藏族自治州都兰县信访局借调干部才让加在疫情防控期间违规聚集饮酒、强闯小区疫情防控值守点问题。2月11日，才让加在疫情防控期间，前往县政府办公室司机靳宝家中聚集饮酒，且在未佩戴口罩的情况下，酒后驾驶私家车回家途中强闯小区疫情防控值守点，谩骂值守点工作人员。才让加受到行政拘留、暂扣机动车驾驶证和罚款处罚，受到留党察看两年、政务撤职处分；靳宝受到政务警告处分。　　果洛藏族自治州玛沁县大武镇团结路北社区值班人员仁青才让、那赛卓玛、确杰在疫情防控工作中弄虚作假的问题。1月27日，仁青才让、那赛卓玛、确杰三人对疫情防控工作认识不足，谎称开展了入户调查，并提供虚假工作台账。仁青才让、那赛卓玛受到党内警告处分，确杰被通报批评。（新华视点）
云南信息报,:【这次是真的！2月22日零时起，昆明53条公交线路恢复运行】记者从昆明公交集团有限责任公司获悉，按照昆明市应对新型冠状病毒感染肺炎疫情工作领导小组指挥部《关于恢复和调整昆明市道路、水路旅客运输及主城区部分城市公共交通运营的通告》有关要求及工作安排，昆明公交集团将部分恢复昆明市主城区公交线路，现将有关事项通告如下：1、恢复时间：2020年2月22日零时起。2、恢复范围：主城区（五华区、盘龙区、官渡区、西山区、呈贡区）部分公交运营线路。因疫情防控需要，采取“跨站停靠”运行模式。(云南信息报记者张艳萍)具体线路、起始站、首末班时间及停靠站点情况点开了解→http://t.cn/A6hRAx7G
重庆晚报,:#新型冠状病毒感染肺炎#【青海通报4起疫情防控中违规违纪违法典型问题】21日，青海省纪委监委通报4起疫情防控中违规违纪违法典型问题。　　青海省市场监督管理局价格监督检查与反垄断局干部李传明、薛少华、班玛才让在疫情防控期间拒不配合小区防控工作的问题。2月10日，李传明、薛少华、班玛才让在疫情防控期间聚集饮酒，薛少华、班玛才让在酒后未佩戴口罩的情况下与小区工作人员发生争执，并在公安机关处置过程中态度恶劣，多次阻碍民警执法，造成不良影响。班玛才让、薛少华受到行政拘留处罚，李传明、薛少华受到党内严重警告、政务撤职处分并调离执法岗位；班玛才让受到政务撤职处分。　　西宁市湟中区李家山镇党委、政府落实疫情防控措施不力的问题。1月19日、25日，湟中区李家山镇及汉水沟村工作人员先后两次在对武汉返村人员疫情排查工作中，都未能及时发现最终被确诊为新冠肺炎患者苟某从武汉回村的情况，造成重大风险隐患。湟中区李家山镇党委、政府作为乡镇疫情防控的主体，排查工作不深不细，被通报批评。李家山镇党委书记杜军、镇长纳兴仓受到党内警告处分，副镇长马艳萍受到党内严重警告处分；汉水沟村党支部书记周文、村委会主任马永虎受到党内警告处分。　　海西蒙古族藏族自治州都兰县信访局借调干部才让加在疫情防控期间违规聚集饮酒、强闯小区疫情防控值守点问题。2月11日，才让加在疫情防控期间，前往县政府办公室司机靳宝家中聚集饮酒，且在未佩戴口罩的情况下，酒后驾驶私家车回家途中强闯小区疫情防控值守点，谩骂值守点工作人员。才让加受到行政拘留、暂扣机动车驾驶证和罚款处罚，受到留党察看两年、政务撤职处分；靳宝受到政务警告处分。　　果洛藏族自治州玛沁县大武镇团结路北社区值班人员仁青才让、那赛卓玛、确杰在疫情防控工作中弄虚作假的问题。1月27日，仁青才让、那赛卓玛、确杰三人对疫情防控工作认识不足，谎称开展了入户调查，并提供虚假工作台账。仁青才让、那赛卓玛受到党内警告处分，确杰被通报批评。（新华视点）
新华视点,:#新型冠状病毒感染肺炎#【青海通报4起疫情防控中违规违纪违法典型问题】21日，青海省纪委监委通报4起疫情防控中违规违纪违法典型问题。　　青海省市场监督管理局价格监督检查与反垄断局干部李传明、薛少华、班玛才让在疫情防控期间拒不配合小区防控工作的问题。2月10日，李传明、薛少华、班玛才让在疫情防控期间聚集饮酒，薛少华、班玛才让在酒后未佩戴口罩的情况下与小区工作人员发生争执，并在公安机关处置过程中态度恶劣，多次阻碍民警执法，造成不良影响。班玛才让、薛少华受到行政拘留处罚，李传明、薛少华受到党内严重警告、政务撤职处分并调离执法岗位；班玛才让受到政务撤职处分。　　西宁市湟中区李家山镇党委、政府落实疫情防控措施不力的问题。1月19日、25日，湟中区李家山镇及汉水沟村工作人员先后两次在对武汉返村人员疫情排查工作中，都未能及时发现最终被确诊为新冠肺炎患者苟某从武汉回村的情况，造成重大风险隐患。湟中区李家山镇党委、政府作为乡镇疫情防控的主体，排查工作不深不细，被通报批评。李家山镇党委书记杜军、镇长纳兴仓受到党内警告处分，副镇长马艳萍受到党内严重警告处分；汉水沟村党支部书记周文、村委会主任马永虎受到党内警告处分。　　海西蒙古族藏族自治州都兰县信访局借调干部才让加在疫情防控期间违规聚集饮酒、强闯小区疫情防控值守点问题。2月11日，才让加在疫情防控期间，前往县政府办公室司机靳宝家中聚集饮酒，且在未佩戴口罩的情况下，酒后驾驶私家车回家途中强闯小区疫情防控值守点，谩骂值守点工作人员。才让加受到行政拘留、暂扣机动车驾驶证和罚款处罚，受到留党察看两年、政务撤职处分；靳宝受到政务警告处分。　　果洛藏族自治州玛沁县大武镇团结路北社区值班人员仁青才让、那赛卓玛、确杰在疫情防控工作中弄虚作假的问题。1月27日，仁青才让、那赛卓玛、确杰三人对疫情防控工作认识不足，谎称开展了入户调查，并提供虚假工作台账。仁青才让、那赛卓玛受到党内警告处分，确杰被通报批评。
FM104襄阳之声,:【襄阳首例新冠肺炎康复者捐献血浆】今天上午，全市首例新冠肺炎康复者来到诸葛亮广场的献血小屋捐献自己血浆。这名康复者名叫谭艳萍，今年30岁。1月27号被确诊为新冠肺炎。2月8号正式康复出院，并隔离观察14天。襄阳首例新冠肺炎康复者捐献血浆
陈清贫,:快讯！大型文学月刊、《华文月刊》杂志2019年第12期定稿，我是这本杂志的副主编。继8期、9期、10期、11期刊发陈清贫写作培训网校的多篇稿件后，本期又发了本网校学员11篇文。依次是：小说，张平《翻译的力量》，高美兰《赌王》，杨越《貂皮大衣》，赵锦慧《提拔》，吴嘉《硬币》；散文，刘晓蔚《来生陪您喝白酒》，郜艳《流动的盛宴》，邝林英《绿纱窗下的旧时光》，胡艳萍《有一种爱叫剪指甲》；诗歌：李书凤《梦的主旋律》，张九筠《苔》。另外，请大家继续投稿，2020年第1期开始了！诗歌、散文1700字以内，小说3500字以内。要求情感真挚，文字生动，有正能量。http://t.cn/R2WxQOQ
云上襄阳,:【襄阳市首例新冠肺炎康复者捐献血浆】http://t.cn/A6hH15nk今天上午，全市首例新冠肺炎康复者来到诸葛亮广场的献血小屋捐献自己血浆。这名康复者名叫谭艳萍，今年30岁。1月27号被确诊为新冠肺炎。2月8号正式康复出院，并隔离观察14天。据中心血站介绍，这些血浆将全部用于本地的重症患者治疗。市中心血站同时也呼吁更多的新冠肺炎康复者可以加入到献血的队伍中来，如果有献血意愿的话，可以所在医院或与中心血站联系联系。捐献地点：襄阳市诸葛亮广场献血屋。工作时间联系电话：322612024小时热线15172263029（李老师）、13476330191（徐老师）
云南信息报,:【昆明市卫健委：昆明已阻断武汉输入性疫情确诊者出院率49.1%高于全国】2月21日，昆明市应对新型冠状病毒感染肺炎疫情防控工作第五次新闻发布会在昆明会堂举行，昆明市卫健委通报了昆明市相关疫情情况。昆明市卫生健康委员会党委书记张云海介绍，截至2月21日10时，昆明市累计报告新型冠状病毒感染的肺炎确诊病例53例，治愈出院26例，现有确诊病例27例，其中重症2例，现有疑似病例55例，尚有密切接触者595人接受观察。无死亡病例，无医护人员感染，出院患者占确诊病例的49.1%，高于全国平均水平。从疫情发展走势和数据来看，昆明市已成功阻断从武汉地区输入性疫情，有效控制全国其他疫情高发地区输入性疫情，并有效防止了本地疫情输出。(云南信息报记者张艳萍)
龙江市场监督管理,:七台河市场监管局注册许可分局开设绿色通道“零见面审批”助力企业复工复产企业40分钟收到电子营业执照点赞！2月20日上午，黑龙江中瑯生物科技有限公司负责人通过电话咨询“要将其经营范围增加消毒用品（不含危险化学品）生产、销售，医疗器械生产、销售”的业务，在得知企业要紧急赶制消毒用品及医疗器械助力疫情防控后，七台河市市场监督管理局注册许可分局快速反应，第一时间为企业开设绿色快速通道。窗口工作人员首先通过电话、微信视频等方式一次性告知其所需材料，对其不清楚的地方，耐心细致“一对一”指导，全程跟进办理工作。通过黑龙江省市场监管局公众服务平台为企业提供全程无纸化企业登记，40分钟后，企业法人收到了变更后的电子营业执照。随后窗口工作人员温馨提示企业前往省市场监督管理局以及省卫生健康委员会办理相关生产许可，积极为企业做好后续服务。企业法人激动地说：“现在处于疫情防控关键时期，七台河市场监管局窗口防疫防控不忘服务，特殊时期依然高效，对这种服务必须给予5星好评！”这只是七台河市场监管局为企业优质服务的一个小事例，随着2月10日全市相关企业陆续恢复生产经营，市场监管局注册许可分局扎实推进“网上办、预约办、帮代办”等“无接触式”服务，不断优化调整服务时间和服务方式，在疫情防控中不断提升行政许可服务效能，以优质高效服务，助力企业复工复产。供稿：七台河市市场监督管理局注册许可分局赵艳萍http://t.cn/Rp7TZiGhttp://t.cn/Rp7TZiG
北极木有鱼,:《宝宝睡不好，跟家长的6个坏毛病有关，说的可能就是你》罗艳萍-新浪爱问医生宝宝睡不好，跟家长的6个坏毛病有关，说的可能就是你
北极木有鱼,:《鼻屎多影响呼吸，别愁！新手父母用这4招帮宝宝清理》罗艳萍-新浪爱问医生鼻屎多影响呼吸，别愁！新手父母用这4招帮宝宝清理
986路上好朋友,:【村里的大喇叭响起来】“在家勤洗手，出门戴口罩……那个A和C呢，就是……”2月20日，两名身着“红马甲”的电力工人从电线杆子上麻利的下来。手到病除，跟“硬核”书记相近口吻的广播又回荡在沈阳法库县龙山街道下洼子村。抗击新冠肺炎战役打响以来，为扩大村民对疫情防控知识的知晓度、覆盖面，法库县在从2月13日开始在重要防疫监测点、入村路口和村庄中心区域安装杆上扩音喇叭，随时随地为广大村民宣传防控政策及相关防控知识。有线广播需要电力支持，国网法库县供电公司得知情况后，立即组织各供电所的党员服务小分队负责各自供电服务区域内的安装工作。在龙山街道，当天服务队员们就连续奋战8个小时，为这个街道的秋皮沟村、下洼子村、三家子村等7个自然村加装7组14只扩音喇叭并接通电源。“你们供电部门的服务没得说，这么冷的天还第一时间为这些村安装了扩音喇叭，这回村民们可以随时随地了解疫情防控知识了。”当最后一个扩音喇叭接通电源的那一刻，法库县龙山街道办事处负责人李海松握着五台子供电所党员服务小分队队长任永辉的手激动地说。据悉，近一段时期以来，国网法库县供电公司全力配合地方政府做好疫情防控工作，19支党员服务小分队冲在疫情防控第一线，全力作好抗击疫情保供电工作。先后为全县29个防疫检查点架设线路2200余米，安装照明灯70个，插排29个，取暖设备43个。(来源:国网沈阳供电公司，986记者高峰，通讯员:段莹莹史艳萍）#抗击新型肺炎我们在行动#
敦煌发布,:【敦煌市9家宾馆酒店复工营业】　　为解决疫情防控期间复工企业需求和来敦人员增加等情况，敦煌市部分酒店根据酒泉市新型冠状病毒感染的肺炎疫情联防联控工作领导小组《关于疫情防控期间生活保障类行业复工复产的通告》精神，在严格落实防控措施前提下开始有序复工。　　敦煌太阳大酒店总经理助理司艳萍说：“我们接到复工通知以后，酒店启用了疫情防控期间所有的应急措施，员工上班之前要量体温，对各个工作区域要进行消毒，做好前期准备工作，迎接所有入住的客人。”　　在疫情防控期间，酒店行业工作者有的坚守岗位积极参与疫情防控，有的则停业等待复工，但不管是坚守还是等待，他们都积极做好恢复运营前的各项准备工作。　　丝路怡苑大酒店总经理张育军说：“我们为复工人员提前购买防护用品，包括口罩、手套还有客房需要配备的温度计、消毒液、洗手液，包括房间里配备的返敦人员的一封信还有告知书等等，准备比较充分。”　　据了解，敦煌市部分酒店复工营业由企业提出申请，经市文旅局、商务局督促落实相关防控措施后批准。目前敦煌市复工营业酒店包括敦煌太阳大酒店、敦煌饭店、丝路怡苑大酒店、金龙大酒店、九色鹿宾馆5家星级酒店及艾斯汀酒店、华夏大酒店、爱琴海、云天大酒店4家非星级酒店。（李雅楠刘旭龙石晓蓉）
梦想成真M2020,#有瓜子嗑才是大户人家#听说，现在有瓜子嗑才是大户人家？超市买不到，便利店买不到，就连村口的小卖部也买不到…那我，应该算是个超级大户叭！话不多说，你们要我就送！带话题转发并艾特3位好友，揪12个幸运鹅，各送瓜子一箱！
王艳萍74839,:我分享了@王艳萍74839的头条文章保定市凝香书画院秘书长学书法先学会做人
云南信息报,:【云南开行农产品集装箱专列对口驰援湖北咸宁】2月18日22时，经过近12个小时的昼夜抢运，云南省对口支援湖北省咸宁市农产品10967次集装箱专列，从昆明东站王家营西集装箱中心站顺利开出，向湖北咸宁送去云岭高原4800万各族人民的浓浓情谊与祝福。这批新鲜农产品来自陆良、通海、昆明、建水等云南各地，有洋葱、甘蓝、生菜、沃柑等果蔬以及鲜切花、菜籽油、鸡蛋等14个品类，共230吨。截至2月18日，云南省累计发出支援湖北省抗击新冠肺炎疫情农产品946吨，其中10大名花等260户企业累计组织12.6万枝鲜切花，共3个品类、68个品种。心连心、肩并肩，为咸宁、湖北打赢疫情防控阻击战贡献云南力量。在云南省委、省政府统一安排部署下，云南省农业农村厅、商务厅牵头，联合云南省财政厅、交通运输厅和云南农垦集团等单位组建工作专班，组织落实全省农产品捐赠工作。中国铁路昆明局集团密切配合、协同作战、共同努力，开行这趟农产品集装箱专列。工作专班完善工作机制，制定捐赠管理办法，秉承“公平、公正、公开、高效”工作原则，建立采购备选库品，精心筛选绿色生态、优质优价农产品；组织24家农产品质量安全监测机构，免费开展检测工作，出具合格证明，确保捐赠农产品高质量送到湖北人民手中。“疫情不除、支援不断，我们将源源不断地把云南绿色优质农产品送到湖北，助力湖北人民早日打赢疫情防控阻击战。”云南省农业农村厅总经济师李晓霞说。目前，云南省已经有250余家供货主体提供蔬菜、水果、花卉、中药材等10大类产品、近300个品种的供货意向。疫情防控正处在胶着对垒状态，时间就是生命，效率决定成败。中国铁路昆明局集团坚持优先安排、特事特办，开辟绿色通道全力抢运民生物资。昆明东站紧急调配优质铁路集装箱、冷藏箱，全面检查箱体制冷状态，配齐装卸劳力，分种类量身制定运输方案，提前集结车流，以最快速度装车并实现快速转运，千里驰援湖北咸宁保障百姓“菜篮子”“米袋子”供应充足。交通是生命线，每一次运输增援都增添一份胜利信心！“昆明东站作为云南进出省物资铁路集散地，是云南省对口支援湖北咸宁的铁路中转站，我们全力保障这条生命线的安全畅通。”中国铁路昆明局集团昆明东站副站长陶樯介绍，为保障民生物资顺利转运，铁路职工坚守岗位，优化组织、优先装车、优先挂运，确保民生物资装得快、运得快、发得快。(云南信息报记者张艳萍)
是阿猜呀,:那天跟男朋友打游戏听到阿姨进来说你把这几个医用口罩给艳萍拿去她上班不是戴这样的吗我太感动了简直太幸福了叭
媒体人周桂华,:连线武汉：开心！一家三口一起出院回家！@武汉发布#送硬核江苏上热搜#“今天有五个病人出院，其中有个一家三口”，电话那头，南京医科大学第二附属医院援湖北医疗队员陶连珊护士长特别开心，据陶连珊介绍，这几天出院的病人很多，“有一天，我们病区出了12个病人”。#疫情#陶连珊护士长所在的江夏区第一人民医院27病区，最多时收了60多个病人，“现在是54个病人，情况比我们刚来的时候好太多了”，陶连珊是1月25日，农历大年初一随江苏省首批援湖北医院队来到武汉，入驻江夏区第一人民医院，和她一起的南京医科大学第二附属医院共有7位医护人员，陶连珊说，最近出院的病人很多，每一个出院的病人对于重新回归正常生活都是由衷的感慨、高兴。今天出院的一家三口，是一对50多岁的夫妻和他们的儿子，“三人都姓董”，2月1日入院，“妻子的情况要重一些，因为她本身有糖尿病、高血压等基础疾病，来的时候发烧了好几天”，据陶连珊介绍，儿子来的时候也有些发烧。一家三口同时住院，“情绪上比较低落”，陶连珊说，见此情景，大家都是主动去和这一家子聊天，鼓励他们勇敢面对疾病，陶连珊在和一家三口交流中得知，这一大家子包括媳妇和孙子五个人都属羊，她因此常常开玩笑说，“你们家聚到一起就是五羊开泰，一定要有信心挺过这一关”。就这样，陶连珊及护理团队与这家人渐渐熟悉起来，董女士主动表示，自己有朋友在江苏东台，“一听声音就知道你们来自江苏，我们有感情渊源呢，谢谢你们大老远的来救我们”。除了这一家人，今天陶连珊所在的病区还有两位病人出院，一男一女都是50多岁，男的是一位大学老师，“越来越多的病人出院，情况正在变得越来越好！”隔着听筒，记者都能感受到陶连珊声音中的那种喜悦和欢快。（陈艳萍）
武进警方,:#疫情当前警察不退##警民同心#2月19日下午，湟里镇热心群众朱艳萍、盛龙虎一起走进湟里派出所，向派出所捐赠了口罩1600个，对全体人员忠于职守抗击疫情表达了感谢，叮嘱全体人员要注意自身安全，做好抗疫防护。@平安常州
九河之间有神仙,:谁说春天来了那是日历撒的谎只要还有一座城冰封雪飘我们就不忍心立春——邓艳萍
