李留申i,:2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。
河南网信,:【#河南战疫我们在行动#网络作品展播（293）：《巾帼红》】内容简介：一曲《巾帼红》向抗疫英雄致敬。作者：开封市妇联#抗击疫情我们在一起##联防联控河南在行动##没有斗篷的河南人也是superman#点击链接查看：河南网信的微博视频
文明动监所,:#疫情防控开封在行动##共同战疫#为助力疫情防控，3月3日上午，开封市动物卫生监督所志愿服务队到市畜牧局家属院疫情防控值守点看望慰问防控值班人员，为他们送去酒精、84消毒液等防疫物资，协助他们认真做好进出人员排查和疫情防控宣传工作，守好小区防控“第一线”。疫情就是命令，防控就是责任，我们一定要把志愿服务做细做实，为打赢这场没有硝烟的疫情防控阻击战贡献自己的力量。@文明河南@文明开封@中国文明网
文明开封市公路局,:#疫情防控开封在行动#3月3日上午，开封市公路管理局党委向全体党员发出“向抗击疫情前线捐款”倡议书，充分弘扬“一方有难，八方支援”的传统美德和奉献精神，发扬领导带头、党员干部在前的先锋模范作用，组织好抗击疫情自愿爱心捐款活动，以实际行动支援疫情防控工作。此次公路局机关及下属两个单位的党员共捐款18200元。@文明开封@文明河南@中国文明网
开封市铁塔公园,#疫情防控开封在行动#【开封市新冠肺炎疫情防控工作第二场新闻发布会举行】3月2日，开封市新冠肺炎疫情防控工作第二场新闻发布会在市政府新闻发布厅举行，通报我市疫情防控工作最新进展，发布工业、交通、建筑领域复工复产情况，统筹做好疫情防控和经济社会发展工作，夺取疫情防控和经济社会发展双胜利。市疫情防控指挥部成员及工业领域工作专班、交通检疫组等相关负责人参加发布会。#抗疫行动##共同战疫#据悉，截至2月底，全市709家规模以上工业企业复工，复工率达91.72%；复工人数12.05万人，复产率54.65%。其中，产业集聚区共有414家企业复工，复工率为94.5%。在全市326个应复工开工重点项目中，255个项目复工开工，复工开工率为78.22%，累计返岗8381人。其中，34个省重点项目复工开工，复工开工率为87.18%。下一步，我市将在切实抓好疫情防控的基础上，进一步加快企业和重点项目复工开工，努力把疫情对经济发展的影响降到最低，力争全面完成全年经济社会发展各项目标任务。（全媒体记者：赵海龙）@魅力开封http://t.cn/R2WxHAA
安阳新闻网,:【河南新冠肺炎疫情防控工作第二十一场新闻发布会召开全省规上工业企业复工率突破90%】　3月2日，省政府新闻办召开新冠肺炎疫情防控工作第二十一场新闻发布会，省卫健委和省发展改革委、开封市和洛阳市、省电力公司和中铁七局及双汇集团等省直部门、地市、企业的负责人，就当前疫情防控和复工复产等工作进行通报，并针对热点问题回应群众关切。　　清零！6个省辖市“疫情地图”率先变白　　近日，继三门峡市、焦作市之后，平顶山市、许昌市、洛阳市、驻马店市在院新冠肺炎患者相继清零。我省已有6个省辖市在全国防疫阻击战中率先实现“疫情地图”变白。与此同时，全省存量病例持续下降，连续4天无新增确诊病例，数据显示我省疫情防控形势积极向好的态势进一步拓展。但省疫情防控指挥部办公室综合组副组长、省卫健委副主任张若石提醒，要看到疫情防控尚未结束、大考还在继续，风险和隐患也正随着复工复产的推进在增大。　　不轻视任何一个细节，不忽视任何一个角落。省联防联控机制强化分区分级精准防控，全力推进企业复工复产的同时构筑起疫情防控的铜墙铁壁。交通运输系统保障公路畅通，全省391个高速公路收费站和127对服务区正常运行；市场监管部门派出5个检查组，对医用防护类医疗器械生产企业进行监督抽查；民政部门全面排查养老、救助、儿童福利等机构，强化防控管理措施。　　破解“两紧两难”，打通环节“堵点”　　有一组数据着实喜人：截至2月底，全省规上工业企业复工率突破90%，复产人数达到245.24万人、复产率61.84%，已有10个省辖市的规上工业企业复工率超过95%。　　省发展改革委副主任李迎伟说，随着各地各部门抓复工复产的力度持续加大、政策不断完善，运输、用工等矛盾正在有效缓解。但由于疫情防控和复工复产二者之间的责任约束不对等、工作力度不均衡，复工复产仍然面临不少制约，突出反映在“两紧两难”，即口罩等防护物资尤为紧缺、企业用工短期较为紧张、产业链供应链协同困难、生活性服务业配套困难。　　如何破解?打通各个环节“堵点”：着力提升口罩保障供应能力，尽最大努力满足企业需要；着力解除返岗人员的不合理限制，解决人员在家、到岗“两头重复隔离”问题；着力加快重点项目建设，更加有力有效发挥投资的关键作用；着力推进重点产业链协同复工，以龙头骨干企业带动产业链上下游协同复工复产；着力指导个体工商户恢复正常营业，满足群众基本生活需求。　　抢占“先手”，把耽误的时间抢回来　　经济社会是一个动态循环系统，不能长时间停摆。河南各地市、企业正以时不我待、只争朝夕的精神，抢占“先手”，努力把落下的“功课”补回来，把耽误的“时间”抢回来。　　洛阳作为国家老工业基地和中部地区重要的工业城市，产业门类全、产业链条长、关联配套企业多。“洛阳重点在供应链、要素链、产业链、价值链上下功夫，比如大力发展医疗用品、医疗器械产业，引导本地企业实施改造转产，口罩、隔离衣、红外测温仪实现了‘洛阳造’。”洛阳市副市长侯占国说。　　太焦铁路是河南省规划的“米”字形铁路网的重要组成部分，计划今年建成通车。“我们通过调查每个劳务人员旅居史和人员接触、健康状况，出具用工信函，包车包机接送、设置专门隔离区等多种措施，组织施工人员尽快返岗，并确保进场人员身体健康。目前经核酸检测，项目部无疫情发生，施工开累产值完成了合同额的83.3%。”中铁七局集团党委书记、董事长王珂平说。
开封市铁塔公园,#疫情防控开封在行动##共同战疫#【转发周知！开封市各大超市3月3日生活必需品价格出炉，请市民对照监督】#抗疫行动#根据全市统一安排部署，经过今天（3月3日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。@开封市场监管http://t.cn/R2WxHAA
文明开封政数局,#疫情防控开封在行动#网络视频作品展播：《感谢有你》
龙亭在线,:『开封市不动产登记中心与10家金融机构举行“互联网+不动产登记”合作签约授牌仪式--河南频道--人民网』开封市不动产登记中心与10家金融机构举行“互联网+不动产登记”合作签约授牌仪式
开封网,:#防控前沿#【开封市新型冠状病毒肺炎疫情防控工作第二场新闻发布会举行】3月2日，开封市新型冠状病毒肺炎疫情防控工作第二场新闻发布会在市政府新闻发布厅举行，统筹做好疫情防控和经济社会发展工作，夺取疫情防控和实现今年经济社会发展目标双胜利。市疫情防控指挥部成员及工业领域工作专班、交通检疫组等相关负责人参加发布会。发布会上，市发展和改革委员会主任薛志勇、市工业和信息化局局长苏德超、市住房和城乡建设局副调研员戚勇、市交通运输局局长牛彦斌、市金融工作局局长张磊、市人力资源和社会保障局局长李尕果，分别就工业企业复工复产、建筑领域复工复产、返岗人员及货物运输交通保障、复工复产企业用工保障、金融支持小微企业发展等工作回答了记者提问。市疫情防控指挥部宣传舆论工作专班副组长、市委宣传部副部长赵伟东主持发布会。河南日报、河南广播电视台、大河报、大河网、开封日报、汴梁晚报、开封网、开封广播电视台等媒体记者参加发布会。http://t.cn/A679fghT
开封网,:#抗击疫情我们在一起#【罗马尼亚河南工商联合会向开封捐赠一批医用口罩】3月2日下午，罗马尼亚河南工商联合会为开封捐赠医用口罩捐赠仪式在开封市红十字会举行，市政协副主席张晖参加捐赠仪式，开封红十字会常务副会长马继宏主持捐赠仪式。捐赠仪式上，张晖高度赞扬了旅罗侨胞情系桑梓、血浓于水的赤子之情。罗马尼亚河南工商联合会副会长孙建设代表罗马尼亚河南工商联合会领取了捐赠证书。据悉，新冠肺炎疫情发生以来，市委统战部侨务部门积极联系罗马尼亚河南工商联合会会长郭玉山，郭玉山当即发动老乡们募集资金，捐赠了医用口罩等物资。活动中，接受捐赠的杞县人民医院、祥符区人民医院相关负责人纷纷表示将会铭记旅罗侨胞的爱心善举，并将这份善举化为他们打赢疫情防控阻击战的信心和力量。http://t.cn/A679fS9y
产业集聚区活力汪屯乡,#疫情防控开封在行动#网络视频作品展播：《感谢有你》
开封网,:【开封市人社部门多措并举帮助企业解决用工需求难题】3月2日下午，市政府新闻办在市政府新闻发布厅举行开封市新冠肺炎疫情防控专题新闻发布会第二场发布会。市人社局党组书记、局长李尕果就我市人社部门在保障企业复工复产用工方面采取的措施、取得的成效，向公众进行了详细解读。一是强化政策措施保障，出台切实做好疫情防控期间就业工作的十二项政策措施。二是建立服务企业机制，开通24小时企业用工保障服务电话。三是加强重点企业用工监测。四是精准服务企业需求。五是优化线上招聘服务。六是推动农民工返岗复工。全市设立8个外出务工人员服务点，组织返乡农民工已返岗近16万人，其中有组织输送2万余人。http://t.cn/A679cyuO
开封市教育局,:我分享了【【职教专栏】在思考中实践线上教学——开封市信息工程学校李晖老师CorelDRAW线上课程实录】，快来看吧！|【职教专栏】在思考中实践线上教学——开封市信息工程学校李晖老师CorelDRAW线上课程实录
开封市教育局,:我分享了【【职教专栏】一名普通教师、退役军人的共产党员情怀——记开封市文化旅游学校教师李昌奇】，快来看吧！|【职教专栏】一名普通教师、退役军人的共产党员情怀——记开封市文化旅游学校教师李昌奇
开封市教育局,:我分享了【【党员先锋】疫情防控关键时共产党员做先锋养正人在行动——开封市回民中学党支部开展主题党日活动】，快来看吧！|http://t.cn/A679USqc
医药卫生报,:开封市爱卫会发动群众筑牢群防群控防线本报记者李季为进一步改善城乡环境卫生，从源头清除病毒孳生环境，筑牢疫情防控卫生屏障，开封市爱卫会自疫情发生以来充分发挥爱国卫生运动优势，持续组织开展爱国卫生运动，发动群众进一步筑牢群防群控的严密防线，为全面打赢疫情防控阻击战加油助力。开封市爱卫会充分发挥自身职能优势，先后印发《关于进一步深入开展爱国卫生运动全力做好新冠肺炎疫情防控工作的通知》等文件，号召开封市爱卫会各成员单位强化组织领导，采取有效措施，深入开展以“防疫健康知识大宣传、环境卫生大整治、重点场所大消毒”为主题的爱国卫生疫情防控专项行动，坚决切断疫情传播途径，为全面打好打赢这场疫情防控阻击战提供强有力的支持。截至目前，该市爱卫会各成员单位共组织爱国卫生志愿者18844人次，发出开展爱国卫生倡议1471139份，通过网络媒体开展传染病防控和健康知识科普宣传27731场次，编印宣传资料2622943份，全面动员构筑了一道群防群控、群策群力、共建共享的疫情防控卫生屏障。针对城中村及城乡接合部、背街小巷、老旧小区和农村环境卫生等薄弱区域，开封市爱卫会开展了以清除卫生死角、杜绝暴露垃圾、消灭“四害”为重点的环境卫生集中清理整治。加强生活垃圾的清扫、收集、运输、处理全过程的监督检查，督促及时对生活垃圾进行无害化处理。现已累计开展城乡环境卫生专项整治活动418次，整治小区、村庄2059个，清除卫生死角14590处，组织病媒生物防治集中消杀活动1394次。农贸市场是此次疫情防控的重点区域和前沿阵地，开封市爱卫会要求该市相关单位落实防控责任，全面清理市场卫生死角，组织各类店铺、摊位开展“搬家式”大扫除，及时密闭收运垃圾，加强市场内公厕、水池、垃圾桶等基础设施的清扫保洁和消毒等，严禁售卖野生动物，关闭活禽销售和宰杀。开封市爱卫办及有关部门已累计对农贸市场开展专项督导检查102次、组织开展集中消毒消杀活动3286次。在开封市商场超市、火车站、汽车站、农贸市场、宾馆等公共场所加强疫情防控健康知识大宣传，采取多种形式宣传好“五早”“五个一律”和“六个最严格”的战“疫”方针。进一步加强环境卫生整治，对经常使用或接触的门把手、水龙头、电梯按键等定期进行科学清毒，提高环境卫生管理水平，确保群众健康安全。一分部署，九分落实。春节至今，开封市爱卫办全体人员放弃休假，每天对各县区开展爱国卫生运动全力做好新冠肺炎疫情防控工作进行督导检查，重点督查农贸市场、公共场所和城乡环境卫生整治。对于发现的问题及时下发督办通知，要求限期整改。截至目前，已累计开展各种督查29次、编发工作日报24篇、下发督查通报和督办通知21份，为有效降低病毒通过环境传播的风险、全面打赢疫情防控阻击战作出了积极贡献。
魅力开封,:【全国藜麦项目示范基地在开封落地】2020年2月28日上午，在开封市祥符区半坡店乡省级龙头扶贫企业——木易牧业有限公司牧场的藜麦种植示范基地内，几台大型播种机正在忙碌着，该乡24个村的党支部书记和致富带头人及种植能手，正在参加由河南大学博士邹长松和郭敬功现场示范讲解的特色产业开播观摩会。原来，这是开封疫情防控、双招双引两手抓见成效的一个现场，中科院上海植物逆境研究生物学研究中心全国藜麦项目示范基地（开封）签约暨开播仪式正在举行。产业扶贫是助力脱贫攻坚的根本之策。在疫情防控期间，开封一边积极防控，一边保证双招双引项目落实不停步、有进展，采用特殊时期线上招商、云招商等灵活方式推动项目进展。其中，列入祥符区扶贫攻坚计划的藜麦项目，在疫情防控期间，开封市委组织部、开封市商务局、开封市双招双引办公室等部门克服种种困难，经过多方协调，得以顺利推进。祥符区半坡店乡木易牧业在2月中旬耕整了1300亩土地；中科院上海植物逆境生物学研究中心、河南大学生命科学学院无偿提供了价值30万元的优质多品系藜麦种子，并义务派出科研技术人员全程指导管理和育种规划；开封市粮食集团负责收购和后期深加工以及托底收购，切实保障农民利益。以上各方于2月25日达成合作协议。作为扶贫项目之一，全国藜麦项目示范基地（开封）项目是中科院上海植物逆境生物学研究中心、河南大学生命科学学院共同合作建设的河南省唯一一个藜麦育种集中试验研发基地，引进的是黄金谷物优质藜麦品种。该基地在木易牧业牧场基地集中试验田300亩的基础上，又分散种植1000亩。该项目共有155户农户参与实施，其中贫困户56户，一般农户99户。（全媒体记者汪元蒙校爱玲）
开封日报,:昨天，开封市火车站出口站台，疫情防控人员对每趟到站下车的乘客进行严格的信息登记。对返校的学生和务工人员进行去向记录。（全媒体记者赵文建）
开封日报,:昨天，开封市火车站出口站台，疫情防控人员对每趟到站下车的乘客进行严格的信息登记。对返校的学生和务工人员进行去向记录。（全媒体记者赵文建）
开封市康乐幼儿园,#疫情防控开封在行动#网络视频作品展播：《感谢有你》
大河财立方,:#河南在行动#【开封推行“便捷开工”线上审批，省重点项目开复工率达87.2%】3月2日，大河报·大河财立方记者从省政府新闻办新闻发布会上获悉，自2月18日以来，开封市已经连续15天无新增确诊病例和疑似病例，省重点项目开复工34个，开复工率达到87.2%，市重点项目开复工326个，开复工率达到79.5%。http://t.cn/A67970bb
文明杞烟,#疫情防控开封在行动#【开封市新冠肺炎疫情防控工作第二场新闻发布会举行】3月2日，开封市新冠肺炎疫情防控工作第二场新闻发布会在市政府新闻发布厅举行，通报我市疫情防控工作最新进展，发布工业、交通、建筑领域复工复产情况，统筹做好疫情防控和经济社会发展工作，夺取疫情防控和经济社会发展双胜利。市疫情防控指挥部成员及工业领域工作专班、交通检疫组等相关负责人参加发布会。#抗疫行动##共同战疫#据悉，截至2月底，全市709家规模以上工业企业复工，复工率达91.72%；复工人数12.05万人，复产率54.65%。其中，产业集聚区共有414家企业复工，复工率为94.5%。在全市326个应复工开工重点项目中，255个项目复工开工，复工开工率为78.22%，累计返岗8381人。其中，34个省重点项目复工开工，复工开工率为87.18%。下一步，我市将在切实抓好疫情防控的基础上，进一步加快企业和重点项目复工开工，努力把疫情对经济发展的影响降到最低，力争全面完成全年经济社会发展各项目标任务。（全媒体记者：赵海龙）@魅力开封http://t.cn/R2WxHAA
文明杞烟,#疫情防控开封在行动##共同战疫#【转发周知！开封市各大超市3月3日生活必需品价格出炉，请市民对照监督】#抗疫行动#根据全市统一安排部署，经过今天（3月3日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。@开封市场监管http://t.cn/R2WxHAA
禹王台市场监管,:近日，河南省开封市市场监管局立足职能，出台支持企业#复工复产#的25条措施。在特种设备安全防范方面，该局相关科室认真落实“25条”，指导协调省特检院开封分院全力确保疫情防控期间特种设备企业复产稳定、复工安全。截至目前，该局已对5家新冠肺炎集中收治医院的85台（套）特种设备进行检查，排查64家危化品生产企业的1628台（套）特种设备，检查特种设备作业人员证220人次，下达责令改正通知书8份。@开封市场监管
开封市第一职业中专,发布了头条文章：《开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告》开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告
开封汴京网,#疫情防控开封在行动##抗疫行动#近日，开封市中心医院新冠疫情防控指导宣教小组来到东大化工集团，对新冠疫情防控工作进行指导。（来源：开封市中心医院）#共同战疫#@开封市中心医院@文明河南@中国文明网
开封汴京网,#共同战疫#【转发周知！开封市各大超市3月2日生活必需品价格出炉，请市民对照监督】#疫情防控开封在行动#根据全市统一安排部署，经过今天（3月2日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。@开封市场监管@平安开封http://t.cn/R2WxHAA
张祺悦,:#宝贝寻家#约1991年出生1992年被拐卖到河南省开封市的金豆寻亲（男）额头有痣，俩眉毛分别有一大一小两颗痣，单眼皮，塌鼻梁，嘴巴略厚，身高168cm。据说寻亲人到养家不到两岁（一说只有几个月大）。听说是人贩子喂了安眠药，用纸箱装过来的。http://t.cn/AisNk1o8
宝贝回家,:#宝贝寻家#约1991年出生1992年被拐卖到河南省开封市的金豆寻亲（男）额头有痣，俩眉毛分别有一大一小两颗痣，单眼皮，塌鼻梁，嘴巴略厚，身高168cm。据说寻亲人到养家不到两岁（一说只有几个月大）。听说是人贩子喂了安眠药，用纸箱装过来的。http://t.cn/AisNk1o8
开封市铁塔公园,#共同战疫#【转发周知！开封市各大超市3月2日生活必需品价格出炉，请市民对照监督】#疫情防控开封在行动#根据全市统一安排部署，经过今天（3月2日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。@开封市场监管@平安开封http://t.cn/R2WxHAA
开封市见义勇为,:#贫困户女孩无钱买手机上网课自杀#害真正贫困户却吃不上低保金，我们开封市土城小康村居民却住三层别墅，家里有小汽车，空调，天天戴金银首饰却能吃上低保金，因为她有一个村干部的弟弟，开封市土城小康村一组组长，真是脸皮薄吃不着，脸皮厚吃个够，什么事
开封见义勇为后,:#喝药女生家获赠2部手机#害真正贫困户却吃不上低保金，我们开封市土城小康村居民却住三层别墅，家里有小汽车，空调，天天戴金银首饰却能吃上低保金，因为她有一个村干部的弟弟，开封市土城小康村一组组长，真是脸皮薄吃不着，脸皮厚吃个够，什么世道
开封市鼓楼区总工会,#疫情防控开封在行动#网络视频作品展播：《感谢有你》
大河报,:【开封常务副市长：我们给企业复工帮忙，就送他们需要的口罩】目前，开封市抗击疫情取得了阶段性成效，已连续15天无新增确诊病例和疑似病例。省重点项目开复工率达到87.2%，市重点项目开复工率达到79.5%。对于重点项目和已签订口罩购买合同但尚未及时到货的企业，开封动用政府储备，确保这些项目的生产需要。“给企业帮忙，就是要送去他们最需要的东西。”3月2日下午，在河南省政府新闻办举行的“河南省新冠肺炎疫情防控专题”第二十一场新闻发布会上，开封市委常委、常务副市长付磊如是说。http://t.cn/A67oZlcJ
开封市鼓楼区总工会,#疫情防控开封在行动#网络视频作品展播：《感谢有你》
大河报,:【开封常务副市长：我们给企业复工帮忙，就送他们需要的口罩】目前，开封市抗击疫情取得了阶段性成效，已连续15天无新增确诊病例和疑似病例。省重点项目开复工率达到87.2%，市重点项目开复工率达到79.5%。对于重点项目和已签订口罩购买合同但尚未及时到货的企业，开封动用政府储备，确保这些项目的生产需要。“给企业帮忙，就是要送去他们最需要的东西。”3月2日下午，在河南省政府新闻办举行的“河南省新冠肺炎疫情防控专题”第二十一场新闻发布会上，开封市委常委、常务副市长付磊如是说。http://t.cn/A67oZlcJ
文明开封一尉氏县交通运输局,#疫情防控开封在行动#网络视频作品展播：《感谢有你》
FLYING-IN-THE-WIND,他是行脚僧，沿街叫卖的货郎，渔人还是乞讨的旅人，我们至今还无百分百的定论。但更倾向于是个行脚僧的说法，稍后会一一展示搜集来的资料做个简单的说明。通过对一个人物的绘画和研究，才知道以前对清明上河图的精妙复杂只是停留在抽象和泛泛的感觉上。约2.4厘米高的人（加上笈的高度约3.4厘米）刻画得如此精细，画家除了深厚的写实功力，画家创作能力也是超强的。他可以自如的调度各类的资源来塑造丰富这样一个人物，这仅仅是千分之一的一个人而已。非常惭愧的是，因着自己学识装备不足，仅仅这一个人物硬是磕了一周才勉强画出来。像这样绝无废笔，笔笔都有用意的画家，我们不敢轻易的潦草杜撰，也正因为有这样的敬意，虽感觉困顿前路渺茫仍然觉得有趣和乐在其中。人物的身份是首要确认的重点，唯有确定了身份，服饰和身上的物件才会整理得更加顺畅。关于开头提出的几种可能，最先排除的是货郎这个身份。因为在其他北宋的画里看到货郎是挑着扁担的形象，并且有好几处可以相互佐证（在此不是重点，就不放图片了）。沿街乞讨的旅人这个身份是因着他手中拿着快板做出的一个假设。不过并无更多鲜明的特征或是道具可以强化这个可能，因此也不作重点的可能选项。我们在渔人和行脚僧之间来回了好多次，也找到了比较多的与这两个可能相关的图片资料。因着他身上有蓑衣和鱼篓加之画面的场景就在运河之上，甚至我们找到了日本的老照片（日本很多元素脱化于大唐，而宋就在唐之后，因此很多日本的资料非常值得做参考）与他的装扮非常类似，但对比下来看，行脚僧的资料似乎更有力度。尤其是我们发现鱼篓在当时并不只有渔民会用，它不是专属用具，而是一种非常普遍的盛放容器。下面介绍一下图片的资料：图三图四是敦煌行脚僧的图片资料和文字资料。图五图六是人物服饰，物什的参考资料。也有看到研究者提出疑问说画上人物有头发而僧人没有头发，关于此疑问我们找到敦煌行脚僧画像都是有头发的如图七（可能是因为长期在外无法经常剃发也可能是居士形象）如图十一因为画面可能有被修补的地方加之人物只有两厘米多，线条不过毫厘着实看不清楚，很多细节还是只能做猜测。比如是否有竹帘如我们想的那样卷在顶上，遇到风沙可放下来如图八。还有是否如图九猜测这样有一把剑呢？图十是一个疑问，没想明白这个结构是什么作用因此没画出来。现在也只能这样简单粗略的做个介绍，可能这样的资料写成公号会更适合观看，慢慢努力完善吧。也希望大家给我解惑补正，让我们的清明上河喵喵图可以一只一只鲜活起来
戮世摩羅史仗義,他是行脚僧，沿街叫卖的货郎，渔人还是乞讨的旅人，我们至今还无百分百的定论。但更倾向于是个行脚僧的说法，稍后会一一展示搜集来的资料做个简单的说明。通过对一个人物的绘画和研究，才知道以前对清明上河图的精妙复杂只是停留在抽象和泛泛的感觉上。约2.4厘米高的人（加上笈的高度约3.4厘米）刻画得如此精细，画家除了深厚的写实功力，画家创作能力也是超强的。他可以自如的调度各类的资源来塑造丰富这样一个人物，这仅仅是千分之一的一个人而已。非常惭愧的是，因着自己学识装备不足，仅仅这一个人物硬是磕了一周才勉强画出来。像这样绝无废笔，笔笔都有用意的画家，我们不敢轻易的潦草杜撰，也正因为有这样的敬意，虽感觉困顿前路渺茫仍然觉得有趣和乐在其中。人物的身份是首要确认的重点，唯有确定了身份，服饰和身上的物件才会整理得更加顺畅。关于开头提出的几种可能，最先排除的是货郎这个身份。因为在其他北宋的画里看到货郎是挑着扁担的形象，并且有好几处可以相互佐证（在此不是重点，就不放图片了）。沿街乞讨的旅人这个身份是因着他手中拿着快板做出的一个假设。不过并无更多鲜明的特征或是道具可以强化这个可能，因此也不作重点的可能选项。我们在渔人和行脚僧之间来回了好多次，也找到了比较多的与这两个可能相关的图片资料。因着他身上有蓑衣和鱼篓加之画面的场景就在运河之上，甚至我们找到了日本的老照片（日本很多元素脱化于大唐，而宋就在唐之后，因此很多日本的资料非常值得做参考）与他的装扮非常类似，但对比下来看，行脚僧的资料似乎更有力度。尤其是我们发现鱼篓在当时并不只有渔民会用，它不是专属用具，而是一种非常普遍的盛放容器。下面介绍一下图片的资料：图三图四是敦煌行脚僧的图片资料和文字资料。图五图六是人物服饰，物什的参考资料。也有看到研究者提出疑问说画上人物有头发而僧人没有头发，关于此疑问我们找到敦煌行脚僧画像都是有头发的如图七（可能是因为长期在外无法经常剃发也可能是居士形象）如图十一因为画面可能有被修补的地方加之人物只有两厘米多，线条不过毫厘着实看不清楚，很多细节还是只能做猜测。比如是否有竹帘如我们想的那样卷在顶上，遇到风沙可放下来如图八。还有是否如图九猜测这样有一把剑呢？图十是一个疑问，没想明白这个结构是什么作用因此没画出来。现在也只能这样简单粗略的做个介绍，可能这样的资料写成公号会更适合观看，慢慢努力完善吧。也希望大家给我解惑补正，让我们的清明上河喵喵图可以一只一只鲜活起来
河南法治频道,:#我们一起战“疫”#市检察院制定复工复产十项措施法院院长帮扶辖区赴武汉护士还有一“菠”爱心故事为充分发挥检察职能服务保障企业复工复产，开封市人民检察院结合我市实际制定10项措施，为夺取疫情防控和经济社会发展双胜利提供有力司法保障。市检察院制定复工复产十项措施法院院长帮扶辖区赴武汉护士还有一“菠”爱心故事
魅力开封,:【开封市新冠肺炎疫情防控工作第二场新闻发布会举行】3月2日，开封市新冠肺炎疫情防控工作第二场新闻发布会在市政府新闻发布厅举行，通报我市疫情防控工作最新进展，发布工业、交通、建筑领域复工复产情况，统筹做好疫情防控和经济社会发展工作，夺取疫情防控和经济社会发展双胜利。市疫情防控指挥部成员及工业领域工作专班、交通检疫组等相关负责人参加发布会。据悉，截至2月底，全市709家规模以上工业企业复工，复工率达91.72%；复工人数12.05万人，复产率54.65%。其中，产业集聚区共有414家企业复工，复工率为94.5%。在全市326个应复工开工重点项目中，255个项目复工开工，复工开工率为78.22%，累计返岗8381人。其中，34个省重点项目复工开工，复工开工率为87.18%。下一步，我市将在切实抓好疫情防控的基础上，进一步加快企业和重点项目复工开工，努力把疫情对经济发展的影响降到最低，力争全面完成全年经济社会发展各项目标任务。（全媒体记者：赵海龙）
汴梁都市网,:#新浪看点#开封市第二中医院的抗“疫”故事开封市第二中医院的抗“疫”故事
开封交警,:#护航复工复产#【交警五大队，全力为复工复产“保驾护航”】为做好复工复产期间交通管理工作。2020年3月2日下午，开封市交警五大队副大队长吴凤伟与四中队中队长沙鑫带领人员深入辖区奇瑞汽车有限公司进行走访，了解公司复工复产后，对奇瑞公司配发了通行证，保障运输车辆复工后的行驶，对人员的安全防护，车辆消毒等一些注意事项提出建议。向负责人讲到如有复工复产人员，我们可以提供绿色通道并警车护送回厂。进一步优化复工复产企业周边道路交通组织、规范完善交通安全设施，加强复工复产企业周边道路重点巡逻和秩序维护，确保企业人员、物资进出畅通、安全出行。@公安部交通管理局@央视新闻@人民日报@法制日报@中国警方在线@新华社@交通安全小V@平安中原@平安开封@河南交警@开封网@映象网
lovemeki津,:发布了头条文章：《开封市中心医院整形外科价格表2020版明细和医生信息公布》开封市中心医院整形外科价格表2020版明细和医生信息公布
文明开封市政管理,:#疫情防控开封在行动#市政管理处组织党员开展支持新冠肺炎疫情防控爱心捐款活动为全力支持湖北新型冠状病毒感染肺炎疫情防控工作，携手打赢疫情防控阻击战，积极响应党中央对广大党员的号召。2月28日，开封市市政管理处组织党员开展了支持新冠肺炎疫情防控爱心捐款活动。处长张文峰等领导班子成员率先带头捐款，各党支部积极行动，广大党员迅速响应，一些退休老党员也自发地参与捐助活动，在全处范围内进一步凝聚众志成城、齐心抗疫、坚决打赢疫情防控战争的正能量。截至2月28日下午，全处共有7个党支部、130余名党员参与了捐款，捐款总额8968元。在此捐款活动之前，部分党员前期自发参与了疫情防控爱心捐款活动，例如社区帮扶工作队队长陈丹、副队长陈树君两名同志分别向帮扶社区延寿寺社区捐款200元，党员职工田雨、刘静、吴启帅三名同志分别向武汉市慈善总工会捐款200、100、100元，党员职工张卫锋同志向河南省妇女儿童发展基金会捐款500元。全处党员、干部用行动和爱心充分展现出关键时刻的责任担当和大爱情怀，特别是党员充分发挥先锋模范作用，带头支持和配合党支部开展爱心捐款活动，阻击疫情、共克时艰，用实际行动奉献出了自己的爱心。@文明开封@文明河南@中国文明网
