美东侨报,:#全国最新疫情地图#【#新冠肺炎#全国累计确诊80424例】截至3月3日20时31分，全国累计确诊病例80424例（昨日新增120），现有确诊27427例（新增-2572），疑似病例520例（新增143），现有重症6416例（新增-390），累计治愈病例50013例（新增2654），累计死亡病例2984例（新增38）。
青岛晚报,:【山东：0疑似！0确诊！】2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。详见下表（单位:例）：
枣庄城事资讯,:2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况#山东新型肺炎疫情情况#2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。详见下表（单位:例）：备注：根据要求，按病例确诊时医院所在县区统计。http://t.cn/Rcdt451
潍坊933广播,:2020年3月4日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。
言十四_,【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。对不同亚型的深入了解，将有助于新冠肺炎的差异化的治疗和防控。以上研究来自中国科学院主办的《国家科学评论》于3月3日发表的论文《关于SARS-CoV-2的起源和持续进化》。论文通讯作者为陆剑研究员（北京大学生命科学学院生物信息中心）、崔杰研究员（中国科学院上海巴斯德研究所）。http://t.cn/A67Wwyzc
府前路彭于晏,:#枣庄新闻点[超话]#司法部副部长熊选国表示，截至2月25日，湖北、浙江、山东三省五所监狱共确诊555例，疑似病例19例，重症病例4例，目前没有发生监狱在押罪犯感染新冠肺炎死亡的病例。
新湘评论杂志社,:#湖南省统筹推进疫情防控和经济社会发展新闻发布会#【省卫生健康委党组书记、主任陈小春：114个县市区连续14天以上0新增】截至3月3日24时，全省累计报告确诊病例1018例，出院病例913例，在院治疗101例，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，占93.4%；有4个市州实现确诊患者治愈清零。
绿色青浦,:#上海战疫##上海加油#【上海今天0-12时无新增确诊病例】今天0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。新民晚报#上海时刻#http://t.cn/A67W7r5b
JatterHK,:【今天0-12时，#上海#无新增新型冠状病毒肺炎确诊病例】#长三角战疫观#2020年3月4日0-12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，上海常住人口227例。具体情况如下图。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。（健康上海12320）#上海加油##上海战疫#http://t.cn/RyhYNv0
精彩渝水,:#关注新冠肺炎#【国家卫健委：#疫情防控积极向好态势正在拓展#】国家卫健委新闻发言人、宣传司副司长米锋3日在新闻发布会说，3月2日0—24时，除湖北以外，其他省份新增确诊病例11例，新增疑似病例65例，无新增死亡病例，重症病例减少25例。湖北以外省份，近5日每日新增确诊病例数基本维持在10例左右，每日新增疑似病例数连续4日维持在100例以下，#近6日每日出院病例3000例左右#。全国疫情防控形势积极向好的态势正在拓展。（李金磊）http://t.cn/A67Nw8hP
海南广播电视总台微博,:【3月4日0时至12时，海南新增2名患者出院】据海南省卫生健康委员会最新数据显示，3月4日0时至12时，海南无新增确诊病例，新增2名患者出院。截至3月4日12时，海南省累计报告新型冠状病毒肺炎确诊病例168例，重症病例2例，死亡病例5例，出院病例157例。http://t.cn/A67WzDM2
这里是湖南,:#湖南防控新型肺炎#【全省122个县市区中有114个连续14天以上无新增确诊病例】截至3月4日12时，全省累计报告确诊病例1018例，出院病例927例，在院治疗87例，累计治愈出院率达91.1%，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，有4个市州实现确诊患者治愈清零。http://t.cn/EhGn2gw
平顶山市人民政府,:【国家卫健委截至3月3日24时新型冠状病毒肺炎疫情最新情况】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。来源：国家卫健委官方网站
黎洋侠,:#张文宏预测新冠病毒最终发展##健康中国光明行#据东方网报道：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。感慨一句，这个数字的背后蕴藏着多少战士们的努力，相信一切会更好的！
枣庄聚焦,:【2020年3月3日12时至24时山东省新型冠状病毒肺炎疫情情况】2020年3月3日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；无新增治愈出院病例，累计治愈出院511例。截至目前，追踪到密切接触者16970人，尚有489人正在接受医学观察。
长沙同城,:【全省122个县市区中有114个连续14天以上无新增确诊病例】截至3月4日12时，全省累计报告确诊病例1018例，出院病例927例，在院治疗87例，累计治愈出院率达91.1%，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，有4个市州实现确诊患者治愈清零。（红网）
昆明市信访局,:#云南新闻#【截至3月3日24时云南现有确诊病例3例】据云南省卫生健康委员会消息：3月3日12时至24时，无新增确诊病例。截至3月3日24时，已连续12天新增病例为0，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例5例。密切接触者当日解除医学观察12人，正在观察81人。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。
湖南交通频道官方微博,:#湖南省统筹推进疫情防控和经济社会发展新闻发布会#【省卫生健康委党组书记、主任陈小春：114个县市区连续14天以上0新增】截至3月3日24时，全省累计报告确诊病例1018例，出院病例913例，在院治疗101例，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，占93.4%；有4个市州实现确诊患者治愈清零。#湖南应急广播湖南交通频道#
绿色青浦,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】#最新#据@上海发布，市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下↓确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##上海加油#
花城咖,:#抗疫最前线#据国家卫健委统计，3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。　　当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。　　截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。　　湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。　　累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。http://t.cn/A67Wy2HO
湖南日报,:#湖南省统筹推进疫情防控和经济社会发展新闻发布会#【省卫生健康委党组书记、主任陈小春：114个县市区连续14天以上0新增】截至3月3日24时，全省累计报告确诊病例1018例，出院病例913例，在院治疗101例，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，占93.4%；有4个市州实现确诊患者治愈清零。
红网,:【全省122个县市区中有114个连续14天以上无新增确诊病例】截至3月4日12时，全省累计报告确诊病例1018例，出院病例927例，在院治疗87例，累计治愈出院率达91.1%，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，有4个市州实现确诊患者治愈清零。
上海黄浦,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】#上海战疫##上海加油#市卫健委今日（4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下：http://t.cn/A67W2MOI
李先创,:#美国纽约州首例确诊患者没去医院#以某个病例为参照系不靠谱，以重症患者为例就会心生畏惧，轻症患者为例就会心生侥幸。首例确诊患者只代表自己，以偏概全的结论是不可靠的。
上海静安,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】#上海加油##上海战疫#市卫健委今日（4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例……详见：http://t.cn/A67Ww8Pz
火速头条,:#火速头条#【3月4日0—12时，上海无新增确诊病例丨上海新闻发布会】2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。
陵水气象爱好者,:#张文宏预测新冠病毒最终发展#截至到今天12时，海南省现存确诊病例减少至6例（含2例重症）！其中，海口市1例、三亚市2例、儋州市2例、东方市1例。
新闻晨报,:【3月4日0—12时，上海无新增确诊病例丨上海新闻发布会】2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。
青年报,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下图。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。
平安郏县,:【最新！河南0新增，出院11例！中国境外确诊病例过万】2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。
夏日旋律summer,【#北京新增两例境外输入病例#：1例为伊朗输入，1例为意大利输入】据北京市卫健委通报，3月3日0时至24时，#北京新增3例新冠肺炎确诊病例#，其中2例为境外输入病例（1例为伊朗输入病例，1例为意大利输入病例），1例为我市本地病例，均已送至定点医疗机构进行救治。报告新增疑似病例11例、密切接触者61人。治愈出院患者6例，分别从市区两级定点医院出院。其中有3名男性，3名女性，年龄最小的18岁，最大的60岁。截至3月3日24时，累计确诊病例417例，治愈出院病例294例，死亡病例8例。现有疑似病例38例。累计确定密切接触者2796人，其中309人尚在隔离医学观察中。确诊病例中东城区13例、西城区53例、朝阳区71例、海淀区63例、丰台区43例、石景山区14例、门头沟区3例、房山区16例、通州区19例、顺义区10例、昌平区29例、大兴区39例、怀柔区7例、密云区7例、延庆区1例，平谷区尚未有病例，外地来京人员25例，境外输入人员4例。
浦东发布,:#上海战疫##上海加油#【上海今天0-12时无新增确诊病例】市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下↓确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。
火速头条,:#火速头条#【上海今日0-12时无新增确诊病例】#上海战疫#上海市卫生健康委新闻发言人郑锦介绍，2020年3月4日0-12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。http://t.cn/A67WPkr5疫情防控新闻发布会｜上海今日0-12时无新增确...<iclass="W_ficonficon_cd_img"
上海播报,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】@健康上海12320消息，2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下图。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海播报##上海身边事##上海爆料##上海战疫##上海加油#
海南网络广播电视台,:【3月4日0时至12时，海南新增2名患者出院】据海南省卫生健康委员会最新数据显示，3月4日0时至12时，海南无新增确诊病例，新增2名患者出院。截至3月4日12时，海南省累计报告新型冠状病毒肺炎确诊病例168例，重症病例2例，死亡病例5例，出院病例157例。http://t.cn/A67WzDM2
上海长宁,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】#最新#市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下↓确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##上海加油#（via上海发布）
小胖腿儿的小心情,【#新冠肺炎诊疗方案第七版#转存！】3日，国家卫生健康委发布《新型冠状病毒肺炎诊疗方案（试行第七版）》：①#提醒注意境外输入性病例#导致的传播和扩散；②呼吸道飞沫和接触传播是主要传播途径，在相对封闭的环境中长时间暴露于高浓度气溶胶情况下中存在经气溶胶传播的可能。在粪便及尿中可分离到新型冠状病毒，应注意粪便及尿对环境造成气溶胶或接触传播。详情↓http://t.cn/A67OJxCl
上海虹口,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】#最新#市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下↓确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##应注意粪尿造成气溶胶或接触传播#（y）
上海宝山发布,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】#最新#市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下↓确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##上海加油#
上海闵行,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】@上海发布市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下↓确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##上海加油#
金山传播,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】市卫健委今日（4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##最新#
云南艺术学院文华学院新闻中心,:#抗击疫情文华在行动#【3月4日0时至12时，云南无新增确诊病例】截至3月4日12时，云南省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。
上海嘉定,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】#最新#据@上海发布，市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##上海加油#
东方网,:【今天0-12时，#上海#无新增新型冠状病毒肺炎确诊病例】#长三角战疫观#2020年3月4日0-12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，上海常住人口227例。具体情况如下图。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。（健康上海12320）#上海加油##上海战疫#
上海宝山发布,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】#最新#市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下↓确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##上海加油#
上海闵行,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】@上海发布市卫健委今日（3月4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。具体情况如下↓确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##上海加油#
金山传播,:【今天0-12时，上海无新增新型冠状病毒肺炎确诊病例】市卫健委今日（4日）通报：2020年3月4日0—12时，上海市排除新型冠状病毒肺炎疑似病例4例；新增治愈出院4例（其中1例曾为危重症患者、1例曾为重症患者，经多学科专家团队积极救治后治愈）；无新增确诊病例。截至3月4日12时，上海市已累计排除疑似病例2449例，发现确诊病例338例。确诊病例中，男性176例，女性162例；年龄最大88岁，最小7月龄；145例有湖北居住或旅行史，34例有湖北以外地区居住或旅行史，158例有相关病例接触史，1例流行病学调查正在进行中；外地来沪人员111例，本市常住人口227例。确诊病例中，现有37例在院治疗，其中28例病情平稳，9例病情危重；298例治愈出院；3例死亡。尚有31例疑似病例正在排查中。#上海战疫##最新#
