新浪重庆,:#重庆抗击新冠肺炎#【最新：重庆连续8日无新增确诊病例现有在院确诊病例为零区县增至14个】2020年3月3日0—24时，重庆市无新冠肺炎新增确诊病例报告，新增治愈出院病例21例。新增治愈出院病例中，万州区5例、涪陵区1例、江北区2例、九龙坡区1例、南岸区1例、合川区1例、綦江区1例、大足区1例、铜梁区1例、垫江县2例、忠县1例、云阳县1例、奉节县1例、巫山县1例、石柱县1例。截至3月3日24时，重庆市现有在院确诊病例80例（其中重型病例5例、危重型病例2例），累计死亡病例6例，累计治愈出院病例490例，累计报告确诊病例576例。累计追踪到密切接触者23602人，已解除医学观察23288人，尚有314人正在接受医学观察。具体情况如下：专家认为，截至3月3日，我市连续8日无新增确诊病例，现有在院确诊病例降至80例，现有在院确诊病例为零的区县增至14个，疫情发展态势积极向好。但是，零增长并不等于零风险。随着企业复工复产比例不断提高，来渝返渝人员包括境外来渝返渝人员不断增加，当前疫情防控形势依然严峻复杂，仍有很大的不确定性，面临着反弹压力，决不能盲目乐观，必须抓紧抓实抓细各项防控措施。重庆市卫生健康委提示：当前仍然是疫情防控的关键时期，广大市民千万不要放松警惕，依然要持续做好个人防护，坚持少出门、戴口罩、勤洗手、不聚餐、不聚集。如果出现发热、咳嗽、乏力等可疑症状，请戴好口罩，及时到发热门诊就诊。
重庆市江北区委外宣办,:专项再贷款！重庆为企业复工复产提供资金支持今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），人行重庆营管部副主任王江渝就人行重庆营管部牵头的两项再贷款政策作简要解读。疫情防控重点企业专项再贷款已发放优惠利率贷款逾60亿元为了支持打赢新型冠状病毒感染的肺炎疫情防控阻击战，人民银行总行决定设立专项再贷款，用于支持金融机构向相关直接参与防疫的重点医用物品和生活物资的生产、运输和销售的重点企业提供优惠利率信贷支持。王江渝介绍，专项再贷款执行优惠利率，目前为1.55%，并相应要求银行向重点企业发放的贷款利率不得高于最近一期一年期LPR减100个基点（目前为3.05%），同时财政给予50%的贴息，确保企业获得低成本资金支持。企业获得的资金必须专款专用，全部用于疫情防控相关的生产经营活动。专项再贷款支持的重点保障企业实行名单制管理，采用分层管理模式。➩在全国层面，国家发改委、工业和信息化部制定全国性重点企业名单，由9家全国性银行（具体为：国家开发银行、进出口银行、农业发展银行、中国工商银行、中国农业银行、中国银行、中国建设银行、交通银行、中国邮政储蓄银行）做好对接服务。➩在省级层面，湖北和重庆等10省（市）制定各自辖区省级重点企业名单并向国家发改委、工业和信息化部备案后实施，由各省3家地方法人银行（重庆的3家银行为：重庆银行、重庆三峡银行、重庆农村商业银行）、6家全国性银行分行（具体为：中国工商银行、中国农业银行、中国银行、中国建设银行、交通银行、中国邮政储蓄银行）做好对接服务。“专项再贷款政策出台后，市级有关部门共同拟定了首批重点企业名单，重庆营管部立即督导金融机构制定一对一精准服务方案，对重点企业需求开展拉网式、全覆盖摸排，并建立信贷审批绿色通道，严格按照‘快速、精准、依法合规’的要求，为重点保障企业提供优惠利率贷款支持。”王江渝表示，截至3月1日，重庆市金融机构累计向155户重点企业发放优惠利率贷款272笔、金额60.75亿元。如：重庆上坤医疗器械有限公司原主要生产口罩，后经市政府特批成为我市防护服重点生产保障企业、第一家医用防护服生产企业，但企业急需增加2台生产设备并购置大批原材料，面临资金缺口。专项再贷款政策出台后，重庆农商行仅用1天时间，就为期发放信用贷款200万元。企业获得贷款后积极组织生产，2月3日第一件“重庆造”医用防护服试产，2月5日产能提升至日产1000套，其生产的医用防护服全部由重庆市政府统一采购调配。专用再贷款政策为企业复工复产提供资金支持王江渝表示，按照2月25日国务院常务会议统筹推进疫情防控和经济社会发展部署，人民银行总行决定增加支农、支小再贷款专用额度，并下调支农、支小再贷款利率25个基点，为企业有序复工复产提供低成本、普惠性的资金支持，切实解决企业复工复产面临的债务偿还、资金周转和扩大融资等迫切问题。这部分专用额度是为应对复工复产而设立的阶段性政策，有效期自2020年2月26日至2020年6月30日止。“根据人民银行总行工作部署，重庆地区支农再贷款专用额度的发放对象为农村商业银行、村镇银行等2类地方法人金融机构；支小再贷款专用额度的发放对象为城市商业银行、农村商业银行、村镇银行、民营银行等4类地方法人金融机构。”王江渝介绍，金融机构使用再贷款专用额度贷款利率上限为最近的一年期LPR加50个基点，目前为4.55%。根据金融机构运用支农再贷款专用额度的资金使用投向，支农再贷款的使用投向主要是支持：➩脱贫攻坚、春耕备耕、养猪等禽畜养殖、县域小微企业复工复产等领域。➩运用支小再贷款专用额度的资金投向用途为普惠小微企业贷款，重点支持受疫情影响较大的外贸、制造业、旅游娱乐、住宿餐饮、交通运输等行业的小微企业和个体工商户。“2月26日人民银行总行部署该项工作后，人民银行重庆营业管理部迅速召开全辖电视电话会议，要求各级行‘一把手’抓总负责，制定工作方案、细化工作举措，立即督导金融机构加快对接企业、加快授信审批，为企业复工复产提供资金支持。”王江渝表示，目前首批贷款已落地，如重庆银行向重庆莱诺医疗科技有限公司发放贷款300万元、利率4.35%，支持其购买原材料用于生产医药卫生用品；向重庆市黔江区丰采多有机肥有限公司发放贷款90万元、利率4.35%，用于购买原材料恢复有机肥料及微生物肥料生产。延伸阅读目前重庆进入全国性重点保障企业名单的已有46家疫情发生之后，为解决物资紧缺问题，部分企业响应国家号召，迅速转向生产口罩和防护服等防疫物资，对这些企业人民银行是否有金融支持政策？就此问题，王江渝在发布会上表示，建议这些企业去申报全国性或者地方性重点企业保障名单，如果进入这个名单，就可以纳入专项再贷款支持的范围，银行提供优惠利率的贷款。“如果这些企业暂时没有进入名单，也可根据人民银行有关的文件规定要求，鼓励金融企业跟这些企业积极对接提供信贷支持。”王江渝介绍，目前，重庆市进入全国性重点保障企业名单的一共有46家，地方性重点企业保障名单有378家。
龙都濮阳,:#濮阳身边事[超话]#【单日濮阳公安交警护送农民工返岗首超千人】3月2日，从长途汽车站、技工学校等农民工发车点集中组织农民工返岗复工39车次、1012人。主要是发往江西省、浙江省、江苏省、重庆市、山东省、广东省等地。交警支队警车开道分批次进行了护送！在技工学校集合点，发车前，支队长宋彦军对司乘人员进行了面对面交通安全宣传教育。来源:畅通濮阳http://t.cn/R2WxHmm
重庆法制报,:【小微企业担保贷款规模年底预计达100亿元】今日下午，在重庆市新冠肺炎疫情防控工作新闻发布会上，市财政局总会计师彭涌就此次“支持企业40条”政策中的小微企业融资担保费奖补专门进行了解读。彭涌介绍，小微企业目前有两个问题：一方面是融资难，因为缺乏抵押担保物品，所以融资难，信用不够；另一方面是融资贵，有了融资担保机构为其担保，就解决了信用不足的问题。政府向融资担保机构给予担保费补贴，相应就会降低企业融资成本，所以融资担保在一定程度上缓解了企业，特别是小微企业融资难、融资贵的问题，这是政策的目标。“融资担保奖补政策有三个核心。”彭涌介绍，一是此升彼降，政府的补助增加了，在原来补助0.5%的基础上，再增加补助0.5%，那企业的融资成本就再下降0.5%。二是对融资担保机构实行累进激励，如果为小微企业担保得越多补助得越高。目前分了三个档：一个是70%-80%，一个是80%-90%，还有一个是90%以上。原来分别补助0.5%、0.7%和0.8%，现在原来的基础上提高0.5%，达到了1%、1.2%和1.3%。三是担保机构支持小微企业的担保贷款业务，同时还享受风险补偿政策，国家担保基金和我市财政承担40%的风险。“这个政策我们测算了一下，初步要新增财政支出大概是5000万。同时，我们也预计低费率的担保规模，在原来的基础上再增加30亿元，今年底的小微企业担保贷款规模预计达到100亿元。”彭涌说道。那么企业如何申请？彭涌表示，担保机构无论是国有的还是民营的，这项政策都是一视同仁，也希望担保机构积极参与。有需求的小微企业，也可以向所在地的担保机构咨询办理，如果申请担保融资过程中遇到了问题，也可以向财政部门咨询。（记者杨雪）
重庆长安网,:【小微企业担保贷款规模年底预计达100亿元】本网讯（记者杨雪）今日下午，在重庆市新冠肺炎疫情防控工作新闻发布会上，市财政局总会计师彭涌就此次“支持企业40条”政策中的小微企业融资担保费奖补专门进行了解读。彭涌介绍，小微企业目前有两个问题：一方面是融资难，因为缺乏抵押担保物品，所以融资难，信用不够；另一方面是融资贵，有了融资担保机构为其担保，就解决了信用不足的问题。政府向融资担保机构给予担保费补贴，相应就会降低企业融资成本，所以融资担保在一定程度上缓解了企业，特别是小微企业融资难、融资贵的问题，这是政策的目标。“融资担保奖补政策有三个核心。”彭涌介绍，一是此升彼降，政府的补助增加了，在原来补助0.5%的基础上，再增加补助0.5%，那企业的融资成本就再下降0.5%。二是对融资担保机构实行累进激励，如果为小微企业担保得越多补助得越高。目前分了三个档：一个是70%-80%，一个是80%-90%，还有一个是90%以上。原来分别补助0.5%、0.7%和0.8%，现在原来的基础上提高0.5%，达到了1%、1.2%和1.3%。三是担保机构支持小微企业的担保贷款业务，同时还享受风险补偿政策，国家担保基金和我市财政承担40%的风险。“这个政策我们测算了一下，初步要新增财政支出大概是5000万。同时，我们也预计低费率的担保规模，在原来的基础上再增加30亿元，今年底的小微企业担保贷款规模预计达到100亿元。”彭涌说道。那么企业如何申请？彭涌表示，担保机构无论是国有的还是民营的，这项政策都是一视同仁，也希望担保机构积极参与。有需求的小微企业，也可以向所在地的担保机构咨询办理，如果申请担保融资过程中遇到了问题，也可以向财政部门咨询。
万州发布,:#重庆市政府新闻发布会#【“湖北所需、重庆所能”，全力支援湖北抗击新冠肺炎】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍了重庆支援湖北的相关情况。人员方面。重庆有18批1636名队员支援湖北，其中812名队员在孝感。除此，武汉、荆门、天门等地都有重庆的队员。物资方面。市卫健委向医疗队员调拨医疗物资24.44万件，生活物资有12.41万件，向湖北孝感紧急支援了ECMO等关键设备。调集重庆的爱心血液52.35万毫升。#火箭军回应护士向国家要男朋友#
独行骑士·Lwf,:#腾讯新闻#成都商报红星新闻:【没去外地、没接触过病例，超市员工莫名感染，揭秘重庆首例无症状感染者是怎样被发现的?】3月2日，重庆市政府新闻办举行新冠肺炎疫情防控工作例行新闻发布会。重庆市疾控中心专家、流行病学博士宿昆对相关病例进行通报。宿昆介绍，1月24日除夕当天，市疾控中心接到某县疾控中心求助：当地发现有3例新冠肺炎确诊病例，在3例病例中，首例病例是超市服务员A，1月14日发病。第二例和第三例病例B和C，http://t.cn/A67pAJrG来自@腾讯新闻
万州发布,:#抗击新型肺炎第一线#【“渝康码”不允许截图使用如不实填写信息将承担法律责任】2月19号，重庆“渝康码”正式上线，“渝康码”到底在哪些场景下使用？“渝康码”对企业复工复产、高校复学、市民出行等有什么帮助？3日，重庆市健康教育所副所长杨庆华为市民进行了一一解答。http://t.cn/A67N19Gj#钟南山李兰娟等10个院士团队齐聚湖北#
王泽世的世界,:《一例“离奇”感染：没去外地、没接触过病例，超市员工却感染了》3月2日重庆市新冠肺炎疫情防控工作第三十七场新闻发布会上通报了一则“离奇”的感染病例。http://t.cn/A67p79Mj发源人就可能是无症状感染者！
梨重庆,:【重庆连续7日无新增确诊病例，吃货网友：为了烤肉，加油！】截至3月2日24时，重庆市现有在院确诊病例101例，累计报告确诊病例576例。累计追踪到密切接触者23592人，已解除医学观察23235人，尚有357人正在接受医学观察。专家认为，重庆市连续7日无新增确诊病例，29个区县连续14日无新增确诊病例，待排查疑似病例降至个位数，疫情防控形势持续向好。@梨视频@一手Video@新浪重庆@享重庆http://t.cn/A67p74fa
资阳网警巡查执法,:【网警行动】病毒？病毒！（二）重庆市公安局网安总队和内蒙古兴安盟公安局网安支队近期分别接到线索通报，发现有人将恶意木马程序伪装成跟新冠肺炎疫情相关的文件进行传播，以此获取他人计算机控制权限。那么，这些病毒到底是从哪里来的呢？『【网警行动】病毒？病毒！（二）』http://t.cn/A67NoSwM
重庆第一时间,:【重庆：主城区继续实施小区登记管理暂停聚集用餐和堂食】今天，重庆市发布《关于统筹做好分区分级分类疫情防控工作的通知》，1.主城区作为高风险区县，暂停聚集性用餐和餐饮堂食服务；2.逐步恢复批发零售、酒店住宿、理发、洗染、维修等生活服务；3.继续实施小区登记管理，严控外来人员进入；4.继续实施现有交通运输防控措施。#重庆身边事##重庆抗疫在行动#
上上官官燕燕林林,:洪崖洞，位于重庆市渝中区解放碑沧白路，是兼具观光旅游、休闲度假等功能的旅游区，是以传统建筑和民俗风貌特色而被评为国家4A级旅游景区。洪崖洞是重庆市重点景观工程！重庆上上官官燕燕林林的微博视频
津彩青春,:【战“疫”中的青春家书|把日记当家书给儿子写下我的心里话】梅枚，重庆市支援湖北医疗队队员、铜梁区人民医院呼吸与危重症医学科护士。“今天下班，当我走出湖北孝感市第一人民医院时，心里有些空落落的，想写点什么，就给我亲爱的儿子写点心里话吧。”#中国好家风##青春接力武汉加油#
达州网警巡查执法,:【网警行动】病毒？病毒！（二）重庆市公安局网安总队和内蒙古兴安盟公安局网安支队近期分别接到线索通报，发现有人将恶意木马程序伪装成跟新冠肺炎疫情相关的文件进行传播，以此获取他人计算机控制权限。那么，这些病毒到底是从哪里来的呢？『【网警行动】病毒？病毒！（二）』http://t.cn/A67NoSwM
重庆天气,:【21时预报】2020年03月03日21时重庆市气象台发布的重庆地区未来24小时天气预报：预计，今天夜间到明天白天，小雨，10到14度。
重庆长安网,:【我市金融机构向155户重点企业发放优惠利率贷款60.75亿元】本网讯（记者杨雪）在今日的重庆市新冠肺炎疫情防控工作新闻发布会上，人民银行重庆营管部副主任王江渝就在“支持企业40条”中人行重庆营管部牵头的疫情防控重点企业专项再贷款和专用再贷款政策作了解读。专项再贷款支持的重点保障企业由金融机构一对一精准服务王江渝介绍，为了支持打赢新型冠状病毒感染的肺炎疫情防控阻击战，人民银行总行决定设立专项再贷款，用于支持金融机构向相关直接参与防疫的重点医用物品和生活物资的生产、运输和销售的重点企业提供优惠利率信贷支持。专项再贷款执行优惠利率，目前为1.55%，并相应要求银行向重点企业发放的贷款利率不得高于最近一期一年期LPR减100个基点（目前为3.05%），同时财政给予50%的贴息，确保企业获得低成本资金支持。企业获得的资金必须专款专用，全部用于疫情防控相关的生产经营活动。“专项再贷款支持的重点保障企业实行名单制管理，采用分层管理模式。”王江渝介绍，在全国层面，国家发改委、工业和信息化部制定全国性重点企业名单，由9家全国性银行（具体为：国家开发银行、进出口银行、农业发展银行、中国工商银行、中国农业银行、中国银行、中国建设银行、交通银行、中国邮政储蓄银行）做好对接服务；在省级层面，湖北和重庆等10省（市）制定各自辖区省级重点企业名单并向国家发改委、工业和信息化部备案后实施，由各省3家地方法人银行（重庆的3家银行为：重庆银行、重庆三峡银行、重庆农村商业银行）、6家全国性银行分行（具体为：中国工商银行、中国农业银行、中国银行、中国建设银行、交通银行、中国邮政储蓄银行）做好对接服务。专项再贷款政策出台后，市级有关部门共同拟定了首批重点企业名单，重庆营管部立即督导金融机构制定一对一精准服务方案，对重点企业需求开展拉网式、全覆盖摸排，并建立信贷审批绿色通道，严格按照“快速、精准、依法合规”的要求，为重点保障企业提供优惠利率贷款支持。截至3月1日，重庆市金融机构累计向155户重点企业发放优惠利率贷款272笔、金额60.75亿元。如重庆上坤医疗器械有限公司原主要生产口罩，后经市政府特批成为我市防护服重点生产保障企业、第一家医用防护服生产企业，但企业急需增加2台生产设备并购置大批原材料，面临资金缺口。专项再贷款政策出台后，重庆农商行仅用1天时间，就为期发放信用贷款200万元。企业获得贷款后积极组织生产，2月3日第一件“重庆造”医用防护服试产，2月5日产能提升至日产1000套，其生产的医用防护服全部由重庆市政府统一采购调配。下调支农、支小再贷款利率25个基点王江渝介绍，在专用再贷款政策方面，按照2月25日国务院常务会议统筹推进疫情防控和经济社会发展部署，人民银行总行决定增加支农、支小再贷款专用额度，并下调支农、支小再贷款利率25个基点，为企业有序复工复产提供低成本、普惠性的资金支持，切实解决企业复工复产面临的债务偿还、资金周转和扩大融资等迫切问题。这部分专用额度是为应对复工复产而设立的阶段性政策，有效期自2020年2月26日至2020年6月30日止。王江渝介绍，根据人民银行总行工作部署，重庆地区支农再贷款专用额度的发放对象为农村商业银行、村镇银行等2类地方法人金融机构；支小再贷款专用额度的发放对象为城市商业银行、农村商业银行、村镇银行、民营银行等4类地方法人金融机构。“金融机构使用再贷款专用额度贷款利率上限为最近的一年期LPR加50个基点，目前为4.55%。”王江渝说，根据金融机构运用支农再贷款专用额度的资金使用投向，支农再贷款的使用投向主要是支持脱贫攻坚、春耕备耕、养猪等禽畜养殖、县域小微企业复工复产等领域；运用支小再贷款专用额度的资金投向用途为普惠小微企业贷款，重点支持受疫情影响较大的外贸、制造业、旅游娱乐、住宿餐饮、交通运输等行业的小微企业和个体工商户。王江渝介绍，2月26日人民银行总行部署该项工作后，人民银行重庆营业管理部迅速召开全辖电视电话会议，要求各级行“一把手”抓总负责，制定工作方案、细化工作举措，立即督导金融机构加快对接企业、加快授信审批，为企业复工复产提供资金支持。目前首批贷款已经落地，如重庆银行向重庆莱诺医疗科技有限公司发放贷款300万元、利率4.35%，支持其购买原材料用于生产医药卫生用品；向黔江区丰采多有机肥有限公司发放贷款90万元、利率4.35%，用于购买原材料恢复有机肥料及微生物肥料生产。此外，针对疫情爆发之后为解决物资紧缺问题，有一些原本是生产服装、为响应国家号召迅速转向生产口罩和防护服等物资的企业，王江渝建议这些企业，可以申报全国性或者地方性重点企业保障名单。“如果进入这个名单，我们就可以纳入专项再贷款支持的范围，银行提供优惠利率的贷款。”王江渝说，如果这些企业暂时没有进入名单，也可以根据人民银行有关的文件规定要求，也鼓励金融企业跟这些企业积极对接提供信贷支持。
重庆长安网,:【注意了！我市这三类对象可申请续贷续保】本网讯（记者杨雪）今日下午，在重庆市新冠肺炎疫情防控工作新闻发布会上，市金融监管局副局长金勇杰通报了“支持企业40条”中的续贷续保、融保增信2条政策具体操作流程。三类对象可申请续贷续保金勇杰介绍，关于续贷续保操作问题，这项政策包含三类对象，第一类针对困难中小微企业，第二类针对其中单户贷款规模1000万元以下的小微企业，第三类针对在贷款时有融资担保公司提供担保的中小微企业。据介绍，对第一类即困难中小微企业延期还本付息的操作流程，该项措施依据是银保监会《关于对中小微企业贷款实施临时性延期还本付息的通知》【银保监发〔2020〕6号】要求，对象是2020年1月25日以来贷款现在已经到期的困难中小微企业（含小微企业主、个体工商户）。企业认定标准要符合工信部《大中小微型企业划分办法》要求。在实际操作中，受疫情影响困难中小微企业（含个体工商户和小微企业主）可向贷款银行提出延期支付本金利息、免收罚息的申请，银行金融机构接到申请后，在平等协商、达成一致的前提下，双方按照《合同法》《商业银行法》完善相应的合同及协议等相关手续，即可办理，还本付息日期最长可延至2020年6月30日。金勇杰举例介绍，我市某药业有限公司在重庆农商行南川支行贷款4800万元，应于今年2月归还贷款，但受疫情影响还款困难，经向南川支行提出申请，该行立即对企业反映情况进行了核实确认，完善手续，将应于2月归还的贷款延期至6月归还，缓解了企业还款压力。“对第二类即单户贷款规模1000万元以下的小微企业展期续贷的操作流程，这部分措施是在上一部分措施上的进一步深化，目的是帮助受疫情影响比较严重，银行贷款规模不大，但数量较多，抗风险能力相对更薄弱的小微企业。”金勇杰说，政策力度更大，时间范围更宽，支持对象更聚焦，对受疫情影响的，2020年6月30日前到期（即2020年1月25日至6月30日区间内到期的）、单户贷款规模1000万元以下的困难小微企业（含个体工商户和小微企业主）均可享受，可向原贷款银行提出申请（具体办理方法同上），贷款本金最长可展期6个月，利息可最长缓期6个月支付（如3月21日到期的小微企业贷款，其本金和利息均可最长延期到9月21日还本付息，展期期间不视为逾期贷款，也不应加收罚息）。“我们希望各银行业金融机构在渝的市级总部授权各支行办理，尽可能简化流程，不需要层层审批，也鼓励银行运用现代通讯技术、远程认证等科技手段等方式在网上办理，让服务更加便捷高效。”金勇杰说道。对第三类即以上有融资担保公司提供融资担保的中小微企业续保的操作流程，以上展期续贷企业中，有一部分是融资担保机构提供了担保的，这部分企业在办理展期续贷时，除了银行外，还需融资担保机构同步配合办理续保，才能实现展期续贷。在实际操作中，由企业（含个体工商户和小微企业主）通过经办银行提出申请，经银行机构审核同意后将符合条件的企业推送融资担保机构审核，各融资担保机构与企业共同完善续保法律文书，配合银行做好同步续保工作，并缓收担保费，适用期限与贷款展期续贷应保持一致。地方金融监管部门也要配合做好督促指导工作，对符合上述条件的融资担保机构均应做到应续尽续、应展应展。各融资担保机构开设“绿色通道”关于融担增信的操作流程，金勇杰介绍，该项措施适用于疫情防控重点保障企业和受疫情影响出现暂时困难但发展前景较好的企业。实际操作中，一是可由以上企业向银行机构提出新增贷款或续贷申请，经办银行将符合条件的企业向各融资担保机构推送。二是各融资担保机构主动通过企业信息平台等渠道主动对接以上企业。三是在不违背内部风险控制的基础上，各融资担保机构开设“绿色通道”，实行优先受理、优先审批、优先担保，简化程序和手续，减少材料申报，缩短审批时限，加快办理效率，力争48小时内向银行出具保函。“我们地方金融监管部门鼓励各融资担保机构，对符合以上条件的企业做到应担尽担，并相应将担保费减免10%以上。”金勇杰介绍，如我市三峡担保公司主动对接一家防疫物资重点保障企业，通过“绿色通道”在48小时内完成担保审批工作，2次向该公司提供共计2200万元信用担保，并免受企业担保费和保证金，有效支持企业尽快恢复生产。
重庆长安网,:【受疫情影响企业可依法申请延期缴税】本网讯（记者杨雪）在今天的重庆市新冠肺炎疫情防控工作新闻发布会上，市税务局副局长姚朝智解读了重庆“支持企业40条”中涉及的8条税收政策。姚朝智介绍，8条税收政策分别体现在减税、免税、缓税、税前扣除、亏损结转等五个方面。阶段性调低小规模纳税人征收率姚朝智介绍，在减税方面，重庆将阶段性调低小规模纳税人征收率。2020年3月1日至2020年5月31日，全市增值税小规模纳税人，适用3%征收率的应税销售收入，减按1%征收率征收增值税；原适用3%预征率的预缴增值税项目，减按1%预征率预缴增值税。同时，将实施房产税和城镇土地使用税困难减免。因疫情原因，导致正常生产经营活动受到严重影响，缴纳房产税和城镇土地使用税确有困难的中小企业，可提出申请报主管税务机关核准，给予3个月的税收减免。单位、个体工商户无偿捐赠免税“免税方面有三条政策。”姚朝智介绍，一是对提供疫情防控重点保障物质运输收入免征增值税。自2020年1月1日起，对纳税人运输疫情防控重点保障物资取得的收入，免征增值税、城市维护建设税、教育费附加、地方教育附加。疫情防控重点保障物资的具体范围，由国家发展改革委、工业和信息化部确定。二是对提供公共交通运输服务、生活服务，以及为居民提供必需生活物资快递收派服务取得的收入，免征增值税。同时免征城市维护建设税、教育费附加、地方教育附加。公共交通运输服务的具体范围，包括轮客渡、公交客运、地铁、城市轻轨、出租车、长途客运、班车等。生活服务包括文化体育、教育医疗、旅游娱乐、餐饮住宿、居民日常服务和其他生活服务。收派服务，主要是指接受寄件人委托，在承诺的时限内完成函件和包裹的收件、分拣、派送服务的业务活动。三是单位、个体工商户无偿捐赠免税。单位、个体工商户将自产、委托加工或购买的货物，通过公益性社会组织和县级以上人民政府及其部门等国家机关，或直接向承担疫情防治任务的医院，无偿捐赠用于应对新冠肺炎疫情的，免征增值税、消费税、城市维护建设税、教育费附加、地方教育附加。受疫情影响可依法申请延期缴税在税前扣除方面，姚朝智介绍，企业通过公益性社会组织或县级以上人民政府及其部门等国家机关，捐赠用于应对新冠肺炎疫情的现金和物品，或直接向承担疫情防治任务的医院捐赠，用于应对新冠肺炎疫情的物品，允许在计算应纳税所得额时全额扣除，不受年度利润总额12%的限制。亏损结转方面，受疫情影响较大的交通运输、餐饮、住宿、旅游及其相关服务的四大类行业困难企业2020年度发生的亏损，最长结转年限由5年延长至8年。姚朝智介绍，延期缴纳方面，对受疫情影响不能按期申报缴纳税款的，可依法申请延期缴纳税款，但最长期限不超过3个月。纳税人必须符合以下两种情形之一，方可申请延期缴纳税款：一是因不可抗力，导致纳税人发生较大损失，正常生产经营活动受到较大影响的；二是当期货币资金在扣除应付职工工资、社会保险费后，不足以缴纳税款的。
保山网警巡查执法,:【网警行动】病毒？病毒！（二）重庆市公安局网安总队和内蒙古兴安盟公安局网安支队近期分别接到线索通报，发现有人将恶意木马程序伪装成跟新冠肺炎疫情相关的文件进行传播，以此获取他人计算机控制权限。那么，这些病毒到底是从哪里来的呢？【网警行动】病毒？病毒！（二）
三峡都市报微博,:#重庆市政府新闻发布会#【小微企业融资难、融资缓解小微企业融资难、融资贵】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），发布会上，市财政局总会计师彭涌介绍，政府向融资担保机构给予担保费补贴相应就会降低企业融资成本，所以融资担保在一定程度上缓解了企业，特别是小微企业融资难、融资贵的问题。担保机构无论是国有的还是民营的，这项政策都是一视同仁，有需求的小微企业可以向所在地的担保机构咨询办理，如申请中遇到问题，也可以向财政部门咨询。
三峡都市报微博,:#重庆市政府新闻发布会#【“湖北所需、重庆所能”，全力支援湖北抗击新冠肺炎】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍了重庆支援湖北的相关情况。人员方面。重庆有18批1636名队员支援湖北，其中812名队员在孝感。除此，武汉、荆门、天门等地都有重庆的队员。物资方面。市卫健委向医疗队员调拨医疗物资24.44万件，生活物资有12.41万件，向湖北孝感紧急支援了ECMO等关键设备。调集重庆的爱心血液52.35万毫升。
三峡都市报微博,:#重庆市政府新闻发布会#【重庆企业复工复产水电气有哪些优惠？实行“三降低一减免”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，涉及企业复工复产水电气等的政策主要有“三降低一减免”。“三降低”，即降低用电的成本、降低用水的成本、降低用气的成本；“一减免”，即减免部分电费，预计可降低企业用电用水用气成本约14.5亿元。
三峡都市报微博,:#重庆市政府新闻发布会#【精准开展政策辅导，多举措确保政策落地】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市税务局副局长姚朝智介绍，为保证政策的落实，市税务局主要做了以下几方面工作：●精准开展政策辅导。市税务局及时梳理了阶段性新政策，和现行有效老政策，发布了支持疫情防控的税费政策指引，编写了政策操作问答四期，通过电子税务局、12366纳税服务热线、微信、网站等向纳税人实时推送。●最大限度便利政策享受。除延期缴纳税款（属于行政许可）和中小困难企业申请房产税、城镇土地使用税减免（属于税收核准）这两项外，其它的政策都按照“纳税人自行判别、申报享受、相关资料留存备查”的方式办理。●持续加强政策效应分析。定点联系企业，分户确定税务联络员，市、区（县）两级税务机关分别组建定点联系企业团队，及时了解企业困难，跟踪分析评估各项税费政策执行效应，快速响应企业涉税诉求及意见建议。
三峡都市报微博,:#重庆市政府新闻发布会#【专项再贷款+专用再贷款，重庆两贷款政策“加持”助力复工复产】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场）。发布会上，人行重庆营管部副主任王江渝就人行重庆营管部牵头的两项再贷款政策作简要解读。一、疫情防控重点企业专项再贷款。专项再贷款，用于支持金融机构向相关直接参与防疫的重点医用物品和生活物资的生产、运输和销售的重点企业提供优惠利率信贷支持。专项再贷款执行优惠利率，目前为1.55%，并相应要求银行向重点企业发放的贷款利率不得高于最近一期一年期LPR减100个基点（目前为3.05%），同时财政给予50%的贴息。二、专用再贷款政策。金融机构使用再贷款专用额度贷款利率上限为最近的一年期LPR加50个基点，目前为4.55%。支农再贷款的使用投向主要是支持脱贫攻坚、春耕备耕、养猪等禽畜养殖、县域小微企业复工复产等领域；运用支小再贷款专用额度的资金投向用途为普惠小微企业贷款，重点支持受疫情影响较大的外贸、制造业、旅游娱乐、住宿餐饮、交通运输等行业的小微企业和个体工商户。
健康时报,:没去过外地，也没接触过病例，可却患上了新冠肺炎。到底是如何感染上的呢？重庆市疾控中心专家宿昆进行了“福尔摩斯式”的分析。#无症状感染者也可能成为传染源#一例“离奇”的感染：没去外地、没接触过病例，一超市员工却感染了…
