孔家72代的,:舒口水总结就是到位，赞
广州交通电台,:#关注新型冠状病毒肺炎疫情#【杨智聪：一则新闻提前敲响警钟】#抗疫最前线#去年12月31日，湖北武汉发出“不明原因肺炎”疫情的通报，当天，广州市疾控中心就把不明原因肺炎监测系统警戒级别提高，要求各区疾控、各医院相关专业人员强化监测，提前敲响了警钟。广州电视记者朱玥报道。#广州爆料##共同战疫#http://t.cn/A67oy7kh
孤獨哀瘋狼,://分享网易新闻:《专家:"不明原因肺炎"上报失灵多因实际操作没人管》专家复盘：“不明原因肺炎”上报失灵的背后@网易新闻客户端#网易新闻#
不老书生bj,:命都顾不上的时候，钱自然都不重要了。但没到那份上时，损失一点钱也会思虑再三。//【专家复盘：“不明原因肺炎”上报失灵的背后】专家复盘：“不明原因肺炎”上报失灵的背后
xajmlh,:#腾讯新闻#专家复盘：“不明原因肺炎”上报失灵的背后http://t.cn/A67oAiAS来自@腾讯新闻如果大家能早点接受吹哨人说的话引起警觉和及时对疫情病毒作出反应的话也许现在的结果就会大不一样了！
沂蒙老汉0539,:看看临沂在哪个等级区山东省发布新冠肺炎疫情分区分级表(2020年3月1日)风险等级每周调整一次，发生突发聚集性疫情或不明原因社区传播疫情时随时调整。
烟雨楼百年孤独,:【专家复盘：“不明原因肺炎”上报失灵的背后】#周刊君与你共同战疫#中疾控传染病预防控制所病毒学家、复旦大学上海市公共卫生临床中心兼职教授张永振领导的团队于2019年12月26日收到来自武汉的不明原因发热患者标本一份。1月5日上午，他们从标本中检测出一种新型冠状病毒，获得了该病毒的全基因组序列。上海公卫临床中心在同日向国家卫健委提交了一份病原学调查报告。报告指出：鉴于该病毒与造成SARS疫情的冠状病毒同源，应是经呼吸道传播，建议在公共场所采取相应的防控措施以及在临床救治中采用抗病毒治疗。但这份报告似乎并未起到什么作用。从第二天，即1月6日开始，到1月10日，武汉市卫健委均未作疫情通报。与此形成对照的是，早至1月4日，香港特区政府便对不明原因肺炎启动了“严重”级别应变，尽管当时该地怀疑病例只有7例。“是公共卫生系统出问题了。”曾光告诉@中国新闻周刊，“不是流行学调查没调查好，也不是病毒不该研究，也不是不该发论文。这些信息都报上去了，怎么及时转化成防控行动？陈国强等人则指出，地区决策者是公共卫生事件中的指挥主体，需要第一时间组织专家团队提供决策建议。武汉作为国内临床医疗、公共卫生及病毒研究最豪华的专业阵容所在地，此次专业团队在当地政府早期疫情判断及应对决策过程中的作用似乎没有得到最大发挥，是需要深入思考与反省的。李立明强调，基本的公卫知识和观念非常重要。“呼吸道传染病，怎么可能不出现人传人？只是时间早晚的问题，不应该出现‘有限的人传人’这种说法。如果全社会都有一些基本共识，早期防控不应该是这样。”http://t.cn/A67SFamO
财富Pioneer用户5168272642,:#腾讯新闻#专家复盘：“不明原因肺炎”上报失灵的背后专家复盘：“不明原因肺炎”上报失灵的背后#来自@腾讯新闻是形式主义在心中，应该实地考察了解！对病毒感染的研究不深入，对言论的行为不负责任！应对当初汇报人参与人员追责，对走马观花的形式进行调查！
llyy9988恋歌,:《2020年3月1日山东省新冠肺炎疫情分区分级表》风险等级每周调整一次，发生突发聚集性疫情或不明原因社区传播疫情时随时调整。http://t.cn/A67SbUrp
懂666你,昨晚台湾的节目，追溯新冠病毒源头，然后追到美国去了无心简影的微博视频
今日烟台,:#烟台新闻#【烟台这些县市区为低风险地区！3月1日山东疫情分区分级表公布！】此分级是经组织省专家组研判，以县域为单位进行新冠肺炎疫情风险等级评估。风险等级每周调整一次，发生突发聚集性疫情或不明原因社区传播疫情时随时调整。
OPPO山东,:【2020年3月1日山东省新冠肺炎疫情分区分级表】经组织省专家组研判，以县域为单位进行新冠肺炎疫情风险等级评估，具体评估见下图，风险等级每周调整一次，发生突发聚集性疫情或不明原因社区传播疫情时随时调整。（@健康山东）
信网,:青岛市市南区、市北区为新冠肺炎疫情中风险地区风险等级每周调整一次，发生突发聚集性疫情或不明原因社区传播疫情时随时调整。青岛市市南区、市北区为新冠肺炎疫情中风险地区
彦东闹市,:收评今天的反弹已经很给力了，唯一的缺点就是量能不够，技术面受到60天线的压制，整体看问题不大！！！我的持仓不变！！！重仓了医疗器械#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
彦东闹市,:午评注册制的实施让A股已经发生质的变化，万点行情离将不是梦，接下来沪指的每一次调整都是布局的机会，重心尽量放在中长线投资上面！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
彦东闹市,:沪指目前受到5日线的压制，这个位置不会一下子冲过去！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##
彦东闹市,:可以去选一下，消费行业的股票，比如，旅游，酒店，影视传媒板块！！！先加入自选，#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
彦东闹市,:注册制的全面实施，预告着全新的A股即将到来，垃圾股将无处躲藏！！！千点行情越来越近了！！！
假宝玉_Red,【独家|新冠病毒基因测序溯源：警报是何时拉响的】新冠病毒的分离、检测和基因测序，正是了解和判断新冠病疫传染力及危害性的基础。这一研究是独家|新冠病毒基因测序溯源：警报是何时拉响的（来自财新客户端）
彦东闹市,:注册制的实施，宣告着一个全新的A股即将到来，万点行情将不是梦！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
彦东闹市,:【中证前瞻】：国际疫情蔓延相关原料药需求扩大--------------------近日美国首次出现新冠肺炎相关药物短缺。目前美国原料药(活性药物成分)的来源集中于中国和印度，印度药企70%的原料药又依赖中国。然而新冠疫情导致中国生产原料药企业复工时间延长，最终引发原料药价格巨幅波动。上市公司涉足原料药出口的公司有：仙琚制药（002332）糖皮质激素作为临床救治用药的选择之一；普洛药业（000739）全资子公司巨泰药业于2015年7月获得磷酸氯喹片（0.25g）的再注册批件；尔康制药（300267）磷酸氯喹原料药通过CDE审批。#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
卢伯特6,【#钟南山建议提高疾控中心地位#】钟南山：“CDC（疾病预防控制中心）只是技术部门，只能向上报，向地方政府报告以后，地方政府怎么决定是地方政府的决定，CDC没有权再进一步做什么，这个首先要改变。”央视新闻的微博视频
从欣初发,美国的最新消息令人毛骨悚然！华盛顿州西雅图柯克兰市，对其一名不明感染源病例进行病毒基因测序，结果已经出来了。这个案例的病毒基因特征WA2属于1月19日首个确诊病例WA1的一个分支！结论：1、病毒于1月19日至今，至少已经在西雅图传播了42天（6周）！2、病毒在西雅图传播过程中也发生了微小变异。3、美国的疫情时间可参考对比一下韩国，因为韩国首个确诊病例也是1月19日！至今也是42天。4、即使考虑到美国社区环境比东亚密度低，R0可能偏低，但在不设防的情况下放任新冠病毒COVID-19传播了42天，后果也十分严重。
娃娃的机器人,美国的最新消息令人毛骨悚然！华盛顿州西雅图柯克兰市，对其一名不明感染源病例进行病毒基因测序，结果已经出来了。这个案例的病毒基因特征WA2属于1月19日首个确诊病例WA1的一个分支！结论：1、病毒于1月19日至今，至少已经在西雅图传播了42天（6周）！2、病毒在西雅图传播过程中也发生了微小变异。3、美国的疫情时间可参考对比一下韩国，因为韩国首个确诊病例也是1月19日！至今也是42天。4、即使考虑到美国社区环境比东亚密度低，R0可能偏低，但在不设防的情况下放任新冠病毒COVID-19传播了42天，后果也十分严重。
微-不足道1,:《6月份，美国不明原因肺病，症状是不是很像新型肺炎？7月份，华裔顶级病毒研究专家邱香果夫妇被带走。11月份，武汉军运会有两位外籍输入性传染病运动员，1月份，新型冠状病毒在武汉大规模爆发!》http://t.cn/A676heoB
cetimes,:不意外，我看过一篇微博报道2019年10月湖南曾有2名不明原因肺炎病例，一女初中生死亡，另一个是男子。上报给湖南卫生部门，湖南也上报了上级吧。这事值得再挖根源。华南海鲜市场并非新冠病毒发源地，看到此消息你觉得意外吗？
青岛西海岸新闻网,:#新型冠状病毒感染肺炎#【“这次，换我们‘90后’来保护您！”】2003年非典时“90后”还只是被保护的孩子，如今面对严峻的疫情，济宁医学院附属医院兖州院区的“90后”们毅然加入战“疫”大军，他们用热心、爱心、责任心坚守在医院防疫各个岗位，用辛勤的汗水和满腔的赤诚诠释着“90后”。这些一直被当做孩子的“90后”，早已长成了“大人模样”。冲在最前面，不怕，也不能怕“小伙子，我见过你，前两天是你在门口帮我测的体温，辛苦了孩子。”忙碌了一天，换下工作服的任昊正准备下班，被一名老年患者认了出来，突如其来的感谢让任昊不由得心里一暖。面对疫情，这个1999年出生的小伙子没有丝毫犹豫，便加入到了医院值守的工作中，在医院南门逐一测量体温，询问车主近期行踪……“岗位虽小，但却是排查风险保护大家的第一道防线，我要站好这班岗。”连续20多天，他每天都要12小时的值守。半个多月前，值夜班的任昊第一次遇到了发热患者，患者情绪十分焦躁，任昊立即上前安抚，陪伴患者做完相应的检查。当时害怕吗？面对记者的记者的提问，任昊坦言：“总归要有人去，这是我应该做的，我不怕，也不能怕。身为一名医护人员，在这个非常时期就应该冲在最前面。”每天步行两万步，用所学去保护别人“大姨您这就是普通的发热，打几天针就好啦，不用担心。”拉着患者的手，张文姝在患者的耳边大声地说，得到肯定后，患者焦虑的心情舒缓了很多。张文姝所在的病区收治的是没有流行病学史的发热患者，需要隔离观察，这其中有不少上了年纪的老人，听力不太好，张文姝总会弯下腰提高音量与患者交流，久而久之，声音有些沙哑。为患者进行治疗、护理、照顾他们的生活起居……高强度的工作让张文姝脚不停歇，每天微信步数都在2万步左右。“非典的时候我还在上小学，是被保护的群体，现在我是一名护士，我要用我所学去保护别人。”张文姝说。家近在咫尺，却不敢与孩子相见自疫情开始，面对工作强度的增加和复杂病症的排查，身处急诊医学科的“90”后医疗人员神童从未退缩过，从坐诊发热门诊到参与急诊一线抢救，对待患者她总是耐心而专业。但对于家人，她却满心愧疚。“我已经快一个月没有见过孩子了。”从未与孩子长期分离的神童，谈及不到三岁的孩子时，几度哽咽。神童说，由于自己与老公长期在一线工作，担心会给家人带来风险，夫妻俩从2月5日便搬到了毛坯新房里“自行隔离”，即使为父母送菜也只是默默放在门口，不敢进门。孩子虽然天真懵懂，但对父母的思念却一分不少，时常手拿玩具电话拨号打来，用稚嫩的声音问道：“妈妈，我想你了，你们什么时候能把病毒大魔鬼打跑？”电话这头，心碎的神童只能安慰孩子，同时信念也更加坚定，“我们一定要战胜疫情，快点回家。”分秒必争，在急救一线努力奔跑机动性强、危险性高、与时间赛跑，是多数人对急诊院前急救的认识。对于急诊岗位的“90”后周国帅来说，他看到更多的是抢救病患的意义和价值。“我们救治的不仅仅是一个个体，更是一个家庭的希望。”深知急救任重，不光在值班岗位上尽心尽责，下班后的周国帅还会主动到急诊科帮助护理病患，了解更多病症。疫情当前，身为党员的他主动冲锋在前。在一次转移病患时，他与同事身穿防护服工作，即使是在等待的情况下，亦不愿脱下防护服休息，近7个小时里不吃不喝不去洗手间，只为不让病患多等一秒钟。“现在一些老年人身体不舒服，在家不方便出来就诊，只能由我们现场进行救治。”面对工作量的激增，周国帅毫无怨言，除做好病患救治外，急救车的消毒等防护措施也未曾松懈过。每辆返回的车辆都会进行半小时的紫外线全面消毒，保障病患安全。乐观仔细，守牢第一道防线“麻烦看一下您的工作证和身份证。”“14天内您有没有不明原因的发热？”24日上午，突如其来的大雨没有让田元停下手中的工作，任雨水打湿全身，这个1997年出生的小姑娘却未少询问一句。从大年初二到现在，从科室护理到门口排查进出人员，从医院大门到高速路口值守，她已不知现在是值守的第几天。“科室值班是8小时，门口值班是12个小时。曾担心时间漫长，但没想到时间过的很快。”面对工作时间的增加，田元说。入春的风依旧刺骨，但却没有吹散田元的工作热情。问及长期在外值守有什么感受，她打趣地说道，“西门见太阳早点，南门见太阳晚点，高速上风大。”用心医治每位病患，发挥自己的一份力虽面露憔悴，但活力十足，是正在值班的高芃给人的第一印象。“夜班一般是24小时，从早上7:30到次日的7:30。”24日上午9:30，虽已到下班时间，她却依旧忙碌着，直至11时，她才放心休息一下。由于所医治的皆为昏迷、意识不清醒的患者，实时查看患者生命体征、悉心护理病患、随时抢救，便成为了高芃每日必做的事，其中的辛苦不言而喻。“这里医疗的病种比较多，作为医生，我想多发挥一些自己的力量。”高芃说，虽然重症的工作比较辛苦，但每当看到病患被从“鬼门关”拉回来时，内心的精神鼓舞和自我价值的实现是任何事物都无法比拟的。看着患者病情一天天好转起来，高芃的心中倍感欣慰。（光明日报全媒体记者赵秋丽李志臣通讯员张德君董体）
武汉裴sir楼市相亲,:#武汉楼市##武汉买房##武汉相亲##武汉不明原因肺炎病原体为新型冠状病毒##武汉爆料##武汉地铁#隐瞒yq密切接触者判刑10个月，同志们要遵纪守法，保家卫国！
视角志,:【新冠病毒爆发一个多月，美国宇航局卫星监测到中国污染明显变化】美国宇航局和欧洲航天局污染监测卫星监测到中国上空二氧化氮明显减少。有证据表明，这种变化至少在一定程度上与冠状病毒爆发后的经济放缓有关。2019年底，中国武汉的医务人员正在治疗数十例不明原因的肺炎病例。数天后研究人员证实这些疾病是由一种新的冠状病毒(COVID-19)引起的。2020年1月23日，中国关闭了进出武汉的交通以及当地企业，以减少疾病的传播。新冠病毒爆发一个多月，美国宇航局卫星监测到中国污染明显变化二氧化氮是机动车、发电厂和工业设施排放的有毒空气污染气体。上面的两张图显示了2020年1月1日至20日(检疫隔离前)和2月10日至25日(检疫隔离期间)二氧化氮的浓度对比。这些数据是由美国宇航局的Aura卫星上的臭氧监测仪器(OMI)以及欧空局哨兵-5号卫星上的对流层监测等仪器收集的。图片左侧是2020年1月1日至20日北京和和武汉附近地区的二氧化氮浓度很高，不久之后中国开始采取武汉隔离措施。图片右侧是2020年2月10日至25日同一地区的图像，几乎没有二氧化氮浓度的明显显示。新冠病毒爆发一个多月，美国宇航局卫星监测到中国污染明显变化据美国宇航局的科学家说，二氧化氮污染的减少最初是在武汉附近出现的，但最终扩散到全国各地。数百万人被隔离，这是人类历史上规模最大的此类行动之一。截至2020年2月28日，该病毒已在至少56个国家被发现。美国宇航局戈达德太空飞行中心的空气质量研究员刘飞(音译)表示，这是他第一次看到某一特定事件在如此大的范围内发生剧烈的下降。新冠病毒爆发一个多月，美国宇航局卫星监测到中国污染明显变化刘飞回忆说，在2008年开始的经济衰退期间，卫星监测到几个主要国家的二氧化氮含量都有所下降，但下降的速度是缓慢的。同时科学家们还发现，在2008年奥运会期间，北京周边的空气污染物含量也有显著下降，但这种影响主要集中在北京周边地区，奥运会结束后，污染水平再次上升。此次卫星监测到2020年中国二氧化氮含量下降的同时，恰逢中国和亚洲大部分地区在庆祝农历新年。一般来说，商家和工厂从1月的最后一周到2月初都会放假庆祝春节。过去的观察表明，空气污染通常在这段时间内减少，然后在庆祝活动结束后增加。这是因为春节假期后，随着工厂重新开工以及更多的人员车辆返城，二氧化氮的含量会表现为激增。新冠病毒爆发一个多月，美国宇航局卫星监测到中国污染明显变化上面的地图显示了2020年三个时间段的武汉二氧化氮值:1月1日至20日(农历新年前)、1月28日至2月9日(春节前后)和2月10日至25日(春节后)。将2020年的数值与2019年同期进行对比，可以发现明显变化。NASA空气质量科学家巴里·莱弗指出，由于中国在过去几年实施了新的环境法规，2020年的总体污染数值低于2019年。虽然农历新年可能在最近的下降中起了一定作用，但研究人员认为，这种下降不仅仅是假日效应或天气相关的变化。在初步分析中，NASA的研究人员将2020年探测到的二氧化氮值与2005-2019年这个时候探测到的平均值进行了比较。在2020年，中国东部和中部地区的二氧化氮值明显低于这一时期的正常水平(降低了10%到30%)。此外，刘飞和他的同事们目前并没有观测到二氧化氮在假期后的反弹。她说:“今年的降幅比往年更大，而且持续的时间更长。我并不感到惊讶，因为中国许多城市都采取了推迟复工和隔离措施，尽量减少病毒的传播。”
煎饼果几,我们喜欢说，日本抄武汉地作业本。其实，很多日本一线医生，传染病权威根本就不乐意看我们的答案。2月13《日本商业》专访（日本）病毒研究的国际第一人，根路銘国昭。他在日本的地位，类似中国的高福院士。对中国的做法，他毫不客气，直接批评。1矫枉过正，新冠早期，混入普通病人，增加人数，造成恐慌。2将病人都收治在医院里，反而让医院成为病毒培养皿。（对策，开窗）3中国专家缺乏【流行病学】知识，不了解病毒传播4小题大做。这种死亡率的传染病要封城，流性病毒早就让世界崩溃了。日本人觉得你们答案根本是错误的，只是大多数医生不好意思直说罢了。
珞南街道小旋风,:从19年12月31日小张第一次把“武汉不明原因肺炎”的热搜发到群里的时候开始，到现在，我从来都没有过害怕的情绪。有的只是心疼、热血、感动。这大概就是中国二字给我的安全感吧。
周秋秀,:武汉不明原因肺炎政府出手了8名散布谣言者被依法查处有人能解释一下是怎么回事吗？谁真谁假吗？我们所有的公民都有权利要知道真相http://t.cn/A67xD9Ho
每日都困的meow,美国的最新消息令人毛骨悚然！华盛顿州西雅图柯克兰市，对其一名不明感染源病例进行病毒基因测序，结果已经出来了。这个案例的病毒基因特征WA2属于1月19日首个确诊病例WA1的一个分支！结论：1、病毒于1月19日至今，至少已经在西雅图传播了42天（6周）！2、病毒在西雅图传播过程中也发生了微小变异。3、美国的疫情时间可参考对比一下韩国，因为韩国首个确诊病例也是1月19日！至今也是42天。4、即使考虑到美国社区环境比东亚密度低，R0可能偏低，但在不设防的情况下放任新冠病毒COVID-19传播了42天，后果也十分严重。
逍遥3215532155,近日，美国的研究者经过对美国病例研究，在病毒里发现了一个人工元素，在任何的野生动物里都不可能存在，这个元素是人为插入病毒中，只能存在于实验室。结合去年8月，美国最大的生化武器基地德特里克堡被紧急关闭，所有人员接受全方位的检查，似乎离真相又进了一步。#美国加州33人病毒检测阳性#http://t.cn/A67qHCtD
大腾不蛋疼,:就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，专家组认为知己知彼肺炎那些事
大腾不蛋疼,:就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，专家组认为知己知彼肺炎那些事
大腾不蛋疼,:就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，专家组认为知己知彼肺炎那些事
彦东闹市,:#今日看盘[超话]#希望武汉人民在坚持一天，也希望武汉的爹爹婆婆劲量别出门，生命第一！！！#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
竹海听风866,【美科学院院士回应：美国流感凶猛，会不会不少人其实感染的是新冠病毒？】美国出现首例无法确定病源的新冠病毒患者，这引发了人们的猜测：美国流感死亡病例中，有没有可能有新冠肺炎患者？CGTN@田薇_TianWei独家专访美国科学院院士、著名病毒学家赛义夫教授。她表示，目前没有证据表明诊断为流感的死亡案例中有新冠肺炎患者。但如果非要知道，美国疾控中心#美国CDC#还是有办法检测的。http://t.cn/A67buULU
椰子恋上木瓜,:2020年的春节，好像格外的难过春节前夕有条新闻出现在各大媒体上，武汉出现不明原因肺炎，因为当时官方公布不会人传人，已知的患病人数也不是很多，大部分人并没有把这个肺炎当回事，自然也没有提高什么警惕可怕的事情发生了，武汉肺炎爆发了，武汉甚至湖北及临近省市成了重灾区，作为临床医生的我们每天都在关注着疫情，看着确诊病例、疑似病例、死亡病例不断攀升，我们心底都暗暗地捏了一缸子的汗，而这次的不明肺炎也被称为2019新冠状肺炎，源源不断地物资运往武汉，源源不断地医务人员前往驰援湖北，我们两位监护室同事也开始了在武汉第七医院的奋战，我们每个人都递交了请战书，时刻准备着，因为源源不断不够，防护物资不够，医护人员不够，患病的人太多太多了。。。直到现在，武汉的病房才基本上做到了应收尽收。这场战役很可怕，但是我们必须要打赢。因为没有特殊任务的指派，大年初三，我们内科系统所有工作人员接到通知开始正常上班，我们反复的和患者、朋友、家人念叨着“一定要少出门，不去人多的地方，戴口罩，勤洗手”，因为我们作为医生，太明白新冠这个敌人的狡猾和威猛了，至少两千多了死在了它的刀下，不可怕吗？我每天穿梭于家和医院两点一线，其他家人假期延长，我时不时的也会担心，会不会一不小心就把新冠病毒带回了家，带回了阿皮将近一个月都没离开过的环境里，担心但是也没有别的办法。其实最近这段时间过得不轻松，每次值班都是四五个病号的收，值班的人员还越来越少，因为不断的有人被借调到发热门诊、发热病房，实在难熬的时候是真想哭，但是心里也会念叨，辛苦一点没关系，总会过去的。雪上加霜的事情来了，25日晚上我正在医院值班，小梅阿姨打电话，爷爷发烧了，我心里咯噔一下，尤其是爷爷说最近咯血增多的时候，我不担心爷爷是新冠，因为1年前爷爷在我这里就已经查出了肺占位，是的，恶性肿瘤，我开始为爷爷的病情担心，给老公打了电话，特殊时期，在发热门诊筛查后收入了呼吸门诊，次日早上我接到电话，爷爷大咯血了，我和主任赶到时呼吸已经不太好了，紧急转往监护室，插管上机用药，血似乎是越来越少，正在我为血止住而暗暗庆幸时，晚上十点多接到监护室电话，又大咯血了，我赶到医院，到了监护室爷爷病床旁边，虽然镇静药加了剂量，爷爷依然清醒，还通过写字询问我什么时候能去掉这些管子，我不断给爷爷加油打气，虽然觉得爷爷这次这关很难闯，甚至不知道能不能撤机，关爸也开始着手准备爷爷的身后事，虽然我们都希望一切能好转，但也必须得做好有什么意外的准备，爷爷情况看着是稍微稳定些，希望他老人家能战胜这次战役，能多看看这个世界，多让我们陪一陪，多看几眼阿皮。也希望我们尽快打赢新冠这场战役，春天来了，胜利也不应该缺席。#20200229##新冠肺炎病毒几乎人人易感##人生感悟#
我是鱼是鱼还是鱼,【#美国出现第三例感染途径不明病例#】据美媒报道，美国加州、俄勒冈州和华盛顿州的当地卫生部门发现4例新增新冠肺炎病例。其中3例既无出国旅行史，也未与游客或已知病例接触：其中包括加州一名患有慢性病的女性、华盛顿州一名高中生和俄勒冈州波特兰市一名学校教职工。美媒称这可能意味着美国西岸或存在新冠病毒“社区传播”的可能。美国食药监局（FDA）目前已采取措施加速医院检测，据报道，美国先前检测政策因流程繁琐耗时而饱受诟病。（记者李雪晴）
荣振斌,:不明原因肺炎监测系统评价--《中国疾病预防控制中心》2017年硕士论文http://t.cn/A67fkYSH
早间观察,:财新网：【独家|新冠病毒基因测序溯源：警报是何时拉响的】新冠病毒的分离、检测和基因测序，正是了解和判断新冠病疫传染力及危害性的基础。这一研究是何时、如何开始的？1月11日，停止更新多日的武汉卫健委通报，第一次将“不明原因的病毒性肺炎”更名为“新型冠状病毒感染的肺炎”，称截至2020年1月10日24时，初步诊断有新冠肺炎病例41例。
安心_77075,:《一名中医师的自述：感染后，我对病毒狠狠还手》去年12月底，和许多武汉人一样，我也是从网上看到那篇关于不明原因肺炎救治的紧急通知，是否传染，并没有提及。http://t.cn/A67fjMXB
念父,:据“财新”披露的信息，早期武汉医院接到的《上报标准》非常严苛。《冰点周刊》证实，元旦后，武汉有两套标准——绿皮手册和白皮手册。“绿皮书册”为《不明原因的病毒性肺炎诊疗方案（试行）》，由国家卫健委第一个赴武汉专家组和湖北当地专家组共同制定。“白皮手册”为《不明原因的病毒性肺炎入排标准》，由一些医院经内部口头层层传达。和“绿皮书册”将“有武汉市华南市场暴露史或有类似病人接触史”作为浮动条件，而不是必要条件不同，“白皮手册”规定，需要同时满足4条“临床表现”，再满足“流行病学史”4条之一才需要上报。有医院医生按照“绿皮手册”上报了十几例病例，被医院领导严厉批评。领导认为，医生报的太多了。
价值投资日志,:【重磅！武汉新冠肺炎疫情决策复盘】12月8日，武汉出现首例不明原因肺炎病例。12月30日，武汉卫健委通报，部分医疗机构陆续出现不明原因肺炎病人。12月31日，国家卫健委第一批专家组抵汉。1月1日，华南海鲜批发市场休市。1月4日，武汉卫健委给当地医生下发《不明原因的病毒性肺炎诊疗方案（试行）》和《不明原因的病毒性肺炎入排标准》。1月5日，上海市公共卫生临床中心张永振团队，检测出一种新型冠状病毒，获得全基因组序列。同日，该中心向国家卫健委提交一份病原学调查报告。指出：鉴于该病毒与造成SARS疫情的冠状病毒同源，应是经呼吸道传播，建议在公共场所，采取相应的防控措施以及在临床救治中采用抗病毒治疗。1月6-10日，武汉卫健委均未作疫情通报。1月7-10日，武汉两会召开。1月1-11日，武汉已有7名医务人员感染（事后得知）。1月8日，国家卫健委第二批专家组抵汉。1月11-15日，武汉卫健委均只通报41例确诊病例。通报称，1月3日以来，未发现新发病例，未发现医务人员感染，未发现明确的人传人证据。1月16日，武汉卫健委通报，新增4例。1月17日，武汉卫健委通报，新增17例。1月18日，武汉卫健委通报，新增59例。1月12-18日，湖北两会召开。1月18日，国家卫健委高级别专家组抵汉。1月19日，武汉卫健委通报，无新增。1月20日，武汉卫健委通报，新增60例，并发布61家发热门诊医疗机构和定点救治医疗机构名单。1月20日，高级别专家组答记者问。钟南山院士说：新冠病毒“肯定人传人”。但是，钟南山院士也说：只要全民提高警惕，不会重复17年前的SARS疫情！1月22日，湖北省启动突发公共卫生事件Ⅱ级应急响应。武汉卫健委通报交湖北卫健委统一发布。1月23日凌晨，武汉市发布封城令。#新冠肺炎病毒几乎人人易感##全球抗疫第一线##科学抗击疫情#
展颜婷,:#美国流感#华南是爆发地，但不是发源地，而且钟南山一直说找不到中间宿主，去年九月美国爆发不明原因的肺炎，10月武汉军运会，美国队驻地就在华南旁边，11月开始人传人，12月第一波爆发，同时美国爆发罕见的流感潮。
老军国,#环球资讯#【特朗普：美国目前没有人因为新型冠状病毒死亡的人…】这在很大程度上归因于我们很早就关闭了边境。目前正在考虑与一些新冠肺炎病例数量高得不成比例的国家关闭边界。#特朗普称疫情被媒体夸大#凤凰王又又的微博视频
琥珀川珠宝小姐姐,:#特朗普称疫情被媒体夸大#特朗普又得说没人比他更懂病毒了，这人是不是猴子派来搞笑的。很多人都认为，华南是爆发地，但不是发源地。钟南山也一直说找不到中间宿主。去年9月美国爆发不明原因的肺炎，10月武汉军运会，美国队驻地就在华南旁边。11月武汉开始人传人，12月第一波爆发，同时美国也爆发罕见的流感潮。不知道新冠病毒是否真的和美国有关？
帮帮喵喵桑mio,昨晚台湾的节目，追溯新冠病毒源头，然后追到美国去了无心简影的微博视频
炫猫狂魔星羽,:事实证明：只要有字幕，就算会英语，也不会去看英文了……此图昨天在网上被嘲得一塌糊涂还在不停传播，这个标题的翻译明明是：美国发现了第一例不明原因的新冠肺炎啊……
管小耀,继日本推测病毒源自美国后，美国政客说没有证据支持，新冠病毒源自美国的说法被暂时搁置...我因为一直以怀疑方式讨论毒源指向美国，还招来好多美狗举报和嫌弃，现在湾湾再一次，更直接，更多证据证明了毒源来自美国！强大的证据面前，特朗普政府一直对内掩耳盗铃，对外欺世盗名的做法，终于纸包不住火了吧！！#库克认为中国开始控制住新冠病毒##美国加州33人病毒检测阳性#http://t.cn/A675Izub
魏氏思语,:《一名中医师的自述：感染后，我对病毒狠狠还手》去年12月底，和许多武汉人一样，我也是从网上看到那篇关于不明原因肺炎救治的紧急通知，是否传染，并没有提及。http://t.cn/A67cbwVU
彦东闹市,:#今日看盘[超话]#莫名的开心！！！[允悲]#日本新冠肺炎确诊人数达737人##武汉发现不明原因肺炎##今日看盘#
29青年欢乐多,【中国已经可以从基因层面证明疫情不是从武汉开始的，而且意大利的一号病人与中国人没有任何接触史，意大利又是第一个切断与中国交通的，最终病毒来自哪里还不一定，还是让科学来回答，西方记者不要抹黑！】【世卫组织：新冠病毒源头尚不确定应避免污名化】当地时间28日，世卫组织在日内瓦召开发布会表示：“去年12月的一些初始病例与华南海鲜市场有关，但另一些初始病例并没有与该市场有接触。穿山甲有可能是中间宿主，但尚不清楚细节。”目前尚无法确定新冠病毒源头，应避免涉及地域的污名化语言，没有任何益处。“冠状病毒是全球现象，在全世界都存在。不要去责怪其地理来源，应关注如何应对及遏制病毒。”（央视新闻）http://t.cn/A67t9Acz
