三秦都市报,:【阿念：我#转院去火神山医院陪外婆#
专带小朋友号,:疫情形式还是相当严峻啊，之前还觉得我家这边已经好多了，大家也都尽量在正常生活，今天知道有一个重症去世了，瞬间又警惕起来了
青海共青团,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。#一起战疫#http://t.cn/A67NvF2i
山东广播电视报,:【3日0-12时，无新增确诊，无新增疑似！山东尚有526人接受医学观察】2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。详见下表（单位:例）：备注：根据要求，按病例确诊时医院所在县区统计。
医药卫生报,:河南省新冠肺炎疫情防控专题第二十二场新闻发布会召开河南新冠肺炎治愈率为96.1%本报讯（记者杨冬冬刘旸）3月3日下午，记者从省政府新闻办召开的河南省新冠肺炎疫情防控专题第二十二场新闻发布会上获悉，目前全省新冠肺炎治愈率为96.1%，中医诊疗指导重症、危重症患者率100%。河南省卫生健康委员会副主任张若石介绍了全省疫情防控最新进展情况。省委宣传部副部长方启雄主持发布会。张若石说，疫情防控涉及多领域、多层次、多方面，在这场横向到边、纵向到底的疫情防控体系里，每个人都是“共建、共治、共享”的一分子。目前，河南省已有7个省辖市新冠肺炎患者清零，全省新冠肺炎治愈率为96.1%。在院治疗患者中有轻症病例20例，重症病例5例，危重病例2例。全省全力救治重症和危重症患者，进一步加强整体护理，充分发挥医疗与护理的协同作用。郑州大学第一附属医院、河南省人民医院先后投入百余台设备，有三批次累计千余名医护人员参与救治，涉及呼吸科、传染科、重症监护等多学科；共采集31位新冠肺炎康复者恢复期血浆11200毫升，用于21名患者的救治。中医诊疗指导重症、危重症患者率100%。张若石说，现阶段医疗救治成绩的取得，离不开全省广大白衣战士的牺牲和奉献。全省86万卫生健康工作者担当白衣天使使命，取消节假日，全员上阵守岗，义无反顾、冲锋陷阵，舍小家、为大家，与时间赛跑，与病魔斗争，始终奋战在抗疫一线，用生命守护生命。每个人做好自我防护，落实好联防联控措施，就是对新时代最可爱的人最好的回报。不能因为某个环节出现问题，引发连锁反应而“一失万无”。3月2日，省新冠肺炎疫情防控工作监督举报电话共受理群众来电176件，其中投诉举报类85件、疫情咨询类88件，其他类3件。截至目前，累计受理群众来电4589件，均已及时回复或转交有关省辖市疫情防控领导机构核查处理。
云南日报,:【我#转院去火神山医院陪外婆#
快兰斯24小时财经直播,:实时播报：【云南3月3日下午最新通报：新增新冠肺炎治愈出院病例1例现有确诊病例仅剩3例】3月3日0时至12时，无新增确诊病例。新增治愈出院病例1例（保山市）。截至3月3日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。全省129个县市区均为低风险。（央视新闻）
山东高速交警,:2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
视角志,:【济宁市3月3日0时至12时新冠肺炎疫情情况】3月3日0—12时，济宁市无新增新冠肺炎确诊病例，无新增疑似病例，新增治愈出院2例。截至3月3日12时，济宁市累计报告确诊病例260例，其中治愈出院83例，无重症、危重症病例；现无疑似病例。济宁市260例确诊病例中，按病例确诊时医院所在县市区统计：任城235例，兖州6例，曲阜13例，邹城1例，微山1例，金乡1例，嘉祥1例，汶上2例。
大连广播电视台,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
西御河街道办事处,:【国家卫健委：疫情防控积极向好态势正在拓展】3月3日，国家卫健委新闻发言人、宣传司副司长米锋在新闻发布会说，3月2日0—24时，除湖北以外，其他省份新增确诊病例11例，新增疑似病例65例，无新增死亡病例，重症病例减少25例。中新视频的秒拍视频
湖北日报,:【阿念：我#转院去火神山医院陪外婆#
运城政法,:【#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
临沂金锣医院官微,:#全国确诊新型肺炎病例#【临沂无新增】2020年3月3日0-12时，山东省无新冠肺炎疑似病例;无新增确诊病例，累计确诊病例758例(其中，重症病例7例，危重症病例2例，死亡病例6例);新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
黑龙江培训师联盟,:#黑龙江[超话]#【直播！一线医务人员讲述“决战ICU”！】面对新冠肺炎重症、危重症病人，如何开展多学科、多手段联合救治？疫情之下，患有基础性疾病的老年人应如何应对？北京医院援武汉医疗队领队王建业在线解答↓↓关注！央视新闻的微博视频
文明成都,:【我#转院去火神山医院陪外婆#
桂木小天使,日本yahoo首页冠状病毒信息里是匿名留言。日本人画风大家品品…其实一直都是这个样子，特别是能匿名以后说出来的自身的想法真是…每天看着微博和国内到处都赞扬日本国民日本政府、咱捐赠回去资源日本人感谢截图啥的……欺负你们大多数人不去推特呢
巢西,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
淳安检察,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。（人民日报）http://t.cn/A67NvF2i
TCCrystal,:中央赴湖北指导组：坚持重症轻症并重千方百计救治患者http://t.cn/A6hOjvrT
月隐寒霜,:#湖北回应首家方舱医院休舱#湖北省人民政府副省長楊雲彥表示，湖北的疫情形勢依然研究複雜，繼續採取最嚴格的防控措施。當前主要問題有：消化存量的任務，全省還有二萬患者仍在救治，有六千多名重癥危重癥患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不確定性，出現無癥狀檢測陽性患者、出院患者復檢陽性現象。疫情防控在老舊社區、特殊場所還有薄弱環節。若不是有人一再勸告疫情沒有結束，我想很多人已經準備開閘撒歡溜達了，現在太多的消息讓人認為疫情已經過去，實際上誰也無法確認疫情是不是已經過去，所以我認為一定要觀察到年底天冷的時候，到那時候疫情不再噴發，就意味著疫情真的可能有消退的希望，否則在這之前撒歡，肯定會產生各種問題。雖然說社會不能停頓，但同時社會也經受不起三番五次疫情的折騰。如何權衡呢，我想上邊的人也在思考這個問題，祗是一般不說。
天府发布,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i（人民日报）
干净么食安,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
听说我们要相遇,:听课听到起鸡皮疙瘩真的只有重症老师能做到了
浙江团省委,:【勇战红区！高危、汗水、勒痕，只为与死神抢人！】“红区”，抗疫医院中重症隔离病房的别称。这里是人类与疫魔激烈交锋的战区。浙团：在这里，医护人员与死神抢人，在这里，对每一位重症患者的救治，都是一场惊心动魄的战役。（记者岳冉冉、周磊视频来源：云南省第一人民医院）#日本寺庙发免费印经文的纸口罩##梅仲明医生因新冠肺炎去世#http://t.cn/A67CU7dB
淮舜公宣,#警民互动#【大叔溜出重症病房打太极拳被劝回
西北信息报,:【我#转院去火神山医院陪外婆#
吉安公安,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
iceseraph,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
木子无界,:#湖北回应首家方舱医院休舱#湖北疫情防控取得了巨大的进步，增量的问题大体解决了，但消化存量的任务依然严峻：全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。认真对待，决不能大意，疫情防控仍有不确定性！
未来网,:【暖心！#援鄂护士为高龄患者洗脚#
宁波联通,#抗击疫情央企行动#【联通5G支撑，葛均波、董家鸿、谢灿茂携手为雷神山医院重症病例远程会诊】27日下午，上海复旦大学附属中山医院东院心内科16楼会诊室内，依托联通5G技术，上海复旦大学附属中山医院葛均波院士携手北京清华长庚医院董家鸿院士、广州中山大学附属第一医院谢灿茂教授，为武汉雷神山医院的医疗队进行了一场重症病例的远程会诊。各地专家通过各自终端实时同步共享了病人的CT医学影像和远程标注，共同商讨病情，提出意见和建议。http://t.cn/A67ynYwe
杉田家的小小梦,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
李舟-,#关注新冠肺炎#【湖北省副省长：#湖北消化存量任务依然艰巨#】3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。（上官云）
STEELYUAN,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
乖娃子kiss,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
南医大附属逸夫医院,【第三批江苏#最美医务工作者#即将发布！】近日，中共江苏省委宣传部、江苏省卫生健康委员会联合江苏省广播电视总台等媒体，举办两次“江苏最美人物：致敬最美医务工作者”云发布，聚焦奋战在湖北、江苏抗疫一线的“最美医务工作者”，展现他们对党和人民高度负责，逆风而行、冲锋在前，无私无畏、救死扶伤的的精神面貌。活动引发了强烈反响，网络阅读量超过2.6亿次，点赞留言超过1294.9万。3月3日，省委宣传部、省卫生健康委将联合发布第三批江苏“最美医务工作者”，本次发布聚焦奋战在湖北重症隔离病区的医务工作者，他们是——
罗生_82238,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
晟明投资2020,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
西藏共青团,:【我#转院去火神山医院陪外婆#
南医大附属逸夫医院,【第三批江苏#最美医务工作者#即将发布！】近日，中共江苏省委宣传部、江苏省卫生健康委员会联合江苏省广播电视总台等媒体，举办两次“江苏最美人物：致敬最美医务工作者”云发布，聚焦奋战在湖北、江苏抗疫一线的“最美医务工作者”，展现他们对党和人民高度负责，逆风而行、冲锋在前，无私无畏、救死扶伤的的精神面貌。活动引发了强烈反响，网络阅读量超过2.6亿次，点赞留言超过1294.9万。3月3日，省委宣传部、省卫生健康委将联合发布第三批江苏“最美医务工作者”，本次发布聚焦奋战在湖北重症隔离病区的医务工作者，他们是——
罗生_82238,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
晟明投资2020,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
西藏共青团,:【我#转院去火神山医院陪外婆#
武汉美食中心,:#万众一心抗击新冠肺炎#【#金银潭医院副院长黄朝林康复重返一线#】#全力以赴遏制疫情#武汉市金银潭医院副院长黄朝林，用医生、副院长、专家组成员、研究者、重症病人、药物受试者等6个身份与新型冠状病毒搏斗的行为感动了无数网友。幸运的是，2月17日黄朝林出院，隔离康复。3月2日一大早，黄朝林换上工作服，重返武汉金银潭医院战“疫”一线。（长江日报）http://t.cn/A67NA6ZW
楞个嫩个勒个,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
翅膀小异,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
江门广播电视台,:【广东援鄂一线医护火线入党，#55年党龄钟南山院士庄严领誓#】2日下午，广州医科大学附属第一医院党委举行粤鄂远程视频连线，为坚持奋战在抗疫一线的重症医学科副主任医师徐永昊、内分泌科驰援武汉汉口医院护士李颖贤两名同志举行“火线入党”宣誓仪式。当日，钟南山院士庄严领誓。http://t.cn/A67oijGs
中国红十字会总会,:#新冠肺炎防控红十字在行动#为了这座城市重见阳光，他们的世界只有“雾天”。生命的摆渡人，中国红十字会救护转运车队救在“疫”线！@青海省红十字会截至3月2日24时，中国红十字会救护转运车队执行任务1670次，转运病人5276人，其中重症及危重症患者1902人。中国红十字会总会的微博视频
江苏检察在线,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。（人民日报）http://t.cn/A67NvF2i
河北新闻联播,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#关注河北肺炎疫情#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（唐山发布）
Escaper张,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
这个人还没去稻城,新冠肺炎最有价值的工作！根据临床和病检，绝大多数新冠肺炎患者显然是是活活憋死的。如果能稀释解决痰栓问题，这破病毒的威胁也就最多相当于一个普通流感病毒而己。深圳
知河北,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#关注河北肺炎疫情#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（唐山发布）
侠客岛,:【湖北副省长：新冠患者增量风险仍未得到根本控制】在今天下午召开的湖北省疫情防控工作新闻发布会上，湖北副省长杨云彦介绍，当前湖北消化存量的任务依然艰巨，全省还有2万多名患者在院救治，6000多名重症、危重症患者仍需加大救助力度。同时，增量风险仍然没有得到根本控制，“像武汉市每天还有三位数的新增病例。”。此外，疫情防控仍具有不确定性。他介绍，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象。http://t.cn/A67Ce0e9
人民日报传媒海南,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i（人民日报）（ZMM）
正义南康,:【我#转院去火神山医院陪外婆#
狼叔_策爷么么哒,@昊瀚治愈馆....圆圆俄罗斯森林猫
新华网,:【我#转院去火神山医院陪外婆#
韩德强2018,#关注新冠肺炎#【湖北省副省长：#湖北消化存量任务依然艰巨#】3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。（上官云）
陕西交通广播,:【致敬最美逆行者——来自抗疫前线的温暖日志】3月1日，是宝鸡市首批支援武汉医疗援助队队员、宝鸡市中医医院重症医学科主治医师李军到达武汉的第36天。在这一个多月的战“疫”时光里，李军作为一名重症医学科的医生。和他的队友一起，奋战在武汉市第九医院危重症和重症病区。在这里，他们每一天都进行着与新冠肺炎病魔“争分夺秒”的战斗生活，与时间赛跑，与死神抢人。发布了头条文章：《【致敬最美逆行者——来自抗疫前线的温暖日志】宝鸡市援鄂医生李军写》http://t.cn/A67NwmQT
长江日报,:#武汉实现床等人#【武汉：重症患者床位大幅增加，病亡率正逐渐下降】3月3日，湖北省召开的新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，湖北全力救治重症患者，降低患者病亡率，落实4集中的原则，最大限度减少病亡数量。目前湖北省各地市危重症床位配置基本能够满足重症病人的救治需求。武汉市经过加快建设，重症患者床位大幅增加，已由“人等床”转为“床等人”。截至3月2日，武汉市同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，共收治危重症、重症患者3728名，武汉市新冠肺炎患者病亡率正在逐渐下降。http://t.cn/A67NwTWu（长江日报）
蓝鲸财经记者工作平台,:【鲸视频：#湖北回应首家方舱医院休舱#积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
临沂商务,:2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。截至目前，追踪到密切接触者16956人，尚有529人正在接受医学观察。
重庆九龙坡法院,:#新型冠状病毒感染肺炎#【“念念”不忘火神山】过去的一个多月，不知道你有没有想过这个问题：在我的生命中，我最想握住什么？26岁的阿念，从方舱申请转院到火神山，只想握住外婆的手。阿念的外婆是新冠肺炎重症患者，因为担心连累家人，再加上患病的不适感，老人拒绝进食、抗拒治疗、情况危急。外婆的消息辗转传到住在方舱的阿念那里，她决定，申请去火神山照顾外婆。#阿念的故事#只是武汉这些天发生的无数个故事里的一个。但阿念不仅告诉我们，她想握住什么，还告诉我们怎样才能握住——用爱和勇气！http://t.cn/A67CyLWP（新华视点）
河北交通广播,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
南昌晚报,:#南昌身边事#【这名医生带着“神器”上前线改善患者呼吸症状】#联防联控江西在行动#南昌大学第二附属医院华福洲将发明的一款简易呼吸装置，应用于武汉协和医院肿瘤中心Z15病区17例需要氧疗的新冠肺炎重症和危重症患者。经临床实践显示，这些患者的呼吸症状均有改善和好转，已经有2名危重患者转为重症，15名重症患者中8人转为普通型，7名患者呼吸症状改善。http://t.cn/A679bYRo
紫黑都是孤儿废物,#新冠肺炎患者的肺和SARS患者的区别#反正都很严重，对普通人来说其实只有危险不危险才有感觉#新冠肺炎重症患者死亡率超过50%#川普当初可是信誓旦旦地说他们能控制
网信吐鲁番,:【人物档案】高敏：女，汉族，1976年2月生，中国共产党预备党员。吐鲁番市援助湖北医疗队领队、吐鲁番市人民医院感染性疾病、重症科护士长、副主任护师。【战“疫”誓言】我们一起武汉战“疫”，共同齐心协力的战胜疫情，战“疫”不获全胜绝不言退。【亲情告白】祝愿儿子健康快乐成长，谢谢爸爸妈妈、公公婆婆对我的无私支持与关爱，感谢你们的支持和关爱，你们是我前行的动力和坚强后盾，我爱你们，等我平安回家！
太原晚报,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
重庆九龙坡法院,:#新型冠状病毒感染肺炎#【勇战红区！高危、汗水、勒痕，只为与死神抢人！】“红区”，抗疫医院中重症隔离病房的别称。这里是人类与疫魔激烈交锋的战区。气管插管、吸痰都是极高危操作，医护人员可能在一瞬间就被感染，怕过、担心过，但何曾退却？在这里，医护人员与死神抢人，在这里，对每一位重症患者的救治，都是一场惊心动魄的战役。（记者岳冉冉、周磊视频来源：云南省第一人民医院）http://t.cn/A67CU7dB（新华视点）
不惑于惑,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
红星视频,:【湖北省卫健委：全省仍有6593例重症和危重型患者在院救治】3月3日下午，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会，介绍湖北全省新冠肺炎疫情医疗救治工作情况。发布会上，湖北省卫生健康委员会副主任涂远超介绍称，目前有330多支医疗队，超过4万名医务工作者从全国各地支援湖北。在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队在救治过程当中发挥重要作用。“当前，我省仍然还有6593例重症和危重型患者在院救治，应该说救治压力依然很大，挑战依然很大。我们一刻也不能放松。”涂远超表示。http://t.cn/A67NwLxf
湖北新鲜事,:【#湖北回应首家方舱医院休舱#：#湖北消化存量任务依然艰巨#】3月3日，在湖北举行的新闻发布会上，湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者；疫情增量风险仍未根本控制；疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象；疫情防控在老旧社区、特殊场所还有薄弱环节。（人民日报）http://t.cn/A67NvF2i
槐荫检察,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。（人民日报）http://t.cn/A67NvF2i
