我不做主你做主,:#韩国大邱一确诊者混入长队买口罩#确诊了不入院治疗吗？这是什么操作
掌上珠海,:【注意！珠海市妇幼保健院挂号方式有变！】从3月1日开始，珠海市妇幼保健院全面恢复正常诊疗服务，并实行非急诊全面预约挂号。除急诊、发热门诊外，所有门诊都实行网络、电话预约挂号。门急诊就诊及住院期间，每人原则上只允许有一人陪护。所有非急诊新入院患者必须接受新冠病毒核酸检测、血常规检查，必要时做胸部CT检查，排除新冠肺炎后安排入院。此外，该院还增加产科门诊抽血点，暂定于5号楼3楼名医门诊旁的活动室。此外，住院病人的超声检查地点有变，请就诊患者留意医院通知。via.珠海特区报#珠海身边事##珠海生活#
深圳小天,:居深圳港籍产妇未隔离14日，已剖腹分娩。港府自2月8日实施强制检疫，所有从内地到港人士必须在住所、酒店或检疫中心接受14日检疫。一名居于深圳的港籍孕妇，预约在3月3日到玛嘉烈医院剖腹分娩，但她未能在分娩前14天到香港接受检疫。今天（3日）再接获消息指，该名孕妇2月下旬已经抵港，她入院后获安排入住普通病房，对新型冠状病毒测试呈阴性反应。最新消息指，她已在玛嘉烈医院完成剖腹分娩。#天下之事##深圳小天[超话]#
幻電電電電電電電電電電,:那种升级文我真觉得不能缺少学院戏，学院戏对于我的启蒙就是唐家三少了。。。学院戏里面能包含的爽点和燃点实在太多了。。1.入院的测试，可以走2种，一种当然是主角很菜，随便写写。还有一种是主角潜力惊人，入院可以详细写了，可以安排好几道，因为也要筛选人，所以相当于比较初级的打比赛阶段，主角显示出惊人的天赋，看到学院里面啥师姐师兄老师惊讶的反应，爽点+1。可能还可以安排一个重要挚友的出厂或是一些以后会在校园“欺负”主角的强权派。2.校内肯定会安排啥选学生会长之类，或是年纪排名。一般一年或是一季度之类打比赛，哇那又有的写了，写得好的，这里也能写很长，可能这时候作者要安排前面扮猪吃老虎的主角来个一鸣惊人，爽点+1。3，学生配对或是班级配对，组织几个队去野外探险升级，团队冒险也很有意思，这时候能写很多配角戏和合作戏，共同作战又有的写了，爽点+14.一般有那种一年一度跟其他学校一起打比赛的，这块也是非常爽了！主角肯定要一起打了！！可能出现别的卑鄙学校进行暗算的桥段，而且一般这个阶段可能主角已经在学校强的差不多了，无法突破爽点，那就可以认识其他学校牛逼王者了，再打打打，一级一级打上去，爽点+15.一般到现在一般差不多年龄段的都差的差不多了，可能要安排一些其他敌人侵入学校，来保护学校的戏码，一般这时候主角又可以展露头角，被郭家一些高级别厉害的人注意到。。。6.7。。反正就太多了，而且学院戏相对于其他环境下，学生之间竞争还是相对于比较“干净”一点，级别还是比实力，看得没这么糟心。里面友情爱情也都可以写很多，蛮多有魅力的人物登场。但说实话打比赛不好写，很多写了太简单没有比较详细的打斗场面基本会把爽点下降很多，最后我爱学院戏（（
烏龍茶配鳳梨酥,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
悟空是头猪,:#李跃华#宣称自己治愈上百例新冠患者，最后实际治疗15例，其中至少有6例经过治疗后还是被确诊入院治疗。他伪造，变造，买卖国家证件，甚至有网友爆料他无证行医，给人看新冠打针致人死亡，但是网上还是有大批的人为他喊冤造势，这就是谣言的危害，蛊惑人心，让人是非不分，最后劣币驱逐良币，大家都会受累。希望一定要严惩中医中的神棍和骗子，只有整顿了市场，人们才会对中医重拾信心！！！@人民日报@武汉发布
我的姐姐不可能那么萌,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
骤尔来去,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
黑面鸭,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
燕赵都市报,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#河北防控新型肺炎#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（燕赵都市报冀东版）
满匙青,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
hdjjdkndbhs,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
秋水无痕易jiajia,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
_Choc0late_,非武汉城市，其他疾病的收治能力，也下降了非常多，更别提武汉了。次生伤害造成的死亡人数，会超过新冠肺炎的死亡人数。这种说不出的痛苦，时刻发生在我们周边。
浙江大学明州医院官方微博,:3月2日12:38，保卫科白保青在南门入口负责对入院人员及车辆体温测量时，发现入口减速带旁有一个塑料袋，里面包裹着一沓百元人民币。捡起后发现，里面共有现金5900元整和郑某、朱某身份证两张。白保青立即上报当班班长，考虑到失主可能会很着急，班长决定先等待失主，如果无人领取则报警处理。12:49左右，失主原路返回寻找丢失物品，经失主身份确认后，白保青将物品归还失主。从交谈中得知，失主（两夫妻)儿媳妇在妇儿医院生小孩，他们是来探望的，没想到不小心把钱弄丢了，对于他们来说，也是一笔不小的金额，以为再也找不回来了，非常心疼。这笔钱失而复得，失主十分激动，马上拿出200元钱来感谢，被白保青谢绝了。白保青说，失主岁数那么大了，挣点钱确实不容易，把钱归还失主是应该做的事，怎么能要别人的钱呢！再小的光亮，也是一种能量！这种拾金不昧的善举，是明州医院正能量的宣扬！
梵高先生的信封,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
心内科医生,【44名痊愈者26人复阳，#专家建议出院标准要严#，上海要查肛拭子】最近，成都、武汉与广东等多地出现了出院患者复检呈阳性的情况，其中广东14%的出院患者都存在复检阳性现象。武汉大学人民医院呼吸与危重症医学科副主任医师、副教授张旃日前表示：“我们的出院标准太宽了！”2月24日，张旃发文称，“我们在患者（本院医护人员组成）的配合下，将符合国家指南出院标准的患者共18人延迟出院，继续复查咽拭子核酸共至5次，发现13名患者第三次出现阳性结果。5名患者继续5次核酸检测结果均为阴性，随即办理出院。”为持续研究这一问题，张旃对包括前述18人在内的44名两次阴性结果的医护人员新冠肺炎患者进行了多次病毒核酸检测。在这44人中，有大约26人第三次核酸结果为阳性，概率非常高。张旃表示，目前江苏、浙江、上海和广东实行出院标准比现行《诊疗方案》的解除隔离标准更加严格。上海市公共卫生临床中心党委书记卢洪洲教授介绍说，上海的患者在出院时，不仅要符合肺部渗出性病变明显吸收、临床症状改善和咽拭子病毒核酸检测阴性的标准，还要求出院患者的肛拭子（粪便）核酸检测为阴性。他表示，由于上海的出院标准较《诊疗方案》更加严格，到目前为止，上海出院患者未出现一例核酸转阳。http://t.cn/A67KHgXN
Sweet的星,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
鱼吃雨,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
Dyhtpsnydn,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
中安在线,:【六安清零！69例确诊患者全部治愈出院】3月3日上午六安市6名新冠肺炎确诊患者出院。至此该市69例确诊患者全部治愈出院。这是继铜陵后，安徽省第二个实现新冠肺炎住院患者“清零”目标的城市。据悉，自首例确诊病例入院以来，六安始终坚持集中患者、集中专家、集中资源、集中救治“四集中”原则，取得了良好的救治效果。为促进患者康复，率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务。截至3月3日，安徽省已连续多日无新增确诊病例报告。今日新增出院24例，住院病例减少到43例，累计治愈出院病人941人，治愈率达到95.1%。目前，滁州、亳州、芜湖、池州、安庆、黄山6市均仅剩1例住院病例。（记者王佳）
河北新闻联播,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#关注河北肺炎疫情#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（唐山发布）
知河北,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#关注河北肺炎疫情#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（唐山发布）
佛山本地,:#新型冠状病毒肺炎#【90岁！广东最大年龄患者出院，医生详解治疗过程】今天上午，90岁的李光（化名）从广州市第八人民医院出院。他是目前广东年龄最大新冠肺炎出院患者，此前病情一度危重。李光经历了怎样的诊疗过程？记者在市八医院了解到，李光入院后，市八医院按照《新型冠状病毒感染的肺炎诊疗方案》，对患者给予抗感染、提高免疫力，吸氧、雾化、祛痰，以及“肺炎一号方”中药治疗，定期组织专家会诊，及时对患者病情进行讨论和研判，根据病情变化及时调整治疗方案。via@佛山日报更多请戳→http://t.cn/A67CjsZk
hdjjdkndbhs,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
秋水无痕易jiajia,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
_Choc0late_,非武汉城市，其他疾病的收治能力，也下降了非常多，更别提武汉了。次生伤害造成的死亡人数，会超过新冠肺炎的死亡人数。这种说不出的痛苦，时刻发生在我们周边。
浙江大学明州医院官方微博,:3月2日12:38，保卫科白保青在南门入口负责对入院人员及车辆体温测量时，发现入口减速带旁有一个塑料袋，里面包裹着一沓百元人民币。捡起后发现，里面共有现金5900元整和郑某、朱某身份证两张。白保青立即上报当班班长，考虑到失主可能会很着急，班长决定先等待失主，如果无人领取则报警处理。12:49左右，失主原路返回寻找丢失物品，经失主身份确认后，白保青将物品归还失主。从交谈中得知，失主（两夫妻)儿媳妇在妇儿医院生小孩，他们是来探望的，没想到不小心把钱弄丢了，对于他们来说，也是一笔不小的金额，以为再也找不回来了，非常心疼。这笔钱失而复得，失主十分激动，马上拿出200元钱来感谢，被白保青谢绝了。白保青说，失主岁数那么大了，挣点钱确实不容易，把钱归还失主是应该做的事，怎么能要别人的钱呢！再小的光亮，也是一种能量！这种拾金不昧的善举，是明州医院正能量的宣扬！
梵高先生的信封,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
十九的枇杷樹-,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
颜祁尹,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
请上发条,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
