依露申qian,:『新浪调查』http://t.cn/A67ppM4I
疯狂的狗狗2,:#外国人永久居留管理条例#最近几天，群里的同学也有讨论，大多反对为主。偶尔支持的言论也寥寥可数。而我就不整体论述了，我是一个懒得看条例的人。没有调查就没有发言权。但想提一个疑问：这也是大多数人的争论点：外国人长久居住的权利与义务的平衡。真的希望有哪位专家可以给我好好梳理一番。还有一个困惑就是评论中频率出现最高的一条：获得居住权的外国直系亲属可享有的待遇。这一条我真的无法理解。中国人的意识形态是由儒家文化传颂而成的。家族理念观是中国人默认的一种传统。我们崇扬这种传统，在处世为人的行为的准则中，我们遵守这种观念。但是这种家族观念延续到制度中，甚至成为一条明文规定，我真的就无法苟同了。五千年的浩瀚历史已经给我们上了这堂课了，帝王的家族纽带、任人唯亲，造成了多少朝代走向了灭亡。选贤举能的选举制度之后，国家又是如何的复苏和崛起，我们看在眼里。那为何“以史为镜”下，我们又对外国人的直系亲属有如此的血脉联系下的待遇呢？一个人的成就我们不可覆灭和忽视，但不要将一个人的成就用制度的手段化成一家族人的成就。不应该将永恒的东西赋予给他们，因为这只会越加滋生未来的祸患。还记得不久前的故宫大V，躺着亲属的荣誉，任意践踏公权力。而如今的做法，其实也就是这类事件的重演。外国居住权的准入制度，已然划定了阶层，他们都是偏向于中产阶级，又根据墨菲定律，他们获得权利会进一步的扩大，而通过条例的渠道，进一步累积在他们的亲属身上，乘数倍效应加强了墨菲定律的效果，从而反应在社会的分配不公和社会的阶级矛盾。又像很多人所说的，他确实为做大蛋糕做出了很大的贡献，那在分他们一份的时候，那我们就不应该分一份给他们？确实应该分，那就应该看要怎么分？分的手段很重要，不应该是给予公权力这种较为永恒的方式。而应该是用其他的方式。其一，不应该延续家族，应该仅是对个人的嘉奖。其二，公权力不应该滥用，而应该是使用金钱等效用不会被无限放大的手段。以上只是自己的一点小小的愚见。越长大越觉得自己应该多读书，开阔眼界，不限于井底之蛙。悲哀于自己觉悟太晚！想发表见解时又苦于是否得当！@专硕王诚不知王老师，是否能看到，但能否也说说观点？
南京鼓楼司法在线,:【司法部牵头的联合调查组公布“黄某英事件”调查结果_光明网】黄某英和女儿及其女儿前夫驾乘京牌私家车，于2月21日11时30分进入京港澳高速，2月22日凌晨到达北京，24日黄某英被确诊为新冠肺炎。对户籍地为北京的刑满释放人员，无缝对接监狱所在地安置帮（分享自@光明网）司法部牵头的联合调查组公布“黄某英事件”调查结果
CeccoliProject,200302#周一熬夜看月曜#喜闻乐见的日本人英语能力调查又双叒叕来了！本次考试分5部分①单词；②和式英语；③英译日；④听力；⑤实际对话。#日本人英语人均小学生#吗？
组织治理与风控,卖一块钱口罩罚药店四万的工商，殴打配菜员称维护市容的城管，多少社区需要帮助，武汉竟还有这样的闲人！人渣不如。【#对话武汉被打蔬菜配送员#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉@紧急呼叫称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”http://t.cn/A67N5oqa
南美侨报2016,:调查：巴西职场人士今年最希望加薪【今日拉美】http://t.cn/A67p6lfY
南京鼓楼司法在线,:【西安市委原常委、市政府原党组成员聂仲秋被开除党籍和公职_光明网】日前，经中共陕西省委批准，陕西省纪委监委对西安市委原常委、市政府原党组成员聂仲秋严重违纪违法问题进行了立案审查调查。2000.07-2002.02西安经济技术开发区管委会规划建设部副部长（分享自@光明网）西安市委原常委、市政府原党组成员聂仲秋被开除党籍和公职
刺穿心脏的爱荆之枪,【陕西一医院被曝一线医护补助最低400元，医院领导拿8000元卫健委：已介入调查】#医院领导抗疫补助远高一线医护#3月2日，一名网友在微博中贴出陕西省安康市中心医院抗疫一线补助名单，据名单显示，该院负责预检分诊及发热门诊、急诊内科、CT室的医护人员核定的补贴在400到4000元之间，其中大部分医护人员补贴金额不足1000元。另一方面，网友用红线在表格中圈出39人，其中显示，他们的补贴金额在8000到12000余元之间，公示名单中注明这些人大多为安康市新型冠状病毒感染的肺炎病例医疗救治专家组成员，也有控感科工作人员及院长助理。对此，安康市中心医院3月3日回应称，医院存在对一线防控人员工作补助核定标准把握不准，审核不严等问题，错将拟上报审核一线疫情防控人员临时性工作补助名单公示为补助标准，在未经上级审核批准前，内部职工反响较大，引起关注，该院党委书记、院长陈文乾已对重新核定提出严格要求。安康市卫健委一名工作人员称，关于安康市中心医院疫情防控补贴一事的质疑及相关问题，舆情发生后，安康市卫健委第一时间注意到，目前已介入调查。（澎湃新闻）
走在路上心未变,:武汉“城管队员殴打配菜员”续：3名城管被辞退、1人被立案调查武汉“城管队员殴打配菜员”续：3名城管被辞退、1人被立案调查
小心别迷上我了哦,:最近老听到神秘的叮当声经走近科学节目组调查原来是我穷的叮当响
kahwangtin,:垃圾小米活该倒闭问卷调查居然没有魅族
啊姚馥兰,:隔壁叕鼾声如雷了，而且经过我的调查是个耳背大爷，我能怎么办！！
股市女人,:我发现一个买房怪像，几乎每个买房子的人都在乎自己买了房以后房价会不会涨或者跌，然后就无期限的调查，考察，查询，对比，忘了自己当初的初心，最后竟然跟买股票一样，最后变成了炒房团的一员，然后就有前仆后继的人出现在样的怪圈，晚下手的怪房价涨，怪这个城市管理，早下手的赚到甜头的还想着再入手，再赚差价，我们都忘记了当初的初心，我们是需要一个安稳的家。致那些为了初心而奋斗的人。#房产##投资#
闲云野鹤ABC,:吴鹏飞的建议，可否成立一个中立和公正的调查小组，人员由卫健委官员、中西医药专家、纪检监察人员、新闻记者、群众代表等组成，按照李跃华提供的患者名单，逐一了解他之前诊疗的效果，和这次新冠肺炎患者的治愈情况。@胡锡进@孙海峰博士@投行泰山@央视财经独家发布：李跃华晒出了自己的第三军医大毕业证书
一盒山竹馅,:接@破译94密码喜欢男生类型深夜大调查1.喜欢打篮球的男生还是踢足球的男生？必须篮球2.喜欢高的男生还是矮的男生？1853.喜欢只对自己撒娇的男生？适当可以俺喜欢斯文败类的4.喜欢弹钢琴的男生还是弹吉他？都喜欢一定要选一个的话就是钢琴5.喜欢手长的男生吗？当然比比爱曲那种6.喜欢头发比较二逼的男生吗？？我又不是二逼7.喜欢会做饭的男生吗？喜欢因为我不会做饭8.喜欢现在（班里）的某个男生吗？没追星之后看现实中男生都不咋顺眼…9.如果喜欢的男生老是跟别人暧昧，你会怎么办？放弃不值得10.如果你想要一件看中的东西会要求他给你吗？会自己买…11.喜欢打游戏的男生吗？帅哥可以一：被点到的人必须在自己首页公开发布二：请老实回答每一个问题三：不准擅自涂改题目四：点五个人五：不准不点名（我改了可以不点名）六：手机里面第五张照片不点了不点了时间太晚了我游戏终结者
不发SCI不改名c,“世界很大，而我是冠军。”TG纪念科林·麦克雷特别节目送给当年每个玩过《科林·麦克雷拉力赛》的孩子们#斯巴鲁##WRC#不靠谱实验室的微博视频
哼谁要和你天下第一好,:喜欢男生类型深夜大调查1.喜欢打篮球的男生还是踢足球的男生？都可以2.喜欢高的男生还是矮的男生？高3.喜欢只对自己撒娇的男生？喜欢4.喜欢弹钢琴的男生还是弹吉他？都喜欢5.喜欢手长的男生吗？喜欢6.喜欢头发比较二逼的男生吗？no7.喜欢会做饭的男生吗？喜欢8.喜欢现在（班里）的某个男生吗？没有9.如果喜欢的男生老是跟别人暧昧，你会怎么办？没有喜欢的男生10.如果你想要一件看中的东西会要求他给你吗？不会11.喜欢打游戏的男生吗？还行，特别是边伯贤一：被点到的人必须在自己首页公开发布二：请老实回答每一个问题三：不准擅自涂改题目四：点五个人五：不准不点名六：手机里面第五张照片该睡觉啦人就不点了妈妈打
篮球每日焦点,:美国警察基本都靠这种赚外快的。很多人还以拍摄事故现场照片卖钱为生的。有电影讲述过这种人的工作方式。#科比遇难照泄露事件调查结果#
一本正经的滚滚,:突然想到本来打算假期回国做田野调查，我导要来中国提供指导，现在想想他还是别来了吧，不然到时候可能都回不去了
迦南葡萄,安康市中心医院为抗疫一线补助公示伤一线职工心💔💔💔，这些红线内的偶尔背着手东转西骂一圈儿，发热门诊专家们值班一两次，其余全是一线大夫，这些人却拿全勤，总数拿的比服务确诊患者的工作人员都高！一线人员上到累趴不给轮休还要被各种克扣上班天数，真是讽刺啊！请问这些官老爷们不说拿这些钱良心何安？脸上也不害臊？@国家卫计委@陕西省卫计委@安康市卫计委@知安康@安康综合广播@安康电视台
孙万宝,【#官方公布贫困户女儿喝药调查#：家中装有宽带，有2部手机，网课一直正常运行】近日，网传河南邓州一14岁女孩因无手机上网课，吞下大量药物，引发关注。3月3日，河南日报消息，邓州公布的调查回应称，女孩家中装有宽带，有2部手机，姐弟三人轮流使用，其网课一直正常运行。此前，女孩就因家庭琐事服药昏迷。知情人称，女孩现在已经能喝粥了。事发后有好心人组织捐款累计1万余元。http://t.cn/A67CLsOp
MthanksM,安康市中心医院为抗疫一线补助公示伤一线职工心💔💔💔，这些红线内的偶尔背着手东转西骂一圈儿，发热门诊专家们值班一两次，其余全是一线大夫，这些人却拿全勤，总数拿的比服务确诊患者的工作人员都高！一线人员上到累趴不给轮休还要被各种克扣上班天数，真是讽刺啊！请问这些官老爷们不说拿这些钱良心何安？脸上也不害臊？@国家卫计委@陕西省卫计委@安康市卫计委@知安康@安康综合广播@安康电视台
爱漾de三眼皮儿Raincy,:接上一棒@达尔文抛物线饭圈女孩调查①什么时候开始追星：高一②初恋追星的爱豆是是：三字弟弟，属性凯源偏凯③对白嫖什么看法：哈哈哈舔物料可以，挑刺没你说话的份儿，闭嘴哈
潇洒川江2765936213,:『大河调查之追踪|“神医”李跃华“铁杆代言人”是策划公司老板-大河报网』大河调查之追踪|“神医”李跃华“铁杆代言人”是策划公司老板
要开始爱自己的小蚂蚁,关于黄金，高盛做了一个调查，有三分之一的人认为这个月会到1700
梁宏业_北极ASD,我看到很多博主都在说和银行重新签利率时要签浮动利率而不是固定利率，我感觉他们都是银行的托啊。
小小小文怡灬,【#官方公布贫困户女儿喝药调查#：家中装有宽带，有2部手机】近日，河南邓州一14岁女孩因无手机上网课吞下大量药物自杀引关注。3日，河南日报消息，邓州公布的调查回应称，女孩家中装有宽带，有2部手机，姐弟三人轮流使用，其网课一直正常运行。此前，女孩就因家庭琐事服药昏迷。知情人称，女孩现在已经能喝粥了。事发后有好心人组织捐款累计1万余元。http://t.cn/A67CLsOp
猫在路上CN,安康市中心医院为抗疫一线补助公示伤一线职工心💔💔💔，这些红线内的偶尔背着手东转西骂一圈儿，发热门诊专家们值班一两次，其余全是一线大夫，这些人却拿全勤，总数拿的比服务确诊患者的工作人员都高！一线人员上到累趴不给轮休还要被各种克扣上班天数，真是讽刺啊！请问这些官老爷们不说拿这些钱良心何安？脸上也不害臊？@国家卫计委@陕西省卫计委@安康市卫计委@知安康@安康综合广播@安康电视台
小栗僧,:请问关于李文亮的那个调查怎么样了？
辰月十七年方二一,:看着粉丝们撕逼一点都不好玩儿，反正不影响我看《陈情令》和《庆余年》
长沙发布,:【长沙市餐饮行业疫情防控形势如何?一起来看看】#打响经济保卫战##湖南防控新型肺炎#疫情当前，为进一步做好餐饮行业疫情防控和监管服务工作，近日，长沙市市场监管局联合市饮食安全协会对1116家餐饮单位开展问卷调查，对重点餐饮单位进行电话询问了解，组织外卖平台对餐饮外卖有关情况进行了收集统计。目前，长沙市餐饮行业形势如何?下一步行动将如何开展?一起来看看吧!（星辰在线记者胡宇薇李林通讯员谌星宇）
朱亚文数据站,:#朱亚文[超话]#
湖北省政府门户网站,:#湖北保卫战#【实施原产地签证“不见面申领”武汉海关二十条措施稳外贸】在防疫期间，武汉海关推出《武汉海关战疫情助复工稳外贸二十条措施》，实施原产地证书“不见面申领”，减少人员接触，最大程度保障出口企业原产地签证需求：将原产地实地调查调整为书面调查，企业在出口原产地系统中上传相关产品生产流程等图片；对符合自助打印条件的原产地证书实行企业自助打印；对高资信企业实行信用签证，向企业提前发放经海关签章的空白原产地证书；通过快递邮寄原产地证书，实施原产地证书全程“零见面”。http://t.cn/A67pLApL
新视界桃花岛,:PCB产业增新愁--------随着中国防疫工作的有效推进，疫情给PCB行业生产端带来的问题已经明显开始好转。不过，近日欧美和日韩的疫情正不断加剧，PCB行业又添新愁。日前，根据集微网调查，作为电子产业中最基础的PCB行业正面临着复工复产难、订单交付难、货款收回难等普遍现象，即使有部分来自测温仪器的需求，但整体而言，疫情还是让PCB行业陷入了寒冬。由于台湾PCB厂商产值中约有63%在大陆生产，35%在台湾生产，因此业务也遭受了一定冲击。不过，近日有业内人士指出，大陆最坏状况已过，随着复工率提升，第2季度运营将会逐渐好转。据中央社报道，PCB业内人士表示，大陆除湖北以外地区的PCB工厂复工率已经恢复至5～8成，产业最坏状况已过，第2季度运营将开始好转。但随着疫情扩散至欧美国家，终端需求将会进一步走低。市场分析，大陆的PCB厂将在4月恢复正常生产。而此前集微网报道过，在产业转移、环保高压等影响下，PCB行业的洗牌一直在进行中。生产端问题刚刚有了好转的迹象，如果疫情在国外得不到控制，整体需求下滑后，恐怕一些PCB厂将很难熬过寒冬。
陕西新闻广播,:#陕西检察机关依法对祁玉江决定逮捕#陕西省延安市人大常委会原副主任祁玉江（副厅级）涉嫌受贿一案，由陕西省监察委员会调查终结，移送检察机关审查起诉。经陕西省人民检察院交办，由商洛市人民检察院审查起诉。日前，商洛市人民检察院依法以涉嫌受贿罪对祁玉江作出逮捕决定。案件正在进一步办理中。
爱信阳,:#信阳生活#【专家复盘：“不明原因肺炎”上报失灵的背后】1月9日早7点，中国疾控中心首席流行病学家曾光坐上北京飞武汉的飞机。因在武汉只待了一天，曾光没有参与现场调查。在地方给包括他在内的专家的汇报中，他听到的是武汉已隔离多少人，密切接触者中没有出现感染者，感染者病症不是太重，和季节性流感差不多……“我们得到的都是这样的信息。”回忆起那次经历时，曾光拍着桌子问，“那时我哪知道还有个李文亮，还有张继先?”更多详情→http://t.cn/A67Cg9Udhttp://t.cn/RJydydJ
廊坊人民论坛,:#廊坊身边事#【廊坊某小区不交物业费就不给办出入证，官方认定来了....】近日，我局接到政务通转来网民夏想反映“燕都鑫城小区正在办理居民出入证，但前提是交2020年的物业费，认为不合理”问题后，立即联系该小区物业，了解了相关情况。经我局调查了解认定如下：1、疫情防控期间燕都鑫城物业投入了大量人力物力财力，所需资金捉襟见，向业主催缴物业费，既是日常管理的需要，也是疫情防控工作的需要。2、作为业主来说，应当按时交纳物业服务费，不得以物业空置、存在遗留问题或者放弃共有权利等为由拒绝缴纳。3、业主到期不缴纳物业费，物业公司可通过上门催交、电话催交、出入小区时催交等形式，督促其限期缴纳；逾期仍不缴纳的，物业服务企业可保留证据，依法提起诉讼。物业公司不应以业主没缴物业费为由拒绝办理出入证，两者之间不应形成因果关系。4、即使物业服务企业存在这样那样的问题，但也不是业主不缴物业费的理由，不能形成恶性循环。5、在此也呼吁所有小区业主，自觉主动缴纳物业费，共同为小区管理承担义务。对于拖欠物业费且拒不改正的，记入社会信用体系。@廊坊同城@廊坊发布@-香河发布-（香河建设发展）#廊坊[超话]#
凤凰网财经,:【#神农架发生野猪非洲猪瘟疫情#，共发现死亡野猪7头】3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。http://t.cn/A67NnmhF
福布斯中文网,:#啤酒与病毒同名近四成人不买了#【#啤酒与病毒同名#，调查显示38%的美国人不会再买了】许多人竟然认为科罗娜（CORONA）与新冠病毒有关！在最新的研究调查中，38%美国人称任何情况下绝对不会购买科罗娜啤酒，14%表示虽然他们爱喝科罗娜，但现在不会在公共场所点它了；16%仍对两者是否存在任何联系感到困惑。http://t.cn/A67Nj9sb
德中工商服务平台,:【新闻通稿】中国德国商会和中国欧盟商会：新冠肺炎严重影响商业活动，呼吁采取适当措施使实体经济重回正轨中国德国商会（德国商会）和中国欧盟商会（欧盟商会）于今日发布了关于“新冠肺炎疫情对欧洲在华企业业务影响联合调查”的细节。结果显示，整体影响较为严重，每一个受访企业都受到不同程度的影响，并受制于各种限制和相互矛盾的规定。许多获准复工的企业不是缺乏必要的投入或员工去全面复产，就是缺乏顾客来购买产品或服务，亦或是缺乏运输人力物力的渠道来满足需求。主要结论：
微微万象民生直通车A,:【#官方公布贫困户女儿喝药调查结果#：家中装有宽带，有2部手机，网课一直正常运行】近日，网传河南邓州一14岁女孩因无手机上网课，吞下大量药物，引发关注。3月3日，河南日报消息，邓州公布的调查回应称，女孩家中装有宽带，有2部手机，姐弟3人轮流使用，其网课一直正常运行。此前，女孩就因家庭琐事服药昏迷。知情人称，女孩现在已经能喝粥了。事发后有好心人组织捐款累计1万余元。http://t.cn/A67CHtPw
罗爷说法-law,:最近，李跃华无证行医事件引起了全网的关注。对于这个事情，网上有两种观点。主流媒体和官方认为李跃华无证行医，是违法行为，应当对其调查，追究其法律责任；大多数网友则认为，在特殊时期，应该关注的是医生的疗效。如果李跃华的治疗方式让肺炎感染患者康复了，他的这种治疗方法应该得到认可，他的无证行医行为应该给予从轻定责。毕竟社会上有一部分有良心有本事的土医生也没有获得行医许可。对于两方的观点，都有可取之处。从法律的角度来讲，依然是要不断的去规范行医行为。获得医师执业资格证方能行医是规范行医的必要准入条件。这是为了保护患者的法律权益，这对西医来讲比较有利。但是对于民间的中医，他们通过祖传的药方擅长于各自的疑难杂症。但是要让他们通过医师执业资格考试可能一辈子都通过不了。如果他们的药方对大多数人都有很好的疗效，却因为没有获得证书而停止行医，我觉得这是国家的损失，给患者又关上了一扇求生之门。当然也有不少行医的江湖骗子，打着“祖传秘方”的旗号到处骗钱害命。正规也好，旁门左道也罢，最终我们所需要的不就是能治好病么？怎么办？我认为政府相关部门应该组织医学专家对有本事的土医生对他们的药方进行可行性和安全性评估，对他们所治疗康复的患者进行调查，判定他们在哪些病症上有行医许可。政府健康部门将这些医生所擅长的病症和对应的药方进行备案。对于一些特殊疑难杂症有普遍疗效的药方，政府帮助土医生申请专利，让土医生获益，也让更多的患者能获益。
香港中通社,:【快訊】3月3日，香港鐵路公司公布去年9月東鐵綫紅磡站列車出軌事故調查報告。調查總結事故由紅磡站附近一個道岔的動態軌距擴闊超出關鍵水平所致。2019年9月17日，東鐵綫紅磡站附近發生列車出軌事故，一列12節載客列車駛入月台期間突然脫軌，車廂斷開兩截，事故造成8人受傷。港鐵車務總監李家潤表示，發生事故的路軌是急彎，行車非常繁忙。事故發生之前，東鐵綫維修人員曾將兩條損耗的木材軌枕更換為合成軌枕。列車駛過彎道時，產生的橫向力大部分集中在新換軌枕的軌道支撐組件上，令三顆固定軌枕的螺絲釘斷裂，動態軌距擴闊超出關鍵水平，導致出軌。李家潤指出，港鐵引入合成軌枕10年來從未遇過類似問題，事故非常嚴重，港鐵高度重視，再次向受影響乘客致歉。港鐵已落實一系列改善建議，包括加強上報機制，引入新科技協助實時監測軌距變化等，繼續為市民提供可靠安全的鐵路服務。（記者王姝）#香港##香港中通社#
桂林网警巡查执法,:#桂林警事#兴安交警化身“蓝朋友”，瞬间扑灭自燃起火的轿车！2月28日，兴安县公安局交警大队接县局110指挥中心指令称：资兴高速上2162km处，一辆小轿车发生燃烧，现场浓烟滚滚，请交警前往处置。接警后，马口岭中队值班民警迅速赶到现场，发现一辆轿车正在燃烧，车上冒出滚滚浓烟，旁边还有十余名群众围观，情况十分危急。民警立即采取行动，在现场摆放警示锥桶，疏散围观群众，保障现场交通秩序的畅通。10分钟后，兴安县消防大队赶赴现场，开展灭火抢救救援。经过努力，险情得到排除，车辆虽被烧得面目全非，所幸无人受伤。经了解，当时车上共有乘客3人，轿车驾驶员准备从兴安前往桂林，不料行驶至事发路段时，突然闻到车内有刺鼻的焦糊味。几秒钟后，驾驶员发现从车辆引擎盖里面冒出白烟并窜出火苗，于是将车辆紧急停在应急车道上处置。由于车上没有灭火器，而火势越来越大，还发生了油箱爆炸，驾驶员及车上乘客迅速撤离到安全区域后赶紧拨打电话求救。提起车子刚发生的事情，驾驶员仍惊魂未定。目前，起火原因正在进一步调查之中。
星视频,:【如何从确诊者找到所有密接人员？实拍流行病调查全程：不输破案】2月29日，湖北十堰，茅箭区疾控中心接到报告，一名患者核酸检测为阳性，随后，广西支援十堰抗疫医疗队立即前往西苑医院，对这位患者进行调查。经询问，患者表示，正月初九回到城区后再也没有出过门，也没有亲戚看望过她。流行病学调查需要在最短的时间里得到最详细的信息资料，他们通过公安调取近200个小时的视频素材，查找密切接触者的行动轨迹。流调人员必须盯着电脑一个画面一个画面的反复看，不放过任何一个蛛丝马迹。遇到疑点，流调人员还要打电话询问，有时候，患者并不是很配合。http://t.cn/A67NcUzw
济南公安历城分局,:#抗击疫情公安在行动#郭店派出所持续开展用工单位疫情调查登记工作为严格落实用工单位疫情防控系统登记工作，连日来，郭店派出所到辖区用工单位、场所持续开展疫情调查登记工作。期间，民警查阅了各用工单位、沿街九小场所的疫情防控机制、员工健康报告，对重点地段、场所的消杀等各项防控措施的落实开展检查指导，对发现的问题，提出可行的整改意见，督促企业压紧压实防疫主体责任。随后，民警重点对各单位的流动人口、返乡人员底数进行摸排，向单位负责人强调了疫情防控登记系统录入工作的重要性和紧迫性，要求各单位在出入口、餐厅等重点部位张贴《致辖区用工单位的一封信》，方便员工及时录入信息，录入遇到问题随时与民警联系，保质保量完成信息录入工作。
最红最美的旗,:《东方时空》20200302，本期节目主要内容：战疫情·疫情观察·数据看变化，新增病例波动下降，湖北以外继续个位数；疫情观察，专访中央指导组专家组成员，国家卫健委专家组成员邱海波，病理结果指导临床，为救治提供新思路；战疫情·媒体观察，国际社会关注中国战“疫”出现向好态势；战疫情·走进武汉·武汉日记，只想喝口冰的！火神山ICU护士长的日常；联合调查组公布“黄某英感染新冠肺炎离汉进京事件”调查结果，“黄某英事件”发生经过。（《东方时空》20200302）http://t.cn/A67NtsKU🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
今日必看,:【两少年骑车闯红灯被撞飞一个深度昏迷一个多处骨折民警：还得承担全责】2019年8月，江西赣州，两未成年人骑摩托车闯红灯撞上一辆正常行驶的白色汽车，由于巨大的撞击力两人腾空翻起。摩托车驾驶人廖某全身多处骨折，搭乘人吴某深度昏迷，尚未脱离危险。经过民警调查后认定，摩托车闯红灯是造成事故的直接原因，驾驶人廖某承担事故全部责任，白色汽车驾驶人在事故中没有过错不承担责任。这样的判罚，你支持吗？http://t.cn/A67NtrSi
联合国,:#联合国秘书长古特雷斯#日前表示，鉴于#COVID-19##新型冠状病毒#疫情目前在世界各地迅速蔓延的形势，出于平衡联合国关键工作和公共健康关切的需求，他已经建议妇女地位委员会主席团缩小原定于3月9日到20日期间在联合国纽约总部举行的妇女地位委员会第64届会议的规模，仅限身在纽约地区的代表参会。此次会议适逢有关女性权利和性别平等的重要文件《北京宣言》通过25周年，原本计划汇聚来自全球的与会者，共同探讨《宣言》落实情况。古特雷斯同时表示，针对任何政府间会议是否举行的最终决定权完全在于各成员国。各成员国将于3月2日举行会议讨论上述事宜并作出最终决定。无论成员国达成何种决定，联合国秘书处都将予以执行。与此同时，@世界卫生组织总干事谭德塞也通过社交媒体表示，世卫组织对确诊患者家中宠物犬经检测呈弱阳性事件表示关注，并正与合作伙伴#世界动物卫生组织#及@联合国粮农组织密切配合，等待香港卫生官员对事件的进一步调查结果。了解更多信息：http://t.cn/A67xQ1FX联合国图片：东京国立博物馆内戴着口罩的参观者
腾讯新闻,:【湖北省司法厅连夜开会：向全国人民表示深深歉意】3月2日，在联合调查组公布“黄某英事件”调查结果后，湖湖北省司法厅党委连夜召开会议，一致认为：坚决拥护联合调查组的调查结果，坚决拥护省委、省纪委监委的处理决定。大家认为，“黄某英事件”虽然发生在武汉女子监狱，但根源在湖北省司法厅和湖北省监狱管理局，我们向全国人民表示深深的歉意。http://t.cn/A67Nz519
联播中国,:【#上海追踪71名浙江输入病例密切接触者#】上海市卫健委通报：今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。经调查，浙江新增确诊病例中6人与昨天浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。@央视新闻http://t.cn/A67CCuXb
采木棉花的小童丽,:#科比遇难照泄露事件调查结果#我觉得这种行为就是欠家教～也是就是道德建设问题
篮球足球直播平台推荐APP,:【#科比遇难照泄露事件调查结果#：8名警察被处罚】据TMZ报道，在科比事故发生几天之后，一名警员在酒吧里向一名女子展示遗体照片，酒保无意之中听到此事，在网上向治安部门投诉。瓦妮莎得到消息后对此非常不满，并委托律师发出公告，今日结果通报，8名警察被处罚。科比遇难照泄露事件调查结果：8名警察将被处分
滴答滴答小泰阳,:涨了两分
柯香2013,:韩国100多名军人是新天地教徒正逐个接受调查韩国100多名军人是新天地教徒正逐个接受调查
叫我焱焱焱焱焱,放行
冰玉紫幽,#酥妃##九九八十一#的人设师酥妃太太因为肖战粉丝举报ao3一事将微博全删光了，创作者失声，为什么文化不能求同存异呢？
八百里分飞2019,:网传湖北卫计委综合监督局对李跃华张胜兵的调查报告，疑似伪造。该报告使用红头，却无文号，且落款处，公章在下，日期在上。
人民日报海外版-海外网,:【武汉城管殴打配菜员：3名城管被辞退1人被立案调查】#武汉城管殴打配菜员3人被辞退#3月2日，一则“城管队员殴打生鲜店配送员”的网传视频显示，多名身穿制服的城管人员和一名黄衣男子发生肢体冲突。3月3日，该视频发布者向南都记者表示，这名黄衣男子为武汉阿拉加鲜生店的员工，双方因开店经营问题产生冲突。3月3日9时，武汉市江汉区政府办公室通报称，江汉区汉兴街工委和纪工委对发生冲突的城管人员吕某某、蒋某某、李某某予以辞退，对负有管理责任的汉兴街公共管理科相关负责人予以立案调查。http://t.cn/A67Kjv6G
琵琶湖仙子,【官方公布贫困户女儿喝药调查：家中装有宽带，有2部手机，网课一直正常进行
新文化网,:【#科比遇难照泄露事件调查结果#：8名警察被处罚】据TMZ报道，在科比事故发生几天之后，一名警员在酒吧里向一名女子展示遗体照片，酒保无意之中听到此事，在网上向治安部门投诉。瓦妮莎得到消息后对此非常不满，并委托律师发出公告，今日结果通报，8名警察被处罚。科比遇难照泄露事件调查结果：8名警察将被处分
charitarian,关于黄金，高盛做了一个调查，有三分之一的人认为这个月会到1700
欣彤77,互联网+金融，p2p金融，大众创新，全国4亿人。正能量地球人2016的微博视频
源啊圆吖吖,:#科比遇难照泄露事件调查结果#泄露照片真的太过分了
U9幻想曲,【女子发朋友圈称被疑似人贩子强拉上车警方：拉人者误认成自己妻子女子发布不实信息
豫鄂风,发布了头条文章：《“砸锅”“甩锅”者必遭人民唾弃》“砸锅”“甩锅”者必遭人民唾弃
