我的身体已经菠萝菠萝哒,http://t.cn/A67qod6l大家记得一定要填法米通六周年调查问卷啊
David鵬,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
新浪湖南,:#湖南防控新型肺炎#【热血传真情衡阳市调拨新冠肺炎康复者恢复期血浆支援邵阳[加油]】3月3日，衡阳市中心血站紧急调拔400毫升新冠肺炎康复者恢复期血浆，支援邵阳市的新冠肺炎危重症患者救治工作，共同抗击疫情。当天下午14点30分，衡阳市中心血站工作人员在认真完成血液的出库、核对、装箱等相关工作后，顺利与邵阳市中心血站工作人员进行新冠肺炎康复者恢复期血浆交接。http://t.cn/A67Nv8Wt
保山新闻网,:#抗击疫情保山在行动##抗击新冠肺炎云南在行动#【虽然隔着护目镜口罩我看不清楚他们的模样但我相信他们
洛杉矶华人资讯网,:OC消防队员在遇到正在接受COVID-19检测的患者后被隔离http://t.cn/A67NAcgG
中国经济网,:【湖北回应首家方舱医院休舱：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。疫情增量风险仍未根本控制。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
欢乐口腔医院,:很多戴隐形牙套的患者都会问：“为什么戴牙套要咬胶？”首先要知道咬胶是专门针对隐形矫正配套使用的硅胶“糖块”，能更好地保证隐形矫正的效果。咬胶不是工具，只是“按摩”就位器，一般是先用手把牙套佩戴上，然后通过嚼咬胶帮助牙套与牙齿充分贴合。咬胶可以反复使用，用水或者漱口水冲洗即可，至少1个月更换一次
长春晚报,:【长春康复患者累计捐1300毫升血浆】“用我的血，给别人带去希望，值！这是我的报恩方式。”3月2日，在长春市中医院东区，一名新冠肺炎康复患者捐献完血浆后这样说。据了解，继2月18日至2月19日首批4名长春市康复患者捐献1100毫升恢复期血浆后，3月2日，长春市中心血站再次完成1例200毫升康复患者血浆采集，捐献者身体状况良好，血浆采集过程非常顺利，采集后工作人员立即将血浆和标本带回血站进行制备、检测和储存，待吉林省卫生健康委专家组核准再发往临床，这些血浆将为危重症新冠肺炎患者的救治带去希望。
包头交警,:【防控新冠肺炎9个误区】出现发热、乏力、干咳一定是被感染了？从患者逛过的商场回来就是密切接触者？车站、机场过安检取下口罩会被传染？……这些都是防控误区，一定要知道↓↓科学抗疫，积极防护，转给身边人！@天津交警
新浪浙江,:#致敬前线的她#【致敬！最美逆行者——记湖州、萧山奋战在抗疫一线的女性】驰援武汉，救治患者，有她们！组织筹集、捐赠疫情物资，有她们！走村入户，防疫宣传，有她们！坚守岗位，配合工作，也有她们......今天的她们是来自萧山和湖州的巾帼英雄代表，她们是最美的抗疫逆行者！如果你身边也有一个“她”，那就赶紧分享给小浪吧～#她力量#
云南网,:【#一线医护人员有多可爱#？看图！
央视网,:【感动
央视财经,:【#浙江新增7例意大利输入病例情况公布#：均与浙江首例境外输入病例在意大利同一餐厅工作】2日，#浙江新增7例新冠肺炎均为输入病例#。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁；患者王某，男，29岁；患者叶某某，男，36岁；患者陈某某，男，23岁；患者叶某某，女，32岁；患者章某某，男，33岁，6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。
宁波机场阳光服务,:#社会热点#【#卡塔尔确诊首例新冠肺炎#】2月29日，卡塔尔公共卫生部发表声明称，该国发现首例新冠肺炎确诊病例。该患者为卡籍男子，36岁，系从伊朗撤回的侨民，确诊后即被转移至卡传染病中心进行隔离治疗，目前健康状况稳定。日前，卡政府使用包机从伊朗撤回本国侨民，入境后即对全部撤回侨民进行隔离。卡公共卫生部现已着手对该确诊病例的所有密切接触者进行检查，并采取适当隔离措施。
中国红十字会总会,:#新冠肺炎防控红十字在行动#为了这座城市重见阳光，他们的世界只有“雾天”。生命的摆渡人，中国红十字会救护转运车队救在“疫”线！@青海省红十字会截至3月2日24时，中国红十字会救护转运车队执行任务1670次，转运病人5276人，其中重症及危重症患者1902人。中国红十字会总会的微博视频
江苏检察在线,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。（人民日报）http://t.cn/A67NvF2i
老莫漠亦,广东援汉医生：汉口医院呼吸科整个科室几乎全军覆没应该说汉口医院一线的情况，还是让我们很震撼的。第一天进入病区后，一名有十多年经验的老医生就和我说，那天晚上睡不着觉、做了噩梦，有的医护人员也会在房间里哭。因为受条件所限，许多救治手段上不了，我们的医护人员就觉得有力气使不上，眼看着病人不行了，感觉很无助、感觉救不了。这种情况下，队员们的信心受到很大打击，有的人会来找你倾诉，有的人会发脾气吵架。那种状态，你得去理解他。这个事情可能对那个医生触动比较大。一方面，感染科平时接触的大多是乙肝这类病人，危重症的比较少。另一方面，绝大部分医生、护士都很善良，他可能觉得一个37岁的男人正是家里的顶梁柱，人就这么没了，他过意不去。从那以后，这个医生变得很沉默寡言，经常躲在房间不出门。http://t.cn/A67Se75w
河北新闻联播,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#关注河北肺炎疫情#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（唐山发布）
普通小猫奈奈子,#肺炎患者求助[超话]##武汉加油##非肺炎患者求助#【志愿者代发】【姓名】胡琴【年龄】33【所在城市、社区】湖北天门市第一人民医院【患病时间】2.19【联系方式】黄春能（老公）13396065250【其他紧急联系人】【病情描述】目前人在湖北天门市第一人民医院，因发烧住院隔离，两次咽拭子结果都是阴性，CT双肺正常，血小板值过低，确诊急性白血病，因医院条件有限，需要转武汉三甲医院。由于疫情联系医院均无法接收，没办法只能向微博求助，希望大家能帮帮她【主要诉求】病人已排除肺炎，目前所在的天门医院条件有限，无法检测病因，急需转至武汉三甲医院。
山崎黑不拉几女士,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
某个WJ,【纽约州首例确诊患者没去医院，州长：80%的人都能自愈，不需要去医院】1日，美国纽约州确诊首例新冠肺炎患者，但这名39岁的女性医护工作者没有前往医院治疗，而是在家中隔离。2日，纽约州长在发布会上解释称：“她的症状很轻，根本没去医院。”他还称：“她不需要去医院，这是重点。如果被感染，80%的人都能自愈，他们会以为自己得了流感。”http://t.cn/A67CVjKZ
modern秀才,:新冠康复者恢复期血浆治疗初显成效，但血浆缺口依然显著。目前，全国已有4万新冠治愈者，医疗专家和患者家属呼吁更多康复者参与捐献。
modern秀才,:新冠康复者恢复期血浆治疗初显成效，但血浆缺口依然显著。目前，全国已有4万新冠治愈者，医疗专家和患者家属呼吁更多康复者参与捐献。
知河北,:【好消息！唐山市1例重症患者治愈出院，累计出院51例】#关注河北肺炎疫情#3月3日16时，唐山市1例新冠肺炎重症患者在市定点医院唐山市传染病医院治愈出院，并由医院120转运组送至其归属地。截至目前，唐山市共有51例新冠肺炎患者治愈出院。此次治愈出院的患者为66岁女性，迁安市人，于2月9日入院治疗。该患者由于年龄较大并伴有高血压、糖尿病、冠心病等基础疾病，于2月14号3时突然病情加重，被诊为重症新冠肺炎转入重症病房治疗。经省市专家组精准施治和医护人员的精心护理，该患者于3月1日病情平稳，转入普通病房，目前，临床症状消失，影像明显好转，检验结果正常，核酸两次阴性，经专家组会诊各项指标符合出院标准，准予出院。（唐山发布）
安徽广播电视台,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。#湖北加油#http://t.cn/A67NvF2i
太原新闻网官方微博,:【财政部：#各级财政疫情防控资金超千亿#】财政部社会保障司司长符金陵表示，确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排防疫资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67CdNvL
王暖暖wsy,:刘可心是一名再生障碍性贫血患者，急需A型血，她现在血红蛋白18（正常值是115---150）血站没血，需要家属找人献血才给输血，恳请万能的朋友圈帮帮忙，希望能找到好心人🙏🙏🙏联系电话13019987121#葫芦岛身边事#葫芦岛
chuminhua,:3/2，Sanofi已经同意支付1185万美元，以了结关于其使用TheAssistanceFund作为“中转渠道”来帮助MS患者支付Lemtrada费用的Medicareco-pay部分的指控。该药每年的花费将近10万美元，患者co-pay可能达数千美元。http://t.cn/A67NAUGz
北京城市资讯,:【我#转院去火神山医院陪外婆#
Allundo,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
白水检察,【患者说：#说星星很亮是你没见过她们的眼睛#
话兰州,:【我#转院去火神山医院陪外婆#
Yany___L,求助：2.29发现爸爸癌症晚期，肝部肿瘤+肾上腺肿瘤，有随时破裂危险，疼痛难忍，现找不到医院愿意收治。我爸2月29日夜里因腹痛难忍被120拉到廊坊市人民医院急诊科，（不发烧，已排查没有新型冠状症状），检查后发现肝部肿瘤+肾上腺肿瘤，肿瘤大约10cmx8cm，有随时破裂危险。凌晨三点外科要求我们办理出院退费，原因是无法确认肝部是原发，将我们退回急诊。之后我们在雨里拉着疼的汗如雨下的爸爸，返回到急诊楼，后来泌尿外科也因无法确认肾部原发为由不收治（泌尿外科的医生来到急诊后并没有看病患者，只看了检查结果）。在急诊熬了一宿，我们被建议赶快去北京天津大医院。3月1日早上我们来到天津医科大第二医院-泌尿外科急诊，医生说急诊无法收治住院，让挂周二门诊号应该会安排住院，（同时我们回到县医院输液止疼，）3月3日到天津医科大第二医院泌尿外科看诊，医生说即使病情危重也无法住院收治，因为卫健委规定天津市外病人未在天津隔离15天坚决不接诊，让我们去找别的医院。我们是廊坊市大城县人，大城县医院无法确诊，只能通知家属医疗水平不够无法救治，下了病危通知，廊坊市医院不收治，天津不收治，请问我们应该怎么办？@人民日报@央视新闻我爸本来好好的一个人，得知他是癌症晚期我们已经备受打击全家接近崩溃，现在能到的医院都求治无路所有医院都碰一鼻子灰，请问疫情期间就不能治病救人了吗？能给我们点希望吗？
冰雪歌,他是新加坡神召会恩典堂牧师，也是#新冠肺炎#第51号感染者——赵克文，公开分享被感染的经历。微烧看医生后正常上班工作，直到反复微烧情况出现，再次求医；加上身边教友同事都陆续出现异常，决定去国家感染病中心检验，于次日确诊。一路的心灵路程#全球抗疫第一线##新加坡疫情#新加坡眼的微博视频
YAN妍博士,除了在栏目中说的“三明治敷面膜法”会使脸部肌肤接触香料、激素负担加倍外，再与大家多分享一些。所谓的三明治面膜风靡起来主要是靠某女星带火的，声称“封闭的补水环境，会对肌肤吸收有所帮助，让补水效果更佳的显著”但是我觉得这位某女星的日常护理知识不太足，可能不知道一个名词叫做“过度水合反应”。举个例子，手泡在水里一会儿，你会发现手上的皮肤会变得发白且柔软，这种反应会严重破坏肌肤的角质层！所以如果天天敷面膜或者敷太久或者使用所谓的“三明治敷面膜法”，都会让皮肤的角质层过度水合，造成角质层的细胞间隙增大，加快角质层的脱落。肌肤屏障受损后皮肤会变得脆弱，对外界的抵抗能力也会变弱，容易出现各种各样的问题！比如敏感、毛细血管扩张、皮肤变薄、干燥、脱屑、发红、发烫等，甚至爆出痘痘。意见：尽量不要相信网络上没有科学依据的“自创护肤大法”。#护肤##美白##Beauty##好物推荐##美妆生活##时尚穿搭##不潮不出街##护肤分享##皮肤管理##涨姿势##涨知识##生活小贴士##创造营2019##Beauty小姐#http://t.cn/A679M0Le
-awa-,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
牵钱遣欠,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
-无糖咖啡冰西瓜-,#肺炎患者求助[超话]##武汉加油##非肺炎患者求助#【志愿者代发】【姓名】胡琴【年龄】33【所在城市、社区】湖北天门市第一人民医院【患病时间】2.19【联系方式】黄春能（老公）13396065250【其他紧急联系人】【病情描述】目前人在湖北天门市第一人民医院，因发烧住院隔离，两次咽拭子结果都是阴性，CT双肺正常，血小板值过低，确诊急性白血病，因医院条件有限，需要转武汉三甲医院。由于疫情联系医院均无法接收，没办法只能向微博求助，希望大家能帮帮她【主要诉求】病人已排除肺炎，目前所在的天门医院条件有限，无法检测病因，急需转至武汉三甲医院。
肝胆外科罗大夫,:#科比遇难照泄露事件调查结果#科比遇难照片被美国警察当作搭讪的谈资在酒吧向别人展示，这已经是对死者最大的亵渎，也是有违职业道德的行为。其实每一个都应该被尊重，医生这个行业也是如此，未经患者许可泄露患者隐私信息的行为也是不能被接受的。所以，当需要使用临床案例作为科普的时候，这个要求我会反复去提醒自己。
财经新媒体,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
财经新媒体,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
这是个小号别开枪,广东援汉医生：汉口医院呼吸科整个科室几乎全军覆没应该说汉口医院一线的情况，还是让我们很震撼的。第一天进入病区后，一名有十多年经验的老医生就和我说，那天晚上睡不着觉、做了噩梦，有的医护人员也会在房间里哭。因为受条件所限，许多救治手段上不了，我们的医护人员就觉得有力气使不上，眼看着病人不行了，感觉很无助、感觉救不了。这种情况下，队员们的信心受到很大打击，有的人会来找你倾诉，有的人会发脾气吵架。那种状态，你得去理解他。这个事情可能对那个医生触动比较大。一方面，感染科平时接触的大多是乙肝这类病人，危重症的比较少。另一方面，绝大部分医生、护士都很善良，他可能觉得一个37岁的男人正是家里的顶梁柱，人就这么没了，他过意不去。从那以后，这个医生变得很沉默寡言，经常躲在房间不出门。http://t.cn/A67Se75w
我卖了泪腺,:接@东赫牌甜果酱（刚上线就看到了）把手机屏幕发微博，然后点十人十个人太多了，就三个人吧
侠客岛,:【湖北副省长：新冠患者增量风险仍未得到根本控制】湖北副省长杨云彦在今日下午召开的湖北省疫情防控工作新闻发布会上介绍，湖北省新冠肺炎救治效果稳步提升，但疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前湖北消化存量的任务依然艰巨，全省还有2万多名患者在院救治，6000多名重症、危重症患者仍需加大救助力度。同时，增量风险仍然没有得到根本控制，“像武汉市每天还有三位数的新增病例。”。此外，疫情防控仍具有不确定性。他介绍，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象。http://t.cn/A67Ce0e9
刘丽_46688,:我在看：【北京回应“望京一韩国人确诊”:患者并非新冠肺炎】#跟新浪看热点#http://t.cn/A67NAhcn
手机用户1222760990,:我在看：【湖北省副省长：新冠肺炎患者增量风险仍未得到根本控制】#跟新浪看热点#湖北省副省长：新冠肺炎患者增量风险仍未得到根本控制
凶手是主夫,#肺炎患者求助[超话]##武汉加油##非肺炎患者求助#【志愿者代发】【姓名】胡琴【年龄】33【所在城市、社区】湖北天门市第一人民医院【患病时间】2.19【联系方式】黄春能（老公）13396065250【其他紧急联系人】【病情描述】目前人在湖北天门市第一人民医院，因发烧住院隔离，两次咽拭子结果都是阴性，CT双肺正常，血小板值过低，确诊急性白血病，因医院条件有限，需要转武汉三甲医院。由于疫情联系医院均无法接收，没办法只能向微博求助，希望大家能帮帮她【主要诉求】病人已排除肺炎，目前所在的天门医院条件有限，无法检测病因，急需转至武汉三甲医院。
吃土的一坨孽蓝,:我仔细想了想我有没有被雷得五雷轰顶的同人——没有。实在是太没有了，一个博爱佛系看同人的人真的完全没得什么雷点，甚至《樱兰情缘》都能让我淡定如初……噢对，以前翻某些搞颜色文的时候，我还看过把网王全员弄成X上瘾患者集体搞一个的……就是文笔不是很好不然的话题材来看我觉得挺香的（。）
人民日报传媒海南,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i（人民日报）（ZMM）
绒岩蛋糕配虾滑,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
肆无忌惮打哈欠,:搬家两天手术后基本稳定然后今天新闻说我们在的医院有xg患者……一天天的心累，冰箱快空了，我想做各种美食吃啊……
河北综合广播,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
长江网_留言板,:#致敬一线战疫者#【爷爷，我给你好好洗个脚】3月1日晚，武汉市第八医院（卓尔应急定点医院）四病区病房里，陕西援鄂医疗队队员贺焕为一位高龄重症患者洗脚。贺焕毕业于第四军医大学护理系，现在是西安国际医学中心医院消化外科三科主管护师。奔赴武汉战疫一线，在病房工作的这段日子，喂饭、洗脚、护理……贺焕像对待家人一样关爱病区的每一位患者。（记者章胜制作熊丽审看寇鹏视频来源：西安国际医学中心医院）http://t.cn/A67NP9ql
小议国事,:有三个信息要关注：1.国家掏钱。截至3月2日，各级财政安排的疫情防控资金已经达到1087.5亿元。这是直接出的钱，不包含损失。2.中医治疗。从临床实践来看，中医治疗不但对新型冠状病毒肺炎轻症患者起作用，还对重症患者起作用。3.紧急行政权，宪法行政法领域的一个概念，源于宪法对紧急状态的规定，以及立法的授权。至于，紧急行政权的具体内容和权力边界，还需要进一步深入讨论。
湖北禁毒626,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
武汉晚报,:#致敬一线战疫者#【爷爷，我给你好好洗个脚】3月1日晚，武汉市第八医院（卓尔应急定点医院）四病区病房里，陕西援鄂医疗队队员贺焕为一位高龄重症患者洗脚。贺焕毕业于第四军医大学护理系，现在是西安国际医学中心医院消化外科三科主管护师。奔赴武汉战疫一线，在病房工作的这段日子，喂饭、洗脚、护理……贺焕像对待家人一样关爱病区的每一位患者。（记者章胜制作熊丽审看寇鹏视频来源：西安国际医学中心医院）http://t.cn/A67NP9ql
京城张宝,:【#浙江公布7例输入性病例轨迹#：与浙江首例输入性病例同在意大利一餐厅工作，均为密切接触者】3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。http://t.cn/A679GInL
