林要carpediem,:美国政府从上到下加上各种相关机构对新冠肺炎的反应态度和处理措施我只能用WTF
黄家乐同学,:#超话小秘书[超话]#@微博小秘书@微博客服@超话小秘书@微博管理员@超话社区尹颂超话的大主持人“宛有尹丽”（曾用名“尹颂粉丝团”）把所有铁粉屏蔽，把自己一派的黑粉留着，我们举报她后，她就把我们解禁，反复多次。甚至把小主持人全不删除，不仅如此，她还颠倒黑白，陷害忠实粉，不止一次我们又不能发评论反驳，证据在此（尤其是第一张图，她自己承认，不是凭空捏造），不多说了。
一心一易de叶公子,#易烊千玺封面#
草原猎鹰666,一年有四个季节，每个季节都有不同的景色，而我最喜欢冬天下雪时的壮丽景色。冬天，小花科技中心的秒拍视频大雪纷飞人们好象来到了一个幽雅恬静的境界，来到了一个晶莹透剔的童话般的世界
如意星君-,:#乌鲁木齐红娘[超话]#各个社区都有通知了，我们社区拿铁链锁着单元门-还没任何通知-如果能出门了，想找个大龄女青年今年领证，另外还想吃火锅，我都快半个月没见肉了
霜气正凝结,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
左惟强,:爬到山顶，鸟瞰所住社区！这边晴空万里，对面山上还是冰冻三尺！美国·洛杉矶
吃我一记心鼓弦,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
我不是这个好秋月啊,一年有四个季节，每个季节都有不同的景色，而我最喜欢冬天下雪时的壮丽景色。冬天，小花科技中心的秒拍视频大雪纷飞人们好象来到了一个幽雅恬静的境界，来到了一个晶莹透剔的童话般的世界
默唸5,一年有四个季节，每个季节都有不同的景色，而我最喜欢冬天下雪时的壮丽景色。冬天，小花科技中心的秒拍视频大雪纷飞人们好象来到了一个幽雅恬静的境界，来到了一个晶莹透剔的童话般的世界
温柔迷毒,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
尖酸猫_,:很多事情，做与不做的区别不在于结果是否会有不同，关键是收获的感受和经验一定会不一样。权利静静的躺在那里，争取就有可能获得，越多人争取，我们生活的环境就会愈发接近公平。团购天价菜的日子或许还会持续两个月，但逼迫社区领导出去化缘的行动必须从今天做起。
郭律师111,:市政府会议刚结束，全市明天放开，（看制证情况暂定）除了外地来乌人员还要隔离，现在正在逐级传达。社区办一个家庭两个通行证、车辆分单双号[胜利]7类人员不办包括家人7类是指，确诊疑似密一密二发热居家或者集中隔离过的包括家人都不办……终于曙光在前……终于似乎可以出门了…………要是不辟谣的话http://t.cn/RMJI3lO
Andyyyyyyao,:发布了头条文章：《社区工作者和志愿者注意了！帮重症和慢病患者买药请带齐这些资料》社区工作者和志愿者注意了！帮重症和慢病患者买药请带齐这些资料
周易5804,:各各社区在疫情期间严防死守，憋了一天，也只有晚上出来遛遛，猛然想起老宅房头的樱桃树就过去看看；天色微暗，但花开依旧，随手折几技却惹来几只“嗡嗡"叫的蜜蜂！“普天同庆"的瓶插花，寓意浓浓！
李四瓜i,故事要从几包吸水弹说起中字在@黄浦春马那里看到，因为实在太好笑了我冲个字幕。。配上前因后果我真的笑到邻居报警hhhhhhh法国up主：CyrilSchreiner雅伦Yalun的微博视频
遁走猪屁屁,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
陕西政法,:#新型冠状病毒感染肺炎#【好消息！#湖北新冠肺炎患者治愈率大幅提升#】截至2日24时，湖北省共指定定点救治医院238家，当日新增出院2410例，累计治愈出院36167人，治愈率从2月12日的7.14%持续提升至3月2日的53.81%。这是记者从3日召开的湖北省新型冠状病毒肺炎疫情防控工作指挥部第38场新闻发布会上获悉的。　　湖北省副省长杨云彦说，湖北省在中央指导组的指导下，推动救治关口前移，解决患者收治难题；全力救治重症患者；预防轻症转重症，减少重症患者比例；全力提高新冠肺炎患者治愈率、降低病亡率。目前，全省各地市危重症床位配置基本满足救治需求。武汉市重症救治床位已由人等床转变为床等人。截至3月2日，同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，其中负压ICU病床245张，共收治危重症、重症患者3728名。武汉市新冠肺炎患者病亡率正在逐渐下降。　　湖北省卫生健康委员会副主任涂远超说，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈巍、仝小林等10位业内著名的院士齐聚湖北，330多支医疗队、超4万名医务工作者从全国各地支援湖北。其中重症医学科、感染科、呼吸科、心血管科和麻醉科专家达到15000多人，援助湖北医疗队直接接管病区，在患者救治中发挥重要作用。　　杨云彦介绍，按照“四早”原则，湖北提升核酸检测效率，及时发现确诊病例，着力提高收治能力，加大建院增床力度，优化医疗资源配置，实现确诊病人、疑似病人应收尽收、应治尽治，提高医疗救治能力。“当前湖北疫情形势出现积极变化：发热病人人数持续下降；疑似病例和新增病例明显减少；密切接触者隔离人数持续上升；出院病例持续加大，重症和危重症病例、病亡人数持续下降；资源力量正在聚集，医疗救治能力稳步增强。”杨云彦表示，虽然出现积极变化，但湖北疫情防控形势依然严峻复杂，当前面临的主要问题是：消化存量的任务依然艰巨；增量风险仍然没有得到根本控制；疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；老旧社区、特殊场所等地方还存在薄弱环节。
西安一套,:#武汉日记#【#疫情下的社区工作人员#：连续38天无休回家不敢抱孩子】3月1日，陕西西安，38岁的卫辰明是高新区木塔南苑小区的计生专干，这是一个城中村回迁小区，有2000余套房，其中不少是租客，人流量巨大。卫辰明从大年三十开始上班，进行社区走访等工作，连续1个多月没有休息。担心自己身上带病毒，卫辰明回家消完毒、洗过澡后，仍不敢抱孩子。#战疫情西安在行动#http://t.cn/A67ChGBu
乐平发布,:#联防联控江西在行动##爱心守望情暖赣鄱##抗疫一线江西党员勇争先#【疫情防控期间营业须守规矩！乐平这两家餐饮店被关停，原因是……】为做好复工复产后疫情防控工作，降低交叉感染和传播风险，连日来，洎阳街道联合市城市管理局、市场监督管理局、市卫健委、公安等多部门组成巡逻队，对辖区内营业商户进行督导检查。截至目前，全市共关停不符合要求门店2家。在巡查中，执法人员发现位于东湖公园附近的正新鸡排、西街仿古长廊内的一家商户均未达到标准防疫措施，且有堂食现象。社区网格员多次上门宣传、劝导，但这两户餐饮店不听劝阻屡次违规营业。3月1日，对这两家餐饮店进行强制关停。据洎阳街道社会治理办常务副主任彭国兵介绍，下一步，洎阳街道将继续坚持“严防死守、不落一户”的工作理念，加大监管力度，确保市场稳定。社区网格员每天会在辖区内进行巡查，对门店（商铺）的经营进行严格监管，避免人群聚集，切实做好疫情防控工作。市疫情防控应急指挥部提醒：全市市民应积极履行社会责任，以疫情防控大局为重，遵照公告及通知，筑牢疫情防控“红色防线”。对于拒不配合的商家、店铺，将立即采取强制措施予以关闭，绝不姑息迁就。
松江报,:十七年后再上一线唯一愧对的是家人——抗击非典的“老兵”又冲在防疫前线
李-现现现ing,:#超话小秘书[超话]#您好，我要举报黑超话【现世现报】👉🏻http://t.cn/A67NwBgu，该超话由黑粉恶意组织申请开通，申请人及汇集粉丝皆为黑粉，旨在借由该超话发布对艺人不利的内容，此行为严重危害艺人的名誉权和公众形象，危害未成年网友身心健康。违反了《微博社区管理规定》，请尽快处理，谢谢！@超话小秘书@超话社区@微博小秘书@微博客服
京视频,:#京视频#【北京：返京外籍人士进小区需登记报告健康状况】3月3日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市委组织部副部长张强介绍，将外籍人士纳入社区健康管理体系。返京外籍人士进入小区时，需进行登记，填写基本信息、报告健康状况、了解防控政策。居家观察的外籍人士每天通过微信、电话或短信等方式报告体温检测情况。如有发热和呼吸道症状，要及时前往发热门诊进行诊疗排查。如出现确诊、疑似或密切接触者，将按既有医学程序处置。外籍人士在小区内有聚集性行为的，社区(村)工作人员要予以提醒和劝导，告知疫情传播风险。http://t.cn/A67pGE9F
四川共青团,:【北京：#自疫情严重国家入京人员均需隔离#14天】北京市政府副秘书长陈蓓：凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，①如果中转到外地，严格按当地规定做好防疫工作；②如果目的地是北京，不论中国人还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天。在北京无固定居所的，安排在指定宾馆集中医学观察14天。#日本疫情#
网说陕西,:#西安身边事#【#疫情下的志愿者#：30天无休回家只敢在楼道吃饭】3月1日，陕西西安。42岁的张铁柱是高新区木塔南苑小区居民，自2月1日起成为一名党员志愿者为社区做防疫工作，负责在小区门口核查登记各地返回居民，“一码通”投入使用后，他需要不停引导讲解使用方式，已经一个月无休，每天中午回家吃饭，来不及消毒就直接蹲楼道吃。张先生表示会一直把防疫工作做下去。http://t.cn/A67CtUPz
佛山发布,:#佛山要闻#【朱伟到顺德区调研疫情防控和复工复产工作情况】3月2日，佛山市市长朱伟到顺德区调研疫情防控和复工复产工作情况，并开展“企业暖春行动”。朱伟先后来到广东昇辉电子控股有限公司、广东云米电器科技有限公司、广东华润顺峰药业有限公司以及大良街道近良社区进行调研。据了解，截至3月1日，顺德规上企业、限上企业复工率为100%，涉及的返岗人数为38.3万多人，返岗率达78.7%；全区在建建筑工地共450项，已复工430项，复工率为95.6%。
武昌政务微博,:#万众一心抗击新冠肺炎#【从“邻居”变成“战友”！省直机关党员挺进武昌社区一线
科工力量,:【我国自主研发5G微基站射频芯片获得成功】记者3月3日从南京经济技术开发区获悉，我国首个5G微基站射频芯片YD9601，在南京宇都通讯科技有限公司经过自主研发流片成功，目前正在进行封装测试。5G基站分为宏基站和微基站两种。宏基站主要用于室外覆盖，5G微基站主要用于室内，发射功率较小（一般200毫瓦以内），广泛用于机场高铁等候区域、商业场所、商业楼宇、学校医院、园区工厂和社区家庭等场景。5G微基站可以以较低成本有效解决室内覆盖区域的容量（如机场、高铁和商业场等热点区域）和覆盖问题（如商业楼宇和家庭）。
比喜欢哥哥多一点,:[20200303]幸好昨天没有拖延，赶上国内下午收稿[加油]，梦里收到回执，继续加油。被拉进几个团购的社区群，看着盐水鸭三个字口水都要流下来了
天津李军私家侦探,:疫情限制了绝大部分的活动。到哪里都必须登记，测体温，姓名，证件，电话，同行人，租赁合同........约30分钟后进。#私家侦探社区[超话]#
一个兴趣使然的网名,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
清香幽兰llx,:刚刚看到一篇新余本地某社区卫生院抗疫的报道，首先该卫生院不是指定发烧疑似确诊医院，其次不是隔离点，疫情期间可能大部分人工作量都多少会有所增加，报道里面多次点名提到该社区卫生院院长，副院长，办公室主任，护士长，不管抗疫也好日常诊疗也罢，在一线的都是基层的医生和护士，再者几个定点抗疫医院都没有特别指名道姓报道相关领导。http://t.cn/RJZ8KTp
1111___11111,昨天肖战粉丝跟AO3的事儿，很多金融圈（#区块链#）的朋友都因为#孙宇晨#的引导，而跑娱乐圈去吃瓜了。其实我到现在也不清楚肖战粉丝都干嘛了，反正看到的是孙宇晨又准备撒钱了……在追逐热点事件上，社会他孙哥从来没有错过
河南法制报微博,:#我的家人在武汉#【忙碌的社区工作人员听到“谢谢”，湿了眼眶！】今天是武汉封城第40天，河南法制报记者路梦蝶家里团购的菜终于到了。妈妈说，社区就几个人配送，居民又多，他们也很辛苦的，应该理解。有菜了，弟弟吃面条终于可以配青菜了！武大的早樱也已经盛开了！看，那些暂停的美好终究会回来！一起为武汉加油！来看#我的家人在武汉#↓⑥http://t.cn/A67NNTbK
马台街社区,:#社区连线#【社区消防安全提醒】现如今用电用火每日剧增，同时也带来了诸多安全隐患，稍一忽视带来的便是财物损坏，严重的造成人员伤亡，给家庭生活带来极大痛苦，造成不可挽回的伤害。许多事故报道共同说明一个道理那就是：忽视安全就是轻视自己的生命。因此，希望社区居民给予充分重视，生活中不能存在任何侥幸心理，保护我们自身安全及生活环境安全，让我们过好每一天。
东方金诚评级,:#抗疫中的企业力量#【东方金诚党员捐款正在进行时】为打赢疫情防控阻击战，积极响应党中央号召，体现广大党员的先锋模范作用，按照中国东方党委安排部署，东方金诚党委于近日组织全辖党员开展自愿捐款活动，支持新冠肺炎疫情防控工作。此次捐款活动，东方金诚党员领导干部率先垂范，带头通过所在党支部进行捐款，公司广大党员踊跃参加，坚持用实际行动彰显党员的政治自觉，用实际行动承担起党员的社会责任，用实际行动践行党员的初心和使命。此次捐款公司党委严格管理、建立台账、如数上缴，所有捐款主要用于慰问战斗在疫情防控斗争第一线的医务人员、基层干部群众、公安民警和社区工作者等，资助因患新冠肺炎而遇到生活困难的群众和因患新冠肺炎去世的群众家属，慰问在疫情防控斗争中牺牲的干部群众家属等。http://t.cn/A67N6XGZ
阜南县人民政府发布,:【阜南县人民医院关于全面恢复正常诊疗服务的通告】根据省卫生健康委转发国家卫生健康委《关于进一步落实科学防治精准施策分区分级要求做好疫情期间医疗服务管理工作的通知》文件精神，结合当前分区分级精准防控要求，医院决定在抓好疫情防控的前提下，全面恢复各项诊疗服务，满足群众就医需求。现就相关工作通告如下：1.自2020年3月2日起，全面恢复医院门急诊、住院、手术、检查检验等各项诊疗服务；2.鼓励非急诊患者预约就诊、分时段就诊（各种预约方式附后）；3.请来院就诊的患者及家属主动配合医院疫情防控的各项举措。原则每名患者限一名家属陪同，进入院区均要正确佩戴口罩，主动接受体温检测。就诊时请按照导引有序就诊，严格执行“一医一患一诊室”，遵守医院陪护制度和探视制度；4.各科室在诊疗活动中要做好医务人员及病人的个人防护，加强院感防控，及时疏导病人及其家属，避免人员聚集，防止交叉感染；5.发热病人继续前往发热门诊就诊。温馨提示：为了您和他人健康，有以下情况的，请主动告知医务人员：1.发病前14天内有武汉市及周边地区或其他有病例报告社区的旅行或居住史；2.发病前14天内与新型冠状病毒感染者（核酸检测阳性者）有接触史；3.发病前14天内曾有接触过来自武汉市及周边地区或有病例报告社区的发热或有呼吸道症状的病人；4.有聚集性发病。阜南县人民医院门诊预约方式1.线上预约挂号、缴费及线上问诊请微信关注“阜南县人民医院微信服务号”或“阜南县人民医院支付宝生活号”2.微信关注“阜阳健康在线”公众号3.阜南县人民医院官网预约挂号http://t.cn/A67N66uY4.皖事通APP预约预约方式见下图5.安徽便民服务平台预约（安徽医疗便民APP、微信公众号、支付宝服务窗、易信公众号）6.医院预约电话：0558-67214727.现场自助式缴费机挂号
武汉视点,:【男子#向防疫站点扔狗屎被拘15日#】2月29日晚，辽宁大连葵英街道清泉社区，一男子趁夜晚无人，向防疫工作人员的办公桌上扔了两块狗屎。3月2日，警方将63岁的嫌疑人李某军抓获，其称因不满防疫人员的管理，而故意扔狗屎。新京报我们视频的秒拍视频
重庆印象,:【#八旬老人担任双语播音员#，以自己的方式参与战“疫”！】#80岁的双语播音员#80岁的张阿婆是苏州彩香一村南社区居民，她居住的小区是老新村，近一半居民是老年人，老人视力不好，防疫宣传单上的字看不清。于是，张阿婆主动请缨担任小区广播站的战“疫”播音员。普通话、苏州话“双语”播报，她甚至还自编了快板，普及防疫知识。为暖心的张阿婆点赞！期待春暖花开，疫情退散！http://t.cn/A6794XTb
合富置业官方微博,:#楼讯速递#【侨建御溪谷（别墅）】位于广州增城区风光路。项目建筑设计融入各国现代建筑风格，注重采光和通风，社区水景，园林设计以东南亚风情为主调，背山靠水。项目主推：392-564㎡别墅(住宅)，价格24，000元/㎡起；348-624㎡别墅(住宅)，价格25，000元/㎡起。备注：所有可售户型、面积、价格以项目现场为准。
今年的勺还做梦吗,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
官渡街道罗衙社区,:#疫情防控我们在行动#在疫情防控阻击战中，官渡街道罗衙社区广大党员干部、党员志愿者积极投入到抗疫一线，许多党员自愿捐款捐物，为打赢疫情防控阻击战贡献力量。2020年3月2日，罗衙社区党总支150名党员自愿捐款支持新型冠状肺炎疫情防控工作。一笔笔爱心捐款，体现了共产党员坚守初心、践行使命的责任担当。@官渡区官渡街道政务微博
贰十伍_DU,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
木木木木木木木林森,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
-Haru籽-,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
安乐村社区,:给社区捐酒精
粤逼深圳,:【男子#向防疫站点扔狗屎被拘15日#】2月29日晚，辽宁大连葵英街道清泉社区，一男子趁夜晚无人，向防疫工作人员的办公桌上扔了两块狗屎。3月2日，警方将63岁的嫌疑人李某军抓获，其称因不满防疫人员的管理，而故意扔狗屎。新京报我们视频的秒拍视频
张祺悦,:
克拉玛依环境守卫者,我发表了头条文章:《伊犁州生态环境局干部全力服务社区疫情防控》伊犁州生态环境局干部全力服务社区疫情防控乌鲁木齐
_慕亭,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
Sesshoumaru520Rin,:这是我们社区居民拍到的志愿者，真的挺辛苦，这么冷的天气，我们都在家里安心的吃饭，他们却只能在外面随便对付着，所以，🙏🙏🙏我们还是要感谢和理解社区的各项工作，做到尽量不出去！！不出去，就是不添麻烦，让疫情早些结束[加油]
温江发改,:【请用公筷公勺！成都发出“文明餐桌·公筷公勺”行动倡议书】3月3日，由成都市精神文明建设办公室牵头，联合中共成都市委城乡社区发展治理委员会、成都市卫生健康委员会、成都市商务局、成都市市场监督管理局等部门共同向广大市民发出“文明餐桌·公筷公勺”行动倡议书，呼吁市民朋友，就餐使用公筷公勺，文明又卫生，既保护自己，也保护他人，更彰显社会责任。http://t.cn/A67N7twD
嘻嘻哒哒哒哟,“你爸反对同性恋你妈抢爆双黄连你妹举报ao3你弟保护中国女孩你非八抬大轿华夏男儿不嫁你们都有光明的未来”
荆门市东宝区人民检察院,【创建“无疫情社区”利国惠民】3月2日，中央指导组副组长、中央政法委秘书长陈一新在湖北武汉实地督导推进“无疫情社区”创建工作，听取街道、社区干部意见建议。陈一新强调，创建“无疫情社区”利国惠民、势在必行。要以创建“无疫情社区”为抓手向两头延伸，推动社区成为打赢武汉保卫战的一线堡垒。http://t.cn/A67KTsBi
杭州中公教育,:【社区工作者招聘】杭州市余杭区乔司街道招聘劳务派遣编外用工50人公告报名时间：2020年3月4日至3月13日(节假日除外)http://t.cn/A67N75Y9扫下方二维码，欢迎加入杭州社区考试交流2群870292591
蓝山警事,【5000人的社区无一人感染探寻武汉市吹笛派出所社区民警马建国守好无疫情社区的秘诀】#疫情当前警察不退#“实行硬隔离是基础，做好软服务是关键，真正起关键作用的还是通过入脑入心的宣传，让居民安心待在家里隔离啊！”说起自己守护的这个无疫情社区，马建国滔滔不绝，“社区干部给力，辖区群众配合，才有我们现在的安全。”http://t.cn/A67KBGJC
新浪常州,:#龙城益市益路有你#【抗击疫情志愿者继续在行动】在红梅新村社区里，往往能看到这样一群人，他们身着红马甲，在社区里巡视，维护着社区的安全。他们是红梅街道慈善超市志愿服务的一分子，也是社区里一道靓丽的风景线。为守住居民群众进出关键通道，红梅社区工作人员及志愿者在辖区的3个出入口设立了卡口，配备网格员、志愿者对进出人员进行监测，登记、宣传防疫知识。同时按照“不漏一户，不落一人”的要求，对片区先后进行了三轮排查，对从湖北、浙江温州等疫区返常人员，实行最严格的排查上报制度，落实防控管控，做到一日一上报。#每日一善[超话]#
黑龙江联通,:#抗击疫情·黑龙江联通在行动#【密山联通彰显央企担当】新冠疫情期间，密山联通党委快速落实上级党委相关要求，精准部署，确保通信畅通，同时号召全员下沉到社区配合疫情防控工作，彰显央企担当。以党委书记阮刚同志为首的党委班子和一线员工共进退，从正月初九至今，每天亲自到一线指挥部署工作，为一线员工送防护用品，与一线员工共同完成“线上配送”、“障碍抢修”等工作。2月14日，按照地方政府要求，密山联通抽调101名员工对密山市内12个居民小区进行防控执勤。执勤员工认真执行政府防疫领导小组工作要求，每天工作近20个小时，配合社区完成出入小区人员核查、看护封闭家庭、帮助送治危急病患等工作，涌现出无数感人事迹。期间，政府对社区防疫工作多次检查，联通公司员工以负责任、守纪律、勇担当的形象，得到市政府领导及社会各界高度好评。
黄璟Unlimited,【北京：自疫情严重国家入京人员均需隔离14天】北京市政府副秘书长陈蓓：凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，①如果中转到外地，严格按当地规定做好防疫工作；②如果目的地是北京，不论中国人还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天。在北京无固定居所的，安排在指定宾馆集中医学观察14天。（央视新闻）
当涂检察,:#新型冠状病毒感染肺炎#【新华社评论员：群众需求在哪里，共产党人的身影就应出现在哪里】把人民群众生命安全和身体健康放在第一位，是疫情防控的根本要求，也是共产党人政治本色的集中体现。群众的需求在哪里，群众的呼声在哪里，共产党人的身影就应该出现在哪里。从救治患者的病房，到城乡社区，再到百姓的“米袋子”“菜篮子”，无不是为群众排忧解难的考场。只有心系人民的安危冷暖，及时解决群众所急所忧所思所盼，才能取信于民。http://t.cn/A67Nh1Kyhttp://t.cn/A67N72hm
Ryuon,:说句心里话，外地的螺蛳粉没有柳州的好吃。社区的牙科门诊啥时候开门，想回家嗦粉
宿州检察,:#检察资讯#【江西赣州南康区检察院充分发挥职能护航企业复工复产】近日，江西省赣州市南康区检察院积极落实区委“千名干部支援村(社区)抓疫情防控、千名干部服务企业抓复工复产、千名干部帮扶贫困劳力抓就业”活动要求，着力发挥检察职能，护航经济稳步健康发展，为企业安全平稳有序复工复产提供有力的检察保障。http://t.cn/A67N7w1K
新田公安,【5000人的社区无一人感染探寻武汉市吹笛派出所社区民警马建国守好无疫情社区的秘诀】#疫情当前警察不退#“实行硬隔离是基础，做好软服务是关键，真正起关键作用的还是通过入脑入心的宣传，让居民安心待在家里隔离啊！”说起自己守护的这个无疫情社区，马建国滔滔不绝，“社区干部给力，辖区群众配合，才有我们现在的安全。”http://t.cn/A67KBGJC
牛乃棠糖糖糖,:今天健身房悄悄开业了，然后被我们社区管理警告了明天再次闭馆😂😂就说嘛，怎么会开那么早，都不敢去
埇桥发布,:#新青年##致敬平凡而伟大的他们#宅在家的平安生活，是因为有他们的付出。小区人员出入频繁怎么办？列车是否安全？防疫工作能否保障？社区民警、列车长、驻村第一书记、交通警察、社区服务者……基层战“疫”者给出答案。#新青年#第114期，别怕，我们守着你！新华视点的微博视频
武汉经视,:面对这次突如其来的疫情，武汉交通战线工作者不仅肩负起“交通人”的责任担当，更展现了共产党员的风采这座城我们一起守！武汉交通人的战“疫”时刻武汉地铁2号线汉口火车站中心站长姚婕：我们克服种种困难坚守车站，下沉社区捐款捐物，自发组织车队接送医务人员……因为我们热爱这座城市，我们比任何人都希望疫情早点结束！
桂风起柳南,:【反邪|林溪社区：为居民发放《解除医学观察告知书》并不忘反邪宣传】3月3日，经过14天居家隔离观察，永前三区的龙先生在确认隔离期间无异常，无相关感染情况后，获准正式解除医学隔离，当从林溪社区工作人员手中接过《解除医学观察告知书》时，龙先生感谢社区工作人员和医护人员在隔离期间对他的关怀与帮助。社区工作人员为龙先生发放疫情防控宣传资料和反邪宣传手册，并告诉龙先生，解除居家隔离只是自己抗击疫情取得的阶段性胜利，仍然不能掉以轻心，要密切观察自己的身体情况，做到出门戴口罩、进门勤洗手、科学防疫抗疫，不信邪、不传邪，做好自身防护，对自己负责，对社会负责。（通讯员：玉燕）
叁号永无岛,:今天收到了很重一袋爱心蔬菜社区里每家每户都有没想到我们这个小县城里真的能够落实到位挺感动的
德阳全媒体,:#80岁的双语播音员#【#八旬老人担任双语播音员#，以自己的方式参与战“疫”！】#80岁的双语播音员#80岁的张阿婆是苏州彩香一村南社区居民，她居住的小区是老新村，近一半居民是老年人，老人视力不好，防疫宣传单上的字看不清。于是，张阿婆主动请缨担任小区广播站的战“疫”播音员。普通话、苏州话“双语”播报，她甚至还自编了快板，普及防疫知识。为暖心的张阿婆点赞！期待春暖花开，疫情退散！http://t.cn/A6794XTbhttp://t.cn/RJh9JhC
黑眼圈的彼得兔,别看社区没实权锅还是要背的物业会听社区的？跟开玩笑似的社区工作中最无力应该就是工作做了，还出意外，举个例子说吧“你昨天刚入户宣传秋季防火今天楼里有一户着了给一个监管宣传不到位的帽子”这个时候，那些说“所有荣誉都给社区”的办事处人员你们咋没人来争了呢？两会站岗的是我们，发维稳补偿金的是你们，那时候也没见你们分跟我们一分呀。发了这么多牢骚是真心为这个书记委屈
Anita媛媛儿,:疫情当前，社区人员辛苦这是事实，面对种种要求，我们都选择积极配合，然而就在我们配合的这个时间段，连续有两名业主出入时都未出示通行卡或健康码，她选择熟视无睹，我们继续按她的要求办理健康码，办理成功后，还要求我们回家拿手机把刚才的健康码拍下来才可以出门。被我们拒绝后，出言不逊，扬言要报警并让我们别回小区来。哈哈哈哈，我们是被吓大的么？我倒想问问：1、我们没按她的要求回家拿另外的手机拍下健康码，犯法还是违规了？2.为啥其他人可以不用出示健康码或通行证都可以自由出入？
左武卫长史,工人日报专访方方，评论翻车了
呈贡区交通运输局,:助力社区抓防控，突击发放通行证社区是疫情外防输入、内防扩散的第一道防线。为了更好地落实疫情防控工作，毓和社区于3月1日起面向所辖小区常住人口4361户10466人发放“疫情防控期间临时通行证”。　由于社区工作人员少，小区住户多、居住人员情况复杂，毓和社区疫情防控工作一直难度较大。呈贡区交运局党支部在得知社区发放临时通行证后，除日常值守社区防控点的2名党员志愿者外，迅速增援3名工作人员投入社区发放临时通行证工作，有效缓解了社区人手不足的问题。值守和支援的同志不辞辛苦，挑灯夜战，为排成长龙的群众办理通行证。3天来共登记和发放业主、租户通行证1269份，严防死守，共同出力，为毓和社区住户的健康安全保驾护航。
成华应急,【社区设立爱心驿站服务疫情防控一线工作人员】#成华新闻#日前，二仙桥街道下涧槽社区在邻里月台设立爱心驿站，为辖区奋战在抗疫一线的工作人员及志愿者们提供暖心服务。下涧槽社区此次设立的爱心驿站共为辖区奋战在一线的工作人员及志愿者们提供包括热水、消毒湿巾、救护包以及微波炉热饭、休息在内的多项暖心服务。记者在现场看到，刚为居民们测完体温、值班结束的物业工作人员就来到这里，用微波炉热起了午饭。在爱心驿站的一角，还有一个爱心理发摊。爱心理发摊的摊主叫白德明，今年已经63岁了。自疫情发生以来，理发就成了居民们的大问题。有着20余年理发经验的他，主动加入到爱心驿站，在这里免费为60岁以上的老人以及奋战在一线的工作人员、环卫工人及医护人员提供理发服务，让温暖在抗疫一线传递。
亚尔斯兰2,:今天社区的小喇叭除了湖北、武汉、温州要向社区报告外，多了日本、韩国、外国入闽人员。。。
神雕猎股,:美国疾病控制和预防中心警告疫情有在美国社区暴发的可能。美国卫生与公众服务部长阿扎近日对国会议员表示，美国需要为疫情储备约3亿个N95口罩，但美国现在仅有3000万个。
常州新鲜事儿,:#龙城益市益路有你#【抗击疫情志愿者继续在行动】在红梅新村社区里，往往能看到这样一群人，他们身着红马甲，在社区里巡视，维护着社区的安全。他们是红梅街道慈善超市志愿服务的一分子，也是社区里一道靓丽的风景线。为守住居民群众进出关键通道，红梅社区工作人员及志愿者在辖区的3个出入口设立了卡口，配备网格员、志愿者对进出人员进行监测，登记、宣传防疫知识。同时按照“不漏一户，不落一人”的要求，对片区先后进行了三轮排查，对从湖北、浙江温州等疫区返常人员，实行最严格的排查上报制度，落实防控管控，做到一日一上报。#每日一善[超话]#
新浪视频,:【致敬！援建雷神山工人回家：社区送口罩牛奶慰问
