_一颗热土豆_,看看鹅的发票也可以开起来了
鄂尔多斯新闻网,:#鄂尔多斯市纪委监委发出重要公告#关于在全市煤炭资源领域违规违法问题专项整治工作中受理信访举报的公告按照《内蒙古自治区煤炭资源领域违规违法问题专项整治工作方案》及《鄂尔多斯市煤炭资源领域违规违法问题专项整治监督检查工作实施方案》要求，从即日起，鄂尔多斯市纪委监委全面受理关于煤炭资源领域违规违法问题的信访举报，现将有关事项公告如下：一、受理范围反映党组织和党员、干部以及监察对象自2000年以来在煤炭资源领域涉嫌违纪或者职务违法、职务犯罪的问题线索。具体包括：一是反映党政机关工作人员和国有企业领导干部违规显名或者隐名投资入股煤矿的问题线索；二是反映党政领导干部利用职权为其近亲属或特定关系人谋取非法利益以及官商勾结、索贿受贿、为不法矿主充当“保护伞”等问题线索；三是反映政府及相关部门工作人员在煤炭资源领域规划立项、项目配置、矿业权出让、煤炭资源整合和兼并重组、环境影响评价、矿业权办理、矿业权收益处置等工作中的违纪违法问题线索；四是反映政府及相关部门工作人员在日常监管、打击违法违规生产、行政执法等工作方面失职渎职、滥用职权等问题线索；五是煤矿安全事故背后的失职渎职、腐败问题线索；六是其他涉煤领域问题线索。二、举报方式来信地址：鄂尔多斯市康巴什区市府南街党政大楼C座鄂尔多斯市纪委监委信访室收邮编：017010来访地址：鄂尔多斯市康巴什区市府南街党政大楼C座一楼东侧信访举报大厅举报电话：0477-12388网络举报：http://t.cn/A67NsksL微信举报：鄂尔多斯纪检监察微信公众号欢迎社会各界、广大人民群众如实反映、积极提供煤炭资源领域的违纪违法问题线索。鄂尔多斯市纪委监委将对举报人和举报内容严格保密，依法保护举报人合法权益。中共鄂尔多斯市纪律检查委员会鄂尔多斯市监察委员会2020年3月3日
微信头像手绘头像·小美,:一个人的内心，要干净，要真诚。容颜可以化妆，但心灵不能伪装；虚伪可以蒙混一时，但真诚可以赢得一世。如露珠，唯有清透，才能折射出最美的光；如阳光，唯有坦荡，才能直面这个世界。对人真，才能赢得真；对情诚，才能收获诚。没有人愿意用热情，换回敷衍；没有人愿意用真心，得到伤心。#治愈系棒棒哒#动漫头像古风头像动漫女头无水印头像库卡通头像情感语录#微信头像[超话]#异地恋晚安心语女生头像#情感语录[超话]#
贵港日报,:#九九八十一#【volg|春回贵港！直击企业复工复产现场！】寒冬远去，暖春到来，万物复苏，贵港也在有序复工复产。一起来看看最新情况。近日，随着“复工键"的开启，贵港的企业已有序复工。截至2月28日，全市累计复工复产规模以上工业企业694家，复工率100%，复工率排名并列广西第一；规模以上服务业企业复工122家，复工率100%。在做好防护措施的基础上，各大商超又逐渐热闹起来了。贵糖集团各部门分厂自1月29日起陆续复工。新制糖厂日榨原料蔗7000多吨，产糖率约11%。嘉龙海杰电子科技有限公司于2月10日复工复产，现复工率达到95%，复工人数达1000人，主要生产微型变压器，日产量达到14万套。贵钢是贵港市大型企业之一，厂内员工及家属超4000人。员工上岗入厂需测体温、要登记个人信息。工作人员每天对公司大楼、食堂、宿舍、招待所、分饭点等人员聚集区域进行消毒清洁。广西益嘉发服装实业有限公司于2017年2月正式投产，注册资金3000万元，生产厂房及宿舍配套共38000平方米，公司员工规模达2000人。该公司2月12日正式复产，目前复工的工人有200多名。生产车间内，工人们正有序地作业中。为帮助贵港市务工人员返回广东省深圳市龙岗区复工，我市人力资源和社会保障局与深圳市龙岗区人力资源局联合行动，在贵港市汽车西站“点对点、一站式”免费接送务工者返回深圳龙岗辖区各企业复工。据统计，我市各级人社部门已集中组织2500多名务工人员安全返回深圳、佛山、中山、台山、湛江、珠海等地复工。和乐门业项目负责人任宗贵说，企业严格按照自治区和贵港市“十严格”进行封闭式管理，员工每天测量三次体温，登记造册。并对生产厂区进行消毒，对员工进行疫情防控的宣传教育。目前，该企业正在调试设备。在和乐门业门口，不少市民正在填写招聘表格。瑞康饲料公司是贵港市较大规模的饲料企业，担负着50万头猪的日常消耗饲料的生产供应。2月5日上午8点，贵港瑞康饲料公司节后复工开机生产。扬翔品牌运营团队求贤纳士，有百万年薪的岗位，福利超超超给力。人勤春来早，港北区的农户们也恢复农耕。截至2月27日，港北区涉农龙头企业复工复产29家（共30家），复工率为96.7%；农资经营企业（店铺）已复工196家（共198家），复工率为99%；规模养殖场已复工54家（共84家），复工率为64.28％，有力保障了农业生产稳定。截至2月29日，港南区256家规模以上工贸企业全部实现复工，复工复产率双双达到100%。史丹利化肥贵港有限公司大门一侧临时围出一条长10米、宽1米左右的通道，工人在此通道通过体温监测、消毒后方可进出工厂。为了满足春耕用肥需要，2月10日，复合肥车间恢复生产，实行两班制，80多名职工人人戴口罩上班，做到防控疫情和生产销售两不误。复合肥车间复产后，每天生产复合肥270吨左右。自2月10日复工复产以来，3条生产线全面复工生产，日产能达1800吨。连日来，覃塘区一手抓疫情防控，一手抓企业复工复产，切实做到两手抓、两不误。截至2月25日，已复工复产816家，规上企业复工复产156家，规上企业复工复产率达97.5%。据爱玛电动车生产基地工作人员介绍说，2月19日公司正式复工复产，前一天公司组织防疫小组成员对工厂办公场所、车间、场外区域进行全面消毒，并张贴防疫防控宣传画册，在微信群积极普及防疫知识。每天对员工进行测量体温、发放口罩，并做好记录，发现异常，早发现、早报告、早隔离、早治疗，严格遵守政府对企业复工复产“十严格”的要求，确保防控措施落实到位，目前在岗员工近300人，公司运转正常。在爱玛电动车门口，不少市民前来了解招工信息。来者要经过严格的消毒、体温测量后才能进入公司参观。为缓解疫情口罩生产上游原材料紧张，响应政府号召，广西群星电缆有限公司增加生产线生产医用口罩用鼻梁筋定型条产品：单筋/双筋口罩鼻梁条，口罩生产专用。疫情缓解后，桂平市的企业迅速复工复产。在桂平市大藤峡工程建设现场，一边是加紧施工的工程车辆、穿戴防疫装备的施工人员，一边是长长的警戒线、严格的体温检测。在大藤峡水利枢纽工程现场，有4000多名建设者复工，奋战在大藤峡工程建设一线。春节期间，大藤峡水利枢纽工程有2293名建设者放弃和家人团聚的机会，坚守岗位，按期完成了二期主体工程爆破开挖和首仓混凝土浇筑等关键节点目标。春节过后，已有将近2000名回家过年的建设者陆续返岗。桂平市春耕生产从2月中下旬开始，预计到4月5日全面完成春耕生产任务。来看看平南县的情况。截至2月26日，平南全县规上工业企业104家，目前复工复产工业企业100家，其中已完全停产、退库留基的4家，复工率100%。复工人数4804人，占复产率人数的56.19%。2月20日，平南县出台十条措施鼓励企业安全有序复工复产。“十条措施”进一步落实一次性物资奖励，对2月29日前复工http://t.cn/A67NFy0e
贵阳晚报,:【贵州陆海新通道铁海联运班列开行数量突破100列】3月3日上午，一列满载着过磷酸钙货物的陆海新通道铁海联运班列从福泉站顺利发出，这也是贵州陆海新通道铁海联运班列开行的第100列。据悉，在省商务厅、省发改委的指导下，贵州陆海新通道铁海联运班列开行数量在不到一年的时间内取得突破。截至目前，今年贵州至北部湾港下行班列已累计开行39列，实现每周4班开行，线路开通7条；公路班车已累计开行29班，实现每周3班开行，班列班车实现覆盖黔中、黔北、黔南地区。在新冠肺炎疫情防控的关键时期，贵州陆海新通道供应链管理有限公司作为国际陆海贸易新通道贵州段的运营平台，一手抓自身防疫，成立公司防疫领导小组，严格执行各项防疫要求；一手抓业务开拓，保障复工复产。结合当前形势，通过视频、电话、微信、邮件等形势密切关注客户动态及需求，急客户之所需。春节后，在筑城海关、钦州港海关、贵阳南车站、钦州车务段、贵州中远海公司、广西北部湾联运公司、钦州北港现代物流公司等相关单位及合作方的支持下，贵州陆海新通道供应链管理有限公司有效保障了贵州轮胎货物班列在疫情期间的顺利发运与按期交货。此外，贵州作为化肥出口大省，公司根据工厂出货计划灵活安排班列发运，保障了疫情期间肥料运输任务的有序开展。下一步，贵州陆海新通道供应链管理有限公司将继续同各方一起战疫情、保畅通，提供定制化服务，推动开行复工复产专列，并继续加大通道建设力度，确保全年铁海联运班列、公路班车、中欧班列开行任务如期完成。（钱洪山贵阳日报融媒体记者彭刚刚编辑兆赫）
阿柳沽美酒,:一个好玩儿的事儿：刚才我和我朋友在聊一个综艺，里边儿男团小朋友问小郭微信名的由来，小郭说他微信叫广渠路是因为和自己名字gql声母对应。我想起来我第一个微信名是初三的时候注册的时候起的，当时我家那边很流行一个叫做“茶油鸭”的小吃，那个鸭外皮酥脆咸咸甜甜我很喜欢，而我名字的缩写是cpy，所以我的第一个微信名叫脆皮鸭……
掉线皇帝,:微信上总有人问“在吗”，平时也总有人问“有没有空”，这些问题都特别讨人厌。比如说，对方让你做一个什么事情，你不想做，你就会说“现在没空”。“没空”只是一个缓和语气的说辞，真实意思是“不想做”，就算提前问死了现在确实有空，不想做的事还是不想做。微信上也是一样，回复不回复是看心情的，就算你问死了在线，不想回复还是不想回复。
两江交汇,:【武汉推出“政府储备冻猪肉特价包”，价格公布！还有这些惠民消息……】当前，新冠肺炎疫情防控工作进入关键时期。为进一步做好居民生活物资保供稳价工作，更好地保障居民基本生活需要，武汉市作出以下决定——进一步降低1、继续加大“特价蔬菜包”投放力度团购套餐价整体水平将进一步降低从3月3日起，增加“特价蔬菜包”投放量和投放网点数量，“特价蔬菜包”投放企业由原来的5大商超企业，扩大至永旺、大润发、麦德龙、北京华联、悦活里、丽红、武汉农村电商共12家大型商超企业所属门店及电商企业。同时，加大“特价蔬菜包”投放量，每天投放20万份，重点保障中低收入群体。同时，为降低各大商超企业社区团购套餐价格，满足市民需求，将对武商、中百、中商、家乐福、沃尔玛等五大商超企业销售的团购套餐中13个主要蔬菜品种按不高于去年同期平均零售价格销售，团购套餐价格整体水平将进一步降低。2、继续下调政府储备冻猪肉售价同时冷鲜猪肉售价平均每公斤降幅5元为了方便市民采购政府储备冻猪肉，从3月3日起，推出“政府储备冻猪肉特价包”。每个“政府储备冻猪肉特价包”重量为2公斤或4公斤，从精瘦肉、五花肉、肋排、里脊肉、中方、前后腿上肉中任选一种，不与其他商品混合打包售卖。同时，“政府储备冻猪肉特价包”的零售价全部调整为精瘦肉10元/斤、五花肉12元/斤、肋排17元/斤、里脊肉11元/斤、中方（肋排五花一体）10元/斤、前后腿上肉7元/斤。调整后的零售价与前期价格相比有大幅下降。目前在库的政府储备冻猪肉将全部向市场投放，投放网点包括武商、中百、中商、家乐福、沃尔玛、大润发、北京华联等大型商超企业近150个所属门店。记者同时了解到，从3月3日起，武商、中百、中商、家乐福、沃尔玛等五大商超企业所属门店下调冷鲜猪肉销售价格，平均每公斤降幅为5元。政府将对冷鲜猪肉冷链配送成本实行补助政策。（来源：长江日报微信公众号）
金源包子,:【被曝用“武汉肺炎”出“数学题”，香港学而思想啥呢？】“肺炎+汉肺炎+武汉肺炎=2001，问：武x汉x肺x炎=？”今天，香港学而思因被曝光在脸书发布这样一道“数学题”而引起争议。香港学而思随后回应称，该题目源自网络，并非原创。该题目并未经过老师审核，是由香港学而思市场部网络编辑员工直接进行编辑及发布。香港学而思称，对此次事件深感歉意，贴文内容并不代表公司立场。公司已着手进一步认真调查并对相关员工进行严肃处理。“我们一定引以为戒，杜绝类似的错误再次发生。”（微信公号“环球网”）http://t.cn/RyhWicu
燃财经,:【京东扳回一城，拼多多该小心了？
辽视第一时间,:【最好的爱就是与你并肩前行】在奋勇逆行的白衣战士中，有姐妹档、夫妻档、母女档，在抗击疫情的战场上，她们既是亲人又是战友。每天去往雷神山医院的班车上，来自葫芦岛市中心医院呼吸心内科护士的孙晓晶总会给双胞胎妹妹发条微信，报个平安。从小一起长大，这是姐妹俩分开最久的一次。50公里，是在武汉姐妹俩之间的距离。大年初一，这对90后小姐妹一起报名请缨，但是妹妹先接到了出征通知。孙晓晶飞赴武汉雷神山医院的时候，妹妹孙晓莹已经在协和江北医院的重症监护室奋战了半个月。从不跟妈妈说在武汉的辛苦，这是姐妹俩的默契。过几天就是妈妈的生日，第一次不能陪在妈妈身边，也是姐妹俩的遗憾。54岁的于敏是鞍山市妇儿医院内科主管护师，还有不到一年时间退休，接到支援武汉的通知时，她没跟女儿商量就第一时间报了名，理由只有四个字，“我是党员”。在于敏家，三代人都是医务工作者。千里之外的中国医大盛京医院感染科病房，女儿一样身穿笨拙、呼吸不畅的防护服，战斗在疫情第一线。期盼岁月静好的亲人，其实都是负重而行的英雄。而无论近在咫尺，还是远隔千里，最好的爱，就是与你并肩前行。http://t.cn/A67NEGJU
正人力天,:【实锤！#涉美CIA攻击组织对中国关键领域网络攻击#长达11年】“国际安全智库”微信公号3月3日发布文章，披露了美国中央情报局CIA攻击组织（APT-C-39）对中国关键领域长达十一年的网络渗透攻击情况。文章提到，360安全大脑捕获了美国中央情报局CIA攻击组织（APT-C-39）对我国进行的长达十一年的网络攻击渗透。在此期间，我国航空航天、科研机构、石油行业、大型互联网公司以及政府机构等多个单位均遭到不同程度的攻击。文章称，不但如此，360安全大脑通过关联相关情报，还定位到负责从事研发和制作相关网络武器的CIA前雇员：约书亚·亚当·舒尔特(JoshuaAdamSchulte)。在该组织攻击我国目标期间，他在CIA的秘密行动处(NCS)担任科技情报主管职位，直接参与研发了针对我国攻击的网络武器：Vault7（穹窿7）。这部分相关线索，更进一步地将360安全大脑发现的这一APT组织的攻击来源，锁定为美国中央情报局。（环球网）
文旅张家口,:【众志成城抗击疫情——张家口市“防控疫情”征集作品展（二十九）】#抗击新型肺炎我们在行动##张家口[超话]#2020年春，面对突如其来的新型冠状病毒，全国人民在党中央的领导下，开始了一场轰轰烈烈的全民抗击疫情攻坚战。我市文艺创作专业人员、爱好者被英雄逆行、全民参与的精神所感动，在第一时间开展创作，用多种艺术形式歌颂英雄、表达敬意、抒发情感、宣传知识。1月22日，张家口市群众艺术馆文学社已率先开展了“众志成城抗击疫情”诗词征集活动，收到多部诗词作品。1月29日，我馆在全市开展“众志成城抗击疫情”文艺作品征集活动，并于次日在馆微信平台上启动“‘众志成城抗击疫情’——张家口市‘防控疫情’作品征集展”。传送门：http://t.cn/A67NRdfL
背包十年青年公园,:【三月房价大优惠｜你会选择20软民币吃一顿外卖，还是住一晚背包十年？】我们知道大家在疫情期间，工资像脑袋上的头发越来越经不住熬，我们为大家准备了一个史！无！前！例！的跳楼价
大光谷,:前段时间微博反馈的，突然收到多条#高速ETC#发来的扣费信息，目前有热心网友@秦拖把提供官方的回复，内容如下：因我省（湖北省）银行ETC扣费自2月3日以来将2020年1月1日的资金批量做结算，导致客户收取1月份通行高速的多条扣费短信。客户在查询通行流水时，本省车道均提供了上下站名，外省部分流水只提供了龙门架信息未提供上下站名称，通行详情可以根据通行时间（非扣费时间）查询了解。客户可以通过关注湖北高速ETC微信公众号“湖北e出行”查询相关信息。#ETC#
辽阳智慧社区,:【转发提醒！“辽阳出现炭疽杆菌病”是谣传！】近日，有部分市民在微信群中看到一则消息：“辽阳卫生服务中心通知：昨晚夜间十点中心医院召开紧急会议，辽阳发现急性传染病，叫炭疽杆菌病，辽阳1例，辽化两例，辽化5公里以内封闭，希望大家近期别吃猪，牛，羊肉了，一旦感染，无法医冶，直接疫情解除为止，望周知。”然而，从辽阳市卫健委和辽阳市中心医院了解到，该信息为不实信息。请广大市民不信谣、不传谣、以官方发布信息为准。在此，辽阳智慧社区提示广大网友：网络不是法外之地，请不要传播未经官方证实的消息，违者必将受到法律严惩！#辽宁新增3例确诊均为丹东病例##东京奥运允许被推迟至年底举行#
少年阿热,:听我朋友说女生有想过当一回男生。其实女孩子的心思真的很敏感。聊天置顶，朋友圈晒照，情侣头像这些事情，也许听起来又傻又可笑。但其实我们心里都特羡慕这样的情侣，也期待能有一个这样的男孩儿出现，主动为我们做这些。想起闺蜜之前谈过一个男朋友，有一次两个人出去旅行，男生用手机给闺蜜拍了很多张照片。旅行返程的时候，男生把所有的照片都传到了闺蜜手机里。然后说：“你保存好，我手机里的我就全删了，不然很占内存。”那场旅行之后闺蜜就提出了分手，只是很小很小的一件事，但其实在这之前，有很多很多这样的小事情发生。那个男生的手机相册里，没有一张闺蜜的照片，明明闺蜜关注他的微博已经很久了，但是每天都在刷微博的他还是没有回粉闺蜜。微信也是一样，男孩子很爱发朋友圈，但从没提起过闺蜜，一起出去旅行，也只会把自己的单人照Po出来。闺蜜跟我说：“也许都是一些很小的事情吧，但是真的挺让人难过的。我不在他的朋友圈里，不在他的微博里，不在他的手机相册里，也真的不在他的世界里。”闺蜜分手之前，其实我问过她：“你和他在一起的时候，有没有提起过你心里的这些感受？也许他真的就是钢铁直男，不是不爱你，只是不解风情呢？”闺蜜告诉我说：“这个年纪，内心的小感受，都只能自己消化。有些话说出来显得矫情，但不说委曲。至于他爱不爱我，小细节都告诉我了。”很奇怪呢，二十岁的时候我们爱一个人，好像特小家子气。会从短信、微博留言、QQ空间访客这样的小事情里，寻找到被爱的蛛丝马迹，然后从这样的事情里获得满足。到了二十七八岁，再去期待这样子小家子气的事情，就会显得特别不成熟。大家都变得好忙，秀恩爱这种事也只能先放放。所以在恋爱的时候，明明心里想要他多陪自己一会儿，开口却变成了：“工作重要，你先忙。”明明想要在节日的时候有一些仪式感，开口却变成了：“仪式感不重要，每天开开心心就好。”明明也需要被秒回消息，得不到回复的时候会睡不好觉，开口却变成了：“没关系啦，我也没什么重要的事情要找你。”明明想让他发朋友圈秀恩爱，想要他也把微信聊天置顶，却闭口不提假装根本不在意。这样子小心翼翼爱一个人，真的好累也好委屈。但其实真的爱你的人，根本不会让你这么累这么委屈。一个人真的在乎你，不会在他的世界里对你遮遮掩掩毫不在意，而是会想要你走进他全部的生活，熟悉他的朋友，了解他的工作，和他有共同的朋友，有共同的话题。他会让你出现在他生活圈子里最醒目的位置上，不论是汽车里的副驾，影院旁边的座位，还是微信聊天的置顶。因为生活就是一个一个的小细节，很少能出现什么惊天动地的大事情。那些“上九天揽月，下五洋捉鳖”的故事，我们也只是听起来觉得很感动，但从来没想过真的能有谁来揽月捉鳖。真正在乎你的人都表现在最普通的生活里，在茶米油盐的琐碎里，在一些最小最小的细枝末节里，我们寻找发现爱，然后得到满足。所以啊，如果真的有一个人，把你设置成了微信聊天置顶，带你见他的朋友，见他的亲人。那他一定是爱你的，你也一定要好好珍惜。#当女生拥有直男思维后#
长江网_留言板,:#疫情谣言粉碎机#【辟谣：网传“众乐乐”微信群视频中的语音内容是谣言】近日，网传“众乐乐”微信群的语音对话视频，质疑我县防控工作因担心上级追责，数据造假。县疫情防控指挥部迅速组织专班进行调查核实。现就相关情况声明如下：“众乐乐”微信群是一个同学群，视频中的对话主要在万勇、BJ、活出精彩、旭日东升四位群友间进行。该段对话内容是群内人员主观臆造，反映情况不实。目前，县公安局已依法传唤当事人，对其进行严肃批评教育。请广大群众一定要相信政府发布的权威信息，不造谣、不信谣、不传谣，坚定信心，同心协力，坚决打赢疫情防控阻击战。（云梦县新冠肺炎疫情防控指挥部）http://t.cn/A67N0SZG
武汉晚报,:#疫情谣言粉碎机#【辟谣：网传“众乐乐”微信群视频中的语音内容是谣言】近日，网传“众乐乐”微信群的语音对话视频，质疑我县防控工作因担心上级追责，数据造假。县疫情防控指挥部迅速组织专班进行调查核实。现就相关情况声明如下：“众乐乐”微信群是一个同学群，视频中的对话主要在万勇、BJ、活出精彩、旭日东升四位群友间进行。该段对话内容是群内人员主观臆造，反映情况不实。目前，县公安局已依法传唤当事人，对其进行严肃批评教育。请广大群众一定要相信政府发布的权威信息，不造谣、不信谣、不传谣，坚定信心，同心协力，坚决打赢疫情防控阻击战。（云梦县新冠肺炎疫情防控指挥部）http://t.cn/A67N0SZG
扔了狐狸皮就跑,:#小男友每次总以“你还上学呢”“你还小呢”为理由不想麻烦年下小男友来公司接你下班，小男友被拒绝后闹了脾气不再和你联系，而恰好最近你手头上有项目，忙得昏天暗地也没有时间去解释。今天好不容易项目结束，你看看还停留在一周前的微信页面，叹了口气，按掉手机，和同事一起往外走。你突然听到熟悉的声音直呼你的名字，抬头一看，阳光下站在公司前的大树后面，你的小男友穿着一身大大的西装衬衣，有点点害羞地朝你抿嘴一笑，“我来接你下班了。”
武汉身边事,:#万众一心抗击新冠肺炎#【终于“见面”！#火神山医护把自己照片贴胸前#】今天一早，火神山医院感染八科医患微信群开始“斗图”：患者争相晒出抓拍的医护“露脸照”！原来，为让患者感到更亲切，医护人员打印自己的照片贴在胸前，弥补朝夕相处却因严格防护而不能“见面”的遗憾。“美丽！帅气！”看真容↓↓“你的样子，我会铭记一生！”http://t.cn/A67CHMya
广元晚报,:【网购劣质口罩又转手出售获利3万，青川男子被采取强制措施】2月12日，广元市青川县公安局网安大队经工作发现“一四川网民涉嫌贩卖假冒伪劣口罩”的线索，立即安排力量开展核查、侦查工作。经过网上网下线索核查发现，青川县居民徐某通过微信好友购买口罩，在明知口罩质量存在问题的情况下，仍然声称是“一次性医用口罩”，大量转手出售。自1月25日至2月12日，徐某共通过微信出售口罩34000余个，交易金额8万余元，获利3万余元。为了查清口罩来源和口罩的质量问题，办案民警先后驱车前往成都、绵阳等地调取证据，对涉案口罩进行扣押，及时送检。后经四川省医疗器械检测中心对徐某销售的口罩进行抽样检测，结果显示为不符合“一次性医用口罩”标准。2月18日，犯罪嫌疑人徐某因销售不符合标准的医用器材，被青川县公安局采取强制措施。（赵洋广元晚报全媒体记者赵慧文/图）
广西日报,:#广西抗击新型肺炎#【注意！3月3日起，自治区政务服务中心线下窗口服务全面恢复】从3月3日起，自治区政务服务中心线下窗口服务全面恢复。自治区大数据发展局提醒，疫情防控仍在进行，前往政务服务中心办理业务的市民请佩戴口罩，做好防护措施。据悉，2月25日，自治区政务服务中心已恢复第一批15家窗口单位的线下窗口服务。为全力支持企业有序复工复产，为企业和公众提供优质政务服务，从3月3日起，包括自治区教育厅、科学技术厅、公安厅、民政厅等20家窗口单位也恢复了线下窗口服务。此外，由于现阶段南宁住房公积金管理中心区直分中心窗口业务量较大，为避免办事人员聚集，有需要办理相关业务的公众请事先通过微信公众号“广西区直住房公积金管理中心”—“我要办理”—“在线预约”预约成功后，再前往窗口办理；未建制单位办理业务，可拨打政府热线12345或住房公积金服务热线12329预约办理；已建制单位请与原所属住房公积金管理员联系办理。（来源:南国早报）
汉中音乐广播,:2020.3.3（19点）老唱片“听唱片”：中国歌坛名人名作珍藏系列——童安格14本期欣赏：童安格《真爱是谁》1990（新加坡版）01.真爱是谁（曲：李伟松李偲菘词：卡斯）02.生命过客（曲：李伟松李偲菘词：卡斯）《生命过客》和《真爱是谁》分别是电视剧《出人头地》的主题歌和插曲，也是专辑中仅有的作词作曲不是童安格的两首歌。【第7张专辑】童安格《花瓣雨》1990……老唱片，听有情怀的声音！最新收听收看互动终端“爱上汉中”app或”听见广播”app，以及新浪官方微博@“汉中音乐广播”，或添加微信公众号，欢迎关注互动。
工人日报,:【河南许昌三名村干部私分捐赠的6箱方便面被通报处分】3月2日，河南省许昌市纪检委微信公众号“清风莲城”发布通报称，2020年2月5日晚7时许，鄢陵县陶城镇后路村村委副主任刘连春分别给村支部委员刘水营、村监委会主任刘尧打电话，把其二人约至村委会，三人见面后商议，将群众捐赠的19箱今麦郎牌桶装方便面中的6箱，各取2箱带回自己家中。次日上午9时许，经该村村委会通知后，三人分别将各自带走的2箱方便面送回至村委会。2020年2月25日，鄢陵县纪委给予刘连春党内严重警告处分，给予刘水营党内警告处分。陶城镇政府责令刘尧辞去后路村村监委会主任职务。（河南省许昌市纪检委微信公众号）
北京石景山健康教育,:#预防新型冠状病毒肺炎#【韩国、意大利、伊朗、日本，从这些国家入境来京都需隔离观察】凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天。（来源：首都之窗微信）
甜橙北,:早晨一睁眼，就陷入了写论文的丧中。巨大无比的丧感让我有点疯，给导师发了一个声情并茂的微信，征求“是否需要延期”。原本打算消息杳无音讯或者被狂怼，惊喜的是，导师秒回两条50″的语音微信，语气平和的安慰和鼓励，让我有点惭愧，吃了一颗定心丸，又从“放弃”的线上滚回到电脑旁。耳机里循环着死亡摇滚，这才安安宁宁的写了一天，感觉只有燥到爆的音乐才能压得住此刻狂躁的心情。写累了和姐妹聊两句，在烟火气和碎碎念里，也能得到慰藉。
孝感日报,:#湖北加油武汉挺住#【湖北省汉川市园卫服务中心干部职工踊跃参与捐款献爱心活动】为支持抗击疫情工作，湖北省汉川市园卫服务中心党员干部职工踊跃参加“我为抗击疫情捐款献爱心”活动，截至3月3日，共筹集爱心捐款15810元。　　据了解，汉川市城市管理执法局3月2日发出倡议，号召党员干部捐款，为打赢疫情防控阻击战贡献一份力量。倡议发出后，机关及所属二级单位党员干部迅速行动、纷纷响应，献出自己的微薄之力，汉川市园卫服务中心广大职工也自发加入了捐款的行列，他们纷纷通过微信转账等方式捐款，为此次战“疫”献出了自己的爱心。其中，既有退休老党员老干部，也有奋战一线的疫情防控人员，如带病坚持工作的固废处理中心副主任万新平、坚守在里潭乡初级中学留观点的雷振兵、负责全城洒水消毒的司机祁继武、身处垃圾填埋库区管理一线的王银华等都慷慨解囊奉献爱心，他们纷纷表示：“疫情面前，需要我们恪尽职守，勇于担当，抗击疫情，更需要我们伸出援手，共度难关。”　　此外有4位退休党员干部也慷慨解囊，如老干支部书记鲁月来（主动脉腹瘤、冠心病开胸治疗，手术费约48万元）、身患糖尿病导致中风偏瘫多年的退休副局长张水发、久病卧床的85岁退休工会副主席刘秋仿纷纷捐款100元，身处武汉的退休副局长王仁忠也打电话到单位主动捐款300元。他们说：“虽然捐款不多，但对抗击疫情也是一份支持。”　　只要人人献出一点爱，世界就会变成最美好的人间。正是这种奉献精神、这种诚挚之爱，凝聚成了众志成城、共度难关的力量源泉。（通讯员让东清熊军编辑叶一鸣）
综艺小哥bot,:#敏感的人不适合恋爱#你心里有没有这样一个人？做什么事都会想到他，但又总是害怕打扰他，你总是会在微信上，思前想后，给他编辑了一长段的话。可是到最后，你又不敢点发送，只能一字一句把编辑好的消息全部删除。你害怕太主动，显得不够矜持。你害怕你的突然打扰到他。你更害怕，他根本不在意你，甚至懒得回你消息。你装作毫不在意，就这样，每一次没发出去的消息，到最后都变成了心里的苦涩。昨晚睡觉前接到了朋友打来的电话，她哭着说和我说，我和男朋友分手了。是我提的，他也答应了，但为什么明明我才是掌握主动权的那一个，最后痛苦的人却是我呢。我问她发生什么事了？她冷静下来才说：我很明显能感觉到我们的感情出现了变化，不是因为时间长了而变得稳定，而是他对我的态度越来越敷衍，有时候干脆不理睬我发的消息。我们刚在一起的时候，他不管多忙多晚都会去接我下班。现在，我来大姨妈疼的走不动路，他也只是淡淡的来一句：自己打车回来吧。以前每天发生了什么事都会跟我说，就是为了让我放心，现在我给他发微信打电话，不是在忙，就是在打游戏。有一次，我在工作中犯了一点小错误，被领导狠狠的批评了一顿，我在微信上跟他讲，我特别委屈，如果他现在在我身边就好了，结果他说：我现在真的特别忙，没时间安慰你。因为他的这句话，我开始害怕找他，害怕我发出去的消息得到的都是这样冷冰冰的回答，害怕我的想念和委屈在他那里都是无病呻吟。从前每晚打电话打到两点都舍不得挂断的人，到现在一天只能说两三句话；从前事无巨细关心我给我安全感的人，现在留给我的全是小心翼翼和敏感不安。我真的不明白，不明白为什么一段感情到最后，连说一句我想他都需要害怕？在一段爱情里，如果他不再给你专属的对待，不再把你放在心上，你说的每句话每件事对他来说都变成了烦恼，甚至发出了不耐烦的信号，那他只是不爱你了。你的小心翼翼不会让对方回心转意，你的卑微也不会换来他的心疼。想起之前看过一句话：爱你的人，再远也顺路，随时都有空，不怕你打扰，只怕你不需要他。
