tjf微笑,:为打赢疫情防控阻击战贡献湖南科技力量http://t.cn/A670eDVF
旧城咸阳,:#咸阳身边事#【咸阳市中心医院：25位战“疫”英雄欢迎回家】3月3日下午，沐浴着春日的阳光，咸阳市中心医院抗击新冠肺炎疫情第二梯队的23名医护人员及2名负压转运急救队员，圆满完成阶段任务，顺利通过医学观察，精神饱满凯旋归来。在东郊分院传染病楼前，在书写着“生命重于泰山疫情就是命令防控就是责任”的横幅下，院党委为25名战“疫”英雄举行了简朴而庄重的欢迎仪式。（来源:咸阳广播电视台）
北京卫视,:#生命缘生命的礼物##北京卫视疫情防控特别行动#胡汉英是北京地坛医院的感染急诊的一名护士，穿上防护服后，胡护士当班的6个小时里便不再吃饭、喝水、上厕所，不足200平米的急诊区，她平均要走上2万步，是感染急诊有名的“飞毛腿”。@BTV生命缘@微博综艺@微博纪录片#微博纪录片联盟#http://t.cn/A67jU7Fr
兰山发布,:#兰山打赢疫情防控硬仗#【战“疫”进行时|警情通报之破获系列电信设施被破坏案】近日，沂南县公安局破获系列电信设施被破坏案，抓获犯罪嫌疑人王某、高某二人。经查，高某、王某先后十余次破坏公用电信设施，造成直接损失10余万元。目前，高某、王某因涉嫌故意破坏公用电信设施罪被依法刑事拘留，案件正在进一步侦查中。
贰爷房产投资,:会议强调，要把复工复产与扩大内需结合起来，把被抑制、被冻结的消费释放出来，把在疫情防控中催生的新型消费、升级消费培育壮大起来，使实物消费和服务消费得到回补。要选好投资项目，加强用地、用能、资金等政策配套，加快推进国家规划已明确的重大工程和基础设施建设。要加大公共卫生服务、应急物资保障领域投入，加快5G网络、数据中心等新型基础设施建设进度。要注重调动民间投资积极性。
日月荣木,:想想真的挺没劲的。国外不重视防控导致疫情爆发，他们骂都是你们把病毒传过来的；等这波疫情过去了，因为国内防控措施有力，国内感染率死亡率都比国外低，他们就说中国隐瞒疫情。怎么都是你不对。我真羡慕国内的年轻人不用面对这些。
宁局南昆货运中心,#疫情防控交通动态#【疫情防控阻击战丨拒绝谣言从我做起】柳州工务段辟谣小分队又双叒叕来咯！#交通战役24小时#南宁铁路的微博视频
叶小妮和她的仓鼠宝宝们,:求是网评论员：在法治轨道上推进疫情防控点击可查看更多http://t.cn/A67j7rgp
湖北日报,:【#湖北开启茶叶运输绿色通道#】#全力以赴遏制疫情#3月5日，记者从湖北省新冠肺炎疫情防控指挥部获悉，湖北省将茶叶及其包装、托盘相关物资纳入防疫期间重要生活物资保供范围，对相关运输车辆执行“绿色通道”政策，解决茶叶在省内的运输问题。茶叶被纳入重要生活物资，对于广大茶农是个利好，标志着湖北正在积极为春茶生产创造有利条件。据悉，此前湖北已将粮、油、蔬菜、肉、奶、蛋、禽肉、副食、水产品、婴幼儿奶粉、水果等纳入重要生活物资保障范围。对这些生活物资运输车辆一律实行绿色通道政策，确保物资运输车辆在高速公路、国道、省道、县道、乡村道路上通畅有序。（湖北日报全媒记者雷闯通讯员潘庆芳）http://t.cn/A67jqFrK
平原晚报,:各地在抗疫斗争一线发展党员，为打赢疫情防控阻击战提供坚强组织保证——“火线”入党，集聚更强战疫力量-新华网http://t.cn/A67Wj05V
北京卫视,:#生命缘生命的礼物##北京卫视疫情防控特别行动#梁连春是北京佑安医院综合感染科的主任，他曾说过，每次进病房，我面对的不是病毒，而是病人，每个人的康复，都是一个家庭的健全，这是我最大的成就感。@BTV生命缘@微博综艺@微博纪录片#微博纪录片联盟#BTV生命缘的微博视频
北京卫视,:#生命缘生命的礼物##北京卫视疫情防控特别行动#秦恩强主任在工作中他不苟言笑、惜字如金，而面对患者时却变成了“话痨”，一遍遍耐心讲解、一次次病房查看，每一位患者微小的变化都牵动着秦主任的心。@BTV生命缘@微博综艺@微博纪录片#微博纪录片联盟#http://t.cn/A67jZLIj
安徽之声,:#基层抗疫速递#【绩溪：为松树打孔注药守护森林安全防线】为保护绩溪县重点地区松林，根据《绩溪县2019-2020年度松材线虫病防治方案》，县林业局高度重视，积极部署。当前，正值全国新冠肺炎疫情防控时期，为加强疫情防控和做好松材线虫病防治公司复工复产工作，确保松材线虫病防治打孔注药工作顺利复工，绩溪县林业局积极做好准备工作，制定复工疫情防控工作方案和预案，做好复工民工健康登记和复工疫情防控工作物资采购工作。防治公司技术人员对东山公园和清凉峰保护区松林进行打孔注药防治工作，严格按照《安徽省松材线虫病防治指南》中“打孔注药保护技术”的要求规范施工，确保按时完成松树打孔注药任务。
贵州理工学院,:#和理分享##四六级#【疫情防控词汇最全版本整理】无论中高考，四六级，还是专四专八，考研英语....疫情防控词汇是备考关键。分享中国翻译研究院发布的疫情防控词汇
河南大学第一临床学院团委,#疫情防控开封在行动##共同战疫#【出门买买买，该如何做好防护？
吴忠商务投资,:全市广大党员踊跃捐款助力疫情防控-吴忠网@手机浏览器http://t.cn/A67l2hmg
低功耗雷特侯仁茹,#最高检发布典型案例#【全国检察机关依法办理妨害新冠肺炎疫情防控犯罪典型案例（第四批）】#最高检权威发布#最高检发布第四批妨害新冠肺炎疫情防控犯罪典型案例
文明_三门峡体育,:【三门峡市体育局党员积极参加社区防疫工作】为全面落实新冠肺炎疫情联防联控措施，切实增强街道社区疫情防控工作力量，按照市委、市政府统一安排部署，3月4日，三门峡市体育局机关支部书记谷少波同志，利用休息时间，积极参与到所在社区——六西社区新冠肺炎疫情入户排查工作。在入户前，谷少波同志做好了个人安全防护，了解了相关情况，积极投入到工作中，针对排查中发现居民对疫情相关知识不了解的情况，他耐心细致一一进行解答，做到政策宣传“全覆盖、无死角”。接下来，将会号召全局系统的党员干部积极投身到社区疫情防控工作中，用实际行动诠释一名共产党员的责任和担当！
乐享廊坊,:#战胜疫情廊坊在行动#【单位食堂新冠肺炎防控指引（试行）】廊坊
呼和浩特交通广播,:#新型冠状病毒#在新冠肺炎疫情防控中，采用了哪些高精尖的技术和设备？【国务院联防联控机制权威发布会系列问答】#众志成城抗疫情#在这次新冠肺炎的临床救治过程中，像我们过去了解的一些设备，比如呼吸机、体外膜肺氧合机（ECMO）、P3移动实验室，还有移动的CT等等这些高精尖设备都投入到救治工作中，发挥了重要的作用。这些设备是通过驰援湖北的医疗队随身携带，还有从全国范围内紧急征调，以及在全球范围内紧急采购等多种方式迅速调集，用于武汉临床救治。呼吸机和体外膜肺氧合机（ECMO）主要是为了重症患者提供呼吸支持。P3移动实验室为方舱医院提供核酸检测，由于它是可以移动的，哪儿有需要，移动P3车就可以开到哪儿去，能够快速完成检测任务。移动的CT为方舱医院提供了CT的检查，因为它的特点就是灵活机动、高效便捷，这样患者就可以就近进行CT检查。据了解，一个胸部CT检查时间大概不到3分钟。这些高精尖设备的应用，对于满足一线的救治发挥了非常重要的作用。下一步，我们将按照国务院联防联控机制的有关要求，与有关单位做好需求的对接，保障医疗设备尤其是危重症救治的医疗设备的供应，精准合理分配，把这些设备分配到相关的医疗机构。
鄂尔多斯发布,:【这是假的！别传了！】#鄂尔多斯防控疫情第一线##众志成城抗击疫情##辟谣#近日，在微信群、朋友圈传“北京至鄂尔多斯的CA1149航班，有一名湖北籍旅客体温异常，导致准格尔召镇乌兰哈达煤矿和孙三沟煤矿职工被强制隔离，煤矿停产停销”的事件。针对此信息，现将真实情况公告如下：2020年2月29日从北京至鄂尔多斯的CA1149航班上的一名武汉籍空乘人员苏某下飞机后有发热症状，后相关部门按照疫情防控有关规定立即对苏某进行医学隔离观察，目前已对苏某进行2次核酸和1次粪便检测，都呈现阴性。与苏某乘坐同一航班的准格尔召镇乌兰哈达煤矿职工孙某和孙三沟煤矿职工刘某、童某和张某在下飞机后也按照疫情防控相关规定在各自所在煤矿内部及时进行居家隔离医学观察，截至目前，孙某、刘某、童某和张某4人身体正常，没有出现任何异常症状。乌兰哈达煤矿和孙三沟煤矿目前正常生产运营，不存在停产停销现象。当前，全国人民众志成城，全力以赴抗击疫情，一切关于疫情防控的消息都以官方发布为准，广大市民要做到不造谣、不信谣、不传谣，坚定信心，同心协力，坚决打赢疫情防控阻击战。（来源：准格尔旗发布）
arqfpb,:『打通金融“血脉”激活经济“肌体”——内蒙古为疫情防控和复工复产提供金融支持——新华网内蒙古频道』打通金融“血脉”激活经济“肌体”——内蒙古为疫情防控和复工复产提供金融支持
哈哈我是二倩诶,【
光武故里平安枣阳,:【老骥伏枥，逆上战"疫"】自疫情防控工作以来，环城所56岁的社区民警张开庆不顾自己有高血压、腰椎间盘突出等多种慢性病，坚持每天驾自行车骑行十几公里到其包保社区和卡口巡回值守。3月2日上午11时许，枣阳孙庄社区一名居民大年初二滞留在东津高铁站，后被襄阳市救助站收留至今，襄阳市防疫指挥部要求枣阳地方按属地管控要将其接回枣阳再进行十四天的封闭隔离，当事人因惧怕被隔离拒不回枣，社区干部请求民警赶到襄阳协助劝返。张开庆接到派出所安排后立即放下卡口值守的活，迅速赶往襄阳市救助站。中午12点半张开庆到达救助站，来不及吃饭，老张同志发挥社区老民警做群众工作的优势，费尽心力向当事人分析当前疫情的利害关系，晓之以理动之以情，经过一个多小时的劝说，当事人最终同意回枣阳隔离点做进一步观察。历经四个小时往返一百五十多公里，安全将当事人带回枣阳送到隔离点。一直忙到下午3点多，张开庆才回到单位匆匆吃了一碗泡面，所长龙斌看到后对老张说：辛苦了，老张！""应该的。"老张嘿嘿一笑，又忙活开了……@中国警方在线@人民公安报@中国长安网@警民携手同行@平安襄阳@人民日报@中国警察网@平安湖北
兴化老梧桐,:#兴化事#工业生产者价格调查显示，截至2月25日，兴化48家工价样本企业全部完成数据上报，经与企业对接确认，48家工价样本企业均已复工，复工企业均按照政府要求做好疫情防控工作，循序渐进开展生产，部分大型企业因外地员工暂未返回暂缓部分生产线开工，预计3月将全部正常生产。
安徽之声,:#基层抗疫速递#【复工，让美丽乡村建设项目“动”起来】为加快推进美丽乡村建设工作，绩溪县坚持一手抓疫情防控，一手抓经济社会发展，加强美丽乡村建设业务指导，确保2019年在建的8个省级中心村项目早复工，早见效，将前期因疫情延误的工期夺回来，切实让美丽乡村建设民生工程惠及广大群众。近日，各乡镇按照全县要求，纷纷展开复工前各项准备工作。上庄镇主动与县公管交易中心对接，积极准备省级中心村旺川村市领导帮扶项目招投标工作，确保了该项目第一时间启动招投标程序。板桥头乡为推进省级中心村下溪村项目建设，积极协调做好各项复工准备工作，为施工单位排忧解难的同时，明确项目施工单位人员、机械和防疫等有关要求，确保疫情防控期间项目顺利复工。目前，下溪村项目已正式复工。自2月份以来，该县以疫情防控为切入点，加强农村人居环境整治，持续推进农村环境“三大革命”“三大行动”和美丽乡村建设，助推乡村振兴。
兴化老梧桐,:#兴化事#工业生产者价格调查显示，截至2月25日，兴化48家工价样本企业全部完成数据上报，经与企业对接确认，48家工价样本企业均已复工，复工企业均按照政府要求做好疫情防控工作，循序渐进开展生产，部分大型企业因外地员工暂未返回暂缓部分生产线开工，预计3月将全部正常生产。
安徽之声,:#基层抗疫速递#【复工，让美丽乡村建设项目“动”起来】为加快推进美丽乡村建设工作，绩溪县坚持一手抓疫情防控，一手抓经济社会发展，加强美丽乡村建设业务指导，确保2019年在建的8个省级中心村项目早复工，早见效，将前期因疫情延误的工期夺回来，切实让美丽乡村建设民生工程惠及广大群众。近日，各乡镇按照全县要求，纷纷展开复工前各项准备工作。上庄镇主动与县公管交易中心对接，积极准备省级中心村旺川村市领导帮扶项目招投标工作，确保了该项目第一时间启动招投标程序。板桥头乡为推进省级中心村下溪村项目建设，积极协调做好各项复工准备工作，为施工单位排忧解难的同时，明确项目施工单位人员、机械和防疫等有关要求，确保疫情防控期间项目顺利复工。目前，下溪村项目已正式复工。自2月份以来，该县以疫情防控为切入点，加强农村人居环境整治，持续推进农村环境“三大革命”“三大行动”和美丽乡村建设，助推乡村振兴。
巴彦淖尔日报社,:【乌拉特后旗5家商户因疫情防控不到位被关停】近期，乌拉特后旗复工复产工作开展得如火如荼。个体商户也纷纷申请营业，尤其是群众生活必需品行业复工正在有序增长中。而疫情防控到位是每个复工复产行业的首要任务。“你们对消费者的体温检测如同虚设，消毒措施也不到位，疫情防控落实走过场。在多次提醒教育、现场整改下仍不按具体要求落实，现责令停业继续整改，直至能达到疫情防控要求后再申请营业。”市场监督管理局执法人员先后对付军野生鱼店、家乡的熟食、茂发生鲜超市、月月红粮油蔬菜肉食店、兴荣商店5家商户实施了停业整改。这是3月2日，乌拉特后旗市场监督管理局保障复工复产和疫情防控工作中的一个缩影。从3月1日开始，该旗市场监督管理局对正在复工复产中的市场监管服务对象开展挨家挨户拉网式监管。截至目前，乌拉特后旗检查342家（次），关停未经公示和达不到疫情防控的商户5家，责令整改58家（次）。#众志成城抗击疫情##万众一心抗击新冠肺炎##巴彦淖尔防控疫情第一线#@巴彦淖尔发布@巴彦淖尔同城@内蒙古日报
庄儿里那点事,:【助力复工复产石家庄机场恢复多条航线航班】#石家庄爆料#为贯彻落实河北省委省政府关于复工复产工作部署，石家庄机场统筹做好疫情防控工作和复工复产工作，与各航空公司积极对接，抓紧恢复运力，稳步恢复航线航班。预计3月初，石家庄机场日均航班量达到120架次左右，恢复至正常航班量的45%，3月底，航班量预计恢复至正常航班量的60%左右。3月1日，石家庄机场恢复石家庄-南通-温州、石家庄-南昌-湛江、上海-石家庄-张家口、南京-石家庄-呼和浩特、昆明-石家庄-沈阳、大连-石家庄-银川、广州-石家庄-承德、三亚-南昌-石家庄、成都-中卫-石家庄、石家庄-五大连池-哈尔滨、石家庄-福州等航线，保障航班起降127架次，较2月29日增加48架次，日旅客吞吐量超过1万人次。3月2日，石家庄机场恢复石家庄-博鳌、石家庄-遵义-博鳌、石家庄-绵阳航线。下一步，石家庄机场将继续协调航空公司，恢复和增加运力，预计3月底，石家庄至上海将达到每日6班，广州每日5-6班，杭州、成都每日5班，三亚每日4班，深圳每日3班，贵阳、兰州每日2班。省内支线航线方面，石家庄至张家口、承德将达到每日3班。在做好保障航空客运的同时，石家庄机场积极争取开通国内外货运航线，2月29日石家庄-比什凯克“一带一路”国际货运航线恢复运行。3月，计划陆续开通石家庄-深圳、石家庄-南昌、石家庄-马尼拉、石家庄-澳门等7条货运航线，在全力确保运输生产稳步恢复的同时，积极支持企业复工复产，助力河北省经济社会发展。（河北交通广播）#石家庄身边事#关注@庄儿里那点事，看最新最全的庄里资讯！
iPeii,:刘奇在鹰潭调研疫情防控和经济恢复工作http://t.cn/A670pqkU
墨者孟胜,:【铁路夫妻档携手战“疫”坚守岗位护旅客平安】高铁是旅客出行的重要交通工具，也是疫情防控战斗的前沿阵地。北京铁路公安局天津公安处乘警支队的张棕鹏和天津客运段G305/6次列车长满运媛，是一对奋战在疫情防控一线的夫妻。他们既是伴侣，又是战友，各自在岗位上书写着守护旅客平安的故事。@中新视频http://t.cn/A67Oryea
兰山发布,:#兰山打赢疫情防控硬仗#【战“疫”进行时|警情通报之制售假冒伪劣防护用品】2月27日，兰山分局破获一制售假冒伪劣防护用品案，抓获两名销售伪劣产品犯罪嫌疑人。经查，疫情发生以来，犯罪嫌疑人吕某及林某二人发现口罩成为紧缺产品，便在微信朋友圈内发布贩卖口罩的信息，然后通过面包车进行交易，所售口罩均属于三无产品。目前，两名犯罪嫌疑人已被依法刑事拘留，案件正在进一步侦查中。
开封市铁塔公园,#好人365##共同战疫#【90后药师用生命描绘火红青春】#疫情防控开封在行动#宋英杰，男，1992年11月20日出生，湖南省衡阳市衡山县开云镇人，生前曾任衡山县东湖镇马迹卫生院药剂组副组长。2020年2月3日凌晨，宋英杰在参与新冠肺炎疫情防控工作期间不幸猝死，因公殉职，年仅28岁。同年2月，宋英杰先后被追授“衡阳市五一劳动奖章”“衡阳青年五四奖章”。@中国文明网http://t.cn/A67aggsm
安徽之声,:#基层抗疫速递#【宣城绩溪：“疫”起关爱特殊人群】春季来临，精神障碍患者发病概率增大，为防止叠加影响，绩溪县伏岭镇政府严格按照“关上门、管住人”的原则，加强对辖区内精神障碍患者的管控，确保全镇精神障碍患者在疫情防控期间的安全稳定。监管责任落实到人。防疫期间，为了降低精神障碍患者被感染的风险，伏岭镇建立了联村干部、辖区网格员、精神障碍患者监护人三级包保责任制，严格落实监管责任，做好居家精神障碍患者服务管理，做到居家监管不出门。病情信息反馈及时。为了能及时向定点治疗机构反馈精神障碍患者病情信息，伏岭镇充分利用电话、微信等通讯方式，与辖区网格员、患者监护人进行定期沟通，了解患者近期的病情信息，分析汇总后及时上报给定点治疗机构。治疗药物保障供给。为解决精神障碍患者治疗药物短缺的问题，伏岭镇联系定点治疗机构，采用邮寄的方式，将患者的治疗药物邮寄到政府，由各辖区网格员将药物分发到需要的精神障碍患者家中，确保患者能及时用药，稳定病情。面对疫情，伏岭镇扎实做好疫情期间精神障碍患者的治疗管理工作，用自己的实际行动，扎牢全镇防疫工作的篱笆。（通讯员胡奇）
邵阳市人民政府,:#湖南防控新冠肺炎#杜家毫在黄花机场调研：全面做好境外疫情输入防控工作http://t.cn/A67jqxJF
无锡都市生活广播,:“苏康码”上线啦！为进一步提高新冠肺炎疫情防控工作的科学性、精准性，适应长三角一体化防控需求，目前，江苏在全省范围内推行统一的“苏康码”，按照红、黄、绿（分别对应高、中、低）不同风险级别，对人群进行分类管理，在全省范围内互认，同时在长三角三省一市互认。在疫情防控期间，“苏康码”作为广大民众日常出行的重要凭证，同时作为防疫人员查验的主要依据。需要申报的人员可以通过江苏政务服务app或江苏政务服务支付宝小程序扫码进入，二维码见下：
昆明富民发布,:#新闻集装箱#【企业职工在家上班照常发工资】★全国总工会办公厅日前下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资。（中国新闻网）
云报文旅,:#复工复产#【禄丰县文旅局精准施策助推文旅企业平稳有序复工复产】连日来，禄丰县文化和旅游局积极贯彻落实中央和省州县关于“稳增长、促发展”的部署要求，通过发动文旅企业顾全疫情防控大局，严格执行关停措施并强化日常巡查监管，全力构筑文旅行业疫情防控的坚实屏障；始终坚持疫情防控和产业发展“两推进、两不误”，在疫情防控取得阶段性成果的基础上，统筹兼顾、精准施策、科学防治，有序、有力、有效推进文旅企业平稳有序复工复产等措施，稳步有序推进文旅行业疫情防控和复工复产各项工作。http://t.cn/A67jqblW@文旅新闻@文旅楚雄
乐享廊坊,:#战胜疫情廊坊在行动#【外来务工人员新型冠状病毒肺炎疫情防控指引（试行）】廊坊
盐田发布,:【FAQsonPreventionandControlofImportedCOVID-19Cases（疫情防控期间外籍人士有关问题解答）】（via.深圳市人民政府外事办公室）FAQsonPreventionandControlofImportedCOVID-19Cases
安阳发生,:#河南防控新型肺炎疫情#【晚安安阳
公务员考试之路,:疫情防控的“经济战”重点策：加快疏通农业和金融业毛细血管（遴选公选笔试面试素养积淀）http://t.cn/A6hop7HU。这次疫情延续至今，已经对社会、经济各个领域产生了全面影响。在全国疫情新增趋势逐渐下降之时，“复工难”等经济社会问题愈发显现出来。连日来，国家多部委发布消息宣布对小微企业提供财政金融支持，实际上表明这场“战争”已经开辟了第二战场，在继续抗击疫情的同时，必须及早行动防止“炎症”在经济领域继续扩大蔓延，否则会陷入更加困难的境地。▲各省区市遴选小白入门免费课视频回放（刘源老师和团队博雅老师2019年公开授课视频）http://t.cn/A6hfOp0e。▲面试免费课视频免费回放（刘源团队2020年1月整理奉献）http://t.cn/A6haz99U。▲2019+2020两年中央遴选真题解析免费课视频300分钟（刘源老师2019年11月解析2019真题12月解析2020真题）http://t.cn/A6hfOpOv。
-張張lulu-,:#2020中国大学生好创意，为中国加油！武汉加油！#@全国大广赛组委会作品名称：共克时艰设计说明：万众一心众志成城防控疫情作者：张滨鹭学校：燕京理工学院
兰山发布,:#兰山打赢疫情防控硬仗#《兰山区宝爸宝妈注意了，宝宝接种疫苗最全的门诊地址和预约电话看这》兰山区宝爸宝妈注意了，宝宝接种疫苗最全的门诊地址和预约电话看这
阳泉网络广播电视台,:#抗击疫情山西在行动##山西迎战疫情#【山西省支援湖北抗击疫情前方指挥部举行视频会议三市疫情防控关口前移建立完善医疗核心制度】http://t.cn/A67jGDiO
中国新闻周刊,:【#业主无卡被拒进小区殴打保安#被拘留】#周刊君与你共同战疫#3月1日，珠海一小区业主刘某因未办理小区停车卡，被负责疫情防控的安保人员张某拦下拒绝驶入小区，刘某不满持凳追打张某，致张某下颌、左手等部位受伤。经法医鉴定，保安张某未达轻微伤。据知情人透露，刘某希望私了此事，但张某不同意。事后，不少业主自发筹款慰问被打保安，并表态支持安保工作。目前，刘某被处以行政拘留十日的处罚。@看看新闻KNEWShttp://t.cn/A67lQcP4
浙江之声,:【温州龙湾：截至今天已确诊新冠肺炎患者全部治愈出院】今天，温州龙湾区最后一例新冠肺炎确诊患者从温州市第六人民医院治愈出院。自此，龙湾所有患者全部痊愈出院，实现确诊和疑似病例“双清零”，取得了新冠肺炎疫情防控阶段性胜利。据悉，截至3月4日下午，龙湾区共报告确诊病例18例，累计治愈出院18例，连续18天没有新增确诊和疑似病例。下阶段，龙湾将持续强化基层单元和公共场所管理，继续落实精密智控机制，有序平稳推进企业复工复产，力夺疫情防控阻击战和经济发展主动战双赢。（浙江之声记者李晓华）#关注新冠肺炎##武汉加油，浙里挺你#
南充中级法院,【疫情期间用人单位可享哪些就业、社保政策支持？清单在这！】省人社厅梳理汇编了《疫情防控期间人社政策支持和便民服务措施清单》，从用人单位，劳动者，医务人员及相关人员，农民工，高校毕业生、技工院校，事业单位应聘人员，“三支一扶”人员，失业人员，人力资源服务机构，其他服务对象总10个方面分门别类梳理了相关政策措施清单，戳链接，一起来了解一下。http://t.cn/A67jLJoB
中国青年报,:【习近平主持政治局常委会研究当前新冠肺炎疫情防控和稳定经济社会运行重点工作】中共中央政治局常务委员会3月4日召开会议，研究当前新冠肺炎疫情防控和稳定经济社会运行重点工作。中共中央总书记习近平主持会议并发表重要讲话。阅读详情：习近平主持政治局常委会研究当前新冠肺炎疫情防控和稳定经济社会运行重点工作
广州政法微博,:【广州街坊们买菜注意啦！海珠70个农贸市场每月休市两天】街坊们注意啦！海珠区市场监管局本月继续加强农贸市场疫情防控力度，营业时间、休市时间有所调整。买菜记得看清楚时间哦！农贸市场营业时间调整为上、下午两个时段（8：00-12：00，14：00-19：00），引导场内错峰购物，进一步加强返穗客流高峰的疫情防控工作。目前，全区70个市场均已调整营业时间。在此提醒各位街坊们，出门买菜记得佩戴口罩，出入配合监测体温。来源：广州海珠发布，广州日报（记者：曾卫康）休市时间表↓（*具体时间请以市场公告为准）
吃不饱的牛,:【疫情防控新闻发布会】上海首批“封闭式”管理小区执行满月，“既讲原则也讲温度”http://t.cn/A6702f6n
河南新闻广播,:【习近平：#防控要求不能降低#，继续抓紧抓实抓细】中共中央政治局常务委员会3月4日召开会议，研究当前新冠肺炎#疫情防控和稳定经济社会运行重点工作#。中共中央总书记习近平主持会议并发表重要讲话。戳↓↓习近平：防控要求不能降低，继续抓紧抓实抓细
章丘生态环境,【疫情防控、经济社会发展“两手抓”山东准备这么干！】#打赢疫情防控的人民战争总体战阻击战#（大众日报客户端）
河南大学第一临床学院团委,#疫情防控开封在行动#网络视频作品展播：《复工后应该注意哪些事？》#抗疫行动#
开封市铁塔公园,#疫情防控开封在行动##抗疫行动#3月3日上午，开封市工商联副主席刘晓丽带领爱心企业家走进鼓楼区南苑办事处，看望慰问奋战在抗“疫”一线的社区工作人员。【我们始终在一起】市工商联组织爱心企业家慰问抗“疫”一线工作人员（开封网）@文明河南@中国文明网
美国侨报网,:【两个“不能降低”！中共中央对防疫形势的最新判断来了】今天（3月4日），中共中央政治局常务委员会再次召开会议。首先，中央对疫情防控的判断又有积极变化：已初步呈现疫情防控形势持续向好、生产生活秩序加快恢复的态势。从上次会议的“向好态势正在拓展”到“持续向好”，也反映在了这几天公布的各项数据中。http://t.cn/A67jG7zZ
九江杨柳青青,:【彭泽一居民因违反疫情防控规定被公安机关受案调查】3月4日，记者从彭泽县疫情防控应急指挥部了解到，该县马当镇居民刘某某因违反《中华人民共和国传染病防治法》《突发公共卫生事件应急条例》等国家有关法律法规，被送至彭泽县新冠肺炎集中隔离医学观测点进行为期14天的强制医学隔离；同时，对其违法行为，彭泽县公安机关已受案调查并依法严惩。据悉，3月3日上午，彭泽县马当镇政府在开展重点人员管控排查中发现，刘某某（男，44岁，彭泽县马当镇人），自2月26日来未经批准多次私自驾车前往湖北省蕲春县八里湖农场贩卖鱼苗，且返程后未向有关部门如实报告。当地政府立即将刘某某及其家人送至彭泽县人民医院隔离检查。3月4日下午，记者电话咨询彭泽县人民医院感染科主任孙祥，刘某某及其家人入院后至今体温监测正常，CT检查无异常。人员可以流动，病毒不能流行。当前，疫情防控到了最吃劲的时候，我省重大突发公共卫生事件一级响应尚未解除，分区分级管控不代表不要管控，流动性管控不代表可以自由流动。在此，我们呼吁广大市民严格按照疫情防控相关要求，自我约束，遵纪守法，在疫情未解除前，尽量不要前往湖北及武汉等重点疫区活动，不能因自己一人行为，影响自己家人和大家的身体健康。让我们共同努力，全力打赢疫情防控的人民战争、总体战、阻击战。来源：彭泽融媒王嘉宁
浙江法制报,:【#全国21省区市下调应急响应级别#】截至3月4日19时，山西、广东、江苏、新疆、四川、宁夏、浙江、黑龙江等8省份将疫情防控应急响应级别由一级调整为二级。甘肃、辽宁、贵州、云南、广西、内蒙古、青海、海南、陕西等9省份将疫情防控应急响应级别由一级调整为三级。同时还有4省根据省内区域不同的风险程度，分区分级地进行精准防控。
京视频,:#京视频#【北京住建委：工地不全封闭不得复工围挡高度不得低于2.5米】3月4日，北京市举行疫情防控新闻发布会，北京市住房和城乡建设委员会二级巡视员王鑫介绍，北京加强施工现场封闭式管理，提出“三个不得”：不全封闭不得复工、不测温登记不得进入施工现场、围挡高度不得低于2.5米。她还介绍，北京要求施工现场分时间、分来源地、分标段、分层、分区域、分工种“六分法”安排宿舍、就餐和组织施工生产，每间宿舍不超过6人且人均使用面积不小于2.5平方米。http://t.cn/A67jbsx0
大英发布,:#防控进行时，遂宁在行动##疫情防控大英在行动#即日起，大英这些商贸企业（行业）按要求审查合格后，即可复工复业3月3日，大英县应对新型冠状病毒感染肺炎疫情应急指挥部出台《关于有序推进部分商贸企业（行业）复工复业的通知》，从当日起，我县部分商贸企业（行业）按既定程序复工复业，被公布的商贸企业（行业）为我县第一批复工复业的商贸企业（行业），其它服务业经营业态根据疫情防控情况有序适时开放，时间另行通知。被公布的第一批复工复业的商贸企业（行业）包括：商场、生活超市、农贸市场、药品流通、日化店、理发店、干洗店、水果蔬菜店、鲜肉店、粮油便利店、副食店、杂货店、糕点店、孕婴用品店、烟酒专卖店、水泥钢材、五金机电、农资经营门市部、文具店、文化及体育用品店、电脑电器销售维修店、具有一级资质的汽车维修店、机动车销售及服务、机动车检测、消防器材店、报刊亭、广告服务、加油加气站、生猪屠宰网点、建筑建材、建筑设备租赁、建筑劳务中介机构、劳务派遣机构，提供通信、金融、物流运输、能源供应企业，餐饮行业在疫情防控期间不得提供桌餐和堂食，采取外带、外卖方式闭店经营。从3月3日起，上述商贸企业（行业）经备案审查，符合疫情防控要求，达到复工复业条件的，提前准备相关申请表、员工信息统计表、防疫承诺书，到指定地点向归口主管部门进行申报备案后，即可恢复营业。通知对业主主体责任、属地管理责任、行业主管部门责任作出明确要求。
