上海众合,:如果结果不如你所愿，就在尘埃落定前奋力一博
曲尽陈情忘丑吴,:#肖战#嘿嘿，能怎样。一天十个热搜，对，都是肖战买的，买来被骂。二月中旬的预警，果然应验了，这一套套的组合拳。先是个别粉丝，继而上升到整个粉丝群体，然后继续连坐，他本人必须道歉，否则就滚出娱乐圈。好的，你们都对，你们都对，你们是网络审判官，你们说什么，我们都认，照单全收。对于肖战，你在，我们一直陪伴。最坏的结果，无非退圈，经过这几天也想开了啊（仅代表本人），金刚心了，退就退吧，也无所谓，能怎样，设计师，面包店，留学…我们也不至于像现在，啥都不能说。
加油吧孩子007,:#小个子博主[超话]#有兄弟两个人在西山遇到了一位高僧，请高僧开示。这个高僧就告诉他们：“你们兄弟两人四年之后有一次大的劫难，唯一的解救方法就是多行善事，积德解难。”从那以后，哥哥在村里修桥筑路、养老扶幼，无偿地帮助他人。弟弟跟着哥哥一起也行动起来，他种果树、种粮食，一旦收获了，就接济那些吃不上饭的人。眼看四年的时间快满了，哥哥去见了高僧，问他是否化解了他的劫难，可这次高僧一言不发，摇了摇头。哥哥感到很奇怪，又无可奈何，就下了山。回家途中，突然天上下起了大雨，哥哥发现一间土屋可以避雨，便弓着腰躲了进去。结果一声雷响，“哗”，房屋倒了，他被压在了下面，哥哥的两条腿在这次事故中残废。这个变故使他痛苦至极，他想想自己这几年来无私地付出，为何仍遭此大难？他心里想不通，就跟弟弟讲：“弟弟，你背着我去西山，我要去问高僧。”哥哥到了那里就问高僧：“大师，我几年行善，没有一天懈怠，为何我还会遭此劫难呢？”高僧没有回答他，而是抬头看看他的弟弟，就问：“你呢？”弟弟回答说：“大师，我只是行善，时间久了，我就只知道行善，我已经忘了化掉劫难的事情。”高僧合上眼睛说：“这就对了。为化劫而行善不是全善，为行善而忘劫乃为大善也！”佛法界说，有目的地去行善，不是纯善；无私、没有回报地行善，此乃真善也。我们人要懂得帮助别人，不要考虑自己。一个人没有有善良，人生就犹如荒漠，没有希望。没有学佛的人，人生就犹如黑暗，没有光明；没有境界的人，人生犹如迷宫，他会找不到方向；人生最快的脚步不是超越，而是持之以恒；人生最慢的脚步不是慢慢地走，而是犹豫不决；人生最好的大道，它不是大道，而是你要一步一步地谨慎走路；人生最险的道路，不是陡坡，也不是下坡，而是陷阱重重。
V-皮卡的皮,:刚刚在B站看步步惊心巧慧视角的番外，哭的稀里哗啦。我以为过了这么多年了，我的心理承受能力变好了，结果并没有
鲤鱼泡泡四季春,:说吃就走的那么大~甜筒！刚到车站就有公巴来~我O.O“这个可不可以坐？”逍遥哥哥哒哒哒跑去看站牌，又哒哒哒跑回来“可以可以！”刚刚好车靠站，快乐上车~感觉我们已经好久好久没有一起坐公交车啦，这种溜出舒适圈玩的感觉真好啊，私奔咯ヾ(❀●◡●)ﾉ滴~儿童卡我：你是不是很久没坐车啦？他：是呀，上次坐已经是年前了……去M记路上真是快乐到起飞~还一不小心走错兜了一大圈~点餐~大甜筒~因为觉得它太大了就只点了一个hhh付款的时候，逍遥哥哥意外发现自己一个8块钱的红包在5分钟前失效了！！！他又鼻炎流鼻涕，就一副小朋友丢了钱要哭的样子，呜呜呜www他是洗棉花糖的小浣熊我：你不要哭了……他擤鼻子：我真的要哭了……可能是太久没人来买大甜筒啦~M记小姐姐炒鸡兴奋，给了我超级多的巧克力酱和花生碎，多到都来不及凝固流了出来ﾉ)ﾟДﾟ(我小心地维持大甜筒的椭圆面和地面平行，依旧在吸鼻涕的逍遥哥哥亦步亦趋地跟在我身后。我把纸巾给他，想让他先擦擦鼻子。他接过纸巾却先帮我包住甜筒，提醒我先拍照这种互相想着对方的感觉太舒服了(◍´꒳`◍)我们坐在路边的长椅上，我一边吃一边看他生无可恋地吐槽他丢失的“巨款”，时不时给他喂上一勺甜一甜ฅ(̳•◡•̳)ฅ我：算啦算啦，不要为流失的巧克力酱哭泣嘛他整顿了一下：这个巧克力酱凝固前是什么温度的？我猝不及防？额，常温的？偏热的？和雪糕一混就是凉的啦ヾ(*´∀｀*)ﾉ吃完擦嘴的时候，我看着他的嘴唇越擦越红，想着等会偷偷亲他一口，结果我一放下纸巾，他就飞速凑过来啾住我・)3⁄(⁄⁄•⁄ω⁄•⁄⁄)⁄
北望衣上云,:自己不怎么吃东西，也不太想看见食物，结果一下班被朋友狂叫着开视频教怎么烙饼蒸馒头...教了半天，最后说，下次你直播一个烙饼蒸馒头吧
玛丽海伦张,:#王室同名公主系列#维多利亚篇~开篇来聊聊天选之女的母亲，萨克森-科堡-萨尔费尔德公主维多利亚，前莱宁根亲王妃，肯特公爵夫人，维多利亚有个名叫利奥波德的小弟（划重点）。维多利亚先嫁给莱宁根亲王埃米尔-卡尔做续弦（原配是维多利亚的小姨），生下一儿一女后七年，老公就挂了。当时威尔士公主夏洛特死于难产，英国发生继承危机，乔三的儿子们纷纷结婚，亡妻的利奥波德把姐姐介绍给了肯特和斯特拉森公爵爱德华，生下了天选之女——维多利亚女王，结果女儿出生半年后，老公又挂了。其实说欧洲岳母，这位维多利亚公主更称得上，毕竟还有儿子卡尔是莱宁根亲王，女儿费奥多拉是霍恩洛厄-兰根堡亲王妃，现在英国最大的一套紫水晶珠宝就是维多利亚带来的。
全景网,:#直击抗击新型冠状病毒肺炎疫情##值班一天发热门诊获9900元补助#【#领导干部拿一线防疫补贴#？这个时候要认清位置】原本准备公示五天，结果不到五个小时院方就被迫撤下。这其中一个很重要的原因是，很多人认为，一线医护人员获得的补助与他们所做出的贡献不相匹配，而不在一线的领导们拿的补助与他们的作用也不相匹配。一线医护人员拿的少，领导们拿的多了。一是医院院长、副院长等领导干部；二是医院各科室负责人；三是医院行政部门相关负责人。有的科室主任仅值班一天发热门诊就获得了9900元的补助。（第一财经）http://t.cn/A67NrF2O
假李白,:塔勒布的黑天鹅很难说是晦涩还是通俗易懂，只能跳着读，运气好的话，也有一些收获和共鸣。当谈到职业选择的时候，他更倾向于一些收入不具有突破性的职业，理由是：收入具有突破性的职业只有在你成功的时候对你是有利的。。这样的职业竞争更激烈，导致更大的不平均和不确定性。这个无非是强者恒强的理论，或者说杠杆只有在行情好的时候才是对你最有利的。投资最重要的事里面开篇讲的是第二层思维，就是如果你跟常人的思维一样，那么就是取得的常规的收益，如同职业选择不具有突破性收入的这种。不具有突破性的职业，更像是有效市场理论，所有的股票价格都已经是市场综合反映的结果，更像是普通群众。具有突破性的职业，比如比尔盖茨的微软、马云的阿里，边际成本递减，资本边际效用增强，都是很好的例子。
新华网,:【外交部：强烈谴责美方对中国媒体驻美机构进行政治打压】外交部发言人赵立坚3日表示，美国国务院基于冷战思维和意识形态偏见，以莫须有的理由对中国媒体驻美机构进行政治打压，中方对此坚决反对并予以强烈谴责，敦促美方立即改弦更张、纠正错误，中方保留做出反应和采取措施的权利。当日例行记者会上，有记者问：当地时间3月2日，美国国务院宣布自3月13日起，对被作为“外国使团”列管的5家中国媒体中国籍员工数量采取限制措施。中方有何评论？赵立坚说，长期以来，中国媒体驻美记者严格遵守美国法律法规，恪守新闻职业道德，秉持客观、公正、真实、准确的原则在美国开展新闻报道，专业性得到社会公认。“美方对中国媒体记者采取措施毫无依据、毫无道理。”他说，美方固守冷战思维和意识形态偏见，从登记“外国代理人”，到列为“外国使团”，再到以所谓限制人数为名，实际上限期“驱逐”中国媒体驻美记者，不断升级对中国记者的打压行动，严重干扰中方媒体在美开展正常报道活动，严重损害中国媒体声誉，严重干扰两国间正常人文交流。美方一方面标榜新闻自由，另一方面却对中国媒体在美正常采访进行干扰、横加阻挠，暴露出美方所谓“新闻自由”的虚伪性，是赤裸裸的“双重标准”和霸权欺凌。“当前中美关系形势下，美方此举将给两国关系带来严重的负面影响和损害。我们敦促美方立即改弦更张、纠正错误。中方保留做出反应和采取措施的权利。”赵立坚说。在回答有关美方称此举是为了实现“对等”的提问时，赵立坚说，中国从未对美国媒体在华机构和人员数量做出过限制，美国媒体来华人员数量是美国媒体自己的选择，不是中国限制的结果。“据我了解，2018年至今，美方已通过拒签、拖延签证等手段限制中方记者正常赴美。去年以来已有至少21人被拒签。此次美方一错再错，以所谓限制人数为名，实际上‘驱逐’中国驻美媒体60名员工，这对等吗？”赵立坚说，中国媒体驻美机构只有9家，而美国媒体在中国有29家。美国驻华记者在签证有效期内可以多次往返中国，而美方特别针对中国驻美记者采取歧视性措施，只颁发一次入境签证，这意味着中国记者任期内短期回国甚至包括探亲，也必须重新申请签证，并且每次签证费高达354美元，是中方收取费用的两倍多。“美方对中方搞‘对等’，也对其他国家驻美媒体搞‘对等’吗？”他说，美方张口闭口说对等，实质上是对中国媒体的偏见、歧视和排斥。“是美方先破坏了游戏规则，中方只好奉陪。”
滑板超好玩,:今天去挖桂花树，才发现这么小的镇子居然也有这么有情操的人，种了很多花草树木，是我向往的生活，有黑壳楠，银杏，紫薇，金边黄杨等等，还有各种果树，理想型生活啊，养花养树养狗养猫，但虽然感觉很美好，我特么脑子抽了，好好网课不上，跟他们去挖树，累死爷了，手都起泡了，简直疯了，尼玛四十多颗树，有病吧，他们在群里提问我特么在挖树，挖树也就算了，晚饭还要我做，可乐鸡翅卖相真的很烂，不过味道还行，（鸡中翅太特么贵了，28一斤），想吐槽的太多了，老大突然说想我了，我觉得我今天是不是闯鬼了，还是应该去买彩票，结果嘞，果然无事不登三宝殿，想要生日礼物了，还早啊，结果是看上了某件衣服，我佛了。理发店再不开，小爷真的要长发及腰了，老师居然说四月底五月初才能开学，我特么人都傻了，有病病？是，有新冠。害，明天上网课，一定不能再上着上着就睡着了，欠太多，补不回来，我可不是自觉的人。这两天和妹子玩，我特么老是忘记回消息，我可能真的比较适合单身，永远感觉失联，找不到人。
Kusava,:#黑芝烧[超话]#不用怀疑，这是我妈第一次做的蛋糕哈哈哈哈平时特别嫌麻烦的人愣是一早起来叫我帮她打发鸡蛋，家里没有打蛋器就你一会我一会轮着来[允悲]弄完了就忙前忙后一整天，没有白绵泡泡也没有烤箱，傍晚就放【蒸锅】开始蒸了，我心想这出锅了应该就是奶油馍了吧哈哈哈哈哈哈哈，妈妈当时还挺忐忑，结果翻面之后她可高兴了，就差原地跳舞了特别可爱！
热爱生活的马尾橙哇,:#愿你遇到的人都是温暖的#今天霸霸回家回的晚以至于我们开吃的时侯他还在wc，由于妈妈做的西红柿炒蛋特别好次所以趁着我弟去倒水的时候忍不住多吃了两口，回来后他看见盘子里三分之一没了(还有他吃的
张红超z,:【伊朗23名议员确诊新冠肺炎哈梅内伊下令军队协助防控疫情】据美联社报道，伊朗最高领袖哈梅内伊3日下令军队协助政府卫生部门防控新冠肺炎传播，令该国整体进入备战状态。哈梅内伊说：“任何有助于公共卫生和预防疾病传播的方法都是好的，而有助于传播疾病的东西则是罪恶的。”另一方面，伊朗国家电视台援引议员的话报道称，目前，有23名伊朗议员的新冠病毒检测结果呈阳性。截至目前，伊朗累计确诊新冠肺炎病例达2336例，死亡病例达77例。#新型冠状病毒#http://t.cn/RghlcLS
治愈系心理学,:你最欣赏的性格是什么样的？我以前支教的时候，班上有一个贫困生，当时那个男孩子只有十二岁，爸爸死得早妈妈跟别人跑了，留下他和年迈的奶奶相依为命。他每天一起床，就得先做农活挑水做饭，然后急匆匆的赶去学校上课，放学后又要去放牛割草，把家里的事情都忙完后才能写作业。一个十几岁的孩子，身体都没有发育好，却要和大人一样做农活，我曾经看过他割麦子的样子，带着一个草帽握着镰刀，一低头几乎就看不见他的人，烈日炎炎下他的动作缓慢却坚定，就像孤独的守望者那张插画。这个孩子成绩特别好，当时学校有两个数学竞赛名额，我把他报了上去，去市里考试需要一天，中午吃饭的时候我看到他拿着两个干瘪的馒头对着白开水在那吃，就把他带去餐馆吃饭，点了几个小菜，他却迟迟不动筷子。我问：你不饿吗，怎么不吃饭呢？他支支吾吾地说：我没钱。我拍了一下他的头：和老师一起吃饭，能让你出钱吗？快点吃，下午好好考试。他感激地看了我一眼，然后才狼吞虎咽，城市的一切对他来说都是新奇又陌生的，他兴奋地望着那些高楼大厦和电子屏，仿佛看到了新世界。那一次他发挥地很好，得了一等奖后县里还专门派人把奖状和奖品带到学校，其实也不是特别大的奖品，就是一块电子手表，估计也才几十块钱，但他把手表握得紧紧的，仿佛拿到了宝物一样。这个孩子沉默却不敏感，并不像一般贫困生那样容易自卑，我去他家做家访的时候，虽然早有耳闻他家很穷，但亲眼见到的时候还是被震惊了。这是一个怎样的家啊？就是黑黢黢的两间房，满是灰尘和杂物，唯一的电器就是一个黑白电视机，还是搜不到信号做摆设的。他却很大方的给我找了个椅子，然后从开水瓶里给我倒了杯水，像个大人一样招呼我。他奶奶拄着拐杖颤颤巍巍的出来，说这孩子从小就懂事脑袋也聪明就是命不好，两个大人都不靠谱，要我多照顾一下他。面对老人的嘱托，我只能红着脸点头答应，但我自知没什么能力，我也不过是个大学生而已，我能改变什么呢？我只能尽力去教他，我经常对他说，你想改变现状的状况，就要拼命读书，人要突破自己的逆境，就得拼了命的去努力。他也确实这样做了，他经常去镇里的书店看书，从他的村子到镇上，步行要一个两个小时，他早上出门可能中午才能到，有时候回来时天都已经黑了，他却不觉得疲倦，脸上往往有满足的笑容。这个孩子有两件事让我印象深刻，第一件是有个学生被牛给顶伤了，大概是那个学生调皮，故意去挑衅路边的水牛，结果牛发狂了用牛角把他给顶伤了，伤的特别严重，胸口都出血了。这个孩子看到后疾步跑过去扯住牵牛的绳子，把绳子系到一棵树上后把那个受伤的学生一背，飞一样的往村里医务所跑。结果受伤学生的家长赶过来，二话不说就给了他一巴掌，那个家长怒骂说肯定是他不好好牵牛把那学生给弄伤的，要是有什么问题要他偿命。旁边的小孩子连忙为他辩解，说那牛是别人家的，他只是帮忙救人而已。那家长讪讪的看了他一眼，却没有道歉，扭过头看受伤的儿子去了。他的脸都被抽红了，他捂着脸走出门外，然后蹲在地上哭起来。农村往往是这样，没爹娘的孩子活该被欺负。但是后面遇到这种情况，他还是会毫不犹豫地去帮别人，因为善良已经刻在了他的骨子里，他的奶奶经常教导他，要做一个好人，哪怕做好事受了委屈，也不是去当坏人的理由。第二件事就是村子里的大孩子要抢他手表，他当然不会给，大孩子就把他围起来打，下手也挺没轻重的，他的脑袋和下巴都出血了。有个大孩子打起性了，拿起一块砖头说：你到底给不给，不给我砸死你。他把手表护在胸前，眼神里满是倔强。那孩子说砸就砸，砖头砸在他胸口上，他闷哼一声眼泪都疼出来，却还是不肯求饶，我那时赶到现场，给了那大孩子一耳光，吼着说：你想做什么，把你爸喊来。那大孩子还还嘴：你给我等着，我爸来了打死你。我又给了他一嘴巴，他终于怕了，开始哇哇大哭，结果那个家长赶过来，因为我是支教老师又是大学生，村民都对我很客气，那家长给我赔了个不是就把那孩子拎走了。我把躺在地上的孩子扶起来，掀开他的衣服一看，胸前淤青了好大一块，我说：下次再有这种事，你先把东西给他们好了，老师事后会给你要回来的。他擦擦眼泪说：这是我最看重的东西，我不会给他们的。我这才想起来，这块电子表是他考试得奖的奖品，是他长这么大第一份荣誉，对于他而言，有着无可比拟的意义。我支教结束离开小学的时候，特意去书店买了几本书，然后送给了他，每本书上我都写了一些话，我并不能给他多少物质帮助，我只能尽力给他一些希望和勇气。七年过去了，他考上了南京大学，以镇上第一名的成绩，他还特意给我发了信息，说谢谢我当年的教导。我只觉得感动，因为我能想到这个成绩背后的艰辛，他读书时的每一分学费，可能都是省出来或者借来的，他的每一件衣服，可能都有补丁和线头，而在每一个寂静的深夜，他都会和恐慌不安做对抗，一次次给自己打气，鞭策自己拼命走下去。天行健，君子以自强不息，地势坤，君子以厚德载物。世上只有一种英雄主义，即是遭受了不公正的命运，认清生活本质后依然能无畏前行，作为一个老师，我感到惭愧，因为我从他身上学到的远比我教给他的要多。[文：SeaseeYoul来源：矢口乎视频来源见视频名：10秒教你画比心～[心]（简笔画）http://t.cn/E2CVVPr]
我不能再吃了喂,:今日份尴尬#买完车第一次加玻璃水打开机器盖子加完之后盖子放不下来了....还以为是自己操作不对以为有什么按钮
荆楚网,:【武汉交通局：#哈啰出行疫情期间违规投放被约谈#】据武汉市交通运输委员会官方微信3月2日消息，当前，新冠肺炎疫情防控正处于最吃劲的紧要关头，也正是全市上下全力防疫的关键时期。然而，上海钧正网络科技有限公司哈啰出行在既未向公安交管部门办理上牌手续，也未向市交通运输主管部门办理备案手续的情况下，擅自在武汉市青山、东湖高新、江夏、沌口等多个区域违规投放1000辆电单车，严重扰乱了共享单车市场秩序，被市民举报。经现场调查后，3月2日，武汉市交通运输局紧急约谈哈啰出行武汉地区负责人，并给其下达《责令整改通知书》，要求该公司立即终止违规投放行为，并于3月3日17:00时前，对已投放的电单车进行自行清退，限期整改到位。如逾期未清退的，市交通运输局将联合市公安交管局对违规投放车辆进行清理，并按照相关法律法规予以行政处罚。据了解，自2018年以来，武汉市交通运输局委托第三方机构对全市共享单车市场容量、单车企业服务质量信誉进行了评估和考核，并依据市场容量评估报告、企业服务质量信誉考核结果，对全市共享单车总量实施了多次调减，最终将2018年的103万辆共享单车调减到目前的58万辆。在去年度实施的第二轮共享单车总量调减过程中，哈啰出行因多次整改和调减不到位曾被武汉市交通运输局作出处罚4.5万元行政决定。#湖北加油武汉挺住#
叶绿体基质没我机智_,:我本来以为必挂无疑，考前只突击了两天文言文，结果没考，面试的时候一塌糊涂，最后老师说作者名字读错了，题目你都理解错了，然后狗子偷偷查了，我高中语文面试竟然过了！面试的老师们对我也太好了吧
J歪特扇扇J,:lqs相关存档——3.3Crisp巴德1p跑上路gank贡哥结果Q歪了—蜜蜂哭2p对面女枪开大lqs果断开隧道跑，出来发现ad没上车—“？”3p龙坑打团，lqs站在前面被贡哥的腕豪瞬间融化4p被抢龙—蜜蜂哭5p一颗爆炸果实残忍地分开了巴德和他的队友6p再次倒在贡哥铁拳之下7p（以前没注意过冰雪节皮肤这么可爱，不仅木灵是群小企鹅，穿隧道是只大企鹅）
社交指男,:许多人都会经历在人生的某几年被打击的抬不起头，大多数人开始不顺的时候，其实往往都是在感情受了创伤以后。心理能量骤然降低，干什么都没有力气。而有的人则是感情被破坏，男友给花钱花的好好的，结果因为其他人，钱也不花了，爱也不给了，感情天平失衡，自己也突然失去了支撑，变得很累很累，要自己去赚钱。有的心态不好的人甚至会自我怀疑，变得自卑。后来我发现，大多数人走不出去还是因为心里对突然不爱自己的那个人念念不忘。所以，今天要给大家介绍一个特别神奇的师傅给大家。这个师傅是茅山的道长，以前没被发现的时候，就给当地的女孩子做复合局，根据天时地利人和，结合个人的生辰八字布局，一开始没人信，后来发现布过局的女孩子们意外的又和自己喜欢的那个人在一起了，并且这个人比之前对她还要好。不得不说玄学真的非常神奇。他也不喜欢被太多人知道，免得惹人诟病，悄悄推荐给大家，如果大家心里有放不下的人，或者男朋友突然给其他人砸钱，不给你花了，都可以通过布局实现，我这边的几个朋友都是找的这个师傅！都在夸这个师傅太神奇了！另外做这个复合局的价格不便宜，一分价格一分货，毕竟人家口碑放在那里。百试百灵👉🏻fafazxing003
摸鱼陀螺,:卖安利苦手我本人，精神食粮方面基本没成功过。有个约0.01成功是大学跟朋友安利广播剧，当时想想把纨绔和不疯魔打包了一个1G超大文件u盘拷走的，结果朋友高度赞扬【了纨绔，后续我再接再厉的时候她表示这个剧的大礼包太绝赞导致别的都吃不下了。……我发现她是认真这么说的！！然后我又一个人寂寞听中抓了🙃
彤彤的心头肉,:我果然是本命绝缘体，买到现在了还是没抽到过果卡
三观很正的网友甲,:#酥妃#有肖战粉丝在的地方，没有人可以独善其身，任何人都免不了被其霸凌侮辱，任何小众的时候圈子都会被它们恶意放大，进而招致无妄之灾。我们完全有理由相信ao3并不是个例，而像是一个值得警醒的讯号，它在提醒我们这只不过是肖战粉丝进军各大小圈层的一种试探，如果任由其发展，结果显而易见，没有任何一个圈层能抵挡它们恶意欺凌又善于举报攻击和洗白营销的无耻行径。而肖战粉群体更像是一个集合了各种无耻卑鄙小人的垃圾收容站，在肖战这位“行业翘楚”的带领下，在网上各种“攻城掠地”，试问谁又能管呢？谁又能惩罚它们呢？
浮生小调,:#张震[超话]#今日份小细节6（完结篇2）（[二哈]又被限了，接上条。）灵汐寻念儿不着，却发现了长生结，开始还不敢相信。确定是自己长生结后。激动地四处寻找九宸，结果发现神尊在门口认女儿呢。出门相见，二人相顾无言，神尊一句“我回来了。”不知包含了多少艰辛啊！二人相拥的时候，神尊也一直深深的望着着灵汐，好像想把这么多年的思念全都补回来一样。完美大结局撒花
LC_yi嘻嘻哈哈我们富开心,:#R1SE#写给自己的一条微博，记录现在喜欢他们的我完全的赛后粉，一个比赛嘛结果总有争议，但从r1se成团那一刻起，每个人都是不可替代的，每个人都配得上自己的名次入坑呢，颜粉一个豪哥超新星上是真的帅到我了，但并没有过多关注吧，后来是一次意外看到了成团夜豪哥跳R1SE挺心动的，才开始去了解。一开始在B站上看了他们团综剪辑，不夸张的说我笑了一晚上没停过，一个个的[冰雪奇缘雪宝]想想还是很开心。作为限定团来说，灯牌是真的感动到我了，以前关注过另一个限定团吧，出道即解散是真的让我无语，每个成员对于统一灯牌的支持，对于宿舍叫家，提起粉丝他们大多数情况哪怕是个人出现的节目（除了一些是专门只对喜欢个人的粉的话）他们说的，写的都是‘十二’。超新星上镜头所在之地手势立刻出现，这并非说哪个的重量更大，而是他们真的在心底是一个团的。每个人了解过后都会爱上，不止性格，他们的实力也足够认可，创的时候就基本都在AB班还有好几个是被从A打下去的。假装自己是个常年团，团魂在团就在。R1SEyouandme
Top_Classberry,:完蛋，我好想去翻我十年前的杂志突然想起了以前把这些王道文杂志之类的全部锁到了衣柜里的柜子里（因为那几本是快🚗怕俺妈收拾东西翻到）超级怕被发现来着，还把钥匙藏起来结果……我想到我好像是藏到了一件粉色的羽绒服里面，但是十年前的……早扔了……晕了如果哪天打开了，感觉特别配一个狗血标题——“封尘数十年的秘密，一少女衣橱里竟藏着这些东西！”
慈悲喜舍如意,:问：早晨我念功课时候累了一打盹，梦到有人说：流泪的眼睛+妄语，突然哪天生癌症！我醒了，不知道什么是妄语，开始一遍又一遍回忆哪里做的不对，后来才想起婆婆来我家这个事情，因为我自从那天以后跟菩萨说我要尽我自己最大的能力对婆婆好！结果又没有做到！我连忙念了礼佛大忏悔49遍忏悔自己做错事，念到11遍的时候中间哄孩子累了睡了会，梦到自己在照镜子，看到自己好像没有穿衣服，而且腰椎的部位是黑青色的，好像是一块块补丁！答：这是他因为吹牛妄语已经受报了，必须要念诵礼佛大忏悔文诚心忏悔。——解答来信疑惑（七十九）
十七牵着mm看世界,:前几天因为某个问题跟朋友有争执，结果他通过我们共同的朋友要了我家地址，托朋友买了三只土鸡寄过来。昨天突然收到这个顺丰生鲜我简直一头雾水，后来在朋友圈发问，他才认领了。这……赔罪的方式挺特别的，但是能不能不要一下子寄三只啊？下次记得分期好不好？毕竟特殊时期我家冰箱已经塞满了一堆生鲜。
守夜人p,:#酥妃#只想说一句，肖战必糊。曾经的颜粉看着最近的事件瑟瑟发抖。227事件已经造成，结果已经放在那儿，对无关人员造成了巨大的伤害，把别人盘子里的蛋糕摔得一干二净。这时候真正应该做的事不是管好粉丝、道歉、反思、补救吗？拼命阴阳怪气的洗地只会引来更多的怒火，嘴上说着错了，脸上一副都是你们伤害我真的恶心。肖战将糊，这些自私的、只想甩锅的粉要背很大一部分责任。流量年年有，基本就两年的事，肖战演技一般般，唱歌一般般，舞蹈一般般，优势就是脸和人设，在这个娱乐圈中，不好好刷路人缘争取转型，还被粉丝拼命败坏口碑风评，能走多久，就看背后的资本还能砸多久。吃瓜路人真的看不下去了
你好请叫我阿毛,:今天去做了产检17w+抽血7只管，由于一直给护士小姐姐强调怕贫血尽量少抽一些，抽血一直默念“南无观世音菩萨”回来吃了东西有些头晕便睡下，中午熬了黄芪大枣（大枣8枚）红糖水，喝了两碗，又睡到1点多起来喝排骨汤，体力恢复，头不晕了结果要等，宝宝要健康，安心通过检查，这样我也不担忧了和好朋友聊天，好朋友让我念绿度母心咒，于是我打开来听昨天傍晚静坐片刻，持念观音心咒，静坐中得到暗示，每天早上一勺熟黑芝麻，晚上一碗骨头汤（九制芝麻现阶段吃不起了），孕最后一个月改吃白芝麻恢复体力，头不晕了，处理今天的工作
连淮徐盐,:【胜者同盟】日本新型冠状病毒感染者爆发的态势已经得到了相对有效的控制，因为日本的状况与其他国家还存在着很大的不同。作为国外一度爆发最为严重的地区之一，日本显然在疫情爆发之初，并没有做出让世界看到的积极动作。这原因主要在于钻石公主号邮轮上的感染者，毕竟这是本应属于美国的责任，却无情的甩锅给了日本，让日本接下了这个烫手的山芋。这使日本政府在其国内出现新型冠状病毒感染者之后，对钻石公主号邮轮采取了整船封闭的态度，结果导致日本出现了大规模感染不断上涨，大大增加了日本感染人数的数量。而最近日本之所以会出现病毒感染者增速减慢的状况，其实也是一个相对的过程。毕竟日本身边的韩国已经大大超越了日本，成为世界上海外疫情最严重的地区。进而凸显日本似乎在感染状况上，显得并不严重了。我们先做一个简单的对照，看看日本，韩国，伊朗和意大利这四个海外感染者最多的国家，他们之间的数据对比。截至当地时间3月2日上午，日本共确诊新冠肺炎病例962例，其中，705例来自“钻石公主”号邮轮，死亡病例12例；3月2日，韩国已经感染4335例，死亡35例；截至3月1日伊朗已有累计确诊病例978例，累计死亡54人；截至3月1日晚，意大利新冠肺炎累计确诊人数达1713例，累计死亡41例，重症患者83例。由此可见，日本的感染人数与伊朗几乎相当，已经远不如韩国和意大利的增长数量。而且日本的感染人数主要集中在钻石公主号邮轮，它占据了日本感染人数的80%左右。可以说，日本感染人数的逐渐缓慢，是相对于周边国家而言的，但是实质上日本的感染人数主要是来自于钻石公主号邮轮，一旦得到有效控制，接下来就好办了。日本社会当中的感染人数，显然是日本政府进行了有效的控制，才没有像韩国一样，在社会当中出现大规模爆发的态势。这是日本疫情爆发和防控的特殊之处。正是由于日本对于本土最快的防控，现在来看做的还是相对有效，没有出现大面积爆发和感染的态势，这样也的确在一定程度上减少了日本感染人数的增加。除非日本在这一数据上对外作假，那么就会导致实际的状况，远比现在要糟糕的多。不过问题就在于，日本未来还要举行东京奥运会，对于这种隐瞒感染状况的行为，终究是纸包不住火，早晚都得露馅，显然日本政府应该不会这么做。那么日本感染人数增长缓慢，这对日本绝对是一个控制病情蔓延的好事，毕竟这已经说明了日本已经出现了疫情控制的拐点。就像现在的我们一样，出现了疫情控制的拐点，加大了国内的防控力度，自然就能在可以预见的未来控制住病情的传播，甚至是彻底切断病毒传播途径。日本如果真实的做到了这一点，那么对日本政府来说应该算是可喜可贺，毕竟能够控制住病情的蔓延，这本身就是对日本难能可贵的事情！
沸点国际,:【#美疾控中心误将新冠感染者放走##得州第二大城市进入紧急状态#】据观察者网报道，新冠肺炎疫情在美国蔓延之际，一名曾在得州隔离的人士在解除隔离、活动轨迹遍布酒店、购物中心等多地后，被通报核酸检测结果呈弱阳性。美国疾病控制和预防中心（CDC）的这一纰漏，引发隔离点所在的圣安东尼奥市政府高度紧张，该市市长直呼对CDC的做法“不能接受”，并宣布全市进入公共卫生紧急状态。在此情况下，该市除了有权限制隔离人士进入，还可征用私人财产用于疫情防控。#城内城外#http://t.cn/A67Nh4ohhttp://t.cn/A67Nh4SF
写文的尼罗,:今天依旧是看一百年前的旧文章。讲的是当时报纸上常有男子登广告征女友，一般总是要求女友“二十上下、中学毕业、清秀温柔、不慕虚荣”，他愿和这样的女友共同生活，同时可以补助女友一点学费等等。作者说天下可有这样的女子，又有学问又有容貌，结果只为了几十块钱就和素不相识的男子为友？真有的话，只怕也是个下三滥一类。又批评这类登广告的男子，说“一个人在需要一种东西的时候，往往会忘了自己的身份怎样，只觉得人家是应该来的。应该凭什么来呢？那就不问了。”
