外汇原油黄金白银指导分析-燕儿,:原油回踩支撑之上，我们低多进场，成功自动止盈60+个点利润
新闻大连,:#大连战疫#【出行情况恢复咋样？重大交通项目何时复工？新闻发布会来了】按照大连市新型冠状病毒肺炎疫情防控指挥部的工作部署，3月3日，市政府新闻办公室召开新闻发布会，进行大连市新冠肺炎疫情防控工作第十一次集中发布，回答大家关心的热点问题：①大连北站综合交通枢纽、金普城际铁路计划一季度复工；②取消高速公路和普通公路33个检查点；③大连国际机场安装隔离防护装置，工作人员与旅客物理隔离；④大连火车站等按需恢复列车开行等。详情→http://t.cn/A67pZfwQ（采集：毕重伟）
梓邜,对不起各位暴发户，我也是暴发户，看我微博就知道了。因为目前我母亲发现恶性肿瘤，乳腺癌脑转，但是因为疫情无法住院，所以占用毛毛一点资源，请求帮助，肯请各位体谅，也请大家帮忙，玩不想没有妈妈！！！求求大家了。【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，大恩大德没齿难忘！
哈铁哈尔滨南站,:#抗疫进行时#【疫情当前，党员做到”五当先“】在抗疫期间，哈尔滨南站党委要求广大党员要认真履行岗位职责，做好自身防护工作的同时，做到“五当先”，即：在疫情防控第一线上要当先，在处置特殊情况时要当先，在服务群众上要当先，在保证运输秩序上要当先，在确保运输安全上要当先。
Lo娘嘀咕嘀咕,:【投稿】各位百毒不侵草莓大福好，我想问一下，我刚刚在咸鱼转了别人的定金，直接拍付的，卖家妹子说之前还有个妹子也要，就是拍下不付款，也不知道到底还要不要就被我直接拍了，页面也没有说hold，卖家自己也没搞清楚情况，那这样子是我的不对吗？我怕之前那个妹子迁怒卖家说她跑单…
孝感百事通,:#孝感爆料#【#微信群聊疫情瞒报系主观臆造#】近日，一则从微信群聊中传出的关于湖北孝感某地疫情瞒报的消息引起广泛关注。对此，孝感市云梦县疫情防控指挥部迅速组织专班进行调查核实。经查，这段对话系群内人员主观臆造，反映情况不实。　　据云梦县疫情防控指挥部调查，“众乐乐”微信群是一个同学群，有38名成员。针对群聊中说的“从现在开始，确诊人员每天数字都会是零，官方上面公告不能再出现病例，否则追责”，被调查人员表示：“这段话没有任何依据，属开玩笑，没有核实，也没有看到官方公告。”针对群聊中说的另外几个问题，被调查人员均表示是开玩笑，没有真实依据。　　云梦县疫情防控指挥部表示，将继续全面深入调查，严肃查处涉事人员；坚决落实疫情防控要求，实事求是上报疫情，瞒报疫情等行为要追究刑事责任。@孝感同城
Lo娘嘀咕嘀咕,:【投稿】各位百毒不侵草莓大福好，我想问一下，我刚刚在咸鱼转了别人的定金，直接拍付的，卖家妹子说之前还有个妹子也要，就是拍下不付款，也不知道到底还要不要就被我直接拍了，页面也没有说hold，卖家自己也没搞清楚情况，那这样子是我的不对吗？我怕之前那个妹子迁怒卖家说她跑单…
宁夏外事,:【请在伊朗中国公民及时登记个人信息】为及时向在#伊朗#中国公民提供领事保护与服务，并为紧急情况下协助我公民回国提供数据支持，请所有在伊中国公民通过微信程序扫描以下二维码，填写个人信息。
孝感百事通,:#孝感爆料#【#微信群聊疫情瞒报系主观臆造#】近日，一则从微信群聊中传出的关于湖北孝感某地疫情瞒报的消息引起广泛关注。对此，孝感市云梦县疫情防控指挥部迅速组织专班进行调查核实。经查，这段对话系群内人员主观臆造，反映情况不实。　　据云梦县疫情防控指挥部调查，“众乐乐”微信群是一个同学群，有38名成员。针对群聊中说的“从现在开始，确诊人员每天数字都会是零，官方上面公告不能再出现病例，否则追责”，被调查人员表示：“这段话没有任何依据，属开玩笑，没有核实，也没有看到官方公告。”针对群聊中说的另外几个问题，被调查人员均表示是开玩笑，没有真实依据。　　云梦县疫情防控指挥部表示，将继续全面深入调查，严肃查处涉事人员；坚决落实疫情防控要求，实事求是上报疫情，瞒报疫情等行为要追究刑事责任。@孝感同城
天府之国福音,【中国有企业为美化复工数据全天开着空调电脑耗电】中国媒体今天（3日）引述杭州市某街道工作人员说，中央层面检查组2月29日起，将以街道用电量来考核复工率，合格指标是企业用电量须达到1月8日用电量的75%，而在3月10日起，企业用电指标要达到1月8日用量的90%以上。为达到上述目标，部分工业企业被要求全天开机器，办公企业被要求全天开空调电脑。（到联合早报网阅读全文）
邢炜璇,:任嘉伦语录：“凡事在努力的情况下，顺其自然，不要太计较结果，但是也不能不尽力，这样自己就绝不会后悔。”我真是爱死任嘉伦和谭松韵了！！！
中青广西校媒,:#桂小妹有话说#【#青年战疫#老师喊你上网课，一个也不能少！】在疫情防控工作压力巨大的现实情况下，网课成了全国中小学生的“必需品”。但是，并不是每个学生都能轻松享受到网课带来的便利，那些物质条件较差，缺乏网络、电子设备资源的孩子，想要跟上网课的节奏并不容易。根据不同情况，基层政府也应该做好相关工作，保证疫情时期每一个孩子的受教育权不受损害。（黄帅）http://t.cn/A67NQmQp
月芽村小小村民,:#泰国隔离#可是现在境外的情况不容乐观阿
早生貴子WaseTakako,妈耶！！！！！好疼！！！！！没有爱了！！！！小心心折了！！！！！
亚离日记,:异地登录也退了，密码也改了，还是天天被买赞。冷抖泪，这个微博还能不能好了，我到底要怎么做，才能停止被买赞的情况
节奏英语海外考团,:#东南亚雅思考团##泰国雅思考团#3/5和3/7两场考试的同学已经顺利到达曼谷并未出现需要隔离的情况希望同学们在曼谷能够和节奏一起收获一段愉快的时光
南京林业大学,:#与林分享#【如何停止过度思考？】我们的大脑非常活跃，但有时候我们会过度思考，导致自己产生许多不必要的焦虑。他人的一个反常举动，或是一句我们不太理解的话语，都有可能让我们焦虑很长时间，很多时候，这种现象都来源于我们自己过度的解读与过度思考，我们可以怎么样避免类似的情况发生，减少自己的痛苦呢？viahttp://t.cn/EcNewcV
浪费_____,:人在不清醒的情况下评论别人的朋友圈，估计自己都不知道说的啥...
爱的飞行日记26,:年前日本分公司就寄到上海支持上海公司的好几箱口罩😷现在看日本这种情况，是不是要寄回去
浪费_____,:人在不清醒的情况下评论别人的朋友圈，估计自己都不知道说的啥...
爱的飞行日记26,:年前日本分公司就寄到上海支持上海公司的好几箱口罩😷现在看日本这种情况，是不是要寄回去
小绵羊_Nana,某立委：我们2300万人交的健保，要让１４亿使用，台湾人不能接受！
成都-LIFE,:【原来5元机票只是系统bug，#去哪儿网回应5元机票#：系统故障
鲍伯快快乐乐918,:这物业牛啊，不让聚集，他们公然挑衅国家，滨湖二期物业费没有收费依据！大伙去有关部门反应情况！不聚集大伙都没有活路了啊保定·涞源县鲍伯快快乐乐918的微博视频
是俩俩,:前两天看密室逃生那个电影，吐槽人设套路跟同类型片太相似了，勇士天才废物小人组合跟心慌方都差不太多，然后思考这类型的片该怎么做人设创新呢？哎，要不就五个废物吧，五个废物一起密室逃生，想想就很有新意嘛。后来反应过来有新意个屁，这不就我跟朋友们玩密室逃生的情况吗
繁星闪耀us367,:政府债券是利率保持机制和货币发行机制的一部分，但是在开放经济的条件下，对于一个有着财政盈余和大量外部融资来源的经济体来说，一些类似于国债功能的工具，比如央票，却不具备货币发行机制的功能，有些学者把中国的央票等同于国债，这是误导性的，因为它仅仅是利率保持机制的一部分，这种情况下的货币发行机制转变为了通过获得国外金融资产来发行。
紅茶與刀,:并不知道cast有樱井孝宏的情况下看番突然出来个男四男五男六一开口是他声音也太nm刺激了心脏突突突突突突突突突
MaggieZyun,【#武汉被打配菜员发声#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉@紧急呼叫称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。@新京报我们视频http://t.cn/A67NqDUi
摘星九,:郭德纲：远离那些不分情况劝你一定要大度的人
暗涌sukuk,:2020年3月3日星期二天气雨今天一天都在下雨，大家都待在家里看电视了。奶奶给我打了个电话，询问了爷爷的伤势恢复情况，一直叫爷爷去打针
邵公馆佛跳墙,:听说厦门已经复工80%了，难怪高峰期进岛的方向开始恢复堵车的情况，战胜病毒后就是拼经济了#中国加油##不可辜负的美食#厦门·邵公馆金牌佛跳墙邵公馆佛跳墙的微博视频
橘子林哒小魔王,:全靠邻居们接济让我可以在交通不便利的情况下吃到冰淇淋蛋糕🍨
天空中飞翔的小月亮,:马上就要拆牙套了。想当初大牙牙尖对牙尖咬合每天照镜子都被丑哭，不仅如此还有咬合关节响，活得自闭的日子终于结束啦。还好找到@广州牙齿正畸君推荐去了广州车陂美年口腔、协大口腔、贝朗口腔，现在面型和咬合都得到提升，不再有不对称的情况！真的活出了漂亮的自我，真香！#广州牙齿矫正##广州后牙咬合不上#
NeoYang陆战队,:#杨紫[超话]#速报总结zmjj辛苦了！过万过万
千云妮,:【两分钟入睡的“海军睡眠法”如何用？】大名鼎鼎的“海军睡眠法”是二战时，美军为提高作战效率，发明了可以在两分钟内，快速入睡的方法。高风险职业往往伴随失眠焦虑，但不保证睡眠质量，很容易出现萎靡不振、注意力无法集中的现象，在特殊时期是致命的缺陷。我们如何把海军睡眠法，分解成5个步骤，在两分钟之内，快速实践呢？①.找一个舒服的姿势坐好或躺好，保持放松和舒适。②.闭上眼睛，将面部肌肉都松弛下来，并缓慢呼吸，先把面部肌肉舒展。③.随着缓慢呼吸，感觉到肩颈，再到手臂，腹部，逐渐出现的无力感。④.放松下半身，从臀部到大腿，到小腿，再到双脚，体会下半身沉甸甸的感觉。⑤.在最后10秒内，清空你的大脑。如果控制不了，就对自己暗示“不要思考”。在高压情况下快速入眠，是一种非凡能力，它会使你的发挥更加优异。最近入睡困难的朋友们，今晚要不要试一试，这个流传已久的“海军睡眠法”呢？http://t.cn/AinqTeLF#睡眠健康##健康##医学科普#
小黑课堂计算机二级,:【集中回答关于保过秘籍的问题】1.何时发货在此先对大家说一声抱歉！因小黑课堂总部位于湖北，而受疫情原因影响湖北省快递全省停运。前段时间小黑课堂已联系到快递方，快递方表示要等到3月底。2.如何修改地址需要修改地址的小伙伴请填写此链接：http://t.cn/A6P3Em8C请注意，修改地址需保证姓名和电话与之前的一致。目前预计3月底发货，发货前可多次填写发货时将以最后一次填写的信息为主。3.如何退款如有特殊情况需要退款请联系微信：xxy19981117xxy昵称：安请说明原因并提供姓名电话地址以及付款截图即可。#小黑课堂计算机二级[超话]##计算机二级##计算机二级[超话]##跟小黑老师学计算机二级##计算机二级office#
新京报车研所,:【广州2020年购买#新能源汽车#可享1万元补贴】3月3日，广州市人民政府对外印发《广州市坚决打赢新冠肺炎疫情防控阻击战努力实现全年经济社会发展目标任务的若干措施》（简称“《措施》”）。其中提到，2020年3月至12月底，对个人消费者购买新能源汽车作出最高享受1万元补贴，对置换或者购买“国六”新车的给予3000元补助。《措施》指出，2020年3月至12月底，按照鼓励技术先进、安全可靠原则，在使用环节对个人消费者购买新能源汽车给予每车1万元综合性补贴。推进汽车更新换代，对置换或报废二手车的消费者，在广州市注册登记的汽车销售企业购买“国六”标准新车，每辆车给予3000元补助。据悉，广州市是继佛山市后，第二个在新冠肺炎疫情后推出鼓励汽车消费政策的城市。《措施》还提出，为提振汽车消费，针对疫情期间广州市民自驾通勤的需求，加快推进落实2019年6月明确的新增10万个中小客车指标额度工作，并视情况研究推出新增指标。
晶是晶莹的晶,:在这种国际形势和病毒疫情都紧张的情况下，无论是举报的，卖惨的，不死不休的，咄咄逼人的，都…好…无…聊…啊…，疫情让大家都太闲了，有那么多时间不如多拜拜，祈祷国泰民安，前面有人遮风挡雨，后面却乌烟瘴气！仿若一盘散沙！（不以任何身份，就以一个中国公民的身份阐述个人观点，别连带，谢谢）http://t.cn/A67phLI3
狂熱崇拜不過螻蟻,:张文宏医生接受ChinaDaily专访时被问及新冠病毒是否最早从外国传入，他的判断是：“No。中国只有武汉最先出现了这个新冠传染，如果是外面传到中国来，应该是几个中国城市同时发病，而不是有时间先后。”对于病毒起源的寻找，对于“零号病人”的寻找，一方面很重要，因为对于新发传染病来说，这能够为病因分析、传染链分析、控制措施、预测预警机制的建立提供关键的信息。但是另一方面，香港大学李嘉诚医学院教授金冬雁认为：“SARS、Zika病毒也没有查出什么零号病人。如果零号病人死亡，以我国的情况很少可能留下可供检测的样本，如健在，病毒也已清除，基本上是无法查明。”有关新冠病毒起源的这六种错误假说就分析到这里，希望能够帮助大家在纷扰中看清真相，避免被带到沟里去。阴谋论只是茶余饭后的想想罢了
狂熱崇拜不過螻蟻,:早期有两条路径，武汉至深圳，武汉至美国。亚洲五个国家分别从武汉和深圳传入。大洋洲的都从武汉传入。比利时和德国的从武汉传入。英国和武汉间接相关。法国的单倍型来自重庆、武汉和一个中间传播者。美国的传播途径比较复杂，存在多条路线，包括武汉-美国（H1，H19，H38），广东-美国（H19，H35，H42，H41，H58），越南-美国（H54），澳大利亚-美国（H56）。美国最早的这13例，基本上都是从中国过去的学生和刚刚从中国探亲回去的华人。可见，武汉以外地方的感染，包括美国，全部是输入型感染，直接或间接从武汉输入。当然这只能反映截止到这篇论文研究日期之前的情况。现在世界各地的情况已经和前一阶段大不相同了，国外本地人传人已经出现，甚至已经出现无法溯源的病例。之前美国报道了第一例。伊朗、意大利等国从一开始就不知道源头，之前已经分析过了，给定这个病毒的特性以及这些国家的特性，这也并不奇怪。这个研究还推论得出，新冠病毒曾出现过两次明显种群扩张。根据研究样本中的基因组数据推算，12月8日和1月6日，新冠病毒基因曾有过两次明显的种群扩张。论文认为，如12月8日的这次扩张确实存在，则可在一定程度上能够证实该病毒在12月初甚至11月下旬就已经开始人际传播。另外，这个病毒目前没有出现基因重组。在病毒源头方面，这个研究得出的结论是，根据病毒样本基因组分析，新冠病毒起源于武汉，但并不在华南海鲜市场。由于华南海鲜市场人流量大，拥挤的市场促进了病毒的传播，但不是病毒的源头。那么源头究竟在哪里，还有待进一步研究。
细雨梦回桃花源,:猝不及防的阻击战，往往伤亡率是最高的。@凤凰网【广东援汉医生：汉口医院呼吸科整个科室几乎全军覆没】疫情防控中，广东省先后派出275名医护人员，紧急支援汉口医院呼吸六区、呼吸七区。大年初一他们刚到的时候，病区一团乱麻，卫生没人打扫，满地都是医疗垃圾。当时呼吸科几乎全军覆没，ICU的7名医护人员病倒6个，院领导也倒下好几个，呼吸七区病区内住院的约1/3是本院员工。在全体医护人员的努力下，最近两个星期情况越来越好。°
康拿建,:虽然能够李姐有人希望开学，但我本人真是看到开学就很想跳楼...人的聚集地真的很可怕，人一多就很焦躁，独自走班的时候双腿会软掉，在学校里的时候我的大拇指就被我扣得从来没好过，严重时候会血流不止...（在这里非常感谢熟悉我和我熟悉的各位，和各位在一起的时候会从非常焦躁的情况变为不那么焦躁的情况）所以网课就太好了，不用见人就可以接收信息...虽然大家在讲“什么时候开学啊”“快点开学吧”的时候我会“嗯嗯”“对啊对啊”，但其实在默默扳手指算算我离我的死期到底还有几日
冯晓青知识产权,:我国涉外知识产权保护中的协调与信息获取机制研究©《关于强化知识产权保护的意见》的解读（之八十四）前面对我国知识产权海外维权援助机制及措施进行了探讨。我国在加入世界贸易组织以后，随着经济全球化和国内市场的国际化以及国际市场的全球化，越来越多的企业需要走出去进行国际化经营，开展国际竞争。在这种全新的国际竞争背景下，我国企业不仅需要在国内有效地制定和实施知识产权战略，也应当制定和实施国际知识产权战略。我国企业的国际知识产权战略侧重于在全球范围内进行有效的知识产权布局，通过知识产权的有效保护和运营，提升企业的知识产权运营能力水平和国际竞争力。如前所述，我国知识产权在其他和国其他国家和地区的保护较之于在国内的保护具有一定的困难。为了有效地解决在国外发生的知识产权侵权纠纷，有效保护我国知识产权和相关当事人的合法权益，需要建立健全涉外知识产权协调和信息获取机制。通过建立协调机制，有利于整合国内外的相关资源，助力我国知识产权在国外的有效的布局和保护。建立信息获取机制，则有助于我国知识产权和相关当事人了解相关国家和地区的知识产权保护状况和动态，特别是发生侵权纠纷时的相关信息沟通，以便于根据案件发生的情况采取有效的对策。正因为我国建立涉外知识产权保护协调和信息获取机制的重要性，《意见》在“（十五）健全协调和信息获取机制”中指出，要”完善涉外执法协作机制，加大工作协调力度，进一步加强我国驻外使领馆知识产权对外工作。选设海外知识产权观察企业和社会组织，建立信息沟通机制。健全重大涉外知识产权纠纷信息通报和应急机制。组织开展我国企业海外知识产权保护状况调查，研究建立国别保护状况评估机制，推动改善我国企业海外知识产权保护环境。”对于《意见》的上述规定，本人认为，以下问题值得研究：其一，充分认识建立涉外知识产权保护协调和信息获取机制的紧迫性与必要性。前面探讨了我国知识产权涉外保护协调和信息获取机制的重要性。从目前我国涉外知识产权保护的形势和面临的问题来看，建立社会知识产权保护协调和信息获取机制，具有十分的紧迫性和必要性。近些年来，随着我国经济社会的发展，特别是科技创新能力的提升以及企业特别是国际化企业实力的壮大，企业不仅需要在国内知识产权进行有效的保护，有效实施知识产权战略，而且需要具有国际视野，启动实施国际知识产权战略。当前，我国已经成为名副其实的知识产权大国，知识产权申请授权后的数量在世界上名列第一，特别是较之于前些年的数据，近些年来我国企业和其他主体在国际上申请获得的知识产权数量也日渐增加。知识产权是一种对市场进行控制的法定的权利，拥有具有竞争力的知识产权，能够有效地开拓市场，并获取市场竞争优势。相反，如果缺乏具有竞争力的知识产权，这在国际市场竞争中很容易处于被动地位。过去我国在VCD产业领域产业走向国际化，就存在严重的教训，由于我国企业缺乏核心知识产权，结果在西方国家联合围堵之下市场份额受到重创。我国企业在国际市场上如果缺乏有力的知识产权，就无异于赤膊上阵，与专披上专利“铠甲”的其他国家和地区的企业在市场上进行竞争，很难获得胜利。我国企业在海外日益增多的知识产权，也需要像在国内一样获得充分有效的保护，否则就很可能因为知识产权保护不利而缺乏市场竞争力。从近些年来，特别是近几年来，我国涉外知识产权在海外保护的情况来看，我国知识产权保护的必要性越来越强。过去，由于我国在海外知识产权的数量非很少，整体上企业的国际化程度也不高。所以，尽管在早一些年我国知识产权在海外被侵权的情况也同样存在，知识产权在海外的保护的问题并没有提上议事日程，并得到充分的重视。如今，不仅仅是我国在海外知识产权数量日益增长，更主要的是我国企业不断国际化，不断走向国际市场，而越来越需要利用知识产权在海外的有效布局和充分的保护，提升我国企业在国际上的市场竞争力。随着国际竞争的加剧，我国企业势必在海外会遇到知识产权相关纠纷。此时，如何通过建立有效的沟通与协调及信息联络机制，就变得十分重要。相反，如果我国企业和相关主体对在其他国家和地区的知识产权保护制度和知识产权保护环境，对发生知识产权侵权后的相关信息不能及时掌握，就会在相当大的程度上影响我国企业采取合适的相关知识产权政策的决策以及科学、合理的知识产权布局，不利于我国企业知识产权有效的国际保护。因此，可以认为当前我国加强涉外知识产权协调与沟通以及信息获取机制的建设，具有十分的紧迫性和必要性。（待续）（撰写：中国政法大学冯晓青）（2020年3月3日，晚上9:36）（版权所有侵权必究）
練氏成峰,:#成峰一句话#不知道你们有没有遇到这样的团队。那时的你们的团队摸约6-7个人，团队中有在寻找对象的，有单身的，有感情稳定的，几乎除了领导以外都还没结婚。那时的你们有着相仿的年纪，相似的经历，相同的爱好。每天可以在办公室，在群聊一起吐槽着各自的客户，公司的老板，明星的八卦，生活的琐事儿。那时的你们即使加班到深夜也会相互打气，互相支持。因为甲方爸爸的一句话，一起挨批，一起扛锅。也可以把同事外卖话不多说的来吃两口，而同事并不介意。如果有，请珍惜你们这段不易的共事情谊，或许他会因一个不起眼的工作调动，而把原来的团队改变得面目全非。我们的人生这样的情景多数情况下只会出现一次，很难再遇到这样的时光。时间过去，我们再去回味当时，是如此的淳朴，纯真，热情，热烈以及热爱。感谢，致曾经共事过的你们，我们。
江西五套,:#江西全力防控新型肺炎##爱心守望情暖赣鄱#【连线丨江西专家为随州打造了一支“永不带走的医疗队”】3月3日15时，江西省新型冠状病毒肺炎疫情防控工作新闻发布会（第十七场）在南昌举行。发布会现场视频连线了正在湖北抗“疫”一线的江西省支援随州市前方指挥部指挥长、省委统战部常务副部长陈敏和江西援随医疗队随州市中心医院重症医疗组组长、九江市第一人民医院重症医学科副主任邹颋，他们介绍了江西省对口支援湖北省随州市新冠肺炎防治工作情况和江西援随医疗队在随州市中心医院救治工作情况。@随州日报@随州市政府门户网站（江西日报）http://t.cn/A67NgIje
Hijm-,:
美貌嫦娥,:#西游记[超话]#当年很多人在看到龙宫的时候，都觉得非常震撼，琼楼玉宇，金碧辉煌，大家也一度以为这是实景拍摄，但其实在那个年代，艰苦的条件并不允许这样做，所以剧组非常智慧，想了一个非常好的办法。事实上，我们所看到的龙宫只不过是一个随处可见的鱼缸！在拍摄过程中，鱼缸里放满水生植物，再往里面吹气泡，演员就站在鱼缸后面，得知真相的我，不得不向老艺术家致敬。不得不说，杨洁导演和剧组人员为了这部剧真的是呕心沥血，在没有先进的特效，齐全的设备的情况下，成就了一部艺术作品
Zavia-9908,:哇，真的不想说，看了那么多预测帖子，不能总想着自己吧
YOON-SUGA,:我愿意放下我自己心里对于人设的幻想和滤镜加成去更贴近更努力的认同、识别人的本质或者接受一个人身上曾经经历和背负的一切愿意相信之前的他已经过去并且就是他的一部分更愿意放心的期待跟随以后的他这对我这种金双鱼来说很难很难诶。因为我好像是靠对于幻想中的人设活着的一定程度上来说拒绝了解别人真实的自己很不礼貌但是在“不了解真实的别人”也没有什么损失的情况下我是不会改的只有那种愿意让我打破滤镜看清和明白某些暗处但还是有了解欲望的人是我比较费心的人了。高中时候我有过这样的经历诶就是无论她们是否存在着某些我不了解的阴暗面我也愿意有着撕破滤镜式的坦荡很需要勇气也很需要确定“面对对方的真实”的那个对方是值得的。爱可以战胜怕战胜滤镜破碎之后人设背离幻想之后的怕接受真实是一种很不容易做到的事情尤其是既能坦荡的面对自己又可以坦荡的接受他人。
Gray_Night,:作为吃鸡深度玩家，从1月底开始，由于无法再忍受苹果英特尔基带糟糕信号带来的游戏体验。于是乎萌生了买款安卓手机当副机的念头。正好疫情闲赋在家，开始对多年不管不问的安卓机市场情况进行了深入的了解。明确了自己的需求：信号好+5G+2K屏+高刷新率+肩键+865，主要就是吃鸡用。当时市面上没有一款手机符合全部需求。这次的黑鲨手机符合我的全部需求，而且还有牛逼的深度优化、牛逼的内置外挂
大雕车,:【发现女儿被打冲进教室打幼师】2019年11月21日，湖南李先生送5岁女儿上幼儿园，担心孩子哭闹，他站在教室外看监控屏，突然看到老师打了女儿一耳光。李先生冲进教室扇了老师一巴掌，他要求回看监控，没想到老师还用围兜蒙住女儿的头摇晃。这时，李先生再次对老师拳打脚踢。如果是你的女儿遇到这种情况你会怎么做？
大爱儿科伍医生,:481，3个月龄的宝宝里程碑式发育：抱坐时头挺直，俯卧时头能抬起；能张开和握紧手；把脚放在坚硬的平面时会向下蹲；会用手摆弄悬挂在面前的玩具；会认真地观察人脸，眼睛会跟踪移动的物体；听到大人声音会笑；开始牙牙学语发声；如果孩子3月龄还做不到以下情况，需要立即就诊：听到剧烈声音没有反应；不会注视人脸，不会追视移动人或物；不会抓握东西；不会对人笑，逗引时不会发音或不会笑；俯卧时不会抬头；
中国搜索,:#新型冠状病毒感染肺炎#【微信群聊“疫情瞒报”？湖北云梦调查：系主观臆造】近日，一则从微信群聊中传出的关于湖北孝感某地疫情瞒报的消息引起广泛关注。对此，孝感市云梦县疫情防控指挥部迅速组织专班进行调查核实。经查，这段对话系群内人员主观臆造，反映情况不实。　　据云梦县疫情防控指挥部调查，“众乐乐”微信群是一个同学群，有38名成员。针对群聊中说的“从现在开始，确诊人员每天数字都会是零，官方上面公告不能再出现病例，否则追责”，被调查人员表示：“这段话没有任何依据，属开玩笑，没有核实，也没有看到官方公告。”针对群聊中说的另外几个问题，被调查人员均表示是开玩笑，没有真实依据。　　云梦县疫情防控指挥部表示，将继续全面深入调查，严肃查处涉事人员；坚决落实疫情防控要求，实事求是上报疫情，瞒报疫情等行为要追究刑事责任。（新华视点）
门前树2008,:【#腾讯回应健康码无法微信打开#：吱口令触发外链管理规范，已经解封】3月3日，多个城市的健康码出现无法在微信端打开的情况。健康码技术提供方阿里方面称，“原因是微信全面封杀钉钉的域名，造成浙江等24个省市的健康码在微信端无法正常访问。”3日晚间，腾讯方面回应称，已经解封了。“其实就是个技术问题，之前是因为一些码附带了一个口令类信息“吱口令”触发了微信的外链管理规范。已跟阿里沟通，对方也调整了，所以外链已经恢复。”http://t.cn/RJZk0ky
红色的戾龙,:说句实在的，自认为自己真的是一个非常矛盾的人。自尊心强，但性格上又不是那么强硬，自己喜欢的东西说出来感觉会被别人当成装逼，因此在大部分情况下愿意把自己掩饰起来，显得自己软一点比较好。老是担心自己会不会给别人带来麻烦，对家人也是，从小到大貌似生病了也不敢说，怕麻烦家里人（这种想法真是太不好了），长大了这么多年也没改过来。20岁了之后，感觉到自己的喜好自己生活状态不太容易和别人合得来之后，将自己掩饰的更深了。我真的很少责怪别人，大概是因为觉得自己本来也有一些缺点，自己的缺点还没来得及改正，怎么好要求别人去改。人们总是非常精确且容易地发现他人的弱点，这点我毫不怀疑，甚至家人之间也是如此。我避免和别人发生争吵，我害怕自己伤害到别人，我对自己曾经说过的话自己做过的事总是耿耿于怀，我很容易责怪自己的过去，所以我没有太多的美好的过去的想法。如果说每个人容易发现他人的弱点，那么我应该是那种很容易发现自己的缺点的那种人吧，甚至有人夸我我的第一反应不是开心，而是怀疑以及害羞。同学总说我是性格很好的那一类人，会安慰人，会对他人提出建议，别人开玩笑也只会在那里笑。其实呢，我真的有一点不太开得起玩笑的说，我很介意别人那样讲，但是我总是怕伤到别人，所以也许那种笑，其实是对自己的一种保护机制也说不定。
熏风熏风,:#熏风的近期计划汇报#本周会发布的新品图透：1.夏服水手服套装「蝶夜中」2.刺绣角襟长/短袖基础款刺绣衬衣「月华学园」2020格裙：胭桃大货面料生产中黑桃A近两天会发布手织样，并进行大货面料的订制四度莓手织样二版调色中其他格型也在打样or调色中金郁女子：正常进度制作中，3.20正式开放尾款（会提前三天短信/企鹅禁言群/wb通知）补款周期一个月，付款后无特殊情况五个工作日内发出雾霭砂砾：确定四月上旬开始出货夏季小全套系列：栀知高，三月陆续图透
