肥鱼鳞,:#日本福岛核禁区解禁#快去住快去住，核辐射能抗击新冠病毒，不信你们去试试
微博校园风云榜,:#抗击疫情高校在行动#【高校学子原创抗疫歌曲《樱花》为人们送上祝福
南海卫生健康,:#抗击新冠疫情南海在行动#【采样游击队：与病毒面对面，无畏无惧】社区是阻击疫情的重要防线，核酸采样检测是目前早发现新冠肺炎病人的有效手段。因此，如何准确采集咽拭子标本，就成了确诊病例里最重要的一个环节。在这个特殊时期，一支支“采样游击队”临危受命，对辖区内“三类人员”（居家隔离人员、集中观察人员、养老机构人员）开展新冠病毒核酸咽拭子采集工作，大沥社区卫生服务中心预防保健科就是其中一支。http://t.cn/A67WrUoH
兰州晚报,:【我省新冠肺炎应急响应机制研究取得初步进展】来自甘肃省科技厅全省应对新型冠状病毒（COVID-19）感染的肺炎疫情科研攻关专家组的消息：兰大一院承担的抗击新冠疫情重大科研项目之一《甘肃省县级以上医疗机构烈性呼吸道传染病的防控应急现状及未来响应机制研究》已在前期部分研究的基础上进入实施阶段并取得阶段性成果。兰州日报社全媒体记者何燕
虎门太平,:#虎门防疫战#【冲锋“疫”线|赵一菊：200多G手机内存全是医学影像】自抗击新冠病毒肺炎战“疫”打响以来，我镇医护人员都是加班加点工作，他们放弃假期，工作也变得不分昼夜，力求把好全镇人民的安全健康这道关口。东莞市滨海湾中心医院呼吸与危重症医学科赵一菊就是其中之一，连日来奋战一线，200多G手机内存全是医学影像。
女山湖镇,:#抗击新型冠状病毒感染肺炎疫情#预防新冠肺炎，做好个人防护。
铜陵日报社,#新型冠状病毒感染肺炎#【“恭喜出舱”！#医护抗疫表情包1.0版上线#】叮！请注意！第一版医护抗疫表情包在武汉江汉开发区方舱医院正式推出啦！“真棒”“奥利给”“戴口罩”……武汉江汉开发区方舱医院专属版权，抗疫医护表情包1.0版静图、动图表情包，让沟通充满正能量！http://t.cn/A67WJ2q4
濠镜翁,:【韓國“口罩荒”紮堆搶購隊伍中還混有新冠確診患者！】韓國作為除中國外世界最多新冠肺炎確診病例的國家，全國進入了抗擊傳染病“戰爭”階段，所有政府機構要啟動24小時應急機制共同應對新型冠狀病毒疫情。截至3月4日零點，韓國昨日全天新增新冠肺炎確診病例516例，累計確診病例5328例。僅昨日，韓國政府在郵局、藥店、超市等官方定點銷售處銷售588萬個口罩。當天，韓國各地銷售處都排起了長龍。人山人海的場面，堪比“黑色星期五”超級大搶購。很多銷售處開賣不到30分鐘就售光，這讓不少市民向工作人員抗議。現場有人表示，家裏沒口罩了，一個口罩用了四五天，現在嘴上帶的還是洗過的。還有人表示：“這個時候口罩比米重要多了。”另外，在大邱某郵局銷售點一位排隊的市民忽然抱怨，“我都被確診了，怎麽還買不到口罩？”，這一句話嚇壞眾人，其他市民連忙撥打了報警電話。確診男子還表示自己早上接到了醫院確診電話，對方告訴他待在家裏不要出門，但男子仍然出門並表示：“我就出來買個口罩啊，超市也是能去的吧。”最後，警察在通報中確認該男子感染新冠肺炎，目前，該男子已被送至當地定點醫院治療。韓國的做法也讓中國網民紛紛表示，都確診了還跑出來買口罩！怪不得確診人數一直在上漲。http://t.cn/A67WjAFR#韩国确认发生超级传播##韩国研究团队发现新冠病毒抗体##关注新冠肺炎##全球抗疫第一线#
国民不得不看,:#抗击新型肺炎第一线##海外抗疫日记#美国主持人宣称“新冠病毒源于中国”，要求中国道歉，一旁搭档当场打断中国不需要道歉！反而是没有良知哗众取宠的媒体需要向中国道歉！国民不得不看的微博视频
香港中通社,:【韓國“口罩荒”紮堆搶購隊伍中還混有新冠確診患者！】韓國作為除中國外世界最多新冠肺炎確診病例的國家，全國進入了抗擊傳染病“戰爭”階段，所有政府機構要啟動24小時應急機制共同應對新型冠狀病毒疫情。截至3月4日零點，韓國昨日全天新增新冠肺炎確診病例516例，累計確診病例5328例。僅昨日，韓國政府在郵局、藥店、超市等官方定點銷售處銷售588萬個口罩。當天，韓國各地銷售處都排起了長龍。人山人海的場面，堪比“黑色星期五”超級大搶購。很多銷售處開賣不到30分鐘就售光，這讓不少市民向工作人員抗議。現場有人表示，家裏沒口罩了，一個口罩用了四五天，現在嘴上帶的還是洗過的。還有人表示：“這個時候口罩比米重要多了。”另外，在大邱某郵局銷售點一位排隊的市民忽然抱怨，“我都被確診了，怎麽還買不到口罩？”，這一句話嚇壞眾人，其他市民連忙撥打了報警電話。確診男子還表示自己早上接到了醫院確診電話，對方告訴他待在家裏不要出門，但男子仍然出門並表示：“我就出來買個口罩啊，超市也是能去的吧。”最後，警察在通報中確認該男子感染新冠肺炎，目前，該男子已被送至當地定點醫院治療。韓國的做法也讓中國網民紛紛表示，都確診了還跑出來買口罩！怪不得確診人數一直在上漲。http://t.cn/A67WjAFR#韩国确认发生超级传播##韩国研究团队发现新冠病毒抗体##关注新冠肺炎##全球抗疫第一线#
全景网,:#直击抗击新型冠状病毒肺炎疫情#【#印度15名意大利游客确诊#新冠肺炎】当地时间4日，印度官方发布消息，印度累计新冠肺炎确诊人数升至21人。4日有15名在印度旅游的意大利游客被确诊为新冠肺炎病例。目前印度共报告疑似病例438例，其中225人已完成医学观察，189人仍在观察中。（央视）
珠海市妇联,:#抗击疫情巾帼在行动#【致敬最美的你】近日，中大五院工会组织制作抗疫歌曲《致最美的你》，用歌声传递爱，用音乐向疫情防控一线无私奉献的英雄们致敬！#张文宏预测新冠病毒最终发展##中华好家风#珠海市妇联的微博视频
史事世事,:#中国科研团队发现新冠病毒已突变##抗击新型肺炎我们在行动#枣阳疫情通报2020年3月3日0时至24时，我市无新增确诊和疑似病例；新增治愈出院11例（其中确诊病例4例）。截至3月3日24时，全市累计报告确诊病例194例，其中：南城61例、北城33例、吴店26例、西城19例、环城13例、新市10例、兴隆8例、刘升6例、熊集3例、王城3例、七方3例、琚湾2例、太平2例、鹿头1例、杨垱1例、平林1例、车河1例、农业农村局1例（张湾社区）。现有疑似病例1例（南城）。累计治愈出院433例（其中确诊病例121例）。累计死亡3例。其余人员均在定点医疗机构接受隔离治疗。全市累计追踪密切接触者2158人，尚在接受医学观察273人。累计追踪密切接触者的密切接触者625人，尚在接受医学观察250人。枣阳市新型冠状病毒感染肺炎疫情防控指挥部办公室2020年3月4日http://t.cn/Rx1vEhr
清华SIGS,:#清华学子抗疫作品征集#作品：《春回大地》作者：张鑫（2019级艺术硕士生）田间地头的油菜花一开，便是草长莺飞的春天。本创意以绿色的肺叶与树叶同构作为画面主体形象，叶片中描绘的是“为觅春踪垄上行，晴光一点入眸明”的景色，其意是表现那些为抗击新冠病毒逆行而上的医护人员，正是因为他们的付出，才有了越来越多的治愈者。战胜疫情的希望就如漫山遍野的金黄，那是我们共同期待的春天。
江西网络台,:【理直气壮，世界应该感谢中国】这段时间，有一种声音故意在炒作，说中国欠世界一个道歉，这是非常荒谬的，中国为了抗击新冠肺炎疫情，做出了巨大的牺牲，付出了巨大的经济成本，切断了新冠病毒的传播途径，没有哪个国家在这次新冠肺炎疫情中做出了如此大的牺牲和付出。（黄生看金融微信公号）http://t.cn/A67WCdim
福星官,:关于火神山和雷神山。武汉当地并没有这两座山，两座应急医院分别取名火神山和雷神山，体现了中国优秀传统文化的博大精深。从五行角度来讲，肺为金，肺病为邪金，金怕火克，取名火神，很明显寓意是用火来克制邪金。雷神也是如此，雷为电、也为火，雷又为震卦，震卦五行为木可生火，雷神助力火神，双管齐下，克制瘟神。不仅如此，火神山、雷神山，包括北京抗非典时的小汤山，后面都有一个山字，山为艮卦，艮为止，为停，很明显就是止住传染之意。钟南山，南，火也；山，止也。钟南山和火神山、雷神山配合到了极致，天上之“雷”、地上之“火”和人间之“钟南山”，彰显了天地人三才合一，三座大山将彻底阻止疫情。武汉加油！中国加油！#中国科研团队发现新冠病毒已突变##抗击新型肺炎第一线##全国确诊新型肺炎病例#
天府双流,:【依法精准防控新冠肺炎疫情系列海报（一）】客运站、办公场所、公共场所、商场超市该怎样做？#新型冠状病毒##抗击新型肺炎我们在行动##新冠肺炎#
Rebirth_和你一起向光生长,:#中国科研团队发现新冠病毒已突变#病毒易突变，人心依旧暖，众志成城抗击疫情！爱不隔离！公益歌曲《珍惜》向那些奋战在一线的医护人员们致敬
淄博澄清,:中国科研团队：新冠病毒已突变，有2个亚型，传染力有差异！细思极恐啊！#抗击新型肺炎我们在行动##新冠病毒已突变##淄博身边事#淄博
泉州网警巡查执法,:#净网2020#【191万！钱这么好赚？厦门一女子涉嫌虚假售卖额温枪被刑拘！】2月25日，厦门同安警方接到陈女士报警称，其在微信群看到林某萍发布售卖额温枪信息后与其联系购买，但对方始终未交货并无法退还货款，怀疑被骗。经查，林某萍因网络赌博欠债，遂萌生在朋友圈发布虚假售卖额温枪的信息，先后骗取7人货款191万余元。目前，警方依法将犯罪嫌疑人林某萍刑拘。#抗击疫情公安在行动#http://t.cn/A67Wwciqvia@厦门网警巡查执法@福建网警巡查执法#中国科研团队发现新冠病毒已突变#
观海卫发布,:社会各界踊跃捐赠疫情面前显大爱新冠病毒肺炎疫情发生以来，在镇党委、镇政府的坚强领导下，全镇上下团结一心，众志成城，共筑抗击疫情的钢铁防线，不少爱心人士第一时间行动起来，积极奉献爱心，踊跃捐款捐物，为疫情防控工作给予了慷慨支持、作出了积极贡献。相关链接：社会各界踊跃捐赠疫情面前显大爱
四川广播电视台,:【听，人类命运共同体的大合唱——中国同国际社会携手抗击新冠肺炎疫情述评】这是一次突如其来的危机——岁末年初，新型冠状病毒感染的肺炎疫情在湖北武汉等地发生，人类被迫面临一种未知病毒的汹涌侵袭。这是一场艰苦卓绝的战斗——在中国共产党坚强领导下，中国人民不惧风雨、全面动员，在全国打响了一场疫情防控的人民战争、总体战、阻击战。这是一幅风雨同舟的画卷——在抗击病魔的全球战“疫”中，国际社会守望相助、携手并肩，合奏出一曲人类命运共同体的壮阔乐章。http://t.cn/A67WaeyNhttp://t.cn/A67WS5ey
朔州网警巡查执法,:【#女子拒戴口罩闯超市#指着民警叫嚣：我不戴怎么着】#抗击疫情公安在行动#3月2日，山东潍坊寿光市某大型超市门口，一女子拒戴口罩还不配合商超防疫检查。民警到场后提示该女子佩戴口罩，女子不听劝阻，胡搅蛮缠还指着民警辱骂叫嚣“我不戴怎么着”。经多次劝说无效，考虑到疫情防控的必要性，民警将其控制后强制带离。#张文宏预测新冠病毒最终发展#http://t.cn/A67O3ifk
海峡卫视,:#福建战疫#疫情期间，大家都憋成了大厨。很多人认为食物越清淡越好，对脂肪退避三舍，真的是这样吗？@央视网视频联合人民卫生出版社，专家告诉您，脂肪其实没有那么可怕，这样吃更健康！#携手抗击疫情#央视网的秒拍视频#张文宏预测新冠病毒最终发展#
沈阳晚报,:#抗击新型肺炎第一线##关注新冠肺炎#【#中国科研团队发现新冠病毒已突变#有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。对不同亚型的深入了解，将有助于新冠肺炎的差异化的治疗和防控。以上研究来自中国科学院主办的《国家科学评论》于3月3日发表的论文《关于SARS-CoV-2的起源和持续进化》。论文通讯作者为陆剑研究员（北京大学生命科学学院生物信息中心）、崔杰研究员（中国科学院上海巴斯德研究所）。（澎湃新闻）http://t.cn/A67WUJL4http://mapi/4c582bffly1gchxslxi6hj20go0rp40i
西乡塘区共青团,:#广西抗击新型肺炎#【#张文宏预测新冠病毒最终发展#】疫情依旧是当前最大的主题。国内新增病例持续走低意味着什么？境外传播加剧该如何应对？复工和防疫要怎么权衡？层出不穷的试用药究竟如何？我们离正常的生活还有多远……@许研敏在上海对话张文宏医生，来听听他怎么说。来源：（@新京报我们视频出圈）http://t.cn/A67pXirJ
齐鲁女性,:#众志成城抗击疫情#【面对疫情，个体应该如何进行自我情绪疏导？】在新冠病毒流行期间，除了严格的防护工作，我们还需要保持心态和生活的稳定性。即使宅在家中，也要尽可能维持正常的生活作息。更多调整情绪的建议，戳视频了解↓http://t.cn/A67WbcDH
金轮新闻资讯,:硬核广播。。。#张文宏预测新冠病毒最终发展##抗击新型肺炎第一线##迷之尴尬##金轮新闻资讯#http://t.cn/A67WM1uw
我爱柳州,:#抗击新冠病毒柳州进行时#【鹿寨有个黄马甲F4组合，宣传疏导、消毒、摸排……他们努力抗疫】在鹿寨县鹿寨镇独羊村，有一个“F4”组合，队员分别是黄琦、覃伟杰、林东健、郭智鸣，黄马甲是他们的标配，他们还有一个响亮的名字——驻村工作队员。新冠肺炎疫情防控期间，鹿寨镇独羊村驻村工作队员带领村“两委”干部走家窜户、宣传疏导、消毒防护，明确防控重点，全方位开展疫情防控各项工作。为了尽快解决村里的群众外出务工，进一步助力脱贫，他们又认真做好村里劳动力，特别是贫困群众的就业意愿、就业能力、就业方向的摸排调查，确保疫情期间劳动力外出务工、返岗安全有序。(来源：在柳州APP）
自媒体大鹏,:#应注意粪尿造成气溶胶或接触传播#气溶胶传播到底是啥？一起来看看视频里是怎么说的吧！#张文宏预测新冠病毒最终发展##抗击新型肺炎第一线#津卫十足的微博视频
泉州同城会,#防抗新型冠状病毒肺炎#【《有一种力量》——南安抗击“新冠肺炎”疫情纪实】这原本应该是一个热闹、喜庆的春节。然而一切却因一场突如其来的疫情而改变。面对疫情，社会各界万众一心，打响疫情防控“阻击战”！本期《南安视点》共同关注南安抗击新冠肺炎疫情的“硬核”力量。via南安市融媒体中心http://t.cn/A67OoKTc@南安热门
新浪泉州,:#防抗新型冠状病毒肺炎#【《有一种力量》——南安抗击“新冠肺炎”疫情纪实】这原本应该是一个热闹、喜庆的春节。然而一切却因一场突如其来的疫情而改变。面对疫情，社会各界万众一心，打响疫情防控“阻击战”！本期《南安视点》共同关注南安抗击新冠肺炎疫情的“硬核”力量。via南安市融媒体中心http://t.cn/A67OoKTc@南安热门
布撸克儿,:#张文宏预测新冠病毒最终发展##抗击新型肺炎第一线#但凡全球有一个病例，博尔塔拉人民也不会出家门👍👍👍新疆维吾尔自治区·博尔塔拉蒙古自治州
全景网,:【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。你怎么看？#直击抗击新型冠状病毒肺炎疫情#http://t.cn/A67WcSFy
双流应急,:【社区（乡镇、村）新冠肺炎防控技术方案】社区、乡镇、村防控新冠肺炎该如何做？#新型冠状病毒##抗击新型肺炎我们在行动#@疾控科普
文明海淀,:#童画战“疫”#“抗击新冠病毒从我做起”、“中国加油！”“妈妈大战新冠病毒！”西三旗地区的小朋友们，以小小画笔抗疫情，以乐观心态，积极传播正能量！#小小画家在行动#
峰66921,:抗击新冠病毒肺炎的战斗，是一场全民战疫。此时此刻，每个普通中国人，都在为这场战争努力付出、默默奋斗。今天广东省健康科普联盟推荐的这组小林漫画，画的是疫情之下的众生相http://t.cn/A67Wt2Gx
用户7183659818平天行,:《港媒关注：战斗在抗击新冠病毒一线的女将军》参考消息网3月4日报道港媒称，解放军顶尖流行病学家和病毒学家陈薇少将正战斗在抗击新冠病毒的第一线。http://t.cn/A67W5BFt
新浪泉州,:#防抗新型冠状病毒肺炎#【《有一种力量》——南安抗击“新冠肺炎”疫情纪实】这原本应该是一个热闹、喜庆的春节。然而一切却因一场突如其来的疫情而改变。面对疫情，社会各界万众一心，打响疫情防控“阻击战”！本期《南安视点》共同关注南安抗击新冠肺炎疫情的“硬核”力量。via南安市融媒体中心http://t.cn/A67OoKTc@南安热门
大飞扬,:#张文宏预测新冠病毒最终发展#发个宏观发展趋势图，对比一下就知道趋势了。防止倒灌输入算是今后抗击疫情的工作重点了吧。
兰州晨报,:#抗击疫情甘肃在行动#【甘肃省中医药深度介入新冠肺炎防治治疗率达到了97.8%】新型冠状病毒肺炎疫情发生以来，我省坚持中医“未病先防，已病防变，瘥后防复”理念，促进中医药深度介入预防、治疗、康复全过程，掌上兰州·兰州晨报记者从甘肃省卫生健康委了解到，截至3月2日，全省91例确诊病例中，有89例使用了中医药治疗，中医药参与治疗率达到了97.8%，达到出院标准出院85例，出院率为93.4%，出院患者均全程使用了中医药治疗，中医药参与治疗率居全国前列。#兰州爆料##新型冠状病毒#详见：http://t.cn/A67WVY5r
伊金霍洛交警,【战“疫”图画：符号里澎湃而出的鄂尔多斯力量】#鄂尔多斯防控疫情第一线##众志成城抗击疫情##张文宏预测新冠病毒最终发展#说起鄂尔多斯，你会想起什么？炖羊肉、烩酸菜、沙漠、草原、鄂尔多斯的煤炭、羊绒衫温暖全世界、鄂尔多斯21℃的夏天……今天我们换个方式，用标点说说抗疫中的鄂尔多斯符号。（制作：张茜文案：屈乐）
布撸克儿,:#张文宏预测新冠病毒最终发展##抗击新型肺炎第一线#但凡全球有一个病例，博尔塔拉人民也不会出家门👍👍👍新疆维吾尔自治区·博尔塔拉蒙古自治州
全景网,:【#中国科研团队发现新冠病毒已突变#，有2个亚型，传染力有差异】中国科研团队最新发现显示：新冠病毒已于近期产生了149个突变点，并演化出了两个亚型，分别是L亚型和S亚型。研究发现，在地域分布及人群中的比例，这两个亚型表现出了很大测差异。其中S型是相对更古老的版本，而L亚型更具侵略性传染力更强。你怎么看？#直击抗击新型冠状病毒肺炎疫情#http://t.cn/A67WcSFy
用户7183659818平天行,:《港媒关注：战斗在抗击新冠病毒一线的女将军》参考消息网3月4日报道港媒称，解放军顶尖流行病学家和病毒学家陈薇少将正战斗在抗击新冠病毒的第一线。http://t.cn/A67W5BFt
枫林院,《新冠状病毒的最前瞻、对应方法与解救之道》，这是我和同学们的某些对话，发给大家参考，希望能有所启发。
呼和浩特新闻网,:#众志成城·战疫情保六稳#【抗击新冠疫情院士们正在实验室里忙什么？】为了尽快找到战胜新冠病毒的方法，很多科研人员在争分夺秒地工作。从分离病毒到建立动物模型，从核酸检测到研制疫苗，在实验室里，他们每个人都是一名战士。小央视频的秒拍视频小央视频的秒拍视频
成华司法,:#中国科研团队发现新冠病毒已突变#【TED短片：流行病学教授回答关于新冠病毒的六个提问】TED特邀流行病学教授戴维·海曼在总部为大家科普新冠病毒防治，他曾任世界卫生组织健康安全与环境助理总干事，负责过全球抗击SARS的行动。这个短片便是他的演讲精华。TEDNews的微博视频
安徽高速之声,:#安徽打响清零战#【8市完成目标
松雪道人的微博,:#张文宏预测新冠病毒最终发展#明天惊蛰，万物复苏，抗击疫情，武汉加油，中国加油。松雪道人的微博的微博视频
聊城共青团,:#应注意粪尿造成气溶胶或接触传播#气溶胶传播到底是啥？一起来看看视频里是怎么说的吧！#张文宏预测新冠病毒最终发展##抗击新型肺炎第一线#津卫十足的微博视频
中国城市榜,:【《我和你》大爱无疆同舟共济：毛里求斯坚定支持中国抗击疫情】自新型冠状病毒感染的肺炎疫情暴发以来，疫情不仅牵动着全国人民的心，也牵动着世界人民的心。在中国举国抗击新冠肺炎疫情的同时，毛里求斯政府、民众和社会各界通过各种方式为中国加油，武汉加油，用实际行动表达对中国抗击疫情的支持。http://t.cn/A67WAK4U@世界旅游城市联合会http://t.cn/A67WAQsc
天府兴隆,:【科技战“疫”全国12个检测产品成都占两席】近日，由成都市应急科技攻关项目支持的迈克生物新型冠状病毒核酸检测试剂盒获批，收到国家药品监督管理局颁发的《医疗器械注册证》。目前，我国共计批准了12个新冠病毒检测产品，成都就占其中两席，充分体现了抗击新冠肺炎疫情的蓉城科技支撑。（成都日报）http://t.cn/A67OJ52j
名义初品,:世界之所以美好，是因为有爱的存在，在抗击新冠病毒肺炎疫情，这场没有硝烟的战场上，从来都不是孤军奋战，有逆行而上、奔赴一线的守护人，也有来自社会各界的、正能量。感谢每一位初品人义无反顾的承担起自己的社会责任，我们相信，这份情会化作无坚不摧的力量，守护武汉安全保驾护航。——————————平凡如我们，渺小如我们，在这共克时艰的日子，不能驰援一线，而以这样方式且尽绵薄之力，相信是最好的了。加油，白衣天使们，愿你们每一个人都能平安归来！同时，也谢谢所有献爱心的初品人，因为你们，“初品”两个字变得更温暖，更有力量了！
青白江司法,:【社区（乡镇、村）新冠肺炎防控技术方案】社区、乡镇、村防控新冠肺炎该如何做？#新型冠状病毒##抗击新型肺炎我们在行动#via：疾控科普
东营区共青团,:#应注意粪尿造成气溶胶或接触传播#气溶胶传播到底是啥？一起来看看视频里是怎么说的吧！#张文宏预测新冠病毒最终发展##抗击新型肺炎第一线#津卫十足的微博视频
青白江司法,:【依法精准防控新冠肺炎疫情系列海报（二）】#新型冠状病毒##新冠肺炎##抗击新型肺炎我们在行动#via：疾控科普
乔yang201709,:#诗词[超话]#//为有楚才！在举国抗击疫情新冠病毒疫情喜怒哀乐充斥人寰的正月咱湖南冷水滩市铎山镇谢悍根老师宅居家中，引经据典，借故鉴今，写出一篇《荊楚战疫赋》，其水平至高至极，值得转发，特请朋友们鉴赏。
成都市武侯区总工会,:【科技战“疫”全国12个检测产品成都占两席】近日，由成都市应急科技攻关项目支持的迈克生物新型冠状病毒核酸检测试剂盒获批，收到国家药品监督管理局颁发的《医疗器械注册证》。目前，我国共计批准了12个新冠病毒检测产品，成都就占其中两席，充分体现了抗击新冠肺炎疫情的蓉城科技支撑。（成都日报）http://t.cn/A67OJ52j
100菌,广东援汉医生：汉口医院呼吸科整个科室几乎全军覆没应该说汉口医院一线的情况，还是让我们很震撼的。第一天进入病区后，一名有十多年经验的老医生就和我说，那天晚上睡不着觉、做了噩梦，有的医护人员也会在房间里哭。因为受条件所限，许多救治手段上不了，我们的医护人员就觉得有力气使不上，眼看着病人不行了，感觉很无助、感觉救不了。这种情况下，队员们的信心受到很大打击，有的人会来找你倾诉，有的人会发脾气吵架。那种状态，你得去理解他。这个事情可能对那个医生触动比较大。一方面，感染科平时接触的大多是乙肝这类病人，危重症的比较少。另一方面，绝大部分医生、护士都很善良，他可能觉得一个37岁的男人正是家里的顶梁柱，人就这么没了，他过意不去。从那以后，这个医生变得很沉默寡言，经常躲在房间不出门。http://t.cn/A67Se75w
抚顺法院,:支援“抗疫”一线的东洲区法院党总支“社会治理，法治先行，依法防控，科学有序，坚决打赢疫情防控阻击战”。在当前抗击新冠病毒引发肺炎战役的紧要关头，东洲区人民法院在做好自身防护工作的同时，由党总支号召和倡导，发布支援“抗疫”倡议书，院领导带头报名参战，全院共产党员、积极分子也踊跃报名，纷纷“请战”。东洲区法院迅速成立支援前线“抗疫”小分队，集结队伍，筹集物资，安排宣传车辆。组织共产党员、积极分子深入所在社区疫情防控第一线，主动配合社区同志开展疫情防控工作，为决胜抗“疫”斗争贡献法官应有的力量。在党总支发出支援“抗疫”一线的倡议后，我院党员在微信群里纷纷报名“我报名”“我请战”“我先上”……充分彰显出院党总支党员干警的作风与担当。从党员正式“上岗”的第一天起，院党组书记、院长尹宪科，党组副书记、副院长于国徽早早亲临一线，指挥干警有序工作，并积极投身设卡工作中。党总支负责人、信访办主任王旭代表东洲区法院为疫情检测点社区工作人员送去食品。党总支副书记刘婉婷已有六个月的身孕仍主动要求参与“抗疫”工作。党总支组织委员、办公室主任佟飞带领入党积极分子在疫情检测点扎实做好人员进出登记、车辆检查、体温测量等工作。一批批“参战”小分队的队员们满腔热血地忙碌在防控疫情第一线。这场战役急迫而严峻，基层防控压力大，作为党员干警必须站出来共同分担，这是每名共产党员的英勇本色。疫情就是命令，防控就是责任。东洲区人民法院党总支上下一心，不忘初心、牢记使命，在区委和上级法院、院党组的领导下，全面贯彻坚定信心、同舟共济、科学防治、精准施策的要求，沉着应对，严加防控，用实际行动践行“为人民服务”的初心和使命!
国网福建电力,:【#张文宏预测新冠病毒最终发展#：你相信好了我的预测一定是对的】疫情，依旧是当前最大的主题。国内新增病例持续走低意味着什么？境外传播加剧该如何应对？复工和防疫要怎么权衡？层出不穷的试用药究竟如何？我们离正常的生活还有多远……#携手抗击疫情#一起来听听张文宏医生怎么说↓http://t.cn/A67pXirJ
二当,:#韩国研究团队发现新冠病毒抗体#希望不是吹牛皮，是真的对抗击疫情有很大帮助！
重庆商报,:【抗击新冠疫情院士们正在实验室里忙什么？】为了尽快找到战胜新冠病毒的方法，很多科研人员在争分夺秒地工作。从分离病毒到建立动物模型，从核酸检测到研制疫苗，在实验室里，他们每个人都是一名战士。小央视频的秒拍视频
四川省社会科学院,:#社科分享#【TED短片：流行病学教授回答关于新冠病毒的六个提问】TED特邀流行病学教授戴维·海曼在总部为大家科普新冠病毒防治，他曾任世界卫生组织健康安全与环境助理总干事，负责过全球抗击SARS的行动。这个短片便是他的演讲精华。TEDNews的微博视频
TEDNews,:【TED短片：流行病学教授回答关于新冠病毒的六个提问】TED特邀流行病学教授戴维·海曼在总部为大家科普新冠病毒防治，他曾任世界卫生组织健康安全与环境助理总干事，负责过全球抗击SARS的行动。这个短片便是他的演讲精华。TEDNews的微博视频
沈阳播报君,:【AI参与新冠肺炎诊断，10秒呈现病变分布范围
常冬青整形日常,:#新型冠状病毒##科学抗击疫情#战疫科学解读：数据分析，新冠肺炎感染者是否偏爱男性？
吉林乡村广播,:#应注意粪尿造成气溶胶或接触传播#气溶胶传播到底是啥？一起来看看视频里是怎么说的吧！#张文宏预测新冠病毒最终发展##抗击新型肺炎第一线#津卫十足的微博视频
沈阳公共频道,:张文宏医生又说了...#抗击新型肺炎第一线#【#张文宏预测新冠病毒最终发展#...】疫情，依旧是当前最大的主题。国内新增病例持续走低意味着什么？境外传播加剧该如何应对？复工和防疫要怎么权衡？层出不穷的试用药究竟如何？我们离正常的生活还有多远……对话张文宏医生，来听听他怎么说。@出圈http://t.cn/A67pXirJ
天津政法,:#应注意粪尿造成气溶胶或接触传播#气溶胶传播到底是啥？一起来看看视频里是怎么说的吧！#张文宏预测新冠病毒最终发展##抗击新型肺炎第一线#津卫十足的微博视频
yh353,:为了应对2019年底出现的新冠病毒肺炎疫情，目前各地正紧张有抗击新冠病毒肺炎疫情，真菌感染也不能忽视http://t.cn/A67O1B55
白羽传信,:港媒关注：战斗在抗击新冠病毒一线的女将军http://t.cn/A67O1aNv港媒关注：战斗在抗击新冠病毒一线的女将军http://t.cn/A67O1aNv
医悦汇,:王彩霞教授：新型冠状病毒感染的自我防护#万众一心抗击新冠肺炎#医悦汇的微博视频
四川省德阳监狱,:#抗击新型肺炎我们在行动#【#新冠肺炎诊疗方案第七版#转存！】今天，国家卫生健康委发布《新型冠状病毒肺炎诊疗方案（试行第七版）》：①#提醒注意境外输入性病例#导致的传播和扩散；②呼吸道飞沫和接触传播是主要传播途径，在相对封闭的环境中长时间暴露于高浓度气溶胶情况下中存在经气溶胶传播的可能。在粪便及尿中可分离到新型冠状病毒，应注意粪便及尿对环境造成气溶胶或接触传播。详情↓http://t.cn/A67OJxCl
当涂检察,:#战疫最前线#【抗击新冠疫情院士们正在实验室里忙什么？】为了尽快找到战胜新冠病毒的方法，很多科研人员在争分夺秒地工作。从分离病毒到建立动物模型，从核酸检测到研制疫苗，在实验室里，他们每个人都是一名战士。小央视频的秒拍视频小央视频的秒拍视频
长春共青团,:【转存这组钟南山表情包，就按钟老说的办！】#俄罗斯两万人同吃野韭菜#当地民众想借此预防新冠病毒引热议↓↓听钟南山的话！送你一组表情包，抗击疫情，一起加油！#防控疫情我们同行#
武汉三镇旅游圈,:【#韩国累计确诊5328例新冠肺炎#】#关注新冠肺炎#据韩媒4日报道，截至目前，韩国新冠肺炎确诊病例新增516例，累计达5328例。韩国疫情持续蔓延，韩国总统文在寅3日表示，韩国“已进入一场抗击传染病的战争”，所有政府组织都要转换为24小时应急机制。此外，韩国政府审议通过了有关应对新冠病毒的三项法案修订案。政府还通过了“疫区雇佣特别支援项目”促进计划，促各地方政府按受害程度，制定和落实不同就业对策。
