呼和浩特市总工会,:【日韩两国口罩价格飞涨#日本口罩一只卖300元#
石家庄的日子,:#石家庄身边事[超话]#【最新公布！石家庄这家公司的口罩不能买】3月3日，河北省市场监督管理局公布第三十五批典型案件：案例一：南宫市张某违法销售医用口罩案根据群众举报，南宫市市场监督管理局依法对张某开展调查。经查，张某通过网络销售医用口罩存在合同诈骗行为，涉嫌刑事犯罪。南宫市市场监督管理局依法将此案移交公安机关。案例二：石家庄市益丰大药房晋州分公司违规销售假冒医用口罩案根据群众举报，晋州市市场监督管理局依法对石家庄市益丰大药房晋州分公司开展调查。经查，该公司存在违规销售假冒医用口罩的行为。晋州市市场监督管理局依法对该公司罚款8.6万元。案例三：武安市韩韩超市违规销售食品案根据群众举报，武安市市场监督管理局依法对武安市韩韩超市开展调查。经查，该超市存在未取得食品经营许可证违规销售食品的行为。武安市市场监督管理局依法对该超市罚款5万元。案例四：定州市史某违规销售三无防护用品案根据群众举报，定州市市场监督管理局依法对史某开展调查。经查，史某存在违规销售三无防护用品的行为。定州市市场监督管理局依法对史某罚款2.07万元。案例五：廊坊市康健堂四十八分店违规销售医疗器械案廊坊市广阳区市场监督管理局执法人员在巡查中发现，廊坊市康健堂四十八分店未建立并执行医疗器械进货查验记录制度，且拒不改正。广阳区市场监督管理局依法对该店罚款2万元。发现市场监管领域违法违规问题，请拨打12315投诉举报，各级市场监管部门将依法从严从快查处。（燕赵都市报）
中国企业家杂志,:【胸罩品牌爱慕或将生产口罩】3月3日消息，爱慕经营范围再增口罩业务，已申请4个医疗器械商标。企查查数据显示：3月2日，爱慕股份有限公司经营范围新增“生产非医用口罩（仅限疫情期间生活保障）”。该公司成立于1981年，注册资本3.6亿元，法定代表人为张荣明。2020年已申请“爱美丽”、“爱慕”等4个医疗器械类型商标。（一见财经）
西安电视台官方微博,:【32万余只假口罩，被查获！】#关注新冠肺炎#3月3日，记者从郑州铁路公安处获悉，近日该处联手济南铁路警方，成功破获一起特大生产、销售假冒伪劣口罩案。该案累计缴获假冒“飘安”牌医用口罩32万余只，捣毁制假窝点4个，打掉销售假冒医用防护用品窝点10处。（中新网）http://t.cn/A670Fehp
mine166,新冠状病毒扩散，大敌当前，于川普来说，口罩等防护医疗用品，比稀土更重要！90%依赖中国进口，疫情当下，就更依赖中国进口了！去年川普威胁华为的时候，中国已经着手控制稀土出口了。所以美国自然会担心中国，会控制口罩等医疗物资出口美国！不怕一万，就怕万一。你要我命，我要你命。#东哥笔记#
M小肉,:
FM963,:【美国参议院健康委员会听证会：#美国口罩库存只占总需求量的10%#】当地时间3月3日，在美国参议院健康委员会听证会上相关官员称，如果新冠病毒疫情在美国暴发成为“全面”大流行，那么目前美国医务人员所需的医用口罩只占总量的10%。美国卫生与公共服务部官员罗伯特•卡德尔茨博士估计，美国大约需要35亿个医疗级N95口罩，这种口罩可以过滤掉大约95％的液体或空气传播颗粒。但数学计算表明，如果美国仅拥有3500万个口罩，并且需要35亿个口罩，美国实际上仅拥有所需用品的1％。http://t.cn/A670DaYe
精彩渝水,:#联防联控江西在行动#【暖！江西2名男孩为消防蜀黍送口罩：你们辛苦了！
宜昌市优抚医院,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。#宜昌优分享##世卫组织称赞中国与各国分享抗疫经验#http://t.cn/A670k6N5
我爱戴克瑞,:买给思思的pitta口罩比医用口罩安全
昌江发布,:【美国参议院健康委员会听证会：#美国口罩库存只占总需求量的10%#】当地时间3月3日，在美国参议院健康委员会听证会上相关官员称，如果新冠病毒疫情在美国暴发成为“全面”大流行，那么目前美国医务人员所需的医用口罩只占总量的10%。美国卫生与公共服务部官员罗伯特•卡德尔茨博士估计，美国大约需要35亿个医疗级N95口罩，这种口罩可以过滤掉大约95％的液体或空气传播颗粒。但数学计算表明，如果美国仅拥有3500万个口罩，并且需要35亿个口罩，美国实际上仅拥有所需用品的1％。#美国新冠肺炎感染总数达117人#
粉先生花阁葛,
微博媒体人,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。http://t.cn/A67pv2az
传递正能量,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。http://t.cn/A67pv2az
热点观察所,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。http://t.cn/A67pv2az
微博发现,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。http://t.cn/A67pv2az
我在现场,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。http://t.cn/A67pv2az
媒体势力榜,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。http://t.cn/A67pv2az
早啊新闻来了,:【我国口罩日产能产量双双突破1亿只】国家发改委2日表示，我国口罩日产能产量连续快速增长，双双突破1亿只。2月29日，包括普通口罩、医用口罩、医用N95口罩在内，全国口罩日产能达到1.1亿只，日产量达到1.16亿只，分别是2月1日的5.2倍、12倍。其中，医用N95口罩日产能产量分别达到196万只、166万只，有效解决了一线医护人员的防护需要。http://t.cn/A67pv2az
M大肉,:
马鞍微语,【#南京新增7条口罩生产线#企业转产医用口罩日产16万只】疫情发生前，南京仅有1家企业生产医用口罩。经调研后，市场监管部门鼓励有条件的企业调整经营范围，并为企业开辟绿色审批通道。目前，南京新增3家企业获得省药监局的防疫物资口罩应急生产备案件，共新增7条口罩生产线，全市日产量16万只以上。#南京[地点]#http://t.cn/A679VFFN
大青海网,#西宁分享[超话]#【
石家庄网警巡查执法,:【郑州济南铁警查获32万只假口罩18人制假贩假被抓】3月3日，记者从郑州铁路公安处获悉，郑州、济南铁警联手破获一起特大生产、销售假冒伪劣口罩案。累计缴获假冒“飘安”牌医用口罩32万余只，先后将涉嫌生产、销售假冒伪劣产品的18名犯罪嫌疑人抓获。#疫情当前警察不退#新京报我们视频的秒拍视频
辩证看务实办727,:我给别人口罩到现在，没人给我反馈口罩小，中国女生真的脸小，上面是我给的，下面是正常医用一次性，差多少你们看看。
从宇宙黑洞飞出火凤凰,:【捐赠50万只口罩后，上海再向釜山市送去7万只口罩】#上海向釜山捐赠7万只口罩#韩联社援引韩国釜山市政府4日消息称，友好城市上海市为帮助釜山抗击新冠肺炎疫情发来7万只口罩。报道称，釜山市于3日下午接收这批口罩，包括普通口罩4.6万只，医用口罩2.4万只。釜山市方面将把这些口罩送给社会弱势群体和医疗界，市长吴巨敦还将向上海市致感谢信。釜山市还表示，山东省也表明捐赠口罩的意愿。上个月，釜山市为上海和重庆送去口罩、防护服等医疗物资。此前，上海市还向大邱市和庆尚北道地区捐赠50万只口罩，其中10万只为医用，40万只为KN95口罩。http://t.cn/A670lnzD
i青龙帮帮主,:
穿着超人防弹衣的凹凸小麦,:#医用口罩[超话]#有没有人出振德稳健袋鼠三q的口罩呀
love舍得369,:【中广核技】：口罩😷上游材料+核辐照灭菌病毒🦠+医用污水+特斯拉🚗+中🇨🇳韩🇰🇷自贸区（五大热门概念集一身）🌹🌹🌹🌹🌹
