女神相册,:#美女公司超话#这身材爱了
暮雨水心,:#凤凰娱乐#洗白手段高明啊，回避了xz粉丝滥用公权力破坏创作自由的核心问题，也没提及xz粉丝在外网恶意抹黑中国形象，全是不疼不痒的话，还有意将xz塑造成一个被动不知事的白莲，您家割割最无辜了，您哪洁厕公司的啊？还洗呢？
影视剧情社,:#我们的乐队阵容##王俊凯市场总裁#@TFBOYS-王俊凯谢霆锋@锋味@萧敬腾合伙开公司啦！期待三位帅气boss的新综艺
古剑清辉,明日方舟找的这家动保机构跟别家画风好像不太一样。他们曾经为了保护动物，雇佣私人军队…暗杀偷猎者
晨凫追风,:明天又是精彩的一天，老美降息，我们跟着呗，疫情控制住了，基建搞起来了，又开始大放水，只有坐着自己打造好的方舟，才能平安度过这个劫难，公司的基本面只要向好，那任何时候都无需惧怕，相信自己！
samathaa,:@周倩Tiffany您换一个公司吧，公司都没有一个统一的邮箱。就连我们大学都有自己的邮箱证明身份。建议把你的英文名改一下呢，工作能力差强人意，不要用我喜欢的首饰名字做英文名
凤凰网财经,:#新丽传媒9亿对赌协议#【#肖战#遭“全网抵制”，新丽传媒的9亿对赌悬了
起司酥,:封城记-给记忆力越来越差的自己的流水账20200303TuesDay41今天最大的喜讯是社区终于通知我去送天然气卡让他们集中圈存了，感觉瑟瑟发抖不敢开火的日子终于要过去啦！虽然今天还没弄好，至少明后天应该差不多了吧，喜极而泣地想跳个舞庆祝下！再有就是拿到了社区团购的豆腐和蘑菇，终于可以吃点别的了，天天对着包菜大白菜真的有点愁，希望食物自由早点来。继续和公司安保斗智斗勇的一天，IT真的是闭着眼睛解决问题，想一出是一出，不知道在家上班的日子什么时候会来到。看完了狗狗的纪录片，想养喵汪的心思又活络了，看看账单和银行卡，算了，还是把自己料理好吧ヽ(￣д￣;)ノ云养值得价格敏感者泳有。除了还是没有抢到京东的酒精，84还没有配送，好像家里的东西够两周存活了，下周三能不能上班拭目以待啊(ಥ_ಥ)http://t.cn/R2WxQOQ
人类很可爱,:小宋，轩轩，生日快乐！！！@时代少年团-宋亚轩其实从你刚来公司就一直很喜欢你，最开始只是惊讶你唱歌怎么会这么好，长得也好可爱好可爱，这样可爱的一个小朋友谁会不喜欢！可是从出道站之后好像重新认识你了，可能是我关注更多了，看到了你好多好多发光的地方，让我好喜欢好喜欢啊，真的很迷人！！最喜欢的是，不管怎样都笑着的样子，有被问过各种可能应该“卖惨”的问题，但是印象里你总说，很开心，很好，总是笑着。其实我相信的，我觉得这是你的一种能力，你就是有着能让自己开心也让看着你的人开心的能力吧！我超级喜欢！还有啊，你特别古灵精怪，我觉得这个词好适合你，总是有惊喜的，不知道什么时候突然冒出来的一点小火花会让我移不开眼，总有新鲜感。总觉得还是看不透你，有时候觉得你好傻好天真，有时候觉得你这么聪明肯定什么都懂，我也会感觉矛盾，但是之前就觉得，其实展现出什么样子完全是你自己的选择吧，你想要傻傻的，你想要精明，你都可以，我觉得这样挺好的，喜欢你可以选择做自己喜欢的样子。然后呢，祝你在16岁的这一年里，开开心心健健康康一切顺利，可以更好地控制自己的声音，我对你超有信心的！！！祝你有收获，有进步，好好长大，希望我还可以陪你很久！生日快乐！！！！
一大大one大大,:#肖战#加油，只是看过几次电视，谈不上粉丝，不管你是否有默许，成年人成名了，有团队有公司，很多事情处理上都不是你能左右的，你的名字代表着背后的所有人，你也很年轻，你做了这次事件所有人的宣泄口，不容易，希望这次你能扛过去，你有演技有态度有唱功，相信自己！未来知道世间的黑暗却还是心存光明的走下去！
differently-crystal,:虽然没看电视剧，但是看到热搜上的一些视频，明明就是人设崩塌，一个海归硕士，就算再有什么同情心或者什么的，都应该具有基本的职业素养，遇事就哭，真的不像一个成年人该有的状态，更何况是管理一个公司，要我是斯黛拉，早就辞职不干了，从一些视频片段，这个剧最喜欢的就是卫哲，睿智且刚，但是我并觉得这样一个男的现实生活中会看上一个白痴。（只是我自己的看法，无关演员）http://t.cn/A679FY9p
抽风手戴老湿,:我特别不愿意在网络世界里强迫形成共识这种东西。就像做一套选择题，选了其他项的就要剔除淘汰，到最后就只剩下了所谓的标准答案，也是最无趣的答案。尤其是拿自己的三观态度角度硬套在别人身上，因为一两句话就轻易引为平生所见知己，可能日后又因为两三个观点怒斥对方背叛革命。更有甚者，我不认同你，我就要毁掉你。我上网，就是因为网上像我一样乱七八糟的人很多，有人阴阳怪气，有人胡逼淡侃，有人热忱正直，有人傻气冲顶，这多好啊！哪怕明星发博也有点儿人样儿，不会千篇一律的经纪公司代办，只会说平和安康快乐正能量。与其寻找共识，不如先有点儿常识。每个人都是单独的个体，能思考，会说话，同时也尊重别人，尊重别人的思考，也让别人说话。退一万步说了，咱们网络姻缘一线牵，就他妈这么说了，你丫管得着么？到处当网络世界义警的，真得感谢手机和网络，不是因为隔着屏幕打不着，可能早就骨灰爆炸上天三百六十五回了。
_Bibo丶Bibo,:糟心的快递公司.发同城.帮我寄去了外省.追回来了.一本证书寄成了两半.全程居然闷声不出气.还帮换了个崭新的包装.问我是不是寄到我填写的地址.里面是什么情况也不告诉我.如果不是我盯着.让他打开看.我还被蒙在鼓里.请问是谁也不想负责任吗.CNM！！！！！我懵逼了！！！！！！
国网湖北电力,:#湖北电力防疫保电进行时#【复工复产季电网来助力】3月3日，国网咸宁供电公司高新区供电中心员工主动上门进企宣传疫情防控期间的灵活电价政策，并将电费发票送到客户手中。在了解客户复工复产用电需求后，为复工企业开展基本电费测算，帮助企业选择最优惠的计收方式，最大限度降低用电成本。（李晓敏)#抗击疫情央企行动#
Jasmine-junjun-悠悠,:今天不知道抽什么筋忍了怎么久从来没试过怎么强烈的辞职欲望突然知道自己受到不平等的待遇以及人资说话的语气我这的整个人都崩了开始思考我到底为了什么既然没有什么可以所学为什么要委屈求全呢真的新手在职场上不知所措在平常生活中就哔哩吧啦本来我刚开始也坚定这样的想法但后来不知道为什么自己不够胆去问本来转正就是理应谈判的事情想象最近忙到怎么晚怎么累好多事情都堆在一起周末还想让我加会班我对公司实在太多怨言了我也不抱任何希望了或许我真的受够了社会就是社会太卑微太难受了高层都在踢皮球这皮球啃不下去哈愿疫情好了愿好景也到来大晚上吃到姐姐心爱的手抓饼人间值得了得到集美们的开导人间值得
ZhuMERMione_,:bigshit今天突然煽情放了出道前的reaction那个时候戴着大金链子画着大黑眼线在火坑里跳舞穿着几十块钱的地摊货公司负债镜头被剪衣服上刻着大名打招呼的时候全身都在用力想得也不过是希望大家能记住哪能想到有一天就在玫瑰碗温布利开了万人巡演热百无派台能空降第四有连续四张b200冠专年度销量累计六百万格莱美也去了两次谁能想到呢
哗啦一夏,:#劳动法[超话]#公司坐标深圳，因为在疫区本人目前还无法回深，从入职以来至现在公司没有缴住房公积金，有签合同等协议，最近这几天得知公司再给其他员工办住房公积金福利，唯独没有通知在老家隔离的我，也就是没有通知就也没有办理，我该如何维权呢？很有可能就要被辞退。因为是电商这一块，所以公司设置了很多警告惩罚条例及公告，请问这些公告有法律效益吗？？
春城股手,:粤水电：联合中标两项目金额合计9001万元　　粤水电(002060)3月3日晚间公告，近日，公司与建工机施组成的联合体中标“广宁县绥江流域第二批中小河流治理(二期)工程施工总承包”、“广宁县绥江流域第三批中小河流治理(二期)工程施工总承包”项目，两个项目中标金额合计9001.18万元。根据联合体协议书，公司负责水利水电工程施工总承包叁级或以上资质所能承担的施工内容，并负责施工总承包管理工作。粤水电，筹码集中股。
柳州新闻网,:#柳州人柳州事#【【速看！柳州市公共交通推行“实名乘车码”乘车！】为了切实做好疫情防控工作，确保有效追溯重点疑似人员行程轨迹，掌握防范病毒传播途径，柳州市进一步深化客运车辆（含包车）、通勤车、公交车、出租车（含网约车）、水上公交实名乘车制度，各公司的营运车辆全部绑定“实名乘车码”，并自行打印张贴于车内前后排显眼位置。其中，乘坐公交车的市民需使用“龙城市民云”APP或“道行龙城”APP乘车功能，乘坐除公交车以外的其他交通工具，如客运车辆（含包车）、出租车（含网约车）等，需要使用“龙城市民云”APP扫码后方可乘车。请先自行或帮助不会使用APP的家人朋友下载好“龙城市民云”APP或“道行龙城”APP，并完成注册及实名认证，做好相关准备。
-KKKarMan-,:#宝马[超话]#接我的上一个超话今年我们的车准备买保险了在对比保险的过程中保险公司查到当初我们买新车时我们有一辆旧车做置换补贴但这辆车一年后还在我们名下并且重新上了粤G的牌还买了保险我们当时就很疑惑当初我们在4s店置换的车为什么还会在名下我们承认宝马的确是好车但这间4s店的行为令人失望🙂并且现在还需要我们自己来处理
科蒂莉雅le,:#斯黛拉怼江达琳#卫哲欠江达琳他们家人命啊，金牌公关人准备跟着江达琳当superman了？江达琳没脑子斯黛拉怼她都算客气了，全世界让着一个四六不懂的女主，卫哲护犊子有瘾啊。现在职场剧都怎么回事？男主装b女主蠢，老母鸡似的护小鸡，说的就是精英律师和完美关系。放现实里这种女主10分钟就被开了。总裁怎么了，影响公司利益董事会要求换人有问题吗。而且我真的怀疑编剧有没有在公司大楼里上过一天班。
四轮玩家,:【#华南海鲜市场开始消杀工作#预计5日消毒完毕并清空存物】#关注新冠肺炎疫情#3月3日下午16时许，数十位疾控消杀工作人员开始分队分批进入武汉华南海鲜市场。这标志着华南海鲜市场消杀工作正式展开。江卫消毒公司一名工作人员介绍，此前一个月，该公司员工每天都在市场内进行消毒。不过，由于所有商铺都处于关门状态，消毒工作无法进入到店内操作。http://t.cn/A67NoYZV
每天学点HRM,:个人认为加速了各行各业的洗牌，让实力强的公司变得更得更强了，实力弱的公司快速走向了没落，也加速了许多公司的死亡之路。也让许多人看清了，只有实业公司才能更好的发展，也让我们清醒的认识到，必须跟得上时代的发展，顺应潮流，才能在社会上有立足之地。一个公司要有自己的核心竞争力和技术，依附别人是很难走的更远的。国内经济短期内会收到影响，长期来看，确实给中国经济上了一堂很好的经济课，也看到中国经济的韧性和弹性。其实也告诉我们经济应该发展的重点和前景在哪些，我们必须清醒的认识中国经济现存的问题和不足，抓住这次复工复产的机会，重新认识经济发展的规律和变数，不断强化公司的软实力和硬件设施。一定不要受制于人!http://t.cn/A67SKIa4
看硅谷,:#硅谷快讯##世界发生什么事#【分析师：新冠病毒疫情不影响苹果5GiPhone的发布】美国投行WedbushSecurities今日发布投资研究报告，称冠状病毒疫情对苹果公司的影响只是暂时的，不会在很大程度上影响5GiPhone的发布。WedbushSecurities分析师丹尼尔·艾夫斯在报告中称，冠状病毒对苹果和iPhone来说不是一个永久性的问题，而更多的只是时间问题。艾夫斯认为，投资者应该更多地看到苹果服务业务的稳定性，以及5G“iPhone12”将为消费者带来什么，而不是关注冠状病毒带来的短期影响。http://t.cn/A67pVVnO
与你战痘到底,:汉威科技：红外热电堆传感器供不应求------汉威科技（300007）+0.48%在互动平台表示，公司红外热电堆传感器、热成像快速体温筛查等解决方案及系统都可以应用到疫情防控工作中，目前公司红外热电堆传感器供不应求，正在积极安排生产。公司持续深耕传感器技术，横向拓宽压力、流量、红外传感器等多种门类，成功研发出MEMS、热释电等智能传感器并得到市场认证。形成了“传感器+监测终端+数据采集+空间信息技术+云应用”的系统解决方案，覆盖智慧安全、智慧市政、智慧环保、健康家居等众多板块。未来MEMS传感器向消费电子方面应用一定是大势所趋。公司近几年不断加强MEMS传感器的技术研发及市场布局，未来随着MEMS传感器相关产品的逐渐批量生产，有望在消费电子及手机端市场进行大量应用。
--张姐姐,:今天是来广州下的第一场有那么一点大的雨🌫️加班到九点半为了明天要讲的PPT回到寝室🏠还忘记打下班卡又跑回公司打卡🔶回来路上去了一趟便利店🏪里面的小哥给了我一叠纸⬜我以为我没有带口罩他要让我捂起来😷结果他说了一句我看你全身都湿透了🤧这世上善良的人总是很多的
火速头条,:#火速头条#【重磅丨#茅台换帅#高卫东履新李保芳力推的营销改革还会继续吗？】第一财经记者从不同消息源交叉了解到，3月3日，茅台集团发生重大人事变动，原茅台集团董事长李保芳不再担任当前职务，而接替他的是，贵州省委委员、贵州省交通厅厅长高卫东。截至第一财经记者发稿时，贵州茅台公告，根据贵州省人民政府相关文件，推荐高卫东同志为贵州茅台酒股份有限公司董事、董事长人选，建议李保芳同志不再担任公司董事长、董事职务。值得注意的是，此番茅台集团换帅前，近日内部还进行了一场密集的人事变动。2月28日晚间，贵州茅台发布第二届董事会2020年度第三次会议决议公告，审议通过《关于聘任高级管理人员的议案》《关于免去部分高级管理人员职务的议案》，聘任涂华彬、王晓维同志为公司副总经理，免去万波、张家齐、李明灿同志公司副总经理职务。在这波调整中，袁仁国的旧部基本退出了上市公司管理层行列。
_ChanU_,:如鲠在喉如鲠在喉啊
花钱的猪肉,:#武汉日记#感受到作为一个职场女性的难过。休产假期间，公司内部管理结构调整，把我的职位给优化掉了。休完产假回去上班后，说给我安排了一个岗位，可是又没有发文，也没有通知，也不安排工作，编制也不调整过去。接着，就开始休产假了，说在家办公，我也是时刻待命的状态，只要说有事情安排下来，也是第一时间去完成，但是现在要发工资了，这边说看不到我工作的痕迹，那边说我不属于他们，推来推去，也不给我发工资，这是不是逼迫我辞职啊！！！！真的好伤心啊！在家办公是被疫情所迫，难道要我时时刻刻证明我在电脑前随时准备的状态吗？我好想哭，有没有人可以给我一个解决方法啊
TT-沫潇潇,:#张国荣[超话]##十七周年继续宠爱张国荣#第二次的工作邂逅　　许愿：　　第二次工作上的邂逅是《金枝玉叶》。Leslie返港拍《霸王别姬》，大家都要求他再唱歌，但他觉得没有一个理由去唱。　　很有缘地，《金枝玉叶》的剧本出来了，大家觉得张国荣是唯一可以演那个角色的人选，我便趁机安排Leslie在戏中唱＜今生今世＞和＜追＞这两首歌。我对他说虽然戏里角色不是歌星，但他是监制，要作曲，他在戏里需要唱歌，这样骗了他唱歌，其实是半骗半哄，一半是他情愿的。而在Leslie过世前半年内，他购回这两首歌的版权（注：电影版本和＜宠爱＞的版本不同），我相信Leslie是有计划再推出这两首歌。这两首歌大家在电影里面听到只是部份的版本，全部版是Stereo的，希望唱片公司快些出版他替我录音的Stereo版本，是很震撼，很犀利的。http://t.cn/A67bYnYB
JuvenBron,:不只是封号事件啊，这App的所作所为让人作呕🤮。我是一个尤文球迷，在懂球帝上遭遇了各种不公平待遇。赌球帝真的就是苏宁一条狗，各种偏袒国米，发布一些对尤文不利的新闻。无缘诽谤尤文举报也不成功。行，你任由用户诽谤一家国外俱乐部，我忍了。但是带节奏我真的说不过去了。这种行为能让我吐出来。张康阳在IG上怼意甲主席，半天没提尤文，只是在最后希望尤文球迷能保持健康，你隔这儿偷换概念？这事儿和尤文有什么关系？在这里提电话门？评论区腥风血雨。请贵公司出来解释一下@懂球帝#懂球帝封号##懂球帝恶意删号##香港是中国的香港#（最后一个tag为了引起关注，如有打扰先行道歉）
通信云计算,:发个八卦微盟这家很优秀的互联网公司，在2月23日去遭受了很大的创伤，在互联网行业一直流传着程序员删库跑路的段子，这一次出现在微盟这家公司。是的，微盟的程序员删库了！千万不要小看一个普通的员工，特别是掌握着一家互联网公司核心服务的程序员。微盟被删库后，整个公司的服务瘫痪，接下来大概一周的时间，公司股价蒸发31亿港币（约合27亿人民币）。程序员删库的原因？对于一家互联网公司来说，删库带来的损失不可估量，这次微盟公司的损失不仅仅来自于27亿元股价的蒸发，还有服务的300万商户店铺也瘫痪，带来的损失不知如何计算。本来这段时间实体店生意很难做，现在出了这件事之后，最可怜的倒不是微盟的老板，而是三百万商家。微盟删库的事情，在整个互联网圈子里面成了一个热点话题。虽然很多程序员每天挂在口头上的段子删库跑路，但是非常少见真的有人会做出这样的事情。于是很多人对这名程序员感到好奇，到底有什么仇什么怨会让他删了公司的数据库？根据知名媒体人士李子湃所透露的消息，微盟删库事件的原因是某高管绿了员工，还要声称把这名员工裁撤掉，导致了这名程序员删库报复。在网络上也有很多网友爆料，似乎原因就是这个，但未考证。微盟的CEO孙涛勇近期成了热点人物。
顾轻决_loveDL,:#肖战#作为路人粉，我真的是始于颜值，陷于才华的，一开始就是同事那听说了肖战，觉得长得挺好看的，因为是个颜控，所以有了关注，最近几天才真正正正看了《陈情令》看的时候还特别磕颜值其实就是特别想真心的说一句，现在这个事就相当于看公司一个人不顺眼，把人家公司干倒闭了一样明星需要有自己个人空间，不管我们有多喜欢他都不要波及到他的私生活有句话说的真的挺好的“爱他，就离他远一点”，毕竟距离产生美嘛
宁夏共青团,:【#国务院鼓励阶段性为出租车司机减免份子#】今天，国务院常务会议指出：①要取消不合理复工审批；②要加大减税降费力度，降低部分政府管理的机场服务收费等；③要鼓励保险公司适当减免疫情期间停运的营运车辆、船舶、飞机保险费用，鼓励各地采取阶段性减免“份子钱”等措施，帮出租汽车司机渡过难关。#我在宁夏为武汉加油##宁夏团团在行动#@央视网http://t.cn/A67NHo0M
IT互联网大神,:【#世界首款碳纤维智能手机#，仅重125g，限2000台】2月26日，德国公司CarbonMobile推出由混合碳纤维复合材料制成的Carbon1MKII智能手机，限量2000台，售价799欧元。碳纤维重量极轻，结构强度高但无法接收任何信号，此前鲜有用该材料制成的手机。该公司通过HyRECM技术解决了这一难题。http://t.cn/A67NcTPN
智庸智庸,:寒心无奈投诉自如！来深圳连租了三年的自如，一直感觉都很好，最近两年租的小房子里，因为喜欢，我把其他两间也租了下来。你每年涨房租我也认了，但是不能杀熟啊？！最近的一个管家没有任何服务，也没有联系我们续约，我们找他提前续租他还推脱不急，现在反过来告诉我们每年的续约优惠过期了！而且今年还涨了三千多房租！与管家协商也是态度强硬，希望自如公司能给个说法！谢谢！@自如熊林@自如租房@自如客服@自如客http://t.cn/8kPmMmM
咕咕一飞,:看到了这个。这种感觉就像，“留给你的最后的、关于她的痕迹也没有了，连同她这个人，一起彻底消失在人世间”。突然想起很久以前看过的一个故事，就是一个人去世了，家人请求通信公司不要注销已故者的电话号码，这样想念的时候可以发个短信，或者打电话听听他/她留下的语音设置：“对不起我现在没接到你的电话，麻烦留下你的信息，我稍后回拨……”之类的。
新京报旅游周刊官微,:【华天酒店：受疫情影响，一季度业绩将受一定程度影响】3月3日，华天酒店集团股份有限公司发布关于疫情对经营影响及应对措施的公告。华天酒店表示，因新冠肺炎疫情的暴发，公司2020年第一季度业绩预计将受到一定影响，基于目前对疫情何时结束、商旅消费市场的恢复情况均存在不确定性，本次疫情对公司2020年度整体经营业绩和相关业务影响的具体数据暂无法准确预计。http://t.cn/A67py3PQ
行游大连,:【#华南海鲜市场开始消杀工作#预计5日消毒完毕并清空存物】#关注新冠肺炎疫情#3月3日下午16时许，数十位疾控消杀工作人员开始分队分批进入武汉华南海鲜市场。这标志着华南海鲜市场消杀工作正式展开。江卫消毒公司一名工作人员介绍，此前一个月，该公司员工每天都在市场内进行消毒。不过，由于所有商铺都处于关门状态，消毒工作无法进入到店内操作。据悉，工作人员会通过临时搭建的消毒通道，进入商铺，对囤积的货物进行彻底消杀处理，预计3月5日前完成。http://t.cn/A67NcWPZhttp://t.cn/A67NcWP2
IT猎头fancyfrees,:#最新上海招聘[超话]##上海招聘[超话]##最新上海招聘##产品经理#美国上市公司上海office招聘：产品总监，985及以上学历，工作10年以上，英语口语流利希望来自：知名互联网广告，电商，社交相关行业（技术背景后转产品，数据的对接）汇报：美国总部工作指责：负责整个上海Site的产品福利：福利超赞包满意，➡️具体的可以电话或者微信我（电话：18621580540）
正路之星,:【华力创通：预计一季度净利润为2041.38万元–2245.52万元，同比增长100%-120%，主要因为公司业务整体呈现恢复性增长态势。●白银有色：下属公司15.52亿元减持斯班一3.60%股权】白银有色公告，下属全资公司第一黄金减持斯班一静水有限责任公司9599.998万股股票，减持股份数量占斯班一总股本的3.60%，交易金额约为15.52亿元人民币，占公司最近一期经审计净资产的10%以上。减持后，第一黄金尚持有斯班一3.27亿股，占斯班一总股本的12.26%，仍为斯班一第一大股东。如果你还拿着可私信我给你一个提示
NCI金豪杰,:【如何销售宜家版】我眼中的宜家版卖点：1.多病种，保障全未取消甲状腺癌重疾病种，而且升级病种至157种，使客户权益更全面。2买的起、有保障18年交费，针对于老客户的专享福利3.轻症豁免，轻症最对可赔3次，轻症豁免保费《重疾不重》谈到重疾为什么压力大：经济压力、疾病压力，精神压力。免费轻症豁免，轻症理赔不影响重疾且合同继续有效，保障客户最大经济利益。费率较低延续“低保费，高保障”特点，满足客户阶段性需求，是青中年客户的保障首选。🤔如何销售宜家版？谈责任：1.我们的责任——销售保额，而不是保费。2019年上半年全国居民人均可支配收入实际增长6.5%，但是国民的健康险人均保额还是很低，很多人的观念还停留在“保险买了，买的什么不知道，多少保额不知道”的状态。借助总公司的赠险活动，可以谈及客户的保障分类后续见面进行进行保单检视销售理念——销售保额，而不是保费。因为销售保额是真正站在客户的角度，销售保费是站在营销员的角度，保险销售是爱与责任的传递。🤔如何设计：1️⃣要求：销售健康无忧C3必须30万起步。只有开口30万保额，才匹配客户未来的重疾治疗需求。（根据客户需求再调整保额）2️⃣产品设计——专业重疾险+华贵心脑浙分上半年理赔数据显示，理赔疾病种100%是癌症，其次是心脑血管疾病。新华有两款专门的癌症短险——i他和i她，现在升级版健康无忧C3，通俗来讲就是“健康无忧C+i他/i她”，搭配我们的拳头附加险康健华贵B和心脑血管，解决客户80%的重疾需求问题。3️⃣产品设计——健康无忧C3宜家版+康健华贵B+住院无忧+附加心脑血管+附加投保人豁免要求：必须附加华贵心脑。附加特定心脑血管疾病保险提前给付保额给客户，而且拥有身价保障，这个附加险在市场上拥有绝对领先地位。🤓队伍对C3的呼声一定是客户的需求，产品设计再饱满些，全面全额全家🌹改编自戴一帆经理
中国警察网,:【男子网上#虚假售卖额温枪诈骗百万#】3月3日，湖北荆州警方通报一起网上虚假售卖额温枪诈骗百万的涉疫案件。2月21日，荆州一家医药公司报案称，网上采购额温枪被骗63万余元。经审讯，嫌犯樊某通过网上发布有大量额温枪货源的不实信息，对多省市企业和个人实施诈骗，涉案金额100余万元。#疫情当前警察不退#http://t.cn/A67CsuKE
中方信富陶冶,:信维通信布局滤波器和PA领域------信维通信（300136）在滤波器方面开始产品设计、样品制作和验证，目前，公司的滤波器产品优势在于：产品性能达到国际一流技术水平，基本覆盖各个产品型号；领先的滤波器产品设计能力，具有较高成本优势；公司积极筹备滤波器产品的自主制造能力，为射频前端全部产品线提供足够支撑。在PA方面，公司已经拥有中低端PA的自主设计能力，已通过收购深圳瑞强，整合成熟的PA销售网络；瑞强直接入股WiPAM公司，同时也是WiPAM中国区的唯一销售渠道，公司会借此引入高端PA开发能力。在射频开关和调谐器方面，根据市场需求，公司正在开发多款Switch和Tuner产品。目前已完成流片，性能满足设计要求，预计年内可以形成产品销售和供货。未来将加快开发5G通信市场迫切需求的Switch和Tuner产品，丰富产品线，积极满足客户需求。
凤凰网财经,:【这些上市公司能产新冠肺炎“特效药”？吹牛要上税！】新冠肺炎疫情期间，蹭“瑞德西韦”热点，从速处罚！3月1日，登陆资本市场不到半年的科创板上市公司博瑞医药就吃了一张罚单，原因是公司乱蹭热点，攀扯上“瑞德西韦”，公司董秘王征野被通报批评。3月1日，物产中大也收到了上交所纪律处分决定书，对物产中大及董事会秘书陈海滨予以通报批评。3月1日，深交所纪律处分委员会对海南海药给予通报批评；对海南海药董事会秘书李日萌给予通报批评处分。http://t.cn/A67pZrmR
浮殇yaco,:“为什么，人心换不来人心？”人心换人心换不来就死心年龄越长，越能体会，世事难料，人心难测。有些人，你诚挚的给予信任，换来的却是两面三刀；有些人，你真诚的给予关心，换来的却是敷衍与嫌弃；有些人，你诚心的给予帮助，换来的却是得寸进尺。常说，人与人之间的相处，就是人心换人心。然而，现实中，你掏出一颗心，未必能换回一份真，相反的，你越是赤诚，越容易受伤害，你越是包容，越容易受委屈。穿梭于形形色色的人群，常常想：为什么真心总是得不到善待？为什么人心换不来人心？在这个真真假假的世界，总有许多披着虚伪面具的人，总有许多冷漠无情，忘恩负义的心。很多时候，你对ta知无不言，ta却对你处处算计；你把ta当做生命中的至交，ta却把你当做前行路上的垫脚石。我想，这是就答案。社会的复杂，人情的薄凉，各种伪装与套路，各种利用与谎言，似乎成了人与人之间相处的潜规则。电视剧《小欢喜》中，小金与童文洁之间的纠葛，很好的给我们上了一堂课。小金是童文洁一手培养出来的助理，她毫无保留的传授小金各项业务能力，处处帮衬她，提点着她。后来，童文洁因为家里的事情，多次向公司请假，不料，回到公司之后，却被通知降职，小金则顶替她的职位，成为了她的上司。原来，小金在她面前的温和虚心都是伪装出来的，实际上，她一直都在谋划，一直都在寻找机会取而代之。在童文洁心里，小金是自己最信任的人，一直都对她倾囊相授，结果，小金不仅知恩不报，还背后算计，落井下石。世人之心，犹如深潭，你永远都摸不清，看不透。有时候，身边最亲近的人，可能伤你最深，你一直都真心相待的人，可能始终在欺骗你，利用你。当经历的多了，也应该看得更明白了，这个世上，人心往往换不来人心，认真也总是得不到情深。究其原因，不是你不够真，也不是你做的不够好，而是社会太现实，人心太难测，即便你付出百分之百的坦诚，有些人也当做是虚假，回以冷酷无情。要知道，一颗真诚纯粹的心，给对了人，是可贵，换来的是珍惜，给错了人，是廉价，换来的是伤害。以前，相信过，一物可以换一物，人心也可以换人心。而今，世风日下，人心不古，你掏心掏肺的付出，未必能换来真诚相待，你竭尽所能的努力，也未必能得到认可。往后，与人相处，可以继续保持真心实意，但是，也要懂得如何避免被辜负与伤害。来来往往中，太多的人，知人知面不知心，要学会少一些盲目付出与期待，多一些自我与防备。
温江发布,:【温江区政协委员姜利:全力保障防疫企业正常运转】#温江快讯#新冠肺炎疫情发生以来，温江区政协委员、三医创新中心一、二期运营方、成都连康投资有限公司总经理姜利就投身防控一线。春节期间，三医创新中心一、二期内有生工生物等4家防疫医疗物资研发生产企业未停工，为了让他们有个安全的工作环境，姜利和同事们严格落实防控措施，每天对园区进行全面消毒，登记、排查返温员工信息，并上门解决企业难题。目前，三医创新中心已有27家企业已经复工，正常运转。（温江融媒记者：黄若思、廖振宇）http://t.cn/A67CVgBb
绵州先锋,:【#可口可乐受疫情影响供应链被打乱#这几款饮料或要断货】据CNN报道，可口可乐公司在年度报告中表示，因为受新冠肺炎的影响，部分产品的供应链被打乱。来自中国的人工甜味剂可能会供应短缺，这可能会导致可口可乐diet和zero-sugar系列产品的生产和出口被推迟，或出现全球断货问题。http://t.cn/A67a2FSv
京津冀大新闻,:涉美CIA攻击组织对中国关键领域网络攻击，长达11年“国际安全智库”微信公号3月3日发布文章，披露了美国中央情报局CIA攻击组织（APT-C-39）对中国关键领域长达十一年的网络渗透攻击情况。　　文章提到，360安全大脑捕获了美国中央情报局CIA攻击组织（APT-C-39）对我国进行的长达十一年的网络攻击渗透。在此期间，我国航空航天、科研机构、石油行业、大型互联网公司以及政府机构等多个单位均遭到不同程度的攻击。文章称，不但如此，360安全大脑通过关联相关情报，还定位到负责从事研发和制作相关网络武器的CIA前雇员：约书亚·亚当·舒尔特（JoshuaAdamSchulte）。在该组织攻击我国目标期间，他在CIA的秘密行动处（NCS）担任科技情报主管职位，直接参与研发了针对我国攻击的网络武器：Vault7（穹窿7）。这部分相关线索，更进一步地将360安全大脑发现的这一APT组织的攻击来源，锁定为美国中央情报局。
