用户6185715777如鹰,:霍阳任梅州市副市长霍阳任梅州市副市长
梅州电台新闻台,:【周知！3月2日起，梅州市妇女儿童医院全面恢复正常医疗业务】尊敬的市民朋友：根据当前新冠肺炎疫情防控的工作要求，既要做好有效的科学防控，也要满足群众的基本就医需求。我院决定于3月2日起，各院区所有科室（口腔科除外）全面恢复正常开诊。与此同时，因业务发展需要，3月2日起原院本部盆底康复中心搬迁至凤尾院区三楼开诊。望广大市民朋友相互告知，感谢您的理解和支持！
中国社会福利基金会,:#武汉加油#@中国社会福利基金会2月26日-28日，广东省伙伴机构-英德市亮石志愿者协会联合梅州市关爱妇女儿童社会组织中心、清远市青桥社会工作、韶关市乐善义工会和广东救援辅助队、湛江市情暖湛江志愿者协会在清远、韶关、广州和英德、梅州、湛江开始疫情防控工作。各伙伴主要开展社区消杀、驻点排查、线上线下宣传和物资捐赠活动。其间，在8个社区、街道进行了防疫宣传和物资发放，对8个社区、单位、街道进行了防疫消杀、人员排查等工作，预计受益人数达到10000人次；湛江市情暖湛江志愿者协会，持续开展慰问一线防控点防控人员的活动，组织志愿者早晚给一线防控人员送餐。
梅州天气,:【傍晚天气预报】今天晚上到明天白天，全市多云到阴天，有分散小雨，最低气温16到18度，最高气温26到29度，偏南风1到2级，森林火险气象等级3级。梅州市气象台29日16时发布
海珠男孩刘玉玉,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈经典名场面bot的微博视频
成都小-娃儿,:#旅游博主宅家攻略#广东给人最深刻的印象是什么？在我看来，是早茶文化。但除了风味美食，广东给人最深刻的自然景观有哪些呢？位于广东梅州的五指石风景区，至今令我难忘。五指石位于梅州市粤、赣、闽三省交界的平远县一个小镇上，叫差干镇。它汇聚了“丹霞地貌、森林生态、人文古迹”三大景观，...展开全文c
DexCool,:《涉嫌销售6.9万只假冒品牌口罩广州花都一男子被公诉》根据梅州市人民政府发布的《关于加强野生动物资源保护的通告》，从2017年1月1日起，梅州市为禁猎区，禁猎期5年。http://t.cn/A67cScDg
梅州电台新闻台,:【关于印发梅州市商业服务区复工复市新冠肺炎疫情防控工作指引的通知】为做好我市商业服务区复工复市新冠肺炎疫情防控工作，贯彻落实《广东省应对新型冠状病毒肺炎疫情分区分级防控工作指引(试行第二版)》(粤防疫指办明电〔2020〕42号)和《关于确认梅州市新冠肺炎疫情防控等级的通知》(市防疫指函E2020〕95号)的有关要求，做到疫情防控和复工复市两不误。根据当前新型冠状病毒肺炎疫情防控工作进展，我们组织编制了《梅州市商业服务区复工复市新冠肺炎疫情防控工作指引》，现印发给你们，请参照执行。
梅州电台1058,:【早间天气预报】今天白天，全市多云到阴天，最高气温28到29度，偏南风1到2级，森林火险气象等级3级。梅州市气象台29日6时发布
梅州电台1058,:【床位更充足设备更尖端，梅州市人民医院全新血液净化中心启用】对于末期肾病患者来说，血液透析是一种主要的治疗方式。近日，梅州市人民医院全新的血液净化中心正式投入使用。更充足的床位、更尖端的设备，将大大方便患者就医。#梅州身边事##新型冠状病毒#
梅州天气预报,:梅州市，今天多云转阵雨，17~29℃，微风，空气优http://t.cn/EIN86UJ
梅州天气,:【早间天气预报】今天白天，全市多云到阴天，最高气温28到29度，偏南风1到2级，森林火险气象等级3级。梅州市气象台29日6时发布
用户6377674907,:【雁鸣湖】雁鸣湖是个诗意的名字，梅县这个美丽的湖泊因大雁南飞北归在这块风水宝地上栖息，为这里的“山明水秀，鸟语花香风”而鸣唱，因而称为“雁鸣湖”。雁鸣湖旅游度假村坐落于伟人叶剑英元帅的故乡——梅县雁洋镇南福村，距广东梅州市城区38公里，占地1.1万亩。金华·金竹园村
跨年嘉年华,:云舞裳丨舞蹈女子群舞《竹舞声韵》梅州市山歌剧团有限公司第六届岭南舞蹈大赛参赛舞蹈客家竹板古典舞跨年嘉年华的微博视频
梅州新闻联播,:【床位更充足设备更尖端，梅州市人民医院全新血液净化中心启用】对于末期肾病患者来说，血液透析是一种主要的治疗方式。昨天，梅州市人民医院全新的血液净化中心正式投入使用。更充足的床位、更尖端的设备，将大大方便患者就医。#梅州身边事##新型冠状病毒#
梅州新闻联播,:【客家村镇银行3亿元“复工贷”助力个体工商户、小微企业复工复产】连日来，梅州市市场监管局、梅州市个体私协、梅县客家村镇银行共同发起“送贷入户”行动，计划投入3亿元“复工贷”，助力个体工商户、小微企业复工复产。#梅州身边事##新型冠状病毒#
梅州日报,:【@梅州学生，你们的新教材到啦！怎么领取？看这里…】#梅州新闻[超话]#分教材、打包、搬运包裹、快递……28日下午，记者在嘉应中学学校礼堂看到，几名教师正在将新课本和教辅书打包好，准备快递给学生。记者从梅州市教育局获悉，目前新学期教材已经送达各学校，为避免人群聚集，部分学校已安排快递寄送教材给学生。http://t.cn/A67qKSvX
梅州供电,:#直击一线#【精准服务，保电有力】“这台发电车快速接入装置，可以保证应急电源快速、安全、可靠接入，能够有效节省50-60%的时间，实现用户快速复电。”来自梅州城区供电局的工作人员介绍着
梅州新闻联播,:【梅州医疗队转战荆州市公安县“小汤山”】2月26日下午，梅州市援助公安县医疗队转战被称为湖北省荆州市公安县“小汤山”的新冠肺炎紧急救助中心，并顺利完成转岗工作。#梅州身边事##新型冠状病毒#
梅州新闻联播,:【梅州各学校开始发课本啦！你的教材已经在路上咯】记者从梅州市教育局获悉，目前新学期教材已经送达各学校，为避免人群聚集，部分学校已安排快递寄送教材给学生。#梅州身边事##新型冠状病毒#
梅州电台新闻台,:【上央视了！梅州籍95后女护士湖北战疫，在梅州柚上留下祝福】近日，南方医科大学南方医院口腔科的一名护士上了央视新闻，她是南方医院支援武汉医疗队里年龄最小的队员。她出生于医生之家，她拥有一颗医者仁心，她就是梅州市丰顺县丰良籍的女护士何丽娜。（via。梅州新闻联播）
人民法院报,:#共同战疫法院在行动##法治初心勇担使命#【异地视频连线，助老人领回儿子生命赔偿款】近日，广东省@深圳市龙岗区人民法院执行指挥中心进行了一场特殊的视频连线，执行法官与身处梅州市蕉岭县法院执行指挥中心的两位80岁老夫妇通过视频，执结了一宗强制执行案件，帮助两位老人拿到了40多万元的执行款，而这笔钱，则是他们儿子生命赔偿款的最后一笔余款。http://t.cn/A67b6Si2
快手娱乐头条,:今年1-2月，@散打哥和广东省扶贫基金会“散打家族爱心基金”向武汉市、梅州市、梅州市平远县、湛江廉江市、茂名电白县有关单位和深圳公安局发起防控新型冠状病毒肺炎疫情物资捐赠。#揭秘散打哥#
梅州天气,:【傍晚天气预报】今晚到明天，全市多云到阴天，最低气温16到18度，最高气温28到29度，偏南风1到2级，森林火险气象等级3级。梅州市气象台28日16时发布
梅县区交警,:#关于停用微博账号的公告#梅州市公安局梅县区分局交通警察大队注册的微博账号“梅县区交警”于2019年10月26日起停用，不再更新内容，该账号正在申请注销中。特此公告。梅州市公安局梅县区分局交通警察大队2019年10月26日
梅州新闻联播,:【245起涉疫情案，年龄最小14岁，梅州警方这场发布会还通报了…】新冠肺炎疫情防控工作开展以来，梅州市各级公安机关抽调精干警力迅速组建疫情防控工作专班、大数据工作专班，同时，将打击涉疫情违法犯罪工作纳入“梅安2020”专项行动，市、县公安机关成立专案组，配合联动、重拳打击各类涉疫情违法犯罪。2月28日上午，梅州市公安局召开新闻发布会，就梅州公安机关开展打击涉疫情类违法犯罪有关情况进行通报。#梅州身边事##新型冠状病毒#
梅州电台新闻台,:【245起涉疫情案，年龄最小14岁，梅州警方这场发布会还通报了……】新冠肺炎疫情防控工作开展以来，梅州市各级公安机关抽调精干警力迅速组建疫情防控工作专班、大数据工作专班，同时，将打击涉疫情违法犯罪工作纳入“梅安2020”专项行动，市、县公安机关成立专案组，配合联动、重拳打击各类涉疫情违法犯罪。2月28日上午，梅州市公安局召开新闻发布会，就梅州公安机关开展打击涉疫情类违法犯罪有关情况进行通报。据了解，在开展打击涉疫情违法犯罪行动中，梅州市公安机关毫不动摇坚持依法严打方针，按照“快受理、快立案、快侦查、快破案、快公开”的工作原则，严厉打击整治各类涉疫情违法犯罪，重点打击涉疫情电信诈骗、妨害公务、利用疫情哄抬物价、囤积居奇、制售假冒伪劣产品、非法收购运输出售野生动物、妨害传染病防治、故意编造传播虚假及有害信息等突出违法犯罪，全力为疫情防控创造平安稳定的社会环境。同时，梅州市公安局专门向社会发布《梅州市公安局关于依法严厉打击新型冠状病毒感染肺炎疫情防控期间违法犯罪行为的通告》，明确重点打击“十二类”涉疫情违法犯罪行为，有效震慑各类涉疫情违法犯罪活动。截至2月27日，全市公安机关共查破涉疫情违法犯罪案件245起，查处各类违法犯罪人员204人。其中：查处利用疫情哄抬物价、囤积居奇等违法案件7起7人；查处拒不执行紧急状态下的决定命令案件56起79人；查处阻碍政府工作人员执行职务案件11起11人；查处打击野生动物交易、运输违法犯罪4起4人；查处网上造谣滋事违法犯罪17起42人；共接涉疫电信网络诈骗警情116起，立案65起，破案149起（破本地案件38起，协助外地破案111起），抓获犯罪嫌疑人59名，止付涉案资金37489元。1至2月份，全市共破获刑事案件616宗，刑事拘留295人，逮捕346人。下一步，全市各级公安机关将继续对各类涉疫情违法犯罪重拳出击、铁腕整治，全力维护好社会治安秩序，全力服务梅州疫情防控和经济社会发展大局。
梅州天气,:【中午天气预报】今天中午到明天早晨，全市多云到阴天，最低气温15到18度，最高气温25到27度，偏南风1到2级，森林火险气象等级3级。梅州市气象台28日10时发布
尤米文化传媒有限公司,:#梅州婚礼策划##梅州市尤米文化传媒#备婚路上总是有很多难题在备婚之前新人们一定要听听这8条建议
梅州天气预报,:梅州市，今天阴，16~26℃，微风，空气良http://t.cn/EIN86UJ
真空泵201908,:#梅州足球#梅州红五环集团办事处，梅州市粤华矿山机械有限公司，刁桂林总经理13802361724，代理空气悬浮鼓风机，高效率低噪音，长寿命免维护，全无油梅州真空泵201908的微博视频
用户6347081654,:@梅州市城综局这个网吧晚上这个时候还在营业，能不能管理一下，好可怕梅州·佳佳网吧
雅西大山,:每日人文地图|广东省梅州市每日人文地图|广东省梅州市
梅州天气预报,:梅州市，今夜多云转阴，15℃。明天阴，15~26℃，微风，空气良http://t.cn/EIN86UJ
梅州发布,:#梅州微闻#昨日上午，“同舟共济·共抗疫情”梅州市农业企业向湖北荆州捐赠抗疫物资发车仪式在广东村之翼科技有限公司举行。市委副书记、市长张爱军，市委常委、常务副市长吴晓晖，副市长温向芳等参加发车仪式。
黄山公安在线,:#安徽公安抗击疫情#【交警护航客运公司复工】2月27日，凯鸿客运公司安排车辆履行农民工返岗省际包车订单（歙县至广东省梅州市）。车辆出发前一天，26日上午，@黄山公安交警在线直属二大队民警来到公司，督导企业对车辆做好消毒处理，同时对配套的消防器材、汽车车胎等开展故障排查，消除安全隐患。
May_性感玉米,没有手机的童年，这才是我的童年，看着每一张照片都有回忆~(•́.̫•̀)
旅人录,:#疫情之后去哪玩#讨论这样的话题，是很减压很让人期待的事情。如果是你，你最想去哪里玩？从家乡开始，把家乡的美再记录一遍，或许是个不错的选择。我的家乡是广东，广东一共有21个地级及以上城市：广州市、深圳市、珠海市、汕头市、佛山市、韶关市、湛江市、肇庆市、江门市、茂名市、惠州市、梅州市、汕尾市、河源市、阳江市、清远市、东莞市、中山市、潮州市、揭阳市、云浮市。默念着这些城市的名字，都会想到这些城市的文化风景和美食，每个都很独特，等疫情结束到这些城市逛吃逛吃逛吃，是一件非常幸福的事情。#我为家乡当旅行推荐官#
用户6374727742,:【益塘水库】益塘水库位于五华县城西北方向，距县城20公里，离广梅汕铁路华城火车站12公里。省道华中线、水潭线均经此地。该水库始建于1971年，集雨面积251平方公里，库容1.6亿立方米，库区水面1.2万亩，山地2万多亩
4佑我所想,:#【轻松筹】爱心接力！-希望大家伸出援手帮帮我，愿好人一生平安。-轻松筹##轻松筹#各位爱心好心朋友，您们好！我叫翁国产，今年37岁，家住广东省梅州市五华县周江镇桂子村，是一名朴实的农民。二月十七号晚我感...http://t.cn/A67280nO
梅州电台1058,:【早间天气预报】今天白天，全市多云到阴天，最高气温26到27度，偏南风1到2级，森林火险气象等级3级。梅州市气象台27日6时发布
盛创蜂巢,:赖万里，男，1975年9月出生于江西吉安，祖籍广东省梅州市；国家教育部万名创新创业导师、广东青年创新创业导师、香港亚洲商学院副院长，东莞理工学院兼职教授/创业导师，东莞城市学院／创业导师，资深品牌营销策划师；现任广东盛创蜂巢孵化器有限公司、广东智汇蜂谷人才服务有限公司和广东省盛创蜂巢科技有限公司董事长、东莞市蜂巢社会组织服务中心理事长。
青春大尉,:每日人文地图|广东省梅州市http://t.cn/A67AnEc1
浦芮悦_,:
用户7400569699,:来自广东省梅州市大埔县高陂镇平原村斗鱼养殖基地，有喜欢的嘛，无聊可以在家养养鱼，童年记忆。梅州·五家斜村
萃之,:[点亮橙色]
梅州电台新闻台,:【最高27℃！2月27日梅州天气预报】今天晚上到明天白天，全市多云到阴天，最低气温16到17度，最高气温26到27度，偏南风1到2级，森林火险气象等级3级。（梅州市气象台2020年2月26日发布）
梅州新闻联播,:【白衣战士辛苦了！深圳红荔慈善基金会慰问梅州市一线抗疫医务人员】今天下午，深圳市红荔慈善基金会在市人民医院举行慰问梅州市一线抗疫医务人员捐赠仪式。副市长张晨出席活动。此次深圳市红荔慈善基金会筹集了129.5万元用于关心慰问我市一线防疫医务人员，其中，捐助梅州市支援湖北医疗队慰问金51万元、捐助市人民医院抗疫一线医务人员慰问金50万元、捐助兴宁市水口人民医院抗疫一线医务人员慰问金28.5万元。据了解，深圳市红荔慈善基金会是由兴宁优秀乡贤为主导的慈善组织，疫情期间共筹集善款和物资达1483.30万元，向湖北省、梅州巿、兴宁市及深圳市等地区进行爱心捐赠。#梅州身边事##新型冠状病毒#
梅州日报,:#梅州新闻#【成功拉通主线17公里！大丰华高速田心一号大桥顺利完成架设】2月26日，伴随着最后一块预制板的顺利架设，大丰华高速TJ5合同段田心一号大桥完成架设，是项目复工复产后首个顺利完成的工程节点，施工进度没有受到疫情影响，比年前制定的计划提前3天完成。据了解，田心一号大桥位于梅州市五华县，桥长306米，采用整体式断面设计，上部结构采用预应力砼小箱梁，下部结构采用柱式墩、柱式台。大桥地处低缓丘陵地段，跨山间洼地，地势起伏较大，施工组织难度大，安全风险高。http://t.cn/A67ZdnMv
梅州天气预报,:梅州市，今夜多云，16℃。明天多云，15~25℃，微风，空气良。与今天相比，气温将下降5℃，请适时增添衣物，谨防感冒!http://t.cn/EIN86UJ
艳秋Cynthias,:#旅游博主宅家攻略#广东给人最深刻的印象是什么？在我看来，是早茶文化。但除了风味美食，广东给人最深刻的自然景观有哪些呢？位于广东梅州的五指石风景区，至今令我难忘。五指石位于梅州市粤、赣、闽三省交界的平远县一个小镇上，叫差干镇。它汇聚了“丹霞地貌、森林生态、人文古迹”三大景观，...展开全文c
梅州消防,:#消防小课堂[超话]#【疫情防控期间我们大家该怎么做】疫情防控期间不忘消防安全！！！梅州市消防救援支队提醒您：防疫防火两不忘，远离火灾保安康。居家不忘：清理阳台、清理楼道、清理消防通道。人走不忘：熄火、断电、关燃气。#消防安全知识#
梅州市环境保护局,:企业家捐赠物资助力梅州生态环境部门打赢抗疫攻坚战2月25日上午，梅州市外出青年企业家经营的企业广州领姿生物科技有限公司向梅州市生态环境局捐赠了75消毒酒精喷雾（100mL）500支、抗菌免洗净手凝露（300mL）300支、84消毒液（800mL）300支和84消毒液（20kg）20桶等抗击疫情物资，总价值41200元。另新态环保科技（佛山）有限公司捐赠新冠肺炎疫情防控物资免洗抑菌凝胶150瓶，梅州市新阶联捐赠口罩200个。疫情防控工作开展以来，梅州市生态环境部门重点负责一线的新冠医疗废物和医疗污水管理的现场监督检查和污染监测工作。这些物资的捐赠，为现场执法和监测等工作人员提供了安全防护保障，以便更好地服务我市复工复产后的环境管理和监测，为助力打赢抗疫攻坚战贡献一份力量。
梅州网警巡查执法,:梅州市公安局公开委托招聘网络技术员公告梅州市公安局公开委托招聘网络技术员公告
宋冬梅2015,:《工程车辆自动灭火系统如何调试？-山东潍坊九通消防科技有限公司》中国广东省清远市、茂名市、肇庆市、惠州市、梅州市、汕尾市、河源市、阳江市、东莞市、中山市、潮州市、揭阳市、云浮市运输车辆灭火装置、矿用卡车自动灭火系统、特种工程车辆自动灭火系统、挖掘机灭火装备、井下运输车、自卸车、重型装载机、小松绞卡机、高空作业车辆、客运汽车、公交车灭火装置等的调试有一定的技巧http://t.cn/A6hhakHE
旅游梅州,:26日上午，我市又一例新冠肺炎患者治愈，在梅州市人民医院出院。截至目前，我市累计治愈出院12例确诊患者。梅州又一例新冠肺炎患者治愈出院，累计出院12例！
梅州日报,:【出发！往荆州！梅州农企捐资，梅州柚、嘉应茶、客都米千里驰援】#梅州新闻[超话]#26日上午，“同舟共济共抗疫情”梅州市农业企业向湖北荆州捐赠抗疫物资发车仪式在广东村之翼科技有限公司举行，市委副书记、市长张爱军，市委常委、常务副市长吴晓晖，副市长温向芳参加。日前，梅州市农业农村局响应市委、市政府的号召，向全市农业企业发出了为湖北捐赠抗疫物资的倡议，短短几天收到了市内企业踊跃报名捐赠，其中不乏行业翘楚和省、市重点农业龙头企业，更有默默热心奉献的农业人，捐赠产品包括客都米、嘉应茶、梅州柚、平远橙、鸡蛋、蜂蜜、茶油、灵芝孢子粉、夹心糕等物资，总计价值210多万元，支援湖北荆州，为湖北荆州加油。
梅州市剑英图书馆,:识、防、控、治|打响全面战“疫”！梅州市剑英图书馆全面响应国家防疫抗疫的号召，联合超星公司将出版界最新、最权威的防疫抗疫等专业书籍快速传递给广大读者朋友，以期为广大读者朋友提供科学、实用而又有温度的知识服务。http://t.cn/A677e7ma
梅州电台新闻台,:【加快清0！今天市人民医院又一确诊患者治愈出院】记者从梅州市人民医院了解到，今天，又有一名确诊病例治愈出院！至目前，我市16例新冠肺炎确诊患者中，已有12人治愈出院。治愈病例详情如下：杨某，男，27岁，常住于江西省南昌市，1月25日返梅，系我市确诊病例14的丈夫、确诊病例15的父亲。2月15日收治梅州市人民医院并确诊为新冠肺炎病例。经过市人民医院医疗团队的精心救治，患者现无发热、咳嗽等症状，复查胸部CT提示肺部炎症明显吸收，连续两次（间隔24小时以上）复查咽拭子及肛拭子核酸检测均为阴性，符合国家卫健委新型冠状病毒肺炎确诊病例出院标准，于今日出院。
梅州天气,:【中午天气预报】今天中午到明天早晨，全市多云，最低气温15到17度，最高气温29到30度，偏南风1到2级，森林火险气象等级3级。梅州市气象台26日10时发布
梅州日报,:【梅州又一例新冠肺炎患者治愈出院，累计出院12例！】#梅州新闻[超话]#今日上午，我市又一例新冠肺炎患者治愈，在梅州市人民医院出院。截至目前，我市累计治愈出院12例确诊患者。痊愈出院的杨某，男，27岁，常住于江西省南昌市，1月25日返梅，系我市确诊病例14的丈夫、确诊病例15的父亲。2月15日收治在梅州市人民医院并确诊为新冠肺炎病例。经过梅州市人民医院医疗团队的精心救治，患者现无发热、咳嗽等症状，复查胸部CT提示肺部炎症明显吸收，连续两次（间隔24小时以上）复查咽拭子及肛拭子核酸检测均为阴性，符合国家卫健委新型冠状病毒肺炎确诊病例出院标准，于今日出院。
梅州电台1058,:【我市农业企业向湖北荆州捐赠抗疫物资今天发车】今天上午（2.26），“同舟共济共抗疫情”，我市农业企业向湖北荆州捐赠抗疫物资发车仪式在广东村之翼科技有限公司举行，市委副书记、市长张爱军，市委常委、常务副市长吴晓晖，副市长温向芳参加。据了解，日前，梅州市农业农村局响应市委、市政府的号召，向全市农业企业发出了为湖北捐赠抗疫物资的倡议，短短几天收到了市内企业踊跃报名捐赠，其中不乏行业翘楚和省、市重点农业龙头企业，更有默默热心奉献的农业人，捐赠产品包括客都米、嘉应茶、梅州柚、平远橙、鸡蛋、蜂蜜、茶油、灵芝孢子粉、夹心糕等物资，总计价值210多万元，支援湖北荆州，为湖北荆州加油。顺丰梅州分公司经理许海介绍，为使这批物资能够第一时间送到前方，顺丰公司紧急整合协调，集结三台厢式货车共计载重24吨，免费将物资送往湖北荆州，折合免除费用近6万元。当物资到达荆州后，将采取“门对门”方式，把承载着梅州人民殷切关怀的物资直接送给湖北荆州人民.
梅州电台新闻台,:【我市农业企业向湖北荆州捐赠抗疫物资今天发车】今天上午（2.26），“同舟共济共抗疫情”，我市农业企业向湖北荆州捐赠抗疫物资发车仪式在广东村之翼科技有限公司举行，市委副书记、市长张爱军，市委常委、常务副市长吴晓晖，副市长温向芳参加。据了解，日前，梅州市农业农村局响应市委、市政府的号召，向全市农业企业发出了为湖北捐赠抗疫物资的倡议，短短几天收到了市内企业踊跃报名捐赠，其中不乏行业翘楚和省、市重点农业龙头企业，更有默默热心奉献的农业人，捐赠产品包括客都米、嘉应茶、梅州柚、平远橙、鸡蛋、蜂蜜、茶油、灵芝孢子粉、夹心糕等物资，总计价值210多万元，支援湖北荆州，为湖北荆州加油。顺丰梅州分公司经理许海介绍，为使这批物资能够第一时间送到前方，顺丰公司紧急整合协调，集结三台厢式货车共计载重24吨，免费将物资送往湖北荆州，折合免除费用近6万元。当物资到达荆州后，将采取“门对门”方式，把承载着梅州人民殷切关怀的物资直接送给湖北荆州人民。（记者梅花、通讯员肖铭浩、彭伟录）
天喻教育,:#武汉封城，天喻在线，教育云保障学校不停课#梅州市-五育并举同心战“疫”五育并举同心战“疫”
宿州检察,:#检察资讯#【广东梅州梅江区检察院护航企业复工复产】自疫情发生以来，广东省梅州市梅江区检察院全力投入到这场没有硝烟的战斗。为保障经济发展，应对企业复工对疫情防控带来的挑战，近日，该院深入对口挂点服务梅州市科捷电子股份有限公司，详细了解企业复工复产疫情防控各项准备工作开展情况和企业所面临的困难与问题。http://t.cn/A677YyUR
尤米文化传媒有限公司,:#梅州婚礼策划##梅州市尤米文化传媒#泰式婚礼布置
嘉宝盆景园艺大叔,:280万——岭南九里香单棵成交价再创新高！再度刷屏——广东省盆景协会终身荣誉会长、中国盆景艺术大师曾安昌莳养的一棵九里香桩材，以280万元的价格成交，由广东省盆景协会常务理事、梅州市醉石轩园林景观工程有限公司董事长张思鹏。280万——岭南九里香单棵成交价再创新高！@晋江鸿江盆景深圳·华润城·润府
旅游梅州,:最新疫情通报！截至2月24日24时，梅州市累计报告确诊病例16例，累计治愈出院11例。在院患者无重型、危重型和死亡病例。目前追踪到密切接触者，均在进行医学观察。最新疫情通报！
梅州新闻联播,:【政银企对接共克时艰|为园区企业复工复产提供金融保障】今天上午，梅州市工信局、梅州高新区联合梅州市9家银行召开政银企融资交流对接会，为梅州高新区26家企业复工复产提供融资服务。#梅州身边事##新型冠状病毒#
梅州新闻联播,:【梅州30家重点外资企业全部复工】梅州市一方面抓实抓细疫情防控，另一方面分类施策帮扶，多措并举应对疫情冲击，大大提振了在梅外企共克时艰的信心和决心。最新数据显示，梅州市30家外商投资企业已全部复工，超过一半还实现复产。#梅州身边事##新型冠状病毒#
梅州天气预报,:梅州市，今夜多云，15℃。明天多云，15~29℃，微风，空气良http://t.cn/EIN86UJ
旅游梅州,:从梅州市粤运汽车运输有限公司获悉，昨日起，我市公路客运复开部分省际班线。即梅州城区复开梅州到江西寻乌3班，时间分别是13∶50、14∶40、16∶00；梅州至江西会昌2班，时间是7∶40、13∶30。2月25日，梅州城区复开江西安远1班，湖南汉寿1班。除了复开上述省际班线外，各县区也增加了不少省内班线。诸如，五华县复开的班车班线有：天河5台、广州市站1台、广州南站1台、大亚湾2台、深圳侨社1台、深圳蛇口1台、珠海2台、梅州1台、揭阳机场1台、韶关1台。另外，蕉岭县复开班线包括天河2台、深圳2台、珠海1台、东莞1台。
FM1052羊城交通台,:【梅州今起陆续恢复省际客运班线】记者从梅州粤运公司获悉，随着我省疫情防控由一级调整为二级响应，梅州市通往湖南、江西两省的省际客运班线也从2月25日起陆续恢复运行。据了解，梅州粤运公司共计营运6省16条省级客运班线。受疫情影响，从1月24日开始，所有省际班线相继停运。梅州粤运公司根据客流情况，从2月25日起，陆续开通梅州至湖南汉寿，梅州至江西会昌、寻乌两省三个班线客运班车，为到梅州务工人员返岗提供运力保障。在此，提醒广大市民，战“疫”仍在进行，不可掉以轻心，外出乘车要注意戴好口罩，做好防护，遵从车站工作人员的安排指引。（梅州电台黄瑞勉）
湖工大工程技术学院,:#抗击疫情高校在行动#为坚决打赢这场疫情防控阻击战，我院外国语系大三学子余雁积极响应广东省梅州市平远县县团委号召，志愿加入当地疫情防控应急志愿者队伍做战“疫”后备军。自我隔离后，余雁加入了当地疫情防控应急志愿者队伍后，她积极协助社区和疫情防控部门开展社区人员（外地返平人员）防疫知识宣传和登记工作，每天在卡口进行登记记录、体温检测及城区居家健康观察点的值守等日常工作。防疫支援工作有风险，但余雁表示，担心与害怕在所难免，但我更希望自己也可以在这个时候挺身而出，在保护好自己的同时做自己力所能及之事，帮助抗疫取得胜利!@微博校园
梅州天气,:【傍晚天气预报】今晚到明天，全市多云，最低气温16到17度，最高气温28到29度，偏南风1到2级，森林火险气象等级3级。梅州市气象台25日16时发布
旅游梅州,:#梅州市最新疫情#截至2月24日24时，全省累计报告新冠肺炎确诊病例1347例，累计出院805例，累计死亡7例。24日当天全省新增确诊病例2例，为广州市和东莞市各1例。新增出院33例，5例为重型病例治愈出院，28例为普通型或轻型病例治愈出院。新增死亡病例1例，为广州市1例。无疑似病例。有1438名密切接触者正在接受医学观察。http://t.cn/A67vdvPs
_SineQuaNon_,:#中国地名大会##每日一题#昨日题目解析：白旗韭黄是贵州省安顺市普定县特产。平远脐橙是广东省梅州市平远县特产。太平猴魁是安徽省黄山市特产。沙河豆腐是四川省宜宾市高县特产。——————————————正镶白旗属于锡林郭勒盟。浑善达克沙地位于旗北部。阜新市的太平区位于阜新市市区的东南部。阜新万人坑遗址就位于该区。沙河市属于邢台市。北武当山在沙河市。
古玩艺爱好者,:广东梅州市，湖北荆州深圳·鸿隆世纪广场古玩艺爱好者的微博视频
梅州新闻联播,:【梅州粤运今起陆续恢复省际客运班线】记者从梅州粤运公司获悉，梅州市通往湖南、江西两省的省际客运班线从今天起陆续恢复运行。据了解，梅州粤运公司共计营运6个省16条省级客运班线。为进一步为来梅务工人员返岗提供运力保障，梅州粤运公司根据客流情况，从今天起，陆续开通梅州至湖南汉寿，梅州至江西会昌、寻乌的三个班线客运班车。#梅州身边事##新型冠状病毒#
梅州电台新闻台,:【我市今起陆续恢复省际客运班线】记者从梅州市粤运汽车有限公司了解到，从今天起，我市逐步恢复开行我市至外省区（湖北等疫情重点区域除外）的省际班车、包车业务。目前已经基本恢复返岗返工类的包车服务，下一步将陆续恢复跨省的班车班次。据了解，梅州粤运公司共计营运6个省16条省级客运班线。为进一步为来梅务工人员返岗提供运力保障，梅州粤运公司根据客流情况，从今天起，陆续开通梅州至湖南汉寿，梅州至江西会昌、寻乌的三个班线客运班车。在此提醒市民，外出乘车要注意戴好口罩，做好防护，遵从现场工作人员的安排指引。
梅州新闻联播,:【梅州市政协委员支援家乡抗击疫情】今天上午，梅州市政协委员及委员所在企业捐赠防护服、口罩、消毒液等价值192.83万元的物资，支援梅州抗击疫情。市委书记陈敏，市政协主席陈建青等领导参加捐赠仪式。#新型冠状病毒##梅州身边事#
梅州日报,:#梅州新闻#【总价值逾192万元！梅州市政协委员捐款捐物支援家乡抗击疫情】24日上午，市政协委员及委员所在企业向我市共捐款捐物总价值192.83万元，支援家乡抗击新冠肺炎疫情。市委书记陈敏，市政协主席陈建青，市委副书记王庆利，市政协副主席李忠良、周秋明、曾祥海、陈元星，市委秘书长张运全，市政协党组成员孙秋珍，市政协常委、深圳工作室主任张学军，市政协委员陈武州、林华剑、吴海明、张韶光、钟愿等参加捐赠仪式。http://t.cn/A6hseYYX
平凉市广播电视台,:#复工复产#【庄浪县专车护送500名农民工返岗复工】连日来，一辆接一辆的大巴车载着500多名庄浪农民工，从县汽车站启程，分别前往广东省梅州市、江苏省南京市、山东省菏泽市、安徽省淮北市等地返岗务工。
