鲜成都,多芬深层营润滋养沐浴露
西秀发布,:#健康发布#【截至3月2日24时新型冠状病毒肺炎疫情最新情况】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。（国家卫生健康委员会官方网站）
合肥发布,:#快讯#【清零！刚刚，六安最后六名确诊病例出院！】1月20日，六安出现首例新冠肺炎确诊患者，1月30日，六安首例确诊患者治愈出院。截止3月3日，六安共报告确诊病例69例，治愈出院69例，为全省第二个确诊患者治愈出院“清零”城市。自首例确诊病例入院以来，六安始终坚持集中患者、集中专家、集中资源、集中救治“四集中”，充分发挥六安中医药大市和“西山药库”资源，切实做到一人一方案、一人一团队、一天一会诊“1+1+1”和感染、呼吸、重症、中医多学科联合治疗，取得了零病亡的优秀成果。为防止治愈患者出院后发生交叉感染，提高机体抵抗力，加快患者康复，六安又率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务，目前已被省疫情防控应急指挥部办公室在全省各市推广。
惠州农业农村,:【惠州治愈出院率96.8%全省领先】医疗救治篇从1月20日到3月1日，41天，全市62例确诊病例，60例治愈出院，连续12天无新增……落实“四集中”救治措施、组建“核酸检测联盟”、实施专家三线值守制度、开展专家下县（区）巡诊、中西医结合综合施治……自新冠肺炎疫情发生以来，我市坚持把人民群众身体健康和生命安全放在第一位，坚持统筹指挥、精准施策、积极救治，新冠肺炎疫情防控阻击战成绩不俗。截至目前，62例确诊病例中累计出院60例，治愈出院率96.8%，在广东省确诊病例数超过60例的7个地市中排名第一，出院率在全省21个地市处于领先水平。累计重症病例4例，其中3例已治愈出院，1例经治疗后，6次核酸检测均为阴性，已达到治愈出院标准。http://t.cn/A679Rt1x
中国商网-中国商报,:【#各级财政安排疫情防控资金1087.5亿元#】3月3日，财政部社会保障司司长符金陵表示：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，各级财政安排疫情防控资金1087.5亿元，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。#全国连续20天治愈出院超千人#
徐州发布,:#“助力疫情防控，奉献网络力量”大家谈#【彭城e评丨一场“不忘初心、牢记使命”的伟大实践】面对突如其来的疫情，全国人民同心协力，在中华大地上发起了一场惊心动魄的战“疫”，这是中国共产党人践行“不忘初心、牢记使命”的一场伟大实践。将人民群众的生命安全和身体健康放在第一位，彰显了中国共产党以人为本的情怀。疫情发生后，党中央高度重视，始终贯彻以人民为中心的工作导向，密集发出指示和工作安排。反复强调“生命重于泰山”“各级党委和政府把人民群众的生命安全和身体健康放在第一位，采取切实有效措施，坚决遏制疫情蔓延势头”，努力“提高收治率和治愈率、降低感染率和病死率”，同时“保护好医务人员身心健康”。党员干部靠前指挥、冲在一线，彰显了中国共产党先锋模范的使命担当。在防疫的各条战线上，无处不见共产党员的身影，他们当中有社区普通党员、有连日奋战的街道干部、有身先士卒的县市领导、有日夜坚守的公安干警、有取消婚礼的护士、有火速返岗的医生、有白发苍苍的院士……在严峻疫情面前，一名名党员主动请缨，一封封请战书、决心书上留下了他们鲜红的手印，“我是党员，我先上”的誓言，凝聚着共产党人的的使命与担当。统筹防疫和经济社会发展工作，彰显了中国共产党始终将发展作为第一要务的使命。在集中精力抓疫情防控的同时，党中央要求统筹抓好改革发展的各项工作，特别是要抓好涉及决胜全面建成小康社会、决战脱贫攻坚的重点任务，提醒大家不能有缓一缓、等一等的思想，要密切监测经济运行状况，聚焦疫情对经济运行带来的冲击和影响，在做好防护的基础上，积极推动企业复工复产，推动重大项目开工建设，着力稳定居民消费，提高国家治理能力和水平。这场战“疫”是中国共产党人不忘初心、牢记使命的一次伟大实践，相信在中国共产党的坚强领导下，一定能够夺取大战大考的“双胜利”。(编辑X5598)
粤西资讯网,:#阳江身边事[超话]#【截至3月2日24时，广东0新增，阳江0新增】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。http://t.cn/A67Cr2FP
Skull_李若初,#朋友请听好#周四晚22：00暖心播出笑起来眼睛里星星闪闪，一切都变得明亮可爱听千玺@TFBOYS-易烊千玺说悄悄话。#易烊千玺军绿色斗篷#
可能我也是块奶油栗子蛋糕,:好治愈！啊！
正能量阳光少女闪电胡,:@JusttttttttBeyond跟着小姐姐画画，虽然有点丑，但是了解我的人已经知道这是我出生以来的巅峰。
弥子君,难得的机会让我发现窝在我熟悉的环境与永远不可能伤害我的人在一起是我真心喜欢的状态
号外武汉,:#抗击新冠肺炎武汉在行动#【汉阳体校方舱首批32位病患出院】3月3日，汉阳体校#方舱医院#首批32位病患出院，年龄最大者65岁，最小22岁。该方舱2月22日开始收治病人，由湖北省妇幼保健院全面接管，10天时间得以治愈出院。为感谢来自河北、宁夏、吉林、云南、安徽的医疗团队的精心照料，舱内病患自发组织了欢送仪式。（长江日报）http://t.cn/A67C63Bz
药都清风,:3月3日亳州市新冠肺炎疫情情况通报2020年3月2日0-24时，亳州市报告新增新冠肺炎确诊病例0例，新增疑似病例0例，新增治愈出院4例。截至3月2日24时，亳州市累计报告新冠肺炎确诊病例108例，其中：利辛县43例、涡阳县29例、谯城区15例、蒙城县12例、市高新区5例、外市4例（蚌埠市3例、阜阳市1例）。累计治愈出院107例。累计排查到密切接触者1615人，已经全部解除医学观察。安徽省卫健委通报2020年3月2日0-24时，安徽省报告无新增确诊病例，无新增疑似病例，新增治愈出院病例29例。新增治愈出院病例中，合肥6例、阜阳6例、六安5例、亳州4例、蚌埠2例、芜湖2例、淮南1例、马鞍山1例、池州1例、黄山1例。截至3月2日24时，安徽省累计报告确诊病例990例，累计治愈出院病例917例，累计死亡病例6例，累计医学观察密切接触者28235人，尚在医学观察504人。累计确诊病例中，合肥174例、蚌埠160例、阜阳155例、亳州108例、安庆83例、六安69例、宿州41例、马鞍山38例、芜湖34例、铜陵29例、淮北27例、淮南27例、池州17例、滁州13例、黄山9例、宣城6例。截至3月2日24时，安徽省在院治疗确诊病例67例，无危重症病例。3月3日预计治愈出院24例，其中阜阳6例、六安6例、合肥4例、蚌埠4例、宿州1例、淮南1例、滁州1例、马鞍山1例。
大庆让胡路,:【坐车、买菜、就餐怎样才安全？收好这份防疫指南！】国务院联防联控机制于2日下午召开新闻发布会，介绍现阶段公共场所等疫情防控有关情况。公共出行打车前可先开门一两分钟通风：中国疾控中心研究员张流波：出租车、网约车要做好五个方面的工作：第一、确保司机没有感染，可以建立一个健康申报制度，进行体温检测，也要注意司机在全程都要戴口罩，经常做手卫生，这是对司机的基本要求。第二、车辆应该每天出车前对门把手、座位、扶手这些地方做清洁消毒的处理。第三、行驶过程中如果条件允许，外面温度合适的时候尽量开窗，保证比较好的空气交流。第四、乘客上车前先打开门一两分钟让它有一个空气交换的机会，也可以用消毒纸巾对可能碰到的位置做擦试消毒，最关键是乘客乘坐的时候也要全程戴口罩，乘坐结束后也要做手卫生。第五、付费时提倡无接触式的付费。对于乘坐公交车有四个方面要特别注意：第一、公交公司应根据客流量安排车辆，尽量疏散客流、降低车厢拥挤度。第二、条件允许时，行驶过程中尽量开窗通风，如果有空调系统，要在保证安全情况下尽量地增加消毒频次。第三、乘客、乘务员、司机都应该佩戴口罩。第四、乘客在乘坐时尽量保持一定距离。乘客下车以后最好做手卫生。商场、超市要保持一定的距离，起码一米以上：张流波：因为商场、超市和我们老百姓的日常生活密切相关，所以我觉得不是能不能营业，是必须营业。我们到这些地方去，应该是买东西而不是逛商店。第一、对于电梯、地面、侧壁、电梯按钮、自动扶梯，这些地方顾客经常接触的地方要增加清洁消毒频次。对于柜台也要经常清洁消毒。第二、对于中央空调，因为超市是比较大的环境，不管是全空气系统，还是风机盘管+新风系统，都要尽量采用全新风。如果不能实现全新风，也一定要开启最大新风。开启最大新风可能还不够，这时候开门开窗通风作为补充是有必要的。第三、对服务员应该建立健康申报制度和体温检测制度，及时发现可疑症状，对顾客进行体温监测，尽早识别可疑的可能感染者。第四、在购物时相互之间要保持一定的距离，起码一米以上，哪怕过秤、交款、排队的时候也要保持一米以上距离。第五、交款时最好电子付费。第六、人人都应该戴口罩，不管是顾客还是服务员，做好手卫生。第七、如果真是发现了可疑病例，要及时地联系当地疾控预防控制机构，在指导下进行综合消毒处理。中国疾控中心环境所所长施小明提醒：购物时间应尽量避开商场、超市的客流高峰期，比如选择非周末时间或者是早晨刚营业的时候，这样减少与其他人接触的机会。其次乘坐电梯时，如果是到楼层比较低的地方购物，推荐走楼梯。如果到楼层比较高的地方购物，建议优先使用扶梯。如果必须乘坐厢式电梯，电梯人多的时候可以等候下一趟电梯。乘坐电梯时要佩戴口罩，而且与其他人员保持一定的安全距离。托幼机构要对全体教职员工及孩子们的健康状况进行摸底：张流波：托幼机构应该从三个方面开展相关工作：第一、开园前对幼儿园进行彻底的清洁和消毒，保证教室的通风，做好相关物资的储备，让幼儿园的老师掌握防控知识。要对全体教职员工及孩子们的健康状况进行摸底，只有健康的才能入园。第二、开园后，如果疫情结束了，开园时可以按照正常教学秩序进行，如果还有病例就一定要采取相应预防措施，要做好应急预案。第三、当出现疑似病例时，一定要按照应急预案进行处理。精神卫生医疗机构：新入院患者要观察14天后再转入普通病室施小明：精神卫生医疗机构由于患者的特殊性，在防控工作中除了要做好常规医疗机构的防控措施外，还有一些针对性的措施需要考虑：第一、精神卫生医疗机构要与当地具有新冠肺炎诊疗能力的综合性医疗机构建立联络会诊机制，要加强医务人员防控知识的培训，健康监测以及个人的防护，尽量减少门诊患者复诊次数，缩短住院的时间，暂停家属探视，限制陪诊人员数量。新入院的精神障碍患者要观察14天后再转入普通病室，防止院外的输入。第二、加强住院患者特别是严重精神障碍患者的管理治疗和照护，尽量减少外出流动，降低冲动行为发生的风险，防止院内扩散。第三、对住院的严重精神障碍患者，发现有疑似病例或者确诊新冠肺炎的应当立即采取隔离措施，将患者转诊到定点的医疗机构进行治疗。对于暂时无法转出到定点医院的确诊患者，精神卫生医疗机构应当立即设置发热病区，请具有新冠肺炎诊疗能力的综合医院的医疗机构医务人员进行会诊。此外，发布会上还介绍了其他重点或特殊场所的防疫情况。1.国家卫生健康委疾控局副局长周宇辉：有人员需要从疫情防控的重点地区和高风险地区返城的，社区应按照社区防控工作方案，继续坚持实施网格化和地毯式的管理，做好往来人员相关的健康监测、登记以及摸排等相关工作。2.施小明：新冠肺炎老人治愈后需返回养老机构的应当隔离观察14天，没有异常后方可入住。对于没有病例的养老机构，无论是老人还是陪同人员，在医疗机构就诊返回到养老机构后，都需要隔离观察14天，没有异常后，方可入住或者工作。餐厅就餐安全是整个疫情防控中的一个关键环节。要加强环境物体表面清洁消毒，做好餐饮具的清洁消毒，确保做到一人一具、一用一消毒。用餐过程中，摘下口罩时一定要注意保持口罩内侧的清洁，避免污染。避免面对面就坐，最好是同向坐，而且相隔距离最好一米以上。尽量缩短就餐时间，减少同行人员的交流。如果餐厅人员比较多，打包是比较好的选择。就餐后，要立刻离开餐厅，减少在餐厅的逗留时间。3.张流波：疫情期间不建议到游泳馆、公共浴室这些地方去，不建议开放游泳馆和公共浴室。
医药卫生报,:濮阳又有3例治愈，出院病例达16例！本报讯（记者陈述明通讯员佀晓阳唐辉管松利）3月2日，在濮阳市第五人民医院医护人员精心诊治和护理下，濮阳市又有1名新型冠状病毒肺炎患者符合出院标准，治愈出院；加上3月1日上午，濮阳第7批2名新型冠状病毒肺炎确诊患者从濮阳市第五人民医院治愈出院的患者，两天3人治愈出院。截至目前，濮阳市累计已有16名确诊患者治愈出院。目前，濮阳市仅剩1例确诊患者在治疗中，且病情稳定。据了解，治愈出院患者张某某，女，18岁，系2月9日确诊病例武某某之女。住址濮阳市华龙区任丘路街道世纪景和苑嘉小区。武某2月11日0时被诊断为新冠肺炎疑似病例，19时该患者样本病毒核酸检测结果呈阳性，予以确诊。3月1日出院；患者陈某某，女，37岁，住址深圳市光明新区，爱人家住址濮阳市清丰县双庙乡耶嘉村。陈某某2月2日被诊断为新冠肺炎疑似病例，3日该患者样本病毒核酸检测结果呈阳性，予以确诊，3月1日出院。患者武某某，50岁，女，在华龙区任丘路街道世纪景和苑嘉小区居住。1月27日因出汗受凉头疼，在家自行服药至症状缓解；1月28日，因咳嗽等症状到村诊所诊治，2月6日和7日，因咳嗽等症状未减轻再次到村诊所诊治；8日分别到濮阳市油田总医院和濮阳市第五人民医院就诊，被诊断为新型冠状病毒肺炎疑似病例；就诊期间患者均佩戴口罩。9日该患者样本病毒核酸检测结果呈阳性，经专家组会诊予以确诊。经治疗临床症状消失，各项化验指标恢复正常。
Sky_Chan,:#邓紫棋很久以后#🐱#邓紫棋拍mv落泪#《很久以后》一首写给失恋或还能说好久不见的人的歌，安慰着所有爱过和遗憾的人，很久以后，如果再见，微笑点头！也许这就是邓紫棋的神奇之处吧，即使是一首像《泡沫》一样失意的情歌，同样也能治愈受伤的心灵。大家有条件的一定要支持实体专辑！《摩天动物园》绝对是一张令人骄傲的专辑！#邓紫棋摩天动物园#http://t.cn/A67SOgsJ
惠州微服务,:#惠州快报[超话]##防疫知识汇#【新冠肺炎患者的”心理康复处方“】患上新冠肺炎，除了接受治疗，还应该增强康复信念。北京大学第六医院临床心理中心副主任医师钱英表示，患者应重视四个方面：1.多关注积极信息，如医生成功治愈病人的经验、其他患者的康复历程等。2.听音乐帮助舒缓心情。3.免疫力是战胜病魔的关键，要吃好、睡好、保持好心情。4.多和家人、朋友等交流，告诉自己“我不是一个人，很多人都在支持着我”。（视频制作：中国健康教育中心）http://t.cn/A67CaGCv
欲懒唠叨,:没有什么事情，是一份毛血旺解决不了的。如果有，那就再加一份石锅鱼
江淮晨报,:【#钻石公主号患者治愈后再确诊#】3月2日，因同机乘客被确诊感染新冠病毒，11名台湾旅客被以色列送回台湾。这批台湾旅客于2月28日飞往以色列旅行，转机时遇到一名以色列乘客，该名乘客为“钻石公主”号邮轮上确诊患者，在日本治愈后乘飞机回国，不料下飞机检测时再次被确诊。#聚焦新冠肺炎疫情#@世面http://t.cn/A67Cvmh0
亨ilr2000,:#肖战#xz#向全世界安利肖战#他，是陈情令里淋漓挥洒、百态横生的魏无羡是哦我的皇帝陛下里、深情款款的北堂墨染是电影诛仙里纯粹执着、善良疏阔的张小凡是庆余年里绝对忠诚、坚毅隐忍的言冰云是狼殿下里桀骜难驯、漂泊浪荡的疾冲是斗破苍穹里热情直率、英勇仗义的林修崖是超星星学园里万众瞩目、倔强专情的方天择是余生请多指教里成熟克己、温柔治愈的顾魏他是青年演员，肖战。余生祝你万事胜意xzggcr:http://t.cn/AiFEBOAh
shunssn8乐作人生,:《【爱耳日】3月3日，这个由两个像小耳朵的数字组成的日子，便是国际爱耳日。当我们倾听着世界的美好，感受着十世界的哀伤的时候，还有那么一群人，他们在无声的时间里有着我们不曾感受过的喜乐忧伤。由钟汉良主演出品的治愈都市原创公益音乐剧《幸福的理由》中音乐家方浩声对抗耳疾、亲情》http://t.cn/A679Qw1i
家居创意君,:治愈心灵的糖艺小技巧，甜滋滋的治愈一下家居创意君的微博视频
广视频,:【拐点瞭望台|15秒视频了解全国疫情数据】根据国家卫健委今天公布的数据，截止到3月2日24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，其中湖北新增确诊114例（武汉111例）。目前全国累计报告确诊病例80151例，累计治愈出院47204例。（广州日报全媒体记者罗知锋）http://t.cn/A67Kks1B
尕栗梓,:治愈系:勇敢地做自己，不要为任何人而改变。如果他们不能接受最差的你，也不配拥有最好的你。世界上最富有的人，是跌倒最多的人。世界上最勇敢的人，是每次跌倒都能爬起来的人。如果你的面前有阴影，记住那是因为你的背后有阳光悲伤的时候，请尽情悲伤.只不过人生路还长，不得不坚强。你可以用笑容改变别人，但不要让别人改变了你的笑容。生命太短，没留时间给我们每日带着遗憾醒来，所以现在起，快乐的看待一切。
杭州微博房产,:#杭州楼市#2020年临安区读地手册出炉，集中收录了48宗地块。其中临安城区16宗、锦南新城1宗、滨湖新城6宗、青山湖科技城3宗，中西部板块22宗。图片来源：临安楼市#治愈需要正能量#
是谁家的小可爱吖,:#安妮海瑟薇##电影推荐#公主日记安妮海瑟薇真的好美啊，气质好棒五官好大气电影超级治愈是谁家的小可爱吖的微博视频
云上深夜快递,:【125、114、111】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。（央视新闻）
龙泉驿区规划和自然资源局,#健康发布#【我省新型冠状病毒肺炎疫情最新情况（3月3日发布）】3月2日0-24时，我省新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例11例，无新增疑似病例，无新增死亡病例。（确诊患者信息详见各市（州）卫生健康委官微或官网每日发布）截至3月3日0时，我省累计报告新型冠状病毒肺炎确诊病例538例，涉及21个市（州）。全省现有无现症病例区（低风险县<市、区>）128个、散发病例区（中风险县<市、区>）54个、社区暴发和局部流行区（高风险县<市、区>）1个（过去24小时新增江油市、蓬溪县、大英县、邻水县为低风险县<市>）。538名确诊患者中，正在住院隔离治疗146人（其中危重2人），已治愈出院389人，死亡3人。现有疑似病例1例。当日解除医学观察64人，现有884人正在接受医学观察。
精彩渝水,:【#最小新冠肺炎患者治愈出院#！#武汉出生仅17天新冠患者出院#：未用特殊抗病毒药
广云GY92,:有些人一生被童年治愈，有些人一生在治愈童年，逃避不是解决问题的最优办法
厦门的那点事,:#厦门身边事#【截至3月2日24时厦门尚有34人在接受医学观察】3月2日0时—24时，厦门市报告新增新型冠状病毒肺炎确诊病例0例，疑似病例0例。截至3月2日24时，厦门市累计报告新型冠状病毒肺炎确诊病例35（思明区13例、海沧区2例、湖里区3例、集美区4例、翔安区3例、泉州市石狮市1例、湖北省武汉市9例）。累计治愈出院病例34例，目前住院病例1例。现有报告新型冠状病毒肺炎疑似病例0例。疾控专业人员对新增新型冠状病毒肺炎疑似病例开展流行病学调查，判定相关密切接触者并组织医学观察。3月2日0-24时，新增密切接触者0人，累计追踪密切接触者753人（含密切接触者共同居住家属），尚在接受医学观察34人（含确诊病例出院医学观察人数）。
陕西都市快报,:#最美战疫人#【一腔情不待言——记湖北战“疫”一线的“陕医军团”】疫情之下，生命重于泰山。过去的一个多月时间里，全国一盘棋，全力以赴救治患者，保障医疗防护物资供应，努力提高收治率和治愈率、降低感染率和病死率。4万多名支援湖北的医护人员中，有1400多名来自陕西各地公立、民营和部队医疗机构，他们拥有重症医学科、感染科、呼吸内科、精神心理科、中医药学、核酸检验等多种专科背景，是一支多学科团队。他们也是陕西最精锐的医护力量。（陕西日报）http://t.cn/A679V9uw
zulmira_z,𝑺𝒖𝒏𝒔𝒆𝒕
微微一笑wkw,:这个特别的假期让我原本浮躁的心慢慢静了下来，能够看进去想看的书，看一些温暖治愈的综艺，一直挂在嘴边的学厨艺也在这个假期开始了小小的实践操作。珍惜当下，相信未来！
银浔凉,#姚琛的VLOG#年前和爸妈的“上山下海”的旅行体验了好多刺激的项目，也终于实现了小时候说过的“大话”🤙🏿🤙🏿普吉岛风景不加滤镜也很美，很开心也很有纪念意义的一次旅行！R1SE-姚琛的微博视频
爱吃的飞鱼1234,:农村国宝：铁铲煎热狗（下）#美食时刻##无辣不欢##美食治愈系#爱吃的飞鱼1234的微博视频
Brilliantone09,【
住家小蛋,前几年也会想要平衡工作和生活，后来发现想做的事就不应该先谈平衡。做选择，咬牙坚持，阶段性完成，然后考虑下一步孰轻孰重，无非就是这样而已。为实现自我在工作中披荆斩棘，也为实现家庭做出调整和取舍。这只是一个又一个阶段，在不同状态下切换不同重点，就算不负人生。这是现在的想法。所以如果宝宝还小真的没办法兼顾别的，也别太内疚；如果工作正在上升期感觉自己活得好糙，也没什么。只要这是当下愿意为之付出的，就很好，收获满满成就感，再在下一个阶段去丰富人生的另外一部分。还是那句话，生活是长跑，按照自己的脚步，慢慢来比较快。
南海卫生健康,:#抗击新冠疫情南海在行动##早安南海#【
白七安呀,:啊啊啊哥哥
认真飞行的猪,:昨天很晚了看了部电影，时间的节点加上悲情的结局让人感慨，本来很好的一个人聪明善良，应该有美好的前程，可是却那么凄惨的结束了，不幸的童年毁了一生…，幸福的童年治愈一生，痛苦的童年用一生治愈
Megan萱儿,:#张艺兴[超话]#滴滴滴小手动一动，微博积分投一投，积分不够的去治愈系独角兽互助，艺家的超话排名都没进前十
新鲜的绿皮橘子,治愈下
Angelia倾城暖洋,#杨洋[超话]#@杨洋泰国粉丝见面会花絮。甜到心窝的笑脸，热力爆表的人气！[鼓掌]腾讯视频WeTV的微博视频
陈述我的事,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
隔壁家的怪姐姐小阿蛮,:#QQ音乐一起听#超温柔治愈嗓音陪你度过上午http://t.cn/A679xczg@QQ音乐
渺小博0805,:#治愈春天#天气清明时候春暖花开时节绿洲
茵茵kwok,早安，小伙伴们第一篇微博，就阳光灿烂些吧一人一盅的胡萝卜早点
Yimiss,:我妹发来她家的猫瞬间觉得好治愈系啊
黄丹敏最讨厌蘑菇菇,治愈心灵的糖艺小技巧，甜滋滋的治愈一下
lee瑶瑶瑶瑶瑶瑶,:“奶奶的手绢里，藏着给你的糖”在我的童年印象里，真的有这样的画面，还有好多好多类似的朴实温暖的记忆，但却有种它属于我却再也回不去了的感觉！美好的童年治愈一生，每每想起都感到幸福
德阳茶人,【意大利新增342例新冠肺炎，#意大利累计确诊2036例新冠肺炎#】#新冠肺炎最新动态#根据当地时间3月2日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者1835例，死亡52例，治愈149例，累计确诊感染新冠病毒总人数为2036例，较3月1日18时新增342例，其中重症166例，新增18例死亡病例。（人民日报）
开花店花艺图片视频素材课程教程,:#花艺素材[超话]#✧˖ꀿªᵖᵖᵞtime²⁰²⁰°꒰๑'ꀾ'๑꒱°˖✧期待三月的春天治愈一切不可爱~开花店花艺图片视频素材课程教程的微博视频
大头的baby,🌸你每想念一次春天，枝头就攒了一朵花开。
微博兰州,:【#湖北连续8天治愈出院超2千#】从2月24日至3月2日，湖北省当日新增治愈出院人数分别为2116人（24日）、2058人（25日）、2288人（26日）、3203人（27日）、2492人（28日）、2292人（29日）、2570人（1日）、2410人（2日）。截至3月2日24时，#湖北累计治愈出院36167例#。继续加油！@人民日报
一点橙子,:#共同战“疫”众志成城#【四川省第二次！两位新冠肺炎康复者捐献恢复期血浆】随着新冠肺炎疫情防控战役逐步深入推进，治愈出院的新冠肺炎康复者也越来越多。而这些康复者的恢复期血浆对于患者来说十分重要。3月2日，成都市血液中心就迎来了我省第二批新冠肺炎康复者的捐献血浆。http://t.cn/A679xwYjhttp://t.cn/A679xwEs
姐养侮53,:班主任把我叫进办公室：外面好女孩一大把、时间能冲淡痛苦。“你还年轻。但是我并不想用时间来治愈一切……刚上高一！
四川生态环境,:#治愈春天#【#3岁女儿隔门对护士妈妈喊我爱你#抗疫护士瞬间泪崩】#抗疫面孔#湖北安陆市的护士魏秀连日来奋战在抗疫一线。她担心感染孩子，回家拿东西都让丈夫悄悄下楼，不让孩子知道。这次孩子突然溜出来，见到魏秀隔着大门哭，连喊“妈妈我爱你”。@我们视频暖心闻新京报我们视频的秒拍视频
藤原樱宁,Artist:FalineSanIns:f.loraline#甜美的少女心#
宠大圣,:治愈系，能吃能睡的小猫咪#萌宠集中营##宠物卖萌中心#宠大圣的微博视频
YZ六月荷,:【刚刚！扬州首例新冠肺炎康复血浆捐献成功】今天上午，在扬州市中心血站，一位新冠肺炎康复者主动捐献自己的血浆，这是扬州市首例新冠肺炎康复血浆捐献。26岁的郜先生是扬州市新冠肺炎确诊患者，也是我市首批出院的治愈患者，于2月7日出院。在完成了填表、健康征询、血液初筛等环节后，郜先生成功捐献400毫升带抗体AB型血浆。
信州发布,:#抗击疫情江西在行动#【你好，安心
佛坪检察,【#31省区市新增125例新冠肺炎#，新增治愈出院病例2742例】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例。当日新增治愈出院病例2742例。截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，累计治愈出院病例47204例，累计报告确诊病例80151例。#防控新型冠状病毒肺炎#http://t.cn/A67KmpeP
广西新闻网,:#广西全力抗击疫情##肺炎疫情防控动态#【钦州，清零！】3月3日上午，钦州卫健委发布公告，3月2日0-24时，钦州市无新增新型冠状病毒肺炎确诊病例。目前，该市累计确诊病例8例，治愈出院8例；疑似病例和密切接触者已全部解除集中隔离医学观察。#壮观新闻#
