董小蕾同学就是我,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
云集购物分享,:如何看？辽宁省损害赔偿标准试点：《方案》前《方案》后死亡赔偿金（60周岁以下）城镇居民：746840元农村居民：293120元城镇居民：594020元农村居民：594020元
半岛晨报,:【辽宁中风险地区增加一地】刚刚，省政府网站发布辽宁省疫情防控分区分级名单（截至3月2日24时），中风险地区增加一个——丹东市振兴区。一、低风险地区　　沈阳市：和平区、沈河区、大东区、铁西区、苏家屯区、皇姑区、浑南区、沈北新区、于洪区、辽中区、新民市、法库县、康平县。　　大连市：西岗区、普兰店区、中山区、甘井子区、沙河口区、金州区、庄河市、长海县、瓦房店市、旅顺口区。　　鞍山市：铁东区、铁西区、立山区、千山区、海城市、台安县、岫岩满族自治县。　　抚顺市：东洲区、新抚区、望花区、顺城区、抚顺县、新宾满族自治县、清原满族自治县。　　本溪市：平山区、明山区、溪湖区、南芬区、本溪满族自治县、桓仁满族自治县。　　丹东市：元宝区、振安区、凤城市、东港市。　　锦州市：凌河区、太和区、古塔区、凌海市、北镇市、义县、黑山县。　　营口市：站前区、西市区、鲅鱼圈区、老边区、盖州市、大石桥市。　　阜新市：新邱区、清河门区、海州区、太平区、细河区、彰武县、阜新蒙古族自治县。　　辽阳市：白塔区、文圣区、宏伟区、弓长岭区、太子河区、辽阳县、灯塔市。　　铁岭市：银州区、清河区、开原市、调兵山市、昌图县、西丰县、铁岭县。　　朝阳市：龙城区、双塔区、凌源市、朝阳县、建平县、喀喇沁左翼蒙古族自治县、北票市。　　盘锦市：兴隆台区、大洼区、双台子区、盘山县。　　葫芦岛：连山区、龙港区、南票区、兴城市、绥中县、建昌县。二、中风险地区　　丹东市：振兴区、宽甸满族自治县。三、高风险地区　　无。
微时区,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
姝宝贝的糖,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
大连微博广场,:【2020年3月2日0时至24时辽宁新型冠状病毒肺炎疫情情况】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。
阜新共青团,:#辽宁省疫情防控分区分级名单#【丹东市振兴区今日列为中风险地区】辽宁省卫健委发布辽宁省疫情防控分区分级名单（截至3月2日24时）。
新浪辽宁,:#雷锋精神我们传承#【中国中铁400份爱心礼包送给沈阳战疫一线最美天使】3月3日一大早，一辆满载着400份中国中铁“爱心礼包”的货车，稳稳地开进沈阳市第六人民医院。这里是辽宁省新型冠状病毒感染肺炎集中救治沈阳中心，这400份中国中铁“爱心礼包”将送给奋战在这里1个多月的沈阳防疫一线女医护人员。http://t.cn/A67NTOQl
山水不向四季起誓,:#公务员考试[超话]##省考##江苏省考##2020省考##辽宁省考##2020浙江省考##2020浙江省考##山西省考##浙江省考时间推迟##河北省考##公务员##公务员考试##公务员省考#2020年粉笔省考套餐包40💰具体包括:一、980系统班二、998行测申论线上超级刷题班三、4980双师特训营四、双师刷题班五、行测五千题全部打包40💰也可单卖有人需要吗
困团困团困困团,:图一是鲁迅美术学院院长李象群就美术校考情况的采访原文图二是辽宁省沈阳市鸿运教育机构解读的内容请问是鸿运比鲁美还早的知道校考要在高考后进行还是为了留住生源的恶臭手段?@鲁迅美术学院@沈阳发布@沈阳教育@共青团沈阳市委@沈阳晚报@沈阳最头条沈阳·塔湾
辽宁日报,:【丹东市振兴区今日列为中风险地区】辽宁省卫健委发布辽宁省疫情防控分区分级名单（截至3月2日24时）。
正山骏眉,:今年东北医疗队真的太给力了，点名表扬辽宁省。
辽宁气象,:大雪黄色预警信号：过去3到4小时，本溪市区、铁岭市区、开原市、昌图县的降雪量已达到4到4.5毫米；预计未来6到8小时，还将出现2到4毫米的降雪，请注意防范。辽宁省气象灾害监测预警中心2020年3月3日19时41分发布
池州反邪教,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#http://t.cn/A67K1P5x
流恋障恩再,:总比那些靠爹靠娘在家坐吃等死的要强！有本事咱们就比一比到时候我不会他们做的差；【2012年2月1日16-30发生在辽宁省大连市7路车的一幕】
leoiee,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
辽视说天下,:【上下游企业齐发力助力防疫物资“辽宁造”】近日，辽宁省借助工业门类齐全这一产业优势，全力支持口罩、防护服等防疫防护物资的上下游生产线开工建设，最大限度满足市场需求。辽视说天下的微博视频
步入新阶段的荆蕾,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
大连广播电视台,:【1051亿！刚刚，大连“云签约”大项目！】虽然疫情的影响仍在延续，但城市招商引资的步伐并未因此停歇。3月3日，中共大连市委、大连市人民政府举行“大连市首场网络招商引资推介会暨项目签约仪式”。据了解，本次网络招商引资推介会在辽宁省也是首场。除主会场外，还在各区市县政府、先导区管委会设立了13个分会场，并通过网络中国移动云视讯视频会议平台，特邀330位企业家在线参加活动，远程和现场参加人数约600人。共有91个项目实现签约，预计投资总额1051.5亿元。http://t.cn/A67NpzQX
沈阳晚报,:#关注新冠肺炎##抗击新型肺炎第一线#【最新！辽宁省疫情防控分区分级名单（截至3月2日24时）】来源：辽宁省人民政府网站一、低风险地区沈阳市：和平区、沈河区、大东区、铁西区、苏家屯区、皇姑区、浑南区、沈北新区、于洪区、辽中区、新民市、法库县、康平县。大连市：西岗区、普兰店区、中山区、甘井子区、沙河口区、金州区、庄河市、长海县、瓦房店市、旅顺口区。鞍山市：铁东区、铁西区、立山区、千山区、海城市、台安县、岫岩满族自治县。抚顺市：东洲区、新抚区、望花区、顺城区、抚顺县、新宾满族自治县、清原满族自治县。本溪市：平山区、明山区、溪湖区、南芬区、本溪满族自治县、桓仁满族自治县。丹东市：元宝区、振安区、凤城市、东港市。锦州市：凌河区、太和区、古塔区、凌海市、北镇市、义县、黑山县。营口市：站前区、西市区、鲅鱼圈区、老边区、盖州市、大石桥市。阜新市：新邱区、清河门区、海州区、太平区、细河区、彰武县、阜新蒙古族自治县。辽阳市：白塔区、文圣区、宏伟区、弓长岭区、太子河区、辽阳县、灯塔市。铁岭市：银州区、清河区、开原市、调兵山市、昌图县、西丰县、铁岭县。朝阳市：龙城区、双塔区、凌源市、朝阳县、建平县、喀喇沁左翼蒙古族自治县、北票市。盘锦市：兴隆台区、大洼区、双台子区、盘山县。葫芦岛：连山区、龙港区、南票区、兴城市、绥中县、建昌县。二、中风险地区丹东市：振兴区、宽甸满族自治县。三、高风险地区无。http://t.cn/A67NN7n8
糯米团子开口酥,发表在《人民司法》之法官雄文——《强奸致被害人怀孕不应认定为其他严重后果》——————————————————————————快速普法:强奸罪有一个认定【严重后果与否】的分级。如果确认是严重后果，起刑点是从有期徒刑十年开始起算。如果没有成功认定为严重后果，那就有期徒刑三年到十年。许多关于强奸的案子，最大的争议点就是【是否造成严重后果】。检察院抗诉、当事人上诉、法院撤销原判发回重审、发回再审、改判，很多时候就是围绕这一个点。严重与否，就是有期徒刑十年以上，还是以下的问题。这条线非常重要。——————————————————————————回到案子，案子非常简单。强奸犯王中迎强奸了存在精神状态缺陷的女受害者，致使其怀孕。女受害者最后不得不去人工引产，引产时已经是四个月大了。一审是南安市法院，认为强奸致使受害者怀孕并堕胎，是造成严重后果，因此是判决10年以上。(10年3个月)二审是泉州市中院，认为一审量刑畸重，强奸导致怀孕并导致堕胎根本不构成严重后果，因此改判，十年以下。(6年)——————————————————————————写这篇雄文的林前枢法官，是本案的二审承办法官。他专门将这个改判案子拿出来，专门写出来投稿了，发出来给大家看:来来来，看看，我改判的~——————————————————————————要清楚一点，这种案子，二审不可能是一人审，是三个法官，还有书记员。各个环节都有人。而且，这稿子发到《人民司法》上，也不是一个主编。收稿、审查、编辑排版、校对，同样是各个环节都有人。——————————————————————————这么多人，都一路绿灯。这说明什么？说明林法官不是一个人。说明大家都是这么认为的。根本没有谁觉得有半点问题。——————————————————————————“强奸可能导致怀孕，这是个众人皆知的道理。因此强奸导致怀孕，不应该是【造成严重后果】。因为本来就有这个概率。”这话乍一听，非常有道理。但是，举个最简单的反例。同样是拿刀砍头，你砍他成脑震荡，我判你三年。你砍他砍死了，我判你无期。但是，这个时候再把林法官的逻辑套进来，看一下:“砍人可能会导致死亡，这是个众人皆知的道理。因此砍人导致死亡，不应该是【造成严重后果】。因为本来就有这个概率。”
辽宁交通,:【沈阳皇姑区:从快批捕一起涉疫情防控检查妨害公务案件】#万众一心共抗疫情#3月2日，辽宁省沈阳市皇姑区检察院依法对受理的一起疫情防控期间妨害公务案件从快作出批准逮捕决定。　　2020年2月18日18时许，在沈阳市皇姑区某社区检查站，犯罪嫌疑人韩某某在不佩戴口罩、拒绝提供身份信息的情况下要求进入小区，经民警和盛京义勇工作人员多次劝阻后，依然不服从民警的劝解和警告，并辱骂和踢踹民警身体及面部。后被民警当场抓获。　　公安机关提请审查批准逮捕后，院领导高度重视，指派办案经验丰富的员额检察官承办该案件，承办人第一时间对卷宗进行审查，因犯罪嫌疑人被羁押，为减少直接接触，降低传染风险，通过看守所向犯罪嫌疑人送达听取犯罪嫌疑人意见书，书面听取意见，由犯罪嫌疑人填写并签字后及时收回审查附卷。经过认真细致的审查工作，该院依法以涉嫌妨害公务罪，对犯罪嫌疑人韩某某作出批准逮捕决定。　　新冠肺炎疫情发生以来，该院在做好自身疫情防控工作的同时，坚持以法治思维和法治方式忠诚履职，高效及时办好涉疫情相关案件。今后，将更加积极主动服从服务大局，更加充分有效履行检察职能，把以人民为中心落到疫情防控第一线，切实维护防疫工作秩序，维护社会稳定、公共安全和国家安全。（新闻来源：正义网）
一小只小熊,:#省考##考研#【考研英语】【考研政治】【考研数学】英语四六级法考司法考试注会初级会计中级会计国考【公务员考试】【云南省考】【贵州省考】【四川省考】【宁夏省考】【甘肃省考】【浙江省考】【广东省考】【江苏省考】【福建省考】【江西省考】【黑龙江省考】【辽宁省考】【天津市考】【河北省考】【河南省考】【湖北省考】【湖南省考】【西藏省考】【新疆省考】【青海省考】【广西省考】【江苏事业单位山东公基事业单位福建事业单位http://t.cn/A67Nolzo
葫芦岛晚报编辑部,:【受天气影响辽宁省高速路况信息】截至今日17时，我省高速公路路网内道路通行状况如下：一、受特殊天气影响，封闭的收费站有：1.G1京哈高速公路沈阳西站至辽中站、铁岭南站至铁岭北站；2.G25长深高速公路康平站、包家屯站、方家屯站；3.G91辽中环线高速公路辽中南站；4.S20灯辽高速公路茨榆坨北站；5.S26兴建高速公路全线；6.S2沈康高速公路全线。二、受特殊天气影响，限制车型的收费站有：（一）禁止7座以上客车、大件车、危险品车驶入高速公路的收费站有：1.G1京哈高速公路蒲河站至清水台站；2.G15沈海高速公路苏家屯站至辽阳县站；3.G1501沈阳绕城高速公路全线；4.G1113丹阜高速公路沈阳站至杨千户站；（二）禁止7座及以上客车、大件车、危险品车驶入高速公路的收费站有：1.G91辽中环线高速公路公主屯站至三面船站、腰堡北站至三岔子站。（三）禁止7座及以上客车、大件车、危险品车、商品运输车驶入高速公路的收费站有：1.G1212沈吉高速公路沈阳东站、热高乐园站。（四）禁止大件车、危险品车驶入高速公路的收费站有：1.鹤大高速公路明阳站至栗子房站；2.庄盖高速公路庄河西站至步云山站。（五）禁止7座以上客车驶入高速公路的收费站有：1.G25长深高速公路彰武站至王府站；2.G4513奈营高速公路玉龙新城站至白厂门站；3.G2512阜锦高速公路阜新北站至清河门站；4.G2511新鲁高速公路彰武北站至章古台站。三、交通缓行路段有：1.受车流量大影响，G1京哈高速公路山海关方向在锦州站至南票站之间车辆通行缓慢，长度约10公里，请您控制车速，按序行驶，不要占用应急车道。2.受交通事故影响，G1京哈高速公路沈阳方向在绥中站至兴城站之间车辆通行缓慢，长度约20公里，建议您提前从绥中收费站驶离高速公路。四、受事故影响路段有：1.G2512阜锦高速公路锦州方向在七里河站至双羊站之间发生交通事故，目前事故现场占用第1车道；2.G91辽宁中部环线高速公路辽中方向在公主屯站至新民站之间发生交通事故，目前事故现场占用应急车道；请行驶以上路段的司机朋友们谨慎驾驶，注意避让。(辽宁高速通)
myouitn,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
北斗融媒,:【好消息！1名新冠肺炎患者在沈阳出院】3月3日，又有1名新冠肺炎患者在辽宁省新型冠状病毒肺炎集中救治沈阳中心出院。至此，该中心已累计治愈出院51人，沈阳市累计治愈出院52人。该患者是来自鞍山的新冠肺炎病例，依据集中救治原则，于2月7日由鞍山市传染病院经120转运至沈阳中心治疗。在院期间，经省、市级专家多次会诊及负压科室医生充分讨论，制定了个体化的综合治疗方案，给予抗病毒、抗感染、调节免疫、中药、营养支持及心理疏导等系列治疗，患者病情逐渐好转。目前，该患者体温正常超过3天，咳嗽咳痰症状消失，肺CT影像学明显改善，且连续两次呼吸道标本核酸检测为阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》出院标准。经专家组评估，同意其办理出院，并告知其要按照规定在当地医疗卫生机构监管下继续进行14天医学观察和定期跟踪随访。
那些年lz这些事,:武警辽宁省总队大连医院整形做隆鼻怎么样？哪里做的比较好？唐山工人医院、广州艾美做吸脂怎么样？烟台百黛留芳怎么样？隆胸哪里做的好？还想了解磨骨和双眼皮。@是迷你姐姐呀希望推荐一下。?
沈阳新闻综合频道,:【沈阳中心又有1名新冠肺炎患者治愈出院】3月3日，沈城银装素裹，瑞雪纷飞。沈阳市第六人民医院暨辽宁省新型冠状病毒肺炎集中救治沈阳中心再传佳音。今日又有1名新冠肺炎患者成功救治出院。至此，该中心新冠患者已累计治愈出院51人，沈阳市累计治愈出院52人。今日出院的该名患者是来自鞍山的新冠肺炎病例，依据集中救治原则，于2月7日由鞍山市传染病院经120转运至沈阳市第六人民医院治疗。在院期间，经省、市级专家多次会诊及负压科室医生充分讨论，制定了个体化的综合治疗方案，给予抗病毒、抗感染、调节免疫、中药、营养支持及心理疏导等系列治疗，患者病情逐渐好转。目前，该患者体温正常超过3天，咳嗽咳痰症状消失，肺CT影像学明显改善，且连续两次呼吸道标本核酸检测为阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》出院标准。经专家组评估，同意其办理出院，并告知其要按照规定在当地医疗卫生机构监管下继续进行14天医学观察和定期跟踪随访。
爱自由up,:cp]当得到时会感觉一切好似注定，可是若不努力争取2020国考，2020省考，粉笔公考，公务员网课，行测申论线上超级刷题班，事业单位考试，粉笔国考站长申论半年班齐麟数资满分计划湖南省考，省考联考，山东省考，江苏省考，浙江省考，广东省考，四川省考，辽宁省考http://t.cn/Ai1ewQUD[/cp][/cp]
竹香榭士,:发表了博文《留住记忆的照片（一一零六）》留住记忆的照片（一一零六）青岩寺位于辽宁省北镇市常兴店镇境内，医巫闾山南端，距今1500多年历史青岩寺位于辽宁省北镇市常兴店镇境内，医巫闾山南端，占地13平方千留住记忆的照片（一一零六）青岩寺
快乐孤狐,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
唐建萍冤上加冤,http://t.cn/RnNOBAI@中国政府网@中国新闻网@中华新闻焦点@中国社会报@中国经济时报@中国法律评论期刊@中国独家报道@平安辽宁@辽宁发布@辽宁省政府网@辽宁省监察部@辽宁省纪律检查委员会@辽宁省公安厅@辽宁省政法委@沈阳发布@沈阳市公安局@沈阳市政府网@沈阳市监察委员会@沈阳市检察院@沈阳市纪律检查委员会@沈阳市公安局控申处@沈阳市新民市公安局@沈阳市新民市检察院@沈阳市新民市人民法院@沈阳市新民市纪律检查委员会@沈阳市新民市监察委员会@沈阳市新民政府网
辽宁日报,:【沈阳中心新增出院１例，患者来自鞍山】3月3日，沈阳市第六人民医院暨辽宁省新型冠状病毒肺炎集中救治沈阳中心传来消息，又有1名新冠肺炎患者成功救治出院。至此，该中心新冠患者已累计治愈出院51人，沈阳市累计治愈出院52人。　　据了解，患者来自鞍山，依据集中救治原则，于2月7日由鞍山市传染病医院转运至沈阳市第六人民医院治疗。在院期间，经省、市级专家多次会诊及负压科室医生充分讨论，制定了个体化的综合治疗方案，给予抗病毒、抗感染、调节免疫、中药、营养支持及心理疏导等系列治疗，患者病情逐渐好转。　　目前，该患者体温正常超过3天，咳嗽咳痰症状消失，肺CT影像学明显改善，且连续两次呼吸道标本核酸检测为阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》出院标准。经专家组评估，同意其办理出院。该患者将按照规定在当地医疗卫生机构监管下进行14天医学观察，并接受定期跟踪随访。
深圳网警,:【送别战友！辽宁阜蒙县一名民警牺牲在疫情防控一线
触电新闻,:#共同战疫#【男子向防疫检查点扔狗屎，警方：拘留15日】2020年2月29日，辽宁省大连市葵英街道清泉社区，一男子趁夜晚无人，向防疫工作人员的办公桌上扔了两块狗屎。3月2日，警方将63岁的嫌疑人李某军抓获。据其交代，他因不满防疫人员的管理，而故意扔狗屎恶心他人。（编辑：李苑铭审核：周卿陈碧妍视频由拍客啾啾提供）http://t.cn/A67NcdON
辽宁卫视,:#关注新冠肺炎##抗击新型肺炎第一线##抗击疫情沈阳在行动#【沈阳中心又有1名新冠肺炎患者治愈出院】3月3日，沈城银装素裹，瑞雪纷飞。沈阳市第六人民医院暨辽宁省新型冠状病毒肺炎集中救治沈阳中心再传佳音。今日又有1名新冠肺炎患者成功救治出院。至此，该中心新冠患者已累计治愈出院51人，沈阳市累计治愈出院52人。今日出院的该名患者是来自鞍山的新冠肺炎病例，依据集中救治原则，于2月7日由鞍山市传染病院经120转运至沈阳市第六人民医院治疗。在院期间，经省、市级专家多次会诊及负压科室医生充分讨论，制定了个体化的综合治疗方案，给予抗病毒、抗感染、调节免疫、中药、营养支持及心理疏导等系列治疗，患者病情逐渐好转。目前，该患者体温正常超过3天，咳嗽咳痰症状消失，肺CT影像学明显改善，且连续两次呼吸道标本核酸检测为阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》出院标准。经专家组评估，同意其办理出院，并告知其要按照规定在当地医疗卫生机构监管下继续进行14天医学观察和定期跟踪随访。http://t.cn/RJwKRD0
沈阳新闻广播,:截至目前，辽宁省已有14.8万名农民工返岗复工，其中，11.5万名农民工在省内返岗复工，3.3万名农民工赴省外务工。连日来，我省人社、交通、卫生、公安、铁路等部门横向协调，省、市、县（市、区）三级纵向联动，在做好疫情防控的前提下，组织农民工成规模、成批次安全有序返岗，做到输出有组织、健康有检测、承运有防护、到达有交接、全程可追溯，全力保障企业开复工。全省各级人社部门建立农民工返岗复工“点对点”用工对接服务平台，以县（市、区）为基础统计单位，集中开展输入地和输出地返岗人员信息对接，统一组织农民工返岗、交接、上岗等各环节工作。各级交通运输部门为农民工返岗安排专车，一车一方案，确保农民工“下车门、进厂门”。各级卫生健康部门加强防疫排查、健康教育、体温检测、定期随访，确保农民工健康状况和企业用工安全。同时，针对企业复工招人难情况，我省主动与黑龙江、吉林、四川等省对接，实现省际间劳务协作。各市结合实际创新开展农民工“点对点”就业服务工作。沈阳市主动对接吉林省松源市东辽县来沈务工人员，逐人进行防疫检查，确保安全送达。大连市主动与吉林、内蒙古等地沟通，每日传送复工企业岗位信息，24小时保障农民工返岗复工。（记者：金岩）
WATERSTONE官方微博,:#WATERSTONELAUNDRY##WATERSTONEMARKET#「20春夏•服」品牌•独立设计师品牌Phaédo20SS春夏系列新品上架WATERSTONELAUNDRY｜WATERSTONEMARKET有售……❤️WATERSTONELAUNDRY💙T：+862466917178E：wsl@waterstone.com.cnA：中國遼寧省瀋陽市和平區博覽路2甲1號K11購物藝術中心L2018L2018，K11ArtMall，No.1，2A，BolanRoad，HepingDistrict，Shenyang，China🖤WATERSTONEMARKET🖤T：+862423973888E：wsm@waterstone.com.cnA：中國遼寧省瀋陽市和平區長白街第二十七--二號三單元(近遠洋天地南門)No.27-2-3，LedaoRoad，ChangbaiStreet，HepingDistrict，Shenyang，China#WATERSTONECHINA##WATERSTONEMARKET##WATERSTONELAUNDRY##WATERSTONECASINO#@Phaedo_Shanghai
2020湖南师范新闻系,:以前哥哥说在沈阳生活了十八年大学想去南方然后我爸妈也没说啥我哥大学就去了南昌毕业又在长沙工作现在我用同样的说辞却不好使了！！！！！！！我爸“我就想你就在辽宁省在我们身边”我哥“小妹不老实还是得在你们身边”我妈“我无所谓但是你得学师范”我我我我我我我我！太！难！了！
微微喂喂喂蔚,#济南德云社[超话]#济南德云社位置定了济南·浩鼎工场璐璐的榴莲和雪碧的微博视频
厦门天气在线,:#2020强降雪#看鹅毛大雪，听雪落下的声音。
昌邑检察,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。#防控新型冠状病毒肺炎#（人民日报）（来源：检察日报）
慕容潇筱,:请大家一起帮着转发，主人非常着急，辽宁省大连市昆明街，中原街附近，于今日上午走失两只泰迪，一只黑灰色，一只黑色下巴带白色毛。如有捡到者请跟我联系，必有重谢！18698705716邢女士
沈阳晚报,:#出行生活##提醒#【路况信息:部分高速收费站关闭】截至今日17时，辽宁省高速公路路网内道路通行状况如下：一、受特殊天气影响，封闭的收费站有：1.G1京哈高速公路沈阳西站至辽中站、铁岭南站至铁岭北站；2.G25长深高速公路康平站、包家屯站、方家屯站；3.G91辽中环线高速公路辽中南站；4.S20灯辽高速公路茨榆坨北站；5.S26兴建高速公路全线；6.S2沈康高速公路全线。二、受特殊天气影响，限制车型的收费站有：（一）禁止7座以上客车、大件车、危险品车驶入高速公路的收费站有：1.G1京哈高速公路蒲河站至清水台站；2.G15沈海高速公路苏家屯站至辽阳县站；3.G1501沈阳绕城高速公路全线；4.G1113丹阜高速公路沈阳站至杨千户站；（二）禁止7座及以上客车、大件车、危险品车驶入高速公路的收费站有：1.G91辽中环线高速公路公主屯站至三面船站、腰堡北站至三岔子站。（三）禁止7座及以上客车、大件车、危险品车、商品运输车驶入高速公路的收费站有：1.G1212沈吉高速公路沈阳东站、热高乐园站。（四）禁止大件车、危险品车驶入高速公路的收费站有：1.鹤大高速公路明阳站至栗子房站；2.庄盖高速公路庄河西站至步云山站。（五）禁止7座以上客车驶入高速公路的收费站有：1.G25长深高速公路彰武站至王府站；2.G4513奈营高速公路玉龙新城站至白厂门站；3.G2512阜锦高速公路阜新北站至清河门站；4.G2511新鲁高速公路彰武北站至章古台站。三、交通缓行路段有：1.受车流量大影响，G1京哈高速公路山海关方向在锦州站至南票站之间车辆通行缓慢，长度约10公里，请您控制车速，按序行驶，不要占用应急车道。2.受交通事故影响，G1京哈高速公路沈阳方向在绥中站至兴城站之间车辆通行缓慢，长度约20公里，建议您提前从绥中收费站驶离高速公路。四、受事故影响路段有：1.G2512阜锦高速公路锦州方向在七里河站至双羊站之间发生交通事故，目前事故现场占用第1车道；2.G91辽宁中部环线高速公路辽中方向在公主屯站至新民站之间发生交通事故，目前事故现场占用应急车道；请行驶以上路段的司机朋友们谨慎驾驶，注意避让。（辽宁高速通）
威海晚报,:#威海身边事#【舍不得威海？这只大天鹅飞到辽宁，又飞回来了！】眼下正是大天鹅告别威海，北迁的季节。然而，荣成大天鹅国家级自然保护区工作人员意外发现，编号为“F52”的大天鹅近日飞抵至辽宁省庄河市时，没有继续向北迁徙，而是一反常态从庄河再次返迁荣成，这样的现象非常罕见。针对它返回荣成的原因，目前还在研究中，保护区将持续做好观测。网友朋友们猜猜，“F52”为何要重返威海，是因为舍不得这里吗？（威海晚报记者沈道远通讯员杨春宁孙阳）
湖北发布,:【居家防疫：吃营养餐，塑健美身】“每逢佳节胖三斤”，由于新冠肺炎疫情的影响，2020年春节开始的超长假期可远不止三斤那么简单。防疫时期，如何吃得营养丰富还能苗条不长肉，成为很多女性最关注的话题。近日，中国妇女报·中国妇女网记者特别采访了辽宁省营养师协会秘书长、中国注册营养师左晓晶，请她为女性朋友们支招：吃最营养的餐，塑最健美的身。http://t.cn/A67N7OJ7
招财喵0205,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A679z58a
胡老大他爹,:【辽宁新增3例确诊病例，均为丹东市病例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。
新浪辽宁,:#辽宁一民警牺牲在防疫一线#【辽宁阜蒙县一名民警牺牲在疫情防控一线
