秒拍资讯,:【惨不忍睹！#辽宁一河边现百只野生鸟类尸体#志愿者：疑有人投毒
熊猫PanDayo,:我24见过好多次爸妈争吵的样子最让我肯定我妈爱我爸那一次是最近的一次2019年我爸赌气的开车走了我妈哭着来找我让我给爸挂电话我打了没接就继续打游戏了我妈说要自己去找他穿着薄开衫打车翻遍辽阳市我爸常去的地方后来我追了出去不是因为被教育而是明白了什么是爱情什么是婚姻以前只觉得爸爸偏爱妈妈事事谦让爱护妈妈才是最幸福的人原来幸福是双方的爸爸给了妈妈女生最喜欢的偏爱妈妈给了爸爸爱是相互的真正的爱情里从来没有输赢和被爱的那一方他们都是人生赢家都有被爱护我又相信爱情了嘻嘻http://t.cn/R2Wx9o6
辽阳日报,:【以刀为笔助力战“疫”】疫情当前，医护人员、警察、志愿者……都在用自己的方式进行着战斗，艺术工作者也不例外。近日，国家一级美术师、西泠印社社员、辽阳市首批文化名人、篆刻书法家梁宏伟分别篆刻了《让世界充满爱》《岂曰无衣，与子同裳》《山川异域，风月同天》等作品，用篆刻的艺术形式和语言之美，致敬英雄，赞美大爱，表达对疫情防控的决心和对祖国的祝福。这三幅作品中，《让世界充满爱》以最直白的语言表达出最响亮的心声。而《岂曰无衣，与子同裳》《山川异域，风月同天》，是在湖北严重缺乏物资的时刻，国际上各个国家都伸出援手，这两句话被写在捐赠物资的包装箱上，让梁宏伟有感而创作。梁宏伟，是辽宁省书协篆刻委员会副主任、辽阳市书协副主席，中国书协会员。肆虐无情的疫情背后，处处都是温暖人心的力量。梁宏伟深有感触，也为他的创作带来灵感。半个多月的时间，他在寿山石上一刀一刀刻出一笔一画，方寸之间，语句虽短，情意深长。他也希望通过自已篆刻作品传递更多的人间真情，为武汉加油、为中国加油！（记者苗利莉∕文史勇∕摄）
辽阳日报,:【“我们在后方做你坚强的后盾！”】最近，辽阳石化公司运输部综合一队驾驶员宋学斌有了一个重要的任务——歇班的时候照顾自己3周岁的小孙子。原来，宋学斌的儿媳李卓是辽阳市中心医院呼吸科护士，作为支援武汉的医护人员，现正在雷神山医院参与救治新冠肺炎确诊病人。宋学斌的儿子在政府部门上班，工作很忙，早出晚归，照顾孩子的重担就落在了老两口身上。宋学斌是一名老党员，平时工作兢兢业业，扎实肯干。在防疫期间，他严格按照工作要求，做好为生产监测部取样及车辆消毒等疫情防控工作。歇班时就买菜、做家务、照顾孩子，做好家里的后勤保障，让在前方的儿媳安心战“疫”。“妈妈啥时候回来？我要见妈妈！”孩子从没离开妈妈这么长时间，他太想妈妈了。“你妈妈在武汉杀病毒，你要听话，妈妈很快就会回来。”孩子很乖，爷爷劝几次也就不吵着找妈妈了。“让她在前方安心工作，我们把孩子带好！”宋学斌说。在雷神山医院，李卓每次工作要穿三层隔离服，进去治疗区一次连续工作6小时。家人平常不敢给她打电话、通视频，怕打扰她。每隔二三天，才让孩子跟妈妈连线一次视频。在老两口眼里，儿媳是一名非常优秀的护士。从锦州医学院毕业后一直在辽阳市中心医院呼吸科工作，责任心强，工作认真，各项工作都走在前列。在战“疫”一线，广大医护工作者用实际行动践行着医者的初心和使命；而在后方，是许许多多像宋学斌这样的家人用默默付出铸就了坚强后盾，让前方的战士后顾无忧。（朱晓芳记者张昕）
辽阳日报,:【“一起扛，一起闯，一起回家乡！”】——辽阳援助武汉医疗队队员、辽阳市中心医院感染管理科陈冬梅战“疫”随笔“一个都不能少，我要把你们都安全地带回家！”这是我从踏上征程的那天起就下定的决心，这是我身为一个“感控人”的职责和使命。我必须拼尽全力做好感染管理控制工作，让我的伙伴们零感染，平平安安地回家。防范这个看不见的敌人，时时处处皆战场，必须把防控关卡前移，做到“先下手为强”。入住酒店后，我立即根据酒店房间设置，琢磨起如何防控感染。第二天一大早，我就开始在酒店及入住的房间内安排布置穿脱外出服流程，对全体队员进行穿脱防护服的培训，每个环节、每个细节都不放过，每个队员一个一个过关，一遍不行就再来一遍，有一丁点的不达标都不行，大家对我的“严苛”都很理解和配合。2月14日，我们病区正式开始接诊患者，在接诊前，到医院踩点后，我连夜做出防护区域的各个流程，医院院感办和护理部的专家检查时评价“各个流程布局合理，物资准备齐全”。感控无小事，我没有陶醉于专家的肯定，而是立即制定院感相关工作制度，对流程进一步检查，为开诊工作做好充分准备。现在已经开诊13天了。检查、上报防护物质储备使用情况、准备工作人员的防护用品，检查所有人员穿脱防护服是否规范、手卫生操作是否合格……细节决定成败，每天重复的工作我却不敢有一丝一毫的懈怠。只有始终如一严格把控这些关卡，才能确保大家平安。看到源源不断的防护物资供应上来，没有了后顾之忧，我的心也越来越踏实了。每天我都要对进舱的医护人员、保洁员、维护人员，进行脱防护服的考核，一点一滴地查找不足，一遍一遍及时纠正，张阳妹妹说在外面都能听到我的声音，嗓子已经哑啦，但是必须坚持啊！我就是要把你们一个一个不停地喊回家！作为一名院感管理者，我主动承担消毒工作，每天两次到隔离病区进行消毒，门把手、开关、传递箱、各种仪器设备，认真仔细地擦拭着每一个高频接触的物表，绝不漏掉每一个地方。我要用我无数次的细致打败所有病毒，给同事们创造一片洁净的空间！“院感员秒变保洁员！”每天检查医护人员感控相关操作，保洁员的环境卫生情况以及医疗垃圾封口是否规范是我最常规的工作。在开诊初期由于保洁员人手比较紧张，我和感控护士自己动手完成医疗垃圾封口工作，最多的一次有四十多袋医疗垃圾，当时穿着厚厚的防护服，爬进大桶里拿出患者污染的被，汗瞬间流了下来，护目镜一片模糊，一度感觉气短，仿佛要窒息，赶紧休息片刻调整状态，继续把40多个大袋子的垃圾按照规范要求层层封口，看到一袋袋被打包好的医疗垃圾，感觉自己也是一名合格的保洁员。我偷偷地会心地笑了，尽管我的笑没人看得到。“院感员也是护士！”在隔离病区工作结束后，看到护士们工作忙碌的时候，总想为她们分担点工作。协助护士更换床单，为卧床患者进行床单的消毒；为患者发放口罩，一遍又一遍嘱咐患者一定要换上，面对不能自理的患者还要亲手为她们换下来……一个“老护士”要不干点啥，总觉得手发痒！每晚都会和感控护士进行当天工作的回顾和总结，查找问题，不放过每一个细节，并且把制作的内容及时分享在院感群中，得到了院感办老师的高度认可。与队员们并肩战斗、共同生活，彼此拥有了深厚的情谊和信任，我用工作和热情赢得了队员们的尊重。大家都说：陈老师，有你在，我们都心安！每天上报全队医护人员的体温情况，看着每一项数据都安全，是对我最高的奖赏！医护护佑着患者的生命，感控人护佑着医护的健康。我们感控人努力当好健康的守门员！任重道远，我们一起扛，一起闯，一起回家乡！2020.2.27夜
正义的白衣天使120,:http://t.cn/AieSWA8Qhttp://t.cn/AieSWA8Qhttp://t.cn/AieSWA8Q辽宁省辽阳市第三人民医院必须被彻查！@CCTV焦点访谈@CCTV焦点访谈@人民日报@CCTV13新闻直播间@澳門日報@澳亚卫视@中国日报@CNR国防时空@中国青年报
科信教育辽阳校区,:暂停辽阳市2020年春季普通话水平测试工作的通知http://t.cn/A67yhXIF
云想衣裳花想容5366,:医生面前不分男女辽宁省辽阳市第三人民医院不是患者主治医师循环内二科赵会权医生窥看女患者隐私部位！医德败坏！现在医疗卫生事业不断发展，不管哪一个医院科室都有很多的男医生，但是有的男医生利用职务之便，有时不是负者患者的医生也会进来大大方方的看女患者的自私部位。今天我带我母亲去辽宁省辽阳市第三人民医院检查身体就遇到一位医德败坏的男医生，不是治疗医生还强行进入诊室该男医生被患者家属多次阻拦后来强行进入诊疗室看正在脱去上衣表露乳房正在做心电图检查的我的母亲。事后投诉医院称在医生面前没有男女之分。一句话概括！此医生为循环二科的赵会权医生，医德败坏！@辽阳市第三人民医院@全国卫生12320@辽阳那点儿事@辽阳同城@辽阳网@辽阳新闻http://t.cn/R2Wx9o6
辽阳日报,:【辽阳市红十字会接收社会捐赠款物及使用情况公示（五）】2月17日12时-2月24日12时，我会接收捐款1，087，101.10元，累计接收捐款4，291，351.76元；接收物资价值318，400元，累计接收物资价值892，586元。目前，我会已将以上款物交市疫情防控指挥部物资保障组统一调配使用，其中定向捐赠物资按照捐赠人意愿交付给受赠方。根据《中国红十字会捐赠工作管理办法》的有关规定，现进行如下公示，接受社会监督。在此，我会向所有捐赠的企业和个人表示崇高的敬意，让我们心手相牵，共抗疫情，在市疫情防控指挥部的统一指挥下，坚决打赢这场疫情防控阻击战！附表：接收捐赠款物一览表。辽阳市红十字会2020年2月27日
盛京视频,:【用小爱回报大爱：我省第四例新冠肺炎康复者捐献血浆】2月26日上午，在辽阳市汤河温泉职工疗养院，辽阳的新冠肺炎康复患者万女士顺利采集捐献了400毫升有抗体的血浆，为挽救新冠肺炎危重患者奉献爱心。据悉，这是全省第四例新冠肺炎患者康复期捐献血浆。万女士表示，希望康复的人员也都能来献血救人，用我们的小爱来回报大爱。#沈阳春醒#http://t.cn/A67L8D4e
抚顺中公教育,:2020年辽阳市暂停春季普通话水平测试工作通知http://t.cn/A67LQ97e#普通话水平测试##辽阳身边事#
大连中公教育,:【关于暂停2020年辽阳市春季普通话水平测试工作通知】根据省教育厅有关通知及辽宁省语言文字应用中心要求，疫情防控期间暂停我市2020年春季普通话水平测试报名和测试工作，具体恢复报名和测试的时间将视疫情控制情况另行通知。http://t.cn/A67LHm1V
云想衣裳花想容5366,:医生面前不分男女辽宁省辽阳市第三人民医院不是患者主治医师循环内二科赵会权医生窥看女患者隐私部位！医德败坏！现在医疗卫生事业不断发展，不管哪一个医院科室都有很多的男医生，但是有的男医生利用职务之便，有时不是负者患者的医生也会进来大大方方的看女患者的自私部位。今天我带我母亲去辽宁省辽阳市第三人民医院检查身体就遇到一位医德败坏的男医生，不是治疗医生还强行进入诊室该男医生被患者家属多次阻拦后来强行进入诊疗室看正在脱去上衣表露乳房正在做心电图检查的我的母亲。事后投诉医院称在医生面前没有男女之分。一句话概括！此医生为循环二科的赵会权医生，医德败坏！
辽宁影视网,:【雷神山上“铁太太”】在辽宁支援雷神山医院的医护人员队伍中，55岁的赵洪露是年龄最长的护士。去武汉之前，她是辽阳市中心医院主任护师、党委办公室主任。去武汉之后，她成了大家伙儿口中让人服气的“铁太太”。步子快，嗓门大，风风火火，这就是医生护士们嘴里常喊的“铁太太”。致敬，白衣战士！期待你们凯旋！http://t.cn/A67PnRrb
粉熊的微博,:#粉熊的微博一双眼皮投稿[超话]#2020.1.22，辽宁省辽阳市中医医院，眼科刘成岩主任，全切双眼皮➕开眼角，价格不到五千～#微博投稿一一双眼皮##整形案例#
新浪辽宁城市频道,:#抗击疫情辽宁工会在行动#【小爱回报大爱-辽阳新冠肺炎治愈者首位成功捐献血浆400毫升】2月26日12时，辽阳市第二例新冠肺炎治愈者万某，主动捐献带有新型冠状病毒抗体的血浆400毫升，成为辽阳新冠肺炎治愈者中成功捐献血浆的第一人，此次捐献的血浆由省血液中心采集，用于救治朝阳市一名重症新冠肺炎患者。
辽阳就业,:【转发】辽阳市太子河区出台举措确保疫情防控备耕生产两不误http://t.cn/A67AeoNE
辽阳日报,:【辽阳电网建设工程复工】场地消杀、体温检测、戴好口罩的工人依序进入工地……2月26日，在辽阳市太子河区高洛子镇高洛子66千伏1号主变扩建工程现场可以看到，在经过多道防疫“关卡”后，工地上开始忙碌起来。标志着2020年地区电网建设项目全面有序复工。疫情当前，国网辽阳供电公司认真落实辽阳市政府疫情防控和复工复产要求，召开“电网建设工程人员疫情防控保障和电网建设工程复工动员会”，制定15项疫情防控措施，一手抓疫情防控不松懈，一手抓复工复产不停滞，为电网项目建设实施创造条件，促进电网建设项目有序复工。复工前，辽阳供电公司做足“功课”重点解决人员“出行难”、物资“配送难”、进场“入驻难”、防疫“管控难”等问题。在施工现场组建疫情防控专业班组，实行防疫专业化管理和“一人一表”登记制度，重点对人员返工、工器具配置、物资、防疫措施等进行周密安排，保障疫情防控和工程复工工作齐头并进。下一步，辽阳供电公司本着疫情防控和复工条件成熟一个复工一个思路，到3月中旬，有8个续建项目陆续复工建设，全力保障2020年辽阳市电网建设工程目标不变、任务不减。（缪成清）
辽阳交警,:#交通安全不容忽视#2月22日，辽阳市太子河区交警大队民警在辖区巡逻时，发现前方机动车道上有一名男子脚踩轮滑鞋，飞快穿梭滑行并不停变换车道。虽然疫情期间道路上车流量较小，但这种行为非常危险。民警立即将其拦下。了解情况后对其进行交通安全教育，同时要求其立即收起滑行器械。交警提示：疫情期间，广大民众需按照国家有关规定，减少外出。滑轮滑请到专门的轮滑场地或者空旷的广场上。不得在道路上使用轮滑、旱冰鞋等滑行工具。生命安全不可当儿戏！
中国环境宣传教育,:#全国城市空气质量榜#生态环境部公布的空气质量数据显示，2月25日，全国城市空气质量排名前10位的城市为：三亚市、赤峰市、甘孜州、黑河市、龙岩市、云浮市、那曲地区、克拉玛依市、白城市、秦皇岛市、辽阳市（并列）、朝阳市（并列）、玉树州（并列）、阿勒泰地区（并列）；后10位的城市为：晋城市、西安市、洛阳市、阳泉市、渭南市、三门峡市、太原市、运城市、喀什地区、和田地区。
辽阳教育官微,:防控疫情担使命，坚守岗位守初心——驻村第一书记高长宝高长宝，辽阳市第十一中学政教处主任，2018年5月，被市教育局选派至灯塔市铧子镇任半山村第一书记。面对来势汹汹的疫情，铧子镇党委、政府打响了全镇疫情防控战役。接到倡议书后，他放弃了与家人团聚，立即奔赴一线，与村“两委”研究成立了村疫情防控领导小组、护村队、村民排查小组，制定了值班表。工作中，他克服孩子年幼，妻子又孕期过半需要照顾等困难，每天行车往返百余公里，与村干部一起带领人员并按照上级“里不出，外不进”的要求，封闭两条入村小路口，在村内重要位置设立两处检查站，分片包干、责任到人。他编写了村民倡议书向村民发放，他与大家通过广播、小喇叭、挂条幅、张贴标语等方式共同做好疫情宣传，做到防疫人人皆知，为村民树立了战胜疫情的信心。面对防护物资的紧缺，高长宝多方联系，自费购置消毒液、口罩、防护手套等，为村里疫情防控所需的物资提供了一定的保障。同时，他还自费购买了方便面、八宝粥、火腿肠等食品，送给卡点的值守人员，为卡点执勤人员解决就餐难的问题。在做好村里疫情防控工作的同时，协助镇里做好防控工作、典型事迹的宣传报道。每天他镇、村两头跑，常常白天一线冲锋，晚上挑灯夜战奋笔疾书，记录下镇、村干部防控工作的点点滴滴，发布了多期下派干部工作纪实。对疫情防控工作的开展起到了积极地促进作用。他主动作为，与村党员群众，群策群力，为实现本村防控情况稳定有序，为守护好本村群众的健康安全贡献了自己的力量！
辽阳教育官微,:省教育厅厅长冯守权一行到辽阳督导检查教育系统疫情防控工作2月19日，省委教育工委副书记、教育厅党组书记、厅长冯守权来到辽阳督导检查教育系统疫情防控工作。实地督导检查调研辽宁建筑职业学院疫情防控工作，省教育厅办公室主任张迎、辽宁建筑职业学院党委书记刘长新、辽阳市教育局党组书记、局长、市委教育工委副书记滕海燕陪同督导检查，辽宁建筑职业学院副校长田百洲、白俊参加了调研活动。在辽宁建筑职业学院督导检查期间，冯守权一行认真遵守防疫要求，配合保安人员测量体温，登记备案。之后实地督查了校园封闭情况，学校防控组织领导、防控物资筹备、师生信息掌握以及线上教学准备、下一步师生返校措施准备以及开学各项工作预案拟定等情况，刘长新一一进行了汇报。督导检查中，冯守权来到学校医务所与医护人员亲切交流，了解了学生日常到医务所就诊数量以及卫生防疫物资准备情况。并对学校系统化、全覆盖、精细化的校园管控措施给予了肯定，同时强调，要进一步细化师生返校工作预案。冯守权详细询问了辽阳教育系统疫情防控情况，并就当前和今后一段时间的疫情防控、教育教学等工作进行指导。他强调，要做好“停课不停学”各项准备，切实“看好门、管好人”；要用好“开学第一课”的教育契机，把疫情防控知识、心理疏导、家国情怀等主题融入其中；要按照教育部、省教育厅通知精神，在开学前这一段时间根据不同学段实施学生喜闻乐见的线上教学，切实减轻低年级学生课业负担，有力保障线上教学资源的全覆盖；要一手抓防控，一手抓育人；要加强宣传舆论引导，坚定信心、保持定力，不存懈怠，不留盲区，为全面打赢防控阻击战做出教育系统应有的贡献。
中科锐景,:辽宁省2020与2019年02月NO2同期水平对比图12019年02月辽宁省NO2分布图图22020年02月辽宁省NO2分布图根据图1和图2的对比可以发现，在2019年2月1日至24日期间，NO2的排放主要集中在辽阳市、营口市、鞍山市及沈阳市等地区，在2020年2月1日至24日期间，在辽宁省范围内NO2的排放相较2019年同期明显下降，NO2排放主要集中在辽阳市、营口市、鞍山市及葫芦岛市等其他地区。分析原因主要是辽宁省主要工业结构分布于辽中南地区，但在春节期间大部分工厂、企业停工再加之受疫情影响节后返岗率较低。自2月初辽宁省发布防疫一级响应以后交通运输行业采取非必要车辆限行措施。综合以上分析引起NO2排放的因素减少故NO2较去年同期排放减少。#辽宁省#
辽宁检察,:#检察机关众志成城抗疫情#【三方远程庭审辽阳检察机关打好智慧公诉战“疫”】2月21日，由@辽阳市白塔区检察院提起公诉的被告人韩某疫情防控期间寻衅滋事案，一审开庭审理并当庭宣判。该案系辽阳检察机关通过远程庭审，适用刑事速裁程序，依法提起公诉的本地首例妨害疫情防控刑事案件。http://t.cn/A67zhNqz
辽阳就业,:辽宁省2020届高校毕业生春季网络招聘会1.灯塔北方化工有限公司招车间化验员10名，30-45岁，中专以上学历，有化验员证或有二年以上工作经验，会计5名，女，23-35岁，本科学历，会计专业或有三年以上工作经验，人力资源/行政人员5名，25-35岁，本科学历，人力资源/行政/法律相关专业，工艺员6名，男，25-35岁，本科学历，化工/化学/工艺相关专业，销售员10名，大专学历，男，25-35岁，三年以上销售经验。联系人：人力资源部，联系电话：0419-2701888，地址：灯塔铁西化工区（灯塔高速口304省道附近）。2.辽宁天一航空科技有限公司招机械工程师2名，本科学历，3000-5000元。联系人：王芳，联系电话：13904203637，地址：辽阳县黑牛庄工业园区鞍阳路67号。3.辽宁中科瑞创科技有限公司招电话客服200名，专科学历，2000-5000元。联系人：沈女士，联系电话：13065386161，地址：文圣区翰林路西。4.辽阳港隆化工有限公司招机械工程师1名，本科学历，5800-6000元，仪表工程师1名，本科学历，3000-4000元。联系人：赵女士，联系电话：15804988717，地址：太子河区铁西路二号。5.辽阳辽东精细化工有限公司招办公室主任2名，专科学历，3000-3500元，销售员1名，专科学历，2000-5000元，仪表工1名，中专学历，2500-3000元，成本会计1名，专科学历，2500-3000元，设备管理员1名，本科学历，2500-3000元，采购员1名，专科学历，2500-3000元，财务总监1名，本科学历，4000-6000元，化验员3名，专科学历，2000-2500元。联系人:周女士，联系电话：0419-3711029，地址：文圣区庆阳工业园区。6.辽阳正阳机械设备制造有限公司招网络营销2名，专科学历，2000-8000元，机械设计工程师2名，本科学历，4000-6000元，销售内勤1名，本科学历，2500-3500元。联系人：关雅月，联系电话：0419-2256177，地址：太子河区85号。7.辽阳嘉德血液制品有限公司招物控部采购内勤1名，专科学历，2000-2500元，库房管理员1名，本科学历，2000-2500元，质量控制部动物检验1名，本科学历，2000-2500元，质量控制部血浆检验1名，本科学历，2000-2500元，质量控制部微生物检验2名，本科学历，2000-2500元，质保部经理1名，本科学历，4800-5500元，生产部经理1名，本科学历，4800-5500元，办公室网络管理员1名，专科学历，2000-2500元，办公室人事主管1名，大专学历，3500-3800元。联系人：谢先生，联系电话：0419-2305508，地址：白塔区卫国路146号。8.辽阳艾斯博特自动化控制有限公司招编程组态电气技术员4名，本科学历，2000-7000元，销售经理4名，本科学历，2000-4000元，PLC配线工4名，本科学历，2000-3000元。联系人：边克奇，联系电话：13104198525，地址：白塔区后地路15号。9.辽阳市城铭恒温设备制造有限公司招机械工程师2名，本科学历，5000-7000元，电气工程师1名，本科学历，4000-7000元，机械技术员2名，本科学历，4000-6000元。联系人：袁媛，联系电话：13941966176，地址：白塔区铁西路7号。10.辽阳石化机械设计制造有限公司招车工学徒2名，中专学历，2000元，射线探伤负责人2名，本科学历，3000-3700元，打磨质量检查员1名，中专学历，2600-2900元，铆焊质量检查员2名，专科学历，2500-2700元。联系人：吴国栋，联系电话:0419-3666336，地址：宏伟区南环南二段（杨家花园村）。11.辽阳龙雨动物药业有限公司招主管会计1名，本科学历，2000-3000元，养殖技术员4名，专科学历，3000-5000元，办公室内勤1名，专科学历，2000-2500元。联系电话:18687666088，地址：辽阳县响山子。12.辽阳宏达自动化仪器仪表有限公司招聘生产副总1名，薪金待遇：工资面议，缴纳保险，岗位要求：组织建立和完善生产指挥系统，40周岁以下，大专及以上学历。总经理1名，薪金待遇：工资面议，缴纳保险，岗位要求：全面负责公司日常的管理工作，40周岁以下，大专及以上学历。销售经理4名，薪金待遇：工资面议，缴纳保险，岗位要求：负责所管辖区域内城市及客户销售工作，40周岁以下，大专及以上学历。外协2名，薪金待遇：工资面议，缴纳保险，岗位要求：按工作安排外协等工作，35周岁以下，本科及以上学历，相关经验两年以上。技术3名，薪金待遇：工资面议，缴纳保险，岗位要求：机械专业，负责各类方案设计、编写，40周岁以下，本科及以上学历。焊工50，薪金待遇：考试水平定工资，缴纳保险，岗位要求：会气保，2年以上焊接工作经验，有焊工证优先，45周岁以下铆工2名，薪金待遇：薪资面议，缴纳保险，岗位要求：有一定的识图能力，能够熟悉使用气保焊，45周岁以下，2年以上工作经验。车工2名，薪金待遇：薪资面议，缴纳保险，岗位要求：有一定的识图能力，能够熟悉使用测量工具，具有普通车床工作经验。装配钳工5名，薪金待遇：薪资面议，缴纳保险，岗位要求：负责各类结构件的组装、拆解等工作，有简单的识图能力，45周岁以下。质检，岗位数量：1名，薪金待遇：薪资面议，缴纳保险，岗位要求：熟悉工艺文件要求，监督做好各类检验记录，大专及以上学历，45周岁以下。普通工2名，薪金待遇：薪资面议，缴纳保险，岗位要求：负责各类辅助工作，45周岁以下，单位地址：巴家，联系电话：0419-5126773，联系人：人力资源部13.辽宁威利发食品有限公司招聘检验员女，1人，薪金待遇：面议，岗位要求：负责产品的检验工作和办公室的日常事务，单位地址：辽宁省辽阳市辽阳县首山镇商业街6-2号，联系电话：133-0419-2608，联系人：富经理14.辽宁远达机电设备安装工程有限公司招聘行政专员1名，薪金待遇：2500-3000，岗位要求：大专以上学历，40岁以下，有相关工作经验；工作时间：早八晚五，周日休息，法定节假日休息；统计员2名，薪金待遇：2500-3000，岗位要求：大专以上学历，40岁以下，干过相关统计工作，有会计工作经验者优先考虑；工作时间：早八晚五，周日休息，法定节假日休息，单位地址：太子河区干渠路85号，联系电话：2282677，联系人：杨女士15.沈阳海尔电冰箱有限公司招聘普工50、技工20、技师20，薪金待遇：4000—6000，岗位要求：中专学历及以上，能适应倒班工作，手臂无烟疤、纹身，无违法犯罪记录等，单位地址：沈阳市沈北新区大望街105号，联系电话：18640035111，联系人：韩经理
辽阳就业,:【转发】辽阳市人社局出实招助企业渡难关http://t.cn/A6771ORB
辽阳就业,:【转发】辽阳市宏伟区全力推动企业复工复产http://t.cn/A6771owr
辽阳就业,:【转发】辽阳市政府向重点企业无偿投放防护口罩http://t.cn/A6771xCp
辽视说天下,:【雷神山上“铁太太”】在辽宁支援雷神山医院的医护人员队伍中，55岁的赵洪露是年龄最长的护士。去武汉之前，她是辽阳市中心医院主任护师、党委办公室主任。去武汉之后，她成了大家伙儿口中让人服气的“铁太太”。步子快，嗓门大，风风火火，这就是医生护士们嘴里常喊的“铁太太”。致敬，白衣战士！期待你们凯旋！http://t.cn/A67PnRrb
依法维权人6089162921,:#中华新闻热点暴料中心[超话]#辽宁省灯塔市人民法院郎晓东！辽阳市中级法院马佰乐！辽宁省高级法院宗程！枉法裁定！不开庭！不传被告和被告第三人伪造开庭笔录！裁定书！毁灭证据！包庇庆阳街派出所刻派出所假公章犯罪嫌疑人！灯塔市人民法院郎晓东送大连恒锐物证司法鉴定所鉴定复印件采信证据严重违法！灯塔市人民法院行政庭长高尚萍、不给重新委托二次鉴定高尚萍说依据行政诉讼法某某条不能做二次鉴定！这群公安法院里的少数害群之马什么时候能被追究刑事责任！http://t.cn/R2Wx9o6
instar-围脖菇凉,【#隔离病房遇上东北医生#画风突变……
辽阳日报,:【重点企业复工，政府给发口罩】为促进辽阳市重点工业企业复工复产，减少疫情给工业经济带来的损失，市政府从2月20日开始，对重点工业企业无偿投放一批防护型口罩。按照辽阳市疫情防控指挥部的工作部署，市工信局对复工复产规上企业口罩需求情况进行了调度，通盘考虑规上企业、纳税百强、“千名干部包千企”和市政府督查室督查数据等综合因素，本着突出重点的原则，兼顾各县（市）区上报的需求数据，将约16万个口罩分批无偿投放到88户重点企业，助力疫情防控与企业生产经营两不误。截至2月24日，全市243户规上企业已复工193户，复工率79.4%。到记者发稿时，口罩已投放约5.7万个。（朱毅记者张昕）
用户6212997958,:我正在快手看辽阳市动物园的直播，一起来看！#记录世界记录你#辽阳市动物园的快手直播
辽阳智慧社区,:【辽阳市长途客运总站26日部分市际班线恢复运营的通知】
那一年执念62,:#辽宁[超话]##隔离病房遇上东北医生#在辽宁支援雷神山医院的医护人员队伍中，55岁的赵洪露是年龄最长的护士。去武汉之前，她是辽阳市中心医院主任护师、党委办公室主任。去武汉之后，她成了大家伙儿口中让人服气的“铁太太”。辽宁号news的微博视频
眾人表妹就係我,【#隔离病房遇上东北医生#画风突变……
小峰13213,:辽阳市第三批驰援武汉医疗队从武汉雷神山医院发回队员工作生活汇报。我们一切安好。勿念！@QQ浏览器http://t.cn/A67vLoLO致敬爱的白衣天使
魅力首山,:外地返辽阳人员需登记备案隔离2月24日8890（12345）平台收到群众咨询：从北京回辽阳市白塔区工作是否需要进行隔离。当日白塔区政府反馈：社区工作人员立即与诉求人取得联系，对其在白塔区居住情况和预计返程时间进行登记备案，同时告知诉求人回辽阳后要居家隔断14天，身体健康方可外出。市8890（12345）综合服务平台2020年2月25日
灯塔融媒,:外地返辽阳人员需登记备案隔离2月24日辽阳市8890（12345）平台收到群众咨询：从北京回辽阳市白塔区工作是否需要进行隔离。当日白塔区政府反馈：社区工作人员立即与诉求人取得联系，对其在白塔区居住情况和预计返程时间进行登记备案，同时告知诉求人回辽阳后要居家隔断14天，身体健康方可外出。辽阳市8890（12345）综合服务平台2020年2月25日
辽阳广播电视台官博,:【外地返辽阳人员需登记备案隔离】2月24日8890（12345）平台收到群众咨询：从北京回辽阳市白塔区工作是否需要进行隔离。当日白塔区政府反馈：社区工作人员立即与诉求人取得联系，对其在白塔区居住情况和预计返程时间进行登记备案，同时告知诉求人回辽阳后要居家隔断14天，身体健康方可外出。市8890（12345）综合服务平台2020年2月25日
北斗融媒,:在辽宁支援雷神山医院的医护人员队伍中，55岁的赵洪露是年龄最长的护士。去武汉之前，她是辽阳市中心医院主任护师、党委办公室主任。去武汉之后，她成了大家伙儿口中让人服气的“铁太太”。辽宁号news的微博视频
辽视第一时间,:【厉害！
辽阳就业,:【转发】[奥克集团再捐20万元驰援一线医护人员]2月24日，奥克集团董事局和奥克爱心基金会研究决定，向辽阳市慈善总会再次捐款20万元驰援抗疫，将定向驰援辽阳前往湖北抗疫一线的辽阳医护人员，并向她们致以崇高的敬意。此前，奥克集团已通过辽阳市慈善总会捐款200万元，并设立500万元专项资金用于抗击疫情。来源：辽阳日报
红楼梦鬼,【#隔离病房遇上东北医生#画风突变……
辽阳日报,:[奥克集团再捐20万元驰援一线医护人员]2月24日，奥克集团董事局和奥克爱心基金会研究决定，向辽阳市慈善总会再次捐款20万元驰援抗疫，将定向驰援辽阳前往湖北抗疫一线的辽阳医护人员，并向她们致以崇高的敬意。此前，奥克集团已通过辽阳市慈善总会捐款200万元，并设立500万元专项资金用于抗击疫情。（记者刘晓宇）
用户6212997958,:我正在快手看辽阳市动物园的直播，一起来看！#记录世界记录你#辽阳市动物园的快手直播
