深圳侨报,:#深圳天气#今日我市阴天间多云，有小雨；气温18-22℃；东风3-4级，最大阵风7级；相对湿度75%-95%。（深圳市气象局）http://weibo.com/u/1048717800
西安电视台官方微博,:#关注新冠肺炎#【深圳首例境外输入病例93名密切接触者已全部找到】深圳卫健委：3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄介绍，广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。病例详情回顾：3月1日，网传深圳报告1例境外输入新冠肺炎病例，现将有关情况说明如下：患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），http://t.cn/A67Nkkf9，15:30渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。广东省卫健委以及深圳市高度重视，省市联动立即组织开展流行病学调查和密切接触者追踪等工作。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日下午3时，68人核酸检测结果阴性，1人结果待出。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。周紫霄表示，广东将继续严格落实“四早”防控要求，继续筑牢交通检疫、发热门诊筛查、重点人群管理疫情防控“三道”防线，通过早发现，实现早报告，早诊断，早隔离，早治疗。
深圳晚报,:【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。（via读特）http://t.cn/A67ND0Bm
深圳新闻网,:【@深圳老板，深圳惠企16条政策如何申请，操作指南来了】《深圳市应对新型冠状病毒感染的肺炎疫情支持企业共渡难关的若干措施》发布以来，社会反响热烈。为进一步方便广大企业了解、申报、享受惠企政策，市发改委会同有关部门梳理了关键措施操作细则和申报入口的详细网址，以及相关咨询电话，供广大企业参考。1、鼓励生产防疫物资的企业扩大技术改造投资，2020年2月1日—3月31日购买的设备，按不超过设备投资的50%予以资助，最高不超过2000万元。操作指南网址：《深圳市关于鼓励新冠肺炎疫情防控重点物资生产企业技术改造实施细则》http://t.cn/A67NkVje申报入口：http://t.cn/AiEVvTXe咨询电话：市工业和信息化局88101037，150125500002、各区政府对辖区物业服务企业的疫情防控按在管面积每平方米0.5元的标准实施两个月财政补助。操作指南网址：《深圳市物业服务企业疫情防控服务财政补助工作指引》http://t.cn/A6hlGfdP申报入口：关注物业监管平台的微信公众号“深圳市物业管理公众服务”，在公众号菜单“物业监管”，点击“疫情防控补贴”模块，注册账号后按照《物业监管平台疫情防控补贴申请模块操作手册》进行填报。咨询电话：市住建局：83780012，136626690913、对重点菜篮子经营企业保供稳价进行临时性补贴。申报入口：根据名录主动服务企业，无需申报。咨询电话：市市场监管局83070503，15013692923；83070530，137985878994、对租用市、区政府以及市属、区属国有企业持有物业（含厂房、创新型产业用房、写字楼、农批市场、商铺、仓储物流设施、配套服务用房等）的非国有企业、科研机构、医疗机构和个体工商户，免除2个月租金。申报入口：根据收租名录主动服务企业，无需申报。咨询电话：租用国企物业的，拨打该国企的咨询服务电话。租用创新型产业用房的，咨询市科技创新委：88102124，135303531235、对承租市、区两级公租房、人才住房的非国有企业或家庭（个人），免除2个月租金。申报入口：根据收租名录主动服务企业或家庭（个人），无需申报。咨询电话：市住建局83213637，147767786456、对受疫情影响，用人单位无法按时缴纳企业社保费的，可延期至疫情结束后三个月内缴费，期间不加收滞纳金。操作指南网址：《深圳市人力资源和社会保障局深圳市医疗保障局关于疫情期间企业社保费延期缴纳和医保待遇享受相关工作的通知》http://t.cn/A6h0Y0Yu申报入口：http://t.cn/Ai0isk8r咨询电话：市人力资源社会保障局881230587、对受疫情影响、缴存住房公积金确有困难的企业，可以依法申请降低住房公积金缴存比例最低至3%，期限不超过12个月;或申请缓缴住房公积金，期限不超过12个月。操作指南网址：《受疫情影响、缴存住房公积金确有困难的企业缓缴业务办理指引》http://t.cn/A67NkVYA《受疫情影响、缴存住房公积金确有困难的企业降低缴存比例业务办理指引》http://t.cn/A67NkVjd申报入口：点击“在线办理入口”进行预约，到企业就近银行网点办理即可。在线办理入口网址：http://t.cn/EIoq0pl咨询电话：市住建局23958391，198669459748、免除全市工商企业2月份当月缴交两部制电费中的基本电费，由市财政代缴。操作指南网址：《深圳市关于免收2020年2月工商企业两部制电价中基本电费部分的实施细则》http://t.cn/A67Vjdn8申报入口：根据名录主动服务企业，无需申报。咨询电话：市工业和信息化局881271139、对受疫情影响的各类企业返还6个月的城镇污水处理费申报入口：企业可拨打客服热线进行咨询，由水务集团客服进行后台处理，并通过电话反馈结果。咨询电话：深水集团客服热线：8213777710、对因疫情影响不能按期办理纳税申报的，由企业向税务部门申请办理延期申报。对生产经营困难、符合延期缴纳税款条件的，由企业向税务部门申请办理延期缴纳，延期缴纳期限最长不超过3个月。操作指南网址：《面对疫情纳税人办理延期申报延期缴纳税款的指引》http://t.cn/A67NkVjs申报入口：http://t.cn/EaOWitV点击“我要办税”进行办理。咨询电话：深圳市税务局83876286，1390245553611、对受疫情影响的企业免征3个月的房产税、城镇土地使用税。申报入口：根据企业名录主动服务企业，无需申报。咨询电话：深圳市税务局83876286，1390245553612、积极运用再贷款等工具鼓励金融机构对相关企业提供利率优惠的信贷支持。申报入口：名单制管理，由银行与名单内企业对接，无需申报（2月29日名单已截止申报）。咨询电话：市地方金融监管局88125520人民银行深圳市中心支行25590240-406，1893863764013、中小企业贷款风险补偿资金池的受益范围扩大至小微企业主和个体工商户，对各商业银行2020年2月1日至6月30日新增贷款（展期视同新增）的风险损失补偿比例上限由50%提高到80%。操作指南网址：《深圳市中小微企业银行贷款风险补偿资金池管理实施细则》http://t.cn/A67NkVYv申报入口：无涉及企业事项。咨询电话：市中小企业服务局83051682，1361291959614、疫情防控期间，政策性融资担保机构的担保费减免30%，对符合条件的其他合作担保机构给予一定的担保费补贴。申报入口：由企业自行向政策性担保机构申请。咨询电话：深圳市高新投集团有限公司82857715深圳担保集团有限公司8697183515、政府性融资再担保机构全年免收再担保费，融资担保基金的再担保风险分担比例由最高50%提高到60%。申报入口：疫情期间，再担保体系内的成员担保机构或银行申报的再担保项目均可享受，无需申请。咨询电话：市财政局83514263，1351077099316、划拨10%的市级产业专项资金重点用于贷款贴息，对于疫情防控期内获得银行等金融机构的新增贷款（展期视同新增），按实际支付利息的50%给予总额最高100万元的贴息支持，贴息期限不超过6个月。操作指南网址：《深圳市应对新型冠状病毒肺炎疫情中小微企业贷款贴息项目实施办法》http://t.cn/A67NkVjk申报入口：由银行自行提供目录进行补偿。http://t.cn/A67NkVjk咨询电话：市中小企业服务局83699826，1363297590517、用好发债增信资金，为参与防疫或受疫情影响的民营企业发债提供融资支持。申报入口：企业自行联系高新投或担保集团进行申请。http://t.cn/A67NkVYV咨询电话：深圳市高新投集团有限公司82857715深圳担保集团有限公司8697183518、民营企业平稳发展基金可对因疫情造成资金周转困难的优质中小企业，提供短期流动性资金支持，并实行利率优惠。操作指南网址：《关于开展深圳市民营企业平稳发展基金短期流动性资金支持申报的通知》http://t.cn/A67NkVYV申报入口：企业自行联系高新投或担保集团进行申请。http://t.cn/A67NkVYV咨询电话：市中小企业服务局82975807，13724289068深圳市高新投集团有限公司82857715深圳担保集团有限公司8697183519、加大巡游出租车一线驾驶员政府临时补贴力度，放宽现有每月每车1000元政府临时补贴的考核标准。申报入口：巡游出租车运营企业在补贴系统中照常申报，市交通运输局将放宽补贴考核标准。咨询电话：市交通运输局83799027，1351065404020、设立驾驶员出车奖励机制，运营里程及时间达到标准的，给予当日50元奖励，奖励政策暂定执行两个月。操作指南网址：《防疫期深圳市巡游出租车驾驶员出车奖励发放办法》（征求意见稿）http://t.cn/A67NkVYh申报入口：暂定由出租车协会对企业报送材料进行初审后，报送市交通运输局复审。经市交通运输局审批通过后，出租车协会出具拨付奖励请示、收据，市交通运输局负责将奖励拨付至出租车协会驾驶员临时补贴专用账户。咨询电话：市交通运输局83799027，1351065404021、鼓励出租车运营企业给予驾驶员合理的租金减免，对于落实租金减免政策的企业，给予企业对应的出租车经营权延期奖励。申报入口：无需申报。咨询电话：市交通运输局83799027，1351065404022、疫情防控期间，对不裁员或少裁员的参保企业，返还其上年度实际缴纳失业保险费的50%。操作指南网址：《细则解读》http://t.cn/A6haD9ZA申报入口：http://t.cn/AiEEw2ry，点击左下角“单位网上服务系统”进行办理。咨询电话：市人力资源社会保障局8812537223、对生产经营困难且坚持不裁员或少裁员的参保企业，按企业及其职工上年度缴纳社会保险费的25%予以返还。操作指南网址：《细则解读》http://t.cn/A6haD9ZA申报入口：企业向参保所在地的区级公共就业服务机构提出书面申请“受影响企业”认定。认定后登录深圳市社会保险基金管理局官网左下角的“单位网上服务系统”进行办理。申报网址：http://t.cn/AiEEw2ry咨询电话：市人力资源社会保障局8812537224、对职工因疫情接受治疗或被医学观察隔离期间企业所支付的工资待遇，按照不超过其基本养老保险费缴纳基数的50%补贴企业。操作指南网址：《深圳市人力资源和社会保障局关于疫情防控期间企业申领援企稳岗补贴有关事项的通知》http://www.sz.gov.cn/cn/xxgk/zfxxgj/tzgg/content/post_6739101.html申报入口：（1）.企业在社会统一用户管理系统进行“单位注册立户”：https://sipub.sz.gov.cn/suum/goLoginNew.do（2）.注册立户的企业登陆深圳市公共就业服务平台补充完善单位基本信息，进行补贴申报：https://hrsspub.sz.gov.cn/ggjyfw/咨询电话：市人力资源社会保障局8812305625、适岗培训补贴由每人最高900元提高至1500元。操作指南网址：《深圳市人力资源和社会保障局深圳市财政局关于做好新型冠状病毒肺炎疫情防控期企业职工适岗培训有关工作的通知》http://www.sz.gov.cn/cn/xxgk/zfxxgj/tzgg/content/post_6732881.html申报入口：企业登录网上服务系统，点击右方“企业用户登录”，登录后按实际参加培训员工人数和学时申请补贴。https://hrsspub.sz.gov.cn/ostoss/loginPage.jsp咨询电话：市人力资源社会保障局88123169、8812837026、技能提升培训补贴由平均每人1400元提高到2000元。操作指南网址：深圳市职业技能提升培训补贴政策的补充通知按程序审定后将于近期公布。咨询电话：市人力资源社会保障局88123169、88128370https://www.dutenews.com/p/300946.html
颜宇丹律师,:关于绿本房及买卖合同的效力：根据《深圳市规划与国土资源局关于颁发新<房地产证>的通知》(1994年12月5日　深规土[1994]576号)规定，该局决定自1995年1月1日起颁发新版《房地产证》，新《房地产证》采用红皮及绿皮两种版本。红皮本记载市场商品房地产，绿皮本记载非市场商品房地产。凡有下列情形之一的房地产，颁发绿皮《房地产证》：　　（一）以行政划拨方式获得的土地使用权；　　（二）在行政划拨的土地上建成的房地产；　　（三）通过协议方式并按协议地价标准支付地价款的土地使用权（以协议方式按市场地价标准支付地价款的除外）；　　（四）在缴付协议地价款的土地上建成的房地产；　　（五）获得减免地价的土地使用权；　　（六）在减免地价的土地上建成的房地产；　　（七）准成本商品房；　　（八）按“房改”取得的全成本（建筑费用加室外工程配套费用）商品房；　　（九）微利商品住宅；　　（十）农村居民私人住宅；　　（十一）房地产登记机关确认的其它非市场商品房地产。凡绿皮本《房地产证》记载的房地产，一律不得买卖。需抵押或出租的，应经该局依法批准，并办理相应手续。抵押的，须由抵押权人先作出书面承诺，同意在处分抵押物前先垫交地价款。出租的，需按租金的6％向房屋租赁管理部门交费，抵作地价款。一般情况下，绿本房的买卖合同产生争议通常是因为原村民将房屋出售给集体经济组织以外的成员，涉及到违反《土地管理法》关于集体用地禁止出让用于非农建设的强制性规定，但上述合同是否当然无效？我们通过检索案例发现，实务中存在一定争议。
深圳新闻网,:【每日疫情|深圳首例境外输入病例93名密接者全部找到！69人受检全为阴性】3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄介绍，广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。病例详情回顾：3月1日，网传深圳报告1例境外输入新冠肺炎病例，现将有关情况说明如下：患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），28日13：27抵达香港机场，15:30渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。广东省卫健委以及深圳市高度重视，省市联动立即组织开展流行病学调查和密切接触者追踪等工作。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点，经核酸检测，69人全为阴性。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。周紫霄表示，广东将继续严格落实“四早”防控要求，继续筑牢交通检疫、发热门诊筛查、重点人群管理疫情防控“三道”防线，通过早发现，实现早报告，早诊断，早隔离，早治疗。http://t.cn/A67NeaVV
大脸希Hilary,:#深圳口罩#中签的口罩收到了，感谢深圳市政府
南方日报,:【深圳首例境外输入病例，93名密切接触者全部找到，涉4省7市】3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会。广东省卫健委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄介绍，广东省卫健委于3月1日凌晨1点47分，接到深圳市卫健委报告1例境外输入新冠肺炎病例。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日19:30，69人核酸检测结果均为阴性。另外24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。http://t.cn/A67NgQoO
深圳卫视,:#我的白大褂##抗疫日记#【抗疫者联盟战斗力max！个个都是病毒的“克星”】自疫情防控工作开展以来，深圳市南山区构建了第一个由社区、社康、派出所“三位一体”疫情防控工作机制。每天排查人数为20-30人，最多时可达80人。以谢明瑶为代表的各个工作小组，每天为居家隔离者提供物配送，开展心理疏导服务。#全民抗疫特别节目#深圳卫视《我的白大褂·抗疫日记》走进这群抗疫者联盟！http://t.cn/A67Nd3Eh
寻香美食,:【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
陕西海棠依旧,:【求助】寻找2001年出生2004年失踪广东省深圳市南山区南园村南园百货门前陈琦8269http://t.cn/R1fuz41(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
鑫鑫你知我心,:#项目进展#深圳市关爱行动公益基金会、深圳建辉基金会联合发起“驰援湖北—居家后援关爱行动”更新进展了，感谢大家的关注[玫瑰][玫瑰][玫瑰]『驰援湖北—居家后援关爱行动项目进展』驰援湖北—居家后援关爱行动项目进展
Summer-阿毅,:深圳周边好去处|日出/日落/海景/山景/徒步/骑行http://t.cn/AiEYLern【大梅沙海滨栈道】景点介绍：大梅沙海滨栈道是一条位于广东省深圳市盐田区的海滨绿道，全长19.5公里，被誉为世界第一长的“海滨玉带”。西起中英街古塔公园，沿着黄金海岸线，串联起沙头角、盐田港、大梅沙，东至小梅沙公园。沿途设有登山道、步道、景观平台、大栈桥、石拱桥等各类设施。蜿蜒在山势险峻的岸边，下面就是参差错落、色彩斑驳的山岩，狂奔的巨流汹涌澎湃，猛烈地冲击着岩石，形成了一道雄奇的景观。在宽阔的平台上，体验者凭海临风，享受着自然美景。推荐路线：从盐田海鲜街出发，沿着海岸线走，可以一直走到大梅沙海滨公园，需耗时一个小时，沿途你可以领略到大自然的美好风光。（即可以享受爬山或骑行的乐趣，又可以看到无敌海景）交通：坐地铁2号线到黄贝岭站，然后转乘M290/205，在盐田站下车，一直往前走，走几分钟就可以到盐田海鲜街啦。#深圳·大梅沙海滨栈道[地点]##深圳周边##深圳周末好去处##日出##日落##徒步旅行##骑行#
深圳电台飞扬971,:【口罩短缺会持续多久？深圳财政局：会很快解决】3月3日，深圳市财政局召开深圳财政落实“惠企16条”新闻通气会，透露了有关抗疫、惠企的大量重要信息。对于口罩短缺问题，深圳市财政局副局长郭驰也做了一些回复。郭驰介绍，对于目前政府支持的预约抽签发放的免费口罩，是由财政资金拨付给市场监管局后，统一调配口罩物资来计划性发放的，目前，财政资金支持的口罩物资，先重点保障关键部门、关键企业，随着口罩量加大，覆盖面也在扩大。郭驰称，相信口罩短缺问题会很快解决，现在口罩量提升很快，深圳口罩未来会很充足而且会支持全国。http://t.cn/A67NBcCz
KDS哈来来额,【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
深圳爆料头条,:【深圳市属公园周末游客突破15万，市公园管理中心呼吁“再忍忍”】2月29日与3月1日，20多所市属公园游园人数突破15万人次，为疫情防控以来人数最多的周末，也出现一些市民游园不带口罩、扎堆等行为，深圳市公园管理中心呼吁市民“再忍忍”，莫扎堆，疫情防控仍不能掉以轻心、放松警惕，人员聚集的传播风险依然存在。http://t.cn/A67SOIiO
猫猫小酱酱,:深圳这边能否推荐一下？@深圳牙齿矫正攻略君之前有去德道口腔、深圳市龙岗中心医院、尔睦口腔问过，但感觉他们做虎牙矫正的经验一般，我左下方最里面的一颗牙齿还没完全长出来，总是每隔一段时间那里就会痛起来，有时候是吃东西没吃得好在那里咬了一下，不要多久那里就会痛。#深圳牙齿矫正好医院好##深圳牙齿矫正活动#
悠客11,:深圳首例境外输入性病例93名密切接触者中的69人纳入深圳市的管理，另外24人的去向也已查清楚。
深圳人说深圳事,:#深圳爆料##深圳身边事#【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
红色罗塘,【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！（记者马思）中报视频的秒拍视频
月老在深圳,:#深圳生活#出生年：1992.02月有无婚史：无家乡:湖南现居地:深圳市宝安区身高：168cm（脱鞋）体重：68kg星座：白羊学历：211本科，理工科工作：政府在编职员爱好：电影、旅游月平均收入：年薪超过25万，吃有食堂，花销很少。体制内工作。车房情况：无车无房，有一定存款个人性格描述：外表乐观，成熟稳重，自己比较上进非常自律，每天坚持跑步，坚信身体是革命的本钱。个人计划:最好两年内能结婚。感情史：感情经历很少，之前一直在拼事业。家庭条件：独生子，父母51岁，外出务工多年。家有农村三层小楼，离县城三公里要求:1.湖南妹子或者可以吃点辣椒的[呲牙]我自己不是很能吃辣。2.学历希望本科及其以上。月薪超过6000，年龄比我小。3.不颜控哈哈，我长得很一般。我对女方颜值要求不高，长相普通即可，性格好4.身高一般即可，放假时间跟我差不多[呲牙]，能看的上我。愿意一起白头偕老，不攀比，能和我一起努力奋斗过好自己的小日子哈哈
济南-天使的翅膀,:#爱心寻人团[超话]#【求助】寻找2001年出生2004年失踪广东省深圳市南山区南园村南园百货门前陈琦8269http://t.cn/R1fuz41(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！#爱心寻人团##等着我寻人团#
深圳卫视深视新闻,:【悬赏奖励、设备支持、租金减免……深圳为打赢疫情防控阻击战提供科技支撑
深圳身边事,:【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
网眼八分斋,:【网眼看深圳：5块飞成都，赴荆能斩疾】#深圳##深圳市-福田区#深圳拥堵全国夺冠，经济生活开始恢复，不怒反喜；5块钱能飞成都，促销算法搞忽悠；赴荆能斩疾，市委书记在致敬；福田区21名火神山建设者返回，奉献精神获市民称赞；9187家规模以上企业复工94%，防控疫情发展经济两不误，中小微企业仍然倍感压力……戳视频http://t.cn/A67N84cO
深圳卫视深视新闻,:【最新！深圳首例境外输入病例，93名密切接触者已全部找到！】广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。目前，该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日下午3时，68人核酸检测结果阴性，1人结果待出。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。#深圳新增广东首例境外输入病例##关注深圳冠状病毒肺炎疫情最新进展#
Dandelion199801,:#深圳市金融办#您好我购买了海航集团旗下的前海航交所理财但海航两年来几乎不兑付给我们生活带来了很大的困难多发投诉无果目前看到海南省政府已经派驻海航工作组政府能否帮我们解决下帮我们要回属于我们的钱天津
深圳兼职全职,:【深圳招聘】月综合工资最高达1w+！尚德社会工作服务社联系电话：0755-29991170邮箱：sundey_hr@126.com网站：www.szsdsg.cn地址：深圳市宝安区宝城三区新安二路46号尚德社工四楼
Dandelion199801,:#深圳市金融办#您好我购买了海航集团旗下的前海航交所理财但海航两年来几乎不兑付给我们生活带来了很大的困难多发投诉无果目前看到海南省政府已经派驻海航工作组政府能否帮我们解决下帮我们要回属于我们的钱天津
安康经侦,:近日，深圳市公安局福田分局发布了关于“广富宝”平台案件的情况通报。对案件相关办理情况作了通报说明。
Happy老逗,:深圳市从24日开始抽签给市民发口罩，我中签了5个，运气不错。
股市动态分析周刊,:【爱克莱特：被创始人无情抛弃募投扩产极度夸张】去年10月份更新招股书至今，深圳市爱克莱特科技股份有限公司（以下简称“爱克莱特”）的IPO之路依旧丝毫没有进展。爱克莱特本次拟发行3900万股普通股登录深交所创业板，拟募集资金8.45亿元。其中5.06亿元将用于LED景观照明灯具和智慧控制器生产项目，该项目规划建设期为2年，在项目建设期内将完成101，571.90平方米厂房建设、生产设备的购置与安装、配套设施建设以及人员配置等；0.39亿元将用于智能研究院建设项目；3亿元将用于补充流动资金。爱克莱特主要从事景观照明智能控制系统及LED景观照明灯具的研发、生产和销售，是国内大型景观照明项目所需产品的核心供应商之一。近年来，爱克莱特产品成功应用于国内诸多大型城市整体亮化项目，包括深圳改革开放40周年庆典主题灯光秀项目、青岛上合组织峰会主题灯光秀项目、厦门金砖会议主题灯光秀项目等。不过即使有这样的“履历背景”，爱克莱特依旧存在诸多问题，包括实际创始人及控制人汪清离奇退出股东序列；5.63倍超大规模产能扩张的合理性；关联交易和现金流质量较差等问题，都可能成为其后续过会的障碍。http://t.cn/A67NT9yX
008gjj,深圳投哪网是吸血鬼！特区的深圳市互联网金融协会不能成为非法P2P欺诈百姓的保护伞！@美国驻华大使馆@美国驻广州总领事馆@法国驻华大使馆@CCTV2央视财经评论@广东发布@人民日报@CCTV焦点访谈深圳市投哪网虽然号称良性退出，却不能给出实质性兑付方案。投哪网公告的兑付草案是充提差本金为第一顺序，即收割出借人历史利息和待收利息，无兑付期利息，兑付期限三年，无实质性担保措施。这违背了《深圳市网贷机构退出指引》，草案收割出借人合法利息也无相关法律依据。希望警方将投哪网立案，为百姓伸张正义！
机智帅气的脱氧乙酸钠,:猫猫尾巴真好吃🐱#儿童插画[超话]##手绘插画##儿童插画##插画##每日一画#@粉刷酱插画圈@深圳市插画协会@之间插画
在两广,:#深莞惠街坊[超话]#ivva宣布完成千万级A+轮融资，投资方为中亚资本。深圳市爱挖网络科技有限公司成立于2014年，专注于定制化人工智能招聘解决方案，曾先后获得天使投资人王刚，启赋资本，Recruit的投资。ivva创始人Patrick告诉亿欧，本轮融资将主要用于人才引进和产品研发。#两广港澳台#
华盛7x24,:【深圳发放8.68亿元稳岗返还资金惠及企业4.5万余家】记者3日从深圳市人力资源和社会保障局了解到，为支持企业复工复产，该局2月28日发放稳岗返还资金8.68亿元，其中包括发放今年第一批稳岗补贴3.25亿元，涉及企业45191家，惠及365万人；返还受影响企业失业保险费5.43亿元，涉及企业133家，惠及16万人。（新华社）
深圳熊哥,【#武汉被殴配菜员发声#：有菜筐搁不下堆门口城管称影响市容】3月2日，武汉多名城管殴打蔬菜配送员的视频引关注。3月3日，被打的蔬菜配送员李锋告诉@紧急呼叫称，事发当天因为配送蔬菜较多，店内放不下，就把几个菜筐放在外边，但是随后城管以“影响市容市貌”为由与其发生冲突，“我问特殊时期不能理解一下吗？他们说理解不了”。@新京报我们视频http://t.cn/A67NqDUi
