一心向大海,:防护做得好，健康有保障http://t.cn/A67oARrp
嗨hi嘉兴,#嘉兴身边事#【出行防护有高招】3月3日，嘉兴市区中山路上，行人和车辆渐渐多起来，一位出行小男孩戴上了透明面罩帽子。来源：读嘉新闻
beautiful何呀,#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地，但市场里的卫生状况的确堪忧，做好防护是必须的
空谷幽兰诚不欺我,【#ICU主任说也会害怕#：怕感染，也怕病人不给时间和机会】董芳，武汉市第三医院首义院区重症医学科主任。穿着防护服工作，汗水淹到鼻子……过去40多天里，她一直坚守一线。同为医生的丈夫也因救治患者感染上新冠肺炎，所幸扛了过来。她坦言：心底也会害怕，怕自己被感染，怕家人受伤害，怕病人不给时间和机会。http://t.cn/A670cHHR
黔西南高速交警六中队,:今日惠兴高速公路兴仁段辖区路况信息，天气阴，路面干，通行正常。温馨提示：疫情还未结束，请广大群众减少不必要出行！如需外出，请戴好口罩，做好安全防护。高速交警祝您一路平安！黔西南高速交警六中队的微博视频黔西南高速交警六中队的微博视频
公子萌儿,:#意大利累计确诊新冠肺炎2502例#希望意大利把这次疫情当回事吧都好好防护。希望能够让这次疫情早日结束。毕竟真的想回学校上学了，国外情况情况一直不见好转，中国肯定也不能袖手旁观。
河北反邪教,:#影音画无邪[超话]#【“背”感温暖！湘雅医院援鄂医疗队员#白衣战袍上的漫画#】“虽然隔离衣挡住了大家的容颜，但是我希望让队友们转过身来可以‘背’感温暖。”中南大学湘雅医院第三批援鄂医疗队队员、90后护士吴思容在轮休时，根据大家的性格，在队友们的隔离防护服后背画上手绘作品，给大家加油鼓劲。据悉，中南大学湘雅医院目前共派出142名援鄂医疗队队员驰援武汉，其中大部分都是80后、90后。#地球村新观察##反邪广角##华南海鲜市场开始消杀工作#（人民日报记者侯琳良严丽）
股市风暴小刘,:#股市风暴[超话]#世卫组织：预计全球将每月需要8900万个口罩。防护医疗装备的供应量需要提高40%
亳州市退役军人事务局,:#天气提醒#03月04日白天到明天早晨:多云到晴，湿度较小，晾晒条件较好。今天最高气温:11到13度。明晨最低气温:0到2度。（疫情期间请大家尽量减少外出，避开人流密集地区，不参加公众活动及亲友聚餐，出门请佩戴口罩，加强个人卫生，勤洗手，做好个人及家庭成员安全防护。）亳州
一碗银河老干妈,#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地，但市场里的卫生状况的确堪忧，做好防护是必须的
环球网健康,:#抗“疫”无国界携手迎挑战#【#谭德赛警告医疗防护装备正“快速耗尽”#：如无法保护医护人员，就无法阻止病毒传播】“如果我们无法保护医护人员，我们就无法阻止冠状病毒的传播。”据美国《纽约邮报》报道，世卫组织总干事谭德赛3月3日发出警告称，在确诊感染冠状病毒病例快速增加的同时，医护人员对抗疫情时所需要的口罩、护眼罩与其他防护装备也正在“快速耗尽”。“我们担心，由于需求上升、囤积和滥用导致全球个人防护装备供应严重中断，各国应对（疫情）能力受损。”谭德赛说，手套、口罩、护目镜及防护服等防护用品的短缺，“正使得医生、护士和其他一线卫生工作者正危险地在很差的防护条件下照顾感染新冠病毒的患者。”另据新加坡《联合早报》报道，谭德塞还表示，世卫组织已向27个国家运送了超过50万套个人防护装备，但“供应正迅速耗尽”。为此，他呼吁供应商大幅增加产量。报道还提到，@世界卫生组织估计，为应对冠病疫情，全球医护人员一个月需要8900万个外科口罩、7600万对检测手套和160万个护眼罩。（环球网）
七台河气象,:天气早播报今天白天到夜间小雪转多云，东风转西北风2～3级，最高温度-4度，最低温度-10度。疫情期间请注意防护。
砖墙发布,#疫情防控高淳在行动#【主播教你科学防护：公共场所，关于空调的这些细节千万别忽略！】荔直播的秒拍视频
名城早报,:【最美天使的笑！医生摘下口罩那一刻，暖哭
凤梨菠萝啤_,我妈突然给我发了个这东西。。。
南阳新闻广播,:#抗击疫情，我们始终在一起#在低风险区可以不戴口罩吗？在低风险区可以不戴口罩吗？用紫外线灯照射消毒有用吗？婴儿无法戴口罩，如何做好防护？在近期举行的国务院联防联控机制新闻发布会上，这些问题有了权威解答。——所在区域被确定为低风险区，出门还要戴口罩吗？低风险区域不等于没有风险，平时还是要做好个人防护。戴口罩、勤洗手、勤通风，注意咳嗽礼仪，减少人员聚集，复工复产后注意与同事保持安全距离、分散就餐等。——婴儿应该如何做好防护？由于婴儿不能佩戴口罩，应尽量避免外出。在家固定一位看护人，看护人尽量不外出。不要对着孩子打喷嚏、呼气，不要和孩子共用餐具，给孩子喂食时不要用嘴吹食物，也不要用嘴尝试或咀嚼食物再喂给孩子。——家里是否需要安装紫外线灯进行消毒？紫外线照射过量有致盲和皮肤癌的风险，这样做既达不到消毒目的，还会对人体造成伤害。如果家中没有外人进出，没有病人，不必频繁消毒。常通风，勤洗手，做好清洁就可以。——红外测温仪对人体是否有害？红外测温仪不是对人体发射红外线，而是接收我们身体发出的红外线热辐射，将辐射功率转化为电信号，最后以温度为单位来显示，所以对我们的眼睛和身体没有伤害。——逛公园或者爬山时如何做好个人防护？首先不建议组织爬山或游园这种集体活动。高风险地区建议继续严格管控，中风险地区如果出行尽量错峰，戴好口罩，不扎堆聊天、不扎堆饮食。低风险地区，如果人比较多，要全程佩戴口罩，保持手卫生。来源：新华网http://t.cn/A6708rUI
代表嘚代,为确保辖区的道路交通安全畅通及治安大局稳定，拱墅区全体公安机关工作人员坚守岗位，忙碌在抗疫一线。2月28日，盘石集团、公销社向杭州市公安局拱墅分局捐赠防护服240件、口罩2500只，用于支援拱墅公安应对疫情防控工作。盘石集团向杭州市公安局拱墅分局捐赠2740件防护服、口罩
Dasein_此在,:该来的还是会来还是自己做好防护吧🤦♂️德国·美因茨
Murphy莫菲520,:#中国境外确诊病例超过1万#挺替他们着急的，感觉都乱套了！
秋-刀鱼的滋味,:防护等级低的可怕
IT之家,:【美国消费者抢购，亚马逊、沃尔玛等平台口罩价格大涨】由于许多实体店的商品销售一空，美国消费者正争先恐后地前往电商平台购买口罩、洗手液、防护服和其他物资，预防新冠病毒……详情点击：美国消费者抢购，亚马逊、沃尔玛等平台口罩价格大涨
氕不氘,:#硬核嘉兴防疫复工两手抓#王江泾各企业在积极复工，同时落实防疫主体责任，严把“管控关”。成立疫情防范小组，统筹人员管控、环境消毒、疫情宣传、物资筹备等方面工作，并制定应对措施，确保企业疫情防护措施做到位。员工进入厂区必须进行登记并测量体温；采用送餐、自备饭菜等方式避免用餐集聚；每日定时消杀；车间内专人专职定时定点测量体温……各项举措细致入微，全力保障员工安全。
筱惜mio,#德国载有1200名乘客游轮检测结果出炉#就这么继续航行了？
天蝎elva,:#中国境外确诊病例超过1万#境外的确诊人数已经这么多了啊！太可怕啦！在外的华人华侨要注意好防护啊！外国友人也请戴口罩吧！保护自己与他人从戴口罩开始！
北海市银海区团委,【可爱
新浪科技,:#美国电商平台口罩价格大涨#【美国消费者抢购亚马逊沃尔玛等平台口罩价格大涨】由于许多实体店商品销售一空，美国消费者争先恐后前往电商平台购买口罩、洗手液等防护物资。需求激增为亚马逊和eBay等电商平台第三方卖家带来了机会，媒体发现，类似口罩这样的商品涨价高达582%。美国消费者抢购亚马逊沃尔玛等平台口罩价格大涨
御姐范的一诺倾情-小清新,#安倍在参议会发言时咳嗽#【安倍参议院发言9秒咳3下】当地时间3月3日上午，日本首相安倍晋三在参议院预算委员会上发表讲话时捂嘴咳嗽，9秒内咳嗽3次。他下意识用手掌捂住口鼻，坐在他身后的2名议员，一位表情逐渐变得惊恐，另一位则伸手拉了拉自己的口罩……这段视频和安倍捂嘴咳嗽的图片也引起日本网友热议。有网友吐槽，“戴上口罩，别往衣服上蹭了。”http://t.cn/A67p4AxN
啵啵芋圆奶盖茶,:#西班牙出现首例新冠肺炎死亡病例#真的要变成全球性了？防护控制口罩戴起来吧
老凉,:【#神农架发生野猪非洲猪瘟疫情#打败所有病害】疫情刚显好转，蝗虫要来了，这神农架发生野猪非洲猪瘟疫情，一波未平一波又起。不过，幸好，这次疫情，让大家有了安全、防护的意识。接下来一定做好病死野猪的勘察、处理，以及对人员的防护工作。消杀工作一档要做到位。把疫情传播的可能降到最低。
轻兵器,#轻兵器晚安#这是什么弹？穿甲弹吗？
蚌埠教育,:【3月4日：蚌埠在内6个城市同时实现“清零状态”，城市正在逐渐恢复状态，但隔离防护不能放松懈怠！】@安徽省教育厅2020年3月4日疫情最新情况：新增病例0人，出院4人2020年3月3日0-24时，安徽省报告无新增确诊病例，无新增疑似病例，新增治愈出院病例24例。新增治愈出院病例中，阜阳6例、六安6例、合肥4例、蚌埠4例、宿州1例、淮南1例、滁州1例、马鞍山1例。截至3月3日24时，安徽省累计报告确诊病例990例，累计治愈出院病例941例，累计死亡病例6例，累计医学观察密切接触者28299人。目前，仍在院治疗43例，医学观察521人。3月4日预计治愈出院15例，其中阜阳4例、宿州3例、蚌埠3例、淮北1例、滁州1例、宣城1例、安庆1例、黄山1例。我省在院患者将减少到28例，累计治愈956例，治愈率将达到96.6%。继铜陵、六安之后，今日阜阳、蚌埠、安庆、滁州、宿州、黄山6个市将同时实现“清零”。保护好自己的同时也要保护好身边的人家属可以帮有手机的老年人设置好并指导使用而没有手机的老年人们也请家属们做好安全引导，避免乘车出行路线
廷子ing,复工后，小型便利店如何开展防控工作？首都健康的微博视频
AjoeQ,#安徽打响清零战#【3月4日安徽省报告新冠肺炎疫情情况】2020年3月3日0-24时，安徽省报告无新增确诊病例，无新增疑似病例，新增治愈出院病例24例。新增治愈出院病例中，阜阳6例、六安6例、合肥4例、蚌埠4例、宿州1例、淮南1例、滁州1例、马鞍山1例。截至3月3日24时，安徽省累计报告确诊病例990例，累计治愈出院病例941例，累计死亡病例6例，累计医学观察密切接触者28299人。目前，仍在院治疗43例，医学观察521人。3月4日预计治愈出院15例，其中阜阳4例、宿州3例、蚌埠3例、淮北1例、滁州1例、宣城1例、安庆1例、黄山1例。我省在院患者将减少到28例，累计治愈956例，治愈率将达到96.6%。继铜陵、六安之后，今日阜阳、蚌埠、安庆、滁州、宿州、黄山6个市将同时实现“清零”。#众志成城安徽抗击肺炎#
小烁Q_Q73,:#西班牙出现首例新冠肺炎死亡病例#真的要变成全球性了？防护控制口罩戴起来吧#美国新冠肺炎感染总数达117人#这个数字增长控制得还行
龙湾发布,:【去商场、打车……要怎么做个人防护？】via中国政府网龙湾发布的微博视频
梁小呆的后现代生活,:之前是远在海外的朋友担心我，现在，是我比较担心他们
一个完颜颜,:#安倍在参议会发言时咳嗽#希望不是新冠肺炎吧…不然日本领导层要传染一大堆了，赶紧做好防护吧青蜂侠Bee的秒拍视频
景子巷里的相遇,当你学会了如何防护病毒，是否也了解了如何辨别谣言？毕竟，谣言与错误信息可能带来的伤害并不亚于病毒本身。如何及时关注相关信息、了解事实？如何全面保护自己？戳视频一起了解吧！#童享健康##携手为儿童#联合国儿童基金会的微博视频
斯文小蜀黍,:你们要的口罩来了！！科学防护守护健康预约限量抢口罩【传送门】http://t.cn/A670Q7Ez合肥
宁静-young,:#中国境外确诊病例超过1万#这么多人了啊，做好防护啊，希望疫情早日结束
你比特别还要多,肖战海外社交账号已无法正常登陆，任何更改均非本人及工作人员操作，后续动作均与肖战本人无关。请勿侵权！请勿造谣！
福州网警巡查执法,:#阿福小课堂#【今日主题：口罩防骗】疫情肆虐，防控吃劲。群众防护需求旺盛，口罩是必需品，网络上出现了大量卖口罩的信息，但是这些渠道真的能买到口罩吗？
榆林交警,:#科学抗击疫情#【不得不乘坐公共交通工具怎么办？】
葵花籽的Celine,:#蔡徐坤[超话]#[心]#蔡徐坤快乐大本营#今天背上我的ikun牌包包上岗小喵咪和小坤要注意好防护姐姐要进去了@蔡徐坤
清河社区卫生服务中心,:2月22日，我来到了武昌方舱医院做直播，尽管我知道那里都是轻症患者，但报社领导们多次叮嘱了防护的细节，家人因担心而坐立难安。该方舱医院病区是由湖北省肿瘤医院负责，在医生们给我做了半个小时的防护后，我和人民日报记者张武军“全副武装”地推开了方舱医院患者区的大门。当时眼泪真的瞬间眼眶里打转儿，从前热闹的体育馆，现在都是整齐的病床，患者穿着睡衣聊天，在患者间匆忙穿梭的医生汗流浃背。随机找了几位患者聊了很久，一位39岁的党员区长说，她出院第一件事就是去献血，想帮助更多还没痊愈的人。一位50岁正在看书的叔叔是从县城来到武汉帮女儿带孩子过程中感染的，在我问到这次疫情中最大的感受是什么的时候，他毫不犹豫地说：我感受到我们的祖国太强大了，说完眼泪就掉下来了。十天建好火神山和雷神山、16所方舱医院。调度全国医护人员和物资，支援武汉。这就是中国。
丰镇市北城区街道办事处,:致敬，防护服下最美的你!http://t.cn/A67N54TA
平安新蔡,#共同抗疫#【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
瓜籽爱旺旺呀,:#西班牙出现首例新冠肺炎死亡病例#疫情正在向全世界蔓延希望全世界各地都做好防护措施我们一定可以打败疫情
畅通辉县,:【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
Roaxiexxx-,:#中国境外确诊病例超过1万#好可怕的数字这已经上升为全球事件了希望大家都可以做好防护啊
安徽广播电视台,:【等疫情结束我要多呼吸几口武汉的空气】近日，在武汉各大医院门口，经常会看到一辆川A牌照的汽车在送盒饭，汽车的主人没有防护服，常穿着一件雨衣，所以大家亲切地叫她“雨衣妹妹”。“雨衣妹妹”在近一个月的时间里，每天跟她的团队一起，奔走在汉阳医院、武汉市第三医院、火神山医院还有很多有需要的医院。“雨衣妹妹”说：“等疫情结束了我要多呼吸几口武汉的空气，这是我用生命为它奋斗过的城市。http://t.cn/A67NHinN
刑辩律师郭志勇,:听说有伊朗包机到兰州，刚打了市长热线问问有没有采取隔离等防护措施，接线员登记了这个问题，坐等回复#中国包机今晚将抵伊朗接滞留疫区华人回国#
·撤销正在键入·,#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地，但市场里的卫生状况的确堪忧，做好防护是必须的
一味灵药,:#西班牙出现首例新冠肺炎死亡病例#这个病毒扩散的也太快了吧好可怕经验赶紧借鉴起来早早防护一定要挺住#韩国大邱一确诊者混入长队买口罩#确诊患者不需要隔离治疗吗？为什么还能上街溜达？
啵妞冲鸭,#德国载有1200名乘客游轮检测结果出炉#要都重视起来，做好防护才是重点工作
77的锡纸烫,#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地，但市场里的卫生状况的确堪忧，做好防护是必须的
刑辩律师郭志勇,:听说有伊朗包机到兰州，刚打了市长热线问问有没有采取隔离等防护措施，接线员登记了这个问题，坐等回复#中国包机今晚将抵伊朗接滞留疫区华人回国#
淘白菜岁月,:【9.90】【3只装】明星同款防护口罩
神一样的Nanamin,我妈突然给我发了个这东西。。。
新余反邪教,#江西全力防控新型肺炎#【出门采购生活必需品，该如何做好防护？
桐庐统计,:普罗旺斯业委会和物业公司给统计局送锦旗和感谢信，感谢县统计局志愿者在疫情防控期间为小区业主筑牢生命防护之墙。
山东省淄博高新区法院,:【办公室防控指南要看完，疫情期间上班不太“难”】现在已经有不少人陆续返工，在疫情还在持续的情况下，大家似乎也在担忧上班后如何做到科学防护呢？收下这份防控指南可以帮你有效地减少感染的风险哦↓↓↓视知TV的微博视频
市井钻进猫,#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地，但市场里的卫生状况的确堪忧，做好防护是必须的
每日经济新闻,:【图集丨实拍武汉医院的日常：#护士防护服上写请叫我女神#】2020年3月3日，武汉红十字会医院，护士防护服上写着“请叫我女神”。3月3日，武汉进入战时状态的第41天，“四类人员”摸底筛查结束，新增确诊病例三连降，新增疑似跌至两位数。《每日经济新闻》记者在武汉红十字会医院看到，前往发热门诊就诊的患者明显少了很多，急诊区的输液患者寥寥。但在隔离病区接受治疗的患者仍然较多，在高强度的工作压力下，不少医护人员在防护服上绘画或者写上幽默的文字，这种方式能让他们缓解不少压力，也帮患者消除了一些负面情绪。http://t.cn/A670Htul
syq晴yxy,:办公桌常备物品特殊时期，大家都要注意防护哦😷绿洲
新余反邪教,【透过防护服也能认出你，#火神山的大眼睛医生#】火神山医院感染二科一病区主任董宇超，被患者亲切称为“大眼睛医生”。在他的“紧盯”下，不少患者病情明显好转。在抗“疫”一线，他带领50名医护全力救治80多例患者，无一人转向危重症或病亡。在患者出院证明上郑重签下名字，他说，这就是最好的回报。http://t.cn/A67NfthA央（视军事）
梧州网警巡查执法,:【战“疫”MV《#不要告诉我的妈妈#》
随州新闻广播,:随州市流行病学调查案例1.超市采购杨某，女，65岁，家住随州市曾都区西城办事处某小区，2月8日前后多次到城区某超市购物。2月16日出现发热、咽痛、咳痰、恶心等症状到随州市中心医院就诊，2月19日被诊断为新冠肺炎确诊病例。启示：超市里人与人的安全距离难以保证，个人防护措施难以到位，会增加感染风险，有可能将病毒“请”进家门。所以，当前最好的居家采购办法，还是统一配送、户外消毒、错时领取，切实把病毒隔绝在家门外。2.家庭聚餐叶某，男，57岁，家住随州市曾都区北郊办事处某小区，长期在武汉工作。1月15日已感觉不适，1月16日与妻子一起从汉口回随州后，分别于1月17日、1月19日在某酒楼举办家庭内部聚餐活动，1月18日、19日、21日，家庭内聚餐人员先后出现发热等不适，有4人被诊断为新冠肺炎确诊病例。启示：这是一起典型的由聚餐导致的聚集性案例，且部分家庭成员带病聚餐。广大市民必须严格遵守防疫法律法规，明知已感染或可能感染新冠肺炎的，要主动报告，及时就医，切实对自己、家人和他人的生命安全与身体健康负责，切勿聚餐聚会。3.戴口罩、保持距离高某，男，51岁，家住随州市曾都区东城办事处某小区，1月22日陪妻子看病，在排队等候的过程中与一位没有戴口罩的老人交谈了十来分钟，后来他们听说这名老人被确诊。高某及其家人陆续出现发热、干咳、肌肉酸痛等症状。经诊断，高某及其家人有4人为新冠肺炎确诊病例，1例为疑似病例。启示：戴口罩是个人防护病毒的关键做法之一。如果没有戴口罩，与人交谈必须保持1米以上的距离。近期我市疫情防控虽然取得了一定的成效，但个人防护依然不能马虎。戴口罩、勤洗手、保持距离是减少个人感染的重要措施。4.聚集打牌安某，男，45岁，家住随州市曾都区北郊办事处某小区，1月25日随州已经封城了，他仍然与朋友一起打牌。1月29日安某出现发热、咳嗽等症状，在曾都医院就诊被诊断为新冠肺炎确诊病例。启示：一次随意的打牌娱乐，就可能埋下祸端。当前，居家隔离时间久了，难免想外出活动、交流。但是，病毒并没有休息，还在积极寻找“下家”。不想“中招”就要加强自我约束，不要外出娱乐，安心宅在家里，“待到病毒驱散时，出门再转也不迟”。
西北旺镇社区卫生服务中心,【疫情期间牙疼怎么办？】疫情期间牙疼，可以用点消炎止疼药，每次吃完东西就漱口，用漱口水，如果疼痛难忍，就赶紧去医院，记得做好防护措施#健康中国2030##春节健康攻略#...（更多内容请进我的诊室http://t.cn/A6hN8kBU）文章详情点击↓↓↓疫情期间牙疼怎么办？
呆桃裙下之臣,:#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地，但市场里的卫生状况的确堪忧，做好防护是必须的
保山检察院,:#共同战疫#【#我要记住你的样子#
十八里店社区卫生服务中心,#健康科普汇#城市建设离不开建筑工人的辛苦工作，开工了，做好防疫，安全建设。@北京12320在聆听@首都健康
青岛公安,:请大家告诉大家【病毒会随着空气飘进屋子？#居家通风小课堂#来啦！】疫情当前，勤开窗通风，保持室内空气流动，是重要的防护手段。但病毒会不会随着空气飘进屋子？如果邻居在家中隔离，还能不能开窗通风？住在医院附近怎么办？给你解答那些关于居家通风的问题！新华网的秒拍视频
-泉酱-,#德国载有1200名乘客游轮检测结果出炉#要都重视起来，做好防护才是重点工作
共青团重庆大学委员会,:【透过防护服也能认出你，#火神山的大眼睛医生#】火神山医院感染二科一病区主任董宇超，被患者亲切称为“大眼睛医生”。在他的“紧盯”下，不少患者病情明显好转。在抗“疫”一线，他带领50名医护全力救治80多例患者，无一人转向危重症或病亡。在患者出院证明上郑重签下名字，他说，这就是最好的回报。http://t.cn/A67NfthA
于是无争sowhat,省妇幼门口偶遇老同事
德州网警巡查执法,:【战“疫”MV《#不要告诉我的妈妈#》
王一博的宝贝奶膘,:#西班牙出现首例新冠肺炎死亡病例#一直在蔓延，一定要及时防护，减少扩散阿#美国新冠肺炎感染总数达117人#总感觉这个数据不真实
江北检察,:【防护服成了“备忘录”】#抗击疫情公安在行动##警民同心#在战“疫”关键时刻，荆州公安派出“疫区冲锋队”，接管一处有业主被确诊的小区，荆州市公安局沙市区分局胜利街派出所所长代睿带领15名冲锋队员，负责该小区疫情较为严重的楼栋，全力开展维持秩序、服务救助、清洗消毒等工作，做好居民的快递员、物资采购员，保障97户201人的日常生活。冲锋队员每日骑着三轮车，来回100多次，采购住户生活物资，为了方便工作，他们将住户需求密密麻麻的写在防护服上，形成独一无二的“记事本”。http://t.cn/A67Nm2R9#雷锋精神我们传承#
william的小兔兔,1001位女性，就有1001种发光的样子，巴黎卡诗，用专业的产品和奢华的服务为每位女性从“头”打造#巴黎奢护实力发光#的闪耀机密，呵护她们爱自己的自信和勇敢。前往巴黎卡诗天猫官方旗舰店http://t.cn/A67SaJZC让实力和专业宠爱你的秀发#爱自己就是了不起#
王一博的宝贝奶膘,:#西班牙出现首例新冠肺炎死亡病例#一直在蔓延，一定要及时防护，减少扩散阿#美国新冠肺炎感染总数达117人#总感觉这个数据不真实
江北检察,:【防护服成了“备忘录”】#抗击疫情公安在行动##警民同心#在战“疫”关键时刻，荆州公安派出“疫区冲锋队”，接管一处有业主被确诊的小区，荆州市公安局沙市区分局胜利街派出所所长代睿带领15名冲锋队员，负责该小区疫情较为严重的楼栋，全力开展维持秩序、服务救助、清洗消毒等工作，做好居民的快递员、物资采购员，保障97户201人的日常生活。冲锋队员每日骑着三轮车，来回100多次，采购住户生活物资，为了方便工作，他们将住户需求密密麻麻的写在防护服上，形成独一无二的“记事本”。http://t.cn/A67Nm2R9#雷锋精神我们传承#
william的小兔兔,1001位女性，就有1001种发光的样子，巴黎卡诗，用专业的产品和奢华的服务为每位女性从“头”打造#巴黎奢护实力发光#的闪耀机密，呵护她们爱自己的自信和勇敢。前往巴黎卡诗天猫官方旗舰店http://t.cn/A67SaJZC让实力和专业宠爱你的秀发#爱自己就是了不起#
HR帝李晶V,:#共同战疫#中国疾控中心：疫情期乘坐飞机高铁别到太早中国疾控中心研究员张流波提醒疫情期乘坐飞机高铁注意事项：一是计算好时间，不要到太早，避免大量人流；二是做好个人防护，全程戴口罩，少和陌生人过多交流，多做手卫生；三是乘坐时保持安静、避免喧哗，咳嗽打喷嚏时讲究文明礼仪；四是和邻座保持距离，条件允许时隔座乘坐。
鼓楼中医院仁德博爱gl,:#健康北京战疫有我#【疫情期间去商场超市购物时如何做好个人防护】去商场、超市购物，做好个人防护非常有必要。主要注意四个方面：第一，购物的时间尽量避开商场、超市的客流高峰期，比如选择非周末时间或者是早晨刚营业的时候，这样减少与其他人接触的机会。第二，乘坐电梯时，如果是到楼层比较低的地方购物，推荐走楼梯。如果到楼层比较高的地方购物，建议优先使用扶梯。如果必须乘坐厢式电梯，电梯人多的时候可以等候下一趟电梯。乘坐电梯时要佩戴口罩，而且与其他人员保持一定的安全距离。第三，要全程正确佩戴口罩。第四，做好手卫生。#健康守护在东城#@首都健康@健康伴您同行@hch2107@1961小老鼠@小名举@文明鼓楼中医张灿@文明鼓楼中医周航宇@北京东城@人民日报@北京12320在聆听@文明东城
捡颗糖,:#中国境外确诊病例超过1万#又是一个令人心痛的消息，希望可以降到1万以下，大家做好防护
东南大学教育基金会,:#seu分享#【
若语漠离_手游页游难民QAQ,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
平安-老城,#共同抗疫#【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
伤寒经方传承,:【#在韩华人讲述回国历程#：反复测量体温身穿防护服人员接机送去隔离】近日，受新冠肺炎疫情影响，往返中韩的航班大幅减少。崔女士于2月29日从首尔搭乘CZ6074航班回国，到达延吉朝阳川国际机场。她称韩国仁川机场相比往常人流量较少，连免税店内都没有太多顾客。#聚焦新冠肺炎疫情#@新京报我们视频http://t.cn/A67Sjszm
淳安统计1,#全民战疫#【菜场买菜如何防护？这份防护指南建议收藏】菜场与市民生活息息相关，一般人流较大，环境较为封闭，在疫情防控形势严峻的情形下，市民如何安全买菜？戳图了解↓
定海新闻,:#早安定海#预计今天全市阴天，最高气温10度，最低7度；明天多云，最高11度，最低气温6度；雨歇的空挡，气温却不高，大家还是要注意保暖呀。舟山沿海今天北到东北风5-7级，下午增强到6-7级阵风8级。明天东北风5-7级。非常时期，请大家做好个人防护和自我健康监测，减少不必要的人群聚集，去人员聚集场所要戴口罩，而早春的气温起起伏伏，春寒料峭，大家注意合理穿衣，千万别被寒意钻了空子，切勿感冒呀。
北京青年报,:【透过防护服也能认出你，#火神山的大眼睛医生#】火神山医院感染二科一病区主任董宇超，被患者亲切称为“大眼睛医生”。在他的“紧盯”下，不少患者病情明显好转。在抗“疫”一线，他带领50名医护全力救治80多例患者，无一人转向危重症或病亡。在患者出院证明上郑重签下名字，他说，这就是最好的回报。http://t.cn/A67NfthA
联合国,:@世界卫生组织总干事谭德塞3日在日内瓦表示，医护人员依靠个人防护设备来保护自己和患者免受感染，并免于感染他人。但是，由于缺乏接触手套、医用口罩、呼吸器、护目镜、面罩、罩衫和围裙之类的用品，医生、护士和其他一线工作者无法充分护理#COVID-19##新型冠状病毒#疫情的患者。工业界和政府必须采取迅速行动，以增加供应，放宽出口限制，并采取措施制止投机和囤积。世卫组织表示，自从疫情暴发以来，个人防护用品价格一直上涨。手术口罩的价格上涨了六倍，N95口罩的价格增加了三倍，罩衫的价格增加了一倍。同时，供应可能要花数月才能交付，市场操纵也很普遍，库存经常卖给出价最高的人。迄今为止，世卫组织已向47个国家/地区运送了将近50万套个人防护用品，但供应迅速耗尽。根据世卫组织的推算，应对疫情措施每月估计需要8900万医疗口罩，检查手套7600万副，而对护目镜的需求为每月160万副。另外，谭德塞当天也表示，目前的数据表明，新型冠状病毒的传播效率不如流感。在全球范围内，2019冠状病毒的致死率约3.4％，而季节性流感造成的死亡率低于1％。了解更多信息：http://t.cn/A670Cq70联合国图片/LoeyFelipe
