你很有意思哦,#接打电话恐惧症#是我本人了
恩恩麻麻1314520,:昨天晚上，刚看完育儿书，做完健身，躺下还没1小时，恩宝就开始吵，吵了好久好久。感觉好像是刚做好的心理建设，刚调整好的状态，被恩宝打得支离破碎。小孩子就是上天派来考验我们的吧。太难了，怎么哄都不听，一直啼哭，一有什么不称心的就大喊大叫。就好像是恩宝宝小的时候，唉(._.)，哄她都把我自己哄哭了。希望只是偶尔这样。最近拉臭臭也是晚上弄，已经五六次了吧，都是晚上。也不知道是不是昨晚没给她拉屎的时间就直接睡的。还是说是因为不给她自己操作泡奶，导致她睡前就不爽？然后就睡不好？事后，我总会想找下原因。不过昨儿的育儿书说了，沉下心来，对自己说三遍，小孩子就是这样！小孩子就是这样！小孩子就是这样！不是难过发脾气的时候，而要想怎么办怎么办怎么办？睡觉睡觉睡觉😪。
慕孜琰YUKI,【加拿大确诊又增3例已达到27人】今天中午，安省政府通过媒体向公众宣布，安省又新增3例新冠确诊病例。目前安省的确诊人数已达到18人。今日刚刚确诊的病例有两名女性，以及一位男性，三名患者的年龄均在60～70岁之间。这三位新患者都有旅行史，患病前曾去过伊朗或埃及。目前所有相关人员已经自我隔离。而安省卫生部昨日确认的四例新冠病患为三男一女，三名男性分别为40多岁，50多岁和60多岁，那名女性患者则在70多岁。这几起病例主要集中发生在约克地区以及多伦多，近期发现新病例几乎都与伊朗有关。截止目前，加拿大境内的确诊病例共27例，分布在安省18例，BC省8例，魁北克省1例。
梅子一定上中鼎,:#东京奥运允许被推迟至年底举行#希望日本能做好措施，让奥运会能正常举行
失恋挽回情感指导_沫雪,:#分手挽回前任复合#在挽回过程中，一定要重视这三点，做好了可以提升你们的挽回成功率。不少人在挽回过程中都是很盲目的，再加上刚分手情绪不稳定，很容易做出不理智的事情，导致对方逃离或者拉黑我们，今天给大家总结这几点挽回时应该注意的问题，希望能帮到大家。#情感语录#1、心态需要稳定不能急于一时在挽回案例中，老师建议一定先断联，先将自己的情绪稳定好、将负能量剔除，因为大部分人在刚刚分手的那段时间里都不太冷静。他们会出于马上解决矛盾、快速恢复感情等目的做出很多不冷静的事，而最终的结果往往都不尽如人意。所以，在挽回中首先要做的就是先分析原因，我们的案例中发现很多人以为的原因基本不是主要原因。其次采取以退为进的方式，让对方感觉这段感情确实已经被平稳、和平的结束了，而这时对方才会念在旧情的面子上还留给对方一个做朋友的机会，而这个友谊区实际上就是挽回时的缓冲区，我们可以在这个时期来进行第二步，也就是提升自己。2、提升要到位不能盲目行动无论怎么挽回，提升自己这一步是不可避免的，我们之前也讲了很多了。挽回就像建房子，提升自己是挽回的地基，而挽回的实施阶段就像建房子，地基打不好，房子再漂亮，遇到一个问题就会也会轰然倒塌，可见提升的重要性。提升自己分两方面，一方面是修正自己的问题，另一方面就是提升自己的价值，但提升自己的阶段必须要避免一个很大的错误：无重点，太盲目。这一步老师建议大家根据感情中的问题和对方的需求来提升，不要盲目。这一步可以在断联期间去做。3、找准时机，一击必中当提升到位以后，这一步就是实战阶段，这一步和第二步同样重要，实战过程中切不可盲目行动，要等机会窗口，一旦发现机会窗口，就大胆出手，机会稍纵即逝，如果不能判断机会或者不知道怎样操作，可以咨询老师一步一步教你。在这个过程中，建议大家一定要合理的隐藏好自己的需求感，初期就像两个普通朋友那样，切不可操之过急，从而让自己之前的努力付之东流。这个阶段一定要沉住气，我们付出了那么多，就是在等机会。初期交流以展示为主，让对方看到并且能感受到你的脱变，然后再慢慢深入，切不可操之过急，切忌。#如何挽回已经破裂的感情[超话]#如果能顺利吸引到对方，那么挽回基本是99%成功了。
成尾温树,#易烊千玺[超话]##跟着易烊千玺益起来#易烊千玺希望厨房项目进展：🥢厨房已于一月中旬左右完工，待学校开学后就可以开启使用。由于该校属于大投入大改造，并且当地政府也配套支持了对应的工程，所以比预计的竣工时间延迟了一个月。🥢厨房完工时我们希望待学校开学投入使用后一并反馈进展，但因疫情影响，学校至今未能开学，故现在先反馈厨房建造进度，待后续学校开学启用厨房，我们会进行更新反馈。
绝对零度是好多度,:与其没心没肺，不如每天做点有意义的事，做了总比没做好，对自己也不期待什么了，有时候连快乐都是一种奢求，性格脾气好又有什么用，做给别人看？妈的上进一点吧，不会死人的！一天天的做的什么事？不想每天晚上做噩梦了，别蠢了，为了自己，好好活吧。
我爱你的谁元,#宋亚轩[超话]#🐳#宋亚轩遇见十六岁的你#【ʙᴇᴛᴛᴇʀᴛʜᴀɴʀᴇᴠᴇʀɪᴇs美梦别成真】宋亚轩十六岁生日应援手机壳“ʏᴏᴜʀsɪxᴛᴇᴇɴ-ʏᴇᴀʀ-ᴏʟᴅʙᴏʏɪsʟᴏᴀᴅɪɴɢ”【参与条件】1⃣️带生日话题转/发并评/论2⃣️关注@时代少年团-宋亚轩（关注一下我也不错鸭[憧憬]）3⃣️近期🍊＞68或参与数据3/4/2020转/发随机一位🐚评/论手动一位🐚『美梦别成真因为你胜于美梦本身』http://t.cn/A67pJPvK
邱娜-320,:最近消耗了不少美白补水产品，不过很好总算补回来一点点，重回当年容貌💃🏻苏梅岛是海洋气候，呆一段时间你会发现这里还是蛮干燥的，所以补水💦太重要啦💆睡前护肤要做好[机智]越看越喜欢我的眉毛[愉快]晚安哒～💤🌙😴
楼兰情感,:因为是俩兄弟加上婆婆他们不在家所以就没有分家、和家里大多卫生什么都是我在打理、年前自己第一次开始养鸭子，什么都是我去弄，买鸭子我出钱养鸭子我出力，我嫂子不仅没帮忙吃了还说风凉话！做什么都特自私、忍了很久..又不会吵架所以很郁闷！！我该怎么做好？#楼兰情感##婚姻家庭#
网络傲娇朱毛毛,#朱一龙[超话]##朱一龙2020并肩前行#【警告】【警告】【警告】最近db出现各角度的钓鱼贴不要上钩！不要上钩！不要上钩！第一时间发给红豆！！！呆在笼屉不要乱跑准备装死！！！预备！！！趴！！！
-Duduuuu,:#dudu的一日小记#·靠着我妈做好的菜，吃得很好·开始看《天盛长歌》了·今天出门拿了快递，买了coco，珍珠可可是最近的爱·晚上健身了一下·只要不安静的待着，就觉得无事发生过·吃好喝好，日子照过
BJT的喵,:我感觉到了一些细思极恐的事情：肖战和魏无羡就像是陈晓旭和林黛玉的人生...的感觉一样
经典bot,美联储一下子降50个基点，说明什么？我才不看那些那些乐观的分析，都是狗屁！说明美国精英阶层已经知道，这次死人要死大发了！#AmericaFUCKYEAH#
鸭纸同学,:2020.03.03今天是逛gai的一天。#光（Cover：陈粒）[音乐]#🦆现在的状态，除了没得见男朋友and朋友们，还有睡得不太好，其他都挺好的。👘昨晚说完好梦之后，真的做了个好梦，见到大家的梦，我想他了，也想好朋友们了。🙇今天看到挺有道理的一句话——感情最好的状态，不是拼了命确定对方永远和你在一起，而是做好心理准备对方随时可能离开。降低期待值，珍惜彼此一起拥有的每一刻吧，这是我们追求爱情最简单快乐的方向。🤗肚子作动了好些天了，亲戚您还不来，我可就要怀疑我肚子里头有玩意儿了喔。虽然不可能，但是等得真焦灼。哎呦呦，拜托啦(•̥́ˍ•̀ू)
涧河所,:#平安守护反诈先行##防范电信网络诈骗##抗击疫情公安在行动##疫情当前警察不退#【涧河派出所张贴并州实战二维码和反诈宣传海报】3月3日，涧河派出所民警辅警深入辖区各小区张贴并州实战二维码和反电诈宣传海报。向小区物业和居民进行推广并州实战二维码的应用以及预防电信诈骗相关知识，扎实做好疫情期间各项工作。@平安杏花岭@平安太原@山西公安
Fancy四夕,:睡前突然想很多～～很幸运今天查分高中教资面试过了，19年的所有愿望，在这个20年奇妙的春天里真真切切完美收官了，也许18年过的太差老天爷的眷顾19年的考试还都比较顺，自己感觉到有一些运气的成分，仍记得在离开这次考场前考官笑对我说：回去还要好好看美术史哦～是呀做任何事情还是要不停的扎实根基，如果前期没有做好那么在后更要花上多倍的功夫，考试的结束不是真正的结束，还有更多应该去做的…[加油]
下午茶2599,:#方舱医院患者准备考研见到导师#【特别的缘分，将来我要成为你】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）http://t.cn/A67CVFi0
南通身边事,:#南通爆料#【重磅！南通新设8个检疫站点，关闭4个高速出入口！】请注意！江苏将在高速公路和普通国省干线沿线设置共30个检疫站点，关闭6个高速公路出入口。其中，涉及南通的包括：新设8个检疫站点，关闭4个高速出入口！同时对防疫应急物资和人员运输车辆“不停车、不检查、不收费”，优先便捷通行。当前，企业陆续复工复产，道路交通流量逐步回升，同时也是疫情防控最关键时期。3月1日，全省高速公路出口流量为155.54万辆，恢复至去年同期水平的76.2%。其中，货车为35.85万辆，占全天总流量23%。3月2日，江苏省新冠肺炎疫情防控工作领导小组交通防控组发布通知，同意设置部分交通疫情防控检疫站点和关闭部分高速公路出入口。据介绍，南京、苏州、南通、淮安、扬州5市上报的在高速公路和普通国省干线设置部分检疫站点及关闭个别高速公路出入口的请示，已经省政府批准同意。为什么上月24日所有卡点全部撤销后，又新增一批？相关人士介绍，复工复兴，交通先行，只有打通“大动脉”，畅通“微循环”，才能推动经济社会快速回复正常轨道。为切实做好疫情防控和交通保通保畅工作，同时，江苏省新冠肺炎疫情防控工作领导小组交通防控组提出如下要求：各地要按照市疫情防控工作领导机构统一部署，依据各地风险等级和分区分级精准防控的要求，协调卫健等部门配足检疫力量，在公路检疫站点采取“复式”或多点检测的方式，加快检测速度，实现快检快通过。要科学合理设置检验站点的检测区、等待区、应急停车区和隔离区，加强现场秩序维护，保障交通畅通。要建立发热人员、重点疫区人员科学处置机制，发现后及时妥善处置，确保车辆和人员不滞留。一旦出现车辆积压，要安排警车、路政执法车等引导车辆利用应急车道有序驶离，防止发生交通事故。恶劣天气时要加强交通分流，引导车辆避开设有检疫站点的高速公路出口和国省干线公路。各地要创新举措切实做好交通疫情防控工作，积极利用信息化等手段，通过微信公众号等渠道，引导车辆和人员异地出行远程预约或提前登记备案，方便车辆快速通过检疫站点。要充分利用高速公路省界及出口视频识别系统，结合城市道路电子监控，及时向社会及社区防控组等推送相关数据和信息，对来自重点疫区的车辆实现入区入格精准化管控。要严格执行绿色通道政策，做到“三不一优先”，确保防疫应急物资和人员运输车辆“不停车、不检查、不收费”，优先便捷通行。
WUli_京,:结不结婚又怎样呢！时代不同，社会在变，所有东西(婚姻)都和以前不一样了！不要总是拿旧思想那一套老去评判别人！不要总是拿你的标准去衡量别人，更何况你的标准还不一定对。人有很多种活法，不是只有那一条路可以走！现代人都是独立自主的，谁也不想攀附于谁，都有能力养活自己，想追求更多自己喜欢的、想要的生活，希望自己变得越来越优秀所以，管好你自己的嘴，做好你自己该做的事！结不结婚，什么时候结婚，是自己说了算，不需要他人来插嘴！(以上所说，是因为看到这个视频引发的，里面说的跟我一直以来想法一模一样，高度赞同)#结婚为什么##七大姑八大姨##催婚#http://t.cn/A67pcY8A
Abby芙琳,:
重庆长安网,:【重庆已完成7例康复者血浆采集用于重症患者临床治疗】本网讯（记者杨雪）在今日下午的重庆市新冠肺炎疫情防控工作新闻发布会上，市卫生健康委副主任周林介绍，疫情发生以来，我市通过建立三级医疗救治体系、三级专家联动机制等，不断完善工作机制，集中优势资源，全力做好医疗救治工作。周林介绍，按照符合市情、覆盖城乡、运转协调的原则，我市迅速确定了174家发热门诊、48家区县定点医院、4家集中救治医院，建立起发热门诊筛查、疑似病例定点医院隔离诊治、确诊病例集中救治的运行体系，患者收治率100%。同时，通过集中市级专家、联动区县专家、统筹院级专家，建立市级、区县级和医院三级专家工作制度，充分发挥各级专家在医疗救治工作中的技术支撑作用。此外，制定了从预检分诊、发热门诊、隔离筛查、早期诊断、病例转运、集中救治、出院管理的全流程表单式管理、模块式检查的标准化技术规范，形成了《重庆市新冠肺炎医疗救治工作指南》，确保医疗救治工作规范有序开展。还制定了全市《医疗救治人员准备和调用工作方案》《医疗救治资源储备工作预案》提前做好应对疫情升级的医疗救治准备。据介绍，我市统筹安排疫情医疗救治和日常诊治，完善院内筛查流程，规范预检分诊、发热门诊、隔离病区的设置管理，加强对普通门诊和普通病人的筛查识别，积极防止交叉感染。规范设置了43家医疗机构、实验室和4家第三方检测机构，40家疾控机构对发热病人、密切接触者全面开展新冠病毒核酸检测，及时发现阳性患者，防止疫情蔓延。组建了122人的市级专家组，其中4个驻点专家组又分为重症组、普通组和巡回指导组。重症组专门负责重型、危重型病例的会诊和抢救；普通组负责普通型轻型病例的诊治，防止轻型转为重型；巡回指导组前往各医院指导，防止病情加重。规范救治诊疗关键环节的技术操作，明确黄金72小时综合救治原则，建立重症患者早期预警机制，进一步提高患者的治愈率。“针对每位患者的具体病情，我们坚持中西医联合诊疗，配合多专业专家团队，开展多学科的个体化诊疗，制定了一人一策的最优治疗方案。”周林介绍，我市还落实了一线医护人员24小时床旁值守制度，加强病情观察监测，及时调整救治方案，实行重症组专家床旁查房会诊制度，建立多学科专家夜班值守制度，确保及时有效开展危重患者抢救。截至目前，我市已完成了7例康复者的血浆采集用于重症患者的临床治疗，将硫酸羟氯喹片用于新冠肺炎确诊患者，取得了良好的效果。“中医药全程参与，救治成效显著，我们开展了ECMO、人工肾等技术，成功挽救了多名危重患者。”周林说，截至3月2日，全市累计治愈出院患者469例，出院率达81.4%，重型危重型患者降为目前的9例，医疗救治取得了积极成效。周林说，随着企业的陆续复工复产，人员流动性增加，人群聚集风险加大。因此，广大市民仍要做好自我健康管理和自我防护，要做到不聚集、戴口罩、勤洗手，如果出现发热、咳嗽、乏力等症状，请戴好口罩及时到发热门诊诊治。
雪莲果雨,:骨子里看不起你的人才有的表现：1.语言歧视：喜欢嘲笑你2.人际交往歧视：喜欢传播你的是非，说你的坏话3.行为歧视：行为上总是怠慢你4.智力歧视：总是安排一些无足轻重的活给你当你被人歧视时，应当放平心态，不要太在意，做好自己就好了。他人歧视你，是想从你身上获取一种优越感，往往这类人在生活当中也是被压迫的一方，也许常常被人打压。这样想想，其实他们也很可悲，不去理会就行。人生在世，不必与他人计较。
福田发布,:#各地动态#【澎湃新闻发布最新榜单，深圳为什么拿了第一？】3月2日，澎湃新闻政务指数2020年2月榜发布，深圳发布荣获省会和副省级宣传榜第一名！新冠肺炎疫情发生后，深圳发布厅围绕市委市政府的工作部署，在市委宣传部、市委网信办的指导下，做好疫情防控的信息发布和网络宣传工作。针对疫情防控、科学防范、惠企政策、复工复产等重点主题，深圳发布厅通过微信、微博以及在多个客户端上开设的自媒体号，率先发布深圳市委市政府、深圳新冠肺炎疫情防控指挥部出台的重要政策、措施，以及各区各部门的权威信息，及时转载中央、省、市媒体的重要报道，推出丰富的新媒体作品，回应网民关切，为深圳科学有效防控疫情和有序高效复工复产营造了良好的网络舆论氛围，持续传递“圳能量”。http://t.cn/A67pPDik
塔罗占卜师清清,:#奎葵[超话]#清清塔罗占卜馆🔮3月4日、3月5日整体运势3月4日塔罗运势【正义】表示冷静、契约、平衡力的牌，今天的头脑冷静而敏锐，能够用理性的眼光看待问题，判断力和决断力也会提高，工作上和生活上的事也会进展得比较顺利。建议将之前拿不定主意的事再摆上台面来审视，相信你一定能够做出好的决定。今天要理性地考虑工作上和关于金钱方面的问题，不要因为情感遮住了客观和理智的眼睛。在人际关系上，建议分辨哪些是对自己有帮助的，哪些是无关紧要的。在一些事情上也要分清楚优先顺序。今天也是最适合商谈的日子，随着决断力的提高，平衡感也很不错，尤其是与利益相关的商业上的调整或是商谈，能发挥出才能，可以很好地协谈及签合同，在对立的问题上也能抓住要领可以很好地处理。感情方面可能会对对方多有挑剔，比较冷淡，尽量避免过于苛求，在恋爱中的人，也不要对恋人抱着心怀不满的态度，心存宽容今天开运的关键。3月5日塔罗运势【权杖二】今天开运的关键在于是否做好了严密和周全的计划，能够一边冷静地分析现实状况一边按照计划前进，一定可以实现梦想中的未来。目标眼看就要达成，在恋爱和事业方面，付出的努力即将看到成果，所以不要泄气，朝着目标再坚持迈出最后一步，谨慎做好充足的准备工作，理想就在不远处。今天的人际关系比较稳定，变化不大。因此想要开展恋情的人，建议主动去相亲派对或朋友聚会之类的地方，更能找到适合的对象。财运事业方面，已经取得了阶段性成果的伙伴，请不要只停留于现状，再次设定目标朝更长远的梦想迈步吧！对于还没有目标的人，就请利用今天描述一个长远的梦想！你的世界将会变得更加开阔！#塔罗牌占卜恋情桃花复合事业学业财运健康#
北城夏屿,:人们都说要控制自己的情绪，做好自我情绪管理。我承认很多人稍加注意，在通常情况下能够做到，但是难的是在任何情况下都能控制好自己的情绪，特别是心情崩溃的时候。像今天这样，虽然我遇到的都是一些司空见惯的小事，但是叠加在一起，就会让心情失落，说不准在接下来的某一刻就会爆发。事后想想，大可不必，但彼时彼刻却难以控制。成年人的世界，时常会有让你情绪低落甚至崩溃的时刻，但是谁不是转个身又微笑着面对着这个世界。你情绪崩溃着面对世界，你的世界就真的崩溃了，变成一团糟。你情绪崩溃了，转个身微笑面对世界，世界也会对你微笑，瞬间会抚平你内心的伤痕。#公共场合崩溃到哭的经历#
中国铁建电气化局,:#复工战“疫”##做足“粮草”文章保障复工复产#中国铁建电气化局三公司物资设备部，承担着全公司分散在北京、河北、福建、甘肃、内蒙、吉林和黑龙江等省市30多个高铁、地铁和市政基础设施项目，及2个海外铁路建设的车、机和料保障供给、维修服务工作，在督导现场做好司机、车辆防疫工作的同时，加强与物资经销商、轨行设备生产厂家和各项目部联系，并且运用大数据和智能化，对司乘人员、全台账，物料车机和现场防疫情况实行实时定位、跟踪核查、跟踪调配，确保各项目“分区分级精准复工复产”。(曹筱璐郑传海)
梦幻的夏秋,:有时候爱情不是因为看到了才相信，而是因为相信才看得到。——泰戈尔当初你会爱上，肯定是因为你在他们身上感受到了真正的爱情，并且这份爱情给你带来了幸福、快乐、甜蜜。所以你坚持相信并等待……可是后来，时间和距离让你产生了怀疑，而这份怀疑只是因为你看到了他们不同框？和他们说了无数次要敬业做好的那份工作？其实，爱情很简单呀，不需要喧嚣，不需要张扬，他们只是远远得在人海中悄悄互看一秒的眼眸，也让我看到了他们对彼此独有的温柔与爱意。不需要嘴上表达，不需要硬核同框，我也感受到了他们的爱情🖤❤️
贵阳身边事,:【#男子自制不锈钢口罩还带了氧气瓶#网友：一辈子买一个就够了】近日，河北“无用发明家”@手工耿自制不锈钢口罩的视频网络走红。视频中，他将钢板切割、打磨、焊接，一个精致的不锈钢口罩就做好了，背后还带一个氧气瓶。他称，口罩是全封闭式，还能防空气中的粉尘。网友：一辈子买一个就够了！http://t.cn/A6hk4B5T?
国际旅游岛商报,:【湖北省神农架林区发生野猪非洲猪瘟疫情，共发现死亡野猪7头】#神农架发生野猪非洲猪瘟疫情#农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。（澎湃新闻）
医美整形-修进军,:Dr修科普课堂|修医生我现在40岁，脸上细纹比较明显，也有松弛的问题。有没有能全面抗老的项目？#微整形##祛皱##抗衰老##逆龄##医美##热玛吉##超声刀#推荐热玛吉&超声刀：全面抗衰老需要敷麻药，但疼痛感仍存在，恢复期7天左右，肌肤提升和祛皱的效果后期会逐渐显现。3天内不宜用热水洗脸，治疗后肌肤会感觉干燥，建议多补水，做好防晒。这样才能达到面部综合抗衰紧致提升的效果。
嵘蓉,:意大利华侨回浙江。浙江网友:欢迎回家，做好防疫隔离就好。外省网友:外面的月亮不是很圆吗？现在知道回来了？想蹭免费医疗啦？反正就在那阴阳怪气的说话。怎么不想想，现在一线医务人员穿得用得防护用品不少还是这些海外侨胞捐赠的。海外华侨对家乡的贡献不是有些人敲敲键盘就能想象的。浙江丽水青田是著名的侨乡，这些人的家就在浙江，海外现在不安全了，回家乡避个难这事很难理解吗？当然，那些已知感染却一路瞒报，欺骗，连累无辜之人的另当别论。
古镇珠山发布,:#联防联控江西在行动##众志成城抗疫情#【珠山区里村街道前街社区：防控疫情期间关爱流动留守儿童】#志愿服务#里村街道前街社区在防控疫情期间不忘关爱辖区内流动留守儿童。今年春节因为疫情好多孩子们的父母不能回家过年。社区两委干部心系流动留守儿童身心健康，3月3日，社区组织社区关工小组、妇联工作小组、志愿者开展关爱流动留守儿童疫情防控志愿服务。志愿者上门为流动留守儿童送上一次性防护口罩、免洗洗手液，安慰孩子在家要听爷爷奶奶的话，提醒监护人照顾好孩子，所到之处志愿者们进行防疫消毒，同时向他们讲解正确佩戴口罩的方法，宣传疫情防控知识，询问他们的身体状况，聆听他们的心声，疏导他们的焦虑心理，有效引导孩子及其家庭正确理解、积极配合、做好自我防护，科学参与疫情防控，为他们送上政府和社会满满的爱与关怀。http://t.cn/A67pz5Nk
扬州市竹西中学,:疫情防控知识（15）】别这样！疫情还没结束！校长室扬州市竹西中学近日，疫情趋势有所好转，部分城市开始逐步复工复产，一些人的警惕开始有所松懈。尽管专家们一直在强调拐点未到，病毒变化形式也还在“花样翻新”，可宅了这么多天，很多人早已按捺不住。既然可以出门了，一些地方开始出现非必要的人流聚集情况，一些人甚至还摘下了口罩，不少地方又重现往日人潮，专家们也在不断的提醒大家不能掉以轻心。上海市医疗救治专家组组长、复旦大学附属华山医院感染科主任张文宏在上海的一场公开活动现场，也就目前的疫情形势表示，“不要到处瞎玩，正常生活正在慢慢回归，但是还没有到为所欲为的地步”。希望大家按规定做好科学防护，切不可因一时小利而毁大局。大家也都要继续保持警惕，复工复产严格做好科学防护，外出时坚持戴口罩。一时的大意，可能就会导致大家的努力付诸东流，辜负了抗疫英雄们的奉献和牺牲。英雄们离开温暖的家、离开亲人，不分昼夜的奋战在抗疫一线，我们待腻了的家，是他们最想回的地方，我们吃腻了的家常菜，是他们最期待的美味。抗疫仍在继续，切勿放松警惕，戴口罩、少聚集，我们终将胜利！
中青广西校媒,:#桂小妹有话说#【#青年战疫#老师喊你上网课，一个也不能少！】在疫情防控工作压力巨大的现实情况下，网课成了全国中小学生的“必需品”。但是，并不是每个学生都能轻松享受到网课带来的便利，那些物质条件较差，缺乏网络、电子设备资源的孩子，想要跟上网课的节奏并不容易。根据不同情况，基层政府也应该做好相关工作，保证疫情时期每一个孩子的受教育权不受损害。（黄帅）http://t.cn/A67NQmQp
塔罗占卜师清清,:#紫宁winnie[超话]#清清塔罗占卜馆🔮3月4日、3月5日整体运势3月4日塔罗运势【正义】表示冷静、契约、平衡力的牌，今天的头脑冷静而敏锐，能够用理性的眼光看待问题，判断力和决断力也会提高，工作上和生活上的事也会进展得比较顺利。建议将之前拿不定主意的事再摆上台面来审视，相信你一定能够做出好的决定。今天要理性地考虑工作上和关于金钱方面的问题，不要因为情感遮住了客观和理智的眼睛。在人际关系上，建议分辨哪些是对自己有帮助的，哪些是无关紧要的。在一些事情上也要分清楚优先顺序。今天也是最适合商谈的日子，随着决断力的提高，平衡感也很不错，尤其是与利益相关的商业上的调整或是商谈，能发挥出才能，可以很好地协谈及签合同，在对立的问题上也能抓住要领可以很好地处理。感情方面可能会对对方多有挑剔，比较冷淡，尽量避免过于苛求，在恋爱中的人，也不要对恋人抱着心怀不满的态度，心存宽容今天开运的关键。3月5日塔罗运势【权杖二】今天开运的关键在于是否做好了严密和周全的计划，能够一边冷静地分析现实状况一边按照计划前进，一定可以实现梦想中的未来。目标眼看就要达成，在恋爱和事业方面，付出的努力即将看到成果，所以不要泄气，朝着目标再坚持迈出最后一步，谨慎做好充足的准备工作，理想就在不远处。今天的人际关系比较稳定，变化不大。因此想要开展恋情的人，建议主动去相亲派对或朋友聚会之类的地方，更能找到适合的对象。财运事业方面，已经取得了阶段性成果的伙伴，请不要只停留于现状，再次设定目标朝更长远的梦想迈步吧！对于还没有目标的人，就请利用今天描述一个长远的梦想！你的世界将会变得更加开阔！#塔罗牌占卜恋情桃花复合事业学业财运健康#
福建日报,:【一定是特别的缘分！#方舱医院患者准备考研见到导师#】2月27日，武汉江夏大花山方舱医院方内一位大四医学生患者与医护人员交流谈心，患者说她要考湖南省中医药大学的研究生。刚好这个学校的博导毛老师就在身边。毛老师对他说，祝你早日康复，要做好吃苦耐劳的准备。（中青网）http://t.cn/A67CVFi0
财经961,:【#英国宣布新冠疫情防疫政策#，#英国警告高峰期或致两成劳动力感染#】3号上午在唐宁街首相府举行的新闻发布会，首次发布英国针对新冠病毒疫情的最新国家防疫政策和措施。这些政策和措施包括，如果疫情继续发展，一些学校可能会受到影响而关闭，禁止举行人员密集的大型活动，鼓励人员在家办公，公立医院将召回新近退休的医护人员以补充短缺人力，一些慢性病患者可能将延迟就医。英国政府警告，疫情到高峰时期，英国可能会有多达五分之一的劳动力因病停工。英国政府已经做好药品和防护用品储备，必要时，可向社会保障人员提供防护用品。为了减缓英国公立医院系统持续面临的压力，政府鼓励大多数轻症患者在家隔离治疗，医院可给这部分患者提供医疗支持。http://t.cn/A67NkFrr
石狮日报,:#石狮日报即时新闻#【鸿山镇卫健办主任自制两个疫情防控宣传动漫】鸿山镇卫健办主任龚庆丰在工作之余，发挥个人专业特长，制作了两个疫情防控宣传动漫——《疫情防控从我做起》《疫情期间复工个人防护注意事项》。动漫中，预防新型冠状肺炎感染需要做到五条：勤洗手、少出门，戴口罩、别乱摸，不扎堆、少闲逛、多锻炼，做好通风和清洁，对医生、不隐瞒、放轻松。复工个人要做到：科学出行、佩戴口罩、少乘电梯、错峰就餐、出入洗手、衣物消毒。用动画的形式宣传，让疫情防控注意事项更生动形象、简单直白。(石狮日报记者张军璞报道)http://t.cn/A67NgU9w
