瀚晪,:我的抑郁症状表现为打开冰箱要发呆五秒钟
日本龟田综合医院,:【肺炎症状与普通感冒的区别】轻敌会导致病情恶化，虽然肺炎与普通感冒症状有类似之处，但两者有着本质上的区别。A.肺炎特征性症状：1.发烧、38%以上；咳嗽强烈，持续3-4天但症状不见减轻2.伴黄色或绿色痰液3.呼吸困难、胸痛B.虽未出现上述特征性症状，但伴有:1.呼吸浅且快2.身体疲乏无力3.无食欲的症状，此种情况也应提高警惕。
梦留史学,:#罗马教皇新冠病毒检测呈阴性#建议还是重复检测3次以上稳妥！前不久罗马教皇露面2次仍是咳嗽不断，表现出来的症状很明显。结合意大利最新新冠病毒疫情情况，我们持续关注最新动态
南韩海里捞,:我为什么后腰起了一些小疹子…不疼不痒就是摸的出来起了一些，面积也没有很大，新冠的症状里没有起疹子吧？有点怕
胸大的bunny小姐,:怀疑自己得了肺炎的我
胸大的bunny小姐,:怀疑自己得了肺炎的我
日本昊宇,:日本大分县有一名30多岁在lounge接客的女子被确诊感染新冠。她2/23日出症状前一直在lounge打工。浓厚接触者30人。并且在23日当天还去了健身房。科普下日本的陪酒夜店吧。最高级的是クラブclub，一般是会员制。价位很高，陪酒女孩质量也很好。东大，慶應大学的名牌大学生都有。其次叫lounge，陪酒女以白领为多。客人层次不是特别大的老板，但也是中产比较多。最下级的是snack，一般店里是些老妈子或者不太好看的女子。价格也便宜。大分这个被传染的陪酒接客，不知会传染上多少人。店里的妈妈桑急坏了吧。#日本疫情#
小米粥吃完了,日本神奈川县医院的报告说，对3名确诊新冠患者使用了一种叫ciclesonide治疗哮喘的药物，患者之后症状有改善并出院。厚生劳动省说，“要密切关注是否有疗效，但没有特效药的情况下这算是个好消息”。
仙师灵符---有求必应,:昨晚符主做的招财法事，今天来反馈就赚了一万多，这也是我为什么极力推荐符主做招财法事的原因，一定是有很大助力的。若昨晚法事请符的符主出现头疼头晕恶心等症状，为驱邪去霉运过程，坚守本心即可。
mingyuecs,#张宝旬家庭中医#夜尿是个很烦恼的问题，多数是肾不固摄造成的。按压小手指头的这两个点，下边点100下，上面点50下可以缓解。经期怀孕可以用。针灸匠张宝旬的微博视频
浙江之声,:【春天终将到来！舟山一学生向社区工作人员送去一封感谢信】3月2日上午，舟山新城临城街道桃湾社区工作人员收到了一封来自居家隔离人员冯焙雯的感谢信。此前，冯焙雯一家从老家河南回到舟山，开始了14天居家隔离生活。家中情况⼀切正常，都没有出现相关疑似症状。隔离期间，桃湾社区的工作人员每日两次关心与他们一家三口的身体情况，了解他们的每日生活，送上生活所需的物资并带走生活垃圾。每次前去，社区工作人员都会看到冯焙雯写的温馨便利贴。工作人员的关心与付出让冯焙雯一家三口很受感动，特写来感谢信。信中，冯焙雯写到“在抗击疫情的背后，正是有千千万万像你们这样的人，这场疫情才得以控制。哪有什么岁月静好，只是有人在替你负重前行。经过这一次疫情，我才对这句话深有体会。”。同时，冯焙雯也再次向社区工作人员表示感谢，“中国，你真棒!抗疫的叔叔阿姨们，你们真棒!在不久的将来，你们终将会带领着我们迎接春天的到来!再一次对你们表示真挚的感谢与敬意。你们辛苦了!”#关注新冠肺炎##武汉加油，浙里挺你#（浙江之声记者周珈伊通讯员沈梦琪包健桦图片来源掌上新城）
龙脊康脊柱专科门诊,:#肩周炎#的症状多为肩膀疼痛和肩关节活动受限，有哪些康复训练呢？龙脊康脊柱专科门诊的微博视频
宿州埇桥公安在线,:#安全宝典#【动画还原新冠病毒感染人体路径】一般人一天会碰触面部2、3千次，之间会碰门把手、电梯按钮和别人，而新型冠状病毒可能就藏匿其中，它以蛋白质包裹RNA骗过人体细胞关防，侵入细胞、引发感染。一开始，它很狡猾，潜伏在肺部，宿主没有明显症状，但仍具备传染性。发病一周左右，患者会出现呼吸困难、胸闷气喘症状，呼吸系统慢慢衰竭。http://t.cn/A6hhGdbA
香港紫荆卫视,:【#黄石两村民发热打牌多人被感染#两人及村支书被立案】#紫荆快讯#3月1日，黄石开发区·铁山区公安分局对太子镇老屋村王某凤、潘某松、王某三人因涉嫌妨害传染病防治罪立案侦查。2月21日至23日，太子镇老屋村4人先后被确诊为新冠肺炎。该4人在发病前均发生咳嗽、发热等症状，频繁出入往返于阳新县陶港镇卫生院及其它场所。老屋村原党支部书记、村委会主任王某凤在明知上述人员存在“胸闷、咳嗽”等症状的情况下，不仅没有按照相关防控指令对4人采取相应措施，还违反规定出具“村口通行证”予以放行。此后，王某凤对这4人放任自流，未作后续跟踪管理，玩忽职守，严重违反防控指令，对疫情防控工作造成恶劣影响。日前，王某凤已被撤销党内职务，依法罢免村委会主任职务。老屋村村民潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，往返于陶港镇卫生院及其他场所看病、购物。同时，在出现发热、咳嗽症状后，潘某松恶意隐瞒，经营、娱乐“两不误”，聚集村民购物、打牌、垂钓。其中，多位村民防护意识薄弱，未戴口罩。2月21日以来，潘家父子、妻女先后确诊。由于潘某松的恶劣行为，导致多名家人和牌友被感染，社会危害极大。目前，老屋村确诊人数已达7人。
健康埇桥,:#疫情挡不住温情#@埇桥发布@宿州发布@安徽发布@健康安徽@宿州市卫健委@健康中国@头条新闻@新浪安徽“疫”动的哨所，勇敢的“兵”（埇桥区平安医院隔离点夏胜亮宣）“新冠疫情形势严峻，从即日起需要固定一名救护车驾驶员（志愿者）跟随接转新冠肺炎患者的密接者及有可能是无症状带毒者，马主任有主动报名的吗？”埇桥区卫健委周永军股长的话音未落，区卫健委马新安副主任电话那头传来说“有一个主动请战的，是永安镇卫生院职工营同彪同志，他是一名优秀的共产党员。”“我们平安医院隔离点急要这样的人员。”周永军股长即回话。为了疫情他请战而来。营同彪同志接到通知，在单位没有回家，他立即和妻子电话商量，妻子非常支持丈夫的决定，营同彪同志说“一定不要告诉父母，别让他们担心，我是一名共产党员，国家有难我要上一线。”妻子低沉的说“好，你去吧！照顾好自己，我和孩子在家等你。”为了安心工作，避免交叉感染，他每天住在平安医院隔离点。为了疫情防控他尽全力。营同彪同志每天的工作和医护人员一样，直接与可能有无症状带病毒的被医学观察隔离人员零距离接触，工作时需要穿戴防护服、口罩和护目镜。2月10日晚11时，接上级紧急通知以最快的速度到永安镇接新冠密接人员，当时夜间大雾浓见度不足30米，25公里的路程用了2个多小时，到达永安镇已经是凌晨2点10分左右。永安医院负责人及时给卫健委汇报，大雾天气不能转接密接者，这样太危险了，让营同彪同志在我们这里休息，明天再回去。营同彪同志为了节约防护服，在永安医院发热门诊的条椅上休息，也不敢喝水，担心上厕所。由于防护服不透气，一夜内衣被汗水浸透。第二天早上向其他隔离点转送两次密接人员，回到平安隔离点时已经是中午12点了。为了疫情防控他拼了。2月11日下午，营师傅正在接转密接者的路上接到家人电话，他及时把救护车停在路边打上双闪时说：“什么事，我在接人的路上。”家人告诉他，你妻子卵巢囊肿破裂形成卵巢蒂扭转，已经入院治疗，情况紧急，有可能需要手术。疫情紧张的时期，又在接转密接者的路上，他同家人商量保守治疗，如果不行就手术，我看情况是否回去。下午6点接到妻子的电话已经转险为安了，叫他专心工作，希望你能为这次多做贡献。一个坚强而朴实的男人流下了对妻子歉疚的泪水。为了疫情防控他节约应急物资。2月13日，接通知政府调配防护用品紧张。他会尽最大可能等待接转密接人员的时间；一次性防护服太紧张，他消毒后再次使用，N95口罩消毒后明天再用、后天再用。他说：“节约下来给隔离区医护人员用，我可以节约用，她们更需要。”执行任务近一月来，一个人开救护车24小时待命，有时白天接转密接者后，还要帮助其他同志消杀工作和处理医疗废弃物，特殊时晚上还要熬上一个通宵，但是他从来没有一句怨言。当问他累不累时，他说：“在累，我也要坚持，我是共产党员，也一名医务工作者，当党和人民需要我的时候，在灾难面前我必须在前沿。”在一旁的周股长深情的说：“他开着“疫”动的哨所，是一名勇敢的哨兵。”这时，“疫”动的哨兵接通知后，又要出发接送密接者了。为了疫情防控他是一名勇敢的哨兵。他太累了，大家看在眼里。吴春艳院长要求廖恒学同志协助他，他坚持不要。他说：“我是请战来的，要起到模范带头作用，何况我家里已经全部安排好了，我已经非常有经验了，知道怎样更好地做好个人防护，更好的和密接者沟通，节省时间与疫情防控赛跑，及时切断疫情源头，这就是我的责任。”平安隔离点微信工作群里，同事们称他是勇敢的哨兵。他的回复是，我现在就是一名救护车师傅。为了疫情防控他舍小家顾大家。营同彪同志到现在一直战斗在抗疫一线，他已经有快1个月没有回家了。只能抽空打打电话，视频看看家人。妻子的泪水，父母的牵挂，孩子的想念。他只能说，我很安全，我很好，疫情结束我就回家。内疚地给家人摆摆手，就这样关上了视频。营同彪今年40岁，埇桥区永安二级综合医院职工，中共党员，中级职称。2003年非典时期也主动申请到一线工作，同时协助防保人员搞好消杀工作。曾获得过“优秀共产党员”、“脱贫攻坚优秀工作者”等表彰。一名优秀的共产党员，不忘初心、牢记使命。在平安隔离区疫情防控狙击战“疫”中留下了“疫”动的身影，战出了““疫”动的哨所、勇敢的哨兵”的美名。2020年3月3日深夜
-YuanT-,:当我正纠结着明天要不要宅在家看recording别去上课了然后教授发了邮件说我呼吸道感染了虽然症状很mild但是我们还是别inperson上课
柒月健康,:#柒月健康泰国试管婴儿#有乙肝能做试管婴儿吗？可以，但是要根据具体病情选择适当的怀孕时机。一般来说，对于症状严重、肝功能明显异常的慢性乙肝患者，不建议立即生育或辅助生育，应当先积极治疗，待病情稳定后再试孕。因为试管婴儿促排卵治疗，需要使用大量促排卵药物，这都需要通过肝脏来代谢。同时体内雌孕激素急剧增加，也需要肝脏来代谢。如果肝功能异常，将影响药物作用和对卵子成熟度的判断，进而影响促排卵过程。绝大多数乙肝患者在肝功能稳定、病毒低复制状态下，是可以结婚并考虑生育问题的，对方应该注射乙肝疫苗并产生保护性抗体。理论上，病毒处于活动复制期的患者孕期及产程中均存在垂直传播的风险。而一旦新生儿感染，将是终身携带和感染，所以女性乙肝患者尤其要注意预防母婴传播。
Dr嘚嘚,:上午出了个诊，一个老患者，昨晚多次心绞痛，其实我判断应该是心梗了，好在最后慢慢缓过来了。今天早上乏力怕冷，心慌胸闷等等症状不缓解，早饭喝了牛奶以后又恶心，难受且无力说话，所以来不了门诊。特殊时期，但我还是想帮她，到家里给她做了艾灸，可是我带的不给力，最后还是用患者自己家里的了
卓阳_欧尼,:#上海已追踪71名浙江输入病例密切接触者#上海的小伙伴们要注意了，最怕的是无症状感染，不能掉以轻心。。输入性病例最好能够严格控制，不要再有无谓的蔓延了。。。北京·北京交通大学
月隐寒霜,:#湖北回应首家方舱医院休舱#湖北省人民政府副省長楊雲彥表示，湖北的疫情形勢依然研究複雜，繼續採取最嚴格的防控措施。當前主要問題有：消化存量的任務，全省還有二萬患者仍在救治，有六千多名重癥危重癥患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不確定性，出現無癥狀檢測陽性患者、出院患者復檢陽性現象。疫情防控在老舊社區、特殊場所還有薄弱環節。若不是有人一再勸告疫情沒有結束，我想很多人已經準備開閘撒歡溜達了，現在太多的消息讓人認為疫情已經過去，實際上誰也無法確認疫情是不是已經過去，所以我認為一定要觀察到年底天冷的時候，到那時候疫情不再噴發，就意味著疫情真的可能有消退的希望，否則在這之前撒歡，肯定會產生各種問題。雖然說社會不能停頓，但同時社會也經受不起三番五次疫情的折騰。如何權衡呢，我想上邊的人也在思考這個問題，祗是一般不說。
爱炸毛的佛系少年,:#伊朗民众涌入寺庙舔圣墙#我能说什么呢
francescoenya,:长时间的食用冷菜、冷水、冰淇淋等食物，对我们身体的脾胃、肠道形成了一定的伤害，而脾胃主阳，主要通过其运转来化解人体湿气和水分，常年食用生冷食物就会导致人体内水分、湿气不断淤积，让人体的大便、手脚、食欲等等都出现问题；加上春季雨水增多，内外湿结合，易加重身体疲乏的症状。http://t.cn/RJv38SU
第一亿颗星,:#上海已追踪71名浙江输入病例密切接触者#我们不能一刀切地不欢迎境外回国的同胞，担忧自身安全的时候，想到回家，是人之常情，这也是祖国对于海外国人的意义。但是，我们也要提醒这些人员，在就地居家隔离和仓促回国之间做好选择。尤其是我们注意到浙江这起病例，是在2月16日就有症状了，然后还在26日从米兰到莫斯科转机回国。
francescoenya,:长时间的食用冷菜、冷水、冰淇淋等食物，对我们身体的脾胃、肠道形成了一定的伤害，而脾胃主阳，主要通过其运转来化解人体湿气和水分，常年食用生冷食物就会导致人体内水分、湿气不断淤积，让人体的大便、手脚、食欲等等都出现问题；加上春季雨水增多，内外湿结合，易加重身体疲乏的症状。http://t.cn/RJv38SU
看看新闻全球眼,:【不戴口罩！#女子有症状还异地看演唱会致5人感染#】2月29日，日本大阪府公布了一则集体感染案例。高知县一名女子2月13日出现喉咙痛等症状，2月15日前往大阪市观看了一场演唱会，且当时未戴口罩，回去后被确诊感染新冠肺炎。当天大约有100人观看了演唱会，大阪市卫生部门得知后已对演奏厅进行了消毒，大阪市也通知了参加这场演唱会的市民多加注意，如有发热及时就医。此后，一名参加同一场演唱会的爱知县女子被确诊感染。另外，2月15日和16日去过演奏厅的两名男性工作人员也被确诊，其中一人的妻子和上幼儿园的女儿也被感染。为了应对疫情扩散的情况，目前大阪市内所有区的保健福利中心都开设了电话咨询窗口。http://t.cn/A67N2ZMT
每日经济新闻,:【#北京回应望京一韩国人确诊#：患者并非新冠肺炎】3日，北京市就疫情防控召开新闻发布会。北京市朝阳区望京街道工委副书记、办事处主任杨晓昇介绍，2月27日上午，在北京市朝阳区望京街道某社区，一位从韩国返京的外籍人士致电社区，称身体不适，并伴有呕吐症状。社区工作人员第一时间联系120，将其送往医院。后经医疗机构确认，并非新冠肺炎。该人士出院后，继续返回社区进行居家隔离。（中国新闻网）
简单过活23,:大概在一个月前我喝完之前留在这里的茶叶🍵，疫情严管期间找时间出门在家不远处的茶叶店买回一点茶叶。那次买回的茶叶刚开始喝的前两天肚子会略不舒服，有一点点痛感，接着就是生理期。后面再喝好像就没有了这一症状。喝完那点茶叶，中间这次我在离家远点的店买，价钱是头次的2/3，口感差一点，但喝着全程没有肚子不舒服。这边买东西很方便，下楼走几步路什么都能买齐全。于是我买茶叶也是每次买一点，喝完再买。前两天又在离家近那店买了点茶叶🍵。买的时候想着上次的喝完肚子痛，那这次就买不同价位的试试，这次买了较上次便宜点的。结果买回喝完更明显的肚子不舒服，还有点拉肚子现象，也可能是恰逢适时排毒～刚又有人给了红茶☕️，我突然想起买茶叶的巧合——肚子痛。怎么那店的茶🍵我喝了都肚子痛呢～是不是他家的茶叶农药特别多还是怎么的…不过，也可能只是我自身的原因，两次都恰巧生理期前夕喝他家的茶🍵…
穆木1982,【防范韩国疫情反渗，#延吉机场加强入境航班管控#】2月23日，吉林延吉朝阳川国际机场开始采取专项防控措施，对韩国进港航班采用专门廊桥、专人保障、专用通道，确保国内航班和国际航班物理隔离。延吉机场公司副总经理介绍，目前每天有2个韩国航班到港，日均350人左右。截至24日16时，韩国累计确诊病例达833例。http://t.cn/A6hFP6N5
USANA雅霓,:🌝肝脏健康自测：（有三种以上的症状，就必须开始调理肝胆功能了）1.无端感到疲倦2.无端感到烦躁、焦虑和忧郁3.眼睛干涩或者死鱼眼4.出现粘便。5.腰部赘肉增加6.有体臭7.失眠多梦8.口干口苦9.偏头痛10.前胸后背有红痣11.指甲有明显竖条纹12.头发经常很油13.脸庞两边有肝斑14.脾气特别大15.乳腺增生和妇科问题茶蓟和磷脂可以促进肝细胞的修护和再生，增强肝脏的代谢能力#解酒护肝##葆婴USANA##保养#
乳糖不耐受_儿歌乳糖酶,:#育儿##母婴##新冠肺炎#新冠肺炎幼儿防治事项——1.居家观察每天早晚各1次给宝宝测量体温，并且留意宝宝吃奶、呼吸、黄疸、大便情况及精神状况，全部记录在册。如果宝宝出现发热、咳嗽、呼吸困难、精神反应差、吃奶差、反复呕吐等症状，就应马上到附近的发热门诊、定点医院就诊
无罪inGU,:——“口罩脸”救星！——Snowberry雪果蓝铜胜肽精华无罪最近后台接到很多宝宝的求助信息：复工后，整天戴口罩出现了“口罩脸”的症状，皮肤泛红、干痒还长痘怎么办？又刚好遇上换季更容易敏感，要怎么护肤？
集微网官网,:【三星加强对半导体工厂员工的新冠病毒筛查程序】三星表示，该公司已加强了对其半导体业务“设备解决方案”员工是否感染新型冠状病毒的筛查程序。从本周开始，半导体业务的所有员工将在每周日接受一份在线自查问卷，调查他们最近是否到过病毒重点区域或出现发烧等症状。集微网
努努一直在努力,:一直不愿意去面对右臂仍有关节黏连症状的事实，半年了还没恢复。
四川观察在现场,:【山东首例隐瞒湖北接触史确诊被判10个月】3月1日，山东首例疫情防控期间妨害传染病防治罪一案宣判，田某某被判处有期徒刑10个月。1月初，田某某出现发热、干咳等症状，后被确诊新冠肺炎。因其故意隐瞒湖北接触史，给37人造成被感染传播的危险，警方认定田某某涉嫌妨害传染病防治罪。http://t.cn/A67NAwq1
四川观察在现场,:【山东首例隐瞒湖北接触史确诊被判10个月】3月1日，山东首例疫情防控期间妨害传染病防治罪一案宣判，田某某被判处有期徒刑10个月。1月初，田某某出现发热、干咳等症状，后被确诊新冠肺炎。因其故意隐瞒湖北接触史，给37人造成被感染传播的危险，警方认定田某某涉嫌妨害传染病防治罪。http://t.cn/A67NAwq1
童胖童胖,:他（指罗素）在孩提时期经历了大量痛苦，也许超过了可以忍受的限度。他后来的幽灵式逃避既是一种症状，也是一种反应。他2岁时，母亲死于白喉；几天之后，姐姐死于同一种疾病；父亲遭到毁灭性打击，几乎失去了活下去的念头。一年半之后，父亲去世，罗素那时年仅3岁。在这种情况下，他被送到祖父家抚养。罗素6岁时，祖父也去世了。那天晚上，罗素彻夜难眠，担心奶奶会接着撒手人寰，把自己留在这个世界上。罗素儿时面对的确实是一个幽灵游荡的世界；在那个世界中，死者与生者共存；在那样的世界中，人的情感依附对象被反复证明是并不可靠的东西，昙花一现、转瞬即逝；在那样的世界中，冷漠看来是唯一可能出现的反应。——瑞·蒙克：《罗素传：孤独的精神1872-1921》，中译本，第3-4页
Y315G,:为什么别人开学了都觉得好开心只有我觉得好难过好难过呜呜呜呜这种症状高中也不怎么有就是大学开始，特别想逃避就是不想开学，一想到开学了要面对的各种烦恼就很想哭。然后就会转眼回想到假期里开心快乐的日子，是真的要掉眼泪的那种！情绪很低落。小学初中的时候开学都特别开心特别期待，现在长大了怎么就这么厌恶上学啊
頭上有犄角的小龍女儿,:天气忽然的热，我忽然的病
藍色2008HK-童靈彩光聖,:《新冠病毒还未停止！埃塞俄比亚又现“X病毒”患者死亡症状可怕！》此视频已有6.6万次播放，快来一起看看！http://t.cn/A67NwTkx
文竹叶,:胃反流，什么症状大家听好，胃反流上来的东西，如幽门螺旋杆菌，肠子里都是脏的东西也就是反流性胃炎，显现在舌苔厚，口气重。往胆里反，眼干眼涩口苦；还会往胰岛素里反，饿一点累一点，就难受，低血糖，时间一长就是糖尿病。因为不往下走肠道就不能自动清洁，大便粘擦不干净，晚上内裤都是粪便。处理方法，中脘这个位置一定要通，这个包，不管用是哪种方法。要么扣要么拍要么推掐都可以，这块一定要干掉，你的胆结石，胆囊炎，胃炎症，血糖这些统统都能好，慢性肠炎肠息肉也都见好，因为胃主通阵，中医讲究脾胃一家，胃气下行，脾气上行。而胃气不可升，升则胃气上逆，容易打嗝、呕吐、头晕、精神不振等。胃气下行可通便，易消化。而你胃气一旦下行，脾气自然上升，上升后，人的精神便会加倍，做事情十分有干劲。所以胃气下行人才会健康。告诉大家这块位置非常重要一定要疏通开。
南昌天气,:【南昌天气】#晚高峰天气预报#预计17～19时阴天多云，局部有零星小雨，偏北风3级，气温7～8℃。中国疾控中心提示：若家庭成员出现新型冠状病毒感染的肺炎可疑症状，如发热、咳嗽、咽痛、胸闷、呼吸困难、轻度纳差、乏力、精神稍差、恶心呕吐、腹泻、头痛、心慌、结膜炎、轻度四肢或腰背部肌肉酸痛等症状时，（1）应根据情况及时就医。（2）避免乘坐地铁、公共汽车等公共交通工具，避免前往人群密集的场所。（3）就诊时应主动告诉医生自己的相关疾病流行地区的旅行居住史，以及发病后接触过什么人，配合医生开展相关调查。（4）患者的家庭成员应佩戴口罩，与无症状的其他家庭成员保持距离，避免近距离接触。（5）若家庭中有人被诊断为新型冠状病毒感染的肺炎，其他家庭成员如果经判定为密切接触者，应接受14天医学观察。（6）对有症状的家庭成员经常接触的地方和物品进行消毒。#抗击疫情气象人在行动#
德国巴伐利亚州大学联盟BayChina,:#德国疫情#在德国如出现新冠肺炎相关症状的话，建议直接拨打以下电话：
我将带头喝可乐,:我以为只有我一个人有这样的症状
南昌晚报,:#南昌身边事#【这名医生带着“神器”上前线改善患者呼吸症状】#联防联控江西在行动#南昌大学第二附属医院华福洲将发明的一款简易呼吸装置，应用于武汉协和医院肿瘤中心Z15病区17例需要氧疗的新冠肺炎重症和危重症患者。经临床实践显示，这些患者的呼吸症状均有改善和好转，已经有2名危重患者转为重症，15名重症患者中8人转为普通型，7名患者呼吸症状改善。http://t.cn/A679bYRo
TaoZhiYong,关注。瞒报？请核实微信语音真伪，谁在毁掉14亿人的坚守？
四川广播电视台,:【九寨沟县新冠肺炎疫情防控通报】据九寨沟县应对新冠肺炎疫情应急指挥部办公室通报，截至3月2日11时，九寨沟县暂未发现新冠肺炎确诊病例，无疑似病例。发热门诊接诊情况：全县22个发热门诊（预检分诊）共接诊181人，其中发热、咳嗽等症状6人，均为普通患者。中医预防情况：熬制中药汤剂61剂238份，累计4466剂17986份，累计配制大锅汤药包17781剂送往各乡（镇）煎熬。卫生防疫卡点工作开展情况：勿角（黄土梁）、郭元（青龙桥）、甘海子卫生防疫卡点检测车辆264台469人，其中：县内往返41人、过境89人、入境339人，无发热人员。农村志愿服务点工作开展情况：127个农村（社区）志愿服务点，开展新冠肺炎疫情防控知识、动物疫病防控知识等宣传345次（条、册），累计2122次（条、册）。环境卫生消杀情况：开展环境消杀16.76万平方米，累计495.25万平方米。后勤保障情况：累计接收943330元（其中九寨沟县407639元、湖北省73690元、武汉市418401元、随州市43600元）、一次性口罩109598个、KN95口罩（3M口罩）2743个、体温枪31把、防护服1004套、护目镜110个、常用药品1批、消杀用品7159瓶、消毒机37台、手套11300双、灭菌材料2包、核酸检测试剂20盒、蜂蜜500瓶、矿泉水82件。
成都博大泌尿外科医院,:#科普随身行#医院的责任只是治病？不！还有传播健康，将正确的健康观念深入人心。医生见过各类病症，尽管大胆描述自身症状。#男性健康#
中国新闻网,:#关注新冠肺炎#【北京回应“望京一韩国人确诊”：患者并非新冠肺炎】3日，北京市就疫情防控召开新闻发布会。北京市朝阳区望京街道工委副书记、办事处主任杨晓昇介绍，2月27日上午，在北京市朝阳区望京街道某社区，一位从韩国返京的外籍人士致电社区，称身体不适，并伴有呕吐症状。社区工作人员第一时间联系120，将其送往医院。后经医疗机构确认，并非新冠肺炎。该人士出院后，继续返回社区进行居家隔离。（陈杭郎朗）
啄木,:多少飞机乘客、飞机场工作人员要被传染？2月16日，老板娘王玉某出现咳嗽、头痛、腹泻等症状；2月26日-27日，老板娘等7人，意大利贝加莫餐厅-米兰-俄罗斯-上海浦东；2月28日，7人包车（分乘两辆车）进入青田；2月28日，剩余1人从意大利起飞；2月29日，德国-上海浦东。2月29日，一人包车进入青田http://t.cn/A67CydHO
远古的刀,:已经有新冠症状的前提下，逃离意大利回国，和不知晓情况下回国，是两个概念。前者是一种犯罪。忽视、欺骗、失职：浙江8人逃离意大利背后
八大处整形刘大苗,:目前用于面部的护肤品种类较多，很容易引起面部皮肤负担过重，不利于面部肌肤的自我修复。面部肌肤的负担能力是有限的，并不是说涂抹在脸上的护肤品种类越多，营养物质吸收就越多。很多护肤品里面往往添加了香精防腐剂的成分，不利于皮肤屏障的顺利修复，还可能会导致面部痤疮等症状的发生。#美白祛斑##八大处整形#
徽因思成从诫再冰,:#梅仲明医生因新冠肺炎去世#和李文亮医生同科室说明他们可能都接触过那个第一代传染源的病人。有的新冠的第一症状是眼部发炎（因为洗手不勤），眼科医生应该引以为戒，注意防护。此外注意防护的也应包括心脑血管神经外科的坐诊医生。
开心母婴,:#在家带娃大作战#产后抑郁症是指产妇分娩后出现的自责、失眠、焦虑、悲伤、哭泣、烦躁，严重者可以出现幻觉或自杀等一系列症状。
Coco_ChanelN5,【纽约州长：新冠肺炎病例80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。http://t.cn/A67CVjKZ#纽约州长称新冠肺炎没必要去医院#
才不是你的焦糖玛奇朵,:我真的挺无语的，撤侨明明应该做的，防护也是到位的，都说了无明显症状自我隔离，怎么到别人嘴里就成了逃回来的。骂美国禁止入内的是你们，不让国人回国的也是你们，能不能回去多读点书？
济南肾病医院,:【医学常识】肾脏作为人体重要脏器，起病隐匿，初期症状并不明显，而尿常规检查是能第一时间发现肾病的一个重要检查手段，建议大家每年1-2次尿常规检查。检查前需要注意下图中所说的几点，否则检测结果会出现很大误差。
漂亮的初次初见初恋小姐,:太息又名叹息，叹气，指情志抑郁，胸闷不畅时发出的长吁或短叹声的症状
小美人p191,:乳房胀痛时；胃脘胀满疼痛或月经不调！看陌生的风景、然后在某个不经意的瞬间：症状即有改善，饮茶养生养颜特殊时期需慎饮1.玫瑰花茶-对青年女性而言；当心情郁闷……
随州融媒,:#随州#【随州市流行病学调查案例，看看是怎么被感染上的？】一、超市采购杨某，女，65岁，家住随州市曾都区西城办事处某小区，2月8日前后多次到城区某超市购物。2月16日出现发热、咽痛、咳痰、恶心等症状到随州市中心医院就诊，2月19日被诊断为新冠肺炎确诊病例。启示：超市里人与人的安全距离难以保证，个人防护措施难以到位，会增加感染风险，有可能将病毒“请”进家门。所以，当前最好的居家采购办法，还是统一配送、户外消毒、错时领取，切实把病毒隔绝在家门外。二、家庭聚餐叶某，男，57岁，家住随州市曾都区北郊办事处某小区，长期在武汉工作。1月15日已感觉不适，1月16日与妻子一起从汉口回随州后，分别于1月17日、1月19日在某酒楼举办家庭内部聚餐活动，1月18日、19日、21日，家庭内聚餐人员先后出现发热等不适，有4人被诊断为新冠肺炎确诊病例。启示：这是一起典型的由聚餐导致的聚集性案例，且部分家庭成员带病聚餐。广大市民必须严格遵守防疫法律法规，明知已感染或可能感染新冠肺炎的，要主动报告，及时就医，切实对自己、家人和他人的生命安全与身体健康负责，切勿聚餐聚会。三、戴口罩、保持距离高某，男，51岁，家住随州市曾都区东城办事处某小区，1月22日陪妻子看病，在排队等候的过程中与一位没有戴口罩的老人交谈了十来分钟，后来他们听说这名老人被确诊。高某及其家人陆续出现发热、干咳、肌肉酸痛等症状。经诊断，高某及其家人有4人为新冠肺炎确诊病例，1例为疑似病例。启示：戴口罩是个人防护病毒的关键做法之一。如果没有戴口罩，与人交谈必须保持1米以上的距离。近期我市疫情防控虽然取得了一定的成效，但个人防护依然不能马虎。戴口罩、勤洗手、保持距离是减少个人感染的重要措施。四.聚集打牌安某，男，45岁，家住随州市曾都区北郊办事处某小区，1月25日随州已经封城了，他仍然与朋友一起打牌。1月29日安某出现发热、咳嗽等症状，在曾都医院就诊被诊断为新冠肺炎确诊病例。启示：一次随意的打牌娱乐，就可能埋下祸端。当前，居家隔离时间久了，难免想外出活动、交流。但是，病毒并没有休息，还在积极寻找“下家”。不想“中招”就要加强自我约束，不要外出娱乐，安心宅在家里，“待到病毒驱散时，出门再转也不迟”。http://t.cn/RxupPJ8
garcia0525,:#任嘉伦[超话]#
肆无忌惮的201604,:我免费围观了@杨希川教授-皮肤科医生的回答，问题价值100.00元，快来一起免费围观~<br/>微博问答:杨教授：我是6月10日向您提问被您诊断为典型玫瑰痤疮的患者。现口服西环素50ml，外用药白天甲硝唑凝胶二次，夜间他克莫司软膏。通过二周的治疗和日常生活注意，症状已明显
