青梅Zl,我们的同事：逝者刘章西:新闻老兵创中国名专栏🙏🙏🙏
天士力-大健康,:【人民日报整版图文组合报道：战疫，发挥中医药独特优势】“中医药学是中国古代科学的瑰宝，也是打开中华文明宝库的钥匙。”在抗击疫情、救治病患中，中医大显身手。国家中医医疗队和各地中医医院派出大批中医医务人员支援湖北，中医医疗队整体接管大花山方舱医院，中医施治方法在各地普遍采用，中西医协作机制和联合会诊制度不断完善，中医治疗纳入全国诊疗方案，中药汤剂与针灸、八段锦等特色疗法综合运用，清肺排毒汤向全国推广……中医队伍肩负使命，发挥独特优势，为抗击疫情贡献力量。中医与西医虽然体系不同，但各有所长，相互补充，综合施治，为救治患者提供1+1>2的强劲能量。
广州米洛英文幼儿园,:警惕！多人被殃及感染，只因有确诊者做了这件事！千万别这样做广州日报今天早发现、早报告、早隔离、早诊断、早治疗，能够迅速阻断传染链、遏制疫情蔓延，是疫情防控、病患救治的重点。东莞部分涉疫病患出现症状后没有第一时间上报情况并前往医院就医，而是心存侥幸，自行购药、服药，导致由轻症拖成重症、影响后期治疗，甚至殃及他人，酿成更加严重的后果。
中国维和警察,:#维和最前线#【#维和官兵深夜救治车祸司机#】当地时间3月2日凌晨，一名车祸司机来到中国第23批赴刚果（金）维和工兵分队请求救治。我维和工兵分队一级医院的医务人员对他进行了止血、清创及缝合手术。医院还送给他后期恢复所需药品。#致敬中国蓝盔英雄#
蓝天下的绿叶子,:#大爱清尘#我正在与大爱清尘一起，帮助尘肺农民接受医疗救治，为尘肺病农民和他们的家人送去爱和希望！帮助更多的尘肺农民和家庭，你愿意与我一起来吗？大爱清尘
西安电视台官方微博,:【上海张文宏教授视频诊断我市一名危重新冠肺炎患者】#战疫情西安在行动#为全力救治一名新冠肺炎危重患者，更好地进行科学救治，昨天下午，西安交大一附院专家团队与复旦大学附属华山医院感染科主任张文宏教授视频连线，就危重患者病情进行讨论。西安电视台官方微博的微博视频
文艺女科学家,悲惨世界，人间惨剧。字字泣血，句句含泪……
刺萼龙逵152,【财政部：财政安排的疫情防控资金已超千亿】3月3日，财政部社会保障司司长符金陵表示，截至3月2日，各级财政安排疫情防控资金1087.5亿元，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。中新视频的秒拍视频
台湾傻事,:美国有线电视新闻网（CNN）2日报道，随着每日确诊人数增加，美国疾控中心（CDC）却未能及时更新、发布信息。CDC的效率遭到医学专家和民众的不解与批评。此外，该机构官网上唯一一份临时救治指南，仅在2月12日更新过。其临床部分的内容几乎全部引述来自中国研究人员的论文。
长江网_留言板,:#致敬一线战疫者#【“你们让武汉的冬天变温暖”，江西小伙在汉获家乡援鄂医疗队救治】月3日，武汉协和医院肿瘤中心，南昌大学第一附属医院援鄂医疗队收到一段感谢视频，录制视频的是29岁江西小伙小李。小李陪父亲在武汉治病时感染新冠肺炎，没想到住院时得到来自家乡援鄂医疗队的救治。出院前，他写下一段话送给医护人员：特殊相遇，乡情流淌，异地他乡，生命护航。（记者徐锦博制作范芃审看蔡敏莉通讯员黎峰彭小平）#武汉我们一起加油#http://t.cn/A67NNRnD
廊坊高校新鲜事儿,:#关注新冠肺炎#【#湖北将有序关停方舱医院#逐步恢复正常医疗秩序
厨师黄海聪,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
鑫贝贝2016,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
遵义老城交警,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
浅夏染指昔年,:#宝文理化工院2020年“战‘疫’有我”寒假社会实践#打卡11天今年，新型冠状病毒肺炎疫情发生以来，面对疫情，全国人民上下众志成城，全力救治，严防死守，构筑起了一条守护生命守护安全的防护线。现精辑一组表现战斗在抗疫一线的医务工作者的宣传海报图片，向英雄致敬，你们辛苦了！@宝文理化工院19级材化团支部@宝鸡文理学院化工院团总支
宇落梧桐,【#财政部表示群众不会因费用延误救治#】①确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；②疑似患者的治疗费用，由就医地制定补助政策并安排资金。截至3月2日，各级财政安排疫情防控资金1087.5亿元，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。#人民战疫#http://t.cn/A67N4bje
廊坊高校新鲜事儿,:【#财政部表示群众不会因费用延误救治#
浅夏染指昔年,:#宝文理化工院2020年“战‘疫’有我”寒假社会实践#打卡11天今年，新型冠状病毒肺炎疫情发生以来，面对疫情，全国人民上下众志成城，全力救治，严防死守，构筑起了一条守护生命守护安全的防护线。现精辑一组表现战斗在抗疫一线的医务工作者的宣传海报图片，向英雄致敬，你们辛苦了！@宝文理化工院19级材化团支部@宝鸡文理学院化工院团总支
陕视新闻,:【李兰娟院士与我省定点医院展开远程会诊全力救治新冠肺炎危重患者】随着我省疫情防控形势的不断好转，我省各定点医院进一步加强了重症、危重症患者救治工作，积极与中国工程院院士、国家卫健委高级别专家组成员李兰娟等权威专家展开远程会诊，全力救治危重症患者。#战疫情陕西在行动##我为陕西医疗队打call#（记者：刘康袁渺鑫高维佳）http://t.cn/A67N0XPv
湖北日报,:【奥利给！#方舱医护表情包上线#】#全力以赴遏制疫情#日前，全国首创战疫医护表情包在武汉江汉经开区方舱医院发布。据介绍，制作战疫医护表情包的创意，来自江汉经开区方舱医院院长张进祥。张进祥称，医护工作者每天在舱内救治患者，都穿着厚厚防护服、佩戴密闭严实的口罩，生动的表情包是他们形象的化身。透过萌萌的表情包，能够将医护人员的正能量传递给患者，有利于增强医患沟通，鼓舞士气。（湖北日报全媒记者李先宏通讯员朱素芳张方方）
北京卫视-养生堂,:【20200305播出】今年的大年初三，东直门医院副院长张耀圣也带医疗队前往武汉，展开了救治一线病患的工作，我们现场连线了张院长，一个多月的工作让他对此次新冠肺炎疫情有了哪些新的认识？普通人又该做些什么来提升正气、预防病毒侵袭呢？专家提炼了防疫九字诀“适寒温、食清淡、避毒邪”。除此之外，针对三种不同的人群：普通人群、上火人群以及慢病人群，专家分别给出三个成人用中药预防处方。三个预防处方里都有什么呢？更多内容请关注今晚17：35北京卫视《养生堂》《由古至今话战“疫”》。
罗董琳,:哈哈哈英国政府脑洞真tm神了国会不讨论怎么救治防护先讨论把海德公园建成太平间
陕视新闻,:【战疫情稳经济促发展省政协委员积极参与疫情防控】疫情防控“总体战”打响以来，省政协号召委员履职不失声，战“疫”勇担当。省政协常委、陕西亿杰实业控股集团有限公司董事长陈高志在省慈善协会设立2000万元防控专项基金，并捐赠100万元现金用于湖北疫区救治工作。#陕西复工复产抓经济#省政协委员、北京陕西企业商会会长江榕多方联系筹措物资，向北京陕西企业商会捐款50万元、秦商百人会捐赠50万元防疫物资用于我省防疫工作，还向西安交大第一附属医院、西安市中心医院、安康市中心医院、商洛市中心医院等抗疫一线单位捐赠价值200余万元的防护物资。省政协经济委员会副主任、九三学社西安交通大学委员会主委陈斌组织单位九三学社社员捐款1.17万元，省政协委员、安康市政协经济委员会主任、民建安康市委员会主委王国库组织安康民建会员捐款捐物40余万元，省政协委员、陕西信托股份有限公司董事长、党委书记薛季民组织单位联合西安迈科金属国际集团有限公司、陕西省慈善协会设立1000万元慈善信托项目，省政协委员、陕西鼓风机集团董事长、党委书记李宏安组织单位通过西安市红十字会捐款100万元，省政协委员、渭南市政协副主席、市工商联主席张开组织工商联会员企业捐款捐物合计1629万元。（记者：蒋云龙）
盘锦广播电视,:#盘锦市危重新生儿救治中心正式启动#新生儿健康是保障人口健康、提高人口质量的关键。近年来，因我市无新生儿救治中心，每年有近百名胎儿发育异常的孕产妇需要转入沈阳治疗，这不仅给患者带来经济上的负担，也可能因转院而延误救治的最佳时机。盘锦市危重新生儿救治中心的成立不仅填补了我市危重新生儿救治方面的空白，也将为我市高危新生儿提供更优、更强、更专业的救护保障。盘锦市危重新生儿救治中心新生儿病区为独立病区，病房使用面积400余平方米，设有床位数30张，配备重症监护室、早产儿室等相关治疗场地，并配有机械呼吸机、无创双水平呼吸机等45台件新生儿专用先进设备，能够开展呼吸机机械通气治疗、呼吸衰竭等新生儿常见多发病的诊疗。
上海杨亮,:硬核医生张文宏我的本职工作，其实也就是在门诊看看病人，在病房里查查房。所以我虽然是网红，但是真正的英雄还是有很多，无数的你看不见的。我希望疫情结束以后，阳光灿烂，然后这些都不要被忘记。”谢谢有你，期待待花开
生活报,:【#火神山医院的大眼睛医生#
一句话-真理,:国外一对夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程惨叫国外一对夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程惨叫
Felina飛,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
一别_已是经年,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
亚东文化市场部,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
追风筝的念一,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
花花芯,:我在看：【全球首例老年新冠肺移植手术成功！医护协力救治术后生命体征平稳】#跟新浪看热点#视频-全球首例老年新冠肺移植手术成功！医护协力救治术后生命体征平稳
轩辕御剑司,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
鑫顺得的博客,:如果韩国疫情失控，医疗系统崩溃，韩国政府就会改变救治策略http://t.cn/A67CvOwS
福检在线,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
唯美星心语录,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
贵州微事,:【暖心又可爱！#重症监护室大管家陈静#
长江日报,:#致敬一线战疫者#【“你们让武汉的冬天变温暖”，江西小伙在汉获家乡援鄂医疗队救治】月3日，武汉协和医院肿瘤中心，南昌大学第一附属医院援鄂医疗队收到一段感谢视频，录制视频的是29岁江西小伙小李。小李陪父亲在武汉治病时感染新冠肺炎，没想到住院时得到来自家乡援鄂医疗队的救治。出院前，他写下一段话送给医护人员：特殊相遇，乡情流淌，异地他乡，生命护航。（记者徐锦博制作范芃审看蔡敏莉通讯员黎峰彭小平）#武汉我们一起加油#http://t.cn/A67NNRnD
中国经营报,:【财政部：#各级财政疫情防控资金超千亿#】国务院联防联控机制召开新闻发布会，财政部社会保障司司长符金陵介绍，截至3月2日，#各级财政安排防疫资金1087.5亿元#。现在看来，医疗费用的保障比较充足，人民群众不会因为医疗费用延误救治。人民日报的微博视频
琪战士Gemine,求助（补充：遗传的恶性间叶源性肿瘤
M安娜玛德莲娜,:#韩国全国进入了同传染病的战争阶段#这确诊数涨的也太快了吧……韩国救治率应该很难吧……唉……
东哥照我去巡山,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
河南经济广播,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
麥甶里de稲愺亽,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
中新视频,:【财政部：财政安排的疫情防控资金已超千亿】3月3日，财政部社会保障司司长符金陵表示，截至3月2日，各级财政安排疫情防控资金1087.5亿元，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。中新视频的秒拍视频
上海杨亮,:硬核医生张文宏我的本职工作，其实也就是在门诊看看病人，在病房里查查房。所以我虽然是网红，但是真正的英雄还是有很多，无数的你看不见的。我希望疫情结束以后，阳光灿烂，然后这些都不要被忘记。”谢谢有你，期待待花开
兲ian,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
糊糊壶底,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
何九宝,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
江苏政法,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
生活报,:【#火神山医院的大眼睛医生#
亚东文化市场部,:《一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫》一对中年夫妻亲热后竟无法分开，被紧急送医救治，丈夫全程压着惨叫
南海检察,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。@央视新闻http://t.cn/A67Cu2Aa
黄冈检察,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。@央视新闻http://t.cn/A67Cu2Aa
津云,:#谁是新时代最可爱的人#【实录|确诊前，他是天津离新冠病毒“最近”的人】2月25日，坚守在一线一个多月的于洪志，出现了发热症状。两天后被确诊为为新冠肺炎普通型患者。这位和传染病打了近18年交道的呼吸科传染病专家，这一次也和他救治过的患者一样住进了隔离病房。实录|确诊前，他是天津离新冠病毒“最近”的人
追风筝的念一,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
花花芯,:我在看：【全球首例老年新冠肺移植手术成功！医护协力救治术后生命体征平稳】#跟新浪看热点#视频-全球首例老年新冠肺移植手术成功！医护协力救治术后生命体征平稳
轩辕御剑司,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
湖北梨,:【老人患癌被困鄂州无法回武汉救治：曾留遗书想轻生，已获助回武汉】近日，肺癌晚期的李爷爷本计划2月初回武汉治疗，因疫情与老伴被困湖北鄂州，无法返回及时治疗。其老伴说，李爷爷在家十分痛苦，曾留遗书想跳桥，后来录下视频求救。3月3日凌晨，李爷爷获助被送往武汉医院救治。一手video的秒拍视频
陌尘一笑很倾情,【#浙江干部教科书式劝回国侨胞#
XP益者三友,【纽约州长：新冠肺炎病例80%都能自愈没必要去医院
南粤女声-,:#南粤女声#自疫情发生以来，她挺身而出，一次次伸出援手，先后5次捐赠630多万药品支援抗疫一线救治工作。她的名字叫李锋，是茂名化州化橘红药材发展有限公司董事长，全国巾帼建功标兵、广东省三八红旗手，广东省十大最美乡村女能手，为她点赞！
鄂州发布,:【母婴安全重任在肩，鄂州妇幼产科在行动】孕产妇，作为特殊群体，亦是新冠病毒的易感人群，一旦感染，救治不仅棘手，母婴都会面临生命安危。3月2日，记者从鄂州市妇幼保健院获悉，面对严峻的疫情形势，鄂州市妇幼保健院产科全体医护人员坚守岗位，为孕产妇提供安全的就诊环境。疫情非常时期，鄂州市城区主要综合医院产科停止对外接诊，鄂州市妇幼保健院产科病人陡增，产房与手术室紧张、忙碌已是家常便饭，戴口罩、戴护目镜、穿防护服这些成为每天工作开展前的必要准备。从穿上防护服的那一刻起，医护人员就不能喝水不能上厕所，因为临床防护物资有限，要尽量避免污染，产妇太多也需要争取更多时间护理，于是成人纸尿裤成了产科医护的“标配”。为了应对突增的工作量，加班都成了常态，面对繁重的工作任务，大家没有说一句苦和累。“现在人手不足，我想了解一下大家的困难和需求，征求意见和建议，哪些人可以多加班多排班的，哪些人可以吃喝睡在科室里不回家的……”该院孕产保健部主任闵自珍开始征求产科群里医护人员意见，原本以为会有人犹豫，可当闵自珍主任说出“谁可以”三个字的时候，大家迅速回复的都是三个字“我可以”。随后几天，科内医护人员纷纷给她发来信息，请求多加班。“责任面前，只有一种选择，就是坚守岗位，积极备战，保障母婴安全，越是特殊时候越见责任担当，医者担当。”闵自珍说。荆楚网客户端—荆楚网消息（记者熊子璇通讯员董静）
YiliaXiong,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
抚州资溪发布,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
桑林之舞者,【纽约州长：新冠肺炎病例80%都能自愈，没必要去医院】当地时间2日，在纽约州新冠肺炎疫情发布会上，对纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。（观察者网）青蜂侠Bee的秒拍视频
长春共青团,:#防控疫情我们同行#【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
新馬師曾,【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，各级财政安排疫情防控资金1087.5亿元，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
直播大同,#运城爆料#【山西运城“复工包机”登上央视《新闻联播》！
刘瑶,:#财政部表示群众不会因费用延误救治#关键时候还是要靠国家。这就是社会主义的好吧。
大连流动人口之家,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
新浪湖北,:#关注湖北新冠肺炎疫情#【湖北外连续两日无死亡病例火神山医院访IT系统女“护法”】#关注新冠肺炎#31省份新增确诊125例，其中湖北外新增11例，湖北外连续两日无死亡病例。严密高效的信息管理系统是指导医院有序开展救治工作的“神经中枢”，火神山医院信息管理技术人员们为打赢这场抗“疫”IT战，正日以继夜地工作，一起跟随记者去看看他们的生活。#万众一心抗击新冠肺炎#http://t.cn/A67CFm7u
辽视第一时间,:【好消息！1名新冠肺炎患者在沈阳出院】3月3日，又有1名新冠肺炎患者在辽宁省新型冠状病毒肺炎集中救治沈阳中心出院。至此，该中心已累计治愈出院51人，沈阳市累计治愈出院52人。该患者是来自鞍山的新冠肺炎病例，依据集中救治原则，于2月7日由鞍山市传染病院经120转运至沈阳中心治疗。在院期间，经省、市级专家多次会诊及负压科室医生充分讨论，制定了个体化的综合治疗方案，给予抗病毒、抗感染、调节免疫、中药、营养支持及心理疏导等系列治疗，患者病情逐渐好转。目前，该患者体温正常超过3天，咳嗽咳痰症状消失，肺CT影像学明显改善，且连续两次呼吸道标本核酸检测为阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》出院标准。经专家组评估，同意其办理出院，并告知其要按照规定在当地医疗卫生机构监管下继续进行14天医学观察和定期跟踪随访。（@人民网辽宁频道）
陕西监狱,:#大墙抗疫#【关中监狱与咸阳市渭城区搭建疫情联防联控机制】3月2日，省监狱管理局副局长柳万立带领关中监狱有关同志，与咸阳市渭城区区长田地及区疫情指挥部相关负责同志在渭城区行政中心召开疫情防控联席会议。会议确定按照属地管理原则，将关中监狱疫情防控工作纳入当地防控总体规划，成立疫情防控联合领导小组，建立信息通报、共享、反馈和处置机制。3月3日，渭城区政府副区长刘云江应邀带队来到关中监狱进行现场办公，就疫情防控工作进一步协调部署。会议要求卫健部门配合做好隔离观察场所疫情防控指导工作，确定定点医疗救治医院。公安部门做好刑释人员隔离观察场所及人员的治安防范，安排警力常驻隔离点。市场监管局联系并确定集中隔离观察场所等。
新浪湖北,:#关注湖北新冠肺炎疫情#【湖北省副省长：#湖北消化存量任务依然艰巨#】3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。#万众一心抗击新冠肺炎#
医药卫生报,:河南省新冠肺炎疫情防控专题第二十二场新闻发布会召开河南新冠肺炎治愈率为96.1%本报讯（记者杨冬冬刘旸）3月3日下午，记者从省政府新闻办召开的河南省新冠肺炎疫情防控专题第二十二场新闻发布会上获悉，目前全省新冠肺炎治愈率为96.1%，中医诊疗指导重症、危重症患者率100%。河南省卫生健康委员会副主任张若石介绍了全省疫情防控最新进展情况。省委宣传部副部长方启雄主持发布会。张若石说，疫情防控涉及多领域、多层次、多方面，在这场横向到边、纵向到底的疫情防控体系里，每个人都是“共建、共治、共享”的一分子。目前，河南省已有7个省辖市新冠肺炎患者清零，全省新冠肺炎治愈率为96.1%。在院治疗患者中有轻症病例20例，重症病例5例，危重病例2例。全省全力救治重症和危重症患者，进一步加强整体护理，充分发挥医疗与护理的协同作用。郑州大学第一附属医院、河南省人民医院先后投入百余台设备，有三批次累计千余名医护人员参与救治，涉及呼吸科、传染科、重症监护等多学科；共采集31位新冠肺炎康复者恢复期血浆11200毫升，用于21名患者的救治。中医诊疗指导重症、危重症患者率100%。张若石说，现阶段医疗救治成绩的取得，离不开全省广大白衣战士的牺牲和奉献。全省86万卫生健康工作者担当白衣天使使命，取消节假日，全员上阵守岗，义无反顾、冲锋陷阵，舍小家、为大家，与时间赛跑，与病魔斗争，始终奋战在抗疫一线，用生命守护生命。每个人做好自我防护，落实好联防联控措施，就是对新时代最可爱的人最好的回报。不能因为某个环节出现问题，引发连锁反应而“一失万无”。3月2日，省新冠肺炎疫情防控工作监督举报电话共受理群众来电176件，其中投诉举报类85件、疫情咨询类88件，其他类3件。截至目前，累计受理群众来电4589件，均已及时回复或转交有关省辖市疫情防控领导机构核查处理。
正义南康,:#新型冠状病毒感染肺炎#【新华社评论员：群众需求在哪里，共产党人的身影就应出现在哪里】把人民群众生命安全和身体健康放在第一位，是疫情防控的根本要求，也是共产党人政治本色的集中体现。群众的需求在哪里，群众的呼声在哪里，共产党人的身影就应该出现在哪里。从救治患者的病房，到城乡社区，再到百姓的“米袋子”“菜篮子”，无不是为群众排忧解难的考场。只有心系人民的安危冷暖，及时解决群众所急所忧所思所盼，才能取信于民。http://t.cn/A67Nh1Ky
