有实话就说,【#韩国大邱一确诊者混入长队买口罩#，接受采访称：早上刚确诊
重庆法制报,:【疫情当前，重庆“云”法院给这个医院批了1.07亿】2020年伊始，新型冠状病毒感染肺炎疫情暴发，重庆市三级法院大力推行互联网办案，依托重庆智慧法院的“易诉”“易审”“易解”“易达”“法智云”等平台，为当事人在疫情期间的在线诉讼提供了一系列的“云操作”。“云攻略”：足不出户打官司“新型冠状病毒感染肺炎疫情防控期间，为了保护您及家人身体健康，如果需要在重庆法院办理诉讼和信访事务，建议首选通过网络办理。”2020年2月2日，重庆市高级人民法院官方微信号的一条推送《足不出户也能打官司！攻略来了》刷爆朋友圈。有网友留言称：“这是一个非常‘健康’又方便群众的好办法！高！”这份攻略将网上立案、网上缴费、网上提交证据、网上文书送达、网上审判流程信息查询、网上申诉信访等操作流程，以图文并茂的方式展现出来，为当事人和律师在疫情防控的关键时期如何开展网上诉讼指明了方向。“为了让当事人在线上顺利办理各项诉讼事务，我们费了不少心思。”重庆高院立案一庭审判员黄新木告诉记者，他和同事们积极筹备，收集整理了《易诉平台操作流程》《易解平台在线调解操作手册》《重庆移动微法院操作流程》《中国审判流程信息公开微信公众号和小程序演示动画》等材料，并多次联系相关技术公司确认平台各项功能。为了方便老百姓阅读、理解，黄新木和宣传处工作人员吴辉几易其稿，将冷冰冰的文字转为图文并茂的攻略，为老百姓在家中办理网上立案、网上申诉信访等事项提供了具体形象的图文指导。据统计，自节后上班以来，重庆市三级法院累计审核网上立案申请9410件，受理调解申请2938件，网上开庭556件，网上调解500件，累计接听12368及诉讼服务电话咨询18868个，通过微信为百余名当事人、律师提供网上立案技术支持。“云立案”：跨域立案更方便“在疫情这么严重的特殊时期，谢谢你们为农民工办了大实事！”2月13日，巫溪县人民法院立案庭接到了当事人汤某打来的致谢电话。1月26日，汤某给巫溪法院立案庭打来求助电话。原来，汤某在海南省万宁市某工地上务工时受伤，万宁市劳动人事仲裁委员会裁决驳回了汤某的仲裁请求。汤某于1月21日收到仲裁裁定书，按照规定，他必须在2月5日前向万宁市人民法院提交诉讼材料，否则将超过诉讼时效。但当前正值疫情防控的关键时期，交通不便、快递停运、法院延迟上班，这让汤某焦急万分。接到电话后，巫溪法院立案庭工作人员立即登录跨域连平台，联系了万宁法院立案庭，得知万宁法院将于2月3日上班。于是，2月3日，巫溪法院立案庭再一次联系万宁法院，通过跨域立案平台向其提交材料。但因网络不畅，多次传送失败，立案庭工作人员又联系了重庆高院，几经辗转，当天下午，汤某的立案材料终于提交至万宁法院，并最终成功立案。“云审判”：隔空审判化解纠纷2月11日下午，在潼南区人民法院215办公室内，身着法袍、戴着口罩的女法官刘芯妍和书记员一起，与当事人进行了一场“零接触式”的隔空庭审。这是一起探望权纠纷案。原告明某与被告何某原系夫妻关系，双方婚后生有一女。二人离婚后，何某将女儿带回潼南区抚养，明某每月给付抚养费。明某数次前往潼南探视女儿，并欲将女儿带去外地玩耍，但何某以不利于女儿成长为由，拒绝明某的要求，双方因此发生纠纷。1月6日，明某诉至潼南区法院，请求判决何某协助明某行使探视权。被告身在潼南，原告远在四川，当事人到法院开庭存在一定风险。在征求双方当事人同意后，刘芯妍专门建立了一个QQ群，远程开庭审理该案。庭审中，分处四地的法官、原告、被告、双方诉讼代理人和被告的证人依托在线视频实时对话，规范有序地完成核对当事人信息、法庭调查、法庭辩论和最后陈述等法定程序。庭审在30分钟内就顺利结束，并进行了全程同步录音录像。庭审结束后，刘芯妍立即拟写法律文书，于2月12日再次视频连线双方当事人，对该案进行公开宣判：明某每年寒假与女儿一起生活7天，暑假生活10天，由何某予以协助。随后，判决书以网络电子送达方式送达给了双方当事人。“云执行”：解冻资金助战“疫”“感谢重庆高中两级法院及时高效为我们办理解冻，这下抗疫资金有保障了！”2月14日，重庆医科大学附属第三医院（以下简称“重医大附三院”）相关负责人激动地对重庆市第一中级人民法院执行法官表示感谢。此前，重庆一中院依申请人申请冻结了重医大附三院1.07亿元涉诉资金。疫情暴发以来，重医大附三院成为了渝北区仅有的两家新冠肺炎医疗救治定点医院之一，还派出了医疗专家赴鄂援助。抗疫工作使得该院资金极度紧张，亟须现金购买抗疫设备物资及支付医护人员工资报酬。情急之下，重医大附三院向法院提出申请，以自有相应价值的医疗设备作为担保，申请置换账户资金投入抗疫工作。特事特办！由于该案已经上诉至重庆高院，正在二审审理过程中，重庆一中院迅速将申请资料通过网络报送重庆高院。重庆高院当即作出裁定，依法指定重庆一中院办理此事，并通过网络视频对案件办理进行指导。经过网络专题会研究讨论，法院认为疫情系突发重大卫生安全事件，重医大附三院作为医疗救治定点医院，承担着特殊任务，其申请符合法律规定，应予支持。在综合评估重医大附三院提供的医疗设备购买价格、折旧、变现等因素及医院短期资金缺口情况，并兼顾保全申请人权利的基础上，法院准予对重医大附三院部分被冻结银行存款4043万元予以解除冻结。裁定作出当日，重庆一中院执行干警立即赶到银行完成解冻工作，医院的防疫工作及时得到了资金支持。“云调解”：及时兑现合法权益“感谢法院在非常时期能为我主持公道！”2月14日，身在四川省邻水县的杨某通过视频向重庆市第五中级人民法院法官表达了感谢。杨某是一起劳动争议纠纷案件的当事人，在四川某建设公司承建的重庆市南岸区某项目工地从事焊工工作。2019年4月，杨某在工作时受伤，经认定属工伤，且达到九级伤残。为了及时保护杨某受工伤后应享有的合法权益，不让公平正义因疫情而迟延兑现，该案承办人、重庆五中院民四庭法官苏渝在征得双方当事人同意后，决定利用互联网法庭及时审理该案。2月14日，苏渝和身处邻水的杨某、身处成都的用人单位代理人赖某一起登录互联网法庭。在听取双方当事人充分发表的诉辩意见后，苏渝发现双方的分歧并不大，遂立即组织双方进行调解，最终成功促成当事人达成了调解协议，由四川某建设公司支付杨某各项工伤保险待遇共计13.5万元。“云听证”：网上听证秩序井然2月17日，刚成立不久的重庆破产法庭首次通过互联网法庭进行听证，审查伏某对重庆某医药股份有限公司的破产清算申请。当天上午，伏某本人及公司部分股东的委托代理人以网络视频方式参加听证，该公司经公告传唤未有代表参加听证。法庭听取了伏某的申请理由和公司股东意见，通过网络视频出示质证了当事人所举证据，调查询问了相关案件事实，尤其调查了公司目前的经营情况及是否与疫情防控有关，并听取了各方最后陈述意见。听证结束，法庭决定由合议庭评议后再作出裁定。整个过程秩序井然，音质画质流畅清晰，信息传输到位。“云服务”：在线诉讼全面推行2月21日，重庆高院、重庆市司法局和重庆市律师协会联合发出《关于全面推行在线诉讼服务充分保障当事人诉讼权利的通知》（以下简称《通知》），明确了将在疫情防控期间以及今后一个时期全面推行在线诉讼服务工作。“这个《通知》下发，为重庆广大法官、律师、基层法律服务工作者和案件当事人在线参与诉讼活动，提供了指引。”重庆高院相关负责人告诉记者，当事人足不出户即可完成立案申请、诉讼交费、参与调解、证据交换、远程庭审、文书送达等诉讼事项。为保证网上庭审的质量，《通知》还对线上一系列的操作规程进行了细化：在线庭审活动一律以在线视频方式进行，不得采取书面或者语音方式。要通过语音识别技术同步生成庭审电子笔录，由审判人员、法官助理、书记员、当事人及其他诉讼参与人等在线确认，确保在线庭审活动效力。在线庭审中法官一般应当在法庭内；确需在其他场所在线开庭的，应当报请本院院长同意，并保证开庭场所庄重严肃、庭审礼仪规范。在线庭审应当遵循诉讼法律及司法解释的相关规定，充分保障当事人申请回避、举证、质证、陈述、辩论等诉讼权利……据介绍，这份全面推行在线服务的《通知》仅是重庆高院为应对疫情下发的众多文件中的一份。自疫情暴发以来，重庆高院接连下发了《关于疫情防控期间诉讼服务和申诉信访工作的通知》《关于严惩危害疫情防控犯罪行为的通知》《关于疫情防控期间办理保全查封工作的通知》《关于做好疫情防控期间破产审判工作的通知》《关于为依法防控疫情与经济社会平稳发展提供司法保障的意见》等一系列文件，并与市检察院、市公安局、市司法局联合发布《关于依法严惩妨害新型冠状病毒感染肺炎疫情防控违法犯罪的通告》《关于依法惩治妨害新型冠状病毒肺炎疫情防控违法犯罪的实施意见》。“疫情当前，重庆法院将继续一手抓防控，一手抓审判，两手都不能软，为打赢疫情防控阻击战提供强有力的司法保障和服务。”重庆高院负责人表示。@重庆高院
星语HL,:【恐怖！#韩国定点发售口罩现场人山人海#一确诊患者排队买口罩引恐慌】#韩国一确诊者排长队买口罩#据韩联社报道，韩国政府2日在邮局、药店、超市等官方定点销售处销售588万个口罩，每人限购5个，现场人挤人。一50岁男子在排队时自言自语道：“我是确诊者，我是来买口罩的”，随后被举报带走，被发现是确诊者。截至当地时间3日下午4时，#韩国累计确诊新冠肺炎5186例#。@时间视频http://t.cn/A67NRzeg
古龙猎庄实盘,:市场高标：还剩下宏润建设，克劳斯，汉中精机，淘汰了一个斯莱克。明天的话，克劳斯就继续不参与了，这个今天大长腿主要是疫情的轮动，但昨天这个股回封很强，今天没给开盘的溢价，说明内生动力不太够了，道恩股份尾盘也炸板了，我觉得口罩明天还是不接了，汉中精机如果今天买到了，明天也就不去了。另外-一个宏润建设，明天应该是继续买不到的节奏，这个就不看了。而且这个股估计明天再来个一字，后天也就差不多了，炸板走弱就考虑止盈为主。
芒辰安徽,:【#韩国大邱一确诊者混入长队买口罩#，接受采访称：早上刚确诊
广州新闻电台FM962,:【男子脸太大口罩戴不全民警上前提醒发现是个网逃】#逃犯因脸太大戴不全口罩落网#2月21日，江苏昆山一名男子逛超市时口罩没戴全，民警上前提醒发现是他的脸太大，男子始终躲躲闪闪。经查，该男子因涉嫌盗窃被网上追逃，平时不出门，防疫期间因生活用品耗光外出购物。@江苏新闻http://t.cn/A67NrgMA
黄冈政府门户网,:#万众一心抗击新冠肺炎#【陈家伟检查指导黄冈师范学院疫情防控工作】3月1日，黄冈市委常委、统战部部长、市防控指挥部物资保障和接收捐赠组组长陈家伟一行到黄冈师范学院检查指导疫情防控工作，亲切看望一线工作人员，高度肯定了该校的物资储备和管理工作。陈家伟先后深入到黄冈师范学院防控指挥部和物资仓库，详细了解值班值守、日常消毒和防控物资管理情况，重点检查了物资仓库的安全。陈家伟逐一查看了仓库各项安全措施，并结合近期黄梅"村民误食消毒片"的案例，着重强调了物资使用的安全教育、管理等工作。陈家伟高度肯定了该校在做好自身防控工作的同时，主动参与黄冈保卫战，为黄冈市募集、联系了大批抗疫物资，特别是克服重重困难承担了为黄冈市集中隔离点供餐艰巨任务，为黄冈市疫情防控作出了显著贡献。他说，黄冈师范学院疫情防控物资储备保障有力、管理科学、精准发放，为教职工发放了"六个一"疫情防护套装，为每位学生准备了口罩、手套、体温计，给每个寝室配备消毒喷壶和酒精消毒液，充分体现了学校党委把广大师生生命安全和身体健康放在第一位的责任担当，充分展示了黄师人昂扬的战时工作作风，希望学校全体教职工继续努力，坚决打赢疫情防控阻击战。
古镇珠山发布,:#众志成城抗疫情#【珠山区珠山街道御窑社区：老党员的捐款】#抗疫一线江西党员勇争先##爱心守望情暖赣鄱#近日，珠山街道御窑社区出现这样一幕：一位身材矮小、面戴口罩的老者走进居民服务大厅，递给社区工作人员一个红包，老者说道：“我知道你们非常忙，这段时间我和家人也一直在家中，这次出来找你们，就是希望你们接受我这个老同志的一点心意，我捐款600元，为疫情防控工作尽点力”。来社区捐款正是御窑社区的一名老党员余恂开，老人今年86岁，是一位尿毒症患者。余恂开老人非常关心、支持社区的工作，作为御窑社区的党员志愿者，他积极参与社区公益活动，去年“双创双修”及城乡环境整治工作中，老人就力所能及帮助社区发放宣传单，宣传、动员居民参与创建工作，配合清理垃圾广告等。御窑社区也非常关心余恂开老人，逢年过节和七一期间，珠山街道和御窑社区都会看望老人，关心他的身体。老人非常感恩党和政府，他说：我是一名高龄尿毒症患者，做透析已有十余年里，是我们的党和政府的好政策让我免费做血透，我能够活到今天，真的是感谢我们的党，现在全国人民都在抗击疫情，我也尽一点菲薄之力，希望我们万众一心早日战胜疫情。http://t.cn/A67pz5Nk
中国禁毒在线,:这才是真正的#口罩也挡不住的颜值#【透过防护服也能认出你，#火神山的大眼睛医生#】火神山医院感染二科一病区主任董宇超，被患者亲切称为“大眼睛医生”。在他的“紧盯”下，不少患者病情明显好转。在抗“疫”一线，他带领50名医护全力救治80多例患者，无一人转向危重症或病亡。在患者出院证明上郑重签下名字，他说，这就是最好的回报。http://t.cn/A67NfthA@人民日报
广东川田卫生用品卫生巾男侯松林,:侯松林，13590912876，广东川田卫生用品有限公司。中国卫生巾十大品牌商NPD新品开发部项目总经理、采购总经理、研发总经理、品质总经理、销售总经理、产品总经理、财务总经理、投资总经理、法务总经理、HR人力资源总经理、行政总经理、计划总经理、设计总经理、策划总经理、市场总经理、供应链总经理认可的大品牌口罩、卫生巾OEM代加工厂家。http://t.cn/z8UK11u
换昵称是个难题,:我常常被自己的口误逗笑昨天特别想吃麻辣之类的垃圾食品还是最低端的那种由于疫情小卖部在门口横个了冰箱你需要什么告诉老板就行了昨天暴雨说话输出全靠吼我：我要一包麻辣王子！一包周氏香油条！还要一包臭小子香干！老板：没有臭小子只有傻小子！我：哦那就要傻小子！口罩之下的我被自己逗笑了时而笑点低时而笑点高总是被这种莫名其妙的点戳中笑穴
一点通讯,:#关注新冠肺炎##法国举行数万人罢工游行##法国累计确诊130例新冠肺炎#【疫情之中数万人聚集，法国举行罢工游行】不戴口罩，没有防护，数万名法国人走上街头，聚集在巴黎波旁宫外进行罢工游行，抗议新生效的退休金改革法案。目前，法国有130例确诊新冠病人，半数以上属聚集性感染，卢浮宫被迫闭馆，但法国各大工会依旧呼吁反对者今天走上街头。http://t.cn/A67NdnwO.
南海网椰视频,:【#白血病家庭陷口罩危机#：家人之间换着用盼厂家以出厂价供货】河北燕达陆道培医院因治疗白血病闻名全国，约有500名患者在这里住院治疗。放化疗期间以及刚做完骨髓移植的患者身体免疫力差，需时刻佩戴口罩。目前因为口罩紧缺，许多患者只能一天换一次口罩。有的患儿换下口罩，妈妈接着再戴两天。@新京报我们视频http://t.cn/A67NuoeX
平安洛宁,:#抗击疫情公安在行动#【顶风作案，严惩不贷！两男子涉口罩诈骗近10万元被抓后：名声坏了以后怎么混】戳穿诈骗新伎俩！#剑指诈骗#近日，湖北孝感应城市公安局在24小时内成功破获多起涉疫口罩诈骗案，先后抓获2名犯罪嫌疑人，涉案金额近10万元。面对民警视频取证，一名嫌疑人连忙捂脸躲避，害怕自己的形象被发布到网上，称“以后还要在应城混的，名声搞坏了怎么办”。目前，案件在进一步侦办中。安哥：早知今日何必当初！@平安洛宁提醒点击链接详看涨姿势http://t.cn/A67au7Rc#疫情当前警察不退#提高警惕，谨防中招！转发！@平安湖北@河南法治频道@人民公安报@新华视点@中国警察网@公安部交通管理局@法制日报@新华网@央视新闻@人民网@人民日报@中国长安网@中国警方在线@警民携手同行@法制网@平安中原@平安洛阳
股票情报员周周,:有些铁粉屁股不大，今天买口罩概念，明天买医药概念，后天又看上了银行板块，当天晚上隔壁老王又告诉他某某股票有利好，偶尔翻了一下自媒体，又看到有人推荐别的牛股，自选股越来越多，每次大大涨的股票反而没有买，买入的反而就是不涨，干脆就多买一点
梅州电台新闻台,:【梅城：小区仍坚持24小时值班做好疫情防控确保住户安全】尽管我市持续一段时间没有出现新冠肺炎确诊病例，但是梅城各小区的疫情防控工作不敢放松，仍然坚持24小时值班，做好测量体温登记以及小区消毒工作，确保住户安全。请看具体报道。记者在江南一小区采访时看到，小区保安对进入小区的每一个人都进行测量体温；非本小区的住户一律拒绝进入。该小区物业主管杨女士说，在没有接到上级通知之前，他们小区的疫情防控工作，继续严格按照以前的规定进行管理，确保大家安全。（出录音：不敢放过，每一个人进入都测体温，外来人员都不准进入小区。我们的保安24小时都值班测体温。如果发现特殊情况，我们会向居委或江南办事处汇报。即使是从外面回来的住户，我们也会向居委汇报。居委会及时跟踪。我们现在每天都有消毒，用84的消毒液。保洁阿姨每天都分工好，每天消毒好几次。）对于小区物业严格做好疫情防控工作，住户对此也非常理解。朱小姐：（出录音：小区物业消毒以及出入时都有测体温还是一样比较严格，这样对我们住户来说是比较安全。）不过，现在有些市民防控的弦也有放松的迹象一些，比如出门不戴口罩，或是戴了口罩也是把口罩拉到下巴处，走在大街上，这种现象时有可见；对拒绝外来人进入小区不理解等。物业主管杨女士：（出录音：今天上午有业主的亲戚送东西，不给进，在保安亭骂人。我们还是一样，在没有收到通知之前，是不给外人进入的。）目前，疫情还没结束，希望广大市民要配合政府各部门做好防控工作，这既是为大家好，也是为自己好。
光明日报,:#防疫一线见闻#【#俄罗斯图拉州政府向宁夏捐赠口罩#】3月3日，由俄罗斯图拉州政府向宁夏捐赠的24350只3M口罩从莫斯科经北京顺利运抵银川。宁夏与俄罗斯图拉州正式建立友好区州关系刚刚4个月，但两地联系密切，建立了深厚友谊。在俄罗斯同样面临疫情风险的情况下，图拉州积极动员社会力量，直接向口罩生产厂家订货，购买这批急需的防疫物资捐赠给宁夏。（光明日报全媒体记者张文攀）
腾讯财经,:【#口罩熔喷布#俩月暴涨20倍，企业“等米下锅”，先拜求，再叩求，最后跪求】疫情发生后，原来价格在1万-3万之间的熔喷布，已涨价至少10倍，有些中间商甚至要价40万元／吨。河南长垣市某口罩企业因库存用完，口罩生产面临停摆。最终，该企业负责人“拜求、叩求、跪求”，才获得某熔喷布生产厂以每日1吨的供货量，每吨价格22万元。详情：http://t.cn/A67NFhRO
吕昂59744,:#伊朗新增新冠肺炎病例835例#曾经第一个在中国疫情初期便援助中国的伊朗，如今也爆发了疫情，而中国立刻硬核回援，已向伊朗卫生和医疗教育部捐赠了25万只口罩和5000个试剂盒。现在伊朗疫情到了严重的地步，这正是我们受人滴水之恩，当以涌泉相报之时。志合者，不以山海为远，祝愿英雄的伊朗人民早日战胜疫情，病毒无国界，疫情无种族。团结，唯有团结，才是战胜病毒的唯一途径。
佛教慧录,:“请问这里能过去吗？”“你有通行证吗？”“有”“请走那边，绕过那个停车场”工作值班人员一面指路一面说。。。。今天骑着借来的小电瓶就这样寻寻问问为六家单位送去了护目镜。（中途还因电瓶车没电了用脚划行磨破了防护服）捐赠护目镜，承载着我们企业的一份责任，带去的是给值班人员对疫情恐惧的一份安慰。“我们不缺口罩，不缺防护服，不缺手套，就缺一副护目镜，这对我们外出执班又多了一份安全感，可以更好地出行了”当一主任接到我们捐赠的护目镜兴奋地说。自2月6号以来我们就一直在传递我们视佳医眼科集团的爱心接力棒，为仙桃多家医疗机构赠送护目镜等物资。希望疫情早日攻克，但愿大家一切平安！
司家小菲,:#减肥大作战##减肥打卡#减肥的第42天，2020年3月3日
云南大学,:#小云分享[超话]##抗击疫情高校在行动#【众志成城抗击疫情：云大学子在行动】杨连斌，云南大学职业与继续教育学院2018级旅游管理专业本科生。作为一名入党积极分子，在这场给防疫工作中积极响应德宏州梁河县芒东镇清平委会清平村的防疫工作号召，主动申请加入由该村党员组成的护村队当中担任志愿者，协助该村护村队员开展防疫工作。单玉涛，云南大学职业与继续教育学院2018级汉语言文学（文秘教育）专业本科生。该同学积极参加返乡大学生青春志愿服务队，投身乡镇疫情防控工作。配合党员、村组干部，通过发放疫情防控宣传资料、轮班值守各村卡口点、劝诫不戴口罩和聚众村民、上门提供宣传解说等多种方式，共同参与全村战“疫”，把防疫工作“严”伸到村组各条巷道和家家户户，筑牢疫情联防联控青春垒。文宇倩，云南大学生态学与环境学院2019级本科生，从2020年1月25日大理州出现首例新型冠状病毒感染者开始，就主动加入了云南省大理市银苍社区抗击疫情的队伍。作为一名志愿者，她的主要任务是同社区工作人员进行入户宣传，发放宣传资料，遇到高龄老人时进行一对一的讲解;对社区管辖的酒店与客栈进行定期的安全排查；对公共厕所、城中村、各街道进行消毒。截止2月20日文宇倩跟随其他工作人员共计发出宣传资料1800余份，参与入户调查500余户，喷洒消毒水1.8吨。
孝感晚报,:#我们共度难关孝感加油#【周小芳：政协委员在“疫”线】“从除夕那天起，你就在村里了，还没回去?”3月2日，在应城市义和镇丁咀村贫困户家中，丁友芝（化名）问正在进行第四轮全员摸排的驻村干部周小芳。周小芳一边递口罩一边说：“婶娘，疫情不退，我们是不会回去的……”作为一名应城市的政协委员，这是周小芳驻村防控的第39天，虽然是镇里唯一的女驻村干部，但她39天里从未要求过调岗、从未要求过回家。尽管丈夫也在村里防控，尽管家中老人需要照顾，尽管女同志驻村不如男同志方便，但她仍然咬紧牙关坚持了下来。丁咀村是义和镇街道村，摸排总人数有1723人，其中武汉返乡271人，因人口密集，所以工作量就特别大。周小芳每日与队员们除发放口罩、入户排查、测量体温、政策宣传、值守卡口、代购物资外，还要利用晚上的时间填写报表、访贫困户。虽然田野上的油菜花已经盛开，她却无暇欣赏。她乐观地说：“严冬已经过去，春暖花开日子也快到了！”疫情发生后，应城市广大政协委员分赴一线开展疫情防控工作，为打赢疫情防控阻击战贡献政协力量。除了周小芳，还有张四明、余建国等100多名委员。不仅仅是防控，还有奋战在救治一线的姚海泉、田凤琴等，踊跃捐款捐物的万敏、陈雄等，积极协调解决群众诉求的冯辉、张超等，为疫情防控提供“金点子”的吴高珍、张灵霞等……据不完全统计，应城市政协251名委员中有90%以上为疫情防控战贡献着智慧与力量，以逆行之姿生动诠释着“为国履职、为民尽责”的情怀。（记者蒋润涛通讯员吴高珍）
EtonHouse新加坡伊顿官方微博,:#她世界，她力量#戴口罩，少见面，保持距离…这些措施有效地隔离了病毒，但也拉开了人与人之间的距离，让每一个拥抱都显得弥足珍贵！有这样一群人，她们用独有的温柔与坚强、智慧与勇敢在各条战线上撑起了半边天。让我们借着即将到来的“3.8妇女节”向我们身边的女性伸出温暖的双手，献上#爱的抱抱#，致敬我们身边的“她力量”！#爱的抱抱#线上征集活动参与人员：-您可以是家长、孩子、教育工作者…欢迎所有人一同来庆祝这个特殊的日子。参与方式：-拥抱一位或多位女性（妈妈、外婆、姐妹、老师…）并拍照。-将照片发送至100languages@etonhouse.com.cn，或关注公众号直接在公众号后台发送照片-建议拍摄竖版照片-发挥你的创意，照片可以平凡温暖，可以搞怪可爱
医生wj,:今天早上起来，头就不太舒服，上午一直测体温，最高37℃，下午去看了一下胃，回到家就感觉有点发烧，体温最高37.3℃。镇平已经二十多天没有新发病例了，我也就去小超市买了几趟东西，全程戴着口罩，回家仔细消杀。现在吃了药，体温降下来了，就是头疼。希望自己不要有事，昨天还去见了对象，还在他家吃了饭。下午满满的内疚感，真的不要有事啊🙏🙏🙏http://t.cn/R2WxQZF
重庆大足法院,:#战疫补给站#很多家长提到在不得已带孩子出门的时候，宝贝们很不喜欢戴口罩，爸爸妈妈们不知道用什么样的方式跟宝贝沟通。你最需要，我们知道～快带你家宝贝一起，听听这首@月亮姐姐moon和@土豆王国小乐队唱的《口罩歌》！让宝贝们主动戴上小口罩，原来一首歌就能搞定！http://t.cn/A67NM7NF
酒泉日报,:#抗击疫情#【防控不放松，让我们再坚持一下】本报记者郭军这几天，酒泉的窗外春光大好，阳光明媚，天气好到让人心花怒放，沉寂许久的居民一个又一个走出家门走向街头，更让人惊讶的是，走出去的人竟然还有不戴口罩的。酒泉城区的情况究竟如何，有些人是否还有麻痹大意的思想？3月3日，记者在酒泉街头看到的情况不容乐观。记者在城区晋城路由南向北一路走去，不戴口罩或不规范戴口罩的行人并不少见。来到南大街，就能看到有更多的人聚在一起闲聊，有的干脆不戴口罩。南大街彩虹桥市场门前人员更为密集，不戴口罩的人也随处可见。在南大街一糕点店前，记者发现这里并没有严格按照排队线排队购物。工作人员佩戴口罩也不规范，有一名工作人员的口罩只是罩在下巴处。所售的食品也随意摆放在柜台上，既不用玻璃罩罩住，也不用其他防护措施，购物者在食品前走来走去，食品安全着实令人担忧。在汉唐美食街，更是让人担忧，这里好像没有了前些天紧张的气氛。在这里记者看到，只有红牡丹餐饮等不多的几家在很好地执行有关复工复产的要求，大多数店家门前的排队等待线都形同虚设，有的几乎就成了形式。在鼓楼四周，在夜光杯广场，人员更为集中，特别是许多老人都在这里聚集聊天，毫无防范意识。一路向东，不管是东关十字，还是公园路上的小广场，人员扎堆、不做防护的情况也是常态。当前疫情形势依然严峻复杂，防控正处在最吃劲的关键阶段。要严格按照市委市政府统一部署，进一步增强必胜信心和优患意识，在做好自我防护的前提下，继续发扬不畏艰险、冲锋在前的工作作风，落实好中央、省市委各项宣传任务，为全面打赢打好疫情防控阻击战作出更大的贡献。拐点尚未到来，新冠肺炎疫情一日未竟全功，防控之弦便一刻不能松劲。提醒广大市民，要尽可能避免聚餐、购物、串门、逛街、喝茶、打牌等聚集活动，防止过于乐观、放松警惕，出现麻痹大意。虽然防疫工作已经取得阶段性胜利，但是为了不让所有人的努力白费，我们需要自我约束，也需要继续坚持。要相信，只要热爱、守望并坚信，春暖花开的美好，我们一定不会错过！
路边卑微的野草,:#新型冠状病毒##健康#疫情期间如何乘坐出租车、网约车？/专家建议疫情期间首选步行、自行车或私家车出行，如果乘坐出租车或网约车，需注意：①确保司机没有感染，司机全程戴口罩，做好体温监测；②司机要对车门把手、座椅等消毒；③若室外温度合适，行驶时尽量开窗；④乘客上车前开门2分钟，用消毒纸巾对可能接触的位置擦拭，全程戴口罩；⑤提倡电子付费。http://t.cn/R2Wx05s
撕白菜,:✨21点（日常提醒）【49.9】日本白元一次性口罩14片（121件）http://t.cn/A6PTA3A9（先入会）http://t.cn/A67wyngg【9.9】娇韵诗润白体验套装（100件）http://t.cn/A67wyngF（入会可领129-3）http://t.cn/A67wLab8【149】安慕斯一次性儿童日常防护口罩50片（899件）http://t.cn/A67wLabR（都可买5件）【2.5+8运】全棉时代一次性口罩2片（20件）http://t.cn/A6hOPszg【2.5+8运】全棉时代一次性口罩2片（300件）http://t.cn/A6hOPszd
宁夏政法,:【男子从广州到武汉探亲被困40天，拍视频记录疫区日常】#探亲被困40天视频记录疫区日常#1月21日，一男子从广州到武汉探亲，因疫情被困40多天。他每天拍楼下发生的事情，真实记录疫情下一个普通小区的日常。他说开始周围市民都不当回事，很少戴口罩，后来看到确诊人数越来越多开始焦虑，最难熬的是下雪天。#新型肺炎抗疫全记录#http://t.cn/A67CsbLY
每日上海,:【#张文宏谈复工#：不尽快复工，死亡率将高于新冠肺炎】针对近期网络上关于复工的讨论，张文宏医生认为其中一些过度解读造成一些复工群体和城市的恐慌。大家的忧虑在于大量复工人群涌入城市是否会造成疾病的蔓延，因而有人提出索性就不要复工了。但事实上在没有疾病爆发的区域，当地人群都做了比较充分的隔离，和其他发病率低的城市其实差异并不大。如果这种交流都不能有，那城市的停滞是很难经受得起的，大家没地方买菜、不能去医院……这时候的人口死亡率反而可能会高于新冠肺炎死亡率。张文宏医生认为，发病率低的城市复工是可以的，但也要采取措施，不要有大规模的集会。在疫情没有得到完全控制的时候，还是要戴口罩上班，勤洗手，不扎堆，电梯要经常消毒，办公空间要经常通风，只有做到这些防护条件，复工原则上才不至于会增加很大的风险。@小央视频http://t.cn/A67C8laK
是咖喱仔仔咯,:不管是自己在Kensington遇到的还是从朋友们口中转述听到被小屁孩们对着喊virus的经历都还是有点后怕也还是纠结出门到底要不要戴口罩但是今天34路公车上的女司机说了句takecaredarling还有刚刚exchanging看到仍然面带灿烂微笑的店员说cheers感觉一定是好人会更多的
喵儿小绿,:#我的20200303#每月一回顾，仍然没有摘下口罩😷，被口罩😷憋的满脸痘痘。小区🏘️门口强制执行电子通行证，所有个人信息彻彻底底上传。疫情结束后，希望政府认真思考🤔，提升国民素质，改善应急措施，各项制度不要仅仅只是停留在纸面上的制度而已。这次刹车是改善的良机。http://t.cn/RJyjtcN
