鱼山蚊,一线疾控医生的心声：请不要再骂我们了！疾控人的心声
环球会游子,:【广西预警中心】人员流动增加感染风险。要少外出，少乘公共交通工具，少聚集，少去密闭场所，坚持戴口罩、通风消毒、手清洁。自治区卫健委、疾控中心
医药卫生报,:长剑出鞘“疫”路消杀本报记者丁宏伟通讯员张翼翔黄芳赖长剑，汝南县疾控中心副主任。疫情发生后，作为一名疾控战线上的“老战士”，58岁的赖长剑出任疾控中心疫情防控工作领导小组副组长，专家组成员，消毒组组长。他积极带领消毒组队员投入到抗疫“战场”，执行最危险的“消”“杀”任务，牢牢筑起抗疫第一道防线。消毒杀菌是杀灭病原体，切断传播途径的重要手段。“消”“杀”就是直面病毒，到病人家中、病房内、密切接触者房间里、医院发热门诊、公共场所中开展工作。作为一名“消杀”老将，赖长剑十分清楚消杀工作的危险性，为保障消杀队员的安全，他按照特定场所消毒技术规范和不同阶段疫情防控要求，对消毒人员多次进行技术培训，严格要求队员按程序消杀。疫情以来，他每天坚持带领队员对城区车站、道路检查站卡点、疫情防控服务站、运送密切接触者和运送检测样品车辆等开展环境消毒工作。指导定点医院预检分诊和发热门诊、一线临床科室及隔离宾馆环境消杀。每次消杀，他都要去现场指导，查看消毒效果。他也常常穿着防护服，背着几十公斤重的消杀药液进行消杀和指导队员规范消杀。有时一轮消杀下来，需要5、6个小时，刺激的消毒剂会令人咽喉干痛，眼睛都睁不开。同事们担心他年龄大身体吃不消，劝他不用亲自操作消杀，他总是一笑了之，鼓励大家共同坚持完成任务。2月2日—5日，他带领队员深入到梁祝镇吴营村新冠肺炎确诊病例与疑似病例家中，与其家人和22名密切接触者面对面询问和宣教居家消毒方法和注意事项，签订医学告知书22份。从1月20日开始正式消杀以来，他和队员们未休息过一天。止2月24日他带队消毒370余次；紧急情况下的随时消毒20余次。对医学隔离观察点的消杀工作是否做到位，是考验防控能力的一个重要指标。针对新东方宾馆、新世纪宾馆两个医学隔离观察点化粪池流动的污水粪便的消毒问题，他通过现场查看分析，创新消毒方法，采取用储水罐加消毒液，储水罐的底部安装水龙头的方法，消毒液缓慢注入流动的污水中，确保了一天24小时对污水持续消毒的效果，得到了市、疫情防控督导组的肯定和好评，并加以推广。同时，他承担着全县消毒工作的技术指导。每天咨询电话不分昼夜、不计其数，他都一一耐心解答，悉心指导。他依托网络开展对全县卫生系统和其他系统的消毒人员进行了消毒药品的成分、含量、用途、配比方法等项目的网上培训；并在多个微信群和朋友圈发布各种消毒液配比计算公式，及时有效解决了消毒人员的技术难题。他还根据自己的消杀经验，亲自撰写印制《平煤神马次氯酸钠消毒剂使用说明》3000份，发到各乡镇、办事处与县直各单位，对全县消杀工作起到了很好的指导作用。疫情防控以来，赖长剑日夜奋战在抗疫消杀一线，身先士卒、不畏艰险、科学操作，带领消毒组圆满完成了疫情防控阶段性工作任务，用自己的实际行动诠释了一名共产党员的本色和使命担当。
医药卫生报,:漯河市疾控中心开展新冠疫情防控工作督导检查本报讯（记者王明杰通讯员朱爱红）漯河市疾控中心日前表示，2月29日，漯河市疾控中心党委书记带领市疾控中心疫情防控督导组成员奔赴郾城区进行实地督导检查，先后走访了郾城区疫情防控指挥部和三家养老机构进行了实地了解。督查组一行采用座谈、明察暗访、动态数据对照等“线上线下”相结合的方式，督促指导郾城区各相关部门一手抓好疫情防控，一手抓好本职工作，坚决克服麻痹思想、厌战情绪、侥幸心理、松劲心态，切实维护上一阶段成果，解决工作中出现的问题，坚决打赢疫情防控阻击战。在郾城区疫情防控指挥部，督导组召集区教育局、民政局、工信局、卫健委和疾控中心有关工作人员参加座谈。在充分听取区各部门的工作汇报后，督导组提出：区工信部门应与卫健部门加强信息沟通，及时交接微小企业复工信息；区民政部门和教育部门应加强与卫健部门的合作，做好辖区养老机构和教育机构的疫情防控工作和技术指导；区卫健部门应指导社区卫生服务中心、卫生院加强辖区微小企业复工指导。在对辖区三家养老机构的督导中，漯河市疾控中心发现普遍存在人员安全防护意识薄弱、口罩等防护物资不足、消毒液配比使用知识盲区等严重问题。督导组在及时反馈的基础上，对有关部门提出整改要求：要进一步细化各方面工作预案，层层压实责任，看住门、管住人，坚定信心，不存懈怠，不留盲区，全力保卫好疫情防控阵地；养老院等高危地点更应抓好疫情防控有关的知识普及和落实，确保不留隐患、不出问题。
青浦北野武,战争和传染病，哪一个造成的伤亡更大？在20世纪，各种大规模冲突导致近1.3亿人死亡，而同一时期传染性疾病造成的死亡人数是16.8亿，是战争死亡人数的近13倍。而且，在传染病领域，“别人的问题”就是自己的问题，只有世界通力合作才可能真正做好防控。#新冠肺炎#李一诺：病毒的世界观
健康时报,:没去过外地，也没接触过病例，可却患上了新冠肺炎。到底是如何感染上的呢？重庆市疾控中心专家宿昆进行了“福尔摩斯式”的分析。#无症状感染者也可能成为传染源#一例“离奇”的感染：没去外地、没接触过病例，一超市员工却感染了…
四川共青团,:#黄某英离汉进京事件调查结果#【#北京市回应黄某英离汉进京事件#：进京检查站、小区入口、市疾控中心均存在疏漏】详情↓↓↓央视新闻的微博视频
_新桥风_,:3月3日下午，上海市新冠肺炎疫情防控新闻发布会在市疾控中心举行。近期境外部分国家疫情正处于上升期，上海市长宁区虹桥街道有约2.6万境外人士，占实有人口比例较高。虹桥街道党工委书记胡煜昂在回答记者提问时表示，涉外居民区在执行好“守门+管人”精细化疫情防控的同时，对境内外居民一视同仁落实相关疫情防控措施。http://t.cn/A67NgU8c
环球会游子,:【广西预警中心】人员流动增加感染风险。要少外出，少乘公共交通工具，少聚集，少去密闭场所，坚持戴口罩、通风消毒、手清洁。自治区卫健委、疾控中心
医药卫生报,:长剑出鞘“疫”路消杀本报记者丁宏伟通讯员张翼翔黄芳赖长剑，汝南县疾控中心副主任。疫情发生后，作为一名疾控战线上的“老战士”，58岁的赖长剑出任疾控中心疫情防控工作领导小组副组长，专家组成员，消毒组组长。他积极带领消毒组队员投入到抗疫“战场”，执行最危险的“消”“杀”任务，牢牢筑起抗疫第一道防线。消毒杀菌是杀灭病原体，切断传播途径的重要手段。“消”“杀”就是直面病毒，到病人家中、病房内、密切接触者房间里、医院发热门诊、公共场所中开展工作。作为一名“消杀”老将，赖长剑十分清楚消杀工作的危险性，为保障消杀队员的安全，他按照特定场所消毒技术规范和不同阶段疫情防控要求，对消毒人员多次进行技术培训，严格要求队员按程序消杀。疫情以来，他每天坚持带领队员对城区车站、道路检查站卡点、疫情防控服务站、运送密切接触者和运送检测样品车辆等开展环境消毒工作。指导定点医院预检分诊和发热门诊、一线临床科室及隔离宾馆环境消杀。每次消杀，他都要去现场指导，查看消毒效果。他也常常穿着防护服，背着几十公斤重的消杀药液进行消杀和指导队员规范消杀。有时一轮消杀下来，需要5、6个小时，刺激的消毒剂会令人咽喉干痛，眼睛都睁不开。同事们担心他年龄大身体吃不消，劝他不用亲自操作消杀，他总是一笑了之，鼓励大家共同坚持完成任务。2月2日—5日，他带领队员深入到梁祝镇吴营村新冠肺炎确诊病例与疑似病例家中，与其家人和22名密切接触者面对面询问和宣教居家消毒方法和注意事项，签订医学告知书22份。从1月20日开始正式消杀以来，他和队员们未休息过一天。止2月24日他带队消毒370余次；紧急情况下的随时消毒20余次。对医学隔离观察点的消杀工作是否做到位，是考验防控能力的一个重要指标。针对新东方宾馆、新世纪宾馆两个医学隔离观察点化粪池流动的污水粪便的消毒问题，他通过现场查看分析，创新消毒方法，采取用储水罐加消毒液，储水罐的底部安装水龙头的方法，消毒液缓慢注入流动的污水中，确保了一天24小时对污水持续消毒的效果，得到了市、疫情防控督导组的肯定和好评，并加以推广。同时，他承担着全县消毒工作的技术指导。每天咨询电话不分昼夜、不计其数，他都一一耐心解答，悉心指导。他依托网络开展对全县卫生系统和其他系统的消毒人员进行了消毒药品的成分、含量、用途、配比方法等项目的网上培训；并在多个微信群和朋友圈发布各种消毒液配比计算公式，及时有效解决了消毒人员的技术难题。他还根据自己的消杀经验，亲自撰写印制《平煤神马次氯酸钠消毒剂使用说明》3000份，发到各乡镇、办事处与县直各单位，对全县消杀工作起到了很好的指导作用。疫情防控以来，赖长剑日夜奋战在抗疫消杀一线，身先士卒、不畏艰险、科学操作，带领消毒组圆满完成了疫情防控阶段性工作任务，用自己的实际行动诠释了一名共产党员的本色和使命担当。
医药卫生报,:漯河市疾控中心开展新冠疫情防控工作督导检查本报讯（记者王明杰通讯员朱爱红）漯河市疾控中心日前表示，2月29日，漯河市疾控中心党委书记带领市疾控中心疫情防控督导组成员奔赴郾城区进行实地督导检查，先后走访了郾城区疫情防控指挥部和三家养老机构进行了实地了解。督查组一行采用座谈、明察暗访、动态数据对照等“线上线下”相结合的方式，督促指导郾城区各相关部门一手抓好疫情防控，一手抓好本职工作，坚决克服麻痹思想、厌战情绪、侥幸心理、松劲心态，切实维护上一阶段成果，解决工作中出现的问题，坚决打赢疫情防控阻击战。在郾城区疫情防控指挥部，督导组召集区教育局、民政局、工信局、卫健委和疾控中心有关工作人员参加座谈。在充分听取区各部门的工作汇报后，督导组提出：区工信部门应与卫健部门加强信息沟通，及时交接微小企业复工信息；区民政部门和教育部门应加强与卫健部门的合作，做好辖区养老机构和教育机构的疫情防控工作和技术指导；区卫健部门应指导社区卫生服务中心、卫生院加强辖区微小企业复工指导。在对辖区三家养老机构的督导中，漯河市疾控中心发现普遍存在人员安全防护意识薄弱、口罩等防护物资不足、消毒液配比使用知识盲区等严重问题。督导组在及时反馈的基础上，对有关部门提出整改要求：要进一步细化各方面工作预案，层层压实责任，看住门、管住人，坚定信心，不存懈怠，不留盲区，全力保卫好疫情防控阵地；养老院等高危地点更应抓好疫情防控有关的知识普及和落实，确保不留隐患、不出问题。
青浦北野武,战争和传染病，哪一个造成的伤亡更大？在20世纪，各种大规模冲突导致近1.3亿人死亡，而同一时期传染性疾病造成的死亡人数是16.8亿，是战争死亡人数的近13倍。而且，在传染病领域，“别人的问题”就是自己的问题，只有世界通力合作才可能真正做好防控。#新冠肺炎#李一诺：病毒的世界观
健康时报,:没去过外地，也没接触过病例，可却患上了新冠肺炎。到底是如何感染上的呢？重庆市疾控中心专家宿昆进行了“福尔摩斯式”的分析。#无症状感染者也可能成为传染源#一例“离奇”的感染：没去外地、没接触过病例，一超市员工却感染了…
四川共青团,:#黄某英离汉进京事件调查结果#【#北京市回应黄某英离汉进京事件#：进京检查站、小区入口、市疾控中心均存在疏漏】详情↓↓↓央视新闻的微博视频
_新桥风_,:3月3日下午，上海市新冠肺炎疫情防控新闻发布会在市疾控中心举行。近期境外部分国家疫情正处于上升期，上海市长宁区虹桥街道有约2.6万境外人士，占实有人口比例较高。虹桥街道党工委书记胡煜昂在回答记者提问时表示，涉外居民区在执行好“守门+管人”精细化疫情防控的同时，对境内外居民一视同仁落实相关疫情防控措施。http://t.cn/A67NgU8c
河北体彩,:【#疫情期间疫苗如何接种#？】中国疾控中心研究员冯录召介绍：疫苗接种要坚持单独预约，分散接种原则。对于新生儿乙肝疫苗和卡介苗要及时完成接种，如果母亲是乙肝表面抗原阳性，新生儿第二针、第三针乙肝疫苗和接种单位预约后及时接种；狂犬病和破伤风疫苗是用于暴露后预防的疫苗，必须按照疫苗接种程序接种；如果所在社区发生社区传播疫苗，可暂停4种免疫疫苗之外的其他接种，等疫情结束之后进行补种，所在社区没有出现社区传播的，可根据当地卫生健康主管部门的安排进行接种。接种时戴口罩，尽量不去触摸医院的物品，不去揉眼睛。http://t.cn/A67Z2lv9
南宁新闻网,:【奋战30天！广西疾控中心首批援湖北勇士归来】众志成城抗疫情，打赢疫情防控阻击战。自治区疾控中心首批援湖北勇士邓丽丽、陆宝于3月1日下午轮换返回南宁。奋战30天！广西疾控中心首批援湖北勇士归来
江西新闻联播官博,:#南昌277处公共场所均未检出新冠病毒#在疫情期间，南昌市疾控中心应用轨迹热力图分析，不定期地持续在城区多个人流量较大的高风险区域开展环境监测，3月2日在对包括火车站、地铁站、商场等地277处样本进行新冠病毒核酸检测分析后，检测结果均为阴性。#联防联控江西在行动##抗击疫情江西在行动##爱心守望情暖赣鄱#http://t.cn/A67Nu1Ng
没有猫的小黄,:这个疫情我有点期待大梅和她们县疾控中心某工作人员侄子的故事了，毕竟微信都加上了🙊大梅想看他的照片，该如何提出来好呢
前进正月风,【专家复盘：“不明原因肺炎”上报失灵的背后】#周刊君与你共同战疫#中疾控传染病预防控制所病毒学家、复旦大学上海市公共卫生临床中心兼职教授张永振领导的团队于2019年12月26日收到来自武汉的不明原因发热患者标本一份。1月5日上午，他们从标本中检测出一种新型冠状病毒，获得了该病毒的全基因组序列。上海公卫临床中心在同日向国家卫健委提交了一份病原学调查报告。报告指出：鉴于该病毒与造成SARS疫情的冠状病毒同源，应是经呼吸道传播，建议在公共场所采取相应的防控措施以及在临床救治中采用抗病毒治疗。但这份报告似乎并未起到什么作用。从第二天，即1月6日开始，到1月10日，武汉市卫健委均未作疫情通报。与此形成对照的是，早至1月4日，香港特区政府便对不明原因肺炎启动了“严重”级别应变，尽管当时该地怀疑病例只有7例。“是公共卫生系统出问题了。”曾光告诉@中国新闻周刊，“不是流行学调查没调查好，也不是病毒不该研究，也不是不该发论文。这些信息都报上去了，怎么及时转化成防控行动？陈国强等人则指出，地区决策者是公共卫生事件中的指挥主体，需要第一时间组织专家团队提供决策建议。武汉作为国内临床医疗、公共卫生及病毒研究最豪华的专业阵容所在地，此次专业团队在当地政府早期疫情判断及应对决策过程中的作用似乎没有得到最大发挥，是需要深入思考与反省的。李立明强调，基本的公卫知识和观念非常重要。“呼吸道传染病，怎么可能不出现人传人？只是时间早晚的问题，不应该出现‘有限的人传人’这种说法。如果全社会都有一些基本共识，早期防控不应该是这样。”http://t.cn/A67SFamO
中国天气,:【复工后小型理发店该如何防控？】@北京市疾病预防控制中心告诉你和你的Tony老师见面的正确打开方式
Antoine_CN-EU,:美国的疾控中心素质是真的差，全程一问三不知，什么情况都不了解，还在指导全美做这做那，外行行政指导内行医疗，放走确诊病人不说，全程拍胸脯，溜须拍马！
兰山发布,:#兰山打赢疫情防控硬仗#【临沂市兰山区共青团“1+7”志愿服务报道之午餐捐赠】宁宇盒饭公司为兰山区疾控中心一线工作人员提供100份爱心午餐，饭菜很热，心里很暖。
河北体彩,:【#疫情期间疫苗如何接种#？】中国疾控中心研究员冯录召介绍：疫苗接种要坚持单独预约，分散接种原则。对于新生儿乙肝疫苗和卡介苗要及时完成接种，如果母亲是乙肝表面抗原阳性，新生儿第二针、第三针乙肝疫苗和接种单位预约后及时接种；狂犬病和破伤风疫苗是用于暴露后预防的疫苗，必须按照疫苗接种程序接种；如果所在社区发生社区传播疫苗，可暂停4种免疫疫苗之外的其他接种，等疫情结束之后进行补种，所在社区没有出现社区传播的，可根据当地卫生健康主管部门的安排进行接种。接种时戴口罩，尽量不去触摸医院的物品，不去揉眼睛。http://t.cn/A67Z2lv9
南宁新闻网,:【奋战30天！广西疾控中心首批援湖北勇士归来】众志成城抗疫情，打赢疫情防控阻击战。自治区疾控中心首批援湖北勇士邓丽丽、陆宝于3月1日下午轮换返回南宁。奋战30天！广西疾控中心首批援湖北勇士归来
江西新闻联播官博,:#南昌277处公共场所均未检出新冠病毒#在疫情期间，南昌市疾控中心应用轨迹热力图分析，不定期地持续在城区多个人流量较大的高风险区域开展环境监测，3月2日在对包括火车站、地铁站、商场等地277处样本进行新冠病毒核酸检测分析后，检测结果均为阴性。#联防联控江西在行动##抗击疫情江西在行动##爱心守望情暖赣鄱#http://t.cn/A67Nu1Ng
没有猫的小黄,:这个疫情我有点期待大梅和她们县疾控中心某工作人员侄子的故事了，毕竟微信都加上了🙊大梅想看他的照片，该如何提出来好呢
前进正月风,【专家复盘：“不明原因肺炎”上报失灵的背后】#周刊君与你共同战疫#中疾控传染病预防控制所病毒学家、复旦大学上海市公共卫生临床中心兼职教授张永振领导的团队于2019年12月26日收到来自武汉的不明原因发热患者标本一份。1月5日上午，他们从标本中检测出一种新型冠状病毒，获得了该病毒的全基因组序列。上海公卫临床中心在同日向国家卫健委提交了一份病原学调查报告。报告指出：鉴于该病毒与造成SARS疫情的冠状病毒同源，应是经呼吸道传播，建议在公共场所采取相应的防控措施以及在临床救治中采用抗病毒治疗。但这份报告似乎并未起到什么作用。从第二天，即1月6日开始，到1月10日，武汉市卫健委均未作疫情通报。与此形成对照的是，早至1月4日，香港特区政府便对不明原因肺炎启动了“严重”级别应变，尽管当时该地怀疑病例只有7例。“是公共卫生系统出问题了。”曾光告诉@中国新闻周刊，“不是流行学调查没调查好，也不是病毒不该研究，也不是不该发论文。这些信息都报上去了，怎么及时转化成防控行动？陈国强等人则指出，地区决策者是公共卫生事件中的指挥主体，需要第一时间组织专家团队提供决策建议。武汉作为国内临床医疗、公共卫生及病毒研究最豪华的专业阵容所在地，此次专业团队在当地政府早期疫情判断及应对决策过程中的作用似乎没有得到最大发挥，是需要深入思考与反省的。李立明强调，基本的公卫知识和观念非常重要。“呼吸道传染病，怎么可能不出现人传人？只是时间早晚的问题，不应该出现‘有限的人传人’这种说法。如果全社会都有一些基本共识，早期防控不应该是这样。”http://t.cn/A67SFamO
铁岭广播电视台,:市教育局举行新冠病毒疫情防控培训工作视频会3月3日，市教育局举行全市教育系统新冠病毒疫情防控工作培训会，会议以视频的形式召开，要求各地各级各类学校要充分发挥校医的专业性和职能，坚决打赢新冠肺炎疫情防控阻击战。会上，市疾控中心专家，围绕开学前学校准备工作，开学后学生及教职员工晨午检工作、学生缺课追踪登记制度，以及学校发生疫情时应急处置等情况进行培训。通过培训，强化学校防控工作重点，提高学校防控人员业务素质和水平。市教育局还把相关视频资料下发到全市各级各类学校，做到教育系统疫情防控培训全覆盖。http://t.cn/A67N8SlG
天涯尼丹小,:韩国疾控中心公布的新冠确诊统计数据细分，虽然死亡率跟湖北以外中国数据区别不大，但有一点很不同，就是年龄段。中国确诊主力是30岁以上人群，年龄中位数51岁，而韩国是20～30岁人群，而且女性多于男性。http://t.cn/A67N8V4X这点应该跟独特的邪教传播途径有关，新天地教徒发展主要是生活苦闷的青年人，而女性感染偏多，很可能因为超级传播者31号是大妈，而室内大型祷告时男女分开。总之韩国目前新冠细分数据不是正常状态，用于科研结论时要谨慎。
辟谣知真相,:【2020最牛B的女人!】她出狱了，把关押她的省监狱管理局长、监狱长、副监狱长都搞下课了，司法厅长也被立案了；她上路了，放她上路警察的领导免职立案审查了；她进京了，放她进京的辅警下岗了，辅警的直接领导免职了。街道、疾控中心、物业公司都跟着倒霉了。。——《黄××进京记》.
抱关者,2019年的两院院士评选结束，诺贝尔奖获得者屠呦呦教授再次落选。评选委员会给出了她落选的理由：1、没有留洋背景，2、没有博士学位，3、没有足够的论文。与此同时，国外媒体对屠呦呦教授的评价是，她是能与爱因斯坦、居里夫人和图灵并列的巨人～
凡人看股,:#新冠肺炎疫情中全球股市实时新闻#03-0318:28《参考消息》【欧洲新冠肺炎病例持续增加疾控中心上调风险等级】2日，欧洲多国新冠肺炎病例持续增加，其中拉脱维亚首现确诊病例，意大利病例数超过两千。欧洲疾病预防与控制中心已将疫情风险等级上调为“中度到高度”。
津云,:#津日疫情播报#【3月3日6时至18时天津无新增新冠肺炎确诊病例治愈出院6人】记者从市疾控中心获悉，3月3日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院6人。　　截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、普通型8例、治愈出院124例，死亡3例。疑似病例31例。累计排查密切接触者2330人，尚有290人正在接受医学观察。
天津发布,:#津日疫情播报#【3月3日6时至18时天津无新增新冠肺炎确诊病例治愈出院6人】从市疾控中心获悉，3月3日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院6人。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、普通型8例、治愈出院124例，死亡3例。疑似病例31例。累计排查密切接触者2330人，尚有290人正在接受医学观察。
北京市大兴区疾病预防控制中心,:疫情防控丨多国新冠肺炎疫情升级，北京市疾控中心发布境外华人健康提示疫情防控丨多国新冠肺炎疫情升级，北京市疾控中心发布境外华人健康提示
察网,:#观风察俗#【黄某英离汉进京事件，全程细节、处理结果来了】北京新冠肺炎疫情防控工作领导小组对武汉等疫情高发地区来京人员早有严格管控要求，北京市疾控中心未针对咨询服务热线可能产生的问题制定相应的预案，未对接线人员进行规范和有效的培训，导致接线人员未能准确解答杨某某咨询的相关问题，工作出现不应有的纰漏。http://t.cn/A67N8ojD
深圳微博房产,:【最新！深圳首例境外输入病例，93名密切接触者已全部找到！】广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。目前，该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日下午3时，68人核酸检测结果阴性，1人结果待出。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。（深圳卫健委）#抗击疫情深圳房地产在行动##房产周边事#
铁岭广播电视台,:市教育局举行新冠病毒疫情防控培训工作视频会3月3日，市教育局举行全市教育系统新冠病毒疫情防控工作培训会，会议以视频的形式召开，要求各地各级各类学校要充分发挥校医的专业性和职能，坚决打赢新冠肺炎疫情防控阻击战。会上，市疾控中心专家，围绕开学前学校准备工作，开学后学生及教职员工晨午检工作、学生缺课追踪登记制度，以及学校发生疫情时应急处置等情况进行培训。通过培训，强化学校防控工作重点，提高学校防控人员业务素质和水平。市教育局还把相关视频资料下发到全市各级各类学校，做到教育系统疫情防控培训全覆盖。http://t.cn/A67N8SlG
陕西消防,:【#疫情期如何乘坐出租车网约车#】中国疾控中心研究员张流波表示，出租车、网约车要确保司机没有感染，建立健康申报制度，进行体温检测，司机应全程佩戴口罩；车辆门把手、座位等应清洁消毒；行驶过程中温度合适时尽量开窗保证空气流通；乘客#上出租车前可开门一两分钟通风#；用消毒纸巾对接触处擦拭消毒；乘客全程戴口罩；提倡无接触付费。http://t.cn/A67amZ37
宝鸡检察,:#够科普#检测一份新冠病毒样本，要做多少事？核酸检测怎么做？从样本接收到核酸提取，再到数据核准，解放军疾控中心专家给出一份终极检测指南。#最新疫情报道#
佛山疾控,:【鲁毅到市疾控中心调研检查疫情防控工作】鲁毅到市疾控中心调研检查疫情防控工作
天空桃,:楼下被疾控中心贴隔离封条了，我好慌啊，但愿那家什么事都没有
有方居士2017,:我在看：【注意！河北省疾控中心最新提示来了】#跟新浪看热点#注意！河北省疾控中心最新提示来了
也是一个肤浅的颜饭,好多朋友留言，铁凝的老公华生写了三篇文章，为什么给高叫屈？简单回应一下，喊冤无问题呀，【事实，报道，舆论】，但华生讲的事实细节是假的，把高福说的和我一样了，都是12月31日刷微博发现武汉不明肺炎。目的很简单，就是塑造两点，1高福事先不知情，武汉隐瞒，2自己在微博上看到，给领导预警。可惜，当天我真在刷微博，当的消息未封锁，根本不是华生说的，他和铁凝在一起时间了，喜欢文学，编造了这个相当戏剧典型的细节，想打动人。替高福叫屈原因何在，这个我只能猜测，就是四个字：高福和铁凝都很像，都是靠专业上了神台，干的都是与专业本身无关的事情，时间长了都是厉害了我的国的操作思路，我想华生因此特别能理解高的处境：惺惺相惜。
Damn_大叔,:中国疾控中心：养老机构应分为有病例和无病例两种情况科学防控http://t.cn/A67SuRKk
小黑夜之睛,:【去过购物中心！#美疾控中心误放出患者#
也是一个肤浅的颜饭,好多朋友留言，铁凝的老公华生写了三篇文章，为什么给高叫屈？简单回应一下，喊冤无问题呀，【事实，报道，舆论】，但华生讲的事实细节是假的，把高福说的和我一样了，都是12月31日刷微博发现武汉不明肺炎。目的很简单，就是塑造两点，1高福事先不知情，武汉隐瞒，2自己在微博上看到，给领导预警。可惜，当天我真在刷微博，当的消息未封锁，根本不是华生说的，他和铁凝在一起时间了，喜欢文学，编造了这个相当戏剧典型的细节，想打动人。替高福叫屈原因何在，这个我只能猜测，就是四个字：高福和铁凝都很像，都是靠专业上了神台，干的都是与专业本身无关的事情，时间长了都是厉害了我的国的操作思路，我想华生因此特别能理解高的处境：惺惺相惜。
Damn_大叔,:中国疾控中心：养老机构应分为有病例和无病例两种情况科学防控http://t.cn/A67SuRKk
小黑夜之睛,:【去过购物中心！#美疾控中心误放出患者#
小途在线,:西安市疾控中心检测299个共享单车标本均为新冠病毒核酸阴性西安市疾控中心检测299个共享单车标本均为新冠病毒核酸阴性
提刀探花在缅北,:纽约一线医生“吹哨”，美国检测套件紧缺，向疾控中心申请了好久，到现在还是没有。别的国家一天检测上万人，但是美国却还没开始。可能已经存在大量病患，确诊只是测不测试的问题。我只能说，彭斯失职了。1，要他管控统一口径，现在竟然出现不同的声音。2，他是新冠肺炎的首席负责人，现在又被爆料疫情开始蔓延，竟然不做检测。彭斯，你上对不起特朗普，下对不起人民群众，你的抗疫工作目前来看就是请了几个神汉来祈祷，你是不是可以走人了？
强哥在台湾,:🗣️🗣️🗣️牛逼的特朗普不是整天喊美国最大最厉害！现在哑巴了吧！💩💩💩《美疾控中心连连质问白宫，建议全美停工停课，并等待中国的救援》而在上一次美国从中国撤侨的包机上，也有30人检测出阳性，也就是说，在美国动手撤离海外民众时，带回来21个确诊患者。http://t.cn/A67NjsSZ
李元芳星球,:更新:美国会议员马克·波坎致信疾控中心，要求就为何从疾控中心删除进行检测的次数做出解释。
青蕉视频,:【对话流行病学猎手：200小时搜寻密切接触者就和破案一样】#青蕉拍客#2月29日，湖北十堰，疾控中心接到报告，一名患者核酸检测为阳性，广西支援十堰抗疫医疗队预防组接紧急任务，确定密切接触者的活动轨迹。为防止病毒传播扩散，流调人员先是去往医院对患者进行调查，随后通过反复观看近200个小时的视频监控素材，查找密切接触者的行动轨迹。流调人员排查出密切接触者，需对他们进行隔离观察，并撰写流行病学调查报告和疫情研判报告供指挥部做参考。http://t.cn/A67NjL8s
北京发布,:【北京市疾控中心向海外华人发出5点防控建议】在#北京市新型冠状病毒感染的肺炎疫情防控工作新闻发布会#上，北京市疾病预防控制中心北京全球健康中心办公室主任、研究员杨鹏向海外华人提出防控建议：
爱草莓的小蘑菇,【快讯】伊朗报告新增835例新冠肺炎病例，病例总数增至2，336例，新增新冠肺炎死亡病例11例。
蓝睛,:【离病毒最近的“老将”】防控疫情的过程中，疾控中心承担着疑似病例样本的采样送检任务，在这里工作的人，被叫做“离病毒最近的人”。今年已经58岁的甄先云是一名疾控老将，经历过03年的非典，在此次抗“疫”战中，甄先云再次挑起大梁，承担起了科室一半以上的采样送检任务。蓝睛的微博视频
新浪上海,:【城市的温度战“疫”中枢】#向上海表白##荆申抖擞携手战疫#中山西路1380号，许多上海市民并不知道这个地方。然而，自从新冠肺炎疫情发生后，这里——上海市疾控中心的办公地址已经是上海市新冠肺炎疫情防控的中心。除了原来的工作人员，上海市一些相关的职能部门也派人在这里集中办公，会议室、阳光房、休息间都成了临时的办公场所。大家针对一个个具体的问题跨条线、跨部门地分析防疫信息，制定应对措施，俨然成为了一个“战时”指挥所。疾控中心的这幢大楼已经成为全市防控新冠肺炎的“中枢大脑”，疫病防控、医疗救治、社区防范等十个部门，和各区的防疫部门一起形成了一张上海的防控网。via看看新闻http://t.cn/A67N02V3
上海杨浦,:#上海战疫##上海加油#【返沪人员居住、快递进小区…你最关心的热点话题，今天的发布会逐一解答！】今天下午，市新冠肺炎疫情防控工作领导小组在市疾控中心举行第40场新闻发布会，邀请市卫生健康委新闻发言人郑锦、市民政局副局长曾群、长宁区虹桥街道党工委书记胡煜昂、虹口区曲阳路街道曲一居民区党总支书记黄莺，介绍上海新冠肺炎疫情防控工作情况。上海市政府新闻办主任、市政府新闻发言人徐威主持新闻发布会。来看文字实录↓via上海发布http://t.cn/A67NItco
太阳之子Scott,:对比美国CDC，终于明白钟南山为什么呼吁要对疾控中心改革了http://t.cn/A67NOYD8
