嘿哈耶,:所以这畜牲到底为什么要吃蝙蝠
一朵小蘑菇丫,:#新冠病毒攻击中枢神经系统#这样的话，跟传染病里面的真的一样了啊，攻击大脑，病毒来源于蝙蝠等等
爱乃啊,:背部是条纹设计！胸前是淡雅的粉色。个性十足：❀很多时候……牛仔裤加上高跟鞋绝对是塑造完美腿长的法宝!T恤的特色在于前后不对称的设计，还不如幼稚得没心没肺：看得太透彻反而不快乐！粉色蝙蝠袖宽松T恤+牛仔紧身裤+高跟鞋
南风安知我意,:我以为我弟是不会胖的然后我弟刚称了63斤哈哈哈哈哈他从59斤胖到了63斤哈哈哈哈哈我要笑死了我妈妈说:看这是我的功劳我弟说:这是蝙蝠的哈哈哈哈哈哈哈这是他史上最重原来他也是会胖的那我胖一点也不算啥
小蜗牛93,:吃蝙蝠应该不是一年两年了，今年才爆发？还赶上过年？
今天买可乐m,:吃蝙蝠的祝你妈睡觉半夜被蝙蝠拉到天上超生哦
轻星球,日本最早的病人从未来过中国，莫名其妙就确诊了，所以日本媒体怀疑病毒并非源自于中国。意大利今天一号病人今天查出来也没去过中国，但传播了十个城市。美国今天确诊一个未知病因患者，从未去过中国，没接触任何确诊病例。武汉军运会美国队一块金牌没得，都不晓得派的什么人过来参加军运会。你品，你细细品……#钟南山疫情不一定发源在中国##美国加州出现第二例感染途径不明病例#
森sennnnn,:吃蝙蝠cnmd给我气炸了
还不如直接睡觉,:看霸王别姬看到吃蝙蝠无语
我喜欢你们六年了,:吓死我了家里飞进来一只蝙蝠现在被我妹打死了
花樽的花偏偏天天转色c,:吃蝙蝠的快nmb死吧
我超爱王俊凯呀,:#马来西亚累计确诊新冠肺炎50例#害吃蝙蝠的人biss！！！！
思长江恋黄河,【投票：你夏天怎么防蚊？】#蚊子会不会传播新冠病毒#？上海中医药大学附属曙光医院主任医师崔松：目前，还没有证据表明新型冠状病毒会通过蚊子的叮咬传播。但是现在春季来了，气温逐渐升高，灭蚊倒是正当时，希望大家做好清洁卫生工作。你夏天怎么防蚊？
Ruby-lulu06,:牛仔裤加上高跟鞋绝对是塑造完美腿长的法宝!T恤的特色在于前后不对称的设计……个性十足，背部是条纹设计：胸前是淡雅的粉色！粉色蝙蝠袖宽松T恤+牛仔紧身裤+高跟鞋
筠林碧湫,世界欠中国一个道谢！理直气壮，世界应该感谢中国
碗觉得还阔以,:……陪伴我好几年的蝙蝠君回来了请您麻溜儿的离开好吗
质变2020,:#哪些食物你坚决不会吃#蝙蝠
-安安Kelly-,:#祺鑫[超话]#因为一只蝙蝠上楼的想求点祺鑫的文中间虐没关系但是结局最好是he的那种或者有没有姐妹推荐下他们有意思的团综？有姐妹拯救下新粉么？
假山疾速青葱,:简约大方，衬衫的蝙蝠袖设计修饰手臂线条、衬衫配搭高腰牛仔短裤……除了靠网络来打发时间；与众不同的鸭舌帽戴法尽显俏皮。
葫芦娃得救爷爷,:家里刚刚进了一只蝙蝠，我快被吓没了
yourReality,:穿山甲洗白了。。之前说的新冠病毒相似度99％是技术错误，实际是90%……这可错远了。。比蝙蝠还远……
ChJnYi,:第一次做的指甲不是卸掉而是被剪完的这一切都要从一只蝙蝠说起
YEEEELI,:你曾经以为自己会遇到一个男孩子为他留起长发及腰没想到是因为一只蝙蝠……虽然是个段子但是我的tony再不开门我头发齐肩是要有的了！！🙄️🙄️🙄️
江浙沪辣妹,:我真的杀了那个吃蝙蝠的死王八蛋我怎么去上海搬家啊靠
呆脸喵,:
代号1379,:吃蝙蝠那几个大哥我真服，知不知道这个疫情当误我多少事，服服的了，
小乖乖是个小坏蛋,:有史以来最操蛋的一次统计！整整两天！那个吃蝙蝠的王八犊子！！！
Starryskyaquamarine,既然知道他团队下场了，那就应该知道想趁机置他于死地的团队也覆载其中。当下众说纷纭，哪些是板上钉钉的事实，哪些是被煽风点火引出来的谣言，谁又能彻头彻尾辨得清？批评、指责甚至是唾骂都不可怕，这本就是一个公众人物该照单全收的。情绪轻易被煽动，听风就是雨，毫无独立思辨能力，才最令人惊怖。
曲昊的微博,:蝙蝠到底是招谁惹谁了，还有穿山甲。它们除了拥有被吃的权利，还拥有背锅的义务…
0糯米糕0,:啊啊啊啊啊我杀了吃蝙蝠的憨批害我已经快两个月没有看到活的美女了！
很二很开心aaa,:#蚊子会不会传播新冠病毒#蝙蝠好像是吃蚊子的，是吗？
明明很爱你-龙,:#美国主持人#这个SB蝙蝠吃多了
凉皮女王dy,:一切都要从一只蝙蝠说起……b站已经开始给我推各种闻所未闻丧尽天良无言无语的cp向了……罗云熙✖️皮卡丘罗云熙✖️迪迦奥特曼蔡徐坤✖️UZI蔡徐坤✖️王一博啊啊啊啊啊！不是我要磕，是糖🍬它追着我跑！！！！！邪教万岁！！！！！
Tattoo·ni,:如果没有意外我的一个小朋友会在情人节那天有一个生日会是唯一一次他能站在中间的机会；我的另一个小朋友也会有成人礼风风光光地走向另一个未知但期待的世界.我知道我怪不了蝙蝠所以只能奢望你们公司对他们好一点再好一点.
小桃子气泡拿铁,:？？？什么都往头上扣？？？？就差吃蝙蝠的那位是x粉丝了
_大然子,:钥匙没带导致我在家门口站了一个多小时了，商场打烊了，饭店都不开，早知道还不如不选择弹性工作干脆晚点回家
_Wowhobby,但是出走的这俩年，感谢认识的很多朋友教会我怎么去理解，怎么去爱，怎么去和这个矛盾的自己相处。之前书上的马克思都教我要去那个的。
嘎嘎三壶,我怎么觉得美国的国策是，靠身体硬扛新冠病毒，病了当没病，死了算自然？要知道这个东西死亡率不算高的地区也有1%，美国准备以三亿血肉之躯以身试毒，那就是300万人呐，哪怕你身体再好，加上一些跳掉的，打个一折也是30万。疯了吗？
小屁孩July_1711,:都想写本娱乐圈小说了…诶…都是一只蝙蝠引起的
列表最可爱_,:我可恨死那个吃蝙蝠的豆腐渣了
路巧_20,:啊啊啊啊啊啊啊烦死了，吃尼玛的蝙蝠，乱吃东西这种人就该死，这种基因就该灭绝。
姜小忒,:一个厨房小白的寒假菜单:西葫芦炒鸡蛋烧烤味的炒土豆以及大虾炸薯条酸菜粉萝卜丝饼虎皮鸡蛋糖醋鸡蛋茄子炖土豆春饼...为什么突然开始做饭呢，一切还要从一只蝙蝠说起......#做饭#
减肥药森米燕教授杜玛丽,:#中国科研团队发现新冠病毒已突变#【S型相对更古老】从占比上看，L亚型更为普遍达到70%，S亚型占30%。通过与其他冠状病毒比较，作者发现S型新冠病毒与蝙蝠来源的冠状病毒在进化树上更接近，从而得出S型相对更古老的结论。#中国科研团队发现新冠病毒已突变#
翟编,道指跌幅扩大至700点，纳指跌约2.5%，标普500指数跌2.44%。美国十年期国债收益率跌至盘中新低的1.0183%。更多干货点击http://t.cn/AiuC2CT8
幸福正阳,:#战疫情#河南正阳：庚子之春一只蝙蝠噬咬细弱的春天将一场唯美待开的花事咬成一地惊恐、流言、瘟毒肆虐毒液渗入尚未惊蛰的大地一条东方的巨龙在汉江口岸疼得满城翻滚河南正阳：庚子之春驶往春天的列车极速调转方向钟南山国士情怀满头银发白衣为盔挽国难于己身河南正阳：庚子之春李兰娟院士高龄出征再奏一曲巾帼英雄之歌无数白衣战士听从国家号令四面八方化成投向汉江的火花迅速扑灭肆虐神州的幽冥毒菌无辜的同胞不会被抛弃、被置之绝地一方有难八方来援食物、蔬菜、药品从大地母亲的血管汇流汉江血浓于水的骨肉同胞即将出离苦海河南正阳：庚子之春而春风已经醒来吹面不寒堤岸杨柳依依似乎在召唤草长莺飞、杏花微雨的春天还远吗？
淺夏8半殇,:世界上有两种东西不能直视，一是太阳，二是人心。—白夜行你我都知道，真正杀人的不是蝙蝠。
快乐星球o,:吃蝙蝠的你妈死了
-安安Kelly-,:#时代少年团[超话]#求时代少年团团综推荐因为一只蝙蝠上楼了[ok]
光怪陆离2010_ztp,:看到很多营销号嘲讽他，一群吸血蝙蝠，有点可怜他
威天下26,新京报：《石正丽团队两年前已发现蝙蝠冠状病毒感染人现象》石正丽团队两年前已发现蝙蝠冠状病毒感染人现象
狂正雅_Betty,:Areyouhappy！燕子！呵呵、Doyouwanttobehappy，快乐么想要快乐么那改变点什么吧！因为我男朋友是蝙蝠呀
迷茫的听,:受的这些委屈大概真的要从一只蝙蝠说起
DjIAMu,:呐我帮你弄只蝙蝠让你从年头闲到年尾
陈信宏是我女票,:吃蝙蝠、穿山甲、任何一种可爱小动物的人都是孤儿！
放松心情_65461,:在没有弄清楚新冠病毒起源，一切正确科学逻辑推理推论判断分析皆有可能，首先病毒起源和疫情起源不能混为一谈。蝙蝠是病毒携带者，是否在蝙蝠体内找到新冠病毒的存在，如果找到，是蝙蝠个体存在病毒，还是群体存在病毒。蚊子苍蝇蚂蚁没有肺是腐乳昆虫，又是病毒传播者。新冠病毒中间宿主是脊椎动物。
小艷同学呀,:我恨！为什么那些憨货要吃蝙蝠？？？？？！上网课上的要疯了，谁说大学生轻松的？？各科老师各有各的想法，各有各的app！
一起看月亮吧i,:我好难啊，弹踢腿跳和迈步后屈跳我只要拿了绳子腿就不是我的了……我恨死蝙蝠了。
守居待北,:吃蝙蝠的nmsl
老慧_zyh,:#美国主持人#又栽赃？当年西班牙流感源于美国OK？中国生吃蝙蝠？那不是美国爱吃的食物吗？
烷烃烯烃炔烃,:今天稍微了解了一下，全国很多学校都是在等通知，没办法确定哪天开学。这次疫情的影响太大了，经济损失肯定不小，今天看到中国老人戴柚子皮口罩，伊朗老人戴编织袋口罩，且先不论能不能买到口罩，这些老人的遭遇实在是令人难过🙏而据说朋友圈里还有人卖口罩，1万只起售
乐Leslie_,【★美病毒改造监控计划始末：为改造出全新病毒，美从中国拿走上万件病毒样本】[文/AlexCui（生物信息学博士，美国生物科技公司科学家）]根据美国NGO机构ECO生态健康联盟PREDICT项目公开的数据显示，自2008年4月至2018年9月，PREDICT项目针对冠状病毒总计在中国采集了约388批次，其中8680件来自蝙蝠，老鼠及人体的病毒样。据统计，总共至少有上万件左右的动物及人体的病毒，被运至美国的试验室里。拉尔夫·巴里克团队正是据此项目获得蝙蝠类SARS的SHC014病毒S蛋白基因序列，进而在2015年于美国北卡罗来那实验室人工改造出新型SARS病毒，通过SHC014病毒S蛋白能够传染给人但不致病，而嵌合SARS-CoVMA15病毒后新制造出重组冠状病毒SHC014-MA15增强毒性能够让人发病。此后，谁都再难预料冠状病毒会在美国实验室内重组成什么形态？http://t.cn/A67yigNZ
杨气的,:些什么蝙蝠东西
牛腩腩,:突然接到私信说我被举报了，我还想我骂了这么多天居然现在才上门来吗，结果点去详情一看，发现是一个月前我说武汉蝙蝠汤是造谣，然后有个傻屌男的过来私信骂我蠢，我正准备回骂发现他骂完就把我拉黑了，气得我给了他一个删除并拉黑三天套餐，结果他就把我举报了，还胜诉了，新浪牛逼
然噢,:这一切还是要从吃蝙蝠的人开始说起
李东涛1970,在病毒源头存在巨大争议之际，通过学术、舆论引导到中国蝙蝠身上，让中华蝙蝠为新冠疫情背锅，那会给中国是新冠源头之口舌，加剧世界对华人的歧视和排斥，遗祸深远！发布了头条文章：《全球新冠，谁让中华蝙蝠背锅？》全球新冠，谁让中华蝙蝠背锅？
小王今天熬夜了吗_,:哭了为什么我的梦总是奇奇怪怪之前梦到被大蝙蝠咬胳膊昨晚又梦到下病毒雨
毛毛的三吋日光,:炒个破股票，还不一定能赚钱，却把人整的像是经济学家似的，啥都牵挂，啥都关心，国内国际，政治、经济、军事、科技，科教、文化、旅游、美食、果子狸、蝙蝠、蝗虫、疫情、钻石公主号、美国大选、美联储降息、原油、黄金，亚太股市、欧洲三大傻、美股三大指数走势……不是生活所迫，谁愿如此优秀
冰摇芒果姚橙橙,:教资好考吗？教了几天弟弟的我突然感觉孺子可教开始对自己的感化能力信心爆棚了从想打他到赞他我经历了什么故事要从一只蝙蝠开始说起
丰韵仍要妙趣,:白绿色的配色很衬肤色、甜美可爱的蝙蝠袖T恤，超显瘦的夏季服饰搭配……胖瘦都可以穿很大气
你的酱酱咩-,:本来可以在学校上课了就因为那几个瘪三吃蝙蝠录播上完还有直播直播上完还有作业作业做完还有笔记这是让我轮轴转吗
晓红72,在病毒源头存在巨大争议之际，通过学术、舆论引导到中国蝙蝠身上，让中华蝙蝠为新冠疫情背锅，那会给中国是新冠源头之口舌，加剧世界对华人的歧视和排斥，遗祸深远！发布了头条文章：《全球新冠，谁让中华蝙蝠背锅？》全球新冠，谁让中华蝙蝠背锅？
我拿台灯当月亮,:网课作业太多了，受不了了，期末考试都没这么累过，平常一个学期才布置一次作业的老师，在网课上也没办法，布置了好多好多，吃蝙蝠的人给爷死
我有一杯冰美式,:糟心透了，如果当初不打开《陈情令》现在屁事没有，出来挨打，你带我入坑的@一个哈suk。但是转念一想，如果没有那什么巴南小兔的举报，才是真正的屁事没有。我最近辱骂举报粉的频率，已经超过辱骂吃蝙蝠频率了。这该死的cp狗身份，爷爷受不住了。
七羽-让我中一次奖吧,:我室友的师兄已经说她可能要延毕了，因为实验不能做而我们选中了同一个课题组
精华头条,:一月的蝙蝠🦇二月的鸡🐔🐔三月的我们变穷B
OnDeSirE,:我在家里呆着不让我出门的时候我真的没那么恨吃蝙蝠的现在我助理在湖北隔离回不来给我工作我是真的想把吃蝙蝠的人打死🔪
高贵悠悠,:一月的蝙蝠🦇二月的鸡🐔🐔三月的我们变穷B
April_g1,:屋塔房这集到底为什么要放这么多蝙蝠的照片我要把手机扔出去了
国内星闻,:一月的蝙蝠🦇二月的鸡🐔🐔三月的我们变穷B
飞天蝙蝠2020,下午上海洗吧，玉和田，给喜欢超短的朋友，逢低随便打，赚了就跑。。。。。。。。。。。。。。。。。。。。还有人老在私信问我还有"么可以干，那我uu告诉你，追高富一生，低吸毁三代。。。。。。。。。。？？？？？？？？？懂！！！！？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？步！！！！！！！！！！！！
灬老咸鱼灬OAO,:在家隔离太闲了忽然想练琴，结果太多年没练五线谱都忘差不多了于是我翻出了我落灰的汤普森从头开始人间惨剧要从一只蝙蝠说起
没面包也没远方的诗,:想把窗帘拉上，结果一大堆便便从天而降，还有两只蝙蝠，TM吓死我了，正在整个人都不好了，恶心想吐
j_Kijie,:ITTF的新头像可太像蝙蝠了
Heroine__Q,Sir只能希望，所有的“成年人”们，包括拥有理性思想的未成年人们，不要再从舆论的声场中退出。让我们的发言，少一点顾及饭圈审判的缩写。少一点刻奇矫情的自我感动。少一点意见不同引发的报复性举报。是时候，救一救这种幼稚病。我不关心肖战的下场
别看我了我啥都不是哈哈哈再见,:#无心福[超话]##福克斯女朋友#福克斯你真的会好会躲，现在我觉得你上辈子是只蝙蝠[摊手]净做见不得光的烂事
Chloelively,:这时候我就想知道吃蝙蝠那个人死了没
裤衩都特么笑掉了,:【S型相对更古老】从占比上看，L亚型更为普遍达到70%，S亚型占30%。通过与其他冠状病毒比较，作者发现S型新冠病毒与蝙蝠来源的冠状病毒在进化树上更接近，从而得出S型相对更古老的结论。【大部分患者只感染一个】这103个样本显示，大部分患者只感染了L亚型或S亚型中的一个。但其中一位近期有过武汉旅行史的美国患者分离出的病毒株，显示其可能同时感染了L型和S型。不过，作者表示目前还无法排除新突变型的可能性。#中国科研团队发现新冠病毒已突变#
森斯嘉,:班群通知明天下午视频开班会我现在就已经尴尬得脚趾抓地了到底是谁要吃蝙蝠啊操蛋
不那么正儿八经,:#禁售野生动物#存在病毒传染的感染风险高的野生动物禁止出售，比如蝙蝠，老鼠，野生的螃蟹，野生小龙虾等，一经发现重则判刑。
月月是条小鱼儿,:我好饿，好饿(•̥́ˍ•̀ू)，好想点外卖
鱼儿2217257463,:耗子对蝙蝠。去争取自己想要的……天天在房顶上大头朝下地睡觉累不累呀！不要让明天的自己后悔……
妮妮大王万事大吉,:玩着手机听着电视，听到主持人说什么bianfu，什么？！蝙蝠？我立马变身小问号❓抬头看，原来是鼻烟壶
