中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
中山日报,:【广东确诊0新增！新增出院48例，累计出院1129例】截至3月3日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1129例，累计死亡7例。3月3日当天全省无新增确诊病例。新增出院48例，3例为危重型病例治愈出院，8例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有595名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月3日24时，在院的214例确诊病例中，轻型16例，普通型166例，重型13例，危重型19例。（健康广东）
韶关天气,:#上班天气#【市区短时预报】预计未来3小时，市区，阴天，有小雨，偏北风2级，11到12度。韶关市气象台2020年03月04日08时发布
韶关天气,:#下班天气#【市区短时预报】预计未来3小时，市区，阴天，有小到中雨，偏北风1-2级，13到15度。韶关市气象台2020年03月03日17时发布
广东预警发布2015,:【韶关市寒冷黄色预警】预计受冷空气影响，市区日平均气温将维持在12℃以下，韶关市气象台于3月3日16时56分发布寒冷黄色预警信号，请注意防御。http://t.cn/R2TuaaC
韶关天气,:【韶关市寒冷黄色预警】预计受冷空气影响，市区日平均气温将维持在12℃以下，韶关市气象台于3月3日16时56分发布寒冷黄色预警信号，请注意防御。http://t.cn/R2TuaaC
韶关武江法院,:#法院动态#双网协同“云开庭”刑事正义不缺席2020年3月2日上午10时，韶关市武江区人民法院开庭审理了一起聚众斗殴案，而法庭里被告人、辩护人的座位上却空空如也，只有合议庭法官、公诉人和书记员戴着口罩参加庭审。原来，这是该院利用“互联网+智慧庭审平台”实现的“云开庭”，也是韶关市首个在防疫期间利用法院系统内部网络和互联网协同开展线上审理的刑事案件。随着一声法槌敲响，法官和公诉人通过互联网平台与屏幕对面的被告人、辩护人正式开始实时视频对话，严格按照法定程序依次完成了从核实诉讼参与人身份信息到被告人最后陈述的全部庭审内容，整个过程视频画面流畅、语音传输清晰，庭审活动有序，充分保障了被告人及其辩护人的诉讼权利。据了解，由于当前正处于疫情防控关键期，武江法院充分利用科技手段，在看守所的支持和配合下，通过法院内网远程提审系统建立法庭与看守所的连接，同时辩护人利用互联网视频会议系统远程加入庭审，通过内网和外网之间不同系统的相互协作实现在线庭审。同时，法院在开庭前张贴公告，告知被告人、被害人及社会群众通过中国庭审公开网在线旁听，有效减少人员聚集。下一步，武江法院将加快“智慧法院”建设步伐，加大远程庭审系统使用率，确保审判工作的顺利进行，提高审判质效。
韶关鹏程万里人才网,:韶关市合力化工气体有限公司门卫身体健康，30至50岁，工作认真负责仓库管理员20至40岁，身体健康，工作认真负责，有工作经验优先；司机有3年以上开车经验，开车技术娴熟，工作认真负责，吃苦耐劳；联系电话：0751-8219830投递邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市武江区沐溪工业园盛强路北端足不出户也能找到心仪的工作，关注公众号韶关微招聘，鹏程万里网站http://t.cn/Rzktg4X
大甜是糖,:第一次利用公共征求我的外婆赖金英，由于患了食管癌，目前正在广东省韶关市曲江人民医院中西医科治疗，现下病情加剧导致出现低蛋白症，重度贫血，急需O型血。疫情非常时期，血站和医院血库已经没有O型血了。韶关当地好心人，或者看到这条微博的好心人，如可捐O型血者可以联系到医院，或者我的大姨（私信我给电话，看到的话我会第一时间回复）。大恩不言谢，谢谢各位了！跪谢了！（现下疫情期间情况特殊，捐血请以自愿为主，即使出门也请佩戴好口罩，以照顾自己身体为主。占用公众资源，在此本人先道歉了。）#韶关[地点]##韶关身边事##韶关##献血##广东[地点]#
茂名市广播电视台FM1061,:#1061应急广播#截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
广州日报,:【#每日疫情走势#|广东无新增确诊病例新增出院47例】3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（广州日报全媒体记者何雪华罗知锋）http://t.cn/A679w8xv
梅州日报,:#梅州新闻#【持续稳住！梅州无新增，广东全省无新增！】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（via.广东省卫健委官网）
深圳特区报,:【3月2日广东无新增确诊病例，新增出院47例】据广东省卫健委官方网站消息，截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。http://t.cn/A67KkvFa
南方都市报,:【广东无新增】截至3月2日24时，广东全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（广东卫健委）http://t.cn/A67KFpD6
HZTV惠州电视台,:【最新：广东全省确诊0新增！新增出院47例，累计出院1081例】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
KISSU婚礼造型馆,:新娘造型|KISSU教学团队-微微老师由短发🔜到古韵中式从整体设计出发不因头发长度而设限这款中式造型你们喜欢吗？#广州深圳佛山东莞清远韶关市化妆师跟妆##广州专业化妆班课程##广州化妆师培训##广州零基础学化妆#
韶关天气,:#晚间天气#【短时天气预报】预计未来3小时，市区，阴天，有小雨，偏北风1级，19到21度。有弱降雨云团正在移入，不宜外出。韶关市气象台2020年03月2日19时30分发布
韶关鹏程万里人才网,:广东瑞邦泵业有限公司1、会计2、电气工程师3、电焊工4、业务员5、行政文员6、会计电话：0751-8219830邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市沐溪大道227号详情请登录查看：http://t.cn/A67SXktf
中国移动广东公司,:#抗击疫情央企行动#与您一起，共同抗“疫”！疫情发生以来，粤小移提供和对讲、云视讯等信息化产品持续助力韶关市公安战“疫”，近日再次向韶关市公安局指挥中心提供一批酒精和消毒水，表达对一线工作人员的支持。#移动公益在行动#
韶关鹏程万里人才网,:韶关市汇建水泥制品有限公司工业会计1、持有初级会计师证或以上，相关工业企业会计经验三年以上，能力优秀者条件可适当放宽；2、会使用财务软件，懂基本账务处理，税务筹划，有一般纳税人经验。为人正直、有团队协作能力；3、购买五险，薪资5000-6000元，具体面议；混凝土试验员1、中专以上学历，土木工程或建筑相关专业，有从事过电力电杆、混凝土行业工作经验；2、懂混凝土配合比调配和混凝土性能；3、薪资4000-4500元，可包吃包住，具体面议，购买社保；电话：0751-8219830邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市武江区沐溪工业园一路
活力广东,:【致敬前线最美逆行者：韶关市35家旅游景区实行门票优惠政策】为对医护工作者、部队官兵、公安民警们等最美“逆行者”人群表示支持和感谢，以山水力量，传递文旅温暖，为“战疫”全面胜利贡献力量，韶关市28家A级景区、7家非A级景区景点对全国医护工作者、部队官兵、公安民警及其随行直系亲属（父母、配偶、子女）实行旅游优惠政策。优惠对象及内容：对全国医护工作者、部队官兵、公安民警(凭本人真实有效证件)实行免费开放政策。优惠时间：自景区恢复运营之日起至2020年12月31日。http://t.cn/A67SMAUcvia韶关发布#共克时艰，文旅在行动#
韶关天气,:#下班天气#【市区短时天气】预计未来3小时，市区，阴天，偏北风1-2级，18到22度。韶关市气象台2020年03月02日17时发布
韶关鹏程万里人才网,:韶关市极驰供应链管理有限公司招聘快递员多名（新人、熟手都可以）1、按公司标准要求完成区域内快递派件和收件工作2、保障快件的完好和安全。3、简单的日常客户维护工作。待遇：保底工资，按提计件、多劳多得，上不封顶，一经合格上岗配备车辆。电话：8219829邮箱：sghr@pcwl.com（注明应聘公司+岗位）地址：韶关市浈江区五里亭明盛新苑4号足不出户也能找到心仪的工作，关注公众号韶关微招聘，鹏程万里网站http://t.cn/Rzktg4X
韶关天气,:#上班天气#【市区短时天气预报】预计未来3小时，市区，晴天间多云，偏北风1-2级，22到25度。韶关市气象台2020年03月02日14时发布
广州荔湾发布,:#最新疫情报道#【3月1日广东新增新冠肺炎确诊病例1例新增出院25例】累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。
诗书天子·文心圣海·余雪强,#联合国人权理事会#是联合国系统中的政府间机构，由47个#联合国大会#选举的成员国组成，总部设在在联合国日内瓦办事处。其主要责任包括在全球范围内加强促进和保护人权的工作并解决侵犯人权的状况以及对此提出建议。人权理事会由联合国大会于2006年通过决议创立，取代了之前的联合国人权委员会。目前，该机构第43次会议正在日内瓦举行。#联合国秘书长古特雷斯#在大会的开幕式上讲话指出，当今世界，人权事务仍面临不断增加的挑战。因此他发起了一项《行动呼吁》，以期通过共同努力实现所有人的人权。古特雷斯表示，人权关乎每一个人的尊严和价值，是帮助社会在自由中发展的最终工具，来确保妇女和女孩享有平等，推动可持续发展，防范冲突，减少人类苦难并建立一个公正和公平的世界。正如#世界人权宣言#所宣告的那样，人权是“人类最高的愿望”。了解人权理事会的更多信息：http://t.cn/A67XKzB5联合国视频http://t.cn/A67XKZfu
韶关天气,:#午间天气#【市区短时天气预报】预计未来3小时，市区，晴天间多云，偏北风1-2级，19到23度。韶关市气象台2020年03月02日11时发布
韶司在线,:发布了头条文章：《攒积分赢口罩啦！快来参与韶关市妇联反家暴能手挑战赛吧》攒积分赢口罩啦！快来参与韶关市妇联反家暴能手挑战赛吧
汕头发布,:【3月1日广东新增新冠肺炎确诊病例1例新增出院25例】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。　　来源：广东省卫健委
刑法徐光华,:徐光华刑法案例之七十六：【法律要旨】非法收购、运输、出售国家重点保护的珍贵、濒危野生动物及其制品的，依照刑法第三百四十一条第一款的规定，以非法收购、运输、出售国家重点保护的珍贵、濒危野生动物及其制品罪定罪处罚。案例：广东韶关市刘某某涉嫌非法收购珍贵、濒危野生动物罪案。2020年1月29日，广东省韶关市曲江区市场监管局工作人员在曲江区罗坑镇“火头军农场”进行检查时，发现厨房冰柜内有2只疑似野生动物白鹇的死体，经询问，刘某某称其于2019年12月20日左右，向曲江区罗坑瑶族村委村民邓某某收购白鹇死体两只的事实。“火头军农场”经营者刘某某存在非法收购珍贵、濒危野生动物白鹇的嫌疑。当日，曲江区市场监管局向曲江区人民检察院电话汇报刘某某非法收购野生动物案的查处情况。经审查，曲江区人民检察院认为刘某某的行为涉嫌非法收购珍贵、濒危野生动物、珍贵、濒危野生动物制品罪，向区市场监管局发出《建议移送涉嫌犯罪案件函》，区市场监管局收到函后，将案件移送曲江区公安分局。曲江区公安分局受理案件后，于1月29日对刘某某涉嫌非法收购珍贵、濒危野生动物案立案侦查，并于1月30日将嫌疑人刘某某刑事拘留，2月5日提请曲江区人民检察院批准逮捕。曲江区人民检察院经审查认为，犯罪嫌疑人刘某某非法收购两只国家重点保护动物白鹇，涉嫌非法收购珍贵、濒危野生动物罪依法批准逮捕。同时，邓某某有非法出售珍贵、濒危野生动物的嫌疑，建议公安机关提请批准逮捕犯罪嫌疑人邓某某。
深圳特区报,:【3月1日广东新增新冠肺炎确诊病例1例新增出院25例】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。http://t.cn/A67XqTXP
新快报,:#同舟共济战疫情#【3月1日广东新增确诊病例1例为深圳市1例境外输入病例】截至3月1日24时，广东省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。（广东卫健委）
新浪广东,:【新增确诊1例！新增出院25例，累计出院1034例！】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。#广东抗击新型肺炎#【专题报道】http://t.cn/A6P5cggj【治愈出院】湛江再有2名确诊患者治愈出院http://t.cn/A67XeeHg@肇庆西江网肇庆年龄最大的新冠肺炎患者出院！出院累计15人！http://t.cn/A67aAucQ【疫情速报】@健康广东广东新增确诊1例！新增出院25例，累计出院1034例http://t.cn/A67XlwkZ@健康广州广州新增确诊病例0例新增治愈出院4例http://t.cn/A67XlwDF@深圳卫健委深圳昨日新增1例境外输入病例累计确诊418例http://t.cn/A67Xlwkw@珠海卫生健康珠海市无新增新型冠状病毒肺炎确诊病例http://t.cn/A67Xlwkz@南方都市报深圳现首例境外输入病例，密切接触者93人，楼栋两百余人被隔离http://t.cn/A67XlwDs【各地动态】@汕头发布汕头市以最快速度帮助防疫物资生产企业复工扩产http://t.cn/A67XB8tA@惠州发布惠州文化艺术中心多场演出延期举办http://t.cn/A67XB8t4@东莞日报截至3月1日，东莞无一例医护人员感染http://t.cn/A67X86MD东莞百万中小学生唱响国歌！http://t.cn/A67XQnnA@潮州发布33名江苏籍务工人员乘包车抵潮http://t.cn/A67XB8t2潮州：全封闭式管理确保监所安全http://t.cn/A67aW6cw广州“90后”准新娘收起嫁衣穿上“隔离战衣”http://t.cn/A67aWJGd@深圳商报广中医深圳医院发挥中医药特色“抗击疫情”http://t.cn/A67aloLh
韶关天气,:#上班天气#【短时天气预报】预计未来3小时，市区，多云，偏北风1-2级，15到21度。韶关市气象台2020年03月02日08时发布
韶关天气,:#早晨天气#【短时天气预报】预计未来2小时，市区，多云间阴天，偏北风1级，16到18度。韶关市气象台2020年03月02日06时发布
广州日报,:#我为广东医疗队打call#【疫情过后，正在荆州抗疫一线的他们最想做什么？】粤北人民医院医生彭峰答：“与我的小伙伴痛痛快快喝一顿酒。”韶关市中医院护士罗美文答：“我最想见我家高三的儿子。”粤北人民医院护士康聪答：“最想见我八岁的孩子，这些年陪孩子的时间太少了。”韶关市中医院呼吸内科医生温智鹏答：“最想扯下口罩，和队友去踢场球。”韶关市第一人民医院护士魏晨答：“我想养一只小狗。”粤北人民医院男护士张洪斌说：“去大排档，啤酒小龙虾，听说这里小龙虾最有名，我准备从这个啤酒摊喝到那个啤酒摊。”(广州日报全媒体记者武威吴子良)http://t.cn/A67iQmzh
广汽丰田荣晖韶南店,#总有惊奇在路上#TNGA“最佳男主角”威兰达精彩驾临，演绎完美走位、轻松脱困、特技跟车等神操作，带你解锁更多“特技”新姿势，一起开启人生的惊奇片场！广汽丰田的微博视频
南方网,:【“粤政易”平台注册数全省居首】为减少人员汇聚，提升工作效率，韶关市政务服务数据管理局建设推广“粤政易”“韶关市电子政务办公业务系统”“云视讯”等网上办公平台。在市县镇村推广“粤政易”网上办公平台。截至目前，韶关累计注册开通“粤政易”平台用户数达到33553个，在全省地市位列第一。韶关以省“粤省事”“粤商通”等“粤系列”平台为主，本地平台为辅，着力提升信息化在疫情防控的支撑和服务能力，加强入粤入韶人员管理。截至目前，入粤登记数据71180条。http://t.cn/A67xjKAu
韶关天气,:【短时天气预报】预计未来3小时，市区，多云，偏北风1-2级，24到26度。韶关市气象台2020年03月01日14时发布
韶关天气,:#午间天气#【短时天气预报】预计未来3小时，市区，阴天间多云，偏北风1-2级，21到23度。韶关市气象台2020年03月01日11时发布
爱转角2947800291,:生肖属龙人农历月份运气：2020年农历四月份运气测算-韶关市哪里算命准的1、生肖属龙人2020年农历四月份总体运气生肖属龙人在2020年农历四月份的时分总体运气迟缓下降，生肖属龙人这个月人气会下降，首要仍是因为生肖属龙人过分于高傲了，让人感到很难靠近，这样的状况在生肖属龙人初阶是很利的。生肖属龙人这个月在任务上要特殊的留心，任务上率性可不会有报酬本人买单的，职场和生活是不一样的，同事和家人就越发不能混为一谈了，生肖属龙人不要退职场中耍本人的小性质。http://t.cn/A67M1rV4
心动韶关,:#韶关身边事#【省生态环境厅厅长鲁修禄到韶调研打好打赢污染防治攻坚战推动重点生态区协调发展】2月28至29日，省生态环境厅厅长鲁修禄一行到韶关调研污染防治攻坚战开展情况，与韶关市就推动重点生态区协调发展进行了座谈。市委书记李红军、市长殷焕明参加调研。　　　　调研组一行深入粤北危险废物处理处置中心、华南装备园、宝武集团广东韶关钢铁有限公司、天井山国家空气背景站等地调研，了解环保基础设施、省市重点项目建设进展情况，分析影响臭氧等空气质量指标的因素，对如何控制臭氧污染提出了意见，并就加快推进项目建设、尽快形成产能提出了具体要求。　　　　在听取韶关市有关工作情况介绍后，鲁修禄指出，污染防治攻坚战进入决胜之年，韶关市按照省委、省政府决策部署，全力落实各项措施，污染防治攻坚战取得显著成效。2019年，全市地表水保持100%达标；空气质量实现6项指标全面达标、AQI优良率完成年度计划任务；土壤污染防治工作稳步推进。2020年是攻坚战决胜之年，要继续加大力度，确保完成各项目标任务。在大气污染防治方面，科学治污，精准发力，找出影响空气质量的主要问题，重点突破；在水污染防治方面，在巩固既有成绩的同时，着力防范水环境安全风险；在土壤污染防治方面，全面完成土壤污染综合防治先行区建设任务，近期要配合生态环境部开好现场培训会。同时，要加快推进工业固体废物处理处置设施建设，为我省补齐环保设施短板作出贡献。　　　　鲁修禄表示，省生态厅将主动与韶关共同研究落实省委省政府“一核一带一区”发展格局，认真谋划适合重点生态功能区的发展思路，提出工作意见与建议，推动全省区域协调发展。　　李红军在座谈中表示，韶关将以“闻鸡起舞、日夜兼程、风雨无阻”的奋斗姿态，全力打好打赢污染防治攻坚战，继续协调做好重点项目建设，进一步筑牢粤北生态屏障。同时，希望省生态环境厅在推动韶关传统产业转型升级、培育新兴产业、生态补偿等方面继续给予大力支持。　　　　市领导罗晓勤和高冬瑞参加调研。来源：韶关日报
平安南粤,:【齐心“战”疫，与爱同行丨镜头记录韶关战“疫”】战疫情，防风险，护安全，保稳定，韶关市公安机关坚持把人民群众生命安全和身体健康放在第一位，坚决扛起最严格的工作责任，切实做到守土有责、守土负责、守土尽责。#疫情当前警察不退##抗击疫情公安在行动##抗疫一线群英谱##我愿意为你守护#@平安韶关http://t.cn/A67fpDRq
韶关天气,:【韶关市雷雨大风黄色预警解除】浈江区风采街道办市政府录得8级阵风，目前影响市区的强对流云团已经远离减弱，韶关市气象台于3月1日7时40分解除雷雨大风黄色预警信号。http://t.cn/R2TuaaC
青春大尉,:每日人文地图|广东省韶关市http://t.cn/A67MtqAA
韶关天气,:【韶关市暴雨黄色预警解除】过去三小时武江区重阳镇九联村录得43.4毫米的降水，目前强降雨已经减弱。韶关市气象台于3月1日7时34分解除暴雨黄色预警信号。http://t.cn/R2TuaaC
广东预警发布2015,:【韶关市雷雨大风黄色预警】浈江区风采街道办市政府站已录得8级阵风并伴有雷电，预计将持续影响市区，韶关市气象台于3月1日4时56分发布雷雨大风黄色预警信号，请注意防御。http://t.cn/R2TuaaC
韶关天气,:【韶关市雷雨大风黄色预警】浈江区风采街道办市政府站已录得8级阵风并伴有雷电，预计将持续影响市区，韶关市气象台于3月1日4时56分发布雷雨大风黄色预警信号，请注意防御。http://t.cn/R2TuaaC
韶关天气,:【韶关市森林火险橙色预警解除】目前，市区高火险天气已经缓解。韶关市气象台于3月1日4时45分解除森林火险橙色预警信号。http://t.cn/R2TuaaC
广汽丰田荣晖韶南店,:#广汽丰田##威兰达#全新TNGA中型SUV威兰达全面接受预订！1个高端平台、2种全新动力、3套四驱系统、4大等级版本四驱20.68万起，混动20.58万起，主力豪华版低于预售价，诚意满满！预订热线：0751-8291666！地址：韶关市浈江区韶南大道南10号！
韶关民声网,:2月26日，有市民向闪电侠发来截图，说在微信群和朋友圈有人发布这样的信息：“到韶州公园的闲逛人员，全部都叫到一起背防疫手册，背不出来的天黑都不准回家……”闪电侠当日就向公安部门反映，经查，此则信息是谣言！韶关市公安局武江分局网警部门迅速展开核查。昨天（28日），公安机关依法对邝某和陈某进行传唤；在接受调查的过程中，邝某和陈某对其散布谣言的违法行为供认不讳。目前，公安机关依法对二人予以行政处罚。http://t.cn/A67VnTmT
