爱信阳,:#信阳生活#【3月2日信阳新增确诊0例，新增治愈5例！】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。（来源：信阳市卫生健康委员会）#新型冠状病毒感染肺炎#http://t.cn/A6hwF3tg
乌鲁木齐普瑞眼科医院,:#每日疫情#第十四个0！3月2日新疆（含兵团）新冠肺炎新增确诊病例0例新增出院病例3例
伊例家味业,:时光不语静待花开伊例家花园式产业园千株古牡丹树含苞吐蕊伊例家味业的微博视频
郑州工商学院,:#工商·我们#[疫情最新情况]2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。（数据来源：河南共青团）
兵团日报,:#新疆（含兵团）现有确诊病例降至6例#
含山新闻,:【3月2日马鞍山报告新冠肺炎疫情情况】3月1日0—24时，马鞍山市报告新增新冠肺炎确诊病例0例，新增疑似病例0例。截至3月1日24时，全市累计报告确诊病例38例，其中：和县（含郑蒲港）27例，雨山（含经开区）8例，含山1例，当涂1例，花山1例。全市在院治疗确诊病例5例，病情3月2日马鞍山报告新冠肺炎疫情情况
策勒V政务,:#战胜疫情，新疆在行动#【新疆（含兵团）又有3例新冠肺炎病例治愈出院】新疆（含兵团）又有3例新冠肺炎病例治愈出院
广安同城,:#广安抗疫在行动##抗击新型肺炎广安在行动#广安市新型冠状病毒肺炎疫情每日通报2020年3月2日0-24时，广安市无新增新型冠状病毒肺炎确诊病例。截至3月2日24时，我市累计报告新型冠状病毒肺炎确诊病例30例，其中广安区15例（含枣山园区4例）、华蓥市2例、岳池县5例、武胜县6例、邻水县2例；男性15例，女性15例；年龄最大74岁，最小21岁。确诊病例中，治愈出院25人，现有5例病例全部在定点医院隔离治疗。我市现无疑似病例，正在接受医学观察12人。截至3月3日0时，四川省无新增新型冠状病毒肺炎确诊病例，累计报告新型冠状病毒肺炎确诊病例538例，涉及21个市（州）。截至3月2日24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，累计报告新型冠状病毒肺炎确诊病例80151例，现有疑似病例587例。目前，随着企事业单位逐步复工复产，外地复工复产过程中出现了一些聚集性疫情，值得我们高度警惕。市应对新型冠状病毒感染肺炎疫情应急指挥部积极安排部署，严格落实分区分级精准防控措施，压紧压实各方责任，充分认识到复工复产后人员流动、人群聚焦等可能带来的疫情传播风险，聚焦复工复产，聚焦重点人群、重点场所、重点环节，督促城乡社区、机关、企事业单位等树立疫情防控第一责任人的意识，严格落实落细各项防控措施，严防聚集性疫情发生。疫情期间，市应对新型冠状病毒感染肺炎疫情应急指挥部提醒大家保持警惕，不能掉以轻心，严格做好个人防护措施。如果怀疑自己感染了怎么办?如果无发热且自觉症状很轻，可以先进行电话咨询，也可通过互联网、微信等方式接受专业医生的在线问诊。如果发热且症状较重，应及时向所在村、社区报告，并立即就近前往定点医院发热门诊就诊。就医时，应如实、主动、详细地讲述个人情况，尤其是应告知医生自己近期的旅居史、接触的人员及野生动物情况等。就诊过程中应全程佩戴医用外科口罩。广安市应对新型冠状病毒感染肺炎疫情应急指挥部2020年3月3日http://t.cn/AijrvdpW
东风雨ye有春天,《张笑春一个决定挽武汉万人性命，一晚睡一两个小时，吸氧还在坚持》他们的核酸检测阴性，但CT影像肺部病变相当严重，在家隔离后果不堪设想。http://t.cn/A67KxnKw
人民网新疆频道,:【无新增！仅剩6例，离清零不远了】新疆维吾尔自治区卫生健康委员会最新通报，2020年3月2日0-24时，新疆（含兵团）报告新冠肺炎新增确诊病例0例，新增死亡病例0例，新增治愈出院病例3例。截至3月2日24时，新疆（含兵团）累计报告新冠肺炎确诊病例76例，累计死亡病例3例，累计治愈出院病例67例。截至3月2日24时，新疆（含兵团）现有确诊病例6例。http://t.cn/A6798m7T
牡丹江生态环境,:牡丹江市3月2日无新增确诊病例，无新增疑似病例3月2日0时-24时，全市无新增确诊病例，无新增疑似病例。截至3月2日24时，累计报告确诊病例14例。累计治愈出院10例（含1例无症状感染者）。追踪密切接触者330人，已解除医学观察319人，尚有2人正在接受医学观察。卫生健康部门请广大市民持续做好个人防护，注意个人卫生，少出门，不聚餐，不聚集，保持积极乐观的心态。如出现发热、咳嗽等症状请及时到发热门诊或定点医疗机构就诊。域外来牡人员继续执行信息登记制度，并严格执行隔离观察14天等有关规定。复工复产企业要严格落实疫情防控相关措施，防止聚集性疫情发生。牡丹江市卫生健康委员会2020年3月3日
解锁083,:3月2日新疆（含兵团）3例新冠肺炎病例治愈出院累计治愈出院67例http://t.cn/A67o6GmK
邹平新闻资讯,:【2020年3月2日0时—12时，邹平市无新增新冠肺炎确诊病例】2020年3月2日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月2日12时，累计确诊病例15例（含治愈出院13例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受2020年3月2日0时—12时，邹平市无新增新冠肺炎确诊病例
乐陵市融媒体中心,:【3月2日0时至24时我市无新增新型冠状病毒肺炎确诊病例】2020年3月2日0时至24时，德州市无新增新型冠状病毒肺炎确诊病例。自德州市卫健委获悉：截至2020年3月2日24时，德州市累计报告确诊病例37例（含重症病例3例，出院病例18例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例2例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。目前，累计追踪到密切接触者1542人，其中已解除医学观察1529人，尚有13人正在接受医学观察。备注：根据国家卫生健康委关于疫情信息报告新要求，按病例确诊时医院所在县区统计；按省疫情信息统计要求，德州市市级定点医疗机构报告的病例，记入德城区发布。
湖北京山微博,:【京山新增0例，出院新增5例】京山市新型冠状病毒肺炎疫情日报（3月3日）3月2日0—24时，按现住址统计，全市新增确诊病例0例，新增治愈出院病例5例。截至3月2日24时，全市累计报告新冠病毒肺炎病例224例（荆门统计229例，其中含外地5例），其中确诊病例179例，原临床诊断病例45例。确诊病例179例，具体分布为：新市75例（城畈社区16例、东关社区10例、三角洲社区6例、新阳社区8例、云杜社区10例、文笔峰社区7例、钟鼓楼社区2例、凤凰堰社区3例、马家塝社区12例、四岭村1例）、永兴1例（观音村1例）、曹武4例(朱岭社区1例、五福村1例、曹场村1例、龚湾村1例)、罗店17例（罗店社区3例、陈港村3例、王畈村1例、高庙村1例、白鹤岭村1例、吕家村1例、快活村2例、祁山村2例、石冲村1例、碧水村2例）、宋河6例(城中路社区1例、天子岗村1例、常家洞村1例、何梅畈村1例、鲍河村1例、邵李桥村1例)、坪坝6例（坪坝社区2例、红阳村2例、苏家垄村1例、槐树村1例）、三阳9例（三阳社区1例、三王城村2例、三道河村4例、普济寺村1例、贺畈村1例）、绿林1例（天门观村1例）、杨集2例（杨集社区1例、五泉村1例）、孙桥4例（五泉庙村2例、官桥铺村1例、草堰畈村1例）、石龙2例（罗家桥村1例、联合村1例）、永漋2例（聂畈村1例、贾家台村1例）、雁门口9例（雁门口社区5例、郑岭村1例、瓦庙村1例、何场村1例、京龙村1例）、钱场5例（钱场社区3例、钱场村1例、幸福村1例）、开发区20例（青年路社区10例、八里途社区5例、胜利社区5例）、温泉新区15例（桂花台社区6例、任畈社区1例、月堰湾社区5例、高潮村1例、文峰村2例）、其它（武汉）1例。原临床诊断病例45例，具体分布为：新市18例（钟鼓楼社区1例、云杜社区3例、马家塝社区5例、新阳社区2例、城畈社区1例、文笔峰社区2例、东关社区3例、洪泉村1例）、罗店3例（罗店社区1例、快活村1例、卢家山坡村1例）、坪坝1例（坪坝社区1例）、三阳2例（三阳社区2例）、孙桥4例（陈集村1例、幸家岭村1例、草堰畈村1例、蒋家大堰村1例）、石龙2例（联合村1例、东湖村1例）、永漋1例（曾口村1例）、雁门口2例（雁门口社区1例、界子山村1例）、开发区6例（青年路社区6例）、温泉新区6例（桂花台社区1例、月堰湾社区2例、汤堰村1例、文峰村1例、莲山村1例）。全市累计出院166例，累计死亡9例（新市5例、永兴1例、杨集1例、雁门口1例、开发区1例），其余病例均在定点医疗机构接受救治。京山市新型冠状病毒肺炎疫情防控指挥部2020年3月3日
在信阳,:【信阳无新增确诊，无疑似！现存住院2例】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。#31省区市新增125例新冠肺炎##河南零确诊#
广安日报-,:【疫情速报丨广安连续21天零新增，严格落实落细各项防控措施，严防聚集性疫情发生】2020年3月2日0-24时，广安市无新增新型冠状病毒肺炎确诊病例。截至3月2日24时，我市累计报告新型冠状病毒肺炎确诊病例30例，其中广安区15例（含枣山园区4例）、华蓥市2例、岳池县5例、武胜县6例、邻水县2例；男性15例，女性15例；年龄最大74岁，最小21岁。确诊病例中，治愈出院25人，现有5例病例全部在定点医院隔离治疗。我市现无疑似病例，正在接受医学观察12人。
青春鹰城,:#3月2日平顶山无新增确诊病例和疑似病例#2020年3月2日0-24时，我市无新增确诊病例和疑似病例。　　截至3月2日24时，我市连续17天无新增确诊病例、连续13天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离观察1421人，正在接受医学观察1人。
心心切切_6757,【#95后火神山护士小姐姐#：#没什么是90后做不了的#】1997年的伏雨佳，是火神山医院ICU里处理垃圾的护士。除夕夜离开父母，偷偷跑到火神山，小伏每天要打包上百袋垃圾，每袋垃圾都细心喷洒消毒液，套上双层黄色垃圾袋，再用塑封条密封袋口。单手能提四五个半人高的垃圾袋，她说：没什么是90后做不了的！#最美的她#http://t.cn/A67KskS0
山东广播电视台,:#威海身边事##山东新型冠状病毒肺炎最新消息#【3月2日12-24时，威海无新增新冠肺炎确诊病例】3月2日12-24时，威海市报告新型冠状病毒肺炎无新增确诊病例。截至3月2日24时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1742人，已全部解除医学观察。备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。
對酒當歌郝,:最新！新疆(含兵团)第14天无新增！截至3月2日24时新疆(含兵团)新型冠状病毒肺炎疫情最新情况2020年3月2日0-24时，新疆（含兵团）报告新型冠状病毒肺炎新增确诊病例0例，新增死亡病例0例，新增治愈出院病例3例。其中:新增治愈出院病例中，乌鲁木齐市2例、兵团第八师1例。截至3月2日24时，新疆（含兵团）累计报告新型冠状病毒肺炎确诊病例76例（新疆维吾尔自治区52例、新疆生产建设兵团24例），累计死亡病例3例，累计治愈出院病例67例。截至3月2日24时，新疆（含兵团）现有确诊病例6例（新疆维吾尔自治区5例、新疆生产建设兵团1例），其中：乌鲁木齐市2例、昌吉州1例、吐鲁番市2例、兵团第九师1例；现有重症病例2例。目前尚有2605人正在接受医学观察。来源：新疆维吾尔自治区卫生健康委员会官网
新乡同城,:【河南昨日无新增，新乡继续0新增
ruoyanabc,:#新型冠状病毒##新疆#3月2日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）无新增新冠肺炎确诊病例。新增出院病例3例，其中乌鲁木齐市2例、兵团第八师1例。连续14天0报告！
微波细浪,:平顶山还剩1例仍在医学观察截至3月2日24时，我市连续17天无新增确诊病例、连续13天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离观察1421人，正在接受医学观察1人。记者王民峰来源：平顶山传媒
闪电新闻,:#德州身边事##山东新型冠状病毒肺炎最新消息##山东战疫#【德州新冠肺炎确诊病例累计37例出院18例】2020年3月2日12时至24时，德州市无新增新型冠状病毒肺炎确诊病例。自2月16日起至今，德州连续16天无新增确诊病例。截至2020年3月2日24时，德州市累计报告确诊病例37例（含重症病例3例，出院病例18例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例2例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。目前，累计追踪到密切接触者1542人，其中已解除医学观察1529人，尚有13人正在接受医学观察。
山东广播电视台,:#滨州身边事##山东新型冠状肺炎最新情况#【3月2日12时-24时，滨州无新增新冠肺炎确诊病例】3月3日，据健康滨州发布消息，3月2日12时-24时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月2日24时，累计确诊病例15例（含治愈出院13例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（含治愈出院6例）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
嘟看视频,:【河南3月2日无新增确诊病例，出院18例】2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。（河南卫健委）
威海晚报,:#坚决打赢疫情防控的人民战争总体战阻击战#【无新增病例！累计治愈出院34例！】2020年3月2日12-24时，威海市报告新型冠状病毒肺炎无新增确诊病例。截至3月2日24时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1742人，已全部解除医学观察。备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。（来源：威海市卫生健康委员会）
滨州发布,:【3月3日早报：滨州连续15天0增长！】2020年3月2日12时-24时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月2日24时，累计确诊病例15例（含治愈出院13例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（含治愈出院6例）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
齐鲁网,:#德州身边事##山东新型冠状肺炎最新情况#【3月2日12时至24时，德州无新增新冠肺炎确诊病例】3月3日，德州市卫生健康委员会发布消息，2020年3月2日12时至24时，德州市无新增新型冠状病毒肺炎确诊病例。截至2020年3月2日24时，德州市累计报告确诊病例37例（含重症病例3例，出院病例18例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例2例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。目前，累计追踪到密切接触者1542人，其中已解除医学观察1529人，尚有13人正在接受医学观察。
山东广播电视台,:#德州身边事##山东新型冠状肺炎最新情况#【3月2日12时至24时，德州无新增新冠肺炎确诊病例】3月3日，德州市卫生健康委员会发布消息，2020年3月2日12时至24时，德州市无新增新型冠状病毒肺炎确诊病例。截至2020年3月2日24时，德州市累计报告确诊病例37例（含重症病例3例，出院病例18例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例2例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。目前，累计追踪到密切接触者1542人，其中已解除医学观察1529人，尚有13人正在接受医学观察。
付亮的竞争情报应用,国家卫健委：3月2日，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。当日新增治愈出院病例2742例，重症病例减少304例。湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。
信阳微客,:#信阳身边事#【3月2日信阳新增确诊0例，新增治愈5例！】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。来源：信阳市卫生健康委员会#信阳爆料#
新浪河南,:#河南防控新型肺炎疫情#【#安阳#市无新增新型冠状病毒肺炎确诊病例】3月3日，河南省卫生健康委发布公开信息，3月2日0-24时，我省无新增新型冠状病毒肺炎确诊病例，我市无新增确诊病例。截至3月2日24时，我市累计报告新型冠状病毒肺炎确诊病例53例（含滑县2例），累计治愈病例47例。（安阳市卫生健康委员会）#抗击疫情我们在一起#
海外新冠疫情,:#意大利累计确诊2036例新冠肺炎#中国境外累计确诊新冠肺炎病例达到10113例，破万了，死亡病例170例。截止目前，韩国、意大利、伊朗和日本(含钻石公主号)四个国家加起来累计确诊病例达到8852例。目前境外疫情最严重的四个国家。一定要小心境外输入！按照欧洲人自由散漫的尿性，意大利的疫情会传遍整个欧洲的
安阳发生,【截至3月2日24时丨安阳市无新增确诊病例，累计53例（含滑县2例）】河南省卫生健康委3月3日发布《截至3月2日24时河南省新型冠状病毒肺炎疫情最新情况》：2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
平安平顶山,:【最新！河南继续0新增！加油！】2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
河南教育,:【河南无新增确诊病例，新增出院病例18例】2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
安阳日报,:【权威发布丨安阳市无新增确诊病例情况（3月2日0-24时）】3月3日，河南省卫生健康委发布公开信息，3月2日0-24时，我省无新增新型冠状病毒肺炎确诊病例，我市无新增确诊病例。截至3月2日24时，我市累计报告新型冠状病毒肺炎确诊病例53例（含滑县2例），累计治愈病例47例。⑫
安阳日报,:【截至3月2日24时丨安阳市无新增确诊病例，累计53例（含滑县2例）】河南省卫生健康委3月3日发布《截至3月2日24时河南省新型冠状病毒肺炎疫情最新情况》：2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
大河报信阳站,:#信阳新闻#【信阳连续9天无新增病例】2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
都市条形码,:#战“疫”最前线#【31省区市（含兵团）新增125例湖北114例】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
大雅堂书画院,:【法国成全球第7大疫情区#卢浮宫300员工因疫情罢工#】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。世面的秒拍视频
zhuxiaohu1,:3月2日新疆（含兵团）3例新冠肺炎病例治愈出院累计治愈出院67例http://t.cn/A67o6GmK
北美省钱快报,:#美国疫情#【最新！华盛顿州新冠肺炎已致6人死亡】当地时间周一，华盛顿最新消息称新冠肺炎已致该州6人死亡，目前美国确诊总人数已达101人。华盛顿州总确诊人数为18例(含6例死亡病例)，14例在KingCounty(含5例死亡病例)，4例在SnohomishCounty(含1例死亡病例)。更多最新消息→http://t.cn/A67KZl4r
威斯康星的一只鱼,:3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例http://t.cn/A67XGYRB
手机用户3376773642,:3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例http://t.cn/A67XGYRB
蓝天白云春暖花开1,:2月29日新疆（含兵团）10例新冠肺炎病例治愈出院累计治愈出院62例http://t.cn/A67VgxfY
小疆有话说,:#战胜疫情，新疆在行动#3月2日新疆（含兵团）3例新冠肺炎病例治愈出院累计治愈出院67例天山网讯3月2日，新疆维吾尔自治区（含新疆生产建设兵团）又有3例新冠肺炎确诊病例治愈出院，其中乌鲁木齐市2例、兵团第八师1例。　　3名患者入院后，经自治区医疗救治专家组的科学指导和定点医院医护人员的精心诊治，专家组会诊评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准。　　截至目前，自治区（含兵团）累计治愈出院病例67例，现有住院隔离治疗6人。#战胜疫情##万众一心抗击疫情#
