种子拯救者,@种子拯救者大老师，它们这是怎么了，能救么？可以恢复到以前么
东方卫报,:【#3D打印的新冠肺炎病灶模型#长啥样？】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
语涵视听,:#浙江8输入病例在意大利同一餐厅工作##新型冠状病毒感染肺炎#【浙江公布8例输入病例：8名患者在意大利同一餐厅工作】3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。http://t.cn/A679cqiA2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。#3D打印的新冠肺炎病灶模型#
影视圈婊哥,:#3D打印的新冠肺炎病灶模型#【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
zfw平安浦城,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。#伊朗将中国诊疗方案译成波斯语#（新华网）http://t.cn/A67oxKkq
世界硒都醉美恩施,:#恩施抗疫在行动#【建始县又两例“新冠肺炎”患者治愈出院】3月2日下午4时，建始县又有2例“新冠肺炎”患者治愈出院。截至目前，建始共有32名患者康复出院。经过有效的治疗，2名患者体温连续检测3天以上正常，咳嗽消失，肺部CT复查病灶基本吸收，连续两次复查病毒核酸检测均为阴性。按照国家卫生健康委《新型冠状病毒感染的肺炎诊疗方案（第六版修订版）》，两人均达到出院标准。出院后，这2名患者还将按要求集中隔离观察14天。（来源:云上恩施记者吴浩通讯员康炜)
甜甜的头儿,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】2020年3月2日，湖南郴州利用3D打印技术，成功打印出湖南首例新冠肺炎模型，用于指导临床治疗。相关负责人介绍，模型数据来自院内一新冠肺炎重症患者，打印模型是为了更直观评估患者病情，给同行一个诊断的依据。@一手Video#3D打印的新冠肺炎病灶模型#长啥样？
广东手机台官微,Bot一直对新冠肺炎很感兴趣，现在这个#3D打印的新冠肺炎病灶模型#，可以帮助大家更好的了解新冠，友情提醒蓝色的是病灶哟，大家觉得这个模型咋样
临汾政法,【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
南极熊3D打印网,:#3D打印的新冠肺炎病灶模型#武汉同济医院影像中心有关医生表示，它最大特点是“毛玻璃状感染是该病毒的影像症状”。这是确诊感染者5天左右的肺部病灶，根据病灶CT图数据进行3D重建得到模型数据后，使用全彩3D打印机打印出来的。
天津市眼科医院,:118！今日，7人出院！2020年3月2日，我市7名新冠肺炎患者经过医护团队的共同努力和精心治疗，病情好转，呼吸道症状逐渐减轻，肺部影像显示病灶明显吸收，各项生化指标检测正常，两次核酸检测均为阴性，经市级专家组评估，均符合出院标准。于3月2日正式出院。截至目前，天津新冠肺炎治愈患者已经达到了118人。来源：津云
网易辽宁有态度,:【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#
广东手机台官微,Bot一直对新冠肺炎很感兴趣，现在这个#3D打印的新冠肺炎病灶模型#，可以帮助大家更好的了解新冠，友情提醒蓝色的是病灶哟，大家觉得这个模型咋样
临汾政法,【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
南极熊3D打印网,:#3D打印的新冠肺炎病灶模型#武汉同济医院影像中心有关医生表示，它最大特点是“毛玻璃状感染是该病毒的影像症状”。这是确诊感染者5天左右的肺部病灶，根据病灶CT图数据进行3D重建得到模型数据后，使用全彩3D打印机打印出来的。
天津市眼科医院,:118！今日，7人出院！2020年3月2日，我市7名新冠肺炎患者经过医护团队的共同努力和精心治疗，病情好转，呼吸道症状逐渐减轻，肺部影像显示病灶明显吸收，各项生化指标检测正常，两次核酸检测均为阴性，经市级专家组评估，均符合出院标准。于3月2日正式出院。截至目前，天津新冠肺炎治愈患者已经达到了118人。来源：津云
网易辽宁有态度,:【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#
泰州司法,#纪小槌说法#【视频短片丨AI大数据云计算助力疫情防控】总担心自己在乘坐公共交通时成为“密切接触者”，怎么办?别焦虑，大数据帮你精确判断。(@新华网)#3D打印的新冠肺炎病灶模型#新华网的秒拍视频
水墨江南梦,【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
咪咕头条资讯,Bot一直对新冠肺炎很感兴趣，现在这个#3D打印的新冠肺炎病灶模型#，可以帮助大家更好的了解新冠，友情提醒蓝色的是病灶哟，大家觉得这个模型咋样
扒剧娱哥,#3D打印的新冠肺炎病灶模型#这个不错！更有利于医学分析，更有利于战胜病毒！加油加油！一切都会好起来的！影视剧爆姐的微博视频
晋中政法,【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
娱了头条,#3D打印的新冠肺炎病灶模型#这个不错！更有利于医学分析，更有利于战胜病毒！加油加油！一切都会好起来的！影视剧爆姐的微博视频
扒据娱乐圈,#3D打印的新冠肺炎病灶模型#这个不错！更有利于医学分析，更有利于战胜病毒！加油加油！一切都会好起来的！影视剧爆姐的微博视频
中医肿瘤专家张明,:【因为外公是胸腔癌，化疗后不久去死。我担心化疗会让无表现的麻麻陷入痛苦。我是个学生我拿不定主意】麻麻二月初发现左锁骨淋巴上包块，因为疫情2月底住院，确诊为恶性肿瘤，我们去照了派特CT未发现原发病灶，发现了转移病灶。现在无恶心。呕吐，发热，等现象，感觉像个好人。作为医生我的建议是：http://t.cn/A67KnotN
影视剧爆姐,:#3D打印的新冠肺炎病灶模型#这个不错！更有利于医学分析，更有利于战胜病毒！加油加油！一切都会好起来的！影视剧爆姐的微博视频
Z·TAO的盯裆猫,:#3D打印的新冠肺炎病灶模型#厉害啊，真是高科技一手video的秒拍视频
潼关检察,:#关注新冠肺炎#【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#】3月2日，湖南省郴州市第一人民医院透露，该院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。据介绍，该模型依照患者肺部病灶CT数据进行3D重建制作而成。真实还原了患者的动、静脉及支气管，更直观了解患者的病情变化过程，进行病例讨论及后期科研教学等。（刘振）@中新视频http://t.cn/A67KRUPT@中国新闻社https://video.weibo.com/show?fid=1034:4478301339582489
何姐-桓妈,:在这里，3D打印新冠肺炎患者肺部病灶模型获成功http://t.cn/A67S8SxY
阳山天气,【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
嘉兴微博新鲜事,【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
遵义发布,:#西班牙新增40例新冠肺炎#【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#
1站视频,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】2020年3月2日，湖南郴州利用3D打印技术，成功打印出湖南首例新冠肺炎模型，用于指导临床治疗。相关负责人介绍，模型数据来自院内一新冠肺炎重症患者，打印模型是为了更直观评估患者病情，给同行一个诊断的依据。@东方网@一手Videohttp://t.cn/A67K086U
语涵视听,:#抗击新型肺炎我们在行动#【辽宁丹东：#对2月12日后境外入丹东人员核酸检测#】#新型冠状病毒感染肺炎#据@丹东发布，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告，要求对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。#3D打印的新冠肺炎病灶模型#
Free恋海,:#3D打印的新冠肺炎病灶模型#多来点这样的好消息
阿久艾斯feng,:#3D打印的新冠肺炎病灶模型#感觉没啥临床实际意义
微博兰州,:#最新疫情地图##疫情防控甘肃在行动#【疫情数据（截止2020年3月2日）】#钟南山团队建议严格防控实施至4月底##3D打印的新冠肺炎病灶模型#@甘肃发布@中国甘肃网@每日甘肃网@城关发布@七里河发布@西固发布@红古发布@榆中发布@兰州新区官方微博@博爱兰州@话兰州@尕兰州@IN兰州@时尚兰州@兰州美@兰州这点事@兰州同城@兰州人说兰州事@兰州官宣@行遍陇原@兰州内参@兰州全媒体@爱在母亲河畔@新浪甘肃
奶黄包铃铛,:#3D打印的新冠肺炎病灶模型#虽然感觉没啥实际意义，但是可以体现中国科技的进步
凝眸望峰,:在这里，3D打印新冠肺炎患者肺部病灶模型获成功http://t.cn/A67SjKGR
nee的小马甲,:#3D打印的新冠肺炎病灶模型#可是说实在的重症病人的肺部感染情况每天都在变化
三体的铁甲,:#3D打印的新冠肺炎病灶模型#新技术不断发展，不断提高人类面对疾病的应对能力
单桂敏艾灸,太恐怖了，哪个国家在对抗疫情上都不如中国的力度。#跟新浪看热点#http://t.cn/A67orXnS
mataxiaoxinxiaoai,:吃苦、善良、宽恕，他人的难处、常除两种病灶。
赵子龙之云看盘,:#3D打印的新冠肺炎病灶模型#3D打印板块是不是可以表现了一下了，上次我记得3D打印可以打印防护服，但是可能成本太高，推广有一定难度，但是对一些高精尖的物品可以生物打印。3D打压板块还有发展机会吗？
吴风探案,:#3D打印的新冠肺炎病灶模型#邪恶
源式幸福-密码1108,:#3D打印的新冠肺炎病灶模型#不是特别懂，但是是一种进步，也是欣慰的，这是给普通大众讲解用的？？
大大的皮皮虾,:#3D打印的新冠肺炎病灶模型#看你们嘚瑟的，然而一点都不神奇苏州
黄景瑜不拿影帝不改名,:#3D打印的新冠肺炎病灶模型#这玩意儿看着怪膈应人的
半生与白昼,:#3D打印的新冠肺炎病灶模型#和我的专业还有点关系加油！！
大师罗莊,:#3D打印的新冠肺炎病灶模型#杠精一下
甜橙琛可爱,#3D打印的新冠肺炎病灶模型#新的科技更直观的研究病情，一切都越来越好吧
甜橙琛可爱,:#3D打印的新冠肺炎病灶模型#新的科技更直观的研究病情，相信一切都会好起来的。#高鑫去口罩厂做义工#原来是当年的尔豪，正能量加油[加油]。
甜橙琛可爱,:#3D打印的新冠肺炎病灶模型#新的科技更直观的研究病情，一切都越来越好吧
坤的Fiaryikun,:#3D打印的新冠肺炎病灶模型#加油，每一天都比之前更好
这个昵称被占用了好吗,:今天去复查ct，结果还算好，病灶已经吸收一部分了，核酸三次都是阴性，一个月后再去复查。医生说我现在没有传染性，可以照顾宝宝了，但为了安全起见，我还是和老公孩子分房睡，暂时不母乳。但老公一个人照顾宝宝确实很辛苦，我就偶尔帮他打打下手。今天第一次抱我的宝宝喂奶瓶，真是爱不释手，即使她今天黄昏闹哭了一下午也觉得她可爱。这娃吃奶的时候吃着吃着就一个人笑起来，真是太可爱了！宝贝妈妈好爱你呀，希望你一世平安喜乐。妈妈会努力再努力，把所有美好的都给你~
红子红子红子,:#3D打印的新冠肺炎病灶模型#模型真的很直观了便于医生观察情况又可以避免病毒威胁到医护人员的安全
西瓜和白熊一起出去吃东西,【#3D打印的新冠肺炎病灶模型#长啥样？】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。@新华网http://t.cn/A67oVtS0
1颗小小小芒果,:#3D打印的新冠肺炎病灶模型#术业有专攻#湖北司法厅厅长等多人被查#该彻底查查了全方面的
蔡蔡的小卷,:#3D打印的新冠肺炎病灶模型#新技术，术业有专攻，一切都会向好的方向发展，加油
36氪,:【#3D打印的新冠肺炎病灶模型#长啥样？】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
第1时间博报,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】#周刊君与你共同战疫#3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
阿云感恩过好每一天,:#3D打印的新冠肺炎病灶模型#看起来好吓人
南京军休讲师团,:当天，昆医大附一院专家就一例新冠肺炎病例运用5G+AR三维数字化远程会诊系统与云南省传染病医院进行远程连线，这是云南省首次运用该技术对新冠肺炎病例进行远程会诊分析，两端专家戴上AR眼镜，一个患者肺部的三维重建模型就出现在眼前，通过手中的遥控器进行旋转、放大缩小等操作，可以看到器官的病灶和细微结构。http://t.cn/A67oQHuv
查理王小猎犬火球儿加肥肠嘻嘻,:#3D打印的新冠肺炎病灶模型#技术好先进啊，居然用3d都能打印出肺炎病灶模型，这模型一眼就能让外行也看明白，太直观了，太好了。
36氪,:【#疫情播报#｜3月2日17:00-00:00疫情消息】22:01：#3D打印的新冠肺炎病灶模型#21:47：#佛罗里达州宣布进入公共卫生紧急状态#21:40：#钟南山团队建议严格防控实施至4月底#21:38：#辽宁一民警牺牲在防疫一线#
GRACE96382,:#3D打印的新冠肺炎病灶模型#术业有专攻，厉害
新浪科技,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。#钟南山团队建议严格防控实施至4月底#http://t.cn/A67oVtS0
无无无无无选,:#3D打印的新冠肺炎病灶模型#我大郴州可以啊，患者早日康复吧，好像郴州就是我们永兴这个县城几个患者了🙏
恩施新闻网,:#湖北加油恩施挺住#【康复者血浆立功了！恩施85岁危重患者核酸检测转阴！】3月2日晚，在恩施州中心医院治疗的一名85岁危重患者复查结果显示，肺部感染病灶减轻，病毒核酸检测转阴，这意味着康复者捐献的血浆治疗起效了！截至目前，我州已有4名新冠肺炎康复者成功捐献恢复期血浆：http://t.cn/A67o0fbn
arcxr,:#3D打印的新冠肺炎病灶模型#
恩施发布,:#湖北加油恩施挺住#【康复者血浆立功了！恩施85岁危重患者核酸检测转阴！】3月2日晚，在恩施州中心医院治疗的一名85岁危重患者复查结果显示，肺部感染病灶减轻，病毒核酸检测转阴，这意味着康复者捐献的血浆治疗起效了！截至目前，我州已有4名新冠肺炎康复者成功捐献恢复期血浆：http://t.cn/A67o0fbn
胡永俊v,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】#周刊君与你共同战疫#3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
今晚报,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。@新华网http://t.cn/A67oVtS0
今天也是杰拉多尼,:#3D打印的新冠肺炎病灶模型#？？我还以为是水凝胶做生物3d打印
羊城晚报金羊网,:【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oxyls
-北纬二十四度-,【#3D打印的新冠肺炎病灶模型#长啥样？[加油]】3月2日，湖南省郴州市第一人民医院南院3D医学打印中心利用3D打印技术，成功打印出湖南首个新冠肺炎肺部病灶模型。　　据介绍，根据病灶CT建立模型需4小时，打印用时22小时。三维立体模型还原了患者的动脉、静脉、支气管，可以立体旋转观察，在临床治疗中具有一定的指导作用。http://t.cn/A67oVtS0
小熊饼干Hebe,:#3D打印的新冠肺炎病灶模型#我正好在写这个论文作业哈哈!
狐狸背上有只喵,:#3D打印的新冠肺炎病灶模型#3D技术太牛逼了！！！
介似天津卫,:#天津爆料#【今日又出院7人！累计出院118人！】2020年3月2日，我市7名新冠肺炎患者经过医护团队的共同努力和精心治疗，病情好转，呼吸道症状逐渐减轻，肺部影像显示病灶明显吸收，各项生化指标检测正常，两次核酸检测均为阴性，经市级专家组评估，均符合出院标准。于3月2日正式出院。截至目前，天津新冠肺炎治愈患者已经达到了118人。（津云、天津8890）
喜欢王甜甜的葡萄,:#3D打印的新冠肺炎病灶模型#这个可恶的病毒太讨厌了，终于看到肺部和气管会怎样变化了。
吉林旅游广播,:#抗炎科技日志#【#3D打印的新冠肺炎病灶模型#公布】新冠肺炎患者的支气管和肺长啥样？3月2日，医学人员利用3D打印技术，经过22小时成功打印出湖南首个新冠肺炎肺部病灶模型。该模型还原了患者的支气管、动脉、静脉，可以立体旋转观察病变范围，在临床治疗中具有一定的指导作用。http://t.cn/A67oxyls
张祺悦,:#关注新冠肺炎#【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#】3月2日，湖南省郴州市第一人民医院透露，该院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。据介绍，该模型依照患者肺部病灶CT数据进行3D重建制作而成。真实还原了患者的动、静脉及支气管，更直观了解患者的病情变化过程，进行病例讨论及后期科研教学等。（刘振）@中新视频http://t.cn/A67Ssu5Z
娜塔丽2013,:在这里，3D打印新冠肺炎患者肺部病灶模型获成功http://t.cn/A67SjKGR
火速头条,:#火速头条##关注新冠肺炎#【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#】3月2日，湖南省郴州市第一人民医院透露，该院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。据介绍，该模型依照患者肺部病灶CT数据进行3D重建制作而成。真实还原了患者的动、静脉及支气管，更直观了解患者的病情变化过程，进行病例讨论及后期科研教学等。（刘振）@中新视频http://t.cn/A67Ssu5Z
燕赵都市报,:【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#】3月2日，湖南省郴州市第一人民医院透露，该院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。据介绍，该模型依照患者肺部病灶CT数据进行3D重建制作而成。真实还原了患者的动、静脉及支气管，更直观了解患者的病情变化过程，进行病例讨论及后期科研教学等。(中新视频)http://t.cn/A67Ssu5Z
合肥交通广播,:#1026疫情防控权威发布#【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#】3月2日，湖南省郴州市第一人民医院透露，该院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。据介绍，该模型依照患者肺部病灶CT数据进行3D重建制作而成。真实还原了患者的动、静脉及支气管，更直观了解患者的病情变化过程，进行病例讨论及后期科研教学等。http://t.cn/A67oJHce
中国新闻网,:#关注新冠肺炎#【被新冠病毒感染的肺部是什么样？#3D打印模型还原被新冠病毒感染的肺部#】3月2日，湖南省郴州市第一人民医院透露，该院运用3D打印技术，“打印”出当地一重症新冠肺炎患者的肺部模型，用于指导临床治疗。据介绍，该模型依照患者肺部病灶CT数据进行3D重建制作而成。真实还原了患者的动、静脉及支气管，更直观了解患者的病情变化过程，进行病例讨论及后期科研教学等。（刘振）@中新视频http://t.cn/A67Ssu5Z
Weasley是我们的王,【#康复者仍携带新冠病毒#引关注#武汉医生呼吁重审出院标准#】日前有武汉大学中南医院研究人员在国际顶级医学期刊《美国医学会杂志》（JAMA）上发表的一篇文章引起高度关注。文章显示研究中4例新型冠状病毒康复者核酸检测呈阳性，用数据证明了至少有一部分康复患者仍可携带病毒。徐海波教授表示：“这项研究为患者收治和出院诊断标准提出了新的要求，我们正在研究中，在后面的诊疗版中，一定会有新的、更加严格的参数评估。”根据目前最新版的诊疗方案，满足体温恢复正常3天以上，呼吸道症状明显改善；肺部影像学显示炎症明显吸收或病变明显改善；连续两次呼吸道核酸检测阴性三个条件即可出院。徐海波教授认为，出院标准中的炎症“明显吸收“和”明显改善“的描述比较模糊，没有定量标准。而即便CT标准有定量，每个医生的经验判断也不同。在他看来，出院标准有一个重要的原则，就是患者不应该具备传染性。目前核酸检测复阳的患者是否仍具传染性，仍无法证实。根据他在SARS临床的经验，一般来说CT影像表现出纤维化，是治愈的证明，病人一般就不再有传染性。但他表示，新型冠状病毒是否也有这个特点，现在还是未知数。“这个病毒很诡异，好像还能与人共存，肺部不一定有很强的病变。“http://t.cn/A67owvuL
霓虹趴趴走,:2020年3月2日癌研有明病院会诊非常厉害的一位大肠癌外科专家，也是大肠癌达芬奇机器人手术治疗领域的顶级医生！曾经对于很多他院认为无法保肛的直肠癌患者进行了根治性的保肛手术！很多日本其他医院的患者为了保证术后生活质量也会来咨询山口医生的二诊意见！今天这位直肠癌3c期的患者，病灶距离肛门5-11cm，医生结合病历判断可以保肛！并且是根治目的的手术！同时分享下日本直肠癌三期患者的五年生存率，76%，非常了不起的数字！
aaaa闫巧英,:六言绝句.寄语为官者但求一分正气，不需九缕腐魂。自行检查病灶，消除莫留祸根。2020.3.2晚定州市
安徽日报,:【3秒内完成一例患者新冠肺炎辅助诊断科大讯飞新冠肺炎影像辅助诊断平台问世】在3秒内就可完成一例患者新冠肺炎辅助诊断，阳性病例全召回，病灶召回率达到90%，可为医生提供准确、高效的辅助诊断参考。记者3月2日获悉，近日在“中科院科技攻关指挥部”协调下，科大讯飞攻关团队在三天内便快速完成了“新冠肺炎影像辅助诊断平台”建设。http://t.cn/A67ohkjF
天津市文化和旅游局,:#关注#【118！今日，7人出院！】2020年3月2日，我市7名新冠肺炎患者经过医护团队的共同努力和精心治疗，病情好转，呼吸道症状逐渐减轻，肺部影像显示病灶明显吸收，各项生化指标检测正常，两次核酸检测均为阴性，经市级专家组评估，均符合出院标准。于3月2日正式出院。118！今日，7人出院！
宝坻发布,:【118！今日，7人出院！】#宝坻播报#2020年3月2日，我市7名新冠肺炎患者经过医护团队的共同努力和精心治疗，病情好转，呼吸道症状逐渐减轻，肺部影像显示病灶明显吸收，各项生化指标检测正常，两次核酸检测均为阴性，经市级专家组评估，均符合出院标准。于3月2日正式出院。截至目前，天津新冠肺炎治愈患者已经达到了118人。
近视眼眼干涩的瑜儿好了,:总有人问我，我的眼睛还会不会好，我的眼睛适合眼宝吗？我的回答是眼宝已经是市面最好的治疗型产品，但同时也看你自己的配合程度。#干眼症#💖國丨家丨級丨非丨物丨質丨文丨化丨遺丨產坚持✊七天、药物精华直达病灶彻底解决红肿、瘙痒、酸涩、疲劳等症状🛡唯一古法炮制熊胆的眼病贴剂
用户6237579528,:在这里，3D打印新冠肺炎患者肺部病灶模型获成功http://t.cn/A67SjKGR
LDZRWB,:在这里，3D打印新冠肺炎患者肺部病灶模型获成功http://t.cn/A67SjKGR
头条点评,:【流产危害有多大】人为干预流产或自行流产会造成内分泌水平急骤下降，出现以下情况：1、月经不调；2、子宫内膜的基底层反复受到损伤；3、炎症上行—输卵管堵塞—不孕不育；【流产后该做什么】第一步：自测自己的身体状况；第二步：寻找专业医院消除炎症和后遗症的病灶部位；第三步：人工疫苗技术保胎
瓷都民警石头哥,:【好消息！景德镇市又一例确诊患者治愈出院！】3月2日，景德镇市第一人民医院又一例确诊患者小朱出院了。小朱系市第三人民医院肾内科护士。2月15日晚转至景德镇市第一人民医院隔离病房，2月16日确诊。经过一段时间中西医结合治疗，小朱病情于2月23日好转，不再发热，复查CT后肺部炎症病灶明显吸收，2月27日、29日两次新冠病毒核酸检测阴性。经过专家组评估，符合出院标准。市卫健委副主任方昌杰受市政府副市长熊皓和市卫健委党组书记、主任朱菁华委托，前来看望慰问即将出院的小朱。病毒拉长了我们的距离，却阻挡不了源源不断地爱。小朱作为抗击疫情同一条战线的战友，市一院在小朱治疗期间给予了全方面的关怀与关注。市护理学会理事长、市一院副院长方平代表全市护理姐妹、市一院领导班子前往隔离病房看望慰问了小朱，并为她购买生活用品，还鼓励她增强信心。市三院领导还看望慰问了她及其家属，送上了慰问金。在全市医疗卫生系统的关怀疏导下，小朱表现十分坚强乐观。出院前，小朱在隔离病房的微信群里向所有的医护留下了这样一段话：“谢谢这么多天的鼓励与照顾！您们费劲了心思，让我得到很好的医治和鼓励！此时此刻，也希望你们在抗击疫情的战斗中保护好自已，做好自我防护，谢谢!”（来源：景德镇市第一人民医院）
天津日报,:#津日疫情播报#【118！今日，7人出院！】2020年3月2日，我市7名新冠肺炎患者经过医护团队的共同努力和精心治疗，病情好转，呼吸道症状逐渐减轻，肺部影像显示病灶明显吸收，各项生化指标检测正常，两次核酸检测均为阴性，经市级专家组评估，均符合出院标准。于3月2日正式出院。截至目前，天津新冠肺炎治愈患者已经达到了118人。（津云）
今晚报,:#津日疫情播报#【今日又出院7人！累计出院118人！】2020年3月2日，我市7名新冠肺炎患者经过医护团队的共同努力和精心治疗，病情好转，呼吸道症状逐渐减轻，肺部影像显示病灶明显吸收，各项生化指标检测正常，两次核酸检测均为阴性，经市级专家组评估，均符合出院标准。于3月2日正式出院。截至目前，天津新冠肺炎治愈患者已经达到了118人。http://t.cn/A67S6BFz
津云,:#津日疫情播报#【今日又出院7人！累计出院118人！】2020年3月2日，我市7名新冠肺炎患者经过医护团队的共同努力和精心治疗，病情好转，呼吸道症状逐渐减轻，肺部影像显示病灶明显吸收，各项生化指标检测正常，两次核酸检测均为阴性，经市级专家组评估，均符合出院标准。于3月2日正式出院。截至目前，天津新冠肺炎治愈患者已经达到了118人。
夏紫怡的新开始,:舒‎芯‎宝是‎什么？一‎款纯中药‎，不需要内置灼‎烧阴‎道‎内‎壁，仅仅‎通过中医‎透皮技‎术，直达病灶‎，改善各种妇‎科问题‎的‎护理贴
东直门医院东区健康教育,:#如何防治肺结核#结核病饮食调理：供给充足热量，供给优质足量蛋白，补充含钙的食物，促进病灶钙化。供给丰富的维生素，帮助机体恢复健康，减少抗痨药物的副作用及帮助钙的吸收。适量补充矿物质和水分，如铁、钾、钠等。
