种花的小神经,:#武汉日记#等复查.....
德州达人会,:#全民抗疫正能量#【德州又有3名新冠肺炎患者治愈出院，全市累计出院21例】3月3日，从山东省胸科医院传来好消息，德州3名新冠肺炎患者治愈出院，他们是德州的第19、20和21例治愈出院患者。据了解，3名患者均来自武城县，经过医院积极科学治疗后，临床症状消失，2次复查新冠肺炎病毒核酸检测均呈阴性，符合国家卫生健康委新冠肺炎确诊病例出院标准，可以解除隔离出院。此外，这几名患者出院后，将来到德州市新冠肺炎定点医院集中隔离医学观察点，继续接受医学观察。
天津倍丽医疗美容整形周茂华,:#臀部吸脂#大腿臀部吸脂术后3年复查案例分享～无论是工作还是生活还是其它方面…瘦下来你可以遇见更好的自己💪#大腿吸脂#肥胖的身躯真的是时候解决了！大好青春就应该拥有这么好的身材#吸脂[超话]#天津倍丽医疗美容整形周茂华的微博视频
梨涡酒酿小团子,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
一颗奶球jo不jo,:干了一件很蠢很蠢的事，这事上一次发生还是在高三的时候，我又又又又又又喝药过量了
李小白igwhite,:#南昌大学[超话]#想问下有申请成绩复查的同学吗，理由都写了多少呀，昨天刚申请，但感觉理由好像写的有点少[抱抱]
苍南电视台,:苍南首批2名新冠肺炎康复者捐献血浆：希望帮助更多有需要的人3月3日上午，苍南县首批新冠肺炎治愈出院的2名康复者在温州市第六人民医院血浆捐献服务点，分别成功捐献血浆200ml。此次捐献者陈先生和郑先生是苍南县人民医院首批治愈的新冠肺炎患者。出院经14天医学观察隔离后，复查各项指标均正常，并随即签署捐献血浆倡议书。他们表示，非常感恩这段时间医护人员的悉心照料，希望尽一份绵薄之力，帮助更多有需要的人。据了解，国家卫健委发布的《新型冠状病毒感染的肺炎诊疗方案（试行第六版）》中明确指出，对重型、危重型病例的救治可采用恢复期血浆治疗，并有确切的临床疗效。新冠肺炎康复者若要捐献血浆，不仅需符合无偿献血者的健康检测标准，还应符合出院后医学观察两周、复诊结果无异常。截至目前，苍南县人民医院确诊患者均已治愈出院，除此次捐献的两位先生外，苍南还有几位治愈者也已签署倡议书。待复查指标正常后即可进行血浆捐献。来源：苍南县人民医院
口腔医生王津津,:#枫景故事#又是隐匿的蛀牙一直没被发现，孩子痛了，家长还一直认为是食物嵌塞
炸毛怪p,锦鲤许愿池：许愿池里留愿转走，正在操心的事情会有转机🙏
乘月不知,:大家！我去完眼科啦！复查结果没有问题！耶！
咲筱咲,:能复查成绩了，我点了复查，别查的低了
袁滚滚滚滚滚滚滚滚,【美意日韩的抗疫答卷，与中国有何不同？】针对此次新冠病毒肺炎，中国以外国家早前“疫情输入国”的地位发生转变。在中国采取严格的疫区封锁措施后，疫情却在全球多国蔓延。截至目前，韩国、意大利每日新增确诊病例数，远超中国每日新增数。日本累计确诊近千例。此外美国疫情自15号病例后呈现“向上”拐点，开始出现本土爆发的迹象。美国对确诊病例的排查采取“由下而上”汇报制度。各地医疗机构在发现符合上述条件的“观察病例”后，向当地实验室以及疾控中心汇报。单次核酸检测呈阳性者列为“推定阳性病例”；两次及两次以上呈阳性者为“实验室确诊病例”，继而确诊。但美国并非所有州立实验室都具备自行核酸检测能力，大部分州需要美国疾控中心批准进行检测。在意大利，新冠病毒感染的确诊过程要经历两个步骤：首先，疑似病例要在区或省的实验室进行检测；其次，第一步检测呈阳性的病例要交由意大利国立卫生研究院进行二次检测，只有两次检测均呈阳性的病例才会被计入全国的确诊病例。日本在各地保健所设置了“回国者与接触者咨询中心”。根据日本政府发布的基本方针，建议以下任何一种症状的患者联系当地保健所的“回国者与接触者咨询中心”：1.感冒症状且连续四天以上发热超过37.5摄氏度；2.严重倦怠感及呼吸困难。高龄者、患有基础疾病（糖尿病、心功能不全等）等人群可以放宽至两天。部分地方政府在国家标准的基础上再放宽，如大阪府将条件放宽至“持续四天发热在37.5摄氏度左右”。韩国是全世界除中国外疫情最严重的国家，截至3月3日0点，韩国累计确诊新冠肺炎病例4812名，较前一天新增600例，其中大邱市累计病例3601例，占韩国总比例的75%。韩国确诊病例数量高同韩国政府大力推进核酸检测，参加检测的人数多密切相关，即便是感冒症状也会被纳入检测对象。同时，由于大邱疫情是由新天地教徒引发，因此当前对新天地教徒的检测是韩国新冠肺炎防控的重点，而核酸检测也是韩国确诊新冠肺炎的唯一标准。http://t.cn/A67NJTW0
妖猫晓晓,:治愈的新冠肺炎患者新闻上看了原来大家回去后还是要隔离中，也要复查。只是我看了有些人不敢出门就是害怕周围又有人发烧咳嗽就立马像惊恐的感觉，只是我觉得病毒不是可怕就是人总是无知！要是再这样用鄙视的态度自以为是！哪一天鄙视者自己也受到感染就算复原同样受到不公平对待！所以大家就是隔离在家同时面对正视。这个病毒早晚会走出的，一切是短暂的http://t.cn/z8AogHY
ENT李双,:有朋友问，新闻上好多出院后复查核酸阳性的。他们【到底】有没有传染性？答：逻辑是：发现证明存在，未发现不能证明不存在。但是我们不能拿一个复阳患者故意去传染一个健康人，这种试验永远不能做。如果在后续研究中，碰到了出院复阳患者传染他人的证据，那么这个问题就有答案了。此时应该这样理解：复查核酸阳性，那么这个患者还是携带病毒的，就有风险。问：手机带进医院里面，不把手机污染了吗？答：个人手机不能带进污染区，污染区内有专用手机传输资料办公，那当然也就可以加工作人员个人微信，往外发照片、视频。问：你要不要尿不湿？我不要，提前几个小时不吃不喝足矣。我年轻身体好。
海扬帆,
鼻综合整形-郭世伟医生,:#鼻综合[超话]#肋骨鼻综合修复术后一年复查，效果不错，顾客很满意。顾客今天过来面诊面部脂肪精雕和眼综合。#成都隆鼻##肋骨鼻综合#成都
时Jane,:虽然存在侥幸心理，但是忘记复查时间的我，很难过，哎
右眼没用,:#断脚日记#每天算着时间过日子：半个月拆线，一个月复查，三个月拄拐，半年落地走，一年拆钢板
南风知我意0526,心态崩了
我是区区,【张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率】近日，张文宏医生表示，发病率低的城市可以互相交流，不要过度恐慌。如果不尽快复工，城市停滞带来的次生影响可能会导致人口死亡率将高于新冠肺炎死亡率。http://t.cn/A67C8laK
喜欢夏目的小妖怪,:今天的做包子卡哇伊今天去复查，就这个太阳镜好酷
茂名市广播电视台FM1061,:#1061应急广播#3月3日下午，又有1例新冠肺炎患者在茂名市人民医院治愈出院。截至目前，茂名已累计治愈患者11例。35岁的患者杨某，是湖北省武汉市江岸区人，长期居住武汉工作，系我市第14例新冠肺炎确诊患者。经医院治疗后，复查肺部CT病灶有吸收，复查鼻咽拭子和肛拭子核酸检测连续3天阴性，达出院标准，3月3日予以出院，出院后需要继续隔离观察14天。http://t.cn/A67NVmVl
维度院长周维助理,:肋软骨鼻综合复查照片，术后四十天，原相机拍摄，整体恢复的不错，鼻部已消肿90%，鼻头恢复是最慢的，后期高度会吸收下降点。鼻头还有些轻微发红，很多小姐姐都会出现这种情况，因为术后局部皮肤毛细血管扩张充血引起发红，可以多补充些维生素，过段时间就好了，不用担心！#鼻综合##肋软骨隆鼻#
海上名医官方微博,:
黄寺整形杜太超医生,:
亚男实用孕产康复,:#疫情增量风险仍未根本控制#疫情大敌当前，少出门、宅在家，是我们普通人能做的最大贡献。开学延期，复工延期，产后42天复查延期……在这个超长假期里，你的盆底恢复计划也在延期吗？居家盆底康复怎么做？凯格尔运动，是强健盆底最好的运动。上世纪50年代，美国的凯格尔医师采用了一种重复缩放部分盆底肌肉的训练法来治疗尿失禁，后来凯格尔发现，这种方法不仅可以恢复骨盆肌的紧张力，还可以改善性功能。直到现在，凯格尔运动一直被认为是对女性防治尿失禁和生殖器脱垂的好方法。
歌岛海岸,:要不是疫情，两个月前我就去上海做第二次复查了
钉激昂y15,
呼吸之友,:#呼吸之友##肺癌#治疗后复查，右上肺管腔比两个月前明显好转……吸烟20几年，戒烟7年……
楓蒅万山红,垃圾满箱无处放，街面垒堆路人谤。苍蝇飞舞漫天扬，居民无奈直骂娘。臭气袭人充街巷，过客掩面熏断肠。万事唯有敛财忙，海阳城建初心忘。千夫所指神不慌，烟台撑伞犹自狂！烟台
楓蒅万山红,#焦点访谈[超话]##北京[超话]#听说山东省巡视组来海阳了，今天下午去找山东省巡视组反映情况→_→山东海阳违法作乱，烟台市委、市政府高擎保护伞！！！？？？//@红裙zh:山东海阳市政府抗法促腐败(违法破产公企——海阳市政公司、强行剥夺他人工作、歪曲法律正解、滥包滥造豆腐渣工程)，烟台市委、市政府高擎保护伞！http://t.cn/EiMtqzj←_←其实微博的宣传效果还是不错的！！今天下午两点左右，我们二人来到山东海阳信访局，听说山东巡视组在海阳接访，接访厅里平时两位熟悉的面孔不见了，取而代之的是5位年轻的新面孔，他们简单询问了一下我们的案件，做了一下例行登记，告诉我们会给你们转送到当事单位，然后让我们走人。我们要求见巡视组的领导，对方答曰“那有什么巡视组，听风就是雨，你们等也是白等”。在信访局没见到一个巡视组的人影，不知道是谣言纷传，还是巡视人员故意避而不见，还是其它什么原因……？我们只好无奈而返。上级能给我们一个答案吗？
奏耐天津,:#奏耐帮忙#【A】@-暖暖1066：中心妇产的助孕中心科能促排检测卵泡吗？如果可以的话，挂哪个医生呢？河东区哪个医院也可以检测卵泡？【B】@用户5853706797：前段时间在天津中心妇产做的手术，这两天要过去复查，家属可以跟着进医院嘛？还是只能患者自己进去？给医院打电话一直占线。
AlwaysbeMaximD,:昨天又去了趟康宁复查结果有在慢慢变好有些欣慰遵循医嘱吃药规律生活总会好起来哒！
上访老户周丽,:邛崃市女教师不服信访答复，已提出复查申请邛崃市女教师不服信访答复，已提出复查申请
医美推荐达人,:【郑州双眼皮投稿】前天去医院复查了一下，医生给我检查看了看，问了我最近的感受怎么样，我好像没有感觉到什么异常呀，检查了一切正常呢，医生说恢复的很好，叫我继续保持！最近网友问无锡双眼皮哪里好的比较多！
幼稚园老姨母,:杭州自体脂肪面部填充案例分享：做完自体脂肪填充这么长时间了，感觉现在的脸型变成了我喜欢的瓜子脸，什么发型都百搭，很开心，前几天去医院复查吸过脂的，填充的地方都恢复得不错，医生让我平时护理也注意一下，有不舒服的地方可以随时跟他联系，服务很好的呢！恢复期要按照医生说的好好护理，肿胀期很快就会过去了，所以宝宝们不要担心哟
拜博口腔长春,:#泰康拜博贴心GO#儿童最好从2岁开始，每3-6个月涂一次，直到7-8岁左右。一般情况下，所有的孩子都适合涂氟预防龋齿。不过在做儿童牙齿涂氟的时候，一定要在专业的牙科医生指导下操作。建议每隔3个月、6个月复查。99元涂氟年卡，全年不限次数赠送窝沟封闭1颗购买方式私信小博吧！http://t.cn/A67NtllZ
Reyan甜蜜的日子,:今天跟妈妈去复查了CT显示我的炎症已经完全吸收了我妈妈的还有一丢丢悬着的心总算放下了好久没出门了路上几乎没什么人武汉最近新增确诊越来越少静静等待我们的城市恢复活力的那一天
小宝宇文是只狗,:在坐车的时候……这时姐姐发现有两个小流氓老看她；复查后，“看什么看，眼光还在她身上扫来扫去的：一天：可以提高工作效率……主任和蔼地对护士说:以后把胸前的扣子扣好；想打架呀、弟弟就问姐姐那是在干什么。常德·丁玲双语学校
武汉发布,:#武汉我们在一起##武汉抗疫防线#【武汉近三天日均核酸检测20466份多为密切接触者筛查和住院患者复查】3月1日全市有效核酸样本总数18127例，其中医院有效样本总数7251例，方舱医院有效样本总数1408例，隔离点有效样本总数9468例。近几日武汉市新增病例维持在三位数，医院和方舱的核酸检测用于确诊的不多，主要是用于患者复查。按照诊疗方案规定，出院患者必须经过2次连续核酸检测，结果均呈阴性才符合出院标准。3月1日，武汉市新增出院病例1958例。超过一半的核酸检测样本来源于隔离点的疑似患者和密切接触者。数据显示，截至3月1日全市现有疑似病例340例，密切接触者中尚在接受医学观察的有32143人。对密切接触者“应检尽检”，有利于彻底切断传染源。
贰零贰零心想事成,:#教师资格证面试成绩#有山东的或者是在济南考的姐妹，有想要复查成绩的么，请问具体怎么操作阿？
72把刀,:本来是明天复查的，刚准备锻炼，今天加号了，视频问诊，稳，教授说把激素停了试试武汉
依然是转圈,:我们科同事出院后返岗工作十几天后复查核酸阳性
用户6495847049,:再催通检行监[2017]184-1办理(复查中)@新浪博客再催通检行监[2017]184-1办理(复查中)
卡牌英雄,:发表了博文《福建2019年一级消防工程师考试成绩复查时间：3月3日至3月18日》　　近日，福建人事考试中心发布了关于2019年一级消防工程师考试成绩公布的通知，通知指出，福建省人事考试中心2020年3福建2019年一级消防工程师考试成绩复查时间：3月3日至3月18日
專属丶怀念,:实在没忍住，跟着何老师@何炅嚯嚯我们家食材，特别是鸡蛋
爱吃柚子的小番茄,【送别！#60分贝暖男医生离世#】因感染新冠肺炎，武汉市中心医院甲状腺乳腺外科主任江学庆于3月1日离世。疫情发生后，他坚守病区，每天找他看病的有100多人，但不管遇到多难、多急的事，他说话音量总保持在让人最舒服的60分贝左右，因此被大家称为“60分贝医生”。有同事说，江医生很暖，曾像大树一样罩着他们……http://t.cn/A679rLch
蜜多少r95,
彭小果果呀,:老娘一个人带你打怪升级啊，能不能配合一下啊。
保定电视台公共频道,:【河北保定：首位新冠肺炎康复者捐献“抗疫”血浆】3月2日晚，保定市新冠肺炎康复者郭女士经各项检验合格后，在保定市中心血站应急采血车上成功捐献200毫升恢复期血浆，她也是保定市首位捐献血浆的治愈者。郭女士治愈出院已近一个月，期间经历几次复查检测，结果均为阴性，此次经专家组评估符合捐献条件。保定市中心血站接到此项任务后，迅速召开专题会紧急部署周密安排，全站上下齐动员。立即抽调精干专业技术人员，拟定整体采集流程，对应急采血车全方位消毒，紧急调配物料物资。于当晚18时冒雨前往采集地点，顺利完成对郭女士恢复期血浆的采集，24时返回中心血站后，连夜奋战至凌晨5时完成所有检验检测、加工制备工作。3月3日上午200毫升新冠恢复期血浆顺利交接，当天下午血浆运抵唐山，用于重症患者救治。（保定广播电视台公共频道融媒体记者黄金玲通讯员杨继学）#保定爆料##保定新鲜事#@同城小秘书@新京报我们视频@头条新闻@央视频
嗜酒小姨,:我要被牙套磨死了已经两个多月没复查的我
小花爱吃水蜜桃,:麻药退去痛感明显感觉把所有记住的日语单词都说了一遍完全胡话连篇。啊～肚子实在太饿了。问：“现在可以吃东西了吗？”答：“不可以，要下地走路正常了复查无误后回家吃。”得叻，马上下地走。我要回家吃饭。终于明白为什么日本医院说XX手术完就可较早下地走路了。还有厉害的人开车回家
莫非945,:今天的儿童医学中心，人很少，带屹屹去复查，医生说恢复的很好。
神派我來的,:好嗨哟！《周一小蛙的休息日去医院复查》太有意思了8！错过再等一年！http://t.cn/Aijse5sL！来自#斗鱼直播平台#全球领先的综合直播平台！
劲射药粉,:收到了体检报告：注意保肝，建议复查
Aka千斤顶,不愿回忆的场景
Lullu_Lalla_,:材料提交完，感觉黄花菜都凉了希望复查能有一个好结果🙏🙏🙏
卡牌英雄,:发表了博文《重庆2019年一级消防工程师成绩复查时间2020年3月31日截止》　　在考试结束后3个多月后，2019年度一级消防工程师考试成绩终于在2月28日公布，在完成成绩查询得知考试成绩的考生，如果重庆2019年一级消防工程师成绩复查时间2020年3月31日截止
不想低头的喵,:记不清第几次的复查流水账...看到医院发布内分泌科恢复检验科实验室工作的朋友圈，马上挂号。上次复查本来让一个半月后去复查，谁知赶上疫情，拖了两个月了都。着实被医院大门口的阵仗吓了一跳，一堆穿着防护服的医生在指挥排队、手写登记表、手机登记、量体温、例行询问....转念一想安慰自己，最危险的地方也是最安全的地方。因为抽血报告11点后出，特意挂了个11点后的号，结果血都还没抽上医生就在屋里喊我名字了，这速度也是很喜人了...按照自己计划，8点多抽完血，为了安全起见，回车里吃个早餐喝个水呆到11点再来找医生，可抽完血一想门口的“重重关卡”，活生生在医院坐了两个小时，不过，报告竟然也活生生的早了半个小时，看来疫情期间病患少效率高了不少。拿到报告没找医生前，看到数值比正常的有高有减，按照这几个月的“经验”，可能病情又严重了！！紧张！忐忑！懵逼！心里等着医生宣判等着医生说你完蛋了！结果，医生看报告也吓了一跳，说药量吃多了，再不来就麻烦了，赶紧减，而且恭喜我，大部分人吃药一年后才达到我现在的药量，我这几个月就恢复到中国人的最低药量，虽然不能说已经好了，但也快了。心里的石头瞬间落地了，一个是幸亏听了席工的建议，半个月前就自行先减了半片药量，一个是庆幸自己身子有点底子，平时没吃过什么药，所以现在出现问题了对药敏感是好事。还有，今天终于把樱桃包完工了，越来越葱白自己了
医美幺妹,:【杭州自体脂肪面部填充投稿】做完自体脂肪填充这么长时间了，感觉现在的脸型变成了我喜欢的瓜子脸，什么发型都百搭，很开心，前几天去医院复查吸过脂的，填充的地方都恢复得不错，医生让我平时护理也注意一下，有不舒服的地方可以随时跟他联系，服务很好的呢！恢复期要按照医生说的好好护理，肿胀期很快就会过去了，所以宝宝们不要担心哟。。。。#自体脂肪面部填充#
微大关,:3月2日，大关最后一名新冠肺炎确诊病例的密切接触者，在县人民医院接受CT、核酸、血常规复检复查和专家评定后，解除医学隔离观察。疫情发生后，全县累计排查新冠肺炎确诊病例的密切接触者347人，全部纳入市县集中留观点进行医学隔离观察。经过14天的临床检查诊断，已全部解除留观。根据全县疫情防控的要求，解除留观的群众还将居家观察14天。
ANGLE妞08,:老天保佑老爸身体没有大问题
老袁说近视手术,:近视是无法治愈的，因为已经拉长了的眼球再无法缩短，因此目前我们能做到的是矫正近视，与近视治愈是两码事；近视手术后，并不能控制近视度数的增长，以及近视带来的并发症，所以，术前的度数要稳定，术后仍然要经常复查眼底。
佐佐佑佑等你们回来,:手环又带上了🙃环扎手术后一个月复查，宫颈长度好的，宫口也闭合的，主任给取白带查了一下线也牢固的你以为会这样就完事了？并不会🙃新问题出现了，体内应该是有炎症了，血常规中白细胞和中性粒细胞相关数值升高，无感冒发烧症状，所以到底是哪里有炎症了，为什么每次这两项的值都偏高？？担心感染，先住院输3天消炎药了，祈祷3天后可一定要降到正常呀🙏🙏
基地-沙丘,:到医院做定期复查
他在十米之外,:#飞机上拍的最美照片#翻来翻去只有这一张图
摘镜之家,:厦门近视手术略有桑感，今天去第二次复查，视力还是1.0，我还指望着视力能到1.5或者2.0呢，据说视力一部分是先天因素决定的，太好的视力老了容易白内障，也还行，1.0的视力也蛮好的了，看东西不受影响就行。
沈阳爱尔眼视光医院,:爱尔眼科#疫情期间近视防控#科普系列沈阳爱尔眼视光医院的微博视频
早睡小姐,:上周去看了耳科医生，做了耳内镜检查，一下子清爽通畅了很多。之前是越痒越挖，越挖越刺激，形成恶性循环。医生建议我接下来两周每周去复查一次~说来丢人，因为要复查，感觉就像老师要检查作业一样，所以坚持的特别好、没有手欠去挖，结果恢复的特别好，估计明天他会表扬我吧
筌歩是阳,:也不知道身体怎么样？复查了没有？
柳色因风起,非武汉城市，其他疾病的收治能力，也下降了非常多，更别提武汉了。次生伤害造成的死亡人数，会超过新冠肺炎的死亡人数。这种说不出的痛苦，时刻发生在我们周边。
快乐小肥宅yi,:今天听到的最温暖的话
红裙zh,#焦点访谈[超话]##北京[超话]#听说山东省巡视组来海阳了，今天下午去找山东省巡视组反映情况→_→山东海阳违法作乱，烟台市委、市政府高擎保护伞！！！？？？//@红裙zh:山东海阳市政府抗法促腐败(违法破产公企——海阳市政公司、强行剥夺他人工作、歪曲法律正解、滥包滥造豆腐渣工程)，烟台市委、市政府高擎保护伞！http://t.cn/EiMtqzj←_←其实微博的宣传效果还是不错的！！今天下午两点左右，我们二人来到山东海阳信访局，听说山东巡视组在海阳接访，接访厅里平时两位熟悉的面孔不见了，取而代之的是5位年轻的新面孔，他们简单询问了一下我们的案件，做了一下例行登记，告诉我们会给你们转送到当事单位，然后让我们走人。我们要求见巡视组的领导，对方答曰“那有什么巡视组，听风就是雨，你们等也是白等”。在信访局没见到一个巡视组的人影，不知道是谣言纷传，还是巡视人员故意避而不见，还是其它什么原因……？我们只好无奈而返。上级能给我们一个答案吗？
我是小小小鹿呀,:一个多月没出门，今天上医院复查，在外面吃了份牛肉炒面，前所未有的满足啊！！！是真香！！天天在家吃我妈做的饭我真的真的快吐了（哈哈哈哈我妈听不见
森翎AnSan,:好想去医院复查，最近起伏好大
浙江徐行一,:对于一种新发传染病，我们宁可严格一点。与其让患者两周后再复查，不如让患者第一周就回来复查，这样更放心一点。//【中国新闻周刊】“我们的出院标准太宽了!”武汉大学人民医院呼吸与危重症医学科副主任医师、副教授张旃日前表示44名痊愈者26人复阳，专家建议出院标准要严，上海要查肛拭子http://t.cn/A67Clh5v
tju-申泓基,:#医患关系#有时候你说医患矛盾大，能全赖患者吗？是真的火大啊，疫情期间我这做饭不小心把拇指切掉一块，手术缝回后要求10天后复查，但是挂不上号，第14天终于挂上外科的号了，过来人家说手外科不属于外科，要我明天再挂创伤科，我作为一个外行我能知道这区别？你们也没提示啊，那女医生还牛逼轰轰的质问我，10天为什么不来，我他喵的能挂上号么（只能114微信挂），新闻上那些要命的病，病患像皮球一样被踢来踢去，火气串上来，呵呵，能理解。http://t.cn/ELT0hke
小鬼4FWv,:肋软骨隆鼻第31天】满月了，今天回医院复查，顺便拆掉鼻孔里面的线。医生拍了照片做记录，真是没有对比就没有伤害，单反高清拍照，无美颜无滤镜#沈阳隆鼻#
Dear杨应琴,#焦点访谈[超话]##北京[超话]#听说山东省巡视组来海阳了，今天下午去找山东省巡视组反映情况→_→山东海阳违法作乱，烟台市委、市政府高擎保护伞！！！？？？//@红裙zh:山东海阳市政府抗法促腐败(违法破产公企——海阳市政公司、强行剥夺他人工作、歪曲法律正解、滥包滥造豆腐渣工程)，烟台市委、市政府高擎保护伞！http://t.cn/EiMtqzj←_←其实微博的宣传效果还是不错的！！今天下午两点左右，我们二人来到山东海阳信访局，听说山东巡视组在海阳接访，接访厅里平时两位熟悉的面孔不见了，取而代之的是5位年轻的新面孔，他们简单询问了一下我们的案件，做了一下例行登记，告诉我们会给你们转送到当事单位，然后让我们走人。我们要求见巡视组的领导，对方答曰“那有什么巡视组，听风就是雨，你们等也是白等”。在信访局没见到一个巡视组的人影，不知道是谣言纷传，还是巡视人员故意避而不见，还是其它什么原因……？我们只好无奈而返。上级能给我们一个答案吗？
端爸爱端妈,:我蠢了╰(*´︶`*)╯做产后复查，就是一个B超没照，却在照之前把尿给排了
咸鱼在卧床,:牙齿正畸复查记终于牙科医生开始接诊了不容易啊本来计划大年初八去复诊结果被这个疫情给耽误了浪费了一个月时间眼看着下排牙齿在慢慢靠拢收缝了这心情有点激动啊今日又重新套了钢丝现在又是一阵酸痛碰不得吃不得摸不得……
一颗苦哈哈扁扁的小雪梨,:不怕死的出门复查了！！杭州·浙江省眼科医院(之江院区)
233网校,:#教师资格证面试成绩##教师资格证##233网校助学计划#对教师资格证面试成绩有疑问如何复查？http://t.cn/A67CxTUV
233网校考证指导,:#教师资格证面试成绩##教师资格证面试##233网校助学计划##教师资格证考试##教师资格证#【成绩复查】成绩出来后，小编收到很多朋友私信，有关成绩复查，那么，教师资格证面试成绩如何复查？有复查成功的吗？
sodastory,:今天去产后复查各项指标都优秀
li左眼皮跳跳,:3个疗程下来今天开始复查上午做了增强ct明天查血心里又开始忐忑虽然妈妈看起来还可以副作用没那么大吃饭也还行体重也维持不错但毕竟是癌低分化印戎淋巴结有转移。。。回想这些字眼心无比痛明后天就能知道化疗是否有效果既期待又害怕妈妈的分型分期太差了不敢想象。。。🙏🏻
233网校-教师资格,:#教师资格证面试成绩##教资面试成绩#很多小伙伴在问教师资格面试成绩复查，呐！江苏2019下半年教师资格证面试成绩如何复查？http://t.cn/A67CMCJP还需要哪个省，说说，我去找！
点一首梦醒时分,#TEN[超话]#简单翻译图一就是准备视频的时候找粉丝站收集问题，有三个粉丝站没有答复，但是他整理视频的时候想准备三个成员的相关回答，可是录制时忘了ten图二是昨天下午收到的回复
北京米乐动物医院,:7️⃣个月的猫咪双眼红肿，有大量分泌物来院就诊🏥，经检查双侧角膜溃疡并继发角膜水肿伴随着严重的结膜炎，右侧下眼睑内翻刺激角膜并引起角膜溃疡，手术矫正内翻的眼睑，对症治疗角膜溃疡及结膜炎‼️🌈目前我们才拆线啦，七日归来后还你本来面貌，经复查结膜炎和角膜损伤也恢复良好❣️#米乐动物医院##喵星人#http://t.cn/R7lHWHd
宝宝定制,:#泰国试管婴儿生儿子##试管婴儿包成功#姐姐染色体异常，自然怀孕两次流产。后面姐姐了解到三代试管，在泰国第一次促排取卵15颗，晒拆后有2个健康的男胚。一次移植两个男胚，成功好孕，今天复查两个胎心胎芽，一次成功好孕怀上双胞胎。
常鸿所陈剑峰律师,:【与北京丰台工伤家属阿说先生沟通】阿说的哥哥7级工伤，依我的经验判断，似乎伤残等级有点偏低，是否需要复查鉴定再议。阿说先后两次来律师楼找我，都因我说仅工伤一项赔偿数额才三十几万，他问别的律师说可以赔偿五六十万，与他想象中距离不小。阿说兄弟俩都没念书，这个工伤案，能认定上就了不起。
士多啤梨芒果酱,:34周了问了付妈的儿子还要继续复查异常项目，
米缸里的Tyy,:最近几天真的感慨很多最近加了个病友群，才知道当初自己多么的“英勇神武”。得病后也不想去了解这个病，身体上出现的不适，都没往药物副作用上想，偶尔知道个皮毛，总之就是不去了解好像它就不属于我的状况。加上德国看病也很烦，又要定期复查，心理特别排斥看医生，也就这样到了现在。后悔的就是没有早了解，早接受，过了一年多才真正接受现实。希望本命年一切顺利，以及开启新的人生副本吧。
上书房行走---,:44名痊愈者26人复阳武汉医生：我们出院标准太宽了。根据国家卫健委颁发的《新型冠状病毒肺炎诊疗方案（试行第六版）》，解除隔离和出院的标准有4条，其中第4条是：连续两次呼吸道标本核酸检测阴性（采样时间至少间隔1天）。然而，现在不少患者在出院2周后核酸复查都是阳性，对此，张旃指出，由于这些患者体内已经产生较高的新冠病毒抗体IgG，因此再次感染的可能性小。为解决这一问题，张旃认为，应将诊疗方案里解除隔离和出院标准的第4条，修改为“连续3次呼吸道标本核酸检测阴性。”
德州村长,:#全民抗疫正能量##德州爆料#【德州又有3名新冠肺炎患者治愈出院全市累计出院21例】3月2日，从山东省胸科医院传来好消息，德州3名新冠肺炎患者治愈出院，他们是德州的第19、20和21例治愈出院患者。据了解，3名患者均来自武城县，经过医院积极科学治疗后，临床症状消失，2次复查新冠肺炎病毒核酸检测均呈阴性，符合国家卫生健康委新冠肺炎确诊病例出院标准，可以解除隔离出院。此外，这几名患者出院后，将来到德州市新冠肺炎定点医院集中隔离医学观察点，继续接受医学观察。http://t.cn/z8qogvT
小狗抓小猫,:顾展眉刚从手术室里面出来，身上的手术服都没有来得及换下来，科室的沈主任就走过来，轻咳了一声，开口道：“顾医生啊，有个病人过来复查了，你给换换药。
爱数钱的苏浅浅,:3月1号七点我爸妈要出发了，我妈手机不小心摁到了，打电话给我，我接了知道我妈摁到了。然后我煮螺蛳粉吃，他带妹妹去复查，11点回来才吃早餐。他中午没吃，他干活到下午3点带妹妹去拿结果，我也去了。回来的时候他买了羊肉串，买了3个大菠萝才23，又买了4包辣条，共70块钱左右。他回来又接着干活，我上楼偷偷吃辣条，他晚饭后吃了一包辣条。
建造师杨彬,:#项目管理每日谈#【102-2017】项目技术组针对施工进度滞后的情况，提出了增加夜班作业、改变施工方法两种加快进度的方案，项目经理通过比较，确定采用增加夜班作业以加快速度，物资组落实了夜间施工照明等条件，安全组对夜间施工安全条件进行了复查，上述管理工作体现在管理职能中“筹划”环节的有（）。A.提出两种可能加快进度的方案B.确定采用夜间施工加快进度的方案C.复查夜间施工安全条件D.落实夜间施工照明条件E.两者方案的比较分析
suntingli,:两次复查都通过了，过了把麻辣烫的瘾
